GEN.1.1	In the beginning God created the heaven and the earth. 
GEN.5.23	and all the days of Enoch were three hundred sixty and five years: 
GEN.5.24	and Enoch walked with God: and he was not; for God took him.
GEN.5.25	And Methuselah lived an hundred eighty and seven years, and begat Lamech: 
GEN.5.26	and Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters: 
GEN.5.27	And all the days of Methuselah were nine hundred sixty and nine years: and he died.
GEN.5.28	And Lamech lived an hundred eighty and two years, and begat a son: 
GEN.5.29	and he called his name Noah, saying, This same shall comfort us for our work and for the toil of our hands, because of the ground which the 
GEN.5.30	And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters: 
GEN.5.31	And all the days of Lamech were seven hundred seventy and seven years: and he died. 
GEN.5.32	And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth.
GEN.6.1	And it came to pass, when men began to multiply on the face of the ground, and daughters were born unto them, 
GEN.6.2	that the sons of God saw the daughters of men that they were fair; and they took them wives of all that they chose.
GEN.6.3	And the 
GEN.6.4	The Nephilim were in the earth in those days, and also after that, when the sons of God came in unto the daughters of men, and they bare children to them: the same were the mighty men which were of old, the men of renown. 
GEN.6.5	And the 
GEN.6.6	And it repented the 
GEN.6.7	And the 
GEN.6.8	But Noah found grace in the eyes of the 
GEN.6.9	These are the generations of Noah. Noah was a righteous man, 
GEN.6.10	And Noah begat three sons, Shem, Ham, and Japheth.
GEN.6.11	And the earth was corrupt before God, and the earth was filled with violence. 
GEN.6.12	And God saw the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth.
GEN.6.13	And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth. 
GEN.6.14	Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch. 
GEN.6.15	And this is how thou shalt make it: the length of the ark three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits. 
GEN.6.16	A light shalt thou make to the ark, and to a cubit shalt thou finish it upward; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it. 
GEN.6.17	And I, behold, I do bring the flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; every thing that is in the earth shall die. 
GEN.6.18	But I will establish my covenant with thee; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee. 
GEN.6.19	And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female. 
GEN.6.20	Of the fowl after their kind, and of the cattle after their kind, of every creeping thing of the ground after its kind, two of every sort shall come unto thee, to keep them alive. 
GEN.6.21	And take thou unto thee of all food that is eaten, and gather it to thee; and it shall be for food for thee, and for them.
GEN.6.22	Thus did Noah; according to all that God commanded him, so did he.
GEN.7.1	And the 
GEN.7.2	Of every clean beast thou shalt take to thee seven and seven, the male and his female; and of the beasts that are not clean two, the male and his female; 
GEN.7.3	of the fowl also of the air, seven and seven, male and female: to keep seed alive upon the face of all the earth. 
GEN.7.4	For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living thing that I have made will I destroy from off the face of the ground.
GEN.7.5	And Noah did according unto all that the 
GEN.7.6	And Noah was six hundred years old when the flood of waters was upon the earth. 
GEN.7.7	And Noah went in, and his sons, and his wife, and his sons' wives with him, into the ark, because of the waters of the flood. 
GEN.7.8	Of clean beasts, and of beasts that are not clean, and of fowls, and of every thing that creepeth upon the ground, 
GEN.7.9	there went in two and two unto Noah into the ark, male and female, as God commanded Noah. 
GEN.7.10	And it came to pass after the seven days, that the waters of the flood were upon the earth.
GEN.7.11	In the six hundredth year of Noah's life, in the second month, on the seventeenth day of the month, on the same day were all the fountains of the great deep broken up, and the windows of heaven were opened. 
GEN.7.12	And the rain was upon the earth forty days and forty nights.
GEN.7.13	In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah's wife, and the three wives of his sons with them, into the ark; 
GEN.7.14	they, and every beast after its kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after its kind, and every fowl after its kind, every bird of every sort. 
GEN.7.15	And they went in unto Noah into the ark, two and two of all flesh wherein is the breath of life. 
GEN.7.16	And they that went in, went in male and female of all flesh, as God commanded him: and the 
GEN.7.17	And the flood was forty days upon the earth; and the waters increased, and bare up the ark, and it was lift up above the earth. 
GEN.7.18	And the waters prevailed, and increased greatly upon the earth; and the ark went upon the face of the waters. 
GEN.7.19	And the waters prevailed exceedingly upon the earth; and all the high mountains that were under the whole heaven were covered. 
GEN.7.20	Fifteen cubits upward did the waters prevail; and the mountains were covered.
GEN.7.21	And all flesh died that moved upon the earth, both fowl, and cattle, and beast, and every creeping thing that creepeth upon the earth, and every man: 
GEN.7.22	all in whose nostrils was the breath of the spirit of life, of all that was in the dry land, died. 
GEN.7.23	And every living thing was destroyed which was upon the face of the ground, both man, and cattle, and creeping thing, and fowl of the heaven; and they were destroyed from the earth: and Noah only was left, and they that were with him in the ark. 
GEN.7.24	And the waters prevailed upon the earth an hundred and fifty days.
GEN.8.1	And God remembered Noah, and every living thing, and all the cattle that were with him in the ark: and God made a wind to pass over the earth, and the waters assuaged; 
GEN.8.2	the fountains also of the deep and the windows of heaven were stopped, and the rain from heaven was restrained; 
GEN.8.3	and the waters returned from off the earth continually: and after the end of an hundred and fifty days the waters decreased.
GEN.8.4	And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat. 
GEN.8.5	And the waters decreased continually until the tenth month: in the tenth month, on the first day of the month, were the tops of the mountains seen.
GEN.8.6	And it came to pass at the end of forty days, that Noah opened the window of the ark which he had made: 
GEN.8.7	and he sent forth a raven, and it went forth to and fro, until the waters were dried up from off the earth. 
GEN.8.8	And he sent forth a dove from him, to see if the waters were abated from off the face of the ground; 
GEN.8.9	but the dove found no rest for the sole of her foot, and she returned unto him to the ark, for the waters were on the face of the whole earth: and he put forth his hand, and took her, and brought her in unto him into the ark. 
GEN.8.10	And he stayed yet other seven days; and again he sent forth the dove out of the ark; 
GEN.8.11	and the dove came in to him at eventide; and, lo, in her mouth an olive leaf pluckt off: so Noah knew that the waters were abated from off the earth. 
GEN.8.12	And he stayed yet other seven days; and sent forth the dove; and she returned not again unto him any more.
GEN.8.13	And it came to pass in the six hundred and first year, in the first month, the first day of the month, the waters were dried up from off the earth: and Noah removed the covering of the ark, and looked, and, behold, the face of the ground was dried. 
GEN.8.14	And in the second month, on the seven and twentieth day of the month, was the earth dry.
GEN.8.15	And God spake unto Noah, saying, 
GEN.8.16	Go forth of the ark, thou, and thy wife, and thy sons, and thy sons' wives with thee. 
GEN.8.17	Bring forth with thee every living thing that is with thee of all flesh, both fowl, and cattle, and every creeping thing that creepeth upon the earth; that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth. 
GEN.8.18	And Noah went forth, and his sons, and his wife, and his sons' wives with him: 
GEN.8.19	every beast, every creeping thing, and every fowl, whatsoever moveth upon the earth, after their families, went forth out of the ark.
GEN.8.20	And Noah builded an altar unto the 
GEN.8.21	And the 
GEN.8.22	While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease.
GEN.9.1	And God blessed Noah and his sons, and said unto them, Be fruitful, and multiply, and replenish the earth. 
GEN.9.2	And the fear of you and the dread of you shall be upon every beast of the earth, and upon every fowl of the air; with all wherewith the ground teemeth, and all the fishes of the sea, into your hand are they delivered. 
GEN.9.3	Every moving thing that liveth shall be food for you; as the green herb have I given you all. 
GEN.9.4	But flesh with the life thereof, 
GEN.9.5	And surely your blood, 
GEN.9.6	Whoso sheddeth man's blood, by man shall his blood be shed: for in the image of God made he man. 
GEN.9.7	And you, be ye fruitful, and multiply; bring forth abundantly in the earth, and multiply therein.
GEN.9.8	And God spake unto Noah, and to his sons with him, saying, 
GEN.9.9	And I, behold, I establish my covenant with you, and with your seed after you; 
GEN.9.10	and with every living creature that is with you, the fowl, the cattle, and every beast of the earth with you; of all that go out of the ark, even every beast of the earth. 
GEN.9.11	And I will establish my covenant with you; neither shall all flesh be cut off any more by the waters of the flood; neither shall there any more be a flood to destroy the earth.
GEN.9.12	And God said, This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations: 
GEN.9.13	I do set my bow in the cloud, and it shall be for a token of a covenant between me and the earth. 
GEN.9.14	And it shall come to pass, when I bring a cloud over the earth, that the bow shall be seen in the cloud, 
GEN.9.15	and I will remember my covenant, which is between me and you and every living creature of all flesh; and the waters shall no more become a flood to destroy all flesh. 
GEN.9.16	And the bow shall be in the cloud; and I will look upon it, that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth. 
GEN.9.17	And God said unto Noah, This is the token of the covenant which I have established between me and all flesh that is upon the earth.
GEN.9.18	And the sons of Noah, that went forth of the ark, were Shem, and Ham, and Japheth: and Ham is the father of Canaan. 
GEN.9.19	These three were the sons of Noah: and of these was the whole earth overspread. 
GEN.9.20	And Noah began to be an husbandman, and planted a vineyard: 
GEN.9.21	and he drank of the wine, and was drunken; and he was uncovered within his tent. 
GEN.9.22	And Ham, the father of Canaan, saw the nakedness of his father, and told his two brethren without. 
GEN.9.23	And Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness of their father; and their faces were backward, and they saw not their father's nakedness.
GEN.9.24	And Noah awoke from his wine, and knew what his youngest son had done unto him. 
GEN.9.25	And he said, Cursed be Canaan; A servant of servants shall he be unto his brethren. 
GEN.9.26	And he said, Blessed be the 
GEN.9.27	God enlarge Japheth, And let him dwell in the tents of Shem; And let Canaan be his servant.
GEN.9.28	And Noah lived after the flood three hundred and fifty years. 
GEN.9.29	And all the days of Noah were nine hundred and fifty years: and he died.
GEN.10.1	Now these are the generations of the sons of Noah, Shem Ham and Japheth: and unto them were sons born after the flood. 
GEN.10.2	The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras. 
GEN.10.3	And the sons of Gomer; Ashkenaz, and Riphath, and Togarmah. 
GEN.10.4	And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim. 
GEN.10.5	Of these were the isles of the nations divided in their lands, every one after his tongue; after their families, in their nations.
GEN.10.6	And the sons of Ham; Cush, and Mizraim, and Put, and Canaan. 
GEN.10.7	And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabteca: and the sons of Raamah; Sheba, and Dedan. 
GEN.10.8	And Cush begat Nimrod: he began to be a mighty one in the earth. 
GEN.10.9	He was a mighty hunter before the 
GEN.10.10	And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar. 
GEN.10.11	Out of that land he went forth into Assyria, and builded Nineveh, and Rehoboth-Ir, and Calah, 
GEN.10.12	and Resen between Nineveh and Calah (the same is the great city). 
GEN.10.13	And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim, 
GEN.10.14	and Pathrusim, and Casluhim (whence went forth the Philistines), and Caphtorim.
GEN.10.15	And Canaan begat Zidon his firstborn, and Heth; 
GEN.10.16	and the Jebusite, and the Amorite, and the Girgashite; 
GEN.10.17	and the Hivite, and the Arkite, and the Sinite; 
GEN.10.18	and the Arvadite, and the Zemarite, and the Hamathite: and afterward were the families of the Canaanite spread abroad. 
GEN.10.19	And the border of the Canaanite was from Zidon, as thou goest toward Gerar, unto Gaza; as thou goest toward Sodom and Gomorrah and Admah and Zeboiim, unto Lasha. 
GEN.10.20	These are the sons of Ham, after their families, after their tongues, in their lands, in their nations.
GEN.10.21	And unto Shem, the father of all the children of Eber, the elder brother of Japheth, to him also were children born. 
GEN.10.22	The sons of Shem; Elam, and Asshur, and Arpachshad, and Lud, and Aram. 
GEN.10.23	And the sons of Aram; Uz, and Hul, and Gether, and Mash. 
GEN.10.24	And Arpachshad begat Shelah; and Shelah begat Eber. 
GEN.10.25	And unto Eber were born two sons: the name of the one was Peleg; for in his days was the earth divided; and his brother's name was Joktan. 
GEN.10.26	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah; 
GEN.10.27	and Hadoram, and Uzal, and Diklah; 
GEN.10.28	and Obal, and Abimael, and Sheba; 
GEN.10.29	and Ophir, and Havilah, and Jobab: all these were the sons of Joktan. 
GEN.10.30	And their dwelling was from Mesha, as thou goest toward Sephar, the mountain of the east. 
GEN.10.31	These are the sons of Shem, after their families, after their tongues, in their lands, after their nations. 
GEN.10.32	These are the families of the sons of Noah, after their generations, in their nations: and of these were the nations divided in the earth after the flood.
GEN.11.1	And the whole earth was of one language and of one speech. 
GEN.11.2	And it came to pass, as they journeyed east, that they found a plain in the land of Shinar; and they dwelt there. 
GEN.11.3	And they said one to another, Go to, let us make brick, and burn them throughly. And they had brick for stone, and slime had they for mortar. 
GEN.11.4	And they said, Go to, let us build us a city, and a tower, whose top 
GEN.11.5	And the 
GEN.11.6	And the 
GEN.11.7	Go to, let us go down, and there confound their language, that they may not understand one another's speech. 
GEN.11.8	So the 
GEN.11.9	Therefore was the name of it called Babel; because the 
GEN.11.10	These are the generations of Shem. Shem was an hundred years old, and begat Arpachshad two years after the flood: 
GEN.11.11	and Shem lived after he begat Arpachshad five hundred years, and begat sons and daughters. 
GEN.11.12	And Arpachshad lived five and thirty years, and begat Shelah: 
GEN.11.13	and Arpachshad lived after he begat Shelah four hundred and three years, and begat sons and daughters. 
GEN.11.14	And Shelah lived thirty years, and begat Eber: 
GEN.11.15	and Shelah lived after he begat Eber four hundred and three years, and begat sons and daughters. 
GEN.11.16	And Eber lived four and thirty years, and begat Peleg: 
GEN.11.17	and Eber lived after he begat Peleg four hundred and thirty years, and begat sons and daughters. 
GEN.11.18	And Peleg lived thirty years, and begat Reu: 
GEN.11.19	and Peleg lived after he begat Reu two hundred and nine years, and begat sons and daughters. 
GEN.11.20	And Reu lived two and thirty years, and begat Serug: 
GEN.11.21	and Reu lived after he begat Serug two hundred and seven years, and begat sons and daughters. 
GEN.11.22	And Serug lived thirty years, and begat Nahor: 
GEN.11.23	and Serug lived after he begat Nahor two hundred years, and begat sons and daughters. 
GEN.11.24	And Nahor lived nine and twenty years, and begat Terah: 
GEN.11.25	and Nahor lived after he begat Terah an hundred and nineteen years, and begat sons and daughters. 
GEN.11.26	And Terah lived seventy years, and begat Abram, Nahor, and Haran.
GEN.11.27	Now these are the generations of Terah. Terah begat Abram, Nahor, and Haran; and Haran begat Lot. 
GEN.11.28	And Haran died in the presence of his father Terah in the land of his nativity, in Ur of the Chaldees. 
GEN.11.29	And Abram and Nahor took them wives: the name of Abram's wife was Sarai; and the name of Nahor's wife, Milcah, the daughter of Haran, the father of Milcah, and the father of Iscah. 
GEN.11.30	And Sarai was barren; she had no child. 
GEN.11.31	And Terah took Abram his son, and Lot the son of Haran, his son's son, and Sarai his daughter in law, his son Abram's wife; and they went forth with them from Ur of the Chaldees, to go into the land of Canaan; and they came unto Haran, and dwelt there. 
GEN.11.32	And the days of Terah were two hundred and five years: and Terah died in Haran.
GEN.12.1	Now the 
GEN.12.2	and I will make of thee a great nation, and I will bless thee, and make thy name great; and be thou a blessing: 
GEN.12.3	and I will bless them that bless thee, and him that curseth thee will I curse: and in thee shall all the families of the earth be blessed.
GEN.12.4	So Abram went, as the 
GEN.12.5	And Abram took Sarai his wife, and Lot his brother's son, and all their substance that they had gathered, and the souls that they had gotten in Haran; and they went forth to go into the land of Canaan; and into the land of Canaan they came.
GEN.12.6	And Abram passed through the land unto the place of Shechem, unto the oak of Moreh. And the Canaanite was then in the land. 
GEN.12.7	And the 
GEN.12.8	And he removed from thence unto the mountain on the east of Beth-el, and pitched his tent, having Beth-el on the west, and Ai on the east: and there he builded an altar unto the 
GEN.12.9	And Abram journeyed, going on still toward the South.
GEN.12.10	And there was a famine in the land: and Abram went down into Egypt to sojourn there; for the famine was sore in the land. 
GEN.12.11	And it came to pass, when he was come near to enter into Egypt, that he said unto Sarai his wife, Behold now, I know that thou art a fair woman to look upon: 
GEN.12.12	and it shall come to pass, when the Egyptians shall see thee, that they shall say, This is his wife: and they will kill me, but they will save thee alive. 
GEN.12.13	Say, I pray thee, thou art my sister: that it may be well with me for thy sake, and that my soul may live because of thee.
GEN.12.14	And it came to pass, that, when Abram was come into Egypt, the Egyptians beheld the woman that she was very fair. 
GEN.12.15	And the princes of Pharaoh saw her, and praised her to Pharaoh: and the woman was taken into Pharaoh's house. 
GEN.12.16	And he entreated Abram well for her sake: and he had sheep, and oxen, and he-asses, and menservants, and maidservants, and she-asses, and camels. 
GEN.12.17	And the 
GEN.12.18	And Pharaoh called Abram, and said, What is this that thou hast done unto me? why didst thou not tell me that she was thy wife? 
GEN.12.19	Why saidst thou, She is my sister? so that I took her to be my wife: now therefore behold thy wife, take her, and go thy way. 
GEN.12.20	And Pharaoh gave men charge concerning him: and they brought him on the way, and his wife, and all that he had.
GEN.13.1	And Abram went up out of Egypt, he, and his wife, and all that he had, and Lot with him, into the South. 
GEN.13.2	And Abram was very rich in cattle, in silver, and in gold. 
GEN.13.3	And he went on his journeys from the South even to Beth-el, unto the place where his tent had been at the beginning, between Beth-el and Ai; 
GEN.13.4	unto the place of the altar, which he had made there at the first: and there Abram called on the name of the 
GEN.13.5	And Lot also, which went with Abram, had flocks, and herds, and tents. 
