GEN.1.1	In the beginning God created the heavens and the earth. 
GEN.2.5	there was as yet no wild bush on the earth, and no wild plant had as yet sprung up; for 
GEN.2.6	Rather, a mist went up from the earth which watered the entire surface of the ground.
GEN.2.7	Then 
GEN.2.8	 God, planted a garden toward the east, in ‘Eden, and there he put the person whom he had formed. 
GEN.2.9	Out of the ground 
GEN.2.10	A river went out of ‘Eden to water the garden, and from there it divided into four streams. 
GEN.2.11	The name of the first is Pishon; it winds throughout the land of Havilah, where there is gold. 
GEN.2.12	The gold of that land is good; aromatic resin and onyx stone are also found there. 
GEN.2.13	The name of the second river is Gichon; it winds throughout the land of Kush. 
GEN.2.14	The name of the third river is Tigris; it is the one that flows toward the east of Ashur. The fourth river is the Euphrates.
GEN.2.15	 God, took the person and put him in the garden of ‘Eden to cultivate and care for it. 
GEN.2.16	 God, gave the person this order: “You may freely eat from every tree in the garden 
GEN.2.17	except the tree of the knowledge of good and evil. You are not to eat from it, because on the day that you eat from it, it will become certain that you will die.”
GEN.2.18	 God, said, “It isn’t good that the person should be alone. I will make for him a companion suitable for helping him.” 
GEN.2.19	So from the ground 
GEN.2.20	So the person gave names to all the livestock, to the birds in the air and to every wild animal. But for Adam there was not found a companion suitable for helping him.
GEN.2.21	Then God caused a deep sleep to fall upon the person; and while he was sleeping, he took one of his ribs and closed up the place from which he took it with flesh. 
GEN.2.22	The rib which 
GEN.2.23	The man-person said, “At last! This is bone from my bones and flesh from my flesh. She is to be called Woman , because she was taken out of Man .” 
GEN.2.24	This is why a man is to leave his father and mother and stick with his wife, and they are to be one flesh.
GEN.2.25	They were both naked, the man and his wife, and they were not ashamed.
GEN.3.1	Now the serpent was more crafty than any wild animal which 
GEN.3.2	The woman answered the serpent, “We may eat from the fruit of the trees of the garden, 
GEN.3.3	but about the fruit of the tree in the middle of the garden God said, ‘You are neither to eat from it nor touch it, or you will die.’” 
GEN.3.4	The serpent said to the woman, “It is not true that you will surely die; 
GEN.3.5	because God knows that on the day you eat from it, your eyes will be opened, and you will be like God, knowing good and evil.” 
GEN.3.6	When the woman saw that the tree was good for food, that it had a pleasing appearance and that the tree was desirable for making one wise, she took some of its fruit and ate. She also gave some to her husband, who was with her; and he ate. 
GEN.3.7	Then the eyes of both of them were opened, and they realized that they were naked. So they sewed fig leaves together to make themselves loincloths.
GEN.3.8	They heard the voice of 
GEN.3.9	 God, called to the man, “Where are you?” 
GEN.3.10	He answered, “I heard your voice in the garden, and I was afraid, because I was naked, so I hid myself.” 
GEN.3.11	He said, “Who told you that you were naked? Have you eaten from the tree from which I ordered you not to eat?” 
GEN.3.12	The man replied, “The woman you gave to be with me — she gave me fruit from the tree, and I ate.” 
GEN.3.13	 God, said to the woman, “What is this you have done?” The woman answered, “The serpent tricked me, so I ate.”
GEN.3.14	 God, said to the serpent, “Because you have done this, you are cursed more than all livestock and wild animals. You will crawl on your belly and eat dust as long as you live. 
GEN.3.15	I will put animosity between you and the woman, and between your descendant and her descendant; he will bruise your head, and you will bruise his heel.”
GEN.3.16	To the woman he said, “I will greatly increase your pain in childbirth. You will bring forth children in pain. Your desire will be toward your husband, but he will rule over you.”
GEN.3.17	To Adam he said, “Because you listened to what your wife said and ate from the tree about which I gave you the order, ‘You are not to eat from it,’ the ground is cursed on your account; you will work hard to eat from it as long as you live. 
GEN.3.18	It will produce thorns and thistles for you, and you will eat field plants. 
GEN.3.19	You will eat bread by the sweat of your forehead till you return to the ground — for you were taken out of it: you are dust, and you will return to dust.”
GEN.3.20	The man called his wife Havah [life], because she was the mother of all living.
GEN.3.21	 God, made garments of skin for Adam and his wife and clothed them.
GEN.3.22	 God, said, “See, the man has become like one of us, knowing good and evil. Now, to prevent his putting out his hand and taking also from the tree of life, eating, and living forever — ” 
GEN.3.23	therefore 
GEN.3.24	So he drove the man out, and he placed at the east of the garden of ‘Eden the 
GEN.4.1	The man had sexual relations with Havah his wife; she conceived, gave birth to Kayin [acquisition] and said, “I have acquired a man from 
GEN.4.2	In addition she gave birth to his brother Hevel. Hevel kept sheep, while Kayin worked the soil. 
GEN.4.3	In the course of time Kayin brought an offering to 
GEN.4.4	and Hevel too brought from the firstborn of his sheep, including their fat. 
GEN.4.5	but did not accept Kayin and his offering. Kayin was very angry, and his face fell. 
GEN.4.6	 said to Kayin, “Why are you angry? Why so downcast? 
GEN.4.7	If you are doing what is good, shouldn’t you hold your head high? And if you don’t do what is good, sin is crouching at the door — it wants you, but you can rule over it.” 
GEN.4.8	Kayin had words with Hevel his brother; then one time, when they were in the field, Kayin turned on Hevel his brother and killed him.
GEN.4.9	 said to Kayin, “Where is Hevel your brother?” And he replied, “I don’t know; am I my brother’s guardian?” 
GEN.4.10	He said, “What have you done? The voice of your brother’s blood is crying out to me from the ground! 
GEN.4.11	Now you are cursed from the ground, which has opened its mouth to receive your brother’s blood at your hands. 
GEN.4.12	When you farm the ground it will no longer yield its strength to you. You will be a fugitive, wandering the earth.” 
GEN.4.13	Kayin said to 
GEN.4.14	You are banning me today from the land and from your presence. I will be a fugitive wandering the earth, and whoever finds me will kill me.” 
GEN.4.15	 answered him, “Therefore, whoever kills Kayin will receive vengeance sevenfold,” and 
GEN.4.16	So Kayin left the presence of 
GEN.4.17	Kayin had sexual relations with his wife; she conceived and gave birth to Hanokh. Kayin built a city and named the city after his son Hanokh. 
GEN.4.18	To Hanokh was born ‘Irad. ‘Irad fathered Mechuya’el, Mechuya’el fathered Metusha’el, and Metusha’el fathered Lemekh.
GEN.4.19	Lemekh took himself two wives; the name of the one was ‘Adah, while the name of the other was Tzilah. 
GEN.4.20	‘Adah gave birth to Yaval; he was the ancestor of those who live in tents and have cattle. 
GEN.4.21	His brother’s name was Yuval; and he was the ancestor of all who play lyre and flute. 
GEN.4.22	Tzilah gave birth to Tuval-Kayin, who forged all kinds of tools from brass and iron; the sister of Tuval-Kayin was Na‘amah. 
GEN.4.23	Lemekh said to his wives,
GEN.4.23	“‘Adah and Tzilah, listen to me;
GEN.4.23	wives of Lemekh, hear what I say:
GEN.4.23	I killed a man for wounding me,
GEN.4.23	a young man who injured me.
GEN.4.24	If Kayin will be avenged sevenfold,
GEN.4.24	then Lemekh seventy-sevenfold!”
GEN.4.25	Adam again had sexual relations with his wife, and she gave birth to a son whom she named Shet [granted], “For God has granted me another seed in place of Hevel, since Kayin killed him.” 
GEN.4.26	To Shet too was born a son, whom he called Enosh. That is when people began to call on the name of 
GEN.5.1	 Here is the genealogy of Adam. On the day that God created man he made him in the likeness of God; 
GEN.5.2	he created them male and female; he blessed them and called them Adam [humankind, man] on the day they were created. 
GEN.5.3	After Adam lived 130 years he fathered a son like himself and named him Shet. 
GEN.5.4	After Shet was born, Adam lived another 800 years and had both sons and daughters. 
GEN.5.5	In all, Adam lived 930 years, and then he died.
GEN.5.6	Shet lived 105 years and fathered Enosh. 
GEN.5.7	After Enosh was born, Shet lived another 807 years and had sons and daughters. 
GEN.5.8	In all, Shet lived 912 years; then he died.
GEN.5.9	Enosh lived ninety years and fathered Kenan. 
GEN.5.10	After Kenan was born, Enosh lived another 815 years and had sons and daughters. 
GEN.5.11	In all, Enosh lived 905 years; then he died.
GEN.5.12	Kenan lived seventy years and fathered Mahalal’el. 
GEN.5.13	After Mahalal’el was born, Kenan lived another 840 years and had sons and daughters. 
GEN.5.14	In all, Kenan lived 910 years; then he died.
GEN.5.15	Mahalal’el lived sixty-five years and fathered Yered. 
GEN.5.16	After Yered was born, Mahalal’el lived another 830 years and had sons and daughters. 
GEN.5.17	In all, Mahalal’el lived 895 years; then he died.
GEN.5.18	Yered lived 162 years and fathered Hanokh. 
GEN.5.19	After Hanokh was born, Yered lived 800 years and had sons and daughters. 
GEN.5.20	In all, Yered lived 962 years; then he died.
GEN.5.21	Hanokh lived sixty-five years and fathered Metushelach. 
GEN.5.22	After Metushelach was born, Hanokh walked with God 300 years and had sons and daughters. 
GEN.5.23	In all, Hanokh lived 365 years. 
GEN.5.24	Hanokh walked with God, and then he wasn’t there, because God took him.
GEN.5.25	Metushelach lived 187 years and fathered Lemekh. 
GEN.5.26	After Lemekh was born, Metushelach lived 782 years and had sons and daughters. 
GEN.5.27	In all, Metushelach lived 969 years; then he died.
GEN.5.28	Lemekh lived 182 years and fathered a son, 
GEN.5.29	whom he called Noach [restful]; for he said, “This one will comfort us in our labor, in the hard work we do with our hands [to get what comes] from the ground that 
GEN.5.30	After Noach was born, Lemekh lived 595 years and had sons and daughters. 
GEN.5.31	In all, Lemekh lived 777 years; then he died.
GEN.5.32	Noach was 500 years old; and Noach fathered Shem, Ham and Yefet.
GEN.6.1	In time, when men began to multiply on earth, and daughters were born to them, 
GEN.6.2	the sons of God saw that the daughters of men were attractive; and they took wives for themselves, whomever they chose. 
GEN.6.3	 said, “My Spirit will not live in human beings forever, for they too are flesh; therefore their life span is to be 120 years.” 
GEN.6.4	The N’filim were on the earth in those days, and also afterwards, when the sons of God came in to the daughters of men, and they bore children to them; these were the ancient heroes, men of renown.
GEN.6.5	 saw that the people on earth were very wicked, that all the imaginings of their hearts were always of evil only. 
GEN.6.6	 regretted that he had made humankind on the earth; it grieved his heart. 
GEN.6.7	 said, “I will wipe out humankind, whom I have created, from the whole earth; and not only human beings, but animals, creeping things and birds in the air; for I regret that I ever made them.” 
GEN.6.8	But Noach found grace in the sight of 
GEN.6.9	Here is the history of Noach. In his generation, Noach was a man righteous and wholehearted; Noach walked with God. 
GEN.6.10	Noach fathered three sons, Shem, Ham and Yefet. 
GEN.6.11	The earth was corrupt before God, the earth was filled with violence. 
GEN.6.12	God saw the earth, and, yes, it was corrupt; for all living beings had corrupted their ways on the earth.
GEN.6.13	God said to Noach, “The end of all living beings has come before me, for because of them the earth is filled with violence. I will destroy them along with the earth. 
GEN.6.14	Make yourself an ark of 
GEN.6.15	Here is how you are to build it: the length of the ark is to be 450 feet, its width seventy-five feet and its height forty-five feet. 
GEN.6.16	You are to make an opening for daylight in the ark eighteen inches below its roof. Put a door in its side; and build it with lower, second and third decks.
GEN.6.17	“Then I myself will bring the flood of water over the earth to destroy from under heaven every living thing that breathes; everything on earth will be destroyed. 
GEN.6.18	But I will establish my covenant with you; you will come into the ark, you, your sons, your wife and your sons’ wives with you.
GEN.6.19	“From everything living, from each kind of living being, you are to bring two into the ark, to keep them alive with you; they are to be male and female. 
GEN.6.20	Of each kind of bird, each kind of livestock, and each kind of animal creeping on the ground, two are to come to you, so that they can be kept alive. 
GEN.6.21	Also take from all the kinds of food that are eaten, and collect it for yourself; it is to be food for you and for them.” 
GEN.6.22	This is what Noach did; he did all that God ordered him to do.
GEN.7.2	Of every clean animal you are to take seven couples, and of the animals that are not clean, one couple; 
GEN.7.3	also of the birds in the air take seven couples — in order to preserve their species throughout the earth. 
GEN.7.4	For in seven more days I will cause it to rain on the earth forty days and forty nights; I will wipe out every living thing that I have made from the face of the earth.” 
GEN.7.5	Noach did all that 
GEN.7.6	Noach was 600 years old when the water flooded the earth. 
GEN.7.7	Noach went into the ark with his sons, his wife and his sons’ wives, because of the floodwaters. 
GEN.7.8	Of clean animals, of animals that are not clean, of birds, and of everything that creeps on the ground, 
GEN.7.9	couples, male and female, went in to Noach in the ark, as God had ordered Noach.
GEN.7.10	After seven days the water flooded the earth. 
GEN.7.11	On the seventeenth day of the second month of the 600th year of Noach’s life all the fountains of the great deep were broken up, and the windows of the sky were opened. 
GEN.7.12	It rained on the earth forty days and forty nights.
GEN.7.13	On that same day Noach entered the ark with Shem, Ham and Yefet the sons of Noach, Noach’s wife and the three wives of his sons accompanying them; 
GEN.7.14	they, and every animal of every species, all the livestock of every species, every animal that creeps on the ground of every species, and every bird of every species — all sorts of winged creatures. 
GEN.7.15	They went in to Noach in the ark, couples from every kind of living thing that breathes. 
GEN.7.16	Those that entered went in, male and female, from every kind of living being, as God had ordered him; and 
GEN.7.17	The flood was forty days on the earth; the water grew higher and floated the ark, so that it was lifted up off the earth. 
GEN.7.18	The water overflowed the earth and grew deeper, until the ark floated on the surface of the water. 
GEN.7.19	The water overpowered the earth mightily; all the high mountains under the entire sky were covered; 
GEN.7.20	the water covered the mountains by more than twenty-two-and-a-half feet. 
GEN.7.21	All living beings that moved on the earth perished — birds, livestock, other animals, insects, and every human being, 
GEN.7.22	everything in whose nostrils was the breath of the spirit of life; whatever was on dry land died. 
GEN.7.23	He wiped out every living thing on the surface of the ground — not only human beings, but livestock, creeping animals and birds in the air. They were wiped out from the earth; only Noach was left, along with those who were with him in the ark. 
GEN.7.24	The water held power over the earth for 150 days.
GEN.8.1	God remembered Noach, every living thing and all the livestock with him in the ark; so God caused a wind to pass over the earth, and the water began to go down. 
GEN.8.2	Also the fountains of the deep and the windows of the sky were stopped, the rain from the sky was restrained, 
GEN.8.3	and the water came back from completely covering the earth. It was after 150 days that the water went down. 
GEN.8.4	On the seventeenth day of the seventh month the ark came to rest on the mountains of Ararat. 
GEN.8.5	The water kept going down until the tenth month; on the first day of the tenth month the tops of the mountains were seen.
GEN.8.6	After forty days Noach opened the window of the ark which he had built; 
GEN.8.7	and he sent out a raven, which flew back and forth until the water had dried up from the earth. 
GEN.8.8	Then he sent out a dove, to see if the water had gone from the surface of the ground. 
GEN.8.9	But the dove found no place for her feet to rest, so she returned to him in the ark, because the water still covered the whole earth. He put out his hand, took her and brought her in to him in the ark. 
GEN.8.10	He waited another seven days and again sent the dove out from the ark. 
GEN.8.11	The dove came in to him in the evening, and there in her mouth was a freshly plucked olive leaf, so Noach knew that the water had cleared from the earth. 
GEN.8.12	He waited yet another seven days and sent out the dove, and she didn’t return to him any more.
GEN.8.13	By the first day of the first month of the 601st year the water had dried up from off the earth; so Noach removed the covering of the ark and looked; and, yes, the surface of the ground was dry. 
GEN.8.14	It was on the twenty-seventh day of the second month that the earth was dry.
GEN.8.15	God said to Noach, 
GEN.8.16	“Go out from the ark, you, your wife, your sons and your son’s wives with you. 
GEN.8.17	Bring out with you every living thing you have with you — birds, livestock and every animal that creeps on the earth — so that they can swarm on the earth, be fruitful and multiply on the earth.” 
GEN.8.18	So Noach went out with his sons, his wife and his sons’ wives; 
GEN.8.19	every animal, every creeping thing and every bird, whatever moves on the earth, according to their families, went out of the ark.
GEN.8.20	Noach built an altar to 
GEN.8.21	 smelled the sweet aroma, and 
GEN.8.22	So long as the earth exists, sowing time and harvest, cold and heat, summer and winter, and day and night will not cease.”
GEN.9.1	God blessed Noach and his sons and said to them, “Be fruitful, multiply and fill the earth. 
GEN.9.2	The fear and dread of you will be upon every wild animal, every bird in the air, every creature populating the ground, and all the fish in the sea; they have been handed over to you. 
GEN.9.3	Every moving thing that lives will be food for you; just as I gave you green plants before, so now I give you everything — 
GEN.9.4	only flesh with its life, which is its blood, you are not to eat. 
GEN.9.5	I will certainly demand an accounting for the blood of your lives: I will demand it from every animal and from every human being. I will demand from every human being an accounting for the life of his fellow human being. 
GEN.9.6	Whoever sheds human blood, by a human being will his own blood be shed; for God made human beings in his image. 
GEN.9.7	And you people, be fruitful, multiply, swarm on the earth and multiply on it.”
GEN.9.8	God spoke to Noach and his sons with him; he said, 
GEN.9.9	“As for me — I am herewith establishing my covenant with you, with your descendants after you, 
GEN.9.10	and with every living creature that is with you — the birds, the livestock and every wild animal with you, all going out of the ark, every animal on earth. 
GEN.9.11	I will establish my covenant with you that never again will all living beings be destroyed by the waters of a flood, and there will never again be a flood to destroy the earth.” 
GEN.9.12	God added, “Here is the sign of the covenant I am making between myself and you and every living creature with you, for all generations to come: 
GEN.9.13	I am putting my rainbow in the cloud — it will be there as a sign of the covenant between myself and the earth. 
GEN.9.14	Whenever I bring clouds over the earth, and the rainbow is seen in the cloud; 
GEN.9.15	I will remember my covenant which is between myself and you and every living creature of any kind; and the water will never again become a flood to destroy all living beings. 
GEN.9.16	The rainbow will be in the cloud; so that when I look at it, I will remember the everlasting covenant between God and every living creature of any kind on the earth.”
GEN.9.17	God said to Noach, “This is the sign of the covenant which I have established between myself and every living creature on the earth.”
GEN.9.18	The sons of Noach who went out from the ark were Shem, Ham and Yefet. Ham is the father of Kena‘an. 
GEN.9.19	These three were the sons of Noach, and the whole earth was populated by them.
GEN.9.20	Noach, a farmer, was the first to plant a vineyard. 
GEN.9.21	He drank so much of the wine that he got drunk and lay uncovered in his tent. 
GEN.9.22	Ham, the father of Kena‘an, saw his father shamefully exposed, went out and told his two brothers. 
GEN.9.23	Shem and Yefet took a cloak, put it over both their shoulders, and, walking backward, went in and covered their naked father. Their faces were turned away, so that they did not see their father lying there shamefully exposed.
GEN.9.24	When Noach awoke from his wine, he knew what his youngest son had done to him. 
GEN.9.25	He said, “Cursed be Kena‘an; he will be a servant of servants to his brothers.” 
GEN.9.26	Then he said, “Blessed be 
GEN.9.27	May God enlarge Yefet; he will live in the tents of Shem, but Kena‘an will be their servant.”
GEN.9.28	After the flood Noach lived 350 years. 
GEN.9.29	In all, Noach lived 950 years; then he died.
GEN.10.1	Here is the genealogy of the sons of Noach — Shem, Ham and Yefet; sons were born to them after the flood.
GEN.10.2	The sons of Yefet were Gomer, Magog, Madai, Yavan, Tuval, Meshekh and Tiras. 
GEN.10.3	The sons of Gomer were Ashkenaz, Rifat and Togarmah. 
GEN.10.4	The sons of Yavan were Elishah, Tarshish, Kittim and Dodanim. 
GEN.10.5	From these the islands of the nations were divided into their lands, each according to its language, according to their families, in their nations.
GEN.10.6	The sons of Ham were Kush, Mitzrayim, Put and Kena‘an. 
GEN.10.7	The sons of Kush were S’va, Havilah, Savta, Ra‘mah and Savt’kha. The sons of Ra‘mah were Sh’va and D’dan.
GEN.10.8	Kush fathered Nimrod, who was the first powerful ruler on earth. 
GEN.10.9	He was a mighty hunter before 
GEN.10.10	His kingdom began with Bavel, Erekh, Akkad and Kalneh, in the land of Shin‘ar. 
GEN.10.11	Ashur went out from that land and built Ninveh, the city Rechovot, Kelach, 
GEN.10.12	and Resen between Ninveh and Kelach — that one is the great city.
GEN.10.13	Mitzrayim fathered the Ludim, the ‘Anamim, the L’havim, the Naftuchim, 
GEN.10.14	the Patrusim, the Kasluchim (from whom came the P’lishtim) and the Kaftorim.
GEN.10.15	Kena‘an fathered Tzidon his firstborn, Het, 
GEN.10.16	the Y’vusi, the Emori, the Girgashi, 
GEN.10.17	the Hivi, the ‘Arki, the Sini, 
GEN.10.18	the Arvadi, the Tz’mari and the Hamati. Afterwards, the families of the Kena‘ani were dispersed. 
GEN.10.19	The border of the Kena‘ani was from Tzidon, as you go toward G’rar, to ‘Azah; as you go toward S’dom, ‘Amora, Admah and Tzvoyim, to Lesha.
GEN.10.20	These were the descendants of Ham, according to their families and languages, in their lands and in their nations.
GEN.10.21	Children were also born to Shem, ancestor of all the descendants of ‘Ever and older brother of Yefet. 
GEN.10.22	The sons of Shem were ‘Elam, Ashur, Arpakhshad, Lud and Aram. 
GEN.10.23	The sons of Aram were ‘Utz, Hul, Geter and Mash. 
GEN.10.24	Arpakhshad fathered Shelach, and Shelach fathered ‘Ever. 
GEN.10.25	To ‘Ever were born two sons. One was given the name Peleg [division], because during his lifetime the earth was divided. His brother’s name was Yoktan. 
GEN.10.26	Yoktan fathered Almodad, Shelef, Hatzar-Mavet, Yerach, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	‘Oval, Avima’el, Sheva, 
GEN.10.29	Ofir, Havilah and Yovav — all these were the sons of Yoktan. 
GEN.10.30	Their territory stretched from Mesha, as you go toward S’far, to the mountain in the east.
GEN.10.31	These were the descendants of Shem, according to their families and languages, in their lands and in their nations.
GEN.10.32	These were the families of the sons of Noach, according to their generations, in their nations. From these the nations of the earth were divided up after the flood.
GEN.11.1	 The whole earth used the same language, the same words. 
GEN.11.2	It came about that as they traveled from the east, they found a plain in the land of Shin‘ar and lived there. 
GEN.11.3	They said to one another, “Come, let’s make bricks and bake them in the fire.” So they had bricks for building-stone and clay for mortar. 
GEN.11.4	Then they said, “Come, let’s build ourselves a city with a tower that has its top reaching up into heaven, so that we can make a name for ourselves and not be scattered all over the earth.”
GEN.11.5	 came down to see the city and the tower the people were building. 
GEN.11.6	 said, “Look, the people are united, they all have a single language, and see what they’re starting to do! At this rate, nothing they set out to accomplish will be impossible for them! 
GEN.11.7	Come, let’s go down and confuse their language, so that they won’t understand each other’s speech.” 
GEN.11.8	So from there 
GEN.11.9	For this reason it is called Bavel [confusion] — because there 
GEN.11.10	Here is the genealogy of Shem. Shem was 100 years old when he fathered Arpakhshad two years after the flood. 
GEN.11.11	After Arpakhshad was born, Shem lived another 500 years and had sons and daughters.
GEN.11.12	Arpakhshad lived thirty-five years and fathered Shelach. 
GEN.11.13	After Shelach was born, Arpakhshad lived another 403 years and had sons and daughters.
GEN.11.14	Shelach lived thirty years and fathered ‘Ever. 
GEN.11.15	After ‘Ever was born, Shelach lived another 403 years and had sons and daughters.
GEN.11.16	‘Ever lived thirty-four years and fathered Peleg. 
GEN.11.17	After Peleg was born, ‘Ever lived another 430 years and had sons and daughters.
GEN.11.18	Peleg lived thirty years and fathered Re‘u. 
GEN.11.19	After Re‘u was born, Peleg lived another 209 years and had sons and daughters.
GEN.11.20	Re‘u lived thirty-two years and fathered S’rug. 
GEN.11.21	After S’rug was born, Re‘u lived another 207 years and had sons and daughters.
GEN.11.22	S’rug lived thirty years and fathered Nachor. 
GEN.11.23	After Nachor was born, S’rug lived another 200 years and had sons and daughters.
GEN.11.24	Nachor lived twenty-nine years and fathered Terach. 
GEN.11.25	After Terach was born, Nachor lived another 119 years and had sons and daughters.
GEN.11.26	Terach lived seventy years and fathered Avram, Nachor and Haran. 
GEN.11.27	Here is the genealogy of Terach. Terach fathered Avram, Nachor and Haran; and Haran fathered Lot. 
GEN.11.28	Haran died before his father Terach in the land where he was born, in Ur of the Kasdim.
GEN.11.29	Then Avram and Nachor took wives for themselves. The name of Avram’s wife was Sarai, and the name of Nachor’s wife was Milkah the daughter of Haran. He was the father of Milkah and of Yiskah. 
GEN.11.30	Sarai was barren — she had no child. 
GEN.11.31	Terach took his son Avram, his son Haran’s son Lot, and Sarai his daughter-in-law, his son Avram’s wife; and they left Ur of the Kasdim to go to the land of Kena‘an. But when they came to Haran, they stayed there. 
GEN.11.32	Terach lived 205 years, and he died in Haran.
GEN.12.1	Now 
GEN.12.2	I will make of you a great nation, I will bless you, and I will make your name great; and you are to be a blessing. 
GEN.12.3	I will bless those who bless you, but I will curse anyone who curses you; and by you all the families of the earth will be blessed.”
GEN.12.4	So Avram went, as 
GEN.12.5	Avram took his wife Sarai, his brother’s son Lot, and all their possessions which they had accumulated, as well as the people they had acquired in Haran; then they set out for the land of Kena‘an and entered the land of Kena‘an.
GEN.12.6	Avram passed through the land to the place called Sh’khem, to the oak of Moreh. The Kena‘ani were then in the land. 
GEN.12.7	 appeared to Avram and said, “To your descendants I will give this land.” So he built an altar there to 
GEN.12.8	He left that place, went to the hill east of Beit-El and pitched his tent. With Beit-El to the west and ‘Ai to the east, he built an altar there and called on the name of 
GEN.12.9	Then Avram traveled on, continuing toward the Negev. 
GEN.12.10	But there was a famine in the land, so Avram went down into Egypt to stay there, because the famine in the land was severe.
GEN.12.11	When he came close to Egypt and was about to enter, he said to Sarai his wife, “Here now, I know that you are a good-looking woman; 
GEN.12.12	so that when the Egyptians see you, they will say, ‘This is his wife,’ and kill me but keep you alive. 
GEN.12.13	Please say that you are my sister, so that it will go well with me for your sake, and so that I will stay alive because of you.”
GEN.12.14	When Avram entered Egypt, the Egyptians did notice that the woman was very beautiful. 
GEN.12.15	Pharaoh’s princes saw her and commended her to Pharaoh, so the woman was taken into Pharaoh’s house. 
GEN.12.16	He treated Avram well for her sake, giving him sheep, cattle, male and female donkeys, male and female slaves, and camels.
GEN.12.17	But 
GEN.12.18	Pharaoh called Avram and said, “What is this that you have done to me? Why didn’t you tell me that she was your wife? 
GEN.12.19	Why did you say, ‘She is my sister,’ so that I took her to be my own wife? Now therefore, here is your wife! Take her, and go away!” 
GEN.12.20	So Pharaoh gave orders concerning him to his men, and they sent him on his way with his wife and everything he had.
GEN.13.1	Avram went up from Egypt — he, his wife and everything he had, and Lot with him — into the Negev. 
GEN.13.2	Avram became wealthy, with much cattle, silver and gold. 
GEN.13.3	As he went on his travels from the Negev, he came to Beit-El, to the place where his tent had been at the beginning, between Beit-El and ‘Ai, 
GEN.13.4	where he had first built the altar; and there Avram called on the name of 
GEN.13.5	Lot, who was traveling with Avram, also had flocks, herds and tents. 
GEN.13.6	But the land could not support their living together, because their possessions were too great for them to remain together. 
