MAT.1.1	This book is the record of Jesus the Messiah,
MAT.5.35	Don't swear by the earth, because it's God's footstool. Don't swear by Jerusalem, because it's the city of the great King. 
MAT.5.36	Don't even swear by your head, because you're not able to make a single hair white or black. 
MAT.5.37	Simply say yes or no—more than this comes from the Evil One.
MAT.5.38	You've heard that the law said, ‘An eye for an eye, and a tooth for a tooth.’ 
MAT.5.39	But I tell you, don't resist someone who is evil. If someone slaps you on the right cheek, turn the other cheek to them as well. 
MAT.5.40	If someone wants to sue you in court and takes your shirt, give them your coat too.
MAT.5.41	If someone demands that you go one mile, go with them two
MAT.5.42	Give to those who ask you, and don't turn away those who want to borrow from you. 
MAT.5.43	You've heard that the law said, ‘Love your neighbor and hate your enemy.’ 
MAT.5.44	But I tell you, love your enemies and pray for those who persecute you, 
MAT.5.45	so you may become children of your heavenly Father. For his sun shines on both the good and the bad; and he makes the rain fall on both those who do right and those who do wrong. 
MAT.5.46	For if you only love those who love you, what reward do you have? Don't even the tax-collectors do that? 
MAT.5.47	If you only speak kindly to your family, what more are you doing than anyone else? Even the heathen
MAT.5.48	Grow up and become completely trustworthy,
MAT.6.1	Make sure not to do your good deeds in front of people, just so they can be seen. Otherwise you won't have any reward from your Father in heaven. 
MAT.6.2	When you give to the poor, don't be like the hypocrites
MAT.6.3	When you give to the poor, don't let your left hand know what your right hand's doing. 
MAT.6.4	That way what you give will be in secret, and your Father who sees what happens in secret will reward you.
MAT.6.5	When you pray, don't be like the hypocrites, for they love to stand up and pray in the synagogues and on the street corners so that people can see them. I promise you, they already have their reward. 
MAT.6.6	But you, when you pray, go indoors and close the door, and pray to your Father in private, and your Father who sees what happens in private will reward you. 
MAT.6.7	When you pray, don't babble on meaninglessly like the foreigners do, who think they will be heard because of all the words they repeat. 
MAT.6.8	Don't be like them, for your Father knows what you need even before you ask him. 
MAT.6.9	So pray like this:
MAT.6.10	Our heavenly Father, may your name be honored. May your kingdom come! May your will be carried out in earth as it is in heaven. 
MAT.6.11	Please give to us today the food we need. 
MAT.6.12	Forgive our sins, just as we have forgiven those who have sinned against us. 
MAT.6.13	Don't let us be tempted to do wrong,
MAT.6.14	For if you forgive those who sin against you, your heavenly Father will also forgive you. 
MAT.6.15	But if you don't forgive those who sin against you, then your heavenly Father won't forgive your sins.
MAT.6.16	When you fast, don't be like the hypocrites who put on sad faces and make themselves look terrible so that everyone can see they're fasting. I tell you the truth, they already have their reward. 
MAT.6.17	Instead, when you fast, wash your face and look smart, 
MAT.6.18	so that people won't see you're fasting, and your unseen Father who sees what happens in private will reward you.
MAT.6.19	Don't pile up wealth here on earth where moths and rust ruin it, and where thieves break in and steal it. 
MAT.6.20	Instead, you should store up your wealth in heaven, where moths and rust don't ruin it, and where thieves don't break in and steal it. 
MAT.6.21	For wherever you store your wealth, that's where your heart will be too.
MAT.6.22	The eye is like a lamp that lights the body. So if your eye is healthy,
MAT.6.23	But if your eye is evil, then your whole body will be in the dark. If the light in you is darkness, how dark is that! 
MAT.6.24	No one can serve two masters. Either you'll hate one and love the other, or you'll be devoted to one and despise the other. You can't serve both God and Money.
MAT.6.25	That's why I'm telling you not to worry about your life. Don't worry about what to eat, or what to drink, or what clothes to put on. Isn't life more than food, and the body more than clothes? 
MAT.6.26	Look at the birds
MAT.6.27	Who of you by worrying can add a minute to your life? 
MAT.6.28	And why are you worried about clothes? Look at the beautiful flowers in the field. See how they grow: they don't work hard, they don't spin thread. 
MAT.6.29	But I tell you, not even Solomon in all his glory was dressed like one of these flowers. 
MAT.6.30	So if God decorates the fields like this, grass which is here today and tomorrow is thrown into the fire, won't he do much more for you, you people who trust so little? 
MAT.6.31	So don't worry, saying, ‘What shall we eat?’ or ‘What shall we drink?’ or ‘What shall we wear?’ 
MAT.6.32	These are all the things that the heathen chase after, but your heavenly Father knows everything you need. 
MAT.6.33	Seek his kingdom first, and his way of doing right, and everything will be given to you. 
MAT.6.34	So don't worry about tomorrow, because tomorrow can worry about itself. There's already enough evil in every day.
MAT.7.1	Don't judge others, so that you won't be judged. 
MAT.7.2	For whatever standard you use to judge others will be used to judge you, and whatever measurement you use to measure others will be used to measure you. 
MAT.7.3	Why do you see the speck that's in your brother's eye? Don't you notice the plank that's in your own eye? 
MAT.7.4	How can you say to your brother, ‘Let me take out that speck from your eye’ when you have a plank in your own eye? 
MAT.7.5	You're being hypocritical! First get rid of the plank that's in your own eye. Then you'll be able to see clearly to take out the speck from your brother's eye.
MAT.7.6	Don't give dogs what's holy. Don't throw your pearls to pigs. That way the pigs won't trample them underfoot, and the dogs won't turn and attack you.
MAT.7.7	Ask, and it will be given to you; seek, and you will find; knock, and the door will be opened for you.
MAT.7.8	Everyone who asks, receives; everyone who seeks, finds; and everyone who knocks has the door opened for them. 
MAT.7.9	Would any of you give your son a stone if he asked for bread? 
MAT.7.10	Or if he asked for fish, would you give him a snake? 
MAT.7.11	So if even you who are evil know to give good things to your children, how much more will your heavenly Father give good things to those who ask him.
MAT.7.12	Treat others the way you want them to treat you. This sums up the law and the prophets. 
MAT.7.13	Enter by the narrow entrance. For the entrance is wide, and the way is broad that leads to destruction, and many travel that way. 
MAT.7.14	But the entrance is narrow, and the way is difficult that leads to life, and only a few find it.
MAT.7.15	Watch out for false prophets who come wearing sheep's clothing, but who on the inside are vicious wolves. 
MAT.7.16	You can recognize them by their fruits.
MAT.7.17	So every good tree produces good fruit, while a bad tree produces bad fruit. 
MAT.7.18	A good tree can't produce bad fruit, and a bad tree can't produce good fruit. 
MAT.7.19	Every tree that doesn't produce good fruit is chopped down and thrown into the fire. 
MAT.7.20	So you'll recognize them by their fruits.
MAT.7.21	Not everyone who calls me ‘Lord, Lord’ will enter the kingdom of heaven—only those who do the will of my Father in heaven. 
MAT.7.22	Many will say to me at the Day of Judgment, ‘Lord, Lord, didn't we prophesy in your name and drive out demons in your name, and perform many miracles in your name?’ 
MAT.7.23	Then I will tell them, ‘I never knew you. Leave me, you people who practice wickedness!’
MAT.7.24	Everyone that hears the words I say, and follows them, is like a wise man who built his house on solid rock. 
MAT.7.25	The rain poured down, and the floods rose, and the winds blew hard against the house, but it didn't fall down, because its foundations were on solid rock. 
MAT.7.26	Everyone that hears the words I say, and doesn't follow them, is like a foolish man who built his house on the sand. 
MAT.7.27	The rain poured down, and the floods rose, and the winds blew hard against the house, and it fell down—it totally collapsed.”
MAT.7.28	When Jesus finished explaining these things, the crowds were amazed at his teaching, 
MAT.7.29	for he taught like someone with authority, and not like their religious teachers.
MAT.8.1	Large crowds followed Jesus once he'd come down from the mountain. 
MAT.8.2	A leper approached him and bowed down, worshiping him, and said, “Lord, if you're willing, please heal me.” 
MAT.8.3	Jesus reached out and touched him with his hand. “I am willing,” he said. “Be healed!” Immediately he was healed from his leprosy.
MAT.8.4	“Make sure you don't tell anyone,” Jesus told him. “Go and show yourself to the priest and give the offering which Moses required as public proof.”
MAT.8.5	When Jesus entered Capernaum, a centurion came up to him, begging for help, 
MAT.8.6	“Lord, my servant is at home, lying down, unable to move. He's in terrible agony.”
MAT.8.7	“I will come and heal him,” Jesus replied.
MAT.8.8	The centurion answered, “Lord, I don't merit a visit to my home. Just say the word, and my servant will be healed. 
MAT.8.9	For I am myself under the authority of superiors, while I also have soldiers under my command. I command one, ‘Go!’ and he goes. I command another, ‘Come!’ and he comes. I tell my servant, ‘Do this!’ and he does it.”
MAT.8.10	When Jesus heard what he said, he was astonished. He told those who were following him, “I tell you the truth, I haven't found this kind of trust anywhere in Israel. 
MAT.8.11	I tell you that many will come from the east and the west, and sit down with Abraham and Isaac and Jacob in the kingdom of heaven. 
MAT.8.12	But the heirs of the kingdom will be thrown out into utter darkness where there will be weeping and grinding of teeth.”
MAT.8.13	Then Jesus told the centurion, “Go home. Because you trusted that it would happen, what you asked for has been done.” The servant was healed right away.
MAT.8.14	When Jesus arrived at Peter's house, he saw that Peter's mother-in-law was sick in bed with a high fever. 
MAT.8.15	He touched her hand and the fever left her. She got up and began making him a meal. 
MAT.8.16	When evening came they brought many who were demon-possessed to Jesus. He made the spirits leave at his command, and he healed all those who were sick. 
MAT.8.17	This fulfilled what the prophet Isaiah said: “He healed our diseases, and freed us from our illnesses.”
MAT.8.18	When Jesus saw the crowds around him, he gave instructions that they
MAT.8.19	One of the religious teachers approached him and said, “Teacher, I will follow you wherever you go!”
MAT.8.20	“Foxes have their dens, and wild birds have their nests, but the Son of man has nowhere he can lie down and rest,”
MAT.8.21	Another disciple said to Jesus, “Lord, first let me go and bury my father.”
MAT.8.22	“Follow me. Leave the dead to bury their own dead,” Jesus replied.
MAT.8.23	Then Jesus got into a boat and his disciples went with him. 
MAT.8.24	A violent storm suddenly blew up, and waves crashed over the boat, but Jesus went on sleeping. 
MAT.8.25	The disciples went over to him and woke him up. “Save us, Lord! We're going to drown!” they shouted.
MAT.8.26	“Why are you so afraid? Why do you trust so little?” he asked them. Then he got up, and commanded the winds and the waves to stop. Everything was absolutely calm. 
MAT.8.27	The disciples were astonished, and said, “Who 
MAT.8.28	When he arrived on the other side, in the region of the Gadarenes, two demon-possessed men came out of the graveyard to meet him. They were so dangerous that nobody dared to travel that way. 
MAT.8.29	They shouted out, “What have you got to do with us, you Son of God? Have you come to torture us before our time?”
MAT.8.30	In the distance a large herd of pigs was feeding. 
MAT.8.31	The demons pleaded with him, “If you're going to drive us out, send us into the herd of pigs.”
MAT.8.32	“Go!” said Jesus. The demons left the men and went into the pigs. The whole herd ran down the steep hillside into the sea and drowned. 
MAT.8.33	The pig herders ran away. They went to the town and told the people there everything that had taken place, and what had happened to the demon-possessed men. 
MAT.8.34	The whole town came out to meet Jesus. When they found him, they begged him to leave their district.
MAT.9.1	So Jesus took a boat back across the lake to the town where he lived. 
MAT.9.2	There they brought to him a paralyzed man lying on a mat. When Jesus saw how they trusted him, he told the paralyzed man, “My friend,
MAT.9.3	In response some of the religious teachers said to themselves, “He's speaking blasphemy!”
MAT.9.4	But Jesus knew what they were thinking. He asked them, “Why are you thinking evil thoughts in your hearts? 
MAT.9.5	What is easier to say, ‘Your sins are forgiven,’ or ‘Get up and walk’? 
MAT.9.6	But to convince you that the Son of man does have the authority to forgive sins…” he said to the paralyzed man, “Get up, pick up your mat, and go home!” 
MAT.9.7	The man got up and went home. 
MAT.9.8	When the crowds saw what had happened, they were scared. Then they praised God that he had given human beings such power.
MAT.9.9	As Jesus moved on from there he saw a man called Matthew sitting at the tax booth. Jesus called to him, “Follow me!” He got up, and followed Jesus. 
MAT.9.10	While Jesus was eating at Matthew's home, many tax-collectors and sinners came and sat down at the table with Jesus and his disciples. 
MAT.9.11	When the Pharisees saw this they asked Jesus' disciples, “Why does your Teacher eat with tax-collectors and sinners?”
MAT.9.12	When Jesus heard the question, he replied, “Those who are well don't need a doctor, but sick people do. 
MAT.9.13	Go and discover what this means: ‘I want mercy, not sacrifice. For I didn't come to call those who do right—I came to call sinners.’”
MAT.9.14	Then the disciples of John came and asked, “Why is that we and the Pharisees fast frequently, but your disciples don't?”
MAT.9.15	“Do wedding guests mourn while the bridegroom is with them?” Jesus responded. “But the time is coming when the bridegroom will be taken from them, and then they will fast. 
MAT.9.16	No one puts a new patch on old clothes, otherwise it will shrink and make the tear worse. 
MAT.9.17	No one puts new wine in old wineskins either, otherwise the wineskins will burst, spilling the wine and ruining the wineskins. No, new wine is put into new wineskins, and both last.”
MAT.9.18	While he was telling them this, one of the leading officials came and bowed before him. “My daughter has just died,” the man told Jesus. “But if you come and place your hand on her, I know she will come back to life.”
MAT.9.19	Jesus and his disciples got up and followed him. 
MAT.9.20	At that moment a woman who had been sick with bleeding for twelve years came up behind him and touched the hem of his cloak. 
MAT.9.21	She had told herself, “If I can just touch his cloak, I'll be healed.”
MAT.9.22	Jesus turned and saw her. “Be happy, for your trust in me has healed you,” he told her.
MAT.9.23	Jesus arrived at the official's house. He saw the flute-players and the crowd that was weeping loudly. 
MAT.9.24	“Please leave,” he told them, “For the girl isn't dead, she's just asleep.” But they laughed and made fun of him. 
MAT.9.25	But once the crowd had been sent out, he went in and took the girl by the hand, and she got up. 
MAT.9.26	News of what happened spread throughout that region.
MAT.9.27	As Jesus continued on from there, two blind men followed him, shouting, “Son of David, please have mercy on us!” 
MAT.9.28	When Jesus arrived at the house where he was staying, the blind men came in too.
MAT.9.28	“Are you convinced that I'm able to do this?” he asked them.
MAT.9.28	“Yes, Lord,” they replied.
MAT.9.29	Then Jesus touched their eyes, and said, “Because of your trust in me it will happen!” 
MAT.9.30	And they could see. Then Jesus warned them, “Make sure nobody knows about this.” 
MAT.9.31	But they went and spread the word about Jesus everywhere.
MAT.9.32	As Jesus and his disciples were leaving, a man was brought to him who was dumb and demon-possessed. 
MAT.9.33	Once the demon had been thrown out of him, the dumb man spoke, and the crowds were amazed. “Nothing ever happened like this before in Israel,” they said. 
MAT.9.34	But the Pharisees remarked, “He throws out demons using the power of the chief of demons.”
MAT.9.35	Jesus went all over, visiting the towns and villages. He taught in their synagogues, telling them about the good news of the kingdom, and he healed all kinds of sicknesses and diseases. 
MAT.9.36	When he saw the crowds, Jesus was deeply moved with compassion for them, because they were troubled and helpless, like sheep without a shepherd. 
MAT.9.37	He told his disciples, “The harvest is large, but there are only a few workers. 
MAT.9.38	Pray to the Lord of the harvest, and ask him to send more workers for his harvest.”
MAT.10.1	Jesus called his twelve disciples together and gave them power to throw out evil spirits, and to heal all kinds of diseases and sicknesses.
MAT.10.2	These are the names of the twelve apostles: first, Simon, (also called Peter), Andrew his brother, James the son of Zebedee, John his brother, 
MAT.10.3	Philip, Bartholomew, Thomas, Matthew the tax-collector, James the son of Alphaeus, Thaddeus, 
MAT.10.4	Simon the revolutionary, and Judas Iscariot, who betrayed Jesus.
MAT.10.5	These Twelve Jesus sent out, telling them, “Don't go to the foreigners, or to any Samaritan city. 
MAT.10.6	You are to go to the lost sheep of the house of Israel. 
MAT.10.7	Wherever you go, tell the people, ‘The kingdom of heaven is near.’ 
MAT.10.8	Heal those who are sick. Resurrect the dead. Cure the lepers. Drive out demons. You received freely, so give freely! 
MAT.10.9	Don't carry any gold, silver, or copper coins in your pockets, 
MAT.10.10	or a bag for your journey, or two cloaks, or sandals, or a walking stick, for a worker deserves to be supported.
MAT.10.11	Wherever you go, whatever town or village, ask for someone who lives according to good principles, and remain there until you leave. 
MAT.10.12	When you enter the house, give it your blessing. 
MAT.10.13	If the home deserves it, let your peace
MAT.10.14	If someone doesn't welcome you, and refuses to listen to what you have to say, then leave that house or that town, shaking its dust off your feet as you go. 
MAT.10.15	I tell you the truth, it will be better for Sodom and Gomorrah at the Day of Judgment than for that town!
MAT.10.16	Look, I'm sending you out like sheep among wolves. So be as wise as serpents and harmless as doves. 
MAT.10.17	Watch out for those who will hand you over to be tried by town councils
MAT.10.18	You will be dragged before governors and kings because of me, to witness to them and to the foreigners. 
MAT.10.19	But when they put you on trial, don't worry about how you should speak or what you should say, because you'll be told what to say at the right time. 
MAT.10.20	For it isn't you who will speak but the spirit of the Father will speak through you. 
MAT.10.21	Brother will betray brother and have him killed, and a father will do the same to his child. Children will rebel against their parents, and have them put to death. 
MAT.10.22	Everyone will hate you because you follow me, but those who endure until the end will be saved.
MAT.10.23	When you're persecuted in one town, run away to the next. I'm telling the truth: you won't finish going to the towns of Israel before the Son of man comes. 
MAT.10.24	Disciples are not more important than their teacher; servants are not more important than their master. 
MAT.10.25	Disciples should be satisfied to become like their teacher, and servants like their master. If the head of the house has been called the head demon Beelzebub,
MAT.10.26	So don't be frightened of them, for there's nothing covered that won't be exposed, and nothing hidden that won't be made known. 
MAT.10.27	What I tell you here in the dark, declare when it's light, and what you hear whispered in your ear, shout from the rooftops. 
MAT.10.28	Don't be afraid of those who can kill you physically, but can't kill you spiritually. Instead, be afraid of the one who can destroy you physically and spiritually in the fires of destruction.
MAT.10.29	Aren't two sparrows sold for just one penny? But not a single one of them falls to the ground without your Father knowing about it. 
MAT.10.30	Even the hairs on your head have all been counted. 
MAT.10.31	So don't worry—you're worth more than many sparrows!
MAT.10.32	Anyone who publicly declares their commitment
MAT.10.33	But anyone who publicly denies me, I will also deny before my Father in heaven. 
MAT.10.34	Don't think I've come to bring peace on earth. I haven't come to bring peace, but a sword. 
MAT.10.35	I've come to turn a man against his father, a daughter against her mother, and a daughter-in-law against her mother-in-law. 
MAT.10.36	Your enemies will be those of your own family! 
MAT.10.37	If you love your father or mother more than me you don't deserve to be mine, and if you love your son or daughter more than me you don't deserve to be mine. 
