JHN.1.1	Tsidyodaghsawen ne Logos
JHN.1.25	Ok sahhonwarighwanondonse, sahhonwenhaghse, ogh kadi ne yotyéren tsiwasheyàtise togat nonken yagh ise tegen ne Christus yaghoni nʼElias yaghoni ne etho Prophet? 
JHN.1.26	John tentahhadady, rawen, oghneganons kàtha tsi wakheyatise ok nʼetho wadògen sewakenyade nene yaghten eghtsisewayenderi. 
JHN.1.27	Raonha naah nene ok tehaknanderatye ok deghnon senha ronwayadagwenniyofton, ne ne raonikaghjéna yagh nʼiih sadekenna tegen aontakerighsi. 
JHN.1.28	Etho niyawen-on Bethabara tseragen skaihhonhade nonga ne Jordan, tsinonwe ne John yeresgwe sʼhakoyatise-onhatye. 
JHN.1.29	Tsi wa-orhenne John tehokànere Jesus karo tehhaweghtane, ok wahhenron tsyatkaghtho ne Yehovah raosehh
JHN.1.30	Nene kenyagen ne kadonhaghkwe, enthaksere ne rongwe nene wahonwahendenghste, raonha se tiutkon tsi rahhenndon tsi ronhe. 
JHN.1.31	Yaghten hiyenderighne ok onen tsi kerighwayenderi ne naah enhonwarighhowanaghte Israelne, ne kadi wahhòne kengh ike oghneganoughs kàtha si (kenohharehha) keyatisen-on hattye.
JHN.1.32	Nene John rorighhowanaghton, rawen, wakwatkaghtho ne kanigonghriyoston tʼontshenghthonhatye Karonghyàge tʼyoyenghtaghkwe, ok egh waontye raonhàge. 
JHN.1.33	Yaghten hiyendèrighne: ok raonha ne rakhenha-on nʼenkhèyatise oghnegage ne rakherighhonye, rawen, raonha tsi nonwe ensatkaghtho ne Kanigonghriyoston ethone a-ontsnenghte enwatyeonwe ne naah raonha ràtha ne Kanigonghriyoston nʼenhatise. 
JHN.1.34	Wakaderighwatkaghtho, ok oni wakerighhowanaghton ne naah ne kengayen ne Niyoh royeah,
JHN.1.35	Ok àre tsi waorhene si radikenyàdaghkwé John ok tegni-aghseh ne raotyonghkwa. 
JHN.1.36	Ok tehokàneratye Jesus tsi ire, wahhenron tsyatkaghtho ne ne raosehh ne Yehovah. 
JHN.1.37	Ok ne teghniaghseh ronwawennaghrònken, ok ne Jesus tehhonwaghsere. 
JHN.1.38	Ethone Jesus egh tʼensahhatyèrat ok teshakokànere ronwaghnonderatye ok washakawenhaghse oghnahhoten iseneghre? waghníron Rabbi, ne yaweght ayaìron ne onen tekawennadenyon, seweniyoh, kàh nonwe tesideron? 
JHN.1.39	Ok sahhenron, kasene tsyatkaghtho, ok sahhòneghte oni waghyatkaghtho tsinonwe yehenderondaghkwe ok watògen wahhadighniserokten ase ken onen si karrah yaweght oyerihhadont hour. 
JHN.1.40	Sʼhayadat nene teghniaghseli neonen ronwawennaghronken John wannonwaghsere naah, ne Andrew nene yaddaddegen-on Simon Gwider. 
JHN.1.41	Nyàre wahhoyadatshenry ne yadàddegen, Simon ok Wahhioghroty, onen yaghsakwayadatshenryon ne Messias, ne naah ne tayewetinadene ne Christus (nene Karonghyage sʼhongwahawighten.) 
JHN.1.42	Ok wahhoyàthewe Jésusne, ok ne onen Jesus wahhotkaghtho, wahhenron, ise naah ne Simon ne Jona royeah, enyesayatshek Cephas, ne naah ne tekawennadenyon, onenya. 
JHN.1.43	Tsi waorhene Jesus walihadondaghgwane Galilee tseragon niyehhàre, ethone wahhoyadatshenre Philip ok wahhoyenhaghse, taknonderatyeght. 
JHN.1.44	Bethsaida-haga-kenghne ne Philip, ne Sakanàdat sighninakere ne Andrew ok oni Peter. 
JHN.1.45	Philip wahhoyadatshenre Nathanael, ok wahhoyenhaghse, waghsagwayadatshenryon raonha ne ne Moses sʼhongwanadoni tsi roghyàdow ne waghtyawenratsera, ok oni ne Prophethogon yonkhirighwawe, Jesus Nazarethaga nene Joseph royeah. 
JHN.1.46	Ok Nathanael sahhenron wadons ken ne karighwiyo Nazaret nonga aontakayenghtaghkwe? Philip tensahhenron kàts, ok saderighwatkaghtho. 
JHN.1.47	Jesus tehokànere Nathanael tsitàre, ok wahhodon, tsyatkaghtho nene Israelhaga nene togenske yaghten horìwayen ne wahhetken. 
JHN.1.48	Nathanael tentahhawenhaghse, oghha-awen si-takyenderi? Jesus tentahhadady ok rawen, arekho sitaghyènonke Philip, aghson si ighsese kaneraghtogon ne kerrhide waghyiyose ok si tekokàneratye. 
JHN.1.49	Nathanael tentahhadady ok wahhenron Rabbi ise naah ne Niyoh royeah, ise naah ne Israelhaga raodikora. 
JHN.1.50	Jesus tentahhadady ok waghrenhaghse, ne ken aorìwa tsi waken, tekokànereghkwe tsi ighse kaneraghtogon ne waghyiyose kerrhide, teseghtagh-kon ken? senha karighhowanenghse ensatkaghtho tsiniyught nʼetho. 
JHN.1.51	Ok saghrenhaghse, togenske; agwagh togenske wakoghròri, onwa oghnagen ensewatkaghtho enteyoronghyokaràwen, ok ne Niyoh raotyonghkwa ne karonghyageghronon eneken yakaweghtonhatye ok tʼontsnenghtonhatye tsi íre ne ongwe ronwayeah.
JHN.2.1	Ok ne Aghsen ne weghniseragehhadòritégh yakodenyòdaghkwe tsi wa-akonyake tsì kanadaye ne Cana Galileetseragon ok ne Jesus ronisdenha yeyádareghkwe. 
JHN.2.2	Jesus ok oni ne raotyoghkwa egh oni ronwadighnonken tsi yakodènnyode. 
JHN.2.3	Ok ethone tsi wahondòkten ne wine, ne Jesus ronisdenha wahhoyenhaghse, yaghten sʼhodiyen ne Wine. 
JHN.2.4	Jesus saghshakawenhaghse, senheghtyen oghnahhoten katsteriftaghkwa tsiniserighhoten, arekho se te wakaderighwihháwise. 
JHN.2.5	Ne Ronisdenha wa-akawenhaghse ne yondaddenhase, tsioknahhoten enghtsisewenhaghse, eghnʼensewayère. 
JHN.2.6	Neoni etho waéyen yayák ne onenyage yeghnegaraghkwatha, yaweght tsiniyeweyenòten ne Jewsaga tsi waondyadohharehha ne ne toghka gallon enwèdake. 
JHN.2.7	Jesus waghsʼhakawenhaghse sewánaghne ne yeghnegaraghkwathaogon oghneganoghs, ok waenaghne. 
JHN.2.8	Ok waghsʼhakawenhaghse, sewaghnegadaghkwen ok eghsewahhawighte tsidhenderon ne ratsteristha nʼadènnyode, ok egh wa-ehhawighte. 
JHN.2.9	Ne onen ne ratsteristha tsiyakodennyode rotkènse nʼoghneganoghs nene wine yaweght yodòn, ok yaghten hodogense tsinonwe tayehhawe: (ok ne ronwadinhase nene radighnegadaghkwen ronaderyendare nene) ne ratsterislha nʼadènnyode tahhònonke nene onwa wahhonyake. 
JHN.2.10	Ok waghrenhaghse, agwegon nʼongwe yaweght tsidyodaghawen ethone waégéron ne kaghnegiyose; ok onen, tsi eso yakoghnegiren ethone nene tyòdokte, ok ise denghnon ok onwa wasadaghsyon ne kaghnegiyo. 
JHN.2.11	Nene kengayen tsidyorighwaghsawen ne yoneghragwaghtenyon nʼaorihhòten, tsidkanàdayen ne Cana ne Galileetseràgon etho ne hoyèren ne Jesus, ok waonderighhowanaghte raogloria, ok ne raotyoghkwa teyakaweghdaghkon.
JHN.2.12	Oghnagenke raonha, ne ronisdenha, rondaddegen ogònwa ok oni ne raotyoghkwa, egh wahhoneghte Capernaum ok yagheso egh te hodeghniserókten.
JHN.2.13	Ok onontohha emvaderighwihhewe ne raodeghniscra ne Jewshaga nene eren wa-ondongoghte (ne passover), ok Jesus Jerusalemne yehharawe. 
JHN.2.14	Ok kanonghsagon nʼononghsadogenghte ne Temple, egh waghsʼhakòrane ne rononha ne rondeaghnínons ne tehunhenskwàra, teyodinagarondon ok oni oorìde, oni ne rondaddawighs nʼoghwisda, etho radíderon. 
JHN.2.15	Ok ne onen waghroni ne yeghsoghkwawissaaghta, atste waghshakoyadinnegenhon, ok oni ne teyodinagarondon ok ne tehunhenskwara; ok wahhawerenton ne raodighwisda, oni wahhatkarhatho ne attegwaraghhogon. 
JHN.2.16	Okwahsʼhakawenhaghse, ne ooríde rondenghnínons, eren sewahhàwighte ne kengayen, nene Rakenhha tsi roncmghsode toghsa etho enkenhak tsi yondeaghninontha. 
JHN.2.17	Ok sahhoneghyàrane ne raotyonghkwa tsi kaghyàdon, tsini yoghskenha ne sanonghsode ne yohkwennda-on tsikonhe.
JHN.2.18	Ok tahhondady ne Jewshaga wahhonwenhaghse, oghnahhoten adennagèraghton askwanadonhaghse tsi kengh ne satyerha. 
JHN.2.19	Jesus tentahhadady ok waghsʼhakawenhaghse, sewanonghsarighsy ne kengagen Temple, ok aghsen niweghniserage ensekeketskwen. 
JHN.2.20	Ethone wahhoniron ne Jewshaga, kayeri niyoghseraghsen ok yayak yawenri tsinahhe waeweyenendane ne kengayen temple, ok ise aghsen ken ne weghniserage ok enseketskwen. 
JHN.2.21	Ok raonha ne radadditon ne raoyeronke yaweght ne temple. 
JHN.2.22	Ethone kadi tsi shotkeskwen tsi rawenhèyoghne, ne raotyoghkwa sahhoneghyàrane tsi ne kengayen waghsʼhakawenni ok wathoneghtaghkon ne kaghyadoghseradogenghte ok ne ne Jesus tehowenninegeon. 
JHN.2.23	Ethone tsi eghyeresgwe Jerusalem, ne tsi eren waondongoghte tsi waondennyóden, eso wathoneghtagkon ne raoghsennagon, ethone tsi wahhontkaghtho ne yorighwanneghragwaght tsinihotyèren. 
JHN.2.24	Ok denghson Jesus yaghten hodadyadodaghsyon rononhage, ne wahhone tsisʼhakoyenderhe-on agweson nʼongwe. 
JHN.2.25	Yagh oni tehodoghwhenjonighni ahonwaghrory tsiniyought nʼongwe; iken roderyendare tsi nahhóten ongweghne iddewat.
JHN.3.1	Sʼhayàdat ne rongwe tsini kentyoghkoten ne Pharisees, Nicodemus ronwayatskwe rakowanen ne ne Jewshaga. 
JHN.3.2	Ne sagat egh wareght Jesusne Aghsenthenge, ok wahhawenhaghse, Rabbi, wakwayènderene scrighhonyèní Niyoghne tesyenghtaghkwe, iken yagh onghka nʼongwe tʼayegweni etho ne éyere tsiniyo-righwaneghragwaghte ne satyerha, togat yagh Niyoh tʼaghncseke. 
JHN.3.3	Jesus tentahhadady ok wahhawenhaghsc, togenske, togenske onwe, wakoghròri, togat yagh àse tʼenshonwadewedon yaghten ahagweni ahatkaghtho ne raoyanertsera ne Niyoh. 
JHN.3.4	Nicodemus wahhawenhaghse, oghna-awan enshonwadewedon ne rongwe onen tsi roksten, ahagweny ken ne tekenihadont enshadaweyat tsiwadewedonghkwa neronistenha ok aonsahonwadewedon? 
JHN.3.5	Jesus tenfcahhady, togenske, agwagh togenske wakoghròri togat ne rongwe yaghtʼen shonwadewedon oghneganoghsne, ok oni kanigonghriyostogne, yaghten ahagweni enhadaweyat tsi raoyanertsera ne Niyoh. 
JHN.3.6	Tsi ok nahhoten waondewedon tsiniyought nʼowàron, owàron naah; ok nene waondewedon tsiniyought ne kanigonra kanigonra naah. 
JHN.3.7	Toghsa saneghràgo tsi waken, àse enyetshiya-dewedon. 
JHN.3.8	Nene ok tekawenniyoh tsi yaoda dvese, ok sathonde tsi karitstare, yagh denghnon te sadogense tsinidyawénon tsi oni ne yawènonhatye egh kadi níyought agwegon waondaddewedon ne Kanigonhgriyostogne. 
JHN.3.9	Nicodemus tentahhadady ok wahhawenhagbse ughna-awenne ne kengayen. 
JHN.3.10	Jesus teharighwaseragon ok wahhawenhaghsc, itkowànen kadi ken ne Israelhaga, ok yaghten serighwayendèri ne kengayen. 
JHN.3.11	Togenske, togenske onwe, wakoghrory, wawaghtharaghkwen ne ne yakwarighwayèndèri, ok sàyakwatrory ne nahhoten wakwatkaghtho, yaghoni te sewatsteristha tsini yakwarighhòten. 
JHN.3.12	Togat nonken wakwaghrory tsmiyoderiwayeu rʼoghwhenjage ok yaghten teseweghtaghkon, oghnen-awen aonteseweghtaghkon nene enkwaghrory tsinikarrihhoten ne Karònyàge? 
JHN.3.13	Yagh onghka nʼongwe eneken teyakawenonghton Karonyàge ok ne raonha nʼegh thoyenghtaghkwen ne Karonyage ne naah ne rongwe ronwayeah ne ne Karonyage yehenderon. 
JHN.3.14	Ok tsiniyought ne Moses tʼhoketskwen nʼonyàre karhagon, etho oni nen yàwenne nʼongwe ronwaye-ah enhonwaketskwen. 
JHN.3.15	Nene onghka kiok teyakaweghdaghkon raonhage yaghten a-onghtonde ok rodiyen ne eterna adonheta. 
JHN.3.16	Iken ne Yehovah egh ne sʼhakonoronghkwa nʼongwe, nene rodewendeghton nene raonhàon rodewedon rohhàwak, nene onghka kiok teyakaweghdaghkon raonhage yaghten a-onghtonde, ok denghnon aontehodiyendane ne eterna adonhèta. 
JHN.3.17	Iken Niyoh yaghten yehonhà-on ne roye-ah nʼoghwhentjàge ongweghne nene enshakodewendeghte nʼongwe, ok nene aontyesenhak raonha raoríwa nʼongwe enshonwadiyàdagon. 
JHN.3.18	Raonha nene tehhaweghtaghkon raonhage yaghten enhonwadewenndeght, ok raonha nene yaghten tehaweghtaghkon a onen si ronwadewenndeghton, ne wahhòni tsi yaghten tehaweghtaghkon ne raoghsenagon ne raonha-on rodewedon tohhàwak ne Yehovah. 
JHN.3.19	Ok kengh nen yàwen tsi waondaddewènndeght, nene kaghswathctsera wa-onwe nʼoghwhèngage, ok nʼongwe senliha wa-enònwene tsi tyòkaras tsiniyought tsidyoghswathèt, ne wahhoni tsi karighwaksen tsinihontyerha. 
JHN.3.20	Iken agwegon ne wahhetken yontsteristha, yeghswenghse tsi teyoghswathet, yaghoni tʼenyonwe tsi deyoghswathet togat nonken tsini yontyerha aonteyerighwaddedeghten. 
JHN.3.21	Ok raonhha nene togenske tekarìghwayèri tsinihatyèrha egh entreghte tsi deyoghswathet, neneaontyescnhak tsinihatyerha aonderighhowanaghie, tsi Rawenniyògc ne kaweyenenda-on.
JHN.3.22	Oghnagènge Jesus ok ne raotyoaghkwa wahhonewe Judeatseràgon: ok egh yehònesgwe, ok waghsʼhakoyatise. 
JHN.3.23	John oni sʼhakoyatìsen-onhatye Enontséragon nene Salem niyoré-ah, iken eso egh kaghnegayen daghkwe oni egh wahhonewe ok wahhonwadiyatise. 
JHN.3.24	Iken John arekho te ronwayadinyenten tsi yondaddenhodonghkwa. 
JHN.3.25	Ethone watyorighwakédodhen wathonderighwagènni oddyake ne John raotyonghkwa, ok ne Jewshaga tsinayoughton enyondadyadohharehha. 
JHN.3.26	Ok eghwahhòncwe Johnne, ok wahhonwen-hàghse, Rabbi, raonha nene ycharawe tsiyésesgwe Jordan isi nongadih, nene wasatròri tsihorighhònden nʼetho sagat sʼhakoyarisen-onhatye, ok ongwe hogon eghwaonderoroke raonhhage. 
JHN.3.27	Ok John teharighwaseràgon, ràwen, yagh nahhoten tʼenhoyendane nʼongwe, ne ok ne Karonyage aontahhonwawih. 
JHN.3.28	Ise sewarighwayenderi nene waken, yagh niih degen ne Christus ok ne raohhendon yeyonenhà-on. 
JHN.3.29	Raonha ne waghyàtye ne kayàdase ne naah wahhonyake: ok denghnon ne yadènron ne ronyàkon nene tsi egh írade rowenna thònde eso wahadonhàren, ne aoriwa ne raowenna ne ronyàkon. Ne kengayen kadi nonwa watkayérine tsi niih ne wakadonhàren. 
JHN.3.30	Raonha enhakowanha, ok iih ensewaderàgon. 
JHN.3.31	Raonha nene enegen tʼhoyenghtaglikwen agwegon sʼhakodongoghtenni, nene oghwhentjage ranakere etho yaweght ne hayadoten ok oni ne oghwhentja roghtharaghkwen, ok ne Karonyàge tʼhoyenghtaghkwe, agwegon yesʼhakodongoghten. 
JHN.3.32	Ok ne nahhoten rotkaghtho oni rothònde, ne rarighwatroryàtha ok yagh onghka te yakoyèna tsinihorighhòten. 
JHN.3.33	Raonha nene royèna tsinihorighhòten roweyenenda-on ne raonigonragon tsi togenske naah ne Niyoh. 
JHN.3.34	Iken raonha nene Niyoh ronha-on, nene raowenna-ogon ne Niyoh tehawenninagen-onhatye, iken ne Niyoh yaghten ne adenyendensta tehotyéráton tsi ronigonghràwi. 
JHN.3.35	Iken ne Ranihha ronoronghkwa ne royeah, ok yorighwagwegon ne rorighhondyeghton. 
JHN.3.36	Raonha nene tehaweghtaghkon ne Royeah tsiniyehenwe aghronheke, ok nene yaghten tehaweghtaghkon, yaghten enhatkaghtho ne yonhétséra, ok ne raonakwenghsera Niyoh enhonwatyese.
JHN.4.1	Ethone kadi wahhodogense ne Royaner tsi ronaghronken ne Pharisees si Jesus fénha wahhotyoghkwayendane ok wahsʼhakoyatise tsiniyught ne John. 
JHN.4.2	Sàne raonha ne Jesus yaghten wahsʼhakoyatise ok ne raotyonghkwa etho ne hodiyéren. 
JHN.4.3	Eren sareghte ne Judea, ok sarawe Gallìleets-eràgon. 
JHN.4.4	Ne kadi aoríwa Samaria nonga yehhodoh-hetfton. 
JHN.4.5	Ethone yehharawe tsi nonwe kanadaye Samariatseragon nene konwayats Sychar, ok niyoreah tsiyonkwènràre nʼoghwhenja nene Yakwek rowigh ne Roye-ah Joseph. 
JHN.4.6	Egh nonwe yekaghnégo ne Yakwek ròkwàthon, Jesus kadi tehowishenhéyon, tsi rathahhaghkwe, eghwahhatye akda tsi kaghnégon: nene yayakhadont hour tsiniyodeghniserìne. 
JHN.4.7	Egh wa-onwe nene Samaria-haga onheghtyen, nene yeghnegotsyenghtáne. Jesus wahsʼhakawen-haghse, kafha nʼaknegìra. 
JHN.4.8	(Iken ne raotyonghkwa tsi kanadaye ronénonghtone radighninònre nʼadenàtsera.) 
JHN.4.9	Ethòne tentahhonwenhaghse, ne Samaria-haga onheghten oghniyotyéren, Jewshaga se nʼaghsyadòten, ok ighseghre enyonknègon nʼaknegira, Samaria-haga se niih; iken ne ne Jewshaga yaghothènon tehondadsteristha ne Samaria-haga. 
JHN.4.10	Jesus tʼhodady ok wahsʼhakawenhaghfe, togat nonken enserighwayenderhen tsinisʼhakàwen ne Niyoh, ok nene onghka nonwa waghyènne kasha nʼaknegìra; ise denghnon àeghtsenègen ok aghyaghnégon ne yonhe onwe ne kaghnegòten. 
JHN.4.11	Nene Onheghtyen tentahhonwenhaghse, Sewenníyoh, yaghnahhoten te sayen nʼasnegojenghthak, ok yoghsonwis tsi kaghnégon kàh kadi enteshàwight nʼetho ne yonhe onwe ne kaghnegòten. 
JHN.4.12	Senha ken ighskowànen tsiniyught nʼeghtsidewanihha Yàkwek, nene sʼhongwàwigh tsi kaghnegon, ok oni ne raonha ne sʼhakoyen-ongonwa, oni raodsèna-ongon radighnegirhaghkwe ne sagat. 
JHN.4.13	Jesus tehharighwaseràgon ok rawen onghka kiok enhaghnegíren ne ken ne kaghnegòten, enshonyadadhense. 
JHN.4.14	Ok onghkakiok raghnegírhen oghneganoghs nene iih enhíyon yaghnonwèndon tʼensahhonyadat-hense; ok ne oghneganoghs ne iih enhíyon ne enkenhak ne yoghnawenrotte nene eghyaweghtonhatye tsinonwe tsiniyehenwe enyákonheke. 
JHN.4.15	Nene onheghtyen tahhonwenhaghse, Sewenniyoh tàkon ne kengh ne kaghnegòten, nene yaghten ensewakonyadathenghse yaghoni tʼaonseknegakohha ne kentho. 
JHN.4.16	Jesus wahsʼhakawenhaghse, wa-as, yaghtshinonk ne tesenideron ok kàro tendasseneght. 
JHN.4.17	Ok ne onheghtyen, tagènron, yaghten wakenyàkon, Jesus waksʼhakawenhaghse, wateserighwayérste tsi waghssron, yaghten wakenyàkon. 
JHN.4.18	Iken wisk ne sennyakòne ok ne nonwa isenese yaghten senninyàkon, ne kadi togenske, tsi nʼaghsyére. 
JHN.4.19	Ne onheghtyen wahhonwenhaghse, Sewsen-niyoh, Prophet na-ah nʼise tsi tewakyadoreghtha. 
JHN.4.20	Dhinnih hògon tsi yononde ne keogayen wahhonwanidenghtàse ne Yehovah, ok sewenyon nʼise, Jerusàlemne naah ne yoweyenston tsinonwe nʼongwe enhontsèrist ne Rawenniyoh raoriwa. 
JHN.4.21	Jesus. Wahsʼhakawenhaghse, Sennheghtyen, aghserhek enwaderighwihhewe, nene yaghten tsi yononde ne kengayen yagh oni Jerusalemne tenhonwanidenghtase ne Ranihha. 
JHN.4.22	Yaghten sewarighwayenderi nahhoten sewani-denghtase, ok niih yakwarighwayenderi ne nahhoten wakwatsteristha, iken ne Jewshagage nonga yekariwayen ne salvatione, (nene enyondadyadàgon.) 
JHN.4.23	Ok enwaderighwihhewe ok onen nonwa watkayèrine, nene togenske ronderennayeghs, kanigonràge enhonwanidenghtase ne Niyoh ok nene togenske onwe; iken ne Ranihha etho niyought sʼhakoyadísaks enhonwanidenghtase. 
JHN.4.24	Kanigonra naah ne Níyoh: ok rononha nene ronwanidenghtase, kanigonrage ok oni togenske onwe etho nʼenhadíyere. 
JHN.4.25	Nene onheghtyen sahhonwenhaghse, kerighwayenderi entre ne Messias, nene Christus ronwayats, ethone neonen enrawe agwegon ensʼhongwarighhoktaghse. 
JHN.4.26	Jesus wahsʼhakawenhaghse, nene nonwa koghtharàne iih naah nʼetho.
JHN.4.27	Ethone sahhonéwe ne raotyonghkwa ok wahhodineghrago tsi tehodightare ne onheghtyen, yagh sàne onghka teyakàwen, nahhoten ighseghre? oghneyotyèren tsitesenighthare? 
JHN.4.28	Ethone ne onheghtyen sʼoughdéndi ok tegayen ne yoghnegagohhenghne, ok eghsàweghde tsi kanàdayen neoni wa-kawenhaghse ne radinakere. 
JHN.4.29	Kassewe, eghtsisewatkensère ne rongwe ne ne agwegon rakerighhoktaghse tsiniwakyéren tsinahhe, yagh ken ne tʼenkenhak ne Christus. 
JHN.4.30	Ethone wahhadiyàgenne tsi kanadayen ok egh wahhonewe tsi renderon.
JHN.4.31	Aghson tsi egh ne waderighwihhawise, ne raotyonghkwa, ronwénni, Sewenniyoh sennyahhek. 
JHN.4.32	Ok saghsʼhakawenhaghse, wakèhkwayen ne enkeke nene yaghten sewayendèri. 
JHN.4.33	Ne kadi wahhoni rònen ne raotyonghkwa ok ne rononha-on, ronwanònten onghte ken ne kahkwa. 
JHN.4.34	Jesus waghsʼhakawenhaghse, ne naah nʼàkehk-wa ne enkaderighwaghtendyat tsinihonigonghro-ten ne rakhennha-on ok enkeweyenendane ne raoyodenghsera. 
JHN.4.35	Yagh ken tesewen, aghson kayèri niweghnidage yeyodadenron, ethone enwaderighwihhewe tsinenyennekerìyake, onen, wakwenhaghsè, sewatkaghkwarighsyon, ok sewatkaghtho tsi kaheghtayendon, onen se wakenràgenne ne yodòne tsini yoweyenston enyéyake. 
JHN.4.36	Ok ne raonha ne ranekerìyaks ronwadenghraghserons, ok raròroks ne wadonyanyon, ne énhoyendatye tsi eterna adonheta, nene aontyesènhak ne rayenthoghse ok oni ne ranekerìyaks enskatne aghyadonhàren. 
JHN.4.37	Eghnonwe yaweght togenske ne yondon, sʼhayadat rayenthoghse, ok tesʼhayadate ranekeríyaks. 
JHN.4.38	Kwannha-on ne ensewanekeríyake tsi nonwe yaghten sewayode-on; oya nʼongwe yakayòdeghwe ok tsi sewadaweyàdon raodiyodenghseràgon.
JHN.4.39	Ok yawetowànen ne Samaria-haga, tsi eghkanadayen radinakere wathoneghtaghkon raonhàge, ne aoriwa tsiniyakawen nʼonheghtyen, tsiwaontrory, agwegon ne wahhakherighhoktaghse tsiniwakatyèren tsinahhe. 
JHN.4.40	Ethone se ne onen ne Samaria haga wahhon-wayadòrenne, wahhonwarighwanegen, nʼetho enhattyen tsi radideron; ok tekeni egh waghreghniseròkten. 
JHN.4.41	Ok yawetowanen nʼoya teyakaweghdaghkon ne aoríwa raonha raowenna. 
JHN.4.42	Ok wakonwenhaghse ne onheghtyen, onen nonwa teyakweghtaghkon yagh ne te gen ne ok aoriwa tsinisayeren: iken sakwawennaghronken oni niih, ok wakwaderyendare nene kengayen togenske onwe naah ne Christus, nene ensʼhakoyadàgon ne ongwe.
JHN.4.43	Tekeni tewada Oghnagenke eren sàregde, ok Galileetseràgon wàrawe. 
JHN.4.44	Iken Jesus raonha ok rorighwadadigh, nene Prophet yaghten honwarighwakonyensten raonha agwagh tsi ranakere. 
JHN.4.45	Ethone ne onen yeharawe Galileetseràgon wahhonwadeweghkwen ne Galilee-haga, ronaderighwatkaghtho se yorighwagwegon tsinihoyéren Jerusalemne tsi wadennyode, iken rononha egh radiyadareghkwe. 
JHN.4.46	Etho sarawe ne Jesus tsi Kanadaye ne Cana-Galileetseràgon, tsinonwe Oghneganoghs wine wahha-onyon, ok rayadatogen ne Royaner nene roye-ah egh si wahhononghwaktane Capernaum nonwe. 
