MAT.1.1	Tíhi mé chrónka nkexro kꞌuaxrjeníxin Jesucristo. Jesucristo mé kꞌuaxrjeníxin David la ko Abraham.
MAT.2.13	Ndá ti ó kjuixin sákjuí ti sin mago, la kotáchrién chꞌin José kꞌuíkonxín kixin ikui ijnko ángel kuènté Ìnchéni la ndáchro:
MAT.2.13	―Tꞌàyá, la sátjiko̱a ti ixjan la ko ti ìñé xjan, Egipto. La ntahó tꞌejora hasta tso̱xrja̱nkajia, kixin ti rey Herodes la tsjeyá ti ixjan kixin tsꞌóñá ―mé xi̱kaha ichro ti ángel.
MAT.2.14	A̱ndá chꞌin José kꞌuàya la kuákja ti ixjan la ko ti ìñé xjan la sákjuí sin Egipto kjónté tie, 
MAT.2.15	*la ntahó kꞌuejó sin hasta ikꞌuén ti rey Herodes. Ndá xi̱kaha xiteyá ti nkehe chrónka Díos, kꞌuénixja ti sin tsíchronka itén Díos ósé. Tsíndáchro: “Chjasin Egipto kjuákꞌe ti xja̱na ndá kꞌue̱ya̱ha̱.”
MAT.2.16	Ndá kónohe ti rey Herodes kixin ti sin mago la kjuíchꞌia sin, ndá imá kónínkaon chꞌan la kꞌue̱to̱an chꞌan kixin itsꞌen kaín ti xjan ndoa na̱xa̱ chóntahya yaá nánó tjejó Belén éxi ti nánó chónta ti ixjan tsíchronka ti sin mago. 
MAT.2.17	Ndá xi̱kaha xiteyá ti nkehe tsíkjin chꞌin Jeremías, ndáchro:
MAT.2.18	tsjánka kixin siín nchónhña kjuaxikaon,
MAT.2.18	ti tjan Raquel tsjánkàma̱ ti xje̱en.
MAT.2.18	La kohya nkexro tsjacha tsonixje̱he̱ tjan kixin kaín ixjan la ikꞌuén xjan.
MAT.2.19	Ndá chrꞌéxi̱n ti ó ikꞌuén ti rey Herodes, la kotáchrién chꞌin José kꞌuíkonxín ijnko ángel kuènté Ìnchéni ti na̱xa̱ kjuákꞌe chꞌan Egipto, la ndáchro:
MAT.2.20	―Tꞌàya, la ikjan Israel, sátjiko̱a ti ixjan la ko ti ìñé xjan kixin ó kjuixin ikꞌuén ti nkexro chrókꞌóñá ti jehe xjan ―ichro ti ángel.
MAT.2.21	Ndá chꞌin José kꞌuàya la sákjuíko ti ixjan la ko ti ìñé xjan chjasin Israel. 
MAT.2.22	Kjánchó ti kuíhin chꞌan kixin Arquelao mé tꞌe̱to̱an Judea, ti kuékꞌe̱to̱anxín ti itꞌé chꞌan, ti rey Herodes, ndá chꞌin José la chrákon chꞌan la sákjuihya sin ntiha. La kotáchrién chꞌan chrónkaxín Díos kixin sátsji sin Galilea. 
MAT.2.23	*Ndá kjuíji sin ntiha la sákjuí sin ijnko chjasin itꞌin Nazaret la ntiha kꞌuejó sin. Mé xi̱kaha xiteyá ti nkehe tsíchronka ti sin kꞌuénixja itén Díos ósé kixin Jesús mé itsꞌin nazareno.
MAT.3.1	A̱ndá ti ña̱o a, chꞌin Juan, ti nkexro ti̱ki̱te chojni, mé kjuákꞌe nte̱je̱ Judea kjuako, 
MAT.3.2	*ndáchro:
MAT.3.2	―Ti̱to̱héra iji̱ára la tjínkíra ti nkehe tjénka̱yáxinra la titekáonra Díos kixin ti kjuachaxin kuènté Díos la í séhya itsi.
MAT.3.3	Tsihin sin itén ijnko nkexro tsjakꞌe nte̱je̱ tsꞌèya tsondáchro:
MAT.3.3	“Tóxakohanra ncheyóxinra nti̱a kuènté Ìnchéni.
MAT.3.3	Takítjehéra ijnko nti̱a ndoí.”
MAT.3.5	Itsjé chojni tsíkji̱xi̱n Jerusalén, la ko Judea la ko ti chojni tjejó chjinaxón ti nda̱río Jordán mé kjuíji sin kixin tsihin sin ti nkehe tjako chꞌin Juan. 
MAT.3.6	La chrónka sin ti iji̱é sin ndá chꞌin Juan kui̱ki̱texín chꞌan sin ti nda̱río Jordán.
MAT.3.7	―Jahara tsíkꞌaxrjeníxinra konche. ¿Xá nkexro kjuitꞌayahara kixin jína tsinkehéra ti kjuanínkaon kuènté Díos itsi chrꞌéxi̱n? 
MAT.3.8	Ticháxi̱n tsjáko̱xi̱nra kixin chaxín kjuitóxi̱nra ti nkehe tjénka̱yáxinra. 
MAT.3.9	*La chrókjui̱nchenkehyara chróndáchrora kixin Abraham kꞌuaxrjeníxinra. Kixin janhan ndáxrja̱n kixin kjónté ti ixro̱ i, la Díos tsjacha sichꞌéna chojni tsíkꞌaxrjeníxin Abraham. 
MAT.3.10	*Ti hacha la ó tjechóhen kixin tsochrijinxín ti inta la kaín ti inta tꞌónahña ito la tsochrijin kixin tsoche. 
MAT.3.11	Janhan la chaxín ìnta̱ ó tíki̱texián chojni kixin tja̱ko̱xi̱n sin kixin chaxín ó kuíto̱he sin ti iji̱é sin. A̱ndá ti nkexro itsi chrꞌéxi̱n mé tsi̱ki̱texínra ti Ncha̱kuén Díos la ko xrohi. Jehe chꞌan la a̱ntsí tꞌe̱to̱an chꞌan. La tósuàna chrókjuakꞌéxria̱ha̱ chꞌan ti to̱ka̱té chꞌan. 
MAT.3.12	Jehe chꞌan la ó tjexraá chꞌan ti pala sinchetjuáxin chꞌan ti noatrigo, la ti noatrigo la tsjenájín chꞌan tsꞌe̱nka̱chjina chꞌan. A̱ndá ti chji̱nínó la tsjakaxín chꞌan ti xrohi nkochríxín tsꞌankahya ―mé xi̱kaha ichro chꞌin Juan.
MAT.3.13	Ndá chꞌin Jesús kjui̱xi̱n Galilea la ikui chꞌan ti nda̱río Jordán ti itjen chꞌin Juan kixin chꞌin Juan tsi̱ki̱te ti jehe chꞌan. 
MAT.3.14	Kjánchó chꞌin Juan la chrohya chꞌan tsi̱ki̱te chꞌan ti chꞌin Jesús, la ndáchro chꞌan:
MAT.3.14	―Náhí. Jaha chrókuíki̱tena, landá, ¿jaha kꞌuinkachréhé ti janhan ní?
MAT.3.15	Ndá kjuáte̱he chꞌin Jesús ndáchro:
MAT.3.15	―Tito̱hé, xi̱kahña tjénka̱yáxian kixin ticháxi̱n tsíki̱tena kixin tsoxiteyá ti nkehe kꞌue̱to̱an Díos.
MAT.3.15	Ndá chꞌin Juan kuitekaon. 
MAT.3.16	Ndá ti ó kjuixin kuikite chꞌin Jesús ndá kꞌuaxrjenkíxin chꞌan ti ìnta̱ la xitje̱he̱ ti nka̱jní la kꞌuíkon chꞌan ti Ncha̱kuén Díos kui̱xi̱n nkaya nka̱jní, éxi ijnko kontóá xi̱kaha, la kjuákꞌe chritaón ti jehe chꞌan. 
MAT.3.17	*Ndá kuíhin sin ijnko itan kui̱xi̱n nka̱jní, ndáchro:
MAT.3.17	―Tíhi mé xja̱na imá tjua̱ha̱ la imá chàna kixin nchexiteyá chꞌan.
MAT.4.2	Ndá ó kꞌuatsínka cuarenta ña̱o la ko cuarenta tie kjoniehña chꞌan landá ikꞌuén chꞌan kjinta. 
MAT.4.3	Ndá kóchjina ti Jínahña la ndáchro:
MAT.4.3	―Ti chaxín jaha Xje̱en Díos la ndáche ti ixro̱ i kixin tsꞌóna nio̱tja̱ sinte.
MAT.4.4	―Náhí. Ndáchro xroon itén Díos: “Jehya jehó nio̱tja̱ ó tjejóchónxin chojni. Náhí. Kaín ti itan nixja Díos mé tꞌejóchónxin chojni.”
MAT.4.5	Ndá ti Jínahña mé sákjui̱ko ti chꞌin Jesús ti chjasin tjóá, ti chjasin Jerusalén, la sákjui̱ko chritaón ikja ti ni̱nko imá noi, 
MAT.4.6	*la ndáchro:
MAT.4.6	―Ti chaxín Xje̱en Díos ti jaha, la tꞌanótjexian ntihi kixin ti xroon itén Díos la ndáchro kixin:
MAT.4.6	Díos mé tsochrꞌán ti ángel kuènté kixin tsꞌayakohan.
MAT.4.6	La tsotsé sin itjá
MAT.4.6	kixin tsjotéhya to̱tá tsꞌitja ixro̱.
MAT.4.7	―Náhí. Ndáchro xroon itén Díos, kixin “Chji̱ñéhña chrókjuásixián ijnko kjuaxroan kixin tsꞌikon íso chojni á chaxín tjinki̱tsa Díos o̱ náhí.”
MAT.4.8	Ndá ti ó kjuixin, la sákjui̱ko ti Jínahña ti chꞌin Jesús ijnko ijna̱ imá noi la kjuako ti Jínahña kaín ti nación siín chjasintajni la ko ti nkehe tjete chónta. 
MAT.4.9	La ndáchro:
MAT.4.9	―Kaín tíhi tsotjahá ti tsjakꞌexi̱án tóchꞌian la tsjíkosáyehé ti janhan.
MAT.4.10	―Sátjia Satanás, kixin ti xroon itén Díos ndáchro: “Jehó Ìnchéni Díos chrókjuíkosáyehé la ko jehó chꞌan chrókjui̱chꞌehé chꞌan ixra̱.”
MAT.4.11	Ndá ti Jínahña la kuíto̱he ti chꞌin Jesús la ikui sin ángel kjuínki̱tsa ti jehe chꞌan.
MAT.4.13	*Kjánchó kuíto̱ehya chꞌan Nazaret; sákjuí chꞌan Capernaum la ntiha kjuákꞌe chꞌan. Ti chjasin itjen chrínta nda̱ñao chjino Zabulón la ko Neftalí. 
MAT.4.14	Mé xi̱kaha xiteyá ti nkehe tsíkjin Isaías, ti nkexro kꞌuéchronka itén Díos ósé, ndáchro:
MAT.4.15	itjen ti nti̱a chrínta nda̱ñao la ko ti nda̱río Jordán,
MAT.4.15	Tihínra jahara tjejora Galilea ti tjejó ti sin jehya judío:
MAT.4.16	Ti sin kuékꞌejó sítie, mé kꞌuíkon sin ijnko xrohi ijié,
MAT.4.16	la ko ti sin kuékꞌejó éxi tsíkꞌen
MAT.4.16	mé ti xrohi a kꞌuinkaséñexín sin.
MAT.4.17	―Ti̱to̱héra iji̱ára. La tákjára ti nti̱a ni̱xin kixin ti kjuachaxin kuènté Díos itjen nkaya nka̱jní la í séhya itsi.
MAT.4.18	Ndá ti kꞌuatsínka chꞌin Jesús chrínta ti nda̱ñao Galilea, la kꞌuíkon chꞌan yaá sin nkoko̱a kícho sin, ijnko chꞌan mé itꞌin Simón, mé kja̱xin itꞌin chꞌan Pedro, la ko ti kícho chꞌan itꞌin Andrés. Jehe sin mé itꞌe sin ti nchísén chrínkí ìnta̱ kixin xritsé sin koche. 
MAT.4.19	Ndá chꞌin Jesús ndáchro:
MAT.4.19	―Chréhéra ti janhan ndá tso̱tja̱hára ixra̱ tsjéyára chojni.
MAT.4.20	Ndá tuénxín kuíto̱he sin ti nchísén kꞌuétséya sin koche, la chréhe̱ sin.
MAT.4.21	A̱ndá kjínhña kjuíji chꞌin Jesús la kꞌuíkon chꞌan í yaá sin, nkoko̱a kícho sin, mé Jacobo la ko Juan, xje̱en chꞌin Zebedeo. Tjejóko sin ti itꞌé sin nkaxehen ijnko ntabarco la tjejótjo̱nité sin ti nchísén tséya sin koche. La chꞌin Jesús kꞌuéye̱he̱ ti sin a kja̱xin. 
MAT.4.22	Ndá jehe sin tuénxín kuíto̱he sin ti ntabarco la ko ti itꞌé sin, ndá chréhe̱ sin chꞌin Jesús.
MAT.4.24	Ndá kaín ti sin tjejó Siria kuíhin sin nkexrín ti kjuaxroan kjuasin chꞌin Jesús landá kjui̱ka̱o sin kaín ti chojni níhi, kaín ti chojni chónta kjuatjoté la ko ti chojni chónta ncha̱kuén jínahña, ti chojni tꞌaniáte la ko ti sin tsíxénká to̱té, landá chꞌin Jesús kjuínchekito̱he chꞌan sin jína. 
MAT.4.25	La itsjé chojni chréhe̱ ti chꞌin Jesús, ti sin kjui̱xi̱n Galilea la ko ti sin Decápolis, ti sin Jerusalén, kaín chojni siín Judea la ko ti sin tjejó chjinaxón ti nda̱río Jordán.
MAT.5.1	Ndá kꞌuíkon chꞌin Jesús kixin kꞌuejó itsjé chojni la chrìin chꞌan ijnko ijna̱ la ntiha kjuákꞌetja̱xi̱n chꞌan. Ndá ti sin kꞌuájiko chꞌan la kóchjina sin ti itjen chꞌan. 
MAT.5.2	Ndá chꞌin Jesús kjuankíxin kjuako chꞌan, ndáchro chꞌan:
MAT.5.3	―Díos ncheñao ti sin nóa kixin tichánxi̱hin sin Díos kixin jehe sin mé tsꞌáyéhe̱ sin ti nonte nkaya nka̱jní.
MAT.5.6	*’Díos ncheñao ti sin tjinkaon sinchexiteyéhe Díos éxi ti itꞌen sin kjinta la ko itꞌen sin ìnta̱ xi̱kaha tjeyá sin chꞌan, kixin Díos mé tsjinki̱tsa kixin tsochóxin sin ti jehe chꞌan.
MAT.5.7	’Díos ncheñao ti sin ti̱konoéhe̱ kícho, kixin jehe chꞌan kja̱xin tsi̱konoéhe̱ chꞌan ti jehe sin.
MAT.5.9	’Díos ncheñao ti sin tjinkaon ti kjuaxróxin kixin Díos mé sichꞌéna chꞌan xje̱en chꞌan ti jehe sin.
MAT.5.12	*La a̱ntsí chrókócháhara la ko kjuaxróxin chrókꞌuejora kixin jahara tsꞌayéhéra ti nkehe imá jína nkaya nka̱jní. Kixin xi̱kaha kjuasóte ti sin kꞌuéchronka itén Díos kꞌuejó ósé.
MAT.5.15	*La ko jehya tꞌákjen ijnko xrohi ndá tjakꞌe chrínkí ijnko ntacajón. Náhí. Ti xrohi la tjakꞌe noi kixin tsꞌinkaséñexín kaín ti nkexro siín ti nchia. 
MAT.5.16	*Mé xi̱kaha ti jahara chrókꞌónara éxi ti xrohi chrókꞌuinkaséñaxín kixin tsꞌikon kaín chojni ti ixra̱ jína tjejochꞌera, la chrókjuikosáyehe sin ti Itꞌéni itjen nkaya nka̱jní.
MAT.5.17	’Chrokjuénka̱yáxinhñara kixin kꞌuinka kixin si̱ntakꞌitjáña ti ley tsíkꞌe̱to̱an Moisés la ko ti nkehe kjuako ti sin kꞌuéchronka itén Díos. Náhí. Kꞌuinka kixin si̱ntaxiteyá kaín tíha. 
MAT.5.18	*Chaxín ndáxrja̱n kixin ti na̱xa̱ itjen ti nka̱jní la ko chjasintajni la ninkehó ley tsꞌitjáñahña, nijnko punto la nijnko letra kuènté ti ley tsꞌitjáñahña tsjixinjña tsoxiteyá kaín ti nkehe ticháxi̱n tsoxiteyá. 
MAT.5.19	Mé xi̱kaha, ti nkexro tsitekakonhña ti nkehe chónta ti ley, kjónté ijnko nkehe imá intsí, la ko chrókjuako kixin chrókuitekakonhña chojni, la ti nkexro a, la imá tso̱ntsí ti ó itsi ti kjuachaxin kuènté Díos. A̱ndá ti nkexro tsitekaon la ko tsja̱ko̱he̱ íso chojni kixin tsitekaon, mé ti nkexro a la a̱ntsí tsꞌe̱to̱an ti ó itsi ti kjuachaxin kuènté Díos. 
MAT.5.20	Méxra̱ tjo̱nka̱ra kixin ticháxi̱n a̱ntsí jína tsꞌejora, la tso̱yóahyara éxi ti sin tjako ley la ko ti sin fariseo, kixin ti tso̱yóhara ti jehe sin la xrokjuahya tsꞌayéhéra ti kjuachaxin kuènté Díos itjen nkaya nka̱jní.
MAT.5.22	A̱ndá janhan ndáxrja̱n kixin ti nkexro tso̱nínkakohen kícho mé tsicháxi̱n tsjasóte. La ti nkexro tsꞌándaxínhi̱n kícho mé ti sin tꞌe̱to̱an sinchekito̱exín ti iji̱é sin. A̱ndá ti nkexro tsondáche kícho kixin lo̱nti̱ mé sátsji tsjasóte ti siín xrohi tꞌankahya. 
MAT.5.23	Méxra̱ ti tsjiko̱ara ijnko nkehe ti altar nkaxehen ni̱nko tsochjehéra Díos, ndá tsoxraxinkáonra kixin kjuájo̱nko̱ara kichuara, 
MAT.5.24	la ti̱to̱héra ti nkehe a ti altar, la sátsjira nixjehéra ti nkexro a kixin í tsꞌixinhña kjuanínkaon. Ndá ti ó tsjixin la tsjihára tsjájonra ti nkehe tjinkáonra tsochje̱héra Díos.
MAT.5.25	’Ti siín nkojín chojni tjanchia ijie̱ la tjinkaon sin chrókjuiko̱ara sin ti tsito̱exín iji̱é sin, la ícha jína sa̱o chrókjóra ti nkexro a, ti na̱xa̱ nti̱a ó, kixin sáchrókjuihyara ti itjen ti chꞌin juez. Kixin ti sáchrókjuira ntiha la tsꞌe̱tue̱hen chꞌan ti sin policía kixin sátsjiko ndo̱echjiso ti jahara. 
MAT.5.26	Chaxín ndáxrja̱n kixin ti tsꞌikjaha ndo̱echjiso la tsꞌaxrjéxi̱nhña ntiha tsjixinjña tsjènka kaín ti chichaon chonta.
MAT.5.28	A̱ndá janhan ndáxrja̱n kixin ti nkexro tsokomá ijnko chojnichjin ndá tjakꞌe a̱sén tsochónta, la ó kjuixin kjuasin ijie̱ kixin a̱sén ndáchro tíha.
MAT.5.30	*A̱ndá ti itja chjina chrókjuásixián ijie̱ la chrókóchríjian la chrókꞌué ikjín kixin ícha jína chrókꞌuitjáña itꞌo̱ ti cuerpo kuèntá la jehya kuenté ti cuerpo sáchrokjui chróche ti siín xrohi.
MAT.5.32	*A̱ndá janhan ndáxrja̱n kixin ti ijnko chojnindoa tsjáke̱he̱ ti ichjién, ti chóntahya tjan ókjé chojnindoa, la jehe chꞌan kuíto̱he chꞌan tjan kixin tsjasin tjan ijie̱. A̱ndá ti nkexro tso̱te̱he ti tjan a la kja̱xin tsjasin ijie̱.
MAT.5.34	*A̱ndá janhan ndáxrja̱n kixin chrókꞌuakjénxi̱nhñara ihni̱é Díos la ko chrókꞌuakjénxi̱nhñara nka̱jní ti nkojín nkehe tsondáchrora ndá chaxínhña si̱nchexiteyára, kixin ntiha itjen Díos tꞌe̱to̱an. 
MAT.5.35	*Chrokꞌuakjénxi̱nhñara chjasintajni kixin ntiha tekjen to̱té chꞌan, chrókꞌuakjénxi̱nhñara Jerusalén kixin ntiha itjen ti Rey tꞌe̱to̱an. 
MAT.5.36	Chrokꞌuakjénxi̱nhñara ikjára kixin jahara la xitjahya tsjakéra ijnko ka̱xi̱hi tjóá o̱ ijnko ka̱xi̱hi tié. 
MAT.5.37	Ti nkehe tsondáchrora kixin chaxín la chaxín, a̱ndá ti náhí la náhí, la chrókjuakꞌéto̱xinhñara nkehe chróchro̱nkara. Kixin ti nkehe tsjakꞌéto̱xinra tso̱chro̱nkara la ijie̱ tíha.
MAT.5.39	A̱ndá janhan ndáxrja̱n kixin ti nkojín nkexro sitꞌahara nkojín nkehe jínahña, la chꞌehyara xi̱kaha jahara. Ti chjéhe ijnko nkexro ti tua̱an la tjóka ti íjnko nánko. 
MAT.5.40	A̱ndá ti nkojín nkexro tjanchia ijie̱ la tjinkaon sin chrókuakitsjaha sin camisá la chje̱hé sin ti ika tꞌínka̱yate kja̱xin. 
MAT.5.41	Ti nkojín nkexro sintakamára nkehe iye la tsꞌe̱tua̱hanra kixin tsjiko̱ara ijnko kilómetro la tjiko̱ara yaá kilómetro. 
MAT.5.42	Ti nkojín nkexro tsjanchia ichrén nkehe la chje̱héra, la ti ijnko chojni tjinkaon si̱nchekjenra nkojín nkehe la chróndáchrohyara “náhí”, chrókjui̱nchekjenra ti nkehe tjanchia sin.
MAT.5.43	’Kja̱xin ó kuihínra ti nkehe tsíkꞌituehen sin ósé ndáchro: “Tjue̱héra ti nkexro choxínra la ninkákohénra ti chojni nínkakohen ti jahara.” 
MAT.5.44	A̱ndá janhan ndáxrja̱n kixin tjue̱héra ti sin nínkakohanra, la chrókjui̱ncheñaora ti chojni tjanchajinhara, la jína chrókjuínki̱tsara ti chojni tjinkakonhña ti jahara, la chrónixjehéra Díos kixin chrókjuinki̱tsa chꞌan ti sin tꞌándaxíhanra la ko ti sin tꞌahara nkehe jínahña. 
MAT.5.45	Ndá ti xi̱kaha tsjáko̱xi̱nra la chaxín tsꞌónara xje̱en Itꞌéni itjen nkaya nka̱jní. Jehe chꞌan mé nchekji̱to̱n chꞌan ña̱o kixin tsꞌinkaséñehen ti chojni jínahña la ko ti chojni jína la ko kja̱xin nchekꞌaniá chꞌan ichrin ti siín ti sin jína la ko ti sin jínahña. 
MAT.5.46	Ti jehó tjue̱héra ti nkexro tjua̱hára la, ¿nkehe chrókjuachara? ¿Á jehya xi̱kaha ichꞌe kja̱xin ti chojni nchekjènki̱, a ní? 
MAT.5.47	A̱ndá ti jehó kichuara nixjehéra la, ¿á imá jína tíha ní?, kixin kja̱xin ti chojni chónhña Díos la xi̱kaha ichꞌe. 
MAT.5.48	*Méxra̱ jahara la ndoá chrókꞌuejora éxi Itꞌéni itjen nkaya nka̱jní la ndoá itjen chꞌan.
