GEN.1.1	Alussa Jumala loi taivaat ja maan. 
GEN.3.7	Silloin molempien silmät avautuivat, ja he huomasivat olevansa alasti. He sitoivat yhteen viikunapuun lehtiä ja tekivät itselleen vyöverhot. 
GEN.3.8	He kuulivat 
GEN.3.9	 Mutta 
GEN.3.10	 Mies vastasi: ”Minä kuulin sinun äänesi puutarhassa ja pelkäsin, sillä minä olen alasti. Siksi piilouduin.” 
GEN.3.11	 Herra sanoi: ”Kuka sinulle kertoi, että olet alasti? Oletko syönyt siitä puusta, josta minä kielsin sinua syömästä?” 
GEN.3.12	 Mies vastasi: ”Vaimo, jonka annoit olemaan kanssani – hän antoi minulle siitä puusta, ja minä söin.” 
GEN.3.13	 Silloin 
GEN.3.15	 Minä panen vihollisuuden sinun ja naisen välille ja sinun siemenesi ja hänen siemenensä välille. Hän on murskaava sinun pääsi, ja sinä haavoitat häntä kantapäähän.” 
GEN.3.16	Naiselle Jumala sanoi: ”Minä teen suuriksi sinun raskautesi vaivat, kivulla sinä synnytät lapsia. Kuitenkin sinä tunnet halua mieheesi, ja hän on hallitseva sinua.” 
GEN.3.17	Miehelle Jumala sanoi: ”Koska kuuntelit vaimoasi ja söit puusta, josta kielsin sinua syömästä, on maa kirottu sinun vuoksesi. Vaivaa nähden saat siitä ruokasi kaikkina elämäsi päivinä. 
GEN.3.18	Orjantappuraa ja ohdaketta se kasvaa sinulle, sinun on syötävä kedon ruohoja. 
GEN.3.19	 Otsasi hiessä sinä syöt leipäsi, kunnes tulet jälleen maaksi, sillä siitä sinut on otettu. Tomua sinä olet, ja tomuun sinun on palattava.” 
GEN.3.20	Mies antoi vaimolleen nimen Eeva , sillä hänestä tuli kaikkien ihmisten äiti. 
GEN.3.23	 Niin 
GEN.3.24	 Hän karkotti ihmisen ja asetti Eedenin puutarhan itäpuolelle kerubit ja välkkyvän, leimuavan miekan vartioimaan elämän puun tietä. 
GEN.4.1	Mies yhtyi vaimoonsa Eevaan, ja tämä tuli raskaaksi ja synnytti Kainin. Eeva sanoi: ”Minä olen saanut pojan 
GEN.4.2	 Vielä hän synnytti Kainille veljen, Aabelin. Aabelista tuli lammaspaimen ja Kainista maanviljelijä. 
GEN.4.3	 Jonkin ajan kuluttua Kain toi maan hedelmistä uhrilahjan 
GEN.4.4	 Myös Aabel toi uhrin. Hänen uhrinsa oli lauman esikoisista ja niiden rasvoista. 
GEN.4.5	mutta Kainin ja hänen uhrilahjansa puoleen hän ei katsonut. Silloin Kain vihastui kovin, ja hänen kasvonsa synkistyivät. 
GEN.4.7	 Eikö ole niin, että jos teet oikein, voit kohottaa katseesi, mutta jos et, synti väijyy ovella. Se haluaa sinut valtaansa, mutta hallitse sinä sitä!” 
GEN.4.8	Kain sanoi veljelleen Aabelille: ”Lähdetään kedolle .” Heidän ollessaan kedolla Kain hyökkäsi veljensä Aabelin kimppuun ja tappoi hänet. 
GEN.4.9	Silloin 
GEN.4.10	 Herra sanoi: ”Mitä oletkaan tehnyt! Veljesi veri huutaa minulle maasta! 
GEN.4.11	Nyt sinä olet kirottu, ja sinut karkotetaan tältä maalta, joka avasi suunsa ottamaan veljesi veren sinun kädestäsi. 
GEN.4.12	 Kun viljelet maata, se ei enää anna sinulle satoaan . Sinusta tulee maankiertäjä ja kulkuri.” 
GEN.4.13	 Kain vastasi 
GEN.4.14	 Sinä karkotat minut tänään viljavilta mailta, ja minun täytyy piiloutua kasvojesi edestä. Minusta tulee maankiertäjä ja kulkuri, ja kuka ikinä minut kohtaa, tappaa minut.” 
GEN.4.16	 Niin Kain lähti pois 
GEN.4.17	Kain yhtyi vaimoonsa, ja tämä tuli raskaaksi ja synnytti Hanokin. Kain rakensi kaupungin ja antoi sille nimen poikansa Hanokin mukaan. 
GEN.4.18	 Hanokille syntyi Iirad, Iiradille syntyi Mehujael, Mehujaelille syntyi Metusael, ja Metusaelille syntyi Lemek. 
GEN.4.19	 Lemek otti itselleen kaksi vaimoa. Toisen nimi oli Aada ja toisen Silla. 
GEN.4.20	 Aada synnytti Jaabalin, josta tuli teltoissa asuvien karjankasvattajien kantaisä. 
GEN.4.21	 Jaabalin veljen nimi oli Juubal, ja hänestä tuli kaikkien lyyraa ja huilua soittavien kantaisä. 
GEN.4.22	 Myös Silla sai lapsen, Tuubal-Kainin, josta tuli kaikenlaisten vaski- ja rauta-aseiden takoja. Tuubal-Kainin sisar oli Naema. 
GEN.4.23	 Lemek sanoi vaimoilleen: ”Aada ja Silla, kuulkaa ääntäni, te Lemekin vaimot, kuunnelkaa sanojani! Miehen olen surmannut haavastani ja nuorukaisen mustelmastani. 
GEN.4.24	 Sillä Kain kostetaan seitsenkertaisesti mutta Lemek seitsemänkymmentäseitsemän kertaa.” 
GEN.4.25	Aadam yhtyi taas vaimoonsa. Tämä synnytti pojan, antoi hänelle nimen Seet ja sanoi: ”Jumala on suonut minulle toisen pojan Aabelin sijaan, jonka Kain surmasi.” 
GEN.4.26	 Seetillekin syntyi poika, ja hän antoi tälle nimen Enos. Tuohon aikaan ruvettiin huutamaan avuksi 
GEN.5.1	Tämä on Aadamin sukuluettelo. Luodessaan ihmisen Jumala teki hänet kaltaisekseen. 
GEN.5.2	Hän loi heidät mieheksi ja naiseksi, siunasi heidät ja antoi heille nimen ihminen sinä päivänä, jona hän loi heidät. 
GEN.5.3	Kun Aadam oli elänyt satakolmekymmentä vuotta, hänelle syntyi poika, joka oli hänen kaltaisensa, hänen näköisensä, ja hän antoi tälle nimen Seet. 
GEN.5.4	 Aadam eli Seetin syntymän jälkeen kahdeksansataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.5	 Aadamin koko elinaika oli yhdeksänsataakolmekymmentä vuotta. Sitten hän kuoli. 
GEN.5.6	Kun Seet oli elänyt sataviisi vuotta, hänelle syntyi Enos. 
GEN.5.7	 Enosin syntymän jälkeen Seet eli kahdeksansataaseitsemän vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.8	 Seetin koko elinaika oli yhdeksänsataakaksitoista vuotta. Sitten hän kuoli. 
GEN.5.9	Kun Enos oli elänyt yhdeksänkymmentä vuotta, hänelle syntyi Keenan. 
GEN.5.10	 Keenanin syntymän jälkeen Enos eli kahdeksansataaviisitoista vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.11	 Enoksen koko elinaika oli yhdeksänsataaviisi vuotta. Sitten hän kuoli. 
GEN.5.12	Kun Keenan oli elänyt seitsemänkymmentä vuotta, hänelle syntyi Mahalalel. 
GEN.5.13	 Keenan eli Mahalalelin syntymän jälkeen kahdeksansataaneljäkymmentä vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.14	 Keenanin koko elinaika oli yhdeksänsataakymmenen vuotta. Sitten hän kuoli. 
GEN.5.15	Kun Mahalalel oli elänyt kuusikymmentäviisi vuotta, hänelle syntyi Jered. 
GEN.5.16	 Jeredin syntymän jälkeen Mahalalel eli kahdeksansataakolmekymmentä vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.17	 Mahalalelin koko elinaika oli kahdeksansataayhdeksänkymmentäviisi vuotta. Sitten hän kuoli. 
GEN.5.18	Kun Jered oli elänyt satakuusikymmentäkaksi vuotta, hänelle syntyi Hanok. 
GEN.5.19	 Jered eli Hanokin syntymän jälkeen kahdeksansataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.20	 Jeredin koko elinaika oli yhdeksänsataakuusikymmentäkaksi vuotta. Sitten hän kuoli. 
GEN.5.21	Kun Hanok oli elänyt kuusikymmentäviisi vuotta, hänelle syntyi Metuselah. 
GEN.5.22	 Metuselahin syntymän jälkeen Hanok vaelsi Jumalan yhteydessä kolmesataa vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.23	 Hanokin koko elinaika oli kolmesataakuusikymmentäviisi vuotta. 
GEN.5.24	 Hanok vaelsi Jumalan yhteydessä. Sitten häntä ei enää ollut, sillä Jumala otti hänet pois. 
GEN.5.25	Kun Metuselah oli elänyt satakahdeksankymmentäseitsemän vuotta, hänelle syntyi Lemek. 
GEN.5.26	 Metuselah eli Lemekin syntymän jälkeen seitsemänsataakahdeksankymmentäkaksi vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.27	 Metuselahin koko elinaika oli yhdeksänsataakuusikymmentäyhdeksän vuotta. Sitten hän kuoli. 
GEN.5.28	Kun Lemek oli elänyt satakahdeksankymmentäkaksi vuotta, hänelle syntyi poika. 
GEN.5.29	 Hän antoi pojalle nimen Nooa ja sanoi: ”Hän lohduttaa meitä, kun teemme työtä ja näemme vaivaa viljellessämme maata, jonka 
GEN.5.30	 Nooan syntymän jälkeen Lemek eli viisisataayhdeksänkymmentäviisi vuotta, ja hänelle syntyi poikia ja tyttäriä. 
GEN.5.31	 Lemekin koko elinaika oli seitsemänsataaseitsemänkymmentäseitsemän vuotta. Sitten hän kuoli. 
GEN.5.32	Kun Nooa oli elänyt viisisataa vuotta, hänelle syntyivät Seem, Haam ja Jaafet . 
GEN.6.1	Kun ihmiset alkoivat lisääntyä maan päällä ja heille syntyi tyttäriä, 
GEN.6.2	 Jumalan pojat näkivät, että ihmisten tyttäret olivat kauniita, ja he ottivat itselleen vaimoikseen kaikki, jotka parhaiksi katsoivat. 
GEN.6.3	 Silloin 
GEN.6.4	Siihen aikaan ja myöhemminkin maan päällä oli jättiläisiä, kun Jumalan pojat yhtyivät ihmisten tyttäriin ja nämä synnyttivät heille lapsia. Nämä olivat noita muinaisajan sankareita, kuuluisia miehiä. 
GEN.6.5	Mutta 
GEN.6.6	Silloin 
GEN.6.8	 Nooa sai kuitenkin armon 
GEN.6.9	Nämä ovat Nooan suvun vaiheet. Nooa oli aikalaistensa keskuudessa hurskas ja nuhteeton mies, ja hän vaelsi Jumalan yhteydessä. 
GEN.6.10	Nooalle syntyi kolme poikaa: Seem, Haam ja Jaafet. 
GEN.6.11	 Mutta maa oli turmeltunut Jumalan edessä ja tullut täyteen väkivaltaa. 
GEN.6.12	 Kun Jumala katsoi maata, hän näki, että se oli turmeltunut, sillä kaikki liha maan päällä oli turmellut vaelluksensa. 
GEN.6.13	Jumala sanoi Nooalle: ”Minä olen päättänyt tehdä lopun kaikesta lihasta, sillä maa on ihmisten vuoksi tullut täyteen väkivaltaa. Minä hävitän heidät ja maan heidän kanssaan. 
GEN.6.14	 Tee itsellesi arkki goofer-puusta. Tee arkki täyteen koppeja ja sivele se maapiellä sisältä ja ulkoa. 
GEN.6.15	 Sinun on tehtävä se näin: Arkin pituuden tulee olla kolmesataa kyynärää, leveyden viisikymmentä kyynärää ja korkeuden kolmekymmentä kyynärää. 
GEN.6.16	 Tee arkkiin valoaukko, tee se ylhäältä katsoen kyynärän korkeudelle ja sijoita ovi arkin kylkeen. Tee arkkiin kolme kerrosta, alimmainen, toinen ja kolmas. 
GEN.6.17	 Katso, minä lähetän vedenpaisumuksen maan päälle hävittämään taivaan alta kaiken lihan, jossa on elämän henki. Silloin maan päällä kaikki menehtyy. 
GEN.6.18	 Mutta sinun kanssasi minä teen liiton. Sinun on mentävä poikiesi, vaimosi ja poikiesi vaimojen kanssa arkkiin 
GEN.6.19	ja vietävä sinne kaksi kutakin lajia kaikista eläimistä, kaikesta lihasta, säilyttääksesi ne hengissä kanssasi. Niitä tulee olla koiras ja naaras. 
GEN.6.20	 Luoksesi tulee lintuja lajiensa mukaan, karjaeläimiä lajiensa mukaan ja kaikkia maan pikkueläimiä lajiensa mukaan, kaksi kustakin lajista, että ne säilyisivät hengissä. 
GEN.6.21	 Hanki itsellesi kaikenlaista syötäväksi kelpaavaa ravintoa ja kokoa sitä talteen niin paljon, että se riittää ruuaksi sinulle ja niille kaikille.” 
GEN.6.22	 Nooa teki kaiken aivan niin kuin Jumala oli käskenyt hänen tehdä. 
GEN.7.1	Sitten 
GEN.7.2	Ota luoksesi kaikista puhtaista eläimistä seitsemän koirasta ja seitsemän naarasta, mutta epäpuhtaista eläimistä ota kaksi, koiras ja naaras. 
GEN.7.3	Ota myös seitsemän paria taivaan lintuja, koiraita ja naaraita, että niiden siemen säilyisi elossa kaikkialla maan päällä. 
GEN.7.4	 Seitsemän päivän kuluttua minä näet annan sataa maan päälle neljäkymmentä päivää ja neljäkymmentä yötä ja pyyhin maan päältä pois kaikki tekemäni olennot.” 
GEN.7.5	 Nooa teki aivan niin kuin 
GEN.7.6	Nooa oli kuudensadan vuoden ikäinen, kun vedenpaisumus tuli maan päälle. 
GEN.7.7	 Hän meni arkkiin yhdessä poikiensa, vaimonsa ja poikiensa vaimojen kanssa vedenpaisumusta pakoon. 
GEN.7.8	 Puhtaita eläimiä, epäpuhtaita eläimiä, lintuja ja kaikkia maassa liikkuvia pikkueläimiä 
GEN.7.9	 meni Nooan luo arkkiin pareittain, koiras ja naaras, niin kuin Jumala oli Nooalle sanonut. 
GEN.7.10	 Seitsemän päivän kuluttua vedenpaisumus tuli maan päälle. 
GEN.7.11	 Sinä vuonna, jona Nooa täytti kuusisataa vuotta, vuoden toisena kuukautena, kuukauden seitsemäntenätoista päivänä, kaikki suuren syvyyden lähteet puhkesivat ja taivaan ikkunat aukenivat. 
GEN.7.12	 Silloin tuli maan päälle sade, jota kesti neljäkymmentä päivää ja neljäkymmentä yötä. 
GEN.7.13	 Juuri tuona päivänä Nooa, Nooan pojat Seem, Haam ja Jaafet sekä Nooan vaimo ja hänen kolmen poikansa vaimot menivät yhdessä arkkiin. 
GEN.7.14	 Heidän kanssaan menivät lajeittain myös kaikki villieläimet, kaikki karjaeläimet, kaikki pikkueläimet, jotka liikkuvat maan päällä, ja kaikki suuret ja pienet linnut lajiensa mukaan, kaikki siivekkäät. 
GEN.7.15	 Ne menivät Nooan luo arkkiin pareittain, kaikki, joissa oli elämän henki. 
GEN.7.16	 Kaikista elävistä olennoista meni sisälle koiras ja naaras, niin kuin Jumala oli Nooalle sanonut, ja 
GEN.7.17	 Silloin tuli vedenpaisumus maan päälle neljänkymmenen päivän aikana. Vedet lisääntyivät ja nostivat arkin, ja se kohosi korkealle maasta. 
GEN.7.18	 Vedet saivat vallan ja lisääntyivät suunnattomasti maan päällä, ja arkki ajelehti veden pinnalla. 
GEN.7.19	 Vedet nousivat maan päällä yhä enemmän, niin että kaikki korkeat vuoret koko taivaan alla peittyivät. 
GEN.7.20	 Vesi nousi viisitoista kyynärää vuorten yläpuolelle, niin että ne peittyivät. 
GEN.7.21	 Silloin kaikki liha, joka liikkui maan päällä, menehtyi: linnut, karjaeläimet, villieläimet, kaikki maassa vilistävät pikkueläimet ja myös kaikki ihmiset. 
GEN.7.22	Kaikki, jotka elivät ja hengittivät kuivalla maalla, kuolivat. 
GEN.7.23	 Näin Herra pyyhkäisi pois kaikki olennot maan päältä, sekä ihmiset että karjaeläimet, pikkueläimet ja taivaan linnut. Ne pyyhkiytyivät pois maan päältä. Vain Nooa ja ne, jotka olivat hänen kanssaan arkissa, jäivät henkiin. 
GEN.7.24	Maa oli veden vallassa sataviisikymmentä päivää. 
GEN.8.1	Jumala muisti Nooaa ja kaikkia villieläimiä ja karjaeläimiä, jotka olivat hänen kanssaan arkissa. Jumala pani tuulen puhaltamaan yli maan, ja vesi alkoi laskeutua. 
GEN.8.2	 Syvyyden lähteet ja taivaan ikkunat sulkeutuivat, ja sade taivaasta tyrehtyi. 
GEN.8.3	 Vesi väheni vähenemistään maan päältä. Sadanviidenkymmenen päivän kuluttua vesi oli vähentynyt niin, 
GEN.8.4	 että arkki pysähtyi Araratin vuorille seitsemännen kuukauden seitsemäntenätoista päivänä. 
GEN.8.5	 Vesi väheni vähenemistään, kunnes kymmenennen kuukauden ensimmäisenä päivänä vuorten huiput tulivat näkyviin. 
GEN.8.6	 Neljänkymmenen päivän kuluttua Nooa avasi arkkiin tekemänsä ikkunan 
GEN.8.7	 ja päästi ulos korpin. Se lenteli edestakaisin, kunnes vesi oli kuivunut maan päältä. 
GEN.8.8	 Sitten hän lähetti luotaan kyyhkysen saadakseen tietää, oliko vesi vähentynyt maan päältä. 
GEN.8.9	 Kyyhkynen ei kuitenkaan löytänyt lepopaikkaa jaloilleen vaan palasi hänen luokseen arkkiin, sillä koko maa oli vielä veden peitossa. Nooa ojensi kätensä ja otti kyyhkysen luokseen arkkiin. 
GEN.8.10	 Hän odotti vielä seitsemän päivää ja lähetti uudelleen kyyhkysen arkista. 
GEN.8.11	 Kyyhkynen tuli hänen luokseen illalla, ja sen nokassa oli tuore öljypuun lehti. Siitä Nooa ymmärsi, että vesi oli käynyt vähiin maan päällä. 
GEN.8.12	 Hän odotti vielä toiset seitsemän päivää ja päästi sitten kyyhkysen, eikä se enää palannut hänen luokseen. 
GEN.8.13	 Ensimmäisen kuukauden ensimmäisenä päivänä sinä vuonna, jona Nooa täytti kuusisataayksi vuotta, vesi oli kuivunut maan päältä. Silloin Nooa poisti arkin katon ja näki, että maan pinta oli kuiva. 
GEN.8.14	 Toisen kuukauden kahdentenakymmenentenäseitsemäntenä päivänä maa oli täysin kuivunut. 
GEN.8.15	Silloin Jumala sanoi Nooalle: 
GEN.8.16	 ”Lähde arkista, sinä ja vaimosi, poikasi ja poikiesi vaimot sinun kanssasi. 
GEN.8.17	 Vie mukanasi ulos kaikki eläimet, jotka ovat luonasi, kaikki liha: linnut, karjaeläimet ja maassa liikkuvat pikkueläimet. Vilisköön niitä maassa, olkoot ne hedelmällisiä ja lisääntykööt maan päällä.” 
GEN.8.18	 Niin Nooa lähti ulos mukanaan poikansa, vaimonsa ja poikiensa vaimot 
GEN.8.19	 sekä kaikki villieläimet, pikkueläimet ja linnut. Kaikki, jotka liikkuvat maan päällä, lähtivät arkista suvuittain. 
GEN.8.20	 Sitten Nooa rakensi alttarin 
GEN.8.21	Kun 
GEN.8.22	Niin kauan kuin maa pysyy, ei lakkaa kylvö eikä leikkuu, ei kylmä eikä helle, ei kesä eikä talvi, ei päivä eikä yö.” 
GEN.9.1	Jumala siunasi Nooan ja hänen poikansa ja sanoi heille: ”Olkaa hedelmälliset ja lisääntykää ja täyttäkää maa. 
GEN.9.2	Kaikki maan eläimet, kaikki taivaan linnut, kaikki maassa matelevat ja kaikki meren kalat pelkäävät ja säikkyvät teitä. Ne on annettu teidän valtaanne. 
GEN.9.3	 Kaikki, mikä liikkuu ja elää, olkoon teille syötäväksi. Samoin kuin olen antanut teille vihreät kasvit, minä annan teille kaikki eläimet. 
GEN.9.4	Älkää kuitenkaan syökö lihaa, jossa sen sielu , sen veri, on. 
GEN.9.5	Teidän verenne vuodattamisesta minä totisesti vaadin tilille jokaisen eläimen. Myös ihmisen minä vaadin tilille toisen ihmisen, hänen veljensä, surmaamisesta. 
GEN.9.6	Joka vuodattaa ihmisen veren, hänen verensä on ihminen vuodattava, sillä omaksi kuvakseen Jumala teki ihmisen. 
GEN.9.7	Ja te, olkaa hedelmälliset ja lisääntykää, olkaa monilukuiset ja lisääntykää maan päällä.” 
GEN.9.8	Jumala puhui Nooalle ja hänen pojilleen, jotka olivat hänen kanssaan: 
GEN.9.9	 ”Katso, minä teen liittoni teidän ja teidän jälkeläistenne kanssa 
GEN.9.10	 sekä kaikkien mukananne olevien elävien olentojen kanssa, lintujen, karjaeläinten ja kaikkien villieläinten kanssa, kaikkien arkista lähteneiden, niin ihmisten kuin kaikkien maan eläintenkin kanssa. 
GEN.9.11	 Minä teen liittoni teidän kanssanne, eikä vedenpaisumus enää koskaan tuhoa kaikkea lihaa. Koskaan ei enää tule vedenpaisumusta, joka tuhoaisi maan.” 
GEN.9.12	Jumala sanoi: ”Tämä on sen liiton merkki, jonka minä teen itseni ja teidän sekä kaikkien teidän kanssanne olevien elävien olentojen välille ikuisiksi ajoiksi : 
GEN.9.13	 minä panen kaareni pilviin, ja se on oleva merkkinä liitosta minun ja maan välillä. 
GEN.9.14	 Kun minä kokoan pilviä maan ylle ja kaari näkyy pilvissä, 
GEN.9.15	 minä muistan liittoni, joka on minun ja teidän ja kaikkien elävien olentojen, kaiken lihan, välillä, eikä vesi enää nouse tulvaksi hävittämään kaikkea elollista. 
