MAT.1.1	Иисус Христостың ӧбекелері: Ол Давидтің паза Авраамның тӧлі полча. Аның ӧбекелері мындағлар: 
MAT.3.10	Ағастар тӧзінде палты чатча. Чахсы чистек пирбинчеткен полған на ағас, кизе сабылып, отха тасталар. 
MAT.3.11	Мин сірерні, Худайзар айланып, чазыхтарыңнаң хыйа полғаннарыңны таныхтап, суғда кіреске тӱзірчем, че соомҷа Килчеткені миннең улуғ. Мин Аның ӧдігін дее апарарға турыстығ нимеспін. Ол сірерні Худай Худынаң паза отнаң кіреске тӱзірер. 
MAT.3.12	Аның сарғаазы холында, Ол пуғдайын, сарғабызып, аңмарынзар чыып салар. Хооғын, тізең, успас отнаң ӧртебізер.
MAT.3.13	Иисус, Аны Иоанн кіреске тӱзірзін тіп, Галилей чирінең Иорданзар килген. 
MAT.3.14	Иоанн, тізең, Аны тохтадып, теен:
MAT.3.14	– Мағаа Синнең пастыра кіреске тӱзерге кирек, Син, тізең, минзер килчезің!
MAT.3.15	Че Иисус ағаа нандырған:
MAT.3.15	– Сағам піди ползын. Худай пістең сағыпчатхан прай орта киректерні толдыр саларға кирекпіс.
MAT.3.15	Андада Иоанн ідӧк чарат салған. 
MAT.3.16	Иисус, кіреске тӱзіп, суғдаң сыххандох, тигір Ағаа азыл парған, олох туста Иоанн Худай Худы Иисуссар тахырах хус чіли тӱзіп, Ағаа одырыбысханын кӧр салған. 
MAT.3.17	Ол туста тигірдең ӱн истілген:
MAT.3.17	– Пу Минің хынған Оолғым, Ол Минің кӧңніме тың кірче.
MAT.4.1	Иисус кіреске тӱскен соонда, Худай Худы Аны, сайтанның хыҷыхтаныстарын иртсін тіп, хуу чазызар апарған. 
MAT.4.2	Анда хырых кӱн паза хырых хараа пір дее ниме чібин, Иисус тың астап парған. 
MAT.4.3	Анаң, Аныңзар хыҷыхтандырҷаң сайтан киліп, теен:
MAT.4.3	– Син сынап Худай Оолғы полчатсаң, пу тастар халасха айлан парзыннар тіп чоохтан.
MAT.4.4	Че Иисус ағаа піди нандырған:
MAT.4.4	– Худай Пічиинде піди пазыл парған: «Кізі чалғыс халаснаң на нимес, че Худайның полған на сӧлеен сӧзінең чуртидыр».
MAT.4.5	Андада сайтан Аны, Иерусалим тіп ызых саарзар ағылып, храм хырының пулиинда турғыс салып, 
MAT.4.6	пазох тіпче Ағаа:
MAT.4.6	– Син Худай Оолғы полчатсаң, мыннаң чирзер сегірібіс. «Худай Позының ангеллеріне Сині арачылирға чахығ пирер, олар, тізең, Сині, холға хаап, азахтарыңны тасха даа теертпин, апарарлар» тіп пазылған нимес пе зе?
MAT.4.6	– 
MAT.4.7	Че анда: «Хан Худайны, Худайыңны сынаба» тіп пазылғанох, – нандырған ағаа Иисус.
MAT.4.8	Сайтан, тізең, Аны уғаа пӧзік тағ ӱстӱнзер апарып, чир ӱстӱндегі прай хан-чирлерін паза оларның пайын паза сілиин Ағаа кӧзідіп, 
MAT.4.9	теен:
MAT.4.9	– Тізекке тӱзіп, мағаа пазырзаң, прай пу нимені Сағаа пирібізербін.
MAT.4.9	– 
MAT.4.10	Хыйа пар Миннең, сайтан. Худай Пічиинде піди пазыл парған: «Позыңның Хан Худайыңа пазыр паза Аның на нымысчызы пол», – теен ағаа андада Иисус.
MAT.4.11	Мынзын истіп, сайтан Аны тастап парыбысхан, сах андох ангеллер, киліп, Иисусха полысханнар.
MAT.4.12	Иисус, Иоанны харибге одырт салғаннарын ис салып, Галилей чирінзер парыбысхан. 
MAT.4.13	Ол, Назареттең сығып, Завулон паза Неффалим чирлерінзер киліп, Галилей кӧлінің хазындағы Капернаум саарда чуртап сыххан. 
MAT.4.14	Іди ухаанҷы Исаий чоохтаан ниме тол парған: 
MAT.4.15	«Завулон паза Неффалим, талайзар парчатхан чолдағы чирлер, Иордан суғның озархызы, Галилей чирі – аймах-пасха чоннарның чирі! 
MAT.4.16	Харасхыда одырчатхан чон илбек чарыхты кӧр салған, ӧлім кӧлек тӱзірген чирде чуртапчатхан чонға таң чарып килген».
MAT.4.17	Ол тустаң сығара Иисус ӱгредіп пастаан паза чоохтаан:
MAT.4.17	– Тигір хан-ӱлгӱзі чағдап килді, аннаңар, чазыхтарыңнаң хыйа полып, Худайзар айланыңар
MAT.4.18	Пірсінде Иисус, Галилей кӧлі хазынҷа парчадып, ікі харындасты кӧр салған. Пётр тіп ады-солалығ Симон паза аның харындазы Андрей сӧзірбелерін кӧлзер тастапчатханнар. Олар палыхчылар полғаннар. 
MAT.4.19	Иисус оларға теен:
MAT.4.19	– Минің соомҷа парыңар, Мин сірерні, палых тутханни, кізілерні тут полар ит саларбын.
MAT.4.20	Олар сах андох, сӧзірбелерін тасти, Аның соонҷа пар сыхханнар. 
MAT.4.21	Аннаң андар парчадып, Иисус Зеведейнің оолларын Иаковнаң Иоанны кӧр салған. Олар, Зеведейнең кимеде одырып, сӧзірбелерін тағырапчатханнар. Иисус Зеведейнің оолларын даа хығырып алған. 
MAT.4.22	Сах андох, пабазын паза кимені тасти, харындастар Аның соонҷа пар сыхханнар.
MAT.4.23	Иисус, синагогаларда
MAT.4.24	Иисустаңар хабар прай Сирий чирінҷе тараан. Андар чадығдағыларны, аймах ағырығларға пастырчатханнарны, талчатханнарны, айна кіргеннерні, алҷаахханнарны, чӱллері пос кізілерні – прайзын ағыл килҷеңнер. Иисус прайзын чазылдырған. 
MAT.4.25	Галилей чирінең паза Он саар чирінең, Иерусалимнең паза Иудей чирінең, Иордан суғның озаринаң даа кӧп кізі Аның соонҷа пар сыххан.
MAT.5.1	Иисус, чонның кӧп чыыл парғанын кӧріп, тағзар сыххан. Анда Ол одыр салғанда, ӱгренҷілері Аныңзар пас килгеннер. 
MAT.5.2	Иисус, оларны ӱгредіп, піди чоохтаан:
MAT.5.2	– 
MAT.5.3	Часкалығлар Хан Худайны киректепчеткеннер, олар Тигір хан-чирінилер!
MAT.5.4	Часкалығлар ылғапчатханнар, Худай оларны часхарар!
MAT.5.5	Часкалығлар амыр хылыхтығлар, тилекей оларға пирілер!
MAT.5.6	Часкалығлар орта нимее астап-сухсапчатханнар, Худай оларны тосхырар!
MAT.5.7	Часкалығлар паарсахтар, оларға даа Худай паарсир!
MAT.5.8	Часкалығлар арығ чӱректіглер, олар Худайны кӧрерлер!
MAT.5.9	Часкалығлар амыр хоных ӱчӱн тоғынчатханнар, олар Худай палалары адаларлар!
MAT.5.10	Часкалығлар орта нименің ӱчӱн сӱрдіртчеткеннер, олар Тигір хан-чирінилер!
MAT.5.11	Часкалығзар, хаҷан Минің ӱчӱн сірерні, сӧклеп, сӱрчетселер паза сірердеңер чойланып чабал чоохтапчатсалар! 
MAT.5.12	Тигірде сірерні илбек тӧлег сағыпча, аннаңар ӧрініңер паза кӧглеңер. Сірернің алнында даа чуртаан ухаанҷыларны ідӧк сӱрҷеңнер.
MAT.5.13	Сірер – чирнің тузызар. Тустың ачии сых парза, аны ачығ хайди идіп аларзың? Ол, кізілернің азахтары алтына тасталып, типселердең пасха паза пір дее нимее чарабас. 
MAT.5.14	Сірер чир ӱстӱнің чариизар. Тағ пазындағы саар чазын пола чоғыл. 
MAT.5.15	Чарытхыны, тамызып алып, ідіс алтына сухпинчалар, че ол турада кізілернің полғанына ла чарир иде кӧріндіре турадыр. 
MAT.5.16	Сірернің дее чарытхыларың кізілерге іди чарызын, олар сірернің чахсы киректеріңні кӧрзіннер паза Тигірдегі Пабаңарны сабландырзыннар.
MAT.5.16	– 
MAT.5.17	Мині Моисей Чахиин алай ухаанҷыларның пасханын чох идерге килген тіп, сағынмаңар. Мин оларны чох идерге нимес, че толдырарға килгем. 
MAT.5.18	Сынны сірерге чоохтапчам, тигірнең чир чіт парбаанда паза прай ниме чох пол парбаанда, Моисей Чахииндағы пір сӧс тее, пір танығ даа чітпес. 
MAT.5.19	Аннаңар кем пу чахығларны кӧмес тее сайбабысса паза пасхаларын іди идерге ӱгретсе, ол Тигір хан-чиріндегілернің иң кічиине саналар. Че кем, чахығларны прай толдырып, пасхаларын даа іди идерге ӱгретсе, ол Тигір хан-чиріндегілернің иң улиина саналар. 
MAT.5.20	Тіпчем сірерге, ол чахығларны Моисей Чахии пілігҷілерінең паза фарисейлердең артых толдырбазар, Тигір хан-чирінзер кір полбассар.
MAT.5.20	– 
MAT.5.21	«Ӧдірбеңер. Ӧдірген кізі чарғылададыр», – тіп, пурунғыларға чоохталғанын искезер. 
MAT.5.22	Тіпчем сірерге, позының харындазына тиктең чабалланчатхан полған на кізі чарғыладарға кирек. Кем харындазын «нимее чарабаан» тир, ол Ӧӧркі чарғыда чарғыладар. Кем харындазын «алығзың» тир, ол кӧйчеткен кӧлзер тастаттырарға чарғыладар. 
MAT.5.23	Аннаңар, сыйииңны тайығ салҷаң орынзар ағыл киліп, харындазыңның сағаа тарынчатханын сағысха кир киліп, 
MAT.5.24	сыйииңны, тайығ салҷаң орындох халғыс салып, пастап, парып, харындазыңнаң чаразып ал, анаң нандыра киліп, сыйииңны тайыға сал. 
MAT.5.25	Пірее кізі сині чарғаа пирерге итчетсе, андар читкелеккеӧк, сині чарғыҷаа пирібіспезін тіп, чарғыҷы, тізең, хадағҷаа, анзы даа сині харибге кир салбазын тіп, ыырласхан кізіңнең чолдох чаразып ал. 
MAT.5.26	Сынны чоохтапчам сағаа: ахчаңны тооза пир салбаанда, син андартын сых полбассың.
MAT.5.26	– 
MAT.5.27	«Оралыс чӧрбе», – тіп, пурунғыларға чоохталғанын искезер. 
MAT.5.28	Амды, тізең, тіпчем сірерге: пасха ипчізер хыҷаланып кӧрчеткен полған на ир кізі чӱреенде анынаң хонғанға саналча. 
MAT.5.29	Оң харааң сині чазыхха сухчатса, ол харааңны, сығара тартып, позыңнаң хыйа тастабыс. Сағаа прай позыңны пӱкӱлге кӧйчеткен кӧлзер тастаттырғанҷа, идіңнің пірее ле чардығы чох иділзе, хай-хай чахсы полар. 
MAT.5.30	Оң холың сині чазыхха сухчатса, ол холыңны ӱзе саап, позыңнаң хыйа тастабыс. Прай позыңны кӧйчеткен кӧлзер тастаттырғанҷа, идіңнің пірее чардығы чох иділзе, сағаа хай-хай чахсы полар.
MAT.5.30	– 
MAT.5.31	«Ипчізінең чарылысчатхан кізі чарылысчатханнарын киречілепчеткен пічікті ипчізіне пирзін», – тіп, чоохталғанох. 
MAT.5.32	Амды, тізең, сірерге тіпчем: ир кізі, ипчізі ирлернең оралысханы ӱчӱн нимес, че пасха сылтағлар ӱчӱн аннаң чарылысчатса, позы ипчізіне ирлернең оралызарға сылтағ пирче. Ирінең чарылысхан ипчіні алчатхан кізі дее ипчінең оралысчатханға саналча.
MAT.5.32	– 
MAT.5.33	«Пирген сӧзіңнең хыйа полба, че Хан Худайға пирген сӧстеріңні толдыр тур», – тіп, пурунғыларға чоохталғанын искезер. 
MAT.5.34	Мин, тізең, сірерге тіпчем: пір дее сӧс пирбе. Тигір Худайның ӱлгӱ сіреезі полча, аннаңар аның адынаң обалланма. 
MAT.5.35	Чир-чалбах Худайның азаан тынандырчатхан орын полча, аннаңар аның даа адынаң обалланма, Иерусалим илбек ханның саары полча, аннаңар аның даа адынаң обалланма. 
MAT.5.36	Син пір састы даа ах алай хара ит полбассың, аннаңар позыңның пазыңнаң даа обалланма. 
MAT.5.37	Сӧстерің «Йа» алай «Чох» ползын. Аннаң артых чоохтанғаны сайтаннаң.
MAT.5.37	– 
MAT.5.38	«Кӧс ӱчӱн кӧс», «тіс ӱчӱн тіс», – чоохталғанын искезер. 
MAT.5.39	Мин, тізең, тіпчем сірерге: чабал итчеткен кізее тоғырланма. Че пірее кізі оң наағыңнаң сабысса, син ағаа сол наағыңны тут пир. 
MAT.5.40	Піреезі, чарғылазып, кӧгенеең алып аларға итсе, син ағаа тастындағы даа кип-азааңны пирібіс. 
MAT.5.41	Піреезі сині позынаң хада пір пирстаҷа парарға кӱстезе, син анынаң хада ікі анҷа парыбыс тур. 
MAT.5.42	Сурынчатхан кізее пир тур, ӧдіске аларға сағынған кізідең хыйа полба.
MAT.5.42	– 
MAT.5.43	«Чағыныңа хын, ыырҷыңны, тізең, хырт кӧр», – чоохталғанын искезер. 
MAT.5.44	Мин, тізең, тіпчем сірерге: ыырҷыларыңа хыныңар, сірерні харғапчатханнарны алғап турыңар, сірерні хырт кӧрчеткеннерге чахсы хылыныңар, сірерні хыйыхтапчатханнарның паза хыйа сӱрчеткеннернің ӱчӱн пазырыңар. 
MAT.5.45	Андада ла сірер Тигірдегі Пабаның ооллары пол парарзар. Ол Позының кӱніне, хомай даа, чахсы даа кізілерге чарыт тур тіп, чахығ пирче, арығ чӱректіг дее, чазыхтығ даа кізілерге наңмыр ыс пирче нимес пе зе? 
MAT.5.46	Сірер позыңарға хынчатханнарға ла хынчатсар, Худай сірерге нименің ӱчӱн сыйых пирерге кирек? Албан чығҷаңнар даа ідӧк итчелер нимес пе зе? 
MAT.5.47	Чағыннарыңнаң на изеннезіп, пасхаҷыл ниме ит салған пол парчазар ба? Худайы чохтар даа іди итчелер нимес пе зе? 
MAT.5.48	Сірер, тізең, Тигірдегі Пабаңар осхас ӧтіре чахсы полыңар.
MAT.6.1	Кӧріңер! Чахсы киректерні, сірерні кӧрзіннер тіп, кізілер кӧзіне ле итпеңер. Іди итсер, Тигірдегі Пабаңардаң сірерге сыйых киліспес.
MAT.6.2	Чох кізілерге чахсы нимелер дее идіп одырчатсаң, чойырхостар итчеткен чіли, позыңнаңар синагогаларда паза тасхар суулап чӧрбе. Олар постарын кізілер алнында махтадар ӱчӱн іди итчелер. Сынны сірерге тіпчем: олар постарының сыйыхтарын амох алып одырчалар. 
MAT.6.3	Че чох кізілерге чахсы нимелер итчетсең, оң холыңның ниме итчеткенін сол холың пілбезін. 
MAT.6.4	Чох кізілерге чахсы итчеткенің кізее пілдіртпес ползын. Пабаң, тізең, кізее пілдіртпин иткеніңні кӧріп, сағаа прайзының кӧзіне сыйых пирер.
MAT.6.4	– 
MAT.6.5	Пазырчатсаң, синагогаларда паза тасхар пірее пулуңда турып алып, кізі кӧзіне пазырарға хынчатхан чойырхостар чіли полба. Сынны тіпчем сірерге, олар постарының сыйыхтарын хаҷанох алып алғаннар. 
MAT.6.6	Син, тізең, пазырчатсаң, тураңа кіріп, ізииң чаап салып, кӧрінминчеткен, че синнең хада полчатхан Пабаңа пазырып ал. Пабаң, тізең, пілдіртпес иде иткеніңні кӧріп, прайзының кӧзіне сағаа сыйых пирер. 
MAT.6.7	Худайзар сурынып айланчатсаң, пасха худайлығлар чіли, кӧп чоохтанма. Кӧп чоохтанзалар, оларның худайлары оларны истер тіп сағынчалар. 
MAT.6.8	Олар чіли итпеңер. Пабаңар ниме киректепчеткеннеріңні сірер сурынғалаххаох піледір. 
MAT.6.9	Сірер, тізең, піди пазырыңар:
MAT.6.9	Тигірдегі Пабабыс!
MAT.6.9	Синің Адың сабланзын;
MAT.6.10	Синің хан-ӱлгӱң пеер килзін.
MAT.6.10	Чир ӱстӱнде дее, тигірдегӧк чіли,
MAT.6.10	Синің кӧңніңҷе прай ниме ползын.
MAT.6.11	Піске киректелчеткен халасты пӱӱн пир.
MAT.6.12	Піс алым тӧлебееннернің пыроларын хайди тастапчабыс,
MAT.6.12	Пістің дее пыроларыбысты іди таста.
MAT.6.13	Пісті хыҷыхтаныстарнаң сыныхтаба, че чабалдаң арачыла
MAT.6.13	Синің хан-ӱлгӱң дее, кӱзің дее,
MAT.6.13	Сабланызың даа пар
MAT.6.13	Паза хаҷан даа полар нооза. Аминь
MAT.6.14	Сірер хомай иткен кізілернің пыроларын тастазар, сірернің дее пыроңарны Тигірдегі Пабаңар тастир. 
MAT.6.15	Че сірер хомай иткен кізілернің пыроларын тастабазар, андада Пабаңар даа сірернің пыроңарны тастабас.
MAT.6.16	Ораза тутчатхан туста даа, чойырхостар чіли, мӧңіс сырайлығ чӧрбеңер. Олар, ораза тутчатханын кізілерге кӧзідерге полып, мӧңіс сырайлығ поладырлар. Сынны сірерге тіпчем, олар постарының сыйыхтарын амох алып одырчалар. 
MAT.6.17	Син, ораза тутчатсаң, сазыңны тарап, сырайыңны чууп сал тур. 
MAT.6.18	Ораза тудып, син кізілернің алнында нимес, че кӧрінминчеткен, синнең хада полчатхан Пабаңның алнында турарзың. Синің чазыдыңны кӧрчеткен Пабаң сағаа кӧріндіре сыйых пирер.
MAT.6.18	– 
MAT.6.19	Чир ӱстӱнде ис-пай чығбаңар. Анда аны кӧӧ алай тат чіп салча, алай оғырлар, кіріп, оғырлап парыбысчалар. 
MAT.6.20	Че тигірде постарыңа ис-пай чығыңар, анда аны кӧӧ дее, тат таа чібинче, оғырлар даа, кіріп, оғырлап парыбыспинчалар. 
MAT.6.21	Ис-пайың хайда, чӱреең андох полар нооза. 
MAT.6.22	Харах – кізінің ит-сӧӧгіне чарытхы осхас. Аннаңар синің харааң арығ полза, прай позың даа чарых поларзың. 
MAT.6.23	Че харааң хомай полза, прай позың харасхы поларзың. Піди синдегі чарых андағ харасхы полза, андағда позы чи харасхы хайдағдыр? 
MAT.6.24	Пір дее кізі ікі пастыхха чалҷы пол полбас. Пірсіне хынып, паза пірсіне, тізең, хыртыстанып, пірсінде кӱстеніп хайынып, паза пірсін нимее салбас. Пір саңай ікізіне, Худайға паза алтынға, чалҷы пол полбассар.
MAT.6.24	– 
MAT.6.25	Аннаңар тіпчем сірерге: чіҷең-ісчең нимедеңер, кисчең кип-азахтаңар сағыссырабаңар. Сірернің чуртазыңар ас-тамахтаң артых нимес пе зе, идіңер, тізең, – кип-азахтаң? 
MAT.6.26	Тигірдегі хустарны кӧріңер: олар тамах таа салбинчалар, киспиндеечелер аны, аңмарларына даа тамах чығбинчалар. Тигірдегі Пабаңар оларны азырапча. Сірер олардаң хай-хай артых нимессер бе? 
MAT.6.27	Сірернің пірееңер пос кӱстеніп пір харысча даа ӧзіп алар ба ни?
MAT.6.28	Кип-азахтаңар даа нимее сағыссырапчазар? Кӧріңер, чазыдағы чахайахтар хайдағ сіліглер: тоғынминдаачалар олар, тӱк тее иирбинчелер. 
MAT.6.29	Че, тіпчем сірерге, Соломон – Израиль ханы, – позының иң саблығ тузында даа, оларның полғаны ла чіли, сіліг тонан чӧрбеен. 
MAT.6.30	Худай, пӱӱнгі кӱнде пар, че таңда песке тасталчаң отты даа піди тонандырчатса, сірерні олардаң артых тонандыр полбас па ни? Сірернің киртіністерің уғаа ас! 
MAT.6.31	Аннаңар пір дее нимедеңер сағыссырабаңар паза сурбаңар: «Ниме піске чиирге?», «Ниме ізерге?» алай «Кисчең кип-азах полар ба ни?» 
MAT.6.32	Прай пу нимелердеңер Худайы чохтар сағыссырапчалар. Тигірдегі Пабаңар сірерге пу нимелернің кирек полчатханын прай пілче. 
MAT.6.33	Сірер, тізең, аның орнына Худай хан-ӱлгӱзін паза Худайның кӧңні толарын тілеңер, пасхазы, тізең, сірерге хоза пирілер. 
