GEN.1.1	Mulimu a kala ku bupa lihalimu ni lifasi ni ze ku zona kaufela. 
GEN.3.18	ha u nze u ca miselo ya mwa naheñi.
GEN.3.19	U ta fufulelwa ni ku sebeza ka tata
GEN.3.19	kuli u fumane lico,
GEN.3.19	ku fitela f'o ta kutela mwa mubu
GEN.3.19	mo n'o zwisizwe.
GEN.3.19	N'o ezizwe ka mubu,
GEN.3.19	mi u ta kutela mwateñi hape!”
GEN.3.20	Munna a beya musal'a hae libizo la Eva, kakuli ki yena m'ahe batu kaufela. 
GEN.3.21	Mi Mulimu Muñ'a Bupilo a ezeza bo Adama ni musal'a hae Eva liapalo za matalo a lifolofolo, mi a ba apesa.
GEN.3.22	 Mulimu Muñ'a Bupilo kih'a li, “Mutu cwale s'a swana ni luna, kakuli s'a ziba bunde ni bumaswe. A si ke a lumelelwa ku ca miselo kwa kota ya bupilo, kuli a pile kuya kuile.” 
GEN.3.23	Kabakaleo, Mulimu Muñ'a Bupilo a mu leleka mwa simu ya Edeni, mi a mu luma ku y'o lima mubu mw'a n'a zwisizwe. 
GEN.3.24	Mulimu a leleka mutu cwalo, mi fa munyako wa simu ya Edeni a beya kerubime ni sabule ye tuka mulilo, o n'o fetaulelwa mwa maneku kaufela, ku sabisa ufi ni ufi ku taha kwa kota ya bupilo.
GEN.4.1	Adama a zibana ni musal'a hae Eva, mi a itwala. A pepa mwana wa mushimani, mi a li, “Ka tuso ya Muñ'a Bupilo ni fumani mwana wa mushimani.” Cwale a mu beya libizo la Kaine. 
GEN.4.2	Mwamulahonyana, a pepa munyan'a hae Abele. Abele a ba mulisana. Haili Kaine, yena, a ba mulimi. 
GEN.4.3	Ha ku se ku fitile nako, Kaine a nga kwa lico z'a n'a kutuzi ku tiseza Muñ'a Bupilo mpo. 
GEN.4.4	 Hamulaho, Abele a tisa lifolofolo za maizibulo mwa mulaka wa hae, a li bulaya, a nga lisuzo, mi a eza mpo ka lona. Muñ'a Bupilo a tabela Abele ni mpo ya hae. 
GEN.4.5	Kono h'a si ka amuhela Kaine ni mpo ya hae. Kaine a halifa, mi pata ya hae ya tala mañonde kabakala ku nyema. 
GEN.4.6	Muñ'a Bupilo kih'a li ku Kaine, “U nyemeziñi? Kiñi ha u na ni mañonde mwa pata? 
GEN.4.7	Kambe n'o ezize hande, kambe wa menya. Kono kakuli u ezize ze maswe, sibi si swana ni sibatana se si ku bubamezi, si litezi ku ku tula. Si bata ku ku busa, kono u swanezi ku si tula.”
GEN.4.8	 Kaine kih'a li ku munyan'a hae Abele, “A lu yema-yeme.” Ha ba se ba li kwa naheñi, Kaine a fetuhela munyan'a hae mi a mu bulaya.
GEN.4.9	Muñ'a Bupilo a buza Kaine, a li, “Munyan'a hao Abele u kai?”
GEN.4.9	Yena a alaba, a li, “Ha ni zibi. Kana ki na ya lukela ku tokomela munyan'a ka, nji?”
GEN.4.10	 Cwale Muñ'a Bupilo a li, “Kiñi ha u ezize nto ye maswe cwana? Ni lilelwa ki mali a munyan'a hao fafasi. 
GEN.4.11	U se u kutilwe, mi u ta lelekwa mwa lifasi le li atamisize mulomo ili ku nwa mali a munyan'a hao a zwa mwa lizoho la hao. 
GEN.4.12	Ha u ta lima lico, lifasi ha li na ku ku meliseza zona hande. Ha u na ku ba ni munzi sakata. U ta ba feela muyambaeli fafasi.”
GEN.4.13	Kaine a li ku Muñ'a Bupilo, “Mulatu wo u tata hahulu. 
GEN.4.14	Cwale wa ni leleka mwa sibaka se, ni fapil'a hao. Ha ni na ku ba ni munzi sakata, ni ta yambaela feela mwa naha, mi ya ta ni fumana kaufela u ta ni bulaya.”
GEN.4.15	Kono Muñ'a Bupilo a mu alaba, a li, “Batili. Mañi ni mañi ya ta bulaya Kaine u ta fiwa mulatu o ekelizwe hasupile kwa butuna.” Cwalehe Muñ'a Bupilo a beya liswayo fa pata ya Kaine, kuli mañi ni mañi ya ta katana ni yena a si ke a mu bulaya. 
GEN.4.16	Cwale Kaine a zwa ku Muñ'a Bupilo mi a y'o pila mwa naha ye bizwa Node, kwa upa wa Edeni.
GEN.4.17	Kaine a kopana ni musal'a hae, mi musali a itwala. A pepa mwana wa mushimani, mi a bizwa Enoke. Kaine kih'a yaha munzi, mi a u beya libizo la mwan'a hae Enoke. 
GEN.4.18	Enoke a pepa Iradi. Iradi a pepa Mehujaele, Mehujaele a pepa Metusaele mi Metusaele a pepa Lameke. 
GEN.4.19	Lameke a nyala libali. Wa pili n'a bizwa Ada, mi wa bubeli n'a bizwa Zila. 
GEN.4.20	Ada a pepa Jabali, yena kukw'a ba ba inanga mwa litende ha ba nze ba lisa likomu. 
GEN.4.21	Libizo la munyan'a hae ne li Jubali, yena kukw'a baopeli ba ba liza lipala ni lihalepa. 
GEN.4.22	Zila a pepa Tubali-Kaine, yena kukw'a mambuti ba ba tula lisipi za mishobo-shobo ku eza lika za mifuta-futa. Kaizel'a Tubali-Kaine ne li Naama. 
GEN.4.23	Lameke a li kwa basali ba hae,
GEN.4.23	“Ada ni wena Zila, basali ba ka,
GEN.4.23	mu ni teeleze.
GEN.4.23	Ni bulaile mutu kakuli u ni natile,
GEN.4.23	mi ni bulaile mushimani
GEN.4.23	kakuli u ni utwisize butuku.
GEN.4.24	 Mañi ni mañi ya ka nata Kaine
GEN.4.24	mulatu wa hae u ta ekezwa hasupile,
GEN.4.24	kwa butuna,
GEN.4.24	kono ya ka ni nata,
GEN.4.24	u ta ekelezwa hamashumi a supile
GEN.4.24	ka a supile kwa butuna.”
GEN.4.25	Adama a kopana ni musal'a hae hape, mi a pepa mushimani. Eva kih'a li,
GEN.4.25	“Mulimu u ni file mwana wa mushimani ku yolisa Abele, ya bulailwe ki Kaine.” Mi a mu beya libizo la Seta. 
GEN.4.26	Seta a pepa mwana wa mushimani mi a mu beya libizo la Enoshi. I n'e li ka yona nako yeo batu ha ba kala ku lapela libizo la Muñ'a Bupilo.
GEN.5.1	 Ki wo mukoloko wa lusika lwa Adama. Mulimu ha n'a bupile Adama, n'a mu bupile ka siswaniso sa hae. 
GEN.5.2	 A bupa munna ni musali. A ba tohonolofaza, mi a ba biza Mutu, ha ba se ba bupilwe. 
GEN.5.3	Adama ha n'a s'a na ni lilimo ze mwanda ni mashumi a malalu, a ba ni mwana ya n'a swana ni yena, mi a mu biza Seta. 
GEN.5.4	Mwamulaho a fo, Adama a pila hape lilimo ze mianda ye supile ka u li muñwi. A ba ni bana ba bañwi ba bashimani ni basizana. 
GEN.5.5	A shwa a nz'a na ni lilimo ze mianda ye supile ka ye mibeli, ni mashumi a malalu.
GEN.5.6	Seta ha n'a na ni lilimo ze mwanda u li muñwi ni ze ketalizoho, a ba ni mwana wa mushimani ya bizwa Enoshi. 
GEN.5.7	A pila hape lilimo ze mianda ye supile ka u li muñwi ni ze supile. A ba ni bana ba bañwi ba bashimani ni basizana. 
GEN.5.8	A shwa ha s'a na ni lilimo ze mianda ye supile ka ye mibeli ni lishumi ka ze peli.
GEN.5.9	Enoshi ha s'a na ni lilimo ze mashumi a supile ni a mabeli, a ba ni mwana wa mushimani ya bizwa Kenani. 
GEN.5.10	A pila hape lilimo ze mianda ye supile ka u li muñwi ni lishumi ka ze ketalizoho. A ba ni bana ba bañwi ba bashimani ni basizana. 
GEN.5.11	A shwa a nz'a na ni lilimo ze mianda ye supile ka ye mibeli ni ze ketalizoho.
GEN.5.12	Kenani ha s'a na ni lilimo ze mashumi a supile, a pepa mushimani ya bizwa Mahalalele. 
GEN.5.13	A pila hape lilimo ze mianda ye supile ka u li muñwi ni mashumi a mane. A ba ni bana ba bañwi ba bashimani ni basizana. 
GEN.5.14	A shwa a nz'a na ni lilimo ze mianda ye supile ka ye mibeli ni ze lishumi.
GEN.5.15	Mahalalele ha s'a na ni lilimo ze silezi ka ze ketalizoho, a pepa mushimani ya bizwa Jaredi. 
GEN.5.16	A pila hape lilimo ze mianda ye supile ka u li muñwi ni mashumi a malalu. A ba ni bana ba bañwi ba bashimani ni basizana. 
GEN.5.17	A shwa a nz'a na ni lilimo ze mianda ye supile ka u li muñwi ka mashumi a supile ni a mabeli ka ze ketalizoho.
GEN.5.18	Jaredi ha s'a na ni lilimo ze mwanda ni mashumi a silezi ni ze peli, a pepa mushimani ya bizwa Enoke. 
GEN.5.19	A pila hape lilimo ze mianda ye supile ka u li muñwi. A ba ni bana ba bañwi ba bashimani ni basizana. 
GEN.5.20	A shwa a nz'a na ni lilimo ze mianda ye supile ka ye mibeli ni mashumi a silezi ni ze peli.
GEN.5.21	Enoke ha s'a li wa lilimo ze mashumi a silezi ka ze ketalizoho, a pepa mushimani ya bizwa Metusela. 
GEN.5.22	A pila ka ku ipeya ku Mulimu lilimo ze mianda ye milalu, mi a ba ni bana ba bañwi ba bashimani ni basizana. 
GEN.5.23	A pila hape ku fitela ha s'a na ni lilimo ze mianda ye milalu ni mashumi a silezi ni ze ketalizoho. 
GEN.5.24	 Enoke a pila a nz'a sebeleza Mulimu mwa bupilo bwa hae kaufela, mi n'a si ka bonahala hape kakuli n'a ngilwe ki Mulimu.
GEN.5.25	Metusela ha s'a na ni lilimo ze mwanda ni mashumi a supile ka li li liñwi ni ze supile, a pepa mushimani ya bizwa Lameke. 
GEN.5.26	A pila hape lilimo ze mianda ye supile ni mashumi a supile ka li li liñwi ni ze peli. A ba ni bana ba bañwi ba bashimani ni basizana. 
GEN.5.27	A shwa a nz'a na ni lilimo ze mianda ye supile ni ye mibeli ni mashumi a silezi ni ze supile ka ze peli.
GEN.5.28	Lameke ha s'a na ni lilimo ze mwanda ni mashumi a supile ka li li liñwi ni ze peli, a pepa mushimani. 
GEN.5.29	A li, “Mbututu yo, u ta lu pumulisa kwa misebezi ya luna ye tata mwa lifasi le, le li kutilwe ki Muñ'a Bupilo.” Kiha s'a mu biza Nuwe. 
GEN.5.30	Lameke a pila hape lilimo ze mianda i ketalizoho ni mashumi a supile ka a mabeli ni ze ketalizoho. A ba ni bana ba bañwi ba bashimani ni basizana. 
GEN.5.31	A shwa a nz'a na ni lilimo ze mianda ye supile ka mashumi a supile ni ze supile.
GEN.5.32	Nuwe ha s'a na ni lilimo ze mianda i ketalizoho, a pepa bashimani ba balalu, ili bo Sema, Kama ni Jafeta.
GEN.6.1	 Ka yona nako yeo, ne ku se ku na ni batu ba bañata mwa lifasi kamukana, mi ni basizana ne ba pepiwa. 
GEN.6.2	Bana ba Mulimu ba bañwi ba bona kuli basali bao n'e li ba bande hahulu. Cwale ba nyala be ne ba latile. 
GEN.6.3	Cwale Muñ'a Bupilo a bulela, a li, “Ha ni na ku lumelela batu ku pila kuya kuile. Ki batu feela mi ba lukela ku shwa. Ku zwa fa, ha ba sa na ku pila lilimo ze fitelela mwanda u li muñwi ni mashumi a mabeli.” 
GEN.6.4	 Ku ona mazazi ao, ni a kwamulaho, ne ku na ni batu ba batelele ba bakima mwa lifasi, ili bana ba ba pepilwe ki basali ni bana ba Mulimu bani. Kale ne li bona lindume ba ba ne ba tumile.
GEN.6.5	 Muñ'a Bupilo a bona kuli batu se ba li ba ba maswe hahulu kai ni kai, ni minahano ya bona kamita ne i tezi mihupulo ye maswe. 
GEN.6.6	A swaba ni ku inyaza h'a hupula kuli n'a ezize batu ni ku ba beya mwa lifasi. 
GEN.6.7	Kih'a li, “Ni ta felisa batu kamukana be ni bupile, kai ni kai ko ba li teñi. Ni ta sinya cwalo lifolofolo ni linyunywani kaufela, kakuli na inyaza ha ni li ezize.” 
GEN.6.8	Kono Muñ'a Bupilo a tabiswa ki Nuwe.
GEN.6.9	 Nuwe ne li mutu ya lukile, ili yena feela a nosi ya n'a lumbiwa ki Muñ'a Bupilo ka nako yeo, a sebeleza Mulimu cwalo mwa bupilo bwa hae kaufela. 
GEN.6.10	Lo, ki lona lusika lwa Nuwe. N'a na ni bashimani ba balalu, ili bo Sema, Kama ni Jafeta 
GEN.6.11	Kono haili batu ba bañwi kamukana, ne li ba ba maswe fapil'a Mulimu, mi bumaswe bwa bona ne bu se bu hasanezi mwa lifasi kamukana. 
GEN.6.12	Mulimu a talima lifasi, mi a bona kuli li sinyehile, kakuli batu ne ba se ba li ba ba maswe ka ku fitisisa.
GEN.6.13	Mulimu kih'a li ku Nuwe, “Ni se ni hupuzi ku felisa batu kaufela. Ni ta ba feza mbuu, kakuli lifasi kamukana li se li tezi bumaswe bwa likezo za sibi sa bona. 
GEN.6.14	Wena u ikezeze Aleka, ili sisepe se situna sa kota ye nde ya gofele. U pumake mizuzu mwa sisepe seo, mi u si lile mwahali ni kwande ka tala. 
GEN.6.15	Butelele bwa sona i be mapeka a mwanda ni mashumi a ketalizoho, mwa mba i be mapeka a mashumi a mabeli ni a ketalizoho, mi ku ya mwahalimu i be mapeka a lishumi ka a ketalizoho. 
GEN.6.16	U si beye situwa, mi u siye sibaka sa lihaulo le linyinyani feela le li likana ni licika la lipeka fa limota ku ya kwa situwa. Mizuzu ya sona i lundatamane halalu, mi u siye munyako kwa tuko. 
GEN.6.17	Ni ta tisa muunda o mutuna mwa lifasi ku t'o sinya ze pila kaufela. Lika kamukana ze mwa lifasi li ta shwa. 
GEN.6.18	Kono ni ta iswala bulikani ni wena. U kene mwa sisepe, wena ni musal'a hao, hamohocwalo ni bana ba hao ni basali ba bona. 
GEN.6.19	U nge kwa mifuta kaufela ya lifolofolo, ya poho ni ye sihali, kuli li pile. 
GEN.6.20	Kwa mishobo kamukana ya linyunywani, mifuta ya lifolofo kaufela, ni libupiwa kamukana ze zamaya ka mba, u nge ze peli ili ya munna ni ya musali, li ta kena mwa sisepe kuli li pile. 
GEN.6.21	U nge ni mifuta ya lico kaufela, za hao ni za zona.” 
GEN.6.22	 Mi Nuwe a eza sina mw'a n'a laelezwi ki Mulimu.
GEN.7.1	Muñ'a Bupilo a li ku Nuwe, “Kena mwa sisepe, wena ni lubasi lwa hao kaufela. Ni fumani kuli ki wena feela mwa batu kamukana ya lumelezwi ki na. 
GEN.7.2	Kwa lifolofolo kamukana ze kenile, u nge ze supile za banna ni ze supile za basali. Kwa lifolofolo ze si ka kena, u nge ka bubeli, ye tunanyana ni ye sihali. 
GEN.7.3	Ni kwa linyunwani u nge ze supile ze tunanyana ni ze sihali. Buluka cwalo mifuta kaufela ya lifolofolo ni linyunywani kuli li pile, mi li te li y'o zwala hape mwa lifasi. 
GEN.7.4	Ku siyezi feela mazazi a supile kuli ni tise pula ye ka t'o nela mazazi a mashumi a mane ni masihu a teñi, ili kuli ni sinye ze pila kamukana ze ni ezize.” 
GEN.7.5	Cwale Nuwe a eza lika kaufela z'a n'a mu laezi Muñ'a Bupilo.
GEN.7.6	Muunda ha u tibisa lifasi, Nuwe n'a na ni lilimo ze mianda ye silezi. 
GEN.7.7	 Yena ni musal'a hae hamoho ni bana ni basali ba bona, ba kena mwa sisepe ku sabela mwateñi muunda. 
GEN.7.8	Ya poho ni ye sihali mwa mifuta kaufela ya lifolofolo ze ciwa, ni ze sa ciwi, linyunywani, ni libupiwa kaufela ze zamaya ka mba za kena mwa sisepe. 
GEN.7.9	Ka bubeli ye tunanyana ni ye sihali za kena mwa sisepe ni Nuwe, sina mw'a n'a laelezi Mulimu. 
GEN.7.10	Mwamulaho a mazazi a supile, muunda wa ba teñi mwa lifasi.
GEN.7.11	 Mwa kweli ya bubeli ha se i na ni mazazi a lishumi ni a supile, Nuwe ha s'a na ni lilimo ze mianda ye silezi, mawelu-welu kamukana a mawate a matuna a kwatas'a lifasi a punyeha, ni masuba kaufela a kwahalimu a sulula mezi. 
GEN.7.12	Mi pula ya nela mazazi a mashumi a mane ni masihu a teñi cwalo. 
GEN.7.13	Ka lona lizazi leo, Nuwe ni musal'a hae ni bana ba hae ba balalu, bo Sema, Kama ni Jafeta, ni basali ba bona, ba longana mwa sisepe. 
