MAT.1.1	Kitabu cha mbuli ya Yesu Kilisito, ṅwana Dawidi, ṅwana Abulahamu: 
MAT.2.9	Wakibinda kuiva mbuli za zumbe wazahita. Wakiolela, iyo ntondwe, waeneyo luja lwazu lwelawa zuwa, izawalongwela, mpaka ikibula sawasawa na muja, kaja kazana kalimo, ne ihoγoloka. 
MAT.2.10	Wakiona ija ntondwe wazaona nyemi nkulu muno kabisa. 
MAT.2.11	Wakiingila na muja nyumbai wazaona kaja kazana haṅwe na nine Maliya, wazakina na shi wazakagintila mazwi; vikibinda wazashungula miziγo yawe, wazakaiγaila matulo, zahabu na uvumba na mafutilo ya mluziluzi. 
MAT.2.12	Wazalaγiliziγwa mwe sozi, washeuye kwa Helode, ne wahoγotoka na sila ntuhu mwe shi yawe.
MAT.2.13	Wakibinda kuhita, mlau ywa Zumbe azamlawila Yosefu mwe sozi, azamuti: Inuka, uγuwe ako kazana na nine, unyilike na Egiputa, uhumule γuko, mpaka ndiho nezenikuγambile! Hambu Helode agomba kulonda aka kazana, akakome. 
MAT.2.14	Yuja azainuka, azaγuwa kaja kazana na nine, 
MAT.2.15	kuke kilo, azahita Egiputa, azahumula γuko, mpaka Helode akifa, kangwe ibontoke ija mbuli ilongiγweyo ni Zumbe na kanwa cha mteγanyi kuγamba: Egiputa ne nimwitangileko ṅwanangu.
MAT.2.16	Helode akiona, kuti azaufiγwa ni waja watalizi wa ntondwe azakwelwa ni maya mangi, azatuma, azakoma wana woshe we muja Betelehemu na kwe mizi yoshe ye tanga, wabindilewo mavuli maili na waja washiyabindilewo, sa viyaho auzizevyo waja watalizi wa ntondwe mishi ya ija ntondwe. 
MAT.2.17	Haja hazabontoka iyo mbuli ilongiγweyo ni mteγanyi Yelemiya akiγamba: 
MAT.2.18	Uko Lama kuzaivika vuzo, kulila na kukema, kangi Laheli alilila wanae, nkakunda kuhembuliziγwa, hambu wazabindiγwa.
MAT.2.19	Helode akibinda kufa, mlau ywa Zumbe azamlawila Yosefu mwe sozi uko Egiputa, 
MAT.2.20	azamuti: Inuka, uγuwe ako kazana na nine uhite mwe shi ya Isilayeli, hambu ndiwo wakilonda kukoma ako kazana wazabinda kufa. 
MAT.2.21	Yuja azainuka, azaγuwa ako kazana na nine, azahita mwe shi ya Isilayeli. 
MAT.2.22	Miya akiiva, kuti Alikelawo azamhokela ishe Helode uzumbe wa Yudeya, azaogoha kuhita na kuja; azalaγiliziγwa mwe sozi, azahita lwazu lwa Galileya. 
MAT.2.23	Akikubula azaikala mwe muzi weitangwa Nazaleti, kangwe ibontoke iyo mbuli ilongiγweyo ni wateγanyingwa kuti: Atazaitangwa Mnazaleti.
MAT.3.1	Mishi ija Yohana Mubatizi ne akiikala mwe nyika ya Yudeya akibilikila angwe: 
MAT.3.2	Hitulai ntongonyezi zenyu! Hambu uzumbe wa lwingu u hehi. 
MAT.3.3	Hambu uyu ni yuja ateγanyiγwaye ni mteγanyi Yesaya akiγamba: Kanwa cha mubilikizi chaivika mwe nyika angwe: Liγanyai sila ya Zumbe na kuγolosheza aho, ndiho agwile! 
MAT.3.4	Yuja Yohana ṅwenye ana kizwiko cha mayoya ya ngameya, aichikantile na kikowe; nkande zakwe ni siγe na woki wa vambi.
MAT.3.5	Haja wa Yelusalemu woshe na wa Yudeya woshe na woshe weikala hehi hehi na Yolodani wazamlawila, 
MAT.3.6	wazabatizwa ndiye mwe muto wa Yolodani wakilaviliza wabanilevyo. 
MAT.3.7	Akiona, Mafaliseyo na Masadukeyo wangi wakiiza, wabatizwe, azawati: Wana nyoka inywi! Amionyesheye kuti: Mtazanyilika mayangwa, ndiyo yalawile, ni ndai? 
MAT.3.8	Tendai kuwo jeivana na kuhitula ntongonyezi! 
MAT.3.9	Mshefanyanye mwe myoyo yenyu kuγamba: Tina tate yweshu Abulahamu! Hambu namiti: Mulungu adaha kumwinulila Abulahamu wana mwe aya mawe. 
MAT.3.10	Miti iiteγanyiziγwe hoya nkoloi, kila muti ushiwovyala matunda matana utakelwa, utatambikwa mwe moto. 
MAT.3.11	Imi nimibatiza na mazi, mhitule ntongonyezi, miya yuja mwenitongela anizinka nguvu nkaviniagiza nikimwinwila vilatu, yuja atazamibatiza na mpeho ṅazi na moto. 
MAT.3.12	Aitozize kihetelo mwe mkono wakwe, aṅaze twelo jakwe ja ngano, mshele atauingiza mwe ikilo, miya makanka atayaoka na moto ushizimawo.
MAT.3.13	Ne Yesu alawileho Galileya, azamwizila Yohana haja Yolodani, kangwe abatizwa ndiye. 
MAT.3.14	Miya uyu azamfingiza angwe: Imi vyaniagiza, nibatizwe ni weyo, lushe iwe uiza zeze na kwangu? 
MAT.3.15	Yesu azamlandula angwe: Leka du! Hambu ishwi vyatitala kubontola utanda woshe. Ne ahomkundiza. 
MAT.3.16	Yesu akibinda kubatizwa azafikalawa mwe mazi; akiolela, lwingu luzazuγuka azaona mpeho ya Mulungu, ikisheela, ikimwizila ifanana na suwa; 
MAT.3.17	kangi aho hazalawa kanwa mwe lwingu angwe: Uyu ni ṅwanangu, niyemkundisha, niyetamilwa ndiye.
MAT.4.1	Vikibinda Yesu azaiγalwa ni mpehongwa na nyika, akaγezwe ni ṅwenye leba. 
MAT.4.2	Akifunga mfungo mishi milongo mine na vilo milongo mine kubindiliza azaluṅwa ni sala. 
MAT.4.3	Ne mtakuγeza ahomwizila angwe: Ati u ṅwana Mulungu, longa, aya mawe yaγaluke nkande! 
MAT.4.4	Miya yuja azalandula angwe: Kuigondiγwe: Siyo nkande ike yemleka muntu aikale ugima, miya ni kila mbuli yelawa mwe kanwa cha Mulungu. 
MAT.4.5	Vikibinda yuja ṅwenye leba azamγuwa, azamwiγala mwe muzi mṅazi, azamγolosha mwe vikilongwa ulanga he heta, 
MAT.4.6	azamuti: Ati u ṅwana Mulungu, lumbila na shi! Hambu kuigondiγwe: Atakulaγiliziza walau wakwe, wakuambate na mikono, kangwe mulundi wako usheukwile he iwe! 
MAT.4.7	Yesu azamuti: Vituhu kuigondiγwe: Ushezamγeza Zumbe, Mulungu ywako! 
MAT.4.8	Vituhu yuja ṅwenye leba azamγuwa, azamwiγala mwe mulima mule muno, azamwonyesha uzumbe woshe wa kunu shi na uzuli wakwe, 
MAT.4.9	azamuti: Ivi vyoshe nitavikunka, ati wanikinila na kunivika. 
MAT.4.10	Ne Yesu ahomlonga: Uka aha, Satani! Hambu kuigondiγwe: Umvike Zumbe, Mulungu ywako, na kumtumikila yuja ike! 
MAT.4.11	Ne ṅwenye leba ahomleka; akiolela, walau wazamwizila, wazamγoshwela ndima.
MAT.4.12	Yesu akiiva, kuti Yohana azagelwa mwe chumba, azahita Galileya. 
MAT.4.13	Azauka kuja Nazaleti, azahita, azaikala Kapelinaumu, ni muzi we hehi na bahali mwe shi ya Sebuluni na ya Nafutali, 
MAT.4.14	kangwe kubontoke ija mbuli ilongiγweyo ni mteγanyi Yesaya akiγamba: 
MAT.4.15	Mwe shi ya Sebuluni na ya Nafutali ye hehi na bahali sheja ja Yolodani, yeitangwa Galileya ya wamzimu, 
MAT.4.16	uko wantu weikala mwe lwiza waona langaila kulu, weikala mwe kizuli cha kifa langaila jawalawila.
MAT.4.17	Haja ne Yesu aandiileho kubilikila akiγamba: Hitulai ntongonyezi zenyu! Hambu uzumbe wa lwingu u hehi.
MAT.4.18	Akianga nkandankanda he bahali ya Galileya azaona wanduγu waili, Simoni mweitangwa Petelo na nduγuye Andeleya, wagela lwavu mwe bahali, hambu ni walowi. 
MAT.4.19	Awati: Nitonge lai, nimiγalushe walowa wantu! 
MAT.4.20	Waja wazafikaasha nyavu zawe, wazamtongela. 
MAT.4.21	Akihita na mazu hadodo azaona wanduγu waili watuhu, Yakobo, ṅwana Zebedeyo, na nduγuye Yohana, wa mwe chombo haṅwe na ishe ywawe Zebedeyo, wachunta nyavu zawe. Ne ahowaitanga. 
MAT.4.22	Waja wazafikaasha chombo chawe, hata ishe ywawe, wazamtongela.
MAT.4.23	Azaanga mwe shi ngima ya Galileya akifuza mwe vikilo na kubilikila ulau wedi wa uzumbengwa na kuhonya mahisho na manyonge yoshe yena wantu. 
MAT.4.24	Nguma yakwe izaγendesha, izagisa hata shi ngima ya Siliya. Wazamwiγaila Yesu woshe wehuma, wetoziγwa ni mahisho na manyonge mangi, wehuma mpepo, wena luzwili, hata wena pengene, azawahonya woshe. 
MAT.4.25	Wantu wangi wazamtongela, weanduka Galileya na mwe iyo mizi kumi na Yelusalemu na Yudeya na mwe shi ye sheja ja Yolodani.
MAT.5.1	Akiona mabumba azakwela mwe ntuli; akiikala, wahina wakwe wazaiza na kwakwe. 
MAT.5.2	Azainula kanwa chakwe, azawafuza angwe: 
MAT.5.3	We nyemi ni wakiwa wa kimpeho, hambu uzumbe wa lwingu ni wawe. 
MAT.5.4	We nyemi ni waja weduma ukiwa, hambu watazahembuliziγwa. 
MAT.5.5	We nyemi ni wahozu, hambu watazapala inu shi. 
MAT.5.6	We nyemi ni waja wena sala na nkilu ya utanda, hambu watazaiγushiγwa. 
MAT.5.7	We nyemi ni waja wena mbazi, hambu watazaonelwa mbazi. 
MAT.5.8	We nyemi ni waja wena myoyo yeṅala, hambu watazamwona Mulungu. 
MAT.5.9	We nyemi ni waja weivanya weyae wawe, hambu watazaitangwa wana Mulungu. 
MAT.5.10	We nyemi ni waja weingatwa kwa mbuli ya utanda, hambu uzumbe wa lwingu ni wawe.
MAT.5.11	Muna nyemi inywi, wantu wakimikanka, wakimiingata, wakimishinga mbuli mbada zoshe za mambeza kwa mbuli ya imi. 
MAT.5.12	Tamilwai na kutowa mazumo! Hambu upokezi wenyu mwe lwingu ni ungi; hambu vivyoho wazaγulusha hata waja wateγanyi wamilongwelewo.
MAT.5.13	Inywi mu munyu wa inu shi. Ati munyu wabanika, utakola zeze vituhu? Nkauna ndima lushe, utaashiγwa du, ujatwe ni wantu. 
MAT.5.14	Inywi mu langaila ja ngulu ngima. Muzi weikala mwe ntuli ulanga nkaukifisha. 
MAT.5.15	Wantu wohena wakikoleza taa nkawaifunikila ngahu, waiika mwe kiikilo chakwe, imulikile woshe we muja nyumbai. 
MAT.5.16	Vivyoho lekai, hata langaila jenyu jimulikile wantu, waone ndima zenyu ntana, wakamtogole ishe ywenyu mweikala mwe lwingu!
MAT.5.17	Mshefanyanye, kuti nizaiza, nichakule mbuli za mulomongwa ao za wateγanyingwa! Siizile nichakule, niizile nibontoleze.
MAT.5.18	Kweli namiti: Mpaka lwingu lubanike haṅwe na inu shi, miya mulomongwa nkeubanike kagonde ao kasonono kaṅwe du, shuti vyoshe vinebontoka! 
MAT.5.19	Lushe ndiye aushe mulaγilizo muṅwe du, hata ni mdodo kabisa, kangi akifuza wantu ivyoho, mwe uzumbe wa lwingu uyu atazaitangwa mdodo ṅwenye; miya ndiye auγoshole na kufuza wantu ivyoho, mwe uzumbe wa lwingu uyu atazaitangwa mkulu. 
MAT.5.20	Hambu namiti: Utanda wenyu ukishezinka uja wa watabaluwangwa na uja wa Mafaliseyo nkezemwingile mwe uzumbe wa lwingu.
MAT.5.21	Mzaiva kuti: Wakale wazaγangwa: Ushekome! Ndiye akome atakola masa. 
MAT.5.22	Miya imi namiti: Kila mwena maya na mnduγu ywakwe atazakola masa; ndiye amweze mnduγu ywakwe, atazakola masa bomani, ndiye amkanke, atazakola masa ya kushindikwa mwe moto wa kuzimu. 
MAT.5.23	Ati waiγala tulo jako vikiloi, lushe uko ukifukila, kuti mnduγu ywako ana mfundo mwe moyo kwa mbuli ya iwe, 
MAT.5.24	asha tulo jako kuja kwe vikilo, unehita kwa ivana na mnduγu ywako, ukibinda udaheiza, uiγale tulo jako! 
MAT.5.25	Ṅwiyawo mwekuifya ufikemγendela na uhozu ukena naye silai, kangwe uyu ṅwiyawo mubada ashezakuinkila kwa mlaha masa, uyu mlaha masa akikuinkila kwa mshilikali, ukigelwa mwe chumba! 
MAT.5.26	Kweli nakuti: Nkezeumlawe muja, shuti unemliha ṅwiyawo na kusheshiγaza, ati ni kahela kaṅwe du.
MAT.5.27	Mzaiva kuti: Wakale wazalongwa: Ushetende kilanga! 
MAT.5.28	Miya imi namiti: Kila mwemwolela mvyele na luzisho azabinda kutenda kilanga naye mwe moyo wakwe. 
MAT.5.29	Ati zisho jako ja kulume jakunda kukuhosa, ujifokole, ujiashe! Hambu ni vitana, dango iṅwe ja ṅwili wako jikibanika, kushima ṅwili wako mgima ukishindikwa na kuzimu. 
MAT.5.30	Ati mkono wako wa kulume wakunda kukuhosa, uushenge, uuashe! Hambu ni vitana, dango iṅwe ja ṅwili wako jikibanika, kushima ṅwili wako mgima ukishindikwa na kuzimu. 
MAT.5.31	Kangi kuzalongwa: Ndiye alekane na muke, shuti amunke cheti cha kulekana! 
MAT.5.32	Miya imi namiti: Ndiye alekane na muke, ati so kwa mbuli ya kilanga, aleka, yuja atende kilanga, kangi ndiye aγuwe mvyele alekiγweye ni mγoshi ywakwe, atenda kilanga.
MAT.5.33	Vituhu mzaiva kuti: Wakale wazalongwa: Ushekilishe ulongo du! Miya shuti umlihe Zumbe malape yako! 
MAT.5.34	Miya imi namiti: Ushezakilisha hata hadodo! Ushekilishe na lwingu! Hambu ni kiti cha Mulungu. 
MAT.5.35	Ushekilishe na inu shi! Hambu ne ayoikila milundi yakwe. Ushekilishe na Yelusalemu! Hambu ni muzi wa Zumbe mkulu. 
MAT.5.36	Ushekilishe na mutwi wako! Kwa kuti luzwili luṅwe du nkudaha kuluṅaza haidu kuluchusha. 
MAT.5.37	Mkilonga: Ndivyo, shuti ndivyo kweli! Mkilonga: Sivyo, shuti sivyo kweli! Vyezinka aho, viandusha vibada.
MAT.5.38	Mzaiva, kuti viyakalongwa: Zisho jilihiγwe zisho! Zino jilihiγwe zino! 
MAT.5.39	Miya imi namiti: Ṅwiyawo mubada ushemwikile nkani! Ndiye akutowe kibao mwe tama ja kulume, umtendezwile hata tama tuhu! 
MAT.5.40	Ndiye akunde kukulaha masa, aγuwe nkazu yako, umleke, aγuwe hata shuke yako ya kiγubika. 
MAT.5.41	Ndiye akukungumize, uhite naye ntambo ṅwenga, γesanya naye hata mbili! Mwekulombeza umunke! 
MAT.5.42	Hata yuja mwekunda kukuambala ushemnyime!
MAT.5.43	Mzaiva, kuti vizalongwa: Umkundishe ṅwiyawo, umshuke munkulu ywako! 
MAT.5.44	Miya imi namiti: Kundishai wankulu wenyu, mhembelezeze waja wemiifya, 
MAT.5.45	kangwe mγaluke wana wa ishe ywenyu mweikala mwe lwingu! Kangi aleka, zuwa jakwe jiake kwa wabada na kwa watana, hata fula aileka, igwe kwa watanda na kwa wahuza. 
MAT.5.46	Hambu ati mwakunda waja wemikundisha, muna upokezi ani? Wangelu wohena nkawaγoshola ivyoho? 
MAT.5.47	Ati mwaluγushana na wanduγu wenyu du, mzinka zeze watuhu? Wamzimu wohena nkawaγoshola ivyoho? 
MAT.5.48	Kwa ivyoho γalukai watakuzifya sa ishe ywenyu ywa kilwingu avyo mtakuzifya!
MAT.6.1	Teγelezai utanda wenyu msheuγoshole he mesho ya wantu mkiolelwa ndiwo! Ati mu ivyoho, nkamna upokezi kwa ishe ywenyu mweikala mwe lwingu. 
MAT.6.2	Ndiho uinkile cha mbazi, usheleke, ukitowelwa gunda haja uhoinkila, sa waja wehemba wavyoγoshola mwe mavikilo, hata lwazoi, kangwe watogolwe ni wantu! Kweli namiti: Wazabinda kuγuwa upokezi wawe. 
MAT.6.3	Miya iwe ukiinkila cha mbazi uleke, mkono wako wa kumosho ushetaile, wa kulume uvyoγoshola, 
MAT.6.4	kangwe chiya cha mbazi yako chifishiγwe! Kangi isho mweona viya vyefishiγwa atazavikuuziza.
MAT.6.5	Mkivika mshefanane na waja wehemba! Hambu wakundisha kuvika waiγoloke, ati ni mwe mavikilo, ati ni he makintanilano ya sila za muzi, kangwe waoniγwe ni wantu; kweli namiti: Wazabinda kuγuwa upokezi wawe. 
MAT.6.6	Miya iwe ukivika ingila nyumbai mwako mwe chumba che ndai, uzuγale luvi, udahemvika isho uikifishize! Kangi isho mweikala ashihooniγwa atazavikuuziza. 
MAT.6.7	Mkivika mshehakilongela mbuli nyingi, sa wamzimu wavyoγoshola! Hambu wafanyanya, wakilonga mbuli nyingi wataiviγwa. 
MAT.6.8	Mshekifanyanye nawo! Hambu ishe ywenyu ataila viya vyemitala, mushizati mumhembeleze. 
MAT.6.9	Vikai ivyoho: Tate yweshu we uko mwe lwingu! 
MAT.6.10	Zina jako jigimbikwe! Uzumbe wako uize! Uvyokunda vibontoke kunu shi sa uko mwe lwingu! 
MAT.6.11	Utinke lelo nkande yetu yetiagiza! 
MAT.6.12	Utiushilize masa yetu, sa ishwi tivyowaushiliza weshu masa! 
MAT.6.13	Ushetiingize mwe miγezo! Miya utivunile mwe vibada! Hambu wako ni uzumbe na nguvu na utana kale na kale. 
MAT.6.14	Hambu mkiushiliza wenyu wavyomibanila, hata ishe ywenyu ywa kilwingu atazamiushiliza vyenyu. 
MAT.6.15	Miya mkishewaushiliza wenyu, hata ishe ywenyu nkezeamiushilize muvyobana.
MAT.6.16	Mkifunga msheifye vyeni, sa waja wehemba wavyoγoshola! Hambu waja wafisha vyeni vyawe, kangwe waoniγwe ni wantu kuti: Wafunga. Kweli namiti: Wazabinda kuγuwa upokezi wawe. 
MAT.6.17	Miya iwe ukifunga shisha mutwi wako mavuta, 
MAT.6.18	kangi uhake cheni chako, kangwe usheoniγwe ni wantu kuti: Wafunga, uoniγwe ni isho mweikala hashihooniγwa! Kangi isho mweona vyefishiγwa atazavikuuziza.
MAT.6.19	Mshekiumbikile mali kunu shi! Hambu kunu zabindwa ni visaga na nkanga, kangi zafokolwa, zabaiγwa ni wabavi. 
MAT.6.20	Miya kiumbikilei mali mwe lwingu! Hambu kuja nkazibindwa ni visaga na nkanga, kangi nkazifokolwa, nkazibaiγwa ni wabavi. 
MAT.6.21	Hambu mali yako iliko, ne moyo wako uliko. 
MAT.6.22	Langaila ja ṅwili ni zisho; ati zisho jako ni jedi, ṅwili wako woshe una langaila. 
MAT.6.23	Miya ati zisho jako ni bada, ṅwili wako woshe una lwiza. Lushe viya vye langaila mwe ṅwili wako vikitenda kiza, kiza ṅwenye chiinga hahi? 
MAT.6.24	Nkakuna mwedaha kutumikila wazumbe waili; hambu atamshuka yuja muṅwe, amkundishe yuja mtuhu, ao akianga na yuja ywa bosi atamubela yuja mtuhu; nkamdaha kumtumikila Mulungu haṅwe na mali ya kiinushi.
MAT.6.25	Ne vyeleka, nikimiti: Msheje sungu kwa mbuli ya ugima wenyu kuγamba: Tijei? ao du: Tinywei? Msheje sungu kwa mbuli ya mili yenyu kuγamba: Tizwikei? Ugima so ukulu kuzinka ṅkande? Ṅwili so mkulu kuzinka shuke? 
MAT.6.26	Olelai madeγe yeanga ulanga! Nkayahanda, nkayaluka, nkayaika mako, kangi ishe ywenyu ywa kilwingu ayashuγa. Inywi nkamuyazinka hakulu? 
MAT.6.27	Kwenyu kuna muntu mwedaha kuongeza mishi yakwe kahindi kaṅwe du na kupikapika kwakwe? 
MAT.6.28	Nini mkikionya sungu kwa mbuli ya shuke? Hinilai mwe vititi vya tunduwi, vivyokula! Nkavina ndima, nkaviluka shuke. 
MAT.6.29	Kangi namiti: Hata Salomo aγenyezeye utana wakwe ungi nkavutile sa kititi kiṅwe. 
MAT.6.30	Ati Mulungu avutila ivyoho mani ya tunduwi yeikala lelo, kangi keloi yaashiγwa mwe moto, asheisiize kumivutila inywi? Nini mkishetozesha vyedi? 
MAT.6.31	Msheje sungu kuγamba: Tijei? ao du: Tinywei? ao du: Tizwikei? 
MAT.6.32	Ivi vyoshe wamzimu ne wevilonda. Hambu ishe ywenyu ywa kilwingu ataila, kuti mwaagiziγwa ni ivi vyoshe. 
MAT.6.33	Kuandiila londai uzumbe wa lwingu na utanda wakwe! Ne ndivyo mwinkwe viya vyoshe. 
MAT.6.34	Msheje sungu kwa mbuli za keloi! Mushi wa keloi una zakwe sungu. Vyabesha, kila mushi una ntoγo zakwe.
MAT.7.1	Mshelahe wenyu, kangwe mshezalahiγwa! 
MAT.7.2	Hambu milahile, ndiyo mulahe nayo, ne ndiyo nezemulahiγwe nayo, kangi kihimo, ndicho muhime nacho, ne ndicho nezemuhimilwe nacho. 
MAT.7.3	Nini ukiolela kashashani ke mwe zisho ja ṅwiyawo; miya jiya γoγo gima je mwe zisho jako nkujiona? 
MAT.7.4	Ṅwiyawo umlonga zeze: Leka, niushe kashashani ke mwe zisho jako? Kangi shivyo: Γoγo gima ji mumo mwe zisho jako! 
MAT.7.5	Wahemba iwe! Kuandiila usha jiya γoγo mwe zisho jako! Ukibinda udaheolela, ndivyo uushe kaja kashashani ke mwe zisho ja ṅwiyawo! 
MAT.7.6	Viṅazingwa msheviinkile kwe makuli! Kangi makalata yenyu msheyaashe kwe nguluwe, zishezayajata na milundi vawe, zikimihitukila, zikimimokolamokola.
MAT.7.7	Lombezai! Nemwinkwe. Londai! Nemwone. Goṅondai! Nemzuγwilwe. 
MAT.7.8	Hambu kila mwelombeza ainkwa, mwelonda aona, mwegoṅonda azuγwilwa. 
MAT.7.9	Hambu kwenyu kuna muntu, ndiye amunke ṅwanae iwe, akimlombeza nkande? 
MAT.7.10	Ao du akimlombeza kapala, amunke nyoka? 
MAT.7.11	Lushe ati inywi wabada mwadaha kuinka wana wenyu vintu vitana, ishe ywenyu mweikala mwe lwingu asheisiize kuinka vintu vitana waja wemlombeza? 
MAT.7.12	Vyoshe muvyokunda, wantu wavimiγoshwele, andiilai inywi kuviwaγoshwela! Ne bontokelo ja mulomongwa na ja wateγanyingwa.
MAT.7.13	Ingilai mwe nkili finyu! Hambu kuna nkili sangalamu na sila nkulu, ne yeonya kwa banikila; weiingila ni wangi. 
MAT.7.14	Kangi kuna nkili finyu na sila shishili, ue yeonya kwe ukalamo, weiona ni waγeke.
MAT.7.15	Kiγojei kwa mbuli za wateγanyi wa ulongo! Waiza kwenyu waizwikile sa ngoto, miya uko ndai ni mashuwi yena upakuzi: 
MAT.7.16	Nemuwataile na miγoshwele yawe! Sabibu wantu wazishenga mwe mishewa? Ao nkuyu wantu wazishenga mwe migunga? 
MAT.7.17	Ivyoho kila muti mtana uvyala matunda matana, kila muti mbada uvyala matunda mabada. 
MAT.7.18	Muti mtana nkaudaha kuvyala ntunda mbada, muti mubada nkaudaha kuvyala ntunda ntana. 
MAT.7.19	Kila muti ushiwotenda kuwo jedi wakelwa, waashiγwa mwe moto. 
MAT.7.20	Kwa ivyoho nemuwataile na miγoshwele yawe! 
MAT.7.21	Weniitanga Zumbe! Zumbe! Nkawaingila woshe mwe uzumbe wa lwingu, miya ni waja du weγoshola Tate mweikala mwe lwingu avyokunda. 
MAT.7.22	Mushi uja wangi newaniγambe: Zumbe! Zumbe! Nkatibilikile mwe zina jako? Nkatiingate mpepo mwe zina jako? Nkatiγoshole vilozo vingi mwe zina jako? 
