GEN.1.1	Ndre mamunen Petngendrei ihnan lok eleng pe lokpoi, pe sane ndre sulo-on. 
GEN.2.14	Iy handrang eri Taigris, ihtot ile wuron rai ea odo lok Asiria, pe iy handrang yi eri kah Yufretis.
GEN.2.15	Inum pe Lapan Petngendrei iduwe ndramat kamal imin pule-en poi ndre Iy indretohon odo Iden, kile pe iy we kina-an, kimpo marai pe madan kisso eriy. 
GEN.2.16	Lapan Petngendrei ipe ile tadan ihpa, “Ou oyo-on mbrwen kei ndre sulo-on odo poi ketih, 
GEN.2.17	odoke kei ndre intawe tawene odo sane huyen pe sane mo-on eri ou oyo-on mbrwen kolwii. Uh ou oyo-on eri we amat kidu ke ndre rang etih.”
GEN.2.18	Eri pe Lapan Petngendrei ipe ihpa, “Ndramat kamal iy ke homou imin eri mo-on. Yu we kuhnan homou kowson odo henuwii iy.”
GEN.2.19	Ile pe Iy ikuni poi se, pe Iy iyepisi su ka-an pe nenka-an ile eriy. Inum pe Iy ikuni su ile hun ndramat, ile pe Iy ipe kindre-et ndramat kuti kitou ranga’ su. Iy eti uu pe ka-an pe nenka-an handrai handrai ti ndre ranga’ su iyenon ea tih. 
GEN.2.20	Ile pe ndramat kuti iduwe ranga’ su ka-an pe nenka-an ndre sulo-on. Odoke homou indrahpa ndre iy ti pwi, pe indrila huyen odo we kile kowson eri pwi.
GEN.2.21	Eri pe Lapan Petngendrei ihnan ndramat kamal imtir tuw, pe Iy irwi ndruwin kohlon he-ei, inum pe isokopti ndre kohlon yi, 
GEN.2.22	pe ihtungon ndramat pedih ihir odo ndruwin kohlon iy kamal. Inum pe Iy ikuni iy pedih ti ile hun iy kamal.
GEN.2.23	Pe iy kamal ipe ihpa,
GEN.2.23	“Kah tapa kede! Iy kuti ihpa ke ndre yu.
GEN.2.23	Ndruwin hokuni odo ndruwi pe sengin odo sengi.
GEN.2.23	Petngendrei ihtungon iy odo ndruwi,
GEN.2.23	ile pe iy rangan ‘pedih.’”
GEN.2.24	Iy eti uu pe kamal inna-au odo hun taman pe tinen pe inohtok ile ndrodan mbrulun, pe horu harla ke ndramat homou.
GEN.2.25	Kamal pe pedih ndrihi’ horu kopwi, odoke horu tuno’ horu mah-ah pwi.
GEN.3.1	Lapan Petngendrei ihnan su ka-an ndre sulo-on, odoke mot eri tawene tadan elwe-en lakopwi, iyin pule-e’ su ndre sulo-on. Mot ihndramtan iy pedih ihpah, “Erih? Petngendrei ipe we oruu erndreyo-on mbrwen kei odo lok keti pwi?”
GEN.3.2	Pedih ipe ihpa, “Oru we oryo-on mbrwen kei ndre sulo-on, 
GEN.3.3	tapake mbrwen kei idu ndrokoron lok, eri Petngendrei ipe we oru erndretukunii pe erndreyo-on pwi. Uh oru ortukunii ndre pwi oryo-on, eri oru we armat.”
GEN.3.4	Mot ipe ihpah, “Iy intaheweh, we erndremat pwi. 
GEN.3.5	Petngendrei tunon, ipe kihne oruu oryo-on eri we arahpa ndre Iy, pe we orohtuno oruu sane huyen pe sane mo-on.”
GEN.3.6	Pedih indre-et ile kei kuti pe kei ti rahyen lakopwi, pe mbrwen ti mandran pe huyen odo yo-on. Iy ipe kihtunon sane posingat, ile pe iy iyehi mbrwen kei se pe iyo-on. Inum pe iy itou se ile tan mbrulun pe mbrulun iyo-on yi. 
GEN.3.7	Horu harani mbrwen kei inum ti pe mada’ horu ipahar lakopwi, pe horu horohtuno horu ihpa ndre horu tih ndrihi’ horu kopwi. Ile pe horu hersokopet ndrokei ile ndrih pe hertese.
GEN.3.8	Lok ndre ipiyeh ti horu hertahrungi ngasan Lapan Petngendrei inelila ipei. Ile pe horu hortudong Tadan harla siliyen kei. 
GEN.3.9	Odoke Lapan Petngendrei iyuw iy kamal, “Ou anna kehe?”
GEN.3.10	Iy isomwi ihpa, “Yu uhrungi ngasam enelila pe yu unuh pe utong Tadam, odo yu ndrihi pwi tih.”
GEN.3.11	Ile pe Lapan Petngendrei ihndremte, “Ou tunom ihpa ndre ou ndrihim kopwi ti ihpa kehe? Si ipahran ile tadam? Ou ti kihne andrani mbrwen kei ndre Yu upwe ou oyo-on kolwii tih.”
GEN.3.12	Kamal ipe ihpah, “Pedih ndre Ou eduwe iy imin ndroda yu, eri ihngahang yu pe yu uyo-on.”
GEN.3.13	Lapan Petngendrei ihndramtan pedih ihpah, “Ou opo erti ile homosa?”
GEN.3.13	Iy ipe ihpah, “Mot ipusahi yu pe yu uyo-on.”
GEN.3.14	Inum pe Lapan Petngendrei ipe ile tan mot ihpah, “Ou we okun pede-en odo homosa ou opo kitih.
GEN.3.14	Ou kopwi odo lenga’ su ka-an pe nenka-an,
GEN.3.14	idu mahkele pe ile,
GEN.3.14	eri we enelila kile ke mburndrinem,
GEN.3.14	pe ana-an wambruhen poi.
GEN.3.15	Yu we kuhnan ou pe iy pedih, we erehmbore oruu oruu.
GEN.3.15	Su nedun pe su nedum eri we hompo ke pahun
GEN.3.15	kile pule-e’ su.
GEN.3.15	Su nedun pedih ti we hantatawe palam pe
GEN.3.15	ou we eneti kambrulke’ su.”
GEN.3.16	Lapan Petngendrei ipe ile tan iy pedih ihpah,
GEN.3.16	“Yu we kuduwe pede-en kile mundrem kidu ou ndriyem,
GEN.3.16	pe ngendre-en mandra-an we kile tadam,
GEN.3.16	kidu ou otou nedum.
GEN.3.16	We elnget ngendre-en, odoke reh tadam we kinto
GEN.3.16	ke ndre tan mbrulum,
GEN.3.16	pe ou we emmin ke ndre pahndran mbrulum.”
GEN.3.17	Pe Lapan Petngendrei ipe ile tan Adam ihpa, “Ou ohrung mbrulum pe oyo-on mbrwen kei ndre Yu upwe ou we onyo-on pwi tih.
GEN.3.17	Ile pe Yu we kuhnan poi kihmo-on, pe song we hendrerenge huyen pwi.
GEN.3.17	Ou we ndre opo marai puko-on, pe anam song kenon ou.
GEN.3.18	Mundriu pe osukei pudon we hernge pe hosorohe lok,
GEN.3.18	pe ou eri we oyo-on sane henerenge odo langah.
GEN.3.19	Ou we opo marai kile puko-on pe panohyum kihir,
GEN.3.19	iyenon ndre ou ala yi ndre poi ndre ou ehir eriy.
GEN.3.19	Ou ehir odo poi pe we ala yi ndre poi.”
GEN.3.20	Adam iyuwen rangan mbrulun eri Ewah odo iy we kile tinen ndramat ndre sulo-on. 
GEN.3.21	Pe Lapan Petngendrei ihnan ndrihi’ horu odo kalatun ka-an, pe Adam horu mbrulun hertasan.
GEN.3.22	Inum pe Lapan Petngendrei ipe ihpa, “Ndramat ke indrahpa ndre homou ta tidu. Iy kah tunon sane huyen pe sane mo-on. Ile pe iy we ke-eu odo Iden. Kihne iy kimin ti pe kiyo-on mbrwen kei odo hasamat pwi, pe kindrimat pwi.” 
GEN.3.23	Ile pe Lapan Petngendrei iyes Adam iyeu odo Iden, pe ilpo marai ile poi ndre Iy ihnan iy ihir odo eriy. 
GEN.3.24	Lapan Petngendrei iyes horu odo Iden inum oh pe iduwe su engel hala ndram. Pe Lapan Petngendrei iduwe semel hondrou inehnelem ihpa ndre ndremleh idu sal ise wuron rai odo Iden. Kile pe homou ndramat kindranon kinna mukehe kei odo hasamat pwi ti pwi.
GEN.4.1	Inum pe Adam imtir mbrulun, pe mbrulun ikuni kom ile mundren pe iduwe nedun kamal homou. Ewah ipe ihpah, “Lapan ipu huyen ile todo pe yu kah nedu homou kamal.” Ile pe iy iyuwen rangan Kein.
GEN.4.2	Ndruwen ti pe iy iduwe nedun kamal homou yi, rangan Abel.
GEN.4.2	Horu harla ndre nusuwo’ horu ti pe Abel madan iso tan sipsip pe Kein ti impo marai odo tuhe sane. 
GEN.4.3	Song odo langah tan Kein hala sengin ti pe, iy ikuni se pe isurkon Lapan ile eriy. 
GEN.4.4	Pe Abel iruhe sipsip homou ndrihou, itngwii, pe isurkon Lapan ile kahen se nama-an. Lapan irih tan Abel ndroda song pe surok tadan. 
GEN.4.5	Odoke Lapan ihmboren Kein ndroda song tadan. Kein ihpusuw pe madan imo ile mo-on.
GEN.4.6	Ile pe Lapan ipe ile tan Kein ihpah, “Ou madam kimo pe opo loroh kolwii. 
GEN.4.7	Lehpe ou opo huyen eri Yu kuhposon ou, pe ou we ondrupo loroh pwi. Pe uh ou endretahrung punou todo pwi, eri ampahar, to-ir we kihndrusi ou. To-ir ingkeli-iy kopwi ipe kikuni ou ala lewen, odoke ou epkwe pe ahtaran iy.”
GEN.4.8	Ndre omur ti pe Kein ipe ile tan tinton ihpah, “Toru torndrou kile kotile’ toru.” Horu harla ndre alau ti pe Kein iyepwi tinton imet.
GEN.4.9	Lapan ihndremte Kein ihpah, “Abel inna kehe?”
GEN.4.9	Kein ipe ihpah, “Yu tuno pwi. Ou apa we yu kulla ke kelye-en?”
GEN.4.10	Eri pe Lapan ipe ihpah, “Ou erehe tintom imet ti odosa? Ndrayen tintom iyin poi ti irrah ile Todo, ipe Yu kuhmbrus iy pe kupu nuhen. 
GEN.4.11	Ou eri ka we elnget pede-en. Poi indrelumwi ndrayen tintom, ile pe ou andranon ondrupo langah kile pule-en pwi yi. 
GEN.4.12	Uh ou edehe song kile poi, eri we poi kindrehlingi song tadam pwi. Ile pe ou kah atlang pe owou. Ou ka we enerolila kopwi, sehir kile sehir, odo pule-en lokpoi.”
GEN.4.13	Pe Kein ipe ile ta Lapan ihpah, “Pede-en Ou eduwe ile todo kiti mandra lakopwi. 
GEN.4.14	Ou ana-as yu odo lok ketih. Apa yu kumwin hun Ou kolwii. Pe yu ka we kunelila sehir kile sehir odo lokpoi. Pe homou kihrah todo eri we kepwi yu kumwet.”
GEN.4.15	Odoke Lapan ipe ihpah, “We kindrahpa kiti pwi. Uh homou lau kepwi ou amat, eri Yu we kuse nuhem pe kupu muden kile ta sa lau ndre ndrotulmuu.” Ile pe Lapan ide kalmene-en Kein, odo uh sa lau hahrah tadan, eri we handrapwi iy pwi. 
GEN.4.16	Pe Kein itlang iyeu odo madan Lapan pe ilmin lok sehir yi rangan Nod,
GEN.4.17	Kein iyesou pe imtir ndrodan mbrulun, pe nedu’ horu kamal homou ihir, pe horu hartawe rangan Enok. Inum pe Kein ihtungon lok hokor pe iyuwen ile seren nedun. 
GEN.4.18	Kom ndrihou tan Kein ti Enok.
GEN.4.18	Enok nedun ti Irat,
GEN.4.18	Irat nedun ti Mehujael,
GEN.4.18	Mehujael nedun ti Metusael, pe
GEN.4.18	Metusael nedun ti Lamek.
GEN.4.19	Lamek iyesou pedih rumuu, homou rangan Adah pe homou Silah. 
GEN.4.20	Adah nedun homou rangan Jabal. Su yayan Jabal ti mada’ su iso tam makau pe hene-en um pelei. 
GEN.4.21	Jabal ti tinton homou rangan Jubal. Pe su yayan Jubal eri hompo weriy ile kita pe horruh kuweh. 
GEN.4.22	Silah iduwe nedun homou rangan Tubalkein, iy ndramat odo takun bras pe ain pe inahnan ndrake-en sane odo marai ile eriy. Timso-on Tubalkein eri Namah.
GEN.4.23	Lamek ipe ile ta mbrulun horu ndre rumuu ihpah,
GEN.4.23	“Adah pe Silah, artahrung yu.
GEN.4.23	Oruu mbrulun Lamek, artawe ndralnga’ oruu.
GEN.4.23	Anah homou eleheu iruh yu, pe yu urehe iy imet.
GEN.4.24	Oruu tuno’ oruu ihpa ndre uh homou lau kepwi Kein eri
GEN.4.24	Petngendrei we kipu muden pe kiruhe lau ndrotulmuu hamat.
GEN.4.24	Odoke yu, eri uh homou kiruhe yu kumwet,
GEN.4.24	eri we ndramat ndre ndrotulngeh-pe-ndrotulmuu (77) we hamat kile mudi.”
GEN.4.25	Adam imtir Ewah yi pe Ewah ile ndriyen pe iduwe nedun kamal homou yi. Ewah ipe ihpah, “Petngendrei indretawe nedu homou yi ile muden Abel ndre Kein iruhei imet.” Ile pe iy iyuwen rangan ile Set.
GEN.4.26	Set iyesou pe nedun kamal homou. Iy irson rangan ile Enos. Idu mundrun eriy, eri sa ndramat kah hesurok pe hoyuw Lapan ile rangan nembruwen.
GEN.5.1	Iy kuti su yayan Adam. Kalmene-en Petngendrei ihnan ndramat, eri ihnan su ihpa ke ndre Iy. 
GEN.5.2	Iy ihtungon su kamal pe pedih, ipatihi su pe iyuwen su ‘ndramat.’
GEN.5.3	Kalmene-en Adam krismas tadan ile sangat-pe-tulngeh (130), eri nedun homou kamal ihpa ke ndre iy. Pe iy iyuwen rangan Set. 
GEN.5.4	Ndruwen nedun erti, pe Adam imin krismas puken ndrorunget (800), pe iy nedun kamal pe pedih se yi. 
GEN.5.5	Krismas tadan ile ndre puken ansangat-pe-tulngeh (930), pe iy imet.
GEN.5.6	Set eri krismas tadan ile ndre puken sangat-pe-limweh (105), pe nedun homou kamal rangan Enos. 
GEN.5.7	Set imin yi, iyenon ndre krismas puken ndrorunget-pe-ondrotoloh (807). Iy nedun kamal pe pedih se yi. 
GEN.5.8	Krismas tadan ile ndre puken ansangat-sungoh-pe-ruweh (912), pe iy imet.
GEN.5.9	Enos eri krismas tadan ile ke onsungoh ti pe nedun homou kamal rangan Kenan. 
GEN.5.10	Enos imin yi, iyenon ndre krismas puken ndrorunget-sungoh-pe-limweh (815). Iy nedun kamal pe pedih se yi. 
GEN.5.11	Krismas tadan ile ndre puken ansangat-pe-limweh (905), pe iy imet.
GEN.5.12	Kenan eri krismas tadan ile ndrotulngeh ti pe nedun homou kamal rangan Mahalalel. 
GEN.5.13	Kenan imin yi, iyenon ndre krismas puken ndrorunget-pe-hangoh (840). Iy nedun kamal pe pedih se yi. 
GEN.5.14	Krismas tadan ile ndre puken ansangat-pe-sungoh (910), pe iy imet.
GEN.5.15	Mahalalel eri krismas tadan onngoh-pe-limweh (65) pe nedun homou kamal rangan Jaret. 
GEN.5.16	Mahalalel imin yi, iyenon ndre krismas puken ndrorunget-pe-tulngeh (830). Iy nedun kamal pe pedih se yi. 
GEN.5.17	Krismas tadan ile ndre puken ndrorunget-onsungoh-pe-limweh (895), pe iy imet.
GEN.5.18	Jaret eri krismas tadan sangat-onngoh-pe-ruweh (162), pe nedun homou kamal rangan Enok. 
GEN.5.19	Jaret imin yi, iyenon ndre krismas puken ndrorunget (800). Iy nedun kamal pe pedih se yi. 
GEN.5.20	Krismas tadan ile ndre puken ansangat-onngoh-pe-ruweh (962), pe iy imet.
GEN.5.21	Enok eri krismas tadan onngoh-pe-limweh (65), pe nedun homou kamal rangan Metuselah. 
GEN.5.22	Enok ti kowson Lapan. Pe imin krismas puken tulnget (300) yi, pe nedun kamal pe pedih se yi. 
GEN.5.23	Iy imin krismas ihndre puken tulnget-onngoh-pe-limweh (365). 
GEN.5.24	Enok ti indrimat pwi, odosa iy ti kowson Petngendrei. Petngendrei ikuni iy, pe sa ndramat hendrendre-et ye iy pwi.
GEN.5.25	Metuselah eri krismas tadan sangat-ndrorungeh-pe-ondrotoloh (187), pe nedun homou kamal rangan Lamek. 
GEN.5.26	Metuselah imin yi, iyenon ndre krismas puken ndrotulnget-ndrorungeh-pe-ruweh (782). Iy nedun kamal pe pedih se yi. 
GEN.5.27	Krismas tadan ile ndre puken ansangat-onngoh-pe-ndrosih (969), pe iy imet.
GEN.5.28	Lamek krismas tadan sangat-ndrorungeh-pe-ruweh (182), pe nedun homou kamal. 
GEN.5.29	Pe iy ipe ihpah, “Tidu tidempo marai puko-on odo maryan song, odosa Lapan indrahyan poi ndre pihe tih. Odoke nedu kuti we kihnan pe maryan song we kile hukulon pe tidu we titmiyau hepe.” Ile pe Lamek iyuwen rangan nedun ile Noah.
GEN.5.30	Lamek imin krismas ndre limnget-onsungoh-pe-limweh (595), pe nedun kamal pe pedih se yi. 
GEN.5.31	Krismas tadan ile ndre puken ndrotulnget-ndrotulngeh-pe-ondrotoloh (777), pe iy imet.
GEN.5.32	Noah krismas tadan ile limnget (500), eri iy nedun ndre tulmuu kamal, Siem, Jafet pe Ham.
GEN.6.1	Ndramat hohor hala pule-en lokpoi ndre mandra-an, pe hotou nedu’ su pihin. 
GEN.6.2	Su nedun Petngendrei kamal
GEN.6.3	Ile pe Lapan ipe ihpah, “Yu we kundretawe sa ndramat hondroto pe hondroto ndresale pwi. Su we hamat. Ile pe idu mahkele pe ile, eri su we hondroto kindritapelwen krismas puken sangat-pe-rungeh (120) pwi.”
GEN.6.4	Idu mundrun eti pe ise omur, eri lau se ti mandra-a’ sa pe elwe-e’ sa hodo lokpoi. Su lau eriy, eri yayan nedu’ su pedih odo lokpoi ndre hasuwon su nedun Petngendrei kamal. Su lapan pahun pe ranga’ su inehnding ndre pihe.
GEN.6.5	Lapan indroni punuwon ndramat odo lokpoi ile mo-on lakopwi. Punou mo-on eri immin pala’ su sei ihpa ke sei. 
GEN.6.6	Ile pe Iy isamat ihpa, “Yu uhnan su pe uduwe su hodo lokpoi ti ile sa? 
GEN.6.7	Kile Yu kundretawe su pwi, eri lehpe huyen. Konan. Yu we kuhnan sa ndramat ndre sulo-on ndre Yu uduwei ti we hamat. Ka-an pe nenka-an ndre sulo-on ti we honum yi.” 
GEN.6.8	Odoke Noah eri Lapan irih tadan.
GEN.6.9	Kuti pohtidi-iy tan Noah.
GEN.6.9	Noah kopwi ti ndramat huyen pe lila-an huyen ile madan Lapan idu kalmene-en erti. Iy intawonon Lapan iyin munen. 
GEN.6.10	Iy nedun ndre tulmuu kamal: Siem, Jafet pe Ham.
GEN.6.11	Odoke sa ndramat ndre sulo-on ti punuwo’ sa indremimel ile madan Lapan pwi. Hompo ke loroh pe horroh ke ndramat odo lok ndre sulo-on. 
GEN.6.12	Lapan indre-et ile lokpoi ndre mandra-an, pe indrendroni hemir ndramat huye’ su hondruto hepe pwi. Ndramat ndre sulo-on ti hompo ke to-ir.
GEN.6.13	Lapan ipe ile tan Noah ihpah, “Yu undretawe tawene ihpa ndre ndramat we honum ndresale odo lokpoi, odosa lokpoi ti indritah odo punou mo-on. 
GEN.6.14	Opondrih kei huyen pe ohtong sih ndrolim. Ahnan rum ki-in lon pe ewepisi kolta kile ndruwen pe lon. 
GEN.6.15	Mandra-an tan ndrol tadam eri kihpa ndre kurti: elwe-en tadan eri mita sangat-pe-tulngeh (130), murun tadan eri mita rungeh-pe-ruweh (22), pe pule-en idu lon ile eleng eri mita sungoh-pe-toloh (13). 
GEN.6.16	Otmon mbrungyen ndrol. Kidu mbrungiy pe kise ngerin ndrol eri eduwe lengan ihpa ndre sentimita hangoh-pe-limweh (45) pe ahnan reu ki-in eriy. Ou ohtong eri ndruhun mandro o dek eri kihndre toloh, sih kise poi, sih kise ndrokoron, pe sih kise eleng. Pe eduwe pohngkiu kise padan.
GEN.6.17	“Yu we kuhnan nor pe uluw kideh pe kisulmwe-en lokpoi pe sane ndre sulo-on we hamat. 
GEN.6.18	Odoke Yu we kuhnan poromis handrai kile tadam yi. Ala lon ndrol ndrodan mbrulum, nedum su kamal pe mbrulu’ su. 
GEN.6.19+GEN.6.20	Ka-an pe nenka-an handrai pe handrai, homou kamal pe homou ndrukwil we hasa hun ou. Ou okuni su hala lon ndrol, kile we hendrimat pwi. 
GEN.6.21	Pe okun song handrai pe handrai, ana’ oduu ndramat, pe ana’ su ka-an pe nenka-an yi.”
GEN.6.22	Noah ihnan sane ndre sulo-on ihpa ndre Lapan ipe ile tadan.
GEN.7.1	Lapan ipe ile tan Noah, “Ou kopwi odo lenga’ sa ndramat ndre sulo-on odo lokpoi ti ompo sane huyen. Ile pe ou, mbrulum, nedum su kamal pe mbrulu’ su, atla lon ndrol. 
GEN.7.2	Ou okun ndrotulmuu kamal pe ndrotulmuu ndrukwil odo ka-an handrai handrai ndre huye’ su odo modo. Odoke sane ka-an ndre mo-on odo modo, eri okun rumuu koson, homou kamal pe homou pedih odo handrai handrai. 
GEN.7.3	Pe nenka-an yi eri okun ndrotulmuu kamal pe ndrotulmuu ndrukwil odo handrai handrai. Ile pe ka-an pe nenka-an handrai pe handrai we hendrimat pwi, pe we hohor yi odo lokpoi. 
GEN.7.4	Rang ndre ndrodul kinum pe Yu we kuhnan lengin kindrut meseren hangoh pe lukumwen hangoh. Ile pe sane ndre sulo-on ndre Yu undrahnan, eri we hamat ndre kilnum.”
GEN.7.5	Pe Noah ihnan sane ndre sulo-on ndre Lapan ipe ile tadan.
GEN.7.6	Noah krismas tadan kah ndre puken anngat (600) ti pe wo ideh odo lokpoi. 
GEN.7.7	Iy pe mbrulun, nedun su kamal pe su yinan, ha-au wawen nor pe hondroh ile ndrol, 
GEN.7.8	ile ndrodan ka-an huye’ su odo madan Lapan, pe iy ndre mo-o’ su ile ndre-et ta Lapan. Pe nenka-an yi eri ihpa ke eriy. 
GEN.7.9	Su ndre sulo-on hala lon ndrol ndrodan Noah, ihpa ndre Lapan ipe ile tadan. 
GEN.7.10	Rang ndre ndrodul inum ti pe nor ihir lakopwi.
GEN.7.11	Noah ke imin lokpoi ti iyenon ndre krismas puken anngat. Pe idu mundrun rang 17th odo ndrou Februari odo krismas eriy, eri kuwor odo wo iyin pahndran poi ti itpar pe wo ihmbruh ise eleng, pe parar iseket 
GEN.7.12	pe lengin indrut ise poi iyenon ndre meseren hangoh pe lukumwen hangoh.
