MAT.1.1	Chitabu cho lukolo lwa Yesu Kilisito, imwana wa Daudi, imwana wa Ibulahimu. 
MAT.2.16	Helode yakone kadanhilisigwa na waya mamajusi, hakasuha lugano; hoyotuma wanhu hoyowakoma awana we chigosi wose, awoile ako Betelehemu, ne filunga fyose fikihakane na Betelehemu, kukongela wana we minyaka mili mpaka awasinati wafike minyaka mili, kwandamila fowalongile awaya mamajusi.
MAT.2.17	Hoiliganila imbuli yoyalongile imugonesi Yelemia.
MAT.2.18	“Chililo chihulikika Lama,
MAT.2.18	Laheli yakuwalilila wanagwe,
MAT.2.18	kalema kunyamasigwa,
MAT.2.18	kosoko wahechaka.”
MAT.2.19	Kamei Helode yakafe, noho malaika we Mundewa yamwijila Yusufu musinjosi uko Misili, 
MAT.2.20	yakugamba, “Handiko leuka, umulonde imwana ne ing'ina, ulute mpaka kuisi ya Isilaeli; kosoko awahanange ichidoga che imwana wafulusa kufa.” 
MAT.2.21	Yaleuka na kumulonda imwana hamwedu ne ing'ina, howoluta mpaka iisi ya Isilaeli.
MAT.2.22	Yakahulike fina Alikelao yakudima ako Uyahudi ahanhu ha Helode iBabakwe, yaluta ulwandi lwa Galilaya, 
MAT.2.23	Hakaluta, hakekala mukaya yendeikwinangigwa Nasaleti; Uleke iliganile imbuli yoyalongile imugonesi “Kokwinangwa Munasalayo.”
MAT.3.1	Mumajuwa gago yalawanisa Yohana mubatisaji yakuhubili munyika ya Uyahudi, yakugamba, 
MAT.3.2	“Mulambe; Kosoko undewa wa kulanga usegelela.” 
MAT.3.3	Kosoko ayo no yalongigwe ne mugonesi Isaya, yakugamba,
MAT.3.3	“Dijwi dye imunhu yakujoja mwibalangu,
MAT.3.3	Igoloseni injila ye Mundewa,
MAT.3.3	Musigolole si njila sakwe!”
MAT.3.4	Naye Yohana imwecho hakafala suke igolosigwe na singa se ngamia, na mukanda wa nghingo, muchuno chakwe; na chakudiya chakwe hachuwa sige na uuki wa kumbago. 
MAT.3.5	Weja wamulutila awanhu wose wa Yelusalemu na Uyahudi na si isi sose sisungulute Yolodani; 
MAT.3.6	Hakawabatisa mulwanda lwa Yolodani, akuno wakulamba u wihi wawo.
MAT.3.7	Yakone matewa ga Mafalisayo
MAT.3.8	Hambiya, mweleke mamudyo gakonesa kulamba, “Munghakidanhilise mufidoga fyenu fina, china Baba yetu Ibulahimu,” kosoko nikumutamilani fina Mulungu mumawe agano yekudaha kumwinulila Ibulahimu wana. 
MAT.3.9	Munghakidanhilise mufidoga fyenu fina, china Baba yetu Ibulahimu; kosoko nikumutamilani fina Mulungu mumawe agano yakudaha kumwinulila Ibulahimu wana. 
MAT.3.10	Inhemo ifulusa kwikigwa hamasina ga mabiki; chila ibiki disikweleka mamudyo maswanu, dikung'enyigwa na kugumigwa mumoto.
MAT.3.11	“Chawelu aniye nikuwabatisa na meji kosoko yo kulamba; amba iyakwija kunyuma yangu kena ludole kusuma niye, kahi aniye sikudaha hata kulonda ifilwatu fyakwe; imwene yakwenda yamubatiseni kwa Muhe Musunhile na kwa moto. 
MAT.3.12	Imwene diselo dyakwe kenadyo mumikono yakwe, naye yakweda yasunhe ahanhu hakwe; ingano yakwe yakuilunda mukano, makohele yakwenda yagasome no moto uusikusima.” 
MAT.3.13	Ugele uwo Yesu hoyokwija kulawa Galilaya mpaka Yolodani kwa Yohana uleke yabatisigwe. 
MAT.3.14	Ninga Yohana hoyohananga kumulemesa, yakugamba, “Aniye nikuhananga nibatisigwe na gweye, agweye nagwe ukwija ukwangu?”
MAT.3.15	Mundewa Yesu yamubidula yagamba, “Fumila du hambiya; kosoko ikuhanangigwa kwandamila ichelu yose.” Kamei hoyofumila.
MAT.3.16	Yesu yakamale kubatisigwa yalawa mulwanda; kamei, ulanga weja wagubuka na kumona, Muhe we Mulungu kifana huwa yakuhumuluka mchanhya yakwe; 
MAT.3.17	kamei, dijwi kulawa kulanga dikugamba, “Ayuno no Mwanangu, mwendigwa wangu, wonyendesigwe naye.”
MAT.4.1	Kamei Yesu hoyolongosingwa na Muhe hoyomwigala kunyika, uleke yagesigwe ne luhoma 
MAT.4.2	Hoyokwikala bila kudiya majuwa makumi mane chilo ne misi, hoyokona njala. 
MAT.4.3	Imugesa hoyomwijila hoyomugamba, “Nghonaga gweye no Mwana we Mulungu, gagambe amawe gano gowe mikate.”
MAT.4.4	Ninga hoyomubidula hoyogamba, “Itulumigwa fina imunhu nghakudaha kuwa mumi kosoko yo mukate muhala, ninga kwa chila mbuli ikulawa mumulomo we Mulungu.”
MAT.4.5	Kamei Luhoma hoyomulonda mpaka ikaya isunhile, hoyomwika kuchisusu chisololoke kuchanhya ye dihekalu,
MAT.4.6	hoyomugamba, “Nghonaga gwe no Mwana we Mulungu kilagase hasi; kosoko itulumigwa,
MAT.4.6	Yakwenda yatume malaika wakwe;
MAT.4.6	Wakwenda wakuhokele mumikono yawo;
MAT.4.6	Unghakibulage umugulu wako mwiwe.”
MAT.4.7	Yesu yamugamba, “Kahi itulumigwa, ‘Unghamugese Mundewa Mulungu wako.’”
MAT.4.8	Kamei Luhoma hoyomulonda mpaka kwitunda ditali lugano, hoyomonesa, undewa wose we chilunga, na uswanu wakwe, 
MAT.4.9	yamugamba, “Aga gose nikwenda nikwinghe, unghogwa na kunifugamila.”
MAT.4.10	Kamei Yesu hoyomugamba, “Halawe, Shetani!” Kosoko itulumigwa, “Umufugamile Mundewa Mulungu wako, umufugamile imwene muhala!” 
MAT.4.11	Kulawa baho Luhoma hoyomuleka; kamei, howokwija malaika kumutogomela.
MAT.4.12	Kamei Yesu yakahulike fina Yohana kohigwa, hakaluta mpaka Galilaya; 
MAT.4.13	Hakaleuka Nasaleti, hoyejakwikala Kapelinaumu, ikaya yuwile munhika ye bahali muundewa wa Sabuloni na Nafutali; 
MAT.4.14	uleke iliganile imbuli yalongigwe ne Mugonesi; Isaya yagambile, 
MAT.4.15	“Iisi ya Sabuloni na iisi ya Nafutali,
MAT.4.15	Injila ye bahali, umwambu wa Yolodani,
MAT.4.15	iGalilaya ya Mataifa, 
MAT.4.16	Awanhu waya awekale muchisa
MAT.4.16	wona ujelu mukulu,
MAT.4.16	Nawo wekale muisi ya dinyefu
MAT.4.16	dya difa
MAT.4.16	ujelu uwahulumukila.”
MAT.4.17	Kulawa ugele uwo Yesu hakakonga kuhubili, na kugamba, “Lambeni, kosoko undewa wa kulanga usegelela.”
MAT.4.18	Naye foyendeyogenda munghanda ye bahali ya Galilaya, hakona wandugu weli, Simoni yekwinangwa Petulo ne munduguse Andelea, wakuguma ulwafu lwao mubahali, kosoko hawowa walowaji wa somba. 
MAT.4.19	Yawagamba, “Munyandamile, nikuhananga niwagolose muwe walowa wanhu.” 
MAT.4.20	Chimwande howoleka sinyafu sawo, howomwandamila. 
MAT.4.21	Yogendelela kumwande, yakawona wamonga wandugu weli, Yakobo wa Sebedayo ne munduguse Yohana, wowile mu chiya hamwedu ne Baba yawo Sebedayo, wendewogolosa sinyafu sawo; yawenanga. 
MAT.4.22	Chimwande howoleka chiya chawo ne Baba yawo howomwandamila.
MAT.4.23	Naye yendeyosunguluta Galilaya yose, yakufusa mumasinagogi gawo na kuhubili simbuli siswamu so undewa wa kulanga, na kuwahonya wanhu na matamu gose. 
MAT.4.24	Simbuli sakwe hosihulikika ako Shamu yose howomwigalila awanhu wose wowile na si nhamu, awowile na sinhamu se hayo hayo ne magayo, wowile na magini, wowile ne chisilisi, na wowile na utamu wa kuholola, hoyowahonya. 
MAT.4.25	Matewa ga wanhu wengi howomwandamila kulawa Galilaya, Dekapoli, Yelusalemu na Uyahudi na umwambu wa Yolodani.
MAT.5.1	Naye yakawone matewa, yakwila kwitunda; yakafuluse kwikala hasi, wefusa wakwe howomwijila; 
MAT.5.2	Yagubula umulomo wakwe, na kukonga kuwafusa, yakugamba,
MAT.5.3	“Ibeka awakiwa mufidoga,
MAT.5.3	Kosoko undewa wa kulanga wawo!
MAT.5.4	Ibeka wena usungu;
MAT.5.4	Kosoko wakwenda waholesigwe!
MAT.5.5	Ibeka awaholo;
MAT.5.5	Kosoko awene wakwenda wahale iisi!
MAT.5.6	Ibeka wena injala na inghilu ya chelu;
MAT.5.6	Kosoko awene wakwenda wegusigwe!
MAT.5.7	Ibeka awena ubasi;
MAT.5.7	Kosoko awo wakwenda woneligwe ubasi!
MAT.5.8	Ibeka awena mimoyo miswanu;
MAT.5.8	Kosoko awo wakwenda wamone Mulungu!
MAT.5.9	Ibeka awalamusi;
MAT.5.9	Kosoko wakwenda wenangigwe wana we Mulungu!
MAT.5.10	Ibeka awakugaya kwa kugolosa foyakwenda Mulungu;
MAT.5.10	Kosoko undewa wa kulanga wawo!
MAT.5.11	Ibeka anyeye ghona wakwenda wamubeseni na kumugoloselani fibi, na kumulongani, na kumusigani mabuli gehile kwa udasi, kosoko yangu. 
MAT.5.12	Sekeleleni na kwanga, kosoko digelo dyenu ikulu kulanga. Kosoko nofowawagolosele fibi awagonesi awawalongolele nyeye.”
MAT.5.13	“Anyeye no umunyu we chilunga; ninga umunyu unghabanika wogumigwa choni ukolele? Usikunoga ka, isigalila kutagigwa kunje na kujatigwa na wanhu. 
MAT.5.14	Anyeye no ujelu we chilunga. Ikaya isikudaha kifisa inghowa muchitunda muchanhya. 
MAT.5.15	Kahi awanhu wasikwasa itaa na kuigubika, ninga wakuika muchigwaso, ikuwamulikila wose awoile munyumba. 
MAT.5.16	Nheifo ujelu wenu umulike kumwande ya wanhu, uleke wone sinhenda senu si swanu, uleke wamutunye iBaba yenu yowile kulanga.”
MAT.5.17	“Munghadoge fina nija nileusa itolati ama awagonesi, ng'o, sijile kuleusa ninga kumemelesa. 
MAT.5.18	Kosoko chawelu nikumutamilani, mpaka ulanga ne iisi fileuke, chisikuleuka ng'o chinhu chidodogi chimwedu che tolati mpaka gose gamemelesigwe. 
MAT.5.19	Hambiya imunhu yakubesa dilagiso dimwedu du musino si ndodogi, na kuwafusa wanhu wandamile nheifo yakwenda yenangigwe mudodogi mu undewa wa kulanga, ninga imunhu yekusigolosa na kuwafusa wamonga wandamile nheifo, yakwinangigwa mukulu ku undewa wa kulanga. 
MAT.5.20	Kosoko nikumutamilani fina uswanu wenu ughaleka kusuma wa watulumi na Mafalisayo, musikudaha kwingila ng'o mu undewa wa kulanga.”
MAT.5.21	“Muhulika wanhu wa katali fowagambigwe fina, ‘Unghakome! Na imunhu yanghakoma yowisiligwe.’ 
MAT.5.22	Ninga niye nikugamba chila munhu yakumonela nyono imiyagwe yagila yowisiligwe; na munhu yakuliga imiyagwe, ‘Dibwalata’ yagila yengisigwe mu moto wa majuwa gose. 
MAT.5.23	Unghegala isadaka yako hokufugila, kamei unghagelegela fina imunduguso kena mbuli na gweye. 
MAT.5.24	Uileke isadaka yako hadifugilo, ulute, ukakifumilise ne munduguso, noho uye ulafe isadaka yako. 
MAT.5.25	Kifumilise ne munghondo wako, yanghakwigale kwe mulamusi; ne mulamusi yakwigale ku wasilikali, wakugume kuchifungo. 
MAT.5.26	Huwila, nikukutamila, nghukulawa mo mpaka ulihe isendi yo ndumo.”
MAT.5.27	“Muhulika awanhu wakatali fowagambigwe, ‘Unghagolose dihabwa!’ 
MAT.5.28	Ninga niye nikugamba, ‘Chila munhu yakumulanga imwanamuke kwa kumusulumila, kafulusa kugona naye muchidoga chakwe. 
MAT.5.29	Digiso dyako dyo kulume dinghakwambusa ugolose wihi ding'ole uditage kutali nagwe, kosoko yagila ichilungo chako chimwedu chagilile, uleke umutufi wako wose unghatagigwe kumoto uusikusima. 
MAT.5.30	No mukono wako wo kulume unghakuhosa ugolose wihi udumule uutage kutali nagwe, kosoko yagila chilungo chako chimwedu chagilile, uleke umutufi wako wose unghatagigwe jehanamu.’”
MAT.5.31	“Kahi igambigwa, ‘Imunhu yanghamuleka imuke yamwinghe baluwa ya malekeni.’ 
MAT.5.32	Ninga niye nikugamba, ‘Chila munhu iyakumuleka imuke, inghowa si kosoko ye dihabwa, yakumugolosa fina yakwingililigwa; ne munhu yakumutola yuya yalekigwe yakuwa kengilila.’”
MAT.5.33	“Kahi muhulika wanhu wa katali fowagambigwe, ‘Unghakilahe kwa udasi ninga umugolosele, Mundewa fina foukilahile.’ 
MAT.5.34	Ninga niye nikugamba: Unghakilahe ng'o, kahi kwa ulanga, kosoko no digoda dyo undewa we Mulungu; 
MAT.5.35	Kahi kwa iisi, kosoko noho yakwika imigulu yakwe, kahi kwa Yelusalemu, kosoko no kaya ye Mundewa mukulu; 
MAT.5.36	Kahi unghakilahile ditwi dyako, kosoko nghukudaha kulugolosa ulujwili lumwedu luwe lujelu ama lutitu. 
MAT.5.37	Ninga simbuli senu suwe Heye; heye, si nheifo, si nheifo; sose isikupulutisa sikulawa kwa yuya iyehile.”
MAT.5.38	“Muhulika fina igambigwa, ‘Igiso kwa igiso, na igego kwa igego.’ 
MAT.5.39	Ninga niye nikugamba, ‘Munghakikushe ne munhu yehile, ninga imunhu yanghakutowa ifunda yo kulume, mubidusile na ya keli. 
MAT.5.40	Ne munhu yakuhananga kukusongesa na kukuhoka inghasu yako, mulekele na dijoho nadyo. 
MAT.5.41	Ne munhu yakukudindilisa utali wa chipisi chimwedu, luta naye fipisi fili. 
MAT.5.42	Iyakukutasa, mwinghe; iyakuhananga kukopa ukwako, unghamwinghe chigosigosi.’”
MAT.5.43	“Muhulika fina igambigwa, ‘Umwende imiyago, umusule imunghondo wako.’ 
MAT.5.44	Ninga niye nikugamba, wendeni awanghondo wenu, muwatasile wakumutendani fibi. 
MAT.5.45	Uleke muwe wana we Baba yenu iyowile kulanga; kosoko imwene yakwalisa dijuwa dyakwe kuwehile na waswanu, yakuwatonyesela ifula awaswanu na wehile. 
MAT.5.46	Kosoko munghawenda awakumwendani nyeye mopata igeleko dyaki? Aho awaya awakuhokela ikodi togoleni nawo wasikugolosa nheifo? 
MAT.5.47	Kahi munghawalamusa awandugusenu du, mugolosa nhenda yaki yongeseke? Aho awanhu wa mataifa wasikuwagolosela fina nheifo! 
MAT.5.48	Hambiya anyeye mokuwa muliganile fina Baba yenu yowile kulanga foyaliganile.”
MAT.6.1	“Langisiseni munghagolose uswanu wenu, mumeso ga wanhu, kosoko mulangigwe na awene, kosoko munghagolosa nheifo mukuswela igeleko kwi Baba yenu iyowile kulanga; 
MAT.6.2	Hambiya, agweye nghona ukulafa isadaka yako unghakitowele igunda kumwande yako fina wanhu awena chimwefe fowakugolosa mumasinagogi na musinjila, uleke watunyigwe na wanhu. 
MAT.6.3	Chawelu, nikumutamilani, wafulusa kuhokela digeleko dyawo. Ninga gweye ghona ukulafa isadaka yako, umukono wako wo kumoso unghamanye umukono wo kulume choukugolosa; 
MAT.6.4	isadaka yako yuwe ku chifiso; Baba iyakona ichifiso yakwenda yakumemese.”
MAT.6.5	“Kahi ghona mukutasa, munghowe fina wanhu we chimwefe, kosoko awene wakwenda kutasa wemilenyima mumasinagogi na musinjilamhanda, uleke wonigwe na wanhu. Chawelu, nikumutamilani wafulusa kuhokela digeleko dyawo. 
MAT.6.6	Ninga agweye nghona ukutasa, ingila kuchaisi unghafulusa kuhinda dibakwa dyako, utase kumwande ye Babako yowile kuchifiso; ne Babako iyakona kuchifiso kokumemelesa. 
MAT.6.7	Nanye munghowa mukutasa, munghabagebage fina wanhu we chilunga; kosoko awene wakona fina wohulikigwa kosoko ye simbuli sawo fo ni nyingi. 
MAT.6.8	Ninga anyeye munghowe fina awene, kosoko Baba yenu kamanya gomukuhananga ugele musinati mutase. 
MAT.6.9	Nanye taseni nhafi:
MAT.6.9	Baba yetu uwile kulanga:
MAT.6.9	Disina dyako ditunyigwe;
MAT.6.9	Undewa wako wije;
MAT.6.10	Kwenda kwako kugoloseke.
MAT.6.10	Ahano ha chilunga fina ako kulanga.
MAT.6.11	Uchinghe diyelo chakudiya chetu cho kuchigutisa.
MAT.6.12	Uchilekelele uwihi wetu
MAT.6.12	fina seye nase fochikuwalekelela awachigolosele wihi,
MAT.6.13	Na unghachingise mumagesa,
MAT.6.13	ninga uchihonye na uwihi.
MAT.6.13	Kosoko, undewa ni wako, no ludole, ne ditunyo, majuwa gose hano.
MAT.6.14	“Kosoko munghawalekelela wanhu uwihi wawo, ne Baba yenu wa kulanga yakuhananga yamulekeleni na nyeye uwihi wenu. 
MAT.6.15	Amba munghaleka kuwalekelela awanhu uwihi wawo, na iBaba yenu nghakwenda yawalekelele uwihi wenu.”
MAT.6.16	“Kahi fomukufunga, munghowe fina wechimwefe wena fihanga fisinanghale, kosoko yokiyonesa ifihanga fyawo, uleke wonigwe na wanhu fina wafunga. Chawelu nikumutamilani, wafulusa kuhokela digeleko dyawo. 
MAT.6.17	Ninga agweye nghonaukufunga, ukibake mafuta mwitwi, unawe chihanga; 
MAT.6.18	Uleke unghoneke na wanhu fina kufunga, ninga iBabako yowile muchifiso yakwenda yakumemese.”
MAT.6.19	“Mughakiikile sigafu muchilunga, sinondo ne ikanga fikubana, na wahiji wakubena na kuhija; 
MAT.6.20	mukiikile sigafu kulanga, kusikubanika chinhu, kwichaka sinondo kahikanga, kahiwahiji wasikubena kahiwasikuhija; 
MAT.6.21	kosoko isigafu yako hoyuwile, noho umoyo wako houkuwa.”
MAT.6.22	“Digiso no taa yo mutufi; digiso dyako dinghowa iswanu, mutufi wako wose ukuwa na ujelu. 
MAT.6.23	Ninga digiso dyako dinghowa dibanike, umutufi wako wose wokuwa na chisa. Ninga awuya ujelu uwile kugati yako unghowa chisa, chititu tukutuku!”
MAT.6.24	“Kwechaka munhu iyekudaha kutogomela wakulu weli; kosoko yekumusula yuno, na kumwenda ayuno, nhagela yekiyandamila nayu, na kumubesa ayuno. Musikudaha kumutogomela Mulungu no ugoli. 
MAT.6.25	Kosoko iyo nikumutamilani, munghakiidase no uumi wenu, modiya choni, kahi mokunywa choni; kahi imitufi yenu, mufale choni. Uumi si mukulu kujumha chakudiya, no mutufi si mukulu kujumha sisuke? 
MAT.6.26	Filangeni fidege fya Mulanga, fisikuhanda kahi fisikugola, kahi fichaka kano; ne Baba yenu wa kulanga yekufigutisa. Togoleni! Anyeye si ibeka kujumha ifyene? 
MAT.6.27	Yehoki ukwenu imwene kwakiidasa yekudaha kiyongesela utali wakwe hata mukono umwedu?
MAT.6.28	“Nhani mukiidasile sisuke? Gelegeleni amaluwa ga kumigunda, ifene fo ga kukula; gasikugolosa milimo yoyose, kahigasikubota; 
MAT.6.29	Nanyeye nikumutamilani, hata Sulemani muditunyo dyakwe dyose nghafasigwe fiswanu kifana dimwedu dyawo. 
MAT.6.30	Kamei inghowa Mulungu yekugafasa nhaifo amanyagala ga kumbago agebaho diyelo, na nhosiku gakutagigwa kwikusisi, togoleni! Nghodaha lugano kuwafasa nyeye mwina dihuwi dikefu?
MAT.6.31	“Munghakiidase mukugamba, Chodiya choni? Ama chokunywa choni? Ama chofala choni? 
MAT.6.32	Kosoko ago gose awe chilunga wekugahananga; kosoko Baba yenu wa kulanga kamanya fina mukugahananga ago gose. 
MAT.6.33	Ninga uhanangeni undewa wakwe, no uliganisi wakwe, nago gose mukwenda mongeseligwe. 
MAT.6.34	Ninga munghakiidase na ganhoosiku, kosoko aganhoosiku gakakiidasila agecho. Leka amagayo ge dijuwa gamemelekele mwijuwa dyakwe.”
MAT.7.1	“Munghaliganise, uleke anye nanye munghaliganiswe. 
MAT.7.2	Kosoko kukuliganisa akuya komukuliganisa nofo nanye mukwenda muliganisigwe. Nacho ichipimo chomukupimila, nocho mukwenda mupimiligwe. 
MAT.7.3	Nhani ukulanga ichibasi chuwile mwigiso dye munduguso, na dibiki duwile mudigiso dyako gomwecho nghukudyona? 
MAT.7.4	Kahi komulonga nhani imunduguso, Nileke nileguse ichibasi ichuwile mwigiso dyako; ugele! Mwina dibiki mwigiso dyako go mwecho? 
MAT.7.5	Kwina chimwefe gweye! Yenda kuleusa dibiki dyuwile mwigiso idyako go mwenecho noho udahe kona fiswamu kuleusa achiya ichibasi mwigiso dye munduguso. 
MAT.7.6	Munghagenghe mabwa ichinhu chisunhile, kahi munghakubitile silulu senu kumwande ye singuluwe, singheje sisijata ne migulu yawo, hosimubidukilani nyeye, na kumulumani.”
MAT.7.7	“Taseni, nanye mokwinghigwa; hanangeni, nanye mokona; gong'ondeni, nanye mokumuliligwa; 
MAT.7.8	kosoko chila yekutasa, yakuhokela; naye yekuhananga, yakona; naye yekugong'onda, yekukumuliligwa. 
MAT.7.9	Kahi kwina munhu nani ukwenu imwene imwanagwe yanghatasa mukate komwingha diwe? 
MAT.7.10	Kahi yanghatasa isomba, komwingha dijoka? 
MAT.7.11	Inghowa, anyeye mwihile, mumanya kuwengha awana awenu ifinhu fiswanu; togoleni! Si chawelu iBaba yenu wakulanga, yakwenda yawenghe maswanu awakumutasa? 
MAT.7.12	Gose gomukuhananga mugoloseligwe na wanhu, anyeye nanye muwagolosele nheifo; kosoko ayo no tolati na wagonesi.”
MAT.7.13	“Ingileni kwa kugendela umulango umusisili; kosoko umulango mugalamu, ne njila ni ngalamu iikuluta kukwagilila, nawo awekwingila kumulango uwo ni matewa 
MAT.7.14	Ninga mulango musisili, na injila ilongoka kuumi, nawo awakuyona wakefu.”
MAT.7.15	“Kilangisiseni na Wagonesi wo udasi, awanhu awakuwejila wafala suke sa ngholo ninga kugati yawo mausi makali. 
MAT.7.16	Mowatanga kosoko ye sinhenda sawo. Togoleni! Awanhu wekubawa sabibu mumabiki ge miwa; ama tini mu mibaluti? 
MAT.7.17	No nheifo chila dibiki diswanu dikweleka mamudyo maswanu, dibiki dihile dikweleka amamudyo gehile. 
MAT.7.18	Dibiki diswanu disikudaha kweleka mamudyo gehile. 
MAT.7.19	Chila ibiki idisikweleka mamudyo maswanu dikung'enyigwa na kugumigwa kumoto. 
