MAT.1.1	Xuꞌu é Mateú u ne, iꞌa kakaꞌán u iña táta viꞌi Jesucristu, iꞌxá ika Dāvii, iꞌxá ika Ābraan.
MAT.2.17	Kidáā né, kūntaá vata ō kaꞌan ña é kaꞌán naa Xuva ko nte éma tsi, ñá nani Jerēmia:
MAT.2.18	Dîtó un tsi nte ñuú Ramaa
MAT.2.18	ntákachuꞌu ntáa ña, ntaéku ña.
MAT.2.18	Un ntɨɨ́ ntɨ̄ɨ́ ñadɨ̄ꞌɨ́ Israeé ne, ntaéku nteé ña iꞌxá ña.
MAT.2.18	Ña ni ntío ña ntukaꞌnu iní ña,
MAT.2.18	tsí é xiꞌi ntɨ́ꞌɨ iꞌxá ña,
MAT.2.18	kaꞌan ña.
MAT.2.19	Ntá tsi dā xiꞌi Heródē ne, kéni Josee é xee uun ánje Xuva kō, kakaꞌan ña:
MAT.2.20	—Nakuntítsin, kiꞌin īꞌxá san ni dɨꞌɨ ī, kunúꞌu nto ñuú Israee, tsí e xíꞌi ña é ncho kaꞌní iꞌxá san —kaꞌan ña.
MAT.2.21	Nákuntītsí ña ne, kīꞌi ña iꞌxá san ni dɨꞌɨ ī ne, dá kunúꞌu ña ñuú Israee. 
MAT.2.22	Ntá tsi dā téku ña é dɨvi tsi īꞌxá Heródē, ñá nani Arquēlau, nakunúu ña naa ñá ne, úꞌvī ña é ntiko koō ña. Kūtuni ña ñuu éni kān ne, da díta ña itsi ñuú Galilea. 
MAT.2.23	Kuéꞌen ña, kūkuntóo ña ñuu é nani Nazāree. Dukuan ō kúntaa é kākaꞌan ña é kaꞌán naa Xuva ko kídaā: “Kaꞌan ñáꞌa san tsí nazarenu ña”, kaꞌan ña.
MAT.3.1	Ntuvi tsikán ne, xée Juaan Baūtista ñuu itsi é nani Jūdea, kakaꞌan ntódo ña, 
MAT.3.2	kakaꞌan ña:
MAT.3.2	—¡Natɨvi iní nto, tsí e xée ētsin ntuvi é kiꞌxi Xuva ko, kixkadā kúꞌvē ña! —kaꞌan ña.
MAT.3.3	Ña é kaꞌán naa Xuva ko kídaā, ñá nani Isāiá ne, kakaꞌan ñá iñá Juaán san dá kākaꞌan ña:
MAT.3.3	Dîtó tatsin úun ñaꞌa, ña e dóo ntii kākaꞌan ñuu itsí kān:
MAT.3.3	“Nakōo túꞌvē ntó itsi Xuva kō;
MAT.3.3	Ntantaa ntó itsi ña”, kaꞌan ña,
MAT.3.3	kaꞌan Ísaiá san.
MAT.3.4	Ínūú Juaán san doo e kúvi idi kameu. Ñɨɨ íꞌxi ña ne, ñɨɨ kúvi dɨ. Skuntí ini éꞌxi ña ne, īni xiꞌi ñá ntudin ñuñu. 
MAT.3.5	Un ntɨɨ́ ntɨ̄ɨ́ ñaꞌa, ña ntoo ñuú Jerusaleén ni ñūú Judeá, ni ūn ntɨɨ́ ntɨ̄ɨ́ ñuu é ntoo etsin nú ntūte kaꞌnu é nani Jōrdaán ne, kuéꞌen ñā mí nuu Juaán san. 
MAT.3.6	Natɨ̄vi iní ña kuétsi ñā ne, da ítsi ntute ña ntaꞌa Juaán san nú ntute kaꞌnu san.
MAT.3.7	Ntá tsi dā íni Juaán san tsí tɨ̄tɨ́n ña fariseú san nī ña saduceú san xée ñā é kūtsi ntute ña ne, kakaꞌan ñá ni ñā:
MAT.3.7	—¡Ntōꞌo é tatá koo kúvi nto! ¿Xoó ntu kakaꞌan í ni ntō é kūnu nto é ña níꞌi nto é ntoꞌo nto ntaꞌa Xuva kō? 
MAT.3.8	Vií nto é vāꞌá vata koo e díto é natɨ̄vi iní ntiꞌxe nto. 
MAT.3.9	Ñá ku kaꞌān nto: “Ntɨꞌɨ́ ne, Abraan úva ikā ntɨ”, é kuān o ntákaꞌan nto. Tsí kakaꞌán u ni ntō tsí kuvi vií Xuva kō é ntāda ña xuú san iꞌxá Abraán, tē dɨ́ ntio ña. 
MAT.3.10	É iō tuꞌve kaá ntee é nakɨ̄ɨn ña utun san. Da nēé ka utun é ña taꞌxi kɨtɨ vaꞌá ne, nakɨ̄ɨn ña ne, dá kaꞌmi ña. 
MAT.3.11	Xuꞌú ne, ntute kadáꞌvi ú nto dá kanakutsi ntute ú nto é nātɨvi iní nto kuétsi ntō, ntá tsi ña é dā vé véꞌxi ne, dií ka kaꞌnu ña é xuꞌu. Ntē ña váꞌa u é kuidō ú ntiꞌxen ñā. Dɨvi ñā ne, Espíritū Sántū san ni ñúꞌu dáꞌvi ña nto. 
MAT.3.12	Niꞌi ntaꞌa ña ūtun é kākani ña kɨtɨ trigú ne, dá nākaxnúu ña é vāꞌá ne, dá nātsuꞌun váꞌa ña. Ntá tsi e ña kaidiáꞌvi ne, kaꞌmi ña meꞌñú ñuꞌu é ña kantáꞌva —kaꞌán Juaán san.
MAT.3.13	Kidáā ne, véꞌxi Jēsuu nte ñúú Galileá, ne, xée ñā nú ntute kaꞌnu Jordaán san, mí nuu Juaán san, vata koo é kūtsi ntute ña ntaꞌa Juaán san. 
MAT.3.14	Ña ni ntío Juaán san é nakūtsi ntute ña ña, ne, kakaꞌan ña:
MAT.3.14	—Xuꞌu é kantio ko é dɨvi nto nakūtsi ntute nto ko. ¿Vá kūvi ntu é xuꞌú nakūtsi ntute ú nto? —kaꞌan ña.
MAT.3.15	Ntá tsi kakaꞌan Jésuu ni ña:
MAT.3.15	—Kuan tsī koo, tsi é vāꞌá ō é kāda ntaa o é un ntɨꞌɨ̄ é kāꞌan Xúva kō —kaꞌan ña.
MAT.3.15	Kidáā ne, kakaꞌán Juaán san tsí vií ña. 
MAT.3.16	Dā kúvi ítsi ntute Jesuú ne, ntii ña diñɨ ntute kān ne, ura dúꞌva tsi i nákaan e dukún kan ne, īní ña Espíritu Xuva kō, é īnu ña vata kaa paloma, kátavi ntódo ña ña. 
MAT.3.17	Kakaꞌan tátsin nte e dukún kān:
MAT.3.17	—Sáꞌā é Iꞌxá miī kó e dóo kakuinimá ko. Dōo diní ko ni ñā —kaꞌan tátsín san.
MAT.4.1	Kidáā ne, íntēka Espíritū Sántū san Jésuu ñuu itsí kān é kōto nteé tóꞌō e ña váꞌā san ñá te kōꞌxó nteē ña.
MAT.4.2	Úvi dīkó ntuvi, úvi dīkó niñu ña ni eꞌxí ña ne, kidáā né, kākɨn ña. 
MAT.4.3	Kidáā ne, xéē tóꞌō e ña váꞌā san ne, kakaꞌan ni ña:
MAT.4.3	—Tē nuu é ntaā i é Iꞌxa Xuva ko kúvin ne, káꞌan ni xūú san na ntūví tañúꞌū —kaꞌan.
MAT.4.4	Ntá tsi kakaꞌan Jésuu:
MAT.4.4	—É ūve naꞌa kakaꞌan Túꞌun Xuva kō: “Ñá te da mii tsī tañúꞌu kāntio ñaꞌa é nīꞌi ña ntuvi iña ña, tsí un ntɨɨ́ ntɨ̄ɨ́ túꞌūn é kākaꞌan Xúva kō.” Kuān ó uve naꞌa —kaꞌan ña.
MAT.4.5	Kidáā ne, kueꞌen níꞌi tóꞌō e ña váꞌā san ña ñuú Jerusaleen, mí tuvi xúkun Xuva kō. Xntitsī ña míꞌī e dií ka dūkun rkɨ úkūn sán ne, 
MAT.4.6	kakaꞌan ni ña:
MAT.4.6	—Tē nuu é ntaā i é Iꞌxa Xuva ko kúvin ne, nakōꞌxon kúñu ō, tsí uve naꞌa kakaꞌan Túꞌun Xuva kō:
MAT.4.6	Taxnūu ña ánje ñā é kuēnta víi ña o.
MAT.4.6	Kurkāa ña o vata koo é ña nákɨꞌɨ́n xuu.
MAT.4.6	Kuān ó uve naꞌa —kaꞌan.
MAT.4.7	Kakaꞌan Jésuu ni i:
MAT.4.7	—Tsí uve naꞌa xtúku kakaꞌan Túꞌun Xuva kō: “Ñá ku koto ntēen Tóꞌo o, Xuva ō.” Kuān ó uve naꞌa —kaꞌan ña.
MAT.4.8	Kuēꞌen níꞌi xtūku tóꞌō e ña váꞌā san ña. Kúxēe ña uun xuku mi dóo dūkún ne, náñēꞌe ña un ntɨɨ́ ntɨ̄ɨ́ ñuu é īó ñuxiví sa. Ñá tē nté kaa váꞌā o. 
MAT.4.9	Kakaꞌan tóꞌō e ña váꞌā san ni ña:
MAT.4.9	—Te nākunchɨ́tɨn nūú ko, te kunuu inī ó ko ne, taꞌxi u é kadā kûꞌven un ntɨɨ́ ntɨ̄ɨ́ ñuú san —kaꞌan.
MAT.4.10	Kidáā ne, kakaꞌan Jésuu ni i:
MAT.4.10	—Kūnun, tóꞌō e ña váꞌā, tsí uve naꞌa kakaꞌan Túꞌun Xuva kō: “Da mii tsi Xuva kō é kunuu inī ó ña, da mii tsi tsīñu ña é vīin.” Kuān ó uve naꞌa —kaꞌan ña.
MAT.4.11	Kidáā né, xtūvi mii tóꞌō e ña váꞌā san ña ne, xéē ánje Xuva kō é viī ñá ña kuenta.
MAT.4.12	Dā téku Jesuu tsí nuu kutū Juaán ne, kuéꞌen ña ñūú Galilea. 
MAT.4.13	Ntāka ña ñuú Nazaree é tuvi ñuú Galileá ne, kuéꞌen ñā é kutuvī ñá ñuú Capernau, é tuví diñɨ míni kaꞌnu san, etsin nú rāxa Zabúluun ni nú rāxa Néftalii. 
MAT.4.14	Dukuan ō kúntaa é kākaꞌan ñá kaꞌán naa Xuva ko kídaā, ñá nani Isāia:
MAT.4.15	Ñuú Zabuluún ni ñūú Neftalií ne,
MAT.4.15	ñuu é ntoo etsin diñɨ míni kaꞌnu kān,
MAT.4.15	uun xo diñɨ ntute kaꞌnu Jordaán san,
MAT.4.15	ñuú Galilea, mí ntoo ñaꞌa, ña é ña te ña Israeé san.
MAT.4.16	Ñaꞌa, ña ntoo ikan mí nēé ni kuētsí i ne,
MAT.4.16	īní ña ñuꞌu é kāxiꞌí nuu kaꞌnu.
MAT.4.16	Ñaꞌa, ña ntoo ní ntatɨ dóxiꞌí ne,
MAT.4.16	xiꞌí nuu kaꞌnu mí ntoo ña.
MAT.4.16	Kuan ō kaꞌan Isáia.
MAT.4.17	Nté ntūvi tsikan éni ntuꞌu Jēsuu kakaꞌan ntódo ña:
MAT.4.17	—Natɨvi iní nto, tsí dokó sa xee ntúvi é kixkadā kûꞌvé Xuva kō —kaꞌan ña.
MAT.4.18	Dā íka Jesuu úun xo diñɨ míni Galileá san ne, īní ña Simuun, ña é kākaꞌan ña é Pedrú, ni enī ñá, Andree. Ntánakuītá nuu ñá xunu ña nú ntute kān, tsí ntátɨɨn ña tsákā. 
MAT.4.19	Kakaꞌan Jésuu ni ña:
MAT.4.19	—Kuntīkɨn ntó ko ne, taꞌxi ú nto tsiñu é kāna nto ñaꞌa é kuntīkɨn ñá ko —kaꞌan ña.
MAT.4.20	Ura tsí i xtúvī mii ña xunu ñá ne, íntīkɨn ñá ña.
MAT.4.21	Kuéꞌēn ká ña, ne, īní ña uvi ñāꞌá ka ñaꞌa, ñá nani Sāntiau ni ení ña Juaan. Ntuvi ña é iꞌxá Zebedeu ña. Ñúꞌu ña tun ntōó ni uva ñā, ntántaváꞌa ña xunu ña mí ntátsin. Kāna Jesuu ñá ne, 
MAT.4.22	ura tsí i xtúvī mii ña tún ntōó ña ni uva ñā ne, íntīkɨn ñá ña.
MAT.4.23	Īka Jesuu kanɨ́ɨ ñūú Galilea, nakuāꞌa ña ñaꞌa san má ūkún ña Israee. Kakaꞌan ntódo ña túꞌūn vaꞌá san kuenta iña i é kixkadā kûꞌvé Xuva kō. Kantaváꞌa ña un ntɨɨ́ ntɨ̄ɨ́ kuiꞌi, un ntɨɨ́ ntɨ̄ɨ́ nuu i é kākuvi ñaꞌa san. 
MAT.4.24	Kūtuni ñáꞌa iña ñá kanɨɨ ñūú Siria ne, ntēka ña un ntɨɨ́ ntɨ̄ɨ́ ña nchokuví san, ni ūn ntɨɨ́ ntɨ̄ɨ́ ñaꞌa, ña e ntákuvi kuiꞌi, o te ūꞌvi kúñu ñā, o te ñūꞌu e ña váꞌā nima ñá, o te kāxiꞌi míi ñā, o tē natɨ́ɨn ña ne, ntaváꞌa ña ña, un ntɨɨ́ ntɨɨ̄ ña. 
MAT.4.25	Ñá te da dīi ñaꞌa intíkɨn ñá ña nté ñūú Galilea, nté ñūu é nani Ūꞌxi Ñúú ne, nté Jerusāleen, nté Jūdea, nté ñūu é ntoo uun xo diñɨ ntute kaꞌnu é nani Jōrdaan.
MAT.5.1	Dā íni Jesuu tsí ña te da díi ñaꞌá san ne, kuxée ña dɨkɨ ukú san. Dā itúvi ña ne, xéē ña ntántīkɨn ña mí tuví ña. 
MAT.5.2	Eni ntuꞌu ñā nakuaꞌa ña ña, kakaꞌan ña:
MAT.5.3	—Nté kuān nte vaꞌá ni ñāꞌa, ña é kūtuni i tsí ña kúvi vii ña te ña xntii Xuva ko ña, tsí ntáduku ntée ña mí kadē kûꞌvé Xuva kō.
MAT.5.4	ʼNté kuān nte vaꞌá ni ñāꞌa, ña nuu ntaꞌxa nima í, tsi náxnuu kaꞌnu Xuva kō nima ña.
MAT.5.5	ʼNté kuān nte vaꞌá ni ñāꞌa, ña é ña ntáde kaꞌnu, tsí kanɨɨ ñūxiví sa niꞌi ña kídaā.
MAT.5.6	ʼNté kuān nte vaꞌá ni ñāꞌa, ña é kanɨɨ̄ nima í ncho kutúꞌve i iña Xuva ko, tsí kuéꞌe ña é kūtuꞌve váꞌa ña.
MAT.5.7	ʼNté kuān nte vaꞌá ni ñāꞌa, ña é kantuntāꞌví ini i taꞌan i, tsí ntuntāꞌví ini Xuva ko ñā dɨ.
MAT.5.8	ʼNté kuān nte vaꞌá ni ñāꞌa, ña é ntūntoo nima í, tsi kiní ña Xuva kō.
MAT.5.9	ʼNté kuān nte vaꞌá ni ñāꞌa, ña é ntántukū é vāꞌá koo kuntoo ni tāꞌan i, tsí kaꞌan Xúva kō tsí dɨvi ñā é iꞌxā ñá ña.
MAT.5.10	ʼNté kuān nte vaꞌá ni ñāꞌa, ña é ntántoꞌo i tsí kuíntiꞌxe ña Xuva kō, tsí ntáduku ntée ña mí kadē kûꞌvé Xuva kō.
MAT.5.11	ʼNté kuān nte vaꞌá ni ntō dá ntákaꞌan kíni ñaꞌa san íña nto, dá ntádē xení ña ni ntō, dá ntákaꞌan ña dovete e ntáde nto é kīni kaa da ntáde nto é ntio ko. 
MAT.5.12	Kūntoo dínī nto, ñá ku kuntoo ntaꞌxa ntō, tsí niꞌi ntó doméni é vāꞌá kueꞌen e dukún kān, tsí kuān o dé xení ñaꞌa san ni ñá kaꞌán naa Xuva ko, ña intóo kídaā dɨ.
MAT.5.13	ʼDɨvi ntō ne, vata ntáa ñɨɨ ntáa nto ñuxiví a. Ntá tsi tē ña tuví ka díkō ñɨɨ́ san ne, ña kúvi ntūváꞌa ka. Ñá vādá ka mí kaidiáꞌvi i. Kate ó ne, kaka nuu ñaꞌa san.
MAT.5.14	ʼVata ntáa ñūꞌu ntáa nto ñuxiví a. Tē uun ñuú tuví dɨkɨ uku kán ne, ña kúvi kutūvi xuꞌu. 
MAT.5.15	Ntē ña kañíi ñaꞌa san kantílīn vata koo é xnuu xuꞌū ña má kɨdɨ. Tsí xkaa iko dukūn ña vata koo é nāxiꞌí nuu kanɨɨ̄ má viꞌi kān. 
MAT.5.16	Vata ntáa ñūꞌu é kaxiꞌí nuu ntáa nto da ntáde ntō é vāꞌa. Kuan kōo vií nto é vāꞌá vata koo é na kīní ñaꞌa ne, na kāꞌan ñá tsi dóo kaꞌnu Xuva kō, ña tuví e dukún kān.
MAT.5.17	ʼÑá ku dē kuení nto te véꞌxī ú é nakuītá u lei Muíseé san ni tūꞌun é kāꞌan ñáꞌa, ña é kaꞌán naa Xuva ko kídaā. Ñá te vēxnákuītá u leí san, tsí véꞌxī ú é na kūntaa é kākaꞌan leí san. 
MAT.5.18	Tsí nuu é ntaā i é kākaꞌán u ni ntō tsí da nté ntɨ̄ꞌɨ e dukún kān, da nté ntɨ̄ꞌɨ ñuxiví sa ne, ñá kunāa nté uun letra, nté uun puntu leí san da nté kūntaa ntɨ́ꞌɨ. 
MAT.5.19	Xoó ñaꞌa, ña é ña káde kuenta leí san, kuān te dií ka lúꞌntī né, kuān ó kanakuāꞌa ña tuku ñaꞌa é kuān koo vií ña dɨ́ ne, ñá tē neé nuu áꞌvi ña mí kadē kûꞌvé Xuva kō. Ntá tsi xoó ñaꞌa, ña é kāde ntaá leí san ne, kuān ó kanakuāꞌa ña ñaꞌa san é kuān koo vií ña dɨ́ ne, dōo kaꞌnu ñaꞌa ña mí kadē kûꞌvé Xuva kō. 
MAT.5.20	Kakaꞌán u ni ntō: ñá kɨ̄ꞌɨn nto mí tuví Xuva ko tē ña dií dií ka váꞌa koo vii nto é kāꞌan Xúva ko vatā ó ntáde ña fariseú san nī mastrú leí san.
MAT.5.21	ʼIni nto tsí kakaꞌan ñátā san kídaā: “Ñá kaꞌnī ntó ñaꞌa, tsí xoo é kaꞌní i ñaꞌa ne, níꞌi ña e dóo ntoꞌo ña”, kaꞌan ña. 
MAT.5.22	Ntá tsi xuꞌú kakaꞌán u ni ntō né, tē xoó kudiin í ni tāꞌan i ne, níꞌi ña é ntōꞌo ña. Xoo é kākaꞌan i é kīni kaa iña taꞌan i ne, kuéꞌē ña tsiñu i é ntōꞌo ña. Xoo é kākaꞌan i tsí tuntu táꞌan i ne, kɨ́ꞌɨn ñā dôꞌvi kan.
MAT.5.23	ʼTē kixtúvī ntó doméni ntaꞌa Xúva kō nú nāa ñá kān ne, kidáa nakaꞌan ntō é iō nuu i é kāꞌan ntée taꞌan nto nto ne, 
MAT.5.24	xtuvī mii ntó doméní san nú nāá san ne, kueꞌēn nto mí tuví taꞌan nto. Diꞌna ntuváꞌa nto ni tāꞌan nto ne, kidáa kuēꞌé nto doméni ntaꞌa Xúva kō.
MAT.5.25	ʼTe kɨ̄ꞌɨn niꞌi taꞌan nto nto ntaꞌa ña tsíñu i ne, ntuváꞌa nto ni ña itsi kān, vata koo é ña tsiꞌi kuétsi ña nto ntaꞌa ña tsiñu i san. Tsí dɨvi ñā ne, káꞌan ña nī mau kui nuu ne, xnuu kutu ña ntō. 
MAT.5.26	Tsí nuu é ntaā i é kākaꞌán u ni ntō tsí ña ntíi nto dā nte ntáꞌvi ntɨꞌɨ nto diuꞌun é katāvi nto.
