MAT.1.1	Գիրք ծնունդին Յիսուսի Քրիստոսի՝ Դաւիթի որդիին, Աբրահամի որդիին։
MAT.2.23	եւ Նազարէթ ըսուած քաղաքը բնակեցաւ, որպէս զի մարգարէներուն խօսքը կատարուի՝ թէ ‘Նազովրեցի պիտի կոչուի’։
MAT.3.1	Այն օրերը Յովհաննէս Մկրտիչ եկաւ ու Հրէաստանի անապատին մէջ կը քարոզէր, 
MAT.3.2	ու կ’ըսէր. «Ապաշխարեցէք, վասն զի երկնքի թագաւորութիւնը մօտեցած է»։ 
MAT.3.3	Ասիկա ան է՝ որուն համար Եսայի մարգարէին միջոցով ըսուեցաւ, որ կ’ըսէ. «Անապատին մէջ կանչողին ձայնը, Տէրոջը ճամբան պատրաստեցէք, անոր շաւիղները շտկեցէք»։ 
MAT.3.4	Յովհաննէսին հանդերձը ուղտի մազէ էր ու իր մէջքը կաշիէ գօտի ունէր եւ իր կերակուրը մարախ ու վայրենի մեղր էր։ 
MAT.3.5	Այն ատեն Երուսաղէմ եւ բոլոր Հրէաստան ու Յորդանանի բոլոր կողմերէն իրեն կու գային 
MAT.3.6	եւ կը մկրտուէին իրմէ Յորդանանի մէջ ու իրենց մեղքերը կը խոստովանէին։ 
MAT.3.7	Երբ տեսաւ փարիսեցիներէն ու սադուկեցիներէն շատեր, որ իր մկրտութեանը եկած էին, ըսաւ. «Իժերո՛ւ ծնունդներ, ո՞վ իմացուց ձեզի գալու բարկութենէն փախչիլ։ 
MAT.3.8	Ուրեմն ապաշխարութեան արժանաւոր պտուղ բերէք. 
MAT.3.9	եւ մի՛ խորհիք դուք ձեր ներսիդին, թէ ‘Մենք մեզի հայր՝ Աբրահամը ունինք’. քանզի կ’ըսեմ ձեզի թէ Աստուած կարող է այս քարերէն Աբրահամի որդիներ հանել։ 
MAT.3.10	Ալ հիմա կացինը ծառերուն արմատին քով կը դրուի. ուստի ամէն ծառ որ բարի պտուղ չի բերեր, կը կտրուի ու կրակը կը ձգուի։ 
MAT.3.11	Ես ձեզ ջրով կը մկրտեմ ապաշխարութեան համար, բայց իմ ետեւէս եկողը ինծմէ զօրաւոր է։ Ես անոր կօշիկները կրելու արժանի չեմ։ Անիկա ձեզ պիտի մկրտէ Սուրբ Հոգիով ու կրակով. 
MAT.3.12	որուն հեծանոցը իր ձեռքն է եւ իր կալը պիտի մաքրէ ու իր ցորենը ամբարը պիտի ժողվէ եւ յարդը պիտի այրէ չմարող կրակով»։
MAT.3.13	Այն ատեն Յիսուս Գալիլիայէն Յորդանան եկաւ Յովհաննէսին, որպէս զի անկէ մկրտուի։ 
MAT.3.14	Յովհաննէս կ’արգիլէր զանիկա ու կ’ըսէր. «Ինծի պէտք է որ քեզմէ մկրտուիմ ու դուն ինծի՞ կու գաս»։ 
MAT.3.15	Յիսուս պատասխան տուաւ ու ըսաւ անոր. 
MAT.3.16	Երբ Յիսուս մկրտուեցաւ, շուտ մը ջուրէն դուրս ելաւ եւ ահա երկինքը բացուեցաւ ու տեսաւ Աստուծոյ Հոգին, որ աղաւնիի պէս կ’իջնէր ու կու գար իր վրայ։ 
MAT.3.17	Եւ ահա երկնքէն ձայն մը եկաւ որ կ’ըսէր. «Ասիկա է իմ սիրելի Որդիս, որուն հաւներ եմ»։
MAT.4.1	Այն ատեն Յիսուս անապատը տարուեցաւ Սուրբ Հոգիէն, որպէս զի Սատանայէն փորձուի։ 
MAT.4.2	Քառասուն ցորեկ ու քառասուն գիշեր ծոմ պահելէն ետքը անօթեցաւ։
MAT.4.3	Փորձողը անոր մօտենալով՝ ըսաւ. «Եթէ դուն Աստուծոյ Որդին ես, ըսէ որ այս քարերը հաց ըլլան»։ 
MAT.4.4	Անիկա պատասխան տուաւ ու ըսաւ. 
MAT.4.5	Այն ատեն Սատանան առաւ տարաւ զանիկա սուրբ քաղաքը եւ կայնեցուց զանիկա տաճարին աշտարակին վրայ 
MAT.4.6	ու ըսաւ անոր. «Եթէ դուն Աստուծոյ Որդին ես, քեզ ասկէ վար ձգէ, վասն զի գրուած է թէ Իր հրեշտակներուն պիտի ապսպրէ քեզի համար, որ ձեռքերնուն վրայ վերցնեն քեզ, որպէս զի չըլլայ թէ ոտքդ քարի զարնես»։ 
MAT.4.7	Յիսուս ըսաւ անոր. 
MAT.4.8	Սատանան նորէն առաւ հանեց զանիկա խիստ բարձր լերան մը վրայ եւ ցուցուց անոր աշխարհի բոլոր թագաւորութիւնները ու անոնց փառքը. 
MAT.4.9	ու ըսաւ անոր. «Ասոնք ամէնը քեզի պիտի տամ, եթէ իյնաս՝ ինծի երկրպագութիւն ընես»։ 
MAT.4.10	Այն ատեն Յիսուս ըսաւ անոր. 
MAT.4.11	Այն ատեն Սատանան զանիկա թողուց եւ հրեշտակները եկան ու անոր սպասաւորութիւն կ’ընէին։
MAT.4.12	Երբ լսեց Յիսուս թէ Յովհաննէս մատնուեցաւ, ելաւ գնաց Գալիլիա 
MAT.4.13	ու ձգելով Նազարէթը, եկաւ բնակեցաւ Կափառնայում, ծովեզերեայ քաղաքը, Զաբուղոնի ու Նեփթաղիմի սահմաններուն մէջ, 
MAT.4.14	որպէս զի կատարուի Եսայի մարգարէին միջոցով ըսուած խօսքը. 
MAT.4.15	«Զաբուղոնի երկիրը ու Նեփթաղիմի երկիրը, ծովու ճամբով Յորդանանի անդիի կողմը, Հեթանոսներու Գալիլիան. 
MAT.4.16	խաւարի մէջ նստող ժողովուրդը մեծ լոյս տեսաւ եւ լոյս ծագեցաւ անոնց՝ որոնք մահուան երկրին ու շուքին մէջ կը նստէին»։ 
MAT.4.17	Անկէ յետոյ Յիսուս սկսաւ քարոզել ու ըսել. 
MAT.4.18	Երբ Յիսուս Գալիլիացիներուն ծովուն քովերը կը պտըտէր, տեսաւ երկու եղբայրներ, Պետրոս կոչուած Սիմոնը եւ անոր եղբայրը Անդրէասը, որոնք ծովը ուռկան կը ձգէին, վասն զի ձկնորս էին։ 
MAT.4.19	Ըսաւ անոնց. 
MAT.4.20	Անոնք ալ շուտ մը ուռկանները թողուցին ու անոր ետեւէն գացին։ 
MAT.4.21	Անկէ յառաջ երթալով՝ տեսաւ ուրիշ երկու եղբայրներ, Զեբեդեան Յակոբոսը ու անոր եղբայրը Յովհաննէսը, նաւին մէջ իրենց հօրը Զեբեդիոսի հետ, իրենց ուռկանները կը կարկտնէին ու կանչեց զանոնք. 
MAT.4.22	անոնք ալ շուտ մը նաւն ու հայրերնին թողուցին ու անոր ետեւէն գացին։
MAT.4.23	Յիսուս բոլոր Գալիլիա պտըտելով, կը սորվեցնէր անոնց ժողովարաններուն մէջ եւ արքայութեան աւետարանը կը քարոզէր ու ժողովուրդին մէջի ամէն կերպ հիւանդութիւնները ու ամէն կերպ ցաւերը կը բժշկէր։ 
MAT.4.24	Անոր համբաւը բոլոր Սուրիա տարածուեցաւ եւ բերին անոր՝ բոլոր հիւանդները, որոնք կերպ կերպ ցաւերով ու տանջանքներով կը նեղուէին եւ դիւահարներ ու լուսնոտներ եւ անդամալոյծներ ու բժշկեց զանոնք։ 
MAT.4.25	Եւ շատ ժողովուրդներ անոր ետեւէն կ’երթային, Գալիլիայէն ու Դեկապոլիսէն եւ Երուսաղէմէն ու Հրէաստանէն եւ Յորդանանի անդիի կողմէն։
MAT.5.1	Տեսնելով ժողովուրդը՝ լեռը ելաւ։ Երբ նստաւ հոն, իր աշակերտները քովը գացին. 
MAT.5.2	իր բերանը բանալով կը սորվեցնէր անոնց ու կ’ըսէր,
MAT.7.28	Ու երբ Յիսուս լմնցուց այս խօսքերը, ժողովուրդը կը զարմանար անոր վարդապետութեանը վրայ։ 
MAT.7.29	Վասն զի իշխանութիւն ունեցողի մը պէս կը սորվեցնէր անոնց, ոչ թէ դպիրներուն պէս։
MAT.8.1	Երբ լեռնէն վար իջաւ, շատեր գացին անոր ետեւէն։ 
MAT.8.2	Ահա բորոտ մը եկաւ, երկրպագութիւն կ’ընէր անոր ու կ’ըսէր. «Տէ՛ր, եթէ ուզես, կրնաս զիս մաքրել»։ 
MAT.8.3	Յիսուս իր ձեռքը երկնցնելով դպաւ անոր ու ըսաւ. 
MAT.8.4	Յիսուս ըսաւ անոր. 
MAT.8.5	Երբ Կափառնայում մտաւ, հարիւրապետ մը եկաւ քովը, կ’աղաչէր անոր, 
MAT.8.6	ու կ’ըսէր. «Տէ՛ր, ծառաս տունը անդամալոյծ պառկած չարաչար կը տանջուի»։ 
MAT.8.7	Յիսուս ըսաւ անոր. 
MAT.8.8	Հարիւրապետը պատասխան տալով՝ ըսաւ. «Տէ՛ր, ես արժանի չեմ որ դուն իմ յարկիս տակ մտնես. միայն խօսքով հրամայէ ու իմ ծառաս պիտի բժշկուի։ 
MAT.8.9	Վասն զի ես ալ իշխանութեան տակ մարդ եմ ու իմ հրամանիս տակ զինուորներ ունիմ։ Ասոր կ’ըսեմ՝ ‘Գնա՛’, ու կ’երթայ. եւ միւսին՝ թէ ‘Եկո՛ւր’, ու կու գայ եւ ծառայիս՝ թէ ‘Այս բանը ըրէ’, ու կ’ընէ»։ 
MAT.8.10	Յիսուս երբ լսեց, զարմացաւ եւ իր ետեւէն գացողներուն ըսաւ. 
MAT.8.13	Յիսուս հարիւրապետին ըսաւ. 
MAT.8.14	Յիսուս Պետրոսի տունը գալով, տեսաւ որ անոր զոքանչը ջերմէն բռնուած՝ պառկած էր։ 
MAT.8.15	Անոր ձեռքէն բռնեց ու ջերմը թող տուաւ զանիկա։ Ան ալ ոտքի ելաւ եւ անոնց սպասաւորութիւն կ’ընէր։ 
MAT.8.16	Երբ իրիկուն եղաւ, շատ դիւահարներ բերին անոր։ Խօսքով հանեց չար ոգիները եւ բոլոր հիւանդները բժշկեց. 
MAT.8.17	որպէս զի Եսայի մարգարէին միջոցով ըսուած խօսքը կատարուի. «Անիկա մեր հիւանդութիւնները վերցուց եւ մեր ցաւերը կրեց»։
MAT.8.18	Յիսուս իր բոլորտիքը շատ ժողովուրդ տեսնելով, հրաման ըրաւ որ միւս կողմը երթան։ 
MAT.8.19	Դպիր մը մօտենալով՝ ըսաւ անոր. «Վա՛րդապետ, ես քու ետեւէդ պիտի գամ ուր որ երթաս»։ 
MAT.8.20	Յիսուս ըսաւ անոր. 
MAT.8.21	Ուրիշ մը, որ անոր աշակերտներէն էր, ըսաւ անոր. «Տէ՛ր, ինծի հրաման տուր, որ երթամ առաջ իմ հայրս թաղեմ»։ 
MAT.8.22	Յիսուս ըսաւ անոր. 
MAT.8.23	Երբ նաւը մտաւ, իր աշակերտները իր ետեւէն գացին։ 
MAT.8.24	Ահա մեծ ալեկոծութիւն մը եղաւ ծովուն մէջ, այնպէս որ նաւը ալիքներէն կը ծածկուէր. իսկ ինք կը քնանար։ 
MAT.8.25	Աշակերտները իր մօտ գացին, արթնցուցին զանիկա ու ըսին. «Տէ՛ր, ազատէ մեզ, ահա կը կորսուինք»։ 
MAT.8.26	Ան ըսաւ անոնց. 
MAT.8.27	Ու մարդիկ զարմացան եւ կ’ըսէին. «Ի՜նչպիսի մարդ է աս որ հովերն ու ծովը իրեն կը հնազանդին»։
MAT.8.28	Երբ միւս կողմը Գերգեսացիներուն երկիրը անցաւ, երկու դիւահարներ պատահեցան իրեն գերեզմաններէն ելած՝ սաստիկ կատղած, այնպէս որ անհնար էր որ մարդ այդ ճամբայէն անցնէր։ 
MAT.8.29	Ահա աղաղակեցին ու ըսին. «Յիսո՛ւս, Որդի Աստուծոյ, դուն մեզի հետ ի՞նչ բան ունիս, ատենէն առաջ մեզ տանջելո՞ւ համար հոս եկար»։ 
MAT.8.30	Անոնցմէ հեռու շատ խոզերու երամակ մը կար, որոնք կ’արածէին։ 
MAT.8.31	Դեւերը կ’աղաչէին իրեն ու կ’ըսէին. ‘Եթէ մեզ հանես, հրաման տուր մեզի որ երթանք խոզերուն երամակին մէջ մտնենք’։ 
MAT.8.32	Ըսաւ անոնց. 
MAT.8.33	Խոզարածներն ալ փախան եւ քաղաքը երթալով պատմեցին դիւահարներուն պատահած բաները։ 
MAT.8.34	Ուստի բոլոր քաղաքը Յիսուսի դէմը ելաւ ու երբ տեսան զանիկա, աղաչեցին որ իրենց սահմաններէն երթայ։
MAT.9.1	Նաւը մտնելով անդիի կողմը անցաւ ու գնաց իր քաղաքը։ 
MAT.9.2	Իրեն անդամալոյծ մը բերին, որ մահիճի մէջ պառկած էր։ Յիսուս անոնց հաւատքը տեսնելով՝ ըսաւ անդամալոյծին. 
MAT.9.3	Դպիրներէն ոմանք իրենց մտքին մէջ ըսին. «Ատիկա հայհոյութիւն կ’ընէ»։ 
MAT.9.4	Յիսուս անոնց խորհուրդները իմանալով՝ ըսաւ. 
MAT.9.7	Անիկա ելաւ իր տունը գնաց։ 
MAT.9.8	Ներկաները երբ տեսան, զարմացան ու փառաւորեցին Աստուած, որ մարդոց այնպիսի իշխանութիւն տուեր է։
MAT.9.9	Յիսուս անկէ յառաջ երթալով՝ մարդ մը տեսաւ Մատթէոս անունով, որ մաքս ընդունելու տեղը նստեր էր, ըսաւ անոր. 
MAT.9.10	Տունը սեղան նստած ատենը՝ ահա ուրիշ շատ մաքսաւորներ եւ մեղաւորներ եկած ու սեղան նստած էին Յիսուսի եւ անոր աշակերտներուն հետ։ 
MAT.9.11	Փարիսեցիները երբ տեսան, ըսին անոր աշակերտներուն. «Ինչո՞ւ ձեր վարդապետը մաքսաւորներու ու մեղաւորներու հետ կ’ուտէ»։ 
MAT.9.12	Յիսուս՝ երբ լսեց՝ ըսաւ անոնց. 
MAT.9.14	Այն ատեն Յովհաննէսին աշակերտները անոր եկան ու ըսին. «Ինչո՞ւ մենք ու փարիսեցիները շատ անգամ ծոմ կը պահենք, իսկ քու աշակերտներդ չեն պահեր»։ 
MAT.9.15	Յիսուս ըսաւ անոնց. 
MAT.9.18	Երբ անիկա անոնց հետ այս բաները կը խօսէր, ահա իշխան մը եկաւ, երկրպագութիւն կ’ընէր անոր ու կ’ըսէր. «Աղջիկս թերեւս մինչեւ հիմա մեռած է, բայց եկուր ձեռքդ անոր վրայ դիր ու պիտի ապրի»։ 
MAT.9.19	Յիսուս ելաւ ու իր աշակերտներուն հետ անոր ետեւէն գնաց։
MAT.9.20	Ահա տասներկու տարուան տեռատես կին մը մօտեցաւ ետեւէն, անոր հանդերձին քղանցքին դպաւ. 
MAT.9.21	քանզի իր մտքին մէջ կ’ըսէր. «Միայն անոր հանդերձին դպչիմ, պիտի բժշկուիմ»։ 
MAT.9.22	Յիսուս երբ ետին դարձաւ ու տեսաւ զանիկա, ըսաւ. 
MAT.9.23	Երբ Յիսուս իշխանին տունը հասաւ, տեսաւ փողահարները եւ խռոված բազմութիւնը, 
MAT.9.24	ըսաւ անոնց. 
MAT.9.25	Ոմանք կը ծաղրէին զանիկա։ Երբ բազմութիւնը դուրս ղրկուեցաւ, ինք ներս մտաւ, անոր ձեռքէն բռնեց ու աղջիկը ոտքի ելաւ։ 
MAT.9.26	Այս լուրը բոլոր երկիրը տարածուեցաւ։
MAT.9.27	Երբ Յիսուս անկէ յառաջ անցաւ, երկու կոյր ինկան անոր ետեւէն, կ’աղաղակէին ու կ’ըսէին. «Ողորմէ՛ մեզի, Դաւիթի՛ Որդի»։ 
MAT.9.28	Երբ տուն հասաւ, կոյրերը իրեն եկան։ Յիսուս անոնց ըսաւ. 
MAT.9.29	Այն ատեն անոնց աչքերուն դպաւ ու ըսաւ. 
MAT.9.30	Անոնց աչքերը բացուեցան։ Յիսուս սաստիկ պատուէր տուաւ անոնց ու ըսաւ. 
MAT.9.31	Բայց անոնք ելան, այն բոլոր երկրին մէջ անոր համբաւը տարածեցին։
MAT.9.32	Երբ անոնք դուրս ելան, ահա համր դիւահար մարդ մը բերին իրեն։ 
MAT.9.33	Երբ դեւը ելաւ, համրը խօսեցաւ։ Եւ ժողովուրդը զարմացաւ ու կ’ըսէին թէ՝ Իսրայէլի մէջ բնաւ այսպիսի բան տեսնուած չէր։ 
MAT.9.34	Բայց փարիսեցիները կ’ըսէին. «Ատիկա դեւերուն իշխանութիւնովը դեւեր կը հանէ»։
MAT.9.35	Յիսուս կը պտըտէր բոլոր քաղաքներն ու գիւղերը եւ անոնց ժողովարաններուն մէջ կը սորվեցնէր ու կը քարոզէր արքայութեան աւետարանը եւ կը բժշկէր բոլոր ախտերն ու բոլոր հիւանդութիւնները ժողովուրդին մէջ։ 
MAT.9.36	Ժողովուրդները տեսնելով, անոնց վրայ խղճաց, վասն զի յոգնած ու ցիրուցան եղած էին հովիւ չունեցող ոչխարներու պէս։ 
MAT.9.37	Այն ատեն ըսաւ իր աշակերտներուն. 
MAT.10.1	Յիսուս իր քով կանչելով իր տասներկու աշակերտները, անոնց իշխանութիւն տուաւ պիղծ ոգիներուն վրայ, որպէս զի զանոնք հանեն եւ ամէն ցաւ ու ամէն հիւանդութիւն բժշկեն։
MAT.10.2	Տասներկու առաքեալներուն անունները ասոնք են. առաջինը Սիմոն, Պետրոս ըսուածը եւ անոր եղբայրը Անդրէաս, 
MAT.10.3	Յակոբոս Զեբեդեան եւ անոր եղբայրը Յովհաննէս, Փիլիպպոս եւ Բարթողիմէոս, Թովմաս եւ Մատթէոս մաքսաւոր, Յակոբոս Ալփեան եւ Ղեբէոս որ Թադէոս մականուանեցաւ, 
MAT.10.4	Սիմոն Կանանացի եւ Յուդա Իսկարիովտացի, որ մատնեց զանիկա։
MAT.10.5	Յիսուս այս տասներկուքը ղրկեց եւ անոնց պատուիրեց՝ ըսելով. 
MAT.11.1	Երբ Յիսուս լմնցուց իր տասներկու աշակերտներուն պատուէր տալը, գնաց անոնց քաղաքներուն մէջ քարոզելու եւ սորվեցնելու։
MAT.11.2	Յովհաննէս բանտին մէջ երբ լսեց Քրիստոսի գործերը, իր աշակերտներէն երկուքը ղրկելով՝ հարցուց անոր. 
MAT.11.3	«Դուն ա՞ն ես, որ գալու էր, թէ ուրիշի մը սպասենք»։ 
MAT.11.4	Յիսուս պատասխան տալով՝ անոնց ըսաւ. 
MAT.11.7	Երբ անոնք գացին, Յիսուս սկսաւ ժողովուրդին ըսել Յովհաննէսին համար. 
MAT.11.20	Այն ատեն սկսաւ նախատել այն քաղաքները, որոնց մէջ կատարեր էր իր հրաշքներէն շատերը, քանզի չապաշխարեցին. 
MAT.11.25	Նոյն ժամանակ Յիսուս ըսաւ. 
MAT.12.1	Յիսուս շաբաթ օր մը կ’երթար արտերուն մէջէն, երբ իր աշակերտները անօթեցան, սկսան ցորենի հասկեր փրցնել եւ ուտել։ 
MAT.12.2	Փարիսեցիները երբ տեսան, ըսին անոր. «Ահա քու աշակերտներդ կը գործեն, մինչդեռ արտօնուած չէ շաբաթ օրը գործել»։ 
MAT.12.3	Ան ալ անոնց ըսաւ. 
MAT.12.9	Անկէ երթալով՝ գնաց անոնց ժողովարանը։ 
MAT.12.10	Հոն մարդ մը կար, որուն ձեռքը չորցած էր։ Հարցուցին անոր. «Շաբաթ օրը բժշկել արժա՞ն է», որպէս զի անոր վրայով ամբաստանութիւն ընեն։ 
MAT.12.11	Ան ալ ըսաւ անոնց. 
MAT.12.13	Այն ատեն ըսաւ այն մարդուն. 
MAT.12.14	Իսկ փարիսեցիները դուրս ելլելով՝ անոր վրայով խորհուրդ կ’ընէին թէ ի՞նչպէս զանիկա կորսնցնեն։
