GEN.1.1	Imapis manaraq kaptinmi Tayta Dios kamarqan jana pasatapis kay pasatapis.
GEN.4.2	Saypitanami yapay olqu wamrata wachar jutisirqan Abel jutin kananpaq. Abel winarkurnami uyshata y cabrata ashmakuq karqan. Caínnami chakra aruq karqan.
GEN.4.3	Saypita watakuna päsarkuptinnami Caínqa mikuyta cosechashqanpita 
GEN.4.4	Saynömi Abelpis 
GEN.4.5	Caín apashqantami isanqa chaskirqansu. Saymi Caín fiyupa rabyaptin cäranpis jukniraqyarqan.
GEN.4.6	Saymi Caínta 
GEN.4.7	Alita rurarqa manami jukniraqyash kaykankimansu. Mana alita ruraptikimi jusalikuy watqaraykäshunki munayninman churashunaykipaq. Sayno kaptinpis shumaq tantiyakurqa manami jusalikunkisu>>.
GEN.4.8	Saypita juk junaqmi Caínqa wawqin Abelta nirqan: <<Jirkapa rikachakuq aku>>.
GEN.4.8	Jirkaman chaykurnami traicionpita sarir Abelta wanusirqan.
GEN.4.9	Saymi Caínta 
GEN.4.9	Sayno tapuptinmi nirqan: <<Manami musyäsu. ¿Wawqï rikaqku kaykä imami?>>
GEN.4.10	Niptinmi 
GEN.4.11	Saymi kay pasacho maldicionädu kar qarqush kankipaq. Wawqikipa yawarninta jichashqaykipitami 
GEN.4.12	murupakushqaykipis wayunqasu. Saynölami jamayta mana tariypa maysaypapis purikunkipaq>>.
GEN.4.13	Niptinmi Caín nirqan: <<Sayno castigamaptiki manami awantämansu, Taytay. 
GEN.4.14	Kaypita qarqamarqa nawpaykipita karumanmi qarqaykämanki. Sayno karqa jamaytapis mana tariypachir maysaypapis puriykushaq. Sayno puriykaqtachir pipis wanusimanqa>>.
GEN.4.15	Saymi 
GEN.4.15	Sayno nirmi señalta churaparqan Caínta pipis mana wanusinanpaq. 
GEN.4.16	Saymi 
GEN.4.17	Saypitanami Caínpa warmin qeshyaq rikakur olqu wamrata qeshyakurqan. Say wamrantami jutisirqan Enoc jutin kananpaq. Nirkurmi Caín juk markata sharkarkasir say markapa jutinta churaparqan surinpa jutilanta. 
GEN.4.18	Enocmi karqan Iradpa taytan. Iradmi karqan Mehujaelpa taytan. Mehujaelmi karqan Metusaelpa taytan. Metusaelmi karqan Lamecpa taytan.
GEN.4.19	Lamec karqan ishkay warmiyuqmi. Jukaq warminpa jutinmi karqan Ada y jukaqpanami Zila. 
GEN.4.20	Adami wawanta jutisirqan Jabal jutin kananpaq. Jabalmi wakin runakunapita mas puntata toldukunacho tashpan uywakunata ashmakurqan. 
GEN.4.21	Jabalpa wawqinmi karqan Jubal. Jubalmi puntata arpata y kënata tukayta yachakurqan.
GEN.4.22	Zilanami qeshyakurqan Tubal-caínta. Tubal-caín herrëru karmi broncipita y fiërrupita imaykatapis ruraq. Paninpa jutinmi karqan Naama.
GEN.4.23	Juk kutichömi ishkan warminkunata Lamec nirqan: <<¡Ada, Zila, nishqäta wiyayämay! Maqapakamaptinmi juk runata wanurasishkä. Maqta kaptinpis saripakamaptinmi supayninta apasishkä. 
GEN.4.24	Caínta pipis wanusir qanchis kuti castigash kananpaq kaptinqa noqata yatamaq kaqqa qanchis chunka qanchis (77) kuti masmi castigash kanqa>>.
GEN.4.25	Adánpa warmin yapay qeshyaq rikakurmi olqu wamrata wacharqan. Yuriykuptinmi nirqan: <<Wawä Abelta Caín wanusish kaptinmi Tayta Dios munash Abelpa trukan juk wawata tarinäpaq. Saymi paypa jutin kanqa Set>>.
GEN.4.26	Setnami surin yuriykuptin jutin churaparqan Enós kananpaq. Enós kashqanpitaraqmi runakuna 
GEN.5.1	Kaychömi qelqaraykan Adánpa surinkunapita y paykunapita miraqkunapitapis.
GEN.5.1	Runata kamar kikin niraqtami Tayta Dios kamarqan.
GEN.5.2	Olqutapis warmitapis paymi kamarqan. Kamashqan junaqmi Tayta Dios nirqan paykuna runa kayashqanta. Nirkurmi kay pasacho ali kawayänanpaq bendicionninta qorqan.
GEN.5.3	Pachak kimsa chunka (130) watayuq Adán kaykaptinmi surin Set yurirqan. Say surinqa taytalanmi karqan. 
GEN.5.4	Surin Set yurishqanpita puwaq pachak (800) wata masraqmi Adán kawarqan. Paypa surinkuna olqupis y warmipis kayarqanraqmi. 
GEN.5.5	Esqun pachak kimsa chunka (930) watayuq kaykarmi Adán wanurqan.
GEN.5.6	Pachak pisqa (105) watayuq Set kaykaptinmi surin Enós yurirqan. 
GEN.5.7	Saypita Set kawarqan puwaq pachak qanchis (807) wata masraqmi. Setpa surinkuna olqupis y warmipis kayarqanraqmi. 
GEN.5.8	Set esqun pachak chunka ishkay (912) watayuq kaykarmi wanurqan.
GEN.5.9	Enós esqun chunka (90) watayuq kaykaptinmi surin Cainán yurirqan. 
GEN.5.10	Surin Cainán yurishqanpita Enós kawarqan puwaq pachak chunka pisqa (815) wata masraqmi. Enóspa surinkuna olqupis y warmipis kayarqanraqmi. 
GEN.5.11	Enósqa esqun pachak pisqa (905) watayuq kaykarmi wanurqan.
GEN.5.12	Cainán qanchis chunka watayuq (70) kaykaptinmi surin Mahalaleel yurirqan. 
GEN.5.13	Surin Mahalaleel yurishqanpita Cainán kawarqan puwaq pachak chusku chunka (840) wata masraqmi. Cainánpa surinkuna olqupis y warmipis kayarqanraqmi. 
GEN.5.14	Cainán esqun pachak chunka (910) watayuq kaykarmi wanurqan.
GEN.5.15	Mahalaleel soqta chunka pisqa (65) watayuq kaykaptinmi surin Jared yurirqan. 
GEN.5.16	Surin Jared yurishqanpita Mahalaleel kawarqan puwaq pachak kimsa chunka (830) wata masraqmi. Mahalaleelpa surinkuna olqupis y warmipis kayarqanraqmi. 
GEN.5.17	Mahalaleel puwaq pachak esqun chunka pisqa (895) watayuq kaykarmi wanurqan.
GEN.5.18	Jared pachak soqta chunka ishkay (162) watayuq kaykaptinmi surin Enoc yurirqan. 
GEN.5.19	Surin Enoc yurishqanpita Jared puwaq pachak (800) wata masraqmi kawarqan. Jaredpa surinkuna olqupis y warmipis kayarqanraqmi. 
GEN.5.20	Jaredpis esqun pachak soqta chunka ishkay (962) watayuq kaykarmi wanurqan.
GEN.5.21	Enoc soqta chunka pisqa (65) watayuq kaykaptinmi surin Matusalén yurirqan. 
GEN.5.22	Enocqa Tayta Dios munashqannömi kawarqan. Surin Matusalén yurishqanpita kimsa pachak (300) wata masraqmi kawarqan. Enocpa surinkuna olqupis y warmipis kayarqanraqmi. 
GEN.5.23	Enoc kawarqan kimsa pachak soqta chunka pisqa (365) watami. 
GEN.5.24	Tayta Dios munashqanno kawashqanpitami Enocta Tayta Dios kawaykaqta pushakurqan.
GEN.5.25	Matusalén pachak puwaq chunka qanchis (187) watayuq kaykaptinmi surin Lamec yurirqan. 
GEN.5.26	Lamec yurishqanpita Matusalén kawarqan qanchis pachak puwaq chunka ishkay (782) wata masraqmi. Matusalénpa surinkuna olqupis y warmipis kayarqanraqmi. 
GEN.5.27	Matusalénpis esqun pachak soqta chunka esqun (969) watayuq kaykarmi wanurqan.
GEN.5.28	Lamec pachak puwaq chunka ishkay (182) watayuq kaykaptinmi surin yurirqan. 
GEN.5.29	Surin yuriykuptinmi Lamec nirqan: <<Kay pasata 
GEN.5.29	Sayno nirmi surinta jutisirqan Noé jutin kananpaq.
GEN.5.30	Noé yurishqanpita Lamec kawarqan pisqa pachak esqun chunka pisqa (595) wata masraqmi. Lamecpa surinkuna olqupis y warmipis kayarqanraqmi. 
GEN.5.31	Lamec qanchis pachak qanchis chunka qanchis (777) watayuq kaykarmi wanurqan.
GEN.5.32	Noé pisqa pachak (500) watayuq kaykaptinmi surinkuna yuriyarqan. Say surinkunapa jutinkunami karqan Sem, Cam y Jafet.
GEN.6.1	Kay pasacho runakuna askaman mirayaptinmi warmi surinkunapis aska kayarqan. 
GEN.6.2	Saymi Tayta Diospa wamrankuna rikayarqan runakunapa warmi surinkuna kuyaylapaq kayashqanta. Paykunapitami munayashqanta warminkunapaq akrakuyarqan.
GEN.6.3	Saymi 
GEN.6.4	Diospa wamrankunawan runakunapa warmi surinkuna täyashqan wisanmi sikasaq runakuna kay pasacho kawayarqan. Say unay runakunami selläma mentädu y kalpayuq kayarqan.
GEN.6.6	Saymi runata kamashqanpita 
GEN.6.7	<<¿Imapaqraq kay pasacho runata kamaykarqäpis? Kananqa lapan runakunatami ushakäsishaq. Saynöpis lapan uywakunata, pachalanpa, lätaypa puriqkunata y pajaqkunatapis
GEN.6.8	Noétami isanqa Tayta Dios ali nawinpa rikarqan.
GEN.6.9	Kaychömi qelqaraykan Noé imano kawashqanpis.
GEN.6.9	Runakuna jusalikur kawayaptinpis Noéqa Tayta Diosman yärakur pay munashqannömi kawarqan.
GEN.6.10	Noépa surinkunami kayarqan Sem, Cam y Jafet.
GEN.6.11	Tayta Diosmi rikarqan kay pasacho runakuna pasaypa jusalikur y wanusinakular kawaykäyashqanta. 
GEN.6.12	Maysaychöpis runakuna jusalikuylaman uman churakash kaykaqta rikarmi Noéta Tayta Dios nirqan: 
GEN.6.13	<<Kay pasacho lapan runakunatami ushakäsishaq. Paykunami jusayuq kaykäyan kay pasacho wanusinakuy kananpaq. Sayno kayashqanpitami kay pasacho kaqkunata chipyaq ushakäsishaq.
GEN.6.14	<<Sayno kananpaq kaykaptinqa aska cuartuyuq jatunkaray 
GEN.6.15	Say arcata ruranki pachak kimsa chunka pisqa (135) metru larguta. Anchuynintana ruranki ishkay chunka ishkay metru pulanta (22.5). Altuynintana ruranki chunka kimsa metru pulanta (13.5). 
GEN.6.16	Saynöpis ruranki kimsa altusyuqta. Qatarashqanpita uraman pulan metrucho ventänata ruranki. Saynöla jukaq lädunpa punkuntapis ruranki.
GEN.6.17	<<Mansariypaq diluviu tamyatami tamyasimushaq maysaytapis yaku nitishqanyaq. Saymi maysaychöpis shenqaypa lapan kawaq kaqqa wanuyanqa. 
GEN.6.18	Qamwanmi isanqa 
GEN.6.19	Saynöpis arcaman yaykasinki kay pasacho kaq tukuy niraq uywakunata chinan orquta, qamkuna salvakuyashqaykino uywakunapis salvakuyänanpaq. 
GEN.6.20	Qamkunawanmi arcaman yaykuyanqa tukuy niraq pajaqkuna, ashmana kaq y mana ashmana kaq uywakuna, pachalanpa, lätaypa puriqkunapis. Cada uywa chinan orqu yaykuyäsun. Saynöpami say uywakuna ushakäyanqasu. 
GEN.6.21	Saynöpis arca rurinman imaykaläya mikuykunata pirwanki. Say mikuytami qamkunapis y uywakunapis mikuyanki>>.
GEN.6.22	Tayta Dios nishqannölami lapantapis Noé rurarqan.
GEN.7.1	Nirkurnami Noéta 
GEN.7.2	 kaq uywakunataqa
GEN.7.3	Saynöpis lapan casta pajaqkunata
GEN.7.4	Kananpita qanchis junaqtami chusku chunka (40) junaq chusku chunka paqas mana salpiypa tamyasimushaq. Say tamyawanmi kay pasacho lapan kawaq kaqta ushakäsishaq>>.
GEN.7.5	Saymi 
GEN.7.6	Diluviu kanan wisan Noé kaykarqan soqta pachak (600) watayuqmi. 
GEN.7.7	Diluviupita salvakuyänanpaqmi arcaman Noé yaykurqan warminwan, surinkunawan y lumsuyninkunawan.
GEN.7.8	Saynömi arcaman yaykuyarqan püru kaq y impüru kaq lapan casta uywakuna, pajaqkuna y pachalanpa, lätaypa puriqkunapis. 
GEN.7.9	Tayta Dios nishqannölami say uywakunata chinan orquta Noé yaykasirqan.
GEN.7.10	Tayta Dios nishqannölami qanchis junaqta diluviu qalaykurqan. 
GEN.7.11	Say karqan mushuq wata qalaykushqanpita juk killa ushaskir chunka qanchis junaqmi. Say wisan Noé kaykarqan soqta pachak (600) watayuqmi. Pasa rurinpitami yaku aska pashtamurqan. Saynölami ciëlucho yakuta saparaykaq punkupis kichakämurqan.
GEN.7.12	Saymi chusku chunka (40) paqas y chusku chunka junaq mana salpiypa tamyarqan.
GEN.7.13	Tamya qalaykushqan junaqmi Noé kimsan surinkunawan arcaman yaykuyarqan. Surinkunapa jutinkunami karqan Sem, Cam y Jafet. Saynölami kimsan lumsuyninkunawan Noépa warminpis yaykurqan. 
GEN.7.14	Paykunawanmi yaykuyarqan lapan casta ashmana kaq y mana ashmana kaq uywakuna, pachalanpa, lätaypa puriqkuna y tukuy casta pajaqkunapis. 
GEN.7.15	Lapan casta uywakunatami ishkaypa ishkaypa arcaman Noé yaykasirqan. 
GEN.7.16	 nishqannölami cada casta uywakunata chinan orquta yaykasirqan. Yaykuskiptinnami arca punkuta 
GEN.7.17	Saypitanami chusku chunka (40) junaq y chusku chunka (40) paqas mana salpiypa tamyarqan. Sayno tamyarmi pasaman yaku juntashpan arcata aynasir qalaykurqan. 
GEN.7.18	Sayno tamyaptin waranlanta waranlanta yaku mas juntaptinmi arca aynar qalaykurqan. 
GEN.7.19	Altunnin jirkakunatapis sapashqanyaqmi yaku juntarqan. 
GEN.7.20	Say jirkakunata saparkurpis qanchis metru mastaraqmi päsarqan.
GEN.7.21	Saychömi lapan runakunapis, pajaqkunapis, ashmana kaq y mana ashmana kaq uywakunapis y pachalanpa, lätaypa puriqkunapis shenqaypa wanuyarqan. 
GEN.7.22	Kay pasacho kawaqkuna lapanpis shenqaypa wanurmi ushakäyarqan. 
GEN.7.23	Arcaman Noéwan yaykuqkunalami wanuypita qeshpiyarqan. Mana yaykuq kaqmi isanqa runakunapis, uywakunapis, pajaqkunapis y pachalanpa, lätaypa puriqkunapis lapan wanur ushakäyarqan. 
GEN.7.24	Say yaku pachak pisqa chunka (150) junaqyaqmi kay pasata sapararqan.
GEN.8.1	Tayta Dios manami qonqarqansu Noéta ni 
GEN.8.2	Saymi pasa rurincho kaq lamarpita pashtamuq yaku chawarqanna. Ciëlupita yaku yarqamunanpaq kicharaykaq punkupis wichqakäkurqanna.
GEN.8.3	Saymi yaku walkayar qalaykurqan. Pachak pisqa chunka (150) junaqtanami 
GEN.8.4	arca takyarqan Araratcho kaykaq juk jirkacho. Say karqan qanchis kaq killa chunka qanchis junaqmi. 
GEN.8.5	Saypita yaku waranlanta waranlanta walkaptinmi chunka kaq killa qalaykunan junaq jirka puntakuna rikakäyarqanna.
GEN.8.6	Saypita chusku chunka (40) junaqtami Noé kicharqan arcapa ventänanta. 
GEN.8.7	Nirkurmi juk cuervuta
GEN.8.8	Saypitanami kacharqan juk palumatana pasa sakikashqanta o mana sakishqantapis musyamunanpaq. 
GEN.8.9	Pasa janancho yaku juntaraptinmi maychöpis ratananpaq mana kaptin palumaqa arcaman kutirqan. Saymi Noé makinta makyaraykashqanman rataykuptin arcaman yaykasirqan.
GEN.8.10	Saypita qanchis junaqtami palumata yapay Noé kacharqan. 
GEN.8.11	Pasa sakaykaptinnami olïvu räman amush paluma kutirqan. Saynöpami Noé musyarqan yaku sakiykashqantana. 
GEN.8.12	Kutishqanpita qanchis junaqtami yapay palumata kacharqan. Say palumaqa mananami kutirqannasu.
GEN.8.13	Soqta pachak y juk (601) watayuq Noé kaykaptinmi yaku sakirqanna. Say karqan mushuq wata qalaykunan junaqmi. Say junaqmi arca qataraykashqanta kichaskir Noé rikarqan pasa sakishtana. 
GEN.8.14	Ishkay kaq killacho ishkay chunka qanchis (27) junaq kaykaptinmi pasa sakishna kaykarqan. 
GEN.8.15	Saymi Noéta Tayta Dios nirqan: 
GEN.8.16	<<Kananqa warmikiwan, surikikunawan y lumsuynikikunawan arcapita yarquyayna. 
GEN.8.17	Saynöpis lapan casta uywakunata qarquyna ashmana kaqkunata, mana ashmana kaqkunata, pachalanpa, lätaypa puriqkunata y lapan casta pajaqkunatapis maysaypa aywar intëru pasacho mirayänanpaq>>.
GEN.8.18	Sayno niptinmi Noé yarqurqan warminwan, surinkunawan y lumsuyninkunawan. 
GEN.8.19	Saynölami yarquyarqan ashmana kaq y mana ashmana kaq uywakuna, pachalanpa y lätaypa puriqkuna y lapan casta pajaqkunapis. 
GEN.8.20	Yarquskirnami Noé juk 
