MAT.1.1	Yesu Kerisi yi degwa lo sënë: Yesu saga sën Davit yi mewis, geDavit saga sën Abraham yi mewis.
MAT.1.20	Yosep nahën kwa nevo nebë sënë, loḳ Mehöböp yi angër yam vu yi loḳ pesepsën benër vu bë, “Davit yi mewis Yosep-e! Gwenġo! Su nim dëlin Maria! Gaḳ gweḳo nök natu venëm. Hurmahen sën loḳ nare ayo lo, saga Anon Vabuung vonġ vu yi. 
MAT.1.21	Rëḳ geḳo nalu aġuu lom ġenanër arë nabë Yesu. In rëḳ geḳo yi alam vër in hir nipaya nyëvewen.”
MAT.1.22	Nġaa pin sënë anon raḳ yoh vu ġaġek sën Mehöböp vonġ verup mehö-nenër-ġaġek-ranġahsën Yesaya avi lo nebë:
MAT.1.23	“Ham gwenġo rë! Rëḳ avëh avö nalu doḳ, lom geḳo nalu aġuu. Lob rëḳ ġenanër arë nabë Emanuel.”
MAT.1.23	Arë sënë degwa nebë ‘Anutu nedo ving hil’.
MAT.1.24	Lob Yosep ggëp mepesep ggovek gekedi raḳ, lom vonġ yoh vu sën Mehöböp yi angër nër vu yi lo. Ya beḳo avëh netu venë, 
MAT.1.25	rëḳ su neya aggata ving yi rë, gema rot, beya verup loḳ buk sën venë ḳo nalu aġuu lo. Lob tahi ggev raḳ nebë Yesu.
MAT.2.1	Maria ḳo Yesu vu Betlehem ggëp Yudea loḳ buk sën Herot tu mehö-los-bengö menedo. Ḳo ggovek, lom alam kwaj böp la vu nyëġ mala neverup bedeyam Yerusalem medeloḳ tepëḳ bë, 
MAT.2.2	“Alam Yuda hir mehö-los-bengö hurmahen mewis sën lo tena? He halë yi betuheng verup ggëp sën nyëġ mala neverup, lom he yam in bë ġaḳo arë jaḳ.” 
MAT.2.3	Mehö-los-bengö Herot nġo hir ġaġek saga, lob lëk anon, balam Yerusalem pin delëk ving. 
MAT.2.4	Lob tahi alam-deneḳo-seriveng hir ggev los alam-horek-yi pin ya vu yi beloḳ tepëḳ in sir bë, “Kerisi ata geḳo yi gëp tena?” 
MAT.2.5	Lob denër yah bë, “Ata geḳo yi gëp Betlehem vu distrik Yudea, in mehö-nenër-ġaġek-ranġahsën kevu ġaġek meneggëp nebë:
MAT.2.6	‘Honġ Betlehem vu nyëġ Yuda,
MAT.2.6	su ġetu nyëġ Yuda yi begganġ-bu mahen tamusën rë, gaḳ ġekwesuu.
MAT.2.6	In ggev böp ti rëḳ berup doḳ honġ,
MAT.2.6	lob ġeġin salam Israel.’”
MAT.2.7	Herot nġo nebë saga lob vun yi metahi alam los kwaj böp saga yam, beloḳ tepëḳ in sir in bë jaḳ ni niröp nabë betuheng saga verup loḳ buk tena. 
MAT.2.8	Log vonġ sir ya Betlehem genër vu sir bë, “Ham na sero hurmahen saga niwëëk ata, lob bë ham natöḳ vu yi, og ham gweḳo ġaġek nom vu sa, in senök ġaḳo arë jaḳ geving.”
MAT.2.9	Denġo mehö-los-bengö yi ġaġek saga ggovek log deya. Lob betuheng sën delë neggëp nyëġ mala neverup lo, muġin beya nare ya valeḳ nyëġ sën hurmahen neggëp loḳ lo. 
MAT.2.10	Delë betuheng lom kwaj vesa rot. 
MAT.2.11	Lob deloḳ ya begganġ ayo bedelë hurmahen luho ata Maria, lob deyun lusej vu los deḳo yi raḳ. Gedeggoo ḳupeḳ la loḳ hir keröng yoh vu sir bedevo vu yi. Goor, geḳele niḳegwi reggu nivesa sën denenër arëj nebë praginsëj los mur. 
MAT.2.12	Log Anutu vo pesepsën vu sir loḳ buk bë su nah deberup vu Herot, lom deyoh aggata ngwë medeyah medeya bej.
MAT.2.13	Deya ggovek, log Mehöböp yi angër ti yam vu Yosep benër vu yi loḳ pesepsën bë, “Kwedi gweḳo hurmahen luho ata jaḳ, meġebeya meġena Ejep. In Herot vonġin sero hurmahen bengis yi nadiiḳ.” 
MAT.2.14	Lob Yosep kedi meḳo hurmahen luho ata raḳ loḳ buk beya Ejep. 
MAT.2.15	Lob ya denedo sagu rot beya verup loḳ buk sën Herot diiḳ. Devonġ nebë saga lob ġaġek sën Mehöböp vonġ verup mehö-nenër-ġaġek-ranġahsën avi lo anon raḳ nebë:
MAT.2.15	“Sa tahi naluġ vu Ejep yam.”
MAT.2.16	Rëḳ Herot raḳ ni bë alam los kwaj böp saga dekuung in yi, lob ahë sengën panġsën rot, bevonġ alam la deya Betlehem los nyëġ mahen mahen sën neggëp dus vu lo, bedesis hurmahen maluh pin bedediiḳ. Sir sën ataj nahën neḳo sir lo rot, beya verup loḳ sën hir nġebek netu luu raḳ lo, yoh vu buk sën alam los kwaj böp denër vu Herot bë delë betuheng nyëdahis lo. 
MAT.2.17	Lom mehö-nenër-ġaġek-ranġahsën Yeremia yi ġaġek sën kevu meneggëp lo anon raḳ. Sënë nebë:
MAT.2.18	“Aye ti dedun vu nyëġ Rama.
MAT.2.18	Nesu los nenġeeḳ böpata.
MAT.2.18	Rakel nesu in nalu lo,
MAT.2.18	medenahubin yi, rëḳ ma gesu yoh vu rë.
MAT.2.18	In nalu lo su denedo rë, gaḳ malaj ma.”
MAT.2.19	Herot diiḳ ggovek, lom mëm Mehöböp yi angër ti yam tato yi vu Yosep ggëp Ejep loḳ pesepsën, 
MAT.2.20	menër vu yi bë, “Kwedi gweḳo hurmahen luho ata jaḳ meġenah Israel hir dob. In alam sën bë dengis hurmahen lo dediiḳ.”
MAT.2.21	Lob Yosep kedi meḳo hurmahen luho ata raḳ, beyah Israel hir dob. 
MAT.2.22	Rëḳ nġo bë Arkelaus loḳ yah ama Herot ben betu alam Yudea hir mehö-los-bengö lob ggöneng in yi besu ya sagu rë. Rëḳ Anutu vo pesepsën vu Yosep in tato aggata vu yi, lob ya los distrik Galilea. 
MAT.2.23	Ya nedo nyëġ ti arë nebë Nasaret. Lom alam-denenër-ġaġek-ranġahsën hir ġaġek lo anon raḳ. Sën denër bë:
MAT.2.23	“Rëḳ denanër yi nabë yi Nasaret ti.”
MAT.3.1	Vu buk saga mehö-neripek-alam Jon verup nedo nyëġ-yumeris ggëp Yudea hir dob, benenër ġaġek bë, 
MAT.3.2	“Ham gweġin ham in Nyëġ-yaġek-yi vonġin anon jaḳ.” 
MAT.3.3	Jon saga sën Anutu vonġ ġaġek raḳ yi verup mehö-nenër-ġaġek-ranġahsën Yesaya avi nebë:
MAT.3.3	“Mehöti aye neraḳ loḳ nyëġ-yumeris bë,
MAT.3.3	‘Ham bolinin Mehöböp yi aggata,
MAT.3.3	meham sesor begëp niröp.’”
MAT.3.4	Jon sënë neröp röpröp ading sën denevasu raḳ kamër niviis lo, genevëh ḳabi neggëp balo. Genegga sepaaḳ los nenum beggoh netu yi nos. 
MAT.3.5	Lob alam Yerusalem losho alam nyëġ Yudea pin, galam pin sën denedo dus vu bël Yordan lo deneya vu yi. 
MAT.3.6	Bedenër hir nġaa nipaya ranġah geJon neripek sir luḳ bël Yordan. 
MAT.3.7	Loḳ Jon lë bë alam Parisai los alam Sadukai nġahi deyam vu yi in bë dejipek bël geving, lom nër vu sir bë, “Nyël nalu ham! Re nër vu ham bë ham beya in nyëvewen sën rëḳ natöḳ vu ham vu buk tamusën agi? 
MAT.3.8	Ham gwevonġ nġaa niröp noh vu sën ham wërin ayomin lo, in tato nabë ham wërin ham yönon. 
MAT.3.9	Ham su kwamin bo megweḳo ġaġek jaḳ nah menanër nabë Abraham yi mewis ham. Gaḳ sa nanër vu ham nabë Anutu yoh vu bë gevonġ ġelönġ sënë denatu Abraham yi mewis. 
MAT.3.10	Yönon, in ḳoov nevu nevaleḳ ḳele ġeġa meneggëp vorot, in ḳele pin sën su denesis anoj nivesa rë lo, saga rëḳ dengap bedegetë jaḳ na nengwah.
MAT.3.11	Sa naripek ham raḳ bël mu, in bë ham gwërin ham. Gaḳ mehö los niwëëk ti kesuu sa rëḳ tamuin sa menam, lob sa su mehö niġ vesa yoh vu in bë sa natu yi hur ti menaḳah vaha suu vër rë. Mehö sënë rëḳ basuh ham begevonġ Anon Vabuung vu ham vahi gegevonġ benengwah ga ham vahi. 
MAT.3.12	Jom yi savor loḳ ya nema vorot in tetëhin ḳale ḳale na in yi wit ġahis, gengupin jaḳ na jök-wit-yi. Gaḳ ḳale ḳale saga, og rëḳ besi jaḳ na nengwah sën medo netum degwata lo.”
MAT.3.13	Nebë sënë lob Yesu vu Galilea meluḳ meya bël Yordan vu Jon, in bë Jon jipek yi. 
MAT.3.14	Rëḳ Jon nërin yi bë, “Bë ġejipek sa og mëm nivesa, ma nebë va sën ġeyam vu sa-ë?” 
MAT.3.15	Rëḳ Yesu nër yah vu yi bë, “Ġenaḳööḳ galu dahun hil gesepa doḳ Anutu yi aggata nabë sënë rë loḳ mëm.” Lob Jon yoġekin yi ġaġek beripek yi.
MAT.3.16	Yesu ripek bël ggovek geraḳ yom roneḳ, lob pevis beyaġek tateḳin yi, gelë Anutu yi Anon Vabuung ni nebë soḳ nuung ti beluḳ yam nare raḳ yi. 
MAT.3.17	Log ġaġek ti yam vu yaġek bë, “Yiḳ sa naluġ sënë sën sahëġ neving yi los halë yi nivesa lo!”
MAT.4.1	Ggovek saga log Anon Vabuung li Yesu raḳ meya nyëġ-yumeris in Satan pelëpin yi. 
MAT.4.2	Yesu su gga nos rë genedo meris buk geranġah mehödahis luu, lom diiḳahë. 
MAT.4.3	Lob mehö-pelëpinsën-ala ya menër vu yi bë, “Bë Anutu nalu honġ, og ġenanër ġelönġ sënë denatu brët!” 
MAT.4.4	Rëḳ Yesu nër yah vu bë, “Ġaġek neggëp loḳ Anutu-yi-ḳapiya bë:
MAT.4.4	‘Nos mu su yoh vu bë gevonġ bemehönon demedo vesaj rë, gaḳ yiḳ ġaġek pin sën neverup raḳ Anutu avi lo nejom ahon ving.’”
MAT.4.5	Loḳ Satan ḳo yi beluho deya nyëġ vabuung Yerusalem, beḳo yi raḳ ya dub-vabuung-böp yu vavunë, log nër vu yi bë, 
MAT.4.6	“Bë Anutu Nalu honġ, og gwetë honġ na dob, in ġaġek neggëp loḳ Anutu-yi-ḳapiya bë:
MAT.4.6	‘Rëḳ gevonġ yi angër lo nam degeġin honġ nivesa.’
MAT.4.6	Log ġaġek ngwë nër bë:
MAT.4.6	‘Rëḳ detabuu honġ doḳ nemaj gesu rëḳ ġengis vaham jaḳ ġelönġ rë.’”
MAT.4.7	Loḳ Yesu nër yah vu yi bë, “Ġaġek ngwë neggëp loḳ Anutu-yi-ḳapiya ving nebë:
MAT.4.7	‘Su ġeseggi Mehöböp sën honġ Anutu.’”
MAT.4.8	Loḳ tum Satan ḳo yi meluho deya ḳedu ading ti, beya tato nyëġ dob pin los mehönon pin gehir nġaa nivesa vesa pin vu yi, 
MAT.4.9	log nër vu bë, “Bë ġengun lup vu sa los gweḳo sarëġ jaḳ, og sëḳ dëëin nġaa los arë arë pin sënë nök vu honġ!” 
MAT.4.10	Rëḳ Yesu nër yah vu bë, “Satan! Gweḳo honġ jaḳ meġena! Ġaġek neggëp loḳ Anutu-yi-ḳapiya nebë:
MAT.4.10	‘Yiḳ gweḳo Mehöböp sën honġ Anutu lo jaḳ, beġeġurek yi yö timu babu!’”
MAT.4.11	Lob Satan veya in Yesu meya, gangër yam deneloḳ vu yi.
MAT.4.12	Deduu Mehö-neripek-alam Jon ahon beya nedo ḳarabus, beYesu nġo bengö lom tah yi yah distrik Galilea. 
MAT.4.13	Loḳ vuu Nasaret geya nedo Kapernaum sën neggëp nġaggee böp Galilea nenga beneggëp ya los alam Sebulon los Naptali hir dob lo. 
MAT.4.14	Ya saga lob ġaġek sën mehö-nenër-ġaġek-ranġahsën Yesaya nër lo anon raḳ nebë:
MAT.4.15	“Alam Sebulon los alam Naptali hir dob,
MAT.4.15	ggëp aggata sën neya los nġaggee Galilea vu bël Yordan nenga vahi sagu.
MAT.4.15	GeGalilea hir dob vahi sën alam dahis yam denedo loḳ lo.
MAT.4.16	Nengwah-tumsën böpata jëh raḳ alam sën denedo
MAT.4.16	loḳ malaḳenu ayo lo!
MAT.4.16	Denedo loḳ nyëġ malaḳenu sagi bebë denadiiḳ bemalaj nama na,
MAT.4.16	loḳ Ranġah raḳ in sir!”
MAT.4.17	Vu buk saga Yesu ḳo yi huk raḳ benër ġaġek ranġah bë, “Ham gweġin ham! In Nyëġ-yaġek-yi vonġin anon jaḳ.”
MAT.4.18	Yesu neyoh nġaggee böp Galilea nenga, lom töḳ vu Simon sën denenër arë ngwë nebë Pita lo luho ari Andreas, geluho medo denetë leḳ luḳ ya nġaggee in bë degeḳo ġël, in yiḳ luho yö hir huk sagi. 
MAT.4.19	Lob Yesu nër vu luho bë, “Melu nam sepa sa natu sa hur besa tahu meluu in melu gweḳo mehönon denam vu sa nabë sën melu neḳo ġël agi.” 
MAT.4.20	Lob pevis beluho devuu hir leḳ geya desepa yi melööho deya.
MAT.4.21	Lööho deya beya deverup, lob lë mehöti luho ari, Yakobus luho ari Jon sën Sebedi nalu luho. Luho raḳ denedo yaġ ving amaj Sebedi, medenejoo hir leḳ vepulsën yah. Loḳ Yesu tahi luho, 
MAT.4.22	lob luho devuu amaj los yaġ ya pevis geya desepa yi.
MAT.4.23	Log Yesu yoh vu distrik Galilea pin benër ġaġek vu alam loḳ dub-supinsën-yi. Nër Bengö Nivesa raḳ Anutu-yi-nyëġ, gevonġ balam hir niraḳsën aggagga pin nivesa raḳ. 
MAT.4.24	Lob Yesu bengö ya meyoh vu distrik Suria pin, lom deḳo alam sën nij raḳ aggagga los alam sën nij nesanġ lo, galam sën memö nipaya nevonġ sir lo, galam sën bedo nevesi sir lo, galam sën seḳëj neselönġin lo pin, medeya vu yi mevonġ benijvesa neraḳ. 
MAT.4.25	Lob alam nġahiseḳë vu distrik Galilea los Begganġ-bu-nemadluho gevu nyëġ böp Yerusalem los distrik Yudea pin, gevu bël Yordan vahi yi, bedesepa yi medeya.
MAT.5.1	Yesu lë alam nġahiseḳë denesupin sir, lom raḳ ya ḳedu ti meto nedo, geyi hur maluh deya vu yi, 
MAT.5.2	lom tateḳin ġaġek vu sir nebë sënë:
MAT.5.3	“Alam sën deraḳ ni bë su nijvesa rë lo, kwaj vesa,
MAT.5.3	in detu Anutu-yi-alam berëḳ demedo nivesa doḳ yi nyëġ.
MAT.5.4	Alam sën ayoj maggin in nġaa nipaya sën nedo dob lo, kwaj vesa,
MAT.5.4	in Anutu rëḳ gevonġ mayoj nivesa.
MAT.5.5	Alam sën denedahun arëj lo, kwaj vesa,
MAT.5.5	in rëḳ dob ala sir.
MAT.5.6	Alam sën ahëj ving rot bë degevonġ nġaa niröp mu nebë sën alam dediiḳahëj in nos lo, kwaj vesa,
MAT.5.6	in Anutu rëḳ gevonġ banon jaḳ benajom sir ahon.
MAT.5.7	Alam sën kwaj paya in alam vahi bedeneloḳ vu sir lo, kwaj vesa,
MAT.5.7	in Anutu rëḳ gevonġ doḳ nah vu sir nabë.
MAT.5.8	Alam sën ayoj neggëp niröp rot lo, kwaj vesa,
MAT.5.8	in rëḳ degelë Anutu.
MAT.5.9	Alam sën denevonġ in bë dedahun beġö na lo, kwaj vesa,
MAT.5.9	in Anutu rëḳ nanër nabë nalu sir.
MAT.5.10	Alam sën deneḳo maggin in denesepa loḳ nġaa niröp los yohvu lo, kwaj vesa,
MAT.5.10	in detu Anutu-yi-alam berëḳ demedo nivesa doḳ yi nyëġ.
MAT.5.11	Alam rëḳ depelë ham gedegevonġ rii jaḳ ham gedenanër ġaġek nipaya kuungsën aggagga jaḳ ham in denelë bë sa alam ham, rëḳ mu mëm ham kwamin vesa. 
MAT.5.12	Ham ayomin nivesa bekwamin vesa anon, in ham nyëvewen rëḳ gëp yaġek, in denevonġ nebë saga vu alam-denenër-ġaġek-ranġahsën wirek.”
MAT.5.13	“Ham nebë dob sënë yi mamireng. Rëḳ mamireng bë nimöḳ jaḳ, og rëḳ hil ġevonġ benengën jaḳ nah nabë va? Mamireng nebë saga hen huk ma, om hil ġetë na balam debaḳë duḳ dob. 
MAT.5.14	Geham nebë dob sënë yi ranġah. Nyëġ ti bë medo jaḳ ḳedu, og su yoh vu bë bun yi rë. 
MAT.5.15	Gemehöti su netaggi loḳ ram menetunġ ggevek ya dëg ayo rë. Ma rot. Gaḳ mu netunġ raḳ nedo reek vavunë in bë natum jaḳ alam pin sën denedo begganġ ayo lo. 
MAT.5.16	Om ham najëh jaḳ alam pin malaj nabë saga, lob rëḳ degelë nġaa nivesa sën ham nevonġ lo, lob rëḳ degeḳo ham Amamin sën nedo yaġek lo arë jaḳ.”
MAT.5.17	“Ham su kwamin bo nabë seyam in dahun Moses yi horek los alam-denenër-ġaġek-ranġahsën hir ġaġek na. Gaḳ ma. Sa su yam in bë dahun na rë, gaḳ seyam in bë tateḳin degwa beġevonġ banon jaḳ. 
MAT.5.18	Sa nanër vu ham yönon nabë Anutu su rëḳ dëëin ġaġek metes teka, ma nyë dus ti sën neggëp loḳ horek-ë, begeto megëp rë. Gaḳ yö rëḳ gëp nabë sënë rot, bena berup doḳ buk sën yaġek los dob nama na, gAnutu yi ġaġek pin anon jaḳ rë. 
MAT.5.19	Om bë mehöti keyëh ġaġek dus ti doḳ horek sënë betahu alam bedegevonġ noh vu sën nër lo, og Anutu rëḳ nanër yi gëp Nyëġ-yaġek-yi nabë mehö tamusën veröḳ-yi. Gaḳ alam sën denesepa loḳ horek sënë bedenetateḳin vu alam medenero lo, og rëḳ Anutu nanër sir vu Nyëġ-yaġek-yi nabë sir böp. 
MAT.5.20	Om sa nanër vu ham nabë: Bë ham su sepa doḳ Anutu yi horek bekwesuu alam-horek-yi los alam Parisai rë, og ham su yoh vu bë rëḳ doḳ na Nyëġ-yaġek-yi rë.”
MAT.5.21	“Ham nġo ġaġek sën neggëp vu alam hib wirek lo ggovek nebë, ‘Su ġengis mehönon denadiiḳ’. Mehöti bë ngis mehö ngwë menadiiḳ, og rëḳ geḳo nyëvewen doḳ nah. 
MAT.5.22	Gaḳ sa, og sa nanër vu ham nabë: Mehöti bë ahë sengën vu ari, og rëḳ geḳo nyëvewen doḳ nah. Log bë mehöti nanër ġaġek nipaya jaḳ ari, og rëḳ bare kaunsor mala in debo nyëvewen vu yi doḳ nah. Log mehöti bë nanër ngwë nabë, ‘Kwam ma!’ og rëḳ duḳ na nengwah vu Nyëġ-nipaya megeḳo nyëvewen doḳ nah.
MAT.5.23	Nebë saga lob bë gweḳo honġ seriveng in gwetunġ jaḳ na jepö gëp dub vabuung, loḳ kwam bo nabë melu arim ham ġaġek ti neggëp, 
MAT.5.24	og gwevuu honġ seriveng bemedo jepö degwa, geġena vu arim bemelu semu ġaġek govek rë, loḳ mëm ġenom gwetunġ honġ seriveng vu Anutu. 
MAT.5.25	Mehöti bë gevonġ ġaġek vu honġ, lob melu nahën neyök aggata, meneya vu jaas sën nenġo ġaġek lo, og ġepevis bemelu semu ġaġek doḳ ti. In rëḳ getunġ honġ doḳ na jaas nema, lob jaas getunġ honġ doḳ na ahëvavu nemaj, lob ahëvavu degetunġ honġ doḳ na ḳarabus. 
MAT.5.26	Sa nanër vu honġ yönon nabë su rëḳ gwetah honġ vër in ḳarabus pevis rë, gaḳ rëḳ ġemedo rot bena berup doḳ buk sën honġ nyëvewen govek na los dahis lo.”
MAT.5.27	“Ham nġo ġaġek sënë neggëp wirek nebë, ‘Su gwevonġ baggëb’. 
MAT.5.28	Gaḳ sa, og sa nanër vu ham nabë: Bë maluh ti gelë avëh ti bayo gurekin yi, og saga nebë nevonġ baggëb vu avëh saga loḳ ayo ggovek ya.
MAT.5.29	Om nabë malam ġahis vesa gevonġ benġaa nipaya kepë honġ, og maam ġeselupek vër megwetë na. Nabë navim len timu mala nama, og mëm nivesa, in su degetë navim pin doḳ na Nyëġ-nengwah-yi. 
MAT.5.30	Log nabë nemam vesa vonġ benġaa nipaya kepë honġ, og maam kwetöv megwetë na. Nabë navim len timu mala nama, og mëm nivesa, in su degetë navim pin doḳ na Nyëġ-nengwah-yi.”
MAT.5.31	“Alam hib wirek hir ġaġek ngwë neggëp nebë, ‘Nabë mehöti nidëlin venë, og bo ḳapiya-vepulsën-yi vu yi’. 
MAT.5.32	Gaḳ sa, og sa nanër vu ham nabë: Avëh ti su nevonġ baggëb rë rëḳ regga nidëlin yi, og mehö saga vonġ bevenë vonġ baggëb, om degwa neggëp vu yi. Gemehöti bë geḳo avëh sën regga nilëlin yi lo, og mehö saga vonġ baggëb vu avëh sënë.”
MAT.5.33	“Log ham nġo ġaġek ngwë neggëp vu alam hib wirek nebë, ‘Nabë ham nanër ġaġek los nanër yönon vavunë geving, og ham su gwekuung jaḳ, gaḳ ham gwevonġ noh vu gëp Anutu mala’. 
MAT.5.34	Gaḳ sa, og sa nanër vu ham nabë: Ham su nanër yönon vavunë. Ma rot. Geham su tato yaġek in alam dejaḳ ham ġaġek ni nabë yönon! Gaḳ yö nama rot, in ġaġek saga luho yönon vavunë neggëp ti. In yaġek saga og yiḳ vonġ bë Anutu yi sëa sën nedo raḳ lo. 
MAT.5.35	Geham su tato dob in alam dejaḳ ham ġaġek ni nabë yönon, gaḳ yö nama rot, in ġaġek saga luho yönon vavunë neggëp ti. Gedob og yiḳ vonġ bë Anutu yi sëa mahen sën nebë vaha raḳ lo. Geham su tato nyëġ böp Yerusalem in alam dejaḳ ham ġaġek ni nabë yönon! Gaḳ yö nama rot, in ġaġek saga luho yönon vavunë neggëp ti. GeYerusalem saga og yiḳ Mehöböp-los-bengö yi nyëġ. 
MAT.5.36	Gesu ġetato yum in alam dejaḳ honġ ġaġek ni nabë yönon, gaḳ yö nama rot, in ġaġek saga luho yönon vavunë neggëp ti. In su ġeyoh vu bë gwevonġ yum viis ti natu veroo ma veriik jaḳ rë. 
MAT.5.37	Om nabë ġengoġekin nġaa, og ġengoġekin niröp, rëḳ mu nabë kwam bo nabë ‘Ma!’, og ġenanër ranġah nabë ‘Ma!’ Beyiḳ ggovek. Gaḳ bë ham nanër yönon vavunë geving, og sagaḳ Mehö Nipaya yi nġaa.”
MAT.5.38	“Ham nġo ġaġek sënë neggëp wirek nebë, ‘Bë mehöti selupek malam vër, og ġeselupek hen vahi doḳ nah, genabë mehöti getur nevum vër, og gwetur hen ti doḳ nah’. 
MAT.5.39	Gaḳ sa, og sa nanër vu ham nabë: Mehöti bë gevonġ paya vu ham, og ham su bo doḳ nah vu yi. Ti bë petap honġ doḳ nengam vesa, og ġepeggirin nengam ḳëj bepetap geving. 
MAT.5.40	Genabë mehöti vonġin bë geḳo honġ na vu jaas sën genġo ġaġek lo, in nakah honġ röpröp vër, og ġebo honġ röpröp-ayööng-yi vu yi geving. 
MAT.5.41	Genabë mehö los arë ti nanër vu honġ nabë gweḳo yi ḳupeḳ bemelu na aggata dus ti rë, og gweḳo meġena dus ngwë geving. 
MAT.5.42	Nabë mehöti ketaġ nġaa ti vu honġ, og ġebo vu. Gemehöti bë ketaġ nabë geḳo honġ nġaa ti mena rëḳ geḳo nom, og su gweruu demim vu yi.”
MAT.5.43	“Ham nġo ġaġek sënë neggëp wirek nebë, ‘Ham ahëmin geving ham alam, geham ngis beġö vu alam sën denesis beġö vu ham lo’. 
MAT.5.44	Gaḳ sa, og sa nanër vu ham nabë: Ham ahëmin geving alam sën denesis beġö vu ham lo, geham najom jaḳ in alam sën denedeġinengin nġaa maggin raḳ ham lo. 
MAT.5.45	Ham gwevonġ nabë saga in tato nabë ham Amamin sën nedo yaġek lo nalu ham. Yi sën nevonġ beyi hes netum raḳ alam nij paya los alam nijvesa pin, genevonġ hob neto vu alam yohvu los alam sevöḳ sevöḳ lo. 
MAT.5.46	Bë ham ahëmin geving alam sën ahëj neving ham lo mu, og ham su rëḳ gweḳo nyëvewen jaḳ rë. Ma! In nġaa nebë saga og yiḳ alam nij paya pin lo denevonġ. 
MAT.5.47	Genabë ham nġo bengwënġ in ham arimin lo mu, og yiḳ alam dahis pin denevonġ nebë saga medenedo, om ham vonġ nġaa böp tena kesuu sir-a? 
MAT.5.48	Om ham nġo medo yö niröp anon, nabë sën ham Amamin vu yaġek yö nedo niröp anon.”
MAT.6.1	“Ham gweġin ham. Ham su gwevonġ ham nġaa nivesa vesa jaḳ alam malaj medegelë. Bë ham gwevonġ nabë saga, og ham Amamin sën nedo yaġek lo su rëḳ gevonġ nyëvewen vu ham rë. 
MAT.6.2	Bë ġedoḳ vu alam sën deneraḳ vu in nġaa lo, og su gwevonġ mehönon degevë avuuḳ los degeḳo ḳapah medenamuġin log ġetamu nabë alam kwaj luu sën denevonġ loḳ dub-supinsën-yi los aggata in bë alam degeḳo arëj jaḳ lo. Sa nanër vu ham yönon nabë deḳo hir nyëvewen ggovek ya raḳ saga, gaḳ su rëḳ denatöḳ vu nyëvewen ngwë vu tamusën rë. 
MAT.6.3	Nabë ġedoḳ vu alam-ḳupeḳ-masën, og nemam ḳëj su jaḳ nġaa sën nemam vesa nevonġ lo ni, 
