MAT.1.1	Ya ra taa yang listaan yang mga kinaampu ni Jesu-Cristo. Tanya sasang kanubli ni Adi David
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	2. Ti Adi Solomon ang yay ipinangana yang sasang baw̱ay ang ya ra rin ay dating kasawa ni Urias
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	3. Ti Adi Roboam
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	4. Ti Adi Abias
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	5. Ti Adi Asa
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	6. Ti Adi Josafat
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	7. Ti Adi Joram
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	8. Ti Adi Ozias
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	9. Ti Adi Jotam
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	10. Ti Adi Acaz
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	11. Ti Adi Ezequias
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	12. Ti Adi Manases
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	13. Ti Adi Amon
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	14. Ti Adi Josias ang yay apu na Adi Jeconias
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Mag̱impisa tung uras ang atiing pangkel tung nira ang asta tung pagkapangana tung ni Jesus, sam puluk si may epat ang esleb yang mga kinaampu ni Jesu-Cristo:
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	1. Ti Adi Jeconias
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	2. Ti Salatiel
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	3. Ti Zorobabel
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	4. Ti Abiud
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	5. Ti Eliakim
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	6. Ti Azor
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	7. Ti Sadoc
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	8. Ti Aquim
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	9. Ti Eliud
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	10. Ti Eleazar
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	11. Ti Matan
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	12. Ti Jacob
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	13. Ti Jose ang kasawa ni Maria ang yay nangana tung ni Jesus
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	14. Ti Jesus ang ya ra ka man yang pag̱aningen ang Cristo, bilang yang Mananapnay ang pinangakuan yang Dios.
MAT.1.17	Kapurisu mag̱impisa pa tung ni Abraham ang asta ra tung ni Adi David, may sam puluk da may epat ang esleb yang mga kinaampu ni Jesu-Cristo, ig mag̱impisa pa tung ni Adi David ang asta tung uras ang atiing pangkel tung mga masigka Israel tang kadaklan duun tung Babilonia, may sam puluk si ka may epat ang esleb ig mag̱impisa pa tung uras ang atiing pagpaelak tung nira duun tung Babilonia ang asta ra ilem tung pagkapangana tung pag̱aningen ang Cristo, sam puluk si ka may epat ang esleb.
MAT.1.18	Maning taa yang nainabu tung pag̱ingtau ni Jesu-Cristo. Atiing pagbinalay pa ilem ti Jose may ti Mariang yay mag̱ing nanay na, baklu nagkakasawaan, nasapuan da ang ti Maria pala pagmatung da. Ug̱aring yang pagmaratungun na belag̱an ang ya nga tengdanay ta tau, kung indi, natetenged ilem tung kagaeman yang Espiritu Santo. 
MAT.1.19	Simanyan ti Joseng naang binalay na, kumus luyut dang luyut pagbuat yang magkatama ang usuy tung mga katuw̱ulan, dapat da rin ang magpaintindi tung mga usgadu. Ingkasu ilem anday gustu nang pakaeyakan yang binalay na. Purisu anday dumung kinaw̱ut yang isip na, pakiblag̱an na ra ilem tung sikritu. 
MAT.1.20	Simanyan atiing nag̱apainu-inuan na ta mupia kung ya pa ag̱aring tumanen na yang planu nang atia, may sasang angil ang tinuw̱ul yang Dios ang ya ray nagpaita tung anya tung talakinepen na. Mag̱aning tung anya, “Jose, yawang sasang kanubli ni Adi David, india ra magpadua-duang magpadayun ang mangasawa tung ni Maria, ay nagmatung da tanya natetenged ilem tung kagaeman yang Espiritu Santo. 
MAT.1.21	Kung mangana ra nganing, yang ipangana na sasang lalii ang ya ray paaranan mu tung ni Jesus kipurki ya ray magpaluas tung mga masigkanasyun na tung pagpakirepen nira tung pagpakasalak nira,” mag̱aning.
MAT.1.22	Taa numanyan yang tanan ang atia nagkamaningan da ka man ug̱ud asan da magkamatuud yang sasang ipinaula yang Dios tung sasang manigpalatay yang bitala na atiing tukaw ang mag̱aning,
MAT.1.23	“May sasang daralang magmatung ang andang pisan ay laliing masaplid tung anya. Yang ipangana na lalii ang ya ray guuyan tung ni Emmanuel,” mag̱aning.
MAT.1.23	Yang linegdangan yang aran nang atia ya taa: yang Dios pagpakiunung da tung yaten ang mga tau.
MAT.1.24	Taa numanyan atiing pagkapuaw ni Jose, tinuman na ra yang ibinitala tung anya yang angil ang atiang tinuw̱ul yang Dios. Dinayunan na rang pinangasawa ti Maria. 
MAT.1.25	Ug̱aring indi ra kanay nagpakidalan tung ni kasawa na ang asta ra ilem kinaw̱ut yang pagkapangana na tung ana nang lalii. Pagkapangana na ra tung anya, ya ray pinaaranan ni Jose tung ni Jesus.
MAT.2.1	Taa numanyan ti Jesus duun da ipanganaay tung lansangan ang Betlehem tung sinakepan yang Judea. Natuun tung paggaraemen ni Adi Herodes. Pagkatapus tung pira pang bulan, may namagkaw̱ut dang mga tau duun tung Jerusalem ang mga manigpintu tung mga sinyalis yang mga dumakel. Yang banwang pinanliitan nira ampir duun tung mururaan. 
MAT.2.2	Pagkaw̱ut nira, dayun dang namanalimaan-talimaan tung mga tau ang mag̱aning, “Ay ra kaya ipanganaay yang sasang mula ang yay maggaraemen tung numyung mga Judio? Ay naita ra yamen yang sasang dumakel ang tuminla ampir duun tung mururaan ang ya ray sinyalis ang dineep yamen ang tanya ipinangana ra. Purisu ya ra ka man taang inangay yamen taa ang para magluurami tung katalungaan na,” mag̱aning. 
MAT.2.3	Numanyan pagkagngel ni Adi Herodes yang balita natetenged tung itinalimaan yang mga manigpintung atia, ya ray pinagliwag̱an ta mupia yang isip na pati yang mga isip yang dakeleng mga tau duun tung Jerusalem. 
MAT.2.4	Purisu pinagpaguuyan na yang tanan ang mga paring arabubwat ta katengdanan tung nasyun ang Israel pati mga sag̱ad tung pinanubli tung mga kinaampu. Tung pagkasagpun nira, dayun na rang tinalimaan ang mag̱aning, “Tung nagkaraula yang mga manig̱ula ming tukaw, ay pa unung banwaay ipanganaay yang pag̱aningen ang Cristo?” ag̱aaning. 
MAT.2.5	Mag̱aning tanirang namagtimales, “Duun unu ipanganaay tung Betlehem tung sinakepan yang Judea. Ay maning taa yang bitala yang Dios ang ipinasulat na tung sasang manig̱ula yamen:
MAT.2.6	‘Yang lansangan ang Betlehem duun tung sinakepan yang Judea, maskin gesyeng lansangan ka man kung ikumpalar pa tung kadaklan, piru ya pay telengan ta abwat natetenged duun manliit yang sasang magmangulu tung mga tauanung mga Israel,’ mag̱aning
MAT.2.7	Pagkagngel ni Adi Herodes tia, dayun dang nagpaguuy tung mga bisitang atiang mga manigpintu ang para magkeresen tanira ang tanira tanira ra ilem. Atiing pagkeresen nira, pinasadsaran na ta mupia tung nira kung sanu pa enged yang primirung pagtela yang dumakel ang atiing naita nira. 
MAT.2.8	Pagkaintindi na, dayun na rang ipinaangay tanira duun tung Betlehem ang pinag̱aning, “Paawatan mi enged ang sagyapen yang mulang atii kung ay ra. Ug̱aring kung masagyapan mi ra nganing, magpakdekamu ka taa tung yeen ug̱ud pati yuu mangayaw ra ka duun tung anyang magluud tung katalungaan na,” ag̱aaning. 
MAT.2.9+MAT.2.10	Pagkagngel nira yang inaning yang Adi, dayun dang namagliit. Numanyan tung pagparanawen nira, duun si ka tuminla yang dumakel ang atiing naita nira atiing primirung pagtela na duun tung banwa nira ampir tung mururaan. Pagkatingara nira, pinangampayan da ta kasadyaan nirang duru. Ya ra ka man ay pinasikaran nira ang asta napatagbu ra tung pagtiniran yang mula. 
MAT.2.11	Numanyan pagpakled nira tung balay, naita ra nira yang mula durua ni Mariang nanay na. Pagkatapus dayun dang namansiluud tung katalungaan yang mula. Pagkatapus pag̱abri nira yang mga bebtangan nira, ipinampalua ra nirang irinigalu tung anya yang mga bulawan may yang duruang klasi ta paamut ang mga mamaalen ang yang sam bilug magkaanggid-anggid tung kamangyan ang yang sam bilug ka ya ray pag̱aningen nirang mira. 
MAT.2.12	Taa numanyan pinagpaamanan yang Dios tung talakinepen nira ang indi ra tanira mamagbalik tung ni Adi Herodes. Purisu tung pag̱ulik nira tung banwa nira, aparti rang dalanay yang pinanawan nira.
MAT.2.13	Taa numanyan atiing namagliit da yang mga manigpintung atia, naa pala may angil si ang tinuw̱ul yang Dios ang ya ray nagpaita tung ni Jose tung talakinepen na ang mag̱aning, “Jose, bangun da! Eklan mu ra yang mulang mag̱ina ang palibriamu ra duun tung Egipto. Duunamu ra kanay magtinir mintras indi pag kaw̱utun yang uras ang ipagpaskeu tung nuyu. Ay yang mula talagang ipasagyap da ni Adi Herodes ug̱ud ipaimatay na,” mag̱aning. 
MAT.2.14	Purisu anday duma, pagbangun ni Jose, dayun na rang ingkelan yang mulang mag̱ina ang namagliit dang lag̱i atiing law̱iing atii ang para mamagdistinu ra duun tung Egipto. 
MAT.2.15	Pagkaw̱ut nira duun, duun da kanay namagtinir ang asta napatay ra ilem ti Adi Herodes. Nagkamaningan da ta maning tia ug̱ud asan da magkamatuud yang sasang ipinaula yang Dios tung sasang manigpalatay yang bitala na atiing tukaw ang mag̱aning,
MAT.2.15	“Guuyanu yang pag̱aningenung anaw ang magliit da duun tung Egipto,” mag̱aning
MAT.2.16	Ibaliku ra kanay tung ni Adi Herodes atiing indi ra binalikan yang mga manigpintu
MAT.2.17	Duun da nagkamatuud yang sasang ibinitala ni Jeremias ang yay sasang manigpalatay yang bitala yang Dios ang tukaw ang mag̱aning,
MAT.2.18	“May tinangit dang nag̱agngel duun tung lansangan ang Rama. May pamagtarangiten dang pamag̱urulimengmengen. Kuari nagbangun da ti dipunta Raquel
MAT.2.19	Taa numanyan, atiing napatay ra ti Adi Herodes, yang angil ang atiing nagpaaman tung ni Joseng magpalibri, ya si ay tinuw̱ul yang Dios ang magpaita tung anya tung talakinepen na duun tung Egipto. 
MAT.2.20	Mag̱aning tung anya, “Jose, bangun da! Eklan mu ra yang mulang mag̱ina ang mulikamu ra duun tung baw̱anwaan ming Israel, ay patay ra yang nagbalak ang magpaimatay ra rin tung mula,” ag̱aaning. 
MAT.2.21	Purisu anday duma, pagbangun ni Jose, dayun na rang ingkelan yang mulang mag̱ina ang nansiulik da ka man duun tung baw̱anwaan nirang Israel. 
MAT.2.22	Piru atiing nabalitaan na ra ang ti Arquelao ya ray nagsubli tung pagkaadi ni tatay nang ti dipuntu Adi Herodes duun tung sinakepan yang Judea, inleran dang mag̱istar duun. Numanyan dayun sing pinapanalakinep ang uman yang Dios ang pinaske kung unu pay dapat ang buaten na. Purisu dayun dang lag̱ing nagliit ang minangay duun tung sinakepan yang Galilea. 
MAT.2.23	Duun da nagtinir tung sasang lansangan ang maggug̱uuyan ang Nazaret. Nagkamaningan da ta maning tia ug̱ud asan da magkamatuud yang sasang naula yang mga manigpalatay yang bitala yang Dios atiing tukaw natetenged tung pag̱aningen ang Cristo ang tanya unu mag̱ing tag̱a Nazaret
MAT.3.1+MAT.3.2	Taa numanyan may pira rang takun baklu ra naglua ti Juan ang manigbenyag tung banwang palag-palag yang tau na duun tung sinakepan yang Judea. Duun da nagparakaw̱utun tung mga tau ang mag̱aning, “Manlignaamu ra tung mga kasalanan mi, ay kinaw̱ut da yang uras ang ipagpundar yang Dios yang paggaraemen nang baklu tung yaten,” mag̱aning. 
MAT.3.3	Ay ti Juan ang naa ya ra yang ipinaula yang Dios tung ni Isaias ang tukaw ang mag̱aning,
MAT.3.3	“May sasang taung magparakaw̱utun tung mga tau duun tung banwang kapas ta maning taa: ‘Katulad ka tung pagsirimpanen tung sasang dalan ang panawan ta sasang Adi ang yag tadlengay, kaministiran kang simpanen mi ra ka ta mupiang tadlengen yang mga kinaisipan mi ang para magpauyunamu ra tung ni Ginuu tang magkakaw̱ut da,’ mag̱aning
MAT.3.4	Ti Juan ang naa yang aw̱el na
MAT.3.5	Taa numanyan yang mga tau sigi-siging pamag̱arangayan duun tung ni Juan. May mga tag̱a Jerusalem, may mga tag̱a maskin ay pang lugaray tung sinakepan yang Judea, may mga tag̱a subang atiang pag̱aningen ang Jordan ang magtirimbang tung tindak may tindak. 
MAT.3.6	Numanyan kumpurming tinu pay nangamin yang mga kasalanan na tung Dios, ya ra kay binenyag̱an na duun tung subang atia.
MAT.3.7	Numanyan pagkaita ni Juan tung mga pamagmangulung nag̱aguuyan tung mga Pariseo may tung mga Saduseo ang duru rang pamansiangay tung anya ang para mampabenyag da ka rin, diritsyu rang pinag̱aning na ang, “Yang kaalimbawaan mi maningamu ra ilem tung mga iraw ang pamagpalibri tung kirib ang nag̱asiruk. Naa pala, pati yamu nag̱aisipamu ra kang magpalibri tung sintinsiang ipadangat yang Dios! 
MAT.3.8	Kaministiran bakluamu ra nga benyag̱ayu kung may pruibang ipinaita mi tung mga ubra-ubra mi ang talagang nanlignaamu ra ka man ang matuud tung mga kasalanan mi. 
MAT.3.9	Indiamu ra ka maglaum ang kumus yamu mga kanubli ni Abraham, indiamu siguru sakpen yang sintinsia nang atia. Uay, maski yang mga batung atia, iugtulu tung numyu, sarangan ang papag̱ingtauen yang Dios ang para buaten nang mga kanubli ni Abraham. 
MAT.3.10	Yang sintinsia nang atia, maski nganing simanyan, yang kaalimbawaan na maning pa tung sasang parakul ang nabiw̱at dang ipatpa ra ilem tung kapungul yang sasang ayu. Kumpurming unu pang ayuay ang belag̱an matinlu yang burak na, ya ray pelaren ang sirukun tung apuy. 
MAT.3.11	Tung bag̱ay may katengdananu ka man ang magpamenyag tung numyu taa tung wai ang naa ang para asan da nga papruibaay mi ang nanlignaamu ra ka man ang matuud tung mga kasalanan mi. Piru may sasang taung nag̱auri pa tung yeen ang mas abwat ta katengdanan tung yeen, ang basin nganing tung pamitbit da ilem yang sandalyas na
MAT.3.12	Yang kaalimbawaan na maning pa tung sasang taung pag̱ekel ta linung magkaap yang paray ang gineyek na. Yang timlat ya ray ipabtang na tung tambuw̱u na. Piru yang kaap ya ray sirukun na tung apuy ang anda enged ay kapugdaw-pugdawan na,” ag̱aaning duun ti Juan.
MAT.3.13	Taa numanyan, ti Jesus nagliit da tung Galilea ang minangay duun tung ni Juan ug̱ud magpabenyag da ka tung anya duun tung subang atiang pag̱aningen ang Jordan
MAT.3.14	Piru tung pagkaw̱ut na tung ni Juan, tinag̱aman da rin ni Juan ang sambengen. Mag̱aning tung anya, “Abaa yuuy may kaministiranung magpabenyag tung nuyu, piru yawa pa pala ay magpabenyag tung yeen?” ag̱aaning. 
MAT.3.15	Mag̱aning ti Jesus ang minles, “Kung tung bag̱ay, Juan, tama ka rin tiang nuyu. Piru simanyan ang mga uras ang naa, kaministiran ang magpauyuna ra ilem tung yeen. Ay tung maning tia, matuman ta ra yang kumpurming unu pay nag̱ipatuman yang Dios tung yaten,” ag̱aaning. Atii baklu pa nagpauyun ti Juan ang nagbenyag tung anya. 
MAT.3.16	Atiing nagpabenyag da ti Jesus, dayun dang nagpatakas. Pagkatakas na, ya ray natingara na yang langit ang gulpi ra ilem ang nag̱abri tung tagbu na ang pagkatapus ya ray naita na yang Espiritu Santong napapariu ra tung kuari kalapati ang paparanek da ang asta nangapun da tung anya. 
MAT.3.17	Pagkatapus may busis ang liit tung langit ang mag̱aning, “Atia ra yang pag̱aningenung anaw ang nag̱apabuyukanu ta gegmaw ay ya ra kang lag̱i ay nag̱auyunanu ta mupia,” mag̱aning.
MAT.4.1	Taa numanyan ti Jesus minanguluan da yang Espiritu Santong pinapanaw duun tung banwang kapas ug̱ud duun da kanay tag̱amay ni Satanas ta tuksu. 
MAT.4.2	Numanyan tung seled epat ang puluk ang kaldaw, law̱iig kaldaw, namlek da tung pagparanganen na ang para mabilug na yang isip na tung pag̱irintindien na tung Dios. Purisu yang pinakaw̱ut na nasuw̱uk da. 
MAT.4.3	Atii, pinalengtan da yang kanunuksu ang inaning, “Kung matuud ang yawa ka man yang pag̱aningen ang Ana yang Dios, abir, lalangan mu ra yang mga batung atiang mamagyari rang tinapay,” mag̱aning. 
MAT.4.4	Mag̱aning ti Jesus ang nagtuw̱al, “Aa, indiaw, kipurki may sasang bitala yang Dios ang napabtang tung kasulatan ang belag̱an ilem unu pamangan ay impurtaen yang sasang tau ang para tung ikalayun na, kung indi, yang mas pa unung impurtaen na ya ra unu yang kumpurming unu pay bitala ang nag̱ianing yang Dios,” ag̱aaning
MAT.4.5	Pagkatapus tia, ti Jesus ingkelan da ni Satanas duun tung Jerusalem ang yay pag̱aningen ta mga tau ang siudad ang sagradu. Duun eklay na tung sagpaw enged yang pagtuuan tung Dios ang atiang pinakalusu. 
MAT.4.6	Mag̱aning si tung anya, “Kung matuud ang yawa ka man yang pag̱aningen ang Ana yang Dios, abir, pabugsua ra asan. Tutal may sasang bitala tung kasulatan ang patuw̱ulana ra unu yang Dios tung mga angil nang pabantayan. Sarepena ra ka unu nira ug̱ud indi ra ka matigbak yang kakay mung tempa tung kabatuan,” ag̱aaning
MAT.4.7	Mag̱aning ti Jesus ang nagtimales, “Ee, tama ka rin yang inulit mung atia, piru may dumang bitala tung kasulatan ang dapat unu indiaw magtag̱am ta ingaw̱us tung ni Yawi ang ya unu ay Dios ang may kalalangan tung yeen,” ag̱aaning
MAT.4.8	Utru si, dayun dang ingkelan ni Satanas duun tung bukid ang durug abwat. Ipinaita na tung anya yang tanan ang inadian tung bilug ang kaliw̱utan pati yang katitinlu nira. 
MAT.4.9	Mag̱aning tung anya, “Yang tanan ang atii luw̱us ang ipakdulu tung nuyu basta magluura ra ilem taa tung yeen ang magtuu,” ag̱aaning. 
MAT.4.10	Dayun da kang binalesan ni Jesus ang inaning, “Paaw̱ig̱a ra ilem taa, Satanas, kipurki may bitala tung kasulatan ang anda unu ay dumang luuranung tuuan, kung indi, ultimu ilem ti Yawi ang yay Dios ang may kalalangan tung yeen,” ag̱aaning
MAT.4.11	Pagkatapus tia, dayun dang nagliit ti Satanas tung anya. Pagliit na, asan da namansilput yang mga angil ang namag̱asikasu tung mga kaministiran ni Jesus.
MAT.4.12	Taa numanyan atiing pagkabalita ni Jesus ang ti Juan ang manigbenyag dineep dang ipinakalabus, dayun dang nagliit ang nanganing duun tung sinakepan yang Galilea. 
MAT.4.13	Pagkaw̱ut na duun tung lansangan ang Nazaret, indi nagpakeen duun, kung indi, tung pagtaklib yang pira pang kaldaw, nagpadayun da yang pagparanawen na ang para duun da magdistinu tung lansangan ang Capernaum ug̱ud duun da kanay mag̱istar. Yang lansangan ang atia nabtang tung binit yang aw̱uyuk ig lug̱ud ka tung banwang ipinagparti-parti atiing tukaw tung mga kanubli ni Zabulon may ni Neftali
MAT.4.14	Nagkamaningan da ta maning tia ug̱ud asan da magkamatuud yang sasang ipinaula yang Dios ang tukaw tung ni Isaias ang sasang manigpalatay na ang mag̱aning,
MAT.4.15+MAT.4.16	“Yang mga taung pamag̱istar duun tung banwang ipinagparti-parti atiing tukaw tung mga kanubli ni Zabulon may ni Neftali ampir duun tung aw̱uyuk pati duun tung duw̱ali yang subang Jordan, asta duun tung Galilea ang yay nag̱aistaran yang mga taung belag̱an mga Israel, maskin nag̱akiklepan ka man yang mga kinaisipan nira, piru may maita nirang maning pa tung sasang kaas ang durug sadlaw. Maskin alalawid ka man tanira tung Dios ang maning pa tung patay tung pagterelengen na, piru magkaratingkalan da ka enged yang sadlaw yang maning pa tung kaas ang atia,” mag̱aning
MAT.4.17	Taa numanyan, mag̱impisa pa tung pagpakalabus tung ni Juan, ti Jesus ya si kay nagparakaw̱utun tung mga tau ang maning taa: “Manlignaamu ra tung mga kasalanan mi, ay kinaw̱ut da yang uras ang ipagpundar yang Dios yang paggaremen nang baklu tung numyu,” mag̱aning.
MAT.4.18	Taa numanyan atiing pagbakay ni Jesus tung aw̱uyuk ang atiang lug̱ud tung sinakepan yang Galilea, naita na ti Simon duruang mag̱ari ni Andres ang pamanlaman ta ian ay tanira mga manig̱ian. 
MAT.4.19	Mag̱aning ti Jesus tung nira, “Magpakignunutamu ra tung yeen ang magpaugyat. Dati-rati yang mag̱aeklan mi ian. Piru numanyan ugyatanamu ra ka yeen kung ay pa ag̱aring maeklan mi yang mga kinaisipan yang mga tau ang basi pa ra ilem malelyag da kang magpaugyat tung yeen,” ag̱aaning. 
MAT.4.20	Numanyan lag̱i-lag̱ing binutwanan da nira yang mga laman nira ang namagpakignunut tung anya.
MAT.4.21	Numanyan matukaw-tukaw tanira na Jesus ta gesye, naita na ti Santiago duruang mag̱ari ni Juan ang yay mga ana ni Zebedeo. Asan tanira tung balangay nirang pamag̱eet yang mga laman nira, kasiraan da ka tanira ni tatay nira. Pagkaita ni Jesus tung nirang durua, dayun na rang inimbitar ang mamagpakignunut da tung anyang mamagpaugyat. 
MAT.4.22	Atii, lag̱i-lag̱ing binutwanan da nira yang balangay nira may ti tatay nira ang namagpakignunut da ka tung anya.
MAT.4.23	Taa numanyan nagliliw̱utun da ti Jesus tung intirung sinakepan yang Galilea. Nag̱intra ra pagturuldukanen tung mga tau ang kada mamagsaragpun-sagpun tung nira nirang mga pagsaragpunan. Nagparakaw̱utun da dayun tung nira yang sasang matinlung balita ang yang Dios mag̱impisa rang magtukud yang paggaraemen nang baklu tung mga tau. Pati yang mga taung may mga laru nira, pinampamaayen na ra ka, maskin unu pang laruay. 
MAT.4.24	Purisu nagsarambung da yang balita tung intirung banwang atii ang asta duun tung sinakepan yang Siria
MAT.4.25	Purisu buntun dang pisan yang mga taung namagpakignunut da tung anya. May asan dang mga tag̱a Galilea, may asan da kang mga tag̱a Sampuluk NGa Lansanganan, may asan da kang mga tag̱a siudad ang Jerusalem, may asan da kang mga tag̱a Judea, may asan da kang mga tag̱a duw̱ali yang subang Jordan.
MAT.5.1	Numanyan pagkaita ni Jesus tung mga taung atiang buntun, napatungul da ta gesye tung napabukatud ang kuminarung ay magturuldukanen da tung nira. Tung pagkarung na, dayun dang pinalengtan yang mga taung atiang pamagpaugyat da kang lag̱i tung anya. 
MAT.5.2	Numanyan nag̱impisa rang nagturuldukanen tung nira ang maning taa:
MAT.5.3	“Teed mi tia agkatinlu yang nag̱abtangan yang mga taung kumpurming nakapasan dang pisan ta magtalig̱an nira tung mga sadili nira! Ay yang nag̱ikatinlu na asan, laket da tanira tung mga taung pamagpagaem tung Dios.
MAT.5.4	Teed mi tia agkatinlu yang nag̱abtangan yang mga taung kumpurming pagsug̱at tung mga kasalanan nira ang asta nag̱ipanangit da ilem nira. Ay kipurki yang nag̱ikatinlu na asan, taniray linga-lingaen da yang Dios.
MAT.5.5	Teed mi tia agkatinlu yang nag̱abtangan yang mga taung kumpurming mapinagparanek. Ay kipurki yang nag̱ikatinlu na asan, taniray pakinaw̱angen yang Dios tung kaayenan ang pinangakuan na tung mga tauan na
MAT.5.6	Teed mi tia agkatinlu yang nag̱abtangan yang mga taung indi ra temegka kung indi ra tumanen nira yang magkatama tung pagterelengen yang Dios ang maning pa tung sasang taung puirti ra yang kasusubkun na ubin pagsinti ra ta puirting kakanalen na. Ay kipurki yang nag̱ikatinlu na asan, taniray papsawen yang Dios tung nag̱alelyag̱an nirang atia.
MAT.5.7	Teed mi tia agkatinlu yang nag̱abtangan yang mga taung kumpurming mainildawen tung mga masigkatau nira. Ay kipurki yang nag̱ikatinlu na asan, tanira ra kay ildawan yang Dios.
MAT.5.8	Teed mi tia agkatinlu yang nag̱abtangan yang mga taung kumpurming bilug yang mga isip nira tung Dios ang anday dumang pag̱asikad nira, kung indi, ya ra ilem yang kalelyag̱an na. Ay kipurki yang nag̱ikatinlu na asan, taniray maita tung anya tung uri.
MAT.5.9	Teed mi tia agkatinlu yang nag̱abtangan yang mga taung kumpurming matinaw̱angen tung mga aruman nirang pagsuayan ang para mag̱inulikay ra. Ay kipurki yang nag̱ikatinlu na asan, taniray agkaw̱ig̱en da yang Dios ang mga ana na natetenged parariu tanira ta pag̱asikad.
