GEN.1.1	Nang 
GEN.5.1	Ito ang aklat ng mga lahi ni Adam. Nang araw na lalangin ng Dios ang tao, 
GEN.5.3	At nabuhay si Adam ng isang daan at tatlong pung taon, at nagkaanak 
GEN.5.4	At ang mga 
GEN.5.5	At ang lahat na araw na ikinabuhay ni Adam ay siyam na raan at tatlong pung taon; at 
GEN.5.6	At nabuhay si Set ng isang daan at limang taon 
GEN.5.7	At nabuhay si Set pagkatapos na maipanganak si Enos ng walong daan at pitong taon; at nagkaanak ng mga lalake at mga babae:
GEN.5.8	At ang lahat na naging araw ni Set ay siyam na raan at labing dalawang taon: at siya'y namatay.
GEN.5.9	At nabuhay si Enos ng siyam na pung taon, at naging anak si Cainan:
GEN.5.10	At nabuhay si Enos, pagkatapos na maipanganak si Cainan, ng walong daan at labing limang taon; at nagkaanak ng mga lalake at mga babae:
GEN.5.11	At ang lahat na naging araw ni Enos ay siyam na raan at limang taon, at siya'y namatay.
GEN.5.12	At nabuhay si Cainan ng pitong pung taon, at naging anak si Mahalaleel:
GEN.5.13	At nabuhay si Cainan, pagkatapos na maipanganak si Mahalaleel, ng walong daan at apat na pung taon, at nagkaanak ng mga lalake at mga babae:
GEN.5.14	At ang lahat na naging araw ni Cainan, siyam na raan at sangpung taon, at namatay.
GEN.5.15	At nabuhay si Mahalaleel ng anim na pu't limang taon, at naging anak si Jared:
GEN.5.16	At nabuhay si Mahalaleel, pagkatapos na maipanganak si Jared, ng walong daan at tatlong pung taon, at nagkaanak ng mga lalake at mga babae:
GEN.5.17	At ang lahat na naging araw ni Mahalaleel ay walong daan at siyam na pu't limang taon: at namatay.
GEN.5.18	At nabuhay si Jared ng isang daan at anim na pu't dalawang taon, at naging anak si 
GEN.5.19	At nabuhay si Jared, pagkatapos na maipanganak si Enoc, ng walong daang taon, at nagkaanak ng mga lalake at mga babae:
GEN.5.20	At ang lahat na naging araw ni Jared ay siyam na raan at anim na pu't dalawang taon: at namatay.
GEN.5.21	At nabuhay si Enoc na anim na pu't limang taon, at naging anak si Matusalem:
GEN.5.23	At ang lahat na naging araw ni Enoc ay tatlong daan at anim na pu't limang taon:
GEN.5.24	At lumakad si Enoc na kasama ng Dios: at di siya 
GEN.5.25	At nabuhay si Matusalem ng isang daan at walong pu't pitong taon; at naging anak si Lamec:
GEN.5.26	At nabuhay si Matusalem pagkatapos na maipanganak si Lamec, ng pitong daan at walong pu't dalawang taon; at nagkaanak ng mga lalake at mga babae;
GEN.5.27	At ang lahat na naging araw ni Matusalem ay siyam na raan at anim na pu't siyam na taon: at siya'y namatay.
GEN.5.28	At nabuhay si Lamec ng isang daan at walong pu't dalawang taon, at nagkaanak ng isang lalake:
GEN.5.29	At tinawag ang kaniyang pangalan na Noe, na sinabi, Ito nga ang aaliw sa atin tungkol sa ating gawa at sa pinagpagalan ng ating mga kamay, dahil sa lupang 
GEN.5.30	At nabuhay si Lamec, pagkatapos na maipanganak si Noe, ng limang daan at siyam na pu't limang taon, at nagkaanak ng mga lalake at mga babae:
GEN.5.31	At ang lahat na naging araw ni Lamec ay pitong daan at pitong pu't pitong taon: at namatay.
GEN.5.32	At si Noe ay may limang daang taon: at naging anak ni Noe si Sem, si Cham, at si Japhet.
GEN.6.1	At nangyari, nang magpasimula na dumami ang mga tao sa balat ng lupa, at mangagkaanak ng mga babae,
GEN.6.2	Na nakita ng mga anak ng Dios, na magaganda ang mga anak na babae ng mga tao; at sila'y 
GEN.6.3	At sinabi ng Panginoon, 
GEN.6.4	Ang mga higante ay nasa lupa ng mga araw na yaon, at pagkatapos din naman na makasiping ang mga anak ng Dios sa mga anak na babae ng tao, at mangagkaanak sila sa kanila: ang mga ito rin ang naging makapangyarihan nang unang panahon na mga lalaking bantog.
GEN.6.5	At nakita ng Panginoon na mabigat ang kasamaan ng tao sa lupa, 
GEN.6.7	At sinabi ng Panginoon, Lilipulin ko ang tao na aking nilalang sa ibabaw ng lupa; ang tao at gayon din ang hayop, at ang mga umuusad at ang mga ibon sa himpapawid; sapagka't pinagsisisihan ko na aking nilalang sila.
GEN.6.8	Datapuwa't si Noe ay 
GEN.6.9	Ito ang mga lahi ni 
GEN.6.10	At nagkaanak si Noe ng tatlong lalake: si Sem, si Cham, at si Japhet.
GEN.6.11	At sumama ang lupa sa harap ng Dios, at ang lupa ay napuno ng karahasan.
GEN.6.13	At sinabi ng Dios kay Noe, 
GEN.6.14	Gumawa ka ng isang sasakyang kahoy na gofer; gagawa ka ng mga silid sa sasakyan, at iyong sisiksikan sa loob at sa labas ng sahing.
GEN.6.15	At ganitong paraan gagawin mo: tatlong daang siko ang haba ng sasakyan, limang pung siko ang luwang, at tatlong pung siko ang taas.
GEN.6.16	Gagawa ka ng isang durungawan sa sasakyan; at wawakasan mo ng isang siko sa dakong itaas; at ang pintuan ng sasakyan ay ilalagay mo sa tagiliran; gagawin mong may lapag na lalong mababa, pangalawa at pangatlo.
GEN.6.18	Datapuwa't pagtitibayin ko ang aking tipan sa iyo; 
GEN.6.19	At sa bawa't nangabubuhay, sa lahat ng laman ay maglululan ka sa loob ng sasakyan ng 
GEN.6.20	Sa mga ibon ayon sa kanikanilang uri, at sa mga hayop ayon sa kanikanilang uri, sa bawa't nagsisiusad, ayon sa kanikanilang uri, dalawa sa bawa't uri, ay isasama mo sa iyo, upang maingatan silang buhay.
GEN.6.21	At magbaon ka ng lahat na pagkain na kinakain, at imbakin mo sa iyo; at magiging pagkain mo at nila.
GEN.7.1	At sinabi ng Panginoon kay Noe, 
GEN.7.2	Sa bawa't malinis na 
GEN.7.3	Gayon din naman sa mga ibon sa himpapawid tigpipito, ng lalake at ng babae; upang ingatang binhing buhay sa ibabaw ng buong lupa.
GEN.7.4	Sapagka't pitong araw pa, at pauulanan ko na ang ibabaw ng lupa ng 
GEN.7.6	At may anim na raang taon si Noe nang ang baha ng tubig ay dumagsa sa ibabaw ng lupa.
GEN.7.7	At lumulan sa sasakyan si Noe at ang kaniyang mga anak, at ang kaniyang asawa, at ang mga asawa ng kaniyang mga anak, dahil sa tubig ng baha.
GEN.7.8	Sa mga hayop na malinis, at sa mga hayop na hindi malinis, at sa mga ibon at sa bawa't umuusad sa ibabaw ng lupa,
GEN.7.9	Ay dalawa't dalawang dumating kay Noe sa sasakyan, na lalake at babae ayon sa iniutos ng Dios kay Noe.
GEN.7.10	At nangyari na pagkaraan ng pitong araw, na ang tubig ng baha ay umapaw sa ibabaw ng lupa.
GEN.7.11	Sa ikaanim na raang taon ng buhay ni Noe, nang ikalawang buwan, sa ikalabing pitong araw ng buwan, nang araw ding yaon, ay nangasira ang 
GEN.7.12	At umulan sa ibabaw ng lupa ng apat na pung araw at apat na pung gabi.
GEN.7.13	Nang araw ding yaon, ay lumulan sa sasakyan si Noe, at si Sem, at si Cham, at si Japhet, na mga anak ni Noe, at ang asawa ni Noe, at ang tatlong asawa ng kaniyang mga anak na kasama nila;
GEN.7.14	Sila, at ang bawa't hayop 
GEN.7.16	At ang mga nagsilulan, ay lumulang lalake at babae, ng lahat na laman, 
GEN.7.18	At dumagsa ang tubig at lumaking mainam sa ibabaw ng lupa; at lumutang ang sasakyan sa ibabaw ng tubig.
GEN.7.19	At dumagsang lubha ang tubig sa ibabaw ng lupa: at inapawan ang lahat na mataas na bundok na nasa silong ng buong langit.
GEN.7.20	Labing limang siko ang lalim na idinagsa ng tubig; at inapawan ang mga bundok.
GEN.7.22	Ang bawa't may 
GEN.7.23	At nilipol ang bawa't may buhay na nasa ibabaw ng lupa, ang tao at gayon din ang hayop, at ang mga umuusad at ang mga ibon sa himpapawid; at sila'y nalipol sa lupa: 
GEN.7.24	At tumagal ang tubig sa ibabaw ng lupa, ng isang daan at limang pung araw.
GEN.8.1	At 
GEN.8.3	At humupang patuloy ang tubig sa lupa; at kumati ang tubig pagkaraan ng isang 
GEN.8.4	At sumadsad ang sasakyan nang ikapitong buwan, nang ikalabing pitong araw ng buwan, sa ibabaw ng mga bundok ng 
GEN.8.5	At ang tubig ay nagpatuloy ng paghupa hanggang sa ikasangpung buwan: nang ikasangpung buwan, nang unang araw ng buwan, ay nakita ang mga taluktok ng mga bundok.
GEN.8.6	At nangyari, pagkaraan ng apat na pung araw, na binuksan ni 
GEN.8.7	At siya'y nagpalipad ng isang uwak, at ito'y nagparoo't parito hanggang sa natuyo ang tubig sa lupa.
GEN.8.8	At nagpalipad siya ng isang kalapati, upang tingnan kung humupa na ang tubig sa ibabaw ng lupa.
GEN.8.9	Datapuwa't hindi nakasumpong ang kalapati ng madapuan ng talampakan ng kaniyang paa, at nagbalik sa kaniya sa sasakyan, sapagka't ang tubig ay nangasa ibabaw pa ng buong lupa: at iniunat ang kaniyang kamay at hinawakan, at ipinasok niya sa sasakyan.
GEN.8.10	At naghintay pa ng muling pitong araw; at muling pinalipad ang kalapati sa labas ng sasakyan;
GEN.8.11	At ang kalapati ay nagbalik sa kaniya ng dakong hapon; at, narito't may dalang isang dahong sariwa ng olivo sa tuka: sa gayon ay naunawa ni Noe na humupa na ang tubig sa lupa.
GEN.8.12	At naghintay pang muli siya ng pitong araw; at pinalipad ang kalapati; at hindi na muling nagbalik pa sa kaniya.
GEN.8.13	At nangyari, nang taong ikaanim na raan at isa, nang unang buwan, nang unang araw ng buwan, ay natuyo ang tubig sa ibabaw ng lupa: at inalis ni Noe ang takip ng sasakyan at tumanaw siya, at, narito't ang ibabaw ng lupa ay tuyo.
GEN.8.14	At nang ikalawang buwan nang ikadalawang pu't pitong araw ng buwan, ay natuyo ang lupa.
GEN.8.15	At nagsalita ang Dios kay Noe, na sinasabi,
GEN.8.16	Lumunsad ka sa sasakyan, 
GEN.8.17	Ilabas mong kasama mo ang bawa't may buhay na kasama mo sa lahat ng laman, ang mga ibon, at ang mga hayop, at ang bawa't nagsisiusad na umuusad sa ibabaw ng lupa; upang magsipanganak ng sagana sa lupa, at 
GEN.8.18	At lumunsad si Noe, at ang kaniyang mga anak, at ang kaniyang asawa, at ang mga asawa ng kaniyang mga anak na kasama niya:
GEN.8.19	Ang bawa't hayop, bawa't umuusad, at bawa't ibon, anomang gumagalaw sa ibabaw ng lupa ayon sa kanikaniyang angkan ay nangagsilunsad sa sasakyan.
GEN.8.20	At ipinagtayo ni Noe ng isang dambana ang Panginoon; at kumuha sa lahat na malinis na hayop, at sa lahat na malinis na ibon, at nagalay ng mga handog na susunugin sa ibabaw ng dambana.
GEN.8.21	At sinamyo ng Panginoon ang masarap na 
GEN.8.22	Samantalang ang lupa ay lumalagi, ay hindi maglilikat ang paghahasik at pagaani, at ang lamig at init, at ang tagaraw at taginaw, 
GEN.9.1	At binasbasan ng Dios si Noe at ang kaniyang mga anak, at sa kanila'y sinabi, 
GEN.9.5	At tunay na hihingan ko ng sulit ang inyong dugo, 
GEN.9.7	At kayo'y magpalaanakin at magpakarami; magsilago kayo ng sagana sa lupa, at kayo'y magsidami riyan.
GEN.9.8	At nagsalita ang Dios kay Noe, at sa kaniyang mga anak na kasama niya, na sinasabi,
GEN.9.9	At ako, narito, 
GEN.9.10	At sa bawa't nilikhang may buhay na kasama ninyo, ang mga ibon, ang hayop at bawa't ganid sa lupa na kasama ninyo; sa lahat ng lumunsad sa sasakyan pati sa bawa't ganid sa lupa.
GEN.9.11	At aking 
GEN.9.12	At sinabi ng Dios, 
GEN.9.13	Ang 
GEN.9.14	At mangyayari, pagka ako'y magbababa ng isang alapaap sa ibabaw ng lupa, na makikita ang bahaghari sa alapaap.
GEN.9.16	At ang bahaghari ay pasa sa alapaap, at aking mamasdan, upang aking maalaala, ang walang hanggang tipan ng Dios at ng bawa't kinapal na may buhay sa lahat ng lamang nasa ibabaw ng lupa.
GEN.9.17	At sinabi ng Dios kay Noe, Ito ang tanda ng tipang inilagda ko 
GEN.9.18	At ang mga anak ni Noe na nagsilunsad sa sasakyan ay si 
GEN.9.19	Ang tatlong ito ay mga anak ni Noe: 
GEN.9.20	At nagpasimula si Noe na maging mangbubukid, at naglagay ng isang ubasan.
GEN.9.21	At uminom ng alak at nalango; at siya'y nahubaran sa loob ng kaniyang tolda.
GEN.9.22	At si Cham na ama ni Canaan ay nakakita ng kahubaran ng kaniyang ama, at isinaysay sa kaniyang dalawang kapatid na nangasa labas.
GEN.9.23	At kumuha si Sem at si Japhet ng isang balabal, at isinabalikat nilang dalawa, at lumakad ng paurong, at tinakpan ang kahubaran ng kanilang ama; at ang mukha nila ay patalikod, at hindi nila nakita ang kahubaran ng kanilang ama.
GEN.9.24	At nagising si Noe sa kaniyang pagkalango sa alak, at naalaman ang ginawa sa kaniya ng kaniyang bunsong anak.
GEN.9.25	At sinabi,
GEN.9.26	At sinabi niya,
GEN.9.26	Purihin ang Panginoon, ang Dios ni Sem!
GEN.9.26	At si Canaan ay maging alipin niya.
GEN.9.27	Pakapalin ng Dios si Japhet.
GEN.9.27	At matira siya sa mga tolda ni Sem;
GEN.9.27	At si Canaan ay maging alipin niya.
GEN.9.28	At nabuhay si Noe pagkaraan ng bahang gumunaw, ng tatlong daan at limang pung taon.
GEN.9.29	At ang lahat ng naging araw ni Noe ay siyam na raan at limang pung taon: at namatay.
GEN.10.1	Ito nga ang sali't saling lahi ng mga anak ni Noe: si Sem, si Cham, at si Japhet: at sila'y nangagkaanak pagkaraan ng bahang gumunaw.
GEN.10.3	At ang mga anak ni Gomer: si Azkenaz, at si Rifat, at si Togarma.
GEN.10.4	At ang mga anak ni Javan; si Elisa, at si 
GEN.10.5	Sa mga ito nangabahagi ang mga 
GEN.10.6	At 
GEN.10.7	At ang mga anak ni Cush; si Seba, at si Havila, at si Sabta, at si Raama, at si Sabtech: at ang mga anak ni Raama; si Sheba, at si Dedan.
GEN.10.8	At naging anak ni Cush si Nimrod: siyang napasimulang maging makapangyarihan sa lupa.
GEN.10.9	Siya'y makapangyarihang mangangaso sa harap ng Panginoon kaya't karaniwang sabihin: Gaya ni Nimrod, na makapangyarihang mangangaso sa harap ng Panginoon.
GEN.10.10	At ang pinagsimulan ng kaniyang kaharian ay ang 
GEN.10.11	Buhat sa lupaing yaon ay napasa Asiria at itinayo ang Ninive, at ang Rehobotir, at ang Calah,
GEN.10.12	At ang Ressen, sa pagitan ng Ninive at ng Calah (na siyang malaking bayan).
GEN.10.13	At naging anak ni Mizraim si Ludim, at si Anamim, at si Lehabim, at si Naphtuhim.
GEN.10.14	At si Pathrusim, at si Casluim 
GEN.10.15	At naging anak ni 
GEN.10.16	At ang Jebuseo, at ang Amorrheo, at ang Gergeseo;
GEN.10.17	At ang Heveo, at ang Araceo, at ang Sineo.
GEN.10.18	At ang Aradio, at ang Samareo at ang Amatheo: at pagkatapos ay kumalat ang mga angkan ng Cananeo.
GEN.10.19	At ang hangganan ng Cananeo ay mula sa Sidon, kung patungo sa Gerar, hanggang sa Gaza; kung patungo sa Sodoma at Gomorra, at Adma, at Zeboim hanggang Lasa.
GEN.10.20	Ito ang mga anak ni Cham, ayon sa kanikanilang angkan, ayon sa kanikanilang wika, sa kanikanilang mga lupain, sa kanilang mga bansa.
GEN.10.21	At nagkaroon din naman ng mga anak si Sem, na ama ng lahat ng mga anak ni Heber, na siya ring lalong matandang kapatid ni Japhet.
GEN.10.23	At ang mga anak ni Aram: si Uz, at si Hul, at si Gether, at si Mas.
GEN.10.24	At naging anak ni Arphaxad si 
GEN.10.26	At naging anak ni Joctan si Almodad, at si Sheleph, at si Hazarmavet, at si Jerah;
GEN.10.27	At si Hadoram, at si Uzal, at si Dicla.
GEN.10.28	At si Obal, at si Abimael, at si Sheba.
GEN.10.29	At si 
GEN.10.30	At ang naging tahanan nila ay mula sa Mesa, kung patungo sa Sephar, na siyang bundok sa silanganan.
GEN.10.31	Ito ang mga anak ni Sem, ayon sa kanikanilang angkan, ayon sa kanikanilang wika, sa kanikanilang lupain, ayon sa kanikanilang bansa.
GEN.10.32	Ito ang mga angkan ng mga anak ni Noe, ayon sa kanikanilang lahi, sa kanikanilang bansa: 
GEN.11.1	At ang buong lupa ay iisa ang wika at iisa ang salita.
GEN.11.2	At nangyari, na, sa kanilang paglalakbay sa silanganan, ay nakasumpong sila ng isang kapatagan sa 
