MAT.1.1	Oto rodowód Jezusa Chrystusa, pochodzącego z rodu króla Dawida, potomka Abrahama: 
MAT.2.18	bo już ich nie ma”.
MAT.2.19	Po śmierci Heroda anioł Pana ponownie ukazał się we śnie Józefowi, przebywającemu w Egipcie.
MAT.2.20	—Wstawaj, Józefie!—powiedział. —Weź Dziecko i Jego matkę i ruszajcie do Izraela, bo umarli już ci, którzy chcieli Je zabić.
MAT.2.21	Józef wstał, wziął Dziecko oraz Jego matkę i wyruszył do ziemi izraelskiej. 
MAT.2.22	W drodze dowiedział się, że w Judei panuje Archelaos, syn Heroda. Bał się więc tam wracać. Otrzymał jednak we śnie kolejne polecenie i udał się do Galilei. 
MAT.2.23	Tam osiedlił się w Nazarecie. I znowu spełniła się zapowiedź proroków, mówiąca, że Mesjasz będzie nazwany Nazarejczykiem.
MAT.3.1	W owych czasach na pustyni judejskiej rozpoczął działalność Jan Chrzciciel. 
MAT.3.2	Nawoływał:
MAT.3.2	—Opamiętajcie się, bo nadchodzi królestwo niebieskie!
MAT.3.3	To właśnie o nim mówił prorok Izajasz:
MAT.3.3	„Głos wołającego na pustyni:
MAT.3.3	Przygotujcie Panu drogę,
MAT.3.3	wyrównajcie przed Nim ścieżki!”.
MAT.3.4	Jan żył bardzo skromnie: nosił ubranie z wielbłądziej wełny oraz skórzany pas, żywił się szarańczą i leśnym miodem. 
MAT.3.5	Z Jerozolimy, z całej Judei i z doliny Jordanu przychodziły do niego tłumy. 
MAT.3.6	On zaś zanurzał w wodach Jordanu tych, którzy przyznawali się do swoich grzechów.
MAT.3.7	Zauważył jednak, że również wielu faryzeuszy i saduceuszy przychodzi się ochrzcić. Napominał więc ich:
MAT.3.7	—Przebiegłe węże! Kto wam powiedział, jak uciec przed nadchodzącą karą Boga?! 
MAT.3.8	Najpierw pokażcie poprzez wasze uczynki, że naprawdę się opamiętaliście! 
MAT.3.9	Nie oszukujcie się, powtarzając: „Jesteśmy potomkami samego Abrahama”. Zapewniam was, że Bóg może stworzyć potomków Abrahama nawet z tych kamieni! 
MAT.3.10	Siekiera Bożego sądu już jest przyłożona do pnia. I każde drzewo, które nie wydaje owocu, zostanie wycięte i rzucone w ogień. 
MAT.3.11	Ja was zanurzam w wodzie na znak opamiętania. Lecz niebawem nadejdzie Ktoś potężniejszy ode mnie. Ktoś, komu nie jestem nawet godzien nosić butów! On będzie was zanurzał w Duchu Świętym i w ogniu. 
MAT.3.12	On potrafi oddzielić plewy od ziarna i wszystko oczyścić—ziarno zbierze do magazynu, a plewy spali w niegasnącym ogniu.
MAT.3.13	W tym czasie Jezus opuścił Galileę i przyszedł nad Jordan, aby Jan mógł Go ochrzcić. 
MAT.3.14	Lecz ten sprzeciwiał się:
MAT.3.14	—To ja powinienem być zanurzony przez Ciebie! A Ty przychodzisz po chrzest do mnie?
MAT.3.15	—Uczyń to—odpowiedział mu Jezus—musimy bowiem wypełnić to, co należy.
MAT.3.15	Wtedy Jan zgodził się. 
MAT.3.16	Po zanurzeniu, Jezus od razu wyszedł z wody. Nagle otworzyło się niebo i ujrzał Ducha Bożego, który, jak gołąb, zstąpił w dół i spoczął na Nim. 
MAT.3.17	A z nieba rozległ się głos:
MAT.3.17	—Jesteś moim ukochanym Synem, moją największą radością!
MAT.4.1	Potem Duch Święty zaprowadził Jezusa na pustynię, gdzie miał być kuszony przez diabła. 
MAT.4.2	Przez czterdzieści dni i nocy nic nie jadł aż w końcu poczuł głód. 
MAT.4.3	Zbliżył się więc do Niego kusiciel i powiedział:
MAT.4.3	—Jeśli rzeczywiście jesteś Synem Bożym, rozkaż tym kamieniom, aby zamieniły się w chleb.
MAT.4.4	—Pismo uczy: „Nie tylko chlebem żywi się człowiek, ale również każdym słowem wypowiedzianym przez Boga”—odpowiedział Jezus.
MAT.4.5	Wtedy diabeł przeniósł Go do Jerozolimy—świętego miasta—i postawił na szczycie świątyni.
MAT.4.6	—Jeśli rzeczywiście jesteś Synem Bożym, skocz w dół—kusił. —Przecież Pismo mówi:
MAT.4.6	„Bóg rozkaże swoim aniołom,
MAT.4.6	aby chroniły Cię.
MAT.4.6	I będą Cię nosić na rękach,
MAT.4.6	abyś nie skaleczył nogi o kamień”.
MAT.4.7	—To samo Pismo uczy: „Nie będziesz wystawiał Boga na próbę”—odpowiedział Jezus.
MAT.4.8	W końcu diabeł zabrał Jezusa na wysoką górę i pokazał Mu wszystkie królestwa świata, w całym ich przepychu.
MAT.4.9	—Wszystko to będzie Twoje—powiedział—jeśli oddasz mi pokłon.
MAT.4.10	—Odejdź, szatanie!—rozkazał Jezus. —Pismo uczy: „Pokłon i cześć oddawał będziesz Bogu, swemu Panu, i tylko Jemu będziesz posłuszny”.
MAT.4.11	Wtedy diabeł odszedł, a zjawili się aniołowie i służyli Mu.
MAT.4.12	Po pewnym czasie Jezus dowiedział się, że aresztowano Jana Chrzciciela. Dlatego udał się do Galilei. 
MAT.4.13	Opuścił jednak Nazaret i przeniósł się nad jezioro do Kafarnaum, leżącego na terenach Zabulona i Neftalego. 
MAT.4.14	W ten sposób spełniło się proroctwo Izajasza:
MAT.4.15	„Ziemia Zabulona i ziemia Neftalego,
MAT.4.15	położone nad morskim szlakiem,
MAT.4.15	kraina za Jordanem i cała pogańska Galilea
MAT.4.16	—ten lud żyjący w ciemnościach,
MAT.4.16	ujrzał wielkie światło. Jasność rozbłysnęła wśród tych,
MAT.4.16	którzy żyli w krainie cienia i śmierci”.
MAT.4.17	Od tego czasu Jezus zaczął nauczać:
MAT.4.17	—Opamiętajcie się! Nadchodzi królestwo niebieskie!
MAT.4.18	Pewnego dnia, idąc brzegiem Jeziora Galilejskiego, zauważył dwóch braci, Szymona, zwanego Piotrem, i Andrzeja. Zarzucali sieci, bo byli rybakami.
MAT.4.19	—Chodźcie ze Mną!—zawołał do nich. —Uczynię was rybakami ludzi!
MAT.4.20	Bez wahania rzucili sieci i poszli z Nim. 
MAT.4.21	Nieco dalej zobaczył dwóch innych braci, Jakuba i Jana. Ze swoim ojcem, Zebedeuszem, siedzieli w łodzi i naprawiali sieci. Ich także zawołał, 
MAT.4.22	a oni poszli z Nim, zostawiając łódź i ojca.
MAT.4.23	Jezus przemierzał całą Galileę: nauczał w synagogach, głosił dobrą nowinę o królestwie oraz uzdrawiał chorych i cierpiących. 
MAT.4.24	Wieść o Nim rozeszła się aż po całej Syrii. Wkrótce zaczęto przyprowadzać do Niego wszystkich chorych, cierpiących z powodu różnych dolegliwości, zniewolonych przez demony, epileptyków i sparaliżowanych. A Jezus wszystkich uzdrawiał. 
MAT.4.25	Wszędzie towarzyszyły Mu ogromne tłumy ludzi przybyłych z Galilei, Dekapolu, Jerozolimy, Judei, a nawet z terenów za Jordanem.
MAT.5.1	Pewnego dnia Jezus, widząc gromadzące się wokół Niego tłumy, wszedł na wzgórze i usiadł. 
MAT.5.2	Uczniowie otoczyli Go, a On zaczął nauczać:
MAT.5.3	—Szczęśliwi ubodzy w duchu,
MAT.5.3	bo do nich należy królestwo niebieskie.
MAT.5.4	Szczęśliwi smutni,
MAT.5.4	bo zostaną pocieszeni.
MAT.5.5	Szczęśliwi cisi,
MAT.5.5	bo odziedziczą całą ziemię.
MAT.5.6	Szczęśliwi ci, którzy pragną sprawiedliwości,
MAT.5.6	bo zostaną nasyceni.
MAT.5.7	Szczęśliwi ci, którzy okazują innym miłość,
MAT.5.7	bo sami zostaną obdarzeni miłością.
MAT.5.8	Szczęśliwi ci, którzy mają czyste serce,
MAT.5.8	bo zobaczą samego Boga.
MAT.5.9	Szczęśliwi ci, którzy wprowadzają pokój,
MAT.5.9	bo zostaną nazwani dziećmi Boga.
MAT.5.10	Szczęśliwi prześladowani za prawość,
MAT.5.10	bo do nich należy królestwo niebieskie.
MAT.5.11	Macie ogromne szczęście,
MAT.5.11	gdy ludzie was znieważają, prześladują
MAT.5.11	i oczerniają z mojego powodu.
MAT.5.12	Cieszcie się i skaczcie z radości,
MAT.5.12	bo w niebie czeka was wielka nagroda.
MAT.5.12	Właśnie tak prześladowano kiedyś proroków Boga!
MAT.5.13	Jesteście solą tej ziemi! Lecz jeśli sól utraci swój smak, staje się bezwartościowa. Dlatego wyrzuca się ją na ścieżkę, gdzie zostaje podeptana przez ludzi. 
MAT.5.14	Jesteście światłem dla świata! Nie można ukryć miasta położonego na wzgórzu. 
MAT.5.15	Nie zapala się też lampy, aby ją zaraz zasłonić, ale stawia się ją na podwyższeniu, aby świeciła wszystkim, którzy są w domu. 
MAT.5.16	Wasze światło niech również świeci wszystkim ludziom, aby widzieli wasze dobre postępowanie i oddawali chwałę waszemu Ojcu w niebie.
MAT.5.17	Nie myślcie, że przyszedłem znieść Prawo Mojżesza albo pisma proroków. Nie znieść, ale wypełnić! 
MAT.5.18	Zapewniam was, że prędzej niebo i ziemia przestaną istnieć, niż zmieni się najmniejsza literka w Prawie—zanim wszystko zostanie do końca wypełnione. 
MAT.5.19	Jeśli więc ktoś usunąłby nawet najmniej ważne przykazanie Prawa i tak nauczał innych, będzie najmniej ważny w królestwie niebieskim. A kto sam wypełnia wszystko i uczy tego innych, będzie wielki w królestwie niebieskim. 
MAT.5.20	Ostrzegam was więc: jeśli wasza prawość nie będzie większa od prawości faryzeuszy i przywódców religijnych, nie wejdziecie do królestwa niebieskiego.
MAT.5.21	Słyszeliście, że powiedziano przodkom: „Nie zabijaj”, a kto zabije, pójdzie pod sąd. 
MAT.5.22	A ja wam mówię: Każdy, kto się na kogoś gniewa, pójdzie pod sąd! A kto nazywa go głupcem, stanie przed Wysoką Radą. A kto nazwałby go idiotą, zasługuje na ogień piekielny. 
MAT.5.23	Jeśli więc, przynosząc dar na ołtarz w świątyni, przypomniałbyś sobie, że ktoś ci coś zarzuca, 
MAT.5.24	zostaw swój dar przy ołtarzu i idź się pogodzić z tym człowiekiem. Potem wróć i złóż dar Bogu. 
MAT.5.25	Póki jest na to czas, staraj się polubownie załatwić sprawę ze swoim oskarżycielem. W przeciwnym bowiem razie sędzia cię skaże i zostaniesz wtrącony do więzienia. 
MAT.5.26	Zapewniam cię, że nie wyjdziesz stamtąd, aż spłacisz cały dług—co do grosza.
MAT.5.27	Słyszeliście, że w Prawie Mojżesza powiedziano: „Bądź wierny w małżeństwie”. 
MAT.5.28	A Ja wam mówię: Kto spogląda na kobietę i pożąda jej, w sercu już się dopuścił niewierności. 
MAT.5.29	Jeśli więc twoje prawe oko skłania cię do grzechu, wyłup je i odrzuć. Lepiej bowiem, gdy zginie jakaś część twojego ciała, niż byś z całym ciałem miał być wrzucony do piekła. 
MAT.5.30	I jeśli twoja prawa ręka skłania cię do grzechu, odetnij ją i odrzuć. Lepiej bowiem, gdy zginie jakaś część twojego ciała, niż byś z całym ciałem miał znaleźć się w piekle.
MAT.5.31	W Prawie Mojżesza powiedziano też: „Kto chce się rozwieść z żoną, niech jej wręczy dokument rozwodowy”. 
MAT.5.32	A Ja wam mówię: Kto rozwodzi się z żoną (z wyjątkiem przypadku rozwiązłości seksualnej), naraża ją na grzech niewierności. Kto zaś żeni się z rozwódką, również dopuszcza się grzechu niewierności małżeńskiej.
MAT.5.33	Słyszeliście również, że powiedziano przodkom: „Nie przysięgaj fałszywie, lecz dotrzymaj przysięgi danej Panu”. 
MAT.5.34	A Ja wam mówię: W ogóle nie przysięgajcie: ani na niebo—bo jest tronem Boga; 
MAT.5.35	ani na ziemię—bo jest Jego podnóżkiem; ani na Jerozolimę—bo jest miastem wielkiego Króla! 
MAT.5.36	Nawet na własną głowę nie przysięgaj—bo nie możesz jednego włosa uczynić białym lub czarnym. 
MAT.5.37	Mów prawdę: niech twoje „tak” znaczy „tak”, a „nie” znaczy „nie”. Każde oszustwo pochodzi od szatana.
MAT.5.38	Słyszeliście, że w Prawie Mojżesza powiedziano: „Oko za oko, ząb za ząb”. 
MAT.5.39	A Ja wam mówię: Nie rewanżujcie się za doznane zło! Jeśli ktoś cię obrazi, uderzając w policzek, nadstaw mu drugi. 
MAT.5.40	Jeśli ktoś chce się z tobą sądzić o koszulę, daj mu od razu i płaszcz. 
MAT.5.41	Jeśli ktoś cię zmusza, byś niósł mu bagaż kilometr, nieś mu i dwa. 
MAT.5.42	Daj temu, kto cię prosi, i nie odwracaj się od tego, kto chce od ciebie coś pożyczyć.
MAT.5.43	Słyszeliście, że powiedziano: „Kochaj przyjaciół, nienawidź wrogów”. 
MAT.5.44	A Ja wam mówię: Kochajcie waszych wrogów i módlcie się za tych, którzy was prześladują— 
MAT.5.45	tak postępują dzieci waszego Ojca w niebie. On bowiem sprawia, że słońce wschodzi dla dobrych i dla złych. A deszcz pada dla prawych i dla nieprawych. 
MAT.5.46	Czy sądzicie, że zasługujecie na nagrodę, bo kochacie tych, którzy was kochają? Czy nawet źli ludzie tak nie postępują? 
MAT.5.47	Jeśli jesteście mili tylko dla przyjaciół, w czym jesteście lepsi? Czy poganie tak nie postępują? 
MAT.5.48	Bądźcie więc doskonali, tak jak wasz Ojciec w niebie.
MAT.6.1	Uważajcie, by nie być dobrymi tylko na pokaz. Jeśli tak będziecie postępować, nie otrzymacie nagrody od waszego Ojca w niebie. 
MAT.6.2	Gdy obdarowujesz biednego, nie rozgłaszaj tego, jak to czynią obłudnicy w synagogach i na ulicach, by zyskać poklask u ludzi. Zapewniam was: oni teraz odbierają za to nagrodę. 
MAT.6.3	Wspierając potrzebującego, czyń to dyskretnie. Niech twoja lewa ręka nie wie, co robi prawa, 
MAT.6.4	aby twoja pomoc pozostała w ukryciu. A Ojciec twój, który wszystko widzi, nagrodzi cię.
MAT.6.5	Gdy się modlicie, nie zachowujcie się jak obłudnicy. Oni uwielbiają to robić w synagogach i na rogach ulic—na pokaz. Zapewniam was: już teraz odbierają za to nagrodę. 
MAT.6.6	Ty zaś zamknij się w swoim pokoju i módl się do Ojca, który wszystko widzi—On cię nagrodzi.
MAT.6.7	Nie róbcie z modlitwy paplaniny—jak poganie, którzy sądzą, że wysłuchanie ich próśb zależy od ilości wypowiedzianych słów. 
MAT.6.8	Nie bądźcie do nich podobni! Wasz Ojciec doskonale zna wasze potrzeby, zanim jeszcze Go o coś poprosicie! 
MAT.6.9	Zwracajcie się do Boga tak:
MAT.6.9	Nasz Ojcze w niebie,
MAT.6.9	niech Twoje święte imię będzie uwielbione!
MAT.6.10	Niech nadejdzie Twoje królestwo.
MAT.6.10	Niech Twoja wola wypełnia się
MAT.6.10	na ziemi tak, jak w niebie.
MAT.6.11	Zapewnij nam codzienny pokarm.
MAT.6.12	Przebacz nam nasze grzechy,
MAT.6.12	tak jak my przebaczamy tym,
MAT.6.12	którzy zawinili wobec nas.
MAT.6.13	Nie pozwól, byśmy ulegli pokusie
MAT.6.13	i wybaw nas od złego.
MAT.6.14	Jeśli bowiem wybaczycie innym ich zło, to i wam wybaczy wasz Ojciec w niebie. 
MAT.6.15	Lecz jeśli nie wybaczycie, i On wam nie wybaczy.
MAT.6.16	Gdy powstrzymujecie się od posiłków, nie róbcie tego na pokaz—jak obłudnicy, którzy starają się wyglądać ponuro i mizernie. Zapewniam was: oni już teraz odbierają za to nagrodę. 
MAT.6.17	Gdy więc pościsz, zadbaj o włosy i umyj twarz, 
MAT.6.18	by pokazać swój post Ojcu, a nie ludziom. On wszystko widzi i nagrodzi cię.
MAT.6.19	Nie gromadźcie bogactw tu, na ziemi, gdzie mogą ulec zniszczeniu lub zostać skradzione przez złodziei. 
MAT.6.20	Gromadźcie je w niebie—tam nic ich nie zniszczy i nikt się nie włamie, by je ukraść. 
MAT.6.21	Gdzie jest wasz skarb, tam będzie wasze serce.
MAT.6.22	Oko jest dla ciała jak lampa. Jeśli jest zdrowe, światło napełnia całe ciało. 
MAT.6.23	Jeśli jednak jest chore, całe ciało jest pogrążone w ciemnościach. Jeżeli więc twoje światło jest ciemnością, to jest to ciemność nieprzenikniona.
MAT.6.24	Nie da się lojalnie służyć dwóm panom. Albo jednego nienawidzisz, a drugiego kochasz, albo na odwrót—drugiego szanujesz, a pierwszego lekceważysz. Nie możecie równocześnie żyć dla Boga i dla pieniędzy!
MAT.6.25	Dlatego radzę wam: Nie martwcie się o swoje życie—o to, co będziecie jeść i pić, ani o ciało—w co się ubierzecie. Czy życie ogranicza się tylko do jedzenia, a ciało—tylko do ubrania? 
MAT.6.26	Spójrzcie na ptaki: Nie sieją ziarna, nie magazynują zapasów, a wasz Ojciec w niebie żywi je! Czy wy nie jesteście ważniejsi od ptaków? 
MAT.6.27	Czy ktokolwiek, poprzez zamartwianie się, potrafi przedłużyć swoje życie choćby o jedną chwilę? 
MAT.6.28	Dlaczego martwicie się o ubranie? Uczcie się od polnych kwiatów: Nie pracują i nie troszczą się o swój ubiór. 
MAT.6.29	A zapewniam was, że nawet król Salomon, w całym swym przepychu, nie był tak pięknie ubrany jak one. 
MAT.6.30	Jeśli więc Bóg tak wspaniale ubiera polne kwiaty, które dzisiaj kwitną, a jutro więdną i idą na spalenie, to czy tym bardziej nie zatroszczy się o was, nieufni?! 
MAT.6.31	Nie martwcie się więc i nie powtarzajcie: Co będziemy jeść i pić? W co się ubierzemy? 
MAT.6.32	O te sprawy zabiegają poganie. Wasz Ojciec w niebie dobrze wie, że tego potrzebujecie. 
MAT.6.33	W pierwszej kolejności zabiegajcie o Jego królestwo i prawość, a wtedy Bóg zatroszczy się o pozostałe rzeczy. 
MAT.6.34	Nie martwcie się więc o to, co będzie jutro, bo dzień jutrzejszy zatroszczy się o siebie. Dziś macie już wystarczająco wiele zmartwień.
MAT.7.1	Nie krytykujcie innych, to i sami tego nie doświadczycie. 
MAT.7.2	Osądzą was bowiem tak, jak wy osądzacie, i odmierzą wam taką miarą, jaką sami mierzycie. 
MAT.7.3	Dlaczego zwracasz uwagę na rzęsę w czyimś oku, jeśli w twoim własnym tkwi cała belka? 
MAT.7.4	Jak możesz powiedzieć: „Przyjacielu, pozwól, że wyciągnę ci rzęsę”, podczas gdy sam masz w oku belkę? 
MAT.7.5	Obłudniku! Usuń najpierw belkę ze swojego oka, a wtedy przejrzysz i pomożesz mu wyjąć rzęsę z jego oka.
MAT.7.6	Nie dawajcie psom tego, co święte, i nie rzucajcie pereł przed świnie. Bo i tak je podepczą, a was mogą zaatakować.
MAT.7.7	Proście, a dostaniecie. Szukajcie, a znajdziecie. Pukajcie, a otworzą wam. 
MAT.7.8	Każdy bowiem, kto prosi—dostaje; kto szuka—znajduje; a temu, kto puka—otwierają. 
MAT.7.9	Kto z was dałby swojemu dziecku kamień, gdy ono prosi o chleb? 
MAT.7.10	Albo węża, gdy poprosi o rybę? 
MAT.7.11	Skoro wy, źli ludzie, dajecie dzieciom to, co dobre, to tym bardziej wasz Ojciec w niebie da dobre rzeczy tym, którzy Go proszą. 
MAT.7.12	Czyńcie innym to, czego sami od nich oczekujecie. Na tym polega cała nauka Prawa i proroków.
MAT.7.13	Brama do nieba jest ciasna! Wielu ludzi wchodzi przez szeroką bramę i idzie przestronną drogą, która prowadzi do śmierci. 
MAT.7.14	Niewielu jednak odnajduje ciasną bramę i wąską drogę prowadzącą do życia.
MAT.7.15	Strzeżcie się fałszywych proroków, którzy przychodzą do was jak wilki przebrane za owce. 
MAT.7.16	Rozpoznacie ich po ich czynach. Czy zbiera się winogrona albo figi z dzikich krzewów? 
MAT.7.17	Szlachetne drzewo rodzi dobre owoce, a dzikie drzewo—gorzkie. 
MAT.7.18	Ani to pierwsze nie może rodzić cierpkich owoców, ani to drugie—dobrych. 
MAT.7.19	A drzewo nie dające dobrego owocu wycina się i pali. 
MAT.7.20	Fałszywych proroków również rozpoznacie po ich owocach.
MAT.7.21	Nie każdy, kto nazywa Mnie swoim Panem, wejdzie do królestwa niebieskiego—tylko ten, kto wypełnia wolę mojego Ojca w niebie. 
MAT.7.22	W dniu sądu wielu mi powie: „Panie, czy w Twoim imieniu nie prorokowaliśmy, nie wypędzaliśmy demonów i nie dokonywaliśmy wielkich dzieł?”. 
MAT.7.23	Ale Ja im odpowiem: „Nigdy was nie znałem. Odejdźcie stąd wy wszyscy, którzy czynicie zło!”.
MAT.7.24	Ten, kto Mnie słucha, i postępuje według moich słów, jest jak człowiek rozsądny, który swój dom zbudował na mocnym fundamencie. 
MAT.7.25	Gdy przyszła ulewa, a powódź i wicher uderzyły w ten dom, nie runął, bo miał solidny fundament. 
MAT.7.26	Kto zaś słucha Mnie, ale nie postępuje według tego, co słyszy, jest jak człowiek głupi, który swój dom zbudował bezpośrednio na piasku—bez fundamentów. 
MAT.7.27	Gdy przyszła ulewa, a powódź i wicher uderzyły w ten dom, on zawalił się—a była to wielka katastrofa.
MAT.7.28	Gdy Jezus skończył, tłumy były zdumione Jego nauczaniem. 
MAT.7.29	Mówił bowiem do nich nie jak ich przywódcy religijni, ale jak ktoś, kto ma prawdziwą władzę nad ludźmi.
MAT.8.1	Jezus zszedł ze wzgórza, a ogromne tłumy poszły za Nim. 
MAT.8.2	Wtem podszedł do Niego jakiś trędowaty, pokłonił Mu się i poprosił:
MAT.8.2	—Panie! Jeśli zechcesz, możesz mnie uzdrowić.
MAT.8.3	Jezus dotknął go i powiedział:
MAT.8.3	—Chcę. Bądź uzdrowiony!
MAT.8.3	I w jednej chwili trąd zniknął.
MAT.8.4	—Nie mów o tym nikomu!—dodał Jezus. —Idź i poproś, aby zbadał cię kapłan. A na dowód tego, że wyzdrowiałeś, zanieś ofiarę, jaką Mojżesz wyznaczył uleczonemu z trądu.
MAT.8.5	Gdy Jezus przybył do Kafarnaum, podszedł do Niego rzymski dowódca oddziału z prośbą:
MAT.8.6	—Panie, mój sługa leży w domu, jest sparaliżowany i strasznie cierpi.
MAT.8.7	—Dobrze, pójdę go uzdrowić—rzekł Jezus.
MAT.8.8	—Panie—powiedział dowódca—nie jestem godny przyjmować Ciebie w moim domu. Wystarczy, że powiesz jedno słowo, a on wyzdrowieje. 
MAT.8.9	Wiem to, bo sam podlegam władzy i mam pod sobą żołnierzy. Jeśli powiem któremuś: „Idź!”, on idzie, a jeśli powiem któremuś: „Przyjdź tu!”, przychodzi. I jak powiem słudze: „Wykonać!”, to wykonuje polecenie.
MAT.8.10	Słysząc taką odpowiedź, Jezus zdziwił się. Rzekł więc do tłumu:
MAT.8.10	—Zapewniam was: Tak wielkiej wiary nie spotkałem u nikogo w Izraelu! 
