MAT.1.1	Chitabu cha welesi wa Yesu Chilisito, mzukulu wa Daudi, mzukulu wa Bulahimu.
MAT.2.11	Wengila mnyumba, wamuwona imwana hamwe na mami yake Maliya, wamtumbalila mavindi na wamtosela. Wafungula ngama zawo muna ivibindo na wamwing'ha imwana ndolendole zawo, tunu na zahabu, na mavumba, hamwe na dawa inogile yoitangigwa manemane.
MAT.2.12	Maabaho wabwela kuna isi iyo kwa nzila imwenga, kwaviya Mulungu kawazuma muna zinzozi sekewabwele kwa Helode.
MAT.2.13	Viwasegele, msenga wa kuulanga wa Mndewa kamulawilila Yosefu muna zinzozi, kamulongela, “Helode kololela kumkoma imwana. Ivo inuka na umsole imwana na mami yake mukimbilile muna isi ya Misili. Kaleni uko mbaka vondanimulongeleni musegele.”
MAT.2.14	Yosefu kalamuka na kamsola imwana na mami yake, kasegela ichilo icho, kahita Misili, 
MAT.2.15	kakala uko mbaka Helode viyadanganike. Itendeka fana viya imbuli yoyalongile Mndewa kwa kufosela mulotezi wake kuwa kweli, “Nimtanga mwanangu kulawa Misili.”
MAT.2.16	Helode viyavimanyile kuwa waja nyamiloto wa nhondo wowalawile ubanzi wa ulawilo wa zuwa wamvwizila, kengilwa na ludoko ng'hani. Ivo kalava lagilizo kuwa wana wose umo Betelehemu wakalile na miyaka midi na kubwela hasi wakomigwe, kulawa lusita luja waja nyamiloto wa nhondo viwalongile inhondo viiwoneke.
MAT.2.17	Ivo chiya chiyalongile mulotezi wa Mulungu Yelemiya chitimiya, 
MAT.2.18	“Dizi dihulikika uko Lama,
MAT.2.18	zindilo na lusoyoyo ng'hani.
MAT.2.18	Laheli kowalilila wanage,
MAT.2.18	nayo kolema kunyamazigwa,
MAT.2.18	kwaviya wadanganika.”
MAT.2.19	Helode viyadanganike, msenga wa kuulanga wa Mndewa kamulawilila Yosefu muna zinzozi uko Misili, 
MAT.2.20	kamulongela, “Lamka, umsole imwana na mami yake mubwele kuna isi ya Isilaeli, kwaviya waja wagezile kumkoma imwana wadanganika.” 
MAT.2.21	Yosefu kalamka, kamsola imwana na mami yake wabwela muna isi ya Isilaeli.
MAT.2.22	Mbali Yosefu viyahulike kuwa Alikelao kamuhazi tati yake Helode mfalume wa Yudeya, kadumba kuhita uko kwaviya kazumigwa muna zinzozi. Kahita kuna umkowa wa Galilaya, 
MAT.2.23	kahita na kukala muna dibululu ditangigwe Nazaleti. Ivo chiya chilongigwe na walotezi wa Mulungu chitimiya, “Kezatangigwa Mnazalayo.”
MAT.3.1	Muna zisiku izo, Yohana Mbatizi keza muna dibwilingu da Yudeya, kandusa kuwapetela wanhu. 
MAT.3.2	Kalonga, “Lekeni uhasanyi wenu, kwaviya Ufalume wa kuulanga wahabehi!” 
MAT.3.3	Yohana niiyo yaloteligwe na mulotezi wa Mulungu Isaya viyalongile,
MAT.3.3	“Dizi da munhu dotanga kudibwilingu,
MAT.3.3	‘Sasaleni nzila ya Mndewa,
MAT.3.3	mgoloseleni nzila yake yafose!’ ”
MAT.3.4	Viwalo viyawale Yohana vikala visonigwa na mazoya ya mnyama yotangigwa ngamiya, na mchigudi kayawala mkwiji wa mbende. Ndiya yake ikala nzige na uki wa mwiimbago. 
MAT.3.5	Wanhu wamwizila Yohana kulawa Yelusalemu, na kulawa muna isi ya Yudeya, na kulawa muna iisi yili habehi na lwanda lwa Yolodani. 
MAT.3.6	Watogola kuleka uhasanyi wawo, nayo Yohana kawabatiza muna ulwanda lwa Yolodani.
MAT.3.7	Yohana viyawawonile Mafalisayo na Masadukayo wengi wokwiza kumwake kubatizigwa, kawalongela, “Mweye mazoka! Yelihi yawalongele mwodaha kugwaza nhaguso ya Mulungu iyo ikwiza? 
MAT.3.8	Mutende vinhu viya vilagusa kuwa muleka uhasanyi wenu. 
MAT.3.9	Sekemugese kuwa mwodaha kuikimbila nhaguso kwa kulonga kuwa Bulahimu ni wasaho yenu. Nomulongelani kweli, Mulungu kodaha kuyasola mabwe yano na kuyatenda yawe welesi wa Bulahimu! 
MAT.3.10	Nhemo ikigwa imala muna yamazizi kukanha mibiki, ivo chila mbiki uja hawima matunda yanogile wizakanhigwa na kwasigwa muumoto. 
MAT.3.11	Niye nowabatiza mweye kwa mazi kulagusa kuwa musamha uhasanyi wenu. Mbali munhu yokwiza kuchisogo changu kezawabatiza kwa Muhe Yelile na moto. Iyo ni mkulu kufosa niye. Niye sifaya bule hata kupapa vilatu vake. 
MAT.3.12	Kana lungo lwake lwa kubetela muna yamakono. Kezaduganya ngano na kuika muna mudidungu, mbali kezailunguza imhumba muna umoto hauzimika bule.”
MAT.3.13	Siku izo Yesu kalawa kuna umkowa wa Galilaya na kuhita Yolodani kubatizigwa na Yohana. 
MAT.3.14	Mbali Yohana kalonda kumulema Yesu, kamulongela, “Niye nolonda kubatizigwa na weye, vilihi weye kokwiza kumwangu nikubatize?”
MAT.3.15	Yesu kamulongela, “Ivino sambi nolonda utogole. Kwaviya niivo viilondeka kuyafikiza yaja yose yoyolonda Mulungu.” Maabaho Yohana katogola.
MAT.3.16	Bahobaho Yesu viyabatizigwe, kalawa muna yamazi. Maabaho ulanga umgubukila, kamuwona Muhe wa Mulungu kohulumuka fana nziwa, komwizila mchanyha yake. 
MAT.3.17	Maabaho dizi dilonga kulawa kuulanga, “Ino niiyo Mwanangu, inyachende wangu, ininogeligwe nayo.”
MAT.4.1	Maabaho Muhe wa Mulungu kamulongoza Yesu mbaka kuna ichuwala muladi yagezigwe na Mwihi. 
MAT.4.2	Kafunga kuja zifika siku malongo mane, imisi na ichilo. Kuuhelelo, Yesu kawona nzala. 
MAT.4.3	Maabaho Mwihi kamwizila Yesu, kamulongela, “One weye wahawa Mwana wa Mulungu, yalongele yamabwe yano yagaluke magate.”
MAT.4.4	Mbali Yesu kamwidika, “Yandikigwa muna Yamaandiko Yelile,
MAT.4.4	‘Munhu hadaha kuwa ngima bule kwa gate muhala,
MAT.4.4	mbali kwa chila mbuli yoilawa muna umulomo wa Mulungu.’ ”
MAT.4.5	Maabaho Mwihi kamsola Yesu, kamgala mbaka Yelusalemu, kuna dibululu jelile na kumwika kuichisuwili cha Ikaye ya Mulungu. 
MAT.4.6	Kamulongela, “One weye ni Mwana wa Mulungu, ibwanhe hasi, kwaviya Yamaandiko Yelile yolonga,
MAT.4.6	‘Mulungu kezawalagiliza wasenga wake wa kuulanga,
MAT.4.6	nawo wezakusola na makono yawo
MAT.4.6	na weye whizaikwala bule muna yamabwe.’ ”
MAT.4.7	Yesu kamwidika, “Iviya Yamaandiko Yelile yolonga,
MAT.4.7	‘Sekeumgeze Mndewa Mulungu wako.’ ”
MAT.4.8	Maabaho Mwihi kamsola Yesu wahita kuchanyha kuna ulugongo lutali kuna uludonho, kamulagusa falume zose muna isi na utunhizo wake wose. 
MAT.4.9	Maabaho kamulongela, “Yano yose nizakwing'ha, one muhala uhanitumbalila mavindi na kunitosela.”
MAT.4.10	Yesu kamulongela, “Segela hano hamwangu, weye Lufyende! Kwaviya Yamaandiko Yelile yolonga, ‘Umtosele Mndewa Mulungu wako, na umsang'hanile yeye muhala!’ ”
MAT.4.11	Maabaho Mwihi kamuleka Yesu, kasegela, na wasenga wa kuulanga wa Mndewa weza na kumsang'hanila.
MAT.4.12	Yesu viyahulike kuwa Yohana kagumigwa muna ichifungo, kasegela kahita kuna umkowa wa Galilaya 
MAT.4.13	Hakalile Nazaleti, mbali kahita kukala Kapelinaumu, isi yili mumgwazogwazo mwa lamba da Galilaya, muna isi ya Zabuloni na Nafutali. 
MAT.4.14	Chino chitendeka muladi chiya chiyalongile mulotezi wa Mulungu Isaya chiwe kweli,
MAT.4.15	“Isi ya Zabuloni na isi ya Nafutali,
MAT.4.15	inzila ya kuhitila kuna ibahali,
MAT.4.15	kuna umwambu wa ulwanda lwa Yolodani,
MAT.4.15	Galilaya, isi ya wanhu weli siyo Wayahudi!
MAT.4.16	Wanhu wakalile muna diziza,
MAT.4.16	wezawona bung'hulo,
MAT.4.16	waja wokala muna isi ya ziza da ifa,
MAT.4.16	bung'hulo dizawamwemwesela.”
MAT.4.17	Kulawa lusita ulo, Yesu kandusa kuwapetela wanhu usenga wake, “Lekeni uhasanyi wenu, kwaviya Ufalume wa Kuulanga wa habehi.”
MAT.4.18	Yesu viyakalile yogenda mumgwazogwazo mwa lamba da Galilaya, kawawona ndugu waidi wavula somba, Saimoni yotangigwa Petili na ndugu yake Andeleya. Ndugu wawo waidi wakala wovula somba kwa lwavu. 
MAT.4.19	Yesu kawalongela, “Nisondeleleni, nizawafundizani kuwavuwa wanhu.” 
MAT.4.20	Bahobaho wazileka nyavu zawo na wamsondelela.
MAT.4.21	Viyagendelele kuulongozi chidogo, kawawona ndugu wamwenga, Yakobo na Yohana, wana wa Zebedayo, wose wakala mgati mwiingalawa na tati yawo Zebedayo, wozitenda goya nyavu zawo. Yesu kawatanga. 
MAT.4.22	Bahobaho waileka ingalawa na tati yawo, wamsondelela Yesu.
MAT.4.23	Yesu kazunguluka Galilaya yose, kafundiza muna zikaye zose za kutosela, kawapetela wanhu Mbuli Inogile ya Ufalume wa Mulungu na kuwahonya wanhu wenye mitamu mbasakanyo na wolumwa. 
MAT.4.24	Mbuli za Yesu zenela muna isi yose ya Siliya, ivo wanhu wamgalila watamu wose, wougula utamu wowose, waja wogaya, weli na vinyamkela, weli na vichala na waja waholole, nayo kawahonya. 
MAT.4.25	Lung'husesa lukulu lwa wanhu lumuwinza Yesu kulawa isi ya Galilaya, zisi za Dekapoli, Yelusalemu, Yudeya na isi yili kuumwambu wa lwanda lwa Yolodani.
MAT.5.1	Yesu kaluwona lung'husesa lukulu lwa wanhu na kakwela kuna ulugongo, uko kakala hasi. Wanahina wake wamuhitila, 
MAT.5.2	nayo kandusa kuwafundiza.
MAT.5.3	“Wamweda waja ngayengaye wa muhe,
MAT.5.3	kwaviya Ufalume wa kuulanga ni wawo!
MAT.5.4	Wamweda waja weli na usungu,
MAT.5.4	kwaviya wezanyamazigwa.
MAT.5.5	Wamweda waja weli wahole,
MAT.5.5	kwaviya Mulungu kezawatenda wawe wahazi wa isi.
MAT.5.6	Wamweda waja weli na nzala na ng'hilu ya kutenda yoyomnogeza Mulungu,
MAT.5.6	kwaviya Mulungu kezawegutiza.
MAT.5.7	Wamweda waja weli na ubazi,
MAT.5.7	kwaviya Mulungu kezawawonela ubazi.
MAT.5.8	Wamweda waja weli na moyo unogile,
MAT.5.8	kwaviya wawo wezamuwona Mulungu!
MAT.5.9	Wamweda waja woibenela vibiki,
MAT.5.9	kwaviya wezatangigwa wana wa Mulungu!
MAT.5.10	Wamweda waja wogazigwa kwa ichimu cha yoyolonda Mulungu,
MAT.5.10	kwaviya Ufalume wa kuulanga ni wawo!
MAT.5.11	Mumweda mweye wanhu wahamuligani na kungazani na kulongigwa vihile kwa usungu
MAT.5.11	kwaviya mwawanahina wangu.
MAT.5.12	Sekeleleni na mudeng'helele
MAT.5.12	kwaviya gweko jenu ni kulu kuulanga,
MAT.5.12	ivo niivo vowagazigwe walotezi wa umwaka fana mweye.
MAT.5.13	“Mweye mulinga fana munyu wa isi, munyu wahagiza umunyu wake, kwizaguma choni mbaka ukolele kaidi? Haufaya chochose bule, ivo wokwasigwa kunze na wanhu woubojoga.
MAT.5.14	“Mweye mulinga fana bung'hulo da isi yose. Bululu dihazengigwa kuna ulugongo hadidaha bule kuifisa. 
MAT.5.15	Habule munhu yobwinha chitasa na kuchigubika na debe, mbali wochika hana ichingolobweda, nacho chowamwemwesa wanhu wose weli muna ichiheleto. 
MAT.5.16	Iviya na mweye bung'hulo jenu dimuli najo haulongozi ha wanhu, nawo waziwone sang'hano zenu muladi wamwing'he ukulu Tati yenu yeli kuulanga.
MAT.5.17	“Sekemugese kuwa niza kuyasegeza Malagilizo ya Mulungu yoyamwing'hile Musa hebu mbuli za Walotezi wa Mulungu. Sizile kuyasegeza bule, mbali niza kuyatimiza. 
MAT.5.18	Nowalongela ukweli, mbaka ulanga na isi vondavisegele, habule hata mbuli ndodo ng'hani muna Malagilizo yondaisegezigwe, mbaka yose yatimiye. 
MAT.5.19	Munhu wowose ija yondayabene lagilizo dimwe da yaja yamadodo sembuse yose na imunhu kowafundiza wamwenga wasang'hane ivo, imanyike munhu iyo kezakuwa munhu ndodo muna Ufalume wa kuulanga. Munhu yondayayamhe Malagilizo na kuno kowafundiza wanhu wamwenga, iyo kezakuwa mkulu muna Ufalume wa kuulanga. 
MAT.5.20	Nowalongelani kweli, one hamutogoligwe munoga haulongozi wa Mulungu kuwafosa wafundiza Malagilizo na Mafalisayo, hamwizakwingila bule muna Ufalume wa kuulanga.
MAT.5.21	“Muwahulika wanhu wa umwaka viwalongiligwe, ‘Sekemukome, na munhu yondayakome kezakomigwa.’ 
MAT.5.22	Mbali niye nowalongela, munhu wowose ija yondayamwihile ndugu yake, iyo yatagusigwe, iviya yondayamzehe ndugu yake yagaligwe kudilundo, na yondayamtange ndugu wa munhu ‘mbozi,’ kofaya yengile jehanamu ya moto. 
MAT.5.23	Ivo one wahamulavila Mulungu wako nhambiko hana ichilingo cha kutambikila na kuno kukumbuka kuwa ndugu yako kana mbuli na weye. 
MAT.5.24	Wiileke nhambiko yako baho hana ichilingo na weye hita kwa ndugu yako yeli na mbuli na weye na mukailamule mbuli yenu, maabaho ubwele na ukailave nhambiko yako.
MAT.5.25	“Wiilumbe na msitaki wako cha himahima, mung'hali muna inzila kuhita kuchitala. Bule ivo msitaka wako kezakugala kwa msemi na msemi keza kugala kwa mkalizi, maabaho na weye kwizafungigwa muna ichifungo.
MAT.5.26	“Nokulongela kweli, hwizalawa umo bule mbaka ulihe sente ya uhelelo.
MAT.5.27	“Muhulika wanhu viwalongiligwe, ‘Sekemuzini.’ 
MAT.5.28	Mbali niye nowalongela wowose ija yondayamulole muke, na kuno komulonda, iyo kuzini nayo muumoyo wake. 
MAT.5.29	Ziso jako da ukulume dihakutenda utende uhasanyi, ding'ole na ujase kutali na weye, kwaviya muhavu kumwako weye kwagiza chinhu chochose chili mulukuli lwako, kufosa lukuli lose kwasigwa muumoto wa jehanamu. 
MAT.5.30	Mkono wako wa ukulume wahakutenda utende uhasanyi, ukanhe na uwase kutali, kumwako weye vinoga kwagiza chinhu chimwe chili mulukuli lwako, sembuse lukuli lose, lwasigwe muna umoto wa jehanamu.
MAT.5.31	“Iviya muhulika wanhu viwalongeligwe, ‘Munhu wowose ija yondayamwase muke wake na yamwing'he chibuwa cha nyasa.’ 
MAT.5.32	Mbali lelo niye nowalongela, munhu wowose yomwasa muke wake na yondayamwing'he chibuwa cha nyasa kwaviya muke iyo katenda uzinzi, munhu iyo komtenda imuke yawe mzinzi. Iviya mulume yondayamsole muke yeng'higwe chibuwa cha nyasa, iyo nayo kotenda uzinzi.
MAT.5.33	“Iviya muhulika wanhu wa umwaka viwalongiligwe, ‘Sekeubele viya viuilahile, yolondeka ufikize kwiilaha kwako kwa Mndewa.’ 
MAT.5.34	Mbali niye nowalongela, ‘Sekemwiilahe kwa ulanga, kwaviya icho ni chigoda cha chifalume cha Mulungu,’ 
MAT.5.35	wala kwa isi, kwaviya baho ni hanhu ha Mulungu ha kwikila magulu yake, wala kwa Yelusalemu, kwaviya ijo ni bululu da Mfalume Mkulu. 
MAT.5.36	Wala sekemwiilahe kwa ditwi jako, kwaviya hudaha kulutenda hata luvili lumwe luwe luzelu hebu lutitu. 
MAT.5.37	Mwahalonga, ‘Wona,’ iwe ‘Wona’ na mwahalonga ‘Bule,’ iwe ‘Bule.’ Kwaviya yondayafose yayo yolawa kwa Msede.
MAT.5.38	“Muhulika ilongigwa, ‘Ziso kwa ziso, na zino kwa zino.’ 
MAT.5.39	Mbali lelo niye nowalongela, sekemwiibwelezele na iyo munhu yehile. One munhu yahakutowa kanza da kulume, iviya mulekelele yakutowe kanza da kumoso. 
MAT.5.40	Na one munhu yahalonda kukugala kuna ichitala muladi yasole shati jako, iviya mulekele yasole na dikoti jako. 
MAT.5.41	Na one munhu yahakushulutiza umgalile mzigo wake kwa utali wa maili imwe, ngalile utali wa maili mbili. 
MAT.5.42	Na one munhu yoyose yahakupula chinhu, mwing'he, iviya munhu yolonda kukwazima chinhu chochose, sekeuleme kumwing'ha.
MAT.5.43	“Muhulika kuwa ilongigwa, ‘Mulonde mkaya miyago, na umwihile mwihi wako.’ 
MAT.5.44	Mbali lelo niye nowalongela, walondeni wehi wenu na muwatosele waja wowabamanya mweye. 
MAT.5.45	Muhatenda vino, mwizakuwa wana wa Tati yenu yeli kuulanga. Kwaviya kowabung'hulila zuwa jake wanhu wehile na wanogile, na mvula yake kwa wanhu wanogile na wanhu wehile. 
MAT.5.46	Kwaviya mwahawalonda wahnu waja muhala womulondani mweye, mwizahokela chinhu chilihi chinogile? Hata wasola kodi wotenda ivo! 
MAT.5.47	Iviya mwahawalamusa mbwiya zenu, hamtenda mbuli ya chilozo bule? Mbaka wanhu hawammanyile Mulungu wotenda ivo! 
MAT.5.48	Muwe watimilifu fana viya Tati yenu wa kuulanga viyeli mtimilifu.
MAT.6.1	“Muteganye sekemusang'hane yanogile haulongozi ha wanhuu, muladi mudahe kutogoligwa na wawo. Muvimanye mwahasang'hana mbuli zifanile izo, hamwizadaha kwing'higwa gweko na Tati yenu yeli kuulanga. 
MAT.6.2	Hamala baho vondamumwing'he yelibule chinhu, sekemutowe mhalati, fana viya wadelenya viwosang'hana muna zikaye za kutosela na muna zinzila, muladi wadahe kuhishimigwa na wanhu. Nowalongelani kweli wawo wamala kuhokela gweko jawo. 
MAT.6.3	Mbali weye one wahamwing'ha chinhu munhu yeli bule, hata mbwiya wako wa habehi sekeyavimanye chiya chiutendile. 
MAT.6.4	Ivo iyo izakuwa sadaka yako ya chinyele, na Tata yowona yafisike, kezakugweka.
MAT.6.5	“Mwahatosa, sekemuwe fana viya wadelenya! Wawo wolonda kwima na kutosa muna zikaye za kutosela na muna zinzila mhanda muladi wanhu wawalole. Nowalongela kweli, wawo wahokela wamala gweko jawo. 
MAT.6.6	Mbali wahatosa, ingila muna ichiheleto chako, hinda lwivi lwako na utose kwa Tati yako, hawoneka. Tati yako yowona chiya chiutenda chinyele, kezakugweka.
MAT.6.7	“Mwahatosa, muleke kulonga chakachaka fana viwotenda wanhu hawammanyile Mulungu, wowogesa kuwa milungu yawo yowahulika kwaviya nhambiko zawo nhali. 
MAT.6.8	Sekemulinge fana wawo. Tati yenu kavimanya kamala yaja yomulonda mung'hali hamunampula. 
MAT.6.9	Mbali mweye toseni vino, ‘Tati yetu wa kuulanga, zina jako ditunhizigwe, 
MAT.6.10	Ufalume wako wize, jojose diulonda udisang'hane, hano hana iisi, fana viya viusang'hana uko kuulanga.
MAT.6.11	Uching'he diyelo ndiya yetu. 
MAT.6.12	Uchilekelele mabanango yetu yaja yochitendile,
MAT.6.12	fana viya cheye vichiwalekelela wamwenga wowachibanange cheye. 
MAT.6.13	Sekeuchigume muna yamagezo,
MAT.6.13	mbali uchikombole na ija Msede,
MAT.6.13	kwaviya ufalume wako una nguvu, na utunhizo wa siku zose.’
MAT.6.14	“Kwaviya one mwahawalekelela wamwenga mabanango yowamtendeleni, Tati yenu yeli kuulanga kezawalekela na mweye. 
MAT.6.15	Mbali one hamuwalekele wanhu wihi wawo, iviya Tati yenu yeli kuulanga hezamulekelelani mabanango yomutendile.
MAT.6.16	“Muhafunga, sekemuwe fana wadelenya wowokwesa ng'hombali zawo fana wana usungu muladi wawoneke kuwa wafunga. Nowalongela kweli wahokela gweko jawo wamala. 
MAT.6.17	Mbali weye wahafunga kuja, ibobode mavuta mditwi jako na unawe chihanga chako. 
MAT.6.18	Muladi wanhu wamwenga sekewavimanye kuwa weye kufunga kuja, Tati yako muhala yeli hawoneka kezavimanya. Na Tati yako yoyawona yaja youyatenda kwa chinyele, kezakugweka.
MAT.6.19	“Sekemwike ngama zenu hano hana iisi, bule ivo sondo wezazibananga, na wabavi wobomola na kubawa. 
MAT.6.20	Mbali mweye mwiikile ngama kuulanga, uko sondo na ng'hutu havidaha bule kuzibananga, na wabavi hawadaha kubena na kubawa. 
MAT.6.21	Kwaviya haili ngama yako baho heli na moyo wako.
MAT.6.22	“Bung'hulo da lukuli lwako ni ziso. One meso yako yahanoga, lukuli lwako lose luzakala muna dibung'hulo. 
MAT.6.23	Mbali ziso jako dihabanangika, lukuli lose lwizakuwa mudiziza. Ivo fana bung'hulo dili mgati mmwako da ziza, dizakuwa ziza kulu!.
MAT.6.24	“Habule munhu yodaha kuwasang'hanila wenevale waidi, kwaviya kezamwihila ino na kumulonda ino, hebu kezailumba na ino na kumbeza ino, hamudaha bule kumsang'hanila Mulungu na vinhu.
MAT.6.25	“Lekamana nowalongela, sekemuwe na hangaiko, viya vondamukale kuno molonga, moja choni na mong'wa choni na iviya ng'huli zenu muyawale choni, vino ugima ni kuja muhala? Na lukuli ni kuyawala muhala? Vino viwalo vinoga kufosa lukuli na lukuli kufosa viwalo? 
MAT.6.26	Waloleni ndege wa kuulanga, hawahanda wala hawagobola wala wabule gulu jojose, mbali Tati yenu wa kuulanga koweng'ha ndiya. Vino mogesa mweye hamulondeka kuwafosa wawo? 
MAT.6.27	Vino yelihi vimuli kodaha kuigaiya muladi yongeze utali wa ugima wake?
MAT.6.28	“Lelo habali muna yungwayungwa kwa mbuli ya viwalo? Loleni maluwa ya kumbago, hayasang'hana wala hayaitendela viwalo vawo. 
MAT.6.29	Niye nomulongelani, hata mfalume Solomoni muna utunhizo wake wose, hadahile kuyawazigwa vinogile fana dimwe muna yamaluwa yano. 
MAT.6.30	Fana Mulungu koyayawaza ivo mayani ya kumbago, diyelo yabaho, igolo yokwaswa muna umoto. Vino Mulungu hadaha bule kumuyawazani mweye? Wanhu muli na uhuwilo mdodo!
MAT.6.31	“Ivo sekemuwe na yungwayungwa, ‘Chizakuja choni? Hebu chizakung'wa choni? Hebu chizayawala choni?’ 
MAT.6.32	Kwaviya wanhu weli siyo Wayahudi wokuwa na yungwayungwa da yano yose, na Tati yenu yeli kuulanga kovimanya kuwa molonda yano yose. 
MAT.6.33	Teng'hu zahileni Ufalume wa Mulungu na yaja yoyolonda muyatende, maabaho Mulungu kezamwing'hani yayo yose. 
MAT.6.34	Ivo sekemusang'hanile ya igolo, kwaviya ya igolo yezaisang'hanila yenyewo. Chila siku yoisang'hanila yenyewo.
MAT.7.1	“Sekemuwataguse wamwenga muladi Mulungu sekeyamtaguseni na mweye, 
