MAT.1.1	Ngel evi naul ne metka se Iesu Kristo metka se Devet, ko metka se Epram.
MAT.2.14	Daron nga anglomuwrai jile tevi Josep nat nga mupong nen, ko Josep otur imare, owosi bipi wel nen, ko nir tasu sen arwolu van Ijip mun e. 
MAT.2.15	Ko arlik iok ejpari nga Erot mimij.
MAT.2.15	Ngok eplari osorsan tevi nale se Atua nga propet sen san muwrai wowomu pae tuwi, “Inu beveruse natuk piplari Ijip ko vini.”
MAT.2.16	Mian ko vitunen vajin Erot orongwose jinibb ne Is nen arkerkerasi, ko ololar lengleng. Ko okoni jinibb ne nuval sen parevji pini bipi norman nir re Betliem ko rrale p̃etp̃eti Betliem, nga sia ser ejpari eru ko sia ser mulwi vitan. Ngel osorsan tevi daron nga jinibb ne Is marwerai tevi.
MAT.2.17	Ngok eplari erpe nale se Atua nga Jeremaea muwrai wowomue tuwi: 
MAT.2.18	“Arunge dingen san renge ngaim ne Rama, arting nga arting lengleng. Rejel ko etengsi natun, ko omusus parjinge, suri natun armij pa osuw.”
MAT.2.19	Mian ko Erot emij vajin, ko anglo se Atua eplari kele ji Josep renge bori san renge Ijip ko owrai tevi, owra 
MAT.2.20	“Kuptur imare, kupwosi bipi wolok, ko kami tasu sen, kapluwi van re vanu Isrel kele e. Suri m̃er nga muwra pirevji pini bipi wolok emij pa osuw.” 
MAT.2.21	Ko Josep otur imare ko owosi bipi wel nen, ko arluwi van re vanu Isrel e.
MAT.2.22	Mian ko Josep ornge kele nga Arkelaos ela wani milnge tata sen Erot, evi numal ne Jutia. Murnge ko emtutu pian iok e. Mimtutu pian iok e, ko elesi bori san kele nga Atua ewer ore sete pian, ko arwolu van re vanu ne Galili e. 
MAT.2.23	Ko arini arlik renge ngaim san nga nisen Nasret. Ngok eplari wor osorsan tevi nale se Atua nga propet sen san muwrai wowomu pae suri Kristo, “Ni parveruse m̃eri Nasret ko.”
MAT.3.1	Mian mian ko vitunen Jon Baptaes evini ewerwer re lolo merwer ne Jutia, owra 
MAT.3.2	“Nolo kami pulululwi, suri otomori le pa batun vanu ne melrin p̃irrmali.” 
MAT.3.3	Suri Jon evi m̃er nga Atua m̃ijilwer suri renge nale ngel nga propet Aesea muli tuwi pa, muwra “Jinibb le san ekail renge lolo merwer, owra ‘Kaploli lilane sel se Numal puto metmet terai. Kaploli mesekle sel sen nir parmetet p̃irres.’
MAT.3.4	Jon sunsun sen erpe propet Elaeja tuwi. Ori nevlu kamel, ko netatuw sen arloli nevlu buluk e. Ko re devjen nga re nanen sen e, elai nato nga mok-rowrow re mösmös ko narrlu sukabak nga m̃ierri orivi nanen sen.
MAT.3.5	Ko nir jijle ne Jerusalem ko ne Jutia ko rrale nuwi seser ne Jortan arivel ko arini jin. 
MAT.3.6	Arini jin, ko daron nga marwera tweni nololien ser, ko Jon epaptaes nir renge nuwi seser ne Jortan.
MAT.3.7	Ko daron nga m̃ilesi Parasi ko Satusi, nga marivi jinibb nga marlelep re m̃eri Isrel nir, ko Jon owrai tevir: “Kamivi jinibb nga kamsij O! Kamirpe metka ne num̃et. Ko weta, kami kamrongwos kapwolu asi ko renge lolaren se Atua nga pia-vini? 
MAT.3.8	Poro nolo kami pulululwi, rrek erres kapviseni wenen nen. 
MAT.3.9	Sete kapwerwerai tevi kami: ‘Epram evi metka se kerr, ko ngok rramivi pa jinibb se Atua ko.’ Nu nuwrai tevi kami: Atua orongwos p̃ilai nevöt nawon ngel nir ko p̃irienir parivi metka se Epram. 
MAT.3.10	Lelingen ngel artori batu deli oto metmet nga parta ototvi lap̃e nai nir; ko nai jijle nga marsij, sete wener marres mun, parta twenir parwirr nir van renge nabb nga m̃in. 
MAT.3.11	Nu nupaptaes nuwi e kami, kami nga nolo kami mulululwi. Ko san nga pivivitu suri inu, ni ean wor mare renge inu. Inu sete nurres rragrrag nuvter re b̃esai but sen nga m̃irae. Ni pia-paptaese kami re Nem̃in On ko nabb. 
MAT.3.12	Ni otori nai juljule san renge nevren nga pujlujle wene wit e nir, ko dokolvir parwirr lingi jelangir; ko p̃iser kortoni jelangir p̃ilngir renge b̃ep̃eim sen, ko pusli dokolvir renge nabb nga sete san orongwose pivsi pini.”
MAT.3.13	Vitunen Iesu evel re Galili vini re nuwi seser ne Jortan, pian ji Jon p̃ipaptaese ni. 
MAT.3.14	Ko Jon owra p̃iwer ore ni, owra “Erpese nik kuvini jik nga inu b̃epaptaese nik? Erres ma poro nik kuppaptaese inu.” 
MAT.3.15	Ko Iesu erij weli, owra tevi ni: “Puto pirpok ko wor, nga rroporloli nanu jijle nga Atua mimrreni parpelari.” Ko ni epaptaese ni vajin.
MAT.3.16	Ko Iesu daron nga m̃ipaptaes jile, evel lingi nuwi evesane, ko elesi melrin etp̃ir; ko elesi Nem̃in se Atua ojubbul erpe wum̃er, ko evini esilvi ni. 
MAT.3.17	Ko drrelan san eplari re melrin, owra “Morok evi natuk nga memrreni, nurnge erres elep suri ni.”
MAT.4.1	Daron nga Jon m̃ipaptaes jile Iesu musuw vajin, Nem̃in On etkai Iesu van re lolo merwer nga Demij purrowrrowe ni. 
MAT.4.2	Ko Iesu elngi tweni nanen, owra pulot van ji Atua. Ko mulot mian mian mijpari vajin nabong ngavöl ivij (40), vitunen ko ornge numer eaji lenglenge. 
MAT.4.3	Ko Demij, nga mok-rrowrrowe jinibb, evini jin, owra puloli Iesu pivitan. Ko owrai tevi ni: “E, nik kuvi pa Atua natun, ko numer ajim. Kupwerai tevi nevöt nawon ngel nir, parivi niv.” 
MAT.4.4	Ko ni erij weli ni, owrai tevi ni, “Ejki, sete bololi, suri aruli erpel renge Nale On se Atua, ‘Jinibb sete orongwose pimaur kis e niv kobbong; pimaur e nale jile ngok nga miplari renge jingo Atua.’ ”
MAT.4.5	Vitunen Demij etkai Iesu van renge ngaim nga muon renge Jerusalem, ko elngi renge drromdrromo Naim On mare jer, 
MAT.4.6	ko owrai tevi, “E, nik kuvi pa Atua natun. Kuprow jubbul vitan. Suri aruli erpel renge Nale On se Atua: ‘Atua pia-koni anglo sen nir, parwosinik renge nevrer mare, suri nik tukjilaklak wos b̃elam renge nevöt.’ ” 
MAT.4.7	Ko Iesu owrai tevi: “Ejki, sete bololi, suri aruli kele erpel renge Nale On se Atua: ‘Nik sete kuprrowrrowe Numal Atua som te, pijki.’ ”
MAT.4.8	Vesan kele Demij etkai Iesu van re botwen san nga muwu mare jer, ko evisenie ni batun vanu jile ne iel ngatan nir, ko nosrövien nen nir. 
MAT.4.9	Ko owrai tevi, “Poro nik kupjipa van ngatan kuplotoe inu, ko bea-lai nanu jile ngel nir tevim.” 
MAT.4.10	Ko Iesu owrai tevi ni, “Kupruj ngasu, Demij, suri aruli erpel renge Nale On se Atua: ‘Nik kuplotoe Numal Atua som, ko ni kobbong nik kupmajing sen.’ ” 
MAT.4.11	Muwrai jile tevi, ko Demij elinglingi ni. Ko anglo sopor arini ji ni ko armetmete ni.
MAT.4.12	Vitunen Iesu ornge nale nen nga marlingi Jon renge naim ne nekaien, ko ni olwi van Galili e. 
MAT.4.13	Mivini Galili, ko setemun evan Nasret, elinglingi Nasret ojpon ko etajer van Kapaneam e, ko elik ie. Kapaneam evi ngaim san nga muto devje nuwito nga milep nga mubbun rrerrale nisen Galili, renge vanu ne metka se Sepulon ko Naptali. 
MAT.4.14	Ngok eplari osorsan tevi nale san se Atua nga propet Aesea muli tuwi pa, owra 
MAT.4.15	“Vanu se Sepulon ko vanu se Naptali re devje nuwi seser ne Jortan van re devjen nga ngalu e renge dis; jinibb nen nir arivi jinibb ne vare. 
MAT.4.16	Arivi jinibb nga marlik renge nemalik, mian ko arlesi vajin moron nga milep. Ko jinibb nir nga marlik renge vanu ne namol ne mijen, moron ngok eplari jir.”
MAT.4.17	Renge daron nen, Iesu etipatun nga m̃iwerwer, owra “Nolo kami pululwi, suri otomori le pa batun vanu ne melrin p̃irrmali.”
MAT.4.18	Renge nabong kele san, Iesu evel sere renge jeli nuwito ne Galili. Ko elesi niaken eru, Saemon nga marveruse Pita, ko Antru. Ortuwe niva renge nuwi, suri orivi jinibb nga morok-revrevei nai. 
MAT.4.19	Ko Iesu owrai tevi nuru, “Kopor-vijuri inu, ko inu bea-loli kamru kopor-ivi jinibb nga morok-revrevei jinibb.” 
MAT.4.20	Ko ngavilvil nuru orlinglingi niva se nuru ko orvijuri ni.
MAT.4.21	Ko Iesu evel rujruj kele sopon ko elesi niaken kele eru, Jemes ko Jon, nuru tata se nuru Sepeti renge drrav ser, arilile niva ser. Ko everuse nuru. 
MAT.4.22	Ko ngavilvil nuru orlinglingi drrav ko tata se nuru, ko orvijuri ni.
MAT.4.23	Ko Iesu evel jile re Galili, ko ok-visviseni renge naim gortien ser, ko ok-werwer suri nale nga m̃irres suri batun vanu ne melrin. Ko ok-loli nir nga marmesi mesien lele arres luwi.
MAT.4.24	Mian ko nosp̃en sen arsup̃e renge Siria jile. Ko jinibb nir arwosi jinibb jijle nga marmesi vini jin. Armesi mesien lele: sopor niber arerer, ko sopor demij esisilvir, ko sopor nem̃i nai ololir armijmij, ko sopor nga niber sopor mimij. Ko ololi nir arres luwi. 
MAT.4.25	Ko delung elep arvijuri ni, jinibb ne Galili nir, ko Dekapolis nir, ko Jerusalem nir, ko Jutia nir, ko nir nga marlik van devje Jortan e.
MAT.5.1	Daron nga Iesu m̃ilesi delung nir, ko otongsa van mare renge botwen san ko elik ngatan. Ko jinibb sen nir arini jin, arlik rrale. 
MAT.5.2	Ko ni esa jingon etipatun evisvisenir owra
MAT.5.3	“Neiren renge nir nga norrorrmien ser mian ngatan,
MAT.5.3	suri batun vanu ne melrin evi pa se nir ko.
MAT.5.4	Neiren renge nir nga marok-taure dauren ne nololien,
MAT.5.4	mian ko Atua pia-jinge nir ko.
MAT.5.5	Neiren renge nir nga nolor maran ngatan jer,
MAT.5.5	suri mian ko dan pia-ivi se nir ko, ko nanu jile nga marto rengen.
MAT.5.6	Neiren renge nir nga marmerrmerreni nga murrun nga m̃irres puto p̃irres, erpe jinibb armerrmerreni nanen ser ko nuwi num̃er,
MAT.5.6	mian ko Atua pia-la nanu nga marmerrmerreni tevir ko.
MAT.5.7	Neiren renge nir nga marok-telasi jinibb,
MAT.5.7	mian ko Atua pia-telasi tweni nir ko.
MAT.5.8	Neiren renge nir nga nolor marwokwok,
MAT.5.8	mian ko nir para-lesi Atua ko.
MAT.5.9	Neiren renge nir nga marok-loli demat,
MAT.5.9	suri mian ko jinibb nir para-veruse nir Atua natun ko.
MAT.5.10	Neiren renge nir nga jinibb marloli m̃isij tevir suri arloli nanu nga marres,
MAT.5.10	suri batun vanu ne melrin evi pa se nir ko.
MAT.5.11	“Ko neiren renge kami poro jinibb nir parwor suri kami, ko poro nir parloli p̃isij tevi kami, ko poro nir parkerkeris p̃isij tevi kami, parwera nanu lele nga marsij suri kamivi inu jinibb suk nir. 
MAT.5.12	Kami kap̃ir pilep, suri nowli kami elep re melrin, osorsan tevi nowli propet san. Suri propet nir nga marwowomue kami tuwi, jinibb arloli esij ko pa tevir erpok.
MAT.5.13	“Murru kami nga m̃irres arirpe sol se jinibb jijle nir nga marok-lingi re nanen ser. Ko poro nga sol dilten nga m̃irres pivel lingi jijle, ko p̃irres luwi pirpese ko? Erres re parlai ko parsor tweni, ko jinibb parivivel ren parbbötbböt ren vajin.
MAT.5.14	“Ko murru kami nga m̃irres erpe moron se jinibb jijle nir. Moron sete orongwos puto teptepi; osorsan tevi ngaim nga milep san nga muto limjer mare re botwen. 
MAT.5.15	Ko poro jinibb san pusli nasul, ko sete orongwos putori ngatan; putori mare sopon, ko puloli jinibb jile parlesi moron. 
MAT.5.16	Kami kamivi nasul nen. Moron se kami pimor wor van ji jinibb jile, puloli jinibb jijle parlesi majingen se kami nga m̃irres, ko parsurövi Tata se kami nga m̃ilik renge melrin.
MAT.5.17	“Sete kaprrorrmi inu nuvini tweni bolokloksi nale ne nesesreien nir ko nale se propet nir nga marto re Naul On. Inu sete nuvini tweni bolokloksir, ejki, nuvini tweni bololir parpelari le. 
MAT.5.18	Nuwretun nuwrai tevi kami, pia-jipari daron nga melrin ko iel ngatan pora-asi, sete bebje nale nesesreien san p̃iasi nawon, pia-jipari nga nanu ngel jijle nir para-pelari. 
MAT.5.19	Poro jinibb p̃isan putor otvi nale nga welwelili jer nen san renge nale nesesreien, ko pivisvisenie jinibb nga parloli pirpok kele, m̃ernen parveruse pivi jinibb nga welili jer renge batun vanu ne melrin. 
MAT.5.20	Inu nuwrai tevi kami, kaploli nanu nga parres, parasie jinibb nevisvisenien ne nale nesesreien nir ko Parasi nir. Poro pijki, setete kami kamrongwos kapan renge batun vanu ne melrin.
MAT.5.21	“Kami kamrunge pa nga marwerai pa tevi b̃irtera ne tuwi nir renge Naul On, ‘Sete kuprevji pini jinibb pisan. Ko poro jinibb san pirevji pini jinibb pisan, m̃ernen pia-sij ren re daron nga Atua puwra suri lat nga puto suri tevi jinibb nir.’ 
MAT.5.22	Ko inu ma nuwrai tevi kami vajin, Poro jinibb p̃isan pulolarsi tuwan kobbong, m̃ernen pia-sij ren re daron nga Atua puwra suri lat nga puto suri tevi jinibb nir. Ko poro jinibb p̃isan puwrai tevi tuwan, ‘Kulengleng,’ m̃ernen pia-sij ren re nosp̃en se numal nir. Ko poro jinibb p̃isan puwrai tevi tuwan, ‘Kuvi jinibb nga kumloli sagraut nanu,’ m̃ernen pia-sij ren renge nabb ne norongen nga m̃isij.
MAT.5.23	“Ko erpok, daron nga kumla merrenien som vini re nawot nga marok-sulsul ren tevi Atua, ko iokporo kuprrorrmi jipari nga nik kumloli tuwam ololar, 
MAT.5.24	kuplingi merrenien nen puto mun, ko kupan kuploli p̃irres tevi tuwam, pusuw, ko kupluwi vini kele kupa-la merrenien som vajin.
MAT.5.25	“Ko poro nga jinibb san nga kumloli mulolar p̃itkai nik nga koporan re nosp̃en se numal nir, kupsaro pingavil, kuploli p̃irres tevi ni. Poro mijki, ko ni tia-lingi nik tevi numal nga mok-wera suri lat nga puto suri re jinibb nir, ko ni tia-lingi nik tevi jinibb ne naim ne nekaien, ko m̃ernen tia-lingi nik renge naim ne nekaien. 
MAT.5.26	Nuwretun nuwrai tevi nik, sete kurongwos kupivare re naim ne nekaien pijpari daron nga nik kupkele lweni nevöt nen jijle.
MAT.5.27	“Ko kami kamrunge nga marwerai kele renge Naul On arwera ‘Sete kupvenae nesevin m̃inij.’ 
MAT.5.28	Ko inu ma nuwrai tevi kami vajin, Poro nga jinibb p̃isan pimteni rres nesevin kobbong ko nolon pivnae, ngok nolon ololi pa esij jile ko tevi vinnen. 
MAT.5.29	Ko poro nga metem rres puloli nik kupvitan pirpok, ko kupla tweni re nik, kupwirre. Erres p̃elak kobbong re metem devjen pijkie, evi nanu nga welili kobbong, renge poro nga parwirre nibem totoklai pian renge lat ne nejijkien. 
MAT.5.30	Ko poro nga nevrem rres puloli nik kupvitan pirpok, ko kupta tweni re nik ko kupwirre. Erres p̃elak kobbong re nik nevrem devjen pijkie, evi nanu nga welili kobbong, renge poro nga nibem totoklai pian renge lat ne nejijkien.
MAT.5.31	“Ko arwerai kele renge Naul On arwera ‘Isi nga p̃ilngi kurtweni nesevin sen puli naul san suri, ko p̃ilai tevi vinnen.’ 
MAT.5.32	Ko inu ma nuwrai tevi kami vajin, Poro nga jinibb san nesevin sen sete puloli womue batun, ko m̃ernen bbong p̃ilngi kurtweni nawone, ko m̃ernen ololi esij nga nesen sen pian pivitan re norman m̃inij. Ko poro nga san p̃ilesi vin nga m̃er nga m̃ilngi kurtweni ngok, m̃ernen evitan re nesevin ngok.
MAT.5.33	“Ko kamrunge kele nga marwerai tuwi renge Naul On, ‘Sete kurongwos kupwera nise Atua nga puloli rijrijen som p̃iterter, ko mian ko vitunen ko kuptor otvi nale nen. Poro kupwera nise Atua, ko kuploli ko wor pusorsan tevi kumwerai.’ 
MAT.5.34	Ko inu ma nuwrai tevi kami vajin, Sete kupwera rragrrag nise nanu san nga puloli rijrijen som p̃iterter. Sete kupwera nise melrin, suri evi lat seksakel se Atua; 
MAT.5.35	sete kupwera nise dan, suri evi lat nga m̃ilngi b̃elan ren daron nga m̃isakel re nai seksakel se ni; sete kupwera nise Jerusalem, suri evi ngaim nga milep se Numal nga milep. 
MAT.5.36	Ko sete kupwera nise batum kele daron nga kumloli rijrijen e, suri nik sete kurongwos kuploli rao batum san puwuwer rrek pimotmot. 
MAT.5.37	Ko daron nga ma kumrijrij nga kuploli nanu san, ko kuploli ko wor nanu nen; ko daron nga kumrijrij nga sete kuploli nanu san, ko sete kuploli nanu nen. Murrun nga parwera nawon nise nanu daron nga parijrij, arivel ji Demij kobbong vini.
MAT.5.38	“Kamrunge nga marwerai kele renge Naul On, ‘Poro san pulokloksi metem tuwen, ko nik kupkele lweni kuplokloksi meten tuwen. Ko poro san puti rrawe liwem san, ko nik kupkele lweni, kuputi rrawe liwen san.’ 
MAT.5.39	Ko inu ma nuwrai tevi kami vajin, Sete kupwer ore jinibb nga m̃isij. Poro pungasim, ko puwje vasum rres, ko kuprieni nom, ko puwje kele vasum devjen kele. 
MAT.5.40	Ko poro jinibb san puwra p̃ilngim renge nosp̃en se numal nir ko p̃ilai sunsun som tuwen, ko kuplinglingi kele p̃ila sunsun ne melas som. 
MAT.5.41	Ko poro jinibb san puon terter nik kupsa narr sen van ngasu, ko nik kupsai van ngasu jer wor. 
MAT.5.42	Ko poro jinibb san pungoni nanu san ji nik, kuplai tevi ni; ko poro jinibb san owra p̃ilai mun jorom, sete kupwer ore ni.
MAT.5.43	“Kamrunge nga marwerai kele renge Naul On, ‘Kupmerreni selem ko kupungasi jinibb nga mok-loli m̃isij tevim.’ 
MAT.5.44	Ko inu ma nuwrai tevi kami vajin, Kapmerreni wor jinibb nga marok-loli m̃isij tevi kami, ko kapverus suri nir nga marungasi kami. 
MAT.5.45	Pirpok ko kapivi natu Tata se kami mawos nga m̃ilik renge melrin. Suri ni ololi nial sen esin ji jinibb nga marres ko nga marsij, ko okoni naus ous ji jinibb nga marres ko nga marsij. 
MAT.5.46	Poro kapmerreni lartul nga bbong marmerreni kami, ko ngok sev ko pivi nowli kami ren? Iok jinibb nga marok-lai takis kele, nga jinibb jijle nir marungasir, nir kele arok-loli kobbong erpok. 
MAT.5.47	Ko poro nga kapwera ‘erres’ tevi tuwa kami nir kobbong, kamloli nanu nga jinibb jijle kobbong nir marok-loli. Jinibb nga marlik re devjen nga vare nir arok-loli kele erpok.
MAT.5.48	“Ngok pirpel ma, kami kapivi wor jinibb mawos nga kapmomsawos p̃irres jijle ko, pirpe Tata se kami nga m̃ilik re melrin ni omomsawos erres jile.”
MAT.6.1	Ko Iesu owra “Kapmetmet, sete kaploli nanu nga m̃irres nga jinibb nir parlesi nawone. Poro pirpok, ko nowli kami nga Tata se kami nga m̃ilik re melrin pia-lai tevi kami tijkie, suri jinibb arsurövi pa kami osuw.
MAT.6.2	“Erpok, daron nga nik kumlai nevöt tevi b̃eres, sete kupsup̃sup̃e kele tevi jinibb nir, pirpe lartul nga marivel re sel eru marok-loli re naim gortien nir ko renge sel nir, nga marwera jinibb parsurövir. Nuwretun nuwrai tevi kami, nir arlai pa nowlir ko osuw. 
MAT.6.3	Ko nik ma, daron nga nik kuplai nevöt tevi b̃eres, kuplai silveni kem̃kam̃e, sete jinibb san purongwose. 
MAT.6.4	Ko Tata som vajin nga m̃ilesi nanu nga muto silveni pia-lai nowlim tevim.
MAT.6.5	“Ko daron nga kamlot e, sete kaploli pirpe lartul nga marivel re sel eru. Nir armerreni partur renge naim gortien nir ko partur ore mesakelkel ne sel nir, nga jinibb nir parlesi nir parlot. Nuwretun nuwrai tevi kami, nir arlai pa nowlir ko osuw. 
MAT.6.6	Ko nik ma, daron nga nik kuplot, kupan renge naim som ko kupkikiorore metali, ko kuplot van ji Tata som nga m̃ilik silveni. Ko Tata som nga m̃ilesi nanu nga muto silveni pia-lai nowlim tevim.
MAT.6.7	“Ko kami, daron nga kaplot, sete kapwer lululweni nanu nga kami sete kamrongwose, pirpe jinibb nga marlik vare marok-loli. Suri nir arrorrmi poro nga nir parwer lululweni pirpok, ko atua ser nir parunge loten ser. 
MAT.6.8	Sete kami kaploli pirpok pirpe nir, suri Tata se kami orongwose womu pae sev nga nevre kami marmumrrol ren, vitunen ko kama-ungoni ni. 
MAT.6.9	Ko ngok kami sel nga kaplot ren pirpel le: Kapwera
MAT.6.9	‘Tata se kem, nik nga kumlik renge melrin,
MAT.6.9	Nik nisem on. Nammerreni jinibb jijle nir partori nisem.
MAT.6.10	Nammerreni nik batun vanu som pivini iel ngatan.
MAT.6.10	Nammerreni nik marongen som piplari iel ngatan, pirpe nga muto pa re melrin.
MAT.6.11	Kupla nanen pivter tevi kem lelingen, nabaani.
MAT.6.12	Ko kuptelasi tweni nololien se kem, pirpe nga kem namok-telasi pa nanu nga marsij nga jinibb nir marok-loli tevi kem.
MAT.6.13	Ko sete kuploli nanu parini parrowrrow p̃elake kem. Ko kuptor ore Demij, sete pivini pulokloksi kem.
MAT.6.13	[Suri batun vanu evi som, ko derteren evi som, ko nosrövien evi som, ko parto pijpari tuwi ngok vini. Amen.]’
MAT.6.14	“Suri poro kami kaptelasi tweni nololien se jinibb nir nga marok-loli tevi kami, ko Tata se kami nga m̃ilik re melrin kele p̃itlasi tweni nololien se kami kele vajin. 
MAT.6.15	Ko poro sete kaptelasi tweni nololien se jinibb nir, ko Tata se kami kele sete mia-telasi tweni nololien se kami kele vajin.
