MAT.1.1	Allaya listaan cha lampeɏpuwan Jesu Kristu un galak Ari David ya galak bo Abraham. 
MAT.1.20	Si lalomsomsomkalad chi alla, kakma lampaila anghel Apudyus kan siya si in-ilop ot kalala, “Joseph, un galak Ari David, achika mangkossa un mangasawa kan Mary, ti halat un bugila ked mipagapu si kilabyelin chi Ispiritun Apudyus. 
MAT.1.21	Iyalakla leɏaki ked ngadlonyu siya Jesus, ti siya Malagu kan cha tagula kan cha byasbyasuɏcha.”
MAT.1.22	Lakwa cha laoy ta matungpeɏ ugud Apudyus un inggilin cha propetala, un kalala: 
MAT.1.23	“Mabugi osaʼn byebyai un chaampun makaobog si leɏaki ked iyalakla leɏaki un ingachencha Emmanuel”
MAT.1.24	Bummangon pun si Joseph, tiluttuwala imbilin chi anghel Apudyus kan siya ot ilasawala si Mary. 
MAT.1.25	Ngim achipunla yan kilaobog inggalà inyalak Mary leɏaki ot lingachalan Joseph siyà Jesus.
MAT.2.1	Liyalak si Jesus si ili ud Bethlehem un sakupon Judea si timpun chi lanturayan Ari Herod. Inggew cha mangkalaing un langad-acheɏ si bituwon un lampeɏpu si ili un kapon chi sumileɏan ilit, gummatongcha ud Jerusalem un lakaim-imus, 
MAT.2.2	“Chimma awechen chi alak un liyalak un Arin cha Judio? Intullongmi bituwon si kapon chi sumileɏan ilit ked siya ummaliyanmì utla ta chayawonmi siya.”
MAT.2.3	Chingngeɏn pun Ari Herod chi hachi, amod chi chalegla. Siya bo kan cha achuʼn taguʼd Jerusalem. 
MAT.2.4	Impaayegla cha ap-apun cha papachi ya cha mimistulun chi lintog ot ilimusla kan chicha lu udma miyalakan chi Kristu.
MAT.2.5	Ot summongbyatcha un kalancha, “Ud Bethlehem, un osaʼn ili un sakupon chi Judea ti siya inggilin cha propeta un kalala,
MAT.2.6	‘Ked sika, Bethlehem un iliʼn sakupon chi Judea, sika kapopotgen un ili
MAT.2.6	ud Judea ti sika meɏpuwan chi pangat un asi mangayyuwan
MAT.2.6	kan cha taguk un galak Israel.’ ”
MAT.2.7	Oli pun inyaggakaw Ari Herod impaayeg cha hachiʼn mangkalaing un langad-acheɏ si bituwon ot laammuwala kan chicha chi ustuʼn timpun lampain-an chi bituwon. 
MAT.2.8	Ot imbuunla chicha ud Bethlehem un kalala, “Ingkayu amman sington chi alak. Ked lu maochesanyu, ipakaammuyu kan sakon ta inyak bo chayawon siya.”
MAT.2.9+MAT.2.10	Lagamput ked chi im-imus chi Ari, lallubbyatcha ot amod chi teɏokcha ti kasin lampaila hachiʼn bituwon un intullongcha. Ummun-ula lu chicha ot ummillong si byetug chi inggewan chi alak. 
MAT.2.11	Lilumlokcha si hachiʼn byeɏoy ot intullongcha pu hachiʼn alak ya si ilalaʼn Mary, lampalintumingcha un lanchayaw kan siya. Ot lan-itokweɏcha kan cha lakakassun un ichatunchaʼn buɏawan, byangbyanglu un insenso ya apɏus un mirra ot illidchonchaʼn kan siya.
MAT.2.12	Ot bilegbyegaan Apudyus chicha si in-ilop, ta achicha mangulin kan Herod. Ot lalligligchaʼn langulin ud ilicha.
MAT.2.13	Ummoyon pun cha hachiʼn mangkalaing un tagu, lampaila anghel Apudyus kan Joseph si in-ilop ot kalala, “Bumangonka, itodchaklu cha man-ila ud Egypt ked inggew kayu udchi inggala ibyegak un mangulin kayu, ti impasngit Ari Herod chi alak ta ipaotoyla.”
MAT.2.14	Ot bummangon si Joseph ot intallayla cha man-ila ot ummoycha ud Egypt si hachiʼn labi. 
MAT.2.15	Ot illinggewcha udchi inggalà latoy si Herod. Lakwa alla ta matungpeɏ imbyegan Apudyus kan cha propeta un kalala, “Ilayagek chi alakku ta telalaʼd Egypt.”
MAT.2.16	Laammuwan pun Herod un silikapan cha hachiʼn mangkalaing un tagu siya, amod chi sangala. Ot imbilinla kan cha susuɏchachulaʼn otoyoncha cha losan un aalak un leɏaki un mantawon si chuwa ya cha chaampun machuwan tawon ud Bethlehem ya cha adchaliyan un ili. Ti umoy si chuwaʼn tawon chi lummaus malipud si lampain-an chi bituwon un imbyegan cha mangkalaing un langad-acheɏ si bituwon. 
MAT.2.17	Ot latungpeɏ imbyegan propeta Jeremiah un kalala,
MAT.2.18	“Mamadngeɏ cha singongoya ud Ramah, amod cha sin-aagaeg ya sin-iibin.
MAT.2.18	Ilibilan Rachel cha aalakla ked issalaʼn liwliwaoncha siya ti laamincha latoy.”
MAT.2.19	Latoy pun si Herod, kasin lampaila anghel Apudyus kan Joseph si in-ilop ud Egypt ot imbyegala kan siya, 
MAT.2.20	“Bumangonka, ta itallaylu cha man-ila ked mangulin kayuʼd Israel, ti latoy cha lamanggop un mangtoy si allaʼn alak.” 
MAT.2.21	Ot bummangon si Joseph ot intallayla cha man-ila ot langulincha ud Israel.
MAT.2.22	Ngim chingngeɏla pun un si Archelaus un alak Herod chi lanturay ud Judea, ummogyat un umoy udchi. Gapu ta lipain-ilop kan siya, ummoycha ud probinsiyan chi Galilee. 
MAT.2.23	Ot billumɏoycha si iliʼd Nazareth. Ot latungpeɏ imbyegan cha propeta un kalancha, “Ngadloncha siya iNazareth.”
MAT.3.1	Si hachiʼn timpuʼn inggewan Jesus ud Nazareth. Inggew chi osaʼn leɏakiʼn mangngachen John un Mambubunyeg. Ummoy si lugeɏ ud Judea un lappun ummili ot lambyegbyega kan cha taguʼn kummatam kan siya. 
MAT.3.2	Kalala, “Ibyabyawiyu cha byasbyasuɏyu ti chanchali Mampangatan Apudyus.” 
MAT.3.3	Si John chi hachiʼn ibyegbyegan propeta Isaiah un kalala,
MAT.3.3	“Awed chi osaʼn tagu un inggew si lugeɏʼn lappun ummili un ip-ipkawla un,
MAT.3.3	‘Pabiɏuwonyu somsomokyu ya mansagala kayu un isun chi ileɏamyu chaɏan un ayon chi Ari.’ ”
MAT.3.4	Ha silup John, lilagaʼn chutchut chi kameɏ, ked ha sintulunla gedchang, ha kakallola ked chuchun ya chilu. 
MAT.3.5	Amod cha taguʼn ummoy lanchongeɏ si intudtuchula un lampeɏpuʼd Jerusalem ya losan un iliʼn sakupon chi probinsiya ud Judea ya ulay ili-iliʼn mampachewwang un Jordan. 
MAT.3.6	Ot lan-ipudlucha kan cha byasbyasuɏcha ot bilunyagen John chicha si chewwang un Jordan.
MAT.3.7	Ngim intullong pun John cha amod un Pariseo kan cha Saduceo un umoy mampabunyeg kan siya, kalala kan chicha, “Chikayuʼn lasikap un isun chi uɏog, silu langibyega kan chikayu un milisiyu chusan Apudyus lu mampabunyeg kayu? 
MAT.3.8	Masapuɏʼn koonyu cha losan un mangipaila un tuttuwaʼn lambyabyawi kayu kan cha byasbyasuɏyu. 
MAT.3.9	Achiyu kalan un milisiyu kachusaanyu gapu ta galak chikayu kan Abraham. Ti ibyegak kan chikayu un makwaʼn mambyalilon Apudyus cha byetuʼn alla un galak Abraham. 
MAT.3.10	Si Apudyus isun chi taguʼn iyaallala wasaylaʼn mamokpok si puun chi kayu. Losan un kayuʼn achipun mamunga si bibiɏu ked mapokpok ya mitungu si apuy.
MAT.3.11	“Bunyagek chikayu si chelum un mangipaila un lambyabyawi kayu kan cha byasbyasuɏyu. Ngim ha misagsagulud kan sakon, bunyagela chikayu si Ispiritun Apudyus ya apuy. Langatngatu siya si achayu lu sakon ked achipulak lumbong un mamigging si sancheɏla.
MAT.3.12	Ked lu umali siya ilasinla cha bibiɏu un tagu si cha lawwing un tagu, miyalig si mantopa un mansilaola bilayu ya chugi. Ha bilayu iteponla si aɏang ngim ha chugi ibyellula si apuy un achipun masobsobyen.”
MAT.3.13	Si hachiʼn timpu gummatong si Jesus un lampeɏpuʼd Galilee ot ummoy chewwang un Jordan ta mampabunyeg kan John. 
MAT.3.14	Ngim achipun John pion un bunyagen siya, ot kalala, “Sakon chi masapuɏʼn bunyagem. Puggey un sika bugga umali mampabunyeg kan sakon?”
MAT.3.15	Ngim kalan Jesus un summongbyat, “Chowot sika mamunyeg kan sakon si sala, ti kasapuɏan un koon taku cha losan un ipakwan Apudyus kan chitaku.” Ot inteun John un bunyagen siya.
MAT.3.16	Lagamput pun labunyagen si Jesus, ummopwas siya si chelum, ot liwalit ud langit ot intullongla Ispiritun Apudyus un isun chi kalapati un lan-osog ot lansap-oy kan siya. 
MAT.3.17	Ot ladngeɏ ginga un lampeɏpuʼd langit un kalala, “Liya Alakkuʼn tagtagopok ya masmas-omak kan siya.”
MAT.4.1	Oli pun impuyut chi Ispiritun Apudyus si Jesus si lugeɏʼn lappun ummili ta udchi malubsubyen Satalas kan siya. 
MAT.4.2	Lallaun siya si opat puɏuʼn eɏgew ya opat puɏuʼn labi ot patunged labitin. 
MAT.4.3	Ot ummoy si Satalas kan Jesus ot kalala, “Lu tuttuwaʼn Alak chika kan Apudyus, ibyegam kan cha allaʼn byetu ta mambyalin cha tilapay.”
MAT.4.4	Ngim summongbyat si Jesus, “Liigili si ugud Apudyus un kalala,
MAT.4.4	‘Chakampun si makan abus chi ikatagun cha tagu, ngim masapuɏcha kacha ugud Apudyus.’
MAT.4.5	Oli pun impuyut Satalas si Jesus si salimpatuk chi templo si laapudyusan un siudad ud Jerusalem. 
MAT.4.6	Ot kalala kan siya, “Lu tuttuwaʼn Alak chika kan Apudyus, lumayugka ti liigili si ugud Apudyus un,
MAT.4.6	‘Bililon Apudyus cha anghelesla ta ayyuwalan chika ya tapayaon chika taplu ulay cha chapanlu achipun masugat si byetu.’ ”
MAT.4.7	Ot kalan Jesus kan siya, “Ngim liigili bo si ugud Apudyus,
MAT.4.7	‘Achim mangin-in-an si Apu un Apudyuslu.’
MAT.4.8	Ot impuyut Satalas si Jesus si kataklangan un bilig ot impailala cha losan un turay ya mampangatan utla lubung ya cha losan un bilaklangcha. 
MAT.4.9	Ot kalala, “Idchok losan cha alla kan sika, lu mampalintumingka ya manchayawka kan sakon.”
MAT.4.10	Summongbyat si Jesus un kalala, “Wissedka Satalas! Ti kalan chi liigiliʼn ugud Apudyus,
MAT.4.10	‘Chayawom si Apu un Apudyuslu ya siya abus chi mansimbiyam.’
MAT.4.11	Ot tilelan Satalas si Jesus, ot gummatong cha angheles Apudyus ot ilayyuwalancha siya.
MAT.4.12	Chingngeɏn pun Jesus un libyaɏud si John un Mambubunyeg, langulin siya ud Galilee. 
MAT.4.13	Tilelalaʼd Nazareth ot ummoy illinggew ud Capernaum un osaʼn ili si igid chi byeybyey ud Galilee un sakup chi Zebulun ya Naphtali. 
MAT.4.14	Lakwa laoy ta tuttuwaʼn matungpeɏ inggilin propeta Isaiah un kalala,
MAT.4.15	“Si pita ud Zebulun kan Naphtali, si igid chi byeybyey, un chomangon chi
MAT.4.15	chewwang ud Jordan inggala si sakup chi Galilee un igew cha Gentil.
MAT.4.16	Cha tagu udchi, isun chi inggewcha si manggikbot gapu si byasuɏcha.
MAT.4.16	Ngim si umaliʼn eɏgew, itullongcha lapigsan Silaw.
MAT.4.16	Siya mansilaw kan cha inggew si manggikbot un igew cha latoy.”
MAT.4.17	Malipud si hachiʼn timpu, lilugiyan Jesus un lambyegbyega un kalala,
MAT.4.17	“Mambyabyawi kayu kan cha byasuɏyu ti chanchali Mampangatan Apudyus.”
MAT.4.18	Si lalidtidchaɏalan Jesus si teɏanteg chi byeybyey ud Galilee, intullongla cha chuwaʼn mansulud, cha Simon un ngadlon cha Peter ya si Andrew un pin-acha malabukuɏ ti siya kawachicha. 
MAT.4.19	Ot kalan Jesus kan chicha, “Tun-ucholak ta isuɏuk kan chikayu in-ilonyuʼn malabukuɏ si tagu.”
MAT.4.20	Ot kakmacha tilelan cha tabukuɏcha ot litun-udcha kan siya.
MAT.4.21	Si lalidtidchaɏalanchad chi teɏanteg, intullong Jesus cha chuwaʼn mansulud, cha James kan John un alak Zebedee. Inggewcha si byangka kan cha Zebedee un amacha un pin-ala isagala tabukuɏcha. Ot ilayagen Jesus chicha. 
MAT.4.22	Ot kakmacha tilelan chi byangkacha ya si amacha. Ot litun-udcha kan Jesus.
MAT.4.23	Ummoy si Jesus kan cha losan un iliʼd Galilee. Ot lantudtuchu si cha sinagogacha. Imbyegbyegala Bibiɏuʼn Chameg mipanggop si Mampangatan Apudyus ya pilalin-awala bo cha lakalakalasiʼn sakit ya cha ligat cha tagu. 
MAT.4.24	Ked lanchilongeɏ pin-an Jesus killingwa si cha losan un iliʼd Syria. Hachi gapulaʼn lan-iyoy cha tagu kan cha losan un lasakit, un lakalakalasi sakitcha ya ligatcha, isun cha laaɏan, laketoy ya lapalalais, ot pilalin-awan Jesus chicha. 
MAT.4.25	Amo-amod cha taguʼn litun-ud kan siya un lampeɏpuʼd cha probinsiya ud Galilee, Judea, Decapolis, Jerusalem ya cha iliʼn inggew si chomangon chi chewwang ud Jordan.
MAT.5.1	Intullong pun Jesus cha amod un tagu, lalagecha si bilig
MAT.5.2	Ot illugilaʼn lantudtuchu kan chicha un kalala,
MAT.5.3	“Pian cha taguʼn ammucha un lappun kabyeeɏancha si sangwalan Apudyus, ti mipaticha si Mampangatan Apudyus.
MAT.5.4	“Pian cha taguʼn mallachingit gapu si byasuɏ, ti liwliwaon Apudyus chicha.
MAT.5.5	“Pian cha taguʼn mangipakumbyabya si long-egcha, ti chicha malawid si pita.
MAT.5.6	“Pian cha taguʼn pipioncha un koon cha ipakwan Apudyus, ti maplokcha.
MAT.5.7	“Pian cha taguʼn malagchegu kan cha asintatagucha, ti kacheguwan Apudyus chicha.
MAT.5.8	“Pian cha taguʼn mampeɏkas cha somsomokcha, ti mailacha si Apudyus lu sumin eɏgew.
MAT.5.9	“Pian cha taguʼn pin-a mangwa si lumin-awaan cha tagu, ti ibilang Apudyus chichaʼn aalakla.
MAT.5.10	“Pian cha taguʼn mapalpaligatan gapu si mangwaancha si pion Apudyus, ti lipaticha si Mampangatan Apudyus.
MAT.5.11	“Pian kayu lu mangig-iggaan chikayu ya palpaligatan chikayu ya pepewingon chikayu gapu kan sakon. 
MAT.5.12	Ulay lu katchi pin-acha koon kan chikayu, matetteɏok kayu, ti chakeɏ gunggulayuʼd langit. Ti kamatchi bo killingwan cha taguʼn lamampaligat kan cha propetan ummun-ula lu chikayu.”
MAT.5.13	Ot intuɏuy Jesus un lantudtuchu, kalala, “Isuyu asin kan cha losan un tagu si allaʼn lubung. Ngim lu makaan chi simsimla, lappun in-ilolaʼn mangiyulin si kilaasinla. Lappun puutlà akit, mibyellu ked byebyechokon cha tagu.
MAT.5.14	“Ya isuyu silaw un mansilaw si somsomok cha tagu si lubung. Isuyu iliʼn inggew si osaʼn bilig un mampatak ya achipun makwaʼn maseilan. 
MAT.5.15	Ked lappun tagu si tonggela silaw ked lilakkobyela si chungchung. Ngim ipatayla si ustuʼn papattayan ta silawala cha losan un inggew ud chaɏom chi byeɏoy. 
MAT.5.16	Kamatchi bo un kasapuɏan un silawanyu cha tagu ta mailacha bibiɏuʼn ugaliyu ked siya mangichayawancha kan Apudyus un Amayuʼd langit.”
MAT.5.17	Kalan Jesus, “Achiyu kalan un ummaliyak ta inyak kaalon chi lintog un inggilin Moses ya cha tudtuchun cha propeta, ngim ummaliyak ta matungpeɏ cha losan un liigili.
MAT.5.18	Tuttuwa ibyegak kan chikayu, maumas chi langit ya pita ngim cha lintog Apudyus ked sissiya, ulay simpattok achipun mataɏak inggalad matungpeɏ cha losan un panggop Apudyus. 
MAT.5.19	Ked ha taguʼn achipun tumuttuwa si ulay kapaatan un lintog Apudyus ya siya bo itudtuchula kan cha uchum, miibilang un siya kabyabyaan si Mampangatan Apudyus. Ngim lu silu tumuttuwa si lintog Apudyus ya siya bo itudtuchula kan cha uchum, siya mibilang un kangatuwan si Mampangatan Apudyus. 
MAT.5.20	Ti ibyegak kan chikayu, un achipun kayu mipati si Mampangatan Apudyus lu achipun kayu lalinlintog lu cha Pariseo ya cha mimistulun chi lintog.”
MAT.5.21	“Chingngeɏyu un liibilin kan cha tagu si awi un kalala, ‘Achi kayu pumatoy, ked lu silu pumatoy, michiɏum ked machusa.’ 
MAT.5.22	Ngim ibyegak kan chikayu, lu silu sumanga si biɏunla makuis ked lu silu mangig-iggaala biɏunla, michiɏum kan cha kukunsiseɏ ked lu silu mangibyega si biɏunla un, ‘Oggog! Lappun puutlu!’ lobbonglaʼn mibyellu si apuy ud impiyeɏlu. 
MAT.5.23	Ked lu awed ingka ichatun kan Apudyus si altar ya laslasmokluʼn awed lawingon chi biɏunlu kan sika, 
MAT.5.24	telam chi chatunlu si sangwalan chi altar ked ingka umula mampakawan si biɏunlu asika ot mangulin ya manchatunka kan Apudyus.
MAT.5.25	“Lu awed lamabyasuɏ kan sika ya mangichiɏum kan sika, kakmam umoy makaaliglu sakbyey un gumatongka si korti. Ta achila ipuɏang sika si kuis ked achipun chi kuis sika ipuɏang kan cha pulis ta achipun cha pulis sika ibyaɏud. 
MAT.5.26	Tuttuwa ibyegak kan sika, lu mibyaɏudka achipunka mibukat inggalaʼd byayachem losan un muɏtam.”
MAT.5.27	“Chingngeɏyu un liibilin kan cha tagu si awi un kalala, ‘Achi kayu makachegchegas.’ 
MAT.5.28	Ngim ibyegak kan chikayu, lu silu mangitullong si byebyai ya piolaʼn eɏan siya ked lakabyasuɏ si chegchegas si somsomokla. 
MAT.5.29	Lu siya makabyasuɏam cha itullong chi machuwalan un atam, ukaom ked ibyellum! Un-ulloy chi makuɏangan chi long-eglu lu wechewed chi long-eglu ked mibyelluʼd impiyeɏlu. 
MAT.5.30	Lu siya makabyasuɏam chi kokòon chi machuwalan un imam, lampogem ked ibyellum! Un-ulloy chi magugungsuɏan chi osaʼn imam lu wechewed chi long-eglu ked mibyelluʼd impiyeɏlu.”
MAT.5.31	“Chingngeɏyu un liibilin un kalala, ‘Lu ichangan chi leɏaki asawala, masapuɏʼn mangwa si kasuɏatan chi man-ichangancha.’ 
MAT.5.32	Ngim ibyegak kan chikayu, lu ichangan chi leɏaki asawala, makabyasuɏ, malaksig lu lakachegchegas chi byebyai, un siya gapun chi mamabyasuɏala kan siya. Ya lu silu mangasawa si laichangan un byebyai makabyasuɏ si chegchegas.”
MAT.5.33	“Chingngeɏyu un liibilin kan cha tagu si awi un kalala, ‘Achim yam-alon chi insapatam, ngim masapuɏʼn koom chi insapatam kan Apudyus.’ 
MAT.5.34	Ngim si sala ibyegak kan chikayu un achi kayu mansapata ya achiyu isapataʼd langit, ti siya mantutuggewan Apudyus un manturay. 
MAT.5.35	Willu achiyu isapata allaʼn pita, ti siya lipatayan chi ikila. Ked isula bo un achiyu isapata ud Jerusalem, ti siya siudad chi kangatuwan un Ari. 
MAT.5.36	Ya achim isapata chi uɏum, ti achipunka makakopya si ossaan un mamputilak willu mangngitit un buuk. 
MAT.5.37	Un-ulloy chi kalanyuʼn ‘O’ lu tuttuwa, willu ‘Lai’ lu achipun, achiyu chog-an si sapata, ti losan un ichogayu lampeɏpu kan Satalas.”
MAT.5.38	“Chingngeɏyu un liibilin kan chikayu un kalala, ‘Lu silu mamussok si atan chi asintatagula, masapuɏʼn mabussok bo atala. Ked lu silu mamugbug si ngipon chi asintatagula, masapuɏʼn mabugbug bo ngiponla.’
MAT.5.39	Ngim ibyegak kan chikayu, achiyu ibyaɏos cha lawwing un kingwan chi asintataguyu kan chikayu. Lu awed malipak si machuwalan un apinglu, itayam bo machuwigin apinglu. 
MAT.5.40	Ked lu awed mangichiɏum kan sika ta eɏala siluplu, idchom bo chakitlu. 
MAT.5.41	Ked lu awed tagù ipatutla ipabukud kan sika keɏgala si sinkilamitru, bukuchom ulay chuwaʼn kilamitru. 
MAT.5.42	Lu awed mangkochew kan sika, idchem. Lu awed bumulud kan sika, pabuluchem bo.”
MAT.5.43	“Chingngeɏyu un liibilin kan chikayu un kalala, ‘Masapuɏʼn ayatonyu cha bubuɏunyu, ngim sangaonyu cha kabusuɏyu.’ 
MAT.5.44	Ngim ibyegak kan chikayu, masapuɏʼn ayatonyu cha kabusuɏyu ya iluwaluwanyu cha mamampaligat kan chikayu. 
MAT.5.45	Ta mibilang kayu un aalak Apudyus un Ama takuʼd langit. Ti man-iisun ipalubusla umilitan chi ilit kan cha bibiɏuʼn tagu ya cha lawwing un tagu. Isula boʼn mangatod si uchen kan cha lalintog ya cha mangwa si lawwing. 
MAT.5.46	Kalanyu lin un lu siyad ay-ayatonyu cha mangay-ayat kan chikayu, gunggulaan Apudyus chikayu? Lai, ti ulay bo cha manchachagup si bugis katchi bo kokòoncha. 
MAT.5.47	Ked lu abus cha bubuɏunyu si makaug-ugguchenyu ya lilaksigyu cha uchum, simma puutla ti ulay cha achipun mamati, kamatchi bo kokòoncha. 
MAT.5.48	Ked masapuɏʼn lappun mangkuɏanganyu, un isun chi Amayuʼd langit un lappun mangkuɏangala.”
MAT.6.1	Intuɏuy Jesus lantudtuchu un kalala, “Allachenyu ta achiyu ipappaila kan cha tagu lu mangwa kayu si bibiɏu, ti lu siya mangwaanyu pionyuʼn ichayaw chikayu kan cha tagu, achipun chikayu gunggulaan kan Amayuʼd langit.
MAT.6.2	“Ked lu awed idchonyu kan cha taguʼn makasapuɏ si tuɏung, achiyu ipappaila kan cha tagu un isun chi kokòon cha aginpapati un ipappailacha kan cha kekkesa ya cha sinagoga cha bibiɏuʼn kokòoncha ta chayawon cha tagu chicha. Tuttuwa ibyegak kan chikayu, lagamputcha ilawat chi gunggulacha. 
MAT.6.3	Ngim chikayu, lu awed idchonyu kan cha makasapuɏ, ilanyu ta achiyu ipatagammu ulay siluʼn tagu. 
MAT.6.4	Ngim iyaggakawyuʼn mangtod ked si Amayu un mangitutullong kan cha losan un achipun maila gunggulaan chikayu.”
MAT.6.5	“Ked lu malluwalu kayu, achiyu iyis-isu kan cha aginpapati ti pionchaʼn isiked un malluwalu si sinagoga ya cha igid cha kekkesa ta itullong cha tagu chicha. Tuttuwa ibyegak kan chikayu, lagamputcha ilawat chi gunggulacha. 
MAT.6.6	Ngim lu malluwalu kayu, lumlok kayu si kuwetuyu ya inyolobyu ked malluwalu kayu kan Amayu un achipun maila ked si Amayu un Apudyus un mangitutullong si pin-ayu koon, ked gunggulaan chikayu.
MAT.6.7	“Lu malluwalu kayu achiyu anchu-anchuwon un mangkekemangon un isun chi kokòon cha achipun mamati, ti kalancha pun lu chongɏon Apudyus chicha lu achu maibyegacha. 
MAT.6.8	Achiyu tuɏachon chi malluluwalucha, ti ulay si chaampunyu mangibyeg-an tilataggammun Amayuʼn Apudyus cha masapuɏyu. 
MAT.6.9	Kamatla in-ilonyuʼn malluwalu:
MAT.6.9	‘Amami un awed langit, machaychayaw otyan chi ngachenlu.
MAT.6.10	Chumtong otyan chi Mampangatam utla pita ya
MAT.6.10	makwa otyan chi piom utla pita un isun chi lakwaʼd langit.
MAT.6.11	Mangtodka si ileɏgew un kalonmi.
MAT.6.12	Ya pakawalom cha byasbyasuɏmi, ti pilakawanmi bo
MAT.6.12	cha lakabyasuɏ kan chikami.
MAT.6.13	Ya achim ipalubus un masulisug kami ta achi kami makabyasuɏ,
MAT.6.13	ngim ilisim chikami si lawwing.’ ”
MAT.6.14	Ot kalan bo Jesus, “Lu pakawalonyu cha mangwa si lawwing kan chikayu, pakawalon chikayu bo kan Amayuʼd langit. 
MAT.6.15	Ngim lu achipunyu pakawalon chicha, achipun bo Amayu un awed langit pakawalon chikayu.”
MAT.6.16	Ot intuɏuy Jesus, “Lu mallaun kayu mipagapu si malluwaluwanyu, achi kayu aginchachauy un isun cha aginpapati. Ti pionchaʼn ipaila kan cha taguʼn lallaunchaʼn malluwalu. Ibyegak chi tuttuwa kan chikayu, gilamputcha ilawat chi gunggulacha. 
MAT.6.17	Ngim lu mallaun kayu, mancheup kayu ya malagaysay kayu, 
MAT.6.18	taplu achin cha tagu ammuwon un pin-a kayu mallaun ngim abus si Ama takuʼd langit un achipun maila chi sintagammu. Ked si Ama taku un mangitullong si cha litataɏuʼn koonyu, gunggulaan chikayu.”
MAT.6.19	Kalala bo, “Achi kayu man-ummung si bilaklangyu utla pita un makwaʼn yam-alon chi lakoy, metiyan ya makwaʼn maakaw.
MAT.6.20	Ngim siya otyan koonyu, man-ummung kayu si kilabyaklangyuʼd langit un lappun manyam-an, achipun metiyan ya lappun bo makaakaw. 
MAT.6.21	Ti ha katuttuwaala, lu silu potpotgonyu, kapilitan un siya bo isosomokyu.”
MAT.6.22	Oli pun lan-alig si Jesus un kalala, “Ha ata, siya silaw chi long-eg. Lu bibiɏu atam, masisillawan losan chi long-eglu. 
MAT.6.23	Ngim lu awed chipiktun chi atam, manggikbot chi losan un long-eglu. Ked lu manggikbot chi awed kan sika imbis un silaw, gettok un amod un pangot!”
MAT.6.24	“Lappun tagù mansimbi si chuwaʼn ap-apu. Ti kapilitan un memeɏyed si osa ya mansasanga si osa. Ked potpotgola bo osa ya am-amsiwola osa. Achipun makwaʼn manchisalola un mansimbi kan Apudyus ya bilaklang.”
MAT.6.25	“Siyad ibyegak kan chikayu, achi kayu machalagen mipanggop si mataguwanyu, un isun chi kalonyu, ilumonyu ya cha mansilupyu. Ti lapotpotog chi biyegyu lu ha makan ya lapotpotog bo long-egyu lu ha silup. 
