MAT.1.1	˻Isirele yembomanga ou pulu pulu anda kolepa˼ Eporayamo kinie
MAT.1.24	Josepo uru pepa makilipelie Awilimunge angellomone nirimu mele pilipe lipe tepalie ambomo lsimu. 
MAT.1.25	Nalo yu ambolangomo ou naa mepili “Telune naa peambili.” nirimu. Pe Mariane kango te merimu kinie
MAT.2.1	Erote kolea Judia disiriki yembomanga ye nomi kingi molopili Mariane kolea Judia, Betellieme taonona Yesusi merimu. Kanu walemanga ena wendo oli koleana pilipe konginjeli peli ye pokore alieli ‘Ulu mare wendo okomonje piliemili.’ ningu kombukandipime mimi siku kanoko moloringime kolea awili Jerusalleme ongolie ningendo: 
MAT.2.2	“Juda yembomanga ye nomi kingi molomba kango meringimu
MAT.2.3	Ye nomi kingi Erote iungumu pilipelie ‘Ye te yu kolo wangopa kingi molomba lepamo.’ nimbe pilipelie yu mini-wale mundupe, Jerusalleme yemboma pali mini-walela mundoringi.
MAT.2.4	Kanu kinie yuni Juda yembomanga Pulu Yemo popo tondoringi ye awilime pali kinie Pulu Yemonga ungu manemanga pulume pilku mane siringi yema pali kinie
MAT.2.5	Enone yundu ningendo: “Kolea Judia sukundu Betellieme taonona yu menge. Pulu Yemone ungu umbu tondorumume pilipe yemboma nimbe sirimu ye ˻Maikane˼
MAT.2.6	“Betellieme, kolea Juda
MAT.2.6	lemo kolea te,
MAT.2.6	yu kolea Juda sukundu kolea awilimenga yu kolea manie te molo.
MAT.2.6	Yunge sukundu ye nomi awili te wendo ombá, akumuni nanga Isirele yembomanga
MAT.2.6	sipisipi tapu yemo molopa eno nokomba.”.
MAT.2.6	nirimu kanumu.” niringi.
MAT.2.7	Kanu kinie yembo lupema naa kanoko naa pilku molangi Erotene pilipe konginjeli peli yema “Waa.” nimbe kombukandipimu pulu pulu wendo omba angilierimu walemo walsipe pilipelie nirimumuni, yundu ningu siringi kinie 
MAT.2.8	pilipelie enondo nimbendo: “Eno Betellieme puku kangomo wamoko koro-payo! Kanoko lendekolie na ongo ningu sieyo. Na kepe yu ombo popo topo imbi lipu ola mundundembo.” nirimu. 
MAT.2.9	Kingimuni aku sipe nirimu pilkulie eno kelko puku kano-poringi.
MAT.2.9	Kanu kinie ena wendo oli koleana molkolie kombukandipi kanoringimu eno puringine kumbi lepa pumbe pupelie kangomo molorumu ulke imune pupe ola angilierimu. 
MAT.2.10	Enone kombukandipimu kanokolie konopu paa awili teko siringi. 
MAT.2.11	Ulkena sukundu pukulie kangomo kinie anumu Maria kinie moloringili puku kanoko lenderingi. Kanokolie kangomonga kumbikerena koporongo langoko ma kanokolie yu popo toko imbi liku ola mundundoringi. Mundundukulie eno wale peanga mengo oringime apisiku mele peangama wendo liku yu siringi. Kou gollo kinie, paura kalemele kinie mune paa toli paura te kinie, kopongo wele mune paa toli te kinie, aku melema yu siringi.
MAT.2.12	Kanu kinie Pulu Yemone eno uru kumbu sipelie enondo nimbendo: “Eno Erote molemona kelko pu naa pangi, molo.” nirimu kinie pilkulie eno aulke tenga lupe ongolie lkondo puringi.
MAT.2.13	Kanu kinie pilipe konginjeli peli yema kelko puringi kinie Awilimunge angello tene Josepo uru kumbu sipelie nimbendo: “Ye nomi kingi Erotene nondopa yunge ami yemando “Kangomo koroko toko kondo-paa!” nimbé kene nu ola molkolie kangomo kinie anumu kinie liku mengo kolea Isipindu kowa puku molo-payo. Ne anjo molkolie ningemone, pe nane “Kelko yando waa.” nimbo kinie wangi. Ou molo.” nirimu. 
MAT.2.14	Aku nirimu kinie pilipelie Josepo ola molopalie ipulueli anunguluselo lipe meli Isipindu purumu. 
MAT.2.15	‘Erote kolomba kinie kelepo ulkendo pumolo.’ ningu ou Isipi anjo moloringi.
MAT.2.15	“Pulu Yemone nimbendo:
MAT.2.15	“Nanga kangomondo
MAT.2.15	“Kolea Isipi munduku siye kolko wendo ou.” nirindu.” nirimu.”.
MAT.2.15	nimbe kanu ye ˻Osiane˼ nirimu kanumu.
MAT.2.16	Kanu kinie anumu lapaselo Yesusi pea Isipi puku molangi, pilipe konginjeli peli yemane Erote yu liku lou lenderingi Erote yuni pilipelie mumindili paa awili tepa kolorumu. Mumindili kolopalie ami ye marendo nimbendo: “Betellieme taono kinie Betellieme nondopa lemo koleamakinie kanumenga puku kango ponie talo omba puli kangoma kinie ponie talo naa pora nili kangoma kinie koroko toko kondo-paa!” nirimu. Kombukandipi kanoko pilipe konginjeli peli yemane kombukandipimu pulu polopa wendo omba angilierimu walemo yundu ningu siringi mele pilipelie ponie aku sipe nirimu.
MAT.2.17	Aku sipe terimumunge koronga-ou Pulu Yemone ungu umbu tondorumume pilipe yemboma nimbe sirimu ye Jeremayane ulu te pe wendo ombá ou nirimu mele wendo orumu. 
MAT.2.18	Yuni nimbendo:
MAT.2.18	“Eno kolea Rama
MAT.2.18	yembo kolemele kinie kola telemele mele kola aku siku teringi pilieringi.
MAT.2.18	Ambo Reselene yunge ambolangomanga kola terimu.
MAT.2.18	Yu ‘Konopu pe nipili.’ ningulie teringi nalo yunge ambolangoma naa moloringi kulu yu kondo kolopa mindi molorumu.”.
MAT.2.18	nimbe Jeremayane ou aku nirimu kanumu.
MAT.2.19	Pe Erote kolorumu kinie Awilimunge angello tene Josepo Isipi molopili uru kumbu sipelie nimbendo: 
MAT.2.20	“ “Kangomo toko kondangi koro-paa.” nirimu yemo kolorumu kene ola molko anumu maloselo liku mengo kolea Isirelendo kelko pu.” nirimu kinie 
MAT.2.21	pilipelie yu ola molopa anumu maloselo lipe memba Isirelendo purumu.
MAT.2.22	Nalo Akellesi yunge lapa Erote kolo wangopa ye nomi kingimu molopa kolea Judia disiriki nokorumu pilipelie Josepo yu kanune altopa pumbendo pipili kolorumu. Kanu kinie Pulu Yemone uru kumbu sipelie nimbendo: “Marena tongenje kene akune naa pu.” nimbe yundu liepi liepi torumu kinie yu kelepa kolea Gallilli disiriki pupe 
MAT.2.23	akune lierimu Nasarete taonona pupe molorumu kulu Pulu Yemone ungu umbu tondorumume pilku yemboma ningu siringi yemane ˻Yesusi kinie˼ ulu te pe wendo ombá ou niringi mele kamu wendo orumu. Enone ningendo:
MAT.2.23	“Yembomane “Yu Nasarete taono ye te.” ninge.”
MAT.2.23	niringi kanumu.
MAT.3.1	˻Yesusi Nasarete taonona we molopili˼ No Lindeli Jono omba kolea Judia disiriki sukundu kolea ku lieline opa-ungu nimbelie nimbendo: 
MAT.3.2	“Pulu Yemo ye nomi kingimu molomba walemo nondopa wendo ombá tekemo kene enonga ulu pulu keri teringi konopune pelemoma munduku siye kolko konopu alowa teaa.” nirimu.
MAT.3.3	Kanu yemo ˻ou naa molopili paa koronga ou˼ Pulu Yemone ungu umbu tondorumume pilipe yemboma nimbe sirimu ye
MAT.3.3	“Kolea ku lieline yembo tenga kerena ungu te nimbendo:
MAT.3.3	“Awilimu ombá aulkemo teko mimi tendaa. Yu ombá aulke kangama toko sumbi siee.” nikimu.”.
MAT.3.3	nirimu. ˻Aisayane Jonone paa pe temba mele ou aku sipe nimbe panjipe boku torumu.˼
MAT.3.4	Jono yu kongi kemelenga indini teli wale te pakopa, kongi kilumuni teli kako te topalie, kuli-kumbe kinie pilimu-no kinie aku langiselo mindi nomba molorumu. 
MAT.3.5	Kanu kinie kolea awili Jerusalleme yemboma kinie Jerusalleme lierimu kolea Judia disiriki pali yemboma kinie kolea Jodane pali yemboma kinie kanu yemo molorumune pukulie niringimuni, 
MAT.3.6	no Jodane sukundu pukulie enone ulu pulu keri teringime ningu para siringi kinie yuni eno no linderimu. 
MAT.3.7	Yuni ˻Juda yembomanga ye awili˼ Parisime kinie Sadusime kinie
MAT.3.7	“Kolo topa yemboma tepa kenjeli wambiyemonga waloma, Pulu Yemo mumindili kolomba walemonga nawene “Eno talopa leko paa.” nimu kinie eno ‘Pulu Yemone naa tepa kenjepili.’ ningu ‘No liemili.’ ningu okomeleye? 
MAT.3.8	Eno sumbi siku molko, ulu peangama mindi teko molonge kinie eno ulu pulu keri teringime paa sike munduku siye kolko konopu alowa tenge mele mona lemba. 
MAT.3.9	“Olio anda kolepa Eporayamone kalopa lsimume molemolomonga yembo peangama molemolo.” ningu aku siku ningu naa pilieme. Nane eno nimbu sikiru: ‘Pulu Yemone ikoumendo “Eporayamone kalopa lsimu yemboma a leangi.” nilkenje koume Eporayamone kalopa lsimu yemboma molemela.’ nikiru. Eno Eporayamone kalopa lsimu yemboma molemelemonga uluri naa telemo.
MAT.3.10	“Unjo peke tomba loumu Pulu Yemone koronga unjo pulune ambolopa ola lipe molemo. Unjo mongo peanga naa tomba unjoma
MAT.3.10	yuni peke topalie tepena kalomba. 
MAT.3.11	Nane ulu pulu kerime siye kolko konopu alowa telemele yemboma sike no lindilio. Nalo te na akilipe ombámo yuni ˻Pulu Yemonga˼ Mini Kake Telimu kinie tepemo kinie eno lindimbe ˻linge˼. Ina akilipe ombá yemo yunge tondolomo paa olandopa, nanga tondolomo paa maniendopa. Na yu-kinie manda molo. Yembo awilimenga kongono keri teli kendemande yembomane sike enonga awilimenga kongono keri tendengendo kimbu su wendo lindilimele nalo na akilipe ombámonga kimbu su wendo lindimbo kanu kongonomo paa olandopa mele nane tendembo kapola naa telka, ˻na ye paa keri˼.
MAT.3.12	“Yuni yunge rasi-witi apuroli apulu pokomo ambolopalie yunge rasi witi mongo kinie rasi witi kilu kinie apurumbendo molemo. Yunge rasi witi apuroli polomo tepa mimi tembando rasi witi pali ‘wendo liembo.’ nimbe apurupelie mongoma lipe rasi witi nosilimo mingine ‘Liepili.’ nimbe nosimbendo mingi topa, pe kilume lipe maku topa tepe naa kumbulupe nomba pepa mindi pulimona kalomba.” nirimu.
MAT.3.13	Jonone yemboma no lindipe molopili Yesusi kolea Gallilli disiriki mundupe siye kolopalie nirimumuni, ‘Jonone na no lindepili.’ nimbe Jono no Jodane molorumune yu purumu. 
MAT.3.14	Orumu kinie Jonone nimbendo: “Aku paa molo. Nane nu no nambepo lindembo ningu nikinuye? Nuni na no lindilinanje papu.” nirimu.
MAT.3.15	Nalo Yesusini topondopa nimbendo: “Molo. Ulu kake teli ulume pali kapola tepili kene nikiru mele tei.” nirimu. Kanu kinie Jonone “Kapola.” nimbe yu no linderimu.
MAT.3.16	Yesusi no lipe pora sipelie nona sumbi sipe wendo orumu. Wendo ombá orumu kinie mulúmu kengeya lepa anjo yando purumu, Pulu Yemonga Minimu, kera waembono mele, manie omba Yesusi molorumune pupe kangine ola molorumu kanorumu. 
MAT.3.17	Kanu kinie mulune ola ungu te wendo ombalie, “I nanga konopu mondolio kangomo. Yu-kinie konopu sipu molio.” nirimu.
MAT.4.1	Yesusi ˻no lsimu kinie Pulu Yemonga Minimu yu-kinie omba molopalie nirimumuni,˼ Minimu yuni ‘˻Kurumenga nomi˼ depelemone
MAT.4.2	Akune Yesusi oli te koro talo mele
MAT.4.3	Kanu kinie ˻kuru˼ kondi toli ˻Setene˼ ombalie yundu nimbendo: “Nu Pulu Yemonga Malo
MAT.4.4	Nalo yuni topondopa nimbendo: “Pulu Yemonga bokumuni nimbendo:
MAT.4.4	‘Langimene mindi yemboma konde mololi ulu pulumu
MAT.4.4	naa silimo.
MAT.4.4	Pulu Yemone ungu nilimoma pali
MAT.4.4	pilku liku teko molonge kinie konde mololi ulu pulumu linge.’
MAT.4.4	nimbe molemo.”
MAT.4.5	Kanu kinie depelemone Yesusi lipe kolea awili Jerusalleme, akumundu ‘kolea awili kake teli’ nilimu, akune memba pupe Pulu Yemo popo toko kaloringi ulke tembelena memba, paa ola imune pupe anjipelie nirimumuni, 
MAT.4.6	yundu nimbendo: “Nu Pulu Yemonga Malo liemo nu lipe tapondomba kene pou ningu manie pu.” ˻nirimu.˼ “Pulu Yemonga bokumuni nimbendo:
MAT.4.6	‘Pulu Yemone yunge angellomane ‘Nu ongo nokangi.’ nimbé.
MAT.4.6	Enone nu ‘Kou tene kepe naa topili.’ ningu nu enonga kimene oko polko linge.’
MAT.4.6	nimbe molemo kanumu. Aku sipe nirimu kene pilkulie aku siku tei.” nirimu.
MAT.4.7	Yesusini yundu nimbendo: “Pulu Yemonga yembomando ungu te pea nimbe molemola. Akumu isipe:
MAT.4.7	‘Pulu Yemo enonga Awilimuni “Tembo.” nilimo mele
MAT.4.7	‘Sike nilimonje molo kolo tolemonje kanamili.’ ningu enone yu manda manjiku naa teangi.’
MAT.4.7	nimbe molemola kanumu.” nirimu.
MAT.4.8	Altopa depelemone yu lipe mulu te paa olandopa lierimune ola memba pupe anjipelie, yu ma koleama pali kinie koleamanga mele peangama pea lipe ora sipelie 
MAT.4.9	yundu nimbendo: “Nu nanga kumbikerena koporongo langoko manie molko na popo toko nanga imbi liku ola mundundonu liemo inu kanokono ma koleana lemo melema pali nu simbo.” nirimu.
MAT.4.10	Kanu kinie Yesusini yundu nimbendo: “Setene,
MAT.4.10	nu anjo pa! Pulu Yemonga bokumuni nimbendo:
MAT.4.10	‘Pulu Yemo enonga Awilimu manjiku popo toko
MAT.4.10	imbi liku ola mundunduku,
MAT.4.10	yunge kongonoma manjiku tendeko molangi.’
MAT.4.10	nimbe molemo kanumu.” nirimu.
MAT.4.11	Kanu kinie depelemo Yesusi yu mundupe siye kolopa yu purumu. Purumu kinie mulu koleana angelloma ongo Yesusi nokoringi.
MAT.4.12	Kanu kinie ˻No Lindeli˼ Jono ka siku ka ulkena panjeringi
MAT.4.13	Nasarete taonona ombalie nirimumuni, pe aku taonomo mundupe siye kolopa Kapeniame taono, nomu Gallilli kélona lierimu, akune pupe ‘Kinié ikoleamo nanga molombo kamu koleamo liepili.’ nimbe akune molorumu. Kapeniame ye Sepullano kinie Napatallaiselone kalko lsingili yemboma ou moloringi koleana
MAT.4.14	˻Kapeniame taonona pupe molorumumunge˼ koronga-ou Pulu Yemone ungu umbu tondorumume pilipe yemboma nimbe sirimu ye Aisayane
MAT.4.15	“Sepullanone kalopa lsimu yemboma
MAT.4.15	pelemele koleamo kinie,
MAT.4.15	Napatallaine kalopa lsimu yemboma pelemele koleamo kinie,
MAT.4.15	nomune pulimo aulkemo no Jodane nekendo lemo koleamo kinie,
MAT.4.15	kolea Gallilli wikindu yembo lupe awisili
MAT.4.15	aku koleamanga molemele yemboma
MAT.4.15	˻paa sumbulu toline molemele.˼
MAT.4.16	Kanu yembo paa sumbulu toline molemelema
MAT.4.16	pa tondolo paa awili tepa teli te kanoringi.
MAT.4.16	Kololi ulu pulumu aki topa sumbulu tondolemo koleana pelemele yembomanga koleana
MAT.4.16	pa tendekemo.” nirimu.
MAT.4.17	˻Kapeniame omba molorumu˼ kanu walemonga Yesusini yemboma pulu polopa ungume nimbe sipelie nimbendo: “Pulu Yemo ye nomi kingimu molopa nokomba walemo
MAT.4.18	Yesusi Nomu Gallilli kélona andopalie angenungulu talo kanorumu, akuselo Saimono kinie angenu Enderuselo oma lili wale te nomune toko munduku moloringili kanorumu. Pe Saimononga imbi te Pita niringila. Oma lsingili akumu elonga kou-kongono teringili kanumu. 
MAT.4.19	Aku siku teko moloringili kanopalie nimbendo: “Na lombili wangili. Oma lingelendo oma lili wale te liku nona manie mundulimbele kinie omama walena omba pelemo mele, pe ‘nanga kongonomo tengelendo nanga ungumu pilkulu ningu siliku andongele kinie yemboma nanga talapena sukundu ongo molangi.’ nimbu ‘Elo na lombili wale.’ nikiru.” nirimu. 
MAT.4.20	Aku nirimu kinie pilkululie tamburumbu elonga oma lili walema munduku siye kolkololie Yesusi lombili puringili.
MAT.4.21	Kanu kinie yu laye kolte welto pupelie angenungulu talo lupe kanorumu, akuselo Seperi malo Jemisi kinie Jemisi angenu Jonoselo, lapa Seperi kinie enonga nona andoli sipine sukundu oma lili walema toko tambulku moloringi kanopalie elo walsipelie “Na lombili wale.” nirimu. 
MAT.4.22	Aku nirimu kinie pilkululie elonga lapa Seperi kinie nona andoli sipimu kinie tamburumbu munduku siye kolkololie Yesusi yu lombili puringili.
MAT.4.23	Kanu kinie Yesusi kolea Gallilli disiriki sukundu koleamanga pali andopa, yemboma maku toko Pulu Yemonga ungumu pilieringi ulkemanga yemboma ungu mane sipe, Pulu Yemo nondopa ye nomi kingimu molopa nokomba mele
MAT.4.24	Yu terimu mele temanemo kolea Siria poropinji koleamanga pali anjo anjo purumu pilkulie enonga yembo kuru lupe lupe torumu yemboma kinie, mindili lupe lupe nongo moloringi yemboma kinie, yembomanga konopune kuru molko amboloringi yemboma kinie, kuru kopari torumu yemboma kinie, kimbu ki kukorumu yemboma kinie, yu molorumune mengo oringi kinie yuni eno tepa konde lsimu. 
MAT.4.25	Yembo paa awisili yu lombili puringi. Kolea Gallilli disiriki yemboma kinie, ‘Kolea Awili Rureponga Talo’ niringi kolea yemboma kinie, kolea Judia disiriki lierimu kolea awili Jerusalleme yemboma kinie, kolea Judia sukundu lierimu we koleamanga moloringi yemboma kinie, no Jodane nekendo koleamanga yemboma kinie, paa awisili yu lombili puringi.
MAT.5.1	Yesusini yembo awisili maku toko yu lombili puringime kanopalie ma pangine ola pupe molorumu kinie yu lombili andolime
MAT.5.2	Kanu kinie yuni eno ungu mane sipelie nimbendo:
MAT.5.3	“Yembo konopune koropa pulimo pilimele yemboma Pulu Yemo enonga ye nomi kingimu molopa
MAT.5.4	“Yembo kola teko konopu keri pepili molemele yemboma Pulu Yemone “Eno konopu peanga pepa toyombo topili.” nimbemonga eno malo.
MAT.5.5	“Yembo taka liku molko yembo lupema pilku molemele yemboma ma koleama pali Pulu Yemone eno simbe lingemonga eno malo.
MAT.5.6	“Pulu Yemone “Teaa.” nilimo ulu sumbi nilime tengendo waka kolko molemele yemboma manda molongemonga eno malo.
MAT.5.7	“Yembo lupema kondo kolemele yemboma Pulu Yemone kondo kolombamonga eno malo.
MAT.5.8	“Yembo konopu kake tepili molemele yembomane Pulu Yemo kanongemonga eno malo.
MAT.5.9	“‘Yemboma konopu telune pupili molangi.’ nilimele yemboma Pulu Yemone ‘Eno nanga ambolangoma.’
MAT.5.10	“Pulu Yemone “Teaa.” nilimo ulu sumbi nilime teko molemelemonga yembo lupemane eno mindili silimele ˻akumunge˼ Pulu Yemo enonga ye nomi kingimu molombamonga eno malo.
MAT.5.11	“Na pilku molemele yemboma, eno nanga yemboma molemelemonga we yembomane eno ungu taka tondoko mindili siku, ungu keri lupe lupema enonga bulkundu kolo toko nindinge kinie eno malo. 
MAT.5.12	˻Yembomane eno aku siku mele telemelemonga˼ eno mulu koleana punge kinie kanune Pulu Yemone eno mele kalopa kondomba kene konopu paa awili teko siku konopu peanga pepili molayo.
MAT.5.13	“Eno ma koleana yembomanga api kusa mele molemele. ˻Akumu mele peanga˼ nalo yu songo naa temba kinie ‘Yu kelepa songo tepili.’ nimbu ulu te manda temoloye? Yu kongono temba tondolo te altopa naa pembamonga we topo ltemolo kinie yemboma kimbu kongono teko andoko kambilinge kinie papu.
MAT.5.14	“Eno ma koleana yembomanga pa tendelime molemele.
MAT.5.15	Yembomane tepe-llame kandokolie mingine suku naa panjilimele. ‘Melema kanangi, ulke sukundu pa tepili.’ ningu polo tenga ola nosilimele.
MAT.5.16	Aku sipe mele ‘Olione ulu peangama telemolo mele yembomane kanokolie olionga Lapa, mulu koleana molemomo, kapi niengi.’ ningu
MAT.5.17	“Nane ‘Pulu Yemonga ungu manema ˻Mosisini˼ bokune torumu ungume kinie Pulu Yemone ungu umbu tondorumume pilku yemboma ningu siringi yemane bokune toringi ungume kinie
MAT.5.18	Nane enondo paa sike nikiru: Mulu maselo ou pora naa nipili Pulu Yemonga ungu manemanga ungu wallo kolte kepe paa we manie naa pumbe. Ungu manemanga pali ungu awili kangamanga pali kongonoma ou wendo ombá.
MAT.5.19	Akumunge, yembo tene kanu ungu manemanga ungu mane kanga te kepe pulue topa,
MAT.5.20	Nane eno nimbu sikiru: Parisime kinie Pulu Yemonga ungu manemanga pulume pilku mane silimele yema kinie
MAT.5.21	“Koro-ou ˻Mosisini˼ anda kolepalimendo ungu mane te sirimumu eno pilimele. Kanu ungu manemo isipe:
MAT.5.21	“Eno yemboma toko naa kondangi.
MAT.5.21	Yembo topa kondomba yembomo mongo limbe,
MAT.5.21	˻kote pilimele yembomane˼ yu kote tendekolie mongo liku singe.”
MAT.5.21	nirimu kanumu. 
MAT.5.22	Nalo kinié nane eno kanu ungu manemonga ungu pulumu i nimbu simbo tekero: Yembo tene yunge angenu kinie mumindili kolomba yembomo willisi kotena mengo puku kote tendenge. Yembo tene yunge angenundu “Nu kamakoye?” nimbé yembomo poropinjili kotena mengo puku kote tendenge. Yembo tene yembo tendo “Nu paa kongi mele aroma tolimu!” nimbé yembomo tepe koleana pumbe.
MAT.5.23	“Aku siku tenge yemboma mongo linge kene nuni ‘Pulu Yemone na kanopa peanga kanopili.’ ningu yunge melema tepena kaloli polona Pulu Yemo kongi molo kera popo toko kalko sinindu mengo ongolie nu angenane nu-kinie we mumindili te kolomba pilkulie ninimuni, 
MAT.5.24	nu Pulu Yemo kalko sini melema Pulu Yemo popo toko kaloli polo alsekondo we liepili nosikulie kelko anjo puku angenando “Telune kapola kapola molambili.” ningu puku ni-pukulie, pe kelko ongo nu Pulu Yemo kaloni melema ongo yu kalko sieni.
MAT.5.25	“Nu kote tendemba temba yembomo ‘Kapola kapola molambili ulu te teambo.’ ningulie welea teani. Aku naa tenu liemo nu kote tendemba yembomone nunge kote pilieli yemo molombana memba pupe simbenje. Pe kote pilieli yemone nu ka ulke nokoli yemo lipe simbe, yuni nu ka ulkena lipe mundumbe. 
MAT.5.26	Nane nundu paa sike nimbu sikirumu: Nu ka ulkena wendo onindu pundu paa pali tokolie mindi wendo onimu. We manda wendo naa oni.” ˻nirimu.˼
MAT.5.27	“˻Ou Mosisini˼ ungu mane te sirimumu eno pilimele. Kanu ungu manemo isipe:
MAT.5.27	‘Ambo ye pulime ye lupema kinie
MAT.5.27	wa ulu kerinele naa teko,
MAT.5.27	ye ambo lilime ambo lupema kinie
MAT.5.27	wa ulu kerinele naa teangi.’
MAT.5.27	nirimu kanumu. 
MAT.5.28	Nalo kinié nane eno ˻kanu ungu manemonga ungu pulumu˼ inimbu sikiru: Ye tene ambo te kanopalie ‘Yu pea tapu topo pelembelanje papu.’ konopu lemo akumu konopu sukundu ambomo kinie kamu wa ulu kerinele telemo.
MAT.5.29	Nunge mongoselone melte kanokolie konopuni ‘Liemboa.’ ningu pilku ulu pulu keri te tenu liemo mongoselo akuku lteani. Nunge mongoselo angiliepili nu tepe koleana liku mundunge kinie kapola naa temba kene kangimunge melte wendo liku ltekolie molko kondoni kinie papu. 
