MAT.1.1	Leabhar gheinealuigh Iósa Críosd, mhic Dhaibhi, mhic Abraham.
MAT.2.15	Agus do bhí se ann sin go bás Iorúaith: do chum go gcoimhlíonfuighthe an ní a dubhairt an Tighearna leis an bhfaigh, a deir, Do ghoir mé mo mhac as a Néigipt.
MAT.2.16	Ann sín an tan do chonnairc Iorúaith, go ndearnadar na dráoithe fonómhad faoi, do las sé lé feirg, agus ar gcur úadh, do mharbh sé a raibh do leanbaibh-fear a Mbetleem, agus ann a teórannaibh uile, ó áois dhá mblíadhan nó fáoi, do reír na haimsire dfoghluim sé go dithchiollach ó na dráoithibh. 
MAT.2.17	Is annsin do coimhliónadh an ní, a dubhairt Ieremías an fáigh, a deir, 
MAT.2.18	Do chlos gurh a Ráma, cáoí, agus gul, agus úallfurtach romhór, Rachel a cáoineadh a cloinne, agus níor bháil le sólás do ghlacadh, tré nach rabhadar.
MAT.2.19	Agus an tan fúair Iorúaith bás, féuch, do toibhreadh aingeall an Tighearna a mbriónglóid do Ióseph sa Néigipt. 
MAT.2.20	Ag rádh, Eírigh, gabh chugad an leanabh agus a mhathait, agus imthigh go talamh Israél: óir fúaradar 
MAT.2.21	Agus do eírigh seisean, agus do ghabh sé an leanabh agus a mhathair chuige, agus tainic sé go talamh Israél. 
MAT.2.22	Agus an tan do chúaluidh sé Archeláus do bheith na rí a ttír Iúdaighe a nionad Iorúaith a athar, do bhí eagla air dul innte: achd cheana, ar bhfagháil teaguisg ó Dhía dhó a mbriongloid, do iompóidh sé go críochaibh na Galilé: 
MAT.2.23	Agus an tan thánic sé ann, do chomhnuigh sé sa gcathair dá ngoirthear Násaret: do chun go gcomhlíonfuidhthe an ní a dubhradh ris na fáighibh, Go ngoirfighe Nasardha dhe.
MAT.3.1	Ann sna laithibh sin do bhí Eoin Baisde, ag déanamh seannmóra a bhfásach thíre Iúdaighe, 
MAT.3.2	Agus a rádh, Déanuidh aithríghe: óir do dhruid ríoghachd De ribh. 
MAT.3.3	Oír a sé so an té úd air ar labhair Isaias faígh, ag radh, Guth an té éimhgheas air an bhfasach, Ullmhuighidh slighe an Tighearna, déanuidh a chasain díreach. 
MAT.3.4	Agus a sí culuígh do bhí uime Eóin éadach do rúaidhneach chámhall, agus crios leathair a ttimcheall a leasruigh: agus a sé do budh bíadh dhó lócuiste agus mil fhiáin. 
MAT.3.5	Do chúaidh Ierusaléim a mach chuige an tansin, agus Iudéa uile, agus luchd na tálmhan atá a ttimcheall Iordan uile, 
MAT.3.6	Agus do ghabhadar baisdeadh úadha ann Iordán, ag admháil a bpeacadh.
MAT.3.7	Agus an tan do chunnairc sé mórán do Pháirisíneachaibh agus do na Sadúiseachaibh ag teachd do chum a bhaisdigh féin, a dúbhairt sé ríu, A shíol na naithreach neimhe, cía do fhoillsigh dháoibh teitheamh ón fheirg atá ag teachd? 
MAT.3.8	Ar a nadhbharsin tabhruigh toradh bhus iomchubhuigh do naithrighe: 
MAT.3.9	Agus na smúainidh a rádh ionnaibh féin, Atá Abraham na athair 
MAT.3.10	Agus a nois atá an túagh ar na cur do chum fréimhe na gcrann: air a nadhbharsin giodh bé crann nach iomchrann toradh maith gearrthar é, agus teilgthear san teinidh é. 
MAT.3.11	Go deimhin baisdimsi sibh lé huisge do chum aithrighe: achd cheana an té thig am dhíaigh is láidire é ná me, agus ni fíu misi a bhróga diomchur: baisdfe seisean 
MAT.3.12	Agá bhfuil a críathar ann a láimh, agus glanfuigh sé urlár a bhúailte, agus cruinneochuigh sé an chruithneachd an ait thaisgidhe; agus loisgfidh sé an cháidh lé teinigh nach éidir do mhúchadh.
MAT.3.13	Taínic Iósa an tansin on Ngalilé go Iordán do chum Eóin, íonnas go mbaisdfeadh sé é. 
MAT.3.14	Achd 
MAT.3.15	Agus do fhreagair Iósa é agus a dubhairt se ris. Léig dhó a nóis: óir is mar so íomchubhaigh dhúinn gach uile cheart do choimhlíonadh. Do fhulaing sé dhó an tansin. 
MAT.3.16	Agus ar mbeith ar na bhaisdeagh Díosa, do chúaidh sé air ball súas as a nuisge: agus, féuch, do hósgladh neamh dhó, agus do chunnairc sé Spiorad Dé ag tuirrling a gcosamhlach choluim, agus ag teachd airsion: 
MAT.3.17	Agus féuch gúth ó neamh, ag rádh, Ag so mo Mhac grádhach so, dá bhfuil mo mhórthoil 
MAT.4.1	Ann sin do threóruigh an spiorad Iósa gus an bhfásach do chum go gcuirfeadh an díabhal cathughadh air. 
MAT.4.2	Agus an tan do throisg sé dá fhíchiot lá agus dá fhichiot oidhche, do ghabh ocras é na dhíaigh sin. 
MAT.4.3	Agus air dteachd do náidhbhirséoir chuige, a dubhairt sé, Mas tusa Mac Dé aithin do na clochuibhsi bheith na narán. 
MAT.4.4	Achd do fhreagair seisean, agus a dubhairt, Atá sé sgriobhtha, Ní lé harán a mhain mhairfeas duine, achd lé gach uile bhreithir dá dtig ó bhéul Dé. 
MAT.4.5	Rug an díabhal leis é an tansin don chathruigh náomhtha, agus do chuir sé air bhinn an teampuill é, 
MAT.4.6	Agus a dubhairt sé ris, Mas tú Mac Dé, teilg thú féin síos: óir a tá sé sgríobhtha, Go ttiobhruigh sé aithne da ainglibh ad thimcheall: agus toigabhuidh said thú ann a lámhaibh, do chum nach mbúailfeá do chos fá chloich. 
MAT.4.7	A dubhairt Iósa ris, Atá sé sgríobhtha mar an gceadna, Ní chuirfidh tú cathugadh ar an Tighearna do Dhía féin. 
MAT.4.8	Rug an diabhal a rís é do chum sléibhe ro áird, agus do thaisbeín sé dhó rioghachda an domhain uile, agus a nglóir; 
MAT.4.9	Agus a dubhairt sé ris, Do bhéaruidh mise iád so uile dhuit, má shléachdann tú dhamh dom onórughadh. 
MAT.4.10	A dubhairt Iósa ris annsin, Imthigh romhad, a chathuightheóir: óir átá sgriobhtha, Onórfuidh tú an Tighearna do Dhiá féin, agus a dó na áonar do dhéuna tú seirbhís. 
MAT.4.11	Do fhágaibh an díabhal é an tansin, agus, féuch, tangadar na haingil agus do rinneadar friotholamh dhó.
MAT.4.12	Agus an tan do cúalaidh Iósa gur cuireadh Eóin a láimh, do imthigh sé don Ghalilé; 
MAT.4.13	Agus ar bhfágbháil Nasárét, taínic sé do dhéanamh comhnuighe go Capearnáum, do bhí chois na fairge, a leithimeal Shabulon agus Nephtailim: 
MAT.4.14	Do chum go gcoimhlionfuidthe an ní a dubhairt Esaias fáigh, noch a deir, 
MAT.4.15	Talamh Sabulon, agus talamh Nephtalim, slighe na fairge, ar an dtáobh thall do Iórdan, Galilé na Gcineadhach: 
MAT.4.16	An pubal do bhí no shuidhe a ndorchadas do chunnairc sé soillse mhór; agus atá solus ar neirghe do na dáoinibh atá na suidhe a gcrich agus a sgáile an bháis. 
MAT.4.17	O sin a mach do thionnsgain Iósa seanmóir do dhéanamh ag rádh, Déanuidh aithrighe: oír dhruid an rioghachd neamhdha ribh.
MAT.4.18	Agus a siobhal Diósa, ré táobh fhiarge na Gaililé, do chunnairc sé dias dearbhrathar, Símon da ngoirthear Peadar, agus Aindrías a dhearbhrathair, ag teilgean lín san bhfairge: óir dob íasgairighe iád. 
MAT.4.19	Agus a deir sé ríu, Leanaigh misi, agus do dhéana mé íasgairighe air dháoinibh dhibh. 
MAT.4.20	Agus ar bhfagbhaíl 
MAT.4.21	Agus ar nimtheachd as sin dó, do chunnairc sé días eile dearbhrathar, Seúmas 
MAT.4.22	Agus ar bhfagbháil an bhaíd agus a nathar dhóibhsean, do leanadar é.
MAT.4.23	Agus do ghabh Iósa a dtimcheall na Galilé uile, ag teagasg ann a sionagóguibh, agus ag seanmóir shoisgéil na rioghachda, agus ag slánúghadh gach tinnis agus gach éagcrúais a measg an phubail. 
MAT.4.24	Agus do chúaidh a chlú feadh na Síria uile: agus tugadar chuige gach áon da raibh easlán agus ar na gcuibhreadh lé gálruighthubh agus le piántúibh éugsamhla, agus agá mbidis deamhain ionnta, agus do bhíodh tinn lé goin na raé, agus luchd pailirise; agus do shlánuigh sé iád. 
MAT.4.25	Agus do lean cuideachda mhór é ón Ghaililé, agus 
MAT.5.1	Agus an tan chunnairc an slúagh, 
MAT.5.2	Agus ar nosgladh a bhéil dhó, do theagaisg sé iád, ag rádh,
MAT.5.11	Is beannuighthe bheithí, an tan imdheargfuid 
MAT.5.12	Biodh gaírdeachas, agus luáthgháir óruibh: óir 
MAT.5.13	Is sibhsi salann na tulmhan: gidheadh dá ccaillfeadh an salann a bhlas, creúd lé a saillfidhthear é? ni bhfuil féidhm air ó sin súas, achd a thilgean a mach, agus a shailart fá chosaibh dáoine. 
MAT.5.14	Is sibhsi solus an domhain. Ní héidir cathair atá ar na suighiughadh ar shlíabh dfolach. 
MAT.5.15	Agus ní lasaid dáoine coinneal do, chum go gcuirfidis fa bhéul buiséal í, achd a gcoinnléoir; agus ní sí solas dá a mbíonn a stigh. 
MAT.5.16	Go madh mar sin dhealróchus bhur soillsisi a bhfíaghnuisi na ndáione, a gcrúth go bhfaicfidh said bhur ndeaghoibrighthe, agus do dtiobhruid glóir dá bhur Nathair atá ar neamh.
MAT.5.17	Na measaidh go dtaínic misi do sgáoileadh an dlighidh, nó ná bhfaigheann: ní dá sgáoileadh thainic mé, achd dá gcoimhlionadh. 
MAT.5.18	Oir a deirim ribh go firinneach, No go ndeachaidh neamh agus talamh thort, ní rachaidh éan iota na áonphunc don dligheadh thort, nó go gcoimhlíontar gach éin ní. 
MAT.5.19	Ar a nadhbharsin giodh bé neach bhrisfeas áonaithne do na haitheantaibh robheagaso, agus theagaisgfeas na dáoine mar sin, goirfidhthear dhe an duine is lúgha a rioghachd neimhe: achd giodh bé neach dhéanas agus theagaisfeas 
MAT.5.20	Oír a deirim ribh, Muna sáruighidh bliur bhfíreantachdsa 
MAT.5.21	Do chúalabhair go ndubhradh ris na seinnsearaibh, Na déuna dúnmharthadh; agus gidh bé do dhéanas dúnmharbhadh biaidh sé cionntach ó bhreitheamhnas: 
MAT.5.22	Achd a deirimsi ribh, Gach neach do ní fearg re na dhearbhráthair gan adhbhar budh cionntach don bhreitheamhnus é: agus gíodh bé neach a déaruidh ré na dhearbhráthair, Raca, budh cionntach do bhreith na comhairle é: agus giodh bé a déaruidh, A amadain, budh cionntach é do theinigh ifeirn. 
MAT.5.23	Uime sin ma thugann tú do thabhartus chum na lialtóra, agus go gcuimhneochaidh tú ann sin go bhfuil ní ar bith ag ad dhearbhrathair a daghaidh; 
MAT.5.24	Fágaibh do thabhartus ann sin a bhfiaddhnuisi na haltóra, agus imthigh; agus ar tús réidhigh réd dhearbhrathair, agus tar éisi sin ar dteachd duit tabhair uáit do thiodlacadh. 
MAT.5.25	Réidhigh go lúath réd easgcaruidm an feadh bhiás tú na fhochair sa tslighe; deagla go dtiobhradh teascara don bhreitheamh thú, agus go dtiobhradh an bhreitheamh thú don mháor, agus go dteilgfidhthi a bpríosún thú. 
MAT.5.26	A deirim riot go fírinneach, Nach rachaidh tú as sin a mach, nó go míoca tú an fheórling dheigheanach
MAT.5.27	Do chúalabhair go ndubhradh ris na seinsearaibh, Ni dhéana tú adhaltrannas: 
MAT.5.28	Achd a deirimsi ribh, Giodh bé neach fhéuchas air mhnáoi chum a sanntaighthe go ndearnuidh sé adhaltrannas lé cheana ann a chroidhe. 
MAT.5.29	Ar a nadhbharsin mas cionntach do shúil deas, bean asad í, agus teilg uáit í: óir is fear dhuit aónbhall dod bhallaibh do dhul a múgha, na do chorp uile do theilgean go hifearn. 
MAT.5.30	Agus má bheir do lámh dheas sgannail dhuit, gear dhiot í, agus teilg uait í: óir is fear dhuit áonbhall dod bhallaibh do dhul a múgha, na do chorp uile theilgean go hifearn. 
MAT.5.31	Agus a dubhradh, Giodh bé leígtheas a bhean, tabhradh sé leitir dhealaighthe dhi: 
MAT.5.32	Achd a deirimsi ribh, Giodh bé neach léigfeas a bhean, (achd amháin ar son adhaltrannais,) go dtugann se uirrthe adhaltrannas do dhéunamh: agus an té do bhéaraidh an bheansin do léigeadh do ní sé adhaltrannas
MAT.5.33	Mar an gcéadna, do chúalabhair go ndubhradh ris na seinsearaibh, Ní thiobruidh tú héitheach, achd do dhéana tú do mhóid don Tighearna: 
MAT.5.34	Achd a deirimsi ribh, Na tabhruidh mionna ar bith; na tabhruidh neamh; óir a sé caithír Dé é: 
MAT.5.35	Na tabhraidh an talamh; óir a sé sdól a chos é: na tabhruidh Ierusaléim; óir a si cathair an Rígh mhóir í. 
MAT.5.36	Na tabhair do cheann 
MAT.5.37	Achd go madh é bhús comhrádh dháoibh, A seadh, a seadh; Ni headh, ni headh: achd gidh bé ní bhías as a gcionn so is ó nolc atá sé.
MAT.5.38	Do chúlabhair go ndubhradh, Súil ar son súile, agus fíacail ar son fíacaile: 
MAT.5.39	Achd 
MAT.5.40	Agus an té lér aba ill cúis bhreitheamhnuis do chuir ort, agus do chóta do bhúain diot, leíg leis 
MAT.5.41	Agus giodh bé bhéuras leis ar feadh mile ar éigin tú, imthigh leis ar feadh dhá mhíle. 
MAT.5.42	Tabhair 
MAT.5.43	Do chúalabhair go ndubhradh, Gráidheóchuigh tú do chomharsa, bíadh fúath agad dod námhaird. 
MAT.5.44	Achd a deirimsi ribh, Bíodh grádh agaibh dá bhur naímhdibh, beannaighidh na dáoine mhallaigheas sibh, deunaidh maith do na dáoinibh ait ar beag sibh, agus deúnaidh urnaighthe ar son na muinntire bhuaidhreas sibh, agus dhíbreas subh; 
MAT.5.45	Do chum go mbeith sibh bhur gcloinn ag bhur Nathair 
MAT.5.46	Oir na bhíonn grádh agaibh don mhuinntir agá bhfuil grádh dháoibh, creud é an lúaidheachd do ghéubhthaói? a né nach déunaid na Publiocáin an ni ceúdna? 
MAT.5.47	Agus ma chuirthí 
MAT.5.48	Ar a nadhbharsin bídhidhsi deangmhálta, mar atá bhur Nathair atá air neamh deangmhálta.
MAT.6.1	Tarbhraidh bhur naire nach deúntáoi bhur ndeirc á bhfiadhnuisi dáoine, do chum go bhfaicfidís sibh: nó ní bhfuighthí lúaidheachd ó bhur Nathair atá air neamh. 
MAT.6.2	Ar a nadhbharsin a núair do ní tú déirc, mar do ní luchd an fhúarchrábhaigh ann sna sionagógaibh agus ann sna sraideannaibh, do chum go bhfuighidís glóir ó dhaóinibh. Go firinneach a deirimsi ribh, Go bhfuil a dtúarasdal aca. 
MAT.6.3	Achd an tan do ní túsa deírc, na biodh a fhios aigad laímh chli creúd do ní do lámh dheas: 
MAT.6.4	Do chum go mbiadh do dhéirc a bhfolach: agus do bhéaruidh Hathair do chí a bhfolac luaidheáchd dhuit ós áird.
MAT.6.5	Agus an tan do ní tú urnuighe, na bi mar luchd an fhúarchrábbaigh: óir is ionmhain léo urnuighthe dheúnamh sna sionagógaibh agus a gcomhrac na ród na seasamh, do chum go bhfaicfidis na dáoine iád. Go deimhin a deirimsi ribh, Go bhfuil a dtúarusdal aca. 
MAT.6.6	Achd 
MAT.6.7	Achd 
MAT.6.8	 na samhlaighthear sibh riu: oír atá a fhios ag bhur Nathair 
MAT.6.9	Air a nadhbharsin déanaidhsi bhur nurnúighe mar so. Ar Nathaír atá ar neamh, Náomthar hainm. 
MAT.6.10	Tigheadh do ríoghachd. Deúntar do thoil ar an ttalamh, mar do nithear ar neamh. 
MAT.6.11	Ar narán laéthamhail tabhair dhúinn a niu. 
MAT.6.12	Agus maith dhuinn ar bhfíacha, mar mhaithmídne dar bhréitheamhnuibh 
MAT.6.13	Agus na léig sinn a ccathughadh, achd sáor inn ó olc: Oir is leachd féin an ríoghachd, agus an chúmhachd, agus an ghloír, go siórruighe. Amen. 
MAT.6.14	Oir ma mhaithi a gcionnta do dháonibh, maithfidh bhur Nathair neámhdha dáoibhsi mar an gcéadna: 
MAT.6.15	Achd muna maithtisi a gcionta do na dáoinibh, ni mhaithfidh bhur Nathair féin dáoibhsi bhur gcionta.
MAT.6.16	Agus an tan do nithi trosgadh, na bidhidh grúama, mar luchd an fhúarchrabháidh: óir dorchuidhid siád a naighthe, do chum go madh follus dona dáoinibh iád do throsgadh. A deirimsi ribh go fírrineach, Go bhfuil a ttúarasdal aca. 
MAT.6.17	Ach 
MAT.6.18	Do chum nach budh follas dona dáoinibh go ndéanann tú trosgadh, achd dod Athair atá a bhfolach: agus do bhéuraidh Hathair, do chí a bhfolach, lúaidheachd dhuit ós aírd.
MAT.6.19	Na cruinnighidh ionnmhas ar an ttalamh, mar a ttrúaillean an léoghan agus an mheirg é, agus mar a ttochlaid agus mar a ngoidid na biothamhnuigh: 
MAT.6.20	Achd cruinnighidh ionnmhas dháoibh féin air neamh, ós ann nach dtruáilleann an míoll críon ná an mheirg, agus nach tochlaid agus nach goidid na gaduidhthe: 
MAT.6.21	Oír goidh bé ball iona bfuil bhur nionnihas, is ann sin bhiás bhur gcroidhe mar an gcéadna. 
MAT.6.22	Sí an tsúil solas an chuirp: uime sin ma bhíonn do shúil glan, biáidh do chorp uile soillseach. 
MAT.6.23	Achd dá raibh do shúil go holc, biaidh do chorp uile dorcha. Air a nadhbharsin ma atá an solus atá ionnad na dhorchadus, créud é méud an dorchaduis sin!
MAT.6.24	Ní héidir lé neach air bith seirbhis do dhéunamh do dha thighearna: óir bíaidh fúath aige do dhuine aca, agus grádh don duine eile; nó ceangallfuigh sé do neach aca, agus do bhéuraidh sé tarcuisne ar an dara fhear. Ní héidir libh seirbhis do dhéunamh do Dhía agus do mhammon. 
MAT.6.25	Ar a nadhbharsin a deirimsi ribh, Na bidhidh lán do chúram a ttimcheall bhur mbeatha, créud íosdáoi, nó iobhtháoi; na a ttimcheall bhur gcuirp, creúd chuirfi umaibh. A né nach mó an tanam na an bíadh, agus an corp ná an téudach? 
MAT.6.26	Féachaigh ar éunlaith a naiéir: oír ni chuirid 
MAT.6.27	Agus cía agaibh lé na iomad curium fhéadas áonbhannlamh do chur lé na aírde féin? 
MAT.6.28	Agus créud fa a bhfuiltí rochúramach a ttimcheall bhur gculadh? Foghlomaidh cionnas fhásaid lilighe an mhachaire; ní dhéunaid said saóthar, agus ní shníomhaid said: 
MAT.6.29	 a deirimsi ribh, Nach raibh Solomh féin gon a uile ghlóir ar na eúdughadh mar aón díobh so. 
MAT.6.30	Agus, ma eúduigheann Día mar sin luibh an mhachaire, áta a niugh ann, agus a márach ar na theilgein sa núamhain, a né nach mó na sin sibhsi, a dhaóine beigchreidmheacha? 
MAT.6.31	Uime sin na bídhidh lán do chúram, ag rádh, Créd iósam? no, Créd iobhom? no, Créd chuirfeam umainn? 
MAT.6.32	(Oír a siád so uile iárruid na Cinidheacha:) óir áta a fhios ag bhur Nathair neamhdha go bhfuil a ríachdanas so uile oraibh. 
MAT.6.33	Achd íarruigh ar tús flaitheas Dé, agus a fhiréuntachdsan; agus teilfidhthear na neithesi uíle chugaibh. 
MAT.6.34	Uime sin na bíodh rochúram oruibh timcheall an laói máruigh: óir biaidh a sháith curium air an lá a márach timcheall a neithe féin. Is lór do lá a olc féin.
MAT.7.1	Na beiridh breath, do chum nach mbéarthaói breath oraibh. 
MAT.7.2	Oír is do réir na breithe bheirthí, bheúrhar breath oruibh: Agus is leis an miosúr thomhaistí, toimheósfuidhthear dháoibh a rís. 
MAT.7.3	Achd oréd fá a bhfaiceann tú an broth atá a súil do dhearbhráthar, agus nach ccuireann tú á numhail an tsail atá ann do shúil féin? 
MAT.7.4	No cionnas a deúra tú réd dhearbhráthair, Fulang dhamh an broth do bhúain as do shúil; agus, féuch, an tsail ann do shúil féin? 
MAT.7.5	A fhir an fhúarchrábhaidh, bean an tsail ar tús as do shúil féin; agus an sin budh léir dhuit an broth do bháin as súil do dhearbhrathar.
MAT.7.6	Na tabhraidh an ní naómhtha do mhadruighibh, agus na teilgidh bhur gclocha úaisle a bhfíadhnuisi na muc, air eagla go sailteóraidis orrtha lé na gcosuibh, agus ar bhfilleadh dhóibh go dtarroingaidís sibh féin as a chéile.
MAT.7.7	Iarruigh, agus do bhéurthar dhaóibh; lorgairídh, agus do gheabhtháoi; búalidh 
MAT.7.8	Oír gach uile neach iárrus glacuidh sé; agus giodh bé lorgaireas do ghéibh sé; agus is don té bhuaileas 
MAT.7.9	Oir cía an duine agaibhsi, ma atá gi níarrfuigh a mhac arán, do bhéuradh cloch dhó? 
MAT.7.10	Agus mas iásg iárrfus sém an nathair neimhe do bheúradh sé dhó? 
MAT.7.11	Ar a nadhbharsin, ma atá a fhios agaibhsi atá olc, tiodhluicthe maithe do thabhairt dá bhur gcloinn, a né nach mó ná sin do bhéuraidh bhur Nathairse atá air neamh neithe maithe don dreim iárrus air iád? 
MAT.7.12	Uime sin gach uile ní budh mían libh daoine do dhéunamh dhíbh, deúnaidhsi a leithéide dhóibhsean mar an gcéudna: oír a sé so an dligheadh agus na faighe.
MAT.7.13	Imthighidh a sdeach sa dorús chumhann: óir 
MAT.7.14	Do bhrígh gur cumhann an doras, agus 
MAT.7.15	Coimhéadaigh sibh féin ar na fáigheannaibh fallsa, thig chugaibh a gculaidhibh caórach, agus a tá leith a sdigh na madruidh állta fhúaduigheachda. 
MAT.7.16	Air a ttórrthaibh aitheóntaoi íad. An gcrunnighid daóine caóra fíneamhna do dhriseach, no fígighe do na fothannanaibh? 
MAT.7.17	Is mar sin do bheir gach uile chrann maith tórrtha maithe; achd do bheir an drochchrann drochthórrtha. 
MAT.7.18	Ní héidir leis an gcrann maith drochthórrtha diomchar, na leis an gcrann gcrion tórrtha maithe do thabhairt. 
MAT.7.19	Gach uile chrann nach iomchrann toradh maith gearrthar é, agus téilgthear san teinidh é. 
MAT.7.20	Ar a nadhbharsin is air ttórthaibh aitheontaói íad.
MAT.7.21	Ní é gach uile neach a deir riomsa, A Thighearna, A Thighearna, rachas a sdeach sa rióghachd neamhdha; achd an té do ní toil Mhatharsa atá áir neamh. 
MAT.7.22	As iomdha daóine a deuraidh ríum annsa la úd, A Thighearna, a Thighearna, a né nach ad ainmsi do rinneamar fáigheadóireachd? agus ad ainmsi do theilgeamar a mach na deamhain? agus do rinneamar iomad míorbhuileadh? 
MAT.7.23	Achd cheana aidmheóchuidh misi 
