GEN.1.1	NEL principio Iddio creò il cielo e la terra
GEN.1.27	Iddio adunque creò l'uomo alla sua immagine; egli lo creò all'immagine di Dio; egli li creò maschio e femmina
GEN.1.28	E Iddio li benedisse, e disse loro: Fruttate e moltiplicate
GEN.1.29	Oltre a ciò, Iddio disse: Ecco, io vi do tutte l'erbe che producono seme, che son sopra tutta la terra; e tutti gli alberi fruttiferi che fanno seme. 
GEN.1.30	Ma a tutte le bestie della terra, ed a tutti gli uccelli del cielo, ed a tutti gli animali che serpono sopra la terra, ne' quali è anima vivente, 
GEN.1.31	E Iddio vide tutto quello ch'egli avea fatto; ed ecco, 
GEN.2.1	Così furono compiuti i cieli e la terra, e tutto l'esercito di quelli. 
GEN.2.2	Ora, avendo Iddio compiuta nel settimo giorno l'opera sua, la quale egli avea fatta, si riposò nel settimo giorno da ogni sua opera, che egli avea fatta. 
GEN.2.3	E Iddio benedisse il settimo giorno, e lo santificò; perciocchè in esso egli s'era riposato da ogni sua opera ch'egli avea creata, per far
GEN.2.4	TALI 
GEN.2.5	e ogni albero ed arboscello della campagna, avanti che 
GEN.2.6	Or un vapore saliva dalla terra, che adacquava tutta la faccia della terra.
GEN.2.7	E il Signore Iddio formò l'uomo 
GEN.2.8	Or il Signore Iddio piantò un giardino in Eden, dall'Oriente, e pose quivi l'uomo ch'egli avea formato. 
GEN.2.9	E il Signore Iddio fece germogliar dalla terra ogni 
GEN.2.10	Ed un fiume usciva di Eden, per adacquare il giardino; e di là si spartiva in quattro capi. 
GEN.2.11	Il nome del primo 
GEN.2.12	E l'oro di quel paese 
GEN.2.13	E il nome del secondo fiume 
GEN.2.14	E il nome del terzo fiume 
GEN.2.15	Il Signore Iddio adunque prese l'uomo e lo pose nel giardino di Eden, per lavorarlo, e per guardarlo. 
GEN.2.16	E il Signore Iddio comandò all'uomo, dicendo: Mangia pur d'ogni albero del giardino. 
GEN.2.17	Ma non mangiar dell'albero della conoscenza del bene e del male; perciocchè, nel giorno che tu ne mangerai per certo tu morrai
GEN.2.18	Il Signore Iddio disse ancora: E' non 
GEN.2.19	Or il Signore Iddio, avendo formate della terra tutte le bestie della campagna, e tutti gli uccelli del cielo, li menò ad Adamo, acciocchè vedesse qual nome porrebbe a ciascuno di essi; e che qualunque nome Adamo ponesse a ciascuno animale, esso fosse il suo nome. 
GEN.2.20	E Adamo pose nome ad ogni animal domestico, ed agli uccelli del cielo, e ad ogni fiera della campagna; ma non si trovava per Adamo aiuto convenevole a lui.
GEN.2.21	E il Signore Iddio fece cadere un profondo sonno sopra Adamo, onde egli si addormentò; e 
GEN.2.22	E il Signore Iddio fabbricò una donna della costa che egli avea tolta ad Adamo, e la menò ad Adamo
GEN.2.23	E Adamo disse: A questa volta pure 
GEN.2.24	Perciò l'uomo lascerà suo padre e sua madre, e si atterrà alla sua moglie, ed essi diverranno una stessa carne
GEN.2.25	Or amendue, Adamo e la sua moglie, erano ignudi, e non se ne vergognavano.
GEN.3.1	OR il serpente era astuto più che qualunque 
GEN.3.2	E la donna disse al serpente: Noi possiamo mangiare del frutto degli alberi del giardino. 
GEN.3.3	Ma del frutto dell'albero, ch'
GEN.3.4	E il serpente disse alla donna: Voi non morreste punto. 
GEN.3.5	Ma Iddio sa che, nel giorno che voi ne mangereste, i vostri occhi si aprirebbero; onde sareste come dii, avendo conoscenza del bene e del male.
GEN.3.6	La donna adunque, veggendo che il frutto dell'albero 
GEN.3.7	Allora gli occhi di amendue loro si apersero, e conobbero ch'erano ignudi; onde cucirono insieme delle foglie di fico, e se ne fecero delle coperte da cignersi attorno.
GEN.3.8	Poi, all'aura del dì, udirono la voce del Signore Iddio che camminava per lo giardino. E Adamo, con la sua moglie, si nascose dal cospetto del Signore Iddio
GEN.3.9	E il Signore Iddio chiamò Adamo, e gli disse: Ove sei? 
GEN.3.10	Ed egli disse: Io intesi la tua voce per lo giardino, e temetti
GEN.3.11	E 
GEN.3.12	E Adamo disse: La donna, che tu hai posta meco, è quella che mi ha dato 
GEN.3.13	E il Signore Iddio disse alla donna: Che cosa 
GEN.3.14	Allora il Signore Iddio disse al serpente: Perciocchè tu hai fatto questo, 
GEN.3.15	Ed io metterò inimicizia fra te e la donna, e fra la tua progenie
GEN.3.17	E ad Adamo disse: Perciocchè tu hai atteso alla voce della tua moglie, ed hai mangiato 
GEN.3.18	Ed ella ti produrrà spine e triboli; e tu mangerai l'erba de' campi. 
GEN.3.19	Tu mangerai il pane col sudor del tuo volto
GEN.3.20	E Adamo pose nome Eva
GEN.3.21	E il Signore Iddio fece delle toniche di pelle ad Adamo ed alla sua moglie; e li vestì.
GEN.3.22	Poi il Signore Iddio disse: Ecco, l'uomo è divenuto come uno di noi, avendo conoscenza del bene e del male; ora adunque 
GEN.3.23	Perciò il Signore Iddio mandò l'uomo fuor del giardino di Eden, per lavorar la terra, dalla quale era stato tolto. 
GEN.3.24	Così egli cacciò l'uomo, e pose dei Cherubini davanti al giardino di Eden, con una spada fiammeggiante che si vibrava in giro, per guardar la via dell'albero della vita.
GEN.4.1	OR Adamo conobbe la sua moglie, ed ella concepette, e partorì Caino,
GEN.4.2	Poi partorì ancora Abele
GEN.4.3	Or avvenne, in capo di alquanto tempo, che Caino offerse al Signore offerta de' frutti della terra. 
GEN.4.4	Ed Abele offerse anch'esso de' primogeniti delle sue pecore, e del grasso di esse
GEN.4.5	Ma non riguardò a Caino, nè alla sua offerta; onde Caino si sdegnò grandemente, e il suo volto fu abbattuto. 
GEN.4.6	E il Signore disse a Caino: Perchè sei tu sdegnato? e perchè è il tuo volto abbattuto? 
GEN.4.7	Se tu fai bene, non vi 
GEN.4.8	E Caino disse ad Abele suo fratello: 
GEN.4.9	E il Signore disse a Caino: Ov'
GEN.4.10	E il 
GEN.4.11	Ora dunque tu 
GEN.4.12	Quando tu lavorerai la terra, ella non continuerà più di renderti la sua virtù; e tu sarai vagabondo ed errante sulla terra.
GEN.4.13	E Caino disse al Signore: La mia iniquità 
GEN.4.14	Ecco, tu mi hai oggi cacciato d'in su la faccia della terra
GEN.4.15	E il Signore gli disse: Perciò, chiunque ucciderà Caino sarà punito a sette doppi 
GEN.4.16	E Caino si partì dal cospetto del Signore, e dimorò nel paese di Nod
GEN.4.17	E Caino conobbe la sua moglie, ed ella concepette, e partorì Enoch. Poi egli si mise ad edificare una città, e la nominò del nome del suo figliuolo Enoch
GEN.4.18	E ad Enoch nacque Irad; ed Irad generò Mehujael; e Mehujael generò Metusael; e Metusael generò Lamec.
GEN.4.19	E Lamec si prese due mogli; il nome dell'una delle quai 
GEN.4.20	E Ada partorì Iabal. Esso fu padre di coloro che dimorano in tende, e son mandriani. 
GEN.4.21	E il nome del suo fratello fu Iubal. Esso fu padre di tutti coloro che maneggiano la cetera e l'organo. 
GEN.4.22	E Silla partorì anch'ella Tubal-cain, il quale ha ammaestrato ogni fabbro di rame e di ferro; e la sorella di Tubal-cain fu Naama.
GEN.4.23	E Lamec disse ad Ada e Silla sue mogli:
GEN.4.23	Ascoltate la mia voce, mogli di Lamec;
GEN.4.23	Porgete l'orecchio al mio parlare.
GEN.4.23	Certo io ho ucciso un uomo, dando
GEN.4.23	Ed un giovane, dando
GEN.4.24	Se Caino è vendicato a sette doppi,
GEN.4.24	Lamec 
GEN.4.25	E Adamo conobbe ancora la sua moglie; ed ella partorì un figliuolo, e gli pose nome Set
GEN.4.26	Ed a Set ancora nacque un figliuolo; ed egli gli pose nome Enos. Allora si cominciò a nominare 
GEN.5.1	QUESTA è la descrizione delle generazioni di Adamo
GEN.5.1	Nel giorno che Iddio creò l'uomo, egli lo fece alla sua somiglianza. 
GEN.5.2	Egli li creò maschio e femmina, e li benedisse, e pose loro nome UOMO, nel giorno che furono creati
GEN.5.3	Ora Adamo, essendo vivuto centotrent'anni, generò 
GEN.5.4	E il tempo che visse Adamo, dopo ch'ebbe generato Set, fu ottocent'anni; e generò figliuoli e figliuole. 
GEN.5.5	Così tutto il tempo che visse Adamo fu novecentrent'anni; poi morì.
GEN.5.6	E Set, essendo vivuto centocinque anni, generò Enos. 
GEN.5.7	E Set, dopo che ebbe generato Enos, visse ottocensette anni, e generò figliuoli e figliuole. 
GEN.5.8	Così tutto il tempo che visse Set fu novecendodici anni; poi morì.
GEN.5.9	Ed Enos, essendo vivuto novant'anni, generò Chenan. 
GEN.5.10	Ed Enos, dopo ch'ebbe generato Chenan, visse ottocenquindici anni, e generò figliuoli e figliuole. 
GEN.5.11	Così tutto il tempo che visse Enos fu novecencinque anni; poi morì.
GEN.5.12	E Chenan, essendo vivuto settant'anni, generò Mahalaleel. 
GEN.5.13	E Chenan, dopo ch'ebbe generato Mahalaleel, visse ottocenquarant'anni, e generò figliuoli e figliuole. 
GEN.5.14	Così tutto il tempo che Chenan visse fu novecendieci anni; poi morì.
GEN.5.15	E Mahalaleel, essendo vivuto sessantacinque anni, generò Iared. 
GEN.5.16	E Mahalaleel, dopo ch'ebbe generato Iared, visse ottocentrent'anni, e generò figliuoli e figliuole. 
GEN.5.17	Così tutto il tempo che Mahalaleel visse fu ottocennovantacinque anni; poi morì.
GEN.5.18	E Iared, essendo vivuto censessantadue anni, generò Enoc
GEN.5.19	E Iared, dopo ch'ebbe generato Enoc, visse ottocent'anni, e generò figliuoli e figliuole. 
GEN.5.20	Così tutto il tempo che Iared visse fu novecensessantadue anni; poi morì.
GEN.5.21	Ed Enoc essendo vivuto sessantacinque anni, generò Metusela. 
GEN.5.22	Ed Enoc, dopo ch'ebbe generato Metusela, camminò con Dio
GEN.5.23	Così, tutto il tempo che Enoc visse fu trecensessantacinque anni. 
GEN.5.24	E dopo che Enoc fu camminato con Dio, non 
GEN.5.25	E Metusela, essendo vivuto centottantasette anni, generò Lamec. 
GEN.5.26	E Metusela, dopo ch'ebbe generato Lamec, visse settecentottantadue anni, e generò figliuoli e figliuole. 
GEN.5.27	Così, tutto il tempo che Metusela visse fu novecensessantanove anni; poi morì.
GEN.5.28	E Lamec, essendo vivuto centottantadue anni, generò un figliuolo. 
GEN.5.29	E gli pose nome Noè
GEN.5.30	E Lamec, dopo ch'ebbe generato Noè, visse cinquecennovantacinque anni, e generò figliuoli e figliuole. 
GEN.5.31	Così tutto il tempo che Lamec visse fu settecensettantasette anni; poi morì.
GEN.5.32	E Noè, essendo di età di cinquecent'anni, generò Sem, Cam e Iafet.
GEN.6.1	OR avvenne che, quando gli uomini cominciarono a moltiplicar sopra la terra
GEN.6.2	i figliuoli di Dio, veggendo che le figliuole degli uomini erano belle, si presero per mogli
GEN.6.3	E il Signore disse: Lo Spirito mio non contenderà in perpetuo con gli uomini
GEN.6.4	In quel tempo i giganti erano in su la terra, e 
GEN.6.5	E il Signore, veggendo che la malvagità degli uomini era grande in terra; e che tutte le immaginazioni de' pensieri del cuor loro non 
GEN.6.6	ei si pentì
GEN.6.7	E il Signore disse: Io sterminerò d'in su la terra gli uomini che io ho creati; 
GEN.6.8	Ma Noè trovò grazia appo il Signore.
GEN.6.9	Queste 
GEN.6.10	E generò tre figliuoli: Sem, Cam e Iafet.
GEN.6.11	Ora, la terra si era corrotta nel cospetto di Dio, ed era piena di violenza. 
GEN.6.12	E Iddio riguardò la terra, ed ecco era corrotta; poichè ogni carne aveva corrotta la sua via in su la terra
GEN.6.13	E Iddio disse a Noè: Appo me la fine di ogni carne è giunta; perciocchè la terra è ripiena di violenza per cagion di costoro; ed ecco io li farò perire, insieme con la terra. 
GEN.6.14	Fatti un'Arca di legno di Gofer; falla a stanze, ed impeciala, di fuori e di dentro, con pece. 
GEN.6.15	E questa 
GEN.6.16	E da' lume all'Arca; e fa' il comignolo di essa disopra di un cubito; e metti la porta dell'Arca al lato di essa; falla 
GEN.6.17	Ed ecco io farò venir sopra la terra il diluvio delle acque, per far perir di sotto al cielo ogni carne in cui 
GEN.6.18	Ma io fermerò il mio patto teco; e tu entrerai nell'Arca, tu, ed i tuoi figliuoli, e la tua moglie, e le mogli de' tuoi figliuoli teco. 
GEN.6.19	E di ogni 
GEN.6.20	Degli uccelli, secondo le loro specie; delle bestie, secondo le loro specie; 
GEN.6.21	E tu, prenditi di ogni cibo che si mangia, ed accoglilo appresso a te; acciocchè sia a te ed a quegli 
GEN.6.22	E Noè fece 
GEN.7.1	Poi il Signore disse a Noè: Entra tu, e tutta la tua famiglia dentro l'Arca; perciocchè in questa età io ti ho veduto giusto davanti a me. 
GEN.7.2	Di ciascuna 
GEN.7.3	Degli uccelli del cielo, prendine parimente 
GEN.7.4	Perciocchè fra qui e sette dì, io farò piovere in su la terra per lo spazio di quaranta giorni e di quaranta notti, e sterminerò d'in su la terra ogni cosa sussistente che io ho fatta.
GEN.7.5	E Noè fece secondo tutto ciò che il Signore gli avea comandato.
GEN.7.6	Or Noè 
GEN.7.7	E Noè, insieme co' suoi figliuoli, e con la sua moglie, e con le mogli de' suoi figliuoli, entrò nell'Arca d'innanzi alle acque del diluvio. 
GEN.7.8	Degli animali mondi, e degli animali immondi, e degli uccelli, e di tutto ciò che serpe in su la terra, 
GEN.7.9	ne vennero delle paia, maschio e femmina, a Noè, dentro l'Arca; come Iddio avea comandato a Noè.
GEN.7.10	Ed avvenne, al 
GEN.7.11	L'anno seicentesimo della vita di Noè, nel secondo mese, nel decimosettimo giorno del mese, in quel giorno tutte le fonti del grande abisso scoppiarono, e le cateratte del cielo furono aperte. 
GEN.7.12	E la pioggia fu in su la terra, per lo spazio di quaranta giorni e di quaranta notti. 
GEN.7.13	In quel giorno stesso Noè entrò nell'Arca, insieme con Sem, Cam e Iafet, suoi figliuoli, e con la sua moglie, e con le tre mogli de' suoi figliuoli.
GEN.7.14	Essi 
GEN.7.15	In somma, di ogni carne, in cui è alito di vita, ne venne un paio a Noè dentro l'Arca. 
GEN.7.16	E 
GEN.7.17	E il diluvio venne sopra la terra, per lo spazio di quaranta giorni; e le acque crebbero, e sollevarono l'Arca, ed ella fu alzata d'in su la terra. 
GEN.7.18	E le acque si rinforzarono, e crebbero grandemente sopra la terra; e l'Arca notava sopra le acque. 
GEN.7.19	E le acque si rinforzarono grandissimamente sopra la terra; e tutti gli alti monti, che 
GEN.7.20	Le acque avanzarono essi monti, dell'altezza di quindici cubiti. Così i monti furono coperti.
GEN.7.21	Ed ogni carne che si muove sopra la terra, degli uccelli, degli animali domestici, delle fiere e di tutti i rettili che serpono sopra la terra, morì, insieme con tutti gli uomini
GEN.7.22	Tutto ciò che ha fiato d'alito di vita nelle sue nari, d'infra tutto ciò ch'
GEN.7.23	E fu sterminata ogni cosa sussistente, che 
GEN.7.24	E le acque furono alte sopra la terra, per lo spazio di cencinquanta giorni.
GEN.8.1	OR Iddio si ricordò di Noè, e di tutte le fiere, e di tutti gli animali domestici ch'
GEN.8.2	Ed essendo state le fonti dell'abisso e le cateratte del cielo serrate, e rattenuta la pioggia del cielo, 
GEN.8.3	le acque andarono del continuo ritirandosi d'in su la terra. Al termine adunque di cencinquanta giorni cominciarono a scemare.
GEN.8.4	E, nel decimosettimo giorno del settimo mese, l'Arca si fermò sopra le montagne di Ararat. 
GEN.8.5	E le acque andarono scemando fino al decimo mese. Nel primo giorno del decimo mese, le sommità de' monti apparvero.
GEN.8.6	E, in capo di quaranta giorni, Noè aperse la finestra dell'Arca, ch'egli avea fatta. 
GEN.8.7	E mandò fuori il corvo, il quale usciva del continuo fuori, e tornava, fin che le acque furono asciutte d'in su la terra. 
GEN.8.8	Poi mandò d'appresso a sè la colomba, per veder se le acque erano scemate d'in su la faccia della terra. 
GEN.8.9	Ma la colomba, non trovando ove posar la pianta del piè, se ne ritornò a lui dentro l'Arca; perciocchè 
GEN.8.10	Ed egli aspettò sette altri giorni, e di nuovo mandò la colomba fuor dell'Arca. 
GEN.8.11	Ed in sul tempo del vespro, la colomba ritornò a lui; ed ecco, 
GEN.8.12	Ed egli aspettò sette altri giorni, e mandò fuori la colomba, ed essa non ritornò più a lui.
GEN.8.13	E, nell'anno seicentunesimo 
GEN.8.14	E, nel ventisettesimo giorno del secondo mese, la terra era tutta asciutta.
GEN.8.15	E Iddio parlò a Noè, dicendo: 
GEN.8.16	Esci fuor dell'Arca, tu, e la tua moglie, ed i tuoi figliuoli, e le mogli de' tuoi figliuoli teco. 
GEN.8.17	Fa uscir fuori teco tutti gli animali che 
GEN.8.18	E Noè uscì fuori, co' suoi figliuoli, e con la sua moglie, e con le mogli de' suoi figliuoli. 
GEN.8.19	Tutte le bestie 
GEN.8.20	E Noè edificò un altare al Signore; e prese d'ogni 
GEN.8.21	E il Signore odorò un 
GEN.8.22	Da ora innanzi, quanto durerà la terra, sementa e ricolta, freddo e caldo, state e verno, giorno e notte giammai non cesseranno.
GEN.9.1	E IDDIO benedisse Noè, e i suoi figliuoli; e disse loro; Fruttate, e moltiplicate, e riempiete la terra
GEN.9.2	E la paura e lo spavento di voi sia sopra tutte le bestie della terra, e sopra tutti gli uccelli del cielo; 
GEN.9.3	Ogni cosa che si muove, ed ha vita, vi sarà per cibo; io ve le do tutte, come l'erbe verdi
GEN.9.4	Ma pur non mangiate la carne con l'anima sua, 
GEN.9.5	E certamente io ridomanderò 
GEN.9.6	Il sangue di colui che spanderà il sangue dell'uomo sarà sparso dall'uomo
GEN.9.7	Voi dunque fruttate e moltiplicate; generate copiosamente sulla terra, e crescete in essa.
GEN.9.8	Poi Iddio parlò a Noè, ed a' suoi figliuoli con lui, dicendo: 
GEN.9.9	E quant'è a me, ecco, io fermo il mio patto con voi, e con la vostra progenie dopo voi; 
GEN.9.10	e con ogni animal vivente ch'
GEN.9.11	Io fermo il mio patto con voi, che ogni carne non sarà più distrutta per le acque del diluvio, e che non vi sarà più diluvio, per guastar la terra
GEN.9.12	Oltre a ciò, Iddio disse: Questo 
GEN.9.13	Io ho messo il mio Arco nella nuvola
GEN.9.14	Ed avverrà che, quando io avrò coperta la terra di nuvole, l'Arco apparirà nella nuvola. 
GEN.9.15	Ed io mi ricorderò del mio patto, ch'
GEN.9.16	L'Arco adunque sarà nella nuvola, ed io lo riguarderò, per ricordarmi del patto perpetuo, fra Dio ed ogni animal vivente, di qualunque carne ch'
GEN.9.17	Così Iddio disse a Noè: Questo 
GEN.9.18	OR i figliuoli di Noè, che uscirono fuor dell'Arca, furono Sem, Cam e Iafet. 
GEN.9.19	E Cam fu padre di Canaan. Questi tre 
GEN.9.20	E Noè cominciò 
GEN.9.21	E bevve del vino, e s'inebbriò
GEN.9.22	E Cam, padre di Canaan, vide le vergogne di suo padre, e 
GEN.9.23	Ma Sem e Iafet presero un mantello, e se lo misero amendue in su le spalle; e, camminando a ritroso, copersero le vergogne del padre loro; e le faccie loro 
GEN.9.24	E, quando Noè si fu svegliato dal suo vino, seppe ciò che gli avea fatto il suo figliuol minore. 
GEN.9.25	E disse: Maledetto 
GEN.9.26	Ma disse: Benedetto 
GEN.9.27	Iddio allarghi Iafet, ed abiti egli ne' tabernacoli di Sem
GEN.9.28	E Noè visse dopo il diluvio trecencinquant'anni. 
GEN.9.29	E tutto il tempo che Noè visse fu novecencinquent'anni; poi morì.
GEN.10.1	OR queste 
GEN.10.2	I figliuoli di Iafet 
GEN.10.3	E i figliuoli di Gomer 
GEN.10.4	E i figliuoli di Iavan 
GEN.10.5	Da costoro, per le lor famiglie, nelle lor nazioni, è venuto lo spartimento dell'Isole delle genti, nei loro paesi, secondo la lingua di ciascun di essi.
GEN.10.6	E i figliuoli di Cam 
GEN.10.7	E i figliuoli di Cus 
GEN.10.8	E Cus generò Nimrod. Esso cominciò ad esser possente sulla terra. 
GEN.10.9	Egli fu un potente cacciatore nel cospetto del Signore; perciò si dice: Come Nimrod, potente cacciatore nel cospetto del Signore. 
GEN.10.10	E il principio del suo regno fu Babilonia, ed Erec, ed Accad, e Calne, nel paese di Sinear. 
GEN.10.11	Di quel paese uscì Assur, ed edificò Ninive, e la città di Rehobot, a Cala; 
GEN.10.12	e, fra Ninive e Cala, Resen, la gran città.
GEN.10.13	E Misraim generò Ludim, ed Anamim, e Lehabim, e Naftuhim, 
GEN.10.14	e Patrusim, e Casluhim (onde sono usciti i Filistei), e Caftorim.
GEN.10.15	E Canaan generò Sidon suo primogenito, ed Het; 
GEN.10.16	e il Gebuseo, e l'Amorreo, e il Ghirgaseo; 
GEN.10.17	e l'Hivveo, e l'Archeo, e il Sineo; 
GEN.10.18	e l'Arvadeo, e il Semareo, e l'Hamateo. E poi le famiglie de' Cananei si sparsero. 
GEN.10.19	Ed i confini de' Cananei furono da Sidon, traendo verso Gherar, fino a Gaza; 
GEN.10.20	Questi 
GEN.10.21	A Sem ancora, padre di tutti i figliuoli di Eber, e fratel maggiore di Iafet, nacquero 
GEN.10.22	I figliuoli di Sem 
GEN.10.23	E i figliuoli di Aram 
GEN.10.24	Ed Arfacsad generò Sela
GEN.10.25	E ad Eber nacquero due figliuoli, il nome dell'uno 
GEN.10.26	E Ioctan generò Almodad, e Selef, ed Asarmavet, e Iera; 
GEN.10.27	e Hadoram, ed Huzal, e Dicla; 
GEN.10.28	ed Obal, ed Abimael, e Seba; 
GEN.10.29	ed Ofir, ed Havila, e Iobab. Tutti costoro 
GEN.10.30	E le loro abitazioni furono da Mesa, traendo verso Sefar, fino al monte Orientale.
GEN.10.31	Costoro 
GEN.10.32	Queste 
GEN.11.1	OR tutta la terra era d'una favella e di un linguaggio.
GEN.11.2	Ed avvenne che, partendosi gli uomini di Oriente, trovarono una pianura nel paese di Sinear, e quivi si posarono. 
GEN.11.3	E dissero l'uno all'altro: Or su, facciamo de' mattoni, e cociamoli col fuoco. I mattoni adunque furono loro in vece di pietre, e il bitume in vece di malta. 
GEN.11.4	Poi dissero: Or su, edifichiamoci una città, ed una torre, la cui sommità 
GEN.11.5	E il Signore discese, per veder la città e la torre che i figliuoli degli uomini edificavano. 
GEN.11.6	E il Signore disse: Ecco un medesimo popolo, ed 
GEN.11.7	Or su, scendiamo e confondiamo ivi la lor favella
GEN.11.8	E il Signore li disperse di là sopra la faccia di tutta la terra; ed essi cessarono di edificar la città
GEN.11.9	Perciò essa fu nominata Babilonia
GEN.11.10	QUESTE 
GEN.11.11	E Sem, dopo ch'ebbe generato Arfacsad, visse cinquecent'anni, e generò figliuoli e figliuole.
GEN.11.12	Ed Arfacsad, essendo vivuto trentacinque anni, generò Sela. 
GEN.11.13	Ed Arfacsad, dopo ch'egli ebbe generato Sela, visse quattrocentotre anni, e generò figliuoli e figliuole.
GEN.11.14	E Sela, essendo vivuto trent'anni, generò Eber. 
GEN.11.15	E Sela, dopo ch'ebbe generato Eber, visse quattrocentotre anni, e generò figliuoli e figliuole.
GEN.11.16	Ed Eber, essendo vivuto trentaquattr'anni, generò Peleg
GEN.11.17	Ed Eber, dopo ch'ebbe generato Peleg, visse quattrocentrent'anni, e generò figliuoli e figliuole.
GEN.11.18	E Peleg, essendo vivuto trent'anni, generò Reu. 
GEN.11.19	E Peleg, dopo ch'ebbe generato Reu, visse dugennove anni, e generò figliuoli e figliuole.
GEN.11.20	E Reu, essendo vivuto trentadue anni, generò Serug
GEN.11.21	E Reu, dopo che ebbe generato Serug, visse dugensette anni, e generò figliuoli e figliuole.
GEN.11.22	E Serug, essendo vivuto trent'anni, generò Nahor. 
GEN.11.23	E Serug, dopo che ebbe generato Nahor, visse dugent'anni, e generò figliuoli e figliuole.
GEN.11.24	E Nahor, essendo vivuto ventinove anni, generò Tare
GEN.11.25	E Nahor, dopo ch'ebbe generato Tare, visse cendiciannove anni, e generò figliuoli e figliuole.
GEN.11.26	E Tare, essendo vivuto settant'anni, generò Abramo, Nahor, e Haran
GEN.11.27	E queste 
GEN.11.27	Tare generò Abramo, Nahor e Haran; e Haran generò Lot. 
GEN.11.28	Or Haran morì in presenza di Tare suo padre, nel suo natio paese, in Ur de' Caldei. 
GEN.11.29	Ed Abramo e Nahor si presero delle mogli; il nome della moglie di Abramo 
GEN.11.30	Or Sarai era sterile, 
GEN.11.31	E Tare prese Abramo suo figliuolo, e Lot figliuol del suo figliuolo, 
GEN.11.32	E il tempo della vita di Tare fu dugentocinque anni; poi morì in Charan.
GEN.12.1	OR il Signore avea detto ad Abramo: Vattene fuor del tuo paese, e del tuo parentado, e della casa di tuo padre, nel paese che io ti mostrerò
GEN.12.2	Ed io ti farò divenire una gran gente
GEN.12.3	Ed io benedirò coloro che ti benediranno, e maledirò coloro che ti malediranno; e tutte le nazioni della terra saranno benedette in te
GEN.12.4	Ed Abramo se ne andò, come il Signore gli avea detto; e Lot andò con lui. Or Abramo 
GEN.12.5	Abramo adunque prese Sarai sua moglie, e Lot figliuol del suo fratello, e tutte le lor facoltà che aveano acquistate, e parimente le persone che aveano acquistate in Charan; e si partirono, per andar nel paese di Canaan. E pervennero al paese di Canaan
GEN.12.6	Ed Abramo passò per lo paese, fino al luogo di Sichem, fino alla pianura di More. Ed in quel tempo i Cananei 
GEN.12.7	E il Signore apparve ad Abramo, e 
GEN.12.8	Poi egli si tramutò di là verso il monte, dalla parte orientale di Betel; e tese i suoi padiglioni, avendo dal lato occidentale Betel, e dall'orientale Ai; ed edificò quivi un altare al Signore, ed invocò il Nome del Signore
GEN.12.9	Poi Abramo si partì, camminando e traendo verso il Mezzodì.
GEN.12.10	OR sopravvenne una fame nel paese
GEN.12.11	E, come egli fu presso ad entrare in Egitto, disse a Sarai sua moglie: Ecco, ora io so che tu 
GEN.12.12	Laonde avverrà che, quando gli Egizj ti vedranno, diranno: Costei 
GEN.12.13	Deh! di'  
