GEN.1.1	起初，上帝创造天地。 
GEN.1.28	上帝赐福给他们，上帝对他们说：“要生养众多，遍满这地，治理它；要管理海里的鱼、天空的鸟和地上各样活动的生物。” 
GEN.1.29	上帝说：“看哪，我把全地一切含种子的五谷菜蔬和一切会结果子、果子里有种子的树，都赐给你们；这些都可作食物。 
GEN.1.30	至于地上一切的走兽、天空一切的飞鸟，并一切在地上爬行的，有生命的动物，我把绿色植物赐给它们作食物。”事就这样成了。 
GEN.1.31	上帝看一切所造的，看哪，都非常好。有晚上，有早晨，这是第六日。
GEN.2.1	天和地，以及万象都完成了。 
GEN.2.2	到第七日，上帝已经完成了造物之工，就在第七日安息了，歇了他所做一切的工。 
GEN.2.3	上帝赐福给第七日，将它分别为圣，因为在这日，上帝安息了，歇了他所做一切创造的工。 
GEN.2.4	这就是天地创造的来历。
GEN.2.4	在耶和华上帝造地和天的时候， 
GEN.2.5	地上还没有田野的草木，田间的菜蔬还没有长出来，因为耶和华上帝还没有降雨在地上，也没有人耕种土地。 
GEN.2.6	但是，有雾气从地上腾，滋润整个土地的表面。 
GEN.2.7	耶和华上帝用地上的尘土造人，将生命之气吹进他的鼻孔，这人就成了有灵的活人
GEN.2.8	耶和华上帝在东方的
GEN.2.9	耶和华上帝使各样的树从土地里长出来，可以悦人的眼目，好作食物。园子当中有生命树和知善恶的树 
GEN.2.10	有一条河从
GEN.2.11	第一条名叫
GEN.2.12	那地的金子很好，在那里也有珍珠
GEN.2.13	第二条河名叫
GEN.2.14	第三条河名叫
GEN.2.15	耶和华上帝把那人安置在
GEN.2.16	耶和华上帝吩咐那人说：“园中各样树上所出的，你可以随意吃， 
GEN.2.17	只是知善恶的树所出的，你不可吃，因为你吃它的日子必定死！”
GEN.2.18	耶和华上帝说：“那人单独一个不好，我要为他造一个配偶帮助他。” 
GEN.2.19	耶和华上帝用泥土造了野地各样的走兽和天空各样的飞鸟，都带到那人面前，看他叫什么。那人怎样叫各样的动物，那就是它的名字。 
GEN.2.20	那人就给一切牲畜、天空的飞鸟和野地各样的走兽都起了名。只是
GEN.2.21	耶和华上帝使他沉睡，他就睡了；于是取下他的一根肋骨，又在原处把肉合起来。 
GEN.2.22	耶和华上帝就用那人身上所取的肋骨造了一个女人，带她到那人面前。 
GEN.2.23	那人说：
GEN.2.23	“这正是我骨中的骨，
GEN.2.23	肉中的肉，
GEN.2.23	可以称她为女人，
GEN.2.23	因为她是从男人身上取出来的。”
GEN.2.24	因此，人要离开父母，与妻子结合，二人成为一体。 
GEN.2.25	当时夫妻二人赤身露体，并不觉得羞耻。
GEN.3.1	耶和华上帝所造的，惟有蛇比田野一切的走兽更狡猾。蛇对女人说：“上帝岂是真说，你们不可吃园中任何树上所出的吗？” 
GEN.3.2	女人对蛇说：“园中树上的果子，我们都可以吃； 
GEN.3.3	只是园子中间那棵树的果子，上帝曾说：‘你们不可吃，也不可摸，免得你们死。’” 
GEN.3.4	蛇对女人说：“你们不一定死； 
GEN.3.5	因为上帝知道，你们吃的日子眼睛就开了，你们就像上帝一样知道善恶。” 
GEN.3.6	于是女人见那棵树好作食物，又悦人的眼目，那树令人喜爱，能使人有智慧，她就摘下果子吃了，又给了与她一起的丈夫，他也吃了。 
GEN.3.7	他们二人的眼睛就开了，知道自己赤身露体，就编织无花果树的叶子，为自己做成裙子。
GEN.3.8	天起了凉风，那人和他妻子听见耶和华上帝在园中来回行走的声音，就藏在园里的树木中，躲避耶和华上帝的面。 
GEN.3.9	耶和华上帝呼唤那人，对他说：“你在哪里？” 
GEN.3.10	他说：“我在园中听见你的声音，我就害怕；因为我赤身露体，我就藏了起来。” 
GEN.3.11	耶和华上帝说：“谁告诉你，你是赤身露体呢？莫非你吃了那树上所出的，就是我吩咐你不可吃的吗？” 
GEN.3.12	那人说：“你赐给我、与我一起的女人，是她把那树上所出的给我，我就吃了。” 
GEN.3.13	耶和华上帝对女人说：“你怎么会做这种事呢？”女人说：“那蛇引诱我，我就吃了。”
GEN.3.14	耶和华上帝对蛇说：
GEN.3.14	“你既做了这事，就必受诅咒，
GEN.3.14	比一切的牲畜和野兽更重。
GEN.3.14	你必用肚子行走，
GEN.3.14	终生吃土。
GEN.3.15	我要使你和女人彼此为仇，
GEN.3.15	你的后裔和女人的后裔也彼此为仇。
GEN.3.15	他要伤你的头，
GEN.3.15	你要伤他的脚跟。 ”
GEN.3.16	又对女人说：
GEN.3.16	“我必多多加增你怀胎的痛苦，
GEN.3.16	你生儿女时必多受痛苦。
GEN.3.16	你必恋慕你丈夫，
GEN.3.16	他必管辖你。”
GEN.3.17	又对
GEN.3.17	“你既听从你妻子的话，
GEN.3.17	吃了那树上所出的，
GEN.3.17	就是我吩咐你不可吃的，
GEN.3.17	土地必因你的缘故受诅咒；
GEN.3.17	你必终生劳苦才能从土地得吃的。
GEN.3.18	土地必给你长出荆棘和蒺藜来；
GEN.3.18	你也要吃田间的五谷菜蔬。
GEN.3.19	你必汗流满面才有食物可吃，
GEN.3.19	直到你归了土地，
GEN.3.19	因为你是从土地而出的。
GEN.3.19	你本是尘土，仍要归回尘土。”
GEN.3.20	那人给他妻子起名叫
GEN.3.21	耶和华上帝用兽皮做衣服给
GEN.3.22	耶和华上帝说：“看哪，那人已经像我们中间的一个，知道善恶，现在恐怕他又伸手摘生命树所出的来吃，就永远活着。” 
GEN.3.23	耶和华上帝就驱逐他出
GEN.3.24	耶和华上帝把那人赶出去，就在
GEN.4.1	那人和他妻子
GEN.4.2	她又生了
GEN.4.3	过了一些日子，
GEN.4.4	也把他羊群中头生的和羊的脂肪献上。耶和华看中了
GEN.4.5	却看不中
GEN.4.6	耶和华对
GEN.4.7	你若做得对，岂不仰起头来吗？你若做得不对，罪就伏在门前。它想要控制你，你却要制伏它。”
GEN.4.9	耶和华对
GEN.4.10	耶和华说：“你做了什么事呢？你弟弟血的声音从地里向我哀号。 
GEN.4.11	现在你必从这地受诅咒，这地开了口，从你手里接受你弟弟的血。 
GEN.4.12	你耕种土地，它不再给你效力；你必流离飘荡在地上。” 
GEN.4.13	对耶和华说：“我的惩罚太重，过于我所能承当的。 
GEN.4.14	看哪，今日你赶我离开这块土地，不能见你的面；我必流离飘荡在地上，凡遇见我的必杀我。” 
GEN.4.15	耶和华对他说：“既然如此 ，凡杀
GEN.4.16	于是
GEN.4.18	生
GEN.4.19	娶了两个妻子：一个名叫
GEN.4.20	生
GEN.4.21	的兄弟名叫
GEN.4.22	又生了
GEN.4.23	对他两个妻子说：
GEN.4.23	大人伤我，我把他杀了；
GEN.4.23	小孩损我，我把他害了
GEN.4.24	若杀
GEN.4.24	杀
GEN.4.26	也生了一个儿子，起名叫
GEN.5.1	这是
GEN.5.2	他造男造女。在他们被造的日子，上帝赐福给他们，称他们为人。
GEN.5.4	生
GEN.5.5	共活了九百三十年，就死了。
GEN.5.7	生
GEN.5.8	共活了九百一十二年，就死了。
GEN.5.10	生
GEN.5.11	共活了九百零五年，就死了。
GEN.5.13	生
GEN.5.14	共活了九百一十年，就死了。
GEN.5.16	生
GEN.5.17	共活了八百九十五年，就死了。
GEN.5.19	生
GEN.5.20	共活了九百六十二年，就死了。
GEN.5.22	生
GEN.5.23	共活了三百六十五年。 
GEN.5.24	与上帝同行，上帝把他接去，他就不在了。
GEN.5.26	生
GEN.5.27	共活了九百六十九年，就死了。
GEN.5.29	给他起名叫
GEN.5.30	生
GEN.5.31	共活了七百七十七年，就死了。
GEN.6.1	当人开始在地面上增多、又生女儿的时候， 
GEN.6.2	上帝的儿子们看见人的女子美貌，就随意挑选，娶来为妻。 
GEN.6.3	耶和华说：“人既属乎血气，我的灵就不永远住在他里面；然而他的年岁还可到一百二十年。” 
GEN.6.4	那时候有巨人在地上，后来也有；上帝的儿子们和人的女子们交合，生了孩子。那些人就是古代的勇士，有名的人物。
GEN.6.5	耶和华见人在地上罪大恶极，终日心里所想的尽都是恶事， 
GEN.6.6	耶和华就因造人在地上感到遗憾，心中忧伤。 
GEN.6.7	耶和华说：“我要把所造的人和走兽，爬行动物，以及天空的飞鸟，都从地面上除灭，因为我造了他们感到遗憾。” 
GEN.6.8	只有
GEN.6.9	这是
GEN.6.10	生了三个儿子，就是
GEN.6.11	这地在上帝面前败坏了，地上充满了暴力。 
GEN.6.12	上帝观看这地，看哪，它败坏了，因为凡血肉之躯在地上的行为都败坏了。 
GEN.6.13	上帝对
GEN.6.14	你要为自己用歌斐木造一艘方舟，并在方舟内造房间，内外都要抹上沥青。 
GEN.6.15	方舟的造法是这样：要长三百肘，宽五十肘，高三十肘。 
GEN.6.16	方舟上面要造天窗，向上一肘。方舟的门要开在旁边。方舟要分上、中、下三层。 
GEN.6.17	看哪，我要使洪水泛滥在地上，毁灭天下凡有生命气息的血肉之躯，地上的一切都要灭亡。 
GEN.6.18	但我要与你立约；你同你的儿子、妻子和媳妇都要进入方舟。 
GEN.6.19	凡有血肉的动物，每样一对，一公一母，你要带进方舟，好跟你一起保全生命。 
GEN.6.20	飞鸟各从其类，牲畜各从其类，地上的爬行动物各从其类，每样一对，都要到你那里，好保全生命。 
GEN.6.21	你要拿各样可吃的食物，储存在你那里，作你和它们的粮食。” 
GEN.6.22	就去做了；凡上帝吩咐他的，他都照样去做。
GEN.7.1	耶和华对
GEN.7.2	凡洁净的牲畜，你要各取七公七母；不洁净的牲畜，你要各取一公一母； 
GEN.7.3	天空的飞鸟也要各取七公七母，为了要留种，活在全地面上。 
GEN.7.4	因为再过七天，我要降雨在地上四十昼夜，把我所造的一切生物从地面上除灭。” 
GEN.7.5	就遵照耶和华吩咐他的去做。
GEN.7.6	当洪水
GEN.7.7	同他的儿子、妻子和媳妇都进入方舟，躲避洪水。 
GEN.7.8	洁净的牲畜和不洁净的牲畜，飞鸟及所有爬行在土地上的， 
GEN.7.9	都一对一对，有公有母，到
GEN.7.10	过了七天，洪水泛滥在地上。
GEN.7.12	四十昼夜有大雨降在地上。 
GEN.7.13	正在那日，
GEN.7.14	他们和一切走兽，各从其类；一切牲畜，各从其类；地上爬的一切爬行动物，各从其类；一切的鸟，就是一切有翅膀的飞禽，各从其类； 
GEN.7.15	凡有生命气息的血肉之躯，都一对一对到
GEN.7.16	凡有血肉的，都一公一母进入方舟，正如上帝所吩咐
GEN.7.17	洪水在地上泛滥四十天，水往上涨，使方舟浮起，方舟就从地上漂起来。 
GEN.7.18	水势汹涌，在地上大大上涨，方舟在水面上漂荡。 
GEN.7.19	水势在地上极其浩大，普天下所有的高山都淹没了。 
GEN.7.20	水势汹涌，比山高出十五肘 ，山岭都淹没了。 
GEN.7.21	凡有血肉在地上行动的，就是飞鸟、牲畜、走兽和地上成群的群聚动物，以及所有的人，都死了。 
GEN.7.22	在干地上凡鼻孔里有生命气息的都死了。 
GEN.7.23	耶和华除灭了地面上各类的生物，包括人和牲畜、爬行动物，以及天空的飞鸟；他们就都从地上除灭了，只剩下
GEN.7.24	水势汹涌，在地上共一百五十天。
GEN.8.1	上帝记念
GEN.8.2	深渊的泉源和天上的窗户都关闭了，雨不再从天降下。 
GEN.8.3	水从地上逐渐消退。过了一百五十天，水就退了。 
GEN.8.4	七月十七日，方舟停在
GEN.8.5	水继续退去，直到十月；十月初一，山顶都露出来了。
GEN.8.6	过了四十天，
GEN.8.7	放出一只乌鸦。那乌鸦飞来飞去，直到地上的水都干了。 
GEN.8.8	他又从他那里放出一只鸽子，要看水从地面上退了没有。 
GEN.8.9	但全地面都是水，鸽子找不到落脚之地，就回到方舟
GEN.8.10	又另外等了七天，再把鸽子从方舟放出去。 
GEN.8.11	到了晚上，鸽子回到他那里，看哪，嘴里有一片刚啄下来的橄榄叶，
GEN.8.12	他又另外等了七天，再放出鸽子，这次鸽子不再回到他那里了。
GEN.8.13	当
GEN.8.14	到了二月二十七日，地就都干了。 
GEN.8.15	上帝对
GEN.8.16	“你同你的妻子、儿子、媳妇都要出方舟。 
GEN.8.17	凡与你一起有血肉的生物，就是飞鸟、牲畜和地上爬的一切爬行动物，都要带出来。 它们要在地上滋生，繁殖增多。” 
GEN.8.18	于是
GEN.8.19	一切走兽、爬行动物和飞鸟，地上所有的动物，各从其类，也都出了方舟。
GEN.8.21	耶和华闻了那馨香之气，耶和华心里说：“我不再因人的缘故诅咒土地，因为人从幼年就心里怀着恶念；我也不再照我曾做的毁灭一切生物了。 
GEN.8.22	地还存在的时候，撒种、收割、寒暑、冬夏、昼夜都永不止息。”
GEN.9.1	上帝赐福给
GEN.9.2	地上一切的走兽、天空一切的飞鸟、所有爬行在土地上的和海里一切的鱼都必怕你们，畏惧你们，它们都要交在你们手里。 
GEN.9.3	凡活的动物都可作你们的食物。这一切我都赐给你们，如同绿色的菜蔬一样。 
GEN.9.4	只是带着生命的肉，就是带着血的，你们不可吃。 
GEN.9.5	流你们血、害你们命的，我必向他追讨；我要向一切走兽追讨，向人和向人的弟兄追讨人命。 
GEN.9.6	凡流人血的，他的血也必被人所流，因为上帝造人，是照自己的形像造的。 
GEN.9.7	你们要生养众多，在地上繁衍昌盛。”
GEN.9.8	上帝对
GEN.9.9	“看哪，我要与你们和你们后裔立我的约， 
GEN.9.10	包括和你们一起所有的生物，就是飞鸟、牲畜、地上一切的走兽，凡从方舟里出来地上一切的生物。 
GEN.9.11	我与你们立我的约：凡有血肉的，不再被洪水灭绝，也不再有洪水毁坏这地了。” 
GEN.9.12	上帝说：“这是我与你们，以及和你们一起的一切生物所立之约的记号，直到万代： 
GEN.9.13	我把彩虹放在云中，这就是我与地立约的记号了。 
GEN.9.14	我使云遮地的时候，会有彩虹出现在云中， 
GEN.9.15	我就记念我与你们，以及各样有血肉的生物所立的约：不再有洪水泛滥去毁灭一切有血肉的了。 
GEN.9.16	彩虹出现在云中，我看见了，就要记念上帝与地上一切有血肉的生物所立的永约。” 
GEN.9.17	上帝对
GEN.9.19	这是
GEN.9.20	是农夫，是他开始栽葡萄园的。 
GEN.9.21	他喝了一些酒就醉了，在他的帐棚里赤着身子。 
GEN.9.22	的父亲
GEN.9.23	于是
GEN.9.24	酒醒以后，知道小儿子向他所做的事， 
GEN.9.25	就说：
GEN.9.25	“
GEN.9.25	必给他弟兄作奴仆的奴仆。”
GEN.9.26	又说：
GEN.9.26	“耶和华—
GEN.9.26	愿
GEN.9.27	愿上帝使
GEN.9.27	愿他住在
GEN.9.27	愿
GEN.9.28	洪水以后，
GEN.9.29	共活了九百五十年，就死了。
GEN.10.1	这是
GEN.10.2	的儿子是
GEN.10.3	的儿子是
GEN.10.4	的儿子是
GEN.10.5	从这些人中有沿海国家的人散居各处，有自己的土地，各有各的语言、宗族、国家。 
GEN.10.6	的儿子是
GEN.10.7	的儿子是
GEN.10.8	又生
GEN.10.9	他在耶和华面前是个英勇的猎人，所以有话说：“像
GEN.10.10	他王国的开始是在
GEN.10.11	他从那地出来往
GEN.10.12	以及
GEN.10.13	生
GEN.10.14	人、
GEN.10.16	和
GEN.10.17	人、
GEN.10.18	人、
GEN.10.19	的疆界是从
GEN.10.20	这就是
GEN.10.22	的儿子是
GEN.10.23	的儿子是
GEN.10.24	生
GEN.10.25	生了两个儿子，一个名叫
GEN.10.26	生
GEN.10.27	、
GEN.10.28	、
GEN.10.29	、
GEN.10.30	他们所住的地方是从
GEN.10.31	这就是
GEN.10.32	这些是
GEN.11.1	那时，全地只有一种语言，都说一样的话。 
GEN.11.2	他们向东迁移的时候，在
GEN.11.3	他们彼此商量说：“来，让我们来做砖，把砖烧透了。”他们就拿砖当石头，又拿柏油当泥浆。 
GEN.11.4	他们说：“来，让我们建造一座城和一座塔，塔顶通天。我们要为自己立名，免得我们分散在全地面上。” 
GEN.11.5	耶和华降临，要看世人所建造的城和塔。 
GEN.11.6	耶和华说：“看哪，他们成了同一个民族，都有一样的语言。这只是他们开始做的事，现在他们想要做的任何事，就没有什么可拦阻他们了。 
GEN.11.7	来，我们下去，在那里变乱他们的语言，使他们彼此语言不通。” 
GEN.11.8	于是耶和华使他们从那里分散在全地面上；他们就停止建造那城了。 
GEN.11.9	因为耶和华在那里变乱了全地的语言，把人从那里分散在全地面上，所以那城名叫
GEN.11.10	这是
GEN.11.11	生
GEN.11.13	生
GEN.11.15	生
GEN.11.17	生
GEN.11.19	生
GEN.11.21	生
GEN.11.23	生
GEN.11.25	生
GEN.11.27	这是
GEN.11.28	死在他父亲
GEN.11.29	、
GEN.11.30	不生育，没有孩子。
GEN.11.32	共活了二百零五年，就死在
GEN.12.1	耶和华对
GEN.12.2	我必使你成为大国，我必赐福给你，使你的名为大；你要使别人得福
GEN.12.3	为你祝福的，我必赐福给他；诅咒你的，我必诅咒他。地上的万族都必因你得福。”
GEN.12.5	带着他妻子
GEN.12.6	经过那地，直到
GEN.12.7	耶和华向
GEN.12.8	从那里他又迁到
GEN.12.9	后来
GEN.12.10	那地遭遇饥荒。
GEN.12.11	将近
GEN.12.12	人看见你会说：‘这是他的妻子’，他们就会杀我，却让你活着。 
GEN.12.13	所以，请你说你是我的妹妹，使我可以因你得平安，我的性命也因你存活。” 
GEN.12.14	到达
GEN.12.15	法老的臣仆看见了她，就在法老面前称赞她。那女人就被带进法老的宫中。 
GEN.12.16	法老就因她厚待
GEN.12.17	耶和华因
GEN.12.18	法老召了
GEN.12.19	为什么说‘她是我的妹妹’，以致我把她接来要作我的妻子呢？现在 ，看哪，你的妻子在这里，带她走吧！” 
GEN.12.20	于是法老吩咐人把
GEN.13.2	的牲畜和金银极多。 
GEN.13.3	他从
GEN.13.4	也是他起先筑坛的地方。
GEN.13.5	与
GEN.13.6	那地容不下他们住在一起；因为他们的财物非常多，使他们不能同住一起。 
GEN.13.7	当时，
GEN.13.9	遍地不都在你眼前吗？请你离开我吧！你向左，我就向右；你向右，我就向左。” 
GEN.13.10	举目，看见
GEN.13.11	于是
GEN.13.12	住在
GEN.13.13	人在耶和华面前罪大恶极。
GEN.13.15	你所看见一切的地，我都要把它赐给你和你的后裔，直到永远。 
GEN.13.16	我要使你的后裔好像地上的尘沙，人若能数地上的尘沙，才能数你的后裔。 
GEN.13.17	你起来，纵横走遍这地，因为我必把这地赐给你。” 
GEN.13.18	就迁移帐棚，来到
GEN.14.1	当
GEN.14.2	他们攻打
GEN.14.3	这些王都会合在
GEN.14.4	他们已经服事
GEN.14.5	第十四年，
GEN.14.6	在
GEN.14.7	他们转回，来到
GEN.14.8	于是
GEN.14.9	就是与
GEN.14.10	有许多柏油坑。
GEN.14.11	四王就把
GEN.14.12	他们也把
GEN.14.13	有一个逃脱的人来告诉
GEN.14.14	听见他侄儿 
GEN.14.15	在夜间，他和他的仆人分队击败了敌人，并且追杀他们，直到
GEN.14.16	他把一切被掳掠的财物夺回，也把他侄儿
GEN.14.18	又有
GEN.14.19	他为
GEN.14.19	“愿至高的上帝、
GEN.14.19	天地的主赐福给
GEN.14.20	至高的上帝把敌人交在你手里，
GEN.14.20	他是应当称颂的！”
GEN.14.21	王对
GEN.14.22	对
GEN.14.23	凡是你的东西，就是一根线、一条鞋带，我都不拿，免得你说：‘是我使
GEN.14.24	我什么都不要，只是仆人所吃的，以及与我同去的
GEN.15.1	这些事以后，耶和华的话在异象中临到
GEN.15.2	说：“主耶和华啊，我还没有儿子，你能赐我什么呢？承受我家业的是
GEN.15.3	又说：“看哪，你没有给我后嗣。你看，那生在我家中的人要继承我。” 
GEN.15.4	看哪，耶和华的话又临到他，说：“这人不会继承你，你本身所生的才会继承你。” 
GEN.15.5	于是耶和华带他到外面，说：“你向天观看，去数星星，你能数得清吗？”又对他说：“你的后裔将要如此。” 
GEN.15.6	信耶和华，耶和华就以此算他为义。
GEN.15.7	耶和华又对他说：“我是耶和华，曾领你出
GEN.15.8	说：“主耶和华啊，我怎能知道我必得这地为业呢？” 
GEN.15.9	耶和华对他说：“你为我取一头三岁的母牛犊，一只三岁的母山羊，一只三岁的公绵羊，一只斑鸠和一只雏鸽。” 
GEN.15.10	就把这些都取来，每样从中间劈成两半，一半对着另一半排列，只有鸟没有劈开。 
GEN.15.11	当鸷鸟下来，落在这些尸体上时，
GEN.15.12	日落的时候，
GEN.15.13	耶和华对
GEN.15.14	但我要惩罚他们所服事的那国，以后他们必带着许多财物从那里出来。 
GEN.15.15	至于你，你要平平安安归到你祖先那里，必享长寿，被人埋葬。 
GEN.15.16	到了第四代，他们必回到这里，因为
GEN.15.17	日落天黑的时候，看哪，有冒烟的炉和烧着的火把从那些肉块中经过。 
GEN.15.18	在那日，耶和华与
GEN.15.19	就是
GEN.15.20	人、
GEN.15.21	人、
GEN.16.2	对
GEN.16.3	于是
GEN.16.4	与
GEN.16.5	对
GEN.16.6	对
GEN.16.7	耶和华的使者在旷野的水泉旁，在
GEN.16.8	对她说：“
GEN.16.9	耶和华的使者对她说：“你要回到你的女主人那里，屈服在她手下。” 
GEN.16.10	耶和华的使者对她说：
GEN.16.10	“我必使你的后裔极其繁多，
GEN.16.10	多到不可胜数。”
GEN.16.11	耶和华的使者又对她说：
GEN.16.11	“看哪，你已怀孕，
GEN.16.11	要生一个儿子。
GEN.16.11	你要给他起名叫
GEN.16.11	因为耶和华听见了你的苦楚。
GEN.16.12	他为人必像野驴。
GEN.16.12	他的手要攻打人，
GEN.16.12	人的手也要攻打他；
GEN.16.12	他必常与他的众弟兄作对 
GEN.16.14	所以这井名叫
GEN.16.15	后来
GEN.16.16	为
GEN.17.2	我要与你立约，使你的后裔极其繁多。” 
GEN.17.3	脸伏于地；上帝又对他说： 
GEN.17.4	“看哪，这就是我与你立的约，你要成为多国的父。 
GEN.17.5	从今以后，你的名字不再叫
GEN.17.6	我必使你生养极其繁多；国度要从你而立，君王要从你而出。 
GEN.17.7	我要与你，以及你世世代代的后裔坚立我的约，成为永远的约，是要作你和你后裔的上帝。 
GEN.17.8	我要把你现在寄居的地，就是
GEN.17.9	上帝又对
GEN.17.10	这就是我与你，以及你的后裔所立的约，是你们所当遵守的，你们所有的男子都要受割礼。 
GEN.17.11	你们要割去肉体的包皮，这是我与你们立约的记号。 
GEN.17.12	你们世世代代的男子，无论是在家里生的，或是用银子从外人买来而不是你后裔生的，都要在生下来的第八日受割礼。 
GEN.17.13	你家里生的和你用银子买的，都必须受割礼。这样，我的约就在你们肉体上成为永远的约。 
GEN.17.14	不受割礼的男子都必从民中剪除，因他违背了我的约。”
GEN.17.15	上帝又对
GEN.17.16	我必赐福给她，也要从她赐一个儿子给你。我必赐福给
GEN.17.17	就脸伏于地窃笑，心里想：“一百岁的人还能有孩子吗？
GEN.17.18	对上帝说：“但愿
GEN.17.19	上帝说：“不！你妻子
GEN.17.20	至于
GEN.17.21	到明年所定的时候，
GEN.17.22	上帝和
GEN.17.23	在那一天，
GEN.17.24	受割礼时，年九十九岁。 
GEN.17.25	他儿子
GEN.17.26	在那一天，
GEN.17.27	家里所有的男人，无论是在家里生的，或是用银子从外人买来的，也都一同受了割礼。
GEN.18.1	耶和华在
GEN.18.2	他举目观看，看哪，有三个人站在他附近。他一看见，就从帐棚门口跑去迎接他们，俯伏在地， 
GEN.18.3	说：“我主，我若在你眼前蒙恩，请不要离开你的仆人走过去。 
GEN.18.4	容我拿点水来，请你们洗脚，在树下休息。 
GEN.18.5	既然你们来到仆人这里了，我再拿点饼来，让你们恢复心力，然后再走。”他们说：“就照你说的去做吧。” 
GEN.18.6	急忙进帐棚到
GEN.18.7	又跑到牛群里，牵了一头又嫩又好的牛犊来，交给仆人，仆人就急忙去预备。 
GEN.18.8	取了乳酪和奶，以及预备好了的牛犊来，摆在他们面前，自己在树下站在旁边，他们就吃了。
GEN.18.9	他们对
GEN.18.10	有一位说：“明年这时候 
GEN.18.11	和
GEN.18.12	心里窃笑，说：“我已衰老，我的主也老了，怎能有这喜事呢？” 
GEN.18.13	耶和华对
GEN.18.14	耶和华岂有难成的事吗？到了所定的时候，我必回到你这里。明年这时候，
GEN.18.15	因为害怕，就不承认，说：“我没有笑。”那人说：“不，你的确笑了。”
GEN.18.16	三人从那里起程，面向
GEN.18.17	耶和华说：“我所要做的事岂可瞒着
GEN.18.18	必要成为强大的国；地上的万国都必因他得福。 
GEN.18.19	我拣选他
GEN.18.20	耶和华说：“
GEN.18.21	我要下去察看他们所做的，是否真的像那达到我这里的声音一样；如果不是，我也要知道。”
GEN.18.22	二人转身离开那里，往
GEN.18.23	近前来，说：“你真的要把义人和恶人一同剿灭吗？ 
GEN.18.24	假若那城里有五十个义人，你真的还要剿灭，不因城里这五十个义人饶了那地方吗？ 
GEN.18.25	你绝不会做这样的事，把义人与恶人一同杀了，使义人与恶人一样。你绝不会这样！审判全地的主岂不做公平的事吗？” 
GEN.18.26	耶和华说：“我若在
GEN.18.27	回答说：“看哪，我虽只是尘土灰烬，还敢向主说话。 
GEN.18.28	假若这五十个义人少了五个，你就因为少了五个而毁灭全城吗？”他说：“我在那里若找到四十五个，就不毁灭。” 
GEN.18.29	又对他说：“假若在那里找到四十个呢？”他说：“为这四十个的缘故，我也不做。” 
GEN.18.30	说：“求主不要生气，容我说，假若在那里找到三十个呢？”他说：“我在那里若找到三十个，我也不做。” 
GEN.18.31	说：“看哪，我还敢向主说，假若在那里找到二十个呢？”他说：“为这二十个的缘故，我也不毁灭。” 
GEN.18.32	说：“求主不要生气，我再说一次，假若在那里找到十个呢？”他说：“为这十个的缘故，我也不毁灭。” 
GEN.18.33	耶和华与
GEN.19.1	两个天使在傍晚到了
