GEN.1.1	起初，神创造诸天和大地。
GEN.3.15	放在你的后裔和女人的后裔之间；
GEN.3.15	女人的后裔要重创你的头，
GEN.3.15	而你要重创他的脚跟。”
GEN.3.16	神对女人说：
GEN.3.16	“我要大大增加你怀胎的辛苦，
GEN.3.16	你必在痛苦中生孩子。
GEN.3.16	你必恋慕你的丈夫，
GEN.3.16	而他必管辖你。”
GEN.3.17	神又对
GEN.3.17	土地就因你的缘故受诅咒；
GEN.3.17	你一生所有的日子都必辛苦，
GEN.3.17	才能从土地得吃的。
GEN.3.18	土地将给你长出荆棘和蒺藜；
GEN.3.18	你也必吃田间的蔬草。
GEN.3.19	你必汗流满面才有饭吃，
GEN.3.19	直到你归回土地，
GEN.3.19	因为你是从那里取出来的。
GEN.3.19	你本是尘土，
GEN.3.19	就要归回尘土。”
GEN.3.20	那人给他妻子起名为
GEN.3.21	耶和华神为
GEN.3.22	耶和华神说：“看哪，那人已经与我们相似
GEN.3.23	于是耶和华神就把他赶出
GEN.3.24	耶和华神驱逐了那人，又在
GEN.4.1	那人与妻子
GEN.4.2	后来，她又生了
GEN.4.3	过了一些日子，
GEN.4.4	至于
GEN.4.5	却没有看重
GEN.4.6	耶和华对
GEN.4.7	如果你做得好，能不蒙悦纳吗
GEN.4.9	耶和华对
GEN.4.10	耶和华说：“你做了什么呢？你弟弟的血从地里发声向我呼叫。 
GEN.4.11	地张开了口，从你的手中接受了你弟弟的血，所以你现在要从这地受诅咒： 
GEN.4.12	你耕地，地却不再给你效力；你在大地上必成为漂泊、流荡的人。”
GEN.4.14	看哪，今天你从这地驱逐我，以致我要躲避你的面
GEN.4.15	耶和华对他说：“如果是这样，任何杀死
GEN.4.16	于是
GEN.4.18	生了
GEN.4.19	为自己娶了两个妻子：一个名叫
GEN.4.20	生了
GEN.4.21	他的兄弟名叫
GEN.4.22	生了
GEN.4.23	“
GEN.4.23	一个成年人伤害我，我把他杀了；
GEN.4.23	一个少年人打伤我，我把他害了。
GEN.4.24	如果杀
GEN.4.24	那么杀
GEN.4.26	也生了一个儿子，并给他起名为
GEN.5.1	以下是
GEN.5.1	在神创造人的日子，神按着自己的样式造人； 
GEN.5.2	神创造了男人和女人；在他们被创造的日子，神祝福他们，给他们起名为“人”。
GEN.5.4	生了
GEN.5.5	这样
GEN.5.7	生了
GEN.5.8	这样
GEN.5.10	生了
GEN.5.11	这样
GEN.5.13	生了
GEN.5.14	这样
GEN.5.16	生了
GEN.5.17	这样
GEN.5.19	生了
GEN.5.20	这样
GEN.5.22	生了
GEN.5.23	这样
GEN.5.24	与神同行；后来他不在地上
GEN.5.26	生了
GEN.5.27	这样
GEN.5.29	给他起名为
GEN.5.30	生了
GEN.5.31	这样
GEN.6.1	当时，人在地面上开始增多，生了很多女儿， 
GEN.6.2	神的儿子们看到人的女儿们美丽，就从中任意挑选，为自己娶来为妻。 
GEN.6.3	耶和华就说：“我的灵不会永远住在人里面
GEN.6.4	在那些日子和后来的日子，有巨人
GEN.6.5	耶和华看到人在地上罪恶深重，而且人心里的每个意念动机终日都是邪恶的。 
GEN.6.6	耶和华就后悔在地上造了人，心中忧伤。 
GEN.6.7	耶和华说：“我要把我所创造的人从地面上抹掉，并且从人到牲畜、到爬行之物、到天空的飞鸟都抹掉，因为我后悔造了他们。” 
GEN.6.8	唯有
GEN.6.9	以下是
GEN.6.10	生了三个儿子：
GEN.6.11	那时大地在神面前败坏了，地上充满残暴。 
GEN.6.12	神观看大地，看哪，它已经败坏了，因为一切血肉之躯在地上的行为都败坏了！ 
GEN.6.13	神对
GEN.6.14	“你当为自己造一艘松柏
GEN.6.15	你要这样造方舟：方舟长三百肘，宽五十肘，高三十肘。 
GEN.6.16	你要为方舟造一个天窗，在离顶部一肘处造好；方舟的门要设在侧面。方舟要造成上、中、下三层。
GEN.6.17	看哪，我要使大洪水临到地上，要从普天下毁灭一切有生命气息、有血肉的，地上的一切都将断气！ 
GEN.6.18	但我要与你确立我的约；你与你的儿子们、你的妻子和儿媳们要一起进入方舟。 
GEN.6.19	你要将一切有血肉的活物，每样一对，公母成双，带进方舟，好使它们与你一起得以存活。 
GEN.6.20	飞鸟各从其类，牲畜各从其类，地上一切爬行之物各从其类，每样一对，都要来到你这里，好得以存活。 
GEN.6.21	你要从各样可吃的食物中都带上一些，收聚在你这里，作为你和它们的食物。” 
GEN.6.22	就这样做了；神所吩咐他的一切，他都照着做了。
GEN.7.1	耶和华对
GEN.7.2	你要从所有洁净的牲畜中各带七公七母，从不洁净的牲畜中各带一公一母， 
GEN.7.3	从天空的飞鸟中各带七公七母，好使它们的种类在全地上存留； 
GEN.7.4	因为再过七天，我就要降雨在地上四十昼夜，把我所造的一切生物都从地面上抹掉。” 
GEN.7.5	就照着耶和华吩咐他的一切做了。
GEN.7.6	大洪水临到地上的时候，
GEN.7.7	与他的儿子们、他的妻子和儿媳们一起进入方舟，躲避大洪水。 
GEN.7.8	洁净的牲畜和不洁净的牲畜，飞鸟和地上一切爬行之物， 
GEN.7.9	都公母成双，一对一对来到
GEN.7.10	那七天一过，大洪水就临到地上了。
GEN.7.12	大雨降在地上四十昼夜—— 
GEN.7.13	就在那一天，
GEN.7.14	与他们一起的，还有一切野兽，各从其类；一切牲畜，各从其类；在地上活动的一切动物，各从其类；一切飞禽，就是一切有翅膀的鸟类，各从其类。 
GEN.7.15	这样，一切有生命气息的，就是有血肉的，都一对一对到
GEN.7.16	各样有血肉的，都是公母成双进去的，是照着神所吩咐
GEN.7.17	洪水在地上持续了四十天，水不断上涨，把方舟托起，方舟就从地上浮了起来。 
GEN.7.18	水势强盛，在地上大大上涨，方舟在水面上漂行。 
GEN.7.19	水势在地上极其强盛，天下所有的高山都被淹没了。 
GEN.7.20	水势继续强盛，高出群山十五肘，群山都被淹没了。 
GEN.7.21	一切有血肉、在地上活动的，就是飞鸟、牲畜、野兽和充满大地的各样群聚动物，以及所有的人都断了气。 
GEN.7.22	在陆地上一切鼻孔里有生命气息的都死了。 
GEN.7.23	这样，神抹掉了地面上的一切生物——从人到牲畜、到爬行之物、到天空的飞鸟，都从地上抹掉了；只留下
GEN.7.24	水势强盛，在地上共一百五十天。
GEN.8.1	神记念
GEN.8.2	深渊的泉源和天上的窗户都关闭了，从天而降的大雨也止住了。 
GEN.8.3	水从地上渐渐回落；过了一百五十天，水就大大减退了。 
GEN.8.4	七月十七日，方舟停留在
GEN.8.5	水继续减退，直到十月。十月一日，众山顶都显露出来了。 
GEN.8.6	过了四十天，
GEN.8.7	放出了一只乌鸦。乌鸦不断地飞去飞回，直到地上的水都干了。 
GEN.8.8	他又从他那里放出一只鸽子，要看看水是否从地面上消退了。 
GEN.8.9	但鸽子找不到可以落脚的歇息之处，又回到方舟
GEN.8.10	他又等了七天，再次把鸽子从方舟放出去。 
GEN.8.11	傍晚时分，鸽子回到他那里；看哪，鸽子嘴里有一片新拧下的橄榄叶子！
GEN.8.12	他另外又等了七天，又把鸽子放出去，鸽子就再也没有回到他那里了。 
GEN.8.13	六百零一岁那年的一月一日，水从地上退干。
GEN.8.14	到了二月二十七日，大地完全干了。
GEN.8.15	于是神吩咐
GEN.8.16	“你与你的妻子、儿子们和儿媳们，一起从方舟出来吧！ 
GEN.8.17	你要带出那些与你在一起的所有活物，就是一切有血肉的，包括飞鸟、牲畜和在地上活动的各样动物，好让它们充满大地，繁衍增多。” 
GEN.8.18	于是
GEN.8.19	各样野兽、爬行之物和飞鸟，所有地上的动物，都按着它们的种类，也从方舟出来了。
GEN.8.21	耶和华闻到了那馨香之气，就在心中说：“我绝不再因人的缘故诅咒这地，尽管人从年幼时就心怀邪恶；我也绝不再像我曾做的，毁灭所有的活物。
GEN.8.22	只要大地还存留，
GEN.8.22	稼穑、寒暑、冬夏、昼夜
GEN.8.22	就不会停息。”
GEN.9.1	神祝福
GEN.9.2	大地一切的野兽、天空一切的飞鸟、地上一切的爬行之物、海里一切的鱼，都会畏惧你们、害怕你们；它们都已经交在你们的手中了。 
GEN.9.3	一切有生命的动物，都可以作为你们的食物；我把这一切赐给了你们，就像我把绿色植物赐给你们一样。 
GEN.9.4	只是带着生命之血的肉，你们不可吃。 
GEN.9.5	至于你们的生命之血，我必为你们追讨：我要向野兽追讨，我也要向人，甚至向各人的兄弟追讨人命。
GEN.9.6	那杀人流血的，
GEN.9.6	他必被杀流血，
GEN.9.6	因为神是按照自己的形像造人的。
GEN.9.7	你们要繁衍增多，充满大地，在其上增多。”
GEN.9.8	接着神告诉
GEN.9.9	“看哪，我要与你们以及你们的后裔确立我的约； 
GEN.9.10	并与所有和你们在一起的生物，包括飞鸟、牲畜和地上一切的活物，就是与所有从方舟里出来的地上活物立约。 
GEN.9.11	我要与你们确立我的约：一切有血肉的，都不会再被洪水除灭；也再没有洪水毁灭大地。”
GEN.9.12	神又说：“我与你们，以及同你们在一起的各样活物所立的约，延续到未来所有的世代；约的标记是这样的： 
GEN.9.13	我把我的彩虹放在云中，它就是我与大地立约的标记。 
GEN.9.14	当我聚起云遮盖大地时，彩虹会出现在云中， 
GEN.9.15	我就会记念我与你们以及一切有血肉的活物所立的约，水就不再成为洪水，来毁灭一切有血肉的。 
GEN.9.16	当彩虹出现在云中，我就会看到，就会记念我
GEN.9.17	神对
GEN.9.19	这三人是
GEN.9.21	他喝了葡萄酒，就醉了，在自己的帐篷中赤身露体。 
GEN.9.22	的父亲
GEN.9.23	于是
GEN.9.25	就说：
GEN.9.25	“
GEN.9.25	他必作自己兄弟们奴仆的奴仆。”
GEN.9.26	又说：
GEN.9.26	“耶和华——
GEN.9.26	愿
GEN.9.27	愿神使
GEN.9.27	使他住在
GEN.9.27	愿
GEN.9.28	洪水之后，
GEN.9.29	这样
GEN.10.1	以下是
GEN.10.1	洪水之后，他们都生了儿子。
GEN.10.3	的儿子是
GEN.10.4	的儿子是
GEN.10.5	沿海列国的人是从这些人扩散到自己地方的，各按自己的语言、自己的家族、自己的国家。
GEN.10.7	的儿子是
GEN.10.9	他在耶和华面前是个强大的猎手，因此有话说：“像
GEN.10.10	他的王国起始于
GEN.10.11	他从那地出来，往
GEN.10.12	以及在
GEN.10.14	人、
GEN.10.16	以及
GEN.10.17	人、
GEN.10.18	人、
GEN.10.19	的边界从
GEN.10.20	以上是
GEN.10.22	的儿子是
GEN.10.25	生了两个儿子，一个名叫
GEN.10.26	生了
GEN.10.27	、
GEN.10.28	、
GEN.10.29	、
GEN.10.30	他们居住的地方从
GEN.10.31	以上是
GEN.10.32	这些就是
GEN.11.1	当初全地只有一种语言、一种话语。 
GEN.11.2	人们向东方迁移
GEN.11.3	他们彼此说：“来吧！让我们做砖，用火烧透。”于是他们就用砖代替石头，用沥青代替灰泥。 
GEN.11.4	他们又说：“来吧！让我们为自己建造一座城和一座塔，塔顶通天，好为自己立名，免得我们分散在整个地面上。”
GEN.11.5	耶和华降临，要看世人建造的城和塔。 
GEN.11.6	耶和华说：“看哪，他们是一族，又说一样的语言，而且一开始就做这样的事，此后他们决意做任何事，就没有做不成的！ 
GEN.11.7	来吧！让我们下去，在那里把他们的语言变乱，使他们彼此听不懂对方的语言。” 
GEN.11.8	于是耶和华把他们从那里分散到整个地面上，他们就停止建造那城。 
GEN.11.9	因此那城名叫
GEN.11.10	以下是
GEN.11.11	生了
GEN.11.12	活到三十五岁时，生了
GEN.11.13	生了
GEN.11.14	活到三十岁时，生了
GEN.11.15	生了
GEN.11.16	活到三十四岁时，生了
GEN.11.17	生了
GEN.11.18	活到三十岁时，生了
GEN.11.19	生了
GEN.11.20	活到三十二岁时，生了
GEN.11.21	生了
GEN.11.22	活到三十岁时，生了
GEN.11.23	生了
GEN.11.24	活到二十九岁时，生了
GEN.11.25	生了
GEN.11.26	活到七十岁时，生了
GEN.11.27	以下是
GEN.11.28	在他父亲
GEN.11.29	和
GEN.11.30	不能怀孕，没有孩子。
GEN.11.32	的年日有两百零五年，然后死在
GEN.12.1	耶和华对
GEN.12.1	“你当离开你的本土、本族、父家，
GEN.12.1	往我将要指示你的地去。
GEN.12.2	我要使你成为一个大国，
GEN.12.2	我要祝福你，
GEN.12.2	使你的名为大；
GEN.12.2	你也必成为别人的
GEN.12.3	祝福你的，我要祝福他；
GEN.12.3	诅咒你的，我要诅咒他。
GEN.12.3	地上万族都必因你而蒙福。”
GEN.12.5	带着他的妻子
GEN.12.6	在那地穿行，直到
GEN.12.7	耶和华向
GEN.12.8	他又从那里迁移到
GEN.12.9	后来
GEN.12.10	当时那地有饥荒。因为那地的饥荒严重，
GEN.12.11	快要进入
GEN.12.12	人看见你的时候，就会说‘这是他的妻子’，然后杀了我，却让你存活。 
GEN.12.13	请你说你是我的妹妹，好让我因你的缘故受到善待，我的性命也因你的缘故得以存活。” 
GEN.12.14	果然，当
GEN.12.15	法老的群臣看见了，就在法老面前称赞她；那女人就被带进法老的宫殿。 
GEN.12.16	法老因她的缘故善待
GEN.12.17	耶和华因
GEN.12.18	于是法老召来
GEN.12.19	你为什么说‘她是我的妹妹’，以致我要娶她为妻呢？现在，你的妻子在这里，带她走吧！” 
GEN.12.20	于是法老吩咐人，他们就把
GEN.13.2	那时
GEN.13.3	他从南地
GEN.13.4	也是他原先造祭坛的地方。
GEN.13.5	与
GEN.13.6	那地容不下他们一起住，因为他们的财物很多，以致他们不能住在一起。 
GEN.13.7	于是牧养
GEN.13.9	全地不都在你面前吗？请你与我分开吧。如果你向左，我就向右；如果你向右，我就向左。”
GEN.13.11	于是
GEN.13.12	住在
GEN.13.13	那时
GEN.13.15	你所看见的一切地，我都必赐给你和你的后裔，直到永远。 
GEN.13.16	我也要使你的后裔如同地上的尘沙那样多
GEN.13.17	起来，纵横走遍这地！要知道，我要把这地赐给你。”
GEN.14.1	在
GEN.14.2	他们与
GEN.14.3	这五王都在
GEN.14.4	这五王曾经服事了
GEN.14.5	第十四年，
GEN.14.6	在
GEN.14.7	然后他们返回，来到
GEN.14.8	于是
GEN.14.9	就是与
GEN.14.10	谷有许多沥青坑；
GEN.14.11	那四王把
GEN.14.12	他们也把
GEN.14.13	有一个逃脱的人来告诉
GEN.14.14	听说他的侄子
GEN.14.15	他和他的仆人们在夜间兵分几路，击败敌人，又追赶他们，直到
GEN.14.16	他把一切的财物都夺了回来，也把他的侄子
GEN.14.18	又有
GEN.14.19	他祝福
GEN.14.19	“愿至高的神、天地的主宰祝福
GEN.14.20	至高的神是当受颂赞的！他把你的敌人交在你的手中。”
GEN.14.22	但
GEN.14.23	任何属于你的东西，就是一根线、一根鞋带，我也绝不会拿，以免你说：‘是我使
GEN.14.24	除了我仆人们所吃的以及同行的
GEN.15.1	这些事以后，在异象中，耶和华的话临到
GEN.15.1	“
GEN.15.1	我是你的盾牌，
GEN.15.1	你的赏报将极其大。”
GEN.15.3	又说：“看哪，既然你没有赐给我后裔，那生在
GEN.15.4	耶和华的话又临到他，说：“这人不会是你的继承人，只有你亲生的，才会是你的继承人。” 
GEN.15.5	耶和华把他带到外面，说：“你向天观看，如果你能数清星辰，就去数吧！”又对他说：“你的后裔也必如此众多
GEN.15.7	耶和华对他说：“我是耶和华，我把你从
GEN.15.9	耶和华就对他说：“你为我取来一头三岁的小母牛、一只三岁的母山羊、一只三岁的公绵羊、一只斑鸠和一只雏鸽。”
GEN.15.10	他就为耶和华取来这一切，把每样都从中间剖开，一半对着另一半摆列，但没有把鸟剖开。 
GEN.15.11	有猛禽飞落在这些尸体上，
GEN.15.12	日落的时候，
GEN.15.13	耶和华对
GEN.15.14	但我将审判他们所服事的那个国家；此后他们将带着大量的财物出来。 
GEN.15.15	至于你，你必平平安安地归到你的列祖那里，你必尽享天年，才被人埋葬。 
GEN.15.16	他们到第四代才会回到这里，因为
GEN.15.17	日落天黑的时候，看哪，有冒烟的火炉和燃烧的火把在这些肉块之间经过！ 
GEN.15.18	就在那天，耶和华与
GEN.15.19	就是
GEN.15.20	人、
GEN.15.21	人、
GEN.16.2	对
GEN.16.3	在
GEN.16.4	与
GEN.16.5	对
GEN.16.7	耶和华的使者在旷野的水泉旁，就是
GEN.16.8	就问：“
GEN.16.9	耶和华的使者对她说：“回到你的女主人那里，服在她的手下吧。” 
GEN.16.10	耶和华的使者又对她说：“我将使你的后裔大大增多，多得无法数清。”
GEN.16.11	接着耶和华的使者对她说：
GEN.16.11	“看哪，你怀了孕，
GEN.16.11	将会生一个儿子，你要给他起名为
GEN.16.11	因为耶和华听见了你的苦情。
GEN.16.12	你这儿子为人必像野驴，
GEN.16.12	他的手将与所有的人作对，
GEN.16.12	所有人的手也与他作对，
GEN.16.12	他将与他所有的兄弟对立而居。”
GEN.16.14	因此这井被称为
GEN.16.15	后来
GEN.16.16	为
GEN.17.2	我要在你我之间立约，我要使你的后裔
GEN.17.4	“看哪，我的约是与你立的，
GEN.17.5	你的名字不再叫
GEN.17.6	我要使你大大繁衍，多国因你而立，多王从你而出。 
GEN.17.7	我要与你以及你世世代代的后裔确立我的约，作为永远的约，我要成为你和你后裔的神。 
GEN.17.8	我必把你现在的寄居之地，就是
GEN.17.9	神接着对
GEN.17.10	你们中所有的男子都要受割礼，这就是我与你以及你的后裔所立的约，是你们当遵守的。 
GEN.17.11	你们要割去肉体上的包皮，这就是我与你们立约的标记。 
GEN.17.12	你们世世代代所有的男子，无论是家里出生的，还是用银子从不属于你后裔的外邦人那里买来的，在八天大的时候都要受割礼。 
GEN.17.13	你家里出生的和你用银子买来的，都必须受割礼；这样我的约就在你们肉体上成为永远的约。 
GEN.17.14	至于不受割礼的男子，就是肉体上的包皮没有被割去的，那人必从民中剪除，因他违背了我的约。”
GEN.17.15	神对
GEN.17.16	我要祝福她，也要藉着她赐给你一个儿子。我要祝福她，她将成为多国之母
GEN.17.18	对神说：“但愿是
GEN.17.19	神说：“不，你的妻子
GEN.17.20	至于
GEN.17.21	而我的约，我要与
GEN.17.22	神与
GEN.17.23	于是就在那一天，
GEN.17.24	割去肉体上的包皮时年九十九岁； 
GEN.17.25	他的儿子
GEN.17.26	就在那一天，
GEN.17.27	他家里所有的男人，无论是家里出生的，还是用银子从外邦人那里买来的，都与他一起受了割礼。
GEN.18.1	后来耶和华在
GEN.18.2	他举目观看，看哪，有三个人在他对面站着！他一看见，就从帐篷的入口跑去迎接他们，俯伏于地， 
GEN.18.3	说：“我主啊，如果我在你眼前蒙恩，请不要路过你的仆人就走。 
GEN.18.4	请让我拿点水来，你们可以洗洗脚，在树底下休息。 
GEN.18.5	我也拿点饼来，你们可以恢复精力，然后再走；你们既然路过仆人这里，就理当如此。”
GEN.18.5	他们说：“就照着你说的去做吧。”
GEN.18.6	于是
GEN.18.7	又跑到牛群那里，牵了一头又嫩又好的牛犊，交给仆人，仆人就赶快去准备。 
GEN.18.8	然后
GEN.18.9	他们对
GEN.18.9	他说：“在帐篷里！”
GEN.18.10	其中一位说：“明年这时候，我一定回到你这里。看哪，你的妻子
GEN.18.12	暗笑，心里说：“我已经衰老，我的丈夫
GEN.18.13	耶和华对
GEN.18.14	在耶和华还有难成的事吗？到了所定的时期，我必回到你这里；明年这时候，
GEN.18.16	后来那些人从那里起身，去俯看
GEN.18.17	耶和华说：“难道我会向
GEN.18.18	必定成为又大又强的国，地上万国都必因他而蒙福。 
GEN.18.19	因为我拣选了
GEN.18.20	然后耶和华说：“控告
GEN.18.21	我要下去，看看他们所做的一切，是不是像那上达我耳中的呼声；如果不是，我也会知道。”
GEN.18.22	其中两人转身离开那里往
GEN.18.23	近前来说：“你真要把义人与恶人一同除灭吗？ 
GEN.18.24	假如那城中有五十个义人，你真的还会除灭它，而不因城中这五十个义人饶恕那地方吗？ 
GEN.18.25	你绝不会做这样的事：把义人与恶人一同处死，让义人像恶人一样！你绝不会！难道全地的审判者不施行公正吗？”
GEN.18.26	耶和华说：“如果我在
GEN.18.28	假如这五十个义人中缺少五个，难道你会因缺少五个而毁灭全城吗？”
GEN.18.28	耶和华说：“如果我在那里找到四十五个，我也不会毁灭那城。”
GEN.18.29	耶和华就说：“因这四十个的缘故，我也不会这样做。”
GEN.18.30	耶和华说：“如果我在那里找到三十个，我也不会这样做。”
GEN.18.31	耶和华说：“因这二十个的缘故，我也不会毁灭那城。”
GEN.18.32	耶和华说：“因这十个的缘故，我也不会毁灭那城。”
GEN.18.33	耶和华与
GEN.19.1	那两位天使在傍晚来到
GEN.19.2	说：“我主啊，请转往你们的仆人家里过夜，洗洗你们的脚，清早起来再上路。”
GEN.19.2	他们却说：“不，我们就在广场上过夜。” 
GEN.19.3	但
GEN.19.4	他们还没有躺下睡觉，那城里的人，就是
GEN.19.5	他们向
GEN.19.7	说：“我的兄弟们，请你们不要这样作恶。 
GEN.19.8	看哪，我有两个女儿，还没有与男人同寝，容我把她们带出来给你们，你们看怎样好，就怎样对待她们吧。只是不要对这两个人做什么，因为他们来到了我屋檐的荫庇下。”
GEN.19.9	但他们说：“滚开！”又说：“这人来寄居，竟然把自己当成审判官了！我们要恶待你，比恶待他们更厉害。”于是他们极力推挤
GEN.19.10	那两个人就伸出手，把
GEN.19.11	他们又击打屋门口的那些人，使他们无论老少都眼目失明，以致他们找不到门
GEN.19.12	那两个人对
GEN.19.13	因为我们就要毁灭这地方了；要知道，控告他们的呼声在耶和华面前极大，耶和华就派我们来毁灭这城。”
GEN.19.15	黎明时分，天使们催促
