GEN.1.1	Yan laputu ey lintun Apu Dios hu kabunyan niya puyek. 
GEN.1.30	Ey winedak hu helek niyadda edum ni kameitnem ma-lat wada kennen idan animal niyadda sisit.” Emin ida huyya ey impahding tu ma-lat panyaggudan da. 
GEN.1.31	Ey inang-ang nan Apu Dios ida humman ni lintu tu ey kayyaggud ni peteg. Nehileng et mewa-wa ey humman hu neika-nem ni aggew.
GEN.2.1	Hanniman hu nanletuan nan Apu Dios ni puyek niya kabunyan niyaddan emin hu wadadman. 
GEN.2.2	Ginibbuh tu law ni emin hu ngunu tu et man-iyyatun meikkeppitun aggew.
GEN.2.3	Binendisyonan tu hu humman ni aggew et ibilang tun kamengillin tep humman ni aggew hu nengibbuhan tun ngunu tu et man-iyyatu.
GEN.2.4	Hanniman hu naltuan ni kabunyan et ya puyek niya emin hu hipan wadadman.
GEN.2.4	Lintun 
GEN.2.5	Endi hu neitnem niya endi simmemel di puyek tep endi ni udan ni impaelin 
GEN.2.6	Entanni ey wadadda utbul ni menennum ni emin ni puyek.
GEN.2.7	Entanni ey immala hi 
GEN.2.8	Wada etan sineneman 
GEN.2.9	Impatmel 
GEN.2.10	Wada etan wangwang di Eden ni kamenennum ni nunman ni legunta. Yad a-allaw tu ey nan-epat huyyan wangwang. 
GEN.2.11	Ya ngadan etan ni nemangulun wangwang ey Pishon e indalan tud Habilah. 
GEN.2.12	Yadman hu kawad-an ni nemahmah ni balituk, yadda etan nenginan batu niyadda etan kunan tun letan keyew ni kayyaggud hamuy tu. 
GEN.2.13	Ya ngadan etan ni meikkadwan wangwang ey Gihon e kamampellaw di bebley di Kush. 
GEN.2.14	Ya etan meikkatlun wangwang ey Tigris e humman kamampellaw di Assyria di appit ni kasimmilin aggew. Ya etan meikka-pat ni wangwang ey Euphrates.
GEN.2.15	Entanni et ilaw nan 
GEN.2.16	Kan 
GEN.2.17	nem entan tu ekan hu lameh etan ni keyew ni pengamtaan ni kayyaggud niya lawah. Tep hedin kennen mu lameh ni nunman ni keyew ey mettey ka.”
GEN.2.18	Entanni ey kan 
GEN.2.19+GEN.2.20	Hi 
GEN.2.21	Et ya impahding 
GEN.2.22	Kinapya tun bii humman ni tu-ngal ni taglang et ilaw tud kad-an etan ni laki. 
GEN.2.23	Ey kan etan ni laki ey “Kayyaggud et wada law eya pangkadwak ni keingngeh ku. Nalpud tu-ngal ku niyad laman ku. Bii hu ngadan tu tep nalpud laki.” 
GEN.2.24	Et humman hu, hedin mengahwa hu laki ey hi-yanen tud ametun inetu et makiaddum etan ni bii et henidda hakey.
GEN.2.25	Humman idan laki niya bii ey eleg ida mambalwasi, nem eleg ida umbaing.
GEN.3.1	Ya ketattallaman ni animal ni lintun 
GEN.3.2	Hinumang etan ni bii e kantuy “Dammutun umkan kamiddan emin eyan lameh ni keyew eyad legunta, 
GEN.3.3	nem kan Apu Dios ey eleg kami umkan niya eleg mi kepaa hu lameh eyan keyew ni neigawwa eyad legunta. Tep mettey kami kunu hedin umkan kamin nunman winu keppaen mi.”
GEN.3.4	Kan etan ni uleg etan ni bii ey “Eleg kayu kaya mettey. 
GEN.3.5	Hanniman impanghel nan Apu Dios tep amta tu e hedin kennen yu humman ey heni medyat hu mateyu et mei-ingngeh kayu law ni hi-gatu e amtaen yu hu kayyaggud niya lawah.”
GEN.3.6	Inang-ang etan ni bii etan lameh nunman ni keyew ey kayyaggud ni peteg hu ang-ang tu et kayyaggud ni kennen. Ey ninemnem tu e pinhed tun mambalin ni nekallaing. Et umla et kanen tu et idwatan tu ahwa tu et kanen tu dama. 
GEN.3.7	Yan nunman ni nengannan da ey heni nadyat mateda et pepuhdanan da law e nambelad ida. Et umladdan bulung ni keyew ni fig et dauben da et paneni dan annel da.
GEN.3.8	Kamangkehilleng ni nunman ey dingngel da hi 
GEN.3.9	Nem kan 
GEN.3.10	Himmumang hi Adam ey kantuy “Dingngel ku e kaka mengelli ey simmakuttak et eggak pinhed ni ang-angen muwak ni nambelad et mantalu-ak.”
GEN.3.11	Kan 
GEN.3.12	Kan Adam ey “Yan eya biin indawat mun pangkadwak hu nengidwat ni hi-gak et kanen ku.” 
GEN.3.13	Kan 
GEN.3.14	Et kan 
GEN.3.15	Hi-gam niyaddalli helag mu et ya etan bii niyaddalli helag tu ey mambubuhhul kayullin ingganah. Kellaten mulli dapan etan ni helag ni bii, nem tegmilan tulli ulum.”
GEN.3.16	Ey kan 
GEN.3.17	Et kan 
GEN.3.18	Umtetmel idalli helek niya hebit
GEN.3.19	Mahapul ni manliligat ka niya umlinget kan mangngunnu et han wada ennien mu. Hanniman alin ingganah hu pambiyagam ingganah ni mambangngad kayud puyek di nalpuam, tep puyek hu nekapyaan mu ey puyek metlaing hu pambangngadan mu.”
GEN.3.20	Ya impangngadan Adam etan ni ahwatu ey Eva tep hi-gatu pan-innan emin ni tuu. 
GEN.3.21	Entanni ey binalwasian 
GEN.3.22	Et kan 
GEN.3.23	Et pea-allaw 
GEN.3.24	Ya etan di legunta e Eden di appit ni kasimmilin aggew ey inha-ad tudda anghel ni mangguwalya niya ispadah ni kamantetebbel e kumpulmih hu tuka pengihhanggai ma-lat endi an meihnup di kad-an etan ni keyew ni kaum-idwat ni biyag.
GEN.4.1	Nan-ulig di Adam nan Eva ey newad-an hi Eva et man-ungnga ey laki. Et kan Eva ey “Bimmaddang hi 
GEN.4.2	Entanni ey newada hu neikadwan u-ungnga tu e hi Abel hu ngadan tu. Ya ngunu tun neettengan tu ey mampattul ni kalneroh. Hi Kain ey mampeyyew hu ngunu tu.
GEN.4.3	Hakey ni aggew ey immiappit hi Kain nan 
GEN.4.4	Hi Abel ey illa tudda hu kekakkayyaggudan ni parteh idan nemangulun impah ni kalneroh tu et iappit tu. Immamleng hi 
GEN.4.5	Nem eleg tu abuluten hu in-appit Kain. Et humman hu, nemahhig bunget Kain et tuka kekkeyunga. 
GEN.4.6	Et kan 
GEN.4.7	Gullat ni neiptek hu impahding mu et ebbuluten ku in-appit mu. Nem gapu tep neihla hu impahding mu ey hellipat-an Satanas hu pene-ulan tun hi-gam ma-lat hi-gatu hu ngenamung ni hi-gam, nem mahapul ni eleg mu i-abulut ni mehe-ul.”
GEN.4.8	Hakey ni aggew ey kan Kain nan agi tu e hi Abel ey “Umlaw itad payew.” Et lumaw ida, et wadaddadman ey pintey tu hi agitu.
GEN.4.9	Entanni ey kan 
GEN.4.10	Kan 
GEN.4.11	Et humman hu, meiddutan ka et endi law silbin ingngunum eyad puyek ni nengitmeg ni kuheyaw agim. 
GEN.4.12	Endilli ennien mu anin ni ippenaptek mu intanem mu. Ey endilli law maptek ni panha-adam et ka law manhawahawang.”
GEN.4.13	Hinumang Kain hi 
GEN.4.14	Tep ay pea-allaw muwak di deya et meiddawwi-ak di kad-an mu niya pambalin muwak ni manhawahawang ni ebuh. Et nanna-ud ni linggeman hu menang-ang ni hi-gak ey petteyen da-ak.”
GEN.4.15	Nem kan 
GEN.4.16	Et umidawwi law hi Kain nan 
GEN.4.17	Entanni ey nengahwa hi Kain et man-ungngadda ey laki et ngadanan tun Enok. Impambalin Kain etan nambebleyan dan et-eteng ni bebley, et ngadanan tun Enok e ngadan etan ni u-ungnga tu. 
GEN.4.18	Hi Enok hu aman Irad, hi Irad hu aman Mehujael, hi Mehujael hu aman Metusael, hi Metusael hu aman Lamek.
GEN.4.19	Dewwa ahwan Lamek e di Adah nan hi Sillah. 
GEN.4.20	Nan-ungnga hi Adah et wada hi Jabal. Hi-gatu hu nahlagan idan kamampattul e nampambaley di tuldah. 
GEN.4.21	Hi Jubal e agitu hu nahlagan idan nelaing ni man-ayyuding niya mantullaling. 
GEN.4.22	Nan-ungnga hi Sillah et wada hi Tubal Kain et ya etan agitun bii e hi Naamah. Hi Tubal Kain ey nambalin ni kaman-e-dih.
GEN.4.23	Hakey ni aggew ey kan Lamek idan etan ni ahwatu e di Adah nan Sillah ey “Dengel yu eya e-helen ku. Pimmateyyak ni kamenikken ni laki tep liniputan tuwak. 
GEN.4.24	Hi apu hi Kain ey meibleh ni pitun tuu hedin wada memettey ni hi-gatu, nem hedin hi-gak hu petteyen da, man meibleh ni nepitut pitun tuu.”
GEN.4.25	Entanni ey nan-ungnga mewan hi Eva et kantuy “Indawtan tuwak nan Apu Dios ni meihhullul nan Abel e pintey nan Kain.” Et ngadanan tun Seth. 
GEN.4.26	Nehiken hi Seth et wada u-ungnga tun hi Enos. Yan nunman ni tsimpuh hu nengilugian idan tutu-un meemmuemmung ni mandasal nan 
GEN.5.1+GEN.5.2	Yan eman ni nanletuan Apu Dios ni tuu ey lintu tuddan mei-ingngeh hu elaw dad elaw tu. 
GEN.5.3	Yan eman ni hanggatut et telumpulu toon Adam ey nan-ungngan hakey ni laki e nengalla-allan hi-gatu et ngadnan tun hi Seth. 
GEN.5.4	Nambiyag pay ni walun gatut ni toon et mawedadda edum ni u-ungnga tu. 
GEN.5.5	Yan eman ni neteyyan tu ey heyam ni gatut et telumpulu toon tu.
GEN.5.6	Hi Seth ey hanggatut et lima toon tu et han maweda etan u-ungnga tun hi Enos. 
GEN.5.7	Nambiyag pay ni walun gatut et pitun toon et mawedadda edum ni u-ungnga tu. 
GEN.5.8	Et yan eman ni neteyyan tu ey heyam ni gatut et hampulut dewwa toon tu.
GEN.5.9	Hi Enos ey nahyam hu toon tu et han maweda etan u-ungnga tun hi Kenan. 
GEN.5.10	Nambiyag pay ni walun gatut et hampulut liman toon et mawedadda edum ni u-ungnga tu. 
GEN.5.11	Et yan eman ni neteyyan tu ey heyam ni gatut et lima toon tu.
GEN.5.12	Hi Kenan ey nepitu toon tu et han maweda etan u-ungnga tu e hi Mahalalel. 
GEN.5.13	Nambiyag pay ni walun gatut et na-pat ni toon et mawedadda edum ni u-ungnga tu. 
GEN.5.14	Yan eman ni neteyyan tu ey heyam ni gatut et hampulu toon tu.
GEN.5.15	Hi Mahalalel ey na-nem et lima toon tu et han maweda etan u-ungnga tu e hi Jared. 
GEN.5.16	Nambiyag pay ni walun gatut et telumpulun toon et mawedadda edum ni u-ungnga tu. 
GEN.5.17	Yan neteyyan tu ey walun gatut et nahyam et lima toon tu.
GEN.5.18	Hi Jared ey hanggatut et na-nem et dewwa toon tu et han maweda etan u-ungnga tu e hi Enok. 
GEN.5.19	Nambiyag pay ni walun gatut ni toon et mawedadda edum ni u-ungnga tu. 
GEN.5.20	Yan eman ni neteyyan tu ey heyam ni gatut et na-nem et dewwa toon tu.
GEN.5.21	Hi Enok ey na-nem et lima toon tu et han maweda etan u-ungnga tun hi Methushelah. 
GEN.5.22	Nambiyag pay ni telunggatut ni toon et mawedadda edum ni u-ungnga tu. Ey nekidagyum tun Apu Dios. 
GEN.5.23	Ya nga-mut ni toon ni nambiyagan Enok ey telunggatut et na-nem et lima. 
GEN.5.24	Yan nambiyagan tu ey nekidagyuman tun Apu Dios. Entanni ey endi maptek ey ettukaw hi Enok tep ingkuyug Apu Dios. 
GEN.5.25	Hi Methushelah ey hanggatut et newalut pitu toon tu et han maweda etan u-ungnga tun hi Lamek. 
GEN.5.26	Nambiyag pay ni pitun gatut et newalut dewwan toon et mawedadda edum ni u-ungnga tu. 
GEN.5.27	Yan neteyyan tu ey heyam ni gatut et na-nem et heyam hu toon tu.
GEN.5.28	Hi Lamek ey hanggatut et newalut dewwa toon tu et han maweda etan u-ungnga tun laki. 
GEN.5.29	Kantuy “Huyyan u-ungnga hu mengippeamleng ni hi-gatsun emin eyad neligat ni ngunu tayu eyad puyek ni inidutan 
GEN.5.30	Nambiyag pay hi Lamek ni liman gatut et nahyam et liman toon et mawedadda edum ni u-ungnga tu. 
GEN.5.31	Yan neteyyan tu ey pitun gatut et nepitut pitu toon tu.
GEN.5.32	Hi Noah ey limanggatut toon tu et han maweda tellun u-ungnga tu e hi Shem, hi Ham et hi Japet.
GEN.6.1+GEN.6.2	Dimmakkel law hu tuud puyek ey wadadda hu kakat-agun bibi-i. Et yan eman ni nenang-angan idan wadad kabunyan 
GEN.6.3	Kan 
GEN.6.4	Humman newadaan ni etta-teng ni tuu eyad puyek ni nahlag ida etan ni bibi-in inahwaddan etan ni nalpud kabunyan. Yadda helag da ey et-eteng kabaelan da et mukun nandingngel ida.
GEN.6.5	Yan nenang-angan 
GEN.6.6	ey nemahhig hu tuttuyyu tun nanletuan tun hi-gada. 
GEN.6.7	Et mukun kan law 
GEN.6.8	Nem kaum-amleng hi 
GEN.6.9+GEN.6.10	Huyya hu meippanggep nan Noah. Wada tellun u-ungnga tu e hi Shem, hi Ham, et hi Japet. Hi Noah ey kayyaggud ni tuu. Yan nunman ni ketaggu tu ey hi-gatun ebuh hu kayyaggud nekidagyuman tun Apu Dios.
GEN.6.11	Nem yadda edum ni tuu ey nemahhig hu kalinewah da. Mabunget ida niya mapetey ida. 
GEN.6.12	Kaang-ang-angan Apu Dios ey lawah eya puyek ni pambebleyan tep lawah idan emin hu tutu-u. 
GEN.6.13	Et kantun Noah ey “Bahbahen ku ew hu puyek et mepappeg hu biyag idan tuu tep ay lawah idan peteg e ida kamampapatey. 
GEN.6.14	Et humman hu, kapya kan bapor e ya kayyaggud ni keyew hu ussalen mu et kuwakuwaltuhen mu. Pudlitim ni pukut ida nambattanan ni dingding ma-lat endi an umhegep ni danum. 
GEN.6.15	Ya kadinukkey tu ey epat ni gatut et neliman piyeh. Ya kalinakkeb tu ey nepitu et liman piyeh. Ya kasina-gey tu ey na-pat et liman piyeh. 
GEN.6.16	Atepim, nem entan tu pakaddingding hu hampulut walun pulgadah di nanlinikweh di ta-pew tu ma-lat kawwalwal di bawang. Ey kapyam ni tellun gladuh niya kapya kan habyen di pinigging tu. 
GEN.6.17	Pengapya dakan bapor tep lelbengan ku puyek et mebahbah emin hu mategu. 
GEN.6.18	Nem wada planuh kun hi-gam ni peamnuk. Et humman hu, ihhehwang dakeyu. Hegep kayun ahwam, yadda u-ungngam niyadda ahwa da etan di bapor. 
GEN.6.19+GEN.6.20	Pekippahgep yudda nambulubulug ni emin ni nambakbaklang ni animal niyadda sisit ma-lat tumegudda. 
GEN.6.21	Ipahgep yud bapor emin hu kennen yu niya kennen da.” 
GEN.6.22	Et ipahding Noah emin hu inhel Apu Dios.
GEN.7.1	Entanni ey nedatngan etan tsimpuh ni inhel 
GEN.7.2	Ipahgep mudda hu hampipitun nambulubulug ni kameibbillang ni malinih ni animal niya hanhakkey ni nambulubulug idan kameibbillang ni beken ni malinih. 
GEN.7.3	Ey ipahgep mudda hu hampipitun nambulubulug ni nambakbaklang ni sisit. Ipahding mudda huyya ma-lat emin hu nambakbaklang ni animal niyadda sisit ey mebunnat ida eyad puyek. 
GEN.7.4	Tep hanlingguan hu melebbah meippalpun nunya ey peellik hu udan ni na-pat ni aggew niya na-pat ni hileng ma-lat meendin emin ida mategun lintuk.”
GEN.7.5	Et ipahding nan Noah emin hu intugun nan 
GEN.7.6+GEN.7.7+GEN.7.8+GEN.7.9+GEN.7.10+GEN.7.11+GEN.7.12	Himmegep hi Noah, ya ahwatu, yadda u-ungnga tu niyadda ahwada etan di bapor ma-lat eleg ida malsing. 
GEN.7.13	Yan nunman ni aggew ey himmegep hi Noah, ya ahwatu, yadda u-ungnga tu e hi Shem, hi Ham et hi Japet et niyadda ahwada etan di bapor. 
GEN.7.14+GEN.7.15	Nekihgep ni hi-gada hu nambulubulug ni nambakbaklang ni animal ni maeyum niya beken niyadda etan kaumtayab. 
GEN.7.16	Impahding da humman e inu-unnud da hu inhel Apu Dios ni pehding da. Et yan hinggepan dan emin etan di bapor ey inlekbin 
GEN.7.17	Sinaggan tu udan ni na-pat ni aggew et malbengan hu puyek. Lektattuy edallem law ni peteg hu danum ey simma-pew etan bapor. 
GEN.7.18	Kamena-gey hu danum di puyek ey kamanta-ta-pew dama etan bapor di danum. 
GEN.7.19	Anin ni yadda etan ettata-gey ni duntug eyad puyek et nangkeli-muh ida. 
GEN.7.20	Taggan ni danum ta-gey et labhan tudda humman ni ettata-gey ni duntug ni enem ni mitroh. 
GEN.7.21+GEN.7.22+GEN.7.23	Et meendin emin hu mategu eyad puyek, yadda tuu, yadda animal ni maeyum niya beken, yadda kamambinulluh niya kamangkinaddap, niyadda sisit, tep nalsing idan emin. Yan ebuh hu neihwang ni eleg malsing ey hi Noah niyadda etan nekihgep ni hi-gatud bapor. 
GEN.7.24	Et malbengan hu puyek ni hanggatut et neliman aggew.
GEN.8.1	Nem eleg liwwanen Apu Dios hi Noah niyadda animal ni wada etan di bapor. Et paeli tu dibdib et ilepu etan ni danum ni metduk. 
GEN.8.2	Nesiked law hu danum ni nalpud nandaul niya nesiked hu udan 
GEN.8.3	et mambabbabbal ni natduk hu danum ni liman bulan. 
GEN.8.4	Yan eman ni meikkahampulut pitun aggew ni meikkeppitun bulan ey nanha-ad etan bapor di ta-pew ni duntug e Ararat. 
GEN.8.5	Nanengtun kamangketduk hu danum et yan lapun aggew ni meikkahampulun bulan ey kameang-ang ida law hu ta-pew ni duntug.
GEN.8.6	Nelabah hu na-pat ni aggew et han ibeghul nan Noah hu hakey ni habhabyen etan ni bapor 
GEN.8.7	et ibukyat tu hakey ni gawwang. Eleg mambangngad et mantayyatayyab ingganah ni natduk hu danum. 
GEN.8.8	Entanni et ibukyat tu mewan hu hakey ni paluma ma-lat pengamtaan tu hedin natduk law hu danum. 
GEN.8.9	Nem endi e-paan tu tep nanengtun dakel hu danum et mambangngad etan di bapor et ipahgep Noah. 
GEN.8.10	Nelabah hanlingguan et ibukyat tu mewan etan paluma. 
GEN.8.11	Kamangkehilleng ni nunman ey nambangngad etan paluma e wada himbat tun bulung ni olibah et humman nengamtaan Noah e natduk law danum. 
GEN.8.12	Nelabah hanlingguan et ibukyat tu mewan etan paluma ey eleg law mambangngad.
GEN.8.13	Yan eman ni enem ni gatut et hakey hu toon nan Noah ni lapun aggew ni lapun bulan ey inbeghul tu bapor et man-ang-ang-ang ey kamangkema-gani law hu puyek. 
GEN.8.14	Ey yan meikkadwampulut pitun aggew ni meikkadwan bulan ey nakamma-ganan law hu puyek.
GEN.8.15+GEN.8.16	Et kan Apu Dios nan hi Noah ey “Dammutu law ni um-ehep kayun ahwam, yadda u-ungngam niyadda ahwa da. 
GEN.8.17	Ibukyat mudda animal niyadda sisit et mahlag ida et medakkel ida et maihinap ida eyad puyek.” 
GEN.8.18	Et umhep hi Noah niyadda pamilyah tu. 
GEN.8.19	Ey emin ida etan nambakbaklang ni animal, yadda kamandinallan niyadda kamangkinaddap, et yadda sisit ey immehep ida damad bapor e wada hakkeyey nan-uunnud ida etan ni keingngeh da.
GEN.8.20	Entanni ey nengapya hi Noah ni altar ni pan-appitan tun 
GEN.8.21	Ey inebulut 
GEN.8.22	Hedin mannenneng eya puyek e eleg mebahbah man wadallin ingganah tsimpuh ni pantenneman, wada ahiani, wada manginudan, ya siaggew, ya kawwalwal niya hileng.”
GEN.9.1	Entanni et bendisyonan Apu Dios hi Noah niyadda u-ungnga tu et kantun hi-gaday “Kahlag kayu et medakkel kayu et bebleyan yun emin eya puyek. 
GEN.9.2	Emin hu animal, yadda kamangkinaddap niya kamandinallan, yadda sisit niyadda mategud baybay ey tekkutan dakeyulli ey hi-gayulli kenamung ni pengippahdingan yun hi-gada. 
GEN.9.3	Iddawat kudda emin huyyan hi-gayu et mansilbin kennen yu, heniddan kameitnem e indawat kun hi-gayu. 
GEN.9.4	Nem entan tu ekan hu detag ni nanengtun wada kuheyaw tu, tep ya kuheyaw hu kad-an ni biyag. 
GEN.9.5	Et humman hu, ya tuun umpatey ni edum tun tuu ey mekastigu. Ey ya linggeman ni animal ni umpatey ni tuu ey mahapul ni mettey. 
GEN.9.6	Tep lintuk hu tuun henin hi-gak, et humman hu hedin wada tuun petteyen tu edum tun tuu ey petteyen yu dama. 
GEN.9.7	Panhelag kayu et medakkel kayu et bebleyan yun emin hu puyek.”
GEN.9.8	Entanni ey kan Apu Dios nan Noah et yadda u-ungnga tuy 
GEN.9.9	“Ihhammad kun mekitbal ni hi-gayu niyaddalli helag yu, 
GEN.9.10	anin idan animal, yadda sisit niyaddan emin hu mategun edum yun himmegep etan di bapor. 
GEN.9.11	Ey panna-ud kun e-helen ni hi-gayu e eleg law melbengi eya puyek ma-lat eleg mebahbah emin hu mategu. 
GEN.9.12	Ya pengi-ang-angan yun um-amnu eya inhel kun hi-gayu niyaddan emin hu mategu ey 
GEN.9.13	weddaen ku sibbunglun di kulput di kabunyan et pengiang-angan yu niyaddalli helag yu e pannananeng kun ingganah hu nekitbalan kun hi-gayu. 
GEN.9.14	Et hedin impaelik hu kulput di kabunyan et mewedda sibbunglun 
GEN.9.15+GEN.9.16	ey nemnemen kulli humman ni nekitbalan kun hi-gayu niyaddan emin hu mategun wadad puyek e eggak law ippidwan peelli lebeng eyad puyek ma-lat eleg mebahbah ni emin hu mategu. 
GEN.9.17	Em, humman pengi-immatunan yu etan ni nekitbalan kun emin ni mategu eyad puyek.”
GEN.9.18	Yadda etan tellun u-ungngan Noah ni immehep di bapor ey hi Shem, hi Ham et hi Japet. Hi Ham hu aman Kanaan. 
GEN.9.19	Huyyaddan tellun u-ungngan Noah hu nahlagan idan katuutuu eyad puyek.
GEN.9.20	Hi amedan e hi Noah nemangulun nantanem ni grapes. 
GEN.9.21	Hakey ni aggew ey nebuteng ni meinnum ni kinapya tun grapes. Et mambelad ni neugip di a-abbung tun tuldah. 
GEN.9.22	Hi Ham e aman Kanaan ey inang-ang tu ametu e hi Noah ni nambelad et tu ehelen idan agitu e di Shem nan Japet. 
GEN.9.23	Et umladdan wangal et iwa-ngal dad pahhannan da et dekugen da hi ameda ey daka panhinunnay ni limmaw di kad-an tu et egahen da etan wangal et mawengalan hi ameda e eleg da i-ang-ang ni hi-gatu. 
GEN.9.24+GEN.9.25	Yan binengunan Noah ni na-kalan ni buteng tu ey neamtaan tu hu impahding Ham e udidyan ni u-ungnga tu. Et kantuy
GEN.9.24+GEN.9.25	“Ya idut idan helag Ham ey hi-gadalli bega-en idan helag di Shem nan Japet. 
GEN.9.26	Nakka iddasal ni 
GEN.9.27	Ey nakka iddasal e bendisyonan Apu Dios hi Japet et mambalin ni mahkang hu puyek tu ey mei-dum idallin helag Shem. Ey mambalin idalli helag Ham ni bega-en damaddan helag Japet.”
GEN.9.28	Hi Noah ey nambiyag ni telunggatut et neliman toon ni negibbuhan ni nalbengan ni puyek 
GEN.9.29	et ya bilang emin ni toon tu et han matey ey heyam ni gatut et nelima.
GEN.10.1	Huyyadda helag Shem, hi Ham et hi Japet e u-ungngaddan Noah. Dakel hu u-ungnga dan negibbuhan ni lebeng. 
GEN.10.2	Yadda helag Japet ey hi Gomer, hi Magog, hi Madai, hi Jaban, hi Tubal, hi Meshek, et hi Tiras. 
GEN.10.3	Yadda helag Gomer ey hi Askenas, hi Ripat, et hi Togalmah. 
GEN.10.4	Yadda helag Jaban ey nampambebley idad Elishah, yad Tarsis, 
GEN.10.5	Yadda helag Japet hu ammed idan tutu-un nampambebley di nangkeihnup niya nangkeigawwad baybay. Huyyaddan helag Japet ey nan-appiappil hu nambebleyan da niya nambakbaklang hu ehel da.
GEN.10.6	Yadda helag Ham ey hi Kush, hi Misraim
GEN.10.7	Yadda helag Kush ey yadda nambebley di Seba, yad Habilah, yad Sabtah, yad Raamah niyad Sabtekah. Yadda helag Raamah ey yadda nambebley di Seba niyad Dedan. 
GEN.10.8	Ya hakey ni helag Kush ey hi Nimrod e nambalin ni ap-apuddan kamekiggubbat. Hi-gatu hu nemangulun nengenapput ni nekigubagubatan tud kebebbebley 
GEN.10.9	niya hi-gatu kelalla-ingan ni mandedweng tep kabaddangin 
GEN.10.10	Yadda bebley ni nan-ap-apuan tu ey yad Babilon
