MAT.1.1	Ba ledre gɨ ro bulúndu bulúndu Kɨ́résịto
MAT.2.5	Zɨ́ye úkulúgu ledre kɨ́dí, “Ukunɨ́ kóo kɨ́dí, nɨyí árá wo sɨmɨ Beteléme, káṇgá ꞌbɨ Yụdáya ona. Ngíti nébị uku kóo kɨ́dí Lomo uku yaá,
MAT.2.6	“ ‘Beteléme,
MAT.2.6	ndaá ꞌbɨ eyị́ lá dụụ́ owụ́ gara sɨmɨ káṇgá ꞌbɨ Yụ́da e wá.
MAT.2.6	Mongụ́ ngére nɨ karanée ólụ́ógụ gɨ sɨmɨyị́ gɨ ona
MAT.2.6	zɨ́a ídíne ꞌyị lúrú bi kacɨ́ ꞌyị amá e Isɨréle e za mbá.’
MAT.2.7	Née ní, zɨ́ Eróde ndólo ꞌyị komokenzị ga gére née sɨmɨ ugu gɨ ro ówo a gɨ zɨ́ye lurúnɨ́ kóo kele máa née kɨ́ be ꞌdi? 
MAT.2.8	Zɨ́a úku ledre zɨ́ye kɨ́dí, “Ndérésé mu sɨmɨ Beteléme gámásóꞌdo owụ́ máa née. Togụ́ ndíkisé wo goó, ídísé ndáꞌbaógụ ꞌdódo bia zɨ́ma gɨ ro zɨ́ma kpá ndéréma óto úndrua.”
MAT.2.9	Sɨmɨ bɨ ngére Eróde odro go zɨ́ye ní, zɨ́ye ólụ́ógụyé ndéréye. Kele bɨ ndịsị útú zɨ́ye ꞌdáꞌdá ní, nzara zɨ́a kpá ólụ́ógụné útúne zɨ́ye ꞌdáꞌdá. Zɨ́a ndéré tóroné té do ꞌbe bɨ owụ́ máa née nɨ sɨmɨ a ní. 
MAT.2.10	Nɨyí kóo kɨ́ mongụ́ rokinyi kɨ́ lúrú kele née kɨ́ útúne zɨ́ye kpá fú ꞌdáꞌdá. 
MAT.2.11	Zɨ́ye ndéréógụyé ndíki Yésụ kɨ́ mbágáne Maríya, zɨ́ye útúye do ngụ́ṛụ́ sịndị́ye óto úndru a. Zɨ́ye líkpí tara kombo eyé e, ꞌdíꞌbiógụ dábu kɨ́ abúṛengú kɨ́ bɨlámá sụꞌbụ́ mɨndonyo íꞌbí yée zɨ́ Yésụ. 
MAT.2.12	Nda go kɨ́ ndụlụ, zɨ́ Lomo ódroné zɨ́ye sɨmɨ ꞌduru kɨ́dí ndanɨ́ ndáꞌba gɨ ꞌdí zɨ́ Eróde wá, idínɨ́ ndéré gɨ do ngíti mɨsiꞌdi kpị́.
MAT.2.13	Sɨmɨ bɨ yaꞌdá ga gére née okpónɨ́ go ní, zɨ́ Ngére Lomo kása maláyika ógụ ódroné zɨ́ Yoséfa sɨmɨ ꞌduru kɨ́dí, “ꞌDiꞌdiya, ị́nyịsé mu kɨ́ meꞌbeyị́ zɨ́se ꞌdíꞌbi owụ́ ba ngásá ndị́sị kɨ́e sɨmɨ Ízibiti gɨ zɨ́a Eróde ayí go gámásóꞌdo wo gɨ ro úfu a. Ídísé ndị́sị íri ꞌbúó togụ́ mándólolúgu sée máa.” 
MAT.2.14	Kpá tɨ́ akpa kɨ́ ndụlụ née, zɨ́ Yoséfa e kɨ́ meꞌbené ꞌdíꞌbi owụ́ née, zɨ́ye ngásáye sɨmɨ Ízibiti, 
MAT.2.15	zɨ́ye ndị́sịyé íri zɨ́ Eróde úyuné té kí. Ledre née ꞌdodo ini ledre gɨ sɨmɨ ledre kóo Ngére Lomo ukuiꞌbí zɨ́ ngúru nébị úku a ní kɨ́dí, “Mándólolúgu owụ́ ꞌbɨ amá go gɨ sɨmɨ Ízibiti.”
MAT.2.16	Sɨmɨ bɨ Eróde owo kɨ́dí ꞌyị komokenzị ga gére née londonɨ́ née go ní, zɨ́ mɨmbéꞌdea ésị́ne zɨ́a kása asikíri ené e ndéré úfu owụ́ yaꞌdá ga bɨ sɨmɨ Beteléme ore kpá kɨ́ yée ga bɨ gbaá ore ní mbá ꞌdáꞌba. Tonónɨ́ úfu yée gɨ ro yée ga bɨ sɨmɨbi eyé nɨ gbre ní ndáꞌbaógụné nde. 
MAT.2.17	Zɨ́ mongụ́ lerị́ ídíne tɨ́ káa zɨ́ bɨ kóo nébị Yeremáya uku ní kɨ́dí, 
MAT.2.18	“Do kará Isɨréle e ndịsị ówụ́ kɨ́ íni ini kɨ́ mbụ́mbụ́dụ́ kɨ́ mongụ́ lerị́ sɨmɨ gara bɨ Ráma ní. Ndịsịnɨ́ íni ini gɨ ro owụ́ ꞌbɨ eyé e, gɨ zɨ́a ufuonzónɨ́ yée go mbá. Mbámɨowụ́ máa ga gére née ilinɨ́ do ụ́cụómo yée kɨ́ íni ini wá.”
MAT.2.19	Sɨmɨ bɨ Eróde uyu nda go ní, zɨ́ maláyika ꞌbɨ Ngére Lomo ógụné sɨmɨ ꞌduru zɨ́ Yoséfa sɨmɨ Ízibiti 
MAT.2.20	zɨ́a úku ledre kɨ́dí, “Ị́nyịsé mu kɨ́ meꞌbeyị́ zɨ́se ꞌdíꞌbi owụ́ zɨ́se ndáꞌbasé sɨmɨ káṇgá esé ꞌbɨ Isɨréle e. Eróde bɨ kóo ayí gɨ ro úfu wo ní uyu go.”
MAT.2.21	Zɨ́ Yoséfa ị́nyịyé kɨ́ meꞌbené ꞌdíꞌbi Yésụ, yóó do ndáꞌbayé sɨmɨ Káṇgá eyé ꞌbɨ Isɨréle e. 
MAT.2.22	Ábuwá Arakaláyo nɨ nda goó ne ngére do bi kacɨ́ ꞌbụné sɨmɨ káṇgá bɨ Yụdáya ní. Zɨ́ ngịrị méngị Yoséfa kɨ́ ndáꞌbané íri. Zɨ́ Lomo úku ledre zɨ́a sɨmɨ ꞌduru, zɨ́ye nda ndéréye sɨmɨ Galiláya. 
MAT.2.23	Ndịsịnɨ́ nda kóo sɨmɨ gara bɨ Nazeréta ní. Utúasá go kɨ́ ledre bɨ kóo ngíti nébị uku gɨ ro Kɨ́résịto maꞌdáa kɨ́dí, “Nɨyí ndị́sị ndólo wo ꞌyị ꞌbɨ Nazeréta.”
MAT.3.1	Sɨmɨ sịndị́ kadra máa bɨ kóo née ní, ngíti oꞌdo nɨ kóo bo kɨ́ ịrịné Yiwáni, nɨ ꞌyị Bábátị́zị́ ꞌyị e. Zɨ́a ndị́sịné úku ledre ꞌbɨ Lomo zɨ́ ꞌyị e sɨmɨ Yụdáya gbála sɨmɨ súwú 
MAT.3.2	kɨ́dí, “Ídísé mu óyólóꞌbó mɨmbéꞌdesé, gɨ zɨ́a sịndị́ kadra nɨ go gbóo gɨ ro zɨ́ Lomo bɨ komo ere ní ídíne Ngére esé.” 
MAT.3.3	Yiwáni nɨ oꞌdo bɨ kóo nébị Isáya uku ledre a kɨ́dí,
MAT.3.3	“ꞌYị nɨ karanée ndị́sị ótrụ́ ledre zɨ́ ꞌyị sɨmɨ súwú kɨ́dí,
MAT.3.3	yémeómosé mɨsiꞌdi mu nzíyiné zɨ́ Ngére,
MAT.3.3	ídísé ꞌdózo yéme mɨsiꞌdi zɨ́a ní.”
MAT.3.4	Yiwáni ésị kóo roné bongó bɨ uꞌyúnɨ́ gɨ sɨmɨ bị bangá bɨ Gémele ní, zɨ́a ódó roné káꞌdá bɨ yemenɨ́ gɨ sɨmɨ saná ní. Mongụ́ éyị́ mɨánu ené nɨ kóo mbíra kɨ́ tezị.
MAT.3.5	Tụ́ꞌdụ́ ꞌyị e ịnyịnɨ́ kóo gɨ sɨmɨ Yerụsaléma, kɨ́ yée ga bɨ gɨ sɨmɨ káṇgá bɨ Yụdáya ní, nda kpá kɨ́ ꞌyị máa yée ga bɨ gbóo gbóo kóꞌdụ́ ngbuṛu bɨ Yeredéne ore ní mbá ndéréye úwú ledre ꞌbɨ Lomo gɨ tara Yiwáni. 
MAT.3.6	Sɨmɨ bɨ ꞌyị ga gére née ukuogụnɨ́ lúyú ledre eyé e ní, zɨ́a bábátị́zị́ yée sɨmɨ ngbuṛu bɨ ndolonɨ́ Yeredéne ní.
MAT.3.7	Sɨmɨ bɨ lurú tụ́ꞌdụ́ Farụsáyo e,
MAT.3.8	Togụ́ kenée yá, ídísé méngị éyị́ bɨ nɨ ꞌdódo a kɨ́dí óyólóꞌbósé mɨméngị ledre esé go maꞌdíi ní. 
MAT.3.9	Éyị́ ndaá kpá lóndo sée zɨ́se sómụ́ ledre kɨ́dí Lomo nɨ ótoómo ledre zɨ́se gɨ zɨ́a bɨ ásé bulúndu Abarayáma ní wá. Máúku zɨ́se maꞌdíi tutú ga bɨ bi née, Lomo utúasá go óyólóꞌbó yée zɨ́ye ídíye káa do bulúndu Abarayáma. 
MAT.3.10	Lomo nɨ go nzíyiné gɨ ro lágáónzó kágá e bi. Maꞌdíi, kágá máa wo bɨ aná bɨlámáne wá ní, nɨ lágáónzó a do ụ́cụ a ku phoꞌdụ.
MAT.3.11	“Mándị́sị bábátị́zị́ sée kɨ́ iní gɨ ro zɨ́se óyólóꞌbó sómụ́ ledre esé. Tɨ́ lá gɨ do kacɨ́ma ngíti mongụ́ ꞌyị nɨ ógụ, bɨ romo domá ní. Máútúásá gbawá íꞌdíógụ wará ené gɨ sịndị́a. Nɨ bábátị́zị́ ꞌbɨ ené sée kɨ́ rokoꞌbụ ꞌbɨ ꞌDówụ́ Lomo kɨ́ phoꞌdụ. 
MAT.3.12	Nɨ ꞌbɨ ené yị́ ené káa zɨ́ ꞌyị ócó komo kére ní. Nɨ léfeóto kére ené sɨmɨ bɨlámá éyị́, cící a née zɨ́a kótrụ a trị́e do óngbóóyó a ꞌdáꞌba.”
MAT.3.13	Sɨmɨ ngíti sịndị́ kadra zɨ́ Yésụ ị́nyịné gɨ sɨmɨ káṇgá bɨ Galiláya ní ndéréne ngbuṛu bɨ Yeredéne ní gɨ ro zɨ́ Yiwáni bábátị́zị́ née. 
MAT.3.14	Zɨ́ Yiwáni úku ledre zɨ́a kɨ́dí, “Máíli ba zɨ́yị íꞌbí babatị́za zɨ́ma yị́ị, ógụ nda zɨ́ma ba lárá a káa be ꞌdi?”
MAT.3.15	Zɨ́ Yésụ úkulúgu ledre zɨ́ Yiwáni kɨ́dí, “Ba go bɨlámá sịndị́ kadra gɨ ro zɨ́yị bábátị́zị́ máa, gɨ zɨ́a ilizé mbá ndị́sị méngị ledre ga bɨ Lomo ili yée ní.” Zɨ́ Yiwáni ṇgúṇgu a.
MAT.3.16	Zɨ́ Yiwáni go bábátị́zị́ wo. Sɨmɨ bɨ olụ́ogụ gɨ sɨmɨ iní ní, geré zɨ́ ere líkpí roné. Zɨ́a lúrúndíki ꞌDówụ́ Lomo kɨ́ ógụné doné káa zɨ́ kị́ṛịkóꞌdo ní. 
MAT.3.17	Zɨ́ Lomo ódroné gɨ komo ere kɨ́dí, “Ba mbigí Owụ́ ꞌbɨ amá, ꞌbúa ofụ domá go, mááyí kɨ́ rokinyi gɨ zɨ́a.”
MAT.4.1	Gɨ ore zɨ́ ꞌDówụ́ Lomo ꞌdíꞌbi Yésụ ndéré kɨ́e sɨmɨ súwú gbála gɨ ro zɨ́ ngére ꞌbɨ bɨcayi lomo e úzu wo.
MAT.4.2	Zɨ́ Yésụ méngịné sɨmɨ súwú íri sị́lị́ cị́ gbre (40) anu éyị́
MAT.4.3	Zɨ́ Satána ógụné úku ledre zɨ́a kɨ́dí, “Togụ́ áyí tɨ́ mbigí Owụ́ ꞌbɨ Lomo yá, ídí úku ledre zɨ́ owụ́ tutú ga bɨ bi ba idínɨ́ óyólóꞌbó royé káa do ambata gɨ ro zɨ́yị ánu a gɨ zɨ́ ꞌbú.”
MAT.4.4	Zɨ́ Yésụ ị́nyịné úkulúgu ledre zɨ́ Satána kɨ́dí, “Nɨ mɨékéne sɨmɨ mɨéké kúrú Lomo kɨ́dí, ‘ꞌYịmaꞌdí utúasá ídí trịdrị lá dụụ́ gɨ zɨ́ éyị́ mɨánu wá. Kúrú Lomo nɨ óto ꞌyị e ne zɨ́ye ídíye trịdrị.’ ”
MAT.4.5	Gɨ do kacɨ́ ledre née, zɨ́ ngére ꞌbɨ bɨcayi lomo e ꞌdíꞌbi Yésụ ndéré ékị́ kɨ́e do mongụ́ ꞌDị́cị́ ꞌbɨ Lomo sɨmɨ Yerụsaléma
MAT.4.6	“Togụ́ áyí tɨ́ Owụ́ ꞌbɨ Lomo yá, ídí mu léꞌbéútú bi ꞌdáa. Gɨ zɨ́a nɨ mɨékéne sɨmɨ mɨéké kúrú Lomo kɨ́dí,
MAT.4.6	“ ‘Lomo nɨ kása maláyika ené e
MAT.4.6	zɨ́ye sáká yị́ị,
MAT.4.6	káa bɨ áyí útú útru sịndị́yị ro tutú e ke.’
MAT.4.7	Zɨ́ Yésụ úkulúgu ledre zɨ́ Satána kɨ́dí, “Nɨ mɨékéne kɨ́dí, ‘Ndá úzu Ngére Lomo eyị́ wá.’
MAT.4.8	Zɨ́ ngére ꞌbɨ bɨcayi lomo e kpá ꞌdiꞌbi wo ndéré ékị́ kɨ́e do mongụ́ ngbángbá landa ꞌdága, zɨ́a ꞌdódo káṇgá e kɨ́ manda eyé e kɨ́ rokoꞌbụ ga bɨ zɨ́ye ní mbá zɨ́ Yésụ. 
MAT.4.9	Zɨ́a úku ledre zɨ́ Yésụ kɨ́dí, “Togụ́ útú cakaba bi zɨ́yị óto úndrumá yá, éyị́ ga bɨ za mbá máꞌdódo yée zɨ́yị née, mááyí íꞌbí yée zɨ́yị.”
MAT.4.10	Zɨ́ Yésụ úku ledre zɨ́ Satána
MAT.4.11	Gɨ do kacɨ́ ledre née ní, zɨ́ ngére ꞌbɨ bɨcayi lomo e ndéréóyó roné, zɨ́ maláyika e nda ógụyé sáká wo.
MAT.4.12	Kacɨ́ ledre née luꞌbú wá, do ónzó Yiwáni ꞌyị Bábátị́zị́ ꞌyị e sɨmɨ sị́gịnị. Sɨmɨ bɨ Yésụ uwú kɨ́dí onzónɨ́ Yiwáni go sɨmɨ sị́gịnị ní, zɨ́a ị́nyịné ndáꞌbalúgu roné sɨmɨ káṇgá bɨ Galiláya ní. 
MAT.4.13	Ndịsị ené kóo sɨmɨ Nazeréta ore wá, okpó geré mɨókpó sɨmɨ gara bɨ Kapáranawúma ní. Gara máa née nɨ kóo do gbúṛóngó mɨkavu Galiláya mɨꞌdí sɨmɨ káṇgá ꞌbɨ kúfú ꞌyị ga bɨ Zebụlụ́na kɨ́ Nafatáli ní. 
MAT.4.14	Ledre née utúasá go kpịnị kɨ́ ledre bɨ nébị Isáya uku ní kɨ́dí, 
MAT.4.15	“ꞌYị ga bɨ Zebụlụ́na e kɨ́ Nafatáli e ní, ndịsịnɨ́ ndị́sị gbóo kóꞌdụ́ mɨkavu Galiláya, née Yụ́da e. ꞌYị ga bɨ ndịsịnɨ́ sága Yeredéne gɨ ꞌdí keṛị́ nda kɨ́ yée ga bɨ sɨmɨ Galiláya ní, nɨyí ꞌyị ga bɨ ngárá ndanɨ́ Yụ́da e wá ní. 
MAT.4.16	ꞌYị ga bɨ ndịsịnɨ́ kóo ndị́sị sɨmɨ mɨtụlụrụ ní, mongụ́ bimɨóṇgó ogụ go zɨ́ye. Yée máa ga bɨ kóo ndịsịnɨ́ ꞌbɨ eyé do bi bɨ umbu ndịsị íꞌbí ꞌdoꞌdó ro ꞌyị e sɨmɨ a ní, bimɨóṇgó oṇgó go zɨ́ye.”
MAT.4.17	Gɨ sɨmɨ sịndị́ kadra máa bɨ kóo née ní, zɨ́ Yésụ tónóne úku ledre ꞌbɨ Lomo zɨ́ ꞌyị e kɨ́dí, “Ídísé óyólóꞌbó mɨmbéꞌdesé zɨ́se ṇgúṇgu ledre ꞌbɨ Lomo. Gɨ zɨ́a sịndị́ kadra nɨ go gbóo gɨ ro zɨ́a ídíne káa do Ngére esé.”
MAT.4.18	Kadra kị́éꞌdo, Yésụ nɨ go ndị́sị ndéré do gbúṛóngó mɨkavu Galiláya, zɨ́a lúrúndíki Simúna Pétero kɨ́ lúnduné Andiríya. Nɨyí go ndị́sị ónzó mbírá kénzé eyé sɨmɨ iní. 
MAT.4.19	Zɨ́a ndólo yée kɨ́dí, “Ógụsé mu ndị́sị lódụ́ kacɨ́ma, gɨ ro zɨ́ma óto sée káa do ꞌyị ꞌdíꞌbiógụ ꞌyị e zɨ́ma.” 
MAT.4.20	Sɨmɨ bɨ uwúnɨ́ ledre née kenée ní, geré zɨ́ye ótoómo mbírá eyé ore zɨ́ye ógụ útúye do kacɨ́ Yésụ.
MAT.4.21	Zɨ́ye ókpóye gɨ ore ꞌdáꞌdá, zɨ́a ndíki Zebedị́ya kɨ́ wotị́ne e gbre, Yakóbo kɨ́ lúnduné Yiwáni. Nɨyí sɨmɨ kuṛúngba ndị́sị yéme komo mbírá eyé. Zɨ́ Yésụ ndólo phɨṛangá ga gére née gbrengárá kɨ́ lúnduné. 
MAT.4.22	Geré zɨ́ye ótoómo mbírá eyé kɨ́ ꞌbụyé ore, do útúye do kacɨ́ Yésụ.
MAT.4.23	Zɨ́ Yésụ gámáne sɨmɨ Galiláya mbá. Togụ́ ogụ ndiki ꞌyị e go sɨmɨ ꞌDị́cị́ Kótrụro e,
MAT.4.24	Zɨ́ phanda ledre bɨ Yésụ ndịsị méngị a née áṇgané sɨmɨ ị́rịgbére bɨ Sụ́rịya ní mbá. Zɨ́ tụ́ꞌdụ́ ꞌyị e ndị́sị ógụyé kɨ́ ṛị́kị́ ndíyá eyé e zɨ́ Yésụ ndị́sịné ꞌdíꞌbióyó a gɨ royé. ꞌYị máa yée ga bɨ nɨyí kɨ́ dokéké sɨmɨyé, kɨ́ yée ga bɨ sɨmɨ doyé sinyí go mɨsínyí ní, nda kɨ́ yée ga bɨ kɨ́ umbu sịndị́ye ní, zɨ́a yómo yée mbá. 
MAT.4.25	Sɨmɨ sịndị́ kadra máa bɨ kóo née ní, zɨ́ tụ́ꞌdụ́ ꞌyị e ndị́sị ógụyé zɨ́ Yésụ. ꞌYị ga bɨ gɨ sɨmɨ Galiláya, kɨ́ yée ga bɨ gɨ sɨmɨ gara bɨ Dikapolị́sị, kɨ́ Yerụsaléma, kɨ́ káṇgá bɨ Yụdáya, nda kɨ́ yée ga bɨ gɨ sága ngbuṛu Yeredéne ní mbá.
MAT.5.1	Sɨmɨ bɨ Yésụ lurú tụ́ꞌdụ́ ꞌyị e nɨyí go ndị́sị ógụ zɨ́ne kɨ́ngaya ní, zɨ́a ékị́ ndị́sịné gá do landa. Zɨ́ ꞌyị lódụ́ kacɨ́ga ógụ ndị́sịyé cigí a. 
MAT.5.2	Zɨ́a tónóne ꞌdódo ledre zɨ́ye kɨ́dí, 
MAT.5.3	“Úndru nɨ ídí zɨ́ ꞌyị ga bɨ ṇguṇgunɨ́ ledre ꞌbɨ Lomo go ní, bɨlámá bi bɨ ꞌbe Lomo komo ere ꞌdáa ní, nɨ ídí ꞌbɨ eyé. 
MAT.5.4	Úndru nɨ ídí zɨ́ ꞌyị ga bɨ ndịsịnɨ́ íni ini gɨ zɨ́a bɨ bi sínyí royé mɨsínyí ní, nɨyí karanée ídí kɨ́ rokinyi. 
MAT.5.5	Úndru nɨ ídí zɨ́ ꞌyị ga bɨ ndịsịnɨ́ ꞌbúóꞌbụ́ royé mɨꞌbúóꞌbụ́ ní, nɨyí ídí ye mị́ngị́ do sogo káṇgá ba. 
MAT.5.6	Úndru nɨ ídí zɨ́ ꞌyị ga bɨ ꞌbú kɨ́ kodró ꞌbɨ mɨméngị ledre ga bɨ Lomo ili yée ní doyé ní, nɨyí ídí ye mɨléreyé gɨ zɨ́ Lomo. 
MAT.5.7	Úndru nɨ ídí zɨ́ ꞌyị ga bɨ ndịsịnɨ́ méngị bɨlámá ledre zɨ́ lafúye ní, Lomo nɨ kpá méngị bɨlámá ledre zɨ́ye. 
MAT.5.8	Úndru nɨ ídí zɨ́ ꞌyị ga bɨ bɨsinyí ledre ndaá do mɨmbéꞌdeyé wá ní, nɨyí lúrú Lomo cụ́ kɨ́ komoyé. 
MAT.5.9	Úndru nɨ ídí zɨ́ ꞌyị ga bɨ ndịsịnɨ́ ꞌdíꞌbiógụ dụụ́ bɨlámá ledre dongará ꞌyị e ní, nɨyí ndị́sị ndólo yée Owụ́ ꞌbɨ Lomo. 
MAT.5.10	Úndru nɨ ídí zɨ́ ꞌyị ga bɨ ndịsịnɨ́ méngị yée bɨsinyíne gɨ zɨ́a bɨ ndịsịnɨ́ méngị ledre ga bɨ Lomo ili yée ní, nɨyí ídíye ꞌbe ꞌbɨ Lomo komo ere.
