MAT.1.1	Abrahamachea puta Davidachea puta, Krista Jezuche he vonxa-vollichi xivddi. 
MAT.2.6	‘Ani tum, Judachea prantantlea Bethlehema,
MAT.2.6	Judacheam mukheleam modem koxêch bhaxen
MAT.2.6	soglleam-vôn lhan nhoi tum!
MAT.2.6	Kiteak tujê thaun nipzotolo êk fuddari ani toch Mhojê Israel-porjecho gonvlli zatolo.’
MAT.2.7	Tedna Herodin team vidvanank guptim kuxin vhele ani noketr kedna dixtti poddlelem tê vixim tannem tanchê kodde barkaien khobor kaddun ghetli, 
MAT.2.8	ani tankam Bethlehemak dhaddun mhonn’lem: “Vochat, ballkachi sarki khobor gheiat, ani to tumkam melltôch, hanvem-i sorpottun taka nomoskar korunk vechê khatir, mhaka kolloiat.” 
MAT.2.9	Razachem aikun te vattek lagle; ani tãnnim udetanam dekhlelem tem noketr ovchit tanchê mukhar vochunk laglem, ani ballôk aslo thuim tharlem. 
MAT.2.10	Noketr polleun te ekdomuch khuxalbhorit zale. 
MAT.2.11	Ani ghorant bhitôr sorun ballkak Tachê avoi Mariechea sangata tãnnim dekhlo, ani saxttangim poddun tãnnim Taka nomoskar kelo. Uprant, aplim bhanddaram ugddun, Taka him dennim somorpilim: bhangar, dhump ani gondhrôs. 
MAT.2.12	Punn Herodi-xim porot vochona zaunk, Devan tankam sopnant xiddkaile, ani dusrê vatten aplea desant te portole.
MAT.2.13	Te vochona fuddem, ovchituch êk devdut Juzek sopnant dixtti poddlo; tannem mhonn’lem: “Utth, tôr Herod ballkacho jiv kaddunk Tachi sôd korcho asa dekhun ballkak ani Tachê avoik ghe ani Ejiptak pollun voch, ani hanv sangin porian thõi rav.” 
MAT.2.14	Juze utthlo ani, Ballkak ani Tachê avoik gheun, têch rati Ejiptak pollun gelo, 
MAT.2.15	ani Herod moro-sôr thõi ravlo. “Ejiptak thaun Mhojea putak Hanvem apoun haddlo”, oxem Sorvesporan provadea vorvim sanglelem utor pallon ieunchê khatir hem ghòddlem.
MAT.2.16	Tedna Vidvanamnim apnnak fottoilo mhonn polleun, Herod ekdom’ ragabhorit zalo ani Bethlehemant ani tea akhea jil’leant, aple monis dhaddun vidvanam kodde khobor kaddun ghetlelea kallachea hixoba pormannem, don vorsancheam vô unnê piraiecheam ballkank marun uddoile. 
MAT.2.17+MAT.2.18	Tedna,
MAT.2.17+MAT.2.18	“Mottea roddnneachi ani vilapachi êk bob Ramant aikunk aili,
MAT.2.17+MAT.2.18	Aplim bhurgim anink nant dekhun, tanche khatir rodd’to Rakel buzvônn gheunk nakarta”,
MAT.2.17+MAT.2.18	oxem Jeremias provadea udexim sanglelem aslem tem pallon ieilem.
MAT.2.19	Herod mortôch ovchituch devdut Ejiptant Juzek sopnant dixtti poddlo; 
MAT.2.20	tannem oxem mhonn’lem: “Utth, ballkak ani Tachê avoik ghe ani Israel desant porto voch, kiteak ballkacho jiv kaddunk sôdtale te morun gele.” 
MAT.2.21	To utthlo ani ballkak ani Tachê avoik gheun Israel desant porot gelo. 
MAT.2.22	Punn aplea bapai Herodichê svater Arkelav Judeiant razvôtt choloita mhonn aikun, thõi vochunk to bhielo; ani sopnant apnnak oso xiddkailo mhonnun, Galileia prantant gelo. 
MAT.2.23	Thõi Nazaret mhonntat tea nogrant tannem tthikann kelem. “Taka Nazaretkar mhonn nanv poddtelem”, oxem provadea udexim sanglelem utor pallon ailem.
MAT.3.1	Team disamnim Juanv Batist oso porgottit ani sangit eilo: 
MAT.3.2	‘Devachem Raj ieunchem zalem dekhun jivit-mon bodlat.’ 
MAT.3.3	“Oronnneant arddoto ekleacho tallo: ‘Somiacho rosto toiar korat tacheo vatto nitt korat’ ”, oxem Izaias provadea udexim Devan sanglem tem hachech vixim 
MAT.3.4	Ho Juanv unttachê lhonvechem angavlem nhestalo ani penkttak chamddeacho potto bandtalo ani toll ani ran’vott mhonv khaun jietalo. 
MAT.3.5	Tedna Jeruzaleacho ani akhea Judeiacho ani Jordana-bhonvtonnchê sogllê talukecho lôk taka mellunk vetalo 
MAT.3.6	ani aplim patkam ucharun Jordanant tachê koddlo batism ghetalo.
MAT.3.7	Zaite Farizev ani Saduki batism gheunk ietat tem polleun, tannem tankam mhonn’lem: “Furxeanchi zat tumi! Ieuncho asa to krôdh vattaiat mhonn konnem tumkam xiddkaileat? 
MAT.3.8	Tumchem jivit-mon bodllonnechim purtim follam dakhoiat, 
MAT.3.9	ani hanv tumkam sangtam, heam fatranchim Abrahamak bhurgim upzounk Devak tank asa dekhun “Amcho bapui koso amkam Abraham asa”oxem tumi tumkanch mhonno nakat. 
MAT.3.10	Atam legun zhaddanchea mullak kuradd ghal’li asa. Mhonntôch jem-jem zhadd borem foll dinam, tem-tem Dev katortolo ani ujeant uddoitolo. 
MAT.3.11	Jivit-mon bodlopa khatir hanv tumkam udkan batism ditam khorem, punn mhojê pattlean ieta To mhojê-von bollvont, ani Tacheô vhannô hatant dhorunk mhaka favo na. To zalear Povitr Atmean ani ujean tumkam batism ditolo. 
MAT.3.12	Aplo moddkull Tachea hatant asa ani To Aplem kholl nitoll kortolo, Aplo gonv koddeant bhôrtolo ani pol palovnam toslea ujeant lastolo.”
MAT.3.13	Tedna Juanvan Apnnak batism diunchê khatir Jezu Galileia thaun Jordanak Juanvaxim ailo. 
MAT.3.14	Punn “Mhaka Tujê koddlo batism gheunchi goroz asa, ani Tum mhojê sorxim ietai?!”, oxem mhonnun, Juanv Taka addaitalo. 
MAT.3.15	Punn Jezun taka oso zobab dilo: “Tem atam asum-di; oxem korun, jem Devachê sogllê taronnik ievzonnê pormannem korchem asa, tem sogllem ami palltelenv.” Tedna Juanv kobul zalo.
MAT.3.16	Jezu batism gheun udkantlo bhair sorun ienam fuddem, ovchituch sôrg ugòddlo ani Devacho Atmo Apnnacher parvo koso denvun ieta to Tannem dekhlo. 
MAT.3.17	Ani okosmat sorgar thaun êk tallo oso gazlo: “Ho Mhozo Put, sogllê opurbaiecho; Tacher asa Mhojem dhadosponn.”
MAT.4.1	Tedna, Devcharan Jezuk naddche khatir, Povitr Atmean Taka oronneant vhelo. 
MAT.4.2	Challis dis ani challis rati Jezun upas kelo, ani tea uprant Taka bhuk lagli. 
MAT.4.3	Atam lagim sorun, Naddpean oxem mhonn’lem: “Zor Tum Devacho Put, tôr heam fatranche undde zaunk adnea kôr.” 
MAT.4.4	Punn Tannem oso portipall kelo: “Povitr Pustokar boroil’lem asa tem hem:
MAT.4.4	‘Unddeach vorvim nhoi,
MAT.4.4	punn Devachea tonddantlem bhair sorta
MAT.4.4	tea-tea utra vorvim monis jieta.’ ”
MAT.4.5	Magir Devcharan Taka Povitr Xarant vhelo ani, Devmondirachea kollsar Taka ubo korun, 
MAT.4.6	oxem mhonn’lem: “Zôr tum Devacho Put, tôr hanga thaun sokla uddki mar, kiteak oxem boroil’lem asa:
MAT.4.6	‘Tujê vixim To Apleam dutank hovalo ditolo
MAT.4.6	ani tuzo pãi fatracher adllonam zaunk,
MAT.4.6	te apleam hatamnim tuka uklun dhôrtele.’ ”
MAT.4.7	Jezun taka oso zobab dilo: “Oxem-i boroil’lem asa:
MAT.4.7	‘Sorvespora tujea Devachi
MAT.4.7	tunvem porikxa korum noiê.’ ”
MAT.4.8	Tea uprant Devcharan Taka eka bhov unch dongrar vhelo ani sonvsarantleô soglleô razvottkeô ani tancho dobazo Taka dakhoilim. 
MAT.4.9	Tannem mhonn’lem: “Sorpottun tum mhaka nomoskar korxi zalear, hanv hem sogllem tuka ditolom.” 
MAT.4.10	Tedna Jezun taka oso portipall kelo: “Pois sor, Soitana, kiteak oxem boroil’lem asa:
MAT.4.10	‘Sorvespora tujea Devak tum bhôztoloi
MAT.4.10	ani Tachi ekleachich seva kortoloi.’ ”
MAT.4.11	Xekim Devchar Tachê sorxilo koddsorlo ani devdut ieun Tachi seva korunk lagle.
MAT.4.12	Juanvak koidi kelo mhonn aikolea uprant Jezu Galileiak gelo. 
MAT.4.13+MAT.4.14+MAT.4.15+MAT.4.16	“Zabu-lonachea ani Neftalichea ganva!
MAT.4.13+MAT.4.14+MAT.4.15+MAT.4.16	Doriachê vatter Jordanachê pelê toddi asto
MAT.4.13+MAT.4.14+MAT.4.15+MAT.4.16	Raxttranche Galileia!
MAT.4.13+MAT.4.14+MAT.4.15+MAT.4.16	Kallokant ravtelea lokan
MAT.4.13+MAT.4.14+MAT.4.15+MAT.4.16	êk vhôdd uzvadd dekhlo:
MAT.4.13+MAT.4.14+MAT.4.15+MAT.4.16	mornnachi savlli poddlelea ganvant ravteleank
MAT.4.13+MAT.4.14+MAT.4.15+MAT.4.16	êk uzvadd udelo.”,
MAT.4.13+MAT.4.14+MAT.4.15+MAT.4.16	oxem Izaias provadean sanglelim him utram pallon ieunche khatir, Nazaret soddun, Zabulonachê ani Neftalichê ximer, doria-deger asto Kapernaumant Tannem tthikann kelem.
MAT.4.17	Tedna thaun Jezu oxem mhonnun updês diunk laglo: “Jivit-mon bôdlat kiteak Sorginchem Raj ieunchem zalem.”
MAT.4.18	Galileiachea Doriachê deger choltana Tannem dogam bhavam, Simanv mhonnlelea Pedruk ani tachea bhava, Andrek doriant pager martale te dekhle; te kharvi asle. 
MAT.4.19	Tannem tankam mhonn’lem: “Mhojê pattlean ieiat ani tumkam Hanv mon’xank dhôrtat tosle kharvi kortolom.” 
MAT.4.20	Ani rokddech, zallam sanddun, te Tachê pattlean gele.
MAT.4.21	Ani thõi thaun fuddem vochun, anink dusream her dog bhavam Jakoba, Zebedevachea putak ani tachea bhava, Juanvak hoddear, Zebedeva aplea bapaichea sangata apleô rampnni xinvtale te Tannem dekhle, ani tankam apoile. 
MAT.4.22	Rokddech, hoddem ani aplea bapaik sanddun, te Tachê pattlean gele.
MAT.4.23	Jezu akhea Galileiant bhonvun-firun tancheam devsthanamnim xikovnn ditalo, Rajeachem Xubhvhortoman porgôtt’talo, ani loka modem sogllea jin’sacho pidda-rôg boro kortalo. 
MAT.4.24	Tedna Tachem nanv akhê Siriek gazlem, ani somest vaittakarank, sobar jin’sanchê pidden ani koxttam-dogdamnim vollvollteleank, devchar bosleleank, morluk marteleank ani aren poddleleank Tachê sorxem haddtalim ani Tannem tankam borim kelim.
MAT.4.25	Galileia thaun, Dha Nogranchea Pranta thaun, Jeruzalea thaun, Judeia thaun ani Jordana-poltoddchea Pranta thaun ieun, lokacheô vhodd urponji Tachê pattlean vetaleô.
MAT.5.1	Lokacheô urponji polleun Jezu dongrar choddlo. Thõi To boslo ani Tache xis Tachê sorxem aile. 
MAT.5.2	Tedna Aplem tondd ugddun, oxem To tankam xikounk laglo:
MAT.5.3	Otmean apunn gorib mhonn zannant tim subhagi, Sorginchem Raj tanchem. 
MAT.5.4	Rudon kortat tim subhagi: Dev tankam buzvônn ditolo. 
MAT.5.5	Bholim tim subhagi: prithum’ daiz tanchem. 
MAT.5.6	Promannikponnak tanetat ani bhuketat tim subhagi: Dev tankam dhadoxi kortolo. 
MAT.5.7	Doiall tim subhagi: Dev tanchi doia kortolo. 
MAT.5.8	Kallzan nitoll tim subhagi: tim Devak polletelim. 
MAT.5.9	Xanti kortat tim subhagi: Dev tankam Aplim bhurgim mhonntolo. 
MAT.5.10	Promanikponna khatir dhumallo sõstat tim subhagi: Sorginchem Raj tanchem. 
MAT.5.11	Mhojê khatir tumkam opman’tit, tumkam dhumallo ditit ani sogllea jin’sachem vaitt tumcher add uloitit tedna tumi subhagi. 
MAT.5.12	Khuxal ani sontosbhorit zaiat, kiteak sorgar bhov vhoddli mozuri tumchi. Tumchê adim provadeank tosoch tãnnim dhumallo dila.
MAT.5.13	Tumi prithumechem mitt. Punn mittachi kharsann bigòddlea zalear, tem kiteak upartelem? Tem fokot bhair uddounchem ani pãiam tolla mostunchem, anink kiteakuch upkarona.
MAT.5.14	Tumi sonvsaracho uzvadd. Dongrachea mathear bandlelem xar lipon urona. 
MAT.5.15	Pailê pondak dhampun dovrunk konnuch ponntti laina; ghorant asto soglleank ticho uzvadd poddunk, ti eka peddar dovortat. 
MAT.5.16	Têch porim tumcheô boreô kornneô polleun sorgar asto tumchea Bapak mon’xamnim vakhannchê khatir, tumcho uzvadd tanchê mukhar porzollum-di.
MAT.5.17	Somurt vô Provadi, hankam kaddun uddounk Hanv ailam mhonn tumi somzonakat; tankam kaddun uddounk nhoi, punn sopurnnaiek pavounk Hanv ailam. 
MAT.5.18	Khorench tumkam sangtam: sôrg ani sonvsar soro porian ghoddonk zai titlem-i ghòddlea xivai, Somurtintlem ek soglleam-vôn lhan okxor vô okxorank lail’li êk supurli thikli legun na zaunchi na. 
MAT.5.19	Mhonntôch, zôr konn heam supurleam adneam bhitorli êk porian môddtit ani toxem korunk herank xikoitit, tankam Dev Sorginchea Rajeant soglleam-vôn lhan mhonn lêkhtolo; punn teô samballtit ani herank xikoitit, tankam Dev Sorginchea Rajeant vhodd mhonn man’tolo. 
MAT.5.20	Dekhun Hanv tumkam sangtam: Devak man’ta tem korunk xastream ani Farizevam poros tumi odik raji nant zalear, Sorginchea Rajeant tumi bhitôr sorchinch nant.
MAT.5.21	‘Jivexim marum noiê’, purvozank oxem sanglelem mhonn tumi aikolam; ani jivexim martit tancher neaisobhechê khastichem formonn poddtelem. 
MAT.5.22	Tôr Hanv tumkam sangtam: konn-ui aplea peleacher rag dhôrta zalear, tacher khastichem formonn poddtelem; konn-ui aplea peleak okman kortit zalear, tacher Mha-Dhormsobheche khastichem formonn poddtelem; ani konn-ui taka noxtto mhonntit zalear, ujeachea iemkonddachi khast taka favo zateli. 
MAT.5.23	Mhonntôch, tujem dan vedi-xim gheun ietai zalear, ani tujea pelea add kitem-i asa mhonn tuka thõi ugddas zait zalear, 
MAT.5.24	thõisoruch vedi mukhar tujem dan toxench sôdd ani poilim vochun tujea pelea lagim somadhan kôr; magir portun ie ani tujem dan bhettoi.
MAT.5.25	Tujea vadea lagim upraslolo tonn’to tachê borabôr vatter astananch borê bhaxen sompoi; na zalear to tuka nitidarachea hatant diit bi, ani nitidar tuka choukidarachea tabeant ghalun bondkhonnint uddoit. 
MAT.5.26	Hanv tuka khorench sangtam: tuzo nimanno pav-as’sarion 
MAT.5.27	‘Pordvar korum noiê’, oxem sanglelem asa mhonn tumi aikolam. 
MAT.5.28	Tôr Hanv tumkam sangtam: zôr konn-ui êkê ostriecher kamcharim dolle ghalit, tannem aplea kallzant tichê kodde pordvar keloch mhonn opradi. 
MAT.5.29	Patok adarunk tuzo uzvo dollo tuka oddun vhorta zalear to umttun kadd ani bhair uddoi, kiteak tuji akhi kudd emkonddant uddoun gheunchê poros, tujea ekach sandeacho nas zal’lo tuka odik borem. 
MAT.5.30	Ani tuzo uzvo hat patok korunk tuka oddun vhorta zalear, to katôr ani bhair uddoi, kiteak tuji akhi kudd emkonddant gel’lê bodlek, tuzo êkuch sando bigòddlo zalear tuka odik borem.
MAT.5.31	Oxem-i sanglelem asa: ‘Konn-ui aplê potinnik soddun ditolo zalear, poilem tannem tika ghottsfottichem potr boroun diunchem.’ 
MAT.5.32	Punn Hanv tumkam sangtam: Somurticher add logn-sombondant jieteleanchi mat gozal kuxin dovrun, zo aplê potinnik soddun dita, to tika pordvarinn zai-xi korta; ani konn ghottsfottichem potr diun sôddlolê bailê kodde logn zait zalear, to pordvar adarta.
MAT.5.33	Anink-ui purvileank sanglelem tumi aikolam: ‘Soput môddum noiê, punn Sorvesporak tunvem dil’leam soputank pallo di.’ 
MAT.5.34	Tôr Hanv tumkam sangtam: soput diunchoch nhoi: zaum sorgachean, kiteak Devachem xinvason tem; 
MAT.5.35	zaum prithumechean, kiteak Tacheam pãianchi monnoi ti; nhoi mhonn Jeruzaleachean, kiteak Vortea Razachem xar tem. 
MAT.5.36	Tujea matheachean-ui soput dium noiê, kiteak tacho êk-ui kens dhovo vô kallo tujean korunk zaina. 
MAT.5.37	Tumchem ulovop itlench zaum-di: hôi zalear hôi, nhoi zalear nhoi; hachê-von ogllem tem vaittovea koddlem ieta.
MAT.5.38	‘Dolleak dollo, dantak dant’ : oxem mhonnlelem tumi aikolam. 
MAT.5.39	Punn Hanv tumkam sangtam: vaitt mon’xak tum addainaka; konnei tuka uzvea polear marit zalear, dusro-i polo taka dakhoi. 
MAT.5.40	Konn tujem angavlem vhorunk neaisobhent vivad korit zalear, taka tuzo jubo-i vhorum-di. 
MAT.5.41	Ani konn-ui tuka êk kôs cholunk boll korit zalear, don kos tachê sangatim chol. 
MAT.5.42	Tujê kodde magit taka di; ani tujê lagim uxnnem magun gheunk sôdta taka patt vollinaka.
MAT.5.43	Tujea peleacho môg kortoloi ani tujea dusmanacho dvês dhôrtoloi oxem sanglelem tumi aikolam. 
MAT.5.44+MAT.5.45	Punn Hanv tumkam sangtam: Sorgincho tumcho Bap Aplo suria vaitt toxench boream mon’xancher ude-so korta, ani Aplo paus promannik toxench khotteam mon’xancher ghalta dekhun tumi Tachim bhurgim zauncheak, tumcheam dusmanancho môg korat ani tumkam piddapidd diteleam pasot magat; 
MAT.5.46	Tumcho môg korteleancho tumi môg korxeat zalear, kosli tumkam mozuri mellot? Dônddvosuldar-ui toxench korinant? 
MAT.5.47	Ani tumcheam bhavbhoinninkuch tumi solam’ korxeat zalear, vhodd-xem kitem kelem tumi? Onbhavarti legun oxench kortat ki na? 
MAT.5.48	Mhonntôch, zoso tumcho sorgincho Bap sopurnn, toxinch tumi-i sopurnn zaiat.
MAT.6.1	Mon’xank dakhounchea monan Devachê bhokticheô kornneô mon’xam hujir korina zaunk chotrai dhôrat; na zalear, sorgar asto tumchea Bapa-xim koslich mozuri tumkam mellchi na. 
MAT.6.2	Dekhun tum bhik ghaltai tedna, tujê mukhar tuturi vazoinaka. Ddhongi devsthanamnim ani rosteancher, apnnank monxam mukhar man mellchê khatir, toxem kortat. Hanv tumkam khorench sangtam: tãnnim apli mozuri ghetli. 
MAT.6.3	Punn tum dan ditai tedna, tuzo uzvo hat kitem korta tem tujea davea hatak kollchem nhoi; 
MAT.6.4	tujem dan gupit zaunk zai, ani Zo guptim kel’lem polleta, To tumcho Bap tuka mozuri ditolo.
MAT.6.5	Ani tumi magnnem kortat tedna, ddhongeam porim zaum nakat. Lokan apnnank polleunchê khatir, devsthanamnim ani rosteancheam nakeanr ube ravun aplim magnnim korchi tankam motti khuxi. Hanv tumkam khorench sangtam: tãnnim apli mozuri ghetli. 
MAT.6.6	Punn tum magnnem kortai tedna, tujea khasgi kuddant bhitôr voch, ani dar dhamplea uprant, thõi guptim asto tumchea Bapak magnnem kôr; ani Zo guptim kel’lem tem polleta, To tumcho Bap tuka inam ditolo.
MAT.6.7	Ani apleam utranchea boddboddak lagun apnnak aikotele mhonn videxi somzotat dekhun Tumi prarthon kortat tedna, videxeam porim portun-portun teach-teach utramnim magnnem korinakat. 
MAT.6.8	Hea pasot Bapakodde tumi magche adinch tumkam team vostunchi goroz asa mhunn Bap zanna dekhun tumi tanche porim zaum nakat. 
MAT.6.9	Dekhun tumi oxem prarthon korchem: ‘Amchea Bapa sorginchea, Tujem nanv povitr zaum, 
MAT.6.10	Tujem Raj ieum, Tuji khuxi sorgar zata toxi sonvsarant zaum. 
MAT.6.11	Amcho dispotto giras az amkam di, 
MAT.6.12	Ani ami amcher chukleleank bhôgxitanv toxem amchim patkam bhogôs, 
MAT.6.13	ani amkam tallnnent poddunk dium naka, punn Vaittakarachea hatantlim amkam nivar.’ 
MAT.6.14	Khorench, tumi dusreancheô chuki bhôgxixeat zalear, tumcho sorgincho Bap tumkam-i bhôgxitolo. 
MAT.6.15	Punn tumi dusreank bhôgxina zaxeat zalear, tumcho Bap tumcheô-i chuki bhôgxicho na.
MAT.6.16	Tumi upas kortat tedna, ddhongeam bhaxen khontichem rup tumi gheum noiê; apunn upas kortat mhonn lokak dakhounk tim aplea tonddar kallôk ghaltat. Hanv tumkam khoreponnim sangtam: tãnnim apli mozuri ghetli. 
MAT.6.17+MAT.6.18	Punn tum upas kortai tedna, tuzo upas lokak nhoi bogor gupit asto tumchea Bapak dixtti poddchê khatir, tujea matheak tel lai ani tujem tondd dhu; ani Zo guptim kel’lem polleta, To tuzo Bap tuka mozuri ditolo.
MAT.6.19	Sonvsarant tumkam ttheve ektthãi korinakat; thõi sannôs ani kidd te khaun ibadd kortat ani chor fôddtat ani chorun vhortat; 
MAT.6.20	punn tumkam ttheve sorgar zomoun dovrat; thõi tancho ibadd korunk sannôs vô kidd na, ani te foddun vhorunk chor-ui nant. 
MAT.6.21	Kiteak tuzo tthevo asa thõich tujem kalliz-ui astelem.
MAT.6.22	Kuddicho divo dollo. Mhonntôch tuzo dollo nivôll asot zalear, soglli tuji kudd uzvaddik zateli. 
MAT.6.23	Punn tuzo dollo nivôll nasot tôr, soglli tuji kudd kallokant buddteli. Hea pasot, tujê bhitôr asa to uzvadduch kallôk zait zalear, to kallôk kedo vhoddlo zauncho na!
MAT.6.24	Konnacheanuch borabôr dogam dhoniancho gulam zaum nozo; kiteak to ekleak zolltolo ani dusreacho môg kortolo, vô ekleak chikttun ravtolo ani dusreachi beporva kortolo. Tumchean Devache ani borabôr Girestkaieche gulam zaum nozo.
MAT.6.25	Dekhunuch Hanv tumkam sangtam: tumchea jiva khatir kitem khaunchem-pieunchem, vô tumchê kuddi khatir kitem nheschem-pangurchem, tê vixim huskeum nakat. Jevnna poros jiv ani nhesnna poros kudd vorti nhoi? 
MAT.6.26	Varea veleam suknneancher nodor marat; tim vompinant, lunvi-i nant ani kodde-i bhorinant; tori tumcho sorgincho Bap tankam pôsta. Tumi tanchê-von odik molachim nhoi tôr? 
MAT.6.27	Ani huske kaddun, aplem auk hat-bhôr vaddounk tumchê bhitorlea konnachean zata zait? 
MAT.6.28	Ani nhesnnam vixim tumkam dhasti kiteak? Xetantlim fulam koxim vaddtat tem chintun polleiat; tim koxtt korinant, tim sut-ui kaddinant. 
MAT.6.29	Tôr Hanv tumkam sangtam: Solomanv legun sogllea aplea dobajeant tantlea eka sarko nheslo na. 
MAT.6.30	Tôr az asa ani faleam kaddun ujeant uddoitat tem xetantlem tonn hea jin’san Dev nhesoita zalear, tea-vôn kitlo odik tumkam To nettouncho na, holkea bhavartacheam mon’xamnô? 
MAT.6.31	Mhonntôch ‘ami kitem khatelenv? kitem pietelenv? kitem nhestelenv?’, oxem mhonnun huske kaddinakat. 
MAT.6.32	Oslea soglleachi vaspus kortat onbhavarti. Tumkam heam soglleam vostunchi goroz mhonn tumcho sorgincho Bap tôr zannoch. 
MAT.6.33	Devachem Raj ani tumkam To Apnnak manovlelim korta to bhes tumi poilim sodat ani heo soglleo vostu To tumkam ditolo. 
MAT.6.34	Mhonntôch faleachea disa vixim husko kaddinakat, faleacho dis aploch husko kaddtolo. Tea-tea disak tras asat tech puro taka.
MAT.7.1	Dev tumchi nit korina zauncheak, tumi dusreanchi nit kori nakat. 
MAT.7.2	kiteak tumi nit korxeat têch toren To tumchi nit kortolo; ani tumi zôkxeat teach mapan To tumkam porot zôktolo. 
MAT.7.3	Tujea peleachea dolleant asa tem kisor tum kiteak polletai, ani tujea dolleant asa ti patti tuka dixtti poddona? 
MAT.7.4	Tujea dolleant êk patti astana, tujea peleak, tujea dolleantlem kisor mhaka kaddum-di’, oxem tujean koxem mhonnunk zata? 
MAT.7.5	Arê ddhongea, tujea dolleantli patti poili kadd, ani magir tujea peleachea dolleantlem kisor kaddunk tuka nivoll dixtti poddtelem. 
MAT.7.6	Povitr tem kaddun sunneank ghalinakat; ani tumchim motiam dukranchea fuddeant uddoinakat, kiteak tim ghoddiek pãiam tolla maddoitit ani porot tumchea angar ieun tumche kuddkean’-kuddke kortit.
MAT.7.7	Magat ani tumkam melltelem; sôdat ani tumkam gavtelem; darar marat ani tem tumkam ugòddtelem 
