MAT.1.1	I oyo ay listahan ni kaapoapohan ni Hisu Kristo a ginumapo de Debid ta ginumapo eya de Abraham. 
MAT.1.19	Nano i Hose a nappa ni bebi na ay piyon i innawa na a agta ta an na buot a maamamos i Maria kanya te belak eya a an di nekipagkasungdu de Maria ni an ketinggesan ni kamakmokan. 
MAT.1.20	Misan nun peuluesip na i maginon ay nagpakita diya de pangnenop i isin a anghel nun Panginoon a Makedepat. Sinabi na diya, “Hose ka a ginumapo de Debid, wet ka kumapoy de Maria a kasungdu ta gelihe eya dehil de Ispiritu nun Makedepat. 
MAT.1.21	Ta nánganak eya ni isin a lalaki. Ngangalanan mo eya ni Hisus a magliligtas ta pakeeyenan na ni mammalotin i kaagtaan a geabut diya.” Inon i sinabi ni anghel de Hose. 
MAT.1.22	Nano ay nangyedi inon a pesan tangani pamatoden i pinangako nun Panginoon a Makedepat de padean ni magsasabi na a Isais. 
MAT.1.23	Ta sinabi na a,
MAT.1.23	“Gelihe i isin a maddikit ta nánganak ni isin a lalaki a ngangalanan a Emanuel.”
MAT.1.23	I kabuluhan ninon a ngalan ay “Kakoloytam i Makedepat”. 
MAT.1.24	Kanya nun napagiyos di i Hose ay tinumalinga eya de pagdodul diya ni anghel nun Panginoon a Makedepat ta pinakasalan na i Maria. 
MAT.1.25	Misan an pelanean ni Hose i Maria hanggen an pepanganak i anak a lalaki. Nginalanan ni Hose i kilasaan a Hisus.
MAT.2.1	Nano ay nun pinanganak i Hisus de benwaan a Betlehem de sákup ni Hudia ay Herod i hari nun nanon a panahon. Nun ampa náloy a pinanganak i Hisus ay dinumatong de Herusalem i tipide a lalaki a naketingges a inumapo de kadepit a petangaan ni adow. 
MAT.2.2	Ta nagtulutanto duman, “Deno pinanganak eya a hari ni manga Hudyo ide ta nakitan mi i butatala de petangaan ni adow a tande de pagdetong na dio de putok i kanya dinumio kami tangani podiin mi eya.” 
MAT.2.3	Nun nabereta inon ni Hari a Herod ay nagulo i esip na pati kakmukan de benwaan a Herusalem. 
MAT.2.4	Kanya tinipun na i pesan a ponu ni maghahandug ide pati magtutodu ide ni Hudyo ta tinanto na ide, “Ti deno man pánganak i Kristo a Pinangako nun Makedepat?” 
MAT.2.5	Ay tinumubeg ide, “De benwaan a Betlehem de sákup ni Hudia ta sinolat ni isin a magsasabi a magioyo,
MAT.2.6	‘Dikamo a manga tage Betlehem de sákup ni Hudia ay sasabi ko a namas pa a halage i benwaan yu de pesan a benwaan a Hudia ta dikamo náapo i isin a pinakaponu a nappa ni mag-aalage de manga agta a Hudyo.’”
MAT.2.6	Inon i sinabi ni magtutodu ide de Hari a Herod.
MAT.2.7	Pagkatapos ay pinakangan ni Herod a linimok i lalaki ide a naketingges ta tinanto na ide a ti kapide tinumanga un butatala a tande. 
MAT.2.8	Ta nun pagkatingges na ay pinakang na ide de Betlehem ta sinabi na, “Kumang kamo ta lawagin yu a masakut un anak ta be kinta yu di ay patinggesin yu deko tangani gepodi ok pala diya.” 
MAT.2.9+MAT.2.10	Nun inikna de i sinabi ni Hari ay tinumotul di ide ta i butatala a tande a kinta de nun duman pa ide de bensa de ay kinta de pan di a liwet. Ay nagkasalig ide a masakut nun kinta de inon a butatala ta inumona inon dide hanggen an tinumipong de petaanan ni anak. 
MAT.2.11	Pagkasilong de nunde beloy ay kinta de i anak pati ina na a Maria. Ta linumuhud ide a nagpodi de anak ta dingan kinayesan de un oniden de ta naghandug ide diya ni ginto pati mebengo a mira pati insensu. 
MAT.2.12	Pagkatapos ninon ay pinagsabian ide de pangnenop a wet ide nesila de Herod pag-ampulang de bensa de kanya tinumotul ide de bukud a bektas.
MAT.2.13	Nano ay nun pagkatotul de ay te isin a anghel nun Panginoon a Makedepat a nagpakita de Hose de pangnenop ta sinabi na diya, “Gumiyos ka di ta addein mo a tambing i maginak de bensa a Ihipto. Ta wet kamo nototul duman hanggen ang ko pesabi ta lalawag ni Herod i anak i tangani bobuno na.” 
MAT.2.14	Kanya ginumiyos di i Hose ta inadde na nun abi pala a inon un maginak de bensa a Ihipto. 
MAT.2.15	Ta duman ide tinumaan hanggen an nagkelibun i Herod. Nangyedi yo tangani pamatoden i sinabi ni Panginoon a Makedepat de padean ni magsasabi na a, “Oolangan ko i anak ko gepo de bensa a Ihipto.”
MAT.2.16	Nano ay nun i Herod ay te edup pa ay nagbulas eya a masakut nun kinatinggesan na a dinaya eya ni lalaki ide a naketingges kanya pinabuno na un mangának a lalaki a am pa sobra de aduwa a taon de Betlehem pati de pulupalebut na a pesan. Ta inon ay nappaayun de pinatingges diya ni naketingges ide tungkul de panahon a pagtanga ngona ni butatala de bensa de. 
MAT.2.17	Ta de maginon aypinamatoden di i sinabi ni magsasabi a Heremias a,
MAT.2.18	“Te duman a busis a gehagulhol a malagdu de lugel a Rama ta getangos i Rakel a an nagkalibeng dehil de mangának na a nalibunin di.”
MAT.2.19	Nano pagkalibun ni Herod ay i isin a anghel nun Panginoon a Makedepat ay nagpakita de pangnenop de Hose de bensa a Ihipto ta sinabi na diya, 
MAT.2.20	“Gumiyos ka ta uliin mo un maginak de sákup ni Hudia ta nalibun di i te belak a nomuno de anak i.” 
MAT.2.21	Dingan ginumiyos eya ta inuli na un maginak de sákup ni Hudia. 
MAT.2.22	Misan nun naberetaan na a i Arkilao i gehari de Hudia a kalewes ni ama na a Herod ay natakut eya a nátaan duman a liwet pati pan pinagsabian eya ni Makedepat de pangnenop kanya kinumang ide de porobinsia a Galilea 
MAT.2.23	a tinumaan de benwaan ni Nasarit. Ta de maginon ay pinamatoden i sinabi ni magsasabi ide a, “Eya ay ngangalanan a tage Nasarit.”
MAT.3.1	Nano ay nun tinumakig di i makmuk a taon ay dinumatong i Huwen a Maglilenod de lugel a ilang de Hudia ta ginumapo a nagbereta a magioyo duman a, 
MAT.3.2	“Magipinagsosol kamo ni mammalotin yu ta nádetong di i panahon a te kapangyedihan i Makedepat de innawa ni agta ide.” 
MAT.3.3	I Huwen un sinabi nun magsasabi a Isais nun sinabi na a magioyo,
MAT.3.3	“Nádetong i geolang de lugel a ilang. Gesabi eya a, ‘Handein yu i bektas para de Panginoon ta tanusin yu i sesilan na.’”
MAT.3.3	Inon i sinolat ni Isais.
MAT.3.4	Nano i bedu ni Huwen ay linala a sapok ni hayup ta i beyakos na pan ay katat ni hayup ta i pepangan na pan ay magi salagubeng pati tagis ni pisokan. 
MAT.3.5	Ta kinumang diya i kamakmokan a tage Herusalem pati tage sákup ni Hudia pati ide a getaan de magduludipa ni Orat a Horden. 
MAT.3.6	Ta pagkapagpamatud de ni mammalotin de ay lininodlinod ide ni Huwen de Orat a Horden.
MAT.3.7	Misan nun kinta na i makmuk a Pariseo ide pati Saduseo a linumane diya tangani magpalinod ide diya ay sinabi na dide, “Malot kamo ngani a magi manga bebek kanya wet yu peesipa a ikamo ay nakeelag de padusahan ni Makedepat dehil de pagsosol yu de surut yu la. 
MAT.3.8	Ta nagkaddepat pan a i pagsosol yu de surut yu ay gekaanak ngona ni piyon a ugeli. 
MAT.3.9	Pati wet kamo gesabi a ikamo ay nalligtas dehil de ikamo ay mangápo a sagu ni Abraham ta pesabi ko dikamo a te kaya i Makedepat a nameedup de beto ide a oyo a nappa ni matud a mangápo ni Abraham. 
MAT.3.10	Nano pa ay i paghatol ni Makedepat ay magi palakol a napahaya di de gemut ni kew ta i belang kew a an geanak ni piyon ay popugtus ta wewitik de apoy.” Inon i sinabi na de Pariseo ide pati Saduseo ide.
MAT.3.11	Ta sinabi na pa de pesan a, “Pelinod ko di ikamo de orat a tande de pagsosol yu. Misan ay te nádetong pa a nappaabut deko a namas pa a te kapangyedihan deko ta anok te sukul a kapangyedihan a nángadde ni paragetus na ta eya pan i nanlelinod dikamo de Ispiritu nun Makedepat pati de apoy. 
MAT.3.12	Ta pagdetong na ay te pansidi dingan lalayu na i tap de biges ta tetipun na de kamalig i biges misan ay i tap pan ay sosunug na de apoy a an nagkapalong.” Inon i sinabi ni Huwen.
MAT.3.13	Nun nanon a panahon ay dinumatong i Hisus a inumapo de sákup ni Galilea ta linumane eya de Huwen tangani linodin na de Orat a Horden. 
MAT.3.14	Misan i Huwen ay an na buot i maginon ta sinabi na, “Ako i depat a linodin yu. Ano ta ikamo i dinumio a gepalinod deko?” 
MAT.3.15	Tinumubeg i Hisus, “Pabiyaan mo di i oyo a nangyeyedi ta depat la a tumalinga kitam de misan ano a kabuotan nun Makedepat.” Kanya tinumalinga di i Huwen. 
MAT.3.16	Ay nun lininod di i Hisus ay sinumaka eya a tambing de mamala ta tambing a nakayesán i langot ta kinta ni Huwen a linumusong de Hisus i Ispiritu nun Makedepat a magi kalapati. 
MAT.3.17	Ta dingan te nagsurut a inumapo de langot a magioyo, “I oyo i pebuot ko a anak ta dehil diya ay nagkasalig ok a masakut.”
MAT.4.1	Pagkatapos di ninon ay inikag ni Ispiritu i Hisus de lugel a ilang tangani sosubukan ni Satanas a petukso. 
MAT.4.2	Nun duman di eya ay an namangan ni misan ano nun apat a puwu a adow ay dingan natigeng di eya a masakut. 
MAT.4.3	Ta dinumatong i Satanas a sinabi na diya, “Be ikamo i matud a Anak nun Makedepat ay yediin yu a tinapay i beto ide a oyo.” 
MAT.4.4	Misan tinubeg eya ni Hisus ni magioyo, “Ay te duman de kasulatan a,
MAT.4.4	‘An la dehil de pápangan nagkeedup i agta ta de belang surut a geapo de Makedepat.’”
MAT.4.5	Ay dingan inikag eya ni Satanas de Herusalem de tibing ni palokoan ni beloy a pighandogen de Makedepat. 
MAT.4.6	Ta sinabi pa diya ni Satanas, “Be matud kamo a Anak nun Makedepat ay tumagbong kamo gepo dio ta te duman de kasulatan a,
MAT.4.6	‘Pinagtutugun ni Makedepat de manga anghel na ide tangani aalagean de ikamo. Ta bobolan kamo ni kumot de tangani wet kamo nassingkog de kabetoan.’”
MAT.4.7	Misan ay sinabi diya ni Hisus, “Matud ngan non misan ay te duman pala de kasulatan a,
MAT.4.7	‘Wet mo sosubukan i Panginoon mo a Makedepat.’”
MAT.4.8	Pagkatapos ninon ay inikag ni Satanas i Hisus de maditas a masakut a kalasan ta pinasayed na diya i pesan a nasasakopan dio de putok i pati kayamanan dio. 
MAT.4.9	Ta sinabi diya ni Satanas, “Talage a boboy ko i kapangyedihan ni pesan a oyo dikamo be noluhud kamo a gepodi deko.” 
MAT.4.10	Dingan tinubeg ni Hisus, “Lumayu ka deko Satanas ta te duman de kasulaton a,
MAT.4.10	‘Magpodi ka la de Panginoon mo a Makedepat ta diya ka la magtabeng.’”
MAT.4.11	Ta dingan winalat eya ni Satanas ta dinumatong pan di i manga anghel ide a tinumabeng diya.
MAT.4.12	Nano ay nun nabereta ni Hisus a nabbilanggo di i Huwen ay inumampulang eya de Galilea. 
MAT.4.13	Misan an di eya nappataan de Nasarit ta de Kapernam a benwaan de kaginglan ni uluataben a Galilea de lugel ni Sabulan pati Neptali. 
MAT.4.14	Ta de maginon ay pinamatoden i sinabi ni magsasabi a Isais a,
MAT.4.15	“Gesurut ok dikamo a getaan de dipa ni Horden de lugel a Galilea a te makmuk a an Hudyo a ikamo a tage lugel a Sabulan pati Neptali a kadepit de uluataben. 
MAT.4.16	Gesurut ok dikamo a an te katinggesan tungkul de Makedepat ta magi madumos i esip yu a nagkatakut a ugnay de kalebunin yu misan ay nekita kamo ni kamatoden a tallang ta pepatallang di i esip yu ni Panginoon.”
MAT.4.16	Inon i sinabi ni Isais. 
MAT.4.17	Gepo nun nanon ay nagsabi i Hisus ni piyon a bereta ta sinabi na, “Magipinagsosol kamo de mammalotin yu ta nádetong di i panahon a te kapangyedihan i Makedepat de innawa ni agta ide.” Inon i sinabi ni Hisus.
MAT.4.18	Nano ay nun getotul i Hisus de kaginglan ni uluataben a Galilea ay kinta na un aduwa a magwele a i Simon a pengalanan a Pedro pati Andres a weli na ta gesabud ide. Ta ide ay mag-iekan. 
MAT.4.19	Sinabi dide ni Hisus, “Sumut kamo deko ta ikamo ay yeyedi ko a mag-aakit ni agta tangani nosut pala ide deko a tuloy.” 
MAT.4.20	Ta nun nanon pala ay winalat de un sabud de a sinumut ide de Hisus.
MAT.4.21	Pagkalayu de ni untik ay kinta na pala i magwele a Santiago pati Huwen a mangának ni Sebedeo. Ta ide pati ama de ay gepakapiya ni pokut de nunde bengka de. Ide ay inikag pala ni Hisus 
MAT.4.22	kanya tambing de a winalat i bengka de pati ama de ta sinumut ide de Hisus.
MAT.4.23	Nano ay kinumulukang i Hisus de bulubenwaan de sákup ni Galilea a nagtodu eya de pigmitengan ide ni Hudyo ide. Ta nagsabi eya ni piyon a bereta a ti papalano a te kapangyedihan i Makedepat de innawa ni agta pati nagpapiyon pala eya ni agta ide misan ano a orom de. 
MAT.4.24	Ta kinumálat i bereta a tungkul diya de pesan a lugel de sákup ni Siria kanya inadde de diya i manga agta a te attanan a kalase a orom pati apdis, i te manga libong ide, i nagkopugtusan ide pati lungpo ide ta pinapiyon na ide a pesan. 
MAT.4.25	Ta inumabut diya i makmuk a agta a tage lugel ni Galilea, Dikapolis, Hudia, benwaan a Herusalem pati lugel de dipa a Orat a Horden.
MAT.5.1	Nun kinta ni Hisus i agta a makmuk ay sinumakat eya de kalasan ta pagkalipa na duman ay linumane diya i mag-aadel na ide. 
MAT.5.2	Ta ginumapo eya a getodu dide ta sinabi na,
MAT.5.3	“Piyon i kapuoyen ni agta a te pag-asa la de Makedepat ta te kapangyedihan dide i Makedepat a nanleligtas.
MAT.5.4	“Piyon i kapuoyen ni nagkolungkut a getangos ta te duman ide ngani a kasalegen.
MAT.5.5	“Piyon i kapuoyen ni te masidong a innawa ta tatanggep de i pinangako nun Makedepat.
MAT.5.6	“Piyon i kapuoyen ni te hanga a pagbuot a geyedi ni kabuotan ni Makedepat ta ide ay pakebiyag ni kapiyonan na.
MAT.5.7	“Piyon i kapuoyen ni te piyon a innawa de kapadpade de a agta ta i Makedepat ngani i gekalbi dide pala.
MAT.5.8	“Piyon i kapuoyen ni te buot a gepakikaisin diya ta kekita de ngani i Makedepat.
MAT.5.9	“Piyon i kapuoyen ni gepapiyon de agta a gekipagtalo ta nappa ni anak ni Makedepat.
MAT.5.10	“Piyon i kapuoyen ni te kahedepan dehil de pagpamatud de tungkul de Makedepat ta te kapangyedihan di i Makedepat dide a nanleligtas.
MAT.5.11	“Piyon i kapuoyen yu be ikamo ay pelibek, pepahedepan o pesabian ni mammalotin a kabutelan dehil de pagpanulusun yu deko. 
MAT.5.12	Masalig kamo ngani a masakut ta hanga ngani a masakut i bilos yu de kataanan nun Makedepat. Ta maginon pala i yinadi a malot ni kaapoapohan de de magsasabi ide a den.
MAT.5.13	“Ikamo i asin dio de putok i ta te halage ngani dio a magi asin i pagpanulusun yu de Makedepat misan be nappa ni mahena i pagpanulusun yu a magi asin a naeyenan i alat na ay talage a an di te kabuluhan. Talage ay an di te kabuluhan a unabis ta bobut la ni agta ide a pesikadsikaden de.
MAT.5.14	“Ikamo i salong a getallang de madumos a esip ni kaagtaan dio de putok i ta ikamo ay pekita ni kaagtaan a magi isin a benwaan a nappauddi de disapow ni pagotan. 
MAT.5.15	Talage a be te duman a getutud ni salong ay an na sasakloben ni takálan ta popuoy na pan de talage a pigpuoyen na ta de maginon ay nátallangan i pesan a de disalad ni beloy. 
MAT.5.16	De maginon pala ay depat a ikamo ay te piyon a ugeli de kaagtaan a magi salong a getallang de pekita de tangani pagkakita de de piyon a ugeli yu ay gepodi ide nunde Ama yu de langot.
MAT.5.17	“Nano ay wet yu eesipa a dinumio ok a peeyenan ko ni kabuluhan i pagdodul ide pati pagsabi ni magsasabi ide a den ta an non matud ta dinumio ok tangani pepamatoden ko i kapangyedihan ni kasulatan nun Makedepat. 
MAT.5.18	Talage a matud aypesabi ko dikamo a neeyen di i langot pati putok misan ay an neeyenan i misan isin a tolduk o guhit de surut na hanggen an gepangyedi pala i pesan. 
MAT.5.19	Kanya i misan ino a an getalinga de misan untik a pagdodul nun Makedepat, a getodu pala de manga agta ay nappa ni an pinakamahalage ide de pekita ni Makedepat. Misan i getalinga pan de misan untik a pagdodul, a getodu pala de manga agta ay nappa ni pinakamahalage de pekita na. 
MAT.5.20	Ta pesabi ko ngani dikamo be i pagtalinga yu de kabuotan ni Makedepat ay an namas pa de pagtalinga ni Pariseo ide pati magtutodu ide ni Hudyo ay ang kamo ngani nakesilong de kataanan ni Makedepat.
MAT.5.21	“Katinggesan yu i pagtodu ni kaapoapohan tam ide nun nowon a wet kamo nomuno ta i misan ino a nomuno ay depat a hahatolan ni huwis. 
MAT.5.22	Misan ay nano ay pesabi ko dikamo a i belang nagkagensa de kabinsa na ay te sukul a kasalanan a depat a eikag de huwis. Ta i misan ino a miglibek de kabinsa na ay depat a eikag de pinakamatande ide pati i misan ino a nagpaeyen ni kabuluhan ni kábinsa na ay te kasalanan a sukul a podusahan de impiyerno. 
MAT.5.23	Kanya be gehandug ka de Makedepat de pighandogen na dingan naisepan mo pan a te tinanom a gengsa i kabinsa mo dikaw, 
MAT.5.24	ay walatin mo ngona i handug mo duman de pighandogen ta kumang ka de kabinsa mo a makipagkasungdu ka diya. Ta dingan la umampulang ka a maghandug de Makedepat.
MAT.5.25	“Nano be te gehabla dikaw de huwis ay depat ngona duman de bektas a makipagkasungdu ka a tambing de gehabla dikaw tangani wet na ikaw eikag de huwis ta boboy ka pan ni huwis de pulis dingan bebilanggo ka pan ni pulis. 
MAT.5.26	Talage ay pesabi ko dikaw a ang ka nakobulwag hanggen am mo nabebeyeden i kauluinapóan mo a otang a pera.
MAT.5.27	“Nano ay katinggesan yu pan i pagtodu ni kaapoapohan tam ide nun nowon a, ‘Wet kamo nekialam de bebi ni kakmukan.’ 
MAT.5.28	Misan nano ay pesabi ko dikamo a i misan ino a gepakalawag de bebi ni kakmukan a te malot de innawa na ay de pekita ni Makedepat ay nakialam di eya de bebi ni kakmukan. 
MAT.5.29	Kanya be i mata mo i gepapagkasala dikaw ay depat a lugitin mo a butin mo di ta yadi pa dikaw a mabut i isin a panggemit ni lawes mo tangani i lawes mo ay wet nappaduman de impiyerno. 
MAT.5.30	Pati be i kumot mo a awenan i gepapagkasala dikaw ay depat a pugtusin mo a butin mo di ta yadi pa dikaw a mabut i isin a panggemit ni lawes mo tangani i lawes mo ay wet nappaduman de impiyerno.
MAT.5.31	“I pagtodu ni kaapoapohan tam ide nun nowon ay magioyo a, ‘Be kekiblagen ni lalaki i bebi na ay depat a bebiyen na ni kasulatan i mahuna a ide ay nagkiblag di.’ 
MAT.5.32	Misan nano ay pesabi ko dikamo a be kekiblagen ni lalaki i bebi na a am pan te kasulit a kakmukan a lalaki ay gepapagkasala ngani i lalaki de kiniblagen na. Ta be magbebi a liwet i mahuna ay nappa ni migpakialam eya pati bebi na a bowon.
MAT.5.33	“Pati katinggesan yu pala i pagtodu ni kaapoapohan tam ide nun nowon a, ‘Wet kamo gesumpa ni kabutelan ta matudin yu i pinangako yu de Panginoon a Makedepat.’ 
MAT.5.34+MAT.5.35	Misan nano ay pesabi ko dikamo a wet kamo gesumpa a magi langot o i putok o i Herusalem i gepamatud de surut yu ta i langot i piglipaan ni Makedepat, ta i putok pan i pigsikaden ni singit na ta i Herusalem ay i benwaan ni Makapangyedihan a Hari. 
MAT.5.36	Pati wet kamo gesumpa a magi ulo yu i gepamatud de surut yu ta ang kamo te kaya a geyedi ni sapok de ulo yu a malatom o malapsay. 
MAT.5.37	Kanya sukul di i sasabi yu a, ‘Ay-o’ o ‘Eyen’ ta i kadugeng de inon a surut ay inumapo de Satanas.
MAT.5.38	“Katinggesan yu pala i pagtodu a den a, ‘Be sinede yu i mata pati ngipon ni kakmukan ay depat pala a sesede de i mata pati ngipon yu.’ 
MAT.5.39	Misan nano ay pesabi ko dikamo a wet yu bebilosan i geyedi ni malot dikamo ta be petampal na i awenan yu a pasingil ay pakadepit yu un dibelew. 
MAT.5.40	Pati be hinabla kamo ni misan ino tangani maamit na i bedu yu ay boyin yu pati kulapyaw yu. 
MAT.5.41	Pati pan be pepelit a paadde dikaw ni te kapangyedihan i adde na de isin a kilometro ay adden yu pan ni aduwa. 
MAT.5.42	Biyen yu i belang geaged dikamo ta paidemin yu i belang geidem dikamo.
MAT.5.43	“Katinggesan yu pan i pagtodu a den a, ‘Buotin yu i mangáyun yu ta kagengsaan yu i kapagebuk yu ide.’ 
MAT.5.44	Misan nano pan ay pesabi ko dikamo a buotin yu i kapagebuk yu ide ta magpanalangin kamo pan nunde gepahedep dikamo. 
MAT.5.45	Ta de maginon ay pepamatoden yu a ikamo ay matud a anak ni Ama yu de langot. Ta eya pan ay an te pepeta ta pepatipá na un adow na de mammalotin a agta pati de pippiyonin ta eya i gekalbi de pesan, a geboy pala ni tapuk de geyedi ni piyon pati de geyedi ni malot. 
MAT.5.46	Nano be ikamo ay gebuot la de belang gebuot dikamo ay talage a ang kamo pagkasalegen ni Makedepat ta misan i makikkakasalanan ide ay gebuot pala de belang gebuot dide. 
MAT.5.47	Pati be i pebeti yu la ay i manga kabinsa yu ay ang kamo te pagyedi a namas pa a masampat de kakmukan ta misan i gepodi de makedepat ide a an matud ay peyedi de pala i maginon. 
MAT.5.48	Kanya ikamo ay depat a kalbian yu i agta a magi pagkalbi dide ni Ama yu de langot.
MAT.6.1	“Nano ay mag-engat kamo a wet te piyon la a ugeli de pekita ni agta tangani podiin de ikamo. Ta be maginon i yeyedi yu ay ang kamo bebilosan ni Ama yu de langot.
MAT.6.2	“Kanya be geboy kamo ni tabeng yu a kuwarta de te kaelangan ide ay wet yud beretaa de pesan i yinadi yu a magi ide de pigmitengan ide pati de kulukarsade ide, a geboy la ni tabeng tangani podiin ide ni kaagtaan. Ta talage a tinanggep di ni geboy de pekita ni agta i bilos de a pagpodi ni kaagtaan. 
MAT.6.3	Misan be ikamo ay geboy ni tabeng a kuwarta de agta ay wet yu patinggesa misan de ayun yu a masakut, 
MAT.6.4	ta taguin yu i pagboy yu ni tabeng. Ta i Ama yu a Makedepat a gekita ni pagyedi yu a nattagu ay bebilosan na ngani ikamo.
MAT.6.5	“Pati be ikamo ay gepanalangin ay wet kamo tumolad de agta ide a geyedi la ni piyon tangani podiin ide ta buot de a masakut a nanalangin a nappauddi de pigmitengan ide pati de kulukarsade ide tangani pekita la ide ni kaagtaan. Pesabi ko ngan dikamo a tinanggep de di i bilos de. 
MAT.6.6	Misan ikamo be gepanalangin kamo ay sumilong kamo de disalad ni pig-idean yu ta abetan yu i pintohan ta dingan manalangin kamo de Ama yu a an pekita ni kaagtaan. Ta eya a gekita ni pagyedi yu a nattagu ay bebilosan na ngani ikamo.
MAT.6.7	“Pati de pagpanalangin yu ay wet yu gemita i makmuk a surut a magi peyedi ni agta a gepodi de makedepat ide a an matud ta peesip de a pepatalikngan ide ni makedepat de dehil de makmuk a surut de a an te kabuluhan. 
MAT.6.8	Wet kamo tumolad dide ta katinggesan di ni Ama yu i kaelangan yu dingan kamo ngona nanalangin diya. 
MAT.6.9	Ta magioyo i pagpanalangin yu,
MAT.6.9	‘Ama de langot a pepodian mi, buot mi tebe a magpodi dikamo i pesan a kaagtaan, 
MAT.6.10	a gekaduman pala i innawa de ni kapan-yedihan yu, a yeyedi de pan i kabuotan yu dio de putok i a magi peyedi ni katabeng yu de langot. 
MAT.6.11	Biyen yu ikami ni sukul a pápangan mi, adow adow. 
MAT.6.12	Pati pakeeyenan yu ikami ni mammalotin mi a magi pagpatáwad mi pala de nagkasala dikami. 
MAT.6.13	Ta wet yu ikami pabiyaan de pagsubuk a mahigpetin pati palayuin yu dikami i Satanas. Ta ikamo i te kapangyedihan, tibong pati gepakaingap magpakapide pa man. Iwina i matud.’
MAT.6.14	Nano be pepatáwad yu i nagkasala dikamo ay patáwad pala ni Ama yu i mammalotin yu. 
MAT.6.15	Misan ay be an yu pepatáwad i nagkasala dikamo ay am pala patáwad ni Ama yu de langot i mammalotin yu.
MAT.6.16	“Nano pan be gepanalangin kamo a an gepangan ni untik a panahon ay wet nappa ni malungkut i ropa ni mukha yu a magi ide a geyedi ni maginon tangani podiin la ide ni agta. Ta de patulutotul de ay pepamalot de i mukha de tangani aabuyenan ide a an gepangan ni untik a panahon. Talage ay pesabi ko dikamo a tinanggep de di i bilos de a i pagpodi ni kaagtaan. 
MAT.6.17	Misan pan ay ikamo be gepanalangin a an gepangan ni untik a panahon ay magsuklay kamo ni sapok yu pati mag-uges kamo ni mukha yu 
MAT.6.18	tangani wet aabuyenan ni manga agta a ikamo ay an gepangan ni untik a panahon. Ta i Ama yu de langot a an pekita ni agta i gepakaabuya ni oyo ta eya a gekita ni pagyedi yu a nattagu ay bebilosan na ngani ikamo.
MAT.6.19	“Wet kamo magtipun ni kayamanan dio de putok i ta te nansesede dio a hayup pati kalawang pati migpannakow a geamit de inon ide. 
MAT.6.20	Ta piyon pa a tipunin yu i kayamanan yu de kataanan ni Makedepat a i piyon a pagyedi yu. Ta duman ay an te nansesede a hayup, kalawang, pati migpannakow a geamit de inon ide. 
