MAT.1.1	Ŋuur-aŋ siŋ ku tamba ta Iisa Masi, roŋ ka Dawuud kaak roŋ ka Ibraayim. 
MAT.2.16	Min Herood ibintu kadar gay ibine kaalnal caaciyga-ak, ŋa dapin̰tu aale. Paa ko, ŋa kaawiico ɗo askirnay a ŋu ɓaa ɗo hellin ta Beteleyem yoo hellinnan kuuk moota, ŋuu deen̰ koogin kuuk miday kuuk elginco bal nece seera. Elgin-ak, Herood girsico min menaw kuuk gay ibine kaalnal kaawiiji. 
MAT.2.17	Ansii ko, kaaw taat nabi Zeremi kaawtu awalle ɗo Kitamner astu ɗo werti aman :
MAT.2.18	« Ŋu dora koriya ɗo geeger ka Raama,
MAT.2.18	ale dakina ho iŋ morke oki.
MAT.2.18	Ta Raseel kat ala kooginti.
MAT.2.18	Ta rakaaɗo a ŋuu dooɗinti
MAT.2.19	Wiktin taat Herood mattu, Yuusup gay goy misa Meser. Hiyya, ɗubil ka Rabbin Buŋ bayniiji ɗo sooniikar 
MAT.2.20	ho ŋa kaawiiji aman : « Ucu ! Icig mico iŋ yaaco ho yeepoŋ ɗo kiɗ ka Israyeel, asaan ŋuur kuuk raka deen̰ mic-ak mat ko. » 
MAT.2.21	Ɗo wer-ak, Yuusup uctu, ŋa iciig mico iŋ yaaco ho ŋu yeeptu Israyeel. 
MAT.2.22	Kar ŋa dortu kadar Arkelawuus roŋji ka Herood icit Meennaw ta tacco ɗo kiɗ ka Zuude. Ɗo wer-ak, kolaw obiiga ho ŋa rakaaɗo goye ɗo kiɗ ka Zuude-aka. Kar *ɗubil ka Buŋdi miniig pey ɗo sooniikar. Paa ko, ŋa ɗeettu ɗo kiɗ ka Galile. 
MAT.2.23	Ŋa ɓaawtu goye ɗo hellin rakki ŋu kolaat Nazareet. Ta kuuniytu ampa-ak, asaan kaaw taat nabiinna kaawtu awalle as ɗo werti aman : « Ŋu asa kolin̰ a ŋa Nazareyen̰ce. »
MAT.3.1	Ɗo wiktin taar-at, Yaaya-Batist astu ɗo kalaan ka Zuude ho ŋa teestu gaare kaaw ta Buŋdi aman : 
MAT.3.2	« Ibinoŋ nigiŋko, rasoŋ goye kaak awalle asaan *Meennaw ta Buŋdi askoŋ ko moota ! » 
MAT.3.3	Ŋaar ko Yaaya kaak nabi Ezaayi kaawtu biy awalle aman :
MAT.3.3	« Gaaƴ toŋgo kaawa ɗo kalaaner aman :
MAT.3.3	‟ Siyon botol ta Rabbiner.
MAT.3.3	Siyon̰jiig botilay-ak ɗalaŋ. ” »
MAT.3.4	Kesuuney ta Yaaya, ŋu siyit iŋ law ku lokumi ho ŋa ɗuunit maasoy iŋ karrabin̰ ka zaami. Teen̰ji gay, ŋa eeyma bagi iŋ ƴiime. 
MAT.3.5	Gee dakina asiiji min Zeruzaleem, min kiɗ ka Zuude okin̰ji ho min kiɗin kuuk moota iŋ barre kaak ŋu koliy Zurdan. 
MAT.3.6	Min ŋu asiiji, ŋu gaariig zunuubinnico ɗo uŋco ka geemir ho Yaaya *batiziyiig ɗo barre ka Zurdan-aka.
MAT.3.7	Min Yaaya taltu kadar gee kuuk ŋu koliy *Pariziyenna iŋ *Sadusiyenna asiiji dakina a ŋaa batiziyin̰co, ŋa kaawiico aman : « Taloŋ ja, kuŋ gee kuuk ar aalin-aŋku ! Ku pakira a kuu pake min dapin̰ko ta Buŋdi taat asaw walla ? Ku gasit kaaw-an min momo ? 
MAT.3.8	Hadi, ginoŋ gamin ku samaane kuuk gaara a ku rasig goyiŋko kaak awalle. 
MAT.3.9	Dakoŋ osenno ɗo aditko aman : ‟ Gi koogin ku tatte Ibraayim ko, ” asaan ka seener, Buŋ nec soke min ɗo dambay-aŋ di ŋaa raɓilin̰ roŋ ku Ibraayim. 
MAT.3.10	Diŋ gay jekin, ŋaar goy ko ka doliye atiydi min ɗo caarco. Ay et kaak waaɗo roŋ kuuk samaane, ŋuu doliyin̰ji ho ŋuu accin̰ ɗo aki. 
MAT.3.11	Nun batiziyaako iŋ amay. Pa-ak gaara kadar ku rasig goyiŋko kaak awalle. Kar gay, gin gem kaak pakginu kat asaw. Nun sa da necɗo kaak naa sorin̰ n̰ugiray. Gem ŋaar-ak yaako batiziyiŋko iŋ Ruwwin ta Buŋdi ho iŋ ako. 
MAT.3.12	Ŋa ob garta ɗo pisin̰ji, ŋaa ƴiile *geme ka putiri ho ŋaa leen̰ ɗo urdey. Kar bun̰ gay, ŋaa orin ɗo ak taat matɗo tak-tak. »
MAT.3.13	Min ŋaar-ak, Iisa uctu min kiɗ ka Galile. Ŋa dakiig gas Yaaya ɗo barre ka Zurdan a ŋaa *batiziyin̰ji. 
MAT.3.14	Kar ŋaar gay zer raka pooce. Ŋa ɗiyiiji ɗo Iisa aman : « Kiŋke kat yaan batiziyindu ga, ki kaawiy a nun kat yaan̰ batiziye ! » 
MAT.3.15	Iisa gay telkiiji aman : « Paaɗo, diŋ ginteŋ maanna-aŋ ampaa di, asaan gii necin taat Buŋ rakiyo. » Hiyya, Yaaya ooytu, ŋa batiziyiig Iisa. 
MAT.3.16	Min ŋa batiziyga, Iisa amiltu min ɗo amiydi ho ta bite-aŋ di, samaan piltu waakilak. Kar ŋa taliit Ruwwin ta Buŋdi paayiiji ar ammaama ho ta goyiiji. 
MAT.3.17	Kar ŋa dora gaaƴ kaawa min kuwa ka samaaner aman : « Ŋaar-aŋ Roŋdu, nu elgig dakina ho adir miin iŋ galal ɗo bi kan̰ji. »
MAT.4.1	Min ŋaar-ak, Ruwwin ta Buŋdi n̰aamiig Iisa ɗo goosiner a *Seetanne yaa gecin̰ji. 
MAT.4.2	Ɗo wer-ak, menaw orok pooɗ, ƴiriyo aando, ŋa bal okume yoo maanna. Min menaw-ak gaastu, mey diyaaga. 
MAT.4.3	Seetanne, gay gecindi, sin̰jiiji moota ɗo Iisa ho ŋa kaawiiji aman : « Ya kiŋ kat Roŋ ka Buŋdi-ak, kaawco ɗo dambay-aŋ a ŋuu raɓile tee. » 
MAT.4.4	Iisa gay telkiiji aman : « Ŋu siir ɗo Kitamner aman : ‟ Gem ke goyaaɗo ɗo bi ka teendi di, illa gay iŋ ay kaaw taat amila min ɗo Buŋdi oki. ”
MAT.4.5	Min ŋaar-ak, Seetanne iyiig Iisa Zeruzaleem, geeger kaak Buŋ doɓtu. Ŋa diyiig kuwa ɗo kaay ka *ger ka Buŋdi 
MAT.4.6	ho ŋa kaawiiji aman : « Ya kiŋ kat Roŋ ka Buŋdi-ak, beer keɗer, asaan ŋu siir ɗo Kitamner aman :
MAT.4.6	‟ Buŋ yaaco kaawe ɗo ɗubilji ɗo bi kan̰ji.
MAT.4.6	Ɗubal-ak yaan̰ acume
MAT.4.6	Paa kat, asin̰ji ɗooyiyɗo iŋ dambay. ”
MAT.4.7	Iisa gay telkiiji aman : « Ŋu siir ɗo Kitamner aman : ‟ Ki gecaagɗo *Rabbin Buŋjiŋ. ”
MAT.4.8	Kar Seetanne iyiig pey ɗo kaat ka damba taat bolok. Ŋa gaariijig kiɗin ku sultinniidi okin̰co kuuk ɗo duniiner iŋ samaanuwco. 
MAT.4.9	Ŋa kaawiiji aman : « As kii derse uŋtu kiin abdiyindu, kar naan̰ berin̰ gamin-aŋ okin̰co. » 
MAT.4.10	Kar Iisa gay telkiiji aman : « Yalla ɓaa annere Seetanne ! Ŋu siir ɗo Kitamner aman : ‟ Kii abdiye Rabbin Buŋjiŋ keeji di ho ŋaar di kii derse uŋci. ”
MAT.4.11	Min ŋaar-ak, Seetanne rasiiga, kar *ɗubal ku Buŋdi asiiji ho ŋu taltu kaaci.
MAT.4.12	Ɗo wiktin taar-at, ŋu obig Yaaya daŋaayne. Min Iisa dortu pa-ak, ŋa ɗeettu ɗo kiɗ ka Galile, ŋaa teese riyoy. 
MAT.4.13	Kar gay, ŋa bal goye ɗo geeger ka Nazareet, ŋa da goy ɗo geeger ka Kapernayuum. Geeger ŋaar-ak goy ɗo bi ka barrer ka Galile, ɗo kiɗ ka Zabiloon iŋ ka Neptali. 
MAT.4.14	Ta kuuniytu ampa-ak, asaan kaaw taat nabi Ezaayi kaawtu awalle as ɗo werti aman :
MAT.4.15	« Kiŋ kiɗ ka Zabiloon iŋ ka Neptali,
MAT.4.15	Kiŋ kaak aaniy iŋ barre,
MAT.4.15	Kiŋ goy aar barre ka Zurdan,
MAT.4.15	Galile, kiŋ kiɗ kaak Yuudinnaɗo oki goyiyo !
MAT.4.16	Ŋuur kuuk goy ɗo gondikor
MAT.4.16	yaa tale portikaw dakin aale.
MAT.4.16	Ŋuur kuuk goy ɗo kiɗ ka kellam ku muuti,
MAT.4.16	portikaw asaaco bayne. »
MAT.4.17	Min wiktin taar-at di, Iisa teestu gaare kaaw ta Buŋdi aman : « Ibinoŋ nigiŋko, rasoŋ goye kaak awalle, asaan *Meennaw ta Buŋdi askoŋ ko moota ! »
MAT.4.18	Ƴiriy rakki Iisa jaawa ɗo bi ka barre ka Galile. Ŋa gastu siŋta seer, gay cabe boosir : Simon kaak ŋu koliy oki Piyer iŋ siŋji Andre. Ŋu caba boosi wiktin taat ŋa gasiigu. 
MAT.4.19	Iisa ɗiyiico aman : « Asoŋ aaɗonnu ho naako giniŋko gay cabe geemir. » 
MAT.4.20	Koɗok di, ŋu rasiig ribbinco ho ŋu aaɗiiga. 
MAT.4.21	Iisa sin̰jitu pey uŋda sooɗ ho ŋa gastu siŋta seer ku pey, ŋuur kun̰ Zaak iŋ siŋji Yaaya, roŋji ku Zebede. Ŋu goy siya ribbinco iŋ tacco ka markabar. Min Iisa gasiigu, ŋa koliigu 
MAT.4.22	ho koɗok di, ŋu rasiig markabco iŋ tacco ho ŋu aaɗiiga.
MAT.4.23	Iisa jaawiig kiɗ ka Galile okin̰ji. Ŋa ɓildiy gee ɗo geray ku salaaner ku *Yuudinnar, ŋa gaariy Kabarre ta Gala ta Meennaw ta Buŋdi ho ŋa cooliig gee kuuk gin ay raɗuwa ho ay gem kaak ziy galjiɗo. 
MAT.4.24	Ɗo wer-ak, Iisa, siŋji altu ɗo kiɗ ka Siri okin̰ji ho ŋu iyiijig gee kuuk raɗuwco keetiti keetiti : kuuk aariɗ obgu, kuuk gin punpun ho kuuk ruŋgiye. Okin̰co, ŋa cooliigu. 
MAT.4.25	Gee dakina astu min Galile, min darre ta Geegirnay ku Orok, min Zeruzaleem, min kiɗ ka Zuude ho min kiɗ kaak aar barrer ka Zurdan. Okin̰co, ŋu aaɗiig Iisa.
MAT.5.1	Min Iisa taltu dakinaw ta geemir-ak, ŋa coktu ka dambar ho ŋa goytu. Maajirnay asiiji moota ho 
MAT.5.2	ŋa teestu garkiyin̰co.
MAT.5.3	Ɗo garaaney-at, ŋa kaawa aman :
MAT.5.3	« Galal ɗo ŋuur kuuk ibina kadar gelbinco aaƴe ɗo uŋji ka Buŋdi,
MAT.5.3	asaan *Meennaw ta Buŋdi taar loco.
MAT.5.4	Galal ɗo ŋuur kuuk alaw,
MAT.5.4	asaan Buŋ asa dooɗin̰co.
MAT.5.5	Galal ɗo ŋuur kuuk dalullay,
MAT.5.5	asaan Buŋ asaaco rasin̰ kiɗ loco.
MAT.5.6	Galal ɗo ŋuur kuuk bariya goye kaak Buŋ rakiyo
MAT.5.6	ar gem kaak mey diyaaga bariya tee ho see,
MAT.5.6	asaan Buŋ asaaco berin̰ maan kaak ŋu bariyiyo.
MAT.5.7	Galal ɗo ŋuur kuuk tala amindaw ta een̰co,
MAT.5.7	asaan Buŋ asa tale aminduwco.
MAT.5.8	Galal ɗo ŋuur kuuk gelbinco *cawar,
MAT.5.8	asaan ŋu asa talin̰ Buŋ.
MAT.5.9	Galal ɗo ŋuur kuuk amra gee ɗo werinco,
MAT.5.9	asaan Buŋ asa kolin̰ a ŋu kooginay.
MAT.5.10	Galal ɗo ŋuur kuuk ŋu taaɓiyaagu ɗo goyin̰co kaak Buŋ rakiyo,
MAT.5.10	asaan *Meennaw ta Buŋdi, taar loco.
MAT.5.11	Galal loko ya gee waraako, ya ŋu taaɓiyaako ho ya ŋu diyaako kaawin maalan di, asaan ku aamin lotu. 
MAT.5.12	Aaciyoŋ ho goyoŋ ɗo galal asaan haginko taat Buŋ yaako bere ka samaaner-at, taar dakina. Ansi-ak, ku kuuniy ar nabiinna kuuk awalle. Ŋuur oki, ŋu taaɓiyig ar kuŋko.
MAT.5.13	« Ŋa kuŋkoŋ kat ar maral ku duniiner. Ya maral-ak kat cille, gii ginin̰ pey maman ŋuu aawe ? Illa ŋuu orin̰ kara, gee yaaco jaawe.
MAT.5.14	« Ŋa kuŋkoŋ kat ar portikaw ta duniiner. Geeger kaak ŋu pinig kuwa ka dambar, ŋaar cigallo. 
MAT.5.15	Ginno oki gem kaak biƴ lampa ho ŋa zuɓkiit iŋ bardila. Kar gay, ya gem biƴ lampa-ak, ŋa diyiit ɗo wer ka jaɗaŋ. Paa kat, gee kuuk un̰ja ɗo ger-ak yaa talin portikuwti. 
MAT.5.16	Ansii ko, portikuwko, ta ceeru ɗo uŋco ka geemir a gee yaa tale riy taat samaan ku giniyo ho ŋu ozilin̰ Takko Buŋ ka kuwa ka samaaner.
MAT.5.17	« Dakoŋ pakirenno a nu as deen̰ *gaanuun kaak Muusa siirtu wala kaawin kuuk nabiinna kaawtu. Nu bal ase deen̰co, nu as a gamin-aŋ yaa ase ɗo werco. 
MAT.5.18	Cokiyoŋ, naako kaawe seene, min kiɗa ho samaane bal bire misa, Kaawin kuuk Buŋ kaawtu-aŋku, yoo rakki oki amilaaɗo min ɗo gaanuundi. Ŋuu goye kee nam gamin okin̰co yaa kuuniye. 
MAT.5.19	Paa ko, min gaanuun okin̰ji, ŋaar kaak karmiygigɗo kaak kapak tak-tak ho ŋa jagaag een̰ji ŋuu gine ar ŋaara, ŋa asa gine kapak tak-tak ɗo *Meennaw ta Buŋdi. Kar gay, ŋaar kaak karmiyaaga ho gaaraag ɗo een̰ji ŋuu gine ar ŋaara, ŋa asa gine tatko ɗo Meennaw ta Buŋdi. 
MAT.5.20	Ka seener nu kaawaako, ya kuŋ kat bal gine taat Buŋ rakiyo pakgig agindaw ku gaanuundi iŋ *Pariziyenna, ku un̰jaaɗo ɗo Meennaw ta Buŋdi.
MAT.5.21	« Ku dor ŋu kaawco ɗo aginiyte aman : ‟ Dak deenno gemo. Ay gem kaak dee gemo, ŋuuji ɗukume seriine. ” 
MAT.5.22	Hadi nun gay kaawaako aman : Ay gem kaak dapin̰a iŋ siŋji, nec ŋuu sakkiyin̰ ɗo wer ka gay seriiner. Ay gem kaak wara siŋji a ŋa ibanno maanna, nec ŋuu sakkiyin̰ ɗo wer ka gay seriiner kaak tatiko. Ay gem kaak wara siŋji a ŋaa oliyo, nec ŋuu accin̰ ɗo ak ta ba oole. 
MAT.5.23	Ya ki ɓaa ɗo *ger ka Buŋdi a kiiji bere *satkine, kar ɗo wer-ak, ki pakirtu kadar siŋjiŋ gin kaaw iŋ kiŋke, 
MAT.5.24	rasit satkinen̰ eɗe ho ɗuw ɓaa amroŋ ja, kar kat kii yeepe berin satkinen̰-ata.
MAT.5.25	« Ya waan sakkiyin̰ciŋ, daan kaawko koɗok di botildi. Yampa, adinen̰ yaan̰ iye ɗo gay ɗukume seriiner. Kar gay ɗukume seriiner-ak yaan̰ bere ɗo pise ka askirnar, ho ŋuur gay yaan̰ un̰je daŋaayne. 
MAT.5.26	Nu kaawaajiŋ, ki gediraaɗo kii imile kaan̰ min ɗo daŋaayner-ata, illa ya ki gaasit ja tak-tak hokumne taat ŋu diyiijiŋ.
MAT.5.27	« Ku dor ŋu kaaw aman : ‟ Waan ɓaaƴaaɗo mun̰jam. ”
MAT.5.28	Kar nun gay kaawaako aman : Ay gem kaak tala daaciy ta gemor ho ta deeji, ŋaar-ak ar ŋa weƴ ko iŋ taara ɗo gelbiney. 
MAT.5.29	Ya odon̰ ta meeda kat iyaaciŋ ɗo zunuubinnar-ak, ɗimta. Guna ya maannan̰ rakki nige, min ak taat matɗo yaa teen̰ zin̰ okin̰ji. 
MAT.5.30	Ya pisin̰jiŋ ka meeda kat iyaaciŋ ɗo zunuubinnar-ak, ɗukumga ho accig kara. Guna ya maannan̰ rakki nige, min ak taat matɗo yaa teen̰ zin̰ okin̰ji.
MAT.5.31	« Ku dor ŋu kaaw pey aman : ‟ Ya waan totirit daaciy, ŋaati bere katkat ta totiriikar. ”
MAT.5.32	Kar nun gay kaawaako aman : Gem ginno botol ŋaa totirin daaciy, illa ya ta kokina miday kara. Ya gem totirit daaciy, ŋa n̰aamit ɗo zunuubinnar ya ta ob mitik ka pey. Ho gem kaak ob daatik taat ŋu totirta, ŋaar oki un̰je ziy ɗo zunuubinnar.
MAT.5.33	« Ku dor oki ŋu kaawco ɗo aginiyte aman : ‟ Ya ki togil ɗo uŋji ka *Rabbiner, necit kaawon̰. Dak yeepenno pey aaro. ”
MAT.5.34	Kar nun gay kaawaako aman : Dakoŋ togilenno tak-tak : wala iŋ samaane, asaan ŋa wer kaak Buŋ goyiyo, 
MAT.5.35	wala iŋ kiɗa, asaan ŋa wer kaak ŋa leeyiy asin̰ji, wala iŋ Zeruzaleem, asaan ŋa geeger ka Sultan kaak tatiko, 
MAT.5.36	wala iŋ kaan̰ ka meen̰ji, asaan ki gediraaɗo raɓilin durwen̰ rakki portiko wal pondiko. 
MAT.5.37	Ya ki ooy sa, ooyu ho ya ki pooc sa, poocu. Yampa kaaw taat ŋu gaayiy gaaye, taar asa min ɗo *Seetanner.
MAT.5.38	« Ku dor ŋu kaaw aman : ‟ Ya gem ɗimit odon̰, kiŋ sa ɗimjiit tan̰ji ho ya ŋa sik saaŋon̰, kiŋ sa sikijig kan̰ji. ”
MAT.5.39	Kar nun gay kaawaako aman : Ya gem ginaako maan kaak samaanno, dakoŋ kapiyenno. Ya waan baasin̰ciŋ ɗo gargumon̰ ta meeda, newsiijit taat rakki oki. 
MAT.5.40	Ya waan sakkiyin̰ciŋ ɗo bi ka parlaman̰, rasjita ho berjit pey batkon̰ min kaatiya. 
MAT.5.41	Ya waan kusbiyin̰ciŋ a kii iyiin goroy kilomeetir rakki, iyiit kilomeetir seera. 
MAT.5.42	Beriy ɗo ay waan kaak indaaciŋ maanna ho dak newsenno kop ɗo waan kaak telka maannan̰.
MAT.5.43	« Ku dor ŋu kaaw pey aman : ‟ Kii elin̰ gijiŋ
MAT.5.44	Kar nun gay kaawaako aman : Elguwoŋ adinko ho salkiyguwon̰co ɗo ŋuur kuuk taaɓiyaako. 
MAT.5.45	Ansii kat, kuu gine koogin ku Takko kaak kuwa. Pa-ak asaan ŋaar sa cokaat patoy ɗo gee kuuk jookumo ho iŋ kuuk sellen̰. Ŋa n̰okaag amiyji ɗo ŋuur kuuk goy iŋ botol ɗo uŋji ho ɗo ŋuur kuuk goyin̰co iŋ botiliiɗo oki. 
MAT.5.46	Kar ya kuŋ kat el gee kuuk elgiikon di, maa haginir taat Buŋ yaako bere ? Gay oba miirir oki elgig ŋuur kuuk elgig di ! 
MAT.5.47	Kar ya ku ooya ɗo siŋtikon di, maa biidir kaak ajbay ku giniyo ? Ŋuur kuuk ibanno Buŋ oki gina pa ! 
MAT.5.48	Ŋaar-ak, kuuniyoŋ *cawar ar Takko Buŋ ka kuwa. »
MAT.6.1	Iisa kaaw pey aman : « Pakiroŋ, ya ku gina riy taat Buŋ rakiyo, dakoŋ gaarenno ɗo uŋco ka geemir. Yampa Takko kaak kuwa yaako toɗin hagin ta riyko-ata. 
MAT.6.2	Ya ki raka bere maan ɗo pokirin̰cer, dak delenno darin̰ ɗo odin ku geemir ar gee kuuk abdiya Buŋ iŋ biŋkico di. Gee-ak, ŋu el gaare ziŋkico ɗo berindi ɗo geray ku salaaner ho ɗo botilniidi a gee yaa ozilin̰co. Ka seener nu kaawaako : gee ŋuur-ak gasit ko haginco. 
MAT.6.3	Kar kiŋ gay, ya ki gina oyaw iŋ pisin̰ji ka meeda, ka n̰ugila ibinaaɗo maan kaak ki beriyo. 
MAT.6.4	Ansii ko, maan kaak ki bertu yaa goye iŋ cigile. Paa kat, Takko Buŋ kaak talaag ay maan kaak ki giniy iŋ cigile yaan̰ berin haginen̰.
