LUK.1.2	Nanakasike pipiya matasiyai si kinana, ba warana si yoneyonei wai rutainina sita kirumisi. 
LUK.1.38	Mary i kaobeyei i wona, “Yauku Bada ana saibisaibirina, abi damanina kata kuwona wai nanakasike kuriku ina tupuwa.” Ba damanina aneya i sumarei.
LUK.1.39	Kona maranai, Mary i bobunaga, ba yagiyagina wata i nae ku Judiya koyakoyana, ba i nae ku meyaga kesana. 
LUK.1.40	Ba namai, Mary i riu Zechariah ana ku yove, ba Elizabeth i enowei. 
LUK.1.41	Maranai, Elizabeth ana bi eno! eno! i nonori wai, pepeya siyana kamonai i bokwayo, ba Elizabeth kanuma kaoaobaisiena i bonuvei. 
LUK.1.42	Ba gamona kaikaponai i para i wona, “Bibaine ereonowasi kamosi yai wai kom bibi gairenim, ba natum kuni tuvei wai, yebo kona bibi gairenina!” 
LUK.1.43	Saba awaika kairavina yauku kuriku bo kuwaya i rakata, wai au Bada sinana i botu kuriku? 
LUK.1.44	Kairavina maranai am bai eno eno a nonori wai, pepeya siaku kamonai ere nuwagairena i bokwayo. 
LUK.1.45	Kom wasike bibi gairenim, kairavina kui geruwana kata awaika Bada i wonim wai, ina tupuwa.”
LUK.1.47	ba kanumiku ebi nuwagaire kairavina, God wai au baibai yawasina. 
LUK.1.48	Yauku ana saibisaibirina moyamoyakiku i nosiku kairavina, karaku ba karakuwata, sina yoriku bibi gairenina. 
LUK.1.49	God maragata sakina, ba kana waba kaoaobaisiena, basuna sawara kaikaposi kairaviku i wosisi. 
LUK.1.50	Dam ba dam nununai, iyabosi te naganagarei wai, ebi nuwanuwanisi. 
LUK.1.51	Yaronai wose maragasisi i wosisi, ba kosi iyabosi nuwa sinesiyai si imsigegae wai, i buburanisi. 
LUK.1.52	Taupauma maragasisi asi aba makimakirai i tere kireisi, ba moyamoyakisi ibo kabarisi. 
LUK.1.53	Soya raoboraobosi sawara gaigairesiyai i bonuvisi, ba marimariyisi kwebusi i pora taveyisi. 
LUK.1.54	Ana saibisaibirina Israel i baisi, ba wawata kurisi i kao baiyoyobana wai nanakasike, 
LUK.1.55	kega ini nota wapei. Kata Abraham, ba natunatuna ini nuwanuwana damanisi.” 
LUK.1.56	Mary Elizabeth yabata si mamana yepo, nawaravi kana bi tonu, ba i veramaga ana ku yove.
LUK.1.57	Ba Elizabeth ana bi tuwa marana i neratui wai, i tuwa natuna sebare. 
LUK.1.58	Warewaresina ba maturaturana warana si nonori kata, Bada kurina i yagaire saki wai, ereonowasi Elizabeth yabata si nuwagaire.
LUK.1.60	Saba sinana i wona, “Kega, kana waba kona yorei John.” 
LUK.1.61	Saba kurina si wona, “Am rakaraka kamosiyai kega kesana kotoi kana waba nanakasike.”
LUK.1.62	Damanina ba tamana kurina si siwa bi beyena, ba si toirubai kata ana waina abi waba pipiyaikei sita yorei. 
LUK.1.63	Saba Zechariah pepa kairavina i baba wai si berei, ba ereonowasi si sikwana kata i kiruma i wona, “Kana waba wai John.” 
LUK.1.64	Ba mara kesana kawana i botatari wai pepena i yayaura ba bi sisiya i dagu meyei, ba Bada i bokabakabari. 
LUK.1.65	Maturaturana ereonowasi si nagara saki ba si wareyei, ba warana si rakasi wai Judeyai koyakoyana ereonowana i bonuvei. 
LUK.1.66	Ba pipiya ereonowasi nikona si nonori wai, si nuwasuyei ba si toiruba si wona, “Niko pipiyikei wai kona kotoi?, Kairavina, iru matara kata Bada ana maragata wai kona gwabinai emamana.” 
LUK.1.67	Damanina ba kanuma kaoaobaisiyena John tamana Zechariah i bonuvei, ba i naovei wai God wonana i sisiyei.
LUK.1.69	Ba God ana saibisaibirina, David ana rakaraka kamonai, aba bai yawasa kota kairavita i porai. 
LUK.1.70	Matapanaki, ana peroveta kaoaobaisiesi kurisi ikao bi yoyobana wai, nanakasike. 
LUK.1.71	Kata, iyabosi tebi sinikaikaiyita, ba kata abiya yarosiyai yebo, ini taraparanita. 
LUK.1.72	Ba ana kao bi yoyobana kaoaobaisiena ina nosi wai, nosinosita ini nuwanuwanisi. 
LUK.1.73	Abraham kurina i kao bi yoyobana, 
LUK.1.74	kata, abiya yarosiyai ini taraparanita, ba maragata ina berita wai, kega ere naganagarita tana bo saibirei. 
LUK.1.75	Kata, kota naonai ata wose sina gaire, ba mara ereonowana kaoaobaisieta ata yawasa kamosiyai tana mana. 
LUK.1.76	Ba kom natuku, sina yorim God kaoaobaisiena ana peroveta, kairavina, kom Bada naonai kuni nao kuna nae, ba ana keta kuna bobunagi. 
LUK.1.77	Ana pipiya kuna wonisi sina kuiri, kata asi piraga goyo sina tombaubauna taveyisi wai, sina yawasa. 
LUK.1.78	Ata God bai nuwanuwana bitana kairavina, ata bai bai yawasina sapamai ini porai kurita. 
LUK.1.79	Ba kosi rabobo wakunai, ba baidibara kamonai te mamana wai kurisi,
LUK.1.80	ina rauyasegana, ba kaeta nuwanuba ketana ku kamona ina tere bi totori. Ba pipiyaikei kanumai ba tupuwai i rakata, ba i maragata. Ba kupura mom kamonai i mamana yepo ku deba i kasibau, Israel biyisi kurisi.
LUK.2.1	Kona maranai, Caesar Augustus wonana maragasina i kasibau. Kata Rome dobuna ereonowana kamonai, pipiya ereonowasi sita baiyavisi. 
LUK.2.2	Qurinius, Syria kamonai ibi bada maranai, nikona wai koroto baiyavina dagudaguna. 
LUK.2.3	Ba pipiya ereonowasi si nae ikeikesisi asi ku meyaga, ba kasi waba sita kirumisi.
LUK.2.4	Kata Joseph yebo, Galilee kamonai, Nazareth meyagina i kasibau taveyei ba i gae ku Judiya. Ba i nae David ana ku meyaga ku Bethlehem, basuna kona wai David ana dam kesana. 
LUK.2.5	Ba Mary matapa i manawa, ba kana bobeya Joseph yabata si nae nakai, kasi waba kiruma kairavina. 
LUK.2.6	Namai si mamana yepo Mary ana bi tuwa marana i neratui, 
LUK.2.7	ba natuna yarokona sebare i tuvei. Ba garai i sumai ba aba payapayaya asi aba kamkam kamonai i dau’vei, kairavina wagawaga asi yove kamonai wai gawara kega.
LUK.2.8	Kona pominai, meyaga gwabinai sheep aba potapotaisi si mamana. Kwapu kamonai asi abapayapayaya si potapotaisi. 
LUK.2.9	Ba Bada ana aneya i rerematara kurisi. Ba Bada ana kadara i ruyasegana i subibirisi wai, kosi si nagara saki. 
LUK.2.10	Saba aneya kurisi i wona, “Kega kona nagara, nuwagaire warana kaikapo sakina a botuvei, komi ba pipiya ereonowasi kairavisi. 
LUK.2.11	Karaku, David ana meyaga kamonai bai yawasa biyina kurimi i tupuwa, kona wai Bada Keriso 
LUK.2.12	Nikona ami matakira, kata pepeya aba payapaya asi abakamkam kamonai garai si sumai ba edudauwa kona panani.”
LUK.2.13	Damanina ba mara kesana sapama kaikorotona aneya yabata si rerematara. Ba God si bookabakabari ba si wonawona, 
LUK.2.14	“Kadara God kaidamo sakina kurina. Ba dobu wai pipiya kurisi ebi yagaire wai nuwanuba ina mana.”
LUK.2.15	Ba aneya si sumarisi si veramaga ku sapama maranai, sheep potapotaisi si kao boneyana si wona, “Ta nanae ku Bethlehem ba niko wose i tupuwa Bada i wonita wai tana kitai.”
LUK.2.16	Damanina ba yagiyagina wata si nae Mary ba Joseph si pananisi, ba pepeya aba payapaya asi abakamkam yovena kamonai si kinani. 
LUK.2.17	Ba pepeya si kinani murinai wai, awaika aneya niko pipiyaikei kairavina i wonisi wai warana si rakasi pipiya kurisi. 
LUK.2.18	Ba pipiya ereonowasi awaika sheep aba potapotaisi si wonisi wai si wareyei. 
LUK.2.19	Saba Mary nikosi wosesi ereonowasi nuwanuwanai i tatawanisi, ba i nota bitetei. 
LUK.2.20	Ba sheep potapotasi si veramaga awaika si nonori ba si kitai wai, God si bokabakabari ba si bokuwayei. Basuna awaika aneya i wonisi wai, rautainina i tupuwa si kitai.
LUK.2.22	Ba bi gairena suwarina marana i neratui wai, Moses i kaotunetunei wai nanakasike. Joseph ba Mary Iesu si yauni si nae ku Jerusalem, Bada sita bere meyei. 
LUK.2.23	Ba Bada wonana itamo kiruma wai nanakasike. Kata sebasebare yarokosi ereonowasi, Bada kurina sita bosireisi. 
LUK.2.24	Ba Bada wonana i wona wai nanakasike, puyo bunuwa sita kapuni, bunebune ruwamo kona buruko soesoesi asi ruwamo. 
LUK.2.25	Kona maranai, sebare kesana kana waba Simion, Jerusalem yai i mamana. Simion kona piraga gaire pipiyina, ba Kanuma Kaoaobaisiyena i bonuvei wai, Israel ana bai yawasina i potapotai. 
LUK.2.26	Kanuma Kaobaisiyena Simion i beyei, kata Bada Keriso ita kitai ba muriyai ita rabobo. 
LUK.2.27	Iesu tutununa si yauni si riu Bada wonana i wona wai sita wosei maranai, kanuma kaoaobaisiena Simion i bonuvei wai i riu ku yove tapaoro. 
LUK.2.28	Ba Simion yaronai Iesu i pewai, ba God i bokabakabari i wona,
LUK.2.29	“Bada karaku yona am saibisaibirina ku kao bai yoyobani wai nanakasike, ke boterei kata nuwanubai ina rabobo. 
LUK.2.30	Kairavina am baibai yawasina matakuwai a kitai, 
LUK.2.31	pipiya ereonowasi matasiyai kubo kabitamni wai. 
LUK.2.32	Yasegana pipiya tumana kurisi ina ruayasegana, ba kadara am pipiya Israel kurisi.”
LUK.2.33	Simion awaika Iesu kairavina i sisiyei wai, tamana ba sinana si wareyei. 
LUK.2.34	Damanina ba Simion i gairenisi ba sinana Mary i wonei i wona, “Niko pipiyaikei kona God i binei kata, Israel pesarisi kurisi ina kasibai goyona ba ini yawasa. Nikona God ana matakira kata pipiya pesarisi sina kao bi goyoni. 
LUK.2.35	Ba asi nota mama bai buneyisi ini debeisi. Ba nuwapoya nanakasike bage seri kom nuwanuwam katekatem ina tupa rebui.” 
LUK.2.36	Namai yebo peroveta wasike kesana i mamana, kana waba Anna, tamana Phanuel kona Asher ana dam kesana. Anna i tabine bodu seven wata, 
LUK.2.37	ba i sobere i mamana yepo kana bodu eighty-four, i morapa saki. Saba kega meyana God ana yove i kasibau taveyei, kao ba pom ibi siya ba i raupari. 
LUK.2.38	Simion, Mary ba Joseph yabata sibi sisiya ba, Anna i botu kurisi ba i kaikaiwa God kurina. Ba iyabosi sibi potapota kata God Jerusalem ita tombaubauni kairavina, ereonowasi kurisi pipiyaikei i sisiyei.
LUK.2.40	Ba pipiyaikei i rakata ba i maragata, nuwasuya i bonuvei ba God ana bai nuwanuwana kurina i mana
LUK.2.42	Asi dudura nununai, Iesu kana bodu twelve ba si urabai si nae ku poraga mena. 
LUK.2.43	Poraga i kakaba murina, Iesu tutununa si veraveramaga ku yove. 
LUK.2.44	Joseph ba Mary si nosi kata Iesu koroto kamosiyai yabata sita nenae. Nao kao si yewo pom, ba rabisiyai turaturasi ba asi rakaraka kamosiyai si bokabai. 
LUK.2.45	Ba kega si panani wai, si nuveni si veramaga ku Jerusalem. 
LUK.2.46	Kao tonu murinai, yove tapaoro kamonai si panani, Jew bi beyebeyena biyisi kamosiyai i mamana, ibi taina baenegisi ba ibi kasekasemainisi. 
LUK.2.47	Ba ereonowasi si nonori wai, ana kuira ba ana kaobeyena si wareyei. 
LUK.2.48	Tutununa si kinani wai si sikwanei, ba sinana i wona, “Natuku! Awaika kairavina nikasike ku wosei? Tamam yabata, ere yapoyi kai ba, ere naganagari kai ka nuvenuvenim.”
LUK.2.49	Kona saba i kaobeyisi, i wona, “Awaika kairavina ko nuvenuveniku? Kota kuiri kata yauku tamaku ana yove kamonai a mamana.” 
LUK.2.50	Saba kosi kega si kuiri kata kona awaika kurisi ibi sisiyei.
LUK.2.52	Iesu tupuwai ba nuwasuyai i rakata, God ba pipiya i nuwa gairenisi.
LUK.3.1	Tibrius Caesar Rome kupurina kamonai ibi kaiwabo bodu kana bi fifteen kamonai, Pontius Pilate wai Judeyai ibi bada. Ba Herod kona Galilee yai ibi bada, ba tuwateina Phillip wai Ituria ba Traconitis kamosi yai ibi bada. Ba Lysanias wai kona Abilene yai ibi bada. 
LUK.3.2	Kona maranai, Annas ba Caiaphas wai kosi priest kaikaposi. Ba God wonana i botu Zechariah natuna sebare John, kupura mom kamonai i mamana wai kurina. 
LUK.3.3	Ba kona Jordan kupurina ereonowana kamonai i yewo, ba pipiya kurisi i raumamara i wonawona, “Ami piraga, goyosiyai koi nuwabirabira, ba kona babataito, kata God ami piraga goyosi ina notataveyisi.” 
LUK.3.4	Peroveta Isaiah ana buka kamonai i kiruma wai nanakasike i wona, “Pipiya kesana kupura mom kamonai e paraparara e wonawona, Bada kairavina keta ko bobunagi ba ana keta kobo bitotori.
LUK.3.5	Sanaga ereonowana ko tabuna, koya kaikaposi ba soesoesi kobo bipopona, keta kiyokiyosi kobo bi totora, ba keta bi gesokesokisi ko mumuisi. 
LUK.3.6	Kata pipiya ereonowasi God ana baibai yawasina sina kitai.”
LUK.3.8	Awaika kesana ko wosei ini beyena kata komi ami piragagoyosi koi sinikikiyana, ba kega kona nosi kona wona, yakai Abraham natunatuna. A woniwonim, God rubarubana Abraham natunatuna, nikosi akimai ina woseisi. 
LUK.3.9	Kirama i bobunagi kata keyama ereonowasi kega te uwauwa wai, warowarovisi yai ina tara tavetaveyana, ba ini garu gegeyana ku keyama karakarasina.”
LUK.3.10	Ba pipiya pesarisi si toirubai si wona, “Kata yakai mekabage kana wose?” 
LUK.3.11	John i kaobeyisi i wona, “Kotoi wata karinai gara ruwamo te mamana wai, kesana kotoi karinai gara kega emamana wai ina berei. Ba kotoi wata karinai kam e mamana wai, wosena kesanina ina wosei.”
LUK.3.13	I wonisi i wona, “Ruba si terei wai, kega kona yauna koni subonei.”
LUK.3.14	Ba abiyabiyisi mutusi si toirubai si wona, “Ba yakai mekabage kana wose?” I kaobeya i wona, “Pipiya asi money kega ere mainimi kona sekwaisi, ba kega pipiya koni kunumaka kwarumisi, ba ami maisa mekabage koyuyauni wai, koi nuwagaire.”
LUK.3.15	Pipiya sima baenega, ba nuwasinesiyai si nosinosi bage John wai kona Keriso. 
LUK.3.16	Saba John ereonowasi kurisi i wona, “Yauku okowai a babataitoimi, saba pipiya kesana e botubotu kona ana maragata i rakata saki kega yauku rautainiku. Yauku kega gaireku, ba kana kae sumasuma ata tombaunisi. Kona keyama karakarasinai ba kanuma kaoaobaisiena ina babataitoimi. 
LUK.3.17	Wheat kana kasi bubu yaronai, kata wheat tupana ina kasi bubui, ba wheat ina bobunagi ana bobitaura yovena ku kamona ini wani, ba muguna keyama karata bonabonanai ina kapuni.” 
LUK.3.18	John keta pesarisi ba bubausi yai wara gairena pipiya kurisi i raumamarei ba ikao bi nuwarupairisi. 
LUK.3.19	Saba, John kaiwabo Herod ikao rumatanei, basuna tuwateina kaowana kana waba Herodias i utusekwai, ba yebo, wose goyogoyosi pesarisi kairavisi. 
LUK.3.20	Ba yebo Herod wose goyona i tetetawani, kata John ku patuma yovena i tere riuvei.
LUK.3.21	Ba pipiya ereonowasi si babataito maranai, Iesu yebo i babataito. Ba i raupari maranai, sapama i tamotatara.
LUK.3.22	Ba kanuma kaoaobaisiena tupuwa i kotei, ba bunebune rautainina i gakira ku tepana. Ba gamo sapamai i wona, “Kom natuku au nuwayauyauna, kom yai ba abi nuwagaire saki.” 
LUK.3.23	Iesu kana bodu matapa iti thirty, ba ana saibira i dagui. Iesu sebare wai pipiya sinosi kona wai Joseph natuna, ba Joseph si nosi kata tamana wai Heli. 
LUK.3.24	Ba Heli tamana wai Mathat, ba Mathat tamana wai Levi, ba Levi wai tamana Melki, ba Melki tamana wai Jannai, ba Jannai wai tamana Joseph.
LUK.3.25	Joseph wai tamana Mattathias, ba Mattathias wai tamana Amos, ba Amos wai tamana Nahum, ba Nahum wai tamana Esli, ba Esli wai tamana Naggai. 
LUK.3.26	Naggai tamana wai Maath, ba Maath tamana wai Mattathias ba Mattathias tamana wai Semein, ba Semein tamana wai Josech, ba Josech tamana wai Joda. 
LUK.3.27	Joda tamana wai Joanan, ba Joanan tamana wai Rhesa, ba Rhesa tamana wai Zerubbabel, ba Zerubbabel tamana wai Shealtiel ba Shealtiel tamana wai Neri. 
LUK.3.28	Neri tamana wai Melki, ba Melki tamana wai Addi, ba Addi tamana wai Cosam, ba Cosam tamana wai Elmadam, ba Elmadam tamana wai Er. 
LUK.3.29	Er wai tamana Joshua, ba Joshua wai tamana Eliezer, ba Eliezer wai tamana Jorim, ba Jorim wai tamana Matthat, ba Matthat wai tamana Levi. 
LUK.3.30	Levi wai tamana Simeon, ba Simeon wai tamana Judah, ba Judah wai tamana Joseph, ba Joseph wai tamana Jonam, ba Jonam wai tamana Eliakim. 
LUK.3.31	Eliakim wai tamana Melea, ba Melea wai tamana Menna, ba Menna wai tamana Mattatha, ba Mattatha wai tamana Nathan, ba Nathan wai tamana David. 
LUK.3.32	David wai tamana Jessie, ba Jesse wai tamana Obed, ba Obed wai tamana Boaz, ba Boaz wai tamana Salmon, ba Salmon wai tamana Nashon. 
LUK.3.33	Nashon wai tamana Amminadab, ba Amminadab wai tamana Ram, ba Ram wai tamana Hezron, ba Hezron wai tamana Perez, ba Perez wai tamana Judah. 
LUK.3.34	Judah wai tamana Jacob, ba Jacob wai tamana Isaac, ba Isaac wai tamana Abraham, ba Abraham wai tamana Terah, ba Terah wai tamana Nahor. 
LUK.3.35	Nahor wai tamana Serug ba Serug wai tamana Reu, ba Reu wai tamana Peleg, ba Peleg wai tamana Eber, ba Eber wai tamana Selah. 
LUK.3.36	Selah wai tamana Cainan, ba Cainan wai tamana Arphaxad, ba Arphaxad wai tamana Shem, ba Shem wai tamana Noah, ba Noah wai tamana Lamech. 
LUK.3.37	Lamech wai tamana Methuselah, ba Methuselah wai tamana Enoch, ba Enoch wai tamana Jared ba Jared wai tamana Mahalalel, ba Mahalalel wai tamana Kenan.] 
LUK.3.38	Kenan wai tamana Enosh, ba Enosh wai tamana Seth, ba Seth wai tamana Adam, ba Adam wai tamana God.
LUK.4.1	Iesu Kanuma Kaoaobaisiyena i bonuvei ba Jordan yai i veramaga. Ba i naovei wai, i riu ku kupura mom, 
LUK.4.2	ba namai kao forty Satan i sakariyei. Kona maranai kega kesana awaika i kam rubai, ba ana bi siya damonai wai soya i rabobo.
LUK.4.3	Ba Satan i wonei i wona, “Kom God natuna wai, nikosi akima ke wonisi sini kam.”
LUK.4.5	Damanina Satan Iesu i urabai i gae koya ku tepana, ba dobu tupana i bibeyei. 
LUK.4.6	Ba i wona, “Baibadana ba ana kadara ereonowana i beriku wai kotoi wata ana wainei wai ana berei. 
LUK.4.7	Ba kom kuna bopepetiku wai, nikosi sini karimi yai.”
LUK.4.9	Damanina ba Satan i urabai i nae ku Jerusalem, ba yove taparoro tepanai dama i msiri ba Satan i wona, “Kom God natuna wai, nimai ki sou, 
LUK.4.10	kairavina, God wonana i kirumi i wona, God ana aneya kom kairavim ina kao tuneyisi kata sini taraparanim. 
LUK.4.11	Ba kosi yarosiyai sina bokabarim, wai kaem kega ku akima kuna ravi.”
LUK.4.13	Nikosi bai sakari ereonowasi i kakabi wai Satan Iesu i sumarei mara soena, ba ta marai yebo ina veramaga.
LUK.4.14	Iesu Kanuma Kaoaobaisiyena ana maragatai i veramaga ku Galilee, ba warana i tuwapesari kupura ereonowana i bonuvei. 
LUK.4.15	Duwu yovesi kamosiyai i beyebeyena ba pipiya ereonowasi si kao bi gegaeni.
LUK.4.16	Ba i nae ku Nazareth, i rakata wai ku meyagina. Ba i riu ku duwu yovena mamanina sabbath maranai i wosewosei wai rautanina. Ba i bomsiri ita baiyawa.
LUK.4.17	Ba peroveta Isaiah ana buka si berei i botatari, ba gawara i panani memena i kiruma i wona, 
LUK.4.18	“Bada kanumina kauriku emamana, kairavina i bineiku, kata moyamoyakisi kurisi wara gairena ata botuvei. I poraiku kata patupatumisi kurisi tombaubaunisi ani yoneyonei, ba matapotapotasi sini kinana, ba bobogoyosi ana tombaunisi. 
LUK.4.19	Ba ani yonayona kata mara i botu, Bada ana pipiya ini yawasisi.”
LUK.4.20	Damanina Iesu buka i gudui ba aba saibisaibirina i bere meyei ba i makira. Ba pipiya ereonowasi duwu yovena kamonai si kita damanei, 
LUK.4.21	Ba kurisi i wona, “Niko God wonana ko nonori wai karaku e tuputupuwa.” 
LUK.4.22	Pipiya ereonowasi si kao bigegaeni, ba wona kai masavisi i sisiyana wai si wareyei ba si wona, “Niko Joseph natuna kona?” 
LUK.4.23	Saba Iesu kurisi i wona,” A kuiri niko bi maibai kona woniku kona wona, “Doctor, ki yawasa meyim! Ba yebo kona wona, awaika Capernum kamonai ku wosei wai am meyaga kamonai ke wosei kana kinani. 
LUK.4.24	Ba Iesu i wona abi suwonimi, “Peroveta ana meyaga dama biyisi sina kao sirei. 
LUK.4.25	Abi suwonim kata Elijah ana marai kega i kusana bodu tonu ba nawaravi six, ba gomara kaikapona dobu ereonowana i yauni. Kona maranai, Israel kamonai sobesobere pesarisi si mamana, 
LUK.4.26	saba God Elijah i porai kega kesana meo sobere kurina, ba sobere kesana, Zerephathyai, Sidon kupurina kamonai i mamana wai kona wata kurina. 
LUK.4.27	Ba peroveta Elisha ana marai, Israel kamonai pipiya pesarisi lepa gubagina si yauni, ba kega kesana i yawasi, saba Naaman Syira biyina wata i yawasi.
LUK.4.28	Pipiya ereonowasi duwu yovena kamonai nikona si nonori wai, si yagisi saki. 
LUK.4.29	Si bomsiri ba Iesu si taina se’eseri si kasibau ku meyaga kupuna, ba si yauni si gae asi meyaga si bowai wai koyana ku tepana, asi waina ku sanaga siti garukirei. 
LUK.4.30	Saba, koroto basusiyai wata i sonaga ba i nae.
LUK.4.31	I nae ku Capernaum, meyaga kesana Galilee kamonai, ba Sabbath maranai pipiya ibi beyebeyisi. 
LUK.4.32	Ba ereonowasi ana bi beyebeyena si wareyei, kairavina ana sisiya wai ere maragasina.
LUK.4.33	Ba namai duwu yovena kamonai sebare kesana kanuma goyona i riuni wai i mamana. Ba gamona kaikaponai i rasa i wona, 
LUK.4.34	“Ai! Iesu Nazareth biyim awaika kurikai kuna wosei, ku botu kuna kasi bai goyonikai kona? A kuirim kom kotoi. kom God ana Kawari Yonayona Kaoaobaisiyena!”
LUK.4.35	Iesu gamona padapadanai i wona, “Kawam e pota ba nao sebare ke kasibau taveyei!” Damanina pipiya ereonowasi naosiyai kanuma goyona sebarena i garukirei ku tano, ba i kasibautaveyei, ba kega kesana awaika goyona kurina i wosei. 
LUK.4.36	Ba pipiya ereonowasi si wareyei ba si kaoboneyana si wona, “Agi! Saba niko awaika? Niko sebare ana sisiya abi maragasisi naki wai, kanuma goyogoyosi e kao tunetuneisi wai tebo sisiriyei.” 
LUK.4.37	Ba Iesu warana kupura tupana i bonuvei.
LUK.4.38	Iesu duwu yovena i sumarei ba i nae Simon ana ku yove. Simon rawana wasikena i gubaga sinina i boborabora saki, wai Iesu si babai kata iti baisi. 
