GEN.1.1	Yama nagkamchakug, Apajuík nayaimpin nugkajai najanauwai. 
GEN.3.11	“¿Ya ame wisu pujamunash dekamtijamame? ¿Wagka wi amina yujág yuwawaipa timajam dusha yuwamume?”
GEN.3.12	Tama aishmag Apajuín ayaak:
GEN.3.12	“Ame wijai tsaniasa pujusa yainikti tusam nuwa sujusmaum nunú yujagken sujusmatai, wika yuwamjai” tau.
GEN.3.13	Tutai Apajuí nuwan iniak:
GEN.3.13	“¿Amesh wagka dutikamume?”
GEN.3.13	Tama nuwa ayaak:
GEN.3.13	“Minak dapi tsanujamtai, yujagken yuwamjai”, tiuwai.
GEN.3.14	Timatai Apajuí dapin chichajak:
GEN.3.14	“Amek juju dutikau asam, ashí kuntin aidaun nagkaesau tikima shiig pegkegchau atinaitme. Yamai nagkamsamek japiintsam wekaesam nugka yukukuntu yuu wekaetinaitme. 
GEN.3.15	Amek yamai nagkamsamek nuwajaig tuke shiwag atinaitme, nuadui amina uchijum wegantu agtina dusha, nuwa uchiji wegantu agtina nujaish tuke shiwajak agtinai. Nuwiya makichik amina buukmin dekenjamkatnai, tujash amek ayatak niina sagkani esattinaitme”, tiuwai.
GEN.3.16	Nuna tusa nuwan chichajak:
GEN.3.16	“Amek ejapjukmesh najaimakum senchi waittsam uchigbau atinaitme. Imanika waitiakmesh tuke amina aishjumjai pujutak waketinaitme, nuniakmeshkam amina aishjum tabau tuke umigtinaitme”, tiuwai.
GEN.3.17	Tusa aishmagnashkam chichajak:
GEN.3.17	“¿Wagka nuwemin chichame antugkumesh, wi juju yujág yuwawaipa tusa timajam dusha yuwamume? Ame umishtaimin yamai nagkamsag nugkak shiig pegkegchau wajastatui. Amek nuwiya waittsam ajakmam yuwatnaitme, ima imaniakuam ame jakum ukuktinaitme. 
GEN.3.18	Nugkanmak jagki, ashí numi, dupa jagkigtin aidaush yujaktatui. Imanikmatai ikamia ajak aidau yutinaitme. 
GEN.3.19	Amina senchigmin takasa yuwa pujusam ataktu nugka najaneakum ukuktinaitme, wagki amek nugka najanamu asam. Nuadui ame jakmeshkam nugka juki najanamu asam, nunismek nugka najaneatnaitme”, tiuwai.
GEN.3.20	Tusa tima Adán niina nuwe daajin adaikauwai Eva: Nii ashí aentsun dukuji atin asamtai.
GEN.3.21	Tuja Apajuí dita nugkujagtinun kuntinu duwapen najatua anujauwai. 
GEN.3.22	Dutika Apajuí chichaak: “Yamaik aentsuk jutii ainag nujai betekmamtin wajasaje, iman asag ditashkam pegkejan pegkegchaujai dekainawai. Nuniau asag yamai nagkamsag yujág pujutan sukagtina auna yuwawag, tuke jatsuk pujusainum tajai”, tiuwai.
GEN.3.23	Nuadui Apajuí aentsun Edégnum pujaun jiiki juki yamaik nugka najanamua juwi takasa yuwa pujustinme tusa apusauwai. 
GEN.3.24	Dutika jiiki ajapeak, Apajuí niina aentsjin querubin aidaun etsa minitaiya aatuni awaantauwai. Dutikak yujág pujuta sukagtina nuna waya yuwawainum tusa puyag kegaun apujtusui. Nunú Edégkan tentea apajakui.
GEN.4.1	Adánka nuwe Eva ejapjukui, nunik pujus tsawanji jegajim aishmagkun uchigmakui, nunik adaikauwai Caín. Nunak: “Makichik uchin aishmagkun uchigmakjai, junak Apajuí minak sujuse”, taku tiuwai. 
GEN.4.2	Duwi pujus Eva tikichin uchin Abelan Caígka yachin uchigmakui. Abelak uwijan kuitamajakui, untsu Caín ajakan ajakbau aajakui.
GEN.4.3	Kuashat tsawan nagkaemakiu ai, makichik tsawantai, Caín Apajuí anentag susatnun ajaka nejen juuka juki ejentauwai. 
GEN.4.4	Tuja Abelchakam makichik uwig yama nagkamchak petsakbau shiig duwegman achika juki Apajuín emematak ejetiuwai. Dutikamtai Apajuí Abelnak shiig anenjauwai, nuadui Abeldaunak shiig anentus jukiuwai. 
GEN.4.5	Untsu Caígnak shiig anenjachui, tuja nii anentag susamunashkam shiig anentsag jujukchauwai. Dutikam Caín senchi kajekui, nunik kajekbautak wekagu. 
GEN.4.6	Nunittaman Apajuí chichajak: “¿Wagka imanika kajekmesh wekaeme? 
GEN.4.7	Amesh pegkeg takakmek, shiig aneasam wekaemainaitme, amek nuniatsum duwi amina tudaujum wagagtamkittak awagtamui. Tujash amek tudauwa duka depetmainaitme”, tiuwai.
GEN.4.8	Makichik tsawantai Caín yachin chichajak: “Ajanum wemi” tusa yachin juki weuwai. Nunik atushat akanak yachi Abelan mauwai. 
GEN.4.9	Dutika yachin maamtai, Apajuí Caígkan chichajak:
GEN.4.9	“¿Dusha amina yatsum Abelash wajukame?” tusa tama,
GEN.4.9	Caín ayaak: “Achah, wikaitag mina yatsuju kuitamnun”, tiuwai.
GEN.4.10	Tutai Apajuí chichajak:
GEN.4.10	“¿Wagka yatsumesh aikaume? Ame yatsum maakum numpe nugkanum ukagbauwa nunú mina untsujui, suwimak susata tusa. 
GEN.4.11	Nuadui amek shiig pegkegchaunum juwaktatme, juju nugka yatsumi numpe ukagbaun uwaja nunú nugkanmak amek pujuschattame. 
GEN.4.12	Ajakak ajattame, tujash tsapaishtatui. Emetnaja pujamugmek atsugtamtinai, ayatak wainkam tikich nugkanum wekaetinaitme, imaniakmesh ame pujusa ayamainuk igkugchatnaitme”, tiuwai.
GEN.4.13	Tusa tama Caín Apajuín ayaak:
GEN.4.13	“Mina suwimkajuk shiig katsunmainchawap atatua. 
GEN.4.14	Yamaik juju nugkanmak ajapjame, nuadui wi amijai pujamunak idaikun, tikich nugkanum machikish ayamtsuk wainkan wekaetatjai, nuni wekagai mina yaki igkunkat nunú minak mantuatin ati”, tiuwai.
GEN.4.15	Tutai Apajuí chichajak:
GEN.4.15	“Aents amina mantamuk, sieteya imania suwimkan jukiagtinai”, tiuwai.
GEN.4.15	Nuna tusa Apajuí Caígka iyashin maam amainchau apujtus akupkauwai. 
GEN.4.16	Dutikam nii pujusa Apajuíjai chichasbaunak ukuak Nod nugkanum wee pujusui. Nod nugkak Edégnum wajasa diismak etsa minitaiya nuni aajakui.
GEN.4.17	Caígka nuwe ejapjuk aishmagkun uchigmakui, dutika Enoc adaikauwai. Dutikamtai Caín nuwi yaaktan najana niina uchiji daajin Enoc adaikauwai.
GEN.4.18	Tuja Enoc akiauwai Irad. Irad akiauwai Mehujael, Mehujael akiauwai Metusael, Metusael akiauwai Lámec.
GEN.4.19	Lámec jimag nuwan: Adá daagtinun, Silá daagtinjai nuwatkauwai. 
GEN.4.20	Adá uchigmakui Jabalan. Tuja Jabal wegantu aidauk aakchinum batsamin, tagkun kuitamin aajaku ainawai. 
GEN.4.21	Jabala yachi aajakui Jubal. Nuna uchiji wegantu aidauk arpan awatin, pigkui umpuin aajaku ainawai. 
GEN.4.22	Siláshkam uchigmakui Tubal-caín. Nigka jiju bronce, hierro aina nuna najanajaku aidaun apaji aajakui. Tubal-caígka umayi aajakui Naamá.
GEN.4.23	Lámec niina nuwe aidaun chichajak:
GEN.4.23	“Mina duwag aidauwah, antuktajum:
GEN.4.23	Makichik aents mantuatag tusa ijutkui wi maamjai.
GEN.4.24	Caígka mauk sieteya imania suwimka jukitnai tibauwai.
GEN.4.24	Tuja mina mantauk setenta y sieteya imania
GEN.4.24	suwimkanak jukitnai”, tiuwai.
GEN.4.25	Adánka nuwe ataktu ejapjuk uchi aishmagkun uchigmakui, dutika adaikauwai Set. Nunak: “Mina uchig Abelan Caín mauwa duwi minak juna Apajuí sujuse”, taku tiuwai.
GEN.4.26	Setchakam makichik uchin akia adaikauwai Enós. Duwi nagkamas aents aidauk Apajuín emematuinak niina daajin adaitus segajaku ainawai.
GEN.5.1	Juju ainawai Adán wegantu aidaun daaji agatkamua duka. Apajuí yama nagkamas aentsun najankug niina niimejai betekmamtinun najanauwai. 
GEN.5.2	Aishmagkun nuwajai najanauwai. Dutika yama najanbauwaik shiig yumi yumigkis juna daajig aents ainawai, tuu adaikauwai.
GEN.5.3	Dutikam Adán ciento treinta mijan ejeyi pujus akiauwai Set, niijai betekmamtinun. 
GEN.5.4	Nuna akia pujusui ochocientos mijan, tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui. 
GEN.5.5	Ashí ijumjamak novecientos treinta mijan pujus jakauwai.
GEN.5.6	Set ciento cinco mijan ejeyi pujus uchiji aishmagkun Enósan akiauwai. 
GEN.5.7	Nuna akia pujusui ochocientos siete mijan, tuja nuigtushkam uchiji aishmag aidaun, nuwa aidaujai akigkui. 
GEN.5.8	Ashí ijumjamak, novecientos doce mijan pujus jakauwai.
GEN.5.9	Enós noventa mijan ejeyi pujus uchiji aishmagkun Cainágkan akiauwai. 
GEN.5.10	Nuna akia pujusui ochocientos quince mijan, tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui. 
GEN.5.11	Ashí ijumjamak, novecientos cinco mijan pujus jakauwai.
GEN.5.12	Cainán setenta mijan ejeyi pujus uchiji aishmagkun Mahalaleelan akiauwai. 
GEN.5.13	Nuna akia pujusui ochocientos cuarenta mijan, tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui. 
GEN.5.14	Ashí ijumjamak novecientos diez mijan ejeyi pujus jakauwai.
GEN.5.15	Mahalaleel sesenta y cinco mijan ejeyi pujus uchiji aishmagkun Jéredtan akiauwai. 
GEN.5.16	Nuna akia pujusui ochocientos treinta mijan, tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui. 
GEN.5.17	Ashí ijumjamak ochocientos noventa y cinco mijan ejeyi pujus jakauwai.
GEN.5.18	Jéredtak ciento sesenta y dos mijan ejeyi pujus uchiji aishmagkun Enokan akiauwai. 
GEN.5.19	Nuna akia pujusui ochocientos mijan, tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui. 
GEN.5.20	Ashí ijumjamak novecientos sesenta y dos mijan ejeyi pujus jakauwai.
GEN.5.21	Enoc sesenta y cinco mijan ejeyi pujus uchiji aishmagkun Matusalégkan akiauwai. 
GEN.5.22	Nuna akia pujus Enoc trescientos mijan Apajuí wakegamun takajak pujusui. Tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui. 
GEN.5.23	Ashí ijumjamak trescientos sesenta y cinco mijan pujusui. 
GEN.5.24	Enokak Apajuí wakegamun takak pujau, makichik tsawantai ayatak megkaekauwai. Apajuí niinak jukiuwai.
GEN.5.25	Matusalén ciento ochenta y siete mijan ejeyi pujus uchiji aishmagkun Lámekan akiauwai. 
GEN.5.26	Nuna akia pujusui setecientos ochenta y dos mijan, tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui. 
GEN.5.27	Ashí ijumjamak novecientos sesenta y nueve mijan ejeyi pujus jakauwai.
GEN.5.28	Lámec ciento ochenta y dos mijan ejeyi pujus makichik uchiji aishmagkun akiauwai. 
GEN.5.29	Dutika adaikauwai Noé. Nunak: “Apajuí nugkan pegkegchaunum yumigjau asamtai, shiig senchi takainaku waituinag nunak, juju uchi ayamtijamjattawai”, taku tiuwai. 
GEN.5.30	Noé akiinamtai nuigtushkam Lámec pujusui quinientos noventa y cinco mijan. Tuja nuigtushkam tikich uchiji aishmag aidaun, nuwa aidaujai akigkui. 
GEN.5.31	Ashí ijumjamak setecientos setenta y siete mijan ejeyi pujus, jakauwai.
GEN.5.32	Noék niina uchiji: Sem, Cam Jafet aatus aajaku aina nunak quinientos mijanan ejeyi pujus akigkui.
GEN.6.1	Aents ashí nugkanum kuashat kaweagtai, nawanji aidaushkam akiinkauwai. 
GEN.6.2	Nunú nuwa shigmauch aidaun, Apajuín uchiji aidau nuna diisag etegkeg dita wakejamun nuwatkaju ainawai. 
GEN.6.3	Nuniagtai Apajuí chichaak: “Aentsuk ayatak tudauk asag yamai nagkamsag tuke pujuschatin ainawai, ayatak ciento veinte mijan pujusa jagtinai”, tiuwai.
GEN.6.4	Tuja Apajuí uchiji aidau, aentsu nawanji aidaun nuwatuk uchi akiamu aidau gigante senchi maanin wajasu aajaku ainawai.
GEN.6.5	Aents aidau nugkanum batsamas senchi tunamainak, ima pegkegchaunak anentaimtus yujajuidaun Apajuí wainkauwai. 
GEN.6.6	Imaniagtai Apajuí wake besemag anentaimak, najanmainchaunas najanawabiagtaih, tusa awake anentaimjauwai. 
GEN.6.7	Nuna tusa Apajuí chichaak: “Ashí aents aidaun wi najanawaitag nunak, aentsnum nagkamsan, kuntinnash, tuja japiinas yujau aina nunash, chigkinash ashí betekmasan ijinatjai. Najanmainchaunas najanawabiagtai, tusan awake anentaimjai”, tiuwai.
GEN.6.8	Tujash Apajuík Noénak ima nigki puyatjusa umigbau asa, shiig anenjauwai.
GEN.6.9	Jujuwai Noé pachisa augmattsamu. Noé aajakui aents shiig pegkeg, ima Apajuí wakejamunak takajaku, tuja tikich aents batsamajakua nujai ijumjamash niig dekas pegkejam aajakui. 
GEN.6.10	Noé akiauwai kampatum uchiji aishmagkun, duka: Sem, Cam, Jafet aatus aajakui.
GEN.6.11	Tujash nugkanmak Apajuí diismak ayatak tudauk, pegkegchau takat aina duke piyak aajakui. 
GEN.6.12	Ashí aents aidauk ayatak pegkegchaunak taka batsatun Apajuí wainkauwai. 
GEN.6.13	Nunik Apajuí Noén chichajak: “Yamaik ashí nugkanum aents batsata nunak ijinatasan anentaimtugjai. Ditá pegkegchaujin kuashat maaniamu ayawai. Duwi ditanak ashí tikich nugkanum ayá nujai ijinattajai. 
GEN.6.14	Nuadui numi puwagtin aina nunú dakajam arca najanata, dutikam tesaka umikta. Tuja nuigtushkam yumi wayawai arca tuntupe, tuja initkenishkam ashí pegkaejata. 
GEN.6.15	Arca najankumek jujai betek dekapam najanata: Esanti ciento treinta y cinco dekapamu atatui, untsu wegkanti veintidos dekapamu nuigtu jimaituk atatui, antsag yakintig trece dekapamu nuigtu jimaituk atatui. 
GEN.6.16	Tuja kampatuma imajin ekenim najanata. Untsu arcan jeega nuna nugkaan jimaituk dekapam makichik niimtai ujaittame, aikasmek nuna yantamen makichik waiti ujaita. 
GEN.6.17	Wi yumin yutumtijattajai, dutika ai nunú ashí nugkanum piyagtatui, nuniak nugkanum pujutji ajamu batsataina nunak ashí ijinattawai. 
GEN.6.18	Tujash amejaig chichaman umiktatjai. Tuja amek, amina nuwem, uchijum aidau, uchigmi nuwe aidau, aatsajum arcanmak chimpimattagme. 
GEN.6.19	Tuja kuntin ashí nugkanmaya aidau, aishmag nuwajai arcanum chimpiattame, ditashkam jinutsuk amejai betek uwemkatnume. 
GEN.6.20	Ashí chigki wegantu aina duka, kuntin tagkumtai wegantu aina dushakam, japiinas yujau aina nujai, jima jimagchik apatdayas amejai arcanum chimpimattawai. Ame uwemtai ditashkam uwemjatnume. 
GEN.6.21	Nuigtushkam ashí yutai aidau juukam ijumjata, nuna kuntinush yuwatnume, tuja atumshakam nuwiyag yuwattagme”, tiuwai.
GEN.6.22	Tusa tima Noé Apajuí tibaunak imatiksag umikui.
GEN.7.1	Apajuí Noén chichajak: “Ashí tikich aents aidaujai diismash, amek ima wi wakegamua duke umiakum pujame. Nuadui ame amina pataim uchijum aidaujai arcanum egkematajum. 
GEN.7.2	Nuniakjum kuntin pegkeg aina nunú siete aishmag, siete nuwa aajam yajuakam chimpiata, untsu kuntin yuchatai aina duka makichik aishmag, makichik nuwa aajam egkeattame. 
GEN.7.3	Nuigtushkam chigki wegantu aina dushakam jinaa megkaejai siete aishmag, siete nuwa aaja yajuakam chimpiata. 
GEN.7.4	Siete tsawan asan yumin yutumtijattajai. Duka cuarenta tsawan, nuigtu cuarenta kashi yutugtatui. Wi najankamu aidau nugká batsata nunak ashí ijinattajai”, tiuwai. 
GEN.7.5	Tusa tima Apajuí tibaunak imatiksag Noé umikui.
GEN.7.6	Yumi ashí nugka utuja piyajua nunak Noénak seiscientos mijanji ajai nunikui. 
GEN.7.7	Tsawan yumi yutugtin jegamtai, nujagken uwemtugtasag Noé, niina nuwe, uchiji aidau, uchiji nuwe aidau aatus arcanum chimpimauwai. 
GEN.7.8	Nunitai kuntin pegkeg aidaush, kuntin yuchatai aidaujai, tuja chigki aidaushkam, nugká japiinas yujau aidaujai, 
GEN.7.9	Noé egkemamtai ditashkam nunisag Apajuí tibaunak imanisag jima jimagchik arcanum aishmag nuwajai chimpimauwai.
GEN.7.10	Arcanum chimpima siete tsawan wegai, nagkamdauwai yumi yutug dujajua nugkanum pimutan. 
GEN.7.11	Noé seiscientos mijan ejeyu ai, jimag nantu taka, diesisiete tsawan wegai, yumi nagkamna nayaimpinmaya senchi yutau. Imaniai, initkanmaya yumi piyag teenak aushkam, ashí nugkanum pukuni shiig múun jiinjajui. 
GEN.7.12	Nunik cuarenta tsawan, nuigtu cuarenta kashi tuke yutuu au. 
