MAT.1.1	Ade Yesu Kristo kĩ ɛnyɛ Dawid ɔwa, kĩ Dawid lɛmɛ nyɛ Abraham ɔwa a bawanyɔ kasinu buĩ nɛ awĩ a.
MAT.1.17	Foesũ kito Abraham akũ kɛyawo Dawid akũ ni, bawanyɔ ewua-ana lɛna nɛ kasinu a kamɛ. Ade kĩ kito Dawid akũ kɛnawo lɔkɔ a kĩ Babiloniafɔ pili Israelfɔ ndom bɛnamɛna be tite akũ a, bawanyɔ ewua-ana lɛna nɛ kasinu a kamɛ. Kĩ kito lɔkɔ a na kɛyawo Kristo kama ni, bawanyɔ ewua-ana lɛna nɛ kasinu a na lɛmɛ kamɛ.
MAT.1.18	Ade ayekĩ Yesu Kristo kama fɔlɛtsa a ya nɛ foe kamɛ a nɛ awĩ a. Bitinya ɔma Maria bɛkpa Yosef, lɛmɛ fɔmɔ baapi ye a, Maria mɔ́ eyi ɔsũ kĩ ɛtsɛ̃mɔ kɔma kĩ kuto Hũhũ Kpalɛwa a kamɛ. 
MAT.1.19	Ayekĩ Yosef nyɛ oti kpĩĩ nɛ Baguma anɛ, ade ɛtáwɛ kĩ yado Maria kɔnyɔã nɛ bati anɛ sũ ni, ɛwɛ kĩ yasĩ ye nɛ kabɛla kamɛ. 
MAT.1.20	Kĩ ɛkakɔna fukĩĩ akũ a, boe Ɔlate a ode fɔtɔ ɔnyanɛ odi nyɛ ye akũ ɛtsa ye nɛ kɔda kamɛ, ebi ye kĩ, “Yosef, Dawid obi, tavila Maria kakɔã, kitonɛkĩ Hũhũ Kpalɛwa a kamɛ kɔma a to. 
MAT.1.21	Yaama obinyole, ote ye dĩ kĩ Yesu, kitonɛkĩ ye aanyɛ ye bati etomɛna tɔkpa kamɛ.”
MAT.1.22	Fɔlɛtsa kĩĩ flee ya nɛ foe kamɛ, ayekĩ lɛtsa a kĩ Baguma lɛ eyi ɛtsãmɛna ye onukpɛ̃ ɔnyɛnɛ akũ a fɔya nɛ foe kamɛ kĩ, 
MAT.1.23	“Oyitsɔ̃ kĩ enyína onyole aatsãmɔ kɔma, ɛma obinyole. Baavɛ ye Imanuel,” kĩ de kayɔ nyɛ, “Baguma deĩ mɔ boe.”
MAT.1.24	Foesũ kĩ Yosef nyinya a, ɛkɔã Maria ndɛ ayekĩ Baguma ode fɔtɔ ɔnyanɛ bi ye a. 
MAT.1.25	Lɛmɛ Yosef mɔ Maria táta mɔ akũ ndɛ ɔtsɔ̃ mɔ ɔnyɔ aye, kɛnawo lɔkɔ a kĩ ɛma ye obinyole a. Ade Yosef te ye dĩ kĩ Yesu a.
MAT.2.1	Bɛma Yesu nɛ Betlehem nɛ lɔkɔ a kĩ Herodes kanya lɛgã nɛ Yudea tite akũ a. Owi tábuna mɔ banyole badi kĩ bɛkɔlɛ fɔtsa nɛ fusibii kadã akũ to suwa kadekɔ̃ bɛya nɛ Yerusalem, 
MAT.2.2	ade bɛyavia kĩ, “Ndia bɛma obisɛ̃ a kĩ yaanya Yudafɔ lɛgã a? Bɔmɔ́ ye lisibii kĩ lide nɛ suwa kadekɔ̃, ade bɔya kĩ bɔ́asum ye a.” 
MAT.2.3	Kĩ Lɛgã Herodes nu fukĩĩ a, ɔwɔlɛ bɔlɛ ye mɔ odi nyɛ odi nɛ Yerusalem a. 
MAT.2.4	Foesũ ɛvɛ basɔfɔnɔkɔɛ̃ mɔ mbla batsanɛ a flee ɛkpɔta evia be kĩ, “Nɛ ndia baama Kristo a?” 
MAT.2.5	Bɛkpa mbuayɛ kĩ, “Nɛ Betlehem nɛ Yudea tite akũ, kitonɛkĩ ade lɛtsa kĩ Baguma onukpɛ̃ ɔnyɛnɛ tsɛlɛ eyi kĩ,
MAT.2.6	‘Nɔ Betlehem nɛ Yuda tite akũ,
MAT.2.6	nnɛ́ ɔmatɔ kabii kɔlaa anɛ
MAT.2.6	nɛ Yuda tɛmatɔ tɛkpale tɛkpale a kamɛ.
MAT.2.6	Kitonɛkĩ nɔ kamɛ mɔ ɔkpãnɛ a kĩ,
MAT.2.6	yaakpã yĩ bati Israelfɔ a aanɛ eto.’ ”
MAT.2.7	Foesũ Herodes vɛ anyansãfɔ a kĩ bito suwa kadekɔ̃ a ɛnamɛna kabɛlakɔ̃, ade evia be lɔkɔ paa a kĩ lisibii a nɛ a. 
MAT.2.8	Ke liti a, ɛnyɛ be osi kĩ bɛnaa Betlehem mɔ ɔlɛdo kĩ, “Minaawɛ obisɛ̃ a kawɛ wĩ. Ntɛ mimɔ́ ye ni, mifɔ̃ ĩnyi lɔkɔa yĩ malo nnaasum ye.”
MAT.2.9+MAT.2.10	Foesũ bɛdzakũ, ade kĩ banaa nɛ osi a, bɛmɔ́ lisibii mɔapɛ a kĩ bɛmɔ́ nɛ suwa kadekɔ̃ a. Kĩ bɛmɔ́ de lɔmɔ a, kawɔlɛ de be paa. Lɛnya be lɔtɔ tĩĩ lɛnafɔ̃ lɛdza nɛ kakɔ a kĩ obisɛ̃ a deĩ a lɔlɔ nyangɛ. 
MAT.2.11	Kĩ biwo nɛ kɔla a kamɛ a, bɛmɔ́ obisɛ̃ a mɔ ɔma Maria, ade bike aduli bisum ye a. Bibinya be futetsa a kĩ fɔnyɛ sika ngbã, lifii mɔ klubɔũ bɛkpa ye.
MAT.2.12	Baguma nyɛ ɛtsa be nɛ kɔda kamɛ kĩ bɛtabuki bɛnaa Herodes sɛkɛ̃, foesũ bimuniki bɛtsã osi bɛbã bɛdzakũ bɛnaa ɔtɔ.
MAT.2.13	Kĩ anyansãfɔ a dzakũ a, ode fɔtɔ ɔnyanɛ odi nyɛ ye akũ ɛtsa Yosef nɛ kɔda kamɛ ebi ye kĩ, “Herodes aatsã ɛwɛ obisɛ̃ a kĩ yakɔ ye, foesũ yidza kakpã obisɛ̃ a mɔ ɔma milo minaa Egipte tite akũ. Mina nɛ awã kɛnaawo lɔkɔ a kĩ maabi nɔ kĩ mimuniki miya.”
MAT.2.14	Lɛnyɛ lɛnyɛ a na, Yosef yidza ɛkpã obisɛ̃ a mɔ ɔma bilo bɛnaa Egipte tite akũ. 
MAT.2.15	Edzi nɛ awã kɛnawo kĩ Herodes ku. Fukĩĩ ya lɔmɔ ayekĩ lɛtsa a kĩ Baguma onukpɛ̃ ɔnyɛnɛ lɛ eyi a fɔya nɛ foe kamɛ kĩ, “Nvɛ yĩ obi ntomɛna Egipte tite akũ.”
MAT.2.16	Kĩ Herodes mɔ́ eyi ɔsũ kĩ anyansãfɔ a kĩ bito suwa kadekɔ̃ a bu ye tɛkɔasia a ni, ɛna kalɔkpa paa. Foesũ edo bati kĩ bɛnaakɔ kubisɛ̃ɛ̃nyole a kĩ kɔtɛ futeli nviã kɛka, kɛyawo akɔkɔa amɛ akũ a flee nɛ Betlehem, mɔ ye tɛmatɔ kĩ tifuã a flee kamɛ. Herodes vɛ futeli nviã kĩ fuketimɔ lɔkɔ a kĩ bibi ye kĩ lisibii a nɛ a. 
MAT.2.17	Adeke fɔlɛtsa a kĩ Baguma Onukpɛ̃ Ɔnyɛnɛ Yeremia lɛ eyi a ya nɛ foe kamɛ kĩ,
MAT.2.18	“Fɔwɔla nɛ́ nɛ Rama,
MAT.2.18	kabe mɔ ayɔlɔhɔ fɔwɔla fɔanɛ.
MAT.2.18	Rahel kabe ye babi,
MAT.2.18	ade yaátunɔ kĩ bɛdɔla ye ɔwɔlɛ a,
MAT.2.18	kitonɛkĩ ye babi ku.”
MAT.2.19	Kĩ Herodes ku a, ode fɔtɔ ɔnyanɛ odi nyɛ ye akũ ɛtsa Yosef nɛ kɔda kamɛ nɛ Egipte, 
MAT.2.20	ade ebi ye kĩ, “Yidza, kakpã obisɛ̃ a mɔ ɔma mimuniki minaa Israelfɔ tite akũ, kitonɛkĩ bikĩ bɛwɛ kĩ bakɔ obisɛ̃ a ku.”
MAT.2.21	Foesũ Yosef kpã obisɛ̃ a mɔ ɔma bimuniki bɛya nɛ Israel tite akũ. 
MAT.2.22	Lɛmɛ kĩ Yosef nu kĩ bidzina Arkelao lɛgã nɛ ɔlɛga Herodes kadzakɔ̃ nɛ Yudea a, evila awã kanaa. Baguma buki ɛnyɛ foe ɛtsa ye nɛ kɔda kamɛ kĩ ɛtanaa awã, foesũ ɛdzakũ ɛnaa Galilea amantam kamɛ, 
MAT.2.23	ade ɛnadzi nɛ ɔmatɔ a kĩ bavɛ Nazaret a kamɛ a. Foesũ fɔlɛtsa a kĩ Baguma onukpɛ̃ banyɛnɛ a lɛ biyi a ya nɛ foe kamɛ kĩ, “Baavɛ ye kĩ Nazaretni.”
MAT.3.1	Nɛ fuwi a na kamɛ a, Yohanes Mui Ɔwɔlanɛ a ya nɛ Yudea kɔsa a kamɛ, ade eyi lɛtsã kade kayɔ nɛ Baguma fɔlɛtsa a akũ a. 
MAT.3.2	Ɛlɛ kĩ, “Midani mi tɔwɔlɛ kamɛ, kitonɛkĩ Baguma lɛgãkanyakɔ̃ a fuã!” 
MAT.3.3	Yohanes nyɛ́ oti a kĩ Baguma Onukpɛ̃ Ɔnyɛnɛ Yesaya lɛ kɔdzɛla nɛ ye akũ eyi kĩ,
MAT.3.3	“Odi lamɛna fɔwɔla kabɔa nɛ kɔsa kamɛ kĩ,
MAT.3.3	‘Milɔla boe Ɔlate a osi.
MAT.3.3	Mifɔ̃ ye akũ eyo kpĩĩ!’ ”
MAT.3.4	Yohanes do tɛtadiɛ kĩ bɛkɔa ɔpɔnkɔpoku tɛtsã bɛnɔ, ade ɛkɔa ɔyaɛ ovoli abɔsɔ eboomu kate a. Ye funitsã nyɛ koolo mɔ kɔsã. 
MAT.3.5	Bati kato Yerusalem, Yudea tite flee mɔ tite a kĩ tifuã Yordan ɔwɔ a flee akũ kaya nɛ ye sɛkɛ̃. 
MAT.3.6	Bɛnyɛ be tɔkpa bɛtsa ade Yohanes wɔla be mui nɛ Yordan ɔwɔ a kamɛ a.
MAT.3.7	Kĩ Yohanes mɔ́ Farisifɔ mɔ Zadukifɔ beblebee kĩ baya nɛ ye sɛkɛ̃ kĩ ɛwɔla be mui a, ebi be kĩ, “Mi bati kĩ mila ndɛ bɔɛ kpa! Owei lɛkpa mi kɔdɛ kĩ milo nɛ sɔtɔ kavɛlɛ a kĩ Baguma aayamɛna a kamɛ? 
MAT.3.8	Mikɛna fɔtsa a kĩ fɔatsa kĩ midani mi tɔwɔlɛ kamɛ. 
MAT.3.9	Mitakɔna kĩ minyɛ Abraham bawa sũ, míapuli milo sɔtɔ kavɛlɛ a. Mabi mi kĩ Baguma aapuli ɛfɔ̃ boe kĩĩ lɛdani babi mɔ bawa ɛkpa Abraham. 
MAT.3.10	Bike kasɔã kɔkɔɛ nɛ futse tɔbɔlɛ akũ kĩ baatsua. Kutse nyɛ kutse kĩ kɔáwũ babi wĩ ni, baakpeli koe bɛta bido nɛ fi luwotu kamɛ.
MAT.3.11	“Yĩ kɔ̃ ni, nkɔa mui mawɔla mi mui fɔtsa kĩ midani tɔwɔlɛ kamɛ, lɛmɛ oti a kĩ yaaya nɛ yĩ liti a, aakɔa Hũhũ Kpalɛwa mɔ fi ɛwɔla mi mui. Edeĩ kɔbɛ̃ kɔlaa ɛbɛ̃ yĩ, ade ntáfɛta kĩ mawũnya mpabua nɛ ye abɔa malo a. 
MAT.3.12	Ɛnɛɛ ye kɔvɛla nɛ awɛ kĩ yaakɔa ɛwɛ ye kamɔnɛ. Yaafila ye kamɔnɛ eko nɛ oli kamɛ, lɛmɛ yaapila afafa a nɛ fi kĩ fɔádĩ da a kamɛ.”
MAT.3.13	Nɛ lɔkɔ a na kamɛ a, Yesu to Galilea ɛya nɛ Yohanes sɛkɛ̃ nɛ Yordan ɔwɔ a abuĩ kĩ ɛwɔla ye mui. 
MAT.3.14	Lɛmɛ Yohanes wɛ kĩ Yesu ɛdani adzuni. Ebi Yesu kĩ, “Nɔ a kĩ kɛnɛ kĩ awɔla yĩ mui a ni, nɔ mbom lɛya nɛ yĩ sɛkɛ̃?”
MAT.3.15	Lɛmɛ Yesu kpa ye mbuayɛ kĩ, “Finyaakɔ̃ fɔ̃ fɔna lɔmɔ, kitonɛkĩ ade osi kĩĩ akũ bɔ́atsã bɔkɛna fɔtsa a kĩ Baguma awɛ a.” Foesũ Yohanes tunɔ nɛ foe akũ.
MAT.3.16	Kĩ Yohanes wɔla Yesu mui eyua a, ɛnɛ nɛ mui a kamɛ lɛtalɛta, ade ode binya ɛkpa Yesu, ɛmɔ Baguma Hũhũ kĩ yaka ndɛ mblɔduma aye ɛyadzi nɛ ye akũ. 
MAT.3.17	Ade odo odi nɛ eto ode ɛlɛ kĩ, “Ade yĩ mɔawɛ Obi kĩ maátunɔ ye kalɛ nɛ awĩ a, yawo yĩ anɛ.”
MAT.4.1	Ade Hũhũ Kpalɛwa a kpã Yesu ɛnamɛna kɔsa kamɛ kĩ Abonsam ɛsɔ ye ɛdã a. 
MAT.4.2	Kĩ Yesu dzi katanya, lɛnyɛ mɔ suwa fuwi tɛna flee a, kɔlɛ kɔ ye. 
MAT.4.3	Ade Abonsam ya nɛ ye sɛkɛ̃ ebi ye kĩ, “Ntɛ Baguma obi anɛ ni, kekɔ̃ bi boe kĩĩ bɛdani bɛkɛna abodoo.”
MAT.4.4	Lɛmɛ Yesu kpa mbuayɛ kĩ, “Katsɛlɛ Kpalɛwa a lɛ kĩ, ‘Nnɛ́ funitsã odi sũ oti adzi nkpã, mbom edzi nkpã nɛ kalɛ nyɛ kalɛ kĩ kanɛ kato Baguma onukpɛ̃ kamɛ a akũ.’ ”
MAT.4.5	Ade Abonsam kpã Yesu ɛnamɛna Yerusalem, Ɔmatɔ Kpalɛwa a kamɛ a. Ɛkɔa ye ɛnadzɛla nɛ Asɔli Kɔla ode kakɔ geĩ a, 
MAT.4.6	ebi Yesu kĩ, “Ntɛ Baguma obi anɛ ni, vɛnya kaka kanaadza nɛ tite, kitonɛkĩ Katsɛlɛ Kpalɛwa a lɛ kĩ,
MAT.4.6	‘Baguma aakpa ye ode fɔtɔ banyanɛ ɔlɛdo nɛ nɔ akũ,
MAT.4.6	kĩ baakaɛ nɔ nɛ be awɛ kamɛ,
MAT.4.6	ayekĩ ɔláatula nɛ de akũ.’ ”
MAT.4.7	Yesu kpa mbuayɛ kĩ, “Lɛmɛ Katsɛlɛ Kpalɛwa a buki kɛlɛ kĩ, ‘Tasɔ boe Ɔlate nɔ Baguma a ɔdã.’ ”
MAT.4.8	Ade Abonsam buki ɛkpã Yesu ɛnamɛna ɔtɔ geĩ odi kalete, ade ɛnyɛ katinya kamɛ fɔgã kanyakɔ̃ flee, mɔ foe akũ obu ɛtsa ye a. 
MAT.4.9	Abonsam bi ye kĩ, “Maakɔa fukĩĩ flee nkpa nɔ, ntɛ aake aduli osum yĩ.”
MAT.4.10	Yesu kpa ye mbuayɛ kĩ, “Satana, dzakũ nɛ yĩ akũ! Katsɛlɛ Kpalɛwa a lɛ kĩ, ‘Nɔ Ɔlate Baguma odi kɛnɛ kĩ akɛna nɔ akũ ɔkpa lɔkɔa osum ye lɛmɛ.’ ”
MAT.4.11	Ade Abonsam dzakũ ɛfɔnɛ Yesu mɔ ode fɔtɔ banyanɛ yabumɔ ye a.
MAT.4.12	Kĩ Yesu nu kĩ bipi Yohanes bido nɛ kɔla a, ɛdzakũ ɛnaa Galilea tite akũ. 
MAT.4.13	Ɛtánaadzi nɛ Nazaret ɔmatɔ a kamɛ, mbom ɛnadzi nɛ Kapernaum, ɔmatɔ nɛ Galilea ɔwɔ lutubu baũ a ɔwɛ̃. Awã deĩ nɛ Zebulon mɔ Naftali amantam a kamɛ. 
MAT.4.14	Fɔya lɔmɔ ndɛ ayekĩ Baguma Onukpɛ̃ Ɔnyɛnɛ Yesaya lɛ eyi a kĩ,
MAT.4.15	“Zebulon tite mɔ Naftali tite,
MAT.4.15	osi kĩ ɛnaa mpo abuĩ mɔ Yordan ɔwɔ liti
MAT.4.15	Galilea, bikĩ bɛnyɛ́ Yudafɔ tite!
MAT.4.16	Bati a kĩ bidzi nɛ ɔtũ kamɛ a
MAT.4.16	mɔ́ ɔhaĩ kpale.
MAT.4.16	Ade bikĩ bidzi nɛ tite kĩ wuda nya te akũ a,
MAT.4.16	ɔhaĩ a nɛ́ ɛkpa be.”
MAT.4.17	Kito lɔkɔ a na, Yesu yi lɛtsã kade kayɔ kĩ, “Midani mi tɔwɔlɛ kamɛ, kitonɛkĩ Baguma lɛgãkanyakɔ̃ a fuã!”
MAT.4.18	Kĩ Yesu tsɛ̃ Galilea ɔwɔ lutubu baũ abuĩ yanaa a, ɛmɔ́ bawaɛ̃nyole nviã kĩ bɛnyɛ kɔfɔabi banyɛnɛ. Ade be nyɛ Simon kĩ bavɛ Petro mɔ ɔwaɛ̃ Andrea, kĩ bɛkata tɛsau nɛ lutubu baũ a kamɛ. 
MAT.4.19	Yesu bi be kĩ, “Miyatomɔ yĩ lɔkɔa maakɛna mi bati banyɛnɛ.” 
MAT.4.20	Nɛ awã naa, bɛfɔnɛ be tɛsau awɛ bitomɔ ye.
MAT.4.21	Yesu naa lɔtɔ ade ɛmɔ bawaɛ̃nyole nviã bɛbã, Yakobo mɔ Yohanes kĩ bɛnyɛ Zebedeo babi. Bɛna nɛ be ɔkɔlɔ kamɛ bɛmɔ ɔlɛga Zebedeo bɛkalɔla be tɛsau. Yesu vɛ be, 
MAT.4.22	ade lɛtalɛta bɛfɔnɛ ɔkɔlɔ a mɔ be ɔlɛga awɛ biyi, bitomɔ ye a.
MAT.4.23	Yesu tsã emini nɛ Galilea tite flee akũ ɛkatsa fɔtsa nɛ Yudafɔ fɔtsɛnakɔ̃ a. Ede lɛtsã nɛ Kalɛ Wĩ akũ nɛ Baguma lɛgãkanyakɔ̃ a akũ, ade ɛtsa fɔsɔ ahɔlɔ ahɔlɔ flee a. 
MAT.4.24	Ye akũ fɔlɛtsa gba nɛ Siria tite flee akũ, foesũ bati kpã be a kĩ basɔ fɔsɔ ahɔlɔ ahɔlɔ a bɛma ye, bati kĩ bideĩ nɛ fɔsɔ mɔ ɔhau kamɛ, bikĩ hũhũ kpa deĩ nɛ be kamɛ, bikĩ odetɔ fɔsɔ kaha be, mɔ abafã amɛ, ade Yesu tsa be flee a. 
MAT.4.25	Bati kɔdabu baũ kĩ bito Galilea tite akũ, mɔ Tɛmatɔ Ewua kamɛ, Yerusalem ɔmatɔ, Yudea tite akũ mɔ Yordan ɔwɔ liti tite akũ a yatomɔ ye.
MAT.5.1	Kĩ Yesu mɔ́ bati kɔdabu a, ede ɛnaa ɔtɔ akũ ɛnakɛna akũ edzi. Ye fɔtsa bakɔlɛnɛ a yakpɔta nɛ ye sɛkɛ̃. 
MAT.5.2	Ade edo be fɔtsa katsa awɛ kĩ,
MAT.5.3	“Baguma hila bikĩ binyina kĩ bɛnyɛ ahiãfɔ nɛ Baguma anɛ a,
MAT.5.3	kitonɛkĩ be la Baguma lɛgãkanyakɔ̃ a.
MAT.5.4	Baguma hila bikĩ babe kɔnya a,
MAT.5.4	kitonɛkĩ Baguma aadɔla be tɔwɔlɛ.
MAT.5.5	Baguma hila bikĩ bɛdɔla be akũ a,
MAT.5.5	kitonɛkĩ ade be aanya tite akũ adzapadiɛ a.
MAT.5.6	Baguma hila bikĩ Baguma kawɛ akũ kakɛna kɔlɛ mɔ ɔmɔado akɔ be a,
MAT.5.6	kitonɛkĩ Baguma aafɔ̃ biwĩ!
MAT.5.7	Baguma hila bikĩ bamɔ bati kɔnya a,
MAT.5.7	kitonɛkĩ ade be Baguma aamɔ kɔnya a!
MAT.5.8	Baguma hila bikĩ be tɔwɔlɛ teĩ nɛ ye odi akũ,
MAT.5.8	kitonɛkĩ ade be aamɔ Baguma a!
MAT.5.9	Baguma hila bikĩ bakɛna lukudɔ nɛ bati kayite,
MAT.5.9	kitonɛkĩ Baguma aavɛ be kĩ ye babi!
MAT.5.10	Baguma hila bikĩ batomɔ be liti, nɛ ye kawɛ akũ kakɛna sũ a,
MAT.5.10	kitonɛkĩ be la Baguma lɛgãkanyakɔ̃ a!
MAT.5.11	“Baguma hila mi ntɛ bati avũna mi, katomɔ mi liti, kalɛ tuwuli kpa nɛ mi akũ, nɛ yĩ sũ. 
MAT.5.12	Mimɔ kawɔlɛ, mitu osee, kitonɛkĩ mideĩ kɔtɔkase kpale nɛ ode. Ade ayea bitomɔ Baguma onukpɛ̃ banyɛnɛ a kĩ bɛnya mi lɔtɔ a liti a.
MAT.5.13	“Mila ndɛ lɛdɛmɛ mikpa batidziwa flee. Lɛmɛ ntɛ lɛdɛmɛ yɛla de ɔmɛnɛ ni, osi odima lɛláa kĩ baatsã bibuki bido de ɔmɛnɛ. Lɛdani fɔtsa pupulidza foesũ bata de kawula lɔkɔa bati asumini de.
MAT.5.14	“Mila ndɛ ɔhaĩ mikpa batidziwa flee. Bɛláapuli bɛkɔla ɔmatɔ kĩ bitsua nɛ ɔtɔ akũ. 
MAT.5.15	Odima látɛna ɔsɛdza kakɔa lɔɔda katsa ye, mbom yakɔa ye kate nɛ ɔsɛdza otse akũ nɛ awã kĩ yaakpalɛ fɔkɔ ɛkpa odi nyɛ odi nɛ tɔtɔ a kamɛ. 
MAT.5.16	Ade ayea kɛnɛ kĩ mi ɔsɛdza ɛtɛ̃ nɛ bati anɛ, ayekĩ baamɔ fɔtsa wĩ a kĩ miakɛna a, lɔkɔa bimu mi Ɔlɛga nɛ ode a.”
MAT.5.17	Ade Yesu buki ɛlɛ kĩ, “Mitakɔna kĩ ĩya kĩ mayaafɔnɛ Mose mbla a mɔ Baguma onukpɛ̃ banyɛnɛ fɔtsa katsa a awɛ. Ntáya kĩ mayaafɔnɛ foe awɛ, mbom ĩya kĩ mayaakɛna foe fɔkpɔla. 
MAT.5.18	Mabi mi nɛ ɔnɔkɔali kamɛ kĩ ayekĩ tite mɔ ode táwɔ tɔ̃ kĩĩ ni, bɛláafɔnɛ katsɛlɛ kabii ĩye ke akũ lɛtsa kabii nɛ mbla a kamɛ awɛ, mbɔɛntɛ lɛtsa nyɛ lɛtsa ya nɛ foe kamɛ. 
MAT.5.19	Foesũ odi nyɛ odi kĩ yaafum mbla kabii adi, ɛtsa bati bɛbã lɛmɛ bɛkɛna lɔmɔ ni, yaanya obisɛ̃ kɔlaa nɛ Baguma ode lɛgãkanyakɔ̃ a. Lɛmɛ odi nyɛ odi kĩ ɛkɛna nɛ mbla a akũ, mɔ ɛtsa bati bɛbã lɛmɛ kĩ bɛkɛna foe lɔmɔ ni, yaanya ɔnɔkɔɛ̃ nɛ Baguma ode lɛgãkanyakɔ̃ a. 
MAT.5.20	Foesũ mabi mi kĩ míapuli miwo nɛ ode lɛgãkanyakɔ̃ a, ntɛ miakɛna nɛ Baguma kawɛ akũ kaba mbla batsanɛ mɔ Farisifɔ a.
MAT.5.21	“Minu kĩ kɔkɔɛ a, bibi bati kĩ, ‘Takɔ oti, ade odi nyɛ odi kĩ edi awu ni, baadzɛmɔ ye.’ 
MAT.5.22	Lɛmɛ finyaa mabi mi kĩ odi nyɛ odi kĩ ɛna kalɔkpa nɛ ɔwaɛ̃ akũ ni, baadzɛmɔ ye. Odi nyɛ odi kĩ ɛvɛ ɔwaɛ̃ kĩ, ‘Ɔkɔasia’ ni, baakpã ye bɛnamɛna nɛ Ɔmaĩ banɔkɔɛ̃ anɛ bɛdzɛmɔ ye, ade odi nyɛ odi kĩ ɛvɛ ɔwaɛ̃ kĩ, ‘ɔyaɛ’ ni, ɛfɛta ɛkpa ode fi luwotu a kamɛ kanaa. 
MAT.5.23	Foesũ ntɛ ɔwɛ kĩ akɔa nɔ afɔlibɔ fɔtsa ɔnaate nɛ afɔlibɔ atɛnyɛ akũ ɔkpa Baguma, mɔ ote anɛ kĩ awaɛ̃ nɛɛ nɔ kalɔɛ ni, 
MAT.5.24	fɔnɛ nɔ afɔliɛ fɔtsa a awɛ kayi nɛ afɔlibɔ atɛnyɛ a lɔtɔ nɛ awã, kamuniki kanaalɔla mi mɔ ye kayite tɔ̃ fɔmɔ ayakɔa nɔ afɔliɛ fɔtsa ɔkpa Baguma.
MAT.5.25	“Ntɛ odi sama nɔ nɛ fɔlɛtsa kadzɛkɔ̃ ni, bɔa mbɔdi milɔla mi kayite nɛ lɔkɔ a kĩ lideĩ fɔmɔ baavɛ kalɛ a. Ntɛ nnɛ́ aye mɔ miwo fɔlɛtsa kadzɛkɔ̃ a, oti a aakɔa nɔ edo nɛ fɔlɛtsa ɔdzɛnɛ awɛ. Fɔlɛtsa ɔdzɛnɛ a lɛmɛ aakɔa nɔ ɛkpa polisifɔ ade baado nɔ nɛ kɔla a. 
MAT.5.26	Mabi nɔ nɛ ɔnɔkɔali kamɛ kĩ ade awã aana flee kɛnaawo lɔkɔ a kĩ ose kɔtɔ a flee oyua a.
MAT.5.27	“Minu kĩ bɛlɛ kĩ, ‘Batsɔ̃ mɔ banyɔ bɛtanɛ bakɔba liti.’ 
MAT.5.28	Lɛmɛ finyaa mabi mi kĩ odi nyɛ odi kĩ ɛmɔ́ otsole, mɔ ɛkɔ ye odo ni, ɛwɛ ye kɔkɔɛ nɛ ye ɔwɔlɛ kamɛ. 
MAT.5.29	Foesũ ntɛ nɔ sɔmɔna linebi afɔ̃ akɛna tɔkpa ni, bɔlɛ de kata kamuni. Fɔnɛnɛ fɔkpa nɔ kĩ ayɛla nɔ sukɛna kakɔ kadi kɛba kĩ baata nɔ oti mɔa bido nɛ fi kĩ fɔádĩ kamɛ. 
