MAT.1.1	Gɛ́ ŋwɛ mabɔ ukwéne antɛ Jisɔs Kras mpyáne mfwa Dɛvid, Dɛvid mpyáne Abraham. 
MAT.3.5	Ne gejamégé bɔɔ́ áchwɔ́ manwú mekomejɔɔ́ ayi Jɔn agárege. Bɔɔ́ bina átané Jɛrosalɛ, ne gebagé mewaá Judiya meko ne malɔ́ mako ayi álú kwɔ́kwɔ́lé ne ɛbɛɛ́ Jodan. 
MAT.3.6	Ndɛre ɛbwɔ́ áshuú ɛkúu né gabo ayi ɛbwɔ́ ápyɛɛ́, Jɔn awyaágé ɛbwɔ́ manaá Ɛsɔwɔ né mmu ɛbɛɛ́ Jodan.
MAT.3.7	Ndɛre Jɔn ágárege mbɔ, agɛ́ gejamégé ɛkwɔ bɔ́ Farasi ne ɛkwɔ bɔ́ Sadusi fɔ ndɛre áchwɔɔ́ nnó ji awyaá ɛbwɔ́ manaá Ɛsɔwɔ, aké ne ɛbwɔ́, “Ɛnyú mmyɔ! Ndé muú agaré ɛnyú nnó, dekage bó ɛfwyale ɛwé Ɛsɔwɔ achwɔ́ tɔ́?” 
MAT.3.8	Yɛ́ndémuú nyú apyɛ́gé unó ɛbí úlɛré nnó akwɔré metɔɔ́ wuú alyá gabo wáwálé. 
MAT.3.9	Défɛrégé fɔ́ nnó, dekage déjwɔ́le déli mmyɛ nnó, ɛlé ɛsé délú upyáne Abraham dékágé bó ɛfwyale ɛwé ɛchwɔɔ́. Kaáge wáwálé nnó, Ɛsɔwɔ akage pyɛ mataá yina ábwɔlé upyáne Abraham. 
MAT.3.10	Yɛ nana, ɛnyú debɔ́ mankaá nnó, ábwɛɛ́ mɛ́ ɛtɔɔ́ mfaá mango yɛndé genɔɔ́ ne makaka ɛyigé gélágé wɔmé umpomé ulɔ́úlɔ́ ásɔ́ré áfɔme mmu mewɛ. 
MAT.3.11	Me nwyage ɛnyú ne manaá Ɛsɔwɔ mamimami manlɛré nnó, ɛnyú dékwɔ́ré matɔɔ́ nyú. Yɛ́mbɔ, muú fɔ achwɔ́ mbɔ me meso, ayi áŋeá gemɛ apwɔ me, nkwané yɛ́ muú ayi mkpane unó uká bií wɔ́. Achwɔgé, awyage nyɛ ɛnyú ne Mendoó Ukpea ne mewɛ. 
MAT.3.12	Achwɔɔ́ nyɛ́ ne ɛ́kɔ́riyá né ɛbwɔ wuú mánchá ɛsa. Anerégé ashwané nyɛ matoó álá pópó, afyɛ ɛsa né mmu uba abelé. Ne ukwɔɔ́ ɛbi ulaá akpane agbɛ né mewɛ ɛwé ɛ́lá nómégé. 
MAT.3.13	Ɛ́wyá yɛ́ wɔ́, Jisɔs atané gebagé mewaá Galilií achwɔ́ né ɛbɛɛ́ Jodan mbaá Jɔn nnó awyaá ji manaá Ɛsɔwɔ. 
MAT.3.14	Yɛ́mbɔ, Jɔn abɔ́ ashya ne ajɔɔ́ ne Jisɔs aké, “Nnó me nchwɔ́ ɛta wyɛ́ ɔwyaá me manaá Ɛsɔwɔ, wɔ ɔma ɔchwɔ́ ɛta wáa?” 
MAT.3.15	Jɔn ájɔ́gémbɔ, Jisɔs ashuú ji meko aké, “Gɔ́ ɛ́wú ɛ́bɛ́ mbɔ nana, ɛlɔme nnó dépyɛ́ yɛ́ndégenó ɛyigé Ɛsɔwɔ akɛ́lege. Ɛ́fɛɛ́ ne Jɔn ákamé manwyaá Jisɔs manaá Ɛsɔwɔ.” 
MAT.3.16	Tɛ́nétɛ́né ayi áwyaá Jisɔs manaá Ɛsɔwɔ, atané mmu nnyi, aké apɛle mfaánebuú anené, agɛ́ Mendoó Ɛsɔwɔ ɛ́shúlege nkane gepwine ne ɛchwɔ́ tɛ́ne ji mmyɛ́. 
MAT.3.17	Ne meko atané mfaánebuú aké, “Gɛ́ maá wa na, ngboó ne ji, apyɛɛ́ metɔɔ́ ɛgɔɔ́ me.”
MAT.4.1	Ɛ́fɛɛ́ Mendoó Ukpea ɛ́pyɛ Jisɔs afɛ́ né mashwɔne nnó danchɔmeló ammua ji. 
MAT.4.2	Jisɔs abɛlé ɛ́wu usaá ndɔ upea, utuú ne ŋwɔmésé ayi álá nyɛɛ́ menyɛɛ́ wɔ́ ne mesa alɔ́ mammyɛ ji. 
MAT.4.3	Gébé ɛyígémbɔ ne danchɔmeló áchwɔ́ jɔɔ́ ne ji aké, “Mbɔgé wɔ ɔlu Maá Ɛsɔwɔ, garé mataá áyina ábwɔ́lé ntoó brɛd.” 
MAT.4.4	Jisɔs ashuú ji meko aké, “Ásá mmu ŋwɛ Ɛsɔwɔ nnó, menyɛɛ́ jiji fɔ́ wɔ́ awyaá ɛshyɛ mángbaré geŋwáge mekwaá wɔ́, yɛ́ndé mekomejɔɔ́ ayi Ɛsɔwɔ ajɔɔ́ awya ntó ɛshyɛ mangbaré geŋwáge mekwaá.” 
MAT.4.5	Ajɔɔ́gé mbɔ, danchɔmeló asɛ ji afɛ́ né Jɛrosalɛ melɔ ukpea, abelé ji né melu ɛwé ɛ́lú tɛtɛ mfaá ɛcha upɛ Ɛsɔwɔ. 
MAT.4.6	Ne aké ne ji, “Mbɔgé wɔ ɔlu Maá Ɛsɔwɔ, nyó chɔ mme, néndé ásá né mmu ŋwɛ Ɛsɔwɔ nnó, ‘Ɛsɔwɔ atɔme nyɛ makiɛ́nné jií nnó áchwɔ́ ábámé wɔ’, áma sá nnó:
MAT.4.6	‘Ágbárege nyɛ́ wɔ né amu bwɔ́ chánchá nnó ɔ́kagé ɔ́tó ɛnɔɔ́ geká né ntaá.’”
MAT.4.7	Jisɔs ashuú ji meko aké, “Ŋgba, me nyogé fɔ́ néndé, ásá ntó né mmu ŋwɛ Ɛsɔwɔ nnó, ‘Mekwaá ákpelégé fɔ́ Ntɛ wuú Ɛsɔwɔ mankpea ji nnó ápyɛ́ genó.’” 
MAT.4.8	Ályágé ɛfɛɛ́, danchɔmeló ama akpá ji áfɛ né mfaá mékwɛ́ ɛwé ɛ́ŋɔgé dɔɔ́ ne alɛré ji malɔ mme mako ne gefwa ɛyi gélú wyɛ́. 
MAT.4.9	Ne alɛ́régé Jisɔs mbɔ, ajɔɔ́ ne ji aké, “Menchyɛge nyɛ wɔ unó bina uko mbɔgé ɔtogé manó mme ɔnogé me.” 
MAT.4.10	Jisɔs anyá ji aké, “Kwilé me ushuú, wɔ danchɔmeló, ása mmu ŋwɛ Ɛsɔwɔ aké, ‘Ɔbɔ́ manógé ɛlé Ntɛ wyɛ Ɛsɔwɔ jimbií ne ɔkpáné wyɛ lé ji defwɛ.’” 
MAT.4.11	Ájɔ́gé mbɔ, danchɔmeló alyá ji afɛ́. Ɛ́fɛɛ́ ne makiɛ́nné Ɛsɔwɔ áchwɔ́ póo Jisɔs.
MAT.4.12	Jisɔs áwúgé nnó ápyɛ Jɔn menwyaá bɔɔ́ manaá Ɛsɔwɔ áfyɛɛ́ denɔ, alyá gebagé mewaá Judiya akeré né gebagé mewaá Galilií. 
MAT.4.13	Ájyɛ́gé, ábɛlé fɔ́ né Nasarɛt dɔɔ́ wɔ́, akoó kóge ajyɛ́ jwɔ́lé né Kapanɔm melɔ ɛwé ɛ́lú né mapea gentoógé mewaá Galilií né gebagé mewaá Sɛbulɔn ne Naftali. 
MAT.4.14	Ɛbɔ ɛpyɛmbɔ nnó genó ɛyigé Asaya muú ɛkpávé Ɛsɔwɔ asamé gébɛ́ wáwálé nnó,
MAT.4.15	“Mme Sɛbulɔn ne mme Naftali, mme ayi álú meti ɛbɛɛ́ mega, né ɛ́gbɛ́ ɛbɛɛ́ Jodan, gebagé mewaá Galilií ɛyigé gejamégé bɔɔ́ abi álá pɔ bɔɔ́ Jus ájwɔ́lege wyɛ. 
MAT.4.16	Bɔɔ́ abi ábɔ́ álú mmu gemua ágɛ́ gekpɛ́kpɛ́gé geŋgbɔ́. Ne bɔɔ́ bi álú nya mmu manoó negbo, nana geŋgbɔ́ gégɛné, ɛbwɔ́ átane meti.”
MAT.4.17	Ɛlɔ́ né gébé ɛyígémbɔ, Jisɔs alɔ mangaré bɔɔ́ mekomejɔɔ́ Ɛsɔwɔ aké, “Kwɔ́rege matɔɔ́ nyú délya gabo nénde, gébé ɛyigé Ɛsɔwɔ ágbárege gefwa jií ne bɔɔ́ géla kwɔ́kwɔ́lé.”
MAT.4.18	Bií fɔ, ndɛre Jisɔs akɛ́ne né mbále ɛbɛɛ́ mega ɛwe ɛlu né Galilií, agɛ́ áŋmɛ́ ápea mmá ama, ntɛ ama. Ama akamege Simun ayi ákuú ji ntó nnó Pita, ne meŋmo wuú Andru. Ɛbwɔ́ áŋmée utófó bwɔ́, ɛlé álu áwáné meshuú. 
MAT.4.19	Jisɔs ajɔɔ́ ne ɛbwɔ́ aké, “Kwɔ́lege me, nlɛrege nyɛ ɛnyú, ndɛre ákpálege bɔɔ́ ɛké meshuú.” 
MAT.4.20	Tɛnétɛné yimbɔ Simun ɛbwɔ́ ne meso wuú Andru ályaá utófó bwɔ́ ne ákwɔlé ji. 
MAT.4.21	Ndɛre Jisɔs ályá ɛfɛɛ́ ajyɛɛ́ mbɛ gachyɛ, áma gɛ́ áŋmó abifɔ ápeá Jɛmsi ne Jɔn meŋmo wuú ɛbwɔ́ álú baá Sɛbɛdee. Álú né mmu ɛ́kpée ne ntɛ bwɔ́ Sɛbɛdee átóme upaá utófó bwɔ́. Akuú ɛbwɔ́ nnó ákwɔ́le ji. 
MAT.4.22	Jisɔs ajɔ́gé mbɔ, yɛ́ gébé áchɔ wɔ́ ályá ɛkpée mbaá ntɛ bwɔ́ ne ákwɔlé ji.
MAT.4.23	Ne Jisɔs akɛné gebagé mewaá Galilií geko. Ndɛre akɛne, alɛrege bɔɔ́ mekomejɔɔ́ Ɛsɔwɔ, né mmu macha mmyɛmenɛne bwɔ́. Agarege ɛbwɔ́ abya melɔ́mélɔ́ ndɛre Ɛsɔwɔ ágbárege gefwa ne bɔɔ́ bií. Ama apyɛ bɔɔ́ abi ameé mamée ufɔɔ́ ufɔɔ́ átóoge. 
MAT.4.24	Abya yi apyɛ ŋgɔ́ Jisɔs akwɔ́ kpaá akwɔné gebagé mewaá Siriya geko. Bɔɔ́ ákpáne bɔɔ́ bwɔ́ ako abi ámeé mameé úfɔɔ́ úfɔɔ́ ne abi ágɛne ɛfwyale dɔɔ́ áchwɔ́ ɛta wuú nnó ápyɛ ɛbwɔ́ átoó. Né geluágé bɔɔ́ bina, abifɔ áwyá aló nchyɛ, abifɔ ákwéne usasa ne abifɔ ámeé uchanchi. Jisɔs apyɛ ɛbwɔ́ átoó. 
MAT.4.25	Ɛwena ɛ́pyɛgémbɔ, gejamégé bɔɔ́ ako abi átané gebagé mewaá Galilií ne gebagé mewaá ɛyige ákuú nnó malɔ́ áfya ne Jɛrosalɛ ne Judiya né ɛgbɛ́ ɛbɛɛ́ Jodan, ɛbwɔ́ ako álɔ mankwɔlége Jisɔs. 
MAT.5.1	Jisɔs ágɛ́gé gejamégé bɔɔ́ abi áchwɔɔ́ matoómatoó né mbaá ayi ji alú, akwɔ́ ajyɛ jwɔle mfaá mekwɛ́. Ne baá utɔɔ́ bií ájwɔlé ánɔ ji mme.
MAT.5.2	Ne alɔ mánlɛré ɛbwɔ́ aké: 
MAT.5.3	“Ɛsɔwɔ ajé bɔɔ́ abi ágɛné nnó mbɔgé ji álá pɔ́ ɛbwɔ́ ápɔ́ yɛ́ genó; néndé gefwa ɛyigé Ɛsɔwɔ ágbárege ne bɔɔ́ bií gelú ɛyigé bwɔ́. 
MAT.5.4	Ɛsɔwɔ ajé bɔɔ́ abi álú ne masome, néndé Ɛsɔwɔ áfyɛɛ́ nyɛ ɛbwɔ́ metɔɔ́. 
MAT.5.5	Ɛsɔwɔ ajé bɔɔ́ abi alá sɛ́lé gemɛge bwɔ́ ɛke genó, néndé mme meko abɛɛ́ nyɛ́ awe bwɔ́. 
MAT.5.6	Méjé ɛlu ne bɔɔ́ abi áwyaá matɔɔ́ mampyɛ genó ɛyigé Ɛsɔwɔ akɛ́lege, néndé ji apyɛɛ́ nyɛ ɛbwɔ́ ápyɛ genó ɛyigé ɛbwɔ́ ákɛ́lege. 
MAT.5.7	Ɛsɔwɔ ajé bɔɔ́ abi ágɛne bɔɔ́ meshwɛ, néndé Ɛsɔwɔ ntó agɛne nyɛ́ ɛbwɔ́ meshwɛ. 
MAT.5.8	Ɛsɔwɔ ajé ɛbwɔ́ abi áwyá matɔɔ́ mmu pópó, néndé ágɛ́ne nyɛ Ɛsɔwɔ ne amɛ bwɔ́. 
MAT.5.9	Ɛsɔwɔ ajé bɔɔ́ abi ámmyɛɛ́ nnó bɔɔ́ ábɛ́ nesɔ ne atɛ, néndé, ákuú nyɛ ɛbwɔ́ nnó baá Ɛsɔwɔ. 
MAT.5.10	Ɛsɔwɔ ajé bɔɔ́ abi bɔɔ́ ámyɛ́ amu ne ɛbwɔ́ gétúgé ápyɛ unó ɛbí Ɛsɔwɔ akɛ́lege néndé gefwa ɛyigé Ɛsɔwɔ ágbárege ne bɔɔ́ bií gelu ɛyigé bwɔ́. 
MAT.5.11	Méjé ɛlu ne ɛnyú abi bɔɔ́ áju ɛnyú mashyɛ mmyɛ, ɛnyú abi ámmyɛɛ́ amu ne ɛnyú detúdetú ne ɛnyú abi ama ájɔɔ́ge ufɔɔ́ unó uboubo ɛbi úlú gebyɔ́ ɛta nyú gétúgé dékwɔlegé me. 
MAT.5.12	Bɛ́ge lé ne metɔɔ́ megɔmegɔ ne nechɔ́chɔ́, néndé, gekpɛ́kpɛ́gé nsá nyú alu né mfaánebuú. Kaáge ntó nnó mbɔ ne ámyɛ nyá amu ne bɔɔ́ ɛkpávɛ́ Ɛsɔwɔ abi ábɔɔ́ mbɛ ne ɛnyú.”
MAT.5.13	Ɛnyú bi delu áŋkwɔle baá délu ɛke mega mbaá bɔɔ́ mme meko, yɛ́mbɔ mbɔgé mega ɛ́lá pɔ́ sé ne ugɔ bií, ápyɛɛ́ mbɔ nnó ne ugɔ bií ukéré? Ɛfúlé sé yɛ́ genó, ɛla lé genó ɛyigé ágbɛ́le dafyɛ bɔɔ́ ájyále ne uka. 
