MAT.1.1	Inan binndi kollooji inɗe maamiraaɓe Iisaa Almasiihu, dimaaɗo ley lenyol Daawda, taan Ibrahiima:
MAT.1.18	Inan no Iisaa Almasiihu rimiraa: Mariyama inniiko oon wo kaɓɓanaaɗo Yuusufi. Ammaa fadde makko e suddeede, tawi o reedirii saabe baawɗe Ruuhu Ceniiɗo. 
MAT.1.19	Yuusufi kaɓɓanɗo mo oon wo neɗɗo ponnditiiɗo, yiɗaa semtinde mo, anniyake fiirtude kaɓɓal ngaal e suuraare. 
MAT.1.20	Nde o miilotonoo ɗum ndeen, maleyka Joomiraaɗo wari to makko ley koyɗol, wi'i mo:
MAT.1.20	—Yuusufi, taan Daawda, taa hulu ɓaŋude Mariyama, sabo ɓinngel ngel saawi ngeel e Ruuhu Ceniiɗo ƴuuri. 
MAT.1.21	O riman ɓiɗɗo gorko. Inndiraa mo Iisaa, sabo wo kanko hisinta yimɓe makko e hakkeeji muɓɓen.
MAT.1.22	Ɗum fuu, ɗum waɗii faa haala ka Laamɗo yottini annabaajo kaan tabita nde wi'unoo:
MAT.1.23	«Surbaajo mo anndaa gorko reedan,
MAT.1.23	rima ɓiɗɗo gorko.
MAT.1.23	O inndirte Imanuwel.»
MAT.1.23	Maanaa innde ndeen wo: «Laamɗo ina wondi e meeɗen».
MAT.1.24	Nde Yuusufi finunoo ndeen, waɗi no maleyka Joomiraaɗo wi'iri ɗum noon. O ɓaŋi Mariyama, 
MAT.1.25	ammaa o wondaay e muuɗum faa rimi ɓiɗɗo gorko. Yuusufi inndiri ɓiɗɗo oon Iisaa.
MAT.2.1	Iisaa rimaama Baytilaama ley leydi Yahuudiya e jamaanu laamu Hirudus. Jom'en anndal ƴuuri lettugal, ngari Urusaliima. 
MAT.2.2	Nde ɓe ngarnoo ndeen, ɓe mbi'i:
MAT.2.2	—Toy kaananke Alhuudiyankooɓe dimaaɗo joonin oon woni? Min nji'ii hoodere makko ɓangii lettugal, min ngarii sujidande mo.
MAT.2.3	Nde Hirudus kaananke oon nannoo ɗum fu, huli, kam e yimɓe Urusaliima fuu. 
MAT.2.4	O noddi hooreeɓe almaami'en e jannginooɓe Tawreeta ɓeen fuu, o ƴami ɗum'en toy Almasiihu oon jeyi rimeede. 
MAT.2.5	Ɓe njaabii mo, ɓe mbi'i:
MAT.2.5	—Baytilaama ley leydi Yahuudiya, sabo inan ko annabaajo winndunoo:
MAT.2.6	«Aan, Baytilaama, leydi Yahuudiya,
MAT.2.6	tannyoral a wanaa wuro famaro hakkunde gure Yahuudiya mawɗe ɗeen.
MAT.2.6	Sabo ardotooɗo ƴuuran e maaɗa,
MAT.2.6	garoowo faa dura yimɓe am, Israa'iilankooɓe.»
MAT.2.7	Ndeen Hirudus noddi jom'en anndal ɓeen e cuncukka, ƴami ɓe wakkati mo hoodere ndeen ɓangi. Ɓe paamini mo. 
MAT.2.8	Caggal ɗuum, o neli ɓe Baytilaama. O wi'ii ɓe:
MAT.2.8	—Njehee, kumpitowoɗon kabaaru cukalel ngeel faa tannyoron. Si on nji'ii ngel fu, ngaron kumpiton kam faa miin du mi yaha, mi sujidanowa ngel.
MAT.2.9	Nde ɓe nannoo ko kaananke oon haali ɗuum ndeen, ɓe ndilli. Hoodere nde ɓe njiinoo lettugal ndeen ardii ɓe yaade. Nde ardii ɓe faa nde yottii ɗo cukalel ngeel woni ɗoon, de nde darii. 
MAT.2.10	Ko ɓe nji'i hoodere ndeen ɗuum, ɓe ceyii seyo manngo sanne. 
MAT.2.11	Ɓe naati ley suudu nduun, ɓe nji'i cukalel ngeel e inniigel Mariyama. Ɓe kippii e leydi, ɓe cujidani ngel. Ɓe njaltini gineeji maɓɓe, ɓe teddiniri ngel kaŋŋe e sii uurdi mbelndi e ɗakke uurɗe bi'eteeɗe miiri. 
MAT.2.12	Caggal ɗuum, Laamɗo gongini ɓe ley koyɗol taa ɓe njeccoo to Hirudus. Ndelle ɓe kootiri leydi maɓɓe laawol gonngol.
MAT.2.13	Nde jom'en anndal ɓeen ndillunoo fu, maleyka Joomiraaɗo wari e Yuusufi ley koyɗol, wi'i ɗum:
MAT.2.13	—Umma, hooƴu cukalel ngel e inna muuɗum, ndoggaa njahaa Misira. Keddoɗaa toon faa nde mbi'oymaami ngartaa. Sabo Hirudus filoto cukalel ngel faa wara ngel.
MAT.2.14	Yuusufi ummii jemma, hooƴi cukalel ngeel e inniigel, de ɓe ndilliri Misira. 
MAT.2.15	O heddii toon faa Hirudus maayi, faa haala ka Laamɗo yottini annabaajo kaan tabita nde wi'unoo:
MAT.2.15	«Mi noddii ɓiyam wurtoo ley Misira.»
MAT.2.16	Nde Hirudus faamunoo jom'en anndal ɓeen njambake ɗum ndeen, tikki sanne. O yamiri cukaloy ngoroy Baytilaama e ɗakkol muuɗum fuu mbaree, gilla keccoy faa ngaɗukoy duuɓi ɗiɗi. O waɗii ɗum fodde wakkatiiji ɗi jom'en anndal ɓeen kokki mo ɗiin. 
MAT.2.17	Noon haala ka annabi Yeremiya haalnoo kaan tabitiri nde wi'unoo:
MAT.2.18	«Wullaango nanaama ley wuro Rama,
MAT.2.18	bojji e uumaali ɗuuɗɗi:
MAT.2.18	Rahiina
MAT.2.18	jaɓaay ɓerndem waaltinee, sabo koy keddaaki.»
MAT.2.19	Caggal maayde Hirudus, maleyka Joomiraaɗo wari e Yuusufi to leydi Misira toon e ley koyɗol, 
MAT.2.20	wi'i ɗum:
MAT.2.20	—Umma, hooƴu cukalel ngel e inna muuɗum, njeccoɗon leydi Israa'iila, sabo yiɗunooɓe warude suka oon ɓeen maayii.
MAT.2.21	Yuusufi ummii, hooƴi cukalel ngeel e inniigel, ɓe kooti leydi Israa'iila. 
MAT.2.22	Ammaa o nanii Arkalaawu loomtii bammum Hirudus, laamake leydi Yahuudiya, de o huli yahude toon. O sappaa e ley koyɗol faa o yehi leydi Galili. 
MAT.2.23	O hoɗowi wuro wi'eteengo Nasaraatu. Noon ɗum laatorii faa ko annabaaɓe mbi'unoo ɗuum tabita: «O wi'ete Nasaraatuujo.»
MAT.3.1	E jamaanu oon, Yaayaa lootoowo lootagal batisima ɓangi. Imo gooyna ley ladde Yahuudiya, imo wi'a:
MAT.3.2	—Tuubee, sabo laamu Laamɗo ɓadake.
MAT.3.3	Oon woni mo annabi Esaaya sappinoo, nde wi'unoo:
MAT.3.3	«Daande ina ƴeewnoo ley ladde ina wi'a:
MAT.3.3	Moƴƴinee laawol Joomiraaɗo,
MAT.3.3	ndartinee ɗati makko!»
MAT.3.4	Yaayaa ina ɓornii kaddungal canyiraangal leeɓi geelooɗi, ina haɓɓii kaɓɓorgol nguru. Nyaamdu makko wo baɓɓatti e njuumndi ladde. 
MAT.3.5	Yimɓe ƴuuri Urusaliima e leydi Yahuudiya e seraaji gooruwol Urdun fuu, ngari to makko. 
MAT.3.6	Iɓe kaalta hakkeeji maɓɓe, de Yaayaa ina loota ɓe lootagal batisima
MAT.3.7	Ko o yi'i Farisa'en e Saduki'en heewɓe na ngara faa lootee lootagal batisima ɗuum, o wi'i ɗum'en:
MAT.3.7	—Onon ɓiɓɓe bolle! Moy sappani on ndoggon tikkere Laamɗo waroore? 
MAT.3.8	Ngollee golleeji kawrooji e tuubugol. 
MAT.3.9	Taa kooloɗon on kisan saabe wo on taaniraaɓe Ibrahiima. Sabo miɗo wi'a on: Laamɗo ina waawi waylitinde kaaƴe ɗe laatoo ɓiɓɓe Ibrahiima! 
MAT.3.10	Joonin, jammbere ƴeptaama faa soppa ɗaɗi leɗɗe. Ndelle, lekki fuu ki rimataa ɓiɓɓe lobbuɓe, soppete, faɗɗee ley yiite.
MAT.3.11	Miin, ndiyam lootirammi on batisima faa hollita on tuubii. Ammaa garoowo caggal am oon, kam ɓuri kam baawɗe. Mi fotaay fay ɓortude ɗum paɗe muuɗum. Oon lootirta on batisima Ruuhu Ceniiɗo e yiite. 
MAT.3.12	O segilake faa o ƴaroo nyaamri makko faa laaɓa. O hawrundura nyaamri makko ley beembal, de nyaande ndeen o wuldan ɗum yiite nge nyifataa.
MAT.3.13	Wakkati oon, Iisaa ƴuuri Galili, wari gooruwol Urdun to Yaayaa, faa Yaayaa loota ɗum lootagal batisima. 
MAT.3.14	Ammaa Yaayaa muuyi salaade ɗum, wi'i mo:
MAT.3.14	—Aan haani lootude kam. De noy ngardataa to am, miin, faa mi loote?
MAT.3.15	Iisaa jaabii mo, wi'i:
MAT.3.15	—Accu ɗum laatoroo noon joonin, sabo noon kaanɗen hiɓɓinirde ko dartii fuu.
MAT.3.15	Ndeen o jaɓi. 
MAT.3.16	Nde Iisaa lootanoo, ina wurtoo ndiyam ɗaam fu, wakkati oon pay kammu omtii. O yi'i Ruuhu Laamɗo ina jippoo hono wuugaandu, ina wara dow makko. 
MAT.3.17	Wakkati oon du, daande ƴuuri dow kammu, wi'i:
MAT.3.17	—O woni Ɓiyam mo korsinmi, mo ceyortoomi.
MAT.4.1	Wakkati oon, Ruuhu Laamɗo yaari Iisaa ley ladde, faa Ibiliisa jarriboo mo. 
MAT.4.2	Iisaa waɗi balɗe capanɗe nay ina suumii jemma e nyalooma fuu. Caggal ɗuum, o yolbi. 
MAT.4.3	Ndeen, Jarribotooɗo oon ɓattitii mo, wi'i mo:
MAT.4.3	—Si a Ɓii Laamɗo, yamir kaaƴe ɗe laatoo nyaamdu.
MAT.4.4	De Iisaa jaabii mo, wi'i:
MAT.4.4	—Ina winndaa: «Wanaa e nyaamdu tan neɗɗo wuurdata. Ko neɗɗo wuurdata dey, wo e haala fuu ka Laamɗo haali.»
MAT.4.5	Caggal ɗuum, Ibiliisa yaari mo Urusaliima ngalluure seniinde ndeen, darni mo dow to ɓuri toowde e suudu dewal mawndu, 
MAT.4.6	wi'i mo:
MAT.4.6	—Si a Ɓii Laamɗo, fittu njippoɗaa e leydi. Sabo ina winndaa: «Laamɗo yamiran maleyka'en muuɗum njaɓɓe e juuɗe muɓɓen taa koyngal maa fiyoo e hayre.»
MAT.4.7	Iisaa jaabii mo, wi'i:
MAT.4.7	—Ina winndaa katin: «Taa ndaartinda Laamɗo, Joomiraaɗo maa.»
MAT.4.8	Katin Ibiliisa yaari mo dow waamnde toownde sanne, holli mo laamuuji adunaaru fuu e darja muɓɓen, 
MAT.4.9	wi'i mo:
MAT.4.9	—Mi hokkete ɗum ɗo fuu si a hippake, a sujidanii kam.
MAT.4.10	Iisaa wi'i mo:
MAT.4.10	—Woɗɗam Seyɗaani! Sabo ina winndaa: «Wo Laamɗo Joomiraaɗo maa kaanɗaa sujidande, kam tan kaanɗaa rewude.»
MAT.4.11	Ndeen Ibiliisa seli mo. Wakkati oon, maleyka'en ngari to makko, ina ngollana mo.
MAT.4.12	Nde Iisaa nannoo Yaayaa uddaama ley kasu ndeen, o yeccii leydi Galili. 
MAT.4.13	Ammaa o jooɗaaki Nasaraatu katin, de o hoɗowi Kafarnahum wuro ɗakkiingo maayo ley leydi Jabulon, kam e Naftali. 
MAT.4.14	Ɗum waɗii faa haala ka annabi Esaaya haalnoo kaan tabita nde wi'unoo:
MAT.4.15	«Leydi Jabulon e leydi Naftali
MAT.4.15	dow laawol jahoowol maayo manngo,
MAT.4.15	caggal Urdun,
MAT.4.15	ley leydi Galili,
MAT.4.15	joonnde yimɓe ɓe nganaa Alhuudiya'en,
MAT.4.16	yimɓe wonɓe e nimre
MAT.4.16	nji'ii annoora mawɗo.
MAT.4.16	Wuurɓe e ley leydi niɓɓundi nimre maayde,
MAT.4.16	annoora yaynanii ɗum'en.»
MAT.4.17	Gilla ndeen, Iisaa fuɗɗi waajaade ina wi'a:
MAT.4.17	—Tuubee, sabo laamu Laamɗo ɓadake.
MAT.4.18	Iisaa ina yaha hunnduko maayo Galili, de yi'i sakiraaɓe ɗiɗo, Simon bi'eteeɗo Piyeer e sakiike mum Andire. Iɓe paɗɗa fiiliiji maɓɓe ley maayo ngoon. Wo ɓe nanngooɓe liƴƴi. 
MAT.4.19	Iisaa wi'i ɓe:
MAT.4.19	—Njokkee kam, mi waɗan on filotooɓe yimɓe.
MAT.4.20	Wakkati oon ɓe njoppi fiiliiji maɓɓe ɗiin, ɓe njokki mo. 
MAT.4.21	O yehi yeeso, o yi'i katin sakiraaɓe ɗiɗo woɓɓe, Yaakuuba e Yuhanna, ɓiɓɓe Jebede. Kam'en e baaba muɓɓen Jebede ina ngoni ley laana, ina moƴƴintina fiiliiji muɓɓen. O noddi ɗum'en. 
MAT.4.22	Wakkati oon pay, ɓe njoppi laana kaan, ɓe njoppi baabiiɓe du, ɓe njokki mo.
MAT.4.23	Iisaa yiiltii ley leydi Galili fuu. Imo waajoo e ley cuuɗi maɓɓe baajorɗi, imo gooyna Kabaaru Lobbo haala laamu Laamɗo, imo danna sii nyawuuji e male fuu. 
MAT.4.24	Kabaaru makko sankitii ley leydi Siiriya fuu. Yimɓe na ngadda nyawɓe nyawuuji feere feere e male fuu to makko. Woɓɓe wo wonduɓe e ginnaaji, woɓɓe jom'en dabidabiije, woɓɓe du wo jom'en ɓalli-mbaatuɗi. O danni ɗum'en. 
MAT.4.25	Jamaa keewɗo sanne jokki mo. Wo ɓe ƴuuruɓe Galili e leydi mbi'eteendi Galluuje Sappo e Urusaliima e Yahuudiya e caggal gooruwol Urdun.
MAT.5.1	Iisaa yi'i jamaa keewɗo oon de ƴeeŋi dow waamnde, jooɗii. Taalibaaɓe muuɗum ɓeen ɓattitii ɗum. 
MAT.5.2	O fuɗɗi waajaade ɓe, o wi'i:
MAT.5.3	—Barke woodanii annditinɓe yonkiiji muɓɓen ina lokkiɗi,
MAT.5.3	sabo kamɓe njeyi laamu Laamɗo.
MAT.5.4	Barke woodanii suniiɓe,
MAT.5.4	sabo Laamɗo waaltinan ɓerɗe muɓɓen.
MAT.5.5	Barke woodanii leeƴinkiniiɓe,
MAT.5.5	sabo kamɓe ndonata adunaaru.
MAT.5.6	Barke woodanii filotooɓe fonnditaare hono no yolbuɓe e ɗomɗuɓe pilortoo neema,
MAT.5.6	sabo ɓe kaaran, ɓe ɗomɗitan.
MAT.5.7	Barke woodanii yurmotooɓe,
MAT.5.7	sabo Laamɗo yurmoto ɓe.
MAT.5.8	Barke woodanii laaɓuɓe ɓerɗe,
MAT.5.8	sabo ɓe nji'an Laamɗo.
MAT.5.9	Barke woodanii waddooɓe jam,
MAT.5.9	sabo ɓe noddirte ɓiɓɓe Laamɗo.
MAT.5.10	Barke woodanii torraaɓe saabe fonnditaare,
MAT.5.10	sabo kamɓe njeyi laamu Laamɗo.
MAT.5.11	Barke woodanii on si yimɓe mbonkake on, torrii on, njowii on sii bonanda fuu saabe am. 
MAT.5.12	Ceyee, mbeltee, sabo mbarjaari mawndi ina doomi on dow kammu. Sabo hono noon annabaaɓe artiiɓe on ɓeen torriraa.
MAT.5.13	—Onon, wo on lamɗam adunaaru ndu. Ammaa si lamɗam selii lamsude, ɗume lamsinta ɗam katin? Ɗam nafataa fay huunde! Ɗam faɗɗete yaasin, yimɓe njaaɓa ɗam.
MAT.5.14	Wo on annoora adunaaru. Ngalluure nyiɓaande dow waamnde waawaa suuɗaade. 
MAT.5.15	Fay gooto huɓɓataa lampal, de hippa ɗum kaakol. Ko waɗata dey, ɓilan ngal, ngal yaynana gonɗo e suudu nduun fuu. 
MAT.5.16	Hono noon annoora mooɗon haani yaynirde yeeso yimɓe, faa nji'a golleeji lobbi ɗi ngaɗoton, de njetta Baaba mooɗon gonɗo dow kammuuli oon.
MAT.5.17	—Taa cikkee mi warii faa mi itta jamirooje Tawreeta naa haala annabaaɓe. Mi waraay faa mi itta ɗum. Mi warii faa mi hiɓɓina ɗum. 
MAT.5.18	Goonga kaalanammi on: sini kammu e leydi ina keddii, fay toɓɓel maa masel tosataake ley Tawreeta faa ɗum fuu ɗum tabita. 
MAT.5.19	Ɗum le, boofuɗo ko ɓuri fuu famɗude e jamirooje ɗeen, de janngini woɓɓe faa ngaɗa noon, joomum laatoto ɓurɗo famɗude e laamu Laamɗo. Ammaa neɗɗo fuu jokkuɗo Tawreeta oon, de janngini woɓɓe ngaɗa noon, joomum laatoto mawɗo e laamu Laamɗo. 
MAT.5.20	Sabo miɗo haalana on: si on ɓuraay jannginooɓe Tawreeta e Farisa'en fonnditaare fu, on naatataa e ley laamu Laamɗo.
MAT.5.21	—On nanii maamiraaɓe meeɗen ɓeen mbi'anooma: «Taa waɗu war-hoore, gaɗuɗo war-hoore fuu ina haani sareede.»
MAT.5.22	Miin kaa miɗo wi'a on: tikkanɗo sakiike muuɗum fuu, ina haani sareede. Bi'uɗo sakiike muuɗum wo cuubaaɗo fu, ina jeyi darneede yeeso sariya laamu. Katin du, neɗɗo fuu biiɗo mo wo o jiiɓiiɗo, ina haani naatude yiite jahannama. 
MAT.5.23	Ndelle, si a warii e hirsirde faa ngaɗa sadaka, de miccitiɗaa wakkati oon sakiike maa ina joganii maa ko metti, 
MAT.5.24	njoppaa sadaka maa oon ɗoon, njahaa njaafundurowaa e sakiike maa oon tafon, ndeen ngartaa ngaɗaa sadaka maa oon.
MAT.5.25	Si a haɓii e goɗɗo, de oɗon njaada sariya fu, karoɗaa ndewritaa e joomum fadde mooɗon yottaade, taa o watte e juuɗe carotooɗo, de oon watte e junngo doomoowo kasu, de uddeɗaa e kasu. 
MAT.5.26	Goonga kaalanammi on: abada a wurtataako si a yoɓaay ko ndeweteɗaa ɗuum faa laaɓi.
MAT.5.27	—On nanii wi'anooma: «Taa waɗu jeenu!»
MAT.5.28	Miin kaa miɗo wi'a on: ƴeewruɗo debbo janano muuyo fuu, jeenii e ley ɓernde mum. 
MAT.5.29	Ndelle, si yitere maa nyaamre luttinte, ittu nde, paɗɗaa nde to woɗɗi! Ceedaa e tergal maa gootal ɓuri moƴƴande ma diina ɓanndu maa nduun fuu faɗɗee e jahannama. 
MAT.5.30	Si junngo maa nyaamo luttinte, taƴu ngo, paɗɗaa ngo to woɗɗi: ceedaa e tergal maa gootal ɓuri moƴƴande ma diina ɓanndu maa nduun fuu naata jahannama.
MAT.5.31	—Wi'anooma katin: «Ceeruɗo deekum fuu, hokka ɗum talkuru ceergal.»
MAT.5.32	Miin kaa miɗo wi'a on: neɗɗo fuu ceeruɗo deekum de tawi o wanaa jeenoowo, si o ɓaŋowaama, gorko ceeruɗo mo oon waɗii mo jeenoowo. Neɗɗo fuu ɓaŋuɗo debbo ceeraaɗo, kam du jeenii.
MAT.5.33	—On nanii katin, maamiraaɓe meeɗen mbi'anooma: «Taa fiirtu hunayeere maa, tabintinaa nde yeeso Joomiraaɗo.»
MAT.5.34	Miin kaa miɗo wi'a on: taa kunoɗon fey. Taa kunoroɗon kammu, sabo wo jooɗorgal Laamɗo. 
MAT.5.35	Taa kunoroɗon leydi, sabo wo njaaɓirdi koyɗe makko, naa Urusaliima, sabo wo ngalluure Kaananke mawɗo. 
MAT.5.36	Taa kunoroɗaa hoore maa, sabo a waawaa rawninde naa ɓawlinde fay leeɓol mayre gootol. 
MAT.5.37	Mbi'aa «ayyo» naa «a'aa» tan. Ko faltii ɗuum fuu, wo to Bonɗo oon ƴuuri.
MAT.5.38	—On nanii wi'anooma: «Yitere yomnitorte yitere, nyiinde yomnitorte nyiinde.»
MAT.5.39	Miin kaa miɗo wi'a on: taa njomnitee gaɗuɗo on ko boni. Si goɗɗo feenyii ma gere nyaamo fu, acca ɗum feenya gere nano oon du. 
MAT.5.40	Si goɗɗo wullake ma faa teeta forgo maa, accu ɗum yaada e saaya maa jaangol du. 
MAT.5.41	Si goɗɗo tilsinanii ma ronndaade donngal yaadu kilomeetere, ronnda ngal yaadu kilooji ɗiɗi. 
MAT.5.42	Si goɗɗo ŋaarake ma, hokku ɗum. Si goɗɗo wi'ii mbuƴoɗaa ɗum fu, taa salana ɗum.
MAT.5.43	—On nanii wi'anooma: «Njiɗaa gondo maa, mbanyaa ganyo ma.» 
MAT.5.44	Miin kaa miɗo wi'a on: njiɗee wayɓe on, ndu'anoɗon torrooɓe on. 
MAT.5.45	Worrude hono noon hollata wo on ɓiɓɓe Baaba mooɗon gonɗo dow kammuuli. Sabo no o fuɗinirta naange makko dow bonɓe, noon du o fuɗinirta nge dow moƴƴuɓe. No o tomnirta dow fonnditiiɓe, noon du o tomnirta dow oonyiiɓe. 
MAT.5.46	Si yiɗuɓe on tan njiɗoton, mbarjaari ndiye keɓoton? Fay nanngooɓe lampo ɓeen du ina ngaɗira noon! 
MAT.5.47	Si sakiraaɓe mooɗon tan njowtoton, ɗume senndi on e woɓɓe? Fay heeferɓe ɓeen ina ngaɗira noon! 
MAT.5.48	Ndelle, laatoɗon hiɓɓuɓe, hono no Baaba mooɗon gonɗo dow kammuuli oon hiɓɓiri ni.
MAT.6.1	—Tinnee taa ngaɗiron golleeji mooɗon lobbi faa yimɓe nji'a on. Si on ngaɗii ɗum fu, on keɓataa mbarjaari to Baaba mooɗon gonɗo dow kammuuli oon.
MAT.6.2	Ndelle, si aɗa itta jakka, taa feeka faa yimɓe nji'e. Wo hono noon munaafiki'en ɓeen ngaɗata ley cuuɗi baajorɗi e dow laabi faa yimɓe mana ɗum'en. Goonga kaalanammi on, ɓe keɓii mbarjaari maɓɓe faa timmi. 
MAT.6.3	Aan kaa, si aɗa itta jakka fu, taa nano maa faama ko nyaamo maa waɗata. 
MAT.6.4	Ndeen jakka maa oon laatoto ko suuɗii, de Baabiraaɗo maa ji'oowo ko suuɗii oon yoɓe.
MAT.6.5	—Si oɗon ndu'oo, taa ngaɗon no munaafiki'en ni. Kamɓe, iɓe njiɗi daraade ley cuuɗi baajorɗi e hakkunde to laabi kawrata, de ɓe ngaɗa du'aare yalla yimɓe fuu ina nji'a ɓe. Goonga kaalanammi on, ɓe keɓii mbarjaari maɓɓe faa timmi. 
MAT.6.6	Onon kaa, nde ndu'otoɗon fuu, naaton ley cuuɗi mon, ommbon dammbugal, de ŋaaroɗon Baaba mon e suuraare. Ndeen, Baaba mon ji'oowo ko suuɗii oon, yoɓan on.
MAT.6.7	Si oɗon ndu'oo, taa kebbinee haalaaji ɓoli ɗi ngalaa nafaa hono no yimɓe ɓe anndaa Laamɗo ɓeen ngaɗata ni. Iɓe miilii Laamɗo jaabanto ɓe si ɓe kebbinii haala. 
MAT.6.8	Taa nyemmbitee ɓe, sabo Baaba mooɗon ina anndi ko kaajaɗon gilla on nyaagaaki ɗum. 
MAT.6.9	Onon le, inan no ndu'ortoɗon:
MAT.6.9	Baaba amin gonɗo dow kammuuli,
MAT.6.9	innde maa laatoo seniinde.
MAT.6.10	Laamu maa wara.
MAT.6.10	Muuyɗe maa ngaɗee dow leydi ɗo hono no ngaɗirtee dow kammuuli ni.
MAT.6.11	Kokkaa min hannden nyaamdu heƴooru min.
MAT.6.12	Njaafonoɗaa min hakkeeji amin,
MAT.6.12	hono no min njaafortoo waɗooɓe min hakkeeji ni.
MAT.6.13	Taa accu min njarribee,
MAT.6.13	ammaa hisin min e Bonɗo oon.
MAT.6.13	[Sabo laamu e baawɗe e teddeengal ina ngoodani maa faa abada. Aamiina.]
MAT.6.14	Ndelle, si on njaafake waɗooɓe on hakkeeji, Baaba mooɗon gonɗo dow kammuuli oon du yaafoto on. 
MAT.6.15	Ammaa si on njaafataako toonyiiɓe on, Baaba mooɗon oon du yaafataako hakkeeji mooɗon.
MAT.6.16	—Si on cuumake, taa njurminkinee hono munaafiki'en ɓeen: ɓe ɓalinto, yalla yimɓe fuu ina anndita ɓe suumiiɓe. Goonga kaalanammi on: ɓe keɓii mbarjaari maɓɓe faa timmi. 
MAT.6.17	Aan kaa, si a suumake, mbujaa hoore maa, culmaa yeeso maa, 
MAT.6.18	taa paamina yimɓe a cuumiiɗo. Baaba maaɗa gonɗo ley suuraare oon tan anndata. Wooɗi du Baaba maa ji'oowo ko ngaɗuɗaa e suuraare oon, yoɓete.
MAT.6.19	—Taa ndesanon ko'e mon jawdi adunaaru, ɗo mooƴu e puundi mbonnata, ɗo wuyɓe kelata gampuuje de mbujja. 
MAT.6.20	Ndesanon ko'e mon jawdi dow kammu, ɗo fay huunde bonnataa, wanaa mooƴu wanaa puundi, ɗo wuyɓe kelataa gampuuje sakko mbujja. 
MAT.6.21	Sabo ɗo jawdi maa woni fuu, ɗoon ɓernde maa du wonata.
MAT.6.22	—Gite ngoni lampal ɓanndu. Si gite maa ina mbooɗi, ɓanndu maa fuu heewan annoora. 
MAT.6.23	Ammaa si ɗe mbooɗaa, ɓanndu maa fuu heewan nimre. Ndelle, si ko hokkata ɓanndu maa annoora ɗuum laatake nimre fu, nimre ndeen na tekki koy!
MAT.6.24	—Fay gooto waawaa gollande joomiraaɓe ɗiɗo, sabo joomum wanyan gooto, de yiɗa keddiiɗo oon, maa du nanngunduran e gooto, de yawa keddiiɗo oon. On mbaawaa gollande Laamɗo e jawdi fuu nde wootere.
