GEN.1.1	Ekuqalekeni uThixo wadala amazulu nehlabathi.
GEN.1.21	Wadala uThixo oominenga mikhulu, nayo yonke imiphefumlo ephilileyo enambuzelayo, awanyakazela ngayo amanzi ngohlobo lwayo, neentaka zonke ezinamaphiko ngohlobo lwazo. Wabona uThixo ukuba kulungile. 
GEN.1.22	Wazisikelela uThixo, esithi, Qhamani, nande, niwazalise amanzi aselwandle; zithi iintaka zande ehlabathini. 
GEN.1.23	Kwahlwa, kwasa: yangumhla wesihlanu.
GEN.1.24	Wathi uThixo, Umhlaba mawuphume imiphefumlo ephilileyo ngohlobo lwayo: izinto ezizitho ziné, nezinambuzane, nezinto eziphilileyo zomhlaba ngohlobo lwazo. 
GEN.1.25	Kwaba njalo. Wenza uThixo izinto eziphilileyo zomhlaba ngohlobo lwazo, nezinto ezizitho ziné ngohlobo lwazo, nazo zonke izinambuzane zomhlaba ngohlobo lwazo. Wabona uThixo ukuba kulungile.
GEN.1.26	Wathi uThixo, Masenze umntu ngokomfanekiselo wethu ngokufana nathi. Mababe nobukhosi ezintlanzini zolwandle, nasezintakeni zezulu, nasezintweni ezizitho ziné, nasemhlabeni wonke, nasezinambuzaneni zonke ezinambuzela emhlabeni. 
GEN.1.27	Wamdala ke uThixo umntu ngokomfanekiselo wakhe; wamdala ngokomfanekiselo kaThixo; wadala indoda nenkazana. 
GEN.1.28	Wabasikelela uThixo, wathi kubo uThixo, Qhamani, nande, niwuzalise umhlaba niweyise; nibe nobukhosi ezintlanzini zolwandle, nasezintakeni zezulu, nasezintweni zonke eziphilileyo ezinambuzelayo emhlabeni. 
GEN.1.29	Wathi uThixo, Yabonani, ndininikile yonke imifuno evelisa imbewu, esemhlabeni wonke, nayo yonke imithi eneziqhamo zemithi evelisa imbewu: yoba kukudla kuni. 
GEN.1.30	Nezinto zonke eziphilileyo zomhlaba, neentaka zonke zezulu, nezinambuzane zonke ezisemhlabeni, ezinomphefumlo ophilileyo, ndiziniké yonke imifuno eluhlaza ukuba ibe kukudla. 
GEN.1.31	Kwaba njalo. Wakubona uThixo konke akwenzileyo, nanko, kulungile kunene. Kwahlwa, kwasa: yangumhla wesithandathu.
GEN.2.1	Agqitywa ke amazulu nehlabathi, nawo wonke umkhosi wezo zinto. 
GEN.2.2	Wawugqiba ke uThixo ngomhla wesixhenxe umsebenzi wakhe awawenzayo; waphumla ngomhla wesixhenxe kuwo wonke umsebenzi wakhe awawenzayo. 
GEN.2.3	Wawusikelela uThixo umhla wesixhenxe, wawungcwalisa; ngokuba waphumla ngawo kuwo wonke umsebenzi wakhe awawudalayo uThixo, wawenza.
GEN.2.4	Yiyo le ke inzala yamazulu nehlabathi ekudalweni kwezo zinto, mini wenza uYehova uThixo ihlabathi namazulu, 
GEN.2.5	onke amatyholo asendle engekaveli emhlabeni, nayo yonke imifuno yasendle ingekantshuli; kuba uYehova uThixo ebengekanisi mvula emhlabeni; kwaye kungekho mntu wokuwusebenza umhlaba. 
GEN.2.6	Kwaye kunyuka inkungu iphuma ehlabathini, yawunyakamisa wonke umhlaba. 
GEN.2.7	UYehova uThixo wambumba umntu ngothuli lwasemhlabeni, waphefumlela emathatheni akhe impefumlo yobomi; umntu ke waba ngumphefumlo ophilileyo. 
GEN.2.8	UYehova uThixo watyala umyezo e-Eden ngasempumalanga; wambeka khona umntu abembumbile. 
GEN.2.9	UYehova uThixo wantshulisa emhlabeni yonke imithi enqwenelekayo ngokukhangeleka, nelungele ukudliwa; nomthi wobomi emyezweni phakathi, nomthi wokwazi okulungileyo nokubi.
GEN.2.10	Kwaphuma umlambo e-Eden wokuwunyakamisa umyezo; wahluka apho, waba ziimbaxa eziné. 
GEN.2.11	Igama lowokuqala yiPishon; nguwo lowo ujikeleze lonke ilizwe laseHavila, apho ikhona igolide. 
GEN.2.12	Igolide yelo lizwe intle, ikhona ibhedolaki* nelitye lebherilo.* 
GEN.2.13	Igama lowesibini umlambo yiGihon; nguwo lowo ujikeleze lonke ilizwe lakwaKushi. 
GEN.2.14	Igama lowesithathu umlambo yiHidekele; nguwo lowo uya phambi kwelakwa-Asiriya. Owesiné umlambo ngumEfrati.
GEN.2.15	UYehova uThixo wamthabatha umntu, wambeka emyezweni we-Eden, ukuba awusebenze, awugcine. 
GEN.2.16	UYehova uThixo wamwisela umthetho umntu, esithi, Yonke imithi yomyezo ungáyidla uyidle; 
GEN.2.17	ke wona umthi wokwazi okulungileyo nokubi uze ungawudli; kuba mhlana uthe wawudla, ùya kufa.
GEN.2.18	Wathi uYehova uThixo, Akulungile ukuba umntu abe yedwa; ndiya kumenzela umncedi onguwabo.
GEN.2.19	UYehova uThixo wabumba ngomhlaba zonke izinto eziphilileyo zasendle, nazo zonke iintaka zezulu, wazisa kuye uAdam* ukubona ukuba wothini na ukuzibiza, ukuze oko azibize ngako uAdam zonke izinto eziphilileyo, ibe ligama lazo elo. 
GEN.2.20	Wazithiya amagama uAdam zonke izinto ezizitho ziné, neentaka zasezulwini, nazo zonke izinto eziphilileyo zasendle; ke uAdam akafunyanelwanga mncedi unguwabo.
GEN.2.21	UYehova uThixo wawisa ubuthongo obukhulu phezu koAdam, walala. Wathabatha lwalunye ezimbanjeni zakhe, wavingca ngenyama esikhundleni salo. 
GEN.2.22	UYehova uThixo walwakha ubambo abeluthabathe kuAdam, lwaba ngumfazi; wamzisa kuAdam. 
GEN.2.23	Wathi uAdam, Eli ke ngoku lithambo lasemathanjeni am, yinyama yasenyameni yam; lo yena ukubizwa kothiwa ngumfazi, ngokuba ethatyathwe endodeni. 
GEN.2.24	Ngenxa yoko indoda yomshiya uyise nonina, inamathele kumkayo, babe nyama-nye ke. 
GEN.2.25	Baye bobabini behamba zé, umntu lowo nomkakhe, bengenazintloni.
GEN.3.1	Ke kaloku inyoka yaye inobuqhophololo ngaphezu kwazo zonke izinto eziphilileyo zasendle, abezenzile uYehova uThixo. Yathi kumfazi, Útshilo na okunene uThixo ukuthi, Ze ningadli kuyo yonke imithi yomyezo? 
GEN.3.2	Wathi umfazi kwinyoka, Eziqhameni zemithi yomyezo singadla; 
GEN.3.3	ke eziqhameni zomthi osemyezweni phakathi, uthe uThixo, Ze ningadli kuzo; ze ningazichukumisi, hleze nife. 
GEN.3.4	Yathi inyoka kumfazi, Anisayi kufa: 
GEN.3.5	kuba esazi uThixo ukuba, mhlana nithe nadla kuzo, oqabuka amehlo enu, nibe njengoThixo, nazi okulungileyo nokubi.
GEN.3.6	Wabona umfazi ukuba umthi ulungele ukudliwa, nokuba uyakhanukeka emehlweni, ingumthi onqwenelekela ukuqiqisa, wathabatha eziqhameni zawo, wadla; wanika nendoda yakhe inaye, yadla. 
GEN.3.7	Aqabuka amehlo abo bobabini, bazi ukuba bahamba zé; bathunga amagqabi omkhiwane, bazenzela imibhinqo.
GEN.3.8	Basiva isandi sikaYehova uThixo, ehamba emyezweni empepheni yasemini; basuka bazimela uAdam nomkakhe ebusweni bukaYehova uThixo, phakathi kwemithi yomyezo. 
GEN.3.9	UYehova uThixo wambiza uAdam, wathi kuye, Ùphi na? 
GEN.3.10	Wathi yena, Ndivé isandi sakho emyezweni, ndasuka ndoyika, ngokuba ndihamba zé; ndazimela. 
GEN.3.11	Wathi, Ùxelelwe ngubani na, ukuba uhamba zé? Udlile na kuwo umthi, endakuwisela umthetho ngawo, ndathi, Uze ungadli kuwo? 
GEN.3.12	Wathi uAdam, Umfazi owandinikayo ukuba abe nam, nguye ondinikileyo kuwo umthi, ndadla ke. 
GEN.3.13	Wathi uYehova uThixo kumfazi, Yintoni na le nto uyenzileyo? Wathi umfazi, Inyoka indilukuhlile, ndadla ke.
GEN.3.14	Wathi uYehova uThixo kwinyoka, Ngokuba uyenzile le nto, ùqalekisiwe wena ngaphezu kwezinto zonke ezizitho ziné, neento zonke eziphilileyo zasendle; uya kuhamba ngesisu, udle uthuli, yonke imihla yobomi bakho. 
GEN.3.15	Ndiya kumisa ubutshaba phakathi kwakho nomfazi, naphakathi kwembewu yakho nembewu yakhe; yona iya kukutyumza intloko, wena uya kuyityumza isithende. 
GEN.3.16	Wathi kumfazi, Ndiya kukwandisa kakhulu ukubulaleka kwakho ekumitheni, uzale abantwana unembulaleko; inkanuko yakho ibe sendodeni yakho, ikulawule yona. 
GEN.3.17	KuAdam wathi, Ngokuba uphulaphule izwi lomkakho, wadla kuwo umthi endakuwisela umthetho ngawo, ndathi, Uze ungadli kuwo, úqalekisiwe umhlaba ngenxa yakho; ùya kudla kuwo ubulaleka, yonke imihla yobomi bakho. 
GEN.3.18	Úya kukuntshulela imithana enameva neenkunzane, ùdle umfuno wasendle. 
GEN.3.19	Ùya kudla ukudla kokubila kobuso bakho, ude ubuyele emhlabeni, kuba uthatyathwe kuwo; ngokuba ùluthuli, ùya kubuyela kwaseluthulini.
GEN.3.20	UAdam walibiza igama lomkakhe ngokuthi nguEva,* ngokuba yena engunina wabaphilileyo bonke. 
GEN.3.21	UYehova uThixo wabenzela iingubo zezìntsu uAdam nomkakhe, wabambathisa.
GEN.3.22	Wathi uYehova uThixo, Yabonani, umntu usuke waba njengomnye wethu, ukwazi okulungileyo nokubi; hleze ke olule isandla sakhe, athabathe nakuwo umthi wobomi, adle, aphile ngonaphakade: 
GEN.3.23	uYehova uThixo wamndulula emyezweni we-Eden, ukuba asebenze umhlaba abethatyathwe kuwo. 
GEN.3.24	Wamgxotha ke umntu; wamisa ngasempumalanga kuwo umyezo we-Eden iikerubhi,* nelangatye lekrele elijikajikayo lokugcina indlela eya emthini wobomi.
GEN.4.1	Ke kaloku uAdam wamazi uEva umkakhe; wamitha, wazala uKayin,* wathi, Ndizuzé indoda ngoYehova. 
GEN.4.2	Waphinda wazala umninawa wakhe, uAbheli;* uAbheli waba ngumalusi wezimvu, uKayin waba ngumsebenzi womhlaba.
GEN.4.3	Kwathi ekupheleni kwamihla ithile, uKayin wathabatha eziqhameni zomhlaba, wazisa umnikelo kuYehova. 
GEN.4.4	UAbheli wazisa naye, ethabathe kumazibulo ezimvu zakhe, kwezinamanqatha. Waza uYehova wambheka uAbheli nomnikelo wakhe. 
GEN.4.5	Akambheka uKayin nomnikelo wakhe. Waqumba kunene uKayin, basangana ubuso bakhe. 
GEN.4.6	Wathi uYehova kuKayin, Yini na ukuba uqumbe, yini na ukuba busangane ubuso bakho? 
GEN.4.7	Ukuba uthe walungisa, abuyi kuswabuluka ubuso yini na? Ukuba uthe akwalungisa, isono sibúthumile ngasesangweni, singxamele wena; ke wena, sílawule.
GEN.4.8	Wathetha uKayin noAbheli umninawa wakhe, kwathi besendle, wesuka uKayin wamvunukela uAbheli umninawa wakhe, wambulala.
GEN.4.9	Wathi uYehova kuKayin, Úphi na uAbheli, umninawa wakho? Wathi yena, Andazi; ndingumgcini womninawa wam, yini na? 
GEN.4.10	Wathi, Wenzé ntoni na? Izwi legazi lomninawa wakho liyakhala emhlabeni kum. 
GEN.4.11	Ngoko ùqalekisiwe emhlabeni, owakhamisé umlomo wawo ukuba ùlithabathe igazi lomninawa wakho esandleni sakho. 
GEN.4.12	Xenikweni uwusebenzayo umhlaba, awusayi kuphinda ukunike amandla awo; ùya kubhadula uphalaphale ehlabathini.
GEN.4.13	Wathi uKayin kuYehova, Ityala lam likhulu ngokungenakuthwalwa. 
GEN.4.14	Yabona, ùndigxothile namhla phezu komhlaba; ndiya kusithela nasebusweni bakho, ndibhadule, ndiphalaphale ehlabathini; bathi bonke abantu abandifumanayo bandibulale. 
GEN.4.15	Wathi uYehova kuye, Xa kunjalo, bonke ababulala uKayin kophindezelwa kubo kasixhenxe. UYehova wammisela uKayin umqondiso, ukuze bonke abamfumanayo bangamsiki.
GEN.4.16	Waphuma uKayin, wemka ebusweni bukaYehova; wahlala ezweni lakwaKuphalaphala phambi kwe-Eden. 
GEN.4.17	UKayin wamazi umkakhe, wamitha, wazala uEnoki. Wákha umzi, wawuthiya loo mzi ngegama lonyana wakhe uEnoki. 
GEN.4.18	UEnoki wazalelwa uIradi; uIradi wazala uMehuyaheli; uMehuyaheli wazala uMetusaheli; uMetusaheli wazala uLameki.
GEN.4.19	ULameki wazeka abafazi ababini; igama lomnye belinguAda, igama lowesibini belinguZila. 
GEN.4.20	UAda wazala uYabhali; yena waba nguyise wabahlala ezintenteni, nabafuyileyo. 
GEN.4.21	Igama lomninawa wakhe belinguYubhali; yena waba nguyise wabo bonke abaphatha uhadi nogwali. 
GEN.4.22	UZila uthe naye wazala uTubhalekayin, obekhanda yonke impahla enobukhali yobhedu nesinyithi; udade woTubhalekayin ebenguNahama. 
GEN.4.23	Wathi uLameki kubafazi bakhe,
GEN.4.23	Ada noZila, liveni ilizwi lam!
GEN.4.23	Bafazi bakaLameki, phulaphulani intetho yam!
GEN.4.23	Sendibulele indoda ngenxa yenxeba lam,
GEN.4.23	Nendodana ngenxa yomvumbo wam;
GEN.4.24	Xa uKayin aya kuphindezelwa kasixhenxe,
GEN.4.24	Yena uLameki 
GEN.4.25	UAdam wabuya wamazi umkakhe, wazala unyana, wathi igama lakhe nguSete,* kuba wathi, UThixo undimisele enye imbewu esikhundleni sika-Abheli owabulawa nguKayin. 
GEN.4.26	USete naye wazalelwa unyana, wathi igama lakhe nguEnoshe. Kwaqalwa oko ukunqulwa igama likaYehova.
GEN.5.1	Yiyo le incwadi yenzala ka-Adam. Mhlana uThixo wamdala umntu, wamenza ngokufana noThixo. 
GEN.5.2	Wadala indoda nenkazana, wabasikelela, wabathiya igama elinguAdam,* mhlana wabadala.
GEN.5.3	UAdam wahlala iminyaka elikhulu elinamanci mathathu, wazala 
GEN.5.4	Imihla ka-Adam emveni kokuzala kwakhe uSete yaba yiminyaka emakhulu asibhozo; wazala oonyana neentombi. 
GEN.5.5	Iyonke imihla ka-Adam, awahlala ngayo, yaba yiminyaka emakhulu asithoba anamanci mathathu; wafa ke.
GEN.5.6	USete wahlala iminyaka elikhulu elinaminyaka mihlanu, wazala uEnoshe. 
GEN.5.7	USete wahlala emveni kokuzala kwakhe uEnoshe iminyaka emakhulu asibhozo aneminyaka esixhenxe; wazala oonyana neentombi. 
GEN.5.8	Iyonke imihla kaSete yaba yiminyaka emakhulu asithoba anashumi-nye linamibini; wafa ke.
GEN.5.9	UEnoshe wahlala iminyaka emashumi asithoba, wazala uKenan. 
GEN.5.10	UEnoshe wahlala emveni kokuzala kwakhe uKenan iminyaka emakhulu asibhozo anashumi-nye linamihlanu; wazala oonyana neentombi. 
GEN.5.11	Iyonke imihla kaEnoshe yaba yiminyaka emakhulu asithoba anamihlanu; wafa ke.
GEN.5.12	UKenan wahlala iminyaka emashumi asixhenxe, wazala uMahalaleli. 
GEN.5.13	UKenan wahlala emveni kokuzala kwakhe uMahalaleli iminyaka emakhulu asibhozo anamanci mané: wazala oonyana neentombi. 
GEN.5.14	Iyonke imihla kaKenan yaba yiminyaka emakhulu asithoba, aneminyaka elishumi; wafa ke.
GEN.5.15	UMahalaleli wahlala iminyaka emashumi mathandathu anamihlanu, wazala uYerede. 
GEN.5.16	UMahalaleli wahlala emveni kokuzala kwakhe uYerede iminyaka emakhulu asibhozo anamanci mathathu; wazala oonyana neentombi. 
GEN.5.17	Iyonke imihla kaMahalaleli yaba yiminyaka emakhulu asibhozo, anamanci asithoba anamihlanu; wafa ke.
GEN.5.18	UYerede wahlala iminyaka elikhulu elinamanci mathandathu anamibini, wazala uEnoki. 
GEN.5.19	UYerede wahlala emveni kokuzala kwakhe uEnoki iminyaka emakhulu asibhozo; wazala oonyana neentombi. 
GEN.5.20	Iyonke imihla kaYerede yaba yiminyaka emakhulu asithoba anamanci mathandathu anamibini; wafa ke.
GEN.5.21	UEnoki wahlala iminyaka emashumi mathandathu anamihlanu, wazala uMethusela. 
GEN.5.22	UEnoki wahamba noThixo, emveni kokuzala kwakhe uMethusela, iminyaka emakhulu mathathu; wazala oonyana neentombi. 
GEN.5.23	Iyonke imihla kaEnoki yaba yiminyaka emakhulu mathathu, anamanci mathandathu anamihlanu. 
GEN.5.24	UEnoki wahamba noThixo; akabakho, ngokuba uThixo wamthabatha.
GEN.5.25	UMethusela wahlala iminyaka elikhulu elinamanci asibhozo anesixhenxe, wazala uLameki. 
GEN.5.26	UMethusela wahlala emveni kokuzala kwakhe uLameki iminyaka emakhulu asixhenxe anamanci asibhozo anamibini; wazala oonyana neentombi. 
GEN.5.27	Iyonke imihla kaMethusela yaba yiminyaka emakhulu asithoba, anamanci mathandathu anesithoba; wafa ke.
GEN.5.28	ULameki wahlala iminyaka elikhulu elinamanci asibhozo anamibini; wazala unyana. 
GEN.5.29	Wamthiya igama elinguNowa,* esithi, Lo uya kusithuthuzela emsebenzini wethu, nasekubulalekeni kwezandla zethu, ngenxa yomhlaba awawuqalekisayo uYehova. 
GEN.5.30	ULameki wahlala emveni kokuzala kwakhe uNowa iminyaka emakhulu mahlanu anamanci asithoba anamihlanu; wazala oonyana neentombi. 
GEN.5.31	Iyonke imihla kaLameki yaba yiminyaka emakhulu asixhenxe anamanci asixhenxe anesixhenxe; wafa ke.
GEN.5.32	Ke uNowa ebeminyaka imakhulu mahlanu ezelwe; uNowa wazala ooShem noHam noYafete.
GEN.6.1	Kuthe bakuqala ukwanda abantu ehlabathini, bakuzalelwa iintombi, 
GEN.6.2	bazibona oonyana bakaThixo iintombi zabantu ukuba zintle, bazeka abafazi kuzo zonke abazinyuláyo. 
GEN.6.3	Wathi uYehova, UMoya wam akayi kulawula ebantwini ngonaphakade; ekulahlekeni kwabo bayinyama; imihla yabo iya kuba yiminyaka elikhulu elinamanci mabini. 
GEN.6.4	Kwakukho iingxilimbela ehlabathini ngaloo mihla; kananjalo emveni koko, xeshikweni oonyana bakaThixo bangenáyo kuzo iintombi zabantu, zabazalela abantwana. Aba baba ngamagorha ababekho kwasephakadeni, amadoda adumileyo.
GEN.6.5	Wabona uThixo ukuba ububi babantu bandile ehlabathini, konke ukuyila kweengcinga zentliziyo yabo kubububi bodwa imihla yonke. 
GEN.6.6	Wazohlwaya uYehova, ngokuba emenzile umntu ehlabathini, kwaba buhlungu kuye entliziyweni. 
GEN.6.7	Wathi uYehova, Ndiya kumcima umntu endimdalileyo, angabikho ehlabathini, kuthabathele emntwini kuse ezinkomeni, kuse ezinambuzaneni, kuse ezintakeni zezulu, ngokuba ndizohlwaya ngokuba ndizenzile ezo zinto. 
GEN.6.8	UNowa yena wababalwa nguYehova.
GEN.6.9	Yiyo le ke inzala kaNowa. UNowa waye eyindoda elilungisa, egqibeleleyo, ezizukulwaneni zakhe. UNowa wahamba noThixo. 
GEN.6.10	UNowa wazala oonyana abathathu: uShem noHam noYafete.
GEN.6.11	Ihlabathi lalonakele ebusweni bukaThixo; ihlabathi lalizele lugonyamelo. 
GEN.6.12	UThixo walikhangela ihlabathi, nâlo, lonakele! Ngokuba yonke inyama ibiyonakalisile indlela yayo ehlabathini.
GEN.6.13	Wathi uThixo kuNowa, Isiphelo senyama yonke sifikile phambi kwam; ngokuba ihlabathi lizele lugonyamelo oluphuma kubo; yabona ke, ndiya kubonákalisa, bona ndawonye nehlabathi. 
GEN.6.14	Zénzele ke umkhombe ngemithi yegofere,* uwenze izindlu umkhombe, uwuqabe ngaphakathi nangaphandle ngebhitumene.* 
GEN.6.15	Wénjenje ukuwenza: bube ngamakhulu omathathu eekubhite* ubude bomkhombe, namashumi omathathu eekubhite ububanzi bawo, namashumi omathathu eekubhite ukuphakama kwawo. 
GEN.6.16	Wenze ikroba emkhombeni, ukuligqiba kwakho kube yikubhite enye, ithabathela phezulu; umnyango womkhombe uwumise ecaleni lawo; wenze izindlu zodidi lwaphantsi, nolwesibini, nolwesithathu. 
GEN.6.17	Mna ke, ùyabona, ndihlisa unogumbe wamanzi ehlabathini, wokonakalisa yonke inyama enomoya wokuphila kuyo, ephantsi kwamazulu; konke okusehlabathini kuya kuphuma umphefumlo; 
GEN.6.18	ndíwumise umnqophiso wam nawe, ungene emkhombeni wena, noonyana bakho, nomkakho, nabafazi boonyana bakho, ndawonye nawe. 
GEN.6.19	Kwizinto zonke eziphilileyo, kwinyama yonke, uze ungenise emkhombeni ngambini kuzo zonke, ukuze zisindiswe nawe, ibe yinkunzi nemazi; 
GEN.6.20	kwiintaka ngohlobo lwazo, kwiinkomo ngohlobo lwazo, kuzo zonke izinambuzane zomhlaba ngohlobo lwazo, zibe ngambini kuzo zonke, eziya kungena kuwe, ukuba zisindiswe. 
GEN.6.21	Wena ke, uthabathele kuwe ekudleni konke okudliwayo, uhlanganisele kuwe kube kukudla kuwe nakuzo.
GEN.6.22	Wenza uNowa konke uThixo abemwisele umthetho ngako, wenza njengoko.
GEN.7.1	Wathi uYehova kuNowa, Ngena, wena nendlu yakho yonke, emkhombeni, ngokuba ndibona wena ilungisa phambi kwam kwesi sizukulwana. 
GEN.7.2	Kwizinto zonke ezizitho ziné ezihlambulukileyo, thabathela kuwe ngasixhenxe, ngasixhenxe, inkunzi nemazi yayo; kwizinto ezizitho ziné eziziinqambi thabatha ngambini, inkunzi nemazi yayo; 
GEN.7.3	nakwiintaka zezulu ngasixhenxe, ngasixhenxe, inkunzi nemazi, ukuze imbewu igcinakale ehlabathini lonke. 
GEN.7.4	Kuba zisesixhenxe iintsuku, ndíze ndinise imvula ehlabathini iimini zibe mashumi mané nobusuku obumashumi mané, ndiyicime into yonke emiyo endayenzayo, ingabikho phezu kwehlabathi.
GEN.7.5	Wenza uNowa konke uYehova awamwisela umthetho ngako.
GEN.7.6	UNowa waye eminyaka imakhulu mathandathu ezelwe, wabakho unogumbe wamanzi ehlabathini. 
GEN.7.7	Wangena uNowa emkhombeni, enoonyana bakhe, nomkakhe, nabafazi boonyana bakhe, ndawonye naye, ngenxa yamanzi onogumbe. 
GEN.7.8	Kuzo izinto ezizitho ziné ezihlambulukileyo, nakuzo izinto ezizitho ziné eziziinqambi, nakuzo iintaka, nakuzo zonke izinto ezinambuzelayo emhlabeni, 
GEN.7.9	kwangena ngambini, ngambini, kuNowa emkhombeni, inkunzi nemazi, njengoko uThixo abemwisele umthetho uNowa.
GEN.7.10	Kwathi emva kweentsuku ezisixhenxe, amanzi onogumbe abakho ehlabathini. 
GEN.7.11	Ngomnyaka wamakhulu omathandathu wokudla ubomi kukaNowa, ngenyanga yesibini, ngosuku lweshumi elinesixhenxe enyangeni leyo, kanye ngayo loo mini, yagqabhuka yonke imithombo yamanzi enzonzobila enkulu, iingcango zezulu zavuleka. 
GEN.7.12	Wabakho umvumbi wemvula ehlabathini iimini ezimashumi mané nobusuku obumashumi mané.
GEN.7.13	Wangena emkhombeni kwangaloo mini uNowa, noShem noHam noYafete, oonyana bakaNowa, nomkaNowa, nabafazi bobathathu boonyana bakhe, ndawonye naye. 
GEN.7.14	Bòna, neento zonke eziphilileyo ngohlobo lwazo, nezinto zonke ezizitho ziné ngohlobo lwazo, nezinambuzane zonke ezinambuzelayo emhlabeni ngohlobo lwazo, neentaka zonke ngohlobo lwazo, iinto zonke eziphaphazelayo, 
GEN.7.15	ezinamaphiko, zangena kuNowa emkhombeni, ngambini, ngambini, kwinyama yonke enomoya wokuphila kuyo. 
GEN.7.16	Zangena iinkunzi neemazi kwinyama yonke; zangena njengoko uThixo abemwisele umthetho. UYehova wamvalela ngaphakathi.
GEN.7.17	Yaba ngunogumbe imihla emashumi mané ehlabathini, enyuka amanzi, awufukula umkhombe, wafunquleka emhlabeni. 
GEN.7.18	Aba namandla amanzi, enyuka kunene ehlabathini, wahamba umkhombe phezu kwamanzi. 
GEN.7.19	Aba namandla amanzi kunene kakhulu ehlabathini, zagutyungelwa zonke iintaba eziphakamileyo kakhulu, eziphantsi kwamazulu onke. 
GEN.7.20	Aba namandla amanzi, ada aba ziikubhite* ezilishumi elinantlanu, ethabathela phezulu; zagutyungelwa ke iintaba.
GEN.7.21	Yaphuma umphefumlo yonke inyama enambuzelayo emhlabeni, kwiintaka, nakwizinto ezizitho ziné, nakwizinto eziphilileyo, nakwinyakanyaka yonke enyakazelayo emhlabeni, nabantu bonke. 
GEN.7.22	Iinto zonke ezikuphefumla komoya wokuphila kusemathatheni azo, kwiinto zonke 
GEN.7.23	Zabhujiswa ke izinto zonke ezimiyo, eziphezu komhlaba, kwathabathela emntwini kwesa ezintweni ezizitho ziné, nasezinambuzaneni, nasezintakeni zezulu; zabhujiswa azabakho ehlabathini; kwasala uNowa yedwa, nababenaye emkhombeni. 
GEN.7.24	Aba namandla amanzi ehlabathini imihla elikhulu elinamanci mahlanu.
GEN.8.1	UThixo wamkhumbula uNowa, neento zonke eziphilileyo, nezinto zonke ezizitho ziné ezazinaye emkhombeni; uThixo wahambisa umoya ehlabathini, awutha amanzi. 
GEN.8.2	Yavingcwa imithombo yamanzi enzonzobila neengcango zezulu, wathintelwa umvumbi wezulu. 
GEN.8.3	Abuya amanzi emhlabeni, amana ebuya, awutha amanzi ekupheleni kwemihla elikhulu elinamanci mahlanu. 
GEN.8.4	Umkhombe wazimisa ngenyanga yesixhenxe, ngosuku lweshumi elinesixhenxe enyangeni leyo, phezu kweentaba zaseArarati. 
