MAT.1.1	Kɛse ɓo mɛtjil Isa al‑Masige. Naan̰ *goon Daud ɔɔ goon *Abraam.
MAT.1.18	Te ɗoobm gay jaay jꞋoojn̰ Isa al‑Masi: kon̰ Mari se mɛnd kɛɛsn Yusup, num kɛn naan̰ ɓaa te ron̰ ki ey sum ɓo, Mari tɛɗ mɛndkaama ute tɔɔgŋ *Nirl Salal. 
MAT.1.19	Gaabm kɛɛsin̰ Yusup se, debm kɛn lee tɛɗ nakge te ɗoobin̰a ɔɔ je an̰ kɔɔɗn mɛtin̰ naan jeege tu eyo. Taa naan̰ se ɓo naan̰ je an̰ rɛsɛ taa nam Ꞌbooy taarɗe eyo.
MAT.1.20	Kaaɗ kɛn naan̰ utu iŋg saap saap do taar kɛn se, gaŋ *kɔɗn Mɛljege Raa maakŋ nin̰ ki se teec naanin̰ ki taaɗin̰ ɔɔ: «Yusup, naai se mɛtjil *Daud, ɔn̰te ɓeere Mari se ɔkin̰ Ꞌtɛɗn mɛndi, taa Mari se aam te Nirl Salal. 
MAT.1.21	Naan̰ se utu Ꞌkoojn̰ goon gaaba ɔɔ goon se naai an̰ daŋ Isa
MAT.1.22	Nakgen paacn̰ tɛɗ se, taa taar Mɛljege Raa taaɗo do dɔkin̰ ute taar debm taaɗ taar teeco taar Raa ki ron̰ Ezayi se aanga ɗoobin̰ ki kɛn ɔɔ: 
MAT.1.23	.
MAT.1.24	Kɛn Yusup jaay iin̰ maakŋ bin̰ ki se, naan̰ took taar kɔɗn Mɛljege Raa taaɗin̰o se. Gɔtn se, Mari se naan̰ ɔkin̰ tɛɗn mɛndin̰a. 
MAT.1.25	Num gaŋ naan̰ baate ɓaa ron̰ ki bini Mari oojn̰ maak ki. Ɔɔ goon jꞋoojin̰ se, Yusup ɔndin̰ ron̰ Isa.
MAT.2.1	Isa se jꞋoojin̰ maakŋ gɛgɛr kɛn Betleem kɛn taa naaŋ Jude ki, do Gaar *Ɛrɔd ki. Kɛn Isa jaay jꞋoojin̰ se, jee jeel k‑dijge iin̰o kaam kaaɗa tookŋo ɔɔ ɓaa aan maakŋ gɛgɛr kɛn Jeruzalɛm ki. 
MAT.2.2	Kɛn naaɗe jaay aan se, naaɗe tɔnd mɛtn jeege ɔɔ: «Goon kꞋjꞋoojin̰ jaay ute kɔsn gaar Yaudge se tap ɓo, gayo? Taa naaje se jꞋaako k‑dijin̰ kaam kaaɗa tookŋo ɔɔ naaje kꞋɓaaɗo kɛrgŋ naanin̰ ki.»
MAT.2.3	Kɛn Ɛrɔd jaay booy taar se, nirlin̰ teece taa gaarin̰a; bin se ɔl jee Jeruzalɛm ki paac se ɓeere ɔkɗe. 
MAT.2.4	Gɔtn se Gaar Ɛrɔd daŋ tus magal *jee tɛɗn sɛrkɛ Raage tu paac ɔɔ ute jee jeel taaɗn tɔɔkŋ mɛtn Ko Taar Raa paac kɛn maakŋ jeen̰ge tu ɔɔ naan̰ tɔnd mɛtɗe ɔɔ: «*Al‑Masi do dɔkin̰ Raa taaɗ taa koojin̰ se tap ɓo, jꞋan̰ koojn̰ gayo?»
MAT.2.5	Gɔtn se, naaɗe tɛrlin̰ ɔɔ: «Naan̰ se jꞋan̰ koojn̰ maakŋ gɛgɛr kɛn Betleem kɛn taa naaŋ Jude ki, aan gɔɔ kɛn do dɔkin̰ debm taaɗ taar teeco taar Raa ki raaŋin̰o ɔɔ:
MAT.2.7	Gɔtn jaay Ɛrɔd daŋ jee jeel k‑dijge kalɗe ki se, nam kic ɓo jeel eyo. Kɛn naaɗe aan ɔŋin̰ se, naan̰ tɔnd mɛtɗe ɔɔ: «Kɛn tap ki se, k‑dijn̰ se tap ɓo naase aakin̰ki nuŋ ki?» 
MAT.2.8	Ɔɔ naan̰ ɗeekɗen ɔɔ: «ꞋƁaaki Betleem ki je ɔŋumkiro gɔtn goono se tak. Kɛn jaay ɔŋin̰kiroga num, Ꞌtɛrl Ꞌɓaakiro Ꞌtaaɗumki gɔtin̰a taa maam kic ɓo mꞋɓaa kɛrgŋ naanin̰ ki.»
MAT.2.9	Kɛn naaɗe jaay booy taar gaarge aas sum se, gɔtn se naaɗe iin̰ ɓaa, ɔɔ kɛn naaɗe ɓaa ɓaa se, k‑dijn̰ kɛn naaɗe aakin̰o kaam gɔtn kaaɗa tookŋo se, tɛr teec naanɗe ki daala. K‑dijn̰ se tɔɔɗɗe bini ɓaa ɗaar do ɓee kɛn goon maak ki se. 
MAT.2.10	Kɛn naaɗe aak k‑dijn̰ se maakɗe raap sakan̰.
MAT.2.11	Kɛn naaɗe aan se, ɛnd maakŋ ɓee ki ɔɔ ɔŋ goono ute kon̰ Mari. Naaɗe ɛrg naan goon ki ɔɔ tɔɔmin̰ jaay ɓo naaɗe tɔɔɗ taa ɓɔɔnɗege ɔɔ ɛɗin̰ nakgen bɛɛ bɛɛ: daab, nakŋ ooto, ute uubm ootn kꞋdaŋin̰ 
MAT.2.12	Kɛn naaɗe iin̰ ɔn̰ Mari sum se, *Raa ɔɔjɗe maakŋ niɗe ki ɔɔ jꞋɔn̰ten tɛrl kaal gɔtn Gaar Ɛrɔd ki. Taa naan̰ se ɓo naaɗe uun ɗoobm kuuy ɔɔ tɛrl ɓaa taa naaŋɗe ki.
MAT.2.13	Kɛn jee jeel k‑dijge jaay iin̰ ɓaa sum se, kɔɗn Mɛljege Raa kalaŋ ɓaaɗo taaɗ Yusup ki maakŋ nin̰ ki ɔɔ: «Iin̰ ute mɛndi ɔɔ uun goono aan̰ Ꞌɓaaki taa naaŋ Masar ki. Iŋg gɔtn naane bini maam mꞋai taaɗ jaay ɓo sɔm naai aɗe tɛrlɛ. Ɓɛrɛ, Gaar *Ɛrɔd se je je goono taa an̰ tɔɔlɔ.» 
MAT.2.14	Maakŋ nɔɔr ki se sum ɓo, Yusup iin̰ ute mɛndin̰a uun goono ɔɔ aan̰ ɓaa taa naaŋ Masar ki. 
MAT.2.15	Naan̰ tiŋg gɔtn naane bini Gaar Ɛrɔd ooyo. Nakŋ se aan ɗoobin̰ ki aan gɔɔ kɛn Mɛljege Raa taaɗo ute taar debm taaɗ taar teeco taar Raa ki do dɔkin̰ ɔɔ: 
MAT.2.16	Kaaɗ kɛn se Ɛrɔd utu zɛɛrɛ; ɔɔ naan̰ kɛn se naan̰ ɓaaɗo jeel ɔkga mɛtin̰a kɛn jee jeel k‑dijge dɛrlin̰ dɛrl se, gɔtn se naan̰ maakin̰ taarin̰ makɔn̰ɔ. Naan̰ und kulu ɔɔ num gaangen gaabgen ɔndo do ɓaar di ki jaay bɔɔyɔ bɔɔy paacn̰ kɛn maakŋ gɛgɛr kɛn Betleem ki ute maakŋ naaŋgen cɛɛs ki cɛɛs ki se, kꞋtɔɔlɗe paac. Taa ɓaar di ese se tum te kaaɗn kɛn jee jeel k‑dijge taaɗ Ɛrɔd ki gɛn k‑dijn̰ naaɗe aakin̰o. 
MAT.2.17	Bin ɓo, nakŋ se aanga ɗoobin̰ ki aan gɔɔ kɛn debm taaɗ taar teeco taar Raa ki, ron̰ Jeremi, taaɗɗeno do dɔkin̰ ɔɔ:
MAT.2.19	Kɛn Gaar *Ɛrɔd jaay ooy sum se, kɔɗn Mɛljege Raa taaɗ Yusup ki maakŋ nin̰ ki kaaɗ kɛn naan̰ utu taa naaŋ Masar ki. 
MAT.2.20	Naan̰ taaɗin̰ ɔɔ: «Iin̰ ute mɛndi ɔɔ uun goono ɔk Ꞌtɛrl Ꞌɓaaki taa naaŋ *Israɛl ki taa jeegen kɛn je tɔɔl goono se, naaɗe ooyga.» 
MAT.2.21	Ɔɔ Yusup iin̰ ute mɛndin̰a, uun goono ɔɔ ɔk tɛrl taa naaŋ Israɛl ki. 
MAT.2.22	Anum kɛn naan̰ booy ɔɔ Arkɛlɛɔs ɔsga gaar gɛn taa naaŋ Jude gɔɔ bubin̰ Ɛrɔd ki se, gɔtn se Yusup ɓeere ɔkin̰ gɛn tɛrl ɓaa taa naaŋ Jude ki. Ɔɔ Mɛljege Raa taaɗin̰ maakŋ nin̰ ki ɔɔ n̰Ꞌiin̰ ɓaa taa naaŋ Galile ki. 
MAT.2.23	Naan̰ iin̰ ɓaa iŋg maakŋ gɛgɛr kɛn kꞋdaŋin̰ Nazarɛt. Nakgen se aan ɗoobin̰ ki aan gɔɔ kɛn jee taaɗ taar teeco taar Raa ki taaɗo do dɔkin̰ ɔɔ: 
MAT.3.1	Kɛn kaaɗin̰ jaay aan sum se, Jan‑Batist naar teec naan jeege tu ɔɔ baag taaɗn taar *Raa do kɔɗ‑ɓaar kɛn taa naaŋ Jude ki. Naan̰ taaɗ jeege tu ɔɔ: 
MAT.3.2	«ꞋTɛrlki maakse taa *maakŋ Gaar Raa se ɔɔpga gɔɔrɔ!» 
MAT.3.3	Taa Jan se ɓo, debm taaɗ taar teeco taar Raa ki ron̰ Ezayi taaɗo taarin̰ do dɔkin̰ kɛn ɔɔ:
MAT.3.4	Jan uuso kal kꞋɗaapin̰ ute bɛɛkŋ gin̰ji ɔɔ dɔɔk maakin̰ te kɔl daara; nakŋ kɔsin̰ iimi ute teeje. 
MAT.3.5	Gɔtn se jeegen iin̰o maakŋ gɛgɛr kɛn Jeruzalɛm ki ute kɛngen taa naaŋ Jude ki paac ɔɔ ute kɛngen iin̰o taa ool Jordan ki paac, naaɗe ɓaaɗo gɔtn Jan ki. 
MAT.3.6	Naaɗe tɔɔɗ mɛtn *kusin̰ɗege naan jeege tu ɔɔ Jan‑Batist batizɗe maakŋ ool magal kɛn kꞋdaŋin̰ Jordan se.
MAT.3.7	Kɛn Jan aak *Parizige ute *Sadusege dɛna ɓaaɗo ɔŋin̰ taa naan̰ aɗen batiz se, naan̰ ɗeekɗen ɔɔ: «Aakumki tu wɔɔjgen ara! Naŋa jaay ɓo dɛjseno taa aki kaan̰ kɔtn maak‑taar Raa kɛn utu bɔɔy do jeege tu se? 
MAT.3.8	Naan ki se, Ꞌtɛɗki nakgen jiga kɛn Ꞌtaaɗn jeege tu ɔɔ naase se Ꞌtɛrlkiga maakse, 
MAT.3.9	ɔɔ ɔn̰te Ꞌtaaɗki ɔɔki: naaje se lɛ kꞋgaan *Abraamge. ꞋBooyki mꞋasen ɗeeke, kogen ese se kɛn Raa je kic ɓo an̰ dɛlin̰ Ꞌtɛɗn gaange Abraam ki. 
MAT.3.10	Ɓɛrɛ, alpasa se lɛ kꞋɗaarin̰ga mɛtn ko kaag ki. Ko kaaggen paacn̰ jaay ooj jig ey se, jꞋaɗen tɔgŋ tuun naatn ɔɔ jꞋaɗen tɔɔcn pooɗn.
MAT.3.11	«Maam se, mꞋasen batizn ute maane ɔɔ kɛse je ɗeekŋ ɔɔ naase Ꞌtɛrlkiga kiŋgse; num gaŋ debm utu ɓaaɗo mɛtum ki se, naan̰ magal ciruma. Maam se saa jɛn̰ ki kic ɓo mꞋaas gɛn kɔɔɗin̰ eyo. Debm ese se ɓo utu asen *batizn ute Nirl Salal ɔɔ ute pooɗo. 
MAT.3.12	Ute gɛrt magalin̰ se naan̰ utu tuuy teen̰in̰a ɔɔ kɛn naan̰ jaay tuuy aasga num, kaam teen̰in̰ se naan̰ utu an̰ tɔsn kɔmb maakŋ giijin̰ ki; num tɛsin̰ se, naan̰ utu an̰ kɔmb maakŋ pooɗ kɛn ooy eyo.»
MAT.3.13	Gɔtn se Isa iin̰ taa naaŋ Galile ki ɔɔ ɓaaɗo maakŋ ool magal gɛn Jordan ki, ɓaaɗo ɔŋ Jan taa an̰ batizin̰a. 
MAT.3.14	Num Jan se baate tooko, ɗeek Isa ki ɔɔ: «Maam se, naai ɓo am batiz ey ɓo, tɛr naai ɓo ɓaaɗo gɔtn maam ki la!» 
MAT.3.15	Isa tɛrlin̰ ɔɔ: «Ɓɔrse se naai Ꞌtooko, taa naajege se jꞋaki tɛɗn nakŋ kɛn Raa maakin̰ jen ro ki ute ɗoobin̰a.» Gɔtn se Jan tooko. 
MAT.3.16	Kɛn Isa kꞋbatizin̰ jaay ooko maakŋ maane ki sum se, naan̰ kɛn se sum ɓo maakŋ raa ɔɔɗ waŋ ɔɔ naan̰ aak *Nirl Raa bɔɔyo don̰ ki tec aan gɔɔ dɛɛrɛ. 
MAT.3.17	Ɔɔ gɔtn se kꞋbooy mind deba taaɗ maakŋ raa ki ɔɔ: «Naan̰ se Goon maak‑jema. Maam ɓo mꞋbɛɛr mꞋɔɔɗin̰o taa naan̰ tɔɔlumi.»
MAT.4.1	Gɔtn se *Nirl Raa tɔɔɗ ɓaan ute Isa do kɔɗ‑ɓaar ki, taa Bubm sitange an̰ ɓaa naama. 
MAT.4.2	Maakŋ ɓiige tun si‑sɔɔ se, nɔɔrɔ katara se Isa ɔs te ɗim eyo ɔɔ kɛn ɓii si‑sɔɔ jaay aas se, naan̰ ɓo tɔɔlin̰a. 
MAT.4.3	Bubm sitange, naan̰ debm naam jeege se, ɓaaɗo ɔŋ Isa ɗeekin̰ ɔɔ: «Kɛn naai ꞋGoon *Raa ɗeer num, Ꞌtaaɗ koge tun se ai dɛl nakŋ kɔsɔ.» 
MAT.4.4	Isa tɛrlin̰ ɔɔ: «Taar se kꞋraaŋin̰ga raaŋ do dɔkin̰ kɛn ɔɔ: 
MAT.4.5	Tɛr Bubm sitange ɓaan ute Isa maakŋ gɛgɛr kɛn *salal Jeruzalɛm ki, ɓaa uun ɔlin̰ do *Ɓee Raa ki raan lɛŋ lɛŋ, 
MAT.4.6	ɔɔ ɗeekin̰ ɔɔ: «Kɛn naai ꞋGoon Raa ɗeer num, do ɓee ki ara se, iin̰ aal naaŋ ki. Taa taara se kꞋraaŋin̰ga raaŋ do dɔkin̰ kɛn ɔɔ:
MAT.4.7	Isa tɛrlin̰ ɔɔ: «Taar se kic kꞋraaŋin̰ga raaŋ do dɔkin̰ kɛn ɔɔ: 
MAT.4.8	Tɛr Bubm sitange tɔɔɗ ɓaansin̰ do ko kɛn jɛrlɛ ɔɔ taaɗin̰ taa naaŋ gaarin̰gen do naaŋ ki paac ute nakŋ kaakŋ bɛɛɗege. 
MAT.4.9	Gɔtn se naan̰ ɗeekin̰ ɔɔ: «Kɛn naai jaay Ꞌɓaaɗo ɛrgga naanum ki ɔɔ Ꞌdaanumga num, nakgen se paac maam mꞋaisin̰ kɛɗa.» 
MAT.4.10	Anum Isa tɛrlin̰ ɔɔ: «Iik naatn cɛɛm ki Bubm sitange! Taa taar se kꞋraaŋin̰ga raaŋ do dɔkin̰ kɛn ɔɔ: 
MAT.4.11	Gɔtn se Bubm sitange iin̰ ɔn̰in̰a ɔɔ *kɔɗn Raage ɓaaɗo aakin̰ don̰ ki.
MAT.4.12	Jan‑Batist se kꞋjꞋɔkin̰ga daŋgay ki ɔɔ kɛn Isa jaay booy ɔɔ Jan jꞋɔkin̰ga daŋgay ki se, naan̰ iin̰ tɛrl ɓaa taa naaŋ Galile ki. 
MAT.4.13	Kɛn naan̰ aan sum se, ɔn̰ gɛgɛrin̰ Nazarɛt ɔɔ ɓaa tiŋg maakŋ gɛgɛr kɛn Kaparnayum ki kɛn taa baar ki, taa naaŋ Zabulon ki ute gɛn Nɛptali ki. 
MAT.4.14	Taa naan̰ se ɓo nakŋ kɛn debm taaɗ taar teeco taar Raa ki ron̰ Ezayi taaɗno do dɔkin̰ se, aanga ɗoobin̰ ki kɛn ɔɔ:
MAT.4.17	Kaaɗ kɛn se sum ɓo Isa baag taaɗn taar Raa jeege tu ɔɔ: «ꞋTɛrlki maakse taa *maakŋ Gaar Raa se ɔɔpga gɔɔrɔ!»
MAT.4.18	Isa jaay aan taa naaŋ Galile ki se, naan̰ ɓaa lee taa baar ki ɔɔ gɔtn se naan̰ aak gɛnaage dio: deb kalaŋ ron̰ Simon kɛn kꞋdaŋin̰ ute ro Piɛr kici ɔɔ gɛnaan̰ se ron̰ Andre, tund tund gɛndɗe maan. Naaɗe se jee toocn̰ kɛn̰jge. 
MAT.4.19	Naan̰ ɗeekɗen ɔɔ: «ꞋƁaaɗo daanumki! Ɓɔrse maam mꞋasen tɛɗn naase jee ɓaa Ꞌje jikilimge aɗe ɓaa ɗoobm Raa ki.» 
MAT.4.20	Naaɗe naar ɔn̰ gɛndɗege ɔɔ daanin̰a.
MAT.4.21	Utu iik naan ki cɔkɔ se, naan̰ aak gɛnaage di kuuy, Jak te gɛnaan̰ Jan, gaan Zebedege, naaɗe ute bubɗe se iŋg kiŋg maakŋ markabɗe ki ɗaap ɗaap gɛndɗege ɔɔ gɔtn se Isa daŋɗe. 
MAT.4.22	Naaɗe naar iin̰ ɔn̰ bubɗe te markabɗe ɔɔ naaɗe daan Isa.
MAT.4.23	Tɛr Isa lee dɔɔɗ taa naaŋ Galile se paac dooy jeege maakŋ *ɓeeɗege tun Yaudge lee tusn maak ki gɛn keem Raa. Naan̰ taaɗɗen Labar Jiga gɛn *maakŋ Gaar Raa ɔɔ jeegen ɔk kɔɔn̰ge paac ute jeegen kɛn kɔɔn̰ge tujɗenga tuju maakɗe ki se, naan̰ ɛɗɗen lapia. 
MAT.4.24	Gɔtn se *nookin̰ eem dɔɔɗ taa naaŋ Siri se paac. Ɔɔ jeege ɓaano ute jee kɔɔn̰ge paac kɛn dɔɔl kɔɔn̰ɗege kaam kalaŋ eyo ɔɔ lee dabarɗe aan gɔɔ: jee ɔk kɔɔn̰ sitange, jee ɔk kɔɔn̰ puputu ɔɔ jee kꞋruŋguyge, paac se, naan̰ ɛɗɗen lapia. 
MAT.4.25	Jeege dɔɔlɔ dɛna ɔk mɛtn Isa: naaɗe se iin̰o taa naaŋ Galile ki, jeegen iin̰o taa naaŋ kɛn kꞋdaŋin̰ te ro Gɛgɛrgen Sik, kɛngen iin̰o maakŋ gɛgɛr kɛn Jeruzalɛm ki ute kɛngen taa naaŋ Jude ki ɔɔ jeegen iin̰o jɛŋ ool Jordan kɛn kaam kaaɗa tookŋo.
MAT.5.1	Kɛn Isa aak dɔɔl jeegen dɛn ese se jaay ɓaaɗo cɛɛn̰ ki se, naan̰ ookŋ iŋg do kɔs ki ɔɔ jeegen mɛtin̰ ki ɓaaɗo ɔŋin̰a. 
MAT.5.2	Gɔtn se Isa uun taara ɔɔ baagɗen dooyo ɗeekɗen ɔɔ:
MAT.5.3	«Maak‑raapo jeege tun jeel roɗe ki naaɗe se jee daayge naan *Raa ki, taa *maakŋ Gaar Raa se naaɗe ki!
MAT.5.4	Maak‑raapo jeege tun iŋg eem keeme, taa Raa utu aɗen sɛlɛ.
MAT.5.5	Maak‑raapo jeege tun dalul, taa do naaŋa se Raa utu aɗesin̰ kɛɗn naaɗe ki.
MAT.5.6	Maak‑raapo jeege tun kɛn je nakŋ kɛn tɔɔl Raa ki ute maakɗe paac taa nakŋ naaɗe je se, Raa utu aɗesin̰ kɛɗn ute maraadin̰a.
MAT.5.7	Maak‑raapo jeege tun kɛn ɛɛj do jeege tu, taa naaɗe kic Raa utu aɗen kɛɛjn̰ doɗe ki.
MAT.5.8	Maak‑raapo jeege tun maakɗe *salal taa naaɗe utu kaakŋ Raa.
MAT.5.9	Maak‑raapo jeege tun je ano ɓaa ute tɔɔsɛ, taa naaɗe se Raa utu aɗen daŋ ɔɔ: gɛnin̰ge.
MAT.5.10	Maak‑raapo jeege tun kꞋdabarɗe taa nakŋ kɛn naaɗe lee tɛɗ jaay tɔɔl Raa ki, taa maakŋ Gaar Raa se naaɗe ki.
MAT.5.11	Maak Ꞌraapo naase kɛn jeege jaay naajse, dabarse ɔɔ tɔlsen taar jig eyo ute taargen mɛt ki eyo dose ki, taa naase Ꞌtɛɗkiga jee maamge. 
MAT.5.12	Ɔn̰ki maakse Ꞌraapm dɛn aak eyo, taa maakŋ raa ki se, Raa utu asen kɔgŋ bɛɗse dɛn aak eyo. Bin ɓo jee taaɗ taar teeco taar Raa ki do dɔkin̰ ɓaaɗo naanse ki se kic, kꞋdabarɗeno bin kici.»
MAT.5.13	«Naase se ɓo aan gɔɔ kaatn gɛn do naaŋa. Num kɛn kaata jaay kiŋgin̰ nijim se gɔtɔga num, jꞋan̰ tɛɗn jꞋɔɔ ɗi jaay Ꞌtɛɗn nijim gɔtin̰ ki se? Kɛn nijimin̰ se jaay gɔtɔga num, naan̰ se tɛɗga nakŋ cɛrɛ, jꞋan̰ ɓaa si naata ɔɔ jeege lee do ki.
MAT.5.14	«Naase se ɓo gɔtn wɔɔr gɛn *dunia. Gɛgɛr kɛn jaay jꞋɔndin̰ do kɔs ki raan se, jꞋaakin̰ tal. 
MAT.5.15	Kɛn jꞋɔɔc lɔɔmpɔ se taa jꞋan̰ deebm dugul don̰ ki eyo, num jꞋan̰ kuun kɔl ro kaag ki raan taa wɔɔr gɔtɔ jeege tun maakŋ ɓee ki se paac. 
MAT.5.16	Bin num ɔn̰ki gɔtn wɔɔrse se wɔɔr naan jeege tu paac, taa naan̰ se ɓo jeege kaakŋ naabsen jigan kɛn Ꞌlee tɛɗki se, naaɗe *Ꞌnookŋ Bubsen maakŋ raa ki.»
MAT.5.17	«Maakŋ Ko Taar kɛn Raa ɛɗo Musa ki ute taar jee taaɗ taar teeco taar Raa ki raaŋo ɔɔ dooyno jeege do dɔkin̰ se, ɔn̰ten Ꞌsaapki ɔɔki maam mꞋɓaaɗo se taa Ko Taar se tɛɗn gɔtɔ, naɓo maam mꞋɓaaɗo se taa mꞋan̰ tɛɗn Ꞌkaasn ɗoobin̰ ki. 
MAT.5.18	ꞋBooyki bɛɛ mꞋasen taaɗa: kaaɗ kɛn maakŋ raa ute do naaŋa utu deel te ey ɓɔrt se, taar kꞋraaŋin̰ do Ko Taar kɛn Raa ɛɗo Musa ki jaay naase iŋgki do ki se, maakŋ taar ki se ɗimin̰ cɔkɔ kic ɓo, Ꞌkɔŋ Ꞌkut eyo bini, nakgen se paac kaan ɗoobin̰ ki. 
MAT.5.19	Taa naan̰ se ɓo, maakŋ Ko Taarge tun kɛn Raa ɛɗo Musa ki taaɗ ɔɔ gɛn tɛɗa jaay debm baate tɛɗn kɛn kalaŋ cɔkɔ aan gɔɔ ɗi kic ɓo ɔɔ dooy jeege Ꞌtɛɗn aan gɔɔ kɛn naan̰ tɛɗ se, debm bin se, Ꞌkɔɔpm debm baata *maakŋ Gaar Raa ki. Num debm took do taarge tun se, tɛɗin̰ paac te ɗoobin̰a ɔɔ dooy jeege Ꞌtɛɗn aan gɔɔ naan̰ se, debm bin se utu Ꞌtɛɗn magala maakŋ Gaar Raa ki. 
MAT.5.20	ꞋBooyki mꞋasen taaɗa: kɛn nakŋ naase Ꞌtɛɗki jaay tɔɔl te Raa ki cir te gɛn jee jeel taaɗn tɔɔkŋ mɛtn Ko Taar Raage ute *Parizige ey se, naase aki kɔŋ kɛnd maakŋ Gaar Raa ki eyo.»
MAT.5.21	«Naase Ꞌbooykiroga taar kɛn kꞋtaaɗo bubsege tu do dɔkin̰ kɛn ɔɔ: 
MAT.5.22	Num maam se, mꞋɗeeksen mꞋɔɔ: debm kɛn jaay tɛɗ taamooyo ro gɛnaan̰ ki se jꞋutu jꞋan̰ kɔjn̰ bɔɔrɔ don̰ ki. Ɔɔ debm jaay naaj gɛnaan̰ ɔɔ: ‹Naai se Ꞌdala› debm bin se, bɛɛki num, jꞋan̰ kɔl naan Yaudge tun *jee kaakŋ mɛtn taarge se. Ɔɔ tɛr debm jaay naaj gɛnaan̰ ɔɔ: ‹Naai se debm dɛrlɛ› debm bin se, bɛɛki num, jꞋan̰ kɔkŋ kɔl pooɗn, gɔtn dubar kɛn gɛn daayum.
MAT.5.23	«Kɛn naai jaay Ꞌɓaa ɓaa kɛɗn *sɛrki gɔtn kɛn kꞋjꞋiin̰ gɛn lee tɛɗn sɛrkɛ Raa ki se ɔɔ gɔtn ese se naai Ꞌsaap jaay ɔk taara ute gɛnaai num, 
MAT.5.24	ɔn̰ sɛrki naai Ꞌɓaan̰ ɓaa kɛɗa se ram ɔɔ ɔk tɛrl ɓaa ɔk taasa te gɛnaai jaay ɓo Ꞌɓaaɗo kɛɗn sɛrki se Raa ki.
MAT.5.25	«Kɛn naai jaay ɔk taar ɗim te debm taamooyi se, kɛn utu Ꞌɓaaki ɓaa ɗoob ki sum ɓo, Ꞌnaar Ꞌɗaapin̰ki taarse se ute naapa; ey num, ɓɛrɛ, debm taamooyi se ai ɓaa kɔli gɔtn debm kɔjn̰ bɔɔr ki ɔɔ debm kɔjn̰ bɔɔrɔ se lɛ ai kɔkŋ kɛɗi ji magal asgarge tu ɔɔ naan̰ ai kɔli daŋgay ki. 
MAT.5.26	ꞋBooy bɛɛ mꞋai taaɗa: nakŋ doi ki paac se, bini kɔbɔrɔ kic ɓo ɔg naŋin̰ te ey se, naai Ꞌkɔŋ teecn̰ maakŋ daŋgay ki eyo.»
MAT.5.27	«Naase Ꞌbooykiga kɛn *Ko Taar kɛn Raa ɛɗo Musa ki taaɗ ɔɔ: 
MAT.5.28	Num gaŋ maam se mꞋɗeeksen mꞋɔɔ: debm kɛn jaay aak mɛnd nam ɔɔ dɔŋin̰ te maakin̰ se, debm bin se aan gɔɔ tooɗnsin̰ga. 
