MAT.1.1	Abraham chapa Devid, ava Chapa Jisu Khrista ki charuwl Laaika. 
MAT.3.9	‘Neen kpah raanna Abraham kthloi in,’ dida adaksaa in thung ngi kthe nuwmmi am maan; mleija neiji akthe inna, Isowr va hava lung rek thungki ava Abraham naole ngi kpurthuw kapchaang ra. 
MAT.3.10	Tun rukva ding rek arjuwng leen ṭhii rek kaksai daatta; thei kṭha kchui kma ding rek khim khaija phuwr donle mei thu kvar pthii ra.
MAT.3.11	“Plung ren kuhur leiji neiva dii ngi baptis akuptlot in; pdainu nei kdil ṭoida karvang Mma ava nei kihinnu klin lang lang,Mkhu kok rek ruk kuhur rang nga nea kurhui chmaang; Mma ava ngi pthla kchiir leh mei tu kurthloppi baptis akuptlot chraan. 
MAT.3.12	Mdo pkhui nrangki tuhu ava mkhut thung ngi ka am daat, Mma ngi pkhuida mdo pintiin kehu mchang rek ava ktom thu kthiira, pdainu mpirvii ava kṭuw knai kma mei thu kapkaa pthiira.”
MAT.3.13	Ava dilli Jisu ngi Johon hin baptis mdolo chaak nra Galil ki Jordon tha arvang da. 
MAT.3.14	“Nang ngi nei baptis ado tuptlot rang kchang, nei kihin ni Nang kthleng pti mo?” dida kthe pkhaan ruk kro. 
MAT.3.15	Pdainu Jisu ngi mhin arthawngda, “Tunva anto chdaat so; mleija rinkindit rek mkheng nenni tpurkhum na kurthuwk ra. Ava dilli Johon ni ro da. 
MAT.3.16	Ungta Jisu ngi baptis mtlot mpha thu dii thungki kbei sekki arhun thuwk teng da,ungu asuwn, parwaan kparvang da, uṭhuw heppi Isowr pthla arjung ṭumda, mleen ni kchuk dei da; ungta mleenni lengda. 
MAT.3.17	Ungu asuwn, parwaan ki krowl khatti theda, “Hava Nei kwonsat lo Kchapa, Mhin kning kthlung nga.”
MAT.4.1	Ava dilli Jisua dijabowl do pthleem ra pthla ngi kbowklai tha ṭhida. 
MAT.4.2	Ungta Mma ngi nii somplii jaan som plii thu then ngowl da, ava dilthang ro ngi mpoi tham da. 
MAT.4.3	Ungta kepthleem mi Mhin arva da, theda, “Nah Isowr Chapa akurthutta hava lung rekka thenpen apur owl.” 
MAT.4.4	Pdainu Mma ngi arthawng da, “Ava mdo kjit dok.”
MAT.4.4	‘Thenpen daatti mii ava ring nime; pdainu Isowr ner thungki kthuwk pauna ava khim khai daat ra.’ 
MAT.4.5	Ava dilli dijabowl li kchiir khuwpii tha hanṭhida, ungta luwbuk Inn kchuwng ver leenni kalṭhida. 
MAT.4.6	Ungu Mhin theda, “Nah Isowr Chapa akurthutta adaksaa ava jungkhuwng; mleija ava kjit dok da,
MAT.4.6	Nah aksut pṭoi ra Mma ngi waan tamsii rek akpiira ungta lung khdaat preva ngi akhu mdo thown ma nra, mkhut inni akukjowng lamra.” 
MAT.4.7	Jisu ngi mhin theda, “Ava ruk mdo kjit dok; nang ngi nang ki Isowr Mukpu ava ado pthleem ro nime.” 
MAT.4.8	Veikhat nowlli dijabowlli lown kparthaang sii ava leen ṭhida dultipaam thungki kruwngpaam rek mkheng leh mlaarnee Mhin tdet da, 
MAT.4.9	Ungta Mhin theda, “Nang ngi tluwda luw atbuk bi havale mkheng nga Nah hin apii chnik di.” 
MAT.4.10	Ava dilli Jisu ngi mhin theda, “Esun dok, Seitaan mleija hava mdo kjit dok; ‘nang ngi nangki Isowr Mukpu ava luw ado buk ra ungta Mma daat hin sok adolo ra.’” 
MAT.4.11	Ava dilli dijabowlli Mma ava ma pthii da; ungu asuwn,waan tamsii arjung da Mhin sok lo pik da.
MAT.4.12	Tunva Johon mdo kjown dok in Mma ngi maryaak thungta, Galil tha vang thliir chda. 
MAT.4.13	Ungta Nasareth ma thida truwn biing ngi Kaparnahum tha, Jebulun leh Naptali paamkowl tha am chdaat da. 
MAT.4.14	Khulpu Isaijah dothe dok ava mkurkhum na kurthuwk da:
MAT.4.15	“Jebulun paam leh Naptali paam tha,
MAT.4.15	Jordon arkaan da,truwn ktong tha,
MAT.4.15	ktlok chati rek Galil ava tha,
MAT.4.16	kjiing thu ka am mii rekki,
MAT.4.16	klin lang lang ki mar awng dei da,
MAT.4.16	ungta ava paamkowl tha ungu,
MAT.4.16	kdiyou thu ka am mii rek hin mar awng kleng nga.”
MAT.4.17	Mpha ava thu Jisu ngi kparyaam pṭhunda, theda, plung ren ahur chaan, mleija parwaan Kruwngpaam ava knai tekka.
MAT.4.18	Mma ngi Galil truwn be ngi mkurlon thungta,Pitor mdo dit Simon leh mnaopa Andrija unao knii ngi truwn thu kchak kdeeng slii hai deida; mleija mmaanna tuwlva kukjowng mii rek lam. 
MAT.4.19	Ungta Mma ngi mhin inni theda, “Kdil aṭoi chaan; ungu Neiji mii rek kukjowng apurthuw nikaan di.” 
MAT.4.20	Ungta mmaanni makchak rek in ma pthii teng lam thida, Mma dil ṭoi chlam da. 
MAT.4.21	Ungu ava thungki anto kchet slii ngi Jebidi chapa rek Jeems leh mnaopa Johon unao knii rekki, mpah in Jebidi tu arkuwng leen makchak rek in ktuphut slii meek deida; ungbi Mma ngi own lamda. 
MAT.4.22	Ungta mmaanni arkuwng leh mpah in ava ma pthii teng lamda, ungu Mma dil ṭoi chlam da.
MAT.4.23	Ungta Jisu ngi Galil paam mkheng thu tlowng da, synagog rek thu purchuk da; ungu Kruwngpaam kṭha paumin paryaam da, ungta omlai khim khai leh mii rek arlakki msik msik omlaiji kukoi pdam da. 
MAT.4.24	Syria paam mkheng nga Mma mlei thung ngi pauren rek kurjou da, ungta kukoi rek mkheng Mhin ṭhi paphaak lamda; omlai msik msikki kukoi rek, ungu kpaang kma rek; ramṭhi rek, arngol rek; kyeng rek Mma ngi pdam pik lamda. 
MAT.4.25	Ungta Galil thungki, Dikapoli thungki, Jerusalem thungki, Judia thungki, ungu Jordon hai kheel dek thung ki mii rek klin lang lang ngi kurtuwl da Mdil ṭoida.
MAT.5.1	Mma ngi kurtuwl mii rek mdee thungta, lown tun hangda, mku on thungta, msiikhu rek Mhin arhang lamda. 
MAT.5.2	Ungta Mma ngi mner pvangda mhin inni purchuk da theda.
MAT.5.3	“Pthla ktong tha sra rek ava msuwnkṭha, mleija parwaan Kruwngpaam ava mmaan tum.
MAT.5.4	“Kurnung karbaang da kṭap rek ava msuwnkṭha, mleija mmaanna lungam kpii chlamra.
MAT.5.5	“Plung kdowng rek ava msuwnkṭha, mleija mmaanni dultipaam kpha chlamra.
MAT.5.6	“Rinkindit tummi poitham ningkraal kparteel rek ava msuwnkṭha, mleija mmaan ava kpapa chlamra.
MAT.5.7	“Plung knei rek ava msuwnkṭha, mleija mmaanni plungnee kpha chlamra.
MAT.5.8	“Plung kpinchel rek ava msuwnkṭha, mleija mmaanni Isowr kdei chlamra.
MAT.5.9	“Kdaai kpii rek ava msuwn kṭha, mleija mmaan ava Isowr naole kdira.
MAT.5.10	“Rinkindit tummi kja kakham kparteel rek ava msuwn kṭha, mleija parwaan Kruwngpaam ava mmaan tum.
MAT.5.11	“Nei ktummi naan ava mii rekki ning er aplo inda,kja kakham piida kṭha kma mkheng plei neida mdo the psuk naan ava asuwnkṭha. 
MAT.5.12	Plung kngammi ekanpa chaan, mleija naanki mnah ava parwaan tha klinra; mleija mii rek ava ngi naan adu inni khulpu rek ava mdo pjat mdo pkham in.
MAT.5.13	“Naan ava dultipaam ki pti in pti; pdainu pti ngi ma al mmaan chaakku, tak heppi ka al nowl rang da? Ava var pthiida mii rekki mdo ther kma donle do khat lee sii me.
MAT.5.14	“Naan ava dultipaam ki mar awng in pti. Lown khat leenni khuwpii khat ka am ava kurdowl pchaang nime. 
MAT.5.15	Mata mii rekki meila khat pchuk thida tomkol ti ngi thii nime, pdainu mrina khat leenni kthiira; ungu inn thungki mkheng ka awnra. 
MAT.5.16	Naanki kṭha nong rek mmaanni deida ungu parwaan tha ka am naan Apah hin mdo punlor nra, naanki mar awng ava mii rek maiṭhuwmmi kdung ngi lengso.
MAT.5.17	“Neia Nowlam leh khulpu rek kpamaang ra kurjung pi kdingi naanva bin maan; Neiva kpamaang rang ki kurjung pmaang, pdainu kpurkhum rangki ping. 
MAT.5.18	Mleija, kinditti Neiji ahin thaanni kthea, parwaan leh dulti mmaan du khim khai, Nowlam thungki kbii, mdit mata bindu khdaat preva mkheng ava mkurkhum du khim khai maang nime. 
MAT.5.19	Ava leiji ku mii khatti hava paureen rek kdil sii khat leek pthii thida, mii rek hin anto hep daatti mpurchu bi, parwaan Kruwngpaam tha mikdil sii kdi ngi ku ownra. Pdainu ava tloda ungu kpurchuk mmaan ava parwaan Kruwngpaam tha klin sii ngi ku ownra. 
MAT.5.20	Mleija ahin thaanni Neiji kthea, naan rinkhu kindit ava Nowlam chukpu rek leh Pharisi rek mapkheel mabi, parwaan Kruwngpaam lut chip pchaang ni maanti.
MAT.5.21	“‘Nang ngi mii eayou ma; ungu mii ke eayou ku mii khat ava ksoi liit kma kekṭewlra,’ dida mii pliw rek hin mdo the naanni ado aryaak dok in. 
MAT.5.22	Pdainu Neiji ahin thaanni kthea, mu u mnao plungthit kuplo mii pum ktai ava ksoi liit kma kekṭewl ra; ku mii khatti mu u mnao ava ning er pauvi muplo psuk bi, karseel lop ktur oira, ungu ku mii khatti ‘ka aak!’ dida mthebi, sim mei thung ngi ktla ra. 
MAT.5.23	Ava leiji naanni kchiir suwlbuwr hin chla tlaai adown in ungu a u anao inni mruk ado taplaal chaak naan abin phaak inta, 
MAT.5.24	downda ado piik raan ava kchiir suwlbuwr maiṭhuwmmi ama lap thiinra, ru kri ngi a u anao hin vang inra ekarman dok in; thiinra arva inra ado piik chaak raan chla tlaai ava adown chaan. 
MAT.5.25	Naan arawlmii intu kekṭewl rangki ache slii arlaan inni, kbeiji plap akurthut ṭhi dok maanbi, naan arawlmii inni kekṭewl mii hin akparlaan pthii raan, ungu kekṭewl mii va kseel hin,ungta kseel mii va rowng inn thu akthii raan. 
MAT.5.26	Kinditti Neiji ahin thaanni kthea, naanni mṭut na sum ava achoi dok du in khim khai ava thungki thuwk chip pchaang ni maan ti.
MAT.5.27	“‘Losang kṭhi rome,’ dida mdo the naanni aryaak in. 
MAT.5.28	Pdainu Neiji akthe inna, kturdouvi snu khat ksuw ku mii khat ava mma tu kilṭhi ngi mplung rilli karmak nong mtlot dokka. 
MAT.5.29	Naan achang inki mik ki pnu akaptla raan mkurthutta,akhor pthiin ra avar pthiin; naan adaksaa in mkheng sim thu mtlaak rang kchang nga, naan athung kiin khat kmaang kcha ava ngi kursuk sii ra. 
MAT.5.30	Ungta naan achang inki khutti pnu akaptla raan mkurthutta, areen buk inra avar pthiin; naan adaksaa in mkheng sim thu atlaak raan kchang nga, khut khat kmaang kcha ava ngi kursuk sii ra.
MAT.5.31	“Hanto ruk va theda, ‘Ku mii khatti mnu mei bowr mtlot pthii ta, bowr mdo tlot na ki mlei akjit sora mhin apii so.’ 
MAT.5.32	Pdainu Neiva ahin thaanni kthea, mma ngi mkirmet ma lei daatti ku mii khatti mnumei bowr mtlot pthii bi, mma leen losang mṭhia; ungta mbowr mdo tlot pthii snu ava klou ku mii khat ava ruk va losang mṭhia.
MAT.5.33	“ ‘Kindit kma thu paureel ma; pdainu Mukpu hin apaureel dok ava atlo,’ dida pliw mii rek hin mdo the naanni aryaak nowl in. 
MAT.5.34	Pdainu Neiva ahin thaanni kthea, ‘Naanni parwaan ktham da pau adoreel in rome, mleija ava Isowr ko onna. 
MAT.5.35	Mata dulti ktham da paukreel rome, mleija ava klin lang lang ki Kruwng khuwpii. 
MAT.5.36	Ungta aluwn ktham da paukreel rome,mleija sam arjik khdaat preva kpupowl mdit mata kpuvom pchaang maanti.’ 
MAT.5.37	Naanni ko ol tekki ado the raan ava ‘Oji,’ mdit mata ‘Eme;’ hava hai hinni kthuwk pau ava kṭhakma jesang.
MAT.5.38	“ ‘Mik tummi mik khat ungu haa tummi haa khat,’ dida mdo the ava naanni ado aryaak dok in. 
MAT.5.39	Pdainu Neiva ahin thaanni kthea, kṭhakma khat ava phuw lou maan; pdainu ku mii khatti achang inki abiing thaanni atitpeen inta, khat ktongki ruk mhin adoi pik in. 
MAT.5.40	Ku mii khatti mdo oiji aphrik in ktha khat mlota, aphrik in kder ruk asu pik in; 
MAT.5.41	ungta ku mii khatti meel khat ache nraan atnam duwl inta, meel knii kpha ache ṭhiin. 
MAT.5.42	Ahin thaanni kaktham hin apiin, ungu ahin inni kurpu chra ava mat maan.
MAT.5.43	“‘Aveen wonsat alo ungu aksnuwm kma ava apder cha,’ dida mdo the naanni aryaak dok in. 
MAT.5.44	Pdainu Neiva ahin thaanni kthea, aksnuwm kma rek wonsat alo in ungu kja kakham akpii rek tummi aṭhil pik chaan; 
MAT.5.45	anto mkurthut bi parwaan ki Apah naole kurthuwk naan di; mleija kniw ava kṭhakma leh kṭha leen arhan kthuwk ungu kindit leh kindit kma leen khuw mdo prat. 
MAT.5.46	Mleija naan wonsat aklo chaan hin daatti wonsat alo innu, ava talu mnah pha chnaan di? Khasna klou rek ruk va anto heppi mdo tlot pme mo? 
MAT.5.47	Naanki a u anao in hin daatti salaam atlot innu, mii murson rek hinnu talu kheelli ado tlot in ka amma? Ktlok chati rek ruk va anto heppi mdo tlot in pme mo? 
MAT.5.48	Ava ngi mlei kurthuwk da, parwaan ki Apah inni mkinreel mkurthut lulu ngi naan rukka kinreel akurthut maan rome.
MAT.6.1	“Mii rek maiṭhuwmmi mmaan do dee rang ngi plung klut dotlot ado tlot ma nraan chek asin chaan; anto mkurthut mabi parwaan ki Apah in hinki mnah thloi chni maan ti.
MAT.6.2	“Ava leiji, naanni apiik chaak in mpha thu; adu suk inni peengkhul dum maan, ṭha tlot ktlo rekki synagog thu,ungu lamṭhuwm rek thu mii rek do panpaak rang ngi mdo tlot in lulu tlo maan. Kinditti Neiji ahin thaanni kthea; mmaanki mnah ava mdo arlaan chaak dok in. 
MAT.6.3	Pdainu naanni apiik chaak in mpha thu, achang inki khut dotlot ava alee inki khut pdee maan; 
MAT.6.4	anto mkurthut bi ado piik chaak rek in ava kurthuwk ra; ungta tuprutti aksut pṭoi chaan Apah inni mnah akpii chraan.
MAT.6.5	“Ungta naanni aṭhil chaak in mpha thu,ṭha tlot ktlo rek lulu akurthut raan pme; mleija mmaanni synagog rek thu ungu lamṭhuwm rek arkil thu, mii rek dodee rang ngi rip da kṭhil cha ava mdo ngei in. Kinditti, Neiji ahin thaanni kthea,mmaan ki mnah ava mdo arlaan chaak dok in. 
MAT.6.6	Pdainu naanni aṭhil chaak in mpha thu, innka thu vangluwt inra ungu thurngot asul in thiinra tuprutti ka am naanki Apah ava hin aṭhil chaan; ungu tuprutti aksut pṭoi in naanki Apah ava ngi mnah akpii chraan.
MAT.6.7	“Ungta kṭhil cha thungva ktlok chati rek dotlot lulu ngi do ksii kma ngi pau purnuwm maan; mleija mpauna rek in knempok leiji karyaak pik lamra kdingi bin lamda. 
MAT.6.8	Mmaan hep daat kurthuwk maan, mleija naanni aṭhil chaak du in liitti ado kriin chaak in ava Apah inni mdo dee dok.
MAT.6.9	“Hanto lulu ngi aṭhil chaan:
MAT.6.9	Parwaan tha ka am neenki Kpah,
MAT.6.9	Nah amiing kchiir kurthuwk so.
MAT.6.10	Nah Akruwngpaam kurjung kurthuwk so,
MAT.6.10	Parwaan tha aplung bin ado tlot heppi,
MAT.6.10	dultipaam thu kurthuwk so.
MAT.6.11	Mnii ktaiki thenpen tnii mhai pii chaan;
MAT.6.12	ungta neen rukku neen ki lei ktuwl rek
MAT.6.12	kdo ptlot pik in heppi, klei tuwl rek in
MAT.6.12	mhai ptlot pik chaan;
MAT.6.13	ungta kepthleem thu mhai ptla chmaan,
MAT.6.13	pdainu kṭha kma thungki mhai arthuw chaan;
MAT.6.13	mleija Kruwngpaam, ungta rutan,
MAT.6.13	ungu laarnee ava kṭuw knai kma ki Nah ado:
MAT.6.13	Amen
MAT.6.14	Mleija naanni mii rek do parma na aptlot pik inbi, parwaan ki Apah in ruk va ado parma naan thungki akuptlot pik chraan. 
MAT.6.15	Pdainu naanni mii rek do parma na thungki aptlot pik maanbi, Apah in rukva ado parma naan thungki aptlot pik in nime.
MAT.6.16	“Ungta naanni then angowl in mpha thu, ṭha tlot ktlo rek lulu ngi; mik sut na thung ngi arda kdowng ngi am maan, mleija mmaanni then mngowl in mpha thu mii rek do dee nrang ngi mmai in tpurnung lamda. Kinditti, Neiji ahin thaanni kthea, mmaanki mnah ava mdo arlaan chaak dok in. 
MAT.6.17	Pdainu naanni then angowl in mpha thu, aluwn thao apbul inra ungu amai in aphiit in. 
MAT.6.18	Ungu mii ngi athen ngowl in ava dei nime pdainu tuprutti ka am naan ki Apah in, ungta tuprutti aksut pṭoi in naanki Apah inni mnah akpii chraan.
MAT.6.19	“Ngeetti pṭum da tampei kakaak chra, ungu kupru rekki pkui donle mdo prut chaak ra; dultipaam thu adaksaa kiinra alrou purtuwl maan. 
MAT.6.20	Pdainu ngeet do pṭum mara tampei kakaak kmara ungu kupru ngi mdo prut chaak mara, adaksaa inki tumra parwaan tha alrou apurtuwl chaan. 
MAT.6.21	Mleija naanki alrou am na thung ngi aplung bin in rukka ka am ra.
MAT.6.22	“Daksaa meila ava mik. Ava leiji amik in mdam bi, adaksaa in mkheng nga mar awng ngi kdimra; 
MAT.6.23	pdainu amik in mdam mabi, adaksaa in mkheng nga kjiing ngi kdim chra. Naan thungki mar awng ngi mjiinbi; ava tija thung ngi klin kurthuwk chdaat rang!
MAT.6.24	“Ku mii khat lee ngi chukpu knii sok lo nime; mleija mma ngi khat pder chthi donle khat wonsat klo ra, mdit mata khat hin plung plut bet thi donle khat hin pau kleek psuk ra. Naanni Isowr leh alrou sok adolown ro nime.
MAT.6.25	“Ava leiji Neiji ahin thaanni kthea, naanni arinkhuwn mlei thu, talu chaa nikdi mdit mata talu nee nikdi mdit mata adaksaan mlei thu talu hiil naa nikdi kdingi plung pja maan. Then hinnu rinkhu ungta dona hinnu daksaa ava ngi kheel sii pme mo? 
MAT.6.26	Kjuwng puwa rekka asuwn; mmaanni pṭau lamme, arkun lamme, ktom thung ruk va purkuk lamme; anto daat joso parwaan ki naan Apah ngi mdo pmaal chaak lam. Naanna mmaan kheel dek kurthuwk maan ti mo? 
MAT.6.27	Ungta naan ku mii khatti plung mdo pjat leiji mrinkhu khutup khdaat pang pre mpursown pchaan mo? 
MAT.6.28	Ungu talu leiji naanni adona naak raan mlei thung ngi plung apjat inna? Bil thungki duwm rei rekka tak heppi kukmowng tdit abin phaak in, mmaanni nong lou lamme, plaa ruk arvai lamme; 
MAT.6.29	anto daat joso Neiji akthe pik inna, Solomon daat ruk va mlaarnee mkheng nga havale khat hep daatti hiil naame. 
