GEN.1.1	La început Dumnezeu a creat cerul și pământul.
GEN.2.24	De aceea un bărbat va lăsa pe tatăl său și pe mama sa și se va lipi de soția sa și cei doi vor fi un singur trup.
GEN.2.25	Și ei erau amândoi goi, omul și soția sa, și nu se rușinau.
GEN.3.1	Acum șarpele era mai viclean decât orice fiară a câmpului pe care DOMNUL Dumnezeu a făcut-o. Și a spus femeii: Oare a spus Dumnezeu: Să nu mâncați din fiecare pom al grădinii?
GEN.3.2	Și femeia a spus șarpelui: Putem să mâncăm din rodul pomilor grădinii,
GEN.3.3	Dar din rodul pomului care 
GEN.3.4	Și șarpele a spus femeii: Nu veți muri nicidecum;
GEN.3.5	Fiindcă Dumnezeu știe că în ziua în care voi mâncați din acesta, atunci ochii voștri vor fi deschiși și veți fi ca dumnezei, cunoscând binele și răul.
GEN.3.6	Și când femeia a văzut că pomul 
GEN.3.7	Și li s-au deschis ochii la amândoi și au știut că 
GEN.3.8	Și au auzit vocea DOMNULUI Dumnezeu umblând în grădină în răcoarea zilei; și Adam și soția lui s-au ascuns de la fața DOMNULUI Dumnezeu, printre pomii grădinii.
GEN.3.9	Și DOMNUL Dumnezeu l-a chemat pe Adam și i-a spus: Unde 
GEN.3.10	Iar el a spus: Am auzit vocea ta în grădină și m-am temut, pentru că 
GEN.3.11	Iar el a spus: Cine ți-a spus că 
GEN.3.12	Și omul a spus: Femeia pe care mi-ai dat-o 
GEN.3.13	Și DOMNUL Dumnezeu a spus femeii: Ce 
GEN.3.14	Și DOMNUL Dumnezeu a spus șarpelui: Pentru că ai făcut aceasta, 
GEN.3.15	Și voi pune dușmănie între tine și femeie și între sămânța ta și sămânța ei; el îți va zdrobi capul, iar tu îi vei zdrobi călcâiul.
GEN.3.16	Femeii i-a spus: Mult îți voi înmulți tristețea și însărcinarea ta, cu tristețe vei naște copii și dorința ta 
GEN.3.17	Și lui Adam i-a spus: Pentru că ai dat ascultare vocii soției tale și ai mâncat din pomul din care ți-am poruncit, zicând: Să nu mănânci din el, blestemat 
GEN.3.18	Spini și ciulini îți va aduce și vei mânca verdeața câmpului;
GEN.3.19	În sudoarea feței tale vei mânca pâine, până te vei întoarce în pământ, pentru că din el ai fost luat: căci țărână 
GEN.3.20	Și Adam i-a dat soției sale numele Eva, pentru că ea a fost mama tuturor celor vii.
GEN.3.21	Lui Adam și soției lui, de asemenea, DOMNUL Dumnezeu 
GEN.3.22	Și DOMNUL Dumnezeu a spus: Iată, omul a devenit ca unul dintre noi, să cunoască binele și răul. Și acum, ca nu cumva să își întindă mâna și să ia de asemenea din pomul vieții și să mănânce și să trăiască pentru totdeauna,
GEN.3.23	De aceea DOMNUL Dumnezeu l-a trimis din grădina Edenului, 
GEN.3.24	Astfel l-a alungat afară pe om și a așezat la est de grădina Edenului 
GEN.4.1	Și Adam a cunoscut-o pe Eva, soția lui, și ea a rămas însărcinată și a născut pe Cain și a spus: Am primit un bărbat de la DOMNUL.
GEN.4.2	Și ea a mai născut pe fratele lui, Abel. Și Abel era păzitor de oi, dar Cain era lucrător al pământului.
GEN.4.3	Și s-a întâmplat că, după un timp, Cain a adus un dar DOMNULUI, din rodul pământului.
GEN.4.4	Și Abel, de asemenea, a adus din întâii născuți ai turmei sale și din grăsimea lor. Și DOMNUL s-a uitat 
GEN.4.5	Dar la Cain și la darul său nu s-a uitat 
GEN.4.6	Și DOMNUL i-a spus lui Cain: De ce te-ai înfuriat? Și de ce ți s-a posomorât fața?
GEN.4.7	Dacă faci bine, nu vei fi acceptat? Iar dacă nu faci bine, păcatul pândește la ușă. Și dorința lui se ține de tine, dar tu să stăpânești peste el.
GEN.4.8	Iar Cain a vorbit cu Abel, fratele său, și a fost 
GEN.4.9	Și DOMNUL i-a spus lui Cain: Unde 
GEN.4.10	Iar el a spus: Ce ai făcut? Vocea sângelui fratelui tău strigă din pământ către mine.
GEN.4.11	Și acum 
GEN.4.12	Când lucrezi pământul, acesta nu îți va mai da de aici înainte puterea lui; un fugar și un rătăcitor vei fi pe pământ.
GEN.4.13	Și Cain a spus DOMNULUI: Pedeapsa mea 
GEN.4.14	Iată, tu m-ai alungat astăzi de pe fața pământului și de la fața ta voi fi ascuns și voi fi un fugar și un rătăcitor pe pământ și se va întâmpla 
GEN.4.15	Și DOMNUL i-a spus: De aceea, oricine ucide pe Cain, răzbunare va fi asupra lui de șapte ori. Și DOMNUL a pus un semn pe Cain, ca nu cumva cineva, găsindu-l, să îl ucidă.
GEN.4.16	Și Cain a ieșit din fața DOMNULUI și a locuit în țara Nod, la est de Eden.
GEN.4.17	Și Cain a cunoscut-o pe soția sa și ea a rămas însărcinată și a născut pe Enoh; și a zidit o cetate și a pus numele cetății după numele fiului său, Enoh.
GEN.4.18	Și lui Enoh i s-a născut Irad; și Irad a născut pe Mehuiael; și Mehuiael a născut pe Metușael; și Metușael a născut pe Lameh.
GEN.4.19	Și Lameh și-a luat două soții: numele uneia 
GEN.4.20	Și Ada a născut pe Iabal: el a fost tatăl celor ce locuiesc în corturi și 
GEN.4.21	Și numele fratelui său 
GEN.4.22	Și Țila, de asemenea, a născut pe Tubal-Cain, instructor al fiecărui meșteșugar în aramă și fier; și sora lui Tubal-Cain 
GEN.4.23	Și Lameh a spus soțiilor lui, Ada și Țila: Auziți vocea mea, voi soțiile lui Lameh, dați ascultare la vorbirea mea: pentru că am ucis un om pentru rănirea mea și un tânăr pentru vânătaia mea.
GEN.4.24	Dacă va fi răzbunat Cain de șapte ori, cu adevărat, Lameh de șaptezeci și șapte de ori.
GEN.4.25	Și Adam a cunoscut-o din nou pe soția lui și ea a născut un fiu și i-a pus numele Set: Pentru că Dumnezeu, 
GEN.4.26	Și lui Set, de asemenea, i s-a născut un fiu și i-a pus numele Enos: atunci au început oamenii să cheme numele DOMNULUI.
GEN.5.1	Aceasta 
GEN.5.2	Parte bărbătească și parte femeiască i-a creat și i-a binecuvântat și le-a pus numele lor, Adam, în ziua în care au fost creați.
GEN.5.3	Și Adam a trăit o sută treizeci de ani și a născut 
GEN.5.4	Și zilele lui Adam, după ce a născut pe Set, au fost de opt sute de ani; și a născut fii și fiice;
GEN.5.5	Și toate zilele pe care Adam le-a trăit au fost nouă sute treizeci de ani; și a murit.
GEN.5.6	Și Set a trăit o sută cinci ani și a născut pe Enos;
GEN.5.7	Și Set a trăit, după ce a născut pe Enos, opt sute șapte ani; și a născut fii și fiice;
GEN.5.8	Și toate zilele lui Set au fost nouă sute doisprezece ani; și a murit.
GEN.5.9	Și Enos a trăit nouăzeci de ani și a născut pe Cainan;
GEN.5.10	Și Enos a trăit, după ce a născut pe Cainan, opt sute cincisprezece ani; și a născut fii și fiice;
GEN.5.11	Și toate zilele lui Enos au fost nouă sute cinci ani; și a murit.
GEN.5.12	Și Cainan a trăit șaptezeci de ani și a născut pe Mahalaleel;
GEN.5.13	Și Cainan a trăit, după ce a născut pe Mahalaleel, opt sute patruzeci de ani; și a născut fii și fiice;
GEN.5.14	Și toate zilele lui Cainan au fost nouă sute zece ani; și a murit.
GEN.5.15	Și Mahalaleel a trăit șaizeci și cinci de ani și a născut pe Iared;
GEN.5.16	Și Mahalaleel a trăit, după ce a născut pe Iared, opt sute treizeci de ani; și a născut fii și fiice;
GEN.5.17	Și toate zilele lui Mahalaleel au fost opt sute nouăzeci și cinci de ani; și a murit.
GEN.5.18	Și Iared a trăit o sută șaizeci și doi de ani și a născut pe Enoh;
GEN.5.19	Și Iared a trăit după ce a născut pe Enoh, opt sute de ani; și a născut fii și fiice;
GEN.5.20	Și toate zilele lui Iared au fost nouă sute șaizeci și doi de ani; și a murit.
GEN.5.21	Și Enoh a trăit șaizeci și cinci de ani și a născut pe Metusala;
GEN.5.22	Și Enoh a umblat cu Dumnezeu, după ce a născut pe Metusala, trei sute de ani; și a născut fii și fiice;
GEN.5.23	Și toate zilele lui Enoh au fost trei sute șaizeci și cinci de ani;
GEN.5.24	Și Enoh a umblat cu Dumnezeu: și nu 
GEN.5.25	Și Metusala a trăit o sută optzeci și șapte de ani și a născut pe Lameh;
GEN.5.26	Și Metusala a trăit, după ce a născut pe Lameh, șapte sute optzeci și doi de ani; și a născut fii și fiice;
GEN.5.27	Și toate zilele lui Metusala au fost nouă sute șaizeci și nouă de ani; și a murit.
GEN.5.28	Și Lameh a trăit o sută optzeci și doi de ani și a născut un fiu;
GEN.5.29	Și i-a pus numele Noe, spunând: Acesta ne va mângâia pentru lucrarea noastră și osteneala mâinilor noastre, din cauza pământului pe care Dumnezeu 
GEN.5.30	Și Lameh a trăit, după ce a născut pe Noe, cinci sute nouăzeci și cinci de ani; și a născut fii și fiice;
GEN.5.31	Și toate zilele lui Lameh au fost șapte sute șaptezeci și șapte de ani; și a murit.
GEN.5.32	Și Noe a fost în vârstă de cinci sute de ani; și Noe a născut pe Sem, Ham și Iafet.
GEN.6.1	Și s-a întâmplat, pe când oamenii au început a se înmulți pe fața pământului și li s-au născut fiice,
GEN.6.2	Că fiii lui Dumnezeu au văzut că fiicele oamenilor 
GEN.6.3	Și DOMNUL a spus: Duhul meu nu se va lupta întotdeauna cu omul, căci el 
GEN.6.4	Erau uriași pe pământ în acele zile și, de asemenea, după aceea, când fiii lui Dumnezeu au intrat la fiicele oamenilor și ele le-au născut 
GEN.6.5	Și Dumnezeu a văzut că stricăciunea omului 
GEN.6.6	Și aceasta l-a făcut pe DOMNUL să se pocăiască pentru că a făcut pe om pe pământ și l-a mâhnit în inima lui.
GEN.6.7	Și DOMNUL a spus: Voi nimici de pe fața pământului pe omul pe care l-am creat, deopotrivă om și animal și târâtoarea și păsările cerului, fiindcă aceasta mă face să mă pocăiesc că i-am făcut.
GEN.6.8	Dar Noe a găsit har în ochii DOMNULUI.
GEN.6.9	Acestea 
GEN.6.10	Și Noe a născut trei fii: Sem, Ham și Iafet.
GEN.6.11	Și pământul era corupt înaintea lui Dumnezeu și pământul era umplut de violență.
GEN.6.12	Și Dumnezeu a privit peste pământ și, iată, acesta era corupt, pentru că toată făptura și-a corupt calea pe pământ.
GEN.6.13	Și Dumnezeu i-a spus lui Noe: Sfârșitul a toată făptura a ajuns înaintea mea, fiindcă pământul este umplut cu violență prin ei; și, iată, îi voi nimici împreună cu pământul.
GEN.6.14	Fă-ți o arcă din lemn de gofer, să faci camere în arcă și să o smolești pe dinăuntru și pe dinafară cu smoală.
GEN.6.15	Și acesta 
GEN.6.16	Să faci arcei o fereastră, deasupra, să o termini la un cot de la acoperiș, și ușa arcei să o așezi în latura arcei; să faci arca 
GEN.6.17	Și iată, eu, 
GEN.6.18	Dar cu tine îmi voi întemeia legământul meu; și să intri în arcă, tu și fiii tăi și soția ta și soțiile fiilor tăi cu tine.
GEN.6.19	Și din fiecare viețuitoare de orice făptură, două din fiecare 
GEN.6.20	Din păsări, după felul lor, și din vite, după felul lor, și din fiecare târâtoare a pământului, după felul ei, două din fiecare 
GEN.6.21	Și ia la tine din toată mâncarea care se mănâncă și strânge-
GEN.6.22	Astfel a făcut Noe, conform cu tot ceea ce Dumnezeu i-a poruncit, astfel a făcut el.
GEN.7.1	Și DOMNUL i-a spus lui Noe: Intră tu și toată casa ta în arcă, fiindcă te-am văzut drept înaintea mea în această generație.
GEN.7.2	Din fiecare fiară curată să iei la tine câte șapte 
GEN.7.3	Din păsările cerului de asemenea câte șapte perechi, partea bărbătească și partea femeiască, pentru a ține sămânță în viață peste fața întregului pământ.
GEN.7.4	Căci încă șapte zile și voi face să plouă peste pământ patruzeci de zile și patruzeci de nopți și orice lucru viu pe care l-am făcut, îl voi distruge de pe fața pământului.
GEN.7.5	Și Noe a făcut conform cu tot ceea ce DOMNUL i-a poruncit.
GEN.7.6	Și Noe 
GEN.7.7	Și Noe a intrat și fiii lui și soția lui și soțiile fiilor lui cu el în arcă, din cauza apelor potopului.
GEN.7.8	Din fiare curate și din fiare care nu 
GEN.7.9	Au intrat două câte două la Noe în arcă, partea bărbătească și partea femeiască, așa cum Dumnezeu a poruncit lui Noe.
GEN.7.10	Și s-a întâmplat, după șapte zile, că apele potopului au venit peste pământ.
GEN.7.11	În anul șase sute al vieții lui Noe, în luna a doua, în a șaptesprezecea zi a lunii, în acea zi au fost toate fântânile marelui adânc despicate și ferestrele cerului s-au deschis.
GEN.7.12	Și ploaia a fost peste pământ patruzeci de zile și patruzeci de nopți.
GEN.7.13	În chiar aceeași zi a intrat Noe și Sem și Ham și Iafet, fiii lui Noe și soția lui Noe și cele trei soții ale fiilor săi cu ei în arcă;
GEN.7.14	Ei și fiecare fiară după felul ei și toate vitele după felul lor și fiecare târâtoare ce se târăște pe pământ după felul ei și fiecare pasăre după felul ei, fiecare păsărică din fiecare specie.
GEN.7.15	Și au intrat la Noe în arcă două câte două din orice făptură în care 
GEN.7.16	Și cele ce au intrat, au intrat partea bărbătească și partea femeiască din orice făptură, așa cum Dumnezeu i-a poruncit lui; și DOMNUL l-a închis înăuntru.
GEN.7.17	Și potopul a fost patruzeci de zile peste pământ și apele au crescut și au purtat sus arca și aceasta a fost înălțată deasupra pământului.
GEN.7.18	Și apele se înălțau și s-au înmulțit foarte mult asupra pământului, și arca mergea pe fața apelor.
GEN.7.19	Și apele s-au înălțat peste măsură asupra pământului și toți munții înalți, care 
GEN.7.20	Apele s-au înălțat cu cincisprezece coți deasupra 
GEN.7.21	Și a murit orice făptură care mișca pe pământ, deopotrivă pasăre și vită și fiară și fiecare târâtoare care se târăște pe pământ și fiecare om;
GEN.7.22	Toate în a căror nări 
GEN.7.23	Și orice lucru viu care a fost pe fața pământului a fost nimicit, deopotrivă om și vită și târâtoarele și pasărea cerului; și acestea au fost nimicite de pe pământ; și numai Noe a rămas 
GEN.7.24	Și apele s-au înălțat asupra pământului o sută cincizeci de zile.
GEN.8.1	Și Dumnezeu și-a adus aminte de Noe și de fiecare viețuitoare și de toate vitele care 
GEN.8.2	De asemenea fântânile adâncului și ferestrele cerului au fost închise și ploaia din cer a fost oprită;
GEN.8.3	Și apele se retrăgeau de pe pământ continuu și după ce s-au sfârșit o sută cincizeci de zile, apele s-au împuținat.
GEN.8.4	Și arca s-a așezat în a șaptea lună, în a șaptesprezecea zi a lunii, pe munții Ararat.
GEN.8.5	Și apele au scăzut continuu până în luna a zecea: în 
GEN.8.6	Și s-a întâmplat, după ce s-au sfârșit patruzeci de zile, că Noe a deschis fereastra arcei pe care o făcuse,
GEN.8.7	Și a trimis înainte un corb, care a ieșit 
GEN.8.8	De asemenea a trimis de la el un porumbel, să vadă dacă apele s-au retras de pe fața pământului;
GEN.8.9	Dar porumbelul nu a găsit odihnă pentru talpa piciorului său și s-a întors la el în arcă, pentru că apele 
GEN.8.10	Și a mai stat alte șapte zile și din nou a trimis porumbelul afară din arcă;
GEN.8.11	Și porumbelul a venit la el seara și, iată, în ciocul lui 
GEN.8.12	Și a mai stat alte șapte zile și a trimis porumbelul, care nu s-a mai întors la el.
GEN.8.13	Și s-a întâmplat în anul șase sute și unu, în prima 
GEN.8.14	Și în a doua lună, în a douăzeci și șaptea zi a lunii, pământul a fost uscat.
GEN.8.15	Și Dumnezeu i-a vorbit lui Noe, spunând:
GEN.8.16	Ieși din arcă, tu și soția ta și fiii tăi și soțiile fiilor tăi cu tine.
GEN.8.17	Scoate împreună cu tine fiecare viețuitoare care 
GEN.8.18	Și Noe a ieșit și fiii lui și soția lui și soțiile fiilor lui cu el;
GEN.8.19	Fiecare fiară, fiecare târâtoare și fiecare pasăre 
GEN.8.20	Și Noe a zidit un altar DOMNULUI și a luat din fiecare fiară curată și din fiecare pasăre curată și a adus ofrande arse pe altar.
GEN.8.21	Și DOMNUL a mirosit o aromă dulce și DOMNUL a spus în inima sa: Nu voi mai blestema din nou pământul vreodată din cauza omului, pentru că imaginația inimii omului 
GEN.8.22	Cât timp pământul rămâne, semănatul și seceratul și frig și arșiță și vară și iarnă și zi și noapte nu vor înceta.
GEN.9.1	Și Dumnezeu a binecuvântat pe Noe și pe fiii lui și le-a spus: Fiți roditori și înmulțiți-vă și umpleți pământul.
GEN.9.2	Și teama de voi și groaza de voi va fi peste fiecare fiară a pământului și peste fiecare pasăre a cerului, peste tot ce mișcă 
GEN.9.3	Tot ce mișcă 
GEN.9.4	Dar carnea cu viața din ea, 
GEN.9.5	Și cu adevărat sângele vostru, al vieților voastre, îl voi cere, din mâna fiecărei fiare îl voi cere și din mâna omului, din mâna fiecărui frate al omului voi cere viața omului.
GEN.9.6	Oricine varsă sângele omului, prin om să fie vărsat sângele lui, pentru că după chipul lui Dumnezeu l-a făcut pe om.
GEN.9.7	Și voi fiți roditori și înmulțiți-vă, nașteți abundent pe pământ și înmulțiți-vă pe acesta.
GEN.9.8	Și Dumnezeu i-a vorbit lui Noe și fiilor lui cu el, spunând:
GEN.9.9	Și eu, iată, întemeiez legământul meu cu voi și cu sămânța voastră după voi;
GEN.9.10	Și cu fiecare creatură vie care 
GEN.9.11	Și voi întemeia legământul meu cu voi 
GEN.9.12	Și Dumnezeu a spus: Acesta 
GEN.9.13	Eu așez curcubeul meu în nor și acesta va fi ca semn al unui legământ între mine și pământ.
GEN.9.14	Și se va întâmpla, când aduc un nor peste pământ, că se va vedea curcubeul în nor:
GEN.9.15	Și îmi voi aminti de legământul meu, care 
GEN.9.16	Și curcubeul va fi în nor și îl voi privi, ca să îmi amintesc de legământul veșnic dintre Dumnezeu și fiecare creatură vie, a toată făptura, care 
GEN.9.17	Și Dumnezeu i-a spus lui Noe: Acesta 
GEN.9.18	Și fiii lui Noe, care au ieșit din arcă, au fost Sem și Ham și Iafet; și Ham 
GEN.9.19	Aceștia 
GEN.9.20	Și Noe a început 
GEN.9.21	Și a băut din vin și s-a îmbătat și s-a dezgolit înăuntrul cortului său.
GEN.9.22	Și Ham, tatăl lui Canaan, a văzut goliciunea tatălui său și a spus celor doi frați ai săi de afară.
GEN.9.23	Și Sem și Iafet au luat o haină și au pus-
GEN.9.24	Și Noe s-a trezit din beția vinului său și a cunoscut ceea ce fiul său mai tânăr i-a făcut.
GEN.9.25	Și a spus: Blestemat 
GEN.9.26	Și a spus: Binecuvântat 
GEN.9.27	Dumnezeu va lărgi pe Iafet și va locui în corturile lui Sem și Canaan va fi servitorul lui.
GEN.9.28	Și Noe a trăit după potop trei sute cincizeci de ani.
GEN.9.29	Și toate zilele lui Noe au fost nouă sute cincizeci de ani; și a murit.
GEN.10.1	Acum acestea 
GEN.10.2	Fiii lui Iafet: Gomer și Magog și Madai și Iavan și Tubal și Meșec și Tiras.
GEN.10.3	Și fiii lui Gomer: Așchenaz și Rifat și Togarma.
GEN.10.4	Și fiii lui Iavan: Elișa și Tarsis, Chitim și Dodanim.
GEN.10.5	Prin aceștia au fost împărțite insulele neamurilor în pământurile lor, fiecare după limba lui, după familiile lor, în națiunile lor.
GEN.10.6	Și fiii lui Ham: Cuș și Mițraim și Put și Canaan.
GEN.10.7	Și fiii lui Cuș: Seba și Havila și Sabta și Raema și Sabteca; și fiii lui Raema: Șeba și Dedan.
GEN.10.8	Și Cuș a născut pe Nimrod, el a început să fie unul puternic pe pământ.
GEN.10.9	El era un vânător puternic înaintea DOMNULUI, de aceea s-a spus: Precum Nimrod, puternicul vânător înaintea DOMNULUI.
GEN.10.10	Și începutul împărăției sale a fost Babel și Erec și Acad și Calne, în țara Șinar.
GEN.10.11	Din acea țară a ieșit Așur și a zidit Ninive și cetatea Rehobot și Calah,
GEN.10.12	Și Resen, între Ninive și Calah; aceasta 
GEN.10.13	Și Mițraim a născut pe ludimi și pe anamimi și pe lehabimi și pe naftuhimi,
GEN.10.14	Și pe patrusimi și pe casluhimi, (din care au venit filisteni) și pe caftorimi.
GEN.10.15	Și Canaan a născut pe Sidon, întâiul său născut, și pe Het,
GEN.10.16	Și pe iebusiți și pe amoriți și pe ghirgasiți,
GEN.10.17	Și pe hiviți și pe archiți și pe siniți,
GEN.10.18	Și pe arvadiți și pe țemariți și pe hamatiți și după aceea familiile canaaniților au fost împrăștiate peste tot.
GEN.10.19	Și granița canaaniților era de la Sidon, precum vii la Gherar, spre Gaza, cum mergi spre Sodoma și Gomora și Adma și Zeboim, până la Leșa.
GEN.10.20	Aceștia 
GEN.10.21	Lui Sem, de asemenea, tatăl tuturor copiilor lui Eber, fratele lui Iafet, care este mai vârstnic, și lui i s-au născut 
GEN.10.22	Copiii lui Sem: Elam și Așur și Arpacșad și Lud și Aram.
GEN.10.23	Și copiii lui Aram: Uț și Hul și Gheter și Maș.
GEN.10.24	Și Arpacșad a născut pe Șelah și Șelah a născut pe Eber.
GEN.10.25	Și lui Eber i s-au născut doi fii: numele unuia 
GEN.10.26	Și Ioctan a născut pe Almodad și pe Șelef și pe Hațarmavet și pe Ierah,
GEN.10.27	Și pe Hadoram și pe Uzal și pe Dicla,
GEN.10.28	Și pe Obal și pe Abimael și pe Șeba,
GEN.10.29	Și pe Ofir și pe Havila și pe Iobab, toți aceștia 
GEN.10.30	Și locuința lor era de la Meșa, așa cum mergi spre Sefar, un munte spre est.
GEN.10.31	Aceștia 
GEN.10.32	Acestea 
GEN.11.1	Și întreg pământul era cu o singură limbă și cu o singură vorbire.
GEN.11.2	Și s-a întâmplat, cum au călătorit de la est, că au găsit o câmpie în țara Șinar și au locuit acolo.
GEN.11.3	Și au spus unul altuia: Haidem să facem cărămizi și să le ardem bine. Și au avut cărămidă ca piatră și smoală au avut ca mortar.
GEN.11.4	Și au spus: Haidem să ne zidim o cetate și un turn, al cărui vârf 
GEN.11.5	Și DOMNUL a coborât să vadă cetatea și turnul, pe care copiii oamenilor le-au zidit.
GEN.11.6	Și DOMNUL a spus: Iată, poporul 
GEN.11.7	Haidem să coborâm, și acolo să le încurcăm limba, ca ei să nu mai înțeleagă vorbirea unuia către celălalt.
GEN.11.8	Astfel DOMNUL i-a împrăștiat pretutindeni de acolo, peste fața întregului pământ; și au încetat a zidi cetatea.
GEN.11.9	De aceea i s-a pus numele Babel, pentru că acolo DOMNUL a încurcat limba întregului pământ; și de acolo DOMNUL i-a împrăștiat peste fața întregului pământ.
GEN.11.10	Acestea 
GEN.11.11	Și Sem a trăit, după ce a născut pe Arpacșad, cinci sute de ani; și a născut fii și fiice.
