GEN.1.1	La început
GEN.2.10	Un râu ieșea din Eden și uda grădina, și de acolo se împărţea și se făcea patru braţe. 
GEN.2.11	Numele celui dintâi este Pison; el înconjoară toată ţara Havila
GEN.2.12	Aurul din ţara aceasta este bun; acolo se găsește și bedelion
GEN.2.13	Numele râului al doilea este Ghihon; el înconjoară toată ţara Cuș. 
GEN.2.14	Numele celui de al treilea este
GEN.2.15	Domnul Dumnezeu a luat pe om și l-a așezat
GEN.2.16	Domnul Dumnezeu a dat omului porunca aceasta: „Poţi să mănânci după plăcere din orice pom din grădină, 
GEN.2.17	dar din pomul
GEN.2.18	Domnul Dumnezeu a zis: „Nu este bine ca omul să fie singur; am să-i fac
GEN.2.19	Domnul Dumnezeu
GEN.2.20	Și omul a pus nume tuturor vitelor, păsărilor cerului și tuturor fiarelor câmpului, dar, pentru om, nu s-a găsit niciun ajutor care să i se potrivească. 
GEN.2.21	Atunci, Domnul Dumnezeu a trimis un somn
GEN.2.22	Din coasta pe care o luase din om, Domnul Dumnezeu a făcut o femeie și a adus-o la
GEN.2.23	Și omul a zis: „Iată în sfârșit aceea care este os
GEN.2.24	De aceea
GEN.2.25	Omul și nevasta lui erau amândoi
GEN.3.1	Șarpele
GEN.3.1	El a zis femeii: „Oare a zis Dumnezeu cu adevărat: ‘Să nu mâncaţi din toţi pomii din grădină’?” 
GEN.3.2	Femeia a răspuns șarpelui: „Putem să mâncăm din rodul tuturor pomilor din grădină. 
GEN.3.3	Dar
GEN.3.4	Atunci, șarpele
GEN.3.5	dar Dumnezeu știe că, în ziua când veţi mânca din el, vi
GEN.3.6	Femeia a văzut că pomul era bun de mâncat și plăcut de privit și că pomul era de dorit ca să deschidă cuiva mintea. A luat deci din rodul lui și a mâncat
GEN.3.7	Atunci li s-au deschis
GEN.3.8	Atunci au auzit glasul
GEN.3.9	Dar Domnul Dumnezeu a chemat pe om și i-a zis: „Unde ești?” 
GEN.3.10	El a răspuns: „Ţi-am auzit glasul în grădină și mi-a fost frică
GEN.3.11	Și Domnul Dumnezeu a zis: „Cine ţi-a spus că ești gol? Nu cumva ai mâncat din pomul din care îţi poruncisem să nu mănânci?” 
GEN.3.12	Omul a răspuns: „Femeia
GEN.3.13	Și Domnul Dumnezeu a zis femeii: „Ce ai făcut?” Femeia a răspuns: „Șarpele
GEN.3.14	Domnul Dumnezeu a zis șarpelui: „Fiindcă ai făcut lucrul acesta, blestemat ești între toate vitele și între toate fiarele de pe câmp; în toate zilele vieţii tale, să te târăști pe pântece și să mănânci ţărână
GEN.3.15	Vrăjmășie
GEN.3.16	Femeii i-a zis: „Voi mări foarte mult suferinţa și însărcinarea ta; cu
GEN.3.17	Omului i-a zis: „Fiindcă
GEN.3.18	spini
GEN.3.19	În sudoarea
GEN.3.20	Adam a pus nevestei sale numele Eva
GEN.3.21	Domnul Dumnezeu a făcut lui Adam și nevestei lui haine de piele și i-a îmbrăcat cu ele. 
GEN.3.22	Domnul Dumnezeu a zis: „Iată
GEN.3.23	De aceea, Domnul Dumnezeu l-a izgonit din grădina Edenului ca
GEN.3.24	Astfel a izgonit El pe Adam; și la răsăritul
GEN.4.1	Adam s-a împreunat cu nevastă-sa Eva; ea a rămas însărcinată și a născut pe Cain. Și a zis: „Am căpătat un om cu ajutorul Domnului!” 
GEN.4.2	A mai născut și pe fratele său Abel. Abel era cioban, iar Cain era plugar
GEN.4.3	După o bucată de vreme, Cain a adus Domnului o jertfă de mâncare
GEN.4.4	Abel a adus și el o jertfă de mâncare din oile întâi
GEN.4.5	dar spre Cain și spre jertfa lui n-a privit cu plăcere. Cain s-a mâniat foarte tare și
GEN.4.6	Și Domnul a zis lui Cain: „Pentru ce te-ai mâniat și pentru ce ţi s-a posomorât faţa? 
GEN.4.7	Nu-i așa? Dacă faci bine, vei fi bine primit, dar, dacă faci rău, păcatul pândește
GEN.4.8	Însă Cain a zis fratelui său Abel: „Haidem să ieșim la câmp.” Dar, pe când erau la câmp, Cain s-a ridicat împotriva fratelui său Abel și l-a omorât
GEN.4.9	Domnul a zis lui Cain: „Unde
GEN.4.10	Și Dumnezeu a zis: „Ce ai făcut? Glasul
GEN.4.11	Acum, blestemat ești tu, izgonit din ogorul acesta, care și-a deschis gura ca să primească din mâna ta sângele fratelui tău! 
GEN.4.12	Când vei lucra pământul, să nu-ţi mai dea bogăţia lui. Pribeag și fugar să fii pe pământ.” 
GEN.4.13	Cain a zis Domnului: „Pedeapsa mea e prea mare ca s-o pot suferi. 
GEN.4.14	Iată că Tu
GEN.4.15	Domnul i-a zis: „Nicidecum, ci, dacă va omorî cineva pe Cain, Cain să fie răzbunat de șapte
GEN.4.16	Apoi, Cain a ieșit
GEN.4.17	Cain s-a împreunat cu nevastă-sa; ea a rămas însărcinată și a născut pe Enoh. El a început apoi să zidească o cetate și a pus
GEN.4.18	Enoh a fost tatăl lui Irad; Irad a fost tatăl lui Mehuiael; Mehuiael a fost tatăl lui Metușael și Metușael a fost tatăl lui Lameh. 
GEN.4.19	Lameh și-a luat două neveste: numele uneia era Ada și numele celeilalte era Ţila. 
GEN.4.20	Ada a născut pe Iabal: el a fost tatăl celor ce locuiesc în corturi și păzesc vitele. 
GEN.4.21	Numele fratelui său era Iubal: el a fost tatăl
GEN.4.22	Ţila, de partea ei, a născut și ea pe Tubal-Cain, făuritorul tuturor uneltelor de aramă și de fier. Sora lui Tubal-Cain era Naama.
GEN.4.23	Lameh a zis nevestelor sale:
GEN.4.23	„Ada și Ţila, ascultaţi glasul meu!
GEN.4.23	Nevestele lui Lameh, ascultaţi cuvântul meu!
GEN.4.23	Am omorât un om pentru rana mea
GEN.4.23	Și un tânăr pentru vânătăile mele.
GEN.4.24	Cain
GEN.4.24	Iar Lameh, de șaptezeci de ori câte șapte.”
GEN.4.25	Adam s-a împreunat iarăși cu nevastă-sa; ea a născut un fiu și i-a
GEN.4.26	Lui Set i s-a născut
GEN.5.1	Iată cartea
GEN.5.2	I-a făcut parte bărbătească
GEN.5.3	La vârsta de o sută treizeci de ani, Adam a născut un fiu după chipul și asemănarea lui și i-a pus
GEN.5.4	După nașterea lui Set, Adam
GEN.5.5	Toate zilele pe care le-a trăit Adam au fost de nouă sute treizeci de ani, apoi
GEN.5.6	La vârsta de o sută cinci ani, Set a născut
GEN.5.7	După nașterea lui Enos, Set a mai trăit opt sute șapte ani și a născut fii și fiice. 
GEN.5.8	Toate zilele lui Set au fost de nouă sute doisprezece ani, apoi a murit. 
GEN.5.9	La vârsta de nouăzeci de ani, Enos a născut pe Cainan. 
GEN.5.10	După nașterea lui Cainan, Enos a mai trăit opt sute cincisprezece ani și a născut fii și fiice. 
GEN.5.11	Toate zilele lui Enos au fost de nouă sute cinci ani, apoi a murit. 
GEN.5.12	La vârsta de șaptezeci de ani, Cainan a născut pe Mahalaleel. 
GEN.5.13	După nașterea lui Mahalaleel, Cainan a mai trăit opt sute patruzeci de ani și a născut fii și fiice. 
GEN.5.14	Toate zilele lui Cainan au fost de nouă sute zece ani, apoi a murit. 
GEN.5.15	La vârsta de șaizeci și cinci de ani, Mahalaleel a născut pe Iared. 
GEN.5.16	După nașterea lui Iared, Mahalaleel a mai trăit opt sute treizeci de ani și a născut fii și fiice. 
GEN.5.17	Toate zilele lui Mahalaleel au fost de opt sute nouăzeci și cinci de ani, apoi a murit. 
GEN.5.18	La vârsta de o sută șaizeci și doi de ani, Iared a născut pe Enoh
GEN.5.19	După nașterea lui Enoh, Iared a mai trăit opt sute de ani și a născut fii și fiice. 
GEN.5.20	Toate zilele lui Iared au fost de nouă sute șaizeci și doi de ani, apoi a murit. 
GEN.5.21	La vârsta de șaizeci și cinci de ani, Enoh a născut pe Metusala. 
GEN.5.22	După nașterea lui Metusala, Enoh a umblat
GEN.5.23	Toate zilele lui Enoh au fost trei sute șaizeci și cinci de ani. 
GEN.5.24	Enoh
GEN.5.25	La vârsta de o sută optzeci și șapte de ani, Metusala a născut pe Lameh. 
GEN.5.26	După nașterea lui Lameh, Metusala a mai trăit șapte sute optzeci și doi de ani și a născut fii și fiice. 
GEN.5.27	Toate zilele lui Metusala au fost de nouă sute șaizeci și nouă de ani, apoi a murit. 
GEN.5.28	La vârsta de o sută optzeci și doi de ani, Lameh a născut un fiu. 
GEN.5.29	El i-a pus numele Noe
GEN.5.30	După nașterea lui Noe, Lameh a mai trăit cinci sute nouăzeci și cinci de ani și a născut fii și fiice. 
GEN.5.31	Toate zilele lui Lameh au fost de șapte sute șaptezeci și șapte de ani, apoi a murit. 
GEN.5.32	Noe, la vârsta de cinci sute de ani, a născut pe Sem
GEN.6.1	Când au început oamenii să se înmulţească
GEN.6.2	fiii lui Dumnezeu au văzut că fetele oamenilor erau frumoase și din toate și-au luat de neveste
GEN.6.3	Atunci, Domnul a zis: „Duhul
GEN.6.4	Uriașii erau pe pământ în vremurile acelea și chiar și după ce s-au împreunat fiii lui Dumnezeu cu fetele oamenilor și le-au născut ele copii; aceștia erau vitejii care au fost în vechime, oameni cu nume. 
GEN.6.5	Domnul a văzut că răutatea omului era mare pe pământ și că toate întocmirile gândurilor
GEN.6.6	I-a părut rău
GEN.6.7	Și Domnul a zis: „Am să șterg de pe faţa pământului pe omul pe care l-am făcut, de la om până la vite, până la târâtoare și până la păsările cerului, căci Îmi pare rău că i-am făcut.”
GEN.6.8	Dar Noe a căpătat
GEN.6.9	Iată care sunt urmașii lui Noe.
GEN.6.9	Noe
GEN.6.10	Noe a născut trei fii: Sem
GEN.6.11	Pământul era stricat
GEN.6.12	Dumnezeu S-a uitat
GEN.6.13	Atunci, Dumnezeu a zis lui Noe: „Sfârșitul
GEN.6.14	Fă-ţi o corabie din lemn de gofer (chiparos); corabia aceasta s-o împarţi în cămăruţe și s-o tencuiești cu smoală pe dinăuntru și pe dinafară. 
GEN.6.15	Iată cum s-o faci: corabia să aibă trei sute de coţi în lungime, cincizeci de coţi în lăţime și treizeci de coţi în înălţime. 
GEN.6.16	Să faci corabiei o fereastră
GEN.6.17	Și iată că Eu
GEN.6.18	Dar cu tine fac un legământ: să
GEN.6.19	Din tot ce trăiește, din orice făptură, să iei în corabie câte două
GEN.6.20	Din păsări după soiul lor, din vite după soiul lor și din toate târâtoarele de pe pământ după soiul lor, să vină
GEN.6.21	Și tu ia-ţi din toate bucatele care se mănâncă și fă-ţi merinde din ele, ca să-ţi slujească de hrană ţie și lor.” 
GEN.6.22	Așa a și făcut Noe
GEN.7.1	Domnul a zis lui Noe: „Intră
GEN.7.2	Ia cu tine câte șapte perechi din toate dobitoacele curate
GEN.7.3	și câte șapte perechi, de asemenea, din păsările cerului, câte o parte bărbătească și câte o parte femeiască, pentru ca să le ţii vie sămânţa pe toată faţa pământului. 
GEN.7.4	Căci, după șapte zile, voi face să plouă pe pământ patruzeci
GEN.7.5	Noe
GEN.7.6	Noe era de șase sute de ani când a venit potopul pe pământ. 
GEN.7.7	Și Noe
GEN.7.8	Din dobitoacele curate și din dobitoacele necurate, din păsări și din tot ce se târăște pe pământ, 
GEN.7.9	au intrat în corabie la Noe, două câte două, câte o parte bărbătească și câte o parte femeiască, așa cum poruncise Dumnezeu lui Noe.
GEN.7.10	După cele șapte zile, au venit apele potopului pe pământ. 
GEN.7.11	În anul al șase sutelea al vieţii lui Noe, în luna a doua, în ziua a șaptesprezecea a lunii, în ziua aceea, s-au rupt toate izvoarele
GEN.7.12	Ploaia a
GEN.7.13	În aceeași zi au intrat
GEN.7.14	ei
GEN.7.15	Au intrat
GEN.7.16	Cele care au intrat erau câte o parte bărbătească și câte o parte femeiască, din orice făptură, după cum
GEN.7.17	Potopul
GEN.7.18	Apele au ajuns mari și au crescut foarte mult pe pământ, și corabia plutea
GEN.7.19	Apele au ajuns din ce în ce mai mari și toţi munţii înalţi, care sunt sub cerul întreg, au fost
GEN.7.20	Cu cincisprezece coţi s-au înălţat apele deasupra munţilor, care au fost acoperiţi. 
GEN.7.21	Și a pierit
GEN.7.22	Tot ce răsufla
GEN.7.23	Toate făpturile care erau pe faţa pământului au fost nimicite, de la om până la vite, până la târâtoare și până la păsările cerului; au fost nimicite de pe pământ. N-a rămas decât Noe
GEN.7.24	Apele
GEN.8.1	Dumnezeu Și-a adus aminte
GEN.8.2	Izvoarele adâncului și stăvilarele cerurilor au fost închise
GEN.8.3	Apele au scăzut de pe faţa pământului, scurgându-se și împuţinându-se și, după o sută cincizeci
GEN.8.4	În luna a șaptea, în ziua a șaptesprezecea a lunii, corabia s-a oprit pe munţii Ararat. 
GEN.8.5	Apele au mers scăzând până în luna a zecea. În luna a zecea, în ziua întâi a lunii, s-au văzut vârfurile munţilor. 
GEN.8.6	După patruzeci de zile, Noe a deschis fereastra
GEN.8.7	A dat drumul unui corb care a ieșit, ducându-se și întorcându-se până când au secat apele de pe pământ. 
GEN.8.8	A dat drumul și unui porumbel, ca să vadă dacă scăzuseră apele de pe faţa pământului. 
GEN.8.9	Dar porumbelul n-a găsit niciun loc ca să-și pună piciorul și s-a întors la el în corabie, căci erau ape pe toată faţa pământului. Noe a întins mâna, l-a luat și l-a băgat la el în corabie. 
GEN.8.10	A mai așteptat alte șapte zile și iarăși a dat drumul porumbelului din corabie. 
GEN.8.11	Porumbelul s-a întors la el spre seară și iată că în ciocul lui era o frunză de măslin ruptă de curând. Noe a cunoscut astfel că apele scăzuseră pe pământ. 
GEN.8.12	A mai așteptat alte șapte zile și a dat drumul porumbelului. Dar porumbelul nu s-a mai întors la el. 
GEN.8.13	În anul șase sute unu, în luna întâi, în ziua întâi a lunii, apele secaseră pe pământ. Noe a ridicat învelitoarea corabiei: s-a uitat și iată că faţa pământului se uscase. 
GEN.8.14	În luna a doua, în a douăzeci și șaptea zi a lunii, pământul era uscat de tot.
GEN.8.15	Atunci, Dumnezeu a vorbit lui Noe și i-a zis: 
GEN.8.16	„Ieși din corabie, tu
GEN.8.17	Scoate afară împreună cu tine toate
GEN.8.18	Și Noe a ieșit afară cu fiii săi, cu nevastă-sa și cu nevestele fiilor săi. 
GEN.8.19	Toate dobitoacele, toate târâtoarele, toate păsările, tot ce se mișcă pe pământ, după soiurile lor, au ieșit din corabie. 
GEN.8.20	Noe a zidit un altar Domnului, a luat din toate dobitoacele
GEN.8.21	Domnul a mirosit un miros
GEN.8.22	Cât va fi pământul
GEN.9.1	Dumnezeu a binecuvântat pe Noe și pe fiii săi și le-a zis: „Creșteţi
GEN.9.2	S-apuce groaza
GEN.9.3	Tot ce se mișcă
GEN.9.4	Numai carne cu viaţa ei
GEN.9.5	Căci voi cere înapoi sângele vieţilor voastre; îl voi cere înapoi de la orice dobitoc
GEN.9.6	Dacă varsă
GEN.9.7	Iar voi creșteţi
GEN.9.8	Dumnezeu a mai vorbit lui Noe și fiilor lui, care erau cu el, și a zis: 
GEN.9.9	„Iată, Eu fac
GEN.9.10	cu toate
GEN.9.11	Fac
GEN.9.12	Și Dumnezeu a zis: „Iată semnul
GEN.9.13	curcubeul Meu, pe care l-am așezat
GEN.9.14	Când voi strânge nori deasupra pământului, curcubeul se va arăta în nor, 
GEN.9.15	și Eu Îmi voi aduce aminte
GEN.9.16	Curcubeul va fi în nor, și Eu Mă voi uita la el, ca să-Mi aduc aminte de legământul cel veșnic
GEN.9.17	Și Dumnezeu a zis lui Noe: „Acesta este semnul legământului pe care l-am făcut între Mine și orice făptură de pe pământ.”
GEN.9.18	Fiii lui Noe, care au ieșit din corabie, erau: Sem, Ham și Iafet: Ham
GEN.9.19	Aceștia
GEN.9.20	Noe a început să fie lucrător
GEN.9.21	A băut vin, s-a îmbătat
GEN.9.22	Ham, tatăl lui Canaan, a văzut goliciunea tatălui său și a spus celor doi fraţi ai lui afară. 
GEN.9.23	Atunci, Sem
GEN.9.24	Noe s-a trezit din ameţeala vinului și a aflat ce-i făcuse fiul său cel mai tânăr.
GEN.9.25	Și a zis:
GEN.9.25	„Blestemat
GEN.9.25	Să fie robul
GEN.9.26	El a mai zis:
GEN.9.26	„Binecuvântat
GEN.9.26	Și Canaan să fie robul lui
GEN.9.27	Dumnezeu să lărgească locurile stăpânite de Iafet.
GEN.9.27	Iafet să locuiască
GEN.9.27	Și Canaan să fie robul lor!”
GEN.9.28	Noe a trăit, după potop, trei sute cincizeci de ani. 
GEN.9.29	Toate zilele lui Noe au fost de nouă sute cincizeci de ani, apoi a murit.
GEN.10.1	Iată spiţa neamului fiilor lui Noe: Sem, Ham și Iafet. După potop li s-au
GEN.10.2	Fiii
GEN.10.3	Fiii lui Gomer: Așchenaz, Rifat și Togarma. 
GEN.10.4	Fiii lui Iavan: Elișa, Tarșiș, Chitim și Dodanim. 
GEN.10.5	De la ei se trag popoarele din ţările
GEN.10.6	Fiii
GEN.10.7	Fiii lui Cuș: Seba, Havila, Sabta, Raema și Sabteca. Fiii lui Raema: Șeba și Dedan. 
GEN.10.8	Cuș a născut și pe Nimrod: el este acela care a început să fie puternic pe pământ. 
GEN.10.9	El a fost un viteaz vânător
GEN.10.10	El a domnit la început
GEN.10.11	Din ţara aceasta a intrat în Asiria; a zidit Ninive, Rehobot-Ir, Calah 
GEN.10.12	și Resen între Ninive și Calah; aceasta este cetatea cea mare. 
GEN.10.13	Miţraim a născut pe ludimi, anamimi, lehabimi, naftuhimi, 
GEN.10.14	patrusimi, casluhimi (din care
GEN.10.15	Canaan a născut pe Sidon, întâiul lui născut, și pe Het; 
GEN.10.16	și pe iebusiţi, pe amoriţi, pe ghirgasiţi, 
GEN.10.17	pe heviţi, pe archiţi, pe siniţi, 
GEN.10.18	pe arvadiţi, pe ţemariţi, pe hamatiţi. În urmă, familiile canaaniţilor s-au împrăștiat. 
GEN.10.19	Hotarele
GEN.10.20	Aceștia sunt fiii lui Ham, după familiile lor, după limbile lor, după ţările lor, după neamurile lor.
GEN.10.21	Și lui Sem, tatăl tuturor fiilor lui Eber și fratele cel mai mare al lui Iafet, i s-au născut fii. 
GEN.10.22	Fiii lui Sem
GEN.10.23	Fii lui Aram: Uţ, Hul, Gheter și Maș. 
GEN.10.24	Arpacșad a născut pe Șelah
GEN.10.25	Lui Eber
GEN.10.26	Ioctan a născut pe Almodad, pe Șelef, pe Aţarmavet, pe Ierah, 
GEN.10.27	pe Adoram, pe Uzal, pe Dicla, 
GEN.10.28	pe Obal, pe Abimael, pe Seba, 
GEN.10.29	pe Ofir, pe Havila și pe Iobab. Toţi aceștia au fost fiii lui Ioctan. 
GEN.10.30	Ei au locuit de la Meșa, cum mergi spre Sefar, până la muntele răsăritului. 
GEN.10.31	Aceștia sunt fiii lui Sem, după familiile lor, după limbile lor, după ţările lor, după neamurile lor. 
GEN.10.32	Acestea
GEN.11.1	Tot pământul avea o singură limbă și aceleași cuvinte. 
GEN.11.2	Pornind ei înspre răsărit, au dat peste o câmpie în ţara Șinear și au descălecat acolo. 
GEN.11.3	Și au zis unul către altul: „Haidem să facem cărămizi și să le ardem bine în foc!” Și cărămida le-a ţinut loc de piatră, iar smoala le-a ţinut loc de var. 
GEN.11.4	Și au mai zis: „Haidem să ne zidim o cetate și un turn al cărui vârf
GEN.11.5	Domnul
GEN.11.6	Și Domnul a zis: „Iată, ei sunt un singur
GEN.11.7	Haidem să Ne
GEN.11.8	Și Domnul
GEN.11.9	De aceea, cetatea a fost numită Babel
GEN.11.10	Iată
GEN.11.11	După nașterea lui Arpacșad, Sem a trăit cinci sute de ani și a născut fii și fiice. 
GEN.11.12	La vârsta de treizeci și cinci de ani, Arpacșad a născut pe Șelah
GEN.11.13	După nașterea lui Șelah, Arpacșad a mai trăit patru sute trei ani și a născut fii și fiice. 
GEN.11.14	La vârsta de treizeci de ani, Șelah a născut pe Eber. 
GEN.11.15	După nașterea lui Eber, Șelah a mai trăit patru sute trei ani și a născut fii și fiice. 
GEN.11.16	La vârsta de treizeci și patru de ani, Eber
GEN.11.17	După nașterea lui Peleg, Eber a mai trăit patru sute treizeci de ani și a născut fii și fiice. 
GEN.11.18	La vârsta de treizeci de ani, Peleg a născut pe Reu. 
GEN.11.19	După nașterea lui Reu, Peleg a mai trăit două sute nouă ani și a născut fii și fiice. 
GEN.11.20	La vârsta de treizeci și doi de ani, Reu a născut pe Serug
GEN.11.21	După nașterea lui Serug, Reu a mai trăit două sute șapte ani și a născut fii și fiice. 
GEN.11.22	La vârsta de treizeci de ani, Serug a născut pe Nahor. 
GEN.11.23	După nașterea lui Nahor, Serug a mai trăit două sute de ani și a născut fii și fiice. 
GEN.11.24	La vârsta de douăzeci și nouă de ani, Nahor a născut pe Terah
GEN.11.25	După nașterea lui Terah, Nahor a mai trăit o sută nouăsprezece ani și a născut fii și fiice. 
GEN.11.26	La vârsta de șaptezeci de ani, Terah a născut pe Avram
GEN.11.27	Iată spiţa neamului lui Terah.
GEN.11.27	Terah a născut pe Avram, pe Nahor și pe Haran. Haran a născut pe Lot. 
GEN.11.28	Și Haran a murit în faţa tatălui său Terah, în ţara în care se născuse, în Ur, în Haldeea
GEN.11.29	Avram și Nahor și-au luat neveste. Numele nevestei lui Avram era Sarai
GEN.11.30	Sarai era
GEN.11.31	Terah a luat
GEN.11.32	Zilele lui Terah au fost de două sute cinci ani, și Terah a murit în Haran.
GEN.12.1	Domnul
GEN.12.2	Voi face
GEN.12.3	Voi binecuvânta
GEN.12.4	Avram a plecat, cum îi spusese Domnul, și a plecat și Lot împreună cu el. Avram avea șaptezeci și cinci de ani când a ieșit din Haran. 
GEN.12.5	Avram a luat pe Sarai, nevastă-sa, și pe Lot, fiul fratelui său, împreună cu toate averile pe care le strânseseră și cu toate slugile
GEN.12.6	Avram a străbătut
GEN.12.7	Domnul
GEN.12.8	De acolo a pornit spre munte, la răsărit de Betel, și și-a întins cortul având Betelul la apus și Ai la răsărit. A zidit și acolo un altar Domnului și a chemat
GEN.12.9	Avram și-a urmat
GEN.12.10	A venit însă o foamete
GEN.12.11	Când era aproape să intre în Egipt, a zis nevestei sale Sarai: „Iată, știu că ești o femeie frumoasă
GEN.12.12	Când te vor vedea egiptenii, vor zice: ‘Aceasta este nevasta lui!’ Și pe mine mă vor omorî
GEN.12.13	Spune
GEN.12.14	Când a ajuns Avram în Egipt, egiptenii au văzut
GEN.12.15	Slujbașii cei mai de frunte ai lui Faraon au văzut-o și ei și au lăudat-o la Faraon, și femeia a fost adusă
GEN.12.16	Pe Avram l-a primit bine
GEN.12.17	Dar Domnul a lovit
GEN.12.18	Atunci, Faraon a chemat pe Avram și i-a zis: „Ce mi-ai făcut? Pentru ce
GEN.12.19	De ce ai zis: ‘Este sora mea’, și am luat-o astfel de nevastă? Acum, iată-ţi nevasta; ia-o și pleacă!” 
GEN.12.20	Și Faraon
GEN.13.1	Avram s-a suit din Egipt în ţara de la miazăzi
GEN.13.2	Avram
GEN.13.3	Din ţara de la miazăzi
GEN.13.4	în locul
GEN.13.5	Lot, care călătorea împreună cu Avram, avea și el oi, boi și corturi. 
GEN.13.6	Și ţinutul
GEN.13.7	S-a iscat
GEN.13.8	Avram a zis lui Lot: „Te rog, să
GEN.13.9	Nu-i
GEN.13.10	Lot și-a ridicat ochii și a văzut că toată Câmpia
GEN.13.11	Lot și-a ales toată Câmpia Iordanului și a mers spre răsărit. Astfel s-au despărţit ei unul de altul. 
GEN.13.12	Avram a locuit în ţara Canaan, iar Lot
GEN.13.13	Oamenii din Sodoma erau
GEN.13.14	Domnul a zis lui Avram după ce s-a despărţit
GEN.13.15	căci toată ţara pe care o vezi ţi-o dau ţie
GEN.13.16	Îţi voi face sămânţa
GEN.13.17	Scoală-te, străbate ţara în lung și în lat, căci ţie ţi-o voi da.” 
GEN.13.18	Avram și-a ridicat corturile și a venit de a locuit
GEN.14.1	Pe vremea lui Amrafel, împăratul Șinearului
GEN.14.2	s-a întâmplat că ei au făcut război cu Bera, împăratul Sodomei, cu Birșa, împăratul Gomorei, cu Șineab, împăratul Admei
GEN.14.3	Aceștia din urmă s-au adunat cu toţii în valea Sidim, adică
GEN.14.4	Timp de doisprezece ani fuseseră supuși
GEN.14.5	Dar, în anul al paisprezecelea, Chedorlaomer și împăraţii care erau cu el au pornit și au bătut pe refaimi
GEN.14.6	și pe horiţi
GEN.14.7	Apoi s-au întors, au venit la En-Mișpat, sau Cades, și au bătut pe amaleciţi pe tot ţinutul lor, ca și pe amoriţi, care locuiau la Haţaţon-Tamar
GEN.14.8	Atunci au ieșit împăratul Sodomei, împăratul Gomorei, împăratul Admei, împăratul Ţeboimului și împăratul Belei, sau Ţoarului, și s-au așezat în linie de bătaie împotriva lor, în valea Sidim, 
