GEN.1.1	Ла ынчепут
GEN.1.24	Думнезеу а зис: „Сэ дя пэмынтул вецуитоаре дупэ союл лор; вите, тырытоаре ши фяре пэмынтешть дупэ союл лор.” Ши аша а фост. 
GEN.1.25	Думнезеу а фэкут фяреле пэмынтулуй дупэ союл лор, вителе дупэ союл лор ши тоате тырытоареле пэмынтулуй дупэ союл лор. Думнезеу а вэзут кэ ерау буне. 
GEN.1.26	Апой Думнезеу а зис: „Сэ фачем
GEN.1.27	Думнезеу а фэкут пе ом дупэ кипул
GEN.1.28	Думнезеу й-а бинекувынтат ши Думнезеу ле-а зис: „Крештець
GEN.1.29	Ши Думнезеу а зис: „Ятэ кэ в-ам дат орьче ярбэ каре фаче сэмынцэ ши каре есте пе фаца ынтрегулуй пэмынт ши орьче пом каре аре ын ел род ку сэмынцэ: ачаста сэ фие храна
GEN.1.30	Яр тутурор
GEN.1.31	Думнезеу С-а уйтат
GEN.2.1	Астфел ау фост сфыршите черуриле ши пэмынтул ши тоатэ
GEN.2.2	Ын зиуа
GEN.2.3	Думнезеу а бинекувынтат
GEN.2.4	Ятэ
GEN.2.5	Ын зиуа кынд а фэкут Домнул Думнезеу ун пэмынт ши черурь, ну ера ынкэ пе пэмынт ничун копэчел
GEN.2.6	Чи ун абур се ридика де пе пэмынт ши уда тоатэ фаца пэмынтулуй. 
GEN.2.7	Домнул Думнезеу а фэкут пе ом дин цэрына
GEN.2.8	Апой, Домнул Думнезеу а сэдит о грэдинэ
GEN.2.9	Домнул Думнезеу а фэкут сэ рэсарэ дин пэмынт тот фелул
GEN.2.10	Ун рыу ешя дин Еден ши уда грэдина, ши де аколо се ымпэрця ши се фэчя патру браце. 
GEN.2.11	Нумеле челуй динтый есте Писон; ел ынконжоарэ тоатэ цара Хавила
GEN.2.12	Аурул дин цара ачаста есте бун; аколо се гэсеште ши беделион
GEN.2.13	Нумеле рыулуй ал дойля есте Гихон; ел ынконжоарэ тоатэ цара Куш. 
GEN.2.14	Нумеле челуй де ал трейля есте
GEN.2.15	Домнул Думнезеу а луат пе ом ши л-а ашезат
GEN.2.16	Домнул Думнезеу а дат омулуй порунка ачаста: „Поць сэ мэнынчь дупэ плэчере дин орьче пом дин грэдинэ, 
GEN.2.17	дар дин помул
GEN.2.18	Домнул Думнезеу а зис: „Ну есте бине ка омул сэ фие сингур; ам сэ-й фак
GEN.2.19	Домнул Думнезеу
GEN.2.20	Ши омул а пус нуме тутурор вителор, пэсэрилор черулуй ши тутурор фярелор кымпулуй, дар, пентру ом, ну с-а гэсит ничун ажутор каре сэ и се потривяскэ. 
GEN.2.21	Атунч, Домнул Думнезеу а тримис ун сомн
GEN.2.22	Дин коаста пе каре о луасе дин ом, Домнул Думнезеу а фэкут о фемее ши а адус-о ла
GEN.2.23	Ши омул а зис: „Ятэ ын сфыршит ачея каре есте ос
GEN.2.24	Де ачея
GEN.2.25	Омул ши неваста луй ерау амындой
GEN.3.1	Шарпеле
GEN.3.1	Ел а зис фемеий: „Оаре а зис Думнезеу ку адевэрат: ‘Сэ ну мынкаць дин тоць помий дин грэдинэ’?” 
GEN.3.2	Фемея а рэспунс шарпелуй: „Путем сэ мынкэм дин родул тутурор помилор дин грэдинэ. 
GEN.3.3	Дар
GEN.3.4	Атунч, шарпеле
GEN.3.5	дар Думнезеу штие кэ, ын зиуа кынд вець мынка дин ел, ви
GEN.3.6	Фемея а вэзут кэ помул ера бун де мынкат ши плэкут де привит ши кэ помул ера де дорит ка сэ дескидэ куйва минтя. А луат деч дин родул луй ши а мынкат
GEN.3.7	Атунч ли с-ау дескис
GEN.3.8	Атунч ау аузит гласул
GEN.3.9	Дар Домнул Думнезеу а кемат пе ом ши й-а зис: „Унде ешть?” 
GEN.3.10	Ел а рэспунс: „Ць-ам аузит гласул ын грэдинэ ши мь-а фост фрикэ
GEN.3.11	Ши Домнул Думнезеу а зис: „Чине ць-а спус кэ ешть гол? Ну кумва ай мынкат дин помул дин каре ыць порунчисем сэ ну мэнынчь?” 
GEN.3.12	Омул а рэспунс: „Фемея
GEN.3.13	Ши Домнул Думнезеу а зис фемеий: „Че ай фэкут?” Фемея а рэспунс: „Шарпеле
GEN.3.14	Домнул Думнезеу а зис шарпелуй: „Фииндкэ ай фэкут лукрул ачеста, блестемат ешть ынтре тоате вителе ши ынтре тоате фяреле де пе кымп; ын тоате зилеле веций тале, сэ те тырэшть пе пынтече ши сэ мэнынчь цэрынэ
GEN.3.15	Врэжмэшие
GEN.3.16	Фемеий й-а зис: „Вой мэри фоарте мулт суферинца ши ынсэрчинаря та; ку
GEN.3.17	Омулуй й-а зис: „Фииндкэ
GEN.3.18	спинь
GEN.3.19	Ын судоаря
GEN.3.20	Адам а пус невестей сале нумеле Ева
GEN.3.21	Домнул Думнезеу а фэкут луй Адам ши невестей луй хайне де пеле ши й-а ымбрэкат ку еле. 
GEN.3.22	Домнул Думнезеу а зис: „Ятэ
GEN.3.23	Де ачея, Домнул Думнезеу л-а изгонит дин грэдина Еденулуй ка
GEN.3.24	Астфел а изгонит Ел пе Адам; ши ла рэсэритул
GEN.4.1	Адам с-а ымпреунат ку невастэ-са Ева; еа а рэмас ынсэрчинатэ ши а нэскут пе Каин. Ши а зис: „Ам кэпэтат ун ом ку ажуторул Домнулуй!” 
GEN.4.2	А май нэскут ши пе фрателе сэу Абел. Абел ера чобан, яр Каин ера плугар
GEN.4.3	Дупэ о букатэ де време, Каин а адус Домнулуй о жертфэ де мынкаре
GEN.4.4	Абел а адус ши ел о жертфэ де мынкаре дин оиле ынтый
GEN.4.5	дар спре Каин ши спре жертфа луй н-а привит ку плэчере. Каин с-а мыният фоарте таре ши
GEN.4.6	Ши Домнул а зис луй Каин: „Пентру че те-ай мыният ши пентру че ци с-а посоморыт фаца? 
GEN.4.7	Ну-й аша? Дакэ фачь бине, вей фи бине примит, дар, дакэ фачь рэу, пэкатул пындеште
GEN.4.8	Ынсэ Каин а зис фрателуй сэу Абел: „Хайдем сэ ешим ла кымп.” Дар, пе кынд ерау ла кымп, Каин с-а ридикат ымпотрива фрателуй сэу Абел ши л-а оморыт
GEN.4.9	Домнул а зис луй Каин: „Унде
GEN.4.10	Ши Думнезеу а зис: „Че ай фэкут? Гласул
GEN.4.11	Акум, блестемат ешть ту, изгонит дин огорул ачеста, каре шь-а дескис гура ка сэ примяскэ дин мына та сынӂеле фрателуй тэу! 
GEN.4.12	Кынд вей лукра пэмынтул, сэ ну-ць май дя богэция луй. Прибяг ши фугар сэ фий пе пэмынт.” 
GEN.4.13	Каин а зис Домнулуй: „Педяпса мя е пря маре ка с-о пот суфери. 
GEN.4.14	Ятэ кэ Ту
GEN.4.15	Домнул й-а зис: „Ничдекум, чи, дакэ ва оморы чинева пе Каин, Каин сэ фие рэзбунат де шапте
GEN.4.16	Апой, Каин а ешит
GEN.4.17	Каин с-а ымпреунат ку невастэ-са; еа а рэмас ынсэрчинатэ ши а нэскут пе Енох. Ел а ынчепут апой сэ зидяскэ о четате ши а пус
GEN.4.18	Енох а фост татэл луй Ирад; Ирад а фост татэл луй Мехуиаел; Мехуиаел а фост татэл луй Метушаел ши Метушаел а фост татэл луй Ламех. 
GEN.4.19	Ламех шь-а луат доуэ невесте: нумеле унея ера Ада ши нумеле челейлалте ера Цила. 
GEN.4.20	Ада а нэскут пе Иабал: ел а фост татэл челор че локуеск ын кортурь ши пэзеск вителе. 
GEN.4.21	Нумеле фрателуй сэу ера Иубал: ел а фост татэл
GEN.4.22	Цила, де партя ей, а нэскут ши еа пе Тубал-Каин, фэуриторул тутурор унелтелор де арамэ ши де фер. Сора луй Тубал-Каин ера Наама.
GEN.4.23	Ламех а зис невестелор сале:
GEN.4.23	„Ада ши Цила, аскултаць гласул меу!
GEN.4.23	Невестеле луй Ламех, аскултаць кувынтул меу!
GEN.4.23	Ам оморыт ун ом пентру рана мя
GEN.4.23	Ши ун тынэр пентру вынэтэиле меле.
GEN.4.24	Каин
GEN.4.24	Яр Ламех, де шаптезечь де орь кыте шапте.”
GEN.4.25	Адам с-а ымпреунат ярэшь ку невастэ-са; еа а нэскут ун фиу ши й-а
GEN.4.26	Луй Сет и с-а нэскут
GEN.5.1	Ятэ картя
GEN.5.2	Й-а фэкут парте бэрбэтяскэ
GEN.5.3	Ла вырста де о сутэ трейзечь де ань, Адам а нэскут ун фиу дупэ кипул ши асемэнаря луй ши й-а пус
GEN.5.4	Дупэ наштеря луй Сет, Адам
GEN.5.5	Тоате зилеле пе каре ле-а трэит Адам ау фост де ноуэ суте трейзечь де ань, апой
GEN.5.6	Ла вырста де о сутэ чинч ань, Сет а нэскут
GEN.5.7	Дупэ наштеря луй Енос, Сет а май трэит опт суте шапте ань ши а нэскут фий ши фийче. 
GEN.5.8	Тоате зилеле луй Сет ау фост де ноуэ суте дойспрезече ань, апой а мурит. 
GEN.5.9	Ла вырста де ноуэзечь де ань, Енос а нэскут пе Каинан. 
GEN.5.10	Дупэ наштеря луй Каинан, Енос а май трэит опт суте чинчспрезече ань ши а нэскут фий ши фийче. 
GEN.5.11	Тоате зилеле луй Енос ау фост де ноуэ суте чинч ань, апой а мурит. 
GEN.5.12	Ла вырста де шаптезечь де ань, Каинан а нэскут пе Махалалеел. 
GEN.5.13	Дупэ наштеря луй Махалалеел, Каинан а май трэит опт суте патрузечь де ань ши а нэскут фий ши фийче. 
GEN.5.14	Тоате зилеле луй Каинан ау фост де ноуэ суте зече ань, апой а мурит. 
GEN.5.15	Ла вырста де шайзечь ши чинч де ань, Махалалеел а нэскут пе Иаред. 
GEN.5.16	Дупэ наштеря луй Иаред, Махалалеел а май трэит опт суте трейзечь де ань ши а нэскут фий ши фийче. 
GEN.5.17	Тоате зилеле луй Махалалеел ау фост де опт суте ноуэзечь ши чинч де ань, апой а мурит. 
GEN.5.18	Ла вырста де о сутэ шайзечь ши дой де ань, Иаред а нэскут пе Енох
GEN.5.19	Дупэ наштеря луй Енох, Иаред а май трэит опт суте де ань ши а нэскут фий ши фийче. 
GEN.5.20	Тоате зилеле луй Иаред ау фост де ноуэ суте шайзечь ши дой де ань, апой а мурит. 
GEN.5.21	Ла вырста де шайзечь ши чинч де ань, Енох а нэскут пе Метусала. 
GEN.5.22	Дупэ наштеря луй Метусала, Енох а умблат
GEN.5.23	Тоате зилеле луй Енох ау фост трей суте шайзечь ши чинч де ань. 
GEN.5.24	Енох
GEN.5.25	Ла вырста де о сутэ оптзечь ши шапте де ань, Метусала а нэскут пе Ламех. 
GEN.5.26	Дупэ наштеря луй Ламех, Метусала а май трэит шапте суте оптзечь ши дой де ань ши а нэскут фий ши фийче. 
GEN.5.27	Тоате зилеле луй Метусала ау фост де ноуэ суте шайзечь ши ноуэ де ань, апой а мурит. 
GEN.5.28	Ла вырста де о сутэ оптзечь ши дой де ань, Ламех а нэскут ун фиу. 
GEN.5.29	Ел й-а пус нумеле Ное
GEN.5.30	Дупэ наштеря луй Ное, Ламех а май трэит чинч суте ноуэзечь ши чинч де ань ши а нэскут фий ши фийче. 
GEN.5.31	Тоате зилеле луй Ламех ау фост де шапте суте шаптезечь ши шапте де ань, апой а мурит. 
GEN.5.32	Ное, ла вырста де чинч суте де ань, а нэскут пе Сем
GEN.6.1	Кынд ау ынчепут оамений сэ се ынмулцяскэ
GEN.6.2	фиий луй Думнезеу ау вэзут кэ фетеле оаменилор ерау фрумоасе ши дин тоате шь-ау луат де невесте
GEN.6.3	Атунч, Домнул а зис: „Духул
GEN.6.4	Уриаший ерау пе пэмынт ын времуриле ачеля ши кяр ши дупэ че с-ау ымпреунат фиий луй Думнезеу ку фетеле оаменилор ши ле-ау нэскут еле копий; ачештя ерау витежий каре ау фост ын векиме, оамень ку нуме. 
GEN.6.5	Домнул а вэзут кэ рэутатя омулуй ера маре пе пэмынт ши кэ тоате ынтокмириле гындурилор
GEN.6.6	Й-а пэрут рэу
GEN.6.7	Ши Домнул а зис: „Ам сэ штерг де пе фаца пэмынтулуй пе омул пе каре л-ам фэкут, де ла ом пынэ ла вите, пынэ ла тырытоаре ши пынэ ла пэсэриле черулуй, кэч Ымь паре рэу кэ й-ам фэкут.”
GEN.6.8	Дар Ное а кэпэтат
GEN.6.9	Ятэ каре сунт урмаший луй Ное.
GEN.6.9	Ное
GEN.6.10	Ное а нэскут трей фий: Сем
GEN.6.11	Пэмынтул ера стрикат
GEN.6.12	Думнезеу С-а уйтат
GEN.6.13	Атунч, Думнезеу а зис луй Ное: „Сфыршитул
GEN.6.14	Фэ-ць о корабие дин лемн де гофер (кипарос); корабия ачаста с-о ымпарць ын кэмэруце ши с-о тенкуешть ку смоалэ пе динэунтру ши пе динафарэ. 
GEN.6.15	Ятэ кум с-о фачь: корабия сэ айбэ трей суте де коць ын лунӂиме, чинчзечь де коць ын лэциме ши трейзечь де коць ын ынэлциме. 
GEN.6.16	Сэ фачь корабией о ферястрэ
GEN.6.17	Ши ятэ кэ Еу
GEN.6.18	Дар ку тине фак ун легэмынт: сэ
GEN.6.19	Дин тот че трэеште, дин орьче фэптурэ, сэ ей ын корабие кыте доуэ
GEN.6.20	Дин пэсэрь дупэ союл лор, дин вите дупэ союл лор ши дин тоате тырытоареле де пе пэмынт дупэ союл лор, сэ винэ
GEN.6.21	Ши ту я-ць дин тоате букателе каре се мэнынкэ ши фэ-ць меринде дин еле, ка сэ-ць служяскэ де хранэ цие ши лор.” 
GEN.6.22	Аша а ши фэкут Ное
GEN.7.1	Домнул а зис луй Ное: „Интрэ
GEN.7.2	Я ку тине кыте шапте перекь дин тоате добитоачеле курате
GEN.7.3	ши кыте шапте перекь, де асеменя, дин пэсэриле черулуй, кыте о парте бэрбэтяскэ ши кыте о парте фемеяскэ, пентру ка сэ ле ций вие сэмынца пе тоатэ фаца пэмынтулуй. 
GEN.7.4	Кэч, дупэ шапте зиле, вой фаче сэ плоуэ пе пэмынт патрузечь
GEN.7.5	Ное
GEN.7.6	Ное ера де шасе суте де ань кынд а венит потопул пе пэмынт. 
GEN.7.7	Ши Ное
GEN.7.8	Дин добитоачеле курате ши дин добитоачеле некурате, дин пэсэрь ши дин тот че се тырэште пе пэмынт, 
GEN.7.9	ау интрат ын корабие ла Ное, доуэ кыте доуэ, кыте о парте бэрбэтяскэ ши кыте о парте фемеяскэ, аша кум порунчисе Думнезеу луй Ное.
GEN.7.10	Дупэ челе шапте зиле, ау венит апеле потопулуй пе пэмынт. 
GEN.7.11	Ын анул ал шасе сутеля ал веций луй Ное, ын луна а доуа, ын зиуа а шаптеспрезечя а луний, ын зиуа ачея, с-ау рупт тоате извоареле
GEN.7.12	Плоая а
GEN.7.13	Ын ачеяшь зи ау интрат
GEN.7.14	ей
GEN.7.15	Ау интрат
GEN.7.16	Челе каре ау интрат ерау кыте о парте бэрбэтяскэ ши кыте о парте фемеяскэ, дин орьче фэптурэ, дупэ кум
GEN.7.17	Потопул
GEN.7.18	Апеле ау ажунс марь ши ау крескут фоарте мулт пе пэмынт, ши корабия плутя
GEN.7.19	Апеле ау ажунс дин че ын че май марь ши тоць мунций ыналць, каре сунт суб черул ынтрег, ау фост
GEN.7.20	Ку чинчспрезече коць с-ау ынэлцат апеле дясупра мунцилор, каре ау фост акопериць. 
GEN.7.21	Ши а перит
GEN.7.22	Тот че рэсуфла
GEN.7.23	Тоате фэптуриле каре ерау пе фаца пэмынтулуй ау фост нимичите, де ла ом пынэ ла вите, пынэ ла тырытоаре ши пынэ ла пэсэриле черулуй; ау фост нимичите де пе пэмынт. Н-а рэмас декыт Ное
GEN.7.24	Апеле
GEN.8.1	Думнезеу Шь-а адус аминте
GEN.8.2	Извоареле адынкулуй ши стэвилареле черурилор ау фост ынкисе
GEN.8.3	Апеле ау скэзут де пе фаца пэмынтулуй, скургынду-се ши ымпуцинынду-се ши, дупэ о сутэ чинчзечь
GEN.8.4	Ын луна а шаптя, ын зиуа а шаптеспрезечя а луний, корабия с-а оприт пе мунций Арарат. 
GEN.8.5	Апеле ау мерс скэзынд пынэ ын луна а зечя. Ын луна а зечя, ын зиуа ынтый а луний, с-ау вэзут вырфуриле мунцилор. 
GEN.8.6	Дупэ патрузечь де зиле, Ное а дескис ферястра
GEN.8.7	А дат друмул унуй корб каре а ешит, дукынду-се ши ынторкынду-се пынэ кынд ау секат апеле де пе пэмынт. 
GEN.8.8	А дат друмул ши унуй порумбел, ка сэ вадэ дакэ скэзусерэ апеле де пе фаца пэмынтулуй. 
GEN.8.9	Дар порумбелул н-а гэсит ничун лок ка сэ-шь пунэ пичорул ши с-а ынторс ла ел ын корабие, кэч ерау апе пе тоатэ фаца пэмынтулуй. Ное а ынтинс мына, л-а луат ши л-а бэгат ла ел ын корабие. 
GEN.8.10	А май аштептат алте шапте зиле ши ярэшь а дат друмул порумбелулуй дин корабие. 
GEN.8.11	Порумбелул с-а ынторс ла ел спре сярэ ши ятэ кэ ын чокул луй ера о фрунзэ де мэслин руптэ де курынд. Ное а куноскут астфел кэ апеле скэзусерэ пе пэмынт. 
GEN.8.12	А май аштептат алте шапте зиле ши а дат друмул порумбелулуй. Дар порумбелул ну с-а май ынторс ла ел. 
GEN.8.13	Ын анул шасе суте уну, ын луна ынтый, ын зиуа ынтый а луний, апеле секасерэ пе пэмынт. Ное а ридикат ынвелитоаря корабией: с-а уйтат ши ятэ кэ фаца пэмынтулуй се ускасе. 
GEN.8.14	Ын луна а доуа, ын а доуэзечь ши шаптя зи а луний, пэмынтул ера ускат де тот.
GEN.8.15	Атунч, Думнезеу а ворбит луй Ное ши й-а зис: 
GEN.8.16	„Ешь дин корабие, ту
GEN.8.17	Скоате афарэ ымпреунэ ку тине тоате
GEN.8.18	Ши Ное а ешит афарэ ку фиий сэй, ку невастэ-са ши ку невестеле фиилор сэй. 
GEN.8.19	Тоате добитоачеле, тоате тырытоареле, тоате пэсэриле, тот че се мишкэ пе пэмынт, дупэ союриле лор, ау ешит дин корабие. 
GEN.8.20	Ное а зидит ун алтар Домнулуй, а луат дин тоате добитоачеле
GEN.8.21	Домнул а миросит ун мирос
GEN.8.22	Кыт ва фи пэмынтул
GEN.9.1	Думнезеу а бинекувынтат пе Ное ши пе фиий сэй ши ле-а зис: „Крештець
GEN.9.2	С-апуче гроаза
GEN.9.3	Тот че се мишкэ
GEN.9.4	Нумай карне ку вяца ей
GEN.9.5	Кэч вой чере ынапой сынӂеле вецилор воастре; ыл вой чере ынапой де ла орьче добиток
GEN.9.6	Дакэ варсэ
GEN.9.7	Яр вой крештець
GEN.9.8	Думнезеу а май ворбит луй Ное ши фиилор луй, каре ерау ку ел, ши а зис: 
GEN.9.9	„Ятэ, Еу фак
GEN.9.10	ку тоате
GEN.9.11	Фак
GEN.9.12	Ши Думнезеу а зис: „Ятэ семнул
GEN.9.13	куркубеул Меу, пе каре л-ам ашезат
GEN.9.14	Кынд вой стрынӂе норь дясупра пэмынтулуй, куркубеул се ва арэта ын нор, 
GEN.9.15	ши Еу Ымь вой адуче аминте
GEN.9.16	Куркубеул ва фи ын нор, ши Еу Мэ вой уйта ла ел, ка сэ-Мь адук аминте де легэмынтул чел вешник
GEN.9.17	Ши Думнезеу а зис луй Ное: „Ачеста есте семнул легэмынтулуй пе каре л-ам фэкут ынтре Мине ши орьче фэптурэ де пе пэмынт.”
GEN.9.18	Фиий луй Ное, каре ау ешит дин корабие, ерау: Сем, Хам ши Иафет: Хам
GEN.9.19	Ачештя
GEN.9.20	Ное а ынчепут сэ фие лукрэтор
GEN.9.21	А бэут вин, с-а ымбэтат
GEN.9.22	Хам, татэл луй Канаан, а вэзут голичуня татэлуй сэу ши а спус челор дой фраць ай луй афарэ. 
GEN.9.23	Атунч, Сем
GEN.9.24	Ное с-а трезит дин амецяла винулуй ши а афлат че-й фэкусе фиул сэу чел май тынэр.
GEN.9.25	Ши а зис:
GEN.9.25	„Блестемат
GEN.9.25	Сэ фие робул
GEN.9.26	Ел а май зис:
GEN.9.26	„Бинекувынтат
GEN.9.26	Ши Канаан сэ фие робул луй
GEN.9.27	Думнезеу сэ лэрӂяскэ локуриле стэпыните де Иафет.
GEN.9.27	Иафет сэ локуяскэ
GEN.9.27	Ши Канаан сэ фие робул лор!”
GEN.9.28	Ное а трэит, дупэ потоп, трей суте чинчзечь де ань. 
GEN.9.29	Тоате зилеле луй Ное ау фост де ноуэ суте чинчзечь де ань, апой а мурит.
GEN.10.1	Ятэ спица нямулуй фиилор луй Ное: Сем, Хам ши Иафет. Дупэ потоп ли с-ау
GEN.10.2	Фиий
GEN.10.3	Фиий луй Гомер: Ашкеназ, Рифат ши Тогарма. 
GEN.10.4	Фиий луй Иаван: Елиша, Таршиш, Китим ши Доданим. 
GEN.10.5	Де ла ей се траг попоареле дин цэриле
GEN.10.6	Фиий
GEN.10.7	Фиий луй Куш: Себа, Хавила, Сабта, Раема ши Сабтека. Фиий луй Раема: Шеба ши Дедан. 
GEN.10.8	Куш а нэскут ши пе Нимрод: ел есте ачела каре а ынчепут сэ фие путерник пе пэмынт. 
GEN.10.9	Ел а фост ун витяз вынэтор
GEN.10.10	Ел а домнит ла ынчепут
GEN.10.11	Дин цара ачаста а интрат ын Асирия; а зидит Ниниве, Рехобот-Ир, Калах 
GEN.10.12	ши Ресен ынтре Ниниве ши Калах; ачаста есте четатя чя маре. 
GEN.10.13	Мицраим а нэскут пе лудимь, анамимь, лехабимь, нафтухимь, 
GEN.10.14	патрусимь, каслухимь (дин каре
GEN.10.15	Канаан а нэскут пе Сидон, ынтыюл луй нэскут, ши пе Хет; 
GEN.10.16	ши пе иебусиць, пе амориць, пе гиргасиць, 
GEN.10.17	пе хевиць, пе аркиць, пе синиць, 
GEN.10.18	пе арвадиць, пе цемариць, пе хаматиць. Ын урмэ, фамилииле канааницилор с-ау ымпрэштият. 
GEN.10.19	Хотареле
GEN.10.20	Ачештя сунт фиий луй Хам, дупэ фамилииле лор, дупэ лимбиле лор, дупэ цэриле лор, дупэ нямуриле лор.
GEN.10.21	Ши луй Сем, татэл тутурор фиилор луй Ебер ши фрателе чел май маре ал луй Иафет, и с-ау нэскут фий. 
GEN.10.22	Фиий луй Сем
GEN.10.23	Фий луй Арам: Уц, Хул, Гетер ши Маш. 
GEN.10.24	Арпакшад а нэскут пе Шелах
GEN.10.25	Луй Ебер
GEN.10.26	Иоктан а нэскут пе Алмодад, пе Шелеф, пе Ацармавет, пе Иерах, 
GEN.10.27	пе Адорам, пе Узал, пе Дикла, 
GEN.10.28	пе Обал, пе Абимаел, пе Себа, 
GEN.10.29	пе Офир, пе Хавила ши пе Иобаб. Тоць ачештя ау фост фиий луй Иоктан. 
GEN.10.30	Ей ау локуит де ла Меша, кум мерӂь спре Сефар, пынэ ла мунтеле рэсэритулуй. 
GEN.10.31	Ачештя сунт фиий луй Сем, дупэ фамилииле лор, дупэ лимбиле лор, дупэ цэриле лор, дупэ нямуриле лор. 
GEN.10.32	Ачестя
GEN.11.1	Тот пэмынтул авя о сингурэ лимбэ ши ачеляшь кувинте. 
GEN.11.2	Порнинд ей ынспре рэсэрит, ау дат песте о кымпие ын цара Шинеар ши ау дескэлекат аколо. 
GEN.11.3	Ши ау зис унул кэтре алтул: „Хайдем сэ фачем кэрэмизь ши сэ ле ардем бине ын фок!” Ши кэрэмида ле-а цинут лок де пятрэ, яр смоала ле-а цинут лок де вар. 
GEN.11.4	Ши ау май зис: „Хайдем сэ не зидим о четате ши ун турн ал кэруй вырф
GEN.11.5	Домнул
GEN.11.6	Ши Домнул а зис: „Ятэ, ей сунт ун сингур
GEN.11.7	Хайдем сэ Не
GEN.11.8	Ши Домнул
GEN.11.9	Де ачея, четатя а фост нумитэ Бабел
GEN.11.10	Ятэ
GEN.11.11	Дупэ наштеря луй Арпакшад, Сем а трэит чинч суте де ань ши а нэскут фий ши фийче. 
GEN.11.12	Ла вырста де трейзечь ши чинч де ань, Арпакшад а нэскут пе Шелах
GEN.11.13	Дупэ наштеря луй Шелах, Арпакшад а май трэит патру суте трей ань ши а нэскут фий ши фийче. 
GEN.11.14	Ла вырста де трейзечь де ань, Шелах а нэскут пе Ебер. 
GEN.11.15	Дупэ наштеря луй Ебер, Шелах а май трэит патру суте трей ань ши а нэскут фий ши фийче. 
GEN.11.16	Ла вырста де трейзечь ши патру де ань, Ебер
GEN.11.17	Дупэ наштеря луй Пелег, Ебер а май трэит патру суте трейзечь де ань ши а нэскут фий ши фийче. 
GEN.11.18	Ла вырста де трейзечь де ань, Пелег а нэскут пе Реу. 
GEN.11.19	Дупэ наштеря луй Реу, Пелег а май трэит доуэ суте ноуэ ань ши а нэскут фий ши фийче. 
GEN.11.20	Ла вырста де трейзечь ши дой де ань, Реу а нэскут пе Серуг
GEN.11.21	Дупэ наштеря луй Серуг, Реу а май трэит доуэ суте шапте ань ши а нэскут фий ши фийче. 
GEN.11.22	Ла вырста де трейзечь де ань, Серуг а нэскут пе Нахор. 
GEN.11.23	Дупэ наштеря луй Нахор, Серуг а май трэит доуэ суте де ань ши а нэскут фий ши фийче. 
GEN.11.24	Ла вырста де доуэзечь ши ноуэ де ань, Нахор а нэскут пе Терах
GEN.11.25	Дупэ наштеря луй Терах, Нахор а май трэит о сутэ ноуэспрезече ань ши а нэскут фий ши фийче. 
GEN.11.26	Ла вырста де шаптезечь де ань, Терах а нэскут пе Аврам
GEN.11.27	Ятэ спица нямулуй луй Терах.
GEN.11.27	Терах а нэскут пе Аврам, пе Нахор ши пе Харан. Харан а нэскут пе Лот. 
GEN.11.28	Ши Харан а мурит ын фаца татэлуй сэу Терах, ын цара ын каре се нэскусе, ын Ур, ын Халдея
GEN.11.29	Аврам ши Нахор шь-ау луат невесте. Нумеле невестей луй Аврам ера Сарай
GEN.11.30	Сарай ера
GEN.11.31	Терах а луат
