GEN.1.1	La
GEN.2.18	Și Domnul Dumnezeu a zis: Nu este bine ca omul să fie singur
GEN.2.19	 Și Domnul Dumnezeu a întocmit din pământ orice viețuitoare a câmpului și orice pasăre a cerurilor și
GEN.2.20	Și omul a dat nume tuturor dobitoacelor și păsărilor cerurilor și oricărei viețuitoare a câmpului, dar pentru om nu s‐a găsit niciun ajutor potrivit lui. 
GEN.2.21	Și Domnul Dumnezeu a făcut să cadă un
GEN.2.22	Și coasta pe care o luase Domnul Dumnezeu din om a întocmit‐o într‐o femeie și a
GEN.2.23	Și omul a zis: Aceasta este acum
GEN.2.24	 De aceea va lăsa omul pe tatăl său și pe mama sa și se va lipi de nevasta sa și vor fi o singură carne.
GEN.2.25	Și
GEN.3.1	Și
GEN.3.2	Și femeia a zis șarpelui: Din rodul pomilor din grădină putem să mâncăm, 
GEN.3.3	dar
GEN.3.4	Și
GEN.3.5	Căci Dumnezeu știe că în ziua când veți mânca din el, vi
GEN.3.6	Și femeia a văzut că pomul era bun de mâncat și că era o plăcere pentru ochi și că pomul era de dorit ca să dea pricepere și a luat din rodul lui și
GEN.3.7	Și
GEN.3.8	Și au auzit
GEN.3.9	Și Domnul Dumnezeu a strigat pe om și i‐a zis: Unde ești? 
GEN.3.10	Și el a zis: Am auzit glasul tău în grădină
GEN.3.11	Și el a zis: Cine ți‐a spus că ești gol? Ai mâncat din pomul din care ți‐am poruncit să nu mănânci? 
GEN.3.12	Și omul a zis
GEN.3.13	Și Domnul Dumnezeu a zis femeii: Ce ai făcut? Și femeia a zis
GEN.3.14	Și Domnul Dumnezeu a zis șarpelui: Pentru că ai făcut aceasta, blestemat să fii mai mult decât toate dobitoacele și mai mult decât orice viețuitoare a câmpului. Să mergi pe pântecele tău și să mănânci
GEN.3.15	Și voi pune
GEN.3.16	Femeii i‐a zis: Voi mări mult chinul tău și sarcina ta
GEN.3.17	Și lui Adam i‐a zis
GEN.3.18	Și să‐ți dea spini și mărăcini și
GEN.3.19	 În sudoarea feței tale să mănânci pâine până te vei întoarce în pământ, căci din el ai fost luat
GEN.3.20	Și omul a pus numele nevestei sale Eva pentru că ea este mama tuturor celor vii. 
GEN.3.21	Și Domnul Dumnezeu a făcut lui Adam și nevestei sale cămăși de piei și i‐a îmbrăcat. 
GEN.3.22	Și Domnul Dumnezeu a zis
GEN.3.23	De aceea Domnul Dumnezeu l‐a scos din grădina Edenului ca să
GEN.3.24	Și a izgonit pe om și a pus la
GEN.4.1	Și Adam a cunoscut pe Eva, nevasta sa; și ea a zămislit și a născut pe Cain și a zis: Am dobândit un bărbat cu Domnul. 
GEN.4.2	Și, iarăși, a născut pe fratele său Abel. Și Abel era păstor, iar Cain era
GEN.4.3	Și a fost 
GEN.4.4	Și Abel a adus și el
GEN.4.5	Iar la Cain și la darul său n‐a privit cu plăcere. Și Cain s‐a mâniat foarte tare
GEN.4.6	Și Domnul a zis lui Cain: De ce ești mâniat? Și de ce ți s‐a posomorât fața? 
GEN.4.7	Dacă faci bine, nu va fi ridicată ea în sus? Și dacă nu faci bine, păcatul zace
GEN.4.8	Și Cain a vorbit lui Abel, fratele său. Și a fost 
GEN.4.9	Și Domnul a zis lui Cain
GEN.4.10	Și el a zis: Ce ai făcut? Glasul sângelui fratelui tău
GEN.4.11	Și acum blestemat să fii în pământul care și‐a deschis gura să primească sângele fratelui tău din mâna ta. 
GEN.4.12	Când vei ara pământul, nu‐ți va da de acum puterea lui; fugar și pribeag să fii pe pământ. 
GEN.4.13	Și Cain a zis Domnului: Pedeapsa mea este prea mare ca s‐o port. 
GEN.4.14	 Iată m‐ai izgonit astăzi de pe fața pământului și voi fi ascuns
GEN.4.15	Și Domnul i‐a zis: De aceea oricine ucide pe Cain va cădea sub răzbunare
GEN.4.16	Și Cain a
GEN.4.17	Și Cain a cunoscut pe nevasta sa și ea a zămislit și a născut pe Enoh. Și el a zidit o cetate și
GEN.4.18	Și lui Enoh i s‐a născut Irad și Irad a născut pe Mehuiael și Mehuiael a născut pe Metușael și Metușael a născut pe Lameh. 
GEN.4.19	Și Lameh a luat două neveste: numele uneia era Ada și numele celeilalte Țila. 
GEN.4.20	Și Ada a născut pe Iabal; el a fost tatăl celor ce locuiesc în corturi și au vite. 
GEN.4.21	Și numele fratelui său era Iubal: el era
GEN.4.22	Și Țila a născut și ea pe Tubal‐Cain, făuritorul oricărei unelte de aramă și fier. Și sora lui Tubal‐Cain era Naama. 
GEN.4.23	Și Lameh a zis nevestelor sale: Ada și Țila, auziți glasul meu. Voi, neveste ale lui Lameh, plecați urechea la graiul meu. Căci am ucis un bărbat pentru că m‐a rănit, și un tânăr pentru că m‐a lovit. 
GEN.4.24	 Dacă de șapte ori va fi răzbunat Cain, Lameh de șaptezeci și șapte de ori.
GEN.4.25	Și Adam a cunoscut iarăși pe nevasta sa și ea a născut un fiu și
GEN.4.26	Și lui Set i
GEN.5.1	Aceasta este
GEN.5.2	I‐a făcut parte bărbătească
GEN.5.3	Și Adam a trăit o sută treizeci de ani și a născut 
GEN.5.4	 Și zilele lui Adam, după ce a născut pe Set, au fost opt sute de ani
GEN.5.5	Și toate zilele lui Adam pe care le‐a trăit au fost nouă sute treizeci de ani
GEN.5.6	Și Set a trăit o sută cinci ani și a
GEN.5.7	Și Set a trăit, după ce a născut pe Enoș, opt sute șapte ani și a născut fii și fiice. 
GEN.5.8	Și toate zilele lui Set au fost nouă sute doisprezece ani; și a murit. 
GEN.5.9	Și Enoș a trăit nouăzeci de ani și a născut pe Cainan. 
GEN.5.10	Și Enoș a trăit, după ce a născut pe Cainan, opt sute cincisprezece ani; și a născut fii și fiice. 
GEN.5.11	Și toate zilele lui Enoș au fost nouă sute cinci ani; și a murit. 
GEN.5.12	Și Cainan a trăit șaptezeci de ani și a născut pe Mahalaleel. 
GEN.5.13	Și Cainan a trăit, după ce a născut pe Mahalaleel, opt sute patruzeci de ani și a născut fii și fiice. 
GEN.5.14	Și toate zilele lui Cainan au fost nouă sute zece ani; și a murit. 
GEN.5.15	Și Mahalaleel a trăit șaizeci și cinci de ani și a născut pe Iared. 
GEN.5.16	Și Mahalaleel a trăit, după ce a născut pe Iared, opt sute treizeci de ani și a născut fii și fiice. 
GEN.5.17	Și toate zilele lui Mahalaleel au fost opt sute nouăzeci și cinci de ani; și a murit. 
GEN.5.18	Și Iared a trăit o sută șaizeci și doi de ani și a născut pe
GEN.5.19	Și Iared a trăit, după ce a născut pe Enoh, opt sute de ani și a născut fii și fiice. 
GEN.5.20	Și toate zilele lui Iared au fost nouă sute șaizeci și doi de ani; și a murit. 
GEN.5.21	Și Enoh a trăit șaizeci și cinci de ani și a născut pe Metușela. 
GEN.5.22	Și Enoh
GEN.5.23	Și toate zilele lui Enoh au fost trei sute șaizeci și cinci de ani. 
GEN.5.24	Și
GEN.5.25	Și Metușela a trăit o sută optzeci și șapte de ani și a născut pe Lameh. 
GEN.5.26	Și Metușela a trăit, după ce a născut pe Lameh, șapte sute optzeci și doi de ani și a născut fii și fiice. 
GEN.5.27	Și toate zilele lui Metușela au fost nouă sute șaizeci și nouă de ani; și a murit. 
GEN.5.28	Și Lameh a trăit o sută optzeci și doi de ani și a născut un fiu. 
GEN.5.29	Și i‐a pus numele Noe zicând: Acesta ne va mângăia de lucrul nostru și de truda mâinilor noastre în pământul
GEN.5.30	Și Lameh a trăit, după ce a născut pe Noe, cinci sute nouăzeci și cinci de ani și a născut fii și fiice. 
GEN.5.31	Și toate zilele lui Lameh au fost șapte sute șaptezeci și șapte de ani și a murit. 
GEN.5.32	Și Noe era de cinci sute de ani și Noe a născut pe
GEN.6.1	Și a fost 
GEN.6.2	fiii lui Dumnezeu au văzut pe fiicele oamenilor că erau frumoase și și‐au
GEN.6.3	Și Domnul a zis
GEN.6.4	Uriașii erau pe pământ în acele zile și chiar după aceea când fiii lui Dumnezeu au intrat la fiicele oamenilor și ele le‐au născut; aceștia au fost vitejii care în vechime erau oameni cu nume. 
GEN.6.5	Și Domnul a văzut că răutatea omului era mare pe pământ și că orice
GEN.6.6	Și Domnul s‐a
GEN.6.7	Și Domnul a zis: Voi șterge de pe fața pământului pe omul pe care l‐am făcut, de la om până la dobitoc și târâtoare și păsări ale cerurilor, căci mă căiesc că i‐am făcut.
GEN.6.8	Dar Noe a
GEN.6.9	Acestea sunt neamurile lui Noe
GEN.6.10	Și Noe a născut trei fii
GEN.6.11	Și pământul era stricat
GEN.6.12	Și Dumnezeu
GEN.6.13	Și Dumnezeu a zis lui Noe
GEN.6.14	Fă‐ți o corabie de lemn de gofer; să faci odăițe în corabie, și tencuiește‐o pe dinăuntru și pe dinafară cu smoală. 
GEN.6.15	Și s‐o faci așa: lungimea corăbiei trei sute de coți, lățimea ei cincizeci de coți și înălțimea ei treizeci de coți. 
GEN.6.16	Să faci corăbiei o lumină și s‐o sfârșești la un cot în sus. Și intrarea corăbiei s‐o pui în latura ei; s‐o faci cu un 
GEN.6.17	 Și eu iată aduc potopul de ape pe pământ ca să prăpădesc toată carnea în care este suflare de viață sub ceruri; orice este pe pământ va pieri. 
GEN.6.18	Dar voi întări legământul meu cu tine și
GEN.6.19	Și din orice viețuitoare de orice carne să aduci
GEN.6.20	Din pasări după soiul lor și din dobitoace după soiul lor, din orice târâtoare de pe pământ după soiul său, vor intra la tine două din fiecare soi
GEN.6.21	Și ia la tine din orice hrană care se mănâncă și strânge‐o la tine și să‐ți fie ca hrană pentru tine și pentru ele. 
GEN.6.22	 Și Noe a făcut
GEN.7.1	Și Domnul a zis lui Noe
GEN.7.2	Din toate dobitoacele
GEN.7.3	Și din păsările cerurilor șapte și șapte: partea bărbătească și partea femeiască să păstrezi sămânță vie pe fața întregului pământ. 
GEN.7.4	Căci încă șapte zile și voi face să ploaie asupra pământului
GEN.7.5	 Și Noe a făcut potrivit cu tot ce‐i poruncise Dumnezeu. 
GEN.7.6	Și Noe era de șase sute de ani când a fost potopul de ape pe pământ. 
GEN.7.7	 Și Noe a intrat în corabie și fiii lui și nevasta lui și nevestele fiilor lui cu el de apele potopului. 
GEN.7.8	Din dobitoacele curate și din dobitoacele care sunt necurate și din pasări și din orice se târăște pe pământ 
GEN.7.9	au intrat două câte două la Noe în corabie, partea bărbătească și partea femeiască, după cum poruncise Dumnezeu lui Noe.
GEN.7.10	Și a fost 
GEN.7.11	În anul șase sute al vieții lui Noe, în luna a doua, în ziua a șaptesprezecea a lunii, în ziua aceea s‐au rupt toate
GEN.7.12	 Și ploaia a fost pe pământ patruzeci de zile și patruzeci de nopți. 
GEN.7.13	Chiar în ziua aceea
GEN.7.14	 ei și orice viețuitoare după soiul său și toate dobitoacele după soiul lor și orice târâtoare care se târăște pe pământ după soiul său și orice pasăre după soiul său, orice pasăre de orice aripă. 
GEN.7.15	Și
GEN.7.16	Și cele ce au intrat au intrat parte bărbătească și parte femeiască din orice carne
GEN.7.17	 Și potopul a fost patruzeci de zile pe pământ și apele au crescut și au ridicat corabia și a fost înălțată deasupra pământului. 
GEN.7.18	Și apele s‐au întețit și au crescut mult pe pământ și corabia
GEN.7.19	Și apele s‐au întețit nespus pe pământ și toți munții înalți care erau sub toate cerurile au fost
GEN.7.20	Cincisprezece coți s‐au înălțat apele mai sus și munții au fost acoperiți. 
GEN.7.21	 Și a murit orice carne care se mișca pe pământ, pasări și dobitoace și viețuitoare și orice târâtoare care se târăște pe pământ și orice om. 
GEN.7.22	Tot ce
GEN.7.23	Și a șters orice ființă care era pe fața pământului, de la om până la dobitoace și târâtoare și păsări ale cerurilor și au fost șterse de pe pământ și a rămas numai
GEN.7.24	 Și apele au crescut pe pământ o sută cincizeci de zile.
GEN.8.1	Și Dumnezeu și‐a
GEN.8.2	 Și izvoarele adâncului și ferestrele cerurilor au fost astupate și
GEN.8.3	Și apele se scurgeau de pe pământ mergând și întorcându‐se. Și după trecere de
GEN.8.4	Și în luna a șaptea, în ziua a șaptesprezecea a lunii, corabia s‐a oprit pe munții Ararat. 
GEN.8.5	Și apele se împuținau necontenit până în luna a zecea: în luna a zecea, în ziua întâi a lunii, s‐au văzut vârfurile munților. 
GEN.8.6	Și a fost 
GEN.8.7	Și a trimis un corb. Și el a ieșit încoace și încolo până ce au secat apele de pe pământ. 
GEN.8.8	Și a trimis un porumbel de la el ca să vadă dacă scăzuseră apele de pe fața pământului. 
GEN.8.9	Dar porumbelul n‐a găsit unde să‐și pună talpa piciorului și s‐a întors la el la corabie, căci apele erau pe fața întregului pământ. Și și‐a întins mâna și l‐a luat și l‐a adus la sine în corabie. 
GEN.8.10	Și a mai stat alte șapte zile și iarăși a trimis porumbelul din corabie. 
GEN.8.11	Și porumbelul a venit la el în amurg și iată în gura lui era o frunză verde de măslin. Și Noe a cunoscut că apele scăzuseră de pe pământ. 
GEN.8.12	Și a mai stat alte șapte zile și a trimis porumbelul, dar nu s‐a mai întors la el. 
GEN.8.13	Și a fost 
GEN.8.14	Și în luna a doua, în ziua douăzeci și șapte a lunii, pământul era uscat.
GEN.8.15	Și Dumnezeu a vorbit lui Noe zicând: 
GEN.8.16	Ieși din corabie
GEN.8.17	 Scoate afară cu tine orice viețuitoare care este cu tine de orice carne: păsări și dobitoace și orice târâtoare ce se târăște pe pământ, ca să mișune pe pământ
GEN.8.18	Și Noe a ieșit și fiii lui și nevasta lui și nevestele fiilor lui cu el. 
GEN.8.19	Orice viețuitoare, orice târâtoare și orice păsări, orice se mișcă pe pământ, după familiile lor, au ieșit din corabie. 
GEN.8.20	Și Noe a zidit un altar Domnului și a luat din
GEN.8.21	Și Domnul a mirosit
GEN.8.22	 Câte zile va sta pământul, semănatul și seceratul și frigul și căldura și vara și iarna
GEN.9.1	Și Dumnezeu a binecuvântat pe Noe și pe fiii lui și le‐a zis
GEN.9.2	 Și frica de voi și temerea de voi să fie peste orice viețuitoare a pământului și peste orice pasăre a cerurilor, cu tot ce se târăște pe pământ și peste toți peștii mării: sunt date în mâna voastră. 
GEN.9.3	 Orice se mișcă și trăiește vă va fi de mâncare: vi le‐am dat
GEN.9.4	Dar să nu mâncați
GEN.9.5	Și cu adevărat voi cere înapoi sângele vostru, al vieților voastre: din mâna
GEN.9.6	 Cel ce varsă sânge de om, de om se va vărsa sângele lui
GEN.9.7	Iar voi
GEN.9.8	Și Dumnezeu a vorbit lui Noe și fiilor lui cu el zicând: 
GEN.9.9	Și eu
GEN.9.10	 și cu orice vietate, care este cu voi, pasările, dobitoacele și orice viețuitoare a pământului cu voi din toate câte ies din corabie din orice viețuitoare a pământului. 
GEN.9.11	Și
GEN.9.12	Și Dumnezeu a zis
GEN.9.13	am pus
GEN.9.14	Și va fi 
GEN.9.15	și‐mi
GEN.9.16	Și curcubeul va fi în nor și mă voi uita la el ca să‐mi aduc aminte de
GEN.9.17	Și Dumnezeu a zis lui Noe: Acesta este semnul legământului pe care l‐am întărit între mine și toată carnea care este pe pământ.
GEN.9.18	Și fiii lui Noe care au ieșit din corabie erau: Sem și Ham și Iafet. Și
GEN.9.19	 Acești trei au fost fiii lui Noe
GEN.9.20	Și Noe a început să fie plugar
GEN.9.21	Și a băut din vin
GEN.9.22	Și Ham, tatăl lui Canaan, a văzut goliciunea tatălui său, și a spus celor doi frați ai săi afară. 
GEN.9.23	 Și Sem și Iafet au luat o manta și au pus‐o pe amândoi umerii lor și au mers deandăratelea și au acoperit goliciunea tatălui lor și fețele lor se uitau înapoi și n‐au văzut goliciunea tatălui lor. 
GEN.9.24	Și Noe s‐a trezit din vinul său, și a cunoscut ce‐i făcuse fiul său cel mai mic. 
GEN.9.25	Și a zis
GEN.9.26	Și a zis
GEN.9.27	Dumnezeu să lărgească pe Iafet
GEN.9.28	Și Noe a trăit după potop trei sute cincizeci de ani. 
GEN.9.29	Și toate zilele lui Noe au fost nouă sute cincizeci de ani; și a murit.
GEN.10.1	Și acestea sunt neamurile fiilor lui Noe, lui Sem, Ham și Iafet
GEN.10.2	 Fiii lui Iafet: Gomer și Magog și Madai și Iavan și Tubal și Meșec și Tiras. 
GEN.10.3	Și fiii lui Gomer: Așchenaz și Rifat și Togarma. 
GEN.10.4	Și fiii lui Iavan: Elișa și Tarșiș, Chitim și Dodanim. 
GEN.10.5	De la aceștia s‐au împărțit
GEN.10.7	Și fiii lui Cuș: Seba și Havila și Sabta și Raema și Sabteca. Și fiii lui Raema: Șeba și Dedan. 
GEN.10.8	Și Cuș a născut pe Nimrod; el a început să fie puternic pe pământ. 
GEN.10.9	El era
GEN.10.10	 Și începutul împărăției lui a fost Babel și Erec și Acad și Calne, în țara Șinear. 
GEN.10.11	Din țara aceea a ieșit în Asiria și a zidit Ninive și Rehobot‐Ir și Calah, 
GEN.10.12	și Resen între Ninive și Calah. Aceasta este cetatea cea mare. 
GEN.10.13	Și Mițraim a născut pe Ludimi și pe Anamimi și pe Lehabimi și pe Naftuhimi 
GEN.10.14	și pe Patrusimi și pe Casluhimi
GEN.10.15	Și Canaan a născut pe Sidon, întâiul născut al său, și pe Het 
GEN.10.16	și pe Iebusit și pe Amorit și pe Ghirgasit 
GEN.10.17	și pe Hevit și pe Archit și pe Sinit 
GEN.10.18	și pe Arvadit și pe Țemarit și pe Hamatit. Și după aceasta familiile Cananitului s‐au împrăștiat. 
GEN.10.19	 Și hotarul Cananitului era de la Sidon, cum mergi spre Gherar până la Gaza, cum mergi spre Sodoma și Gomora și Adma și Țeboim până la Leșa. 
GEN.10.20	Aceștia sunt fiii lui Ham, după familiile lor, după limbile lor, în țările lor, în neamurile lor.
GEN.10.21	Și lui Sem, tatăl tuturor copiilor lui Eber, fratele cel mai mare al lui Iafet, i s‐au născut și lui 
GEN.10.22	 Fiii lui Sem: Elam și Asur și Arpacșad și Lud și Aram. 
GEN.10.23	Și fiii lui Aram: Uț și Hul și Gheter și Maș. 
GEN.10.24	Și Arpacșad a născut pe
GEN.10.25	 Și lui Eber i s‐au născut doi fii: numele unuia era Peleg, căci în zilele lui s‐a împărțit pământul, și numele fratelui său era Ioctan. 
GEN.10.26	Și Ioctan a născut pe Almodad și pe Șelef și pe Ațarmavet și pe Ierah 
GEN.10.27	și pe Adoram și pe Uzal și pe Dicla 
GEN.10.28	și pe Obal și pe Abimael și pe Seba 
GEN.10.29	și pe Ofir și pe Havila și pe Iobab. Toți aceștia erau fiii lui Ioctan. 
GEN.10.30	Și locuința lor era de la Meșa, cum mergi spre Sefar, muntele răsăritului. 
GEN.10.31	Aceștia sunt fiii lui Sem, după familiile lor, după limbile lor, în țările lor, după neamurile lor. 
GEN.10.32	Acestea
GEN.11.1	Și tot pământul avea o singură limbă și o singură vorbire. 
GEN.11.2	Și a fost 
GEN.11.3	Și au zis unul către altul: Veniți să facem cărămizi și să le ardem bine. Și cărămizile le‐au fost drept piatră și smoala le‐a fost drept tencuială. 
GEN.11.4	Și au zis: Veniți, să ne zidim o cetate și un turn
GEN.11.5	 Și Domnul s‐a pogorât ca să vadă cetatea și turnul pe care‐l zideau copiii oamenilor. 
GEN.11.6	Și Domnul a zis
GEN.11.7	Veniți
GEN.11.8	Și
GEN.11.9	De aceea i s‐a pus numele Babel
GEN.11.11	Și Sem a trăit, după ce a născut pe Arpacșad, cinci sute de ani și a născut fii și fiice. 
GEN.11.12	Și Arpacșad a trăit treizeci și cinci de ani și a născut pe
GEN.11.13	Și Arpacșad a trăit, după ce a născut pe Șelah, patru sute trei ani și a născut fii și fiice. 
GEN.11.14	Și Șelah a trăit treizeci de ani și a născut pe Eber. 
GEN.11.15	Și Șelah a trăit, după ce a născut pe Eber, patru sute trei ani și a născut fii și fiice. 
GEN.11.16	 Și Eber a trăit treizeci și patru de ani și a născut pe
GEN.11.17	Și Eber a trăit, după ce a născut pe Peleg, patru sute treizeci de ani și a născut fii și fiice. 
GEN.11.18	Și Peleg a trăit treizeci de ani și a născut pe Reu. 
GEN.11.19	Și Peleg a trăit, după ce a născut pe Reu, două sute nouă ani și a născut fii și fiice. 
GEN.11.20	Și Reu a trăit treizeci și doi de ani și a născut pe
GEN.11.21	Și Reu a trăit, după ce a născut pe Serug, două sute șapte ani și a născut fii și fiice. 
GEN.11.22	Și Serug a trăit treizeci de ani și a născut pe Nahor. 
GEN.11.23	Și Serug a trăit, după ce a născut pe Nahor, două sute de ani și a născut fii și fiice. 
GEN.11.24	Și Nahor a trăit douăzeci și nouă de ani și a născut pe
GEN.11.25	Și Nahor a trăit, după ce a născut pe Terah, o sută nouăsprezece ani și a născut fii și fiice. 
GEN.11.26	Și Terah a trăit șaptezeci de ani și a
GEN.11.27	Și acestea sunt neamurile lui Terah. Terah a născut pe Avram, pe Nahor și pe Haran. Și Haran a născut pe Lot. 
GEN.11.28	Și Haran a murit în fața tatălui său Terah în țara nașterii sale în Urul Haldeilor. 
GEN.11.29	Și Avram și Nahor și‐au luat neveste. Numele nevestei lui Avram era
GEN.11.30	Și
GEN.11.31	Și Terah a
GEN.11.32	Și zilele lui Terah au fost două sute cinci ani; și Terah a murit în Haran.
GEN.12.1	Și
GEN.12.2	 Și te voi face un neam mare și
GEN.12.3	 Și voi binecuvânta pe cei ce te binecuvântează și voi blestema pe cel ce te va blestema; și toate familiile pământului vor fi
GEN.12.4	Și Avram a plecat, cum îi zisese Domnul. Și Lot a mers cu el. Și Avram era de șaptezeci și cinci de ani când a ieșit din Haran. 
GEN.12.5	Și Avram a luat pe Sarai, nevasta sa, și pe Lot, fiul fratelui său, și toate averile lor pe care le agonisiseră și
GEN.12.6	Și Avram a
GEN.12.7	 Și Domnul s‐a arătat lui Avram și a zis
GEN.12.8	Și de acolo a trecut la muntele dinspre răsărit de Betel și și‐a întins cortul având Betelul spre apus și Ai spre răsărit; și acolo a zidit un altar Domnului și
GEN.12.9	Și Avram a plecat
GEN.12.10	Și a fost o
GEN.12.11	Și a fost 
GEN.12.12	Și va fi 
GEN.12.13	 Spune, te rog, că ești sora mea ca să‐mi fie bine pentru tine și să‐mi trăiască sufletul din pricina ta. 
GEN.12.14	Și a fost 
GEN.12.15	Și căpeteniile lui Faraon au văzut‐o și au lăudat‐o la Faraon; și femeia a fost luată
GEN.12.16	Și el s‐a
GEN.12.17	Și Domnul a
GEN.12.18	Și Faraon a chemat pe Avram și a zis: Ce mi‐ai făcut? Pentru ce nu
GEN.12.19	Pentru ce ai zis: Este sora mea! așa că mi‐am luat‐o de nevastă? Și acum iată‐ți nevasta! Ia‐o și du‐te! 
GEN.12.20	Și Faraon
GEN.13.1	Și Avram s‐a suit din Egipt
GEN.13.2	 Și Avram era foarte avut în vite, în argint și în aur. 
GEN.13.3	Și a mers în călătoriile sale
GEN.13.4	la
GEN.13.5	Dar și Lot care mergea cu Avram avea oi și boi și corturi. 
GEN.13.6	Și
GEN.13.7	Și a fost
GEN.13.8	Și Avram a zis lui Lot
GEN.13.9	 Nu este oare toată țara înaintea ta? Desparte‐te, rogu‐te, de mine
GEN.13.10	Și Lot și‐a ridicat ochii și a văzut toată
GEN.13.11	Și Lot și‐a ales toată Câmpia Iordanului și Lot a plecat spre răsărit. Și s‐au despărțit unul de altul. 
GEN.13.12	Avram a locuit în țara Canaan și Lot
GEN.13.13	Și oamenii din Sodoma erau
GEN.13.14	Și Domnul a zis lui Avram după ce
GEN.13.15	Căci toată țara pe care o vezi o voi da
GEN.13.16	Și
GEN.13.17	Scoală‐te, străbate țara în lungul și în latul ei, căci ție ți‐o voi da. 
GEN.13.18	Și Avram și‐a mutat cortul și a venit și a
GEN.14.1	Și a fost 
GEN.14.2	ei au făcut război cu Bera, împăratul Sodomei, și cu Birșa, împăratul Gomorei, cu Șineab, împăratul
GEN.14.3	Toți aceștia s‐au unit împreună în valea Sidim
GEN.14.4	Slujiseră doisprezece ani
GEN.14.5	Și în anul al patrusprezecelea Chedorlaomer și împărații care erau cu el au venit și au bătut pe
GEN.14.6	 și pe Horiți în muntele lor Seir până la El‐Paran care este lângă pustie. 
GEN.14.7	Și s‐au întors și au venit la En‐Mișpat, care este Cades, și au bătut toată câmpia Amaleciților precum și pe Amoriți, care locuiau în
GEN.14.8	Și împăratul Sodomei și împăratul Gomorei și împăratul Admei și împăratul Țeboimului și împăratul Belei, adică Țoarului, au ieșit și s‐au așezat de bătaie împotriva lor în valea Sidim: 
GEN.14.9	împotriva lui Chedorlaomer, împăratul Elamului, și lui Tideal, împăratul Goimului, și lui Amrafel, împăratul Șinearului, și lui Arioc, împăratul Elasarului: patru împărați împotriva a cinci. 
GEN.14.10	Și valea Sidim era plină cu
GEN.14.11	Și au luat
GEN.14.12	Și au luat pe Lot, fiul
