GEN.1.1	La început, Dumnezeu
GEN.4.17	Cain a cunoscut‑o pe soția sa, iar ea a rămas însărcinată și l‑a născut pe Enoh. Cain a construit o cetate și i‑a pus numele Enoh, după numele fiului său. 
GEN.4.18	Lui Enoh i s‑a născut Irad, iar Irad a fost tatăl
GEN.4.19	Lameh și‑a luat două soții. Numele celei dintâi era Ada, iar numele celei de‑a doua era Țila. 
GEN.4.20	Ada l‑a născut pe Iabal. El a fost tatăl celor care locuiesc în corturi și au turme. 
GEN.4.21	Numele fratelui său era Iubal. El a fost tatăl tuturor celor care cântă cu lira și cu fluierul. 
GEN.4.22	Țila l‑a născut pe Tubal-Cain, cel care a făurit tot felul de unelte din bronz și fier
GEN.4.23	Lameh le‑a zis soțiilor sale:
GEN.4.23	„Ada și Țila, ascultați‑mi glasul!
GEN.4.23	Soții ale lui Lameh, luați aminte la cuvântarea mea!
GEN.4.23	Căci am ucis
GEN.4.23	și un tânăr pentru vânătaia
GEN.4.24	Dacă de șapte ori va fi răzbunat Cain,
GEN.4.24	Lameh 
GEN.4.25	Adam a cunoscut‑o din nou pe soția sa. Aceasta a născut un fiu căruia i‑a pus numele Set
GEN.4.26	Lui Set i s‑a născut un fiu căruia i‑a pus numele Enoș
GEN.5.1	Aceasta este cartea istoriei
GEN.5.2	I‑a creat bărbat și femeie. În ziua în care i‑a creat, i‑a binecuvântat și le‑a pus numele de „om
GEN.5.3	La vârsta de o sută treizeci de ani, lui Adam i s‑a născut un fiu după asemănarea sa, după chipul său, iar el i‑a pus numele Set. 
GEN.5.4	După nașterea lui Set, Adam a mai trăit opt sute de ani și i s‑au mai născut fii și fiice. 
GEN.5.5	Astfel, toate zilele pe care le‑a trăit Adam au fost nouă sute treizeci de ani; apoi a murit.
GEN.5.6	La vârsta de o sută cinci ani, lui Set i s‑a născut Enoș. 
GEN.5.7	După nașterea lui Enoș, Set a mai trăit opt sute șapte ani și i s‑au mai născut fii și fiice. 
GEN.5.8	Astfel, toate zilele lui Set au fost nouă sute doisprezece ani; apoi a murit.
GEN.5.9	La vârsta de nouăzeci de ani, lui Enoș i s‑a născut Chenan. 
GEN.5.10	După nașterea lui Chenan, Enoș a mai trăit opt sute cincisprezece ani și i s‑au mai născut fii și fiice. 
GEN.5.11	Astfel, toate zilele lui Enoș au fost nouă sute cinci ani; apoi a murit.
GEN.5.12	La vârsta de șaptezeci de ani, lui Chenan i s‑a născut Mahalalel. 
GEN.5.13	După nașterea lui Mahalalel, Chenan a mai trăit opt sute patruzeci de ani și i s‑au mai născut fii și fiice. 
GEN.5.14	Astfel, toate zilele lui Chenan au fost nouă sute zece ani; apoi a murit.
GEN.5.15	La vârsta de șaizeci și cinci de ani, lui Mahalalel i s‑a născut Iared. 
GEN.5.16	După nașterea lui Iared, Mahalalel a mai trăit opt sute treizeci de ani și i s‑au mai născut fii și fiice. 
GEN.5.17	Astfel, toate zilele lui Mahalalel au fost opt sute nouăzeci și cinci de ani; apoi a murit.
GEN.5.18	La vârsta de o sută șaizeci și doi de ani, lui Iared i s‑a născut Enoh. 
GEN.5.19	După nașterea lui Enoh, Iared a mai trăit opt sute de ani și i s‑au mai născut fii și fiice. 
GEN.5.20	Astfel, toate zilele lui Iared au fost nouă sute șaizeci și doi de ani; apoi a murit.
GEN.5.21	La vârsta de șaizeci și cinci de ani, lui Enoh i s‑a născut Metușelah. 
GEN.5.22	După nașterea lui Metușelah, Enoh a umblat cu Dumnezeu trei sute de ani și i s‑au mai născut fii și fiice. 
GEN.5.23	Astfel, toate zilele lui Enoh au fost de trei sute șaizeci și cinci de ani. 
GEN.5.24	Enoh a umblat cu Dumnezeu. Apoi n‑a mai fost 
GEN.5.25	La vârsta de o sută optzeci și șapte de ani, lui Metușelah i s‑a născut Lameh. 
GEN.5.26	După nașterea lui Lameh, Metușelah a mai trăit șapte sute optzeci și doi de ani și i s‑au mai născut fii și fiice. 
GEN.5.27	Astfel, toate zilele lui Metușelah au fost nouă sute șaizeci și nouă de ani; apoi a murit.
GEN.5.28	La vârsta de o sută optzeci și doi de ani, lui Lameh i s‑a născut un fiu 
GEN.5.29	căruia i‑a pus numele Noe
GEN.5.30	După nașterea lui Noe, Lameh a mai trăit cinci sute nouăzeci și cinci de ani și i s‑au mai născut fii și fiice. 
GEN.5.31	Astfel, toate zilele lui Lameh au fost șapte sute șaptezeci și șapte de ani; apoi a murit.
GEN.5.32	La vârsta de cinci sute de ani, lui Noe i s‑au născut Sem, Ham și Iafet.
GEN.6.1	Când oamenii au început să se înmulțească pe fața pământului și li s‑au născut fiice, 
GEN.6.2	fiii lui Dumnezeu au văzut că fiicele oamenilor erau frumoase și și‑au luat soții dintre toate acelea pe care le‑au ales. 
GEN.6.3	Atunci 
GEN.6.4	Uriașii
GEN.6.6	 I‑a părut rău că l‑a făcut pe om pe pământ și S‑a întristat în inima Lui. 
GEN.6.7	 a zis: „Îl voi șterge de pe fața pământului pe omul pe care l‑am creat, de la om până la vite, până la târâtoare
GEN.6.8	Dar Noe a găsit bunăvoință înaintea
GEN.6.9	Aceasta este istoria
GEN.6.10	Lui Noe i s‑au născut trei fii: Sem, Ham și Iafet.
GEN.6.11	Pământul era pervertit înaintea lui Dumnezeu și plin de violență. 
GEN.6.12	Dumnezeu S‑a uitat spre pământ și iată că acesta era pervertit, căci orice făptură
GEN.6.13	Dumnezeu i‑a zis lui Noe: „Sfârșitul oricărei făpturi este 
GEN.6.14	Fă‑ți o arcă din lemn de gofer
GEN.6.15	Să o faci astfel: lungimea arcei să fie de trei sute de coți, lățimea – de cincizeci, iar înălțimea – de treizeci
GEN.6.16	Să faci pentru arcă un acoperiș
GEN.6.17	Iată că Eu voi aduce un potop de apă pe pământ, ca să distrug orice făptură de sub ceruri, care are suflare de viață în ea. Și tot ce este pe pământ va pieri. 
GEN.6.18	Dar voi încheia legământul Meu cu tine, iar tu vei intra în arcă împreună cu fiii tăi, cu soția ta și cu soțiile fiilor tăi. 
GEN.6.19	Din tot ce este viu, din orice făptură, să aduci în arcă două din fiecare, ca să le ții în viață împreună cu tine. Ele să fie un mascul și o femelă. 
GEN.6.20	Să vină la tine înăuntru, ca să le ții în viață, câte două din fiecare fel de păsări, din fiecare fel de vite și din orice târâtoare a pământului, după felul ei. 
GEN.6.21	Iar tu, ia cu tine din fiecare fel de hrană care se poate mânca și depoziteaz‑o. Aceasta va fi hrana ta și a lor.“ 
GEN.6.22	Noe a făcut totul așa cum i‑a poruncit Dumnezeu; așa a făcut.
GEN.7.1	Apoi 
GEN.7.2	De asemenea, ia cu tine șapte perechi din toate animalele curate, mascul și femelă, și câte o pereche din animalele necurate, mascul și femelă. 
GEN.7.3	Ia câte șapte perechi din păsările cerului, mascul și femelă, ca să le păstrezi vie sămânța pe fața întregului pământ, 
GEN.7.4	pentru că, peste șapte zile, voi trimite ploaie pe pământ timp de patruzeci de zile și patruzeci de nopți și voi șterge de pe fața pământului toate viețuitoarele pe care le‑am făcut.“ 
GEN.7.5	Noe a făcut totul așa cum i‑a poruncit 
GEN.7.6	Noe avea șase sute de ani când au venit apele potopului pe pământ. 
GEN.7.7	Noe a intrat în arcă împreună cu fiii săi, cu soția sa și cu soțiile fiilor săi, din cauza apelor potopului. 
GEN.7.8	Dintre animalele curate și dintre animalele care nu sunt curate, dintre păsări și orice se târăște pe pământ
GEN.7.9	au intrat în arca lui Noe două câte două, mascul și femelă, așa cum i‑a poruncit Dumnezeu lui Noe. 
GEN.7.10	După șapte zile, au venit pe pământ apele potopului. 
GEN.7.11	În al șase sutelea an al vieții lui Noe, în luna a doua, în a șaptesprezecea zi a lunii, în ziua aceea, au țâșnit toate izvoarele marelui adânc și s‑au deschis stăvilarele cerului. 
GEN.7.12	Ploaia a căzut pe pământ timp de patruzeci de zile și patruzeci de nopți.
GEN.7.13	Noe, fiii săi, Sem, Ham și Iafet, soția sa, precum și cele trei soții ale fiilor săi au intrat în arcă în aceeași zi, 
GEN.7.14	ei și orice vietate, după felul ei, orice vită, după felul ei, orice animal care se târăște pe pământ, după felul lui, și orice pasăre, după felul ei – orice zburătoare, orice înaripată. 
GEN.7.15	Au venit la Noe în arcă, două câte două, din orice făptură care are suflare de viață în ea. 
GEN.7.16	Cele ce au venit erau mascul și femelă din orice făptură. Ele au intrat 
GEN.7.17	Potopul a ținut patruzeci de zile pe pământ. Apele au crescut și au înălțat arca, iar ea s‑a ridicat cu mult deasupra pământului. 
GEN.7.18	Apele s‑au ridicat și au crescut mult pe pământ, iar arca plutea deasupra apelor. 
GEN.7.19	Apele s‑au ridicat așa de mult pe pământ, încât toți munții înalți de sub cerul întreg au fost acoperiți. 
GEN.7.20	Apele s‑au ridicat deasupra munților cu cincisprezece coți
GEN.7.21	Orice făptură care se mișca pe pământ a pierit: păsări, vite, vietăți, orice animal care mișună pe pământ și orice om. 
GEN.7.22	Tot ceea ce avea în nări suflare de duh de viață, din tot ce era pe uscat, a murit. 
GEN.7.23	El a șters toate viețuitoarele care erau pe fața pământului, de la om până la vite, târâtoare și păsări ale cerului. Ele au fost șterse de pe pământ. Numai Noe a fost lăsat, precum și cei care erau cu el în arcă. 
GEN.7.24	Apele au fost mari pe pământ o sută cincizeci de zile.
GEN.8.1	Dumnezeu Și‑a adus aminte
GEN.8.2	Izvoarele adâncului și stăvilarele cerului au fost închise, iar ploaia din cer a fost oprită. 
GEN.8.3	Apele au început să se retragă de pe pământ. La sfârșitul celor o sută cincizeci de zile, ele au scăzut, 
GEN.8.4	iar în luna a șaptea, în a șaptesprezecea zi a lunii, arca s‑a oprit pe munții Ararat. 
GEN.8.5	Apele au continuat să scadă până în luna a zecea, iar în ziua întâi a lunii a zecea, s‑au văzut vârfurile munților.
GEN.8.6	După patruzeci de zile,
GEN.8.7	și a trimis afară un corb, care a ieșit, ducându‑se și întorcându‑se, până când apele de pe pământ au secat. 
GEN.8.8	Apoi a trimis un porumbel ca să vadă dacă apele de pe suprafața pământului au scăzut. 
GEN.8.9	Dar porumbelul n‑a găsit niciun loc de odihnă pentru talpa piciorului său și s‑a întors la Noe în corabie, căci încă mai era apă pe suprafața întregului pământ. Noe și‑a întins mâna, l‑a luat și l‑a adus la el în arcă. 
GEN.8.10	A mai așteptat alte șapte zile și a trimis iarăși porumbelul afară din arcă. 
GEN.8.11	Porumbelul s‑a întors la el seara și iată că în ciocul lui avea o frunză de măslin ruptă de curând. Noe a înțeles că apele de pe pământ scăzuseră. 
GEN.8.12	A mai așteptat alte șapte zile și a trimis iarăși porumbelul, dar acesta nu s‑a mai întors la el.
GEN.8.13	În anul șase sute unu
GEN.8.14	În a douăzeci și șaptea zi a lunii a doua, pământul era uscat.
GEN.8.15	Atunci Dumnezeu i‑a vorbit lui Noe, zicând: 
GEN.8.16	„Ieși din arcă, tu, împreună cu soția ta, cu fiii tăi și cu soțiile acestora. 
GEN.8.17	Scoate afară toate vietățile, de orice fel, care sunt cu tine – păsări, animale
GEN.8.18	Astfel, Noe a ieșit 
GEN.8.19	De asemenea, orice vietate, orice târâtoare și orice pasăre, tot ce mișună pe pământ, potrivit familiilor lor, au ieșit și ele din arcă.
GEN.8.20	Atunci Noe a zidit un altar 
GEN.8.21	 a simțit aroma plăcută și a zis în inima Lui: „Nu voi mai blestema niciodată pământul din cauza omului, căci
GEN.8.22	Atât timp cât va fi pământul, nu vor înceta
GEN.8.22	semănatul și seceratul,
GEN.8.22	frigul și căldura,
GEN.8.22	vara și iarna,
GEN.8.22	ziua și noaptea.“
GEN.9.1	Dumnezeu i‑a binecuvântat pe Noe și pe fiii săi și le‑a zis: „Fiți roditori, înmulțiți‑vă și umpleți pământul! 
GEN.9.2	Teama și spaima de voi va fi peste orice vietate de pe pământ, peste orice pasăre a cerului, peste orice se târăște pe pământ și peste toți peștii mării. Ele v‑au fost date în mâinile voastre. 
GEN.9.3	Tot ce se mișcă și are viață vă va fi hrană. Așa cum 
GEN.9.4	Numai să nu mâncați carne cu viața ei, adică sângele ei.
GEN.9.5	Căci, cu siguranță, voi cere înapoi sângele vieții voastre. Îl voi cere de la orice vietate. Și voi cere viața omului din mâna omului, din mâna fiecărui frate al său.
GEN.9.6	Celui ce varsă sângele omului,
GEN.9.6	de om sângele‑i va fi vărsat;
GEN.9.6	căci după chipul lui Dumnezeu
GEN.9.6	l‑a făcut El pe om.
GEN.9.7	Iar voi, fiți roditori și înmulțiți‑vă. Răspândiți‑vă pe pământ și înmulțiți‑vă pe el.“
GEN.9.8	Apoi Dumnezeu le‑a vorbit lui Noe și fiilor lui, care erau cu el, zicând: 
GEN.9.9	„Iată, Eu închei legământul Meu cu voi, cu sămânța
GEN.9.10	și cu orice ființă vie care este cu voi – păsări, vite și orice vietate a pământului care este cu voi, toate cele care au ieșit din arcă – cu orice vietate a pământului. 
GEN.9.11	Închei legământul Meu cu voi: nu va mai fi nimicită orice făptură de apele unui potop și nu va mai fi un potop ca să distrugă pământul.“
GEN.9.12	Dumnezeu a zis: „Acesta este semnul legământului pe care‑l fac între Mine și voi și orice ființă vie care este cu voi, de‑a lungul generațiilor viitoare: 
GEN.9.13	voi pune în nori curcubeul Meu, și el va fi semnul legământului dintre Mine și pământ. 
GEN.9.14	Când voi aduce nori peste pământ, iar curcubeul se va vedea în nori, 
GEN.9.15	Îmi voi aminti de legământul Meu cu voi și cu orice ființă vie, de orice trup. Și apele nu vor mai deveni potop, ca să distrugă orice făptură. 
GEN.9.16	Când curcubeul va fi în nori, îl voi vedea și Îmi voi aminti de legământul veșnic dintre Dumnezeu și orice ființă vie, de orice trup, care este pe pământ.“ 
GEN.9.17	Dumnezeu i‑a zis lui Noe: „Acesta este semnul legământului pe care l‑am încheiat între Mine și orice făptură care este pe pământ.“
GEN.9.18	Fiii lui Noe, care au ieșit din arcă, au fost: Sem, Ham și Iafet. Ham a fost tatăl lui Canaan. 
GEN.9.19	Aceștia trei au fost fiii lui Noe și din ei s‑au răspândit 
GEN.9.20	Noe, om al pământului, a început să planteze o vie.
GEN.9.21	El a băut vin, s‑a îmbătat și s‑a dezbrăcat în cortul său. 
GEN.9.22	Ham, tatăl lui Canaan, a văzut goliciunea tatălui său și le‑a spus celor doi frați ai săi de afară. 
GEN.9.23	Dar Sem și Iafet au luat o haină, și‑au pus‑o pe umeri, au intrat 
GEN.9.24	Când Noe s‑a trezit din beție și a aflat ce i‑a făcut fiul său cel mai tânăr, 
GEN.9.25	a zis:
GEN.9.25	„Blestemat 
GEN.9.25	Să fie robul robilor,
GEN.9.25	față de frații săi.“
GEN.9.26	Apoi a zis:
GEN.9.26	„Binecuvântat 
GEN.9.26	iar Canaan să‑i fie rob.
GEN.9.27	Fie ca Dumnezeu să mărească teritoriul lui Iafet
GEN.9.27	el să locuiască în corturile lui Sem,
GEN.9.27	iar Canaan să‑i fie rob.“
GEN.9.28	După potop Noe a mai trăit trei sute cincizeci de ani. 
GEN.9.29	Astfel, Noe a trăit în total nouă sute cincizeci de ani; apoi a murit.
GEN.10.1	Aceasta este istoria
GEN.10.2	Fiii
GEN.10.3	Fiii lui Gomer 
GEN.10.4	Fiii lui Iavan 
GEN.10.5	Din aceștia s‑au răspândit în ținuturile lor neamurile de pe coastă
GEN.10.6	Fiii lui Ham 
GEN.10.7	Fiii lui Cuș 
GEN.10.7	Fiii lui Rama 
GEN.10.8	Lui Cuș i s‑a născut Nimrod. Acesta a început să fie un om viteaz pe pământ. 
GEN.10.9	El a fost un vânător viteaz înaintea 
GEN.10.10	El a domnit la început peste Babel, Erec, Akkad și Calne, în țara Șinar
GEN.10.11	Din acea țară, el s‑a dus în Așur
GEN.10.12	și Resen, 
GEN.10.13	Din Mițrayim provin ludiții, anamiții, lehabiții, naftuhiții,
GEN.10.14	patrusiții, casluhiții și caftoriții; din casluhiți provin filistenii.
GEN.10.15	Lui Canaan i s‑a născut Sidon, întâiul său născut, și Het;
GEN.10.17	hiviții, archiții, siniții,
GEN.10.18	arvadiții, țemariții și hamatiții.
GEN.10.18	După aceea, clanurile canaaniților s‑au răspândit, 
GEN.10.19	iar hotarele lor se întindeau de la Sidon spre Gherar, până la Gaza și apoi spre Sodoma, Gomora, Adma și Țeboim, până la Lașa.
GEN.10.20	Aceștia 
GEN.10.21	I s‑au născut fii și lui Sem, fratele mai mare al lui Iafet. Sem a fost tatăl tuturor fiilor lui Eber.
GEN.10.22	Fiii lui Sem 
GEN.10.23	Fiii lui Aram 
GEN.10.24	Lui Arpahșad i s‑a născut Șelah,
GEN.10.24	iar lui Șelah i s‑a născut Eber.
GEN.10.25	Lui Eber i s‑au născut doi fii: numele unuia era Peleg
GEN.10.26	Lui Ioktan i s‑au născut Almodad, Șelef, Hațar-Mavet, Iarah,
GEN.10.27	Hadoram, Uzal, Dikla,
GEN.10.28	Obal, Abimael, Șeba,
GEN.10.29	Ofir, Havila și Iobab. Toți aceștia 
GEN.10.30	Regiunea în care locuiau se întindea de la Meșa spre Sefar, muntele de la răsărit.
GEN.10.31	Aceștia 
GEN.10.32	Acestea 
GEN.11.1	Tot pământul avea o singură limbă și aceleași cuvinte. 
