MAT.1.1	Mukanda wa kibuti kia Yesu Klisto, muana wa Davidi, muana wa Abalahama.
MAT.6.5	Nu ndi ukusega Kalaga, ntube anga bengelezi; kubuno babo bekuelama kusega Kalaga nti bemana mu numba za musanganano nu mu ndenge za nzila buno bamonekeko na bantu. Lebelebe, nkumubula bune, Babo bakasilue lukalilo luabo. 
MAT.6.6	Tondo, ndi ukusega ku Kalaga, nti wingila mu numba zobe nu nti wasega ku lumbisombiso, nu nti wigala luibi, nu nti wasega Soinyue uli mu lumbisombiso, nu Soinyue ukumona mu lumbisombiso; akukase lukalilo lusoga. 
MAT.6.7	Tondo, ndi mukusega ku Kalaga, tamulalukela­luke anga bukukitaga baBilongo; babo bakukengelaga bune, Bamenyue ku kutendatenda kuabo. 
MAT.6.8	Umpanga tamube anga babo; kubuno Soinyue eizi bimukuiyanina kungua tamumusega. 
MAT.6.9	Segazi ku Kalaga anga bubuno; Tateisue uli muigulu izina liobe liganunue. 
MAT.6.10	Bukota buobe buvue, kusombola kuobe kukitue ku kisi anga bukukukitua muigulu. 
MAT.6.11	Tukase lelo idia lietu. 
MAT.6.12	Tusigilile misako za buagi bueitu anga butukusigililaga bekutua­gilaga, 
MAT.6.13	aba ntutuenzie ku malindiko, tondo tonie ku wozo mubi, kubuno uli na bukota, nu magala, nu lutanuno, aba ku nkiko zitana­kuzinda. 
MAT.6.14	Kubuno ndi mukusigilila bantu misako za buagi buabo, nti Soinyue nuwe uli muigulu amusigilile misako za buagi bueinyu. 
MAT.6.15	Tondo ndi tamukusigilila bantu misako za buagi buabo, nu Soinyue nuwe ntakamusigilila misako za buagi bueinyu.
MAT.6.16	Lingo ndi tamulia, tamube anga bengelezi bekukandaga malanga; buno bantu babamenye buno batakulia. Lebelebe, nku­mubula bune, Bakasilue lukalilo luabo. 
MAT.6.17	Tondo uwe ndi ntu­kulia, ibongie muambo kuitoe, nu nti woga ku meiso; 
MAT.6.18	tondo ndi ntukulia, ntumenyue na bantu; tondo Soinyue ukumona mu lumbisombiso akukase lukalilo lusoga.
MAT.6.19	Tamuibikile bikagi ku kisi, kuli kagembe nu nkisa kubibigia, gena gakuita beibi buno beibe; 
MAT.6.20	tondo ibikilazi bikagi bienyu muigulu, kuteli kagembe nu nkisa kubibigia, nu lingo gatanavuama kuita beibi buno beibe; 
MAT.6.21	kubuno gago geli kikagi kiobe, ugago gakaba mutima wobe. 
MAT.6.22	Kasuku ka mubili keli liso: tondo ndi liso liobe lili isoga, mubili wobe unsania nti uli na kiengi. 
MAT.6.23	Tondo ndi liso liobe lili ibi, mubili wobe unsania nti uli na kapilo. Ndi kikio kiengi kili muguli kise kapilo; nti keli kapilo nunse. 
MAT.6.24	Takuli muntu unavuama kukambila bakota babili: embe nti asombe umozi, nu nti atunde ungo; embe anze umozi, nu abenge ungo. Tamunavuama kukambila Kalaga nu bikulo. 
MAT.6.25	Kubuno nkumubula bune, Tamulemanine mu kalamo keinyu, buno tualie kikizi? aba tuanue kikizi? aba ku mubili weinyu, buno tuavuale kikizi? Ndi kalamo takatinga idia, nu ndi mubili tawatinga nsulu? 
MAT.6.26	Lolazi ku tuzoni tua mu mpelela, tatukuyika aba tatukutubula mbuto, aba tatukukundamania mu bigenge, tondo Soinyue wa muigulu ekutulisagia. Inyue tamuatinga tuzoni ku busoga? 
MAT.6.27	Nazi wa kumuli unalemanina kuitalikila ingo nkiko mu kalamo kage? 
MAT.6.28	Buni bumukulemanina nsulu? Kengelazi lukita lua maluba ma mu masoa, lukita lumakuasa; tamakukita mulimo, aba tama­kulukaga; 
MAT.6.29	tondo nkumubula bune, aba Solomo mu lutanuno luage lunsania ntavualikizibue anga busoga bua limozi lia mamo? 
MAT.6.30	Tondo ndi Kalaga ekuvualikia bisugu bia masoa, biligo lelo, nu lubi bikutebua mu ngulumina za keiya; ndi ntakamuvualikia inyue beli basosu mu bukatizio bueinyu. 
MAT.6.31	Tamulemanine nu tamu­tende bune, Tualie kikizi? aba, Tuanue kikizi? aba, Tuavuale kikizi? 
MAT.6.32	Kubuno baBilongo bekulondaga bibino binsania; tondo Soinyue wa muigulu eizi binsania bimukuiyanina. 
MAT.6.33	Tondo londazi tanga bukota bua Kalaga, nu kuisanana kuage; nu muatalikilue binsania. 
MAT.6.34	Umpanga tamulemanine bia lubi, kubuno busi bua lubi buidemanine bubuenyene. Bubi buabo buasuage kubo.
MAT.7.1	Tamusungie, buno munavua kusungibua. 
MAT.7.2	Kubuno lusungio lulo lumukusungia, ululo lumukasungibua; nu kulindika kumukulindika, ukuko kumukalindikua. 
MAT.7.3	Nuwe, buni bukulola kikolokolo kili mu liso lia munyobe tondo ntukumona ku lubabu luli mu liso liobe? 
MAT.7.4	Buni bunavuama kutenda ku munyobe bune, Munane, vua tanga nkutikie kikolokolo kili mu liso liobe, nuwe uli na lubabu lunene mu liso liobe? 
MAT.7.5	Uwe muengelezi, tikia tanga lubabu luli mu liso liobe; nti ubunavuama kutikia kikolokolo kili mu liso lia munyobe.
MAT.7.6	Tamukase mboa kikio kiasuaga, aba tamuise busanga bueinyu bua bukunza bubibu gakutinga ngulube, zinavua kubunyanta na magulu mazo, nu gazabunyante nti zabuata.
MAT.7.7	Segazi, nu nti muakasue; londazi, nu nti muamone; koko­monazi, nu nti muigulilue. 
MAT.7.8	Kubuno unsania ukusega, nti akasue; nuwe ukulonda, nti amone; nuwe ukukokomona, nti igulilue. 
MAT.7.9	Nazi wa kumuli, unasegua na muana wage kampampa, nu nti amukasa ikozi? 
MAT.7.10	Aba ndi ekumusega kiena ndi nti amukase nzoka? 
MAT.7.11	Kubuno ndi inyue, bantu babi, muizi kukasa bana beinyu bisoga, embe Soinyue lino uli muigulu ndi ntanamenya kubakasa bisoga babo bakumusega? 
MAT.7.12	Umpanga bubo bumuku­tunda bango bantu kumukitila, ububo nuinyue bumubakitila; kubuno bubo u mulembe nu bulengania.
MAT.7.13	Ingilazi ku muingilo wabumbutana: kubuno kuli ungo muingilo wa tanuka, nzila zago zenda ku kuzimina, nu beingi bekuingilaga mugo. 
MAT.7.14	Kubuno wozo muingilo uli wabumbutana, nu kuzinda kua nzila zago kuli kalamo, nu bekukamona tabeli beingi.
MAT.7.15	Nikumutonda bune, Kukavua balengania ba buza beingi, bantu bakavua ku lukita lua nsulu za mikoko, tondo munda muabo muli anga mboa nkali za lubanda. 
MAT.7.16	Mukabamenya ku biguma biabo. Ndi bantu bekukola biguma ku mikele? Aba figi ku binke­lenkele? 
MAT.7.17	Bubo muti unsania musoga ukukolama biguma bisoga; nu muti mubi ukukolama biguma bibi. 
MAT.7.18	Tondo muti musoga tagunakolama biguma bibi; aba muti mubi kukolama biguma bisoga. 
MAT.7.19	Muti unsania utakolama biguma bisoga nti wasesue, nu nti weisoe mu keiya. 
MAT.7.20	Bubo mukabamenya ku biguma biabo. 
MAT.7.21	Ta na muntu na muntu ukumbula buno, Mukota, Mukota, ukengila mu bukota bua meigulu, tugu wozo ukukita kusombola kua Tatane uli muigulu. 
MAT.7.22	Beingi bakambula ku busi bubo buno, Mukota, Mukota, ndi tatualenganizie muizina liobe? nu ndi tatua­bingaga basumbu kuizina liobe, nu ndi tatuakitaga migeleko mingi kuizina liobe? 
MAT.7.23	Nu nkababula bune, Nsiamumenyine nunse: tukazi, bakiti ba bubi.
MAT.7.24	Muntu unsania ukunguaga ku malagi mane mamano, nu kumanza, akalingimanibua na muntu wa menge, wobakile numba zage ga luanda; 
MAT.7.25	mbula zitikide, muiyalo wavule, nu kisoa kitile, nu kidibuide ku zezo numba; nu tazaguide: kubuno mango mazo mabezaga ga luanda. 
