MAT.1.1	Niján jíri linébaanfaangu Jesucrístu le jádaangiñebei meja ladǘgawagun Davíd lúma Abrahám.
MAT.2.5	—Belén, le lumúanrugubei Judéa, ladǘga ítara líña labǘrüdüni proféta.
MAT.2.6	Amǘrü Belén, lumúanruguna Judéa,
MAT.2.6	amǘrü ában lídaangiñe ubúrugu weírigutimaati lídan múa le, láu sun biñǘraü,
MAT.2.6	ladǘga láfuriduba ában ábuti bídaangiñe
MAT.2.6	le lúnbei loúnigiruniña numútuniña ja Israelítagu.
MAT.2.7	Ábati lagúarun Heródes joun chu táu arámudaguarügü, ába lálügüdüniña luágutima dan le tarúfudaguagüle warúguma túngua joun. 
MAT.2.8	Ábati loúnajaniña Belén, laríñaga joun.
MAT.2.8	—Jeíba, ábame jáluajani irájü le buídu, dánme le darí jumaali, jawísaraname, ñǘdün námuga gíñe ájuduragua lun.
MAT.2.9	Lárigiñe jagáambuni chu táu lerérun urúei, ába joúdin. Warúguma bugáti to jaríjuboun le ñígiñe lubeí láfuara wéyu, ába tídin jabá jabá, darí taráramun loúgiñe fulásu le ñí lubei irájü le. 
MAT.2.10	Dan le jaríjinun chu táu ja warúguma, ába jagúndaaragun sarágu. 
MAT.2.11	Dánti le jebélurun tídoun múna, ába jaríjini irájü le túma lúguchu to María. Ábati jájuduragun, ába jabúluchagun lun. Ába jánjunrenchunun jagáfun, ába jedéweejan gólu lúma cupáli jémeti lun, lúma ában luwúyeri árani gífiti. 
MAT.2.12	Lárigiñe, ába jawísarúniwa lídan jawénedi lun magíribudun jamá ñígiñe lubeí Heródes, ába jagíribudun jageíroun lídaangiñe ámu ǘma.
MAT.2.13	Lárigiñe joúdin chu táu jagía, ába larúfudagun ába láni Búngiu ánjeli lúngua lun José lídan luwénedi, ába laríñagun lun.
MAT.2.13	—Sarába, barǘbei irájü le táu sun lúguchu, anúrabá Ejíptoun, ábame beréderun ñi daríme nawísarunibu, ladǘga láluajaali Heródes irájü le lun láfaruni jilágubei.
MAT.2.14	Ábati lásaarun José, ába lanǘgüni irájü táu sun lúguchu áriebu ligía, ába lídin jáu Ejíptoun. 
MAT.2.15	Ába jeréderun ñi darí loúnwen Heródes. Lasúseredunbei sun le lun lagúnfulirun le laríñagubei Búngiu liyúmulugugiñe proféta. “Sagá numuti Niraǘ Ejíptogiñe.”
MAT.2.16	Dan le ladáriragun Heródes lúngua luágu yéegua jamá lan chu táu, ába lagáñidun, ába loúnajan áfaraguaña sun irájüñü ja biáma tíña irúmu jáu lun ǘnabun, ja aganoúbaña Belén lúma sun fulásu geyégua láu, según dan le jaríñagubei chu táu luágu lagǘriajoúniwa irájü ligía. 
MAT.2.17	Ítara líña lagúnfulirun le labǘrüjabei proféta Jeremías.
MAT.2.18	Agaambúati lagúarajan ában umálali Ramá láu oúnwenbun igárigu,
MAT.2.18	umálali ligía tumálali Raquél, to ayájuboun járigi tirájüñü,
MAT.2.18	mabúseeruntu lun támalijoún ladǘga jilágua jamá.
MAT.2.19	Lárigiñe loúnwen Heródes, ába liábin ába láni Búngiu ánjeli lun José lídan luwénedi yágüta Ejípto, ába laríñagun lun.
MAT.2.20	—Sarába, barǘbei irájü le táu sun lúguchu, giríbu jumá jageíroun Israelítagu ladǘga jilágua ja abúseerubaña meja jáfaruni irájü le.
MAT.2.21	Ába lásaarun José, ába lanǘgüni irájü táu sun lúguchu jageíroun Israelítagu. 
MAT.2.22	Dan le lasúbudiruni José luágu Arqueláo lan agúmadijabei Judéa lewéñegua Heródes le lúguchi, ába lanúfudedun lídin ñíjin, ába laríñawagúniwa lun lídan uwénedi lun lídin Galiléoun. 
MAT.2.23	Lachǘlürün ñi, ába lídin agánawa lídan fulásu le gíribei Nazarét, le lumúanrugubei Galiléa. Lasúseredunbei sun cátei le lun lagúnfulirun le jaríñagubei profétagu luágu Nazarétna lan Jesúsu.
MAT.3.1	Lídoun dan ligía, ába liábin Juan le abásteragüdajabei apúrichija lídan fulásu mageírawati, Judéa, 
MAT.3.2	ába laríñagun lídan lapúrichijan.
MAT.3.2	—Sáansi jumeí joúserun, ladǘga yaráfaali larúeijan Búngiu.
MAT.3.3	Juan le, ligía le uágubei meja labǘrüja proféta Isaías ítara.
MAT.3.3	Agaambúati lumálali ában gürígia agúaraja lídan fulásu mageírawati ítara.
MAT.3.3	“Aráanse jumoún janígi lubá liábin Wabúreme,
MAT.3.3	queísi ladárarúniwa ǘma surúti.”
MAT.3.4	Lanáangun Juan, láutu lúra caméyu, liábin lagǘrüga liránaagua, guéru, chigángaru leígubaña lúma síruudu le áraabuna. 
MAT.3.5	Ábaja jayábin ubúrugugiñe Jerusalén, lúma Judéagiñe, lúma lubádugiñe dúna Jordán agáambei lapúrichijan, 
MAT.3.6	dántija le jagúfeseruni jafígoun, ába labásteragüdüniña lídan dúna le gíribei Jordán.
MAT.3.7	Dan le laríjin Juan luágu sarágu jáña lan gürígia lídaangiñetiña jadámurin fariséogu jáma saduséogu ñǘbintiña lun jabásterun, ába laríñagun joun.
MAT.3.7	—¡Jarásan jéwe jugúya le! ¿Ca awísarubadün lun janúrajan lueí lanárime afáyeiragülei luágu figoú le lúnbei liábin? 
MAT.3.8	Oúsera jumá buídu, arijúa lámuga furáangu luágu sáansigua lan ligáburi joúserun. 
MAT.3.9	Mapántajan jugúyame, aríñaga jídaangua. “Linébaanfaangu Abrahám wagía”, ladǘga naríñajare jun luágu gayára lan ladǘgün Búngiu linébaanfaangu Abrahám lídaangiñe dǘbü le. 
MAT.3.10	Madíseeli lagúnfulirun le laríñagubei Búngiu, luágu yaráfaali lan lidáani abeichúni luágu figoú, aráanseeru jaráwa lun lánchuajoún wéwe, áni sun wéwe le mabuídunti lin, chaǘnwati, ába lagudún. 
MAT.3.11	Áu, láu dúna nabásteragüdaün, arúfudei luágu sáansi jumáali lan ligáburi joúserun, ánjeinti le lúnbei liábin nárigi, labásteragüdübadün láu Sífiri Sándu, áni lafáyeiragüdübadün luágu figoú queísi láu wátu geméti. Gabáfuti nueí darí lun madǘna nan ni lun narágachunun ligeídin. 
MAT.3.12	Nújeinjaru lichóbulin lújaburugu, larúmadagüdübei türígu, ábame lanúadiruni lídaangiñe sagádi mábeijali. Ábame lareíduni türígu, ábame láguduni sagádi le mábeijali lídan wátu geméti le méñeguchadibei.
MAT.3.13	Dan le liábin Jesúsu Galiléagiñe, ába lachǘlürün luágun dúna le gíribei Jordán le ñí lubei Juan lun labásteragüdüni. 
MAT.3.14	Májati yebéti Juan labásteragüdüni, ába laríñagun lun Jesúsu.
MAT.3.14	—Nugúya lúnbei babásteragüdünina, ¿amǘrü lubeí ñǘbin nun lun nabásteragüdünibu?
MAT.3.15	Ába laríñagun Jesúsu lun.
MAT.3.15	—Ítara lúba guetó, ladǘga lúnti wadǘgüni le lubeíbei Búngiu.
MAT.3.15	Ába labásteragüdüni Juan Jesúsu, 
MAT.3.16	lárigiñe labásterun Jesúsu, ába láfuridun dúnarugugiñe. Sódini ába lánjunrenchagun siélu, ába laríjini Jesúsu Sífiri Sándu larárirun camá ában únjun liábin luágun. 
MAT.3.17	Ába lagaambún ába umálali siélugiñe le aríñagubei.
MAT.3.17	—Niraǘ le jínsiñebei nun le, le áubei oúnwenbun lan nugúndan.
MAT.4.1	Ába lanǘgüni Sífiri Sándu Jesúsu lídoun fulásu mageírawati lun loúchaguni Máfia.
MAT.4.2	Lárigiñe leréderun Jesúsu bián-wein wéyu lúma bián-wein áriebu meíginga, ába lalámachun. 
MAT.4.3	Ábati liábin Máfia lubádun, ába laríñagun lun lun loúchaguni.
MAT.4.3	—Ánjein liraǘ bubei Búngiu, salíguagüdabeí dǘbü le feínme.
MAT.4.4	Ába loúnabun Jesúsu.
MAT.4.4	—Taríñajare Lerérun Búngiu. “Mámarügübei táu fein labágarida gürígia, labágariduba gíñe láu sun dimúrei le laríñagubei Búngiu.”
MAT.4.5	Ábati lanǘgüni Máfia Jesúsu Jerusaléoun, ubúrugu le sándubei joun juríu, ába laweínragüdüni tábulugun témpulu, 
MAT.4.6	ába laríñagun lun.
MAT.4.6	—Ánjein liraǘ bubei Búngiu, chubába yágiñe lun ǘnabun, ladǘga taríñajare Lerérun Búngiu.
MAT.4.6	Laríñaguba Búngiu joun láni ánjeligu lun joúnigirunibu.
MAT.4.6	Janǘgübadibu jájaburugu lun machúgeragun lan bugúdi luágu dǘbü.
MAT.4.7	Ába loúnabuni Jesúsu.
MAT.4.7	—Aríñagatu gíñe Lerérun Búngiu. “Moúchaguabeí Babúreme Búngiu.”
MAT.4.8	Ába lanǘgüni Máfia Jesúsu luágun ában wǘbü íñuti, ába larúfuduni sun arúeijani le uboúagubei lun, lúma buri luweírigun, 
MAT.4.9	ába laríñagun lun.
MAT.4.9	—Níchugubei sun le bun ánjabu ájuduragua nun.
MAT.4.10	Ábati laríñagun Jesúsu lun.
MAT.4.10	—¡Beíba nueí, Máfia! ladǘga taríñajare Lerérun Búngiu. “Lúnrügüba Babúreme Búngiu bájuduragua, lúnrügüba gíñe besériwida.”
MAT.4.11	Ábati ladísedun Máfia lueí, ába jayábin ánjeligu esériwidei.
MAT.4.12	Dan le lagáambunbei Jesúsu luágu níjein lan Juan furísunrugu, ába lídin lárigoún Galiléoun. 
MAT.4.13	Merédeti Nazarét, ába lídin agánawa Capernaúm, ában fulásu le lárubei dúna lídan jageíra rása le Zabulón lúma Neftalí. 
MAT.4.14	Lasúseredunbei sun le lun lagúnfulirun le labǘrüjabeí meja Isaías, lé meja proféta.
MAT.4.15	Lageíra Zabulón lúma Neftalí,
MAT.4.15	lídan ǘma lubádu barána, lueígiñe oúbaü le ñígiñe lubeí láfuara wéyu libíti Jordán,
MAT.4.15	Galiléa le ñí lubei jagánawa ja mámabaña juríu.
MAT.4.16	Jugúya lé meja lídaanbei lubúriga aríjaadün ában oúnwenbun larúgounga,
MAT.4.16	jugúya lé meja lídaanbei lamúñounga le lánina oúweni,
MAT.4.16	jarúgoungagüdawaali jáu.
MAT.4.17	Lúmagiñe dan ligía, ába lagúmeserun Jesúsu apúrichija ñi ítara.
MAT.4.17	—Sáansi jumeí jigáburi, ladǘga yaráfaali larúeijan Búngiu.
MAT.4.18	Eíbugeina líña Jesúsu láru láru dúna Galiléa, ligía laríjin bián gamúlenuguátiña, ában jádaangiñe, Simón le méme gíribei Pédro, le ában, Andrés. Esénijani jabágaribei, jáguruñati. 
MAT.4.19	Ábati laríñagun Jesúsu joun.
MAT.4.19	—Falá jumana, ábame mesénijanjadün lan úduraü, anáajarügaadünme gürígia nun lun nánigume.
MAT.4.20	Furése furése ába jígirunun jasénin, ába joúdin lúma.
MAT.4.21	Lubáruaguoun mémeraü Jesúsu, ábaya laríjin bián gamúlenuguátiña, Jacóbo lúma Juan, lirájüñü Zebedéo. Tídaañanu ában ugúnein lúma jáguchi arámadajoun jasénin. Ába lagúarun Jesúsu joun lun lánime disípulugu, 
MAT.4.22	lídan óra ligía ába jígirunun ugúnein, ígira jáguchi, ába joúdin lúma Jesúsu.
MAT.4.23	Ábajei leíbuguni Jesúsu sun Galiléa arúfudajeina tídan buri jalígilisin juríu to lídaanboun ságü fulásu. Ábaja lapúrichijani ugánu buíti luágu larúeijan Búngiu, areídaguagüda ligía sun luwúyeri sándi le jawáguti gürígia. 
MAT.4.24	Ába lagaambúniwa luágu Jesúsu lídan sun Síria, ába janǘgüniña sun ja asúfurirubaña láu ámuñegueinarügü sándi, igárigu, ja gawágubaña lagǘbüri espíritu, ja goúwejadibaña, jáma ja derégüdaaña úgubu, ába lareídaguagüdüniña. 
MAT.4.25	Sarágu jáña gürígia afálaruti Galiléagiñe, lídaangiñé buri fulásu Decápolisna, Jerusaléngiñe, loúbawagugiñe Judéa, lúma lueígiñe oúbaü le ñígiñe lubeí laboúcha wéyu libíti Jordán.
MAT.5.1	Dan le laríjinbaliña Jesúsu sun gürígia jagía, ába laweínrun luágun ában wǘbü, ába lañúurun ñi. Ábati joúndaragun láni disípulugu geyégua láu, 
MAT.5.2	ába lagúmeserun arúfudaja joun ítara.
MAT.5.3	—Fuleíseiwatün jugúya le asúbudirubalin luágu mégei jumáni lídejan Búngiu lun jadǘgüni le labúseerubei, ladǘga méreengunbei jun lun jebélurun lídoun larúeijan Búngiu siélu.
MAT.5.4	‘Fuleíseiwatün jugúya le jírubei, ladǘga líchuguba Búngiu gurásu jun.
MAT.5.5	‘Fuleíseiwatün jugúya le ǘnabugubei, ladǘga jerésibirubei le uágubei laríñaga Búngiu luágu líchugubei lan jun.
MAT.5.6	‘Fuleíseiwatün jugúya le weíribei jabúseerun lúaradagun jabágaridun, ladǘga líderagubadün Búngiu lun jadǘgüni.
MAT.5.7	‘Fuleíseiwatün jugúya le gudémejabubei, ladǘga gudémebadün gíñe lun Búngiu.
MAT.5.8	‘Fuleíseiwatün jugúya le jarúmabei anígi, ladǘga jaríjubei Búngiu.
MAT.5.9	‘Fuleíseiwatün jugúya le áfaagubei lun jámalijan sun cátei, ladǘga lagúarubadün Búngiu queísi lirájüñü.
MAT.5.10	‘Fuleíseiwatün jugúya le asúfurirubei eíbaajoúni luágu lúaragun jibágari, ladǘga jebéluruba lídoun larúeijan Búngiu siélu.
MAT.5.11	‘Fuleíseiwatün dan le janábagunün gürígia, eíbaaja jamaǘn, aríñaga jagía sun luwúyeri iyéeni juágu, nueígiñe. 
MAT.5.12	Gúndaañu jumá, ladǘga jerésibiruba ában oúnwenbun fáyeiti siélu, ítara liñá meja gíñe jeíbaajoúniwa profétagu ja ñǘbinbaña jubáragiñe.
MAT.5.13	Ába lasígirun Jesúsu aríñaga.
MAT.5.13	—Ítara jíña quei sálu joun lílana uboú le lun jeréderuniña lueí jagádeirun, ánjein leféridira sálu lubásuan, ¿cábagi un ju lan? Úaalime ju lan ni ca un lueídügüya lun lágurúniwa, ábame jadǘgüraguni gürígia.
MAT.5.14	‘Ítara jíña quei lámpu joun lílana uboú le. Ában ubúrugu le luáguti ában wǘbü siñáti larámudagun, furáanguti larijoúniwa. 
MAT.5.15	Mebedúnti gíñe ában lámpu lun líchugúniwa tábugiñe ában gáfu, luágu dábula líchugúa lun larúgoungadágüdün jáu sun ja múnadabaña. 
MAT.5.16	Ítara jumá gíñe, durúnguagüda jumeí jilámpun jádan gürígia, lun dánme lan jaríjini buíti le jadǘgübei, ábame gíñe jadímurejan buíti luágu Wáguchi Búngiu le siélubei.
MAT.5.17	‘Marítagua jumátia luágu niábiña lan agídarei lilúrudun Moisés, ni le jarúfudajabei profétagu, máma niábiña agídarei, niábiña arúfudei líla le tímatimaati. 
MAT.5.18	Ninárün lubeíti jáu luágu níjeingua rügáali ligía lan siélu lúma uboú, magídarúnwabei ni ában púntu, ni ában létüra lídaangiñe lilúrudun Moisés daríme suséreeli le lúnbei lasúseredun. 
MAT.5.19	Ligía, le lubeí íchuguti mebéreseni luágu furúmierügü gumádi lídaangiñe lúrudu, íbini le lan ñǘraütimaabei lídaangiñe, arúfudaja ligía joun gürígia lun jadǘgüni líbe le ladǘgübei, ñǘraüraübei lanügǘniwa yágüta siélu lídan larúeijan Búngiu. Ánjeinti le ñǘdünbei láu sún buri gumádi lídan lúaragun, ítara gíñe larúfudajan, weíribei lanügǘniwa yágüta siélu. 
MAT.5.20	Naríñajare jun luágu ánjein lan mabuídun ligáburi joúserun sarágu weíyaasu jaweí arúfudajatiña lilúrudun Moisés, jáma fariséogu, mebélubadün lídoun larúeijan Búngiu siélu.
MAT.5.21	‘Agáamba jumáali luágu aríñawagúa lán meja joun binádu jagǘbürigu lun máfarajan jamá, ladǘga furúmieguarügü lan le áfarajati, lagúseragüdǘwaba. 
MAT.5.22	Wel, naríñajare jun luágu furúmieguarügü lan le agáñiduti lúma gürígia líledi lagúseragüdǘwaba. Le anábuti gürígia líledi lagúseragüdǘbei luweírin-ágei lúrudu, le aríñaguti lun gürígia líledi, “ibídiougua táu”, luáguñein ǘma lun máfiougatin. 
MAT.5.23	Ítara líña lubeíti, ánjein banǘga bedéweejan luágun láni Búngiu latárü, báu ñi ába barítaguni luágu níjein lan cátei lídan furúmieguarügü gürígia bubá, 
MAT.5.24	ígirabeí le lúnbei bedéweejani ñi ligíbugiñe latárü, ábame bídin aráandara lúma gürígia ligía. Lárigiñemeti, gayáraajalíme bagíribudun luágun latárü íchigei bedéweejan.
MAT.5.25	‘Ánjein abúseera ában gürígia lanǘgünibu ligíbugiñoun lúrudu, belúba lídoun úarani lúma luágu jeíbuguniwagu lueí ledéregerunibu lun agúseragüdüti, ledéregerabume agúseragüdüti lun polisía, ábame badaürǘn. 
MAT.5.26	Ninárün báu, máfuridunbadibu ñígiñe darí bafáyeiruni lagúmujoún gáwanün.
MAT.5.27	‘Agáambaadün luágu aríñawagúa lán meja. “Magámarida jumá jámari ámu, adultériu líra.” 
MAT.5.28	Áu naríñajare jun luágu furúmieguarügü lan le awámadirutu ában wǘri, adǘgaali adultériu túma tídan lanígi.
MAT.5.29	‘Ánjabu lubeíti lafígoungüda bágu le lueígiñebei boúnwenren, sagábei, fíbei díse, buítimaati lun beféridirun ában lídaangiñe umégeguni le buágubei sügǘ láu bídin láu sun búgubu máfiougatin. 
MAT.5.30	Ánjein bújabu lubeí le boúnwenren afígoungüdübadibu, dürǘbei, fíbei díse, buítimaati lun leféridirún ában lídaangiñe umégeguni le buágubei sügǘ láu bídin láu sun búgubu máfiougatin.
MAT.5.31	‘Aríñawagúati meja gíñe luágu furúmieguarügü lan le ígirutu lúmari lúnti líchugun gárada lánina ígiraguni tun. 
MAT.5.32	Áu naríñajare jun luágu furúmieguarügü lan wügǘri ígirutu lúmari, ánjein máma lubeí ladǘga tagámaridun ligíbuagun, ába taganoún lúma ámu wügǘri, adǘgagüda lumútu furúmiñeti wügǘri adultériu. Le gíñe agámaridutu wǘri ígiraguaaru ladǘgüña gíñe adultériu.
MAT.5.33	‘Agáambaadün gíñe luágu aríñawagúa lán meja joun binádu agǘbürigu lun jagúnfulirun láu le jaríñagubei láu áfiñuruni ligíbugiñe Búngiu. 
MAT.5.34	Áu naríñajare jun luágu moún lumuti lan jáfiñurun ni ca uágu—ni luágu siélu ladǘga ñi lan lañúura Búngiu, 
MAT.5.35	ni luágu múa ladǘga ñi lan líchigei Búngiu lugúdi, ni luágu Jerusalén ladǘga ligía lubúrugutebei Warúeite Búngiu le weírigubei, 
MAT.5.36	ni luágu jichǘgü ladǘga siñáti ni jájarudagüdün ni jáuridagüdün ában ídiburi. 
MAT.5.37	Aríñagarügü jumá “ánja” o “uá”, máfiñurunga ni ca uágu, ámu cátei lueí líra lúmagiñeti Máfia.
MAT.5.38	‘Agáambaadün luágu aríñawagúa lán meja. “Águu luágu águu, ári luágu ári.” 
MAT.5.39	Áu naríñajare jun lun máguyugüdün jumá wuríbani luágu wuríbani, lubáragiñe líra, ánjein íchiga mútu agúfudein luágu ában loúba jigíbu, rúya jumeí le ában oúbaü lun. 
MAT.5.40	Le áluguti lanǘgünün ligíbugiñoun lúrudu tueígiñe jisímisin, ígira jumeí lun gíñe lanǘgünun jabíte. 
MAT.5.41	Ánjaün lafósura ában gürígia lun janǘgün ában anǘgüni ában máili, barǘjumei bián máili. 
MAT.5.42	Furúmieguarügü le amúriajati ában cátei júma, rújumei lun, míchiga jumeí gíñe janágan luágun le afúredeijati júma.
MAT.5.43	‘Agáambaadün gíñe luágu aríñawagúa lán meja. “Jínsiñelá bumáda bun, liyéreegudame bágani bun.” 
MAT.5.44	Áu naríñajare jun. Jínsiñe jamá jáganiñu jun, buídulá jayúmajan jabá ja wuríbabei jayúmajan jubá, adǘga jumá buíti joun ja iyéreejabúbaña jun, ayúmuragua jumá lun Búngiu jawágu ja anábagubadün, ja wuríbabei oúserunün. 
MAT.5.45	Ítara lúba jagáburiduña lan queísi lirájüñü Júguchi Búngiu le siélubei, ligía oúnaja lumúti wéyu joun buítiña jáma wuríbatiña, oúnajaleí júya dándu joun múaraantiña queísi joun úaratiña. 
MAT.5.46	Ánjein já rügǘbaña lubeí jínsiñejabúbaña jun ínsiñeda jun, ¿cábagi fáyeiti jerésibira luágu líra? Adǘga jamúti gíñe ja agúburajabalin liseínsuna gumádi ítara. 
MAT.5.47	Ánjein joún rügǘñein lubeí jumádagu jayoúragua, ¿ca buíti jadǘgübei láu líra? Íbini ja ibídiñejabubaña lun Búngiu adǘga jamúti líra. 
MAT.5.48	Úaragua jumá le gumúti queísi úaragua lan Júguchi Búngiu le siélubei.
MAT.6.1	Ába lasígirun Jesúsu arúfudaja joun gürígia wǘbüwaügügiñe, laríñaga.
MAT.6.1	—Toúnigi jumá lueí jadǘgün cátei buíti jagíbugiñe gürígia lúnrügü jaríjinün. Ánjein jadǘga ítara, míchubei Júguchi Búngiu le siélubei fáyeiti buíti jun. 
MAT.6.2	Ligía, dánme lubeí jíderagun ában gudémeti, masúbudiragüda jumeí lun sun uboú quei jadǘga ja biánguabaña igíbu ligílisirugu lúma ǘmadarugu. Jagía, jadǘgüni líra lúnrügü jadímurejan gürígia buídu jawágu. Ninárün jáu luágu láu lan jadǘgüni líra, ibíja jamáali jafáyeiruája. 
MAT.6.3	Dan le jíchugun ában cátei lun gudémeti, masúbudiraleí ni lubuídun-ágei jumáda, 
MAT.6.4	adǘga jumeí lábugiñe libídiñewa. Júguchi Búngiu le aríjubalin le jadǘgübei lábugiñe libídiñewa, líchuguba jafáyeiruája.
MAT.6.5	‘Dan gíñe le jayúmuragun lun Búngiu, mítaran jumá quei ja biánguabaña igíbu ja jínsiñebei joun lun jayúmuragun rára tídan jalígilisin juríu lúma lídan legéyedun ǘma lun jaríjiniña gürígia. Ninárün jáu luágu láu lan jadǘgüni líra ibíja jamáali jafáyeiruája. 
MAT.6.6	Dan le jayúmuragun lun Búngiu, belújuma jirúmurugun, darú jumeíme jubéneri, ábame jayúmuragun lun Júguchi Búngiu le lábuguabei júma ñi. Júguchimeti Búngiu, le aríjubalin le jadǘgübei lídan límanin, líchuguba jafáyeiruája. 
MAT.6.7	Lídan le jayúmuragun, máguyuguagüda jumá luágu dimúrei le málati quei jadǘga ja ibídiñejabubaña lun Búngiu, jarítaguatiñati luágu lagáambubaña lan Búngiu ladǘga líbe jadímurejan. 
MAT.6.8	Mítaran jumá lubeíti quei jagía, ladǘga lubáragiñe jayúmuragun lun Búngiu subúdi láali ca lan jabúseerubei. 
MAT.6.9	Ítara lúba lubeíti jayúmuragun.
MAT.6.9	Wáguchi Búngiu le siélubei,
MAT.6.9	inébewalá bíri.
MAT.6.10	Nǘbinlá bidáani lun barúeijan ya uboúagu,
MAT.6.10	adügǘwalá bugúndan uboúagu quei ladügǘniwa bugúndan siélu.
MAT.6.11	Rúba fein buídurügütu woun lun wéyu le ugúñebei,
MAT.6.12	ferúdunabeí wuríbati le adǘga wamáalibei quei ferúduna wamániña ja adǘgübaña wuríbati woun.
MAT.6.13	Mígira báwa lun wáburujan lídoun wuríbani,
MAT.6.13	dísegüdarügü báwa lueí,
MAT.6.13	ladǘga amǘrü le arúeijabei, amǘrü le Súntibei Gabáfu, amǘrü le weírigubei lun sun dan. Ítaralá.
