MAT.1.1	Bɨ səŋ bɨ̂tà bɨ atsə bɨ Yesu Kristo, yìi mə à lɛ mfɛ̀'ɛ̀ a atsə David, mu Abraham aa mə:
MAT.2.12	Bo fɛ̀'ɛ̀ mə̂ ŋ̀ka mbɨɨ waa fu m̀baŋnə ntɨgə ntsya nɨ mânjì yî dàŋ ǹloŋ mə à lɛ sɨ bə aa boŋ ǹjə̀ə̀ ɨ̀ lɛ̀ mə̂ waa, Nwì a swoŋ a mbo bo mə tâ bo tsuu bǔ bɨɨ ghɛ̀ɛ̀ fu wa a mbɛ̀ɛ mfɔ̀ Herod.
MAT.2.13	Nòò yìi mə bo lɛ mmà'àtə̀ ŋghɛɛ waa laa, angel Mmà'àmbi a zî a mbo Joseph a mûm ǹjə̀ə̀ ǹswoŋ ghu mbo mə, “Wa Herod à ka kɨ lɔ̀ɔ̀ mu wa mə yu zwitə, bɨ̀ɨ̀nə nlɔ̀gə̀ yi bô ǹdè yì, ŋ̀khə ŋghɛ̀ɛ̀ nɨ ghu a ala'a Egipto, ǹtɨgə ntswe ghu nywe'e a noò yìi mə̀ ka yǐ bǔ swoŋə a mbo wò aà.”
MAT.2.14	Joseph à lɛ mbɨ̀ɨ̀nə̀ ǹlɔgə mu wa bô ǹdè yì tsi'ì nɨ̀tugə, ŋghɛɛ a ala'a Egipto, 
MAT.2.15	ǹtɨgə ntswe ghu nywe'e a noò yìi mə Herod à lɛ ŋkwo aà. Ma yû ànnù a lɛ mfɛ̀'ɛ̀ aa a nlwensə ànnù yìi mə Mmà'àmbî à lɛ ghɨ̀rə̀ ŋ̀gàŋntoò yì a foò ǹswoŋ aa mə, “Mə̀ lɛ ntwoŋə mû ghà a fɛ'ɛ aa a ala'a Egipto.”
MAT.2.16	Nòò yìi mə Herod à lɛ nyə mə bə̀ bya mə bɨ lɛ nlò a mbɨ nsa'a nòò bɨ bwe'esə yi aa, ǹtɔ̂ŋ ɨ lɛ nlwì tsi'ì si'i si'i. A too bə̀ mə tâ bɨ̀ ghɛɛ nzwitə bɔɔ mbâŋnə̀ bɨ tsɨ̀m a ala'a Bethlehem bo bɨ̀ nɨ̂ ɨ̀la'a jìi ɨ lɛ ntswe ghu mbɛ̀ɛ̀ aa, ǹlɔ̀gɨnə nɨ bɔɔ bìi bɨ lɛ mbə ɨlòò ji baa aa ntɨgə nsɨgə, ǹyoŋə aa wa nɨ nòò wa mə bə̀ bya lɛ nswoŋ mə fɨ̀jɔ̀ŋ fya lɛ mfɛ̀'ɛ̀ aà.
MAT.2.17	Ma yû ànnù a lɛ mfɛ̀'ɛ̀ ǹlwensə aa annù yìi mə ŋgàŋntoo Nwì Yeremiah à lɛ nswoŋ aa mə:
MAT.2.18	“Ŋù a yə̀'ə a Rama,
MAT.2.18	nlərə nɨ̂ àkhɨɨ̀ yi,
MAT.2.18	Rachel a yə̀'ə bɔɔ̀ bi;
MAT.2.18	kaa wa'à biì nɨ mə mbə ŋù tsɨmsə̀ yi,
MAT.2.18	ǹloŋ mə bɨ kwòkə̀ mə̂ aà.”
MAT.2.19	Nòò yìi Herod à lɛ ŋkwo aa, Angel M̀mà'àmbi a zî a mbo Joseph a mûm ǹjə̀ə̀ a ala'a Egipto nswoŋ mə, 
MAT.2.20	“Bɨ̀ɨ̀nə nlɔgə mu wa bô ǹdè yì, m̀bɨɨ ala'a Israel, ǹloŋ mə bə̀ bya mə bɨ lɛ sɨ lɔ̀ɔ nzwitə mu wa aa bo kwòkə̀ mə̂.” 
MAT.2.21	À lɛ mbɨ̀ɨ̀nə̀ ǹlɔgə mu wa bo ǹdè yì, m̀bɨɨ a ala'a Israel. 
MAT.2.22	La à bɨ̀ɨ̀ mə̂ ǹyu'u mə Archelaus à lɛɛ̀ ǹjɨ ndâ taà yì ǹtɨgə mfɔ̀ a ala'a Judea, à lɛ mbɔ'ɔ a ŋghɛ̀ɛ ghu. Nwì à lɛ mbu ndɨ'ɨtə yi a mûm ǹjə̀ə̀ mə tâ à ghɛɛ a mbu'u ala'a Galilea. 
MAT.2.23	À lɛ nghɛɛ ntɨgə ŋka ntswe aa a njɔ̀'ɔ̀ àla'a Nazareth, ta lwensə annù yìi ŋgàŋntoò Nwì à lɛ nswoŋ aa, mə, “Bɨ ka yǐ kɨ twoŋə nii nɨ ŋù baNazareth.”
MAT.3.1	À lɛ mbə maa noò, Jɔn Ŋ̀gàŋmùrə bə̀ a ŋkì a zî a atu nta'a mɨwɛ̀ɛ̀ mɨwɛ̀ɛ̀ yìi ɨ lɛ ntswe a mbu'u Yudea aa, ǹlɔgɨnə ŋka nswoŋə nɨ̂ ànnù Nwî ghu. 
MAT.3.2	À lɛ sɨ swoŋə nɨ mə, “Nɨ̀ bəŋkə mɨ̂ntɨɨ̀ muu, mma'atə ɨbɨ̂ ghuu nloŋ mə annù nɨfɔ̌ aburə a tɨgə a abô.
MAT.3.3	Jɔn à lɛ mbə aa ŋù wa mə ŋgàŋntoò Nwì Yesaiah à lɛ nswoŋ nloŋ yi mə,
MAT.3.3	“Ǹjì ŋù ɨ tɔŋnə nɨ a atu nta'a mɨwɛ̀ɛ̀ mɨwɛ̀ɛ̀ ǹswoŋə nɨ mə,
MAT.3.3	‘Nɨ̀ naŋsə a mânjì M̀mà'àmbi,
MAT.3.3	ǹnaŋsə ɨyaà ji tâ ɨ̀ tsinə!”
MAT.3.4	Jɔn à lɛ sɨ wɛ'ɛ ɨtsə̀'ə̀ jìi bɨ lɛ naŋsə nɨ̂ ɨ̀nòŋ kamel aa, ŋkɨɨ ŋwɛ'ɛ nɨ̂ ɨ̀kô ŋ̀gùù a atìi yu; mɨ̀jɨ̂ mi mɨ lɛ mbə ŋgweenə bo nwu yì ǹtà'à. 
MAT.3.5	Bə̀ lɛ sɨ zì ghu mbɛ̀ɛ̀ ǹlo nɨ a Yerusalem, bo bɨ̌ a mbù'ù Yudea ntsɨ̀m, bo bɨ̀ nɨ̂ ɨ̀la'à tsɨ̀m jìi ɨ lɛ ntswe ŋkarəsə ŋkǐ Jordan aà. 
MAT.3.6	Bo lɛ sɨ bii nɨ̂ ɨ̀fansənnû jyaa, Jɔn a tɨgə̀ m̀murə nɨ̂ waa a ŋkì Jordan.
MAT.3.7	Lâ nòò yìi mə à lɛ nyə baFarisai bî ghà'àtə̀ bo bɨ̀ baSadukai bɨ zî ghu mbo mə tâ à murə waa a ŋkì aa, a lɛ nswoŋ a mbo bo mə, “Bǔ bɔɔ bɨ nô! A ghuu aa a wà'àsə wò mə tâ nɨ̀ khə̂ àlwintɔŋə Nwî yìi mə a zì aa ɛ? 
MAT.3.8	Nɨ̀ ka ŋkoonə mɨ̂ntà mìi mə mɨ dɨ̀'ɨ̀ nɨ mə nɨ̀ bə̀ŋkə̀ mə̂ mɨ̂ntɨɨ̀ muu, m̀ma'atə ɨbɨ̂ ghuu aà. 
MAT.3.9	Nɨ̀ tsee kɨ mɔ̀ɔ̀ntə̀ nɨ mə mbə nɨ̀ yî ŋ̀khə njo Nwì ǹloŋ mə nɨ swoŋə nɨ mə, ‘Taà yì'ì à nɨ aa Abraham.’ Mə̀ swòŋ a mbo bù mə mbə Nwî à zî àjàŋ mə mbə yu bəŋkə̀ ŋ̀gɔ̀'ɔ̀ jûlà ɨ tɨgə̀ bɔɔ bɨ Abraham! 
MAT.3.10	Tsi'ì tsɨ̀tsɔ̀ŋ wa bɨ nɔ̀ŋsə̀ mə̂ ǹjàà ǹlɔɔ nɨ̂ ŋ̀wâ ɨtì ghu tsi'ǐ mɨ̂ŋgàŋ! Ɨ̀tǐ tsɨ̀m jìi mə kaa ɨ sɨ mɨ̂ntà mî sɨgɨ̀nə̀ koonə aa, bɨ ka wǎ mmà'a a mɔ'ɔ tâ ɨ̀ khɨ.
MAT.3.11	“Mə murə ghuu aa a ŋkì a ndɨ̀'ɨ mə nɨ̀ bə̀ŋkə̀ mə̂ mɨ̂ntɨɨ̀ muu, lâ ŋù yì mɔ̀'ɔ a yòŋə a njɨm mə̀, yìi mə à kɔ̀'ɔ̀nə ntsyàtə ghâ, kaa mə̀ wa'à kù'ùnə̀ tsi'ǐ tugɨtə̂ ɨ̀baa kòrə̀ ji. À nɨ yu wa yìi à ka yǐ kɨ murə ghuu a mûm Àzwì yî Làà nɨ a mum mɔ'ɔ aà. 
MAT.3.12	Àyoo nsəgə mɨ̀sàŋ a tswe ghu abo, à ka səgə mɨ̂sàŋ mya ɨ tii ntsà'a tsɨ̀m fi'isə ɨ tɨgə ghotə mɨsàŋ mya a mûm àta yu, ɨ bàŋnə tɔɔ ntsà'à jya a nɨ mɔ'ɔ yìi mə ɨ khɨ kaa wa'à m̀mɛ̀ aà.”
MAT.3.13	Yesu à lɛ ntɨgə nlo a Galilea nzi a mbɛ̀ɛ Jɔn a ŋkǐ Jordan mə tâ à murə yi a ŋkì. 
MAT.3.14	Jɔn à lɛ ŋka nlɔɔ ntuù, ǹswoŋə nɨ mə, “A ku'unə mə boŋ a mùrə wò m̀murə gha a ŋkì, ò bâŋnə̀ m̀bu nzì bə a mbo mə̀ aa ɛ?” 
MAT.3.15	Yesu a kwi'i ghu mbo mə, “Mà'àtə tâ à bə̀ laà tsɨtsɔ̀ŋə̀; ǹloŋ mə àâ àjàŋ yìi mə a ku'unə mə tâ bɨ ghɨrə tâ ɨ̀nnù tsɨ̀m ɨ̀ tsinə aà.” Jɔn à lɛ ntɨgə mbii mmurə yi a ŋkì.
MAT.3.16	Nòò yìi bɨ lɛ mmurə Yesu a ŋkì aa, à lɛ ŋghɛ̀sə̀ mfɛ'ɛ wa mûm ŋ̀kì ŋ̀kɔ'ɔ ntəə a nta'à. Àbùrə̀ a lɛ ŋŋa'anə a yə Azwì Nwî a sɨgə, mbə tso bugɨrə mɨ̀kuu ntəə ghu atû. 
MAT.3.17	Ǹjì Nwì ɨ tɨgə̀ ŋ̀ghaa nlo a aburə nswoŋ mə, “Àa mû ghà yî m̀bâŋnə̀ yìi mə mə̀ kɔ̀ŋə aa à ghulà, mə naŋsə ndorɨtə nloŋə yì.”
MAT.4.1	Ma yaa annù a ghə̀ mə kɨ tsyà, Àzwi Nwì a tsyâsə Yesu a atu nta'a mɨwɛ̀ɛ̀ mɨwɛ̀ɛ̀ mə tâ Devil à kwa'anə yi ghu. 
MAT.4.2	À lɛ ntswe ghu mɨtugə mɨ njwi mɨ̀ghum mi nɨkwà, a si'inə bo bɨ̀ a tɨ̀tugə, ǹtuu njɨ̂, ǹjì ɨ yaŋə̀ yi. 
MAT.4.3	Ŋ̀gàŋkwà'ànə bə̀ wa a zî ghu mbo nswoŋ mə, “M̀bə ò bə Mu Nwì, ò swoŋ a mbô ŋ̀gɔ̀'ɔ̀ jû mə tâ ɨ̀ bəŋkə ntɨgə abaà.”
MAT.4.4	Yesu a kwi'i mə, “Bɨ ŋwa'anə a mûm àŋwà'ànə̀ Nwì mə,
MAT.4.4	‘Kaa ŋù à sɨ ntɨ̀ɨ̀ tswe nloŋ aa tsi'ì àbaa yu yu bə̂,
MAT.4.4	a kɨɨ nlɔɔ mɨghàà mɨ tsɨ̀m mìi mɨ fɛ̀'ɛ a ntsu Nwì aà.’”
MAT.4.5	Devil a bû ǹlɔgə Yesu ŋghɛɛ nɨ ghu wa njɔ̀'ɔ̀ àla'a yì ǹlàà maŋsə, ǹtɛ'ɛ yi wa atu nɨdòò nɨ ndâmà'anwì, 
MAT.4.6	ǹswoŋ ghu mbo mə, “M̀bə ò bə Mu Nwì, ò tsɔ'ɔnə̀ ǹlo fàa atu nda nnàŋə a nsyɛ̂; ǹloŋ mə bɨ ŋwa'anə mûm àŋwà'ànə Nwì mə,
MAT.4.6	‘Nwì à ka swoŋ annù a mbo baangel bi nloŋə ghô.’
MAT.4.6	M̀bu nswoŋ mə,
MAT.4.6	‘Bo ka tɨgə ŋɛɛ gho ɨ tugɨtə a mbo bo a ndəŋ
MAT.4.6	mbɨ̀'ɨ̀ ò tumə̀ àkòrə̂ yo a nɨ̂ ŋ̀gɔ̀'ɔ̀.’
MAT.4.7	Yesu a kwi'i mə, “Bɨ bû ŋ̀wà'ànə̀ a mûm àŋwà'ànə Nwì mə, ‘Tsùu Mmà'àmbî Nwìŋgɔ̂ŋ ghǒ kwà'ànə̀.’”
MAT.4.8	Devil a ku'ùsə̀ m̀bu nlɔ̀gə̀ Yesu ŋkɔ'ɔ ŋghɛɛ nɨ ghu a atu nta'a yìi a lɛ ŋkɔ'ɔ njɔŋnə aa, ǹdɨ'ɨ ɨtoò tsɨ̀m jìi mə bɨ̀fɔ̀ bɨ mbi bù sa'a aa bo bɨ̀ nɨ̀gha'à nyaa ghu mbô. 
MAT.4.9	Ǹswoŋ ghu mbo mə, “Mə̀ ka fa ŋgɔ̀ŋ ǹjoo ma jû tsɨ̀m a mbo wò mə mbə ò wo a nsyɛ mmii ghâ.” 
MAT.4.10	Yesu a kwi'i ghu mbo mə, “Lǒ ŋghɛ̀ɛ̂, Satan! Bɨ ŋwa'anə a mûm àŋwà'ànə Nwî mə,
MAT.4.10	‘Ka mii tsi'ì M̀mà'àmbi Nwìŋgɔ̀ŋ ghò,
MAT.4.10	ŋ̀kɨɨ ŋka mfa'a tsi'ì ghu mbo yuyu.’
MAT.4.11	Devil à lɛ ntɨgə mma'atə Yesu, baangel bɨ zî m̀fa'a ghu mbô.
MAT.4.12	Yesu à yù'ù mə mə bɨ nɨŋə Jɔn Ŋgàŋmurə bə̀ a ŋkì a atsaŋ, ǹtɨgə nlo ŋghɛ̀ɛ̀ a Galilea. 
MAT.4.13	À ghɛ̀ɛ̀ mə̂ ghuu aa, mma'atə Nazareth ŋ̀ghɛɛ ntɨgə ntswe a Kapernaum, a mbɛ̀ɛ̀ àtsumə Galilea, a mbù'u Zebulem bo Naphtali. 
MAT.4.14	A lɛ mfɛ̀'ɛ̀ laa a nlwensə annù yìi mə ntoò Nwì Yesaiah à lɛ nswoŋ aa mə,
MAT.4.15	“Àla'a Zebulum nɨ ala'a Naphtali,
MAT.4.15	jìi mə ɨ tswe a mbɛ̀ɛ ŋkì mɨyaa, a njii ŋkì Jordan,
MAT.4.15	Galilea, wò àla'a bɨ̂tɨ̀zi Nwî!
MAT.4.16	Bə̀ bìi mə bɨ lɛ sɨ tswe a mûm m̀fiì ɨ̀dɨ̀gə̀ aa
MAT.4.16	bɨ yə̀ mə ŋkà'à yî wè,
MAT.4.16	bə̀ bìi mə bɨ lɛ sɨ tswe a ala'a yìi mə àlɨləŋə nɨwo a lɛ ntswe ghu aa,
MAT.4.16	ŋkà'à ɨ tà mə a nu bo.”
MAT.4.17	Ǹlɔgɨnə maa noò Yesu a lɔgɨ̀nə̀ ŋ̀ka nswoŋə nɨ̂ ànnù Nwî ǹswoŋə nɨ mə, “Nɨ̀ bəŋkə mɨ̂ntɨɨ̀ muu, mma'atə ɨbɨ̂ ghuu, ǹloŋ mə annù nɨfɔ̌ aburə a tɨgə a abô.”
MAT.4.18	Yesu à kà mə̂ aa ntəə nzi a aghəŋə ŋkì mɨyaa Galilea nyə ŋgǎŋkômbwɛ̀ ji baa, a bə Simon yìi bɨ lɛ sɨ twoŋə nɨ Peta aa, bo mumaà yì Andrew, bɨ tswê wa mûm ŋ̀kì ǹlə nɨ̂ m̀bwɛ̀ nɨ̂ àmbunjya. 
MAT.4.19	Yesu a swoŋ a mbo bo mə, “Nɨ̀ zi ŋka nyoŋə nàâ, mə̀ ka ghɨ̀rə tâ nɨ̀ tɨgə mbə ŋgǎŋko bə̀.” 
MAT.4.20	Bo kɨ̂ ŋ̀ghɛnsə mmà'àtə mbunjya jyaa jya ǹyoŋə yi.
MAT.4.21	Bo bo kà mə̂ aa ŋghɛntə a bû ǹyə bɔɔ bɨ ma bî mɔ'ɔ bi baa, a bə Jɛms bo Jɔn, bɔɔ bɨ Zebedee. Bo bɨ̀ taà wàà Zebedee lɛ ntswe a mûm àkànu'u ŋkɛɛ nɨ̂ m̀bunjyâ jyaa. Yesu a twoŋə̀ waa. 
MAT.4.22	Bo kɨ̂ ŋ̀ghɛsə mma'atə akànu'ù yaa bo bɨ̀ taà wàà ǹyoŋə yi.
MAT.4.23	Yesu à lɛ ntɨgə ŋkarə nɨ ala'a Galilea tsɨ̀m ǹdɨ'ɨ nɨ̂ ɨ̀nnù a ndâghòtə baYuda, ŋ̀kɨɨ nswoŋə nɨ̂ ǹtoo yì ǹsɨgɨ̀nə̀ ya nloŋə annù nɨfɔ̌ aburə. Ŋ̀ghurə nɨ mɨ̀ghɔ̀ɔ̀ mɨ tsɨ̀m bo bɨ̀ ɨ̀lɔ̀'ɔ tsɨ̀m jìi ɨ lɛ ntswe a nu bə̀ aà. 
