GEN.1.1	Lo yaþoodat Luwah ndah dørãg kï døning.
GEN.1.17	Luwah ndahd kam lot kï dørãt kad kï unjïn døningt, 
GEN.1.18	na kàd kï õnþe dø lo kïkàdat kï lot kïndø na kad gangïn kunj kï til nat. Luwah oo ad i nya kïmaj. 
GEN.1.19	Lokïkàda kï lokïndø i ndø kïkõsøø.
GEN.1.20	Luwah el an: Kï man tee kï nyandahg kï kumkajir ad bïlan kïdøtdøt Kï yelg þain dõ kï bøgd døningt kï kam nélt. 
GEN.1.21	Luwah ndah dãg kïbobo kam mant, kï nyandahg kï kumkajir kïdangdang, îgïn ndï ødïn rod kam mant, kï yelg kïdangdang tube'n þan bøgd. Luwah oo ad i nya kïmaj. 
GEN.1.22	Luwah njang død, an: În nyandahg kï mant, oojïn na, i bïlan kïdøtdøt, i ðoosïn kam man kï bahbog Kï yelg bïlan kïdøtdøt døningt. 
GEN.1.23	Lokïkàda kï lokïndø, i ndø kïkõmi.
GEN.1.24	Luwah el an: Kï døning tee kï nyag kï kumkajir kïgo kîdt: Nyakulg, kï nyag kï kørr kød'd ber kï dãg kïmut kïdangdang. Na nya 'nten ða nya titbe. 
GEN.1.25	Luwah ða dãg kïmut kïdangdang kï nyakulg kïgo kîdt, kï nya kï kørr kød ber kïdangdang tube. Luwah oo ad i nya kïmaj.
GEN.1.26	Luwah el an: Ad kï ða de þakumtaj, kï titj kad ladø kanjgt kï bahbot, kï dø yelgt kïdõ, kï dø nyakulgt, kï dø døningt kïtaagbe, kï dø nyat kïðen kï ngékørr kødïn ber.
GEN.1.27	Titbe Luwah ndah de þakumtan, þakumta Luwah la ndahan ye, Luwah ndahd kïdïngã kï kïdë. 
GEN.1.28	Luwah njang død, na Luwah eld an: Oojïn na, i bïlan kïdøtdøt, i ðoosïn døning, na i lan døning girr tøgsït Õnþe dø kanjgt kï bahbot, kï dø yelgt kïdõ, kï dø kurt kïðen kï ød ron døningt 
GEN.1.29	Luwah el tø an: Oon m'adsï kám kïðen kï tee kï kumïn døningt kïtaagbe, kï kag kïðen kï aw kï kandïn kï kumïn kamt, a in nyasasï. 
GEN.1.30	Kun kïðen kï døningt, yel kïðen kïdõ, nya kïðen kï a ød ron, în kò kumkajir i kamat, m'ad a mu kï mbuj kïðen nyasat. Na nya'n non ða nya titbe. 
GEN.1.31	Luwah oo nyag tube'n ða ye, oo ad i nya kïmaj ngãi. Lokïkàda kï lokïndø i ndø kïkõkïbojidet.
GEN.2.1	Dørã kï døning kï nyag kïkamdt tube în kïða. 
GEN.2.2	Ndøt kïkõtanãimïta Luwah tølkon kïlaðan, na Luwah taakò dø kïlaðant tube kam ndøt kïkõtanãimïta. 
GEN.2.3	Luwah njang dø ndø kïkõtanãimïta, ndaa køtkokïða tela kïjaþat't kïtø ndøt'n non la Luwah dïba ta kïlaðant tube ye.
GEN.2.4	Titbe la i girrkooj dørãt kï døning lon Luwah ndahdïn ye.
GEN.2.4	Ndøt'n Bïraþe Luwah ða døning kï dørã, 
GEN.2.5	kag mad goto døningt, mu mad kaa þa al þaitø, kïtø Bïraþe Luwah ad ndii ed døningt al. De mad kï kad ndøø døning goto þaitø. 
GEN.2.6	Kund man þai ko døningt, na nyom døning kïtaagbe. 
GEN.2.7	Bïraþe Luwah þah de kï buning, na to kò kumkajir kï bulo kõnat, ad de tel ro kï kumkajir.
GEN.2.8	Kamla Bïraþe Luwah hø ndøø kam Edent ko loþakàdt, na ndah de'n þaha no kamt. 
GEN.2.9	Bïraþe Luwah ad kagg kïdangdang kïmaj koo kï kum, na maj kïtø sa, þan kam døningt, ad kag kumkajir ða ngawden ndøøt, kï kag ger maj kï majal ho. 
GEN.2.10	Bah mad tee kokam Edent kïtøkad nyom ndøø. Nõbe bah tø nat girr søø. 
GEN.2.11	Bah kïdasa tøa i Pison, bah'n non gug dø døning Habila kïtaagbe, lon l'ør i tit. 
GEN.2.12	L'ør kï døningt'n non i kïmaj, nõkag bdelion kï køsï oniks în tit tø. 
GEN.2.13	Bah kïkõjoo tøa i Gihon, bah'n non gug dø døning Kus kïtaagbe. 
GEN.2.14	Bah kïkõmïta tøa i Hidekel, bah'n non nü aw kï loþakàdt kï døning Asirit. Bah kïkõsøø tøa i Eprat.
GEN.2.15	Bïraþe Luwah un de, na ndaha kam ndøø Edent kad ndøø kama, na kï oo goa tø. 
GEN.2.16	Bïraþe Luwah ndamber 'nten de an: Asï sa kand kagg tube kïkam ndøøt. 
GEN.2.17	Na kand kag ger maj kï majal a i sa al, kïtø ndøt'n a i sa a ne, a oi ðuba 
GEN.2.18	Bïraþe Luwah el an: Maj kad de i kïkïðanbe al, m'a m'ða ngeðasia kï sumbaa. 
GEN.2.19	Bïraþe Luwah þah dã kïmut kïðen kï yel kïdõ kïðen kï buning, na aw sed ro det kad kï'n oo titbãi de a ndan tød. Tø'n de ndah dø nyandaht kï kumkajir. 
GEN.2.20	De'n non ndah tø nyakulg tube kï yelg kïdõ tube kï dãg kïmut tube na de taa ne, ngah ngeðasen kï sumban al. 
GEN.2.21	Bïraþe Luwah ad þi kïtølsøkïrr so kum det ad þi. Ørr kïngakada kïða, na ut goota kï dãa gog. 
GEN.2.22	Kïnga'n ørr kad det ye, Bïraþe Luwah tela dekïdët, na aw sia ro dekïdïngãt. 
GEN.2.23	Dekïdïngã el an:
GEN.2.23	Tajigla, în ðan la i kïnga kïngamg,
GEN.2.23	i dã dãm.
GEN.2.23	A kunïna dekïdë
GEN.2.23	kïtø ørrïna kokam dekïdïngãt.
GEN.2.24	Kïtø 'nten la dekïdïngã a nya'n bøwïn kï kõn, na tînyàn na kï nën ye. În tujoo a în dãro kïða.
GEN.2.25	Dekïdïngã kï nën, în tujoo rod i kari, na rod søld al.
GEN.3.1	Li i ngegool kï tøi dãg kïmut tube'n Bïraþe Luwah ðad. El dekïdë an: Rota, Luwah el an: A i san kand kagg tube kïkam ndøøt al, el titbe je e? 
GEN.3.2	Dekïdë el li an: J'asï sa kand kagg tube kïkam ndøøt, 
GEN.3.3	na kand kag'n ðà dan ndøøt ye, Luwah el an: A i san al, a ødïn al tø, na þeta oin 
GEN.3.4	Li el dekïdë an: A'a, îla i san a ne, a oin al. 
GEN.3.5	Kïtø Luwah ger, ndøt'n a i san a ne, kumsï a tee, a i telïn tit luwahg, a i gerïn maj kï majal. 
GEN.3.6	Dekïdë oo kand kag ta ne, i kïmaj sa, i nya kï tokumnda, i kag kï ndaa i ngãi kad de telïn ngeterrkam. Dekïdë j'a kanda sa, na telïn ad ngawïn'n ða kadat. Î tø taa jiat sa. 
GEN.3.7	Lon san woi ye, în tujoo kumd tee, ad gerïn kad rod i kari, ad øsïn mbikám mbaiþood ndan gugïn dø girrd.
GEN.3.8	Døji losølt, kam nélt kï to peh la. Bïraþe Luwah a ndia kam ndøøt. Dekïdïngã kï nën oon dø ndia, ad yan rod kam kaggt kï kam ndøøt. 
GEN.3.9	Na Bïraþe Luwah kun dekïdïngã, ela an: Î ðah a? 
GEN.3.10	De tura an: M'oo dø ndii kam ndøøt, na m'þool kïtø rom i kari la m'yan rom ye. 
GEN.3.11	Bïraþe ela an: Nõ eli kad î roi kari a? Kand kag'n m'ndai mbera kad i sa al nõ ye, i sa a? 
GEN.3.12	Dekïdïngã el an: Dekïdë kan adïm kad ndï sem, nõ la adïm kand kag la m'sa ye. 
GEN.3.13	Bïraþe Luwah el dekïdë an: Ði kïbe i ða a? Dekïdë el an: Li la goolïm ad m'sa ye. 
GEN.3.14	Bïraþe Luwah el li an:
GEN.3.14	Kïtø nya'n i ða ten,
GEN.3.14	î kï ndøl tøi nyakulg tube
GEN.3.14	ku dãg kïmut tube.
GEN.3.14	A ørr kødi ber,
GEN.3.14	a i sa buning
GEN.3.14	kï ndøig tube'n a în kumkajir.
GEN.3.15	M'a m'nda ndoor mbïnait kï dekïdë kï mbïna kohit kï koha tø. Î la a rigij døi ye, na î tø, a i dõ gida. 
GEN.3.16	Bïraþe el dekïdë an:
GEN.3.16	M'a m'ad roto loi lo ndan ngont bïla kïdøt.
GEN.3.16	Kï tokooj kï ngãi la a oojïn ngan'g ye.
GEN.3.16	Nyandig loi a i ko ro ngawit,
GEN.3.16	î tø a õþe døit.
GEN.3.17	Bïraþe el Adam an: Kïtø i nel mbii kïdø nëit i sa kand kag'n m'ndai mbera m'an: A i sa al ye, døning i kï ndøl kïtatøi. A i ngah nyasait kï kïla kï kørr røkï kï ndø ndii kï døi dõ tube. 
GEN.3.18	Døning a þa kon'g kï ngarg kïtøi.
GEN.3.18	A i sa mbikámg kïmut.
GEN.3.19	Kï tuto takumit la a i san nya ye,
GEN.3.19	mbã a i telïn gog kï ningt,
GEN.3.19	kïtø ørrïn ko tit, î buning,
GEN.3.19	a i tel kï gog buningt.
GEN.3.20	Dekïdïngã ndah tø nën Hawa, girr tøa i kumkajir, kïtø î la i kõ ngékumkajirg kïðen. 
GEN.3.21	Bïraþe Luwah ða kub ngïra ad Adam kï nëa na la rodt.
GEN.3.22	Bïraþe Luwah el an: Oon, de tel tit kïkïða loj be kïtakul ger nya'n i kïmaj ke majal. Tajigla ad kï j'øga kad la jin jan kand kag kumkajir sa ho, na þeta ndï kï kumkajir kïmbãkïnõt. 
GEN.3.23	Bïraþe Luwah tuþaa kam ndøø Edent kïtïga kïtøkad ndøø ning'n ørra kø tit. 
GEN.3.24	Titbe la Luwah tuþan de kø, na nda Serubg ko loþakàd ndøø Edent, na nda kiyaðøø kï tee ndõhørr tø, kïtøkad ngomïn ne ta ðob kaw kag kumkajirt.
GEN.4.1	Adam to kï nën Hawa, Hawa nden ngon, na ooj Kain na, el an: M'ngah dekïdïngã kïtø Bïraþe ða sem. 
GEN.4.2	Ooj ngonkõa Abel tø. Abel i ngekul batg, na Kain i ngendøø. 
GEN.4.3	Go kaglot mad, Kain øi kand nya kï døningt ad Bïraþe kadkarit, 
GEN.4.4	na Abel kaa ad nganderrd dãg lon kï to mbulmbul. Bïraþe ndig kadkari lo Abel ad taa. 
GEN.4.5	Na un kumïn kø dø Kaint kï kadkarit loa. Ad wong tøl Kain søkïrr na kuma il kïrïr. 
GEN.4.6	Bïraþe el Kain an: Kïtøði wong tølïn søkïrr ad kumi il kïrïr a? 
GEN.4.7	Îla i ða kïgoðobat a ne, a un kumi kïdõ, na îla i ða kïgoðobat al a ne, majal to tabit't loi. Majal ndig dum døi na maj kad i tetaðøø.
GEN.4.8	Kain elta kï ngonkõn Abel, na lon în kam ndøøt ye, Kain þai so kø ngonkõn Abelt, tøla. 
GEN.4.9	Bïraþe el Kain an: Ngonkõi Abel i ðah a? Tur an: M'ger al, mî ngengom ngonkom a? 
GEN.4.10	Bïraþe el an: Ði kïbe i ða a? Ndi mosï ngonkõi ndï ko, ko døningt mbã kï romt, ndï un døi. 
GEN.4.11	Tajigla î kï ndøl ko døningt'n tee tan ãin mosï ngonkõi jiit. 
GEN.4.12	Lon a i ndøø døning a ne, a tee kï kand ngãi al. A i ngekãi kï ngekaw kï njai dõ døningt. 
GEN.4.13	Kain el Bïraþe an: Køjkuma'n øjïm ye, tøi tøgïm. 
GEN.4.14	Þone i tuþam kø døningt 'nten, na m'a mî kïyaro sãi kø takumit. M'a mî ngekãi kï ngekaw kï njam dø døningt, dekïðen a ngahm a ne, a tølïm kø. 
GEN.4.15	Bïraþe ela an: Maj îla de mad tøl Kain a ne, a ndan ngïra døat nja tanãimïta. Bïraþe ndah nyakøj mad dø Kaint kïtøkad dekïðen'n ndøda a ne, kï tøla al. 
GEN.4.16	Kain ãi aw sãi takum Bïraþet, na nda þe døning Nodt, ko loþakàdt kï Eden.
GEN.4.17	Kain to kï nën, nëa nden ngon na ooj Henok. Nõbe ða þebo, na ndah tø ngonïn Henok dø þebot'n non. 
GEN.4.18	Henok ooj Irad, Irad ooj Mehujael, Mehujael ooj Metusael na Metusael ooj Lemek. 
GEN.4.19	Lemek taa dekïdëg joo: Kïkïða tøa i Ada, na kïmad tøa i Sila. 
GEN.4.20	Ada ooj Jabal, i bøw îgïn høn londïd kam kujkubgt dan nyakulgt. 
GEN.4.21	Tø ngonkõa i Jubal, i bøw îgïn a ugïn kïndeh kï îgïn a kunïn tow. 
GEN.4.22	Sila ooj Tubal Kain, i kød ko nya kïðen kï ningakasï kï hand. Kõnan Tubal Kain tøa i Naama. 
GEN.4.23	Lemek el nëng an:
GEN.4.23	Ada kï Sila, oon dø ndim.
GEN.4.23	Nëmg, mî Lemek i nelïn mbisï kïdø tat lom
GEN.4.23	M'tøl de mad kïtø adïm dó,
GEN.4.23	m'tøl ngon mad kïtø ndam kï dó.
GEN.4.24	Îla a ndan ngïra dø Kaint nja tanãimïta a ne, rota
GEN.4.24	lo Lemek a i nja døtanãimïta gidaitanãimïta.
GEN.4.25	Adam to kï nën gog tø, nëa ooj ngon kïdïngã na ndah tøa Set kïtø el an: Luwah adïm ngon kïdïngã kïðang ørrïn goot Abel'n Kain tøla. 
GEN.4.26	Set tø ooj ngon kïdïngã na ndah tøa Enos. Nõbe deg mbãn girr ko kunïn ne Luwah kï tøa kï Bïraþe ye.
GEN.5.1	'Nten la i maktub girr ngaka Adam ye: Ndøt'n Luwah ndah de ye, ðaa þakumta Luwah. 
GEN.5.2	Ndah kïdïngã kï kïdë, njang død na ndah tød de, ndø ndahdt.
GEN.5.3	Adam ða þal þukïða kïdømïta, na ooj ngon kïdïngã kï þakumtan kï taan na sen, na ndah tøa Set. 
GEN.5.4	Go kooj Set't, Adam ða þal þujijoo, na ooj ngan kïdïngã kï kïdë. 
GEN.5.5	Ndøg'n Adam ndïn kï døn dõ tube i þal þujikïða kïdømïta, kamla oi.
GEN.5.6	Set ða þal þukïða gidaimi, na ooj Enos 
GEN.5.7	Go kooj Enõst Set ða þal þujijoo gidaitanãimïta, na ooj ngan kïdïngã kï kïdë. 
GEN.5.8	Ndøg'n Set ndïn kï døn dõ tube i þal þujikïða kïkïlah gidaijoo, kamla oi.
GEN.5.9	Enos ða þal døjikïða, na ooj Kenan. 
GEN.5.10	Þal Enos, go kooj Kenant Enos ða þal þujijoo kïkïlah gidaimi, na ooj ngan kïdïngã kï kïdë. 
GEN.5.11	Ndøg'n Enos ndïn kï døn dõ tube i þal þujikïða gidaimi, kamla oi.
GEN.5.12	Kena ða þal døtanãimïta, na ooj Mahalalel. 
GEN.5.13	Go kooj Mahalaleelt Kena ða þal þujijoo kï døsøø, na ooj ngan kïdïngã kï kïdë. 
GEN.5.14	Ndøg'n Kenan ndïn kï døn dõ tube i þal bujikïða kïkïlah, kamla oi.
GEN.5.15	Mahalalel ða þal døkïbojidet gidaimi, na ooj Jered. 
GEN.5.16	Go kooj Jeredt Mahalalel ða þal þujijoo kïdømïta, na ooj ngan kïdïngã kï kïdë. 
GEN.5.17	Ndøg'n Mahalalel ndïn kï døn dõ tube i þal þujijoo kï døjikïða gidaimi, kamla oi.
GEN.5.18	Jered ða þal þukïða kï døkïbojidet gidaijoo, na ooj Henok. 
GEN.5.19	Go kooj Henõkt Jered ða þal þujijoo, na ooj ngan kïdïngã kï kïdë. 
GEN.5.20	Ndøg'n Jered ndïn kï døn dõ tube i þal þujikïða kï døkïbojidet gidaijoo, kamla oi.
GEN.5.21	Henok ða þal døkïbojidet gidaimi, na ooj Metusela. 
GEN.5.22	Go kooj Metuselat, Henok ndulo go ðob lo Luwah þal þumïta, na ooj ngan kïdïngã kï kïdë. 
GEN.5.23	Ndøg'n Henok ndïn kï døn dõ tube i þal þumïta kï døkïbojidet gidaimi. 
GEN.5.24	Henok ndulo go ðobg lo Luwah, kamla yimïr kïtø Luwah una.
GEN.5.25	Metusela ða þal þukïða kï døjijoo gidaitanãimïta, na ooj Lemek. 
GEN.5.26	Go kooj Lemekt, Metusela ða þal þutanãimïta kï døjijoo gidaijoo, na ooj ngan kïdïngã kï kïdë. 
GEN.5.27	Ndøg'n Metusela ndïn kï døn dõ tube i þal þujikïða kï døkïbojidet gidaijikïða, kamla oi.
GEN.5.28	Lemek ða þal þukïða kï døjijoo gidaijoo, na ooj ngon kïdïngã, 
GEN.5.29	ndah tøa Noe, an: Ngon 'nten a søl kamj dø kørjrøkït, kï kïlaðag kï ton døningt kï Bïraþe ndøla, ndadø jijt. 
GEN.5.30	Go kooj Noet, Lemak ða þal þumi kï døjikïða gidaimi, na ooj ngan kïdïngã kï kïdë. 
GEN.5.31	Ndøg'n Lemek ndïn kï døn dõ tube i þal þutanãimïta kï døtanãimïta gidaitanãimïta, kamla oi.
GEN.5.32	Noe ða þal þumi, na ooj Sem kï Kam kï Japet.
GEN.6.1	Lon deg mbãngirr bïla døningt kïdøtdøt, na oojïn ngan kïdëg, 
GEN.6.2	ngan Luwah oon ngan kïdëg lo deg mandïn takumdt kïdum. Taan îngïn nélind nëdt. 
GEN.6.3	Bïraþe el an: Ndilïm a ørr nõ de mbãkïnõt al, kïtø ða majg loa: de i dãrota, na ndøag a în þal þukïða kï døjoo al. 
GEN.6.4	Kaglot'n non sikïm deg în døningt, lînt þaitø lon ngan Luwah awïn ro ngan kïdëgt lo deg, na oojïn sed ngan'g. Îgïn non la în gõðøøg kï tød ko kaglot kïmaði.
GEN.6.5	Bïraþe oo majal lo de i ngãi kï tøi døningt, na køjta kïðen lo tagahg kïkamat i kïmajal kïndøgndøg. 
GEN.6.6	Na Bïraþe ndïnga ron dø ndaht'n ndah de døningt, ad ta õ kama. 
GEN.6.7	Bïraþe el an: M'a n'nuj de'n m'ndaha døningt kø, mbagirra dø det mbã tee dø dãgt kï nyag kï kørr kød'd ber kï yelg kïdõ, kïtø m'ndïnga rom dø ndaht'n n'ndahd. 
GEN.6.8	Na Noe ngah maj takum Bïraþet.
GEN.6.9	Îgïn ten la în ngaka Noe ye. Noe i de kïdenesew kï kïkasïnatap ku degt kï kaglot loa. Noe ndulo go ðobg lo Luwah. 
GEN.6.10	Noe ooj ngan kïdïngã mïta: Sem kï Kam kï Japet. 
GEN.6.11	Luwah oo døning, na døning tuj kïtø dãro kïðen mbel go pa ndian døningt. 
GEN.6.12	Luwah nøl døning, na oo i kïtuj kïtø deg tube tujïn ðob lod døningt.
GEN.6.13	Luwah el Noe an: Deg tube døboid asï nomt, kïtø døning ðoosï kï nyaða kï lo ngetøgt kïtøkul deg, na m'a m'nujd kø nat kï døning. 
GEN.6.14	I ða too kïbo kï kag goper kïngang, i gang kama dangdang, na i tîya kama kï gida kï nyatîya nya. 
GEN.6.15	Titbe la a i ðan too kïbo ye, ngala a i metïr þu kï dømi, tata i metïr døjoo gida i mi, na ngala kïdõ i metïr kïlah gida i mi. 
GEN.6.16	A i ða burrolo kad too kïbot dõ asï nusï metïr kïða. A i ða tabita borkadat. A i ða kam too kïbo dønat mïta, kïdasa kï kïkõjoo kï kïkõmïta. 
GEN.6.17	Oo maj, mî m'a m'ad mankõ kïbobe ðe dø døningt kad nuj nyag tube kïgirr dørãt kø, nyag'n kò kumkajir i kamdt. Nya kïðen kï døningt a oi kø. 
GEN.6.18	M'a m'un køm m'adi, m'ad to kïðubagt: And kam too kïbot, î kï ngani kïdïngã kï nëi kï në ngani kïdïngã nat sei. 
GEN.6.19	A ad nya kï kumkajir kïðen kï dã kïðen andïn joo joo kam too kïbot kïgo kîdt, kad ngonïnd kumkajir nat sei, bøw kï kõ. 
GEN.6.20	Yelg kïgo girrdt dangdang kï nyakulg kïgo kîdt, kï nya kï kørr kød ber kïðen, girrd kïðen a ðen roit joo joo kad ngomïnd kumkajir. 
GEN.6.21	Na i kaw nyasa kïðen kïnat i ngomd kad telïn nyasai kï nyasad. 
GEN.6.22	Noe ða titbe, ða nya tube njarrïr tit'n Luwah ndaan mber kad ða.
GEN.7.1	Bïraþe el Noe an: And kam too kïbot, î kï ngékïþe loi tube. Kïtø m'oo î kïðabe î de kïdenesew nomt ku degt kï koht'n ðan 
GEN.7.2	Ku dãgt kïkar tube, a i hød kï roit, bøw kï kõ, girr tanãimïta, na ku dãgt kïkar al, a i hød kïroit, bøw kï kõ. 
GEN.7.3	A i hø yelg kïdõ tø, bøw kï kõ girr tanãimïta, kïtøkad ngomïn ne kohd døningt kïtaagbe. 
GEN.7.4	Kïtø nãi ndø tanãimïta be m'a m'ad ndii ed døningt ndø døsøø kï kàd døsøø. M'a m'nuj nya kï kumkajir kïðen kï m'ða døningt kø. 
GEN.7.5	Noe ða nyag tube'n Bïraþe ndaa mber kad ða.
GEN.7.6	Þal Noe i þukïbojidet lon mankõ kïbobe ðe døningt. 
GEN.7.7	Na Noe and kam too kïbot nat kï nganïn kïdïngã kï nën kï në nganïn kïdïngã kïtø kaj rod ta mankõt kïbobe. 
GEN.7.8	Ku dãgt kïkar kï kïkar al, kï yelg kï nya kï kød ro kïðen 
GEN.7.9	andïn joo joo, bøw kï kõ, go Noet kam too kïbot tit'n Luwah ndan mber Noe. 
GEN.7.10	Ndø kïtanãimïta tøin na man õ ngãi tuw døning. 
GEN.7.11	Lon þal Noe i þukïbojidet, kam naht kïkõjoo kï ndø kïkïlah gidaitanãimïta lo nah'n non ye, ndøt'n non man'g kïþa tube þan kokam hoolþet kïbobe kïwo kïþing, na burrolog kï dørãt teen rang. 
GEN.7.12	Ndii ed døningt ndø døsøø kï kàd døsøø. 
GEN.7.13	Ndøt'n non la Noe and kam too kïbot nat kï Sem kï Kam kï Japet, ngan Noe kïdïngã kï në Noe kï në ngana kïdïngã kïmïta nat sed: 
GEN.7.14	în kï dã kïðen kïgo gïrrat kï nyakulg tube kïgo girrdt, kï nya kï kød ron døningt kïðen kïgo girrdt, kï yel kïðen kïgo girrdt, kï nya kï kumkajir kïðen kï þai kï bøgïn. 
GEN.7.15	Nyag kï kumkajir tube'n kó kumkajir i kamdt ye, andïn joo joo go Noet kam toot kïbo. 
GEN.7.16	Girr dãg kïðen, bøw kï kõ, andïn kam toot kïbo kï Noe, bøw kï kõ, kï dã kïðen, andïn tit'n Luwah ndan mbera Noe. 
GEN.7.17	Mankõ kïbobe ørr lo døningt ndø døsøø, man õ, un too kïbo kïdõ, ad too kïbo þai kïdõ dø døningt. 
GEN.7.18	Man þai, õ ngãi kï tøi døningt, na too kïbo i dø mant. 
GEN.7.19	Man þai døningt kïdøtdøt kïdumbit mbã tuw dø mbalbog kïngal puwuw kïgirr dørãt kïtaagbe. 
GEN.7.20	Man tuw dø mbalbog kïngal puwuw asï metïr tanãimïta. 
GEN.7.21	Nyag kï kumkajir tube'n ødïn rod døningt oin kø: yelg kï nyakulg kï dãg kïmut kï nyag kï kød rod kï deg tube tø. 
GEN.7.22	Nya kïðen kï døningt kï kò kumkajir i bulo kõnat, oi. 
GEN.7.23	Titbe la nya kï kumkajir kïðen kï døningt nuj dø det mbã kï nyakult, kï nya kïðen kï ød ron døningt kï yelg kïdõ, Luwah nujd kø døningt. Noe kïkïðanbe nat kï îgïn în nat sia la nãin kam too kïbot ye.
GEN.7.24	Mankõ kïbobe ða ndø þu kï dømi døningt.
GEN.8.1	Luwah ga kamïn dø Noet kï dãg tube kï nyakulg tube'n în nat sia kam too kïbot. Na Luwah ad nél la kïdø døningt ad man tel. 
GEN.8.2	Man'g kïþa kokam hoolþet kïko kïþing kï burrolog kï dørãt utïn tad, ndii nya ta ked. 
GEN.8.3	Man kï dø døningt tel janjan, na ii go ndøgt kï þu kïdømi. 
GEN.8.4	Kam naht kïkõtanãimïta kï ndø kïkïlah gidaitanãimïta lo nah'n non ye, too kïbo dïþa dø mbalbot kï Ararat. 
GEN.8.5	Man ndii ii mbã nah kïkõkïlah. Kam naht kïkõkïlah, kï ndø kïdasa bang lo nah'n non ye, tasom mbalbog kïngal puwuw teen. 
GEN.8.6	Go ndøt kï døsøø Noe tee ta burrolo'n ða kad too kïbot. 
GEN.8.7	La kagã ada aw, a lago log aw ho tel ho mbã man ii ad døning tut. 
GEN.8.8	Kamla la derr ad aw kïtøkad oo ke man ii døningt a? 
GEN.8.9	Na derr ngah lo mad kï nda njant al, ad tel kï roat gog kam too kïbot, kïtø man ut dø døningt kïtaagbe. Noe la jin høn derr kïront kam too kïbot. 
GEN.8.10	Ngoo ndø tanãimïta þaitø, kamla la derr ada tee kam too kïbot gog tø. 
GEN.8.11	Derr tel kï roat gog lokïsøle, na hø mbi kag bir kïmbool tant. Titbe la Noe ger ta kad man ii dø døningt. 
GEN.8.12	Ngoo ndø tanãimïta þaitø kamla la derr ada tee, na tel kï roat gog al ta. 
GEN.8.13	Þalt kï þukïbojidet gidaikïða, kam ndøt kïdasa lo nah kïdasa, man ii ad døning tut. Noe ørr nyakutdø too kïbo kø, na nøl lo. Na oo døning tube tut. 
GEN.8.14	Kam naht kïkõjoo, kï ndø kïkõdøjoo gidaitanãimïta lo nah'n non ye, døning tube tut kurum woi,
GEN.8.15	Luwah el Noe an: 
GEN.8.16	I tee kam too kïbot, î kï nëi kï ngani kïdïngã kï në ngani nat sei. 
GEN.8.17	Ad nya kï kumkajir kïðen kï dã kïðen kï i nat sei tee, kï yelg kï nyakulg kï kød ron døningt kïðen, kad kï bãïn døningt, kï oojïn na, kï bïlan kïdøtdøt døningt. 
GEN.8.18	Noe tee kï nganïn kïdïngã kï nën kï në nganïn nat sen. 
GEN.8.19	Dãg tube, kï dã kïdug tube, yel tube kï nya kïðen kï ød ron døningt tube, teen kam too kïbot kï girr koojd koojd.
GEN.8.20	Noe ða dïngïr kadkari ad Bïraþe, na hø kïmadg ku dangt kïkar tube, kï kïmadg ku yelgt kïkar tube, na lad kadkari kïlahorrt dø dïngïr kadkarit. 
GEN.8.21	Bïraþe ün sé kïkootmbî kï sølkam takõnïnt na el kamïnt an: M'a m'ndøl døning gog kïtatø de al ta, kïtø rota tagah kïngarkam det majal lon în kï Basan nu. Na m'a m'nuj nya kï kumkajirg tube, tit'n m'ðan kete nõ al ta. 
