GEN.1.1	Maawac tahsh kihci niikaan, Kishemanitoo okii oshihtoon kiishik, ahkiini kaye. 
GEN.2.21	Miitahsh kaaTipenciketc Kishemanitoo okiih kihpakinkwahshimaan ini ininiwan, miihsh kaa⁠ishi nipaanitc. Okii otaahpinamawaan tahsh peshik ohpikekanini. Meshkwac tahsh wiiyaahs okiih kipa'ikaaken kaakii onci otaahpinaatc ohpikekanan. 
GEN.2.22	I'imaa tahsh ohpikekaniniink okii onci oshi'aan ini ihkwewan. Miitahsh kaakii ishi piitamawaatc ini ininiwan. 
GEN.2.23	Miitahsh o'o inini kaa⁠ihkitotc,
GEN.2.23	“Miiwa'a kekahpii wakiic kaa⁠onciitc nihkanink,
GEN.2.23	waayaahsiwitc kaye kaa⁠onciitc niwiiyaahsink.
GEN.2.23	Miitahsh ihkwe ta⁠ishinihkaaso
GEN.2.23	aaniihsh mii 'imaa kii⁠onci otaahpinikaniwi ininiink.”
GEN.2.25	A'a tahsh inini, a'a kaye ihkwe minciniish piko kaawiin kiih⁠kikihkonayehsiiwak kaawiin tahsh kii⁠akacihsiiwak.
GEN.3.2	A'a tahsh ihkwe okii'inaan ini kinepikoon, “Pisaanihsako nimiicimin miinan kaa‑akootekin mihtikonk i'imaa kihtikewahkamikonk. 
GEN.3.3	O'o tahsh kii‑ihkito Kishemanitoo, ‘Kaawiin kika onci amominehsiim a'a mihtik mekweya'ii kihtikewahkamikonk kaa⁠patahkisotc, kaawiin kaye kika taankinaasiwaawaa, mii hsa 'i ci⁠nipoyek kiishpin.’ ”
GEN.3.4	A'a tahsh kinepik okii'inaan ihkwewan, “Kaawiin tepwe kika nipohsiim. 
GEN.3.5	Inashke aaniihsh Kishemanitoo kikihkenimikowaa ahpii i'imaa onci amomineyek, kika ishi'ayaam taapishkoo Kishemanitoo ci⁠kihkentamek mino'ishiwepisiwin, maci'ishiwepisiwin kaye.”
GEN.3.6	Ahpii tahsh ihkwe wiyaapamaatc ini mihtikoon e⁠onishihshinitc ci⁠ontancikewintc, aahpici kaye ekii minwentamo naakosinitc, ekii mihsawinaakosinitc kaye ini mihtikoon, okii otaahpinaan a'a ihkwe i'i miin ekii miicitc. Miitahsh kaye kaa⁠ishi ahshamaatc onaapeman. 
GEN.3.7	Miitahsh kaakii miinintwaa kihkentamowin mii 'i shemaak kaakiih kihkentamowaatc e⁠kikihkonayehsikwaa. Miitahsh kaa⁠ishi maamawikwaatamowaatc kihci shoominaahtikowi aniipiihshan ekii oshihtamaasowaatc aansiyaanan.
GEN.3.8	Okii noontawaawaan tahsh kaaTipencikenitc Kishemanitoon eh⁠pimwewenaminitc kihtikewahkamikonk eh⁠tahkinaakohshininik. Miitahsh kaa⁠ishi kaasohtawaawaatc kaaTipencikenitc Kishemanitoon a'a inini, a'a kaye ihkwe, mekweyaahtik ekii ishaawaatc kihtikewahkamikonk. 
GEN.3.9	KaaTipenciketc Kishemanitoo tahsh okii antomaan ini ininiwan, “Aanti eyaayan?” ekii'inaatc.
GEN.3.10	Inini tahsh kii‑ihkito, “Kikii noontawin i'imaa kihtikewahkamikonk. Ninkii onci sekis kekoon e⁠kikishkansiwaan kaakii onci kaasoyaan.”
GEN.3.11	Kii‑ishi nahkwehtawaa tahsh, “Awenen kaa⁠inihk kekoon e⁠kikishkansiwan? Kikii onci wiihsin ina a'a mihtik kaakii onci'inaan ci⁠onci wiihsinihsiwan?”
GEN.3.12	A'a tahsh inini kii‑ihkito, “A'awe ihkwe kaakii miishiyan ci⁠wiiciiwak, mii 'awe kaa⁠onci ahshamitc i'imaa mihtikonk miin. Miitahsh kaa⁠ishi miiciyaan.”
GEN.3.14	KaaTipenciketc Kishemanitoo tahsh okii'inaan ini kinepikoon, “Aahpici kikihci paahtaamikoowihs onci o'o kaakii ishihcikeyan, ahpiihc wiin oko kahkina awahkaanak, oko kaye kahkina aya'aawihshak. Kiin tahsh wiin kika mihci mihsate'ote, kika miicin i'i paankwaawank minihk ke⁠pimaatisiyan. 
GEN.3.15	 Kika ishi'ininim ci⁠shiinkenintiyek a'a ihkwe, kiniicaanihsiwaak kaye ta⁠shiinkenintiwak. Wiin tahsh a'a ihkwe ke⁠oniicaanihsitc kika shikohtikwaaneshkaakowaan, kiin tahsh kika wiihsakishkawimaan otoontaniniink.”
GEN.3.16	Ihkwewan tahsh okii'inaan, “Nawac kika ishi'in awahshime ci⁠wiihsakentaman kikishkawaawahsoyan, ci⁠wiihsakentaman kaye waapamaawahsoyan. Kika antawenimaa tahsh kinaapem. Wiin tahsh kika tipenimik.”
GEN.3.18	Kika nihtaawikihtamaakon tahsh ahki miinenhsaahtikook, okaawiminakashiipakoon kaye. Ini tahsh ashkipakoon kaa⁠nihtaawikinkin ahkiink, miiwan hsa ini ke⁠omiicimimiyan. 
GEN.3.19	Nahkawe ci⁠apwenohkiiyan cipwaa miiciyan kimiicimim piinihsh cini ishkwaa pimaatisiyan cini kiiweyan i'imaa ahkiink kaakii onci oshi'ikooyan. Kipaankwataawankis aaniihsh, miihsh i'imaa keshi kiiweyan.”
GEN.3.20	A'a tahsh inini Aatam
GEN.3.21	KaaTipenciketc Kishemanitoo tahsh okii oshihtamawaa' Aatamoon, ini kaye ihkwewan ke⁠kikishkaminitc ekii onci oshihtootc aya'aawihshiwayaaniink.
GEN.3.23	Miitahsh kaa⁠ishi saakicinisha'waatc i'imaa kihtikewahkamikonk mino ahkiink Iitin 
GEN.3.24	Okii saakicikonkonaan itahsh ini ininiwan. Okii ahsaa' tahsh cerapiihkaana'
GEN.4.1	Aatam 
GEN.4.2	Naanaake tahsh miinawaa kotak kwiiwisenhsan kii⁠nihtaawikiwan wiicihkiweni, Epal 
GEN.4.3	Naanaake tahsh e⁠ani ishihsenik Ken okiih piitoon kaakii nihtaawikihtootc okihtikewahkamikonk, ekiih pakitinamawaatc kaaTipencikenitc. 
GEN.4.4	 Epal tahsh kaye okiih pakitinamawaan kaaTipencikenitc, ekiih piinaatc maawac iko nihtam kaakii nihtaawikinitc maanahcaanihshenhsa' kaakii onciinitc omaanahcaanihshimink. Ekiih pakitinaatc maawac hsa piko eshi pimitewinitc. KaaTipenciketc hsa okii minwaapamaan Epalwan, okii minwaapantamawaan kaye kaakiih pakitinaminitc. 
GEN.4.5	KaaTipenciketc tahsh kaawiin okii minwaapamaahsiin Kenan, i'i kaye kaakiih pakitinamaakotc. Ken tahsh wiinke kii⁠nishkaatisi, kii⁠nihsitawinaakosi kaye ekii maanaapantank. 
GEN.4.6	KaaTipenciketc tahsh okii'inaan Kenan, “Wekonen wenci nishkaatisiyan, wekonen kaye wenci nishkinaakosiyan? 
GEN.4.7	Kiishpin kwayahk ishihcikeyan kitaa nakanikoon i'i kaashi maanaapantaman. Kiishpin tahsh kwayahk ishihcikehsiwan, macitootamowin ohsha ciikaya'ii kitahkamaakoon ci⁠otihtinikoyan. Keko pakitinanken macitootamowin ci⁠tipenimikoyan.”
GEN.4.9	KaaTipenciketc tahsh okii'inaan Kenan, “Aaniinti tahsh a'a Epal kiicihkiwensi?” Ken tahsh kii‑ishi nahkwehtam, “Kaawiin ninkihkenimaahsii aaniinti eyaakwen. Niin ina ke⁠kanawenimakipan niicihkiwensi?”
GEN.4.11	Noonkom tahsh ahkiink kitonci macakins, aaniihsh mii 'i eshinaakwahk i'i taapishkoo mihtahkamik ekii minihkwaatank kiicihkiwensi omiskwiim kaakii oncikawininik: kiin tahsh i'i kitishihcikewin. 
GEN.4.12	Ahpii tahsh kihtikeyan i'imaa kihtikewahkamikonk, kaawiin kekoon kika kashkihtoohsiin ci⁠nihtaawikihtooyan. Kiin kaye kika tinow awiya ninkoci kaa⁠ishitaahsik, misiwe ahkiink kika papaawawaanentam.”
GEN.4.13	Ken tahsh okii'inaan kaaTipencikenitc, “O'owe kaashi nana'ahshiyan, wawiinke nisanakentaan ci⁠pimiwitooyaan. 
GEN.4.14	Inashke kaye noonkom kaa⁠kiishikahk ninkoci kitinaamohka'ish o'omaa kihtikewahkamikonk, ninkoci kaye kitinaamohka'ish o'omaa enaahsamiiyan. Niin tahsh kaawiin ninkoci ninka ishitaahsii, misiwe kaye ahkiink ninka papaawawaanentam. Awiyak hsa kaye ke⁠mihkawiwaatc pisaaniko ninka nihsikook.”
GEN.4.15	KaaTipenciketc tahsh okii'inaan Kenan, “Kiishpin hsa awiya nihsihk, niishwaahcink minihk ninka ishi kiiwenamawaa ke⁠tootawihk.” KaaTipenciketc tahsh okii kihkinawaaci'aan Kenan ke⁠onci nihsaahsiwimintc awiyan nakishkaakonitc. 
GEN.4.16	Ken tahsh anoociko kii⁠onci ishaa eshi'ayaanitc kaaTipencikenitc. Weti tahsh Naat 
GEN.4.17	Ken 
GEN.4.18	Iinaahk 
GEN.4.19	Lemehk tahsh kii⁠niishiwa' (2) wiiwa'. Etah 
GEN.4.20	A'a tahsh ihkwe Etah okii nihtaawiki'aan Cepalwan 
GEN.4.21	Kaakii owiicihkiwenitc tahsh Coopal 
GEN.4.22	A'a tahsh kewiin kotak ihkwe Silah okii nihtaawiki'aan kwiiwisenhsan Toopal Ken 
GEN.4.23	Lemehk tahsh o'o okii'inaa' wiiwa',
GEN.4.23	“Etah 
GEN.4.23	kaa⁠wiiwiminakook, taka pisintawihshik!
GEN.4.23	Ninkii nihsaa inini aaniihsh ninkii maahki'ik,
GEN.4.23	kii⁠oshkaatisi ninkii pahkite'ok.
GEN.4.24	Kiishpin niishwaahso (7) awiyak ci⁠nihsintwaapan
GEN.4.24	enakintekwen Ken onci,
GEN.4.24	niishwaahsimitanashiniishwaahso (77) tahsh niin Lemehk
GEN.4.24	awiyak ta⁠nihsaawak kiishpin nihsikooyaan,”
GEN.4.24	kii‑ihkito.
GEN.4.25	Aatam 
GEN.4.26	Seht tahsh kewiin kii⁠ani okosihsi, Iinaash 
GEN.5.2	 Okii oshi'aan ininiwan kaye ihkwewan ci⁠tinowinitc. Miitahsh kaa⁠ishi shawenimaatc ekii ishinihkaanaatc Pemaatisitc. 
GEN.5.3	Ahpii hsa Aatam ninkotwaahk nihsimitana (130) kaa⁠tahso pipoonwetc okosihsan kii⁠nihtaawikiwan ekii ishinaakosinitc mayaa eshinaakositc. Seht 
GEN.5.4	Keyaapi tahsh nihshwaahswaahk (800) tahso pipoon kii⁠ani pimaatisi ahpii kii‑ishkwaa ayaawaatc ini okosihsan. Keyaapi hsa aaninta apinoonciisha' okiih pi ayaawaa'. 
GEN.5.5	Aatam hsa shaankahswaahk nihsimitana (930) kiih⁠tahso pipoonwe miihsh kaa⁠ishi ishkwaa pimaatisitc.
GEN.5.6	A'a hsa Seht ninkotwaahk naanan (105) eh⁠tahso pipoonwetc mii hsa 'i kaakii okosihsitc, Iinaash 
GEN.5.7	Keyaapi hsa nihshwaahswaahk niishwaahso (807) tahso pipoon Seht hsa kii⁠ani pimaatisi kaa⁠ishkwaa ayaawaatc ini okosihsan. Keyaapi hsa aaninta apinoonciisha' okiih pi ayaawaa'. 
GEN.5.8	Seht hsa shaankahswaahk mitaahshiniishin (912) kiih⁠tahso pipoonwe, miihsh kaa⁠ishi ishkwaa pimaatisitc.
GEN.5.9	A'a hsa Iinaash shaankasimitana (90) eh⁠tahso pipoonwetc mii hsa 'i kaakii okosihsitc, Kiinan 
GEN.5.10	Keyaapi hsa nihshwaahswaahk mitaahshinaanan (815) tahso pipoon Iinaash kii⁠ani pimaatisi kaa⁠ishkwaa ayaawaatc ini okosihsan. Keyaapi hsa aaninta apinoonciisha' okiih pi ayaawaa'. 
GEN.5.11	A'a hsa Iinaash shaankahswaahk naanan (905) kiih⁠tahso pipoonwe, miihsh kaa⁠ishi ishkwaa pimaatisitc.
GEN.5.12	A'a hsa Kiinan niishwaasimitana (70) eh⁠tahso pipoonwetc mii hsa 'i kaakii okosihsitc Mahelaliiyal 
GEN.5.13	Keyaapi hsa nihshwaahswaahk niimitana (840) tahso pipoon Kiinan kii⁠ani pimaatisi kaa⁠ishkwaa ayaawaatc ini okosihsan. Keyaapi hsa aaninta apinoonciisha' okiih pi ayaawaa'. 
GEN.5.14	A'a hsa Kiinan shaankahswaahk mitaahso (910) kiih⁠tahso pipoonwe, miihsh kaa⁠ishi ishkwaa pimaatisitc.
GEN.5.15	A'a hsa Mahelaliiyal ninkotwaahsimitanashinaanan (65) eh⁠tahso pipoonwetc, mii hsa 'i kaakii okosihsitc, Ceret 
GEN.5.16	Keyaapi hsa nihshwaahswaahk nihsimitana (830) tahso pipoon Mahelaliiyal kii⁠ani pimaatisi kaa⁠ishkwaa ayaawaatc ini okosihsan. Keyaapi hsa aaninta apinoonciisha' okiih pi ayaawaa'. 
GEN.5.17	A'a hsa Mahelaliiyal nihshwaahswaahk shaankahsimitanashinaanan (895) kiih⁠tahso pipoonwe, miihsh kaa⁠ishi ishkwaa pimaatisitc.
GEN.5.18	A'a hsa Ceret ninkotwaahk ninkotwaahsimitanashiniishin (162) eh⁠tahso pipoonwetc, mii hsa 'i kaakii okosihsitc, Iinaahk 
GEN.5.19	Keyaapi hsa nihshwaahswaahk (800) tahso pipoon Ceret kii⁠ani pimaatisi kaa⁠ishkwaa ayaawaatc ini okosihsan. Keyaapi hsa aaninta apinoonciisha' okiih pi ayaawaa'. 
GEN.5.20	A'a hsa Ceret shaankahswaahk ninkotwaahsimitanashiniishin (962) kiih⁠tahso pipoonwe, miihsh kaa⁠ishi ishkwaa pimaatisitc.
GEN.5.21	A'a hsa Iinaahk ninkotwaahsimitanashinaanan (65) eh⁠tahso pipoonwetc, mii hsa 'i kaakii okosihsitc Miihtoosala 
GEN.5.22	Ahpii hsa kaa⁠ishkwaa ayaawaatc ini okosihsan, Iinaahk hsa kwayahk keyaapi okii ani wiiciiwaan Kishemanitoon nihswaahk (300) tahso pipoon minihk. Keyaapi hsa aaninta apinoonciisha' okiih pi ayaawaa'. 
GEN.5.23	Iinaahk hsa nihswaahk ninkotwaahsimitanashinaanan (365) maamaw kiih⁠tahso pipoonwe. 
GEN.5.24	 Iinaahk hsa kwayahk okii wiiciiwaan Kishemanitoon, eshkwaac itahsh iko kaawiin kii⁠onci kihkentaakosihsii, aaniihsh Kishemanitoon okii maaciinikoon.
GEN.5.25	A'a hsa Miihtoosala ninkotwaahk nihshwaahsimitanashiniishwaahso (187) eh⁠tahso pipoonwetc mii hsa 'i kaakii okosihsitc, Lemehk ekii ishinihkaanaatc. 
GEN.5.26	Keyaapi hsa niishwaahswaahk nihshwaahsimitanashiniinshin (782) tahso pipoon Miihtoosala kii⁠ani pimaatisi kaa⁠ishkwaa ayaawaatc ini okosihsan. Keyaapi hsa aaninta apinoonciisha' okiih pi ayaawaa'. 
GEN.5.27	A'a hsa Miihtoosala shaankahswaahk ninkotwaahsimitanashishaankahso (969) kiih⁠tahso pipoonwe, miihsh kaa⁠ishi ishkwaa pimaatisitc.
GEN.5.28	A'a hsa Lemehk ninkotwaahk nihshwaahsimitanashiniishin (182) eh⁠tahso pipoonwetc, mii 'i kaakii okosihsitc. 
GEN.5.29	Noowa 
GEN.5.30	Keyaapi hsa Lemehk naanwaahk shaankasimitanashinaanan (595) tahso pipoon kii⁠ani pimaatisi kaa⁠ishkwaa nihtaawikinitc Noowawan. Keyaapi hsa aaninta apinoonciisha' okiih pi ayaawaa'. 
GEN.5.31	A'a hsa Lemehk niishwaahswaahk niishwaahsimitanashiniishwaahso (777) kiih⁠tahso pipoonwe, miihsh kaa⁠ishi ishkwaa pimaatisitc.
GEN.5.32	Ahpii hsa Noowa naanwaahk (500) eh⁠tahso pipoonwetc, mii 'i kaakii ani okosihsitc. Miihsh o'o kaa‑ayishinihkaasonitc: Shem 
