MAT.1.1	LIOAR Sheeloghe Yeesey Creest, Mac Ghavid, Mac Abraham.
MAT.2.1	NISH tra va Yeesey er ny va Ruggitt ayns Bethlehem, dy Yudea, ayns laghyn Ree Herod, cur‐my‐ner haink deney creeney veih’n Shar gys Jerusalem,
MAT.2.2	Gra, Cre vel Ree ny Hewnyn te’r jeet er y teihl? Son honnick shin y Rollage echey ayns y Shar, as ta shin er jeet dy chur ooashley da.
MAT.2.3	Tra cheayl Ree Herod shoh, ve seaghnit as ovilley Jerusalem marish.
MAT.2.4	As tra ve er jaglym cooidjagh, ooilley ny ard‐saggyrtyn as scruderyn y pobble, denee e jeu, cre’nraad va Creest dy heet er y teihl.
MAT.2.5	As doort adsyn rish, Ayns Bethlehem dy Yudea: Son shoh myr te scruit liorish y Phadeyr;
MAT.2.6	As uss Bethlehem ayns talloo Yuda, cha nee oo sloo ta, mastey Prinsyn Yudah: Son assyds hig Kianoort nee reill my phobble Israel.
MAT.2.7	Eisht hug Herod fys gy follit er ny deney creeney, as, denee e jeu dy imneagh, cre’n tra va’n Rollage er ny akin.
MAT.2.8	As hug e ad gys Bethlehem, gra immee‐jee, as shir‐jee magh dy kiaralagh Son y lianoo aeg, as tra vees shin er gheddyn e, tar‐jee lesh fys hyms, dy voddyms myrgeddyn cheet as ooash ley chur da.
MAT.2.9	Tra va’n Ree erreish loart, jimmee ad rum‐boo, as cur‐my‐ner, hie, yn Rollage honnick ad ayns y Shar, roue, derrey haink ee as hass ee harrish yn ynnyd, raad va’n lianoo.
MAT.2.10	Tra honnick ad y Rollage va’d lieent lesh boggey er skyn towse.
MAT.2.11	¶ As tra vad er jeet stiagh ayns y thie, honnick ad y liannoo aeg marish Moirrey e Voir, as huitt ad sheese as hug ad ooashlev da; as tra vad er vosley ny tashtaghyn oc, heb ad da giootyn, aer, as frankincense as myrrh.
MAT.2.12	As fakin dy row Jee er chur roue ayns ashlish, nagh row ad dy hyndaa gys Herod, jimmee ad gys nyn jeer hene raad elley.
MAT.2.13	As tra vad er gholl roue, haink Ainle y Chiarn gys Joseph ayns ashlish, gra, irree as gow yn Lianoo aeg as e voir, as gow er‐chea gys Egypt, as furree ayns shen, derrey verryms liam fys hood: Son shirree Herod y liannoo dy stroie e.
MAT.2.14	Tra ve er nirree, ghow e yn liannoo as e voir ayns yn ny, as hie e roish gys Egypt.
MAT.2.15	As ve ayns shen, derrey baase Herod: dy voddagh shen ve cooilleenit va’n Chiarn er loart liorish y Phadeyr, gra, Magh as Egypt deie mee er my Vac.
MAT.2.16	¶ Tra honnick Herod eisht, dy row e mollit liorish ny deney creeney, ve feer jymmoosagh, as hug e magh sarey, as vare ooilley yn chloan v’ayns Bethlehem, as ayns ooilley ny ardjyn shen, veih daa vleïn dy eash as fo, cordail rish yn earish ve dy imneagh er vriaght jeh ny deney creeney.
MAT.2.17	Shen y tra va cooilleenit, ny va loarit liorish Jeremy yn phadeyr gra,
MAT.2.18	Ayns Rama va coraa er y chlashtyn, ullaghey as keaney as dobberan moar, Rachel keaney son e cloan, as gobbal dy ve er y gerjaghey, er‐yn‐oyr nagh row ad er‐mayrn.
MAT.2.19	¶ Agh tra va Herod marroo, cur‐my‐ner haink Ainle y Chiarn ayns ashlish gys Joseph ayns Egypt,
MAT.2.20	Gra, irree as gow yn liannoo as e voir, as gow gys talloo Israel, son tar adsyn marroo va shirrey bioys y liannoo.
MAT.2.21	As dirree e, as ghow e yn liannoo as e Voir, as haink e gys talloo Israel.
MAT.2.22	Agh tra cheayl e, dy nee Archelaus va reil ayns Judea ayns ynnyd e ayr Herod, va aggle er dy gholl ayns shen, agh hyndaa e, myr va Jee, er chur roish ayns ashlish, gys Ardjyn Galilee.
MAT.2.23	As haink e as ren e vaghey ayns ard‐valley enmyssit Narazeth, dy voddagh ny va loarit liorish ny Phaderyn ve cooilleenit, Bee e enmyssit ny Nazarene.
MAT.3.1	AYNS ny laghyn shen haink Ean Bashtey, preacheil ayns faasagh Judea,
MAT.3.2	As gra, gow‐jee arrys: Son to Reeriaght Yee er‐gerrey.
MAT.3.3	Son shoh e va loarit jeh, liorish y Phadeyr Esaias, gra, Coraa fer gemagh ayns yn aasagh, Jean‐jee aarloo raad y Chiarn, jean‐jee ny cassanyn echey kiart.
MAT.3.4	As va ec Ean keddyn coamrey dy chlooie chamel, as cryss liare mish ny meeghyn echey; as va e veaghey locustyn as mill feie.
MAT.3.5	Eisht hie magh huggey Jerusalem as ooilley Judea, as ooilley’n cheer mygeart Jordan,
MAT.3.6	As va’d er nyn mashtey liorish ayns Jordan, goal rish nyn beccaghyn.
MAT.3.7	¶ Agh tra honnick e ymmodee jeh ny Phariseyn as ny Saduceyn cheet gys e vashtey, doort e roo, O heeloghe dy ard‐nieughyn, quoi te’r chur raue div, dy hea veih’n chorree ta ry heet?
MAT.3.8	Ymmyrk‐jee magh er‐y‐fa shen mess cooie jeh arrys.
MAT.3.9	As ny smooinee‐jee dy ghra cheu‐stie jiu hene, Ta Abraham ain son nyn ayr: son ta mee gra riu, dy vel Jee able jeh ny claghyn shoh, cloan y hroggal seose da Abraham.
MAT.3.10	As nish myrgeddyn tan teigh er ny choyrt gys fraue ny miljyn: shen‐y‐fa ta dy chooilley villey nagh vel gymmyrkey magh mess mie, dy ve giarit sheese as tilgit ayns yn aile.
MAT.3.11	To mish dy jarroo dyn mashtey shiu lesh ushtey gys arrys; agh ta eshyn ta cheet my yei, ny spooaral ny mish, ny Braagyn echey cha vel me feeu dy ymmyrkey: Bashtee eshyn shiu lesh y spyrryd Noo as lesh aile.
MAT.3.12	Ta’n cleayst echey ayns e laue, as nee e dy bollagh e laar‐arroo y ghlenney, as gowee e e churnaght stiagh ayns y thie‐tashtee, agh loshtee e yn choau lesh aile nagh vod v’er ny vooghey.
MAT.3.13	¶ Eisht haink Yeesey veih Galilee gys Jordan gys Ean, dy ve er ny vashtey liorish.
MAT.3.14	Agh loar Ean noi, gra, Ta feme ayms er ve bashtit liorts, as vel uss er‐jeet hyms?
MAT.3.15	Dreggyr Yeesey, as doort e rish, cur raad dou nish: son shoh myr te cooie dooin dy chooilley chairys y chooilleeney. Eishtagh lig e da.
MAT.3.16	As hie Yeesey, tra ve’r ny vashtey, seose chelleeragh as yn ushtey: as cur‐my‐ner va ny Niaughyn er nyn vosley er e skyn, as honnick e spyrryd Yee cheet neose goll rish calmane, as soie er.
MAT.3.17	As cur‐my‐ner, coraa veih Niau, gra, Shoh my Vac graihagh, jeh ta mee dy moar soiaghey.
MAT.4.1	EIsht va Yeesey er ny leedeil, liorish spyrryd Yee gys yn aasagh, dy ver ny violagh liorish y drogh‐spyrryd.
MAT.4.2	As tra ve er drostey da‐eed laa as da‐eed ny, ve ny lurg shen accryssagh.
MAT.4.3	As haink y Miolyder huggey, gra, My she Mac Yee oo, cur sarey da ny claghyn shoh, dy ve jeant nyn arran.
MAT.4.4	Agh dreggyr eshyn, gra; Te scruit, Cha nee er arran ny lomarcan nee dooinney beaghey, agh liorish cre‐erbee ta cheet magh as beeal Yee.
MAT.4.5	Eisht hug y drogh spyrryd lesh e gys yn ard‐valley casherick, as hoie e e, er eer‐vullagh y chiamble,
MAT.4.6	As doort e rish, Mi she Mac Yee oo, tilg oo hene sheese: son te scruit, Ver e currym da e ainlyn my dty chione, as ayns nyn lauyn nee ad oo y ymmyrkey, er aggle ec earish erbee, dy bwoail oo dty chass noi clagh.
MAT.4.7	Doort Yeesey rish, Te scruit reesht, Cha jean oo yn Chiarn dty yee y violagh.
MAT.4.8	Reeshtagh hug y drogh spyrryd lesh e seose, er slieau feer ard, as yeeagh e da ooilley reeriaghtyn y teihl as y ghloyr oc:
MAT.4.9	As doort e rish, shoh ooilley verryms dhyt, my huittys oo sheese, as my ver oo ooashley dou,
MAT.4.10	Eisht doort Yeesey rish, Gow as my eanish Noid‐anmey: Son te scruit, Ver oo ooashley dan Chiarn dty Yee, as eshyn ny lomarcan nee oo y hirveish.
MAT.4.11	Eishtagh daag y drogh spyrryd e, as cur-my‐ner haink ainlyn as ren ad e y hirveish.
MAT.4.12	¶ Nish tra cheayl Yeesey, dy row ad er ghoal Ean, jimmee e roish gys Galilee.
MAT.4.13	As daag e Nazareth, as haink e dy vaghey ayns Capernaum, ta rish oirr ny marrey, ayns ardjyn Zabulon as Nephthalim.
MAT.4.14	Dy voddagh ve cooilleenit ny va loarit liorish Esaias yn phadeyr, gra,
MAT.4.15	Talloo Zabulon as talloo Nephthalim, er slyst ny marrey, cheu elley dy Yordan, Galilee jeh ny Ashoonyn:
MAT.4.16	Ta’n pobbyl, va nyn soie ayns dorraghys, er vakin Soilshey moar: as daue‐syn va nyn soie ayns cheer as scadoo’n vaish, ta soilshey er nirree seose.
MAT.4.17	¶ Veih’n tra shen, ren Yeesey toshiaght dy phreacheil, as dy ghra, Gow‐jee arrys, son ta reeriaght Yee er‐gerrey.
MAT.4.18	¶ As honnick Yeesey, myr ve shooyl liorish keayn Galilee, daa vraar, Simon va enmyssit Peddyr as Andreays e vraar, cur magh lieen ’sy cheayn (son vad nyn Eeastairyn,)
MAT.4.19	As doort e row, Eiyr‐jee orryms, as neems shiu nyn
MAT.4.20	As chelleeragh daag ad nyn lieenteenyn as deiyr ad er.
MAT.4.21	As tra ve er gholl veih shen, honnick e daa vraar elley, Jamys mac Zebedee as Ean e vraar, ayns long marish Zebedee nyn ayr, karraghey ny lieenteenyn oc: as deie e orroo.
MAT.4.22	As daag ad chelleragh y long as nyn ayr, as deiyr ad er.
MAT.4.23	¶ As hie Yeesey my‐geart ooilley Galilee, gynsaghey ayns ny Kialteenyn oc, as preacheil Sushtal y Ree riaght, as leiyhys dy chooilley hingys as dy choilley ghoghan, mastey’n pobble.
MAT.4.24	As hie yn ennym echey magh trooid ooilley Syria, as hug ad lieu huggey, ooilley adsyn va fo aslaintyn, adsyn va fo caghlaaghyn dy ghoghanyn as dy gheiaghyn, adsyn va drogh spyrrydyn ayndoo, yn vooinjer va eddrym ayns nyn geeal rish caghlaa ny haist, as adsyn va’n chingys-craa orroo, as ren e ad y leiyhys.
MAT.4.25	As deiyr er chaglym moar dy leih, veih Galilee, as Decapolis, as Jerusalem, as Judea, as veih cheu elley dy Yordan.
MAT.5.1	AS fakin leid ny earrooyn dy leih, hie e seose er slieau: as tra ve er hoie sheese, haink huggey yn vooinjer va sheer geyrt er.
MAT.5.2	As dosle e e veeal, as dynsee e ad, gra,
MAT.5.3	Bannit tar adsyn ta bought ayns spyrryd; Son lieusyn reeriaght Niau.
MAT.5.4	Bannit tar adsyn ta janoo dobberan: Son bee ad er nyn ngherjagh.
MAT.5.5	Bannit tar adsyn ta imlee: Son bee yn talloo oc ayns eiraght.
MAT.5.6	Bannit tar adsyn ta accryssagh as pa‐agh lurg cairys: Son bee ad er nyn nianoo magh.
MAT.5.7	Bannit ta’n vooinjer vyghinagh: Son bee myghin er ny hoilshagh daue.
MAT.5.8	Bannit tar adsyn ta glen ayns cree: Son nee ad Jee y akin.
MAT.5.9	Bannit tar adsyn ta tayrn sleih gys shee: Son bee ad enmyssit nyn gloan dy Yee.
MAT.5.10	Bannit tar adsyn ta surranse tranlaase er graih cairys: Son lieusyn reeriaght Niau.
MAT.5.11	Bannit ta shiuish, tra vees shiu oltooanit, as tranlaasit, as dy chooilley ghrogh red er ny ghra nyn oi eu, dy breagagh, er y choontey ayms.
MAT.5.12	Gow jee boggey as bee‐jee feer vooiaght: Son moar tan leagh eu ayns Niau: Son shoh myr ren ad tranlaase er ny phaderyn va rumbeue.
MAT.5.13	¶ Shiuish sollan y talloo; agh my ta’n sollan er choall e vlass, kys hig e vree ayn reesht? cha vel ymmyd erbe sodjey ny chouyr, agh dy ve tilgit magh as stampit fo cassyn deney.
MAT.5.14	Shiuish soilshey’n teihll. Ta ardvalley ta soit er cronck feer chronnal.
MAT.5.15	Cha‐mo ta sleih foddey kainle as dy choyrt ee fo saagh, agh ayns kanlere, as ti‐ee cur soilshey da ooilley ny t’ayns y thie.
MAT.5.16	Lig da’n soilshey eauish myr shen soilshagh kiongoyrt rish deney, dy vod ad fakin ny obbraghyn mie eu, as gloyr y choyrt da nyn ayr t’ayns niau.
MAT.5.17	¶ Ny smooinee‐jee dy daink mish dy chur mou yn leih as ny phaderyn: cha nee dy chur mou haink mee, agh dy lieeney.
MAT.5.18	Son dy firrinagh ta mee gra riu, derrey nee aer as talloo cherraghtyn cha bee yn ockle ny yn tittle er ny ghoal veih yn leih, derrey vees ooilley jeant magh.
MAT.5.19	Quoi‐erbee er‐y‐fa shen vrishys annane jeh ny Saraghyn sloo shoh, as ynsys deney myr shen, bee e enmyssit yn fer sloo ayns reeriaght Niau: agh quoi‐erbee nee nyn nianoo as nyn nynsaghey ad, bee e enmyssit moar ayns reeriaght Niau.
MAT.5.20	Son ta mee gra riu, mannagh bee yn Ynrycys eauish er skyn ynrycys ny Scruderyn as ny Phariseyn, nagh vod shiu er aght erbee goll stiagh ayns reeriaght niau.
MAT.5.21	¶ Ta shin er chlashtyn, dy row eh er ny ghra roosyn jeh’n chen earish, Cha jean oo dunverys: as quoi‐erbee nee dunverys, toillee e kerraghey’n vriwnys.
MAT.5.22	Agh ta mish gra riuish, quoi‐erbee ta corree rish e vraar fegooish oyr, dy doill e dy ve deyrit liorish y vriwnys: as quoi‐erbee jir rish e vraar, Raca, dy doill e ve’r ny gheyrey liorish y choonceil: agh quoi‐erbee jir Uss ommydan, dy doill e deyrey gys aile Nivrin.
MAT.5.23	Shen‐y‐fa tra vees oo chebbal dty yioot er yn altar, my chooinys oo ayns shen, dy vel nee erbee ec dty vraar dtoi;
MAT.5.24	Faag ayns shen dty yioot kiongoyrt rish yn altar, as immee royd, tayrn hoshiaght dty vraar gys shee, as eisht tar as cheb dty yioot.
MAT.5.25	Cord dy tappee rishvn ta streeu rhyt; choud as vees shiu goll cooidjagh er y raad: er aggle dy livrey e oo seose gys y Uriw, as dy livrey yn Briw oo huggeysyn ta goall kerraghey, as dy bee oo tilgit ayns pryssoon.
MAT.5.26	Dy firrinagh ta mee gra rhyt, nagh jig oo magh ass shen, derrey vees oo erreish yn farling sodjey magh y ecck.
MAT.5.27	¶ Ta shiu er chlashtyn, dy row eh er ny ghra roosyn jeh’n chen earish, Cha jean oo poosey y vrishey.
MAT.5.28	Agh ta mish gra riu, quoi‐erbee ta jeaghyn er ben dy chur saint jee, dy vel e er vrishey poosey ree hanna ayns e chree.
MAT.5.29	As my ta dty hooil yesh dy dty hayrn gys peccah, pluck assyd ee, as tilg woid ee, son te ny share dhyt annane jeh dty Hooillyn y choall, ny dty slane chorp dy ve tilgit ayns Nivrin.
MAT.5.30	As my vees dty lane yesh dy dty hayrn gys peccah, giare jeed as tilg woid ee: son tee ny share dhyt annane jeh dty oltyn y choall, ny dty slane chorp dy ve tilgit ayns Nivrin.
MAT.5.31	Ve er ny ghra, quoi‐erbee scarrys rish e ven, lig da screwnyn‐scarree y chur jee.
MAT.5.32	Agh ta mish gra riu, quoi‐erbee scarrys rish e ven, cheu‐moie jeh son oyr maarderys, dy vel e cur urree poosey vrishey: as quoi‐erbee phoosys ish ta scart, te brishey poosey.
MAT.5.33	¶ Myrgeddyn ta shiu er chlashtyn, dy row eh er ny ghra, roosyn jeh’n chen earish, Cha jean oo loo oi‐agh y ghoall, agh cooilleenee oo ny t’ow dy loo gys y Chiarn.
MAT.5.34	Agh ta mish gra riu, Ny loo‐jee er aght erbee, edyr liorish Niau, son she stoyl‐ree‐oil yee eh:
MAT.5.35	Ny liorish y talloo, son shen y stoyl ta fo e chassyn: ny liorish Jerusalem, son shen ardvalley’n ree moar.
MAT.5.36	Cha‐moo loo‐ys oo liorish dty chione, er‐yn oyr nagh vod oo yn renaig y yanoo bane ny doo.
MAT.5.37	Agh lig da’n ghlare eu ve, she, she, Cha nee, Cha nee: Son cre‐erbee ta er‐skyn shoh, she jeh’n olk te cheet.
MAT.5.38	Ta shiu er chlashtyn dy row eh er ny ghra, Sooyl son sooyl, as feeackle son feeackle.
MAT.5.39	Agh ta mish gra riu, Ny shir‐jee aggair y chooilleeney: agh quoi‐erbee woaillys oo er y lieckan yesh, chyndaa huggey yn lieckan elley.
MAT.5.40	As my ta fer erbee dy dty chuir ec y leih, as goall ersooyl dty chooat, lig dty chloagey lesh myrgeddyn.
MAT.5.41	As quoi‐erbee ver lesh oo er niart yn veeley, gow marish jees.
MAT.5.42	Cur dasyn to janoo aghin hood, as veihsyn ta shirrey geeasaght woid ny chyndaa ersooyl.
MAT.5.43	¶ Ta shiu er chlashtyn, dy row eh er ny ghra, Cur graih da dty naboo as feoh da dty Noid:
MAT.5.44	Agh ta mish gra riu, Bee‐jee graihagh er nyn Noidjyn, bannee jee adsyn ta guee mollaghtyn diu, jean‐jee mie dauesyn ta cur feoh diu, as gow jee padjer er nyn son ocsyn, ta cur seaghyn as janoo tranlaase erriu.
MAT.5.45	Dy vod shiu ve nyn gloan da’n Ayr eu t’ayns Niau, Son te eshyn cur er e ghrian girree er olk as er mie, as cur flaghey neose er y vooinjer chairagh as niau‐chairagh.
MAT.5.46	Son my ta shiu soilshaghey graih daueesyn ta graihagh erriuish, cre’n leagh ta nyn gouyr? Nagh nee shoh myr ta ny eer publicanee janoo?
MAT.5.47	My she rish nyn mraaraghyn ny lomarcan ta shiu loart dy dooie, cre smoo ta shiu dy yanoo, ny feallagh elley? nagh vel ny eer publicanee janoo myr shen?
MAT.5.48	Bee‐jee shiuish er‐y‐fa shen dy firrinagh mie, myr ta’n Ayr eu t’ayns niau laane dy oays firrinagh.
MAT.6.1	CUr‐jee tooai nagh der shiu da ny Boughtyn, kiongoyrt rish deney, er coontey dy ve er ny akin lioroo: er nonney cha vow shiu leagh veih’n Ayr eu t’ayns niau.
MAT.6.2	Shen’y fa tra tow coyrt da ny Boughtyn, ny lig da cayrn ve’r ny heidey royd, lurg aghtny crauee‐foalsey, ayne ny kialteenyn, as ayns ny straadjin, er coontey moylley gheddyn veih deney. Dy firrinagh ta mee gra riu, ta nyn Leagh oc.
MAT.6.3	Agh tra tow uss cur da ny Boughtyn, ny lig da fys y ve ec dty laue chiare, cre ta dty laue yesh dy yannoo.
MAT.6.4	Dy vod dty yeirk ver ny choyrt gy follit, as nee dty Ayr ta fakin ny ta jeant gy follit, dty leagh y chur dhyt gy foslit.
MAT.6.5	¶ As tra vees oo goall padjer, cha bee oo myr ny crauee‐foalsey: son shynney leusyn shassoo seose ayns ny kialteenyn, as ayns corneilyn ny straadjyn dy ghoall padjer, er chee dy ve’r ny akin liorish deney. Dy firrinagh ta mee gra riu, dy vel ad er gheddyn nyn leagh.
MAT.6.6	Agh gow uss, tra vees oo goall padjer stiagh ayns dty hiamyr, as erreish dhyt dty ghorrys y yeih, guee gys dty Ayr gy follit, as nee dty Ayr, ta fakin ny ta jeant gy follit, leagh y chur dhyt gy foslit.
MAT.6.7	Ny yei tra vees shiu guee, ny gowjee rouyr taggloo erriu, goll rish ny angreesteenyn: son tar adsyn goall ayns laue, dy vow ad nyn aghinyn, liorish nyn ymmodee goan fardalagh.
MAT.6.8	Ny eiyr‐jee shiuish er‐y‐fa shen er yn aght ocsyn: son ta fys ec nyn Ayr ere ta ymmyrtsagh diu, roish my jean shiu aghin huggey.
MAT.6.9	Er yn aght shoh er‐y‐fa shen gow‐jee padjer: Ayr ainyn t’ayns niau, Casherick dy row dt’ennym.
MAT.6.10	Dy jig dty reeriaght. Dt’aigney dy row jeant er y talloo, myr te ayns niau.
MAT.6.11	Cur dooin nyn arran jiu as gagh laa.
MAT.6.12	As leih dooin nyn loghtyn, myr ta shin leih dauesyn ta janoo loghtyn nyn oi shin.
MAT.6.13	As ny leeid shin ayns miolagh, agh livrey shin veih olk: son she liats y reeriaght, as y phooar, as y ghloyr, son dy bragh. Amen.
MAT.6.14	Son my leihys shiuish da deney nyn loghtyn, leihee nyn Ayr flaunyssagh myrgeddyn diuish.
MAT.6.15	Agh mannagh leih shiu da deney nyn violjyn, cha jean yn Ayr eu nyn violjyn y leih diuish.
MAT.6.16	¶ As tra vees shiu trostey, ny beejee jeaghyn trimshagh, myr ny craueefoalsey, son tar adsyn sollagh nyn eddinyn er chee deney dy chur tastey da’n trostey oc. Dy firrinagh ta mee gra riu, dy vel nyn leagh oc.
MAT.6.17	Agh jean uss, tra vees oo trostey, dty chione y ooillagh as dteddin y oonlagh:
MAT.6.18	Er coontey nagh nee deney ver tastey da’n trostey ayd, agh dty Ayr ta toiggal folliaghtyn, as nee dty Ayr ta fakin ny ta gy follit, leagh y chyr dhyt gy foslit.
MAT.6.19	¶ Ny stoyr‐jee seose berchys, er nyn son eu hene, er y talloo, raad ta’n lhemeen as y mergey cur mow, as raad ta maarlee brishey stiagh as geid.
MAT.6.20	Agh stoyr‐jee er nyn son hene, berchys ayns niau; raad nagh vel y lhemeen ny’n mergey cur mow, as raad nagh vel maarlee brishey stiagh as geid.
MAT.6.21	Son raad vees nyn stoyr, ayns shen myrgeddyn vees y cree eu.
MAT.6.22	Yn tooil ta cur soilshey da’n chorp sheny-fa my ta’n tooil fegooish foill, bee soilshey ec ooilley dty chorp.
MAT.6.23	Agh my ta foill ayns dty hooil, bee dty slane chorp ayns dorraghys. My she dorraghys eisht yn soilshey ta aynyd, nagh moar y dorraghys eh!
MAT.6.24	¶ Cha vod dooinney erbee daa vainshter y hirveish: son edyr ver e dwoai da’n derrey yeh as graih da’n jey elley, ny bee e jeidjagh dan derrey yeh as soi‐ee e beg jeh’n jeh elley. Cha vod shiu Jee as Mammon y hirveish.
MAT.6.25	Er‐yn oyr shoh ta mee gra riu, ny bee‐jee imneagh son nyn mea, cre nee shiu y ee, ny cre nee shiu y iv; ny foast son nyn girp, cre ver shiu y miu: Nagh vel y vea ny smoo dy ve soit jeh ny beaghey, as y corp ny coamrey?
MAT.6.26	Cur‐jee tastey da Eeanlee’n aer: son cha vel ad cuirr ny buin, ny chymsagh stiagh ayns soaltyn; foast ta nyn Ayr flaunyssagh dyn meaghey ad. Nagh vel shiuish foddey shaar ny adsyn?
MAT.6.27	Quoi eavish, liorish ve imneagh, oddys yn chraue‐roih y chur gvs yn aase echey?
MAT.6.28	As cren‐fa ta shiu imneagh son coamraghyn? Gow‐jee eu hene kys ta lilleeyn y vagher gaase; cha vel ad laboragh ny sneeu.
MAT.6.29	As foast ta mee gra riu, nagh row Solomon hene, ayns ooilley e ghloyr, er ny choamrey, myr annane jeu shoh.
MAT.6.30	My ta Jee, er‐y‐fa‐shen myr shoh coamrey’n faar, ta jiu’sy vagher as mairagh caen’t stiagh ayns yn oghe, nagh jean e foddey smoo er nyn son eavish, O gheney faase‐chredjuagh?
MAT.6.31	Ni bee‐jee er y fa shen imneagh, gra, Cre nee mad y ee? ny cre nee mad y iv? ny cre yiow mad, dy chur y mooin?
MAT.6.32	(Son ooilley ny reddyn shoh, ta ny Angreesteenyn imneagh er nyn son) agh ec yn Ayr flaunyssagh eavish ta fys dy vel feme eu er dy-chooilley nee jeu shoh.
MAT.6.33	Agh shir‐jee hoshiaght reeriaght Yee as e chairys, as bee shiu jeant magh lesh ooilley ny reddyn shoh.
MAT.6.34	Ny bee‐jee er‐y‐fa shen ayns imnea erbee son y laa mairagh, son tra hig y laa mairagh, hig e chiarrail marish: ta e haeghyn hene dy liooar er son y tra tayn.
MAT.7.1	NY briwnys‐jee, as cha bee shiu er nyn mriwnys.
MAT.7.2	Son lesh y vriwnys ta shiu briwnys, bee shiu hene er nyn mriwnys. As lesh y towse ta shiu towse, bee eh er ny howse diu reesht.
MAT.7.3	As crenfa t’ow cronnagh yn brenneein t’ayns sooyl dty vraar, agh cha vel oo smooinaght er y beam t’ayns dty hooyl hene?
MAT.7.4	Ny kys jir oo rish dty vraar, Lig dou yn brenneein y ghoall ass dty hooyl, as cur‐my‐ner ta beam ayns dty hooyl hene?
MAT.7.5	Er‐crauee‐oalsey, tilg hoshiaght yn beam ass dty hooyl hene, eisht bee soilshey ayd dy ghoal yn brenneein ass sooyl dty vraarey.
MAT.7.6	¶ Ny cur‐jee ny ta casherick da ny moddee, cha‐moo hilgys shiu ny pearlyn eu roish muckyn, er aggle dy stamp ad ad fo nyn, gassyn, as dy jyndaa ad reesht as dy lot ad shiu.
MAT.7.7	¶ Yearree‐jee, as yiow shiu: shir‐jee as nee shiu feddyn, bee‐jee aignagh fosley gheddyn, as bee eh er ny osley diu.
