MAT.1.1	Coa co cuatia Jesu Cristo moñemoñajaré ypycue guare. Jaé Davidrejegua, ja Abraamrejegua avei.
MAT.2.22	Upegui, ojendú pypé oicojá jina Judea ruvicha guasu ramo Arkelao, ituva Herodes rendaguepe, okyjŷyé ojo jaguâ upepe. Upegui, oñemo marandu pypé Ñandeyára rupi, ojo pe Galilea cotyvo, 
MAT.2.23	ja ôguajê pe tetâ jérava Nazaretpe, ja upepe opyta. Upeicha oico jecope pe oyee vaecue umi ñemoñeêjaré yuru rupi: Jéra yoa vaerâ Nazareno.
MAT.3.1	Upeguirire ou pe Juan Bautista oñemoñeê oicovo pe Judea retâ ocára rupi, 
MAT.3.2	ja jei: Peñembyasŷna peê, jiâguimajáreje oico jaguâ pe teco marangatu yvapeguarejegua. 
MAT.3.3	Cova voí upe jei jague Isaías, pe ñemoñeêjaré, jei ramo guare: Aipo osapucaiva pe ñûreje: Pemyatyrôke co Ñandeyára rapérâ! Pemôi pôrâ pe opyrû jaguâ!
MAT.3.4	Co Juan oico vaecue iyao camello ragué cué guiguáva, ja icúacuajá mbaepígui, ja jembiúrâ jou tucú ja eira caaguŷ. 
MAT.3.5	Uperamo oñembyatypá Jendápe umi Jerusalemŷgua ja Judeaŷgua ja pe ŷJordán rupigua yoa, 
MAT.3.6	ja oñemongaraíucá iporupi pe ŷJordánpe oñemombeú pypé iñangaipágui. 
MAT.3.7	Upei catu ojecha ramo iyatyjá umi fariséo ja saducéoretá pe omongaraíjape jina, jae jei ichupecuera: Mbói rejegua peê! ¿Oiméneparaé penemboe vaecue peñeguajê jaguâ reje pe oyeyepŷ jaguâ áragui? 
MAT.3.8	Aiporamo penerembiapó toico yvá pôrâicha iya jaicha umi oñembyasŷva jecópepe, 
MAT.3.9	ja ani peimoâ iyajá peême peye jaguâ pende pyapŷpe: Abraampe catu ore roguereco ore rú ramo. Che jae peême catuetei icatujá Tûpâ Ñandeyára omoñemoña taŷra Abraampe co itá gui yepe. 
MAT.3.10	Coanga voí oñemôima pe ybyrákytîjá (hacha) pe ybyrá rapó reje. Upeicharamo, oime ramo ybyrá jiá pôrâŷva, oñekytî vaerâ, ja oyeitŷ vaerâ tatape. 
MAT.3.11	Che añetéjápe pomongaraí peême ŷpe umi oñembyasŷva rejegua recórâme. Upe ou vaerâ che rire, ipuacavé chejegui, ndaiyai yepe cheve arajá jaguâ ipŷ rejegua. Jae catuetei penemongaraíne pe Espiritu Santope ja tatape. 
MAT.3.12	Oime pe iñyrûpê oguereco ipópe ja omopôti pôrâne pe jiacue rendâgua, ja ombyatypáne pe icuipyré pe oñeñongatú jaguâme, ja ojapŷucápáne jatycue pe tatape máramo ogué ve ŷ jaguâme.
MAT.3.13	Uperamo ou Jesús Galileagui pe ŷJordanpe, pe Juan rendape, oñemongaraí ucásévo ipórupi. 
MAT.3.14	Juan voí oyoco ichupe, oñemo jâtâvo, ja jeivo: Che catu aicôtevê añemongaraí Nde po rupi! ¿Maerâpa Nde reyu che rendape? 
MAT.3.15	Upei catu jei Jesús: Tové! Toyeyapo! Upeicha voí vaerâ ñambuayepá jaguâ jecope opambae pe teco marangatu peguârâ. Upei catu jae ombuaye pe jeivaecue. 
MAT.3.16	Ja upeicha Jesús icaraí, ja upevove osênguévo pe ŷgui, sapyaite oyepea pe yvaga rôkê Ichupe, ja Jae ojecha pe Tûpâ Ñandeyára Espiritu ogueyŷ ramo oúvo pycasuróicha, ja opyta jiari, 
MAT.3.17	ja oñejendú peteî osapucaiva yvágui jeiva: Cóva catu Che Raŷ ajayjúetéva, Che arojorŷetéva!
MAT.4.1	Upemaramo Jesús oñeñatóî pe Espiritu rupi ojo jaguâ mombyry pe ñûme, pe mbaepochy ipya rââ jaguâme Ichupe. 
MAT.4.2	Ja oico ocaruŷreje mbaeve cuarenta ára ja cuarenta pyjaré: ja ipajápe iñembyajyi. 
MAT.4.3	Upei catu ôguajê Jendápe pe aña ipya rââjárâ, ja jei Ichupe: Nde Tûpâ Ñandeyára Raŷeté ramo, erente pe itápe toico mbuyapé ramo. 
MAT.4.4	Upei catu oñeê Jae ja jei: Oime Santa Escriturape oyee jague: Na mbuyape añopei oicové vaerâ umi ybypóra, Tûpa Ñandeyára ñeê iyurueteguigua rupi avei. 
MAT.4.5	Upemaramo pe mbaepochy ogueraja Ichupe pe tetâ marangatupe, ja omoñemboŷ Ichupe pe tûpâó iyŷvatevéjápe, 
MAT.4.6	ja jei Ichupe: Nde añeté ramo Tûpâ Ñandeyára Raŷeté, eyeity ybype. Oime voí Santa Escriturape pe oyee jague: Jae omboune Nerendape jemimbou cuerape, ja Nde yocone ipópe, anichene jaguâ reñepysangá itáreje. 
MAT.4.7	Ja jei ichupe Jesús: Oime avei Santa Escriturape oyee jague coicha: Ani rembuajéi Tûpâ Ñandeyárape. 
MAT.4.8	Upemaramo pe mbaepochy ogueraja Ichupe peteî itáatŷra iyŷvatevéva ári, ja ojechaucapa Ichupe opa mburuvicha guasu retâ tuvichacué rejeve co ybyarigua, 
MAT.4.9	ja jei Ichupe: Âmbae amêêmbáne Ndeve, Nde reñesû ramo cheve chembuetévo. 
MAT.4.10	Upei catu jei ichupe Jesús: Eyeí, Satanás! Oyee voí Santa Escriturape: Tûpâ Ñandeyára ñoitépe reñesû vaerâ, ja Ichupe añó rembueté vaerâ. 
MAT.4.11	Upei catu opoí Ichugui pe mbaepochy, ja upevove ou yvapegua cuera omoangapyjŷvo Ichupe.
MAT.4.12	Uperire ojenduma ramo Juan oñemoî jague pe ybyracuape, Jae oyeí Galileape. 
MAT.4.13	Osê voí pe Nazaretgui, ja ojo opyta jaguâ Capernaumpe, pe tetâ pe ŷrembeŷ rejegua pe Zabulón ja Neftalim ypypegua. 
MAT.4.14	Upeicha oyeju jecópe pe oyee vaecue pe Isaías pe ñemoñeêjaré yurú rupi: 
MAT.4.15	Pe Zabulón retâ ja Neftalim retâ, pe ŷguasu rapéŷké rejeguare pe Galilea ŷJordán mboypŷrigua, umi pytaguá retâ voi peguare upea: 
MAT.4.16	umi ybypóra oguapy vaecue pytûnguŷpe ojechama raé jendŷ tuvicha, ja umi oguapy vaecuepe umi tenda iñypŷtûjápe omano vaecueicha Jae omojesâcâucáma raé ichupecuera.
MAT.4.17	Upeguive oñypyrú Jesús oñemoñeê ja jei: Peñembyasŷ peê jiâguima járeje oico jaguâ co mburuvicha guasu yvapegua reco marangatu.
MAT.4.18	Ja sapya, oico pypé Jae pe Galilea yguasu rembeŷ reje, ojecha mocoî cuimbaepe, Simon, jérava avei Pedro, ja tybyra Andrespe omuasâi ramo jina ipyjá ŷguasupe: jaecuera voi pirácutujá: 
MAT.4.19	ja Jae jei ichupecuera: Peyu Che rapycuéri Chemoirûvo, ja Che pomoingóne peême ybypóra pyjyjá ramo. 
MAT.4.20	Upevove jaecuera ojeya ipyjá ja ojo japycuéri. 
MAT.4.21	Uperire ojasa pypé upegui ojecha mocoî cuimbae yeby, Jacobo, pe Zebedeo raŷ, ja tybyra Juanpe, jicuaiva imbayrúpe itúva Zebedeo ndive, omyatyrô jina ipyjá cuera. Upei catu Jae ojenoî ichupecuera. 
MAT.4.22	Ja jaecuera ojeya voí imbayru ja itúvape, ja ojo japycuéri.
MAT.4.23	Uperire Jesús oyerepá oicovo Galilea reje omboe jiconi tûpâópe cuera, ja oñemoñeê pe Evangelio pe jêrâcuâ pôrâ oútajá pe mburuvicha guasu yvapegua reco marangatu, ja omojesaîmba opaichagua mbaasŷgui, ja mbae vaígui umi ybypórape. 
MAT.4.24	Ja upeagui oico jêrâcuâ pôrâ Ichugui oparupi pe Siriape, ja oguerupá Jendápe umi ojasa vaívape opaichagua mbaasygui, ja umi oipyjy vaecue mbae ivaívape, ja mbaepochy remimbotarová cuerape, ja iñâcâ tabŷvape, ja umi jetymá pirúvape, ja Jae omojesaîmba ichupecuera. 
MAT.4.25	Ja ojo japycuéri jeta ete Galileaŷgua, ja Decapolisŷgua, ja Jerusalemŷgua, ja Judeaŷgua, ja pe ŷJordan mboypŷrigua.
MAT.5.1	Uperamo ojecha pypé Jesús iyatyjá oúvo umi ybypóra, Jae oyupi pe itáatŷra ári ja upepe oguapy, ja upei ôguajê Jendápe jemimboecuera. 
MAT.5.2	Upei catu Jae oipea iyuru ja omboe ichupecuera jeivo:
MAT.5.3	Jeco marangatu vaerâ umi mboriaju ipya pôrâva, jendaguâ voi vaerâ pe tetâ yvapegua.
MAT.5.4	Jeco marangatu vaerâ umi oyajeóva, jaecuera ojupity vaerâ ipya guapy jaguâ.
MAT.5.5	Jeco marangatu vaerâ umi ipochycuaaŷva, oñemeê vaerâ ichupecuera co yby imbaerâ.
MAT.5.6	Jeco marangatu vaerâ umi iñembyajyivaicha ja iyŷujéivaicha oñembo jecopôrâseva, iya vaerâ ichupecuera jyvâtâmbá jaguâ.
MAT.5.7	Jeco marangatu vaerâ umi ipya poro poriajuverecova, jaecuera oyeporiajuvereco vaerâ.
MAT.5.8	Jeco marangatu vaerâ umi ipya pôtíva yojeipyré, jaecuera ojecha vaerâ Tûpâ Ñandeyárape.
MAT.5.9	Jeco marangatu vaerâ umi oporomoñyrôva, jéra vaerâ ichupecuera: Tûpâ Ñandeyára ray cuera.
MAT.5.10	Jeco marangatu vaerâ umi ojasa asŷva jeco pôrâjáreje, jendaguâ voí vaerâ pe tetâ yvapegua.
MAT.5.11	Pende reco marangatu vaerâ peê pende rerecomêgua ramo, ja oñejââ ramo pendereje, ja oñeê rei ramo opa mbae ivaíva pendereje Cherejeguajáreje peê. 
MAT.5.12	Pende rory ja pebyáite. Pende reco pôrângue repy tuvicha vaerâ yvágape. Upeicha voí oguereco vaí vaecue umi ñemoñeêjaré pene mboyve guarépe.
MAT.5.13	Peê voí co yukŷcha co ybyarigua peguârâ. Sapya co yukŷgui oyeí ramo pe jeêngué, ¿mbaépepa ñamojêê yebŷta? Na ipôrâveima mârâve. Ñamondo vaerâ mante ocápe oñepyrû jaguâ umi ybypóra pŷguŷpe. 
MAT.5.14	Peê cuera ybypóra resapejá. Peteî tetâ oñemopuâ vaecue itáatŷra tuvicha ári, ndicatui oñemi. 
MAT.5.15	Na ñamyandyi tataendy ñamoî jaguâ mbayru guŷpe, tataendy renda árinte, ja upeicha ojesapépá umi cotype oivape. 
MAT.5.16	Upeicha avei tojesâcâ co pende reco endŷ umi ybypóra renondepe, icatu jaguâ ojecha pene rembiapó pôrâ, ja icatu jaguâ upeagui ombueté pende Ru yvape oivape.
MAT.5.17	Ani peimoa Che ayu jague ambuai jaguâ pe Moises ñeêngue terâ umi ñemoñeêjaré ñeêngue. Che ndayui vaecue ambuaivo. Ayu catu ambuayépávo jecópe. 
MAT.5.18	Che jae peême catuetei ocañŷmba jaguâ co yvága ja co yby, ocañŷ mboyvé peteî jaŷî terâ peteî jaí pe Moises ñeênguegui oyeyapopáŷreje jecópe opa oiva pype. 
MAT.5.19	Upeicharamo, oime ramo ombuaiva peteîva co Tûpâ Ñandeyára rembiapoucapy cuéravágui mîchîetevéva yepe, ja omboéva umi ybypóra cuerape oyapo jaguâ upeicha avei, upéva oñembojéra vaerâ mîchîetéva pe tetâ yvagapeguápe. Upeicha avei oime ramo ombuayepáva jecópe, ja omboéva upearâ, upeva oñembojéra tuvicha pe tetâ yvapeguape. 
MAT.5.20	Che jae peême peê pende yojeipyrévé ŷ ramo pende recópe umi escriba iñarandú reíva ja umi fariseo jaecueranteséva gui, nda peikeichene pe tetâ yvapeguape.
MAT.5.21	Pejenduma racaé pe oyee jague umi ymaguarepe: Ani reporoyuca, ja oime ramo oyucava, iya vaerâ ichupe ombojecoviá jecópe. 
MAT.5.22	Che catu jae peême oime ramo ipochy taby reíva tykeŷrape yepe, iya vaerâjá ichupe ombojecoviá jecópe. Ja oime ramo jeiva tybŷrape: Tecové jecoŷva rejegua nde, iya vaerâjá ichupe ombojecoviá jecópe mbururicha oñomongueta guasujápe, ja oime ramo jeiva Nde bŷro iya vaerâjá ichupe ombojecoviá pe tata añaretâmeguápe. 
MAT.5.23	Upeicharamo reru ramo ne tûpâmbaerâ reicuameê jaguâ pe tûpâmbaejápe, ja nemandua ramo upeyave nde ryby ipya vaijá ndeve, 
MAT.5.24	ejeyá upepe pe reicuameê moa vaecue pe tûpâmbaejá renondepe, ja terejó, eñyrô raê nde rybype, ja uperirente, eyo yeby eicuameê ne tûpâmbaerâ. 
MAT.5.25	Eñyrô voí mandike pe oico vaíva nendivepe reime yaveve jendive tapepe, anichene jaguâ pe oico vaíva nendive nemeê pe mburuvicha pópe, ja pe mburuvicha nemeê pe ybyrácuá rerecuápe reñemoî jaguâ ybyrácuápe. 
MAT.5.26	Añetétá Che jae ndeve nde resê ŷ jaguâ upegui remeêmba ŷ reje ipajaitépeve yepe pe rembojecoviá vaerâ vaecue.
MAT.5.27	Pejendu neracae oyee jague: Ani rembuai mendaré. 
MAT.5.28	Che co jae peême oime ramo omaêva peteî cuñareje oipotáva ichupe mbae vaírâ, upeva oñembotieŷmajá ipyapŷpe. 
MAT.5.29	Upeicharamo co nde resá nde acatuápegua oñembotieŷucá ramo ndeve, enojênte, ja emombo ndeyejegui: ipôrâvé jávareje ndeve ocañŷ ndejegui peteî nde rete pejenguemi, aniterei oyeitypá co nde rete añaretâme. 
MAT.5.30	Ja nde po ndeacatuápegua oñembotieŷucá ramo ndeve, eikytînte, ja emombo ndeyejegui, ipôrâvé jávareje ndeve ocañŷ ndejegui peteî nderete pejenguemi, aniterei oyeitypá co nde rete añaretâme. 
MAT.5.31	Oyee vaecue avei oime ramo opoiséva jembirecogui, tomeê raê ichupe cuatia mburuvichaguiguare oyeí jaguâ jecópe oyuejegui. 
MAT.5.32	Che voí jae peême upe opoíva jembirecogui oime ŷ reje oñembotiey jague omboya vaerâ jese, ombuaiucá mendaré ichupe, ja pe omendava pe ipoípyrereje, upeva avei ombuai mendaré.
MAT.5.33	Upeicha avei pejendu neracae oyee jague umi ymaguarepe: Ani reñemboyapú resê pypé neñeêgui. Remeê vaerâ jecópe upe nde reicuameê vaecue Ñandeyárape. 
MAT.5.34	Che voí jae peême: Ani mbaevéicharamo jecoŷme rembuayeté reí avave rérape. Ani rembuayeté reí yvaga rérape. Upéva voí Tûpâ Ñandeyára renda oguapyjá. 
MAT.5.35	Ani rembuayeté reí co yby rerape. Upéva voí ipy renda. Ani rembuayeté rei Jerusalem rérape, upeva voí pe mburuvicha guasu retâ. 
MAT.5.36	Ani rembuayeté rei neâcâ rérape, ndicatui voí remomorotî terâ remojû peteîmi nde áva yepe. 
MAT.5.37	Pene ñeê catuke ta cóicha Neí, neí! Tové, tové! ja oime ramo oyuapŷva umivareje jecovaíva rejeguama.
MAT.5.38	Pejendu neracae oyee jague: Tesá tesá recoviá mante vaerâ ja Táî táî recoviá mante vaerâ. 
MAT.5.39	Che catu jae peême: Anike peñembo jâtâ pe ivaíva cotycoty, upea rangue oime ramo nenûpâva nderová ŷké nde acatuapeguape, emboyerente ichupe pe iyovaijá avei. 
MAT.5.40	Oime ramo nerenôiseva mburuvicha renondepe oipyjy jaguâ nde ao mimi, toipyjynte neâcâjoyá avei. 
MAT.5.41	Ja oime ramo nde yocuaiseva remoîrûvo ichupe peteî legua, terejo meme jendive mocoî legua jápeve yepe. 
MAT.5.42	Pe oyerureva ndevepe emeênte, ja pe oiporuséva ndejegui, ani reyere ichugui.
MAT.5.43	Pejendu neracae oyee jague: Rejayjú vaerâ nde rapichape, ja reñamotareŷ vaerâ pe nda iyaeiva nderejepe. 
MAT.5.44	Che catu jae peême: Pejayjuke umi nda iyaeivape pendereje, peñemboéke umi pene mbojasa vaíva reje, 
MAT.5.45	icatu jaguâ peñemoingo pende Ru yvape oiva raŷ cuera jaetéva ramo. Upeva voi omosêva cuarajy umi ivaíva ja umi ipôrâva arive, ja omonguŷ umi jecópe oicova reje ja umi jecoŷme oicova reje avei. 
MAT.5.46	Upeicha ŷ ramo, pejayju ramo umi penderayjúva pente, ¿mbaépa oimene pende reco pôrângue repyrâ? ¿Ndoyapoipa upeicha avei umi tecové jecoŷva yepe? 
MAT.5.47	Ja pemo maiteí ramo umi pende reŷi cuera pente, ¿mbaépa peyapové peyapo vaerâ gui? ¿Ndoyapoipa upeicha avei umi icaraiŷva? 
MAT.5.48	Upeicharamo ta pende reco pôrâite jecoitépe, jeco pôrâite jaicha jecoitépe pende Ru yvape oiva.
MAT.6.1	Pemaêteke ani moa peyapo pene rembiapo jecopegua caraí cuera resápe peyejechauca potávo ichupecuera. Upeicharamo, nda pejupityichene pende reco cue repŷ pende Ru yvagape oivagui.
MAT.6.2	Upévareje pejo ramo pemeêvo tûpâmbae, ani pembopúuca turu penerenondepe oyapo jaicha umi jovámocoîva tûpâo rupi ja tapé rupi oñembueté potávo umi caraí cuera rupi. Añeté Che jae peême catuetei umichagua ojupitymanejá jecocue repy. 
MAT.6.3	Nde catu rejo ramo remeêvo tûpâmbae, ani oicuaa ndepo asú pe oyapova ndepo acatua, 
MAT.6.4	oico jaguâ co ne tûpâmbae kîrîrîjame ñemijápe, ja upeicharamo, co nde Ru, ojechava opa mbae ñemijápe oiva yepe, omeêne ndeve nde reco pôrângue repy jecope.
MAT.6.5	Upeicha avei peñemboé ramo, ani peico umi jovamocoîcha. Umia obyá umi tûpâope ja umi tape racuá iyatŷjá rupi oñemboévo oñemboŷjápe, oyejechauca potávo umi caraí cuerape. Che jae peême catuetei umichagua ojupitymanejá jecocue repy. 
MAT.6.6	Nde catu reñemboése ramo, eikénte nde cotypype, ja embotŷ ne rokê, ja upeicha eñemboé nde Ru ñemijape oivape, ja nde Ru pe ojechava ñemijápe yepe omeêne ndeve nde recocue repy. 
MAT.6.7	Upeicha avei peñemboé ramo peina, ani pembopucu peneñemboé pene ñeêngatúgui reí umi icaraiŷvaicha, umi oimoâva oñeê jeta gui oñejendú vaerâjá. 
MAT.6.8	Ani peê peñemboyoyá jesecuera. Oicuaa voí Tûpâ Ñandeyára pende Ru mbaé mbaépa peicôtevê vaerâ peyerure mboyvé voí ichupe. 
MAT.6.9	Upeicharamo, peñemboé vaerâ coicha:
MAT.6.9	Ore Rú reiméva yvape,
MAT.6.9	Toñembueté Nde réra.
MAT.6.10	Toñemoingó pe teco marangatu reñembotuvicha guasu jaguâme.
MAT.6.10	Toyeyapó jecópe co Ne rembipota, upe yvapeguaicha, upeicha avei co yby ári.
MAT.6.11	Co ore rembiurâ emeêna oreve angué voí tapiaguaichante.
MAT.6.12	Ja ejeyá reí oreve ore romoñemyrô jague Ndeve, upe ore rojeya reí jaicha ore avei umi ore moñemyrô vaecue orevepe.
MAT.6.13	Ja ani remoingue rei ore pya raâ jaguâme, ore mboínte pe mbae ivaíva gui.
MAT.6.14	Upeicha vaerâ voi. Peê pejeya rei ramo umi pende rapicha cuera pe penemomârâ jague, upeicha avei pende Ru yvapegua ojeya reine peême avei. 
MAT.6.15	Upeichaŷramo, pejeya reí ŷ ramo umi pende rapicha cuerape penemomârâ jague, upe pende Ru upeicha avei ndojeya rei chene peême pemomârâ jague Ichupe.
MAT.6.16	Upeicha avei peico ramo caruŷreje arete guasujápe, ani tei peico pende rovasŷeté umi jovamocoîvaicha. Umiva omoambue jová cuera oyejechauca jaguâ rejejápe caraí cuerape ombuetéva ramo pe areté caruŷreje. Añeté Che jae peême umiva ojupitymajá pe jecocue repy. 
MAT.6.17	Nde catu rembueté ramo reina arete caruŷjape, eyeabykŷnte, ja eyovajéi, 
MAT.6.18	anichene jaguâ reyejechauca umi caraí cuerape reicó caruŷreje ramo, nde Ru ñoite pente oiva ñemijape, ja pe nde Ru ojechava ñemijape ombojecoviáne ndeve jecópe.
MAT.6.19	Ani pembyaty peêmeguarâ voínte pene râcâteyjarâ iñongatúpyrâ co ybyari co omombajape umi tiguââ ja pe javê, ja co opobybyjape mondajá omonda jaguâ. 
