MAT.1.1	Quemënga imnamna Jesucristbe bëts taitanga: Jesucristna Rey David y Abrahámbents̈ana ents̈á inamna.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Azor Sadocbe taitá;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Sadoc Aquimbe taitá
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	y Aquimna Eliudbe taitá.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Eliud Eleazarbe taitá;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Eleazar Matanbe taitá
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	y Matán Jacobëbe taitá.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Jacob Josebe taitá yojamna y Josena Mariybe boyá.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	María Jesusbe mamá, Jesús chë Bëngbe Bëtsabe Uámana Uabuayaná, chë Cristo ca uabainá.
MAT.1.17	Chcasna, Abrahámbents̈ana Davidbentscoñe bnë́tsana canta bëts pamíllanga imojëftsemna. Davídbents̈ana y chë israelitënga Babilonioca imojanëtamenëntscuana inÿe bnë́tsana canta bëts pamíllanga; y inÿe bnë́tsana canta bëts pamíllanga chë Israeloca ents̈anga imojanëtamenents̈ana, chë Cristo tojanonÿnántscoñe.
MAT.1.18	Jesucristo jónÿnanamna mënts̈á tojanopasá: María tbojans̈buachená Joséftaca jobouamayama, pero cabá ndoñe cánÿiñe ibontsiyena ora, tojanopasá Mariyna ngomamaná yojoquéda chë Uámana Espíritbe obenánaca. 
MAT.1.19	José, Mariybe boyá, canÿe nÿetsca soyënguiñe ts̈abá jamama bos̈á inamna. Cha ndoñe yontsebos̈e ents̈angbe delante cha mal jaquédana; chíyecna tojanjuabó nÿe iytëcana Maríybents̈ana jtsojuánañana. 
MAT.1.20	Y chca yojtsejuabnantscuana, mo otjenayoquëcá canÿe Bëngbe Bëtsabe ángel tbojáninÿe y chana Josébioye tbojaniyana: “José, Davídbents̈ana ents̈á, ndoñe matenócochinÿenana Maríaftaca jobouamayama, er chë bochántsebomna s̈es̈ona chë Uámana Espíritbe obenánaca cha bochántsebomna. 
MAT.1.21	María canÿe s̈es̈ona bochántsebomna y cha Jesús ca cochjuabaye. Chca echantsabaina er cha chabe ents̈anga chëngbe bacna soyënguents̈ana echanjátsebacaye ca” —chë ángel tbojaniyana.
MAT.1.22	Lempe chca tojanochnëngo, cachcá chaotsemnama nts̈amo Bëngbe Bëtsá chabe juabna oyebuambnayëngbiajana tojanayancá. Chë oyebuambnayá mënts̈á tojánayana:
MAT.1.23	Chë cabá boyabása nduabuatmá ngomamaná echanjoquéda
MAT.1.23	y canÿe s̈es̈ona boyabásetema bochántsebomna,
MAT.1.23	y cha mochanjuabaye Emanuel ca.
MAT.1.23	(Emanuel endayana “Bëngbe Bëtsá bë́ngaftaca ca”.)
MAT.1.24	José chë otjénayents̈ana tojanofs̈ená ora, tojanma nts̈amo chë Bëngbe Bëtsabe ángel tbojanmandacá y Maríaftaca tojanobouamá. 
MAT.1.25	Pero ndoñe cánÿiñe ibontsaniyena, sinó nÿe chë s̈es̈onatema tojanonÿná orscana. Chë s̈es̈onatema tojanonÿná orna, José chábioye Jesús ca tbojanabaye.
MAT.2.1	Herodes judiëngbe rey yojamna ora, canÿe pueblo Judeoca, Belén ca uabáinents̈e Jesús tojanonÿná. Chents̈ana, báseftanga, estrellënga uatsjéndayënga, magos ca uabáinënga, canÿe bëts puebloye Jerusalén ca uabáinoye tmojánashjajna. Chënga tmojánabo shinÿe bocanoye luarëngocana. 
MAT.2.2	Jerusalenocna chënga, Heródesbioye tmojána y tmojanënoticiá: “¿Ndayents̈e yojtsemna chë judiëngbe rey jtsemnama tojonÿná cha ca? Bëngbe luarëngoca shinÿe bocanoye chabe onÿnana estrella fsënjinÿe y as muents̈e cha jaboadórama tifjabo ca.”
MAT.2.3	Rey Herodes chca tojanuena ora, corente yojtsenócochinÿena, y nÿetsca chë Jerusalenents̈e oyenë́ngnaca. 
MAT.2.4	Chents̈ana chë rey tojánachembo nÿetsca chë judiëngbe bachnangbe amë́ndayënga y chë judiëngbe ley abuátambayënga jenoyeunayëngama. Mënts̈á tojanatjá: —¿Ndayents̈e chë Bëngbe Bëtsabe Uámana Uabuayaná, chë Cristo ca uabainá, jónÿnama ibomna ca?
MAT.2.5	Chënga tmojanjuá: —Judeoca, Belén pueblents̈e ca. Bayté entsemna chë Bëngbe Bëtsabe juabna oyebuambnayá Miqueas mënts̈á tojanábema:
MAT.2.6	Y ts̈ëngaftanga, Judeoca Belenents̈e oyenënga,
MAT.2.6	canÿe mandayá ts̈ëngaftangbents̈ana echanjabo.
MAT.2.6	Cha nÿetsca chë Judeoca mándayëngbiama más uamaná echántsemna,
MAT.2.6	y ats̈be ents̈anga Israeloca echántsanÿena.
MAT.2.6	Chíyeca ts̈ëngaftangbe pueblo ndoñe nÿe bats̈á uámana pueblo quenátsmëna ca.
MAT.2.7	Chora Herodes iytëcana chë maguënga tojánachembo y cuedádoca tojanatjá ntseco ora chë estrella tmojáninÿama. 
MAT.2.8	Herodes chë soyënga yojtsetáts̈ëmbo ora, Belenoye chë maguënga tojanichamó, y mënts̈á tojanë́yana: “Choye motsajna y ts̈abá chë s̈es̈ona s̈mochjánguango. Chas̈mojínÿena ora, s̈mochjabëuenaye, as áts̈naca chayobená jama chë s̈es̈ona jadórama ca.”
MAT.2.9	Rey Herodes chë soyënga tojánëyanents̈ana, chë maguënga tmojtsatanoñe. Chora cachiñe tmojtaninÿe chë chëngbe luarëngoca tmojáninÿe estrella y yojtsanebnatsana chë s̈es̈ona yojtsemnë́ntscoñe. Chents̈a juatsbuacá chë estrella yojójayiye. 
MAT.2.10	Chë maguënga chë estrella tmojáninÿe orna, corente oyejuayënga imojtsemna. 
MAT.2.11	Chë yebnoye tmojánamashjna ora, chë s̈es̈ona tmojáninÿe chabe mamá Maríaftaca. Chorna, tmojanoshaments̈é y chë s̈es̈onatema tmojanadorá. Chora chëngbe cajontémënga tmojanëtsë́caca y tmojanats̈tá castellano, incienso y canÿe botamana uanguëts̈e soye, mirra ca uabáiniye. 
MAT.2.12	Chents̈ana, mo canÿe otjenayoquëcá Bëngbe Bëtsá chë maguënga tojanabuayená rey Herodesbiajana ndoñe chamondesshëcuanama. As chënga chents̈ana inÿe benachëjana cachëngbe luarëngoye tmojésanshëcuana.
MAT.2.13	Chë maguënga tmojtsatanoñe ora, otjénayoca José canÿe Bëngbe Bëtsabe ángelbioye tbojáninÿe y cha mënts̈á tbojaniyana: “Motsbaná, chë s̈es̈onatema y chabe mamá mesë́biats̈e y Egiptoye motsachá. Herodes chë s̈es̈onatema bochanjánguango jtsóbama, chíyeca choca cochtsoquedañe ats̈e chacbochjábuayenantscuana ca.”
MAT.2.14	As José tojantsbaná, chë s̈es̈onatema y chabe mamá tojesanë́biats̈e y ibeta Egiptó benache tojë́ftsanbocna. 
MAT.2.15	Y choca imojtsanomñe Herodes tojanóbanëntscuana. Chca tojanopasá, cachcá chaotsemnama nts̈amo Bëngbe Bëtsá chabe juabna oyebuambnayabiajana tojanayancá. Chë oyebuambnayá mënts̈á tojánayana: “Egiptocana ats̈be uaquiñá sënjanchembo ca.”
MAT.2.16	Chë maguënga tmojtsaningñema Herodes tojántats̈ëmbona ora, puerte tbojánetna, y tojanmandá lempe jtsëbáyama base boyabásetemënga uta uata bomnënga y cabá uta uata ndbomnënga, Belén y chë juachañe pueblënguents̈ënga. Uta uatama cha tojanjuabó, er uta uata yojtsemna chë maguënga chë estrella tmojáninÿama. 
MAT.2.17	Nts̈amo chë Bëngbe Bëtsabe juabna oyebuambnayá Jeremías tojanoyebuambacá, cachcá tojanochnëngo:
MAT.2.18	Ramá ca uabaina pueblents̈e canÿe oyebuambnayana tmojanuena,
MAT.2.18	ngménaca os̈achiyana y becá tsets̈anánaca oyebuambnayana.
MAT.2.18	Raquel yojamna chabe básengbiama os̈achiyiñe,
MAT.2.18	pero ndoñe yontsebos̈e chamuatebiajuama,
MAT.2.18	chabe básenga ya obanënga causa ca —cha tojanábema.
MAT.2.19	José cabá Egiptoca yojtsomñe ora, Herodes tojanóbana. Chents̈ana, otjénayoca José canÿe Bëngbe Bëtsabe ángelbioye tbojáninÿe y cha mënts̈á tbojaniyana: 
MAT.2.20	“Motsbaná, chë s̈es̈onatema y chabe mamá mesë́biats̈e y Israeloye cochtá. Chë s̈es̈onatema jóbama bos̈ënga ya obanënga montsemna ca.”
MAT.2.21	As José tojantsbaná y chë s̈es̈onatema y chabe mamá Israel luaroye tojtésanëbiats̈e. 
MAT.2.22	Arquelao Judeoca yojanmánda chabe taitá Heródesbe cuentiñe, y José chca tojántats̈ëmbona orna, yojtsauatja choye jama. Pero otjénayoca Bëngbe Bëtsá Josébioye tbojanbuayená; chíyeca Josena Galilea ca uabaina luaroye tojána. 
MAT.2.23	Choye tojánashjango ora, José tojána canÿe pueblo Nazaret ca uabáinoye chents̈e joyénanama. Chca tojanochnëngo cachcá chaotsemnama nts̈amo chë Bëngbe Bëtsabe juabna oyebuambnayënga tmojanayancá. Chënga tmojánayana: “Nazaretocá ca Jesús mochantsábobaina ca.”
MAT.3.1	Chë tempo, Juan chë Ubayaná, ents̈anga ndoyena luaroye Judeoca tojánbocna, Bëngbe Bëtsabe soyëngama jábuayenama. 
MAT.3.2	Mënts̈á cha yojanëtsëtsnaye: “Bëngbe Bëtsabe amë́ndayana ya echanjóshjango. Ngménaca s̈mochtenójuaboye ts̈ëngaftangbe bacna soyëngama y chca amana s̈mochtsajbaná y Bëngbe Bëtsabe benache s̈mochtishache ca.”
MAT.3.3	Juan yojamna canÿa ndabiama chë Bëngbe Bëtsabe juabna oyebuambnayá Isaías mënts̈á tojánayana:
MAT.3.3	Ents̈anga ndoyena luaroca canÿa enduáyebuache:
MAT.3.3	“Bëngbe Utabná echanjabo ca;
MAT.3.3	mo nda canÿe benache tojtseprontacá canÿe uámana ents̈á jashjanguama,
MAT.3.3	ts̈ëngaftángnaca cachcá, Bëngbe Utabná jabama ainaniñe ts̈abe juabnë́ngaca s̈mochtseprontana ca” —cha tojánayana.
MAT.3.4	Juanbe ents̈ayá inauapormana camellbe stjënasheca y bobache yojanasnana. Cha inasaye chapulinatémënga y tjoca tjouangbe méloye. 
MAT.3.5	Jerusalenoca ents̈anga, nÿetsca Judea luarents̈a ents̈anga y chë Jordán ca uabaina béjaye béconana oyenënga imojánbocana Juan joyeunayama. 
MAT.3.6	Bëngbe Bëtsábioye chëngbe bacna soyëngama jaimpáda chents̈ana, Juan chë Jordán béjayiñe chënga yojanëbáyana.
MAT.3.7	Pero Juan tojáninÿe ba fariseunga y saduceunga cha chaubáyama tmojánama. Chënga imojamna chë judië́ngbeñe uánatsanënga Bëngbe Bëtsá ndoñe corente ntseyeunanama; as chora tojanë́yana: “¡Mëts̈cuaye ents̈anga! ¿Nda tcmënjáuyana chë echanjóshjango uabouana castigüents̈ana s̈mochjotsbocá ca? 
MAT.3.8	Bëngbe Bëtsábeñe ndegombre os̈buáchiyënga s̈mochtsemna, as chca chaotsinÿna chë bacna soyënga amana ts̈ëngaftanga ndegombre s̈mojtsajbanama. 
MAT.3.9	Y ndoñe s̈mattsejuabnaye cach ts̈ëngaftangbiama jayanama: ‘Abrahámbents̈ana ents̈anga fsëndmëna ca’. Er ats̈e s̈cuayana, Bëngbe Bëtsá quem ndëts̈béngacnaca Abrahámbents̈ana ents̈anga nanjábiama. 
MAT.3.10	Chë tats̈nía ya entsaprontana chë betiyeshënga tbëtëjëngocana jtseshatë́tsets̈ama. Ndaye betiye ndoñe tontseshajo, jtseshatëts̈ana y iñoye jtsatmets̈ana. Ts̈ëngaftangaftácnaca cachcá, ts̈abe soyënga ndoñe s̈montsamëse, Bëngbe Bëtsá cmochanjácastigaye.
MAT.3.11	“Ndegombre, ats̈na béjayeca cbondubáyana Bëngbe Bëtsabe benache chas̈muatishachama. Pero chë ats̈be ústonoye echanjabá, ats̈biama más obenana bomná comna, y ats̈e merecido taitsatobuajoñe ni mo chabe shecochëtjonëshe jtsámbañama. Chë chabe benache aíñe chamojtishachëngbiama Bëngbe Bëtsá echanjama chë echanjabábeyeca, chë Uámana Espíritu chëngbe ainaniñe cháuamashënguama. Pero chë benache ndoñe chamontishachëngbiamna, Bëngbe Bëtsá echanjama chë echanjabábeyeca, corente castigánënga chamotsemnama, mo iñeshequëcá. 
MAT.3.12	Canÿe ents̈á chabe mëts̈tá cucuats̈iñe jiyëbana, chabe trigo jtsóbobemana y chë ndoservena shácuanënga jtsejashtsëtsana. Chabe trigo chë grano uaquëcjnaye tsañe jtsabuájuana, y chë ndoservena shácuanëngna iñoye jtsatmets̈ana. Cachcá, chë ats̈be ústonoye echanjabana, chë ts̈abe ents̈anga echanjúbuaja, y chë bacna ents̈angna canÿe íñeshiñe echantsacastígaye, y chë iñe ndocna te queochátsfsana ca” —cha tojanë́yana.
MAT.3.13	As Jesús, Galileocana tojána Jordán béjayoye, Juan yojtsemnoye, cha chabuábayama. 
MAT.3.14	Pero Juan ndoñe yontsebos̈e Jesús juabáyama, y mënts̈á tbojaniyana: —Ats̈e s̈ontsemna aca chas̈cuabaye, y ¿más ats̈e aca cbochjuabaye ca?
MAT.3.15	Chora Jesús tbojanjuá: —Morna chca chaotsemna. Entsemna lempe nts̈amo Bëngbe Bëtsá tojamandacá jobedésana ca.
MAT.3.15	As Juan yojouena Jesús juabáyama. 
MAT.3.16	Jesús ya uabainá yojtsemna ora, chë buyeshoicana tojtanshë́bëbocna. Chorna Jesús tsbanánoye yojontjes̈iye y tojáninÿe chë celoca atëfjniñe y chë Uámana Espíritu mo canÿe palomatemcá chábioye yojtsastjajuana. 
MAT.3.17	Chora celocana Bëngbe Bëtsá mënts̈á tojánayana: “Mua ats̈be bonshana uaquiñá endmëna. Chabiama corente sëntsoyejuá ca.”
MAT.4.1	Chents̈ana chë Uámana Espíritu ents̈anga ndoyena luaroye Jesús tbojanánatse, as Satanás chauábama cha jisháchichiyama.
MAT.4.2	Chents̈e canta bnë́tsana te y canta bnë́tsana ibeta ntjascá tbojanjétana; chíyeca chora tbojaneshë́ntsena. 
MAT.4.3	As Satanás tbojanobobeconá y tbojaniyana: —Aca ndegombre Bëngbe Bëtsabe Uaquiñá tcomnëse, momandá quem ndëts̈benga tandës̈e chaobiama ca.
MAT.4.4	Pero Jesús tbojanjuá: —Bëngbe Bëtsabe uabemana palabrënguiñe mënts̈á endayana: “Ents̈á nÿe tandë́s̈eca ndoñe vida ntsebomnana, sinó ents̈á endobena jtsiyenana lempe nts̈amo Bëngbe Bëtsá tojayancá tbojtseyeunanëse ca.”
MAT.4.5	Chents̈ana Satanás, Jerusalén, chë uámana bëts pueblo ca uabáinoye Jesús tbojanánatse, y chë Bëngbe Bëtsabe bëts yebnents̈e chë más tsbanánoca tbojanatsá. 
MAT.4.6	Chents̈e Satanás mënts̈á tbojaniyana: —Aca ndegombre Bëngbe Bëtsabe Uaquiñá tcomnëse, muents̈ana fshantsoye montsënja, er Bëngbe Bëtsabe uabemana palabrënguiñe endayana:
MAT.4.6	Bëngbe Bëtsá chabe angelënga echanjichamuá, chacmotsinÿenama.
MAT.4.6	Chënga buacuats̈ë́ngaca cmochanjishache, shecuats̈e ndëts̈beñe ndocá chacondomama ca —cha tbojaniyana.
MAT.4.7	Chora Jesús tbojanjuá: —Cach Bëngbe Bëtsabe uabemana palabrënguiñe mënts̈á endayana: “Ndoñe matsbos̈ana acbe Bëtsá chë Utabná bacna soyëngama jacochënguama ca.”
MAT.4.8	Cabana, Satanás tbojanánatse canÿe bëts tjoye y betsco nÿetsca quem luarents̈a amëndayëngbenache y chents̈a nÿetsca uámana soyënga Jesúsbioye tbojaninÿinÿé. 
MAT.4.9	As Satanás tbojaniyana: —Aca chacojoshëntsaments̈é y chas̈cojadorase, lempe chë soyënga cbochjats̈taye ca.
MAT.4.10	Y Jesús tbojanjuá: —¡Satanás, áts̈bents̈ana mojuaná! Bëngbe Bëtsabe uabemana palabrënguiñe mënts̈á endayana: “Bëngbe Bëtsá cochtsadorana y nÿe cha cochtseservena ca.”
MAT.4.11	As Satanás cachcá tbojanonÿá. Cachora Bëngbe Bëtsábiocana angelotémënga tmojánabo Jesús jtseservénama.
MAT.4.12	Juan chë Ubayaná cárceloye tmojanëtámiama Jesús tojanuena ora, Galilea luaroye cha tojtaná. 
MAT.4.13	Pero ndoñe tonjanoquedá Nazaret pueblents̈e, sinó Capernaumoca, uafjajónaye tsachañe; choye tojána joyénanama, chë uámana bëts taitata Zabulón y Neftalibe luariñe. 
MAT.4.14	Chca tojanochnëngo, cachcá chaotsemnama nts̈amo chë Bëngbe Bëtsabe juabna oyebuambnayá Isaías tojanayancá. Isaías tojánayana:
MAT.4.15	Zabulón y Neftalibe luare, Jordán béjaye chenguánoica, uafjajónaye tsachañe;
MAT.4.15	Galilea luariñe, ndoñe judío ents̈anga oyenents̈e.
MAT.4.16	Chë mo ibetiñe cuaftsiyencá imojoyena ents̈anga, Bëngbe Bëtsabe soyënga nduabuatma causa, tmojinÿe canÿa ents̈angbe juabnënga binÿnayá.
MAT.4.16	Chë chëngbe juabnënga binÿnayá entsebuashinÿinÿana chë Bëngbe Bëtsábioye nduabuatmëngbiama,
MAT.4.16	y chë causa chabiama imomna mo obanëngcá, ndoñe binÿniñe jtsiyenëse ca —cha tojanábema.
MAT.4.17	Cach orscana Jesús tojanonts̈é ents̈anga jábuayenama: “Bëngbe Bëtsabe amë́ndayana ya echanjóshjango. Ngménaca s̈mochtenójuaboye ts̈ëngaftangbe bacna soyëngama y chca amana s̈mochtsajbaná ca.”
MAT.4.18	Canÿe te, Jesús chë Galilea uafjajónaye tsachajana yojtsaye y ndeolpe uta boyabásata tojanÿe: canÿa yojamna Simón, chë Pedro cánaca uabainá, y chabe uabentsá Andrés. Chatna atarraiëshangá ibnetsashbuétsets̈añe, er beonga ashebuánayata ibnamna. 
MAT.4.19	Jesús tojanë́yana: “Ats̈eftaca mabata; ats̈e cbochanjábiama Bëngbe Bëtsabiama ents̈anga anguayata, y morscana nÿe beonga ashebuánayata ya ndoñe ques̈ochátsmëna ca.” 
MAT.4.20	Cachora chatbe atarraiëshangá cachcá tbojésanaboshjuana y Jesús tmojanasto.
MAT.4.21	Y más chcoye, Jesús inÿe uta cats̈átata tojánanÿe: Santiago y Juan, chë Zebedeobe uaquiñata. Chata ibojtsomñe canÿe barquë́shañe, chatbe taitáftaca, chëngbe atarraiëshangá atapórmayiñe. Jesús tojánachembo, 
MAT.4.22	y cachora chë barquë́sha tbojésanaboshjona, chë taitá cachents̈e imojéseboshjona y Jesús tmojanasto.
MAT.4.23	Jesús nÿets Galilea luarëjana yojánana, chents̈e judiëngbe enefjuana yebnënguenache abuátambaye. Chë ts̈abe noticiënga Bëngbe Bëtsabe amë́ndayama ents̈anga yojanabuayiyná y nÿetsca s̈ocanëngama y tsets̈anëngama yojánashnaye. 
MAT.4.24	Nÿets Siria luarëjana ents̈anga cha imojtsebáyana. As ents̈anga nÿetsca s̈ocana bomnënga Jesúsbioye imojtsënachaye: s̈oquënga y tsets̈anana bomnënga, bacna bayëjbe juabna uambayënga, ataque osháchichanënga y jama ndobenënga. Jesús nÿetscanga yojánashnaye.
MAT.4.25	Mallajta ents̈anga Galileocana, Decápolis luarocana, Jerusalenocana, Judeocana y chë Jordán béjaye chenguanoicana Jesús imojústona.
MAT.5.1	Jesús chë mallajta ents̈anga tojánanÿe ora, batsjoye tojántsjua y tojanótbema. Chabe ústonënga tmojanobobeconá y 
MAT.5.2	Jesús tojanonts̈é mënts̈á jabuátambana:
MAT.5.3	“Puerte oyejuayënga mochántsemna chë Bëngbe Bëtsabe soyënga ts̈a imuajaboto ca juabnayënga. Chca ents̈anga mochántsemna chë Bëngbe Bëtsabe amë́ndayoca mochtsiyenënga.
MAT.5.4	“Puerte oyejuayënga mochántsemna chë mondbétsos̈achiyënga; chënga Bëngbe Bëtsá entsëjabuáchana ngménaca ndoñe chamondë́tsemnama.
MAT.5.5	“Puerte oyejuayënga mochántsemna chë uámanënga ndoñe mondbétsenobiamnayënga, er chënga mo chëngbe otocana soycá quem luare mochanjóyëngacñe.
MAT.5.6	“Puerte oyejuayënga mochántsemna chë nÿetsca soyënguiñe ts̈abá jamama bos̈ënga. Chëngbe bos̈ana entsemna mo chë oshëntsiyá y uajuendayabe bos̈ancá. Chë nÿetsca soyënguiñe ts̈abá jamama bos̈ënga mochanjobenaye jëftsinÿana lempe nts̈amo tmojtsebos̈cá.
MAT.5.7	“Puerte oyejuayënga mochántsemna chë ínÿengbiama ongmiayënga, er Bëngbe Bëtsá chëngbiama bochanjóngmia.
MAT.5.8	“Puerte oyejuayënga mochántsemna chë nÿe ts̈abe juabnënga ainaniñe bomnënga; chënga Bëngbe Bëtsá mochanjinÿe.
MAT.5.9	“Puerte oyejuayënga mochántsemna chë nÿetscanga natjë́mbana chamotsiyenama amënga, er chënga Bëngbe Bëtsabe básenga ca mochantsabaina.
MAT.5.10	“Puerte oyejuayënga mochántsemna chë ínÿenga tmojama chamotsesufrínënga, nts̈amo Bëngbe Bëtsá yobos̈cá bétsamama; chca ents̈anga mochántsemna chë Bëngbe Bëtsabe amë́ndayoca mochtsiyenënga.
MAT.5.11	“Puerte oyejuayënga ts̈ëngaftanga s̈mochtsemna, ents̈anga chacmojoyánguango y chacmojtsë́camena ora y nÿetscna soyë́ngaca chacmojtsëbuayatsenaye ora, ats̈be ústonënga bétsemnama. 
MAT.5.12	Móyejuanga, puerte móyejuanga, ts̈ëngaftanga celoca becá s̈mochanjóyëngacñe. Er nts̈amo ents̈anga ts̈ëngaftanga cmë́camena, cachcá chë Bëngbe Bëtsabe juabna oyebuambnayë́ngbioye, chë ts̈ëngaftangbe natsana monjaniyenë́ngbioye ents̈anga monjanë́camena ca” —Jesús tojánayana.
MAT.5.13	“Ts̈ëngaftanga, quem luarents̈a ents̈anga jtsëjabuáchanëse s̈mojtsiyena, Bëngbe Bëtsabe soyënga chamotsetats̈ëmbuama, as chëngbiama s̈mochántsemna mo chë mënts̈ena ndoñe chaondóndbemama tcojatboto tamocá. Pero chë tamó fténana tojtsóbemëse, ndoñe ntsopodénana tempcá sanana cachiñe jtëtsmënana. Chca, ya tondayama ntsoservénana; chíyeca chë tamó tsáshenoye jtsëts̈enana y ents̈anga jtsebotájayana.
MAT.5.14	“Ts̈ëngaftanga, nts̈amo ts̈abá yomncá s̈mojtsiyenëse, as quem luarents̈a ents̈angbiama s̈mochántsemna mo chë ibetiñe tojtsebínÿna soycá. Canÿe bëts pueblo batsjo juatsbuañe tomnëse, ndoñe ntsopodénana iytëmencá jtsemnama. 
MAT.5.15	Canÿe uajuinÿanë́sha tcojuajuínÿena ora, ndoñe cajonëshe tajsoye jtsabuájuama, sinó tsbanánoca juajájuama, chca, nÿetsca ents̈anga chë yebnents̈e tmojtsemnëngbiama chaotsebínÿnama. 
MAT.5.16	Cachcá ts̈ëngaftanga, ents̈angbe delante mo binÿnayëngcá s̈mochtsemna, as chënga ts̈ëngaftanga ts̈abe soyënga s̈muamama chamuinÿama, y chca, chënga chamuinÿanÿé chë Taitá, Bëngbe Bëtsá celoca endmëná, corente uamaná y obená bétsemnama ca” —Jesús tojánayana.
