MAT.1.1	BONKANDA wa lioci ja Yesu Masiya, bona owa Dawidi, bona owa Abalayama. 
MAT.3.1	ND’EKEK’EKO Yoane owa Wini aoya, ayosange nsango nd’etekeleke ea Yudea, 
MAT.3.2	akela, Loututala baoyi’obe, nd’ewela wae likulaka ja loola jotutama. 
MAT.3.3	Bont’one oki Yesaya owa boteli oandaka, aokela,
MAT.3.3	Lofoso j’ont’omo obeleza nd’etekeleke,
MAT.3.3	Loongya mboka ea Yawe,
MAT.3.3	Locilaza mboka ikande ci.
MAT.3.4	Yoane mongo aolota lito ja nkunza ya ngamela, ko la bosenge w’ekoto nd’onkeke: ko toma tokande basalankata la mpako. 
MAT.3.5	Nkako banto ba Yelusalema la ba Yudea bauma, la banto b’ese etutsi la Yoladane bauma baocwa el’ende; 
MAT.3.6	ko baolinama l’ende nda ntando ea Yoladane, baolieza baoyi’obe’akiyo. 
MAT.3.7	Lolo aki’nd’oenaka bouke wa Bafalusi la Basadoke baoya nd’inelo ekande, aolakela, Inyo bana ba njwa, olakak’inyo wete lolote nkele eoya na? 
MAT.3.8	Locw’amuka bandeji l’eututaelo ea baoyi’obe: 
MAT.3.9	ko talokanelake wae lokele nd’etema’ekinyo, Iso tole la ise ekiso Abalayama: emi nsangel’inyo, Nzakomba aemeya bana ba Abalayama lima bikenje bine. 
MAT.3.10	Aeyoko yanda iolilama nda wili wa betamba; nd’ewela eko wengi botamba bofocw’amuka b’olotsi wumbama ko wusama nda tsa. 
MAT.3.11	Nsosolo emi njolin’inyo nd’asi nd’eututaelo ea baoyi’obe; lolo ende oya nd’afeka’akami aondekol’emi la mpamba, mpeji lotomba bikoto bikande; ende ifin’inyo nda Bolimo w’olotsi ko la tsa; 
MAT.3.12	ifufake ile nda likata likande, ko ifofetola ilombe ifuf’ende loso mpetola mongo; ko ifotakanya loso lokande nd’ilombe ikande ya efongelo; lolo ifocumba mposo la tsa totafofyamaka.
MAT.3.13	Lim’ako Yesu aolimana Ngalilaya, aoya nda Yoladane ele Yoane oinama l’ende. 
MAT.3.14	Lolo Yoane osukaki, akela, Emi ndela wae njiname la we, ko oya nd’el’emi? 
MAT.3.15	Lolo Yesu aolokela, Wambokele; bolotsi el’iso tokele baoyi ba njelama bauma eleng’ene. Ko aolimeza. 
MAT.3.16	Koko Yesu, aki’nd’oinamaka, nkakoyoko aosafwa lim’asi; ko bala, loola lokombwa el’ende, ko aolena Bolimo wa Nzakomba ayokitele ngol’embenga, ko aoya el’ende; 
MAT.3.17	ko bala, lofoso lolokana lima loola, lokela wae, One Bona’okami ow’eefe, ondoky’emi ekemo mongo.
MAT.4.1	NKAKO Yesu aotombama la Bolimo nd’etekeleke wete amekame la Satana. 
MAT.4.2	Aki’nd’okilaka toma betso l’embile ntuk’inei, nd’afeka aoloka nzala. 
MAT.4.3	Ko bomeki aoy’okel’ende, Nga w’ole Bona owa Nzakomba, sanga wae bikenje bine bifaningwa mampa. 
MAT.4.4	Lolo ende aokela, Joi jokotama, Bonto ntaikaka la mampa kika, lolo la wengi joi lindola lim’omwa wa Nzakomba. 
MAT.4.5	Lim’ako Satana aolotomba nd’onanga w’oeko; ko aoloila nd’aliko b’ilombe ya Nzakomba, nda nsonge; 
MAT.4.6	ko aolokela, Nga w’ole Bona owa Nzakomba, usa we mongo nd’ase; ele joi jokotama,
MAT.4.6	Ende ifotoma bikima bikande nd’eloko ekawe:
MAT.4.6	Ko bifokotomba nd’akata’akiyo,
MAT.4.6	Nyango likaka likawe lifoiman’ekenje.
MAT.4.7	Yesu aolokela, Joi linkina jokotama, Tomekake Yawe Nzakomba ekawe. 
MAT.4.8	Lenkina Satana aolotomba nda ngongo ea ntale mongo, ko aoloeneya bakulaka bauma ba bise biuma, ko la jilangi ja bakulaka’ako; 
MAT.4.9	ko aolokela, Ayaka onkusamel’emi, ko ommemya, njifokoka toma tone touma. 
MAT.4.10	Yesu aolamba, Imana Satana; ele joi jokotama, Memya Yawe Nzakomba ekawe, ko osaela nk’ende kika. 
MAT.4.11	Lim’ako Satana aolocika; ko bala, bikima bia loola baoy’okambya.
MAT.4.12	Aki Yesu ookaka Yoane aotungama, aolimana, ko aocwa nda Ngalilaya; 
MAT.4.13	ko aolimana Nazaleta, ko aoy’oyala nda Kapalanauma, ntutama la lieke nd’ekako bia Zebulona la Napatali; 
MAT.4.14	wae joi liki Yesaya owa boteli otefelaka jiele, aokela,
MAT.4.15	Ese ea Zebulona, l’ese ea Napatali,
MAT.4.15	Ntutama la lieke, wij’a Yoladane,
MAT.4.15	Ngalilaya ea Bafaya,
MAT.4.16	Banto bakokit’ase nda wilima
MAT.4.16	Benaki fole e’enene,
MAT.4.16	Ko fole engesaki el’iyo
MAT.4.16	Bakokit’ase nda wiji la lililingi j’iwa.
MAT.4.17	Lim’ako Yesu aanga losanga nsango, akela, Loututala baoyi’obe; ele likulaka ja loola jotutama.
MAT.4.18	Aki Yesu olande nd’eselo ea lieke ja Ngalilaya, aolena Simona otangema Petelo la Andelo okosangi l’ende nd’ooci, bayus’otai wa nse nda lieke: iyo baki baasi ba nse. 
MAT.4.19	Ko aolakela, Lonkim’emi, ko njifokel’inyo wae loyaleme baasi b’anto. 
MAT.4.20	Nkakoyoko baosundola betai, ko baolokima. 
MAT.4.21	Ko aki’nd’ocwa, aolena bam’afe, Yakobo, bona owa Zebedayo, la Yoane okosangi l’ende nd’ooci, baki nda wato la Zebedayo ise ekiyo, bayosambe betai bekiyo, ko aolaeta. 
MAT.4.22	Nkakoyoko baocika wato l’ise ekiyo, ko baolokima.
MAT.4.23	Yesu aokenda nda bise bia Ngalilaya biuma nkaana, ayolake nda basunagoga bakiyo, ko ayosange bosako w’olotsi wa likulaka, ko ayoikya banto nkangi ko la tongoi gilenge la gilenge. 
MAT.4.24	Koko lokumo lokande lolongwana nd’ese ea Sulia euma: ko baoloyel’iy’auma bandokaki nkangi la biefe bilenge la bilenge, l’iy’aki la bademona la bensinga la nkangi ea nkataana: ko aolaikya. 
MAT.4.25	Koko bitukuluku bi’anto baolokima lima Ngalilaya, la Dekapoli, la Yelusalema, la Yudea, la wij’a Yoladane.
MAT.5.1	AKI’ND’OENE bitukuluku bi’anto, aounda ngongo; ko aki’nd’okit’ase, bakimi bakande baoy’el’ende: 
MAT.5.2	ko aoumbol’omwa bokande, ko aolalaka, akela.
MAT.5.3	Iy’ale boola nd’olimo baokem’ekemo; ele likulaka ja loola lile likiyo.
MAT.5.4	Iy’akesela la lokeseli baokem’ekemo; el’iyo bifolombwama lokeseli.
MAT.5.5	Ba bongengo baokem’ekemo; el’iyo bifosangola bokili.
MAT.5.6	Iy’andoka baoyi ba liongi nzala la mposa baokem’ekemo; el’iyo bifokinda.
MAT.5.7	Iy’andok’anto isei baokem’ekemo; ele isei ifokan’el’iyo.
MAT.5.8	Iy’ale la betema bia feto baokem’ekemo; el’iyo bifena Nzakomba.
MAT.5.9	Iy’andoamanya banto nd’oseka baokem’ekemo; el’iyo bifotangema bana ba Nzakomba.
MAT.5.10	Iy’anyokwa nd’eloko ea liongi baokem’ekemo; ele likulaka ja loola lile likiyo. 
MAT.5.11	Ae banto otang’inyo lotango, ko baonyokol’inyo, ko baofat’inyo bobe bouma nd’eloko ekami, inyo lokem’ekemo. 
MAT.5.12	Losalangana, ko lokem’ekemo bouke; ele ndako ikinyo il’inene nda loola; ek’iy’onyokolaka bateli baki nda joso likinyo o ngoko.
MAT.5.13	Inyo lole bokwa w’okili; lolo nkina bokwa bosila ngenge, boate lenkina ngenge la na? Bofaoonga lenkina, lolo wusame, ko banto bamatel’oko l’akaka. 
MAT.5.14	Inyo lole fole ea benanga. Bonanga bole nda ngongo bofisameya. 
MAT.5.15	Ntabaambolak’itswa wae bile nd’ase b’eoko, lolo nd’ilelo ea itswa: ko iongesa el’anto bauma bale nd’ilombe. 
MAT.5.16	Eleng’eko lokela fole ekinyo engese nda joso j’anto, wete bene beketo’ekinyo bi’olotsi, ko bamemya Ise ekinyo ole nda loola.
MAT.5.17	Talokanelake wae njaki ofita bisekyelo ko la baoyi baki bateli otelaka: nciyaki ofita, lolo oieza. 
MAT.5.18	Nsosolo emi nsangel’inyo, elaka nko loola l’okili baolimana, nko yoi imoko ko nko iandanda imoko imane lima bisekyelo, elaka nko baoyi’auma baoliela. 
MAT.5.19	Nd’ewela eko, bonto otendola bosise’omo wa besise bene belekola tosisi, ko alak’anto ngoko, ifotangema ondekol’isisi nda likulaka ja loola: lolo bonto okela besise’eko, ko alak’anto beko, end’ifotangema owa lokumo nda likulaka ja loola. 
MAT.5.20	Emi nsangel’inyo wae nkina liongi likinyo lifolekola liongi ja bakoci b’enkanda la Bafalusi, lofaotswa nda likulaka ja loola nye.
MAT.5.21	Inyo lokaki baoyi bak’iy’osiselaka banto baki kalakala, Toomake bonto: ko os’oom’onto ifelama l’umbelo ea likambo. 
MAT.5.22	Lolo emi nsangel’inyo, wengi’onto ondokela lilongo likande nkele ifelama l’umbelo ea likambo; ko wengi’onto okela lilongo likande, Raka, ifelama l’umbelo nda nteke ea bilimo; ko okela, We Mora, ende ifelama la Ngena ea tsa. 
MAT.5.23	Nd’ewela eko, nkina olekya nganji
MAT.5.24	cika nganji ekawe nda joso ja nkinda ea mbeka, ko kenda mboka ekawe, nda joso bamana nd’oseka we la lilongo likawe, kela oy’olekya nganji ekawe. 
MAT.5.25	Acwa we la wini’okawe nda mboka, fonga loamana l’ende boseka nkaola, nyango wini afokotombele juge, ko juge afokolekya ele police, ko ende afokuse nd’ilombe ya njanga. 
MAT.5.26	Nsosolo nkosangela, ofaola lim’eko, elaka nko olekya baumba’auma, nko centime eciki nye.
MAT.5.27	Lokaki joi likelamaki, Tokelake jibi; 
MAT.5.28	lolo emi nsangel’inyo, wengi’onto oala bomoto te la mposa wae ekele jibi l’ende, aosiza lokela jibi l’ende nd’otema’okande. 
MAT.5.29	Nkina liso likawe j’elome likokunumweza, tokola liko, ko boka lim’ele we; bolotsi ele we wae elama ekawe emoko efitane, nyango jonge likawe liuma lifusame nda Ngena. 
MAT.5.30	Ko nkina likata likawe j’elome likokunumweza, tena liko, ko boka lim’ele we; bolotsi ele we wae elama ekawe emoko efitane, nyango jonge likawe liuma lifusame nda Ngena. 
MAT.5.31	Koko joi likelamaki, Os’oimola waji’okande, kel’ende oka bonkanda wa mbaoma ea liala; 
MAT.5.32	lolo nsangel’inyo, os’oimola waji’okande, waji ntaata likambo ja jibi, aolokel’ende bomoto owa jibi; koko bonto okola bomoto waji oki bome oimolaka, aokela jibi.
MAT.5.33	Lenkina, lokaki joi likelamaki el’anto baki kalakala, Tosimbake nsimbi ea mpafomba; lolo keela Yawe bilaka biki wosimbaka; 
MAT.5.34	lolo emi nsangel’inyo, Talosimbake nye; talosimbake la loola, ele loko lole ngwende ea Nzakomba; 
MAT.5.35	talosimbake l’okili, ele boko bole mbata e’akaka bakande; talosimbake la Yelusalema, ele boko bole bonanga wa Bokulaka ow’onene owa roi. 
MAT.5.36	Koko tosimbake la botsa’okawe, ele we ofokeleya libwo limoko fe nkina yo. 
MAT.5.37	Kela joi likinyo liyaleme Onde, Onde; Nye, Nye; ko baoyi balekol’ako bale lim’ele Ow’obe.
MAT.5.38	Lokaki joi likelamaki, Liso jumana la liso, ko la lino la lino; 
MAT.5.39	lolo emi nsangel’inyo, Talosukake ow’obe; lolonde nkina bonto akosakola lotaka nda litama likawe j’elome, w’okengoele litama linkina. 
MAT.5.40	Nga bonto alanga wae akotombe nd’etenelo e’akambo, ko aokolo bonkoto’okawe w’etei, kel’ende akole bonkoto’okawe w’aliko. 
MAT.5.41	Ko nga bonto akokame wete ocwe l’ende kilomètre emoko, kenda l’ende kilomètres ife. 
MAT.5.42	Kaya bonto okolomba, ko toututalake bonto olanga asombe lim’ele we nsombi.
MAT.5.43	Lokaki joi likelamaki, W’ok’osingitana la we eefe, ko w’ina wini’okawe: 
MAT.5.44	lolo emi nsangel’inyo, Loka baini’akinyo eefe, loondel’iyo banyokol’inyo; 
MAT.5.45	wae loyaleme bana ba Ise ekinyo ole nda loola; el’ende akyeya banto b’obe la banto b’olotsi jefa likande, ko ajweya bandeji la bafeji mbula. 
MAT.5.46	Nkina banto bok’inyo eefe, ko inyo lolok’iyo eefe, ndako ekinyo na? batakanyi ba mpuci bafokele ngoko? 
MAT.5.47	Ko nkin’inyo luola bioto bikinyo kika, lolekola bant’ankina la na? Bafaya bafokele ngoko? 
MAT.5.48	Nd’ewela eko inyo loyalema ba liongi ja momo, eleng’ele Ise ekinyo ea loola ale owa liongi ja momo.
MAT.6.1	LOFONGA loala, nyango lofokele liongi likinyo nda joso j’anto, wae iyo bene; ayaka lokela ngoko, lofoate ndako l’Ise ekinyo ole nda loola.
MAT.6.2	Nd’ewela eko, akafa we nganji ya liota, tawulake bolola nda joso likawe, elenge ekela bekakatano nda basunagoga la nda mboka, wete baate imemya lim’el’anto. Nsosolo, nsangel’inyo, iyo baata ndako ikiyo. 
MAT.6.3	Lolo akafa we nganji ya liota, tolangake wae likata likawe ja waji jea bolemo bokamba likata likawe j’elome: 
MAT.6.4	wae nganji ikawe ya liota ikaeme la lokuko: ko Ise ekawe ondena nda lokuko Bomongo ifokolakola.
MAT.6.5	Ko aond’inyo, taloyalemake elenge ngole bekakatano: iyo balanga wete bemale, ko baonde nda basunagoga ko nd’aatano ba mboka, wae benya el’anto. Nsosolo, nsangel’inyo, iyo baata ndako ikiyo. 
MAT.6.6	Lolo we, aonda we, yotswa nda itenela ikawe ya lokuko, ko ae w’okomb’ekuke, bonda Ise ekawe ole nda lokuko, ko Ise ekawe ondena nda lokuko ifokolakola. 
MAT.6.7	Aond’inyo taloondake la baoyi ba njutela la njutela, elenge eonda bafea Nzakomba: iyo bakanela wae bifokana nd’ewela ea bitelelo bikiyo biuke. 
MAT.6.8	Nd’ewela eko, talosonganake l’iyo: ele Ise ekinyo aolea toma tolel’inyo, ataf’inyo ouol’ende. 
MAT.6.9	Nd’ewela eko, loonda eleng’ene: Fafa ekiso ole nda loola, kela lina likawe limemyame, 
MAT.6.10	kela likulaka likawe liye, kela wango bokawe bokelame nd’okili, elenge ekelama boko nda loola. 
MAT.6.11	Otokaya toma tokiso ta wengi mbile. 
MAT.6.12	Ko ototungole lima bembale’ekiso, elenge etungol’iso bale l’embale l’iso. 
MAT.6.13	Tototombake nda lomeko, lolo ototungole lim’ele Ow’obe; (ele likulaka lile likawe, ko mpamba ele ekawe, ko imemya ile ikawe, bikeke la bikeke. O ngoko.) 
MAT.6.14	Nkin’inyo lotungol’anto lima beseketano bekiyo, Ise ekinyo ea loola ifotungol’inyo. 
MAT.6.15	Lolonde nkin’inyo lofotungol’anto lima beseketano bekiyo, Ise ekinyo afaotungol’inyo lima beseketano bekinyo.
MAT.6.16	Koko akil’inyo toma, talominyake bilongi, elenge ekela bekakatano: iyo bafita bilongi bikiyo wae benya el’anto nga bakila toma. Nsosolo, nsangel’inyo, iyo baata ndako ikiyo. 
MAT.6.17	Lolo we, akila we toma, bis’otsa bokawe l’auta, ko sol’elongi ekawe; 
MAT.6.18	wete ofenya el’anto nga okila toma, lolo w’enya el’Ise ekawe ole nda lokuko: koko Ise ekawe ondena nda lokuko ifokolakola.
MAT.6.19	Talendolak’inyo mongo liaci nd’okili, efitana liko la towawa la maanga, ko endotswa baiyi oiya liaci. 
MAT.6.20	Lolo lendolak’inyo mongo liaci nda loola, efa towawa la maanga ofita, ko efa baiyi ootswa oiya liaci. 
MAT.6.21	Nd’ewela wae efongama liaci likawe, wifila botema’okawe nk’eko. 
MAT.6.22	Itswa ya jonge ile liso: nd’ewela eko, ayaka liso likawe joyalema senzelele, jonge likawe liuma lifofolala. 
MAT.6.23	Lolo nkina liso likawe lile bobe, jonge likawe liuma lile wae wilima mongo. Nd’ewela eko, nkina fole ele nd’etei ekawe ele wilima, wilima boko esakaana mongo! 
MAT.6.24	Nk’onto osaleleya bankolo bafe; nkin’ifoton’emo, ko alang’enkina; nkin’ifofotamel’emo, ko atengwel’enkina. Inyo lofosaleleya Nzakomba la liaci. 
MAT.6.25	Nd’ewela eko, nsangel’inyo, talokakaanake nd’ewela ea loiko lokinyo, wae toma to iny’ola la emeelo e iny’omela; koko talokakaanake nd’ewela ea jonge wete bito bi iny’olota. Loiko lofolekola toma nde? ko jonge lifolekola bito nde? 
MAT.6.26	Loala tofulu ta baliko, tofone, ko tofomuke, ko tofotakanya toma nda tolombe ta efongelo: Ise ekinyo ea loola aolaka toma. Inyo lofolekola tofulu la wiko nde? 
MAT.6.27	Bonto’okinyo oteez’ende mongo botale l’okakaano na? 
MAT.6.28	Koko lokakaana nd’ewela ea bito lae? Lokanela ndobya ile nda lisala l’elenge emel’iko; ndobya ifosale, ko ifofom’eto: 
MAT.6.29	lolo nsangel’inyo wae Solomona nd’okombe bokande bouma ntalotsama eleng’ele lobya lone lomoko. 
MAT.6.30	Lolo nkina Nzakomba aokombya bailo b’asala bamela mbil’ene, ko busame lobi nd’ecumbelo, iny’ale l’imeezo nk’isisi, afolekola lolots’inyo bito nde? 
MAT.6.31	Nd’ewela eko, talokakaanake, ko talokelake, Tole na? ko tomele na? ko tolote na? 
MAT.6.32	Ele Bafaya bayase toma tone touma: Ise ekinyo ea loola ea wete lolela toma tone touma. 
MAT.6.33	Lolo lasa nda joso mongo likulaka likande ko la liongi likande: ko toma tone touma tifokokyama el’inyo. 
MAT.6.34	Nd’ewela eko, talokakaanake nd’ewela ea mbile ea lobi: mbile ea lobi ifokakaana ekomongo. Bobe wa wengi mbile bokoka la mbil’eko.
MAT.7.1	TALEZAKE banto baoyi, nyang’inyo lofezama l’aoyi. 
MAT.7.2	Ele jeza lindez’inyo lifezama el’inyo lenkina: ko bifelez’inyo, ngok’iny’oezaka. 
MAT.7.3	Ko oala ifufumbu ile nda liso ja lilongo likawe, lolo ofokanela botondo bole nda liso likawe mongo lae? 
MAT.7.4	Bala, botondo bole nda liso likawe mongo, ko out’okela lilongo likawe, Kela nkoleza ifufumbu ile nda liso likawe ngamo? 
MAT.7.5	We bokakatano, oza botondo bole nda liso likawe mongo nda joso: mpanga wene fole wae woza ifufumbu ile nda liso ja lilongo likawe.
MAT.7.6	Talokaake mbwa toma touzama nd’oeko, ko talusake perles ikinyo nda joso ja nsombo, nyango ifomatel’iko la bakaka’akiyo, ko ifokengwana okot’inyo.
MAT.7.7	Luola, ko ifokaema el’inyo; lasa, ko lifotana; lokunda, ko ifokombwa el’inyo. 
MAT.7.8	Ele wengi’onto onduola ifamba, ko ondasa ifena, ko ifokombwa el’ende okunda. 
MAT.7.9	Nkina bona owa bont’okinyo’omo aolomba ise ioko, ise ifolokaya ekenje nde? 
MAT.7.10	Ko nkin’ende alomb’ise nse, ifolokaya njwa? 
MAT.7.11	Nkin’inyo bant’obe lea lokaya bana’akinyo nganji y’olotsi, Ise ekinyo ole nda loola afolekola lokaya iyo balomb’ende toma t’olotsi nde? 
MAT.7.12	Nd’ewela eko, lokeela banto baoyi ba nko loswele balang’inyo wae banto bakeel’inyo; ngoko wae elenge ea bisekyelo ko la baoyi ba bateli bauma. 
MAT.7.13	Lotswa nda wiso wa nkaka; ele wiso bol’onene, ko mboka ecwa nda lofito ele la bongonge mongo, ko iy’andotsw’eko bal’auke. 
MAT.7.14	Ele wiso bol’isisi, ko mboka ecwa nda loiko ele nkaka, ko iy’atan’eko baf’auke. 
MAT.7.15	Lofonga loala bateli ba mpafomba bay’el’inyo ngole mpate, lolo nd’etema’ekiyo bale nga nkoi ya wale. 
MAT.7.16	Lifaea l’amuka’akiyo. Banto bayomuke bamuka ba bokoli wa vina lim’aeke nde, nkina bateli lima bafengolankoi? 
MAT.7.17	Eleng’eko wengi botamba w’olotsi bocw’amuka b’olotsi; lolo botamba w’obe bocwa bamuka b’obe. 
MAT.7.18	Botamba w’olotsi ntabocweka bamuka b’obe; ko botamba w’obe ntabocweka bamuka b’olotsi. 
MAT.7.19	Wengi botomba botacweka bamuka b’olotsi wumbamaka, ko wusamaka nda tsa. 
MAT.7.20	Nd’ewela eko, lifaea l’amuka’akiyo. 
MAT.7.21	Af’iy’auma bankel’emi Nkolo, Nkolo, botsw’olo nda likulaka ja loola; lolo ende okela wango wa Fafa ekami ole nda loola. 
MAT.7.22	Bant’auke bifonkel’emi nda mbil’eko, Nkolo, Nkolo, iso ntatotelak’aoyi nda lina likawe, ko ntatoozaki bademona nda lina likawe, ko ntatokambaki belemo bi’ofilo beuke o nda lina likawe? 
MAT.7.23	Ko njifasangela, Nceak’inyo nye, iny’akel’obe, liman’el’emi. 
MAT.7.24	Nd’ewela eko, wengi’onto ondoka baoyi’ane bakami, ko akel’ako, aosongana la bonto owa wanya otongak’ilombe nd’ekenje. 
