MAT.1.1	Книга
MAT.3.17	И ете, глас од небесата говореше: – Овој е Мојот возљубен Син, Кој е според Мојата волја.
MAT.3.17	Крај на Богојавление и на деветтиот час
MAT.4.1	Тогаш
MAT.4.2	И откако постеше четириесет дни и четириесет ноќи, најпосле огладне.
MAT.4.3	А кога се приближи до Него, искушувачот Му рече: – Ако си Син Божји, кажи, овие камења да станат лебови.
MAT.4.4	А Он му одговори и рече: – Напишано е – „не само од леб ќе живее човек, а и од секој збор што излегува од устата на Бога“.
MAT.4.5	Тогаш ѓаволот Го одведе во светиот град и Го постави на стреата од храмот
MAT.4.6	и Му рече: – Ако си Син Божји, фрли се долу, зашто е напишано: „На ангелите Свои ќе им заповеда за Тебе, да Те запазат и на раце ќе Те земат за да не Си ја сопнеш некако ногата на камен“.
MAT.4.7	А Исус му рече: – Напишано е, исто така – „не искушувај Го Господа, твојот Бог“.
MAT.4.8	Пак Го одведе ѓаволот на многу висока планина и Му ги покажа сите царства на светов и нивната слава,
MAT.4.9	и Му рече: – Сите овие ќе Ти ги дадам, ако паднеш и ми се поклониш.
MAT.4.10	Но Исус му рече: – Бегај од мене, сатано, зашто е напишано – „на Господа, твојот Бог ќе Му се поклониш и само Нему ќе Му служиш“!
MAT.4.11	Тогаш ѓаволот Го остави, и ете, дојдоа ангели и Му служеа.
MAT.4.11	Крај на саботата на Просвештение
MAT.4.12	Акога чу Исус
MAT.4.13	и, кога го остави Назарет, дојде и се насели во Капернаум приморски, во пределите Завулонови и Нефталимови,
MAT.4.14	за да се исполни реченото преку пророкот Исаија, кој вели:
MAT.4.15	„Земјата Завулонова и земјата Нефталимова, на пат кон морето, оданде Јордан, незнабожечка Галилеја е.
MAT.4.16	Народот што седеше во мрак виде голема светлина и на оние што седеа во пределот, и во сенка смртна, им изгреа светлина“.
MAT.4.17	Оттогаш почна Исус да проповеда и да говори: – Покајте се, зашто се приближи царството небесно!
MAT.4.17	Крај на неделата на Просвештение
MAT.4.18	И врвејќи
MAT.4.19	и им рече: – Врвете по Мене и Јас ќе ве направам ловци на луѓе.
MAT.4.20	А тие, пак, веднаш ги оставија мрежите и тргнаа по Него.
MAT.4.21	И откако премина отаде, виде други двајца браќа, Јакова Заведеев и брат му Јована, во кораб со Заведеја, татко им, кои си ги крпеа мрежите свои, и ги повика.
MAT.4.22	Тие, пак, веднаш го оставија коработ и татка си и тргнаа по Него.
MAT.4.23	И одеше Исус по цела Галилеја и кога поучуваше по синагогите, го проповедаше Евангелието на царството и лекуваше секаква болест и слабост кај луѓето.
MAT.4.23	Крај на неделата
MAT.4.24	Па се разнесе глас за Него по цела Сирија; и ги доведоа при Него сите болни, нападнати од различни болести и страданија, и бесомачни, и месечари, и фатени, и Он ги излечи.
MAT.4.25	И по Него
MAT.5.1	Кога го виде народот, се искачи на планината; а штом седна, учениците Негови се приближија до Него.
MAT.5.2	И откако ја отвори устата Своја, ги поучуваше и говореше:
MAT.5.3	Блажени се бедните по дух, зашто нивно е царството небесно!
MAT.5.4	Блажени се оние што плачат, оти ќе се утешат!
MAT.5.5	Блажени се кротките, зашто тие ќе ја наследат земјата!
MAT.5.6	Блажени се гладните и жедните за правда, зашто тие ќе се наситат!
MAT.5.7	Блажени се милостивите, зашто тие ќе бидат помилувани!
MAT.5.8	Блажени се чистите по срце, оти тие ќе Го видат Бога!
MAT.5.9	Блажени се миротворците, зашто тие ќе се наречат синови Божји!
MAT.5.10	Блажени се гонетите заради правда, зашто нивно е царството небесно!
MAT.5.11	Блажени сте вие, кога ќе ве срамат и прогонат и кога ќе говорат против вас секакви лоши зборови, лажно – заради Мене!
MAT.5.12	Радувајте се и веселете се, зашто голема е вашата награда на небесата; така ги гонеа и пророците што беа пред вас!
MAT.5.12	Крај на преподобните
MAT.5.13	Вие сте солта на земјата. Но, ако солта ја изгуби соленоста, со што ќе се осоли? Таа веќе за ништо не е, освен да се фрли надвор и да се изгази од луѓето.
MAT.5.13	Крај на вторникот
MAT.5.14	Вие
MAT.5.15	Ниту, пак, светилото се пали и клава под поклоп, туку на свеќник и им свети на сите в ку ќи.
MAT.5.16	Така нека свети пред луѓето и вашата светлина, за да ги видат вашите добри дела и да Го прослават вашиот Отец, Кој е на небесата.
MAT.5.17	Немојте да мислите дека сум дошол да го нарушам Законот или Пророците; не сум дошол да ги нарушам, туку да ги исполнам.
MAT.5.18	Зашто, вистина ви кажувам: додека постојат небото и земјата, ниту една јота или црта од Законот нема да се измени, додека не се исполни сѐ.
MAT.5.19	И така, оној што ќе наруши една од тие најмали заповеди и така ги научи луѓето, најмал ќе се нарече во царството небесно; а оној што ќе ги исполни и поучи, тој голем ќе се нарече во царството небесно.
MAT.5.19	Крај на светителите
MAT.5.20	Зашто ви велам,
MAT.5.21	Сте слушале дека им било речено на старите: „Не убивај; а кој убие, виновен е пред судот“.
MAT.5.22	Јас, пак, ви велам дека секој што се гневи на брата си без причина, ќе биде виновен пред судот; а оној што ќе го нарече брата си „празноглав“, ќе биде виновен пред врховниот суд; а оној, пак, што ќе рече „будала“, ќе биде виновен за во пеколот.
MAT.5.23	Па, ако принесуваш дар на жртвеникот, и таму се сетиш дека брат ти има нешто против тебе,
MAT.5.24	тогаш, остави го дарот таму, пред жртвеникот, па отиди, најнапред помири се со брата си, а потоа дојди и принеси го дарот твој.
MAT.5.25	Измири се со противникот твој навреме, додека си на пат со него, за да не те предаде на судијата, а судијата – на слугата и да бидеш затворен;
MAT.5.26	вистина ти велам: нема да излезеш оттаму, сѐ додека не ја дадеш и последната пара.
MAT.5.26	Крај на средата
MAT.5.27	Сте
MAT.5.28	Јас, пак, ви велам дека секој што ќе погледне на жена со желба, тој веќе извршил прељуба со неа во срцето свое.
MAT.5.29	Ако десното око те соблазнува, извади го и фрли го од себе; зашто подобро ти е да погине еден дел од твоето тело, отколку целото – да биде фрлено во пеколот.
MAT.5.30	И десната рака, ако те соблазнува, исечи ја и фрли ја од себе; оти подобро ти е да погине еден твој дел, отколку целото твое тело да биде фрлено во пеколот.
MAT.5.31	Речено било, исто така: „Ако некој ја остави својата жена, нека ѝ даде развод“.
MAT.5.32	А јас, пак, ви велам: – Секој што ќе ја остави својата жена, освен за прељуба, тој ја тера да прељубодејствува; и којшто ќе се ожени со напуштена, тој прељубодејствува.
MAT.5.32	Крај на четвртокот
MAT.5.33	Сте
MAT.5.34	Јас, пак, ви велам: – Не колнете се воопшто – ниту во небото, оти тоа е престол Божји;
MAT.5.35	ниту во земјата, зашто таа е подножје на нозете Негови; ниту во Ерусалим, оти е град на великиот Цар.
MAT.5.36	Ниту во главата твоја не колни се, зашто не можеш ниту едно влакно да го направиш бело или црно.
MAT.5.37	Но, зборот ваш да биде: да – да, не – не, а сѐ што е повеќе од тоа, од лукавиот е.
MAT.5.38	Сте слушале дека било речено: „Око за око, заб за заб“.
MAT.5.39	Јас, пак, ви велам: да не се противите на злото. Ако некој те удри по десниот образ, сврти му го и другиот.
MAT.5.40	А на оној што сака да се суди со тебе и да ти ја земе кошулата, дај му ја и наметката.
MAT.5.41	И ако некој те присили да одиш со него една милја, ти оди две.
MAT.5.42	На
MAT.5.43	Сте слушале дека е речено – „љуби го својот ближен и мрази го непријателот“.
MAT.5.44	А јас, пак, ви велам: љубете ги непријателите свои, благословувајте ги оние што ве колнат, правете им добро на оние што ве мразат, и молете се за оние што ве навредуваат и гонат,
MAT.5.45	за да бидете синови на вашиот Отец Кој е на небесата; зашто Он го остава Своето сонце да грее над лошите и над добрите, и им праќа дожд и на праведните и на неправедните.
MAT.5.46	Оти, ако ги сакате оние што ве љубат вас, каква ќе ви биде наградата? Зар не го прават тоа и цариниците?
MAT.5.47	И, ако ги поздравувате само браќата свои, што особено правите? Не постапуваат ли така и незнабошците? вате вашата праведност пред луѓето, за да ве видат; инаку, нема да имате награда од вашиот Отец Кој е на небесата.
MAT.5.48	Но бидете совршени, ка ко што е совршен вашиот Отец небесен.
MAT.5.48	Крај на саботата
MAT.6.1	Гледајте
MAT.6.2	И така, кога правиш милостина, не разгласувај, како што прават лицемерите по синагогите и улиците, за да ги фалат луѓето. Навистина ви велам, тие ја добиваат својата награда.
MAT.6.3	А ти кога правиш милостина, да не знае твојата лева рака што прави десната,
MAT.6.4	за да биде твојата милостина тајна; и тогаш, твојот Отец, Кој гледа тајно, ќе те награди јавно.
MAT.6.5	И кога се молиш, не бидикако лицемерите, кои сакаат да стојат по синагогите и раскрсниците за да се молат и да се покажуваат пред луѓето. Навистина ви велам дека тие веќе ја добиваат својата награда.
MAT.6.6	А ти, кога се молиш, влези во својата скришна соба и откако ќе ја затвориш вратата своја, помоли Му се на твојот Отец, Кој е во тајност, и Твојот Отец, Кој гледа тајно, ќе те награди јавно.
MAT.6.7	Кога се молите, не говорете многу како незнабошците, зашто тие мислат дека во своето многуговорење ќе бидат услишани;
MAT.6.8	вие, пак, немојте да бидете како нив, оти вашиот Отец знае од што имате потреба уште пред да сте Го помолиле.
MAT.6.9	Туку молете се вака: Оче наш, Кој си на небесата, да се свети името Твое;
MAT.6.10	да дојде царството Твое; да биде волјата Твоја, како на небото, така и на земјата;
MAT.6.11	лебот наш насушен дај ни го денес;
MAT.6.12	и прости ни ги долговите наши, како што им ги проштеваме и ние на нашите должници;
MAT.6.13	и не воведи нѐ во искушение, но избави нѐ од лукавиот, зашто Твое е царството, и силата, и славата во вековите. Амин.
MAT.6.13	Крај на саботата
MAT.6.14	Бидејќи, ако
MAT.6.15	ако ли не им ги простите грешкитена луѓето и вашиот Отец нема да ви ги прости вашите.
MAT.6.16	Кога постите, не бидете жалосни како лицемерите; зашто тие си ги прават лицата мрачни, за да се покажат пред луѓето дека постат. Навистина ви велам оти тие си ја добиваат својата награда.
MAT.6.17	А ти, кога постиш, помажи ја главата своја и измиј го лицето свое,
MAT.6.18	па да се покажеш дека постиш не пред луѓето, туку пред твојот Отец, Кој е во тајност; и твојот Отец, Кој гледа тајно, ќе те награди јавно.
MAT.6.19	Не собирајте богатства на земјата, каде што ги јаде молецот и 'рѓата, и каде што крадците ги поткопуваат и крадат;
MAT.6.20	но, собирајте си богатства на небото, каде што ниту молец, ниту 'рѓа ги јаде, и каде што крадци не ги поткопуваат, ниту крадат;
MAT.6.21	зашто, каде што е богатството ваше, таму ќе биде и срцето ваше.
MAT.6.21	Крај на сиропусната недела
MAT.6.22	Светило
MAT.6.23	ако, пак, твоето око биде лошо, сето тело ќе ти биде темно. И така, ако светлината што е во тебе е темнина, тогаш каква ли ќе е темнината?
MAT.6.24	Никој не може да им слугува на двајца господари: или едниот ќе го засака, а другиот ќе го намрази; или кон едниот ќе се приврзе, а другиот ќе го презре. Не можете да служите на Бога и на Мамона.
MAT.6.25	Затоа ви велам: немојте да се грижите за вашата душа, што ќе јадете или што ќе пиете; ниту за вашето тело, во што ќе се облечете. Зар не чини душата повеќе од храната, и телото – од облеката?
MAT.6.26	Погледајте ги птиците небески; дека ни сејат, ни жнеат, ниту во амбар собираат; и вашиот Отец небесен ги храни. Зар не сте вие многу поскапи од нив?
MAT.6.27	А кој од вас, грижејќи се, може на својот раст да му придодаде макар еден лакот?
MAT.6.28	И за облеката, зошто се гриж ите? Погледајте ги полските кринови како растат: не се трудат, ниту предат;
MAT.6.29	но ви велам, дека ни Соломон, во целата своја слава, не се облече така, како еден од нив;
MAT.6.30	и, ако полската трева, што денеска постои, а утре во оган се фрла, Бог така ја облекува, колку ли повеќе вас, маловерни!
MAT.6.31	Па затоа, не грижете се
MAT.6.32	Зашто, сето тоа го бараат незнабошците; вашиот Отец небесен знае дека од сето ова имате потреба.
MAT.6.33	Но, барајте го најнапред царството Божјо и Неговата правда, и сето ова ќе ви се придаде.
MAT.6.33	Крај на неделата
MAT.6.34	И така, немојте да се грижите за утре, зашто утрешниот ден ќе се грижи за своето; на секој ден доста му е неговото зло.
MAT.6.34	Изостави на понеделникот
MAT.7.1	Не
MAT.7.2	оти со каков суд судите, со таков ќе бидете судени; со каква мерка мерите, со таква и ќе ви се мери.
MAT.7.3	Зошто ја гледаш раската во окото на брат ти, а гредата во своето око не ја чувствуваш?
MAT.7.4	Или, како ќе му каж еш на брат ти: чекај да ти ја извадам раската од окото; а, пак, ете, во твоето око има греда?
MAT.7.5	Лицемере, прво извади ја гредата во твоето око, па тогаш ќе видиш како да ја извадиш раската од окото на брат ти.
MAT.7.6	Светињата не давајте им ја на кучињата, и не фрлајте си ги бисерите пред свињи, за да не ги изгазат со своите нозе, и кога ќе се свртат, ќе ве раскинат.
MAT.7.7	Сакајте
MAT.7.8	зашто секој што сака – добива, и кој бара – наоѓа, и на оној што чука, ќе му се отвори.
MAT.7.8	Крај на саботата.
MAT.7.8	Читај во понеделникот
MAT.7.9	Има ли меѓу вас човек, којшто, ако неговиот син му побара леб, да му даде камен,
MAT.7.10	и кога посака риба, да му даде змија?
MAT.7.11	И така, ако вие, кои сте лоши, умеете да им давате на своите чеда добри дарови, колку ли повеќе вашиот небесен Отец ќе им даде добра на оние што Му бараат?
MAT.7.11	Крај на понеделникот
MAT.7.12	Сѐ
MAT.7.13	Влезете низ тесната врата; зашто, широки се вратите и широк е патот што водат кон пропаст, и мнозина минуваат низ нив;
MAT.7.14	а тесни се вратите и тесен е патот што водат кон животот и малцина го наоѓаат.
MAT.7.15	Пазете
MAT.7.16	По нивните плодови ќе ги познаете. Се бере ли грозје од трње, или смокви од чичка?
MAT.7.17	Па така, секое добро дрво дава добри плодови, а лошото дрво дава лоши плодови;
MAT.7.18	не може доброто дрво да дава лоши плодови, ниту лошото дрво да дава добри плодови.
MAT.7.19	Секое дрво што не дава добар плод, го сечат и го фрлаат во оган.
MAT.7.20	И така, по нивните плодови ќе ги познаете.
MAT.7.21	Не
MAT.7.21	Крај на вторникот и на преподобните
MAT.7.22	Мнозина ќе ми речат во оној ден: „Господи, Господи, не пророкувавме ли во Твое име? И зар не изгонувавме бесови во Твое име? И не правевме ли многу чуда во Твое име?“
MAT.7.23	И тогаш Јас ќе им кажам: – Никогаш не сум ве познавал; бегајте од Мене, вие што правите беззаконие!
MAT.7.23	Крај на средата
MAT.7.24	И така, секој
MAT.7.25	и заврна дожд и надојдоа реки, и дувнаа ветрови и навалија на таа куќа, но таа не падна, оти беше изградена на камен.
MAT.7.26	А секој што ги слуша овие Мои зборови и не ги исполнува, прилега на човек глупав, кој си направил куќа на песок;
MAT.7.27	и заврна дожд, и надојдоа реки, и дувнаа ветрови и навалија на таа куќа, и таа падна, и паѓањето ѝ беше страшно.
MAT.7.28	И кога ги заврши овие зборови, народот се чудеше на Неговото учење,
MAT.7.29	зашто Он ги поучуваше како Оној што има власт, а не како книжниците.
MAT.8.1	Акога слезе од планината, по Него врвеше многу народ.
MAT.8.2	И ете, се приближи еден лепрозен, Му се клањаше и говореше: – Господи, ако сакаш, можеш да ме очистиш.
MAT.8.3	А Исус, кога ја пружи раката, се допре до него и рече: – Сакам, очисти се! И тој веднаш се очисти од лепрата.
MAT.8.4	И му рече Исус: – Гледај, никому не кажувај; а оди, покажи се на свештеникот и принеси дар, каков што заповедал Мојсеј, ним за сведоштво.
MAT.8.4	Крај на саботата
MAT.8.5	Акога влезе
MAT.8.6	– Господи, слугата мој лежи дома фатен и многу страда.
MAT.8.7	Исус му рече: – Ќе дојдам и ќе го излекувам.
MAT.8.8	А стотникот одговори и рече: – Господи, не сум достоен да влезеш под мојот покрив; но кажи само збор и слугата мој ќе оздрави;
MAT.8.9	зашто и јас сум човек подвластен, а имам и потчинети војници; па кога ќе му речам на еден: оди, и тој оди; на другиот: дојди, и тој доаѓа; и на слугата: направи го тоа, и тој прави.
MAT.8.10	Кога го чу тоа Исус, се восхити и им рече на оние што врвеа по Него: – Вистина ви велам, ниту во Израилот не најдов толку голема вера.
MAT.8.11	И ви велам дека мнозина ќе дојдат од Исток и Запад и ќе седнат на трпезата со Авраама, Исаака и Јакова во царството небесно,
MAT.8.12	а синовите на царството ќе бидат фрлени во крајната темнина; таму ќе биде плач и крцкање со заби.
MAT.8.13	И му рече Исус на стотникот: – Оди си, и како што си поверувал, нека ти биде! И слугата негов во истиот час оздраве.
MAT.8.13	Крај на неделата
MAT.8.14	Кога
MAT.8.15	и се допре до раката нејзина, и треската ја остави; таа стана и им служеше.
MAT.8.16	А кога се стемни, доведоа при Него мнозина бесни, и Он со еден збор, ги изгони духовите и ги излечи сите болни,
MAT.8.17	за да се исполни кажаното преку пророкот Исаија, кој вели: „Тој ги зеде на Себе нашите немошти и ги понесе болестите“.
MAT.8.18	Кога виде Исус околу Се бе многу народ, им заповеда на учениците да минат на другата страна.
MAT.8.19	И откако се приближи до Исуса еден книжник, Му рече: – Учителе, ќе врвам по Тебе каде и да одиш.
MAT.8.20	А Исус му рече: – Лисиците имаат легла и птиците небески – гнезда; а Синот Човечки нема каде глава да потслони.
MAT.8.21	Друг, пак, од учениците Негови Му рече: – Господи, дозволи ми, најнапред да отидам да го погребам татко ми.
MAT.8.22	Но Исус му рече: – Врви по Мене, и остави ги мртвите да ги погребуваат своите мртовци.
MAT.8.23	И кога влезе во коработ,
MAT.8.23	Крај на саботата
MAT.8.24	И ете, настана голема бура во морето, така што брановите го покриваа коработ, а Он спиеше.
MAT.8.25	Тогаш се приближија учениците до Него, Го разбудија и рекоа: – Господи, спаси нѐ! Загинуваме!
MAT.8.26	А Он им рече: – Маловерни, зошто сте плашливи? Тогаш стана, им заповеда на ветровите и на морето, и настана голема тишина.
MAT.8.27	А луѓето се зачудија и рекоа: – Кој е Овој, та и ветровите и морето Му се покоруваат?
MAT.8.27	Крај на четвртокот
MAT.8.28	И кога пристигна на другата страна во
MAT.8.29	И ете, извикаа и рекоа: – Што имаш со нас Ти, Исусе, Сине Божји? Зар си дошол тука предвреме да нѐ мачиш?
MAT.8.30	А далеку од нив пасеше голем број свињи.
MAT.8.31	И, бесовите Го молеа, велејќи: – Ако нѐ изгониш, позволи ни да отидеме во свињине.
MAT.8.32	И Он им рече: – Отидете! И тие излегоа и отидоа во свињите. И одеднаш се стрчаа низ стрмнината во морето, и се издавија во водата.
MAT.8.33	А свињарите побегнаа и, штом дојдоа во градот, раскажаа за сето тоа и за она, што беше се случило со бесните.
MAT.8.34	И ете, излезе целиот град да Го пресретне Исуса и кога Го видоа, Го молеа да си отиде од нивниот крај.
MAT.9.1	Тогаш Он влезе во
MAT.9.1	Крај на неделата
MAT.9.2	И ете, донесоа при Него еден фатен, кој лежеше на постелка. Па кога ја виде Исус нивната вера, му рече на фатениот: – Не плаши се, чедо! Ти се простуваат гревовите твои.
MAT.9.3	Тогаш некои од книжни ците рекоа во себе: Овој богохулствува.
MAT.9.4	А Исус, штом ги разбра мислите нивни, рече: – Зошто мислите лошо во срцата ваши?
MAT.9.5	Оти, што е полесно? Да кажам: ти се проштеваат гревовите твои, или да речам: стани и оди?
MAT.9.6	Но, за да знаете дека Синот Човечки има власт на земјата да проштева гревови; тогаш му рече на фатениот: – Стани, земи си ја постелката и оди си дома!
MAT.9.7	И тој стана, ја зеде постелката своја и си отиде дома.
MAT.9.8	А народот, кога го виде тоа, се зачуди и Го прослави Бога, Којшто им дал таква власт на луѓето.
MAT.9.8	Крај на неделата
MAT.9.9	Акога си одеше оттаму, Исус виде
MAT.9.10	И кога седеше Исус на трпеза дома, одеднаш мнозина цариници и грешници дојдоа и седнаа до Него и до учениците Негови.
MAT.9.11	Но, кога го видоа тоа фарисеите, им рекоа на учениците Негови: – Зошто вашиот Учител јаде и пие со цариници и грешници?
MAT.9.12	А Исус, кога го чу тоа, им рече: – Здравите немаат потреба од лекар, туку болните;
MAT.9.13	одете и научете се што значи: „милост сакам, а не жртва“. Зашто не сум дошол да ги повикам праведниците, туку грешниците на покајание.
