GEN.1.1	Nutem etellrani Agayutem ellarpak nuna-llu piliaqellruak. 
GEN.1.16	Agayun-llu piliuq malrugnek angtuagnek tanqiignek. Akerta piliaqaa tanqiusqelluku ernermun, iraluq-llu tanqiusqelluku unugmun. Agyat-llu cali piliaqluki. 
GEN.1.17	Tanqiusqelluku aipaa ernermun, aipaa-llu unugmun, 
GEN.1.18	avvlukek tan'geq tanqik-llu. Agayutem tangrraa assirluni. 
GEN.1.19	Atakuq pelluggaartelluku unuakurtuq —waniwa erenret cetamiit.
GEN.1.20	Tuamta-llu Agayun alerquiguq, “Mer'et pitanglit amllernek ayuqenrilngurnek unguvalrianek, ella-llu yaqulegtangli.” 
GEN.1.21	Agayun piliuq angelrianek unguvalrianek allanek-llu imarpigmiutarnek, imarpik imangevkarluku ayuqenrilngurnek unguvalrianek. Agayun-llu piliuq ayuqenrilngurnek yaqulegnek. Agayutem tangrraa assirluni. 
GEN.1.22	Atawaqaasqai qanerluni, “Irnikici amlleriinarluci imarpiit imirluki, yaqulget-llu amllerilit nunam qaingani.” 
GEN.1.23	Atakuq pelluggaartelluku unuakurtuq —waniwa erenret tallimiit.
GEN.1.24	Tuamta-llu Agayun qanertuq, “Nunam qaingani pitangli ayuqenrilngurnek unguvalrianek: kuluvagnek yuilqurmiutarnek-llu, angelrianek mikellrianek-llu ungungssinek” —tuaten-llu ellirluni. 
GEN.1.25	Agayutem tamalkuita piliaqai, tangrrai-llu assirluteng.
GEN.1.26	Cali Agayun qanertuq, “Yugnek pililta wangkucicetun ayuqellrianek. Ataniumaciqait neqet mermi, yaqulget, allat-llu ungungssit kuluviit yuilqurmiutaat-llu, mikellriit angelriit-llu.” 
GEN.1.27	Agayun piliuq yugnek ellmitun ayuqelrianek arnauluki angutnguluki-llu elliin piliaqellrui. 
GEN.1.28	Agayutem-llu atawaqaasqai qanrulluki, “Irnikici amlleriinarluci nuna yirluku atanirturluku-llu. Ataniumakiciki-llu unguvalriari nunam, ellam, imarpiim-llu.” 
GEN.1.29	Tua-llu Agayutem yuut qanrutai, “Tangerrluku cikiramci naucetaarkalegnek naunrarnek, napanek atsangtulinek, atsait naucetaarkameggnek qumilegnek neq'akesqelluki. 
GEN.1.30	Tau͡gaam nunam ungungssii mikellriit angelriit-llu yaqulgi-llu cikiranka neqkaitnek makunek nunam naunrainek cuyalegnek” —tuaten-llu ellirluni. 
GEN.1.31	Agayutem tangrrai piliallni tamalkuita assikluki-llu cakneq. Atakuq pelluggaartelluku unuakurtuq —waniwa erenret arvinelgat.
GEN.2.1	Qilak nuna-llu qaqituk, tamaanelnguut-llu tamarmeng. 
GEN.2.2	Erenret malrunelgatni Agayutem caliani qaqicimariamiki arulairtuq caliaminek. 
GEN.2.3	Agayutem-llu erneq tauna caliaminek arulaillni atawaqercetaa allakarluku-llu ernerni piunrurrluku. Tua-i-wa Agayutem tuani ernermi qaqicamiki piliaqellni. 
GEN.2.4	Waten waniwa ellarpak piliaqumallruuq.
GEN.2.5	naulriartangqeqsaitellruuq naucetaarkat-llu naugaaqsaunateng, tua-i-wa 
GEN.2.6	Tau͡gaam meq ulvelartuq nunam acianek nuna mirluku.
GEN.2.9	 Agayutem nauvkarai tangssunarqelriit ayuqenrilnguut napat, atsangtulit neryunarqelrianek. Cali-llu naucetaarviim qukaani napatangqertuq yugnek unguvavkariyugngalriamek akwarpak, aipangqerrluni-llu napamek nallunrirceciyugngalriamek assiilngurmek assilriamek-llu.
GEN.2.10	Kuigem qurrlulriim Eden-aami mertelaraa naucetaarvik. Tuaken kuik avtuq cetamaurrluni. 
GEN.2.11	Ciuqliq atengqertuq Pishon-aamek qiptaarluni Havilah-m nuniin avatiinun suulutaartalegmun. 
GEN.2.12	Tamatum-llu suulutaara assilriaruuq. Teggalquqegtaarangqerrluni-llu, cali-llu nurnalrianek tepkegcautnek. 
GEN.2.13	Kuigem aipaa Gihon-aamek atengqertuq. Cush-am nuniikun tamalkuan qurrlurluni. 
GEN.2.14	Pingayuat kuiget atengqertuq Tigris-aamek, Assyria-m calaralirnerani uitaluni. Cetamiit-llu kuiget atengqerrluni Euphrates-aamek.
GEN.2.16	Agayutem qanrutaa, “Piyugtacirpetun neryugngauten napat atsaitnek naucetaarviim iluani. 
GEN.2.17	Tau͡gaam napamek nallunrirnarqellriamek assilriamek assiilngurmek-llu neryaqunak. Nerkuvet tuani ernermi nerrlerpeni tuquciquten.”
GEN.2.19	Tua-i 
GEN.2.20	Taum angutem acirai ungungssit yaqulget-llu tamalkuita; tau͡gaam iliitnek nalaqutenrituq angutmun ikayurkarnilriamek.
GEN.2.22	Tulimaq-llu aturluku arnamek piliuq, iluvaulluku-llu angutmun. 
GEN.2.23	Angun qanertuq,
GEN.2.23	“Nutaan wiinga ayuqengua,
GEN.2.23	piliaqumalriamek enemnek kememnek-llu.
GEN.2.23	‘Arnamek’ aterpagcimaciquq, angutmek tegumiimi.”
GEN.2.24	Man'a pitekluku angutem unitarkaugak angayuqaagni nepingavikluku-llu nuliani, kememegnegun atauciurrlutek.
GEN.2.25	Tamarmek angun nuliani-llu matangqang'e'rmek kasnguyunrituk.
GEN.3.1	Waniwa ciissirpak usvituyartenruqapigcami, ungungssini tamaitni Agayutem piliarini nunami, arnaq aptaa, “Agayun-qaa qanellruuq ner'arkaunritnilutek napanek tamalkuitnek naucetaarvigmelngurnek?”
GEN.3.2	Arnam-llu ciissirpak kiugaa, “Neryugngaukuk napat atsaitnek naucetaarvigmelngurnek; 
GEN.3.3	tau͡gaam Agayun qanellruuq, ‘Napam naucetaarviim qukaanelnguum atsainek ner'arkaunritutek, agturngaunaku-llu, tuaten pikuvtek tuquyuartutek.’”
GEN.3.4	Ciissirpiim arnaq qanrutaa, “Tuqungaitutek. 
GEN.3.5	Agayun nallunrilami nerkuvtek tuaken napamek iitek uiciiqngagnek, Agayucetun-llu ayuqlirilutek, nallunrirluku assilria assiilnguq-llu.”
GEN.3.6	Arnam tangrramiu napa tangssunaqluni atsai-llu neqkarnirluteng umyuarturinarqellinian-llu, atsamek tegulluni ner'uq; uinga-llu cali cikiani nerluni. 
GEN.3.7	Nerngamek egmian ellanguk, elpekluku-llu matangqacirtek. Napat-llu cuyaitnek mingqulluki patukiurlutek ellmegnek.
GEN.3.8	Taum atakuani niitaak 
GEN.3.9	Tua-llu 
GEN.3.10	Kiugaa, “Niicamken naucetaarvigmi alinglua iirtua matangqalliniama.”
GEN.3.11	Agayutem qanrutaa, “Kia matangqaniaten? Inerquuteklemnek-qaa napam atsainek ner'uten?”
GEN.3.12	Angutem kiugaa, “Arnam taitellerpet cikianga nerellruunga.”
GEN.3.13	Tua-llu 
GEN.3.13	Arnam kiugaa, “Ciissirpiim iqluurlua ukvercanga nerua.”
GEN.3.15	Ingluksaguceciiqamtek elpet arnaq-llu, kinguverpetegnun eq'ukutellertek kinguvararkauluni; arnam kinguvran qamiqun qiurqeciqaa, elpet-llu kitngiakun kinguvra kegciqan.”
GEN.3.16	Tuamta-llu arnaq qanrutaa, “Ilaciqanka arenqialluguteten qingallerpeni, irniaqavet-llu nangteqellren. Tuaten ping'e'rpet uin aglumakelarciqan, elliin-llu atanirturciqaaten.”
GEN.3.17	Angutmun-llu qanertuq, “Maligtaquavgu nulian nerluten-llu atsamek neresqenritlemnek, waten piavet nuna aniqlaamaarkauguq. Cakviurluten nunam naugillrinek nerangnaq'larciquten unguvarpet taktaciatun. 
GEN.3.18	Naugiciquq caarrlugnek cukilananek-llu, nerlararkauguten-llu yuilqum naunrainek. 
GEN.3.19	Cakviurluten, kiiryugluten, caliaqeciqan nuna naugivkangnaqluku neqkarpenek uterrnatkarpenun nunamun. Nunamek piliaqumallruavet nunamun uterciiquten.”
GEN.3.20	Adam-aam-llu
GEN.3.21	-llu Agayutem Adam-aankuk Eve-aq-llu aturarkiurak ungungssit amiitnek, at'elluki-llu.
GEN.3.22	Tua-llu 
GEN.3.23	Tua-i 
GEN.3.24	Calaralirneranun-llu naucetaarviim elkarciuq cherubim-aanek
GEN.4.1	Adam-aam nuliani Eve-aq qingiraa. Qetunrangami Eve-aq qanertuq, “Agayutem ikayuanga qetunrangua.” Aciraa-llu Cain-amek.
GEN.4.2	Allamek qetunrangenqigcami Abel-aamek aciraa. Abel-aaq-llu qusngiliurten͞gurtuq, Cain-aq tau͡gken nauceciiyurten͞guluni. 
GEN.4.3	Erenret iliitni Cain-aq naucetaami ilaitnek elliiguq 
GEN.4.4	Abel-aaq-llu taituq qusngimi irniaqerraaranek. Assinqurra-llu 
GEN.4.5	Tau͡gaam ciuniunritaa Cain-am elliitii. Cain-aq-llu qenqe'rtuq qavyurrluni cakneq. 
GEN.4.6	-llu qanrutaa Cain-aq, “Ciin qenercit? Ciin-llu qavyurcit? 
GEN.4.7	Elluarrluten pillrukuvet elliillerpeni ciuniullruya'arqa elliitekellren. Tau͡gaam assiilnguum ingcuraaten amigpet elatiini; atanirturyugyaaqluten, elpet tau͡gaam cirlaknarqan.”
GEN.4.8	Cain-am-llu kinguqlini Abel-aaq qanrutaa, “Yuilqumun ayakarluk.” Yuilqumun-llu tekicamek Cain-am kinguqlini caugaa tuqulluku-llu.
GEN.4.9	Taum kinguani 
GEN.4.9	Kiugaa, “Nalluaqa, kinguqlirma-qaa qaunqestekaanga?”
GEN.4.11	Aniqlaamauten nauceciingairulluten kinguqlirpet auga nunamun meciucan tuqutellerpeni. 
GEN.4.12	Nauceciingnaq'nge'rpet nuna naugingaituq. Nunaunak qimagauciquten calliggluten nunami.”
GEN.4.13	Cain-am 
GEN.4.14	Nunamek uitavimnek antarpenga, ciuqerpenek-llu. Nunaunii qimagauciqua nunam qaingani, nalaqestem̄a-llu tuquciiqaanga.”
GEN.4.15	Tau͡gaam 
GEN.4.16	Cain-aq-llu Agayutem ciuqerranek ayagtuq, uitaluni-llu Nod-ami, calaralirnerani Eden-aam.
GEN.4.17	Cain-ankuk nuliani-llu qetunranguk Enoch-aamek. Nunaliuq nunarpagmek acirluku-llu qetunrami atranek. 
GEN.4.18	Enoch-aaq-llu qetunranguq Irad-amek, Irad-aq atakaa Mahujael-aam, Mahujael-aaq-llu qetunrangluni Mathusael-aamek, Lamech-aam atiinek. 
GEN.4.19	Lamech-aaq-llu malrugnek nulirturtuq, aipaa atengqerrluni Adah-mek aipaa-llu Zillah-mek. 
GEN.4.20	Adah-llu qetunranguq Jabal-aamek. Taum kinguvri enengqertut pelatekanek, qunguturanek-llu anglicariluteng. 
GEN.4.21	Anelgutii-llu atengqertuq Jubal-aamek; taum kinguvri aturcetaanek elisngaut. 
GEN.4.22	Zillah-llu qetunranguq Tubal-Cain-amek, tauna taqurqelartuq calissuutnek punernernek cavignek-llu. Nayagarluni-llu Naamah-mek.
GEN.4.23	Lamech-aam-llu qanrutak nuliagni,
GEN.4.23	“Adah, Zillah, niicugnitegnga:
GEN.4.23	Angutmek tuqucillruunga yaq'errlua akngircanga.
GEN.4.24	Cain-am tuqucimallra akinaurumakan,
GEN.4.24	tuqulluki malrunelgen yuut,
GEN.4.24	Wii akinaurucimaciqua tuqulluki
GEN.4.24	yuinaat pingayun akimiaq malrugnek cipluku (77).”
GEN.4.25	Adam-aankuk nuliani-llu allamek qetunranguk, acirluku-llu Seth-amek.
GEN.4.26	Seth-aq-llu qetunranguq acirluku-llu Enosh-aamek. Taum nalliini yuut piicalangellruut 
GEN.5.1	Waniwa Adam-aam kinguvri. Agayun yugnek pilillermini ellmitun ayuqluki piliaqellrui. 
GEN.5.2	Piliaqak aipaa angutnguluku aipaa-llu arnauluku. Atawaqaasqak aperlukek-llu yuugnek. 
GEN.5.3	Adam-aaq-llu yuuguq allrakuni yuinaat arvinlegen qulnek cipluku (130), qetunranguq-llu ellmitun ayuqellriamek; acirluku-llu Seth-amek. 
GEN.5.4	Seth-am-llu yuurtellran kinguani cali unguvauq allrakuni tiissitsaam avga yuinaat-wa akimiaq (800), allanek-llu qetunrangluni paningluni-llu. 
GEN.5.5	Tuaten pitalriamek Adam-aaq unguvauq tuquluni-llu allrakungluni tiissitsaam avga, yuinarnek yuinaq atauciq qulnek cipluku (930).
GEN.5.6	Seth-aq-llu allrakungluni yuinaat talliman tallimanek cipluku (105) qetunrangellruuq Enosh-aamek. 
GEN.5.7	Seth-aq-llu Enosh-aamek qetunrangellmi kinguani unguvauq tiissitsaam avga, yuinaat akimiaq malrunlegnek cipluku (807) allrakuni, allanek-llu qetunrangluni paningluni-llu. 
GEN.5.8	Tapeqluteng Seth-am allrakui amllertaut tiissitsaam avga, yuinaat yuinaat qula malrugnek cipluku (912) yuunrirluni-llu.
GEN.5.9	Enosh-aaq-llu allrakungluni yuinaat cetaman qulnek cipluku (90) qetunrangellruuq Kenan-aamek. 
GEN.5.10	Kenan-aamek-llu qetunrangellmi kinguani Enosh-aaq unguvaluni tiissitsaam avga, yuinaat akimiaq akimiarmek cipluku (815) allrakungluni. Allanek-llu qetunrangluni paningluni-llu. 
GEN.5.11	Tapeqluteng Enosh-aam allrakui amllertaut, tiissitsaam avga, yuinaat yuinaat tallimanek cipluku (905) yuunrirluni-llu.
GEN.5.12	Kenan-aaq-llu yuinarnek pingayunek qulnek cipluku (70) allrakungeqerluni irnianguq Mahalalel-aamek. 
GEN.5.13	Kenan-aaq-llu Mahalalel-aamek irniangellmi kinguani cali unguvauq, tiissitsaam avga, yuinaat-wa akimiaq malruk (840) allrakuni, allanek-llu qetunrangluni paningluni-llu. 
GEN.5.14	Tapeqluteng Kenan-aam allrakui amllertaut tiissitsaam avga, yuinaat yuinaat qula-wa (910). Yuunrirluni-llu.
GEN.5.15	Mahalalel-aaq-llu allrakungluni yuinarnek pingayunek tallimanek cipluku (65) Jared-aamek irniangellruuq. 
GEN.5.16	Mahalalel-aaq-llu irniangellermi Jared-aamek kinguakun unguvauq allrakuni tiissitsaam avga, yuinaat-wa akimiaq atauciq qulnek cipluku (830). Allanek-llu qetunrangluni paningluni-llu. 
GEN.5.17	Tapeqluteng Mahalalel-aam allrakui amllertaut tiissitsaam avga, yuinaat-wa akimiaq cetaman, akimiarmek cipluku (895). Yuunrirluni-llu.
GEN.5.18	Jared-aaq-llu allrakungluni yuinaat pingayunelgen malrugnek cipluku (162) irniangellruuq Enoch-aamek. 
GEN.5.19	Jared-aaq-llu irniangellmi Enoch-aamek kinguani unguvallruuq allrakuni tiissitsaam avga, yuinaat-wa akimiaq (800) irniangluni-llu allanek. 
GEN.5.20	Jared-aam-llu allrakui tapeqluteng amllertaut tiissitsaam avga, yuinaat-wa yuinaq pingayun, malrugnek cipluku (962). Yuunrirluni-llu.
GEN.5.21	Enoch-aaq-llu allrakungluni yuinaat pingayun tallimanek cipluku (65) qetunrangellruuq Methuselah-mek. 
GEN.5.22	Enoch-aaq-llu Methuselah-mek qetunrangellmi kinguani unguvauq niisngaluku Agayun allrakuni yuinarni akimiarni (300) allanek-llu irniangluni. 
GEN.5.23	Enoch-aam allrakui amllertallruut yuinaat akimiaq pingayun tallimanek cipluku (365). 
GEN.5.24	Enoch-aaq-llu Agayun niisngallruamiu tuqullrunrituq, Agayutem ayaucani.
GEN.5.25	Methuselah-llu yuinaat qulngunritaraat malrugnek cipluku (187) allrakungeqerluni irniangellruuq Lamech-aamek. 
GEN.5.26	Lamech-aam-llu yuurtellran kinguani Methuselah cali unguvauq tiissitsaam avga, yuinaat-wa akimiarunrita'ar malrugnek cipluku (782) allrakuni, irniangluni-llu allanek. 
GEN.5.27	Methuselah-m allrakui tapeqluteng amllertaut tiissitsaam avga, yuinaat yuinaq pingayunek cipluku, qulngunrita'arnek cipluku (969). Yuunrirluni-llu.
GEN.5.28	Lamech-aaq-llu allrakungluni yuinaat qulngunritaraan malrugnek cipluku (182) qetunrangellruuq. 
GEN.5.29	Aciraa-llu Noah-mek
GEN.5.30	Noah-m yuurucian kinguani Lamech-aaq unguvauq allrakuni tiissitsaam avga, yuinaat-wa cetaman akimiarmek cipluku (595), irniangluni-llu cali allanek. 
GEN.5.31	Lamech-aam-llu allrakui tapeqluteng amllertaut tiissitsaam avga, yuinaat-wa qula malruk akimiaq malrugnek cipluku (777). Yuunrirluni-llu.
GEN.5.32	Noah-llu allrakunguq tiissitsaam avganek (500) qetunrangluni-llu pingayunek: Shem-amek, Ham-amek, Japheth-aamek-llu.
GEN.6.1	Yuut amlleriut saggluteng nunamun, nasaurlurnek-llu irniangluteng. 
GEN.6.2	Ilaita qilagmiut tangrrait paniita kenegnartaciit cucukek'ngameggnek-llu nulirturluteng. 
GEN.6.3	Tua-llu 
GEN.6.4	Tamaani yugpagtangqellruuq nuna. Agayutem qetunrai kinguvengellruut yuut paniita irniaritnek. Tamakut alingyuilnguullruut niitnaulriaruluteng-llu.
GEN.6.6	Ciinllugguarauq ilulliqluni-llu yugmek pilillruciminek yirluku nuna. 
GEN.6.7	Tua-i-llu 
GEN.6.8	Tau͡gaam 
GEN.6.9	Waniwa Noah-mek qanemcit. Noah ellualriarullruuq canganarqutaunani kiimi yuullgutmini. Yuuluni pillgutekluku Agayun. 
GEN.6.10	Qetunrarluni-llu pingayunek ukunek: Shem-aq, Ham-aq, Japheth-aaq-llu. 
GEN.6.11	Tau͡gaam ellam yui assiirutut Agayutem tangellrani, tamalkurmeng ilalkuurulluteng. 
GEN.6.12	Agayutem tangvallrani ellam yuin tamarmeng assiilnguq aturluku.
GEN.6.13	Agayutem Noah qanrutaa, “Umyuangua yuut tamalkuita piunrirnaluki, tamarmeng ellam yui arenqialata ilalkuurulluteng. 
GEN.6.14	Angyarpali muragmek assilriamek uitavililuki ucii, taarrluku ilua elatii-llu. 
GEN.6.15	Taktaluku yuinaat yuinaat, yuinaagnek malrugnek qulnek cipluku (450) it'ganernek, iqtutaluku-llu yuinaat pingayun akimiarmek cipluku (75) it'ganernek, yuinaak malruk tallimanek cipluku (45) it'ganernek quyigtaluku. 
GEN.6.16	Qiliqiu angyarpak qacarnerin qilii tekisngavkenaku yaaltam avganek (18 inches). Qullilirluku malrugnek amilirluku-llu qacarnerakun. 
GEN.6.17	Tangerrluku ulerpagcetqata'arqa nuna unguvangqellriit tamalkuita piunrirluki. Anerteqelriit tamarmeng piunrirciqut, 
GEN.6.18	tau͡gaam akqutmek taquciiqua elpenun. Ekniartuci angyarpagmun, elpet, nulian, qetunraten, qetunrarpet-llu nulirrit. 
GEN.6.19+GEN.6.20	Angyamun-llu ekluki malruuqaqluki arnacaluq angucaluq-llu tamalkuitnek ungungssinek yaqulegnek-llu, nangenritniartut. 
GEN.6.21	Qemagciluten angyam iluanun elpeci neqkarpecen̄ek, tamakut-llu neqkaitnek.” 
GEN.6.22	Noah-m-llu Agayutem alerquutii tamalkuan aturluku tuaten piuq.
GEN.7.2	Ekevkarluki ungungssit menuilnguut malrunlegtaarluki aipaqu'urluki angucaluq arnacaluq-llu. Ungungssinek-llu menuulrianek malrutaarluki aipaquralriit angucaluq arnacaluq-llu; 
GEN.7.3	yaqulegnek-llu ayuqenrilngurnek malrunlegtaarluki, angucalunek arnacalurtuumaita. Catairutesqevkenaki nunami. 
GEN.7.4	Erenret malrunelgen pellukata ellallirceciiqaqa. Ernerni unugtuumaita yuinaagni malrugni (40), piunrirciqanka unguvalriit tamalkuita piliallrenka nunam qaingani.” 
GEN.7.5	Tua-i Noah tuaten 
GEN.7.6	Noah allrakungellruuq tiissitsaam avga, yuinarnek tallimanek cipluku (600) tuani ulerpallran nalliini. 
GEN.7.7	Noah, nuliani, qetunrani nulirrit-llu ekellruut angyarpagmun ulellerkaanek qimagluteng. 
GEN.7.8	Menuilnguut ungungssit, menuulriit-llu, yaqulget, mikellriit-llu ungungssit, 
GEN.7.9	angucalut arnacalut malruuqaqluteng ek'ut angyarpagmun Noah-llu, Agayutem alerquuciatun. 
GEN.7.10	Erenret malrunelgatni ulem nuna tekitaa.
GEN.7.11	Noah-llu allrakungluku tiissitsaam avga, yuinarnek tallimanek cipluku (600) cali iralum aipaa akimiaq malrugnek cipluku ernengqerluku, meq amlleq nunam acianek ulvuq, qilagmi-llu mer'em capai ikirrluteng. 
GEN.7.12	Ellallirluni-llu ernerni unugtuumaan yuinaagni malrugni. 
GEN.7.13	Tuani ernermi Noah, nuliani-llu, ekellruuk angyarpagmun ilalutek qetunramegnek ukunek Shem-amek, Ham-amek Japheth-aamek-llu, taukut-llu nulirrit. 
GEN.7.14	Taukut ekellruut ilalirluki ungungssit ayuqenrilnguut, nuyurrilnguut nuyurtalriit ungungssirpiit ungungssiyagaat, yaqulget-llu ayuqenrilnguut. 
GEN.7.15	Ek'ut angyarpagmun malruuqaqluteng angucaluq arnacaluq, unguvangqellriit tamarmeng Noah ilalirluku, 
GEN.7.16	Agayutem alerquutii aturluku. Nutaan-llu 
GEN.7.17	Ul'uq taqeksaunani ernerrluni yuinaagnek malrugnek (40), meq nunam qaingani et'uriinarluni, kiituani angyarpak pugtertaa. 
GEN.7.18	Meq-llu et'uriuq, angyarpak pugtaluni. 
GEN.7.19	Meq et'uriqapigcami ingrit quyingraata tamalkuita patui. 
GEN.7.20	Meq ulngiinartuq ingrit patuluki, ingrit kangritnek et'utaluni it'ganernek yuinaq tallimanek (25) cipluku. 
GEN.7.21	Cat-llu tamarmeng unguvangqellriit piunrirtut: yaqulget, ungungssit, yuut-llu, 
GEN.7.22	tamarmeng nunam qaingani anerteqelriit piunrirluteng. 
GEN.7.23	 piunrirai tamalkuita yuut, ungungssit, yaqulget-llu. Noah kiimi ellirluni angyarpagmi-llu ekumallgutai. 
GEN.7.24	Meq-llu et'utacimitun uitallruuq ernerni yuinarni malrunlegni qulnek cipluku (105).
GEN.8.1	Agayutem cakaanritaa Noah, angyarpagmetellgutai-llu; anuqengevkaraa nunam qainga meq-llu entengluni. 
GEN.8.2	Camaken ulvelriit taq'ut, qilagmi-llu ikirtellret patuluteng, ellalluk-llu arulaircecimaluni. 
GEN.8.3	Meq-llu enqu'rtuq arulaiqsaunani erenret yuinaat malrunelgen qulnek cipluku (150). 
GEN.8.4	Iralut malrunelgatni, ernengqerluku akimiaq malrugnek cipluku angyarpak nunallituq Ararat-am ingriinun. 
GEN.8.5	Meq aciqsigiinartuq, iralut-llu qulngunritariit ayagnian kangrit ingrit alairluteng.
GEN.8.6	Erenret-llu yuinaak malruk kinguagni Noah-m ikirtaa angyarpiim egalra, 
GEN.8.7	tengevkariluni-llu tulukarugmek. Tauna tengaurtuq angitaarluni nunam kinernatkaanun. 
GEN.8.8	Cali anevkariuq allamek yaqulegmek nunatangucia paqnakluku, 
GEN.8.9	tau͡gaam mer'em cali nuna patumiiku misvigkailami utertuq angyarpagmun; Noah-m-llu teguluku. 
GEN.8.10	Ernerni malrunlegni uitarraarluni tauna yaqulek utertelleq ataam anevkaraa. 
GEN.8.11	Atakuan tauna utertuq keggmiarluni olive-aam napam cuyaanek; tua-i Noah nallunrirtuq nunatangucianek. 
GEN.8.12	Cali erenret malrunelgen kinguatni ayagcetenqigtaa yaqulek. Tayima-llu utertevkenani.
GEN.8.13	Noah allrakungluni tiissitsaam avga, yuinaat talliman ataucimek cipluku (601), iralum ciuqliim ayagnillrani, nuna meriutuq; Noah-m-llu angyarpak qilairaa tangerrluku-llu meriutellinilria. 
GEN.8.14	Iralum-llu aipaani, ernengqerluku yuinaq malrugnek cipluku (22), nuna kinraa.
GEN.8.15	Agayutem-llu Noah qanrutaa, 
GEN.8.16	“Yuuci angyarpagmek elpet, nulian, qetunraten-llu nulirtuumarmeng. 
GEN.8.17	Tamalkuita anuski ungungssit mikellriit angelriit, yaqulget-llu, irniluteng amllerinaurtut nunam qaingani.” 
GEN.8.18	Tua-i Noah, nulirra, qetunrai, qetunrain-llu nulirrit an'ut angyarpagmek. 
GEN.8.19	Tamarmeng-llu ungungssit mikellriit angelriit, yaqulget-llu an'ut ayuqellriit quyungqaaqluteng.
GEN.8.20	Tua-llu Noah ekuavigmek piliuq. Atauciuqaqluki ungungssinek yaqulegnek-llu menuilngurnek tegutuq, ekuagiluni-llu cikiutekluki Agayutmun. 
GEN.8.21	-llu narngamiu aruviim tepii ilukegciuq umyuarteqluni-llu, “Aniqlaanqiggngaitaqa nuna yuk pitekluku. Yuk assiilngurmek umyuangqelaan ayagyuallerminek ayagluni. Unguvalriit-llu tamalkuita piunrinqiggngaitanka tuaten pillrucimtun. 
GEN.8.22	Nuna piullrani taqngaituq nauceciineq quyurcineq-llu wall'u nengla kiiq-llu, kiak uksuq-llu, erneq unuk-llu.”
GEN.9.1	Agayutem-llu atawaqaasqai Noah qetunrai-llu, qanrulluki, “Irnikici amlleriinarluci nunam qainga yirluku. 
GEN.9.2	Unguvalriit angelriit mikellriit-llu neqet-llu alikarkaurtaiceci; elpeci ataniumaarkaungavciki. 
GEN.9.3	Unguvalriit tamarmeng neqkaurtut elpecen̄un; cikillrucimtun naunrarnek, canek tamalkuitnek cikiramci. 
GEN.9.4	Tau͡gaam kemget ner'arkaunritaci augtuumaita, unguva augmelan. 
GEN.9.5	Yuk yuullgutminek tuqucikan anucimirqecetaarciqaqa. Ungungssiq-llu yugmek tuqucilria tuquvkarciqaqa. 
GEN.9.6	Agayutem ayuqucimitun yuk piliaqellrua, taumek kina tuqucilria yugmek allam yuum tuquciiqaa.
GEN.9.7	“Elpeci irnilaqici amlleriluci nunam qainga yirluku.”
GEN.9.8	Tua-llu Agayutem qanrutai Noah qetunrai-llu, 
GEN.9.9	“Watua akqutmek taqutua elpecen̄un kinguverpecen̄un-llu, 
