MAT.1.1	Gittaabooda rooproobanga Yeesu Gristo, balleanda Dawdi, balleanda Abrahaamu. 
MAT.2.15	goobiida hoowa ea ghami Herode. Nii gajeenung' gwasa ng'asheandida ghayi rugu Ng'uttamiida aba ghuutta sibaneeda, “Geaguursi balleandeanyu ghoana Misri.”
MAT.2.16	Hean jeeng'u Herode gideaba nimulsa fukka was weaghoodigean, ghwanyareas muuchchi, hean goojeakta buuneeda gwanuuseada diibiga sean was ballojiga aba Betleheemu ea geamida jeedeaba ng'eanyiitta bea gweannyew iyyeenya, ea gea hing'adawa, nea abeeda ea nisikteawa damanda rukusa weaghoodiga. 
MAT.2.17	Ak gwasa ng'asheanda ghayi rugu sibaneeda suguura Jeremiya nea gwayi: 
MAT.2.18	“Siyiiy ghuutta siida aba Rama,
MAT.2.18	shookka ea heareega raanya,
MAT.2.18	Raheeli gooyyeawda diibigaaschi;
MAT.2.18	Nea mwamwasa eara hawdeayda,
MAT.2.18	aba gideaba mudugwanda.”
MAT.2.19	Ing'atta miyeeda Heroode, hean gabussa Yoseefu Malaykajeanda Ng'uttamiida aba jeeda girgweatka aba Misri, 
MAT.2.20	Ak gwayeeshsha, “Ng'eada, aada jeepta ea ghaamwat, ak gibiikti ng'eanyiida Israeeli, aba gideaba fuga ghayi gaseadayyi laknooda eaweega jeepta nimeewa.” 
MAT.2.21	Ghangeat ak ghwaat jeepta ea ghaamwat ak gabikta ng'eanyiida Israeeli. 
MAT.2.22	Iimuchchu nea ghwayiiy gideaba Akkelao niimbal ng'eanyiida Yudeeya ghoang'ng'waay hoorgeeda ghwaan was Heroode, hean ghoawal gawa hoowa, amaduw nea sireekusa aba jeeda giirgweatka hean ghwayam geaw ak gawa ng'eanyiida Galilaaya. 
MAT.2.23	Gawa ak goobiida mujiineeda suguura Nasareetti, ak abeeda gwasa ng'asheanda ghayi rukuta sibanga, “Gajeeguura Nasarayajeanda.”
MAT.3.1	Askwearjoojikka ghwahidu Yohaaneeda Abattiisachchi, ak gwarukkwiida ng'asheega Aseetta aba dareapcheeda Yudeeya, nea gwayeenniisa; 
MAT.3.2	“Aduukkuunana, aba gideaba sugoochcheandumeeda humng'eeda nineekkiit.” 
MAT.3.3	Aba gideaba nii dea ghayi rugu sibaneeda suguura Isaaya gil nea gwayi,
MAT.3.3	“Ghuutta siida nyearra dareapcheeda
MAT.3.3	Asna naweeda Ng'uttamiida
MAT.3.3	Olleappa naweadinngaaschi.”
MAT.3.4	Nea abeeda Yohaana gookkweali eaghwada sisna buudeega ngamiya nea gwarattiisa manandaannyi ghealooda; hamittaannyi ea deashamga gil ea maleeda ghamiilalga. 
MAT.3.5	Ak gaweesa Yerusaleemu, ea ng'eanyiida Yuudeeyeeda sean, ea daroorakka sean bea murdajeega Yordan, 
MAT.3.6	ak geeppattiisan aba jeedeenda Yordan nea ghamwas gideaba nisin ring'eega. 
MAT.3.7	Hean nea ghwadaa Farisayajeega saang'a ea Sadukayajeega nea ghapka headaannyi goobattiisan, gwayeeshsha, “Ee dayeega udang'usheega! Gwareekuseeng'wa ng'eaha ea amng'awana nyarasta jea ghwahidu? 
MAT.3.8	Asi ajiila haghweega miisa duukkuunooda, 
MAT.3.9	nea adootteemsheesi geat aba jeesingeagwa gideaba, ‘Geandeawi ghweanda nea Abrahaamu,’ aba gideaba geayeeshshiineegwa, Aseetta ghoammu gagatkat lagheang'su ghoaw diibiga Abrahaamu. 
MAT.3.10	Nea joommooda asiyiin guumsheakka geediga, ak geetta maji haghwega miyaas gajealach ak geejaksa jeeda beasta. 
MAT.3.11	Geabattisananeegwa beega aba dukkuunooda, nea dea jea ghwaduupnaan geash gaburdeawean uurda, nea mammisean eara sareenda geakkaaschi; niny gaygoobattiisananeegwa Gurorooda Ghaydit ea beasta. 
MAT.3.12	Niny gidaannyi alleeliida gwanda geattindaannyi, ak gaygoobuus muuchchi bugharjeandaannyi, ak gooweamsa nganoadaannyi gijigooda, nea looyda gayghaghwarda aba beesta maygamis.” 
MAT.3.13	Damandida ghwaan Yeesu nea gwaleabu Galilaaya ea ghwahitta Jordaani heeda Yohaana, eebaattiisan. 
MAT.3.14	Hean gagasa Yohaana ghaheawa nea gwayeeshsha, “Geagasayi aniini gideaba gajabaattiisan ak giwuni ang'iing'i heedeanyu?” 
MAT.3.15	Ghwasha Yeesu nea gwayeeshsha, “Mwasa ghamneawa; aba gideaba nii gidamiisindaneasa gil sinooda ng'asheega sean doabiiw.” Ak ghamwas Yohaana. 
MAT.3.16	Ng'atta giibaattiisanda Yeesu, nea gwascheeng'na jeeda beega; hean ng'ulla ghwajaada humng'eeda ak ghwadaa Gurorooda Aseetta nea gwashubeanda gharibajeanda, ak goobissa uhuudaannyi; 
MAT.3.17	deagheatta, ghwanya ghuutta nyaasha humng'eeda nea gwayi, “Nii Balleandeanyu abwariinyi, ahoosanani.”
MAT.4.1	Ng'atta ghwaat Yeesu Gurooorooda ea ghoahiitta dareapcheeda ak gwasimsim meang'nyeandeenda. 
MAT.4.2	Goluulda geaw eawooji haradam, eawa ea askweari, amaduw huydeanda ghwayeachchih. 
MAT.4.3	Ghwahidu headaannyi gichchea gwasimsim ak gwayeeshsha, Iiwosa Balleanda Aseetta giyami lagheangsu ghoaw mukkatte. 
MAT.4.4	Ghwasha nea gwayeeshsha, “Geang'war gideaba,
MAT.4.4	‘Siida mwoammu goobiideewa ng'eanyiida mukkatte akghwahit,
MAT.4.4	geaghus ng'asheanda rinna ghuutta Aseetta.’”
MAT.4.5	Ng'atta ghwaat Meang'nyeandeenda mujiineeda Ghaydit ak goodiing'da uhuuda gheeda Sibatta Aseetta heeda geaw 
MAT.4.6	ak gwayeeshsha, “Iiwosi Balleanda Aseetta, gijaksi geaw ng'eanyi; aba gideaba geang'waar,
MAT.4.6	‘Gaygoojeagu malaykajeagaaschi aba badaydaang'u;
MAT.4.6	ak gayghwadeabwaneey geattinga nyaawa
MAT.4.6	amwalasa geashtaang'u lagheaneeda.’”
MAT.4.7	Gwayeeshsha Yeesu, “Geang'waar gichcha gideaba, ‘Adisimsimi Ng'uttamiida was Aseettang'u.’” 
MAT.4.8	Ng'atta ghwaat gichcha Meang'nyeandeenda ak goodiing'da uhuuda giijeeda geaw muuchchi, ak goohiimsa daroorakka sean bea muunda ng'eanyiida ea miyeanoadaannyi, 
MAT.4.9	gwayeeshsha, “Haleanjeeni seaniin gaydagoonnyi iibeadi ak gighadoawannyaan.” 
MAT.4.10	Hean gwayeeshsha Yeesu, “Ng'amwana hiji Shattaani! aba gideaba geang'war, ‘Ghadoawana Ng'uttamiida was Aseattaang'u ak gibwadi niny nea gaba geaw.’” 
MAT.4.11	Hean ghwanung'wa heeda Meang'nyeandeenda ak ghapka malaykajeega ak gagadiyeesa.
MAT.4.12	Hean nea ghwayiiy gideaba Yohaana gwanda ghealooniga, gawa Galilaaya; 
MAT.4.13	ghabeawa Nasareetti ak gawa goobiida Gapernaumu mida ghuutta basooda, mida ng'eanyiida Sablon ea Naftaali, 
MAT.4.14	ak abeeda gwasa ng'asheanda ghayi rugu sibaneeda suguura Isaaya nea gwayi;
MAT.4.15	“Ng'eanyiida Sablon ea ng'eanyiida Naftaali,
MAT.4.15	Naweeda gal basooda, gigheawda Jordaani,
MAT.4.15	Galilaayeeda Eemoojiga.
MAT.4.16	Fukka ghayi abiitta jeeda misaneedean
MAT.4.16	nidaah weeshinda haw,
MAT.4.16	Nea gea ghayi abiitta ng'eanyiida ea jirooneeda miyeeda,
MAT.4.16	ea niibwaay weeshinda.”
MAT.4.17	Ghang'eada damandida ghoang'eat Yeesu rukkwiideayeayda ng'asheega Aseetta nea gwayi, “Adukkuunana aba gideaba sugoochcheandumeeda humng'eeda nineekkiit.”
MAT.4.18	Damanda neayeewa aba ghuutta basooda Galilaaya, ghwadaa oorju iyyeenya bea ghaamwadagi, nea Simoneeda suguura Betro gil ea oorjeeda ghaamwat suguura Andereya, nea ghoabuutta gheareedanga nyaawa jeeda basooda; aba gideaba fuga leallu ghweayeega. 
MAT.4.19	Gwayeeshsha, “Ayeanni geeshteanyu ak gaydanung' ahuuwa fuga jea gwaleallu buuneeda.” 
MAT.4.20	Deagheatta gwanung'sa heeda gheareedanga nyaawa ak ghwaat geeshta. 
MAT.4.21	Gawa mwadi ak ghwadaa oorju iyyeenya bea ghaamwadagi, suuk Yokkobo balleanda Sebedaayo ea Yohaana oorjeeda ghaamwat, nea gwanda jeeda maleambooda sea Sebedayooyda was ghweanda nyaawa nea gwasin gheareedanga nyaawa, ak gaguursa. 
MAT.4.22	Deagheatta gwanung'usa heeda maleambooda ea ghweanda nyaawa ak ghwaat geeshta.
MAT.4.23	Gwaneayeewa jeeda ng'eanyiida sean bea Galilaaya, nea goonealshi aba jeeda ghoorajeega nyaawa siinnealshachcheewa, nea gwarukkwiida giijasta miy bea sugoochcheandumeeda, nea ghoahaap geeyoonung'weakka sean ea sawanaduutka mideawa buuneeda. 
MAT.4.24	Gageawiit iittannyi aba ng'eanyiisean bea Sirya, geeyeassa fuga sean miyeani, bearji heeluutka geeyoonung'weakka ea gea mideawa sawanaduutka, ea gea bearji meangeenda, ea gea ahiili, ea gea abittu damealga, ak ghoahaap. 
MAT.4.25	Ghwaat geashtannyi emeetuw leabu ng'eanyiida Galilaaya ea Dekapoli ea Yerusaleemu ea Yudeeya ea gigheawda Jordaani.
MAT.5.1	Idaah emeetuw, gwading'da giijeeda, hean nea gopteada gaweay headaannyi giinealangaschi. 
MAT.5.2	Ghoang'eat ghuutta giinealshoodaannyi nea gwayi:
MAT.5.3	“Ghang'wana fuga barbari guroruunat,
MAT.5.3	aba gideaba sugoochcheandumeeda humng'eeda daanyaawa.
MAT.5.4	Ghang'wana fuga guttu heareega,
MAT.5.4	aba gideaba gayghwanyas hawdeayda.
MAT.5.5	Ghang'wana fuga ng'eeni,
MAT.5.5	aba gideaba gaygoombal ng'eanyiida.
MAT.5.6	Ghang'wana fuga bearji jalooda ea muwooshta gassooda doobiiwnatta,
MAT.5.6	aba gideaba gajeellang'u.
MAT.5.7	Ghang'wana fuga mideawa baydeayda,
MAT.5.7	aba gideaba eara saawa gajeabwayda.
MAT.5.8	Ghang'wana fuga mideawa guroruunatka miyaas,
MAT.5.8	aba gideaba gayghwahitta Aseetta.
MAT.5.9	Ghang'wana fuga aduptooschi suurja,
MAT.5.9	aba gideaba fiisu gajeeguura diibiga Aseetta
MAT.5.10	Ghang'wana fuga sisawana aba doobiiwnatta,
MAT.5.10	aba gideaba sugoochcheandumeeda humng'eeda daanyaawa.
MAT.5.11	“Ghoang'wani agooga iyang'eawweegwa buuneeda nea geesawaneegwa nea geerukuna badahuukkeagwa ng'asheega munyas sean aba ng'uyyeega appadaydeanyu. 
MAT.5.12	Ahoosana nea goong'weelayi, aba gideaba gimeardeeng'wa ahaw aba humng'eeda, nii gidaghayi bay gwasawanda buuneeda sibanga ashooynaneegwa.”
MAT.5.13	“Agooga goowoschi balang'da ng'eanyiida; ama balang'da iimudugwasamu gil, gajeahindaan iijeagwasamu gil? Mudugwarachchi gil geaghus eahiisa jarooda ak ghoallaplaap buuneeda. 
MAT.5.14	Agooga goowoschi weeshinda ng'eanyiida. Mujiineeda sideeksa uhuuda heayeeda mwoammu afunyaat. 
MAT.5.15	Eara buuneeda meayeetta gheabong'nyeanda ak geedukuteawa dahuuda iissa ghwayiin uhuuda ghamarda ak ghoabwaay buuneessean mida jeeda gheeda. 
MAT.5.16	Asi eara weeshindeang'wa gagasa ghoabwaay buuneessean, amaduw nea ghwadaa gadiyoojigeagwa miyaas ghoaghambiit Ghweandeang'wa mida humng'eeda.”
MAT.5.17	“Adoaghannyi gili awunnyi dayam deaweeda ghana sibanga; mwawuni dayam ghawunyi danung' gwasa. 
MAT.5.18	Aba huumwa geayeeshshineegwa; eara ghang'atta humng'eeda ea ng'eanyiida, ghanyeamanda eara hiji mwanang', ghana roobadeanagi mwanang', muuchchi bea deaweeda majeegeanda ea gwasa ng'asheega sean. 
MAT.5.19	Asi siida wasean jea ghwalach diigheanjagi mwanang'eawa sean, aba jeedeaba diigheannyeeksu ak ghoannaaldunu buuneeda, gajeeguura dea mwanang' muuchchi aba jeeda sugoochcheandumeeda humng'eeda; amaduw siitta jea gwasin nea ghoanaal suurjeeniin, nii gajeeguura dea haw aba jeeda sugoochcheandumeeda humng'eeda. 
MAT.5.20	Aba gideaba geayeeshshiineegwa, doobiiwnatteang'wa iimaburdeawana dea ng'oorshoodiga ea dea Farisayajeega, majaghannyi aweayeena jeeda sugoochcheandumeeda humng'eeda.”
MAT.5.21	“Ghayi noayiinyi nea geerukusa fugeaba garayi gideaba, ‘Adinuusi siida; siida nuus siida gammiisa girgweaksiinda.’ 
MAT.5.22	Ak aniini geayeeshshineegwa, siida wassean jea gwanyareeksa oorjeeda ghaamwat gamiisa giirgweaksiinda; ama dea ang'eawi oorjeeda ghaamwaat gamiisa eatta madeeda gweargwa, ama dea eeshsha oorjeeda ghaamwat, ‘Guwosi leekghteanda!’ Gammiisa beasta maloonghajeega. 
MAT.5.23	Asi iyeadu haleanjeeda isabi geadi bea ghadoweeda badayda heeda wagiida ama deagheatta giipkaadi gideaba gwanda gidinndeayeesi oorjeeda geamadu, 
MAT.5.24	nung'usiina haleanjeedaang'u isabi geadi bea ghadoweeda badayda altaari ak guwi ghannyi aduupcheena sea oorjeeda geamadu, ama ng'atta gibiigu ak giidaydi haleanjeedaang'u isabi geadi bea ghadoweeda. 
MAT.5.25	Bay adupcheewana geaw siida ahaaktaneey, damanda duuandeawana naweeda nea goondaageat heeda ogaleewi gheeda girgweageeda, ammasa gayghwaannyi siida ahaaktaneey heeda siida laja girgweaguutka, ak ghwayiinnyi ada geattinga furiischoochcheanda ak gwajakseey ghealooniga; 
MAT.5.26	Aba huumwa geayeeshshineey, mayrinnana jeeni ea eaghus aniidayda heelajeanda huydean.”
MAT.5.27	“Ghayi noayiinyi nea geeyi, ‘Adiiduw goomealuulli!’ 
MAT.5.28	Ak ghamneawa geayeeshshineegwa siida jea gang'ulla gatmooda seechmeeda nigeawiit gamealuul aba jeadaannyi. 
MAT.5.29	Asi iissa iinung' ghaang'daang'u bea geattinda dugwa adiinya, giloatti ak gijakti gwasheagiit; aba gideaba aamiy ghwashoadeeweey dameallanjagi ak ea meejaksiina saseadaang'u sean jeeda maloonghajeega. 
MAT.5.30	Ama nung' geattindaang'u bea dugwa adiinya, gilaji ak gijakti asheagiidana geaw; aba gideaba ghang'wana ghwashoadeweey dameallanjagi ak ea mejaksiina saseadang'u sean jeeda maloonghajeega.”
MAT.5.31	“Ghayi surgu gichcha gideaba, ‘Siida iinung'usa heeda gatmoadaannyi ea dadawa barawajeanda nung'ooda.’ 
MAT.5.32	Ak aniini geayeeshshineegwa siida wassean nung' gatmoadaannyi, nea mwanung'wa aba gideaba gamealuuli, gayghwanung' gamealuul; ak siida jea ghaghi gatmooda sinung' earada gamealuuli.”
MAT.5.33	“Gichcha ea noayiinyi nea geeyeeshsha fugeaba garayi, ‘Adiiduw giyaagi habeawooda ng'uyyeega, ak giihiidi habeawajeegaagu aba heeda Ng'uttamiida.’ 
MAT.5.34	Ak aniini geayeeshshineegwa, adiiduw ghoayaaji habeawooda eara gili mwanang', earaba humng'eeda aba gideaba horgeeda sugoochcheandumeeda Aseetta gil, 
MAT.5.35	ghana earaba ng'eanyiida, aba gideaba horgeeda iina geashangaaschi, ghana earaba Yerusaleemu, aba gideaba mujiineeda sugoochcheanda hawi. 
MAT.5.36	Adiiduw giyeaksi habeawooda eara uhuudaang'u, aba gideaba mimmusi yamwa budeanjagi nung' gaweeshiit ghana gwattuudu. 
MAT.5.37	Nea ng'asheegeagwa ghoanung' ghoaw ‘Eah’ ghana ‘Manda.’ Gili wassean nyoah ghwanaawda gwaleabu heedeaba diitta muyiin.”
MAT.5.38	“Ghayi noayiinyi nea geergu gideaba, ‘Gheang'da ea gheang'da, ea geeshadeeda ea geeshadeeda.’ 
MAT.5.39	Ak aniini geayeeshshineegwa, adigali geaw siida muy. Siida iilas madang'daang'u bea geattinda dugwa, giidawi eara meatkweeda niirja. 
MAT.5.40	Nea siida jea ghoahaaktaneey ak gageanda shatteadang'u, ginung'usi eara hang'daang'u; 
MAT.5.41	siida idiing'seey beatta neekki adeayeewana niba iyyeenya. 
MAT.5.42	Adawa dea musnyi, dea gasa ghoalaajaneey gida ea adifuursi muwuutta.”
MAT.5.43	“Ghayi noayiinyi nea geeyi, ‘Bwariinya gischeewoochchaandaang'u ak gisti weajoochchaandaang'u.’ 
MAT.5.44	Ak geayeeshshineegwa, abwariinya weajoodigeagwa amoasha ghawooda appadahuukka fuga sawaneegwa. 
MAT.5.45	Abeeda gajahuuwa balloojiga Ghweandeang'wa mida humng'eeda; aba gideaba niny iissa daknoadaannyi gooboong'sa fuga munyas ea gea miyaas, ak gooroobassa roopta fuga doobiiweadi ea gea mii doobiiweadi. 
MAT.5.46	Aba gideaba iyoabwariinyi gea bwariinyeagwa agooga, gajanyasa anagiimwaar? Neada eara fuga ang'ng'oonyi gwaadi saawa ea masinniidunu? 
MAT.5.47	Ghana iyokkeattoscheewi oorjooga giyeang'wa akghwahit goosinnyi naaha meaji ghwanaawda? Neada eara fuga Emoojiga ea masinniidunu? 
MAT.5.48	Awosa hidaat awuurjeewana gidahidaatta Ghweandeang'wa mida humng'eeda.”
MAT.6.1	“Ashageada adiidu goosinnyi alooheedeang'wa aba madeeda buuneeda nea goobaysiini ghwadaheagwa saawa, aba gideaba iyosinindunu ea mwajanyasa giimearda aba heeda Ghweandeang'wa mida humng'eeda. 
MAT.6.2	Asi ang'iing'i iidaydi haleanjeeda iiweadi fuga barbari adidiing'u geaw ak gisindi gidasinniida fuga ammiitu geat aba jeesinga ghorajeega siinnealshachcheewa ea ghuusiga naweadinga, gagwarsa buuneeda. Aba huumwa, geeyeeshshineegwa suuh ninyas gimearda nyaawa. 
MAT.6.3	Asi ang'iing'i iidaydi haleanjeeda iiweadi fuga barbari eara geattindaang'u ghaadaam adaghwanal gisiin geattindaang'u bea dugwa. 
MAT.6.4	Haleanjeedaang'u iiweadi fuga barbari adaydaawana makcheameeda, ak Ghweandaang'u deaha makcheamuutka gay gooheanneey.”
MAT.6.5	“Asi iyoamwaashchi Aseetta, ea adoowurjeewi fugiga ammiittu geadiin; saawa ghabwariiy ghamwaash Aseetta nea ghaminaada aba jeesinga ghorajeega siinnealshachcheewa ea ghuusiga naweadinga, ghwadaa buuneeda. Aba huumwa, geayeeshshineegwa, nigeawiit ghwanyas gimearda nyaawa. 
MAT.6.6	Nea ang'iing'i iimwaashi Aseetta, guwi jeeda ghooriidaang'u hoowa bea gahiin ak giradi gidaghuut ak gimwaashi Aseetta aba heeda Ghweandaang'u mida makcheameeda; ama abeeda Ghweandaang'u deaha makcheamuutka gaygooheanneey. 
MAT.6.7	Agooga iyoamwaashchi Aseetta ea adoochuurayi awuurjeewana fuga emoojiga; saawa ghaghay gili jea gooleeysiit aba ng'asheega nyaawa saang'a. 
MAT.6.8	Asi adoowuurjeewi saawa, aba gideaba Ghweandeang'wa ghwanal gidoogasayi nea miyoomsa. 
MAT.6.9	Asi amwaashtunu Aseetta:
MAT.6.9	Ghweandeanya mida humng'eeda,
MAT.6.9	Ghaawungaagu eakghambiida.
MAT.6.10	Sugoochcheandumeadaang'u nung' ghwahidu,
MAT.6.10	Gidigasayi gagasa eesin,
MAT.6.10	aba hiji bea ng'eanyidean gawuurji gissisinniida aba hoowa bea humng'edean.
MAT.6.11	Goaneasa Askweareeni daghwardeanya;
MAT.6.12	Samseasa siileenigaasa,
MAT.6.12	gawuurji gidasisammisiindi fuga mideawa siileenigaasa.
MAT.6.13	Adigealleasa jeeda simsimda,
MAT.6.13	ak gighuhaneasa gitta muyiin.
MAT.6.14	Aba gideaba iyoosammiisi gidinyeannyeekka buuneeda, eara Ghweandeang'wa mida humng'eeda gaygwasamseegwa agooga; 
MAT.6.15	ama moosammisiini gidinyeannyeekka bunneeda, eara Ghweandeang'wa maygwasamseegwa gidinyeannyeekkeagwa.”
MAT.6.16	“Gichcha iyoolluuldi geat, ea adoowuurjeewi fuga ammittu geat, saawa iissa gookkaroomnyi gheamamuunatka nyaawa ghoahiimu geat ghwadaa buuneeda gideaba niluudi geaw. Aba gideaba geayeeshshineegwa suuh ninyas giimearda nyaawa. 
MAT.6.17	Asi iluuldi geaw, giyeashi uhuudaang'u ak gihuuni gheamamdaang'u, 
MAT.6.18	amwanala buuneeda gideaba giluuldi geaw ak ghwanal Ghweandaang'u mida makcheameeda. Abeeda Ghweandaang'u ammu ghwadaa makcheameeda gayghoamwaarnyi.”
MAT.6.19	“Adootiiwsi gheaseedeang'wa badayda ng'eannyida ammu ghwaak muguyga ea girgweatka nea ghapka mareanghooga ak gwanyarja ak gwajagwadiin, 
MAT.6.20	asi ootiiwa gheaseedeang'wa aba humng'eeda heeda mwoammu ghwaak muguyga ea girgweatka, ghana gwanyarja mareanghooga ak gwajagwat. 
MAT.6.21	Aba gideaba heeda mida gheaseadaang'u heeda jea gwanda guroroadaang'u.”
