MAT.1.1	Ибрагьимил наслуялъул Давудил кьибилалъул вас Гӏиса Масихӏил умумузул цӏаразул рахас гьадинаб буго:
MAT.2.6	«Мунги, Бетлегьем, Ягьудал наслуялъул ракьалдайин бугеб, Ягьудал наслуялъул ракьалда ругел аслиял шагьараздаса къураб жо щибниги гьечӏебин дур. Дур гьенив вахъина Дир хирияб Исраилил халкъалъул тӏалаб гьабулев Цевехъан».
MAT.2.7	Гьебмехалъ Гьеродица, цӏвабзазул гӏелму лъалел гӏадамал балъго жиндихъего ахӏун, гьезда цӏехон, мухӏканго лъазабуна доб цӏва кида баккун бихьарабали. 
MAT.2.8	Цинги гьел Бетлегьемалде ритӏана, гьеб лъимадул хӏакъалъулъ кинабго хӏакъикъат лъазабеян. Гьеб Лъимер батараб мехалъ жинда лъазабизе рачӏайиланги абуна Гьеродица. Жиндиеги бокьун бугила гьеб Лъимералъе сужда гьабизе.
MAT.2.9+MAT.2.10	Ханасулгун хабар-накъит лъугӏидал, рахъун ана цӏвабзазул гӏелму лъалел гӏадамал. Бакъбаккуда доб мехалъ бихьараб цӏваги унеб букӏана зодисан гьезда цебе-цебе. Кутакаб рохел лъугьана гьезул рекӏелъе гьебмехалъ. Ахирги доб лъимер бугеб бакӏалда тӏад чӏана гьеб цӏва. 
MAT.2.11	Рокъоре жанире лъугьиндал, лъимерги батана, лъимадул эбел Марямги ятана. Нодо гӏодоб цун сужда гьабуна гьесие цӏвабзазул гӏелму лъалел гӏадамаз. Цере рахъун, гьесие цӏакъго хириял сайигъаталги кьуна: меседги, мирраги
MAT.2.12	Гьезда макьилъ лъазабуна Гьеродихъе унгейилан. Гьелги батӏияб нухалъ тӏадруссун ана жидерго улкаялде.
MAT.2.13	Гьел нахъе индал, гьале Бичасул малаик вачӏун вуго Юсупихъе макьилъ.
MAT.2.13	– Гьеб лъимерги бачун, гьесул эбелги ячун, мун вахъун Мисриялде лъуте, – ян абуна малаикас. – Тӏадвуссайилан дица абизегӏан гьенив чӏа. Гьеродида ракӏалда буго гьеб Лъимер балагьизе ва чӏвазе.
MAT.2.14	Гьебсагӏат тӏаде вахъана Юсуп; васги вачун, гьесул эбелги ячун, сардилъго Мисриялде ана. 
MAT.2.15	Гьерод хвезегӏан Мисриялда чӏана. Гьеб гьедин ккана, цо аварагасда Аллагьас абураб гьадинаб калима ритӏухълъизе: «Мисриялдаса нахъе айилан амру гьабуна дица дирго васасда».
MAT.2.16	Дол цӏвабзазул гӏелму лъалел гӏадамаз живго гуккаравлъи лъайдал, Гьеродил ццин гьалаглъана. Бетлегьем шагьаралдаги ва гьелда сверухъ ругел бакӏаздаги кӏиго соналде бахинчӏеб бихьинабщинаб лъимер цо течӏого чӏвазе чагӏи ритӏана. Цӏвабзазул гӏелму лъалел гӏадамаз бицун, мухӏканго лъан букӏиндалха гьесда доб Лъимер гьабураб заман. 
MAT.2.17	Гьедин ритӏухълъана Иеремия аварагасда Аллагьас абураб гьадинаб калима:
MAT.2.18	«Рамаялдасан
MAT.2.18	кутакаб магӏил гьаракь.
MAT.2.18	Ракел гӏодилей йиго жиндирго лъималазухъ,
MAT.2.18	ракӏ-макӏ гьабуниги, гӏенеккулей гьечӏо гьей.
MAT.2.18	Тӏокӏал гьечӏелъулха гьел!»
MAT.2.19	Гьерод хвараб мехалъ, Мисриялда вукӏарав Юсупихъе Бичасул малаик вачӏана макьилъ. 
MAT.2.20	Гьес Юсупида абуна:
MAT.2.20	– Васги вачун, гьесул эбелги ячун, вахъун Гӏизраилалъул ракьалде а. Гьеб Лъимер чӏвазе къасд гьабулел рукӏарал чагӏи хун руго.
MAT.2.21	Васги вачун, гьесул эбелги ячун, Гӏизраилалъул ракьалде ана Юсуп. 
MAT.2.22	Амма Гьеродил бакӏалда Ягьудиялъул ханлъун гьесул вас Архелай вугин рагӏидал, гьениве ине хӏинкъунги вукӏана Юсуп. Макьилъ лъазабун хадуб, 
MAT.2.23	Галилея улкаялде вачӏун, Назарет абулеб шагьаралда чӏана. Гьедин ритӏухълъана назареталдасевилан абилин хадуб гьесдаян аварагзабазда Аллагьас бицун букӏараб калимаги.
MAT.3.1	Гьеб заманаялда Ягьудиялъул гӏицӏаб авлахъалде вачӏуна Яхӏя авараг.
MAT.3.2	– Нуж кантӏе, Аллагьасде русса, Зобалазул Парччахӏлъиялъул заман тӏаде гӏунтӏун бугебин! – абун лъазабулеб букӏана гьес.
MAT.3.3	«Цо ахӏи буго авлахъалда рагӏулеб: Бетӏергьанасе нух къачӏай, битӏизабе гьесда цебе шагьра!» – Гьединал рагӏаби Аллагьас Ишая аварагасда жиндир хӏакъалъулъ абурав чи вукӏана Яхӏя. 
MAT.3.4	Яхӏяцайин абуни, варанидул квасул ретӏел ретӏунаан, рачлихъ борчунги букӏана хьвацӏил рачел. Гьес кваналеб жоги букӏана гарцӏги гӏалхул гьоцӏоги. 
MAT.3.5	Гьесухъе рачӏунел рукӏана Иерусалим шагьаралдаса, Ягьудия улкаялдаса, Иордан гӏурул тӏолабго сверухълъиялдаса гӏадамал. 
MAT.3.6	Жидерго мунагьал рехсон хадур, Аллагьасде руссун, гьезул мунагьал чуризе, Иордан гӏурул лъадалъ ччун рахъулаан Яхӏяца гӏадамал.
MAT.3.7	Лъадалъ ччун рахъизе гӏемерисел фарисеялги саддукеялги жиндихъе рачӏунел рукӏин бихьидал, Яхӏяца гьезда абуна:
MAT.3.7	– Гӏай, нуж чӏегӏераб борхьил наслу! Нужеде гӏагарлъун бугеб Аллагьасул тамихӏалдаса лъутизе лъица малъараб? 
MAT.3.8	Нужерго мунагьаздаса руссун, кантӏиялъул гъотӏода пихъ барщизабе. 
MAT.3.9	Ниж Ибрагьимил наслуялъул лъимал ругилан гаргадизеги ракӏалде ккоге. Гьале дица нужеда абулеб буго: жиндие бокьани, гьал ганчӏаздасанги Ибрагьимил наслуялъул лъимал лъугьинаризе кӏола Аллагьасда. 
MAT.3.10	Гъутӏбузда гъоркь гӏащтӏи лъун тун бугеблъи лъай нужеда. Лъикӏаб пихъ тӏад бижичӏеб гъветӏ къотӏун цӏадаб лъезе бугебха! 
MAT.3.11	Дица нуж кантӏизелъун, мунагьал чуризе лъадалъ ччун рахъун, рацӏцӏад гьарулел руго. Амма дида хадув вачӏунев вуго гӏемерго дидаса къудрат цӏикӏкӏарав чи. Гьес тӏаса рахъарал хьитал кодоре росизецин мустахӏикъав гьечӏо дун. Лъадаца гуреб, Илагьияб Рухӏалдалъун ва цӏаялдалъун чурун рацӏцӏад гьарила гьес нуж. 
MAT.3.12	Гьес бугьун хъатикь ккун буго, жиндирго гьоцӏиб ролъги бацӏцӏад гьабун, гьеб цагърахъе буссинабизе, наккуги ссвинго гьечӏеб цӏадабе бан бухӏила.
MAT.3.13	Гьеб заманаялда Галилеялдаса вахъун Гӏисаги вачӏана Иорданалде Яхӏяца лъадалъ ччун вахъизе. 
MAT.3.14	Амма Яхӏя разилъулев вукӏинчӏо, гьес Гӏисада абуна:
MAT.3.14	– Лъадалъ ччун вахъизе дун духъе вачӏине кколеб бакӏалда, мун дихъе щай вачӏарав? – ан.
MAT.3.15	Гьесие жавабалъе Гӏисаца абуна:
MAT.3.15	– Цин гьадин букӏине те. Гьадин щвалде щун тӏубазабизе ккола нилъеца Аллагьас нилъедаса тӏалаб гьабулебщинаб жо.
MAT.3.15	Гӏисаца абухъе гьабизе разилъана гьебмехалъ Яхӏя.
MAT.3.16	Лъадалъ ччун вахъун гьебсагӏат къватӏиве лъугьун вачӏана Гӏиса. Гьебмехалъ зобги кӏибикьизабун, миккидул сураталда боржун бачӏун, Аллагьасул Рухӏ Гӏисахъе рещтӏунеб бихьана. 
MAT.3.17	Гьале гьаракьги рагӏана зобалаздасан:
MAT.3.17	– Гьав вуго дие вокьулев дир Вас. Гьесдаса вохун вуго дун!
MAT.4.1	Цинги гьеб Рухӏалъ Гӏиса гӏицӏаб авлахъалде вачана. Илбисалъ хӏалбихьана гьев къосинавизе кӏвелародайилан. 
MAT.4.2	Гьенив кӏикъого къоялъ ва кӏикъого сордоялъ кӏал ккун вукӏарав Гӏиса ахирги вакъана. 
MAT.4.3	Бачӏун илбисалъ абуна гьесда:
MAT.4.3	– Мун Аллагьасул Вас ватани, чадазде сверайилан амру гьабе гьал ганчӏазе.
MAT.4.4	Гьелъие жаваб гьабун, Гӏисаца абуна:
MAT.4.4	– Тӏехьалда хъван буго: «Цохӏо чадица гуребин чиясе чӏаголъи кьезе бугеб, Аллагьасдасан бачӏараб щибаб рагӏиялъин».
MAT.4.5	Цинги Мукъадасаб шагьар Иерусалималде вачун, илбисалъ Гӏиса Мукъадасаб Рукъалъул сиялда тӏад лъола. 
MAT.4.6	Гьелъ абула:
MAT.4.6	– Мун Аллагьасул Вас ватани, гъоркье кӏанцӏе! Тӏехьалда хъван бугелъул: «Аллагьас малаикзабазе дур рахъалъ амру гьабун буго» ва: «Гьез мун кодов ккун восила, ганчӏидацин дур хӏетӏе тункичӏого букӏине».
MAT.4.7	Гӏисаца абуна:
MAT.4.7	– «Дурго Бетӏергьан Аллагьасул хӏалбихьуге!» – янги хъван буго Тӏехьалда.
MAT.4.8	Гьанже илбисалъ Гӏиса цӏакъго борхатаб мегӏералъул тӏогьиве вачуна ва дуниялалъул киналго пачалихъалги ва гьезул кинабго кӏодолъи-къудратги бихьизабула гьесда.
MAT.4.9	Цинги Гӏисада абула гьелъ:
MAT.4.9	– Гьаб кинабго дуе кьела дица, бетӏер къулун дуца дие сужда гьабуни.
MAT.4.10	Гӏисаца гьелда абула:
MAT.4.10	– Тӏагӏа дида цебеса, шайтӏан! Тӏехьалда хъван буго: «Цохӏо Аллагьасе – дурго Бетӏергьанасе – гурони сужда гьабуге. Цохӏо Гьесие гьабе гӏибадат!»
MAT.4.11	Гьебмехалъ илбисалъ Гӏиса живго тола. Гьале малаикзаби рачӏана гьесие хъулухъалъе.
MAT.4.12	Яхӏя гвандинив тӏамун вугилан рагӏидал, Гӏиса Галилеялде ана. 
MAT.4.13	Амма Назареталда чӏечӏо гьев. Забулонил ва Нафталимил ракьалда, Галилеялъул ралъдал рагӏалда бугеб Капернаум шагьаралде ун, гьенив чӏана. 
MAT.4.14	Гьеб гьедин ккана Ишая аварагасда Аллагьас абураб гьадинаб калима ритӏухълъизе:
MAT.4.15	«Забулонил ракь ва Нафталимил ракь!
MAT.4.15	Ралъдахъе унаго нухда бугеб ракь!
MAT.4.15	Иордан гӏурул доб рахъалда бугеб ракь!
MAT.4.15	Галилея – цогидал халкъазул ракь!
MAT.4.16	Бецӏлъуда букӏараб нужер халкъалъе гвангъараб нур загьирлъана,
MAT.4.16	нужер улкаялда хвалил рагӏдукь рукӏаразе рогьалил бакъ баккана».
MAT.4.17	Гьелдаса хадуб халкъалъе вагӏза-насихӏат гьабизе байбихьана Гӏисаца.
MAT.4.17	– Нуж кантӏе, Аллагьасде русса! – ян абулеб букӏана гьес. – Зобалазул Парччахӏлъиялъул заман тӏаде гӏунтӏун бугебин!
MAT.4.18	Галилеялъул ралъдал рагӏалдасан унаго, Гӏисада вихьана ччугӏие гьин рехулев кӏиго вац: Пётр
MAT.4.19	– Дида цадахъ рилълъа, – ян абуна гьезда Гӏисаца. – Дица нуж лъугьинарила гӏадамал кколел ччугӏихъабилъун.
MAT.4.20	Гьенибго гьинги тун, гьебсагӏат гьел Гӏисада цадахъ уна.
MAT.4.21	Гьениса унаго кӏиго чи вихьана гьесда. Гьел рукӏана Зебедайил вас Якъубги гьесулго вац Иоаннги. Жидерго эмен Зебедайгун цадахъ лъугьун ччугӏа кквезе гьин къачӏалел рукӏана гьел росода тӏад. Дида цадахъ рилълъайилан ахӏана гьездеги Гӏисаца. 
MAT.4.22	Росода тӏад эменги вукӏаралъув тун, гьебсагӏатго гьелги ана Гӏисада цадахъ.
MAT.4.23	Цинги гьев хьвадана тӏолабго Галилеялда: гьезул синагогабазда гӏадамазе вагӏза-насихӏат гьабулаан, Зобалазул Парччахӏлъиялъул хӏакъалъулъ Рохалил хабар лъазабулаан, кинабго унта-щокълъиялдаса гӏадамал сахлъизарулаан. 
MAT.4.24	Тӏолабго Сириялда тӏибитӏана гьесул цӏар. Гьесухъе рачун рачӏунаан унтуца гӏазаб кьолеб бугелги, шайтӏабаца ккуралги, унти бачӏунелги, палижалъ ккуралги, – батӏи-батӏияб гӏузру бугел гӏемерал гӏадамал. Гьел киналго сахлъизаруна Гӏисаца. 
MAT.4.25	Гьесда хадур рачӏунел рукӏана Галилеялдасаги, Анцӏшагьаралдасаги, Иерусалималдасаги, Ягьудиялдаса ва Иордан гӏурул добаб рахъалдаса цӏакъ гӏемерал гӏадамал.
MAT.5.1	Гӏемераб халкъ жинда хадуб бачӏунеб бихьидал, Гӏиса магӏарде вахана. Гьенив гӏодов чӏун гьев вукӏаго, тӏаде рачӏана гьесул муридал. 
MAT.5.2	Гьезие вагӏза гьабун, гьадин абуна Гӏисаца:
MAT.5.3	– Гьардарал гурищ гьел, Аллагьасда цере жал мискинго рукӏин лъалел, –
MAT.5.3	гьезие бугелъул Зобалазул Парччахӏлъи.
MAT.5.4	Гьардарал гурищ гьел, гӏодулел ругел, –
MAT.5.4	гьел рохизаризе ругелъул.
MAT.5.5	Гьардарал гурищ гьел, хӏалимаб гӏамал бугел, –
MAT.5.5	гьезие щвезе бугелъул дуниялалъул кверщел.
MAT.5.6	Гьардарал гурищ гьел, ритӏухълъиялъухъ ракъарал-къечарал, –
MAT.5.6	гьел гӏорцӏизе ругелъул.
MAT.5.7	Гьардарал гурищ гьел, гурхӏел-рахӏму бугел, –
MAT.5.7	гьездаги гурхӏизе вугелъул.
MAT.5.8	Гьардарал гурищ гьел, ракӏ бацӏцӏадго бугел, –
MAT.5.8	гьезда Аллагь вихьизе вугелъул.
MAT.5.9	Гьардарал гурищ гьел, ракълие рачел къалел, –
MAT.5.9	гьезда Аллагьасул васалилан цӏар лъезеги бугелъул.
MAT.5.10	Гьардарал гурищ гьел, ритӏухъго хьвадунилан гӏадамаз гӏакъуба кьолеб бугел, –
MAT.5.10	гьезие бугелъул Зобалазул Парччахӏлъи.
MAT.5.11	Гьардарал гурищ нуж, – дун сабаблъун нужеда рогьо балеб мехалъги, нужее гӏакъуба кьолеб мехалъги, гьечӏеб рагӏи нужеде абулеб мехалъги – рохизе ругел.
MAT.5.12	Роха-хинлъун рукӏа, разиго рукӏа,
MAT.5.12	Зобалазда кӏудияб шапакъат щвезе бугин нужее.
MAT.5.12	Цересел аварагзабазеги кьедал гӏадамаз гьедин гӏазабги гӏакъубаги.
MAT.5.13	Нуж руго гьаб дуниялалъул цӏам. Амма гьелъул цӏамгӏаллъи холеб бугони, гьеб кин кӏиабизе цӏамгӏаллъизабилеб? Халкъалъ хӏатӏикь мерхьине гӏодобе бани гурони, сундуениги къваригӏунаро гьебмехалъ цӏам.
MAT.5.14	Нуж руго дуниялалъе нур. Борхатаб магӏарда бугеб шагьар кин бахчизе кӏолеб? 
MAT.5.15	Кӏалагъоркье гьабун сахӏ тӏад лъезе гуро чирахъ бакулеб, рокъор ругел киназего канлъи кьезе борхатаб бакӏалда лъезейин. 
MAT.5.16	Гьедин нужер нуралъги канлъи кьеги гӏадамазе, нужер лъикӏал ишал гьезда рихьизе, зобалазда вугев нужер Инсуе гьез реццги гьабизе.
MAT.5.17	Нужеда ракӏалде ккоге дун Мусал къанунги аварагзабазул динги хвезабизе вачӏарав чийилан. Гьел хвезаризе гурев, гьел щвалде щун тӏуразаризе вачӏун вуго дун. 
MAT.5.18	Хӏакълъун абулеб буго дица нужеда: зобалги ракьалги тӏагӏун инегӏан, къануналдаса цониги хӏучч, цониги тӏанкӏ тӏагӏине гьечӏо, Аллагьасул къадаралда рекъон кинабго тӏубазегӏан тӏагӏинаро гьеб. 
MAT.5.19	Гьединлъидал къануналъул бищунго гьитӏинабгицин амру жинцаго хвезабуравги гьеб хвезабизе гӏадамазда малъаравги бищунго гьитӏинавлъун рикӏкӏине вуго Зобалазул Парччахӏлъиялда. Амма тӏубазабулевги ва тӏубазабеян цогидазда малъулевги бищунго кӏудиявлъун рикӏкӏине вуго. 
MAT.5.20	Гьале дица нужеда абулеб буго: фарисеязулалдасаги диниял гӏалимзабазулалдасаги нужер ритӏухълъи цӏикӏкӏинчӏони, Зобалазул Парччахӏлъиялде кин рорчӏилел нуж?
MAT.5.21	Нужеда лъала: некӏо рукӏарал гӏадамазеги Аллагьас амру гьабун букӏараблъи: «Чи чӏваге!» – ян ва: «Чи чӏварав чи судалде вачине вуго», – ян. 
MAT.5.22	Дицани нужеда абулеб буго: жиндирго вацасда
MAT.5.23	Къурбаналъе жоги бачун, къурбаналъул гьан лъолеб бакӏалде унаго, дуда ракӏалде щвани дуца вацасул ццин бахъинабун букӏараблъи, 
MAT.5.24	дурго къурбанги гьеб бакӏалда тун, мун а дов вацасулгун рекъел гьабизе, цинги нахъвуссун вачӏун хадуб хъве дуца къурбан. 
MAT.5.25	Дагӏбадулас вачун, судалде унаго, нухдаго рекъел-бакъалдалъун гьев тӏаса вихьизавизе гӏедегӏе. Гурони, гьес мун судиясухъе щвезавила, судияс гӏеласухъе кьела, цинги гвандиниве рехила. 
MAT.5.26	Хӏакълъун абулеб буго дица дуда: дур ахирисеб шагьи-пара лъугӏичӏого, гьениса къватӏивеги ворчӏиларо.
MAT.5.27	Нужеда лъала: «зина гьабуге», – ян амру букӏараблъи. 
MAT.5.28	Дицани нужеда абулеб буго: чӏужугӏаданалъухъ хъублъи-хъахӏбалъи ракӏалде ккун валагьаравщинав чиясул рекӏелъ гьелдехун зина лъугьанин. 
MAT.5.29	Дур кваранаб бералъ мун мунагьалде цӏалев вугони, бахъун рехе гьеб. Цо лага камиго лъикӏ дуе, тӏолабго черх жужахӏалъул цӏадабе рехизегӏан. 
MAT.5.30	Дур кваранаб квералъ мун мунагьалде цӏалев вугони, къотӏун рехе гьеб. Цо лага камиго лъикӏ дуе, тӏолабго черх жужахӏалъул цӏадабе ккезегӏан. 
MAT.5.31	Чӏужу йиччан толев чияс гьелда цӏар тӏамиялъе нугӏлъи гьабулеб кагъат кье гьелъухъеян хъван букӏана. 
MAT.5.32	Дицани нужеда абулеб буго: хъахӏбалъи хутӏун, цогидаб гӏиллаялъе гӏоло чӏужу йиччан таравщинав чи ккола зинаялда хьвадизе гьей тӏамулев чилъун. Цогидас йиччан тарай гӏадан ячарав чиги зиначи ккола.
MAT.5.33	Цоги нужеда лъала некӏо рукӏарал гӏадамазеги: «Бараб гьа биххуге, нагагь мун гьедани, Аллагьасукьа хӏинкъун гьеб гьа тӏубазабе» – ян амру букӏараблъи. 
MAT.5.34	Дицани нужеда абулеб буго: киданиги гьедаруге. Зобалхӏаянги гьедуге – зодисанин Аллагьасул амру рещтӏунеб. 
MAT.5.35	Ракьалхӏаянги гьедуге – ракьалдайин Аллагьасул кверщел тӏибитӏун бугеб. Иерусалималъул цӏаралдалъунги гьедуге – гьеб буго кӏудияв Парччахӏасул шагьар. 
MAT.5.36	«Дир бетӏералхӏа», – янги гьедуге, дурго бетӏералда цониги рас я хъахӏлъизабизе, я чӏегӏерлъизабизе кӏоларо дуда. 
MAT.5.37	Бугелда бугин абе, гьечӏелда гьечӏин абе, хутӏарабщинаб рагӏи илбисалдасан бачӏараб буго.
MAT.5.38	Нужеда лъала: «Бералъухъ къисасалъе бер бахъе, гӏусалъухъ гӏус бахъе», – янги амру букӏараблъи. 
MAT.5.39	Дицани нужеда абулеб буго: квешлъи гьабурасда дандечӏоге. Дур кваранаб кӏаркьеналда кьабуни, квегӏаб кӏаркьенги ккве гьесда цебе. 
MAT.5.40	Къадиясухъе вачун, духъа гурде бахъизе бокьарасе, тӏаса бахъун дурго гӏабаги кье. 
MAT.5.41	Цо километралъ мун хӏалица вачарасда цадахъ кӏиго километралъги а. 
MAT.5.42	Гьарарасе гьарарабги кье, налъуда кьеян вачӏаравги нахъчӏваге.
MAT.5.43	Нужеда лъала: «Дуда аскӏов вугев чи вокьа» – ян ва «дурго тушман риха», – ян амру букӏараблъи. 
MAT.5.44	Дицани нужеда абулеб буго: нужерго тушбаби рокьа, нужее гӏазаб-гӏакъуба кьолелги дугӏадулъ рехсе. 
MAT.5.45	Зобалазда вугев нужер Инсул васаллъун лъугьина нуж гьебмехалъ. Щайгурелъул гьес бакъ баккизабула лъикӏазеги квешазеги, гьес цӏад базабула рацӏцӏадазеги хъубазеги. 
MAT.5.46	Нуж рокьулел гӏадамал нужее рокьиялъул кири кинаб букӏинеб? Гьебго жо гурищ магъало бакӏарулел чагӏазгицин гьабулеб? 
MAT.5.47	Нужерго вацазе гурони нужеца салам кьолеб гьечӏони, кири кинаб букӏинеб? Гьебго жо гурищ Аллагь лъаларезги гьабулеб? 
MAT.5.48	Гьединлъидал нужги камилаллъун рукӏа, Зобалазда вугев нужер Эмен камилав вугев гӏадин.
MAT.6.1	Воре, нужерго муъминлъи гӏадамазда цебе загьир гьабуге, гьезда бихьизелъун, Зобалазда вугев нужер Инсуца нужее кири хъваларебин. 
MAT.6.2	Садакъа кьолеб мехалъ, гӏадамаздасан цӏар-рецц бокьун, синагогабаздаги къватӏахъги жидедаго сверухъ ахӏи-хӏур бахъинабулел, ххвелал гьаризе бокьулел чагӏаз гӏадин, кьоге нужеца садакъа. Хӏакълъун абулеб буго дица нужеда: гьезие гьелъухъ мухь гьанибго щвана. 
MAT.6.3	Дуца садакъа гьабулеб мехалъин абуни, кваранаб квералъ кьолаго квегӏаб квералдацин лъазе биччаге. 
MAT.6.4	Балъго хутӏизе те дурго садакъа, балъгоябги лъалев нужер Инсуца кири кӏодо гьабила дуе гьелъухъ.
MAT.6.5	Дугӏа гьабизе бокьани, гӏадамазда бихьизе гӏоло, синагогабаздаги къватӏахъги рахъун чӏун Аллагьасде ахӏдолел, ххвелал гьаризе бокьулел гӏадамаз гӏадин, гьабуге нужеца дугӏа. Хӏакълъун абулеб буго дица нужеда: гьезие гьелъухъ мухь гьанибго щвана. 
MAT.6.6	Дуца дугӏа гьабулеб мехалъин абуни, къан нуцӏагун жанивги чӏун, гьаре вихьуларедухъ дуда аскӏов вукӏунев дурго Инсуда. Балъгого гьабулебги бихьулев дур Инсуца кири хъвала дуе. 
MAT.6.7	Дугӏа гьабулаго, гьересиаллагьзабазе гӏибадат гьабулел гӏадамал гӏадин, гӏемерав гъулгъудизеги гъулгъудуге. Гьезда ккола халат гьабунагӏан дугӏа къабуллъулебилан. 
MAT.6.8	Гьезда релълъун лъугьунге: нужеца гьарилалдего лъала нужер Инсуда сунде хӏажалъун нуж ругелали. 
MAT.6.9	Гьединлъидал дугӏа гьадин гьабе:
MAT.6.9	Я, Зобалазда вугев нижер Эмен,
MAT.6.9	дур цӏар гӏадамаз мукъадасаблъун рикӏкӏаги,
