GEN.1.1	Pakutaŋga Mŋari wakasika ɗeŋga nenyika. 
GEN.3.20	Munhu akatumidza mukadzi wake zita rinonzi Eva; nokuti ndiye mai ʋaʋapenyu ʋose. 
GEN.3.21	Jehova Mŋari akaitira munhu nomukadzi wake ŋguʋo dzamatebge, akaʋafukidza idzo.
GEN.3.22	Ɀino Jehova Mŋari akati: Tarirai, munhu waʋa somumŋe weɗu ɀaanoziʋa ɀakanaka neɀakaipa; ɀino ɀimŋe uŋgatambanudza ruʋoko rwake akatora ʋo ɀomuti woʋupenyu, akadya, akararama nokusiŋgaperi. 
GEN.3.23	Naiɀoɀo Jehova Mŋari akamuɓuɗisa mumunda weEdeni, kuti arime ivu raakatorwa kwariri. 
GEN.3.24	Naiɀoɀo akadziŋga munhu, akaisa makerubi kurutiʋi rwamabvazuʋa rwomunda weEdeni, nomuraɀo womunondo waimonereka kumatiʋi ose, kurindira nzira yomuti woʋupenyu.
GEN.4.1	Ɀino Adama wakaziʋa mukadzi wake Eva; iye ndokutora mimba, akapona Kaini, akati: Ndawana munhu, 
GEN.4.2	Akazopona ɀe munuŋuna wake Aberi. Aberi wakaŋga ari mufudzi wamakwai, Kaini wakaŋga ari murimi wevu. 
GEN.4.3	Ɀino ŋguʋa yakati yapfuʋura, Kaini akaʋuya neɀiɓereko ɀevu, ciʋe cipo kunaJehova. 
GEN.4.4	NaAberi ʋo akaʋuya namakwaiana ake emhoŋgora namafuta awo. Jehova ndokugamucira Aberi necipiriso cake; 
GEN.4.5	asi Kaini necipiriso cake haana‐kucigamucira. Ipapo Kaini akatsamŋa kwaɀo, ciso cake cikawunyana. 
GEN.4.6	Ipapo Jehova akati kunaKaini: Watsamŋireiko? Ciso cako cakawunyana nei? 
GEN.4.7	Kana ukaita ɀakanaka, hauŋgafari here paciso cako? Kana usiŋgaiti ɀakanaka, ɀiʋi ɀinokuʋandira pamukoʋa; ɀicakutȿaka, asi iwe unofanira kuɀikunda. 
GEN.4.8	Ɀino Kaini wakataurirana nomunuŋuna wake Aberi; ʋakati ʋari kusaŋgo, Kaini ndokumukira Aberi munuŋuna wake, akamuʋuraya. 
GEN.4.9	Ipapo Jehova akati kunaKaini. Uripiko Aberi, munuŋuna wako? Iye akati: Handiziʋi; ndini mufudzi womunuŋuna waŋgu kanhi? 
GEN.4.10	Akati: Waiteiko? Inzwi reropa romunuŋuna wako rinoɗanidzira kwandiri panyika. 
GEN.4.11	Ɀino watukwa, wadziŋgwa panyika, iyo yakashamisa muromo wayo kugamucira ropa romunuŋuna wako paruʋoko rwako; 
GEN.4.12	kana ucirima ivu, hariŋgakupi simba raro; ucaʋa mutizi nomudzuŋgairi panyika. 
GEN.4.13	Ipapo Kaini akati kunaJehova: Kurobga kwaŋgu kukuru, handiŋgakutakuri. 
GEN.4.14	Tarirai, mandidziŋga nhasi panyika ino; ndicaʋanda pamberi penyu; ndicaʋa mutizi nomudzuŋgairi panyika; aninani unondiwana ucandiʋuraya. 
GEN.4.15	Jehova akati kwaari: Naiɀoɀo aninani unoʋuraya Kaini ucatsibga kanomŋe. Jehova ndokuisira Kaini ciratidzo, kuti munhu unozomuwana arege kumuʋuraya.
GEN.4.16	Ipapo Kaini wakabva pamberi paJehova, akandogara panyika yeNodi, kumabvazuʋa kweEdeni. 
GEN.4.17	Kaini akaziʋa mukadzi wake, akatora mimba, akapona Enoki; akaʋaka guta, akatumidza guta zita romŋanakomana wake Enoki. 
GEN.4.18	Enoki akaɓerekerwa Iradi; Iradi akaɓereka Mehujaeri; Mehujaeri akaɓereka Metushaeri; Metushaeri akaɓereka Rameki; 
GEN.4.19	Rameki akawana ʋakadzi ʋaʋiri, zita romumŋe rainzi Ada, zita romumŋe rainzi Zira. 
GEN.4.20	Ada akapona Jabari; iye waiʋa ɓaɓa ʋaʋanhu ʋanogara mumatente ʋaneɀipfuwo. 
GEN.4.21	Zita romunuŋuna wake raiʋa Jubari; iye waiʋa ɓaɓa ʋaʋose ʋanoridza mbira nenyere. 
GEN.4.22	Zira wakapona Tubarikaini, mupfuri wenhumbi dzose dzendarira neɗare; hanɀadzi yaTubarikaini waiʋa Naama. 
GEN.4.23	Rameki akati kuʋakadzi ʋake:
GEN.4.23	Ada naZira, inzwai inzwi raŋgu;
GEN.4.23	Imi ʋakadzi ʋaRameki, tererai ɀandinotaura;
GEN.4.23	Nokuti ndinoʋuraya munhu unondikuʋadza,
GEN.4.23	Nejaya rinondipxanya;
GEN.4.24	Kana Kaini acatsibga kanomŋe,
GEN.4.24	Ɀirokwaɀo Rameki kanamakumi manomŋe nenomŋe.
GEN.4.25	Adama akaziʋa ɀe mukadzi wake; akaɓereka mŋanakomana, akamutumidza zita rinonzi Seti; nokuti 
GEN.4.26	NaSeti wakaɓerekerwa mŋanakomana, akamutumidza zita rinonzi Enoshi. Neŋguʋa iyo ʋanhu ʋakataŋga kuɗana zita raJehova.
GEN.5.1	Ndiyeyi buku yamarudzi aAdama. Musi waakasika munhu, Mŋari wakamuita nomufananidzo waMŋari; 
GEN.5.2	wakaʋasika murume nomukadzi; akaʋaropafadza, akaʋatumidza zita rinonzi Munhu, musi waʋakasikwa. 
GEN.5.3	Adama wakagara makore anezana namakumi matatu, akaɓereka 
GEN.5.4	Mazuʋa aAdama shure kwokuɓerekwa kwaSeti akaŋga ari makore anamazana masere; akaɓereka ʋanakomana naʋanasikana. 
GEN.5.5	Mazuʋa ose oʋupenyu bgaAdama akaŋga ari makore anamazana mapfumbamŋe namakumi matatu, akafa.
GEN.5.6	Seti wakagara makore anezana namashanu, akaɓereka Enoshi; 
GEN.5.7	Seti akagara makore anamazana masere namanomŋe shure kwokuɓerekwa kwaEnoshi, akaɓereka ʋanakomana naʋanasikana; 
GEN.5.8	mazuʋa ose aSeti akaŋga ari makore anamazana mapfumbamŋe negumi namaʋiri, akafa.
GEN.5.9	Enoshi wakagara makore makumi mapfumbamŋe, akaɓereka Kenani; 
GEN.5.10	Shure kwokuɓerekwa kwaKenani Enoshi akagara makore anamazana masere negumi namashanu; akaɓereka ʋanakomana naʋanasikana; 
GEN.5.11	mazuʋa ose aEnoshi akaŋga ari makore anamazana mapfumbamŋe namashanu, akafa.
GEN.5.12	Kenani wakagara makore makumi manomŋe, akaɓereka Maharareri; 
GEN.5.13	shure kwokuɓerekwa kwaMaharareri Kenani wakagara makore anamazana masere namakumi manna; akaɓereka ʋanakomana naʋanasikana. 
GEN.5.14	Mazuʋa ose aKenani akaŋga ari makore anamazana mapfumbamŋe negumi, akafa.
GEN.5.15	Maharareri wakagara makore makumi matanhatu namashanu, akaɓereka Jaredi; 
GEN.5.16	shure kwokuɓerekwa kwaJaredi, Maharareri akagara makore anamazana masere namakumi matatu, akaɓereka ʋanakomana naʋanasikana; 
GEN.5.17	mazuʋa ose aMaharareri akaŋga ari makore anamazana masere namakumi mapfumbamŋe namashanu, akafa.
GEN.5.18	Jaredi wakagara makore anezana namakumi matanhatu namaʋiri, akaɓereka Enoki; 
GEN.5.19	shure kwokuɓerekwa kwaEnoki Jaredi akagara makore anamazana masere; akaɓereka ʋanakomana naʋanasikana; 
GEN.5.20	mazuʋa ose aJaredi akaŋga ari makore anamazana mapfumbamŋe namakumi matanhatu namaʋiri, akafa.
GEN.5.21	Enoki wakagara makore makumi matanhatu namashanu, akaɓereka Metusara; 
GEN.5.22	shure kwokuɓerekwa kwaMetusara, Enoki wakafamba naMŋari makore anamazana matatu; akaɓereka ʋanakomana naʋanasikana. 
GEN.5.23	Mazuʋa ose aEnoki akaŋga ari makore anamazana matatu namakumi matanhatu namashanu. 
GEN.5.24	Enoki akafamba naMŋari, akasazoʋa’po, nokuti Mŋari wakamutora.
GEN.5.25	Metusara wakagara makore anezana namakumi masere namanomŋe, akaɓereka Rameki; 
GEN.5.26	shure kwokuɓerekwa kwaRameki, Metusara akagara makore anamazana manomŋe namakumi masere namaʋiri; akaɓereka ʋanakomana naʋanasikana. 
GEN.5.27	Mazuʋa ose aMetusara akaŋga ari makore anamazana mapfumbamŋe namakumi matanhatu namapfumbamŋe, akafa.
GEN.5.28	Rameki wakagara makore anezana namakumi masere namaʋiri; akaɓereka mŋanakomana; 
GEN.5.29	akamutumidza zita rinonzi Noa, aciti: Uyu ucatiʋaraidza paɓasa reɗu napakutambudzika kwamaʋoko eɗu, ɀinobva panyika yakatukwa naJehova. 
GEN.5.30	Shure kwokuɓerekwa kwaNoa, Rameki akagara makore anamazana mashanu namakumi mapfumbamŋe namashanu; akaɓereka ʋanakomana naʋanasikana. 
GEN.5.31	Mazuʋa ose aRameki akaŋga ari makore anamazana manomŋe namakumi manomŋe namanomŋe, akafa.
GEN.5.32	Noa wakaŋga anamakore anamazana mashanu; Noa akaɓereka Shemi, naHami, naJafeti.
GEN.6.1	Ɀino ʋanhu ʋakati ʋotaŋga kuwanda panyika, ʋaciɓerekerwa ʋanasikana, 
GEN.6.2	ʋanakomana ʋaMŋari ʋakaʋona ʋakunda ʋaʋanhu kuti ʋakanaka, ʋakaɀitsaurira pakati paʋose ʋaʋakaɗa kuʋa ʋakadzi ʋaʋo. 
GEN.6.3	Ipapo Jehova akati: Mŋeya waŋgu hauŋgarambi ucigara mumunhu nokusiŋgaperi, ɀaari wenyama ʋo hake; naiɀoɀo mazuʋa ake acaʋa makore anezana namakumi maʋiri. 
GEN.6.4	Paŋguʋa iyo kwakaŋga kunaʋanhu ʋarefu kwaɀo panyika, napashure ʋo, kana ʋanakomana ʋaMŋari ʋakapinda kuʋanasikana ʋaʋanhu, iʋo ʋakaʋaɓerekera ʋana. Ndiʋo ʋaiʋa ʋanhu ʋanesimba ʋakare, ʋakaŋga ʋakakurumbira. 
GEN.6.5	Ɀino Jehova wakaʋona kuti kuipa kwaʋanhu kwakaŋga kuri kukuru panyika, nendaŋgariro dzokufuŋga kwemŋoyo yaʋo dzakaŋga dzakaipa ɓedzi ŋguʋa dzose. 
GEN.6.6	Jehova akaɀidemba pamsoro pokuita kwake ʋanhu panyika, akaʋa neshuŋgu pamŋoyo pake. 
GEN.6.7	Jehova akati: Ndicaparadza ʋanhu ʋandakasika ndiʋabvise panyika — ʋanhu, nemhuka, neɀinokambaira, neshiri dzeɗeŋga; nokuti ndinoɀiɗemba kuti ndakaɀiita. 
GEN.6.8	Asi Noa wakawana tsitsi pamberi paJehova.
GEN.6.9	Marudzi aNoa ndiwo: Noa wakaŋga ari munhu wakarurama, asinemhoȿa mumarudzi ake; Noa wakafamba naMŋari. 
GEN.6.10	Noa akaɓereka ʋanakomana ʋatatu, 
GEN.6.11	Nyika yakaŋga yakaʋora pamberi paMŋari, nyika yakaŋga izere nokumanikidzana. 
GEN.6.12	Mŋari akaʋona nyika kuti yakaʋora; nokuti ʋanhu ʋose ʋakaŋga ʋaʋodza mufambiro waʋo panyika.
GEN.6.13	Ipapo Mŋari wakati kunaNoa: Kupera kwaʋanhu ʋose kwaȿika pamberi paŋgu; nokuti ʋakazadza nyika nokumanikidzana; tarirai, ndicaʋaʋuraya pamŋe cete nenyika. 
GEN.6.14	Uɀiitire areka nomuti wegoferi; uite makamuri muareka, uinamire necomukati necokunze nenamo. 
GEN.6.15	Unofanira kuiita kuɗai: Kureɓa kweareka ŋgakuʋe makubiti
GEN.6.16	Usiye ɓuri paareka; uripedze kana kwasara kubiti rimŋe kubva kumsoro; nomukoʋa weareka uuise parutiʋi rwayo; uiite inedzimba nhatu, musara wokutaŋga, nowecipiri, nowecitatu. 
GEN.6.17	Tarira, ini ndinoʋuyisa panyika mvura zhinji, kuti iparadze ɀipenyu ɀose, ɀinomŋeya woʋupenyu, pasi peɗeŋga; ɀose ɀiri panyika ɀicafa. 
GEN.6.18	Asi ndicaita suŋgano yaŋgu newe; unofanira kupinda muareka, iwe naʋanakomana ʋako, nomukadzi wako, naʋakadzi ʋaʋanakomana ʋako pamŋe cete newe. 
GEN.6.19	Napaɀipenyu ɀose ɀenyama uise muareka ɀiʋiri‐ɀiʋiri ɀamarudzi ose, kuti ɀirarame pamŋe cete newe; ngaɀiʋe mukono nehadzi. 
GEN.6.20	Shiri namarudzi adzo, neɀipfuwo namarudzi aɀo, neɀinokambaira pasi ɀose namarudzi aɀo, ɀicaʋuya kwauri ɀiʋiri‐ɀiʋiri ɀamarudzi ose, kuti ɀiraramiswe. 
GEN.6.21	Iwe utore marudzi ose eɀokudya ɀose ɀinodyiwa, uɀiʋuŋganidzire kwauri; kuti ɀiʋe ɀokudya ɀako neɀaɀo. 
GEN.6.22	Noa akaita saiɀoɀo; seɀaakarairwa naMŋari, wakaita ɀose saiɀoɀo.
GEN.7.1	Ɀino Jehova wakati kunaNoa: Pindai muareka, iwe nemhuri yako yose; nokuti ndakuʋona iwe kuti wakarurama pamberi paŋgu parudzi urwu. 
GEN.7.2	Pamhuka dzose dzakanaka utore nomŋe‐nomŋe, mukono nehadzi yayo; napamhuka dzose dzisakanaka utore mbiri‐mbiri, mukono nehadzi yayo; 
GEN.7.3	napashiri dzeɗeŋga utore nomŋe‐nomŋe, joŋgwe nemhambo, kuti uraramise marudzi ose ari panyika. 
GEN.7.4	Nokuti kwasara mazuʋa manomŋe, ipapo ndicanisa mvura panyika mazuʋa anamakumi manna noʋusiku ʋunamakumi manna; ɀipenyu ɀose ɀandakaita ndicaɀiparadza panyika; 
GEN.7.5	Noa akaita ɀose seɀaakarairwa naJehova.
GEN.7.6	Noa wakaŋga aʋa namakore anamazana matanhatu paŋguʋa yokuʋuya kwemvura zhinji panyika. 
GEN.7.7	Ipapo Noa wakapinda muareka, naʋanakomana ʋake, nomukadzi wake, naʋakadzi ʋaʋanakomana ʋake, nokuɗa kwemvura zhinji. 
GEN.7.8	Pamhuka dzakanaka, napamhuka dzisakanaka, neshiri, neɀose ɀinokambaira panyika, 
GEN.7.9	ɀakapinda kunaNoa muareka ɀiʋiri‐ɀiʋiri, mukono nehadzi, Mŋari seɀaakaraira Noa. 
GEN.7.10	Mazuʋa manomŋe akati apfuʋura, mvura zhinji ikaʋa’po panyika. 
GEN.7.11	Pagore ramazana matanhatu roʋupenyu bgaNoa, nomŋedzi wecipiri, nezuʋa regumi namanomŋe romŋedzi, nezuʋa irero matsime ose apakadzika‐dzika akadziʋurwa, namawindi eɗeŋga akazarurwa; 
GEN.7.12	mvura zhinji ikanaya panyika mazuʋa anamakumi manna noʋusiku ʋunamakumi manna. 
GEN.7.13	Nomusi iwoyo Noa wakapinda muareka, naShemi, naHami, naJafeti, ʋanakomana ʋaNoa, nomukadzi waNoa, naʋakadzi ʋatatu ʋaʋanakomana ʋake pamŋe cete naye; 
GEN.7.14	iʋo, nemhuka dzose namarudzi adzo, neɀipfuwo ɀose namarudzi aɀo, neɀinokambaira ɀose ɀinokambaira panyika namarudzi aɀo, neɀinobururuka ɀose namarudzi aɀo, neshiri dzose dzamarudzi ose. 
GEN.7.15	Ɀakapinda kunaNoa muareka, ɀiʋiri‐ɀiʋiri ɀeɀipenyu ɀose ɀinomŋeya woʋupenyu. 
GEN.7.16	Ɀose, ɀakapinda, ɀakapinda ɀiciita mukono nehadzi, ɀose ɀipenyu, seɀaakarairwa naMŋari, Jehova akamuzaririra mukati. 
GEN.7.17	Mvura zhinji ikaʋa’po panyika mazuʋa anamakumi manna; mvura ikawanda, ikasimudza areka, ikakwiridzirwa pamsoro penyika. 
GEN.7.18	Mvura ikakwirira, ikawanda kwaɀo panyika, areka ikafamba pamsoro pemvura. 
