MAT.1.1	Abraham tuti Devit tanii ing Jesu Khrista ahungsuwhnii thiimziihbur. 
MAT.2.10	Enuw ing aesiichu emutah nache ariirfhuwchah ing enrotha irohsah. 
MAT.2.11	Amana vasiaeka evatungna naeduung jaarnii sungtingche envaruwh tahnache naeduungchu amnuw thohche emupa, amana enuw ing engkheerkhuwh mansin aeka enrumpa. Enuw ing engkikthuur buwrchu imong aeka sana, Gundru vokhehkho Gundras chu naeduung ningnache empeehpa. 
MAT.2.12	Amana entakchu Herot ningting ynrimahruw ichii enrumangna emutah nache, lam asikting rep aeka empaamting yngkaesae.
MAT.2.13	Atii engaangkaenuwna, Aafhuw vaarmee ing Josep rumangna ariir, “Herot ing naeduung i ithehnii khaena ajongthongnah, chukhaenache hangiir nana naeduung re amnuw i ruwnana Ijeep lipah ting taenruw amanche ki ing kamanthang mahri raentaangchuw ama mapham nache ongjaehruw.” 
MAT.2.14	Amana Josep ing hangngiirka naeduung re amnuwchu jaen nache ruwka Ijeep lipah ting taensae, 
MAT.2.15	amana Herot athikmahri raentaang ama mapham nache ongsae. Havi Aafhuw ing Jaephar ajaarna amanriir vasahchu hungchumsa, “Ki ing kasapa chu Ijeep lipah tanii kavaruwpa.”
MAT.2.16	Herot ing ihaesing aeng ymman-chaepae ichiichu amanghuw tahnache inempak athir fhuwrsa. Chukhaenache ihaesing ae tanii isajaeh ing amanghuw inuwzii ing Bethlehem na ong vokhehkho akuurpaang paamna om naeduung pasar kumnii aderchaap ithehnii khaena mee jebathenka amanthehpa. 
MAT.2.17	Jaephar Jeremia ing ariir chongchu hungchumsa: 
MAT.2.18	Amachuve, “Rama tanii ijaachaam ichap iruur kasiipa, Racher ing asitiae khaena chapna; asiti aechu enthiktah nache abarungriir ijaachu chenmah.”
MAT.2.19	Herot athiknuwna, Aafhuw avaarmee ing Ijeep na Josep rumang nache yndangka ariir, 
MAT.2.20	“Hangiirla, naeduung re amnuw kha ruwnana Isrel paamting yngkaera, naeduung thehkenta achii mee aekha thiksae.” 
MAT.2.21	Amana Josep ing hangiirka naeduung re amnuw chu ruwka Isrel paamting yngkaesae, 
MAT.2.22	changvakonchu Herot sapa Aarkelos ing Judia paamna ampa changdenna iruwng vika paarna ichii chong asiitah nache, Josep hungkaevachii ynchikka arumangna ariirpeeh inuwzii ing lam repka Galili paamting sisa. 
MAT.2.23	Chutahnache Nazaret khuwruung nache hungpaarsa; havi Jaephar ing ariir vasahchu hungchumsa, “Atak i Nazaret na ong ynthiing mee chuvaata.”
MAT.3.1	Apha ichiinache Baptis Johon ing Judia paam nache thengka isa chong atong, 
MAT.3.2	“Nenbarungriir huungruw, thangbaen iruwng paamchu ynneengsa,” taka ariir. 
MAT.3.3	Hava mee khaene Jaephar Isaia ing jinge ichii ing ariir vasahva,
MAT.3.3	“Paamfhuw nache iruur yngkheh ing uungna,
MAT.3.3	Aafhuw lamchu seemruw, asiniichu manchiimruw.”
MAT.3.4	Johon ing ut vin peendiir ing ynthongka amanche adiirriim nache shavin ing ynchiim vokhehkho athaemin inche khaeruwng re lampa khiniingva. 
MAT.3.5	Jerusalem tanii vokhehkho Judia paam aangkheng tanii amanche Jordan idaam akuurpaang tanii mee aangkheng aningting theng aeka 
MAT.3.6	isii entuchaap enriirpa; amana Jordan iva nache enuwchu Johon ing baptais amantu ae.
MAT.3.8	Atii nenbarungriir mantehruw; 
MAT.3.9	Kempa Abraham omna tanuwna nenbarungriir mangamjaeh mahruw; neningna kariirnah, Thangnang ing hava rung vakhae itanii Abraham siti ae abasuwchehsa, 
MAT.3.10	amanche ataraen rapkho thingbur vakhae arajungna rii ynringka omna; aanla isa omah chaapchu ynfuwr naka mi sungting ynthuchir vaata. 
MAT.3.11	‘Nen-barungriir nenghuung khaena ki ing chiina baptais kamantu vachuw, changvakonchu kaanuwna thengvachii chuve kachungna ruungsehna; Ama ing ynthiing laetha vokhehkho mi thohche baptais imantuvaata. Ki chuve ama akhingop rapkho ichi matik chamah ing. 
MAT.3.12	Akikna amanthiingnii sisa achisa, sachiichu iheer naka iseeng gehuchu itomting thinvaata, changvakonchu arasiii chaap chuve ichen naemah ing ichuwh mi sungting bathuvaata.’ ”
MAT.3.13	Changlaenche Jesu ing Johon ningna baptais itunii khaena Galili tanii Jordan nache ivatheng. 
MAT.3.14	Chang-vakonchu Johon ing Jesu chu khaamka ariir, “Ki i nangla ing baptais imantuva nachii vara, amachu nang ing kaningna ivatheng vachii!” 
MAT.3.15	Jesu ing abasang, “Ataraennii khaena chembe rura, akhaechuve jinge ichii ing inuw ing ichum ynthiing nong aangkheng itu matik ichavamuw.” Chutahnache Johon ing arupa. 
MAT.3.16	Jesu ing baptais tuka chiisung tanii hungsuwhsa; amana enruw, thangbaen ymmongka Thangnang laetha inche khunu vaang juwngka ataklina ijungchuwchu amupa. 
MAT.3.17	Amana thangbaen tanii iruur yngkheh ing ajeriir, “Havi kaning kamansiihpak kasapa chuva, ataklina inempak kabarungriir pensakna.”
MAT.4.2	Amana Jesu ing inii nisommanrii, jaen sommanrii maaru atong aanuwna aven chaamsa. 
MAT.4.3	Changlaenche umlae inche thengka Jesu ningna ariir, “Nang Thangnang sapa vataniive, hava rung ae i tar uurnii khaena nachong bathahra.”
MAT.4.4	Changvakonchu Jesu ing abasang, “Ynziihka omna, ‘Tar pang ing mee iring mahva, changvakonchu Thangnang nertanii hungsuwh chongsae chaap inche ringvaata.’ ”
MAT.4.5	Aanuwnache umlae ing Jesu chu ynthiing khuwruung Jerusalem ting ruwka rumniieen basuwr yngkaangpak tingche mangkarka 
MAT.4.6	amana aningna ariir, “Nang Thangnang sapa vataniive jungkhuwngla, akhaechuve ynziihka omna,
MAT.4.6	‘Nakhi rapkho rung ing nasuhniimah khaena,
MAT.4.6	Thangnang ing avaarmee ae ningna riirnaka engkik ing nangchu ihengadom vaatae.’ ”
MAT.4.7	Jesu ing abasang, “Jinge ynziihka omna, nang ing Naafhuw Thangnang chu batheemmahva nachiiva.” 
MAT.4.8	Athar umlae ing Jesu chu bung yngkaangpak ting ruwreehka iruwngpaam aang-kheng alaar isa vakhaechu amansiipa; 
MAT.4.9	amana umlae ing Jesu ningna ariir, “Nang ing ki irum taniive, havana aangkheng i pivakachii.”
MAT.4.10	Jesu ing umlae ningna ariir, “Ongmahra, Umlae! Ynziihka omna, ‘Nang ing Naafhuw Thangnang chu rumva nachiiva vokhehkho ama chupang rukuum tuva nachiiva.’ ” 
MAT.4.11	Umlae inche Jesu chu abathenpa amana enruw, vaarmee ae juwng aeka Jesu chu rukuum entupa.
MAT.4.13	Amana Nazaret jeraenka Jebulun re Naptali paam ruwrakna Galili chifhuw kuurna om Kaparnaum nache ongsa, 
MAT.4.14	havi Jaephar Isaia ing ariir vasah chongchu ahungchumnii khaenava.
MAT.4.15	“Jebulun paam vokhehkho Naptali paam,
MAT.4.15	Jordon laar chifhuw yntongna ong ae,
MAT.4.15	reentaang mee ae paam Galili!
MAT.4.16	ynthimna ong mee aeng irengchu muvaatae amanche ynthim vokhehkho ithiinii paamna ong mee ae taklina iruungpak ireng inche aenvaata.”
MAT.4.18	Jesu ing Galili chifhuw kuurna ahungsirae ngaklah mee Pitar ichii Simon re anaepa Andru ing chifhuwna ichak endeengchu amupa. 
MAT.4.19	Amana Jesu ing eningna ariir, “Kaanuw ijiiruw, ki ing nenuwchu meesuwr mansuwhva kachuw.” 
MAT.4.20	Enuw ing engachakchu bathen aeka Jesu aanuwchu enjiipa.
MAT.4.21	Amana topoh yndahhak ing eng-hungsirae unae reentaang ynniimeh Jebedi sapa Jems re anaepa Johon ruwkuwng sungna empa Jebedi thoh engachak engaphuwhchu Jesu ing muka a-eenpae. 
MAT.4.22	Amana enuw ing enruwkuwng re empachu bathen aeka Jesu aanuwchu enjiipa.
MAT.4.24	Atii Jesu ajaechu Siria paam aangkhengna thangsa, chukhaenache enuw ing reentaang reentaang laena ing ina chaap vokhehkho ijachaam emphanii, umlae ichuwng ae, imur, hakchaang ithiipoh mee vakhae enveruwchu Jesu ing amandampae. 
MAT.4.25	Chutahnache Galili, Dekapolis, Jerusalem, Judia vokhehkho Jordan laartanii mee inempak ing Jesu aanuwchu enjiipa.
MAT.5.1	Jesu ing mee inempakchu amutahna ama ing reen ting hangkarka aonglae asebok ae ing abuum ting vathengsae. 
MAT.5.2	Amana Jesu ing mee vakhaechu ynchuw abasenpa:
MAT.5.3	“Laethana yntuur mee aechu bor aphapae,
MAT.5.3	thangbaen paamchu enrutum vaata!
MAT.5.4	‘Ichap ichuw mee aechu bor aphapae,
MAT.5.4	enuw ing rotharoh phavaatae!’
MAT.5.5	“Ynjuursah mee aechu bor aphapae,
MAT.5.5	laaruw paam enrutum vaata!
MAT.5.6	‘Ichum ynthiing khaena venchaam chiilaar apha mee aechu bor aphapae,
MAT.5.6	enuw ipendeh inche sipvaatae!’
MAT.5.7	‘Ningchuwh adeen mee aechu bor aphapae;
MAT.5.7	enuw ing ningchuwhchu phavaatae!
MAT.5.8	“Barungriir ynthiing aechu bor aphapae,
MAT.5.8	enuw ing Thangnang muvaatae!
MAT.5.9	‘Idae omnii khaena nong atu aechu bor aphapae;
MAT.5.9	enuwchu Thangnang siti tavaatae!’
MAT.5.10	thangbaen paamchu enrutum vaata!’
MAT.5.12	Nenrotha manrohruw vokhehkho nungaesaruw, thangbaen nache nenphafhuw iruungpak omna, nemaana hesivasah Thangnang Jaephar aekho changche ijachaam emphava.’ ”
MAT.5.15	amanche achuw ingkho jaemi barengka buruk mangkhummah; changvakonchu jaemi asiihnii nache siika eensung aangkheng aennah.” 
MAT.5.16	Havi vaange neningna irengchu mee ae maana aenrasiing, amana chembe nenuw ing isa nong nentuchaap muae naka thangbaenna ong nenpachu manpah vaatae.
MAT.5.17	“Ki i vajeer chonghak vokhehkho Jaephar ae chongchu mamaangnii khaena ijuwngva ichii ing imanden mahruw; ki chuve aamaang ijuwng mahping changvakonchu ahungchum chirnii khaena ijuwngping. 
MAT.5.18	Ki ing havi khaena neningna atatak ing kariirnah, thangbaen vokhehkho laaruw paam achimahri raentaang vajeer chonghak tanii achiih tikho areer asuwhmahri taangche maangmahnii. 
MAT.5.19	Chutahnache achuw yngkheh ing chonghak kaarna aasiingseh yngkhehchu bakhiinaka mee manchuw nave thangbaen paamna isiinghak mee chuvaata, changvakonchu achuw yngkheh ing chonghak inuwzii ing mee manchuw nave ama meechu thangbaen paamna ruungvaata. 
MAT.5.20	Neningna kariirnah, nenuw ing ichum ynthiing nache thiimthang aere Pharisi ae ichum ynthiing aechu kheermah tanga tanuwka utaraenkho thangbaen paam tungchehmah tanuw.”
MAT.5.21	“Mee itheh rumahnii, achuw yngkheh ing mee thehnave vajeer derna ijachaam phavaata ichiichu ajae nensii vasahva. 
MAT.5.22	Ki ing neningna kariirnah, achuw yngkheh ing auw anae taklina ahuwnii denniichah ing athir fhuwrnave, vajeer derna ijachaam phavaata, amanche achuw yngkheh ing auw anaechu ningjak pinave, aanchungpuh ae vajeer phavaata, vokhekho achuw yngkheh ing ‘ipang nang’ tanave longkong mi sungna ijachaam phavaata. 
MAT.5.23	Chukhaenache nang ing thiimkungna ipeehfhuw peeh pikata tataniika najechirae nauw nanae taklina nanungaeniimah om ynsii taniive, 
MAT.5.24	napeehchu thiimkung maanache mara vokhehkho ynrinana amaensana nauw nanae thohche aanrunii tura, amanache huungnana napeehchu thimmkung nache pira.”
MAT.5.25	“Nangchu miraar ympeeh mee thohkhe vajeer itu nenphamah rirae ynrujapruw; changmahnave ama ing vajeer aafhuw kikting ipivaata, amanache vajeer aafhuw ing aarung mee kikting ipinaka kaeshum ting ynthin vaata. 
MAT.5.26	Ki ing naningna atatak ing kariirnah, nalertuur nasingkiir mahtaang kaesum tanii hungsuwh rumahnii.”
MAT.5.27	“Reentaang rumee fhuwsar taklina ichuwhmah itu rumahnii ichii nenuw ing nensiipa. 
MAT.5.28	changvakonchu ki ing neningna kariirnah, rupanuw yngkheh taklina barungriir aasumpak ing a-en mee vakhae inche abarungriirna ama thohche ichuwhmah atupa. 
MAT.5.29	Namik tachang ing isii ting ababuknii vachii vanave iphernana ren; natak aangkheng longkong ting bukvanachii changve nataklitanii asae yngkheh omah ing nakhaena saksehna. 
MAT.5.30	Nakik tachang ing isii ting ibabuknii vachii vanave tennana ren; natak aangkheng longkong ting bukvanachii changve nataklitanii asae yngkheh omah ing nakhaena saksehna.”
MAT.5.32	Changvakonchu ki ing neningna kariirnah, ichuwhmah atu khaena mahnaka rupanuw aansaefhuw mee chaap ing arumeechu ichuwhmah amanguurva, amanche achuw yngkheh ing rumee saanglaam ynsaevasah rupanuw buwhnave, ama meechu ichuwhmah nong atuva.
MAT.5.33	“Isivasahna ariir chukho nensiipa, ‘Ynraar ing saarkhii tumah changvakonchu Aafhuw ningna saarkhii natuchu nong ing tura.’ 
MAT.5.34	Chukhaenache neningna kariirnah, Thangnang ongnii thangbaen ruming parnuwna chongreep tumahruw, 
MAT.5.35	changmahka Thangnang khi chuwngnii laaruw paam rumingna changmah naka iruungpak iruwng ongnii khuwruung Jerusalem ruming nakho chongreep tumahruw. 
MAT.5.36	Nang ing narusae bachuw nana chongreep tumahra, akhaechuve nang ing nasam yngkhehkho manpuur kata changmahka mandupkata ichii chehmahchii. 
MAT.5.37	Chutahnache naru chong chuve ung tajaehtah amanche rumah taniive rumah ing tajaehtah; havi chungna athi ing ichong chuve ichamah suwhnii vatah.”
MAT.5.38	“Mik yngkheh changdenna mik yngkheh vokhehkho ha yngkheh changdenna ha yngkheh ichii chong i nenuw ing nensiipa.” 
MAT.5.39	Changvakonchu ki ing neningna kariirnah, nentaklina araar mee ningnakhe huwthung mahruw. Changvakonchu achuw yngkheh ing naabeeng tachangna eebeeng nave, paangkheh tingkho dura. 
MAT.5.40	Vokhehkho achuw yngkheh ing isuwrnaka narungop rikata tanave napeenkho pira. 
MAT.5.41	Amanche achuw yngkheh ing meil yngkheh sita atateeh nave, meil ynnii sihakruw. 
MAT.5.42	Na-ningna aadik peehchae ynniihchu pira, amanche ynfhuwh chukho damahra.
MAT.5.43	“Naveenchaang aechu naning mansiih vokhehkho ynrumah mee aechu batirla ichii chongchu nenuw ing nensiipa. 
MAT.5.44	Changvakonchu ki ing neningna kariirnah, ynjeehnii mee aechu nening mansiihruw, siraap ympiaechu bor piaeruw, ymbatir mee ae ningna isa turuw, yngensiimah ae vokhehkho ijachaam ympiae khaenache thampeeh aeruw. 
MAT.5.45	Amana chembe thangbaenna ong Thangnang sitichu ynsuwhva nenta, akhaechuve isamah vokhehkho isa aaniimeh taklina inii abasuwhna amanche khuwkho amansuwrnah. 
MAT.5.46	Aning ymmansiih mee ae chupang nening mansiih tanuwcha ynchii nongmen phava nenchii omkhang? Ree ikhuum mee aerap ingkho changche ichii ing tumah ae khang? 
MAT.5.47	Nenguw nenae pangchu bariim tanuwcha, mee reentaang ae chungna ynchii nentuse? Reentaang mee aerap ingkho changche tumah ae khang? 
MAT.5.48	Chukhaenache thangbaenna ong nenpa ing araarmah dehvaang nenuwkho raarmah dehruw.”
MAT.6.2	“Chukhaenache isachaang atu aeng mee ing imanpah rasiing ta aeka meekongniina vokhehkho lamna entu vaangkhe, nenuw ing isa nong nenturae nemaensokna khuwng ibeeng mahruw. Ki ing neningna atatak ing kariirnah, enuwkha enongmen emphapa. 
MAT.6.3	Changvakonchu napeeh raenche natachang ing napeehkha natari ing manghuwmah rasiing, 
MAT.6.4	amana chembe yndangmah ing natu isa nongchu ynruwhjaeh ing amu nangpa inche yndang ing nongmen ipivaata.”
MAT.6.6	Changvakonchu nang ing nathamsah raenche eensung ting hungruwh nana, eenkhaar kamnana thamsara amanche nangpa inche imunaka nongmen ipivaata.”
MAT.6.7	“Nenuw ing nenthamsah raenche reentaang mee ae vaang chongkha nuummahruw, nuumnungve ibasang vaata ichii ing emandenva. 
MAT.6.8	Chu-khaenache enuw vaangkhe nenuw tamahruw, nenpa Thangnang ing nentaklina ivaehkha nenthamsah mahrirae amanghuw vasahva. 
MAT.6.9	Chu-khaenache jinge thamruw:
MAT.6.9	‘Thangbaenna ong kempa Thangnang:
MAT.6.9	Naruming ynthiing ynsuwhrasiing;
MAT.6.10	Naaruwng lipahchu thengrasiing;
MAT.6.10	thangbaenna namanden vaang laaruw paam nenkho namanden ynsuwh rasiing.
MAT.6.11	Kenuwchu anasiirna kensahfhuw thaemin ipisar,
MAT.6.12	Kentaklina isii ikha atu mee aechu kengkuhpeeh vaang,
MAT.6.12	kentaklina isii ikha omchaap ikuhpeehsar.
MAT.6.13	Batheem tingche kenuwchu ibabuw samah,
MAT.6.13	vokhehkho isii ikha tanii ikarsar.’ ”
MAT.6.15	changvakonchu nentaklina isii ikha atu mee aechu kuhpeehmah tanuwve, nenpa ingkho ikuhpeeh chehmahnii.”
MAT.6.16	“Nenuw ing maaru nentonglae isachaang atu mee ae vaangkhe mee ing imurasiing tanuwna yndang ing tumahruw. Ki ing neningna atatak ing kariirnah, enuw enongmen emphapa. 
MAT.6.17	Changvakonchu nenuw chuve maaru nentonglae nenrusae richiithou itaehpeh nuwna amanche nemae chukho phuwpehruw, 
MAT.6.18	amanachen vaang maaru nentongchu mee ae ing manghuwcheh mahnii ae, nenpa pang inche manghuw vaata. Amanche ynruwhjaeh ing ymmu nenpa ing neningna nongmen ipivaata.”
MAT.6.20	Changvakonchu risa vokhehkho korhing ing asahchehmah amanche lamruw ingkho baruwh chehmah vachii thangbaen nache nenlerchii mangkongruw. 
MAT.6.21	Nenlerchii omnii apham nache nenbarungriir chukho ombaata.”
MAT.6.22	“Mik inge hakchaang jaemi chuva; chukhaenache namik bareng chumnave, natak aangkheng reng-vaanta. 
MAT.6.23	changvakonchu namik bareng chummah nave, natak aang-kheng manthim vaanta. Chukhaenache nataklina irengchu manthim nave, aajaemeh manthim vaate!”
MAT.6.24	“Achuw ingkho aafhuw ynniimeh meenae ynsuwh chehmah; akhaechuve yngkhehchu aning mansiih mahnave, yngkhehchu aning mansiih vaata, vokhehkho yngkheh ningna abarungriir manruwhdeh nave, yngkheh tingche barungriir manruwhmahnii. Thang-nang re lerchii aaniimeh ing anong ituhak rumahnii.”
MAT.6.25	“Chukhaenache ki ing neningna kariirnah, iringnii khaena ynchii savakate, invakate vokhehkho ynchii peendiir niivakate ichii ing nenbarungriir manjamahruw. Isah-fhuw chungna iringnii ing vokhehkho peendiir chungna hakchaang ing ruwhakmah khang? 
MAT.6.26	Vaati ae i enruw, enuw sachii kho basaemah ae, ikuumkho kuummah ae amanche itom tingkho mangkongmah ae, chang-vakonchu thangbaenna ong nenpa ing ensahfhuw apeehsae. Enuw chungna nenuw ing nemen ruwhakmah khang? 
MAT.6.27	Nenuw achuw yngkheh nenbarungriir ajatahna aringkum khudup yngkheh amanthichehse?”
MAT.6.28	“Nenuw peendiir khaenache ynchii khaena nenbarungriir ijaava? Lampana rii ipaar ae i enruw, yntanga turu ae ing muwngnae vokhehkho paarjaeh tahnae. 
MAT.6.29	Chukhaenache ki ing neningna kariirnah, Solomon iruwng alerchii ompakrap ingkho enuwvaang peendiir deenmah. 
MAT.6.30	Changche ichii ing atanii ringnaka atuknii mi sungting renvaanchii rapkho Thangnang ing isajaeh ing rukuum atunuw chembe, nenuw chuve iruwpak ing itumahnii khang? O thacha isiing ae!”
MAT.6.31	“Chutahnache ynchii savakente, ynchii invakente changmahka ynchii niivakente tanuwna nenbarungriir manjamahruw. 
MAT.6.32	Hava vakhae i reentaang mee ae ing iphanii khaena enjongnah; amana thangbaenna ong nenpa ing nenvaehnii aangkheng havi amanghuwsa. 
MAT.6.33	Changvakonchu amaensana Thangnang iruwng lipah vokhehkho ichum ynthiingchu jongruw, amana peeh aangkhenglaang havi neningna ipivaata. 
MAT.6.34	Chukhaenache atuknii khaena nenbarungriir man-jamahruw, atuknii khaena chembe atuknii barungriir jasavaata. Nikheh khaena ija ing nikheh rutum rasiing.”
MAT.7.1	“Mee taklina vajeer tumahra, amana chembe Thangnang ing nataklina vajeer tumahnii. 
MAT.7.2	Nang ing mee taklina vajeer tutaniive, Thang-nang ing nataklinakho ynchimchak ing vajeer tuvaata. 
MAT.7.3	Ynchii khaena namikna ibuwr omcha ibuwrruchii ing, unae mikna om ibuwr chucha nabuwrva? 
MAT.7.4	Amanche namik abuwr brohrae, nauw nanae mikna ibuwrcha ripeeh kachii nachiiva? 
MAT.7.5	Ichum nabuchaang nang maensa ing namikna ibuwrkha rijapla, amanche aanuwting nauw nanae mikna om ibuwrchu iseengkiir ing mupeh vaanta.”
MAT.7.6	“Ynthiing peehva ichii chaap uti aeting pimahruw; amanche voh ae maensokna amen iruwpak rung verenmahruw, enuw ing chanii ae naka neningting vaanleh ae naka ynsi aekho arusa.”
MAT.7.7	“Niihruw ipivaata; Jongruw tuwhva nenta; ichumruw ibarangpeeh vaata. 
MAT.7.8	Akhaechuve aaniih vakhae ing phavaata, aajong vakhae inche tuwh-vaata, amanche aachum mee khaenache barangpeeh vaata. 
MAT.7.9	Achuw yngkheh nengkaarna siti ing tar aniihtahna rung pivachii mee ynvaenachuw? 
MAT.7.10	Amanche nga aniihtahna baruwr pivanente? 
MAT.7.11	Nenuw chamahkhang tanuwkho nensiti ae ningna isa peeh pinii chuve nemanghuwsa, chunuw chembe thangbaenna ong nenpa inche aajaehmeh aniihsah mee ningnache isa pining tavaate.”
MAT.7.13	“Varuwhnii lam ymbik nache ruwhruw, akhaechuve imaangnii ting ruwhnii lam chuve manjaka ijiinii laena, amanache ivaruwh mee nempakna. 
MAT.7.14	Changvakonchu iringnii phanii lam chuve mambikna vokhehkho ijiinii ruwna, amanche ama lamchu atuwh mee tuumpakna.”
MAT.7.15	“Taangnacha jao peendiir ing ynthong aeka, sungtingcha imi vaang ichii ae, neningna itheng ichummah jaephar mee ae khaena ynriimruw. 
MAT.7.16	Nenuw ing entu nong aanla nache manghuwva nenta. Iringbur tanii vomrip aanla vokhehkho iringbur tanii thachang iriihchak muwkhang? 
MAT.7.17	Chunuw vaniive isa thingbur chaap nache isa ynlana, isamah thingbur nache isamah ynlana. 
MAT.7.18	Isa thingbur nache isamah aanla vokhehkho isamah thingbur nache isa aanla ynla chehmah. 
MAT.7.19	Aanla isa ing ynla chehmah thingbur chaapchu ynsaehka mi sungting ynrennah. 
MAT.7.20	Jinge ichii ing nenuw ing enuwchu engaanla nache manghuwva nenta.”
MAT.7.21	“Kaningna Aafhuw, Aafhuw, tanaka yngeen mee chaap ing iruwng lipah tungmahnii, changvakonchu thangbaenna ong kapa ing amanden nong atu mee chaap inche tungvaata. 
MAT.7.22	Ama inii nache mee aanem ing kaningna tavaatae, ‘Aafhuw, Aafhuw,’ narumingna Thangnang chong manthangmah ungkhang, naruming ajaarna umlae ae kenthurmah vakhang, amanche narumingna laetho kemandangmah vakhang? 
MAT.7.23	Changlaenche ki ing eningna tavakata, ‘Utaraenkho nenuwchu manghuw mahchuwng; kakuurna ongmahruw ichuwhmah nongtu mee ae.’
