RUT.1.1	Senagi senagi, mirona ituari ourefeidena vene tora amegamadiri,
RUT.2.4	Ina yaku nikabai reyadi, “
RUT.2.5	Ma Boaz yaku moimai ourefeidena amiye nikaiteyo, “Mirona bi kaere rema ofi?”
RUT.2.6	Ourefeidena amiye yaku nikabai reyo, “Ina bi Moab gagani rema yokoi, kaere bi Naomi sa Moab gagani gutuna dairi baeyadi. 
RUT.2.7	Mina rema yaku niyo, ‘Na ni kumo moimai vene usi barley butu rigida.’ Murori nesi moimai kora reyo uriyaku gutuna uriyenau niyo, minari bi neitua maka duduburi asa moiyo.”
RUT.2.8	Resi Boaz yaku Ruth niyo, “Nai vefa, nai mokena sina buni ya nigida. Bouna sanari ga butu ri, idu mina murori maka nai moimai rema venesa maka moimai re. 
RUT.2.9	Murori rumana vene yaku nugasi butu rededi mina rema vene usi digasa tuta butu ri. Na bi rumana vene nioteimaraka, ga ya avaka moiyaganedi, ma koru vaigiyari moimai rumana vene yaku koru biyori usi aeyadi mina moisi iri.”
RUT.2.10	Ye Ruth neideyori bi kuri agu risi ini ne kono masi Boaz rofu niyo, “Beika buni baku reyaka, na bi yava ika rema ma beika resi na rofu yi uka na maisa?”
RUT.2.11	Boaz yaku nikabai reyo, “Yi maruka muyeyo gutuna baeyo ya yaku yi radini rofu beika regamo bi na niyadi, gokai yi nono baba ma yi ode yava feresi ma amiye toto venesa ameisa. 
RUT.2.12	 yi beika buni reyo ini obini dairi ya mago. 
RUT.2.13	Ruth yaku nikabai reyo, “Nai varika amiye, ya yaku yi nemokori buni toga na mavo. Yi naivo rema rofu amuta dudu ago na ni maisa, idu na bi yi naivo rema yokoi kana de.”
RUT.2.14	Iruku iridedi ri Boaz yaku Ruth niyo, “Minari bae desi beredi be moigiya rofu waini ideri birisi iri.” Muro rena venesa ameinu reyori, Boaz yaku barley oriyadi mina be maro. Iruku iriyo rofu uka bere nisi bafu be fereyo. 
RUT.2.15	Mina usi dadisi neyo barley butu rigi ri, Boaz yaku ini moimai vene ni mama reyo, “Tau rigedi sanari moigo ka ga vegasa nifa. 
RUT.2.16	Idu tau riyadi sanari ini rata be moisi ae magedi ma butu riyaine. Ina rofu ga nivaifa.”
RUT.2.17	Ye Ruth barley butu riyo ma uriyenau niyo, kamini tau risi mina utei reyo. Ini toe bi 10 kilogramme
RUT.2.18	Mina adodisi taoni dairiyo ma gokaisanu tau moiyo mina ini radini yaku veyo. Beika irisi bafu fereyo mina ka moi yakusi ini radini maro. 
RUT.2.19	Naomi yaku ini radini nikaiteyo, “Ya bi gua goinari butu butu reyo? Kaere di sanari moimai reyo? Mina amiye kaere yaku ya vei mama riyo ina rofu bi buni tora gade mago!”
RUT.2.19	Mina usi Ruth yaku ini radini nioteimaro kaere amiye di sanari moimai regamo. Niyo, “Mina amiye gua inasa moimai reyaka di roka bi Boaz.”
RUT.2.20	Naomi yaku ini radini rofu niyo, “
RUT.2.21	Kamini Moab rema Ruth yaku niyo, “Boaz yaku ka na rofu niyo, ‘Nai moimai venesa amegiya bogo nai barley moimai rededi mina moi koina regedi.’ ”
RUT.2.22	Naomi yaku ini radini Ruth rofu niyo, “Nai vefa, buni bi ini ofi venesa dibigiya, ini adina amiye be di murori digiyari yaugedi baebu.” 
RUT.2.23	Ye Ruth bi Boaz di moimai ofi ofi adinau amei digasa butu butu regamo boyo barley ma witi dogo reyadi koina niyo. Ma ini radinisa amegamo.
RUT.3.1	Meda nokoiri Naomi ini radini rofu niyo, “Nai vefa, na yaku rumana yokoi maina regida, ye yaike yava gaima amegiya. 
RUT.3.2	Ya bi Boaz di moimai rema venesa moimai regamadi. Resi Boaz, kaere bi uni davatu, gua urusa bi barley rama utei resi fotaka koka rena yavari barley fotaka makugo. 
RUT.3.3	Ya bi rafesi sisika buni vevero risi varuka burefe iniye akugiya. Resi mina yavari negiya, idu yi ne uruma bi ari kode ga veyaine iri-iri koina nigo mamo. 
RUT.3.4	Ini varedo sana vei diba re. Bosi ini yuka bou sase resi vare. Beika regiya bi ina yaku ya nigo.”
RUT.3.5	Ruth yaku nikabai reyo, “Ya yaku beika nisa bi regida.”
RUT.3.6	Ye Ruth ini radini yaku niyo kana fotaka utei resi koka rena yavari neyo. 
RUT.3.7	Boaz ini vima buni dudu, iri-iri koina niyo ri barley tau riyadi sanari varegi neyo. Ruth kiya kiya atafu bosi ini yuka bou sase resi vareyo. 
RUT.3.8	Uru tobori Boaz tururu resi kero reyo ma rema yuka adinari varedo veitao reyo. 
RUT.3.9	Ni kaiteyo, “Ya bi kaere?”
RUT.3.9	Ina yaku niyo, “Na bi Ruth yi moimai rei tavoi reida rema, yi varuka bou riyo tu yaku na bou ri, adina ya bi usika ourena toe erufusa amiye.”
RUT.3.10	Boaz yaku nikabai reyo, “Nai vefa, 
RUT.3.11	Nai vefa, ori ga re. Yi beika usa nigiya na bi regida. Nai asiyaka rumana tau taoniri bi ina diba ya bi vegu buni rema. 
RUT.3.12	Rama na ka yi maruka di usika ourena amiye, idu usika ourena toe erufudo amiye ka atafuri amedo.
RUT.3.13	Gua urusa minari varegiya ma uriyaku mirona rumana ya uka mokego ri ya mego, bi buni. Idu ya uka de mokego vonisi, bi rama iniye 
RUT.3.14	Ye Ruth bi Boaz di yuka adinari vareyo idu amiye ga diba niyagane uriyaku gorogoro dadiyo. Ma Boaz niyo, “Amiye ga neidegedi rema fotaka utei resi koka rena yavari dui reyo.” 
RUT.3.15	Boaz ka niyo, “Yi varuka moi baesi rafori ibu re.” Makai reyori, Boaz yaku 20 kilogramme kana barley rausi resi Ruth adodi maro. Ma taoniri dairiyo. 
RUT.3.16	Kamini Ruth okiyo ma ini radini yaku nikaiteyo, “Nai vefa, gokai dibo reyo?”
RUT.3.16	Resi Boaz yaku beika tau reyo mina nioteimasi 
RUT.3.17	ka niyo, “Ina yaku mina feta 6 barley na masi niyo, ‘Vana notoka yi radini rofu de dairigiya.’ ”
RUT.3.18	Kamini Naomi ya niyo, “Nai vefa, tua re, ve kumo gabi beika vata nigo. Boaz bi asa moina de koderi mina ago gua moi rorobo rego.”
RUT.4.1	Mina ituari Boaz dadi bosi taoni di ida venari ameinu reyo. Usika ourena toe erufudo amiye, kaere bi Boaz yaku sena nidodi reyo, mina baeyori Boaz yaku raka niyo, “Nai asini, bae minari ameinu re kumo.” Ye boinesi ameinu reyo. 
RUT.4.2	Boaz yaku taoni di tora vene vana ufo
RUT.4.3	Resi usika ourena toe erufudo amiye rofu niyo, “Naomi bi Moab gutuna dairi baesi uni dubuini Elimelech di kono tu bi sero redo. 
RUT.4.4	Nai mokena bi mina ago niokuda ameinu reyadi ma nai amiye di tora tora di nemokori ya yaku voi reyaine. Voi regiya vonisi bi buni. Idu, ya de voi regiya vonisi ka na nioteima resi na diba. Adina amiye yokoi ini vava de idu ya maka, ma usi bi na.”
RUT.4.4	Ma niyo, “Na yaku voi regida.”
RUT.4.5	Kamini Boaz yaku niyo, “Mina kono Naomi rofu voi regiya medari bi, Ruth kaere bi Moab rema ma obu niyo ka voi moigiya mini. Makai regiyari bi mina kono di muyeyo amiye di rokasa amebigo.”
RUT.4.6	Mina usi usika ourena toe erufudo amiye yaku nikabai resi niyo, “Makai bi nai vava mina rofu moi taga rigida adina makai regidari, bi nai mida mida yaku mina kono de moigedi. Ye, ya yaku voi re. Na bi anua regida.”
RUT.4.7	Sena ituari Israel gaganiri bi kono o gugura sero regika bi, sero redo amiye yaku ini yuka ro moisi voi resi amiye maro. Israel gaganiri kono o gugura sero regika makai resi koina niyadi.
RUT.4.8	Ye mina usika ourena toe erufudo amiye yaku Boaz rofu niyo, “Ya kaya voi re.” Ma ina bi ini yuka ro kutusi maro.
RUT.4.9	Kamini Boaz yaku tora vene ma amiye tau rofu niyo, “Gua vesi neideyadi na yaku Elimelech, Chilion ma Mahlon di gugura tau Naomi rofu voi reyaka. 
RUT.4.10	Ye Ruth, kaere bi Moab rema ma Mahlon di obu ka nai rema niyo. Makai regidari bi muyei diyadi vene di roka amebigo ini gugurasa, ye ini roka ini usika ourena di rofu, ma taoniri roka bura rededi bukari de roro nigo. Gua vesi neideyadi.”
RUT.4.11	Resi tora vene ma amiye tau bi mina taoni di ida venari yaku niyadi, “Rama, una bi vesi neideyafa vene mini. 
RUT.4.12	 yaku mina rema ofi rofu tutubena ya maraine, kaere bi Perez, Tamar ma Judah di mida, di usika ourena kana nigedi.”
RUT.4.13	Ye Boaz yaku Ruth mesi inasa vareyo. 
RUT.4.14	Kamini rema vene yaku Naomi nioteimaradi, “
RUT.4.15	Ina yaku mida odiyo kaere yaku yi vegu moi ruaka rego ma ugava nigiyari ya nari rei mona reyaine. Adina yi radini kaere bi ini uka ya mado bi rumana mida 7 ya yaku moiyagaduri ka vo nisi ya rofu bi buni niyagadu.” 
RUT.4.16	Resi Naomi yaku mina mida moisi ini budari aesi nari reyo.
RUT.4.17	Rema vene mironari amededi yaku niyadi, “Naomi bi rumana mida nufa niyo.” Ma ina roka niyadi Obed.
RUT.4.17	Ye ina bi Jesse di baba, ma Jesse bi David di baba.
RUT.4.18	Mina bi Perez di vata ni raroda reyadi vene: Perez bi Hezron di baba, 
RUT.4.19	Hezron bi Ram di baba. Ram bi Amminadab di baba, 
RUT.4.20	Amminadab bi Nahshon di baba, Nahshon bi Salmon di baba, 
RUT.4.21	Salmon bi Boaz di baba ma Boaz bi Obed di baba, 
RUT.4.22	Obed bi Jesse di baba, ma Jesse bi David di baba.
MAT.1.1	Mina bi Iesu Keriso di tutubena imito rina sina; ina bi David di tutubena, kaere bi Abraham di tutubena.
MAT.1.2	Abraham bi Isaac di baba, ma Isaac bi Jacob di baba, ma Jacob bi Judah ma ini dubuiyaka di baba niyo. 
MAT.1.3	Judah bi Perez ma Zerah di baba (ini nono bi Tamar); Perez bi Hezron di baba niyo; Hezron bi Ram di baba; 
MAT.1.4	Ram bi Amminadab di baba. Amminadab bi Nahshon di baba; Nahshon bi Salmon di baba. 
MAT.1.5	Salmon bi Boaz di baba ma ini nono bi Rahab. Boaz bi Obed di baba niyo, ma ini nono bi Ruth. Obed bi Jesse di baba niyo; 
MAT.1.6	Jesse bi kini David di baba.
MAT.1.6	David bi Solomon di baba niyo, ma ini nono sena bi Uriah di rema. 
MAT.1.7	Solomon bi Rehoboam di baba niyo; Rehoboam bi Abijah di baba; Abijah bi Asa di baba. 
MAT.1.8	Asa bi Jehoshaphat di baba niyo; Jehoshaphat bi Jehoram di baba; Jehoram bi Uzziah di baba. 
MAT.1.9	Uzziah bi Jotham di baba niyo; Jotham bi Ahaz di baba; Ahaz bi Hezekiah di baba. 
MAT.1.10	Hezekiah bi Manasseh di baba niyo; Manasseh bi Amon di baba; Amon bi Josiah di baba. 
MAT.1.11	Mina ituari ini gagani gutuna nifeideyadi ma Babylon ri amegamadiri, Josiah bi Jehoiachin ma ini dubuiyakasa di baba niyo.
MAT.1.12	Nifeideyadi ma Babylon amegamadi usi dinari Jehoiachin bi Shealtiel di baba niyo; Shealtiel bi Zerubbabel di baba; 
MAT.1.13	Zerubbabel bi Abiud di baba. Abiud bi Eliakim di baba niyo; Eliakim bi Azor di baba; 
MAT.1.14	Azor bi Zadok di baba niyo. Zadok bi Achim di baba niyo; Achim bi Eliud di baba; 
MAT.1.15	Eliud bi Eleazar di baba. Eleazar bi Matthan di baba niyo; Matthan bi Jacob di baba. 
MAT.1.16	Jacob bi Joseph di baba, Mary di maruka ina rofu Iesu vata niyo kaere roka niyadi bi Keriso.
MAT.1.17	Ye Abraham gutuna deyo David di tutubena bi 14; David gutuna amiye nifeideyadi ma Babylon ri amegamadi di tutubena ka bi 14, ma amiye nifeideyadi ma Babylon ri amegamadi gutuna Keriso vata niyo di tutubena ka bi 14.
MAT.1.18	Ye, Iesu Keriso ini gokai vata niyo bi yomakai. Ini nono Mary bi Joseph nikau reyadi, idu gogo amena koderi bi, ma iniye Vima kikifa di vava dudu rivo niyo.
MAT.1.19	Ma ini nikau rumana Joseph bi mokena rorobo nufa amiye ye ini ura de Mary bi amiye di nemokori ini roka moi no rigo, ye inaike maka suiri nikau reyadi mina ukero vau rego di vonisi mokeyo. 
MAT.1.20	Joseph mina mokegamori, Varika amiye di naivo naivo vima yaduka venari ogau nisi niyo, “Joseph, David di tutubena, Mary yi rema niyainedi bi megi bi ori ga re. Adina mina bi Vima kikifa di vava dudu rivo niyo. 
MAT.1.21	Mina rumana mida moigori, ini roka nigiya bi Iesu
MAT.1.22	Mina tau vakoi vata niyadi bi beika Varika amiye yaku ini ago niyo amiye rofu niyo bi rama aegi: 
MAT.1.23	“Rumanasa varena kode rema yokoi yaku rivo nisi rumana mida odigo, ye ini roka nigedi bi Immanuel” (ini adina bi, “Sei bi unasa”).
MAT.1.24	Joseph dadiyori, Varika amiye di naivo naivo vima yaku niyo kana Mary mesi ini yavari moi dui reyo. 
MAT.1.25	Idu inasa gogo varena de boyo
MAT.2.1	Ma Iesu bi Bethlehem taoni Judea gaganiri vata niyo; ma mina ituari Herod bi kini nisi amegamori, diba vene be meda dadido eta gutuna Jerusalem ri baesi 
MAT.2.2	nikaitegasa diyadi, “Mina mida ruika vata niyo kaere bi Jew vene di kini bi goini? Ini magai meda dadido eta rofu vesi ina nivakegika baeyafa.”
MAT.2.3	Kini Herod mina sina neideyori, uka kenoka yaku no niyo, ma Jerusalem ri amiye tau vakoi ka makai reyadi. 
MAT.2.4	Dada Sei ma amiye utari naivo vene di varika vene ma Sei di ago gira oteimana vene tau vakoi nirutu resi nikaiteyo, “Keriso bi goinari vata nigo?”
MAT.2.5	Ina vene yaku nikabai reyadi, “Bethlehem ri Judea gagani ideri, ini adina Sei di ago niyo amiye yaku bi makai bura reyo:
MAT.2.6	‘Ye ya Bethlehem vene, Judah gaganiri,
MAT.2.6	ga mokefa ya bi Judah di ourefeidena vene keika;
MAT.2.6	ini adina ourefeidena amiye yokoi ya utari baego.
MAT.2.6	Ina bi nai Israel vene fafau ourefeidego.’ ”
MAT.2.7	Ma Herod yaku diba vene sui dudu nikaiteyo beika meda nemoko ramari mina magai ogau niyo ma Herod diba niyo. 
MAT.2.8	Bethlehem ri neyaganedi nifeidegasa niyo, “Nesi mina mida maina rei mona regedi rofu baku regediri, na nioteima, ye na ka nesi ina nivakegida.”
MAT.2.9	Mina niyo neideyadiri, bi dadisi neyadi. Idau neyadiri dudusa mina magai meda dadido eta rofu veyadi. Mina magai yaku ourefeidesi mina mida vareyo sana bere niyo. 
MAT.2.10	Mina magai vegasa ada yaku no iniye niyadi! 
MAT.2.11	Ye yava ideri dui resi mina mida ini nono Mary sa vegasa efuka meimisi nivakeyadi. Resi ini magedi gugura, goro, sisika buni yabo ena roka 
MAT.2.12	Ini gagani dairigika bi ida yokoi moiyadi, ini adina bi Sei yaku yaduka dudu nioteimaro bi Herod rofu dairi ga boyaganedi.
MAT.2.13	Kamini diba vene ferei diyadiri, Varika amiye di naivo naivo vima yaduka dudu ogau nisi Joseph rofu niyo, “Herod bi mina mida umuyegika maina rego, ye dadisi mina mida ma ini nono moigiya ma Egypt urana ori negedi; ye mironari amegedi bogo ya nigida mamo Egypt ferei digedi.”
MAT.2.14	Mina urusari maka Joseph dadisi Iesu ma ini nono afeyo ma Egypt ri neyadi. 
MAT.2.15	Resi mironari amegamadi boyo Herod muyeyo mamo. Mina vata niyo bi beika Varika amiye yaku ini ago niyo amiye rofu niyo kana moi rama aeyo, “Nai mida Egypt gutuna raka niyaka ma yakuyo.”
MAT.2.16	Ye Herod mina diba vene yaku eru reyadi veitao regasa bi gubuyo yaku no niyo. Dadisi ini iya vene ago maro bi rumana mida mida ini lagani remanu ma egona rofu Bethlehem ri ma ini adinari gagani bi umuyei vau reyaganedi. Mina bi diba vene yaku niyadi ma neidesi diba ni mona reyo kana beika meda nemokori mina magai ogau niyo.
MAT.2.17	Makai dudu beika Sei di ago niyo amiye Jeremiah yaku niyo bi rama aeyo:
MAT.2.18	“Gagani roka Ramah ri kukuroka neideyadi,
MAT.2.18	mina kukuroka bi isaka no iniye nigamadi.
MAT.2.18	Rachel
MAT.2.18	muyei vau reyadi dada
MAT.2.18	ini uka de moi amuta reyagane.”
MAT.2.19	Kamini Herod muyeyori, Varika amiye di naivo naivo vima Joseph rofu Egypt ri yaduka dudu ogau nisi 
MAT.2.20	makai niyo, “Dadisi mina mida ma ini nono Israel konori afesi dairi bogiya, mina mida umuyegika reyadi vene muyeyadi dada.” 
MAT.2.21	Ye dadisi Iesu ma ini nono Israel konori afesi boyo.
MAT.2.22	Idu Joseph yaku neideyo Archelaus bi ini baba Herod gaubo resi Judea fafau ourefeidegamo, ye mironari dina ori reyo. Yaduka dudu besa beika reyainedi maro ye Galilee gagani rofu bosi 
MAT.2.23	taoni yokoi roka Nazareth ri amegamo. Ye Sei di ago nidedi vene di ago bi rama aeyo: “Ina bi Nazareth amiye vo nigedi.”
MAT.3.1	Mirona ituari
MAT.3.2	“Yi vegu no feresi moi etagae rifa, adina Sei ini vava nufa omari ourefeidena amena sana bi negau niyo!”
MAT.3.3	Mina bi amiye kaere Sei di ago niyo amiye Isaiah yaku ina rofu makai niyo:
MAT.3.3	“Amiye yokoi di goroka bi gagani autu sanari raka nido,
MAT.3.3	‘Varika amiye di ida dogo resi
MAT.3.3	ini dibo ida moi rorobo rifa!’ ”
MAT.3.4	Ye John di varuka bi kamelo di ueta ma ini gagaba ukita maena bi boromakau di ro. Ini iruku bi kaufa ma kaoro di ona.
MAT.3.5	Kamini Jerusalem vene ma Judea gagani tora noibanu vene ma Jordan koru adinari gagani tau vakoi vene tau ina rofu baegamadi. 
MAT.3.6	Ye ini vegu no niogau regamadi ma Jordan koruri babatiso regamo.
MAT.3.7	Idu John yaku Pharisee vene ma Sadducee vene tau ina rofu babatiso reyainedi baegamadi mina vegasa ina vene rofu niyo, “Ya bi aruma di mida mida kana—kaere yaku ya niyo, ‘Sei di gubuyo baego mina rofu ori diyaganedi’?
MAT.3.8	Mina dada vegu no feresi moi etagae rina vegu iniye yabo meko rama rena kana moi ogau rifa. 
MAT.3.9	Ma ya kaya nigi ga mokefa, ‘Abraham bi uni tutubena.’ Adina ya vene rofu nida, Sei ina diba mina fore dudu Abraham di tutubena rigo!
MAT.3.10	Sei bi yabo meko buni de varededi bi nu makusi ita fafau you bogo. Viro bi yabo daruri sena aeyadi ma yabo neinei meko buni de varededi bi nu makusi ita fafau you bogedi.
MAT.3.11	Na yaku yi vegu no feresi moi etagae rigi koru dudu ya babatiso reida, idu na usi baego amiye ini vava yaku nai vava ebu reyo, ye na bi rorobo de ini yuka ro nurugida. Ina bi Vima kikifa ma ita dudu ya babatiso rego. 
MAT.3.12	Ini witi fotaka utei resi koka rena di fodiya bi ini vanari moi gira resi ini rama bi dobeka gutuna makusi yareyo mina ini yavari aego, idu ini sanika bi kafena de itari ori kamu rego.”
MAT.3.13	Mirona ituari Iesu Galilee gutuna Jordan koruri baeyo John yaku babatiso marainedi. 
MAT.3.14	John nivaigika niyo, “Ya yaku na babatiso regiya bi buni, idu ya bi na rofu baeyo!”
MAT.3.15	Idu Iesu yaku nikabai reyo, “Ya eyouneida ye gua bi ya nida kana re. Mina ida dudu Sei di mokena rorobo tau gade bi moi rama aegifa.” Ye John yaku yo niyo.
MAT.3.16	Iesu babatiso maro ma evade koru ideri gutuna bae iruruka resi ne reyori, bi oma ekeyo ma Sei di Vima bi pune erena kana desi ina fafau rou riyo mina veyo. 
MAT.3.17	Ma goroka yokoi oma gutuna degasa niyo, “Mina bi nai uka maida mida, kaere bi ina rofu ada tora gade reida.”
MAT.4.1	Mirona ituari Vima kikifa yaku gagani autu sanari Iesu afei boyo ma Bodaka yaku no reyainedi vonisi ini uka maina rena nivegika reyo.
MAT.4.2	Meda 40 ri ma urusa 40 ri oyo resi gabi rauna reyo. 
MAT.4.3	Ma uka maina regika nivena amiye yaku baesi ina rofu niyo, “Ya bi Sei di Mida vonisi, bi yomina fore ni kumo iruku niyaine.”
MAT.4.4	Idu Iesu yaku nikabai resi niyo, “Sei di agori bura reyo bi, ‘Amiye bi iruku dudu maka de amebigedi, idu ago neinei Sei di vena yakudedi dudu maka amebigedi.’ ”
MAT.4.5	Kamini Bodaka yaku Jerusalem taoni kikifari afei bosi Sei nivakena yava tebori moi are resi 
MAT.4.6	niyo, “Ya Sei di mida vonisi, ya kaya maku ne, adina Sei di agori bura reyo bi: 
MAT.4.6	‘Sei yaku ini naivo naivo vima ago gira mago ya dada;
MAT.4.6	ma ini vana dudu ya moi odoro regedi,
MAT.4.6	yi yuka foreri de tagi magiya.’ ” 
MAT.4.7	Iesu yaku niyo, “Dudusa bura reyo, ‘Varika amiye yi Sei bi ini uka maina regika ga nive.’ ”
MAT.4.8	Bodaka dudusa omuna ika torari afei bosi ourefeidena amena sana tau mina kono tora noibanuri ini buni vayavayasa oteimasi 
MAT.4.9	niyo, “Ya na nivakegi efuka meimigiya vonisi, bi mina tau vakoi ya magida.”
MAT.4.10	Kamini nikabai resi niyo, “Satani, na rofu etagae ri,
MAT.4.11	Kamini Bodaka feresi diyo ma Sei di naivo naivo vima yaku okisi nari regamadi.
MAT.4.12	Iesu John Baptist moi gira reyadi mina neidegasa dadi bosi Galilee ri neyo.
MAT.4.13	Nazareth feresi Capernaum taoni moka daidai tora Galilee adinari ameyo, Zebulun ma Naphtali di gaganiri.
MAT.4.14	Mina reyo bi beika Sei yaku ini ago niyo amiye Isaiah rofu niyo bi moi rama aegi ma niyo:
MAT.4.15	“Zebulun ma Naphtali gagani
MAT.4.15	bi moka daidai tora idari Jordan koru berou eta rofu,
MAT.4.15	Galilee gaganiri. Ina vene bi tutubena idana vene.
MAT.4.16	Amiye mukunari amededi
MAT.4.16	bi vabara tora veyadi.
MAT.4.16	Ma mukuna kono ma muyena sanari amededi vene
MAT.4.16	ina fafau bi vabara maro.”
MAT.4.17	Ye mirona ituari mamo Iesu ago nirausi regi kora resi niyo, “Yi vegu no feresi moi etagae rifa, Sei di ourefeidena amena sana omari bi atafu okiyo dada.”
MAT.4.18	Iesu Galilee moka daidai tora seriri nana digasa uba dubuisa veyo, Simon (Peter vo niyadi) ma ini usika Andrew, kaere bi koruri fate makugamadi, adina bi oyena rutu vene. 
MAT.4.19	Iesu yaku ina vene rofu niyo, “Na usi baefa ma oyena koda rena kana amiye nirutu rena ya rigida.” 
MAT.4.20	Minari maka ini fate feresi usi diyadi.
MAT.4.21	Minari bogasa bi uba dubuisa James ma John, Zebedee di mida veyo. Ina yaku ini babasa bouti fafau fate veika regamadi. Iesu yaku raka niyori, 
MAT.4.22	bi evade ini baba ma ini bouti feresi usi boyadi.
MAT.4.23	Ye Iesu Galilee gagani tau vakoiri ini usa usa yavari disi oteimasi Sei di ourefeidena amena sana di ago buni nirausi resi gauka tau amiye utari moi buni rigamo.
MAT.4.24	Ye ini beika regamo sina bi Syria gagani torari okuyo, ye mina vene ka ini gauka reyadi vene, esika reyadi vene, yuka vana kevo vene, ini roaitari vima no nufa vene, ma ada gauka vene afei baeyadi—ma Iesu yaku moi buni riyo. 
MAT.4.25	Amiye tau gade Galilee, Decapolis (taoni 10), Jerusalem, Judea gagani, ma Jordan koru di berou eta rofu gutuna dadisi Iesu usi boyadi.
MAT.5.1	Kamini, Iesu yaku usi diyadi vene tau gade vesi omunari bosi ameyo ma ini usi dina vene ka bi ina rofu boyadi. 
MAT.5.2	Ma oteimagasa, makai niyo:
MAT.5.3	“Kaere amiye ina diba ini vimari Sei di gugura buni yokoi de bi ada regedi;
MAT.5.3	adina bi Sei di ourefeidena amena sana omari bi ini!
MAT.5.4	Isaka isaka nidedi vene bi ada regedi;
MAT.5.4	ini adina ini iriyedukari moi ada rego!
MAT.5.5	Kaere bi ave nidedi ada regedi;
MAT.5.5	ini adina bi mina kono noibanu moigedi!
MAT.5.6	Kaere ini ura bi mokena rorobo rofu rauna rededi kana bi ada regedi;
MAT.5.6	adina ina bi moi vata baegedi!
MAT.5.7	Kaere iriyeduka rena vegu rededi vene bi ada regedi;
MAT.5.7	Sei yaku ini iriyeduka ina fafau rego!
MAT.5.8	Kaere uka kino yokoi de nufa bi ada regedi;
MAT.5.8	ini adina Sei vegedi!
MAT.5.9	Kaere uka amuta rededi vene bi ada regedi;
