MAT.1.1	Ибрагьимни наслусундан тувгъан Давутну наслусундан болгъан Исаны тайпа тухуму.
MAT.2.6	шагьарларыны арасында сен инг гиччиси саналмайсан.
MAT.2.6	Неге тюгюл де, исрайыл халкъымны гьайын этеген башчы
MAT.2.6	сенден чыгъажакъ.
MAT.2.7	Шо заман Гьирод, алимлени де яшыртгъын чакъырып, олардан юлдуз не вакъти гёрюнгенин биле. 
MAT.2.8	Алимлени Байтлагьамгъа йибере туруп, о булай дей:
MAT.2.8	– Барып, яшны гьакъында тындырыкълы кюйде билип къарагъыз. Ону гёргенде, магъа билдиригиз, мен де барып Огъар сужда этейим.
MAT.2.9	Пачаны сёзюне тынглап, алимлер ёлгъа тюшелер. Алимлер гюнтувушда гёрген бу юлдуз оланы алды булан юрюп тура, ахырда да яш бар ерни уьстюне гелип токътай. 
MAT.2.10	Юлдузну гёргенде, олар бек сююнелер! 
MAT.2.11	Уьйге гирип, анасы Мариям да булан яшны гёрелер. Олар ерге къапланып, Огъар сужда этелер. Сандыкъларын ачып, Огъар савгъат этип алтын да, эки тюрлю арив ийисли зат да берелер. 
MAT.2.12	Олар тюшюнде Гьиродну янына къайтып бармасын деп буварыв ала, сонг башгъа ёл булан оьз уьлкесине къайталар.
MAT.2.13	Алимлер ёлгъа тюшгенден сонг, Раббибиз йиберген малайик, Юсупгъа тюшюнде гёрюнюп, булай дей:
MAT.2.13	– Тур, яшны да, анасын да алып, Мисриге къач. Мен сагъа айтгъынча, онда тур. Яшны оьлтюрмек учун, Гьирод Ону излемеге сюе.
MAT.2.14	Юсуп туруп, яшны да, анасын да алып, гече булан Мисриге гете. 
MAT.2.15	Гьирод оьлгюнче, Юсуп онда тура. «Мен Уланымны Мисриден чакъырып гелтирдим», – деп пайхаммардан таба Раббибиз айтгъан сёзлер шолай яшавгъа чыгъа.
MAT.2.16	Алимлер оьзюн алдатгъанын гёрюп, Гьирод бек къазаплана. Байтлагьамда да, ону айланасында да тувгъан эки йылгъа ерли чагъындагъы, алимлерден оьзю билген вакътиде тувгъан бары да уланъяшланы оьлтюрсюнлер деп, онда адамлар йибере. 
MAT.2.17+MAT.2.18	Шо заман Еремия пайхаммардан таба айтылгъан булай сёзлер яшавгъа чыгъа:
MAT.2.17+MAT.2.18	Рама деген шагьарда бир сес – йылав да, уллу яс да – эшитиле;
MAT.2.17+MAT.2.18	Рагьил оьзюню яшлары учун яс эте, сабурлукъ этме болмай,
MAT.2.17+MAT.2.18	неге тюгюл олар дагъы ёкъ.
MAT.2.19	Гьирод оьлген сонг, Раббибиз йиберген малайик Мисриде Юсупгъа тюшюнде гёрюне. 
MAT.2.20	О булай дей:
MAT.2.20	– Тур, яшны да, анасын да алып, Исрайыл топурагъына къайт, неге тюгюл яшны оьлтюрме сюегенлер оьзлер оьлгенлер. 
MAT.2.21	Юсуп, туруп, яшны да, анасын да алып, Исрайыл топурагъына геле.
MAT.2.22	Ягьудеяда атасы Гьиродну ерине уланы Аргьелай пача болгъанны эшитгенде буса, Юсуп онда бармагъа къоркъа. Тюшюнде буварыв алып, о Галилеягъа чыгъып гете. 
MAT.2.23	Онда гелип, о Назарет деген шагьарда ерлеше. «Огъар назаретли деп айтылажакъ» деген пайхаммарны сёзлери яшавгъа чыгъа.
MAT.3.1	Шо гюнлерде Ягьия пайхаммар арагъа чыгъып, Ягьудеяны дангылында булай сёйлемеге башлай:
MAT.3.2	– Товба этигиз! Аллагь сизге гьакимлик этежек заман ювукълаша тура! 
MAT.3.3	Ягьияны гьакъында Ешая пайхаммар айтгъан сёз муна шудур:
MAT.3.3	Дангылда биревню гючлю сеси эшитиле:
MAT.3.3	Раббибизге ёл гьазирлегиз!
MAT.3.3	Огъар ёлланы тюз этигиз!
MAT.3.4	Ягьияны тюе юнден этилген опурагъы, белинде къайыш белбаву болгъан. Ону ашы къыр бал ва ченгертки болгъан. 
MAT.3.5	Ону янына Ерусалимден, бютюн Ягьудеядан ва Ёрдан оьзенни айлана якъларындан адамлар гелелер. 
MAT.3.6	Адамлар гюнагьларына мюкюр болалар. Ягьия да оланы, Ёрдан оьзенде сувгъа чомуп, Аллагьгъа тапшура.
MAT.3.7	Ягьия, сувгъа чомуп, оьзлени Аллагьгъа тапшурсун деп янына гелеген бир хыйлы фарисейлени ва саддукейлени
MAT.3.7	– Гьей йыланны наслулары! Аллагьны болажакъ жазасындан къутуларсыз деп сизге ким буварды? 
MAT.3.8	Сиз гертиден де товба этгенигизни гёрсетеген кюйде яшагъыз. 
MAT.3.9	Оьзюгюзге янгыз: «Атабыз Ибрагьимдир», – деп айтмакълыкъ таманлыкъ эте деп ойлашмагъыз. Неге тюгюл де, сизге айтаман: Аллагь Ибрагьимге бу ташлардан авлетлер яратмагъа да бола. 
MAT.3.10	Аллагь балтаны тереклеге тюзлеп тура. Яхшы емиш бермейген гьар бир терек гесилип, отгъа ташланыр.
MAT.3.11	Товба этгенигизни белгиси гьисапда мен сизин, сувгъа чомуп, Аллагьгъа тапшураман, амма менден де къудратлысы гележек. Мен Ону багъынчагъына да гелмеймен. О сизин Аллагьны Ругьуна ва отгъа чомажакъ. 
MAT.3.12	Иннырын тазаламакъ, будайын жыйып, беженине тёкмек учун, Ону къолунда кюреги бар, къувугъун буса сёнмежек отда яндыражакъ.
MAT.3.13	Шо заман Ягьия Оьзюн сувгъа чомуп, Аллагьгъа тапшурсун деп, Галилеядан Ёрдан оьзенге ону янына Иса да геле. 
MAT.3.14	Ягьия:
MAT.3.14	– Сен мени сувгъа чомуп, Аллагьгъа тапшурмагъа герек эдинг, Сен буса мени яныма Оьзюнг гелгенсен! – деп сёйлеп, Ону токътатмагъа сюе.
MAT.3.15	Иса огъар булай жавап бере:
MAT.3.15	– Гьали къой, шолай болсун. Аллагь бизден сюеген затны шолай этербиз.
MAT.3.15	Шо заман Ягьия Огъар рази бола. 
MAT.3.16	Иса сувдан чыгъып гелегенде, кёклер ачылып, Аллагьны Ругьу гёгюрчюндей бир гёрюнюшде уьстюне багъып тюшюп гелегенин гёре ва 
MAT.3.17	кёкден:
MAT.3.17	– Бу Мени сююмлю Уланымдыр. О Мени къуванчымдыр! – деген бир сес чалына.
MAT.4.1	Шондан сонг Аллагьны Ругьу, Исаны иблисге сынатып къарамакъ учун, дангылгъа элте. 
MAT.4.2	Къыркъ гюн ва къыркъ гече бир зат да ашамай тургъандан сонг, Иса бек ач бола. 
MAT.4.3	Ону сынайгъан иблис, ювукълашып, булай дей:
MAT.4.3	– Эгер Сен Аллагьны Уланы бусанг, бу ташлар ашлагъа айлансын деп буюр.
MAT.4.4	Иса огъар булай дей:
MAT.4.4	– Сыйлы Язывларда: «Инсан янгыз бир аш булан яшамас, Аллагьны авзундан чыгъагъан гьар сёз булан яшар», – деп язылгъан.
MAT.4.5	Сонг иблис, Ону сыйлы шагьар болгъан Ерусалимге алып гелип, ибадатхананы инг бийик къалкъысына миндире. 
MAT.4.6	Иблис Огъар булай дей:
MAT.4.6	– Эгер Сен Аллагьны Уланы бусанг, тюпге багъып атыл, неге тюгюл: «Сени сакъласын деп, О малайиклерине буйрукъ этежек» ва «Олар да, аягъынг ташгъа сюрюнмесин деп, сени къолуна гётерип юрюжеклер», – деп язылгъан чы.
MAT.4.7	– «Раббибиз Аллагьны сынама», – деп де язылгъан, – дей Иса огъар.
MAT.4.8	Сонг иблис Ону бир бек бийик тавну башына алып бара, Огъар дюньяны бары да пачалыкъларын ва олардагъы бары байлыкъланы гёрсете. 
MAT.4.9	О Исагъа:
MAT.4.9	– Эгер алдымда ятып, магъа сужда этсенг, буланы барын да Сагъа бережекмен, – дей.
MAT.4.10	Шо заман Иса огъар булай дей:
MAT.4.10	– Ари тай Менден, иблис! «Раббибиз Аллагьгъа да сужда эт ва бир Огъар Оьзюне къуллукъ эт», – деп язылгъан Сыйлы Язывларда.
MAT.4.11	Шо вакъти иблис Ону къоюп гете. Малайиклер шоссагьат гелип, Исагъа къуллукъ этме гиришелер.
MAT.4.12	Ягьияны тутуп туснакъгъа салгъанын эшитгенде, Иса къайтып Галилеягъа геле. 
MAT.4.13	Амма Назаретде токътамай, Зебулунну ва Нафталини ювугъунда Галилея кёлню ягъасындагъы Капернагьум деген юртгъа гёчюп токътай. 
MAT.4.14	Аллагь Ешая пайхаммардан таба айтгъан булай сёзлер яшавгъа чыгъа:
MAT.4.15	Ёрдан оьзенни ари янында, кёлге барагъан ёлдагъы Зебулун
MAT.4.15	топурагъы, Нафтали топурагъы!
MAT.4.15	Ят халкълар яшайгъан Галилея!
MAT.4.16	Къарангылыкъда яшагъан халкъ бир уллу шавла гёрген.
MAT.4.16	Оьлюмню гёленткисини тюбюнде яшагъанлагъа да ярыкъ
MAT.4.16	гёрюнген.
MAT.4.17	Шо замандан тутуп Иса:
MAT.4.17	– Товба этигиз! Аллагь сизге гьакимлик этежек заман ювукълаша тура! – деп билдирмеге башлай.
MAT.4.18	Бир керен Галилея кёлню ягъасындан оьтюп барагъанда, Иса эки агъа инини – Петер деп де айтылагъан Симонну ва ону иниси Андрейни кёлге тор ташлай туруп гёре. Олар балыкъчылар болгъанлар. 
MAT.4.19	Иса олагъа:
MAT.4.19	– Гелигиз! Мени артыма тюшюгюз! Мен сизин балыкъ тутагъанлар тюгюл, инсан тутагъанлар этермен, – дей. 
MAT.4.20	Олар торларын да къоюп, шоссагьат Ону артына тюшелер.
MAT.4.21	Ондан бираз ари бара туруп, Иса дагъы да эки агъа инини – Зеведейни уланы Якъубну ва ону иниси Югьанны гёре. Олар атасы Зеведей де булан къайыкъда торлар ямай тура болгъан. Иса оланы да чакъыра. 
MAT.4.22	Агъа инилер де, къайыкъны ва атасын къоюп, шоссагьат Ону артына тюшелер.
MAT.4.23	Иса, синагогларда Аллагьны каламын англата туруп, Аллагьны гьакимлигини гьакъындагъы бу Сююнч Хабарны билдире туруп, адамланы гьар тюрлю аврувларын ва сыркъавларын сав эте туруп, бютюн Галилеядан айлана. 
MAT.4.24	Ону гьакъындагъы хабар бютюн Суриягъа яйыла. Исаны янына бары да зайыпланы, гьар тюрлю аврувлардан ва сыркъавлардан азап чегип турагъанланы, жинлилени, аврув тутагъанланы, санлары тербенмейген болгъанланы гелтирелер. Иса да оланы сав эте. 
MAT.4.25	Галилеядан, Оншагьардан, Ерусалимден, Ягьудеядан, Ёрдан оьзенни ари янындан да кёп халкъ Ону артына тюше.
MAT.5.1	Халкъны гёргенде, Иса тавгъа чыгъып олтура. Ону янына якъчылары геле. 
MAT.5.2	Оланы уьйрете туруп, Иса булай дей:
MAT.5.3	– Насиплилердир ругь якъдан харлы болгъанлар! Аллагьны гьакимлиги олар учундур.
MAT.5.4	Насиплилердир яслы болгъанлар! Аллагь оланы гёнгюн алажакъдыр.
MAT.5.5	Насиплилердир саламат адамлар! Дюнья оланыки болажакъдыр.
MAT.5.6	Насиплилердир муъминликге ачыгъып сувсайгъанлар! Аллагь оланы тойдуражакъдыр.
MAT.5.7	Насиплилердир рагьмулулар! Аллагь олагъа рагьму этежекдир.
MAT.5.8	Насиплилердир юреги тазалар! Олар Аллагьны гёрежекдир.
MAT.5.9	Насиплилердир ярашывлукъ учун чалышагъанлар! Олагъа Аллагьны авлетлери деп айтылажакъдыр.
MAT.5.10	Насиплилердир Аллагь сюйгенни этгени учун гьызарланагъанлар! Аллагьны гьакимлиги олар учундур.
MAT.5.11	Мени якъчыларым деп сизин хорлап, гьызарлап, сизге гьар тюрлю яла ябагъан заманда сиз насиплилерсиздир! 
MAT.5.12	Сююнюгюз ва къуваныгъыз! Неге тюгюл де, кёклерде сизин уллу савгъат къаравуллагъандыр. Сизден алда болгъан пайхаммарланы да шолай гьызарлагъандыр.
MAT.5.13	– Сиз дюньяны тузусуздур. Амма туз тузлу татывун тас этсе, огъар тузлу татывну не булан бермеге болур? О бир затгъа да ярамайгъан болур. Ону инсанланы аякъ тюбюне ташлар!
MAT.5.14	Сиз дюньяны шавласысыздыр. Тавну уьстюнде къурулгъан шагьар гёрюнмей къалмагъа болмас. 
MAT.5.15	Бирев де янагъан чыракъгъа къаплап савутну салмас. Терсине, уьйдегилеге барына да ярыкъ берсин учун, чыракълыкъгъа салыр. 
MAT.5.16	Сизин шавлагъыз инсанлагъа ярыкъ берсин дагъы. Шолайлыкъда, олар сизин яхшы ишлеригизни гёрер ва сизин кёклердеги Атагъызгъа алгъышлар этер.
MAT.5.17	– Мен Мусаны Къанунун
MAT.5.18	Гертисин сёйлеймен сизге: кёк де, ер де тайып, ёкъ болмай туруп, бары да зат тамамланмай туруп, Къанундан гиччи бир гьарп яда бир гьыз таймажакъ. 
MAT.5.19	Къанундагъы буйрукъланы инг гиччилерини бирин буса да ким бузуп, башгъаланы да шогъар уьйретсе, Аллагьны гьакимлигини тюбюндегилерден о лап гиччиси деп саналажакъ. Къанундагъы буйрукъланы ким кютюп, башгъаланы да шогъар уьйретсе, Аллагьны гьакимлигини тюбюндегилерден о уллусу деп гьисапланажакъ. 
MAT.5.20	Сизге айтаман: эгер сиз Аллагь сюегенни фарисейлерден ва дин алимлерден эсе яхшы кютмесегиз, сиз Аллагьны гьакимлигини тюбюне тюшмежексиз.
MAT.5.21	– Сизин ата бабаларыгъызгъа: «Адам оьлтюрме! Ким оьлтюрсе, шо этген иши саялы дуванны алдында жавап бережек», – деп айтгъанны сиз билесиз. 
MAT.5.22	Сизге айтаман: оьзюню къардашына къаршы къазапланагъан гьар ким дуванны алдында жавап бережек. Ким оьзюню къардашын мысгъылласа, о оьр мажлисни алдында жавап бережек. Ким биревге гьайгев деп айтса, огъар жагьаннемни оту тийишлидир. 
MAT.5.23	Эгер Аллагьгъа этеген къурбанынгны къурбанлыкъны салагъан ерни алдына гелтирген заманда, къардашынгны сагъа хатири къалгъаны эсинге гелсе, 
MAT.5.24	къурбанынгны онда къоюп къой. Бир башлап барып къардашынг булан яраш, сонг къайтып гелип къурбанынгны эт.
MAT.5.25	Эгер де сени бирев дуванханагъа элте буса, ону булан ёлда ярашма къара. Ёгъесе, о сени дуванчыны янына гелтирер, дуванчы сени туснакъчыны къолуна берер, туснакъчы да сени туснакъгъа салар. 
MAT.5.26	Гертисин сёйлеймен сагъа: лап ахырынчы нохуратынга ерли борчунгну бермесенг, сен туснакъдан чыкъмассан.
MAT.5.27	– Сиз: «Зина этме!» – деп айтылгъанны эшитгенсиз. 
MAT.5.28	Мен буса айтаман сизге: къатынгишиге гёз салгъан гиши де юрегинден ону булан зина этген болур. 
MAT.5.29	Эгер онг гёзюнг сени гюнагьгъа тарта буса, ону чыгъарып ташла! Неге тюгюл де, сени бютюн къаркъаранг жагьаннемге тюшгенден эсе, санларынгдан бириси ёкъ болмакълыгъы оьзюнг учун яхшыдыр. 
MAT.5.30	Эгер онг къолунг сени гюнагьгъа тарта буса, ону гесип ташла! Неге тюгюл де, сени бютюн къаркъаранг жагьаннемге тюшгенден эсе, санларынгдан бириси ёкъ болмакълыгъы оьзюнг учун яхшыдыр.
MAT.5.31	«Ким къатынындан айрыла буса, ону булангъы гебини бузулгъанны гьакъында шагьатнама берсин», – деп айтылгъан. 
MAT.5.32	Мен буса айтаман сизге: зинадан башгъа бир себепге гёре де къатынындан айрылагъан адам ону зина этмеге борчлу этедир. Ким эрден айрылгъан къатынны алса, шо оьзю де зина этеген боладыр.
MAT.5.33	– Сиз: «Антынгны бузма! Раббибизни алдында этген антларынгны кют!» – деп айтылгъанны да эшитгенсиздир. 
MAT.5.34	Мен буса айтаман сизге: негьакъ ант этмегиз. Не кёклер булан ант этмегиз, неге тюгюл о Аллагьны тахыдыр. 
MAT.5.35	Не ер булан ант этмегиз, неге тюгюл о Ону аякъ басагъан еридир. Не Ерусалим булан ант этмегиз, неге тюгюл о уллу Пачаны шагьарыдыр. 
MAT.5.36	Башыгъыз булан да ант этмегиз, неге тюгюл сиз бир тюгюгюзню де я акъ, яда къара этип болмайсыздыр. 
MAT.5.37	Сени сёзюнг дюр буса, «дюр», тюгюл буса, «тюгюл» болсун; мундан артыгъы иблисдендир.
MAT.5.38	– Сиз: «Гёз учун – гёз, тиш учун – тиш», – деп айтылгъанны да эшитгенсиздир. 
MAT.5.39	Мен буса айтаман сизге: сагъа яманлыкъ этген гишиге къаршылыкъ этме. Ким сени онг яягъынга ура буса, огъар урма сол яягъыгны да бакъдыр. 
MAT.5.40	Ким сени булан дувангъа тюшюп, гёлегингни чыгъарып алмагъа сюе буса, огъар уьст гийимингни де бер. 
MAT.5.41	Ким сени оьзю булан бир минг абат ёл юрюмеге борчлу эте буса, ону булан эки минг абат ёл юрю. 
MAT.5.42	Эгер сенден бирев бир зат тилесе, бер. Сенден борчгъа алма сюегенден де юзюнгню бурма.
MAT.5.43	– Сиз: «Ювукъларынгны сюй! Душманларынгны буса сюйме!» – деп айтылгъанны эшитгенсиздир. 
MAT.5.44	Мен буса айтаман сизге: душманларыгъызны сююгюз, сизин гьызарлагъанлар учун дуа этигиз. 
MAT.5.45	Шолайлыкъда, сиз кёклердеги Атагъызны авлетлери болурсуз. Неге тюгюл де, О гюнешге яман адамланы да, яхшы адамланы да уьстюнде тув деп буйрукъ этедир, муъмин болгъанлар учун да, гюнагьлылар учун да янгур явдурадыр. 
MAT.5.46	Эгер сиз янгыз оьзюгюзню сюегенлени сююп къойсагъыз, сизге Аллагь не учун савгъат бермеге болур? Ясакъчылар да шолай этмейми дагъы? 
MAT.5.47	Сиз янгыз къардашларыгъызгъа илиякълы бола бусагъыз, онда башгъа тамаша къалдырардай не зат бар дагъы? Имансызлар да шолай этмейми дагъы? 
MAT.5.48	Кёклердеги Атагъыз нечик камил буса, сиз де шолай камил болугъуз.
MAT.6.1	Иса булай давам эте:
MAT.6.1	– Вёрегиз, муъмин ишлеригизни адамлагъа гёрсетип айланмагъыз, ёгъесе кёклердеги Атагъыз сизге тийишлисин бермес. 
MAT.6.2	Садагъа этеген заманда, халкъны алдында макътав къазанмакъ учун, экиюзлю адамлар синагогларда да, орамларда да этеген кюйде, гьогьой этип айланма тарыкъ тюгюл. Гертисин сёйлеймен сизге: олар тийишлисин алгъандыр. 
MAT.6.3	Сен пакъырлагъа садагъа береген заманда сол къолунг онг къолунг не этегенни билмесин. 
MAT.6.4	Береген садагъанг яшыртгъынлыкъда къалсын, яшыртгъынлыкъны гёреген Атанг да сагъа тийишлисин бережек.
MAT.6.5	– Дуа этеген заманда экиюзлюлер йимик болма. Адамлагъа гёрюнмек учун, олар синагогларда да, орамланы буччакъларында да токътап дуа этмеге сюелер. Гертисин сёйлеймен сизге: олар тийишлисин алгъандыр. 
MAT.6.6	Сен буса дуа этеген заманда, уьюнге гирип, эшигингни де бегитип, гёзге гёрюнмейген Атанга дуа эт. Гёзге гёрюнмейгенни де гёреген Атанг да сагъа тийишлисин бережек.
MAT.6.7	Дуа этегенде, имансызлар йимик бош сёзлер сёйлеп турма. Кёп сёйлесе, олар Аллагь оьзлени эшитежек деп ойлайлар. 
MAT.6.8	Олагъа ошамагъыз. Сиз Оьзюнден тилегинчокъ да Атагъыз сизге не тарыкъны биледир. 
MAT.6.9	Сиз булай дуа этигиз:
MAT.6.9	Гьей кёклердеги Атабыз!
MAT.6.9	Инсанлар Сени сыйлы атынгны гьюрметлесин дагъы.
MAT.6.10	Сени гьакимлигинг токъташсын дагъы.
MAT.6.10	Кёкде йимик, ерде де Сени айтгъанынг болсун дагъы.
MAT.6.11	Бугюн бизге гюнлюк азыгъыбызны бер.
MAT.6.12	Бизин гюнагьларыбыздан геч!
MAT.6.12	Бизге яманлыкъ этгенлерден барындан да биз де гечебиз.
MAT.6.13	Бизин артыкъ сынавлагъа салма, иблисден де бизин сакъла.
MAT.6.14	Башгъаланы гюнагьларындан гечсегиз, кёклердеги Атагъыз да сизин гюнагьларыгъыздан гечер. 
MAT.6.15	Эгер башгъаланы гюнагьларындан гечмесегиз, Атагъыз да сизин гюнагьларыгъыздан гечмес.
MAT.6.16	– Ораза тутагъан заманда экиюзлюлер йимик мунглу болмагъыз. Ораза тутагъанын башгъалагъа гёрсетмек учун, олар бетлерин мунгайталар. Гертисин сёйлеймен сизге: олар тийишлисин алгъандыр. 
MAT.6.17	Сен буса ораза тутгъанда, башынга май сюртюп, бетингни жув. 
MAT.6.18	Шолайлыкъда, ораза тутагъанынгны башгъалагъа гёрсетмейген боларсан. Яшыртгъынлыкъдагъы Атанг ораза тутгъанынгны гёрежек. Яшыртгъынлыкъда этилеген бары да затны гёреген Атанг да сагъа тийишлисин бережек.
MAT.6.19	– Дюньяда оьзюгюзге байлыкълар жыймагъыз. Мунда оланы гюе де тийип, тот да ашап бузар яда уьюгюзге уручулар гирип урлар. 
MAT.6.20	Оьзюгюзге кёклерде байлыкъ жыйыгъыз. Онда оланы не гюе тийип, не тот ашап бузмас, неде уручулар урламас. 
MAT.6.21	Неге тюгюл де, байлыгъынг къайда буса, юрегинг де шонда болур.
MAT.6.22	Гёз къаркъара учун бир чыракъ йимикдир. Эгер гёзлеринг сав буса, къаркъаранг да бютюнлей ярыкъдан толур. 
MAT.6.23	Эгер гёзлеринг бузукъ болса, къаркъаранг да къарангылыкъдан толур. Демек, сени ичингдеги ярыкъ къарангылыкъ буса, шо къарангылыкъ нечик уллудур дагъы!
MAT.6.24	Бирев де бир вакътини ичинде эки гьакимге къуллукъ этме болмас: о бирин сюежек, башгъасын буса сюймежек; я бирине амин болажакъ, башгъасына буса намартлыкъ этежек. Сиз де эки затгъа – Аллагьгъа да, байлыкъгъа да бирче къуллукъ этме болмассыз.
MAT.6.25	Шогъар гёре сизге айтаман: яшамакъ учун не ашажагъыгъызны, не ичежегигизни, чархыгъыз учун не гиежегигизни де гьайын этмегиз. Яшав ашдан, чарх да опуракъдан артыкъдыр. 
MAT.6.26	Кёкдеги къушлагъа бир къарагъыз чы: олар не чачмайлар, не ормайлар, неде жыйып беженлеге тёкмейлер. Сизин кёклердеги Атагъыз оланы ашатып сакълай. Сиз къушлардан хыйлы да артыкъ тюгюлмюсюз дагъы? 
MAT.6.27	Башыгъызгъа къайгъы этмек булан къайсыгъыз оьмюрюгюзню бираз сама да узатып болажакъсыз?
MAT.6.28	Опуракъны да не учун къайгъысын этесиз? Авлакъ чечеклени нечик оьсегенине бир къарагъыз чы: не загьмат тёкмейлер, неде йип ийирмейлер, 
MAT.6.29	амма сизге айтаман: Сулайман оьзюню инг макъталгъан заманында да оланы бири йимик де гийинмеген. 
MAT.6.30	Эгер бугюн авлакъда оьсюп, тангала ялламагъа ташланып къалагъан отну сама Аллагь шолай гийиндиреген болгъан сонг, гьей имандан языкълар, сизин дагъы да артыкъ гийиндирмежекми?
MAT.6.31	Шолайлыкъда: «Биз не ашайыкъ?», яда: «Не ичейик?», яда: «Не гиейик?» – деп дагъы къайгъы этмегиз ва сёйлемегиз. 
MAT.6.32	Бу дюньяны бары да имансыз халкълары шоланы гьайын этип айланалар. Кёклердеги Атагъыз буса сизге шолар бары да тарыкъ экенни биле. 
MAT.6.33	Инг башлап Аллагьны гьакимлигине таби болмагъа ва О сюегенни этмеге къаст этигиз. Къалгъан затланы барысын да сизге О Оьзю бережек. 
MAT.6.34	Шогъар гёре тангалагъы гюнню гьайын этмегиз! Тангалагъы гюн оьзюню къайгъысын оьзю этежек: гьар гюнге оьзюню аварасы таманлыкъ эте.
MAT.7.1	Иса булай давам эте:
MAT.7.1	– Башгъаланы айыпламагъыз, Аллагь сизин де айыпламас. 
