GEN.1.1	Co'na' ñaqai chita'gue ỹo'uet ná'ogue ñi qota'olec, ca 'au ỹo'uet na piguim chaqai na 'laua. 
1KI.22.34	Qam so 'óna chi ỹahinec aso lo'xoso, ca taachiguilo naua lqodoco saua nalauataxaqui' so nashi quiyi Israel, ca' que'maaxaic. Ca' so nashi 'naapego' so lahoglena lo'o quiyim ỹoỹootec aso lahoglena:
1KI.22.34	—Shaxañirec ana qarahoglena, chaqai naqachirec aỹim quena lauataq, ma' ỹaatqajam ỹim que'maaxaic.
1KI.22.35	Ca' so lauataq ỹaatqajam chalego lquesaxanaxa queso na'xa'a, ca' so nashi qanachaalataxantañi caso lahoglena quiyim qareloqota'guit so Siria laseripi. Qam na' lavit, ca' ileu, ca na leuoripi i'paxañigui so lco'ỹaxala' aso lahoglena. 
1KI.22.36	Ca co'na' mashic sham inoxonñi aca ra'aasa, ca qaỹa'ue la'xaỹaxac so nalliripi, qohinaco':
1KI.22.36	—¡Quiñi 'óna pila'a ca la'a' quecá'maq chi na'laua, 
1KI.22.37	ma' yi qarashi mashic ileu!
1KI.22.37	Ca' so nashi qaỹodo queda Samaria. Ime, ca' qaishinñi. 
1KI.22.38	Ca co'na' ime, ca' qaỹauegaxasom aso nahoglena cañi huaxaỹaq lahi' quiyi Samaria, yí'maq nachilqa'o' quen ana 'aalo nanatqa lo'o'. Ca' so pioxoripi colli' saua leuo' so Acab. Ca' taachigui dá'maq 'naaco' na'le ñi qara'gaxala'.
1KI.22.39	Ca sá'ogue so na'qaataxac chaqai ná'maq ỹo'ueeto' na'le so Acab chaqai quesó'maq lauo' lodegaxat chicqaugui ana loue ana ladocoloue chaqai na na'aateripi no'xonshiguim qoỹeretalec aso lere naneraxalate sá'ogue so nashillipi quiyi Israel. 
1KI.22.40	Ca co'na' ileu so Acab, ca' qoỹano quiyim nashi so llaalec Ocozías.
1KI.22.51	Ca' quesaua diecisiete ñaxari ro'ueenataxantac so nashi Josafat só'maq nashi quiyi Judá, ca so Ocozías, só'maq llaalec so Acab, taañi ro'ueenataxan quiyim nashi quiyi Israel, neeta'ñi yi Samaria. Ca' nashi quesaua dos ñaxari. 
1KI.22.52	Qam ỹo'uet dá'maq se no'uen quiñi qara'gaxala', ma' ỹo'uet dá'ogue dá'maq ỹo'ueetetac na'le so leta'a Acab chaqai aso late'e Jezabel, chaqai so Jeroboam só'maq llaalec so Nabat, só'maq ỹo'uet quiyim 'ue ca lasauaxaset na llaalqaipi so Israel. 
1KI.22.53	Chaqai so'maxare huelec so nashiilec nqolac Baal, chaqai nqouagaxainot, 'nejem dá'maq 'ne'tegue na'le so leta'a. Vichiguiño' ỹaatqajam ro'o nqai'en na'le ñi qara'gaxala' ñí'maq qota'olec queso Israel.
2KI.1.2	Ca 'uo' so na'xa'a, ca' so Ocozías najño', chicqoshi'ma añi nqote ñi pa'aashiguim lauo' quiyi la'a' lodegaxat na'ñi yi Samaria, ca' ỹaatqajam coñirqatam. Ca co'na'le, ca ỹa'uo' so lelaatec quiyim renataxana so lashiilec lqolac Baal-zebub, qohinac qota'olec quiyi Ecrón, ma' ỹahotaque ỹa'den quiyim imeuec ma'le. 
2KI.1.3	Qam so lelaatec piguim le'ec ñi qara'gaxala' 'naaco' queso Elías só'maq na'ñi yi Tisbe:
2KI.1.3	—Mo'e', naxachira'guit na lelaatqaipi ñi nashi ñí'maq na'ñi yi Samaria. Ca nachi'o' ma'le, 'ñiraco': ¿Peeta'a qaica ca qota'olec quena la'a' na llaalqaipi so Israel, vichiguiño' qarenataxana quen ñi nashiilec nqolac Baal-zebub ñí'maq qohinac qota'olec quiyi Ecrón? 
2KI.1.4	Chaqai 'ñirapega qai'neeta quiyim ỹim na'gaxala' da ỹa'qaatec quiñi Ocozías 'neetasa' quiyim totqai ñishiguim ma'le queca lomala', ta'ta'a quiyim ileu.
2KI.1.4	Ca' so Elías eec, ca' ỹo'uet dajo. 
2KI.1.5	Qam so nelaatqaipi co'na' rapila so nashi, ca' so nashi inatetaco' so qomyipi, 'naaco':
2KI.1.5	—¿Chi'neco' ma' rapilliuo?
2KI.1.6	Ca' so qomyipi 'naaco':
2KI.1.6	—'Ue so qom ỹanaxatoxoguit, ca 'naac coqomi' quiyim yapilaxa cá'maq nashi qarela', ca' shinqapega da 'naac ñi qara'gaxala', 'neetasa': ¿Qaico' ca qota'olec quena Israel quiyim qami' laataxañita quiyim qainat ca nashiilec nqolac Baal-zebub, cá'maq qohinac qota'olec quiyi Ecrón? Ca' quedajo 'viichi', ca' tot ne'laxachirishiguim quena romalachi', ta'ta'a quiyim rillivi'.
2KI.1.7	Ca' so nashi inato' so qomyipi:
2KI.1.7	—¿Negue' cá'maq 'neeto' cá'maq no'ueenataxac cajo ỹale cá'maq ỹanaxata'guita qamiri, ca 'naac dajo?
2KI.1.8	Ca saua'maxare 'neraco':
2KI.1.8	—So ỹale isecỹac loshicmaxa saua loho, chaqai loshicmaxa so nosaataxaqui.
2KI.1.8	Ca' so nashi ỹaualaq, ca 'naaco':
2KI.1.8	—¡Chaqaica ca Elías cá'maq na'ñi yi Tisbe!
2KI.1.9	Ca chaqa'ma' ila' so nouaataxanaq lashi chaqai so cincuenta nalliripi. Ca co'na' ỹovi' so qomyipi, ca' so Elías nqa'xantañi cana roto aso quemaralec qa' ladocai. Ca' so nouaataxanaq lashi 'naaco' queso'maxare:
2KI.1.9	—¡Qami' netaxaỹaxaqui, ñi qarashi 'naac quiyim renochirec!
2KI.1.10	Ca' so Elías 'naaco':
2KI.1.10	—No'm ỹim letaxaỹaxaqui ñi qota'olec, ca' nagui, ca' najñi ca norec chicqashiguim, ca ỹavigaxat qami' chaqai na nallichi'ipi.
2KI.1.10	Ca' so norec chaqa'ma' najñi queda piguim, ca sá'ogue ỹavicañi nqai'en so qomyipi.
2KI.1.11	Ca' so nashi lotqai liỹa ila' so liỹa nashi chaqai so cincuenta nalliripi, ca so qomyipi eec, quepegue' so Elías. Ca 'naaco':
2KI.1.11	—¡Qami' netaxaỹaxaqui, ñi qarashi 'naac quiyim chaqa'ma' nenochiriñi!
2KI.1.12	Ca' so Elías 'naaco' queso'maxare:
2KI.1.12	—No'm ỹim letaxaỹaxaqui ñi qota'olec, ca najño' ca norec quena piguim, ca ỹavigaxat qami' chaqai na cincuenta nallichi'ipi.
2KI.1.12	Ca chaqa'ma' najñi so norec, ca ỹavicañi nqai'en sá'ogue so qomyipi.
2KI.1.13	Ime, ca' so nashi lotqai liỹa ila' so nouaataxanaq lashi, liỹaatac so cincuenta nalliripi. Qam sojo nouaataxanaq lashi ỹaatqajam quiishi'ma so Elías quiyi neeta'ñi. Ca co'na' ỹovishi'ma, ca' ỹa'dooto naua le'cootal, ca ne'xoresene'tot, 'naaco':
2KI.1.13	—Qami' netaxaỹaxaqui, qouaquiric richillira'a da ñachaalataxac chaqai na cincuenta relaataxai'ipi. 
2KI.1.14	Ma' 'au najñi so norec quena piguim, ca' ỹaviquerañi nqai'ne' saua dos nouaataxanaq lashil chaqai so nalliripi. Qam ỹim ñi'xoresene'tot qami' quiyim qouaquiric.
2KI.1.15	Co'na'le, ca' so lelaatec piguim le'ec ñi qara'gaxala' 'naaco' queso Elías:
2KI.1.15	—Mo'e', quitegue, totaxan ro'chi'i'.
2KI.1.15	Ca' so Elías nenojñi, ca' quegue so nouaataxanaq lashi qaỹauega'a so nashi. 
2KI.1.16	Ca 'naaco':
2KI.1.16	—Da la'qaatec ñi qara'gaxala' 'neetasa': Ma' mashic vite ca relaachiqui' quiyim renataxana ñi Baal-zebub, ñí'maq qohinac qota'olec quiyi Ecrón, ta'ta'a quiyim 'eco' sqaica qota'olec nqai'ñi' quena Israel quiyim qainat, vichiguiño' nagui, ca' tot ne'laxachirishiguim quena romalachi', ma' rillivi'.
2KI.1.17	Ca' chaqaida 'neeta, ca' so Ocozías ileu, ma' 'naaco' ñi qara'gaxala' queso Elías. Qam ma' so Ocozías qaica ca llaalec, ca' qoỹano quiyim nashi so lqaỹa Joram. Ca' dajo viichigui na' ỹovite' saua dos ñaxari quiyim nashi so llaalec so Josafat, leenaxat Joram, nashi quiyi Judá.
2KI.1.18	Ca dá'maq liỹa na'qaataxac so Ocozías chaqai quedá'maq ỹo'ueeto' na'le, qoỹeretañi caso lere naneraxalate na nashillipi quiyi Israel.
2KI.2.1	Ca co'na' ỹovita ca laloqo' quiyim ñi qara'gaxala' ỹahotaque i'xategue da piguim so Elías queetougui nqai'en aso la'taxanaxa. Ca' so Elías chaqai so Eliseo que', quere'e yi Gilgal. 
2KI.2.2	Ca' so Elías 'naaco' queso Eliseo:
2KI.2.2	—Qovire'e quenajo, ma' ñi qara'gaxala' yilategue da Betel.
2KI.2.2	Qam so Eliseo 'naaco' queso'maxare:
2KI.2.2	—Saanot da ỹa'qaatec ñi qara'gaxala' chaqai qami' quiyim se ñodaqajñiterec qaqamite'.
2KI.2.2	Ca que', niỹareta'pe taategue da Betel. 
2KI.2.3	Qam só'maq netaxaỹaxaquiripi na'ñi yi Betel naxata'guit so Eliseo, ca qohinapego':
2KI.2.3	—¿Mashic 'yiiñi'o' quiyim ñi qara'gaxala' quiyim nagui quena na'xa'a ỹahotaque ỹaconsop so napaxaguinatqochi'?
2KI.2.3	—Ajá'a, shi'gue sa'den —'naaco' so Eliseo—, qam qamiri qaico' ca 'ñiỹac.
2KI.2.4	Ime, ca' so Elías lotqai 'naaco' queso Eliseo:
2KI.2.4	—Qovire'e najo, ma' ñi qara'gaxala' yilategue da Jericó.
2KI.2.4	Qam so Eliseo 'naaco':
2KI.2.4	—Aỹim saanem ñi qara'gaxala' da ỹa'qaatec chaqai qami' quiyim se ñodaqajñiterec qaqamite'.
2KI.2.4	Ca co'na'le, ca lotqai que' nauequetecta' taategue da Jericó. 
2KI.2.5	Qam so netaxaỹaxaquiripi na'ñi yi Jericó naxata'guit so Eliseo. Ca qohinaco' queso'maxare:
2KI.2.5	—¿Mashic 'yiiñi'o' quiyim ñi qara'gaxala' quena na'xa'a ỹahotaque ỹaconsop so napaxaguinatqochi'?
2KI.2.5	—Ajá'a, shi'gue sa'den —'naaco' so Eliseo—, qam qamiri qaico' ca 'ñiỹac.
2KI.2.6	Ime, ca lotqai 'naaco' so Elías queso Eliseo:
2KI.2.6	—Qovire'e quenajo, ma' ñi qara'gaxala' yilata aso lachiugue Jordán.
2KI.2.6	Qam so Eliseo 'naaco' queso'maxare:
2KI.2.6	—Saanec da ỹa'qaatec quiñi qara'gaxala' chaqai caqami' quiyim se ñodaqajñiterec qaqamite'.
2KI.2.6	Ca co'na'le, ca que', niỹareta'pe. 
2KI.2.7	Qam cincuenta so netaxaỹaxaquiripi eec, co'uajlgoto saua'maxare. Qam ñaqai ỹoxalom saua'maxare, ca' hua'e so qomyipi quiyi nalootere'oga. Ca' so Elías chaqai so Eliseo huere'e, hueeso'ot na lqodoc aso lachiugue Jordán. 
2KI.2.8	Ca co'na'le, ca' so Elías icona so lapo', inanta', ca' ỹouaxanñigui so huaxaỹaq. Ca' so huaxaỹaq shicchigui. Ca saua'maxare paquera'ta aso lachiugue, rashivichigui. 
2KI.2.9	Ca co'na' ime paquera'ta, na' ỹovirereta, ca' so Elías 'naaco' queso Eliseo:
2KI.2.9	—Nagui sahotaque 'ñirapiguiỹa' negue' cá'maq vi'saque quiyim so'uet caqami', tomaq saqa' qaỹoỹoote'oga ỹim caqami'.
2KI.2.9	Ca' so Eliseo 'naaco':
2KI.2.9	—Ỹim sahotaque quiyim nañaañirim dá'ogue da rquesaxanaxa'e' quiyim aỹim letaxaỹaxaqui ñi qota'olec.
2KI.2.10	Ca' so Elías 'naaco':
2KI.2.10	—Ỹaatqajam sqai cocho'qui' da shiilaxañisaque. Qam no'm huañitetegue aỹim ma' qaỹoỹoote'oga aỹim caqami', ca' qoỹaañiraxorom. Qam no'm sqai huañitegue aỹim, ca' se qoỹaañiraxorom.
2KI.2.11	Ca saua'maxare ñaqai queete', retaqatecta'. Ca' chi re'laqataxanta quiyim qaiuañi'chiguit aso nahoglena ỹaviquetaugui, ca' saua lo'ol shipga' qai'neeta ỹaviquetauguilo, ca iuagaxachiguilo saua ỹale'. Ca' so Elías taashiguim queda piguim, queetougui aso la'taxanaxa. 
2KI.2.12	Ca co'na' iuanchigui dajo so Eliseo, ca ỹaualqo', 'naaco':
2KI.2.12	—Qami' ita'a, qami' ita'a. 'Ñiisari' quen ca 'ñaaxaic nalauataxairipi quena llaalqaipi so Israel.
2KI.2.12	Ca co'na' ime dajo, ca' tot iuanegue so Elías.
2KI.2.12	Ca' so Eliseo ỹaatqajam nasectaqta'ahi saua loho queda le'xoric. 
2KI.2.13	Co'na'le, ca' so Eliseo ỹacono' so lapo' so Elías najño' na' taashiguim, ca pilaxaso'ma aso lachiugue. Ca na' ỹovitot na lahi, ca' hua'e. 
2KI.2.14	Ca co'na'le, ca so'maxare ỹouaxanñigui so huaxaỹaq queso nepo'. Ca' netenegue da la'qaatec, 'naaco':
2KI.2.14	—¿Hueeta'gue ca qara'gaxala', cá'maq qota'olec queso Elías?
2KI.2.14	Ca na' chi ỹouaxanñigui so huaxaỹaq queso nepo', ca' shicchigui so huaxaỹaq. Ca' so Eliseo liỹa paca'ta aso lachiugue. 
2KI.2.15	Ca' so netaxaỹaxaquiripi na'ñi yi Jericó ñaqai hueeta'ta'gue da liỹa lemanaxa. Co'na' ỹauanchigui dajo, ca 'naaco':
2KI.2.15	—¡Ñaqai 'ajñii da lquesaxanaxa so Elías ta'ñigui so Eliseo!
2KI.2.15	Ca co'na'le, ca so qomyipi ca'guit, ca' ỹa'dooto naua le'cootal. 
2KI.2.16	Ca' qohinaco' queso'maxare:
2KI.2.16	—'Ajñi', qomi' nallichi'ipi, qomi' cincuenta 'ñaaxaiquipi. 'Maxariñite' quiyim sedaanqaque ca napaxaguinqochi', ma' sqoue quiyim so ne'espíritu ñi qota'olec i'xajshiguim, ca 'ue ca inaxalec cana quemaralec qa' ladocai, loqo'm ca no'ueenaxa.
2KI.2.16	Qam so'maxare 'naaco':
2KI.2.16	—'E', qaico' ca larii.
2KI.2.17	Qam ỹaatqajam 'xoic da nepagaxallic, ca vire'to' na' qaila' so cincuenta ỹalliripi. Ca' so qomyipi idaantaque so Elías quesaua tres na'xata', qam se qoỹanata. 
2KI.2.18	Ca' pila yi Jericó yí'maq hueeta'ñi so Eliseo. Ca so'maxare 'naaco' queso qomyipi:
2KI.2.18	—Cha'ma' shi'gue shinac caqamiri quiyim sqo quii.
2KI.4.8	Ca 'uo' so na'xa'a quiyim so Eliseo quejlec yi Sunem, ca 'uo' aso 'aalo nesallaxana na'ñi yi Sunem ỹaatqajam 'xoic da lepagaxallic quiyim lqui'ỹaaqa' yi la'a'. Ca co'quena' que'tegueyi so Eliseo, ca lotqai lqui'ỹaaqa' yi la'a' aso'maxare. 
2KI.4.9	Ca aso'maxare 'naaco' queso loua:
2KI.4.9	—'Ajñi', ỹim sa'den quiyim sotaq ỹale noviretapego' quen quena qara'a', so'maxare só'maq ỹaatqajam co'teeta letaxaỹaxaqui ñi qota'olec. 
2KI.4.10	'Maxaraic quiyim so'ueetaq ca liỹa 'imec pa'aashiguim quena qouo'. Ca ma'le, ca sahoqe ca sellaqaugui nomala', nqui'ỹaxala', qa'xanaxaqui chaqai ncoỹeraxanaxaqui, qaiyi ma' ỹovi' ca na'xa'a quiyim liỹa novi' na'piichalo qomi', ca naugui nqaishinaq.
2KI.4.11	Ca 'uo' so na'xa'a quiyim sojo ỹale ỹovita quiyim la'qaugui so 'imec. 
2KI.4.12	Ca' so Eliseo 'naaco' queso lelaatec leenaxat Giezi:
2KI.4.12	—Ñaqai ỹaxañire'oga aca 'aalo la'a' najo.
2KI.4.12	Ca' so lelaatec roỹaxane'oga aso 'aalo. Ca co'na' ỹoviro aso'maxare, ca' so Eliseo 'naaco' queso lelaatec:
2KI.4.13	—Mo'e', quirepegue' ada 'aalo, ma' ada'maxare ỹaatqajam qouagaxanqachaqai coqomi', quiyim no'm 'ue ca shinqa'tegue quiyim sotauanaq, no'm ỹa'maxarenta qarqouaca'gue quiyim setaxaỹaxalec quiñi nashi loqo'm quiñi nouaataxanaq lashi.
2KI.4.13	—Ỹim ya'maqachiguiñi quená'maq chi iuo' laseripi —'naaco' aso'maxare.
2KI.4.14	—Qam nagui ¿nega'ỹo' cá'maq so'ueetaq caso'maxare?
2KI.4.14	—'Taque' —'naaco' so Giezi—. Ma' so'maxare qaica llaalec, chaqai ñí'maq loua mashic qo'xoỹom.
2KI.4.15	—Oỹaxañira'pegue' —'naaco' so Eliseo.
2KI.4.15	Ca' so lelaatec roỹaxana'pegue' aso'maxare, qam aso'maxare na' ỹovita ñi lasom, ca' hua'e. 
2KI.4.16	Ca co'na'le, ca' so Eliseo 'naaco' caso'maxare:
2KI.4.16	—Quena liỹa ñaaxa, ca' 'ue ca qachaalqui' ma' ỹovire'oga najo na'xa'a.
2KI.4.16	Ca aso'maxare 'naaco':
2KI.4.16	—'E', qami' ỹa'gaxala', se yayiñi', ma' qami' nale ñi qota'olec.
2KI.4.17	Qam quedá'maq 'naac so Eliseo ỹaatqajam ipaquichigui. Ca' aso'maxare 'man, ca' queso liỹa ñaaxa, ca' ne'qaañi so llaalec. 
2KI.4.18	Ca' so noctoqui' noquiiquetashiguim da llaxataxac. Qam 'uo' so na'xa'a, ca eec ra'ajnaxane'oga so leta'a hueeta'oga so naqataxanyipi. 
2KI.4.19	Ca so'maxare ỹaualqatac, 'naaco':
2KI.4.19	—¡'Agai, ỹaatqajam sevichigui na iqahic!
2KI.4.19	Ca co'na'le, ca' so leta'a 'naaco' queso lelaatec:
2KI.4.19	—Viquira'a aca late'e.
2KI.4.20	Ca só'maq lelaatec ỹauega'a ca neeta'ñi aca late'e, ca' nqa'xanlgoto nqai'en naua loteletari, chi ỹovireta'a so na'xa'a lavinñi. Ca co'na'le, ca' so noctoqui' ileu. 
2KI.4.21	Qam aso'maxare taashi'ma so pa'aashiguim lauo' so qota'olec letaxaỹaxaqui, ca illaalec so lomala', ca' inoxonec, pootagui nqai'en ca lasom. 
2KI.4.22	Ca na' ime roỹaxane'oga so loua, ca 'naaco':
2KI.4.22	—Nelachiro ca relaachiqui' quiyim nauego aca 'ashina, qaiyi shicpegue' ca qota'olec letaxaỹaxaqui. Ime, ca' yapil.
2KI.4.23	—¿Chi'negue ma' quirepegue' nagui? —renataxano' so loua—. Ma' sqai dalaxaic ñi shiraigo chaqai se co'mataxaqui najo na'xa'a.
2KI.4.23	—Qaica huapigui qavilli' —'naaco' aso'maxare.
2KI.4.24	Ca' relaataxanlec quiyim qaỹo'uejlec aso 'ashina, ca 'naaco' queso lelaatec:
2KI.4.24	—Qolaq, qolqata, sqai vire'e toco' ma' ỹovita quiyim 'ue ca shinac caqami', 'neeto' 'viichi' quiyim seu'e.
2KI.4.25	Ca' quedajo, ca so'maxare eec. Ca' chi ỹovireta'a ada qa' ladocai leenaxat Carmelo yí'maq neeta'ño' so letaxaỹaxaqui ñi qota'olec. Ca co'na' ñaq qoỹoqo'chiguit, ca so Eliseo iuañi'chiguit, ca' 'naaco' queso lelaatec Giezi:
2KI.4.25	—'Ajñi', chaqana ana 'aalo na'ñi yi Sunem. 
2KI.4.26	Ni'guiñite' quira'guit, ca' nachi' negue' cá'maq 'neetari', chaqai negue' cá'maq 'neetari' ca loua chaqai ca llaalec.
2KI.4.26	Ca' so nelaatec eec, ca aso'maxare 'naaco' quiyim ỹa'maqachiguiñi. 
2KI.4.27	Ca co'na' ime, ca ỹovita aso qa' ladocai yí'maq neeta'ño' so Eliseo, ca' qa'aalouguilo naua lichil. Ca nqo'neuo' so Giezi, ma' ỹahotaque ỹoỹootec. Qam so Eliseo 'naaco' queso'maxare:
2KI.4.27	—'Xañirac, 'anta, 'xoic da le'xoric, qam nagui saqa'leca ca 'naac ñi qara'gaxala' caỹim, negue' cá'maq 'neeta dajo.
2KI.4.28	Ca co'na'le, ca' asó'maq 'aalo 'naaco':
2KI.4.28	—Qami' ỹa'gaxala', ca' ¿ỹimo' ná'maq sashiila'e' na'le quiyim 'ue ca ỹaalec? ¿Mesqai sashiila'e' na'le qami' quiyim se yayiñi'?
2KI.4.29	Ca co'na'le, ca' so Eliseo 'naaco' queso Giezi:
2KI.4.29	—Na'maxachiriñi, coñichiguit ana ỹashilete, ca' 'itegue da'maxare. Ca no'm 'ue ca nachiñira'guit, totaxan quiñi'o'. Chaqai no'm 'ue ca riquiñi', totaxan saachichiguito'. Ime, ca' ana ỹashilete lli'relec na lashic ca noctoqui'.
2KI.4.30	Qam asó'maq late'e so noctoqui' 'naaco' queso Eliseo:
2KI.4.30	—Saanot da ỹa'qaatec ñi qara'gaxala' chaqai qami', quiyim sqa shique'e najo, no'm sqo qui'.
2KI.4.30	Ca co'na'le, ca' so Eliseo quegue aso 'aalo. 
2KI.4.31	Ca só'maq Giezi 'aueta quesaua'maxare. Ca co'na' ỹovi', ca' illilec na lashic so noctoqui' aso nashilete. Qam so'maxare qaica quet cá'maq netanec quiyim liỹa quet nca'leuec. Ca' so Giezi pilliguit so Eliseo. Ca co'na' ỹovichiguit, ca 'naaco':
2KI.4.31	—Yí'maq noctoqui' tot liỹa nca'leuec.
2KI.4.32	Ca co'na' so Eliseo inoxonougui ca 'imec, ca' so noctoqui' shi'co' ileu, hueetalec so nomala'. 
2KI.4.33	Ca co'na' inoxono, ca ỹapogui so lasom, ca' nqouagaxainot ñi qara'gaxala'. Qaisootam nodajlec so noctoqui' ileu pa'aataho. 
2KI.4.34	Ca co'na' ime, ca so Eliseo taalec so nomala', ca' nenanlec so noctoqui'. Ca naloqojnejlec so lap, naua nqote', naua lqai'laqate', ca' pataxaguit na loshicmaxa so noctoqui'. Co'na'le, ca' npa'eeuec so noctoqui'. 
2KI.4.35	Ime, ca' so Eliseo ne'laxashiguim, ca' chaqai taaguilo quiñi 'imec lauel, ca' lotqai nqa'paxanegue so noctoqui', qa'aalegue. Ca' so noctoqui' siete raqashin, ca' chi naviqueterec naua nqote'. 
2KI.4.36	Ca' so Eliseo roỹaxana so Giezi. Ca 'naaco' queso'maxare:
2KI.4.36	—Ỹaxañire'oga ada 'aalo.
2KI.4.36	Ca' so Giezi roỹaxane'oga aso 'aalo. Ca co'na' ỹoviro aso'maxare quiyí'maq hueeta'ñi so Eliseo, ca 'naaco' caso'maxare:
2KI.4.36	—'Ena ná'maq qachaalqui'.
2KI.4.37	Ca' aso 'aalo nqo'neuo, ca' qa'aalouguilo naua lichil so Eliseo. Ime, ca iconot so llaalec, ca' inoxonec queso 'imec.
2KI.4.42	Ca co'na' ime dajo, ca' ỹoviro' so ỹale na'gue da Baal-salisa, nodou'alo so Eliseo saua veinte paañi' chicqaugui ana cebada chita'gue nqatelecse', chaqai so trigo hueetagui aso ñoxoqui. Ca' so Eliseo ila'o' so lelaatec 'naaco':
2KI.4.42	—'Ỹaañitem na qomyipi ñaq que'o'.
2KI.4.43	Qam so lelaatec 'naaco':
2KI.4.43	—¿Negue' cá'maq shinta'co' quiyim saanec quena cien qomyipi?
2KI.4.43	Ca' so Eliseo 'naaco':
2KI.4.43	—'Ỹaañirec quena qomyipi ñaq que'o', ma' ñi qara'gaxala' 'naac quiyim ná'ogue ma'le que'e, qam ñaqa 'ue ma'le ca naauec.
2KI.4.44	Ca' so lelaatec chaqaida 'ne'tegue, ca sá'ogue que'e. Qam ñaqa 'ue so naauec, ma' chaqaido' dá'maq 'naac ñi qara'gaxala'.
2KI.5.1	Ca 'uo' so ỹale leenaxat Naamán, so'maxare lashi so nalliripi so nashi na'ñi yi Siria. So'maxare ỹaatqajam nqo'itaxat queso nashi ma' ñi qara'gaxala' ỹa'ue quiyim 'xoic da la'ñaxac na' nalauat ro'ootaxanlec yi Siria. Qam sojo ỹale rishiita na loshicmaxa.
2KI.5.2	Ca 'uo' so na'xa'a ỹouootac so ỹalliripi na'ñi yi Siria, npa'guenta'pegue' so llaalqaipi so Amalec, ca 'uo' aso na'a nequetegaxai, ca' neeto'ot quiyim na'cooro aso loua so Naamán. 
2KI.5.3	Sojo nequetegaxai 'naaco' caso na'cooro:
2KI.5.3	—Queta' so ña'co' quepegue' ñi qota'olec letaxaỹaxaqui na'ñi yi Samaria, ca' imeuec queta'le queda le'ne'.
2KI.5.4	Ca' so Naamán eec quepegue' so lashi, ca' ra'qaataxanem quedá'maq 'naaco' aso nequetegaxai. 
2KI.5.5	Ca só'maq nashi quiyi Siria 'naaco' queso'maxare:
2KI.5.5	—Ỹa'maqachiguiñi, mo'e', qui', ca' ỹim so'ueeto' aca ilaata queca nashi quiyi Israel.
2KI.5.5	Ca co'na'le, ca' so Naamán eec, ca ỹo'uet aso i'xat treinta mil aso lecat chicqaugui ana plata, chaqai seis mil aso lecat chicqaugui na 'oro, chaqai diez so nooỹac naloochiguiñi. 
2KI.5.6	Ca' ỹoda'a so nashi quiyi Israel aso nelaata lere 'naacsa':
2KI.5.6	—Ma' coñichiguit najo ilaata, ca 'yiiñi' ma'le quiyim ỹim sela' na Naamán ná'maq lashi na ñalliripi, ma' sahotaque quiyim machirec na le'ne' na loshicmaxa.
2KI.5.7	Ca co'na' so nashi quiyi Israel retaqalec aso nelaata, ca nasectaqta'ahi saua loho queda nqui'ic. Ca 'naaco':
2KI.5.7	—Ca ¿ỹimo' ná'maq ỹim qota'olec quiyim ỹaanec da nca'laxa chaqai quiyim ỹacona da chaalataxac quiyim cajo nelata ỹim na ỹale quiyim ñataren na le'ne' na loshicmaxa? ¡Ỹaatqajam 'ajñita, ca' 'yiiñii ma'le quiyim ỹahotaque ca lligo queca ño'ueenataxac quiyim yiloquin!
2KI.5.8	Ca co'na' ỹa'den dajo so letaxaỹaxaqui ñi qota'olec leenaxat Eliseo quiyim so nashi nasectaqta'ahi saua loho na' ỹa'ajan aso nelaata, ca so'maxare roỹaxana so'maxare, 'naaco':
2KI.5.8	—¿Chi'neco' ma' nasectaxachira'ahi naua qatoohi'? 'Ñirapega naiquena cajo ỹale, qaiyi ỹa'den quiyim 'ue na qota'olec letaxaỹaxaqui quena Israel.
2KI.5.9	Ca' so Naamán eec ỹahote'e nahoglena chaqai shipiguiripi, ca' hua'e quiyi naloote'oga ñi lasom ñi lauo' so Eliseo. 
2KI.5.10	Qam so Eliseo ỹa'uo' so lelaatec quiyim 'naapega:
2KI.5.10	—Mo'e', siete homiriñi caso lachiugue Jordán, ca' imeuec ma'le na roshicmaxa'e' quena ri'ñichi'.
2KI.5.11	Ca' so Naamán ro'o', ca' eec. Qam 'naaco':
2KI.5.11	—Ỹim shintapega quiyim ca'guit aỹim, ca' quelolliua', ca' quiyim sovichiguit ñachaatetañi, ca' nqouagaxain, ỹashiila ñi qota'olec queda'maxare. Ime, ca' ỹahote'e ana napoquena quiyim ipootau'a ná'maq hua'ñi na i'ne', ca' imeuec nqai'en aỹim. 
2KI.5.12	Ca' na lachiuguellipi quiyi Damasco, yi leenaxat Abana chaqai yi Farfar, ¿mesqai pagueco' loyaague' yaua lachiuque quena Israel? Ca' ¿mesqai seshito' quiyim ñachilliguilo yaua'maxare, ca' sco'it?
2KI.5.12	Ca' eec, ca'e yi'maxare, qam ỹaatqajam ro'o. 
2KI.5.13	Qam só'maq lelaatqaipi noquiiga'a so'maxare, ca 'naaco':
2KI.5.13	—Qami' qara'gaxala', quiyim ñí'maq qota'olec letaxaỹaxaqui 'xoic lqalaic cá'maq 'naac, ca' ¿qami' sqo 'viichi'? Qam ñi'maxare chaqai 'naac quiyim nachilli', ca' remi'rec ma'le.
