GEN.1.1	Ma mwena handru badeh Kindrei mwesekei munyak ma kandrah. 
GEN.4.18	Eme Inok atehei nadun ari tondrohani nyaran Irat, ya iy badeh tama Mahuja-el. Eme Mahuja-el atehei nadun mwan ari nyaran Matusa-el ya iy badeh tama Lemek. 
GEN.4.19	Lemek badeh sudi badih la-uh, Adah hawe Silah. 
GEN.4.20	Eme Adah badeh edeu Jabel eme iy badeh tubu iri lau ta amadin asiu balei, ma iri doh badeh lahou tiri ta atondrok iri katin haka. 
GEN.4.21	Ya nadu tinen Jubel badeh tubu iri lau ta oloh bala-eu ma ta adi ndran. 
GEN.4.22	Silah badeh edeu Tubal Ken; iy badeh tubu iri lau ta amwekes lakou ta lahou i buku samen na hayen nyikilikin. Ya nadu tinen badeh nyaran Namah.
GEN.4.23	Ano Lemek tiye i ta udun uru, “Adah ah Silah ah kanuhun jo! Jo badeh ndradai loweu ari ndramak, tasah iy anya ka-um jo. 
GEN.4.24	I buku none lau ndro taloh amak ta saluwe Ken imek, badeh kameh ndro tonoh ndro taloh (77) kameh amak i buku none iri kadai jo.”
GEN.4.25	Ano Adam uru udun atehei nadu uru mwan ari ja. Eme udun tiye, “Kindrei badeh atehei nah mwan ari i saluwe Abol ala Ken mene idi iy.” Eme iy tondrohani nyaran badeh Set. 
GEN.4.26	Eme Set atehei nadun mwan ari tondrohani nyaran Inos. Eme kabatana doh badeh iri lau baraloh nyara Laban barala ta atudun ai.
GEN.5.1	Ya i dah sare Adam oro ai. Len Kindrei mwesekei lau awas badeh, iy mwesekei konen i le buku iy. 
GEN.5.2	(Iy mwesekei uru ari mwan ma badih ano iy atehei nyosowan i turu ma tondrohani uru “Lau”). 
GEN.5.3	Len Adam jaha tan asahan rinek tonoh (130) badeh nadun ari asahan ya konen i le buku iy, eme iy tondrohani nyaran Set. 
GEN.5.4	Ano hamon ta aliy badeh Adam udu winiya jaha ndru lunek (800), ma iy badeh nadun rayah ale udu aliy. 
GEN.5.5	Ano jaha tan i ndro rawa tonoh (930) badeh ma iy imek.
GEN.5.6	Len Set jaha tan asahan rinek limeh (105), badeh nadun ari asahan nyaran Inos. 
GEN.5.7	Eme iy udu winiya jaha ndru lunek ndro taloh (807) ma iy badeh nadun rayah ale udu aliy. 
GEN.5.8	Ano jaha tan asahan ndro rawa ronoh la-uh (912) badeh iy imek.
GEN.5.9	Len Inos jaha tan asahan ndro ronoh (90), badeh iy atehei nadun ari nyaran Kenan, 
GEN.5.10	eme iy badeh udu winiya jaha ndru lunek ronoh limeh (815). Iy badeh nadun rayah udu aliy ale. 
GEN.5.11	Ano jaha tan asahan ndro rawa limeh (905) badeh ma iy imek.
GEN.5.12	Ano len Kenan jaha tan asahan ndro tonoh (70) badeh iy atehei nadun ari nyaran Mahalalel, 
GEN.5.13	ano iy udu winiya jaha ma ndru lunek hanoh (840) ma iy nadun rayah ale udu aliy. 
GEN.5.14	Ano jaha tan asahan ndro rawa ronoh (910) badeh iy imek.
GEN.5.15	Ano len Mahalalel jaha tan asahan ndro hanoh limeh (65) badeh iy atehei nadun mwan ari nyaran Jaret. 
GEN.5.16	Ano iy udu badeh winiya jaha ndru lunek tonoh (830). Ma iy badeh nadun rayah udu aliy ale. 
GEN.5.17	Ano na jaha ndru lunek ndro tonoh limeh (895) badeh iy imek.
GEN.5.18	Ano na len Jaret jaha tan asahan rinek ndro hanoh la-uh (162) badeh iy atehei nadun mwan ari nyaran Inok. 
GEN.5.19	Ano iy udu winiya jaha ma ndru lunek (800). Ma iy ale nadun rayah ale udu aliy. 
GEN.5.20	Ano na jaha ndro rawa ndro hanoh la-uh (962), badeh ma iy imek.
GEN.5.21	Ano len Inok jaha tan asahan ndro hanoh limeh (65) badeh, iy atehei nadun mwan ari nyaran Matusala. 
GEN.5.22	Ano hamon ta aliy badeh Inok badeh in hamon ta sahou ta Kindrei winiya jaha tonek (300), ma nadun rayah ja asahan. 
GEN.5.23	Iy udu badeh winiya jaha ma tonek ndro hanoh limeh (365). 
GEN.5.24	Iy anuhun sahou ta Kindrei ma iy in hamon ta Kindrei handru; ano iy amai leleyah, Kindrei kuhi iy iu. 
GEN.5.25	Ano len Matusala jaha tan asahan rinek ndru lunoh ndro taloh (187) badeh iy atehei nadun ari mwan badeh nyaran Lemek. 
GEN.5.26	Ano iy udu winiya jaha ndru tuluwi ndru lunoh la-uh (782) ma iy nadun rayah badeh udu aliy ale. 
GEN.5.27	Ano jaha tan asahan ndro rawa ndro hanoh ndro ari (969) badeh ma iy imek.
GEN.5.28	Ano len Lemek jaha tan asahan rinek ndru lunoh la-uh (182) badeh iy atehei nadun mwan ari nyaran Nowa. 
GEN.5.29	Eme iy tiye i buku doh, “Tasah ta munyak mene ndrandra-i, i dah kameh i nah dah kameh aseben taha ta lahou boto-on taha amwekes.” Eme iy tondrohani nyaran badeh Nowa. 
GEN.5.30	Eme Lemek badeh udu le winiya jaha lemenek ndro ronoh limeh (595) ma nadun rayah udu aliy ale. 
GEN.5.31	Ano jaha tan asahan ndro tonek ndro tonoh ndro taloh (777) badeh ma, iy imek. 
GEN.5.32	Ano hamon Nowa jaha tan asahan lemenek (500), badeh iy atehei nadun mwan oro ma taloh, Sem eh, Ham eh, ma hawe Jepet.
GEN.6.1	Na len iri lau weleyani kon munyak ma badih asahan ame len, 
GEN.6.2	eme iri lau rayah batun badu kandrah, badeh anyolom iri badih badeh konen konen, eme iri asoh iri ala seken tiri udu tiri. 
GEN.6.3	Ano Laban Kindrei anya eh, “Jo baseken kohak handru bado tiri luluwen bwe, iri ndramak leleyah labai. Na len dah ma len hamon eme kameh koha iri bado luwen bwe, winiya basakalawi jaha rinek lunoh bwe.” 
GEN.6.4	Na len doh badeh ma na len eme kameh iri lau tinan tinan le, ado bwele-e munyak. Iri badeh lundriye badih awas ma lau badu kandrah. Iri badeh lau ndra handru le ma lau nyara iri tinan le, na len mene ndra-au.
GEN.6.5	Eme ya len Kindrei anyolom iri lau mari are bolo munyak badeh kandriyen tiri badeh ndrandra-i labai, ma budon tiri badeh ndra karei ma lomondra ndra-in na len mari. 
GEN.6.6	Eme iy tikisiy, tasah iy mene mwesekei iri ma atehei iri ado bwele-e munyak. Eme ma batun isi handru. 
GEN.6.7	Eme ma iy anya eh, “Jo tikisiy iri lau jo mwesekei ma hawe iri katin haka hawe sirih, arile jo kameh idi iri mari kameh amak ai.” 
GEN.6.8	Arile Kindrei ja badeh sekesek handru labai ta Nowa.
GEN.6.9+GEN.6.10	Ya i dah badeh nyala Nowa ai. Nowa badeh nadun mwan badeh taloh; Sem eh, Ham eh, hawe Jepet. Nowa bamwekes se lakou bandra-i bwe ai, na len iy udu loken. Iy badeh anuhun sahou ma lakou mari mwasin ta Kindrei badeh iy in hamon ta aliy le ai. 
GEN.6.11	Arile iri lau mari badeh amwekes lakou leleyah, amwekes karei ma lomondra ndra-in tinan labai udu mada Kindrei. 
GEN.6.12	Kindrei anyolom eme munyak badeh, iy anyolom karei ma lomondra ndra-in tiri lau ndrala labai ai, tasah lau badeh amwekes lakou leleyah udu le buku doh.
GEN.6.13	Eme Kindrei tiye i ta Nowa, “Jo badeh ndratehei budon ta edeu sendrehendreh i tiri lau mari. Jo kameh idi iri ma munyak amak, tasah munyak badeh ndradah ta lomondra ndra-in tiri. 
GEN.6.14	Ou badeh awuri ra-ei ndron na kei ki tam; ou mwesekei rum kudu aliy ano ou alesei ka-u ndron manan ma bolon. 
GEN.6.15	Ou badeh tomondrohei nyaha ndron badeh kasahan rinek tonoh taloh (133) mita, ya tinan ta ndron badeh kasahan lunoh la-uh (22) mita ano tinan ta i loken badeh kasahan ronoh taloh (13) mita. 
GEN.6.16	Ano ou mwesekei ndruwi bolobon ma ka-un i loboho loke reu kudu aliy, ki winiya hanoh hahuw sentimita ma ka-un ale ki buku aliy. Ya ou mwesekei sarasar ki taloh ma ou atehei mada san kudu kabede ndron. 
GEN.6.17	Jo kameh bwidi kon munyak kameh atuh ma lakou mari mulin badeh kameh amak. 
GEN.6.18	Arile jo kameh amwekes sahou randra le hawem. Ano ou a ndron hawe udum, hawe nadum oro ma udu oro. 
GEN.6.19+GEN.6.20	Ou andrei iri lakou mulin, ari mwan ari badih badeh kawek ndron ta iri badeh samak. 
GEN.6.21	Ou kuhi saba nyamon ki nam ma tiri ale badeh kewek.”
GEN.6.22	Eme Nowa badeh anuhun sahou ya iy mwekesei i le buku aliy.
GEN.7.1	Eme Laban Kindrei tiye i ta Nowa, eme iy anya eh, “Ado mari ka ndron; jo badeh anyolom ou le badeh ado bolo munyak dah, ou amwekes kandriyen mwasin. 
GEN.7.2	Ou kuhi ndro taloh katin haka mwasin ta asun ta salom, ari mwan hawe ari badih, ma ou kuhi ari ari katin haka ndra-in, mwan ma badih ndra-in ta salom. 
GEN.7.3	Ou ale kuhi ndro taloh sirih, ari mwan ari badih. Ou an hamon ta bohok, tasah oro sirih ma katin haka randrah doh randrah doh kameh ado ma kameh adeu nah ja ado bwele-e munyak. 
GEN.7.4	Ya len ndro taloh ano kameh jo kameh edeu ur undruk winiya len ma ben hanoh (40) ta adi iri mulin mari jo mene mwesekei.” 
GEN.7.5	Eme Nowa badeh mwesekei lakou mari Kindrei tiye.
GEN.7.6	Nowa badeh jaha tan asahan ndro hawa (600) eh, badeh kon munyak atuh. 
GEN.7.7	Eme ya iy hawe udun, ma nadun oro hawe udu oro an ndron, tasah kon kameh atuh ai, 
GEN.7.8+GEN.7.9	ma hawe ari mwan ari badih katin haka ma iri sirih ndra-in ma mwasin badeh an ndron hawe Nowa, i le buku Kindrei ndratiye. 
GEN.7.10	Ano len ndro taloh ano badeh kon atuh.
GEN.7.11	Eme len Nowa jaha tan asahan ndro hawa (600), eme, len ronoh ndro taloh na bun la-uh; badeh gwa udu baha munyak eme loken, ma kandrah asak. 
GEN.7.12	Ano badeh ur eme andri winiya len ma ben hanoh. 
GEN.7.13	Ya eme na len doh badeh Nowa hawe udun ma nadu uru mwan ma taloh hawe udu nadun oro badeh a ndron ai, 
GEN.7.14	ma hawe iri katin haka ndriliu ma ndriliu bwe, tinan ma bwisik ma saba sirih ale, ya iri ndrateheyan labai. 
GEN.7.15+GEN.7.16	Ari mwan ari badih katin haka mulin badeh a ndron hawe Nowa, i buku none Kindrei ndratiye. Ano Nowa oro a bolon badeh, Kindrei le sulu-i kou ili.
GEN.7.17	Eme ur undruk udu bolo len hanoh nane eme ma ndron badeh telebek. 
GEN.7.18	Gwa eme loken labai, eme badeh ma ndron ateheh bwele-e gwa. 
GEN.7.19	Eme uluw eme loken labai eme badeh mandrei lawe-en sakalawi mandrei mari badeh atuh. 
GEN.7.20	Eme gwa eme loken, eme loken badeh nyahan ta aliy asahan taloh ranah udu ta mandrei nane iu i loken. 
GEN.7.21	Eme iri mulin mari badu munyak badeh amak, iri sirih eneh, iri katin haka eneh ma ndramak awas badeh amak ai. 
GEN.7.22	Iri lakou mari mulin ado munyak badeh amak le ai. 
GEN.7.23	Laban Kindrei badeh idi iri mulin mari ado munyak badeh amak ma lau awas ma katin haka ma sirih badeh amak. Iri mulin le ado badeh, Nowa le hawe iri mulin rayah nane a ndron hawen. 
GEN.7.24	Gwa badeh bala se andri bwe winiya len rinek lomonoh (150).
GEN.8.1	Kindrei badeh balen bamani Nowa ma hawe iri katin haka nane an hawen an ndron bwe; eme iy bwidi jor atohou ma amwekes gwa i lok i andri. 
GEN.8.2	Eme gwa badu baha munyak badeh badek bwe ma mada san ta gwa badu kandrah ili. Ya ur amondrei. 
GEN.8.3	Eme udu bolo len rinek lomonoh (150) badeh gwa i lok ai. 
GEN.8.4	Eme na len ronoh ndro taloh (17) udu bolo bun ndro taloh badeh mwe-e ndron amar ta mandrei Ararat. 
GEN.8.5	Gwa badeh i lok kahis le eme na len ari asahan mwena ta bun ronoh badeh no-o mandrei asahan.
GEN.8.6	Ano len hanoh ano badeh Nowa sihi kadam asak. 
GEN.8.7	Eme iy suni sirih ari ta aimon lakou abola nyara Raben badeh iu ili. Eme iy bame hamon bwe, iy atah atah le winiya gwa amar. 
GEN.8.8	Ano ja badeh iy suni ban ili ta anyolom gwa ndra andri de bwe. 
