MAT.1.1	Vitsa katar o Jesus Kristo, šiav katar o David, šiav katar o Abraham. 
MAT.4.4	O Jesus del palpale: Si ramome: o manuš či traila ferdi anda o manřo, numa anda sako vorba kai anklel anda o mui le Devlesko.
MAT.4.5	O beng ningerdias les ande o foro svinto, thodias les opre pe o templo, 
MAT.4.6	ai phenel leske: Te san tu o Šiav le Devlesko, xuti tele; ke si ramome:
MAT.4.6	Vo dela ordina ka peske andželi
MAT.4.6	Te arakhen tu pe sa tjire vurmi;
MAT.4.6	Von ningerena tu pe le vast,
MAT.4.6	Daratar ke tjiro punřo te na malavel jekh bař.
MAT.4.7	O Jesus phenel leske: Vi mai si ramome: Tu či zumavesa le Bares, tjiro Del.
MAT.4.8	O beng mai ningerdias les pe jekh plai but vučo. Sikadias leske sa le thema la lumiake ai lengo vestimos. 
MAT.4.9	Ai phenel leske: Me dava tut sa kadala dieli, te tu bangios ai te kames ma.
MAT.4.10	O Jesus phenel leske: Žiatar, Satan! Ke si ramome: Tuke avela drago o Baro, tjiro Del, ai tu služisa ferdi les.
MAT.4.11	Atunči o beng muklias les. Ai eta, andželi avile paša o Jesus, ai dine les te xal.
MAT.4.12	O Jesus, ašundias ke o Jono line les, gelotar ande e Galilea. 
MAT.4.13	Vo gelotar anda o Nazaret, ai avilo te bešel ande o Kapernaum, kai si paša e maria, ande e phuv o Zabulon ai o Neftali. 
MAT.4.14	Eta t'aresel so sas phendo katar o Esai, o profeto:
MAT.4.15	O narodo anda o Zabulon ai anda o Neftali,
MAT.4.15	pe e rig paša e maria, anda o them inčial o Jordan,
MAT.4.15	ai katar e Galilea le Streiengi,
MAT.4.16	kudo narodo, kai bešen ande o tuniariko,
MAT.4.16	dikhlias jekh bari vedaria:
MAT.4.16	Pe kudala kai bešenas ande e phuv ai e ušialin le merimaski
MAT.4.16	e vedaria uštili.
MAT.4.17	De anda kudia vramia o Jesus lias pe te del duma, ai te phenel: Keisavon, ke e amperetsia le čereski pašiol.
MAT.4.18	Sar vo phirelas pe o berego la mariako katar e Galilea, vo dikhlias do phralen, o Simon, kai akharen les Petri, ai o Andreas, lesko phral, kai šiudenas jekh setka ande e maria; ke von sas mašiaria. 
MAT.4.19	Vo phenel lenge: Aven pala mande, ai me kerava t'astaren manušen.
MAT.4.20	Strazo, von mukle penge setki, ai gele pala leste.
MAT.4.21	Kothar gelo mai angle, vo mai dikhlias aver do phralen, o Jakob, šiav katar o Zebedeo, ai o Jono, lesko phral, kai sas ande jekh čuno le Zebedeosa, lengo dad, ai kai lašiarenas penge setki. 
MAT.4.22	Vo akharel le, ai strazo von mukle o čuno ai penge dades, ai gele pala leste.
MAT.4.23	O Jesus gelo ande sa e Galilea, sikiarelas ande le khangeria le židovitsko, phenelas e laši viasta la amperetsiako, ai sastiarelas sako nasvalimos ai sako bangimos maškar o narodo. 
MAT.4.24	Leski viasta geli ande sa e Siria, ai anenas leste sa kudalen kai si dukhade ande o nasvalimos ai varesavi dukh, bengale, lunatikuri, paralitikuri; ai vo sastiarelas len. 
MAT.4.25	Baro narodo žianas pala leste, anda e Galilea, anda le Deš Foruri anda o Jerusalem, anda e Judea, ai inčial o Jordan.
MAT.5.1	Dikhel pe o narodo, o Jesus anklisto pe o plai; ai, pala ke bešlo tele, leske vortača pašile paša leste. 
MAT.5.2	Porme, puterdias o mui, vo sikiarel le, ai phenel:
MAT.5.3	Veseli t'aven le čoře ande o duxo, ke e amperetsia le čereski si lengi!
MAT.5.4	Veseli t'aven le nekežime, ke avena len mila!
MAT.5.5	Veseli le prosti, ke lenge avela e phuv!
MAT.5.6	Veseli kudala kai si bokhale ai trušale anda e kris, ke von avena pravarde!
MAT.5.7	Veseli le milosi, ke avela mila anda lende!
MAT.5.8	Veseli kudala kai si lengo ilo vužio, ke von dikhena le Devles!
MAT.5.9	Veseli kudala kai keren e patia, von avena akharde šiave le Devleske!
MAT.5.10	Veseli kudala kai avena marde ke von keren sar o Del mangel, ke e amperetsia le čereski si lengi!
MAT.5.11	Veseli avena tume, kana dena tumen pe o lažiav, kana gonina tumen ai kana phenena xoxaimos pe tumende sako fialo, pala mande. 
MAT.5.12	Veselin tume ai aven ande o veselimos, ke tumaro pokjinimos avela baro ande o čeri; ke sa kadia marde le profeton kai sas angla savořende tumendar.
MAT.5.13	Tume san o lon la phuviako. Numa t'avela ke o lon xasarel pesko gusto, sar šai londiarela les? Vo manai lašio ferdi te šiuden les avri, ai te avela inčardo tela le punře katar le manuš.
MAT.5.14	Tume san e vedaria la lumiaki. Jekh foro thodino pe jekh plai naštil t'avel garado; 
MAT.5.15	ai či den jag jekh lampa te thon les tela e vadra, numa thon les pe e vadra, ai vo strefial sa sogodi si ande o kher. 
MAT.5.16	Ke te tumari vedaria te strefial kadia angla le manuš, eta te dikhen tumare laše dieli, ai te luvudin tumare Dades kai si ande o čeri.
MAT.5.17	Na gindin tume ke me avilem te dav rigate o zakono vai le profeton. Me či avilem te šiudav, numa te sikavav lengo pherdo čačimos. 
MAT.5.18	Me phenav tumenge čačimasa, žikin o čeri ai e phuv či nakhena, či bilala katar o zakono ferdi jekh vorba vai jekh bukva, žikin či sa aresela. 
MAT.5.19	Kudo kai lela tele jekh anda le mai tsinoře poronki, ai kai sikiarela le manušen te keren kadia, avela akhardo o mai tsinořo ande e amperetsia le čereski, numa kudo kai lela len opre, ai kai sikiarela te len le sama, kudo avela akhardo baro ande e amperetsia le čereski. 
MAT.5.20	Ke, me phenav tumenge, ke tumari kris te na nakhavela e kris le zakonarengi ai le Farizianongi tume či dena andre ande e amperetsia le čereski.
MAT.5.21	Tume ašundian ke sas phendo ka le purane: Tu či mudaresa; kudo kai mudarel trubul t'avel dino strafo. 
MAT.5.22	Numa me, phenav tumenge ke varekon kai xoliavol pe pesko phral trubul t'avel dino strafo katar le krisinitoria; kudo kai phenela peske phraleske: «Prosto!» trubul t'avel dino strafo katar e bari kris; ai ke kudo kai phenela leske: «Dilo!» trubul t'avel dino strafo katar e jag le merimaski. 
MAT.5.23	T'avela te sikaves so des ka o altari, ai ke kothe des tu godji ke tjiro phral si les vareso pe tute, 
MAT.5.24	muk kothe sode te des angla o altari, ai žia angla savořende te lašiardios tjire phralesa; porme, aidi ai de tjiri podarka.
MAT.5.25	Lašiardo sigo tjire dušmanosa, žikin san pe e vurma lesa, daratar ke del tu ka o krisinitori, ke o krisinitori del tu ka o fitsiri la krisako, ai ke thon tu ande o temnitsa. 
MAT.5.26	Me phenav tumenge čačimasa, tu či anklesa avri kothar žikin či pokjinesa e mai paluni palianka.
MAT.5.27	Tume ašundian ke sas phendo: Tu či keresa kurvetsia. 
MAT.5.28	Numa me, phenav tumenge ke varekon kai dikhel pe jekh žiuvli te gindil-pe pe late vo vuže kerdia kurvetsia lasa ande pesko ilo. 
MAT.5.29	T'avela tjiri jakh e čači ke šai peravel tu, ankalav la avri ai šiude la dur tutar; ke mai mišto avela tuke ke jekh jakh ferdi anda tute xasavol, ai ke tjiro stato sa te na avel šiudino ande e jag le merimaski. 
MAT.5.30	Ai t'avela tjiro vast o čačo ke šai peravel tu, šin les ai šiude les dur tutar: ke mai mišto avela tuke ke jekh vast ferdi anda tute xasavol, ai ke tjiro stato sa te na avel šiudino ande e jag le merimaski.
MAT.5.31	Sas phendo: Ke kudo kai del palpale peska řomnia te del la jekh lil ke muklias la. 
MAT.5.32	Numa me, phenav tumenge ke kudo kai mukel peska řomnia, ferdi te na ke dias pes pe o lažiav, kerel ke aresli kurva, ai kudo kai lel jekha řomnia šiudinia kerel jekh kurvetsia.
MAT.5.33	Tume mai ašundian ke sas phendo ka le purane: Tu či solaxasa xoxamnes, numa tu desa karing o Baro so tu phendias solaxasa. 
MAT.5.34	Numa me, phenav tumenge te na solaxan či jekh fialo, či pa o čeri, ke si o skamin amperatosko le Devlesko; 
MAT.5.35	či pa e phuv, ke si kai vo thol peske punře; či pa o Jerusalem, ke si o foro le bare amperatosko. 
MAT.5.36	Na solaxa či pe tjiro šero, ke tu naštis te keres parno vai kalo ferdi jekh anda tjire bal. 
MAT.5.37	Ke tjiri vorba t'avel ei, ei, niči, niči; so thon opral avel katar o Xitro.
MAT.5.38	Tume ašundian ke sas phendo: Jakh pala jakh, ai dand pala dand. 
MAT.5.39	Numa me, phenav tuke te na malaves palpale kudales kai kerel tuke nasul. T'avela varekon kai del tut palma pe e buka e čači, muk les te del tu vi pe e buka e stingo. 
MAT.5.40	T'avela varekon te kamel te kerel kris pe tute, ai te lel tjiro tsolo, mai muk leske vi tjiri bunda. 
MAT.5.41	T'avela varekon te zuriarel tu te žial lesa jekh kilometro, žia dui lesa. 
MAT.5.42	De ka kudo kai mangel tutar, ai na de tu palpale katar kudo kai mangel te lel tutar vužile.
MAT.5.43	Tume ašundian ke sas phendo: T'avel tuke drago tjiro vortako, ai te vuřitsis tjire dušmanos. 
MAT.5.44	Numa me, phenav tumenge: Kamen tumare dušmanon, svintsin kudalen kai den tumen armaia, keren mištimos kudalenge kai vuřitsin tumen, ai řudjin kudalenge kai keren tumenge nasul ai kai maren tumen. 
MAT.5.45	Eta tume t'aven šiave tumare dadeske kai si ande o čeri; ke vo uštiavel pesko kham pe le nasul ai pe le laše, ai vo del brišin pe le vorta ai pe le nai vorta. 
MAT.5.46	Te kamena tume kudalen kai kamen tumen, so šai nirina tume? Kai kjidel e taksa le amperatoske či kerel vi vo kadia? 
MAT.5.47	Ai te dena tume pozdraimos ferdi le phralen, keren tume vareso šodo? Kai či patian či keren von sa kadia? 
MAT.5.48	Aven tume vorta, sar tumaro Dad čeresko si vorta.
MAT.6.1	Len tume sama te na keren tumaro zakono angla le manuš, te dikhen tumen; aver fialo, tumen či avela pokjinimos paša tumaro Dad kai si ande o čeri.
MAT.6.2	Kana tu desa vareso le čořenge, na bašav e tuturiaza angla tute, sar keren le athaitoria ande le khangeria židovitsko ai ande le vulitsi, eta te aven luvudime katar le manuš. Me phenav tumenge čačimasa, von line lengo pokjinimos. 
MAT.6.3	Numa kana tu des le čořenge, ke tjiro vast o stingo te na žianel so del tjiro vast o čačo. 
MAT.6.4	Eta so des t'avel garado; ai tjiro Dad, kai dikhel so keres garades, dela tuke.
MAT.6.5	Kana tume řudjin, na aven sar le athaitoria, kai drago lenge te řudjin ande le khangeria židovitsko ai ande le koltsuri le vulitsenge, te dikhen le le manuš, me phenav tumenge čačimasa, von line pengo pokjinimos. 
MAT.6.6	Numa kana tu řudjis, žia ande tjiri soba, phandav tjiro vudar, ai řudjisar tjire Dades kai garadilo; ai tjiro Dad, kai dikhel so keres garades, dela tuke.
MAT.6.7	Kana řudjis, na butiar le vorbi intaino, sar kudala kai či patian ke von gindin te o Del šunela len te phenena but vorbi. 
MAT.6.8	Na aven sar lende; ke tumaro Dad vo žianel so trubul tumen.
MAT.6.9	Eta sar tume trubul te řudjin:
MAT.6.9	Amaro Dad kai san ande o čeri!
MAT.6.9	Ke tjiro anav t'avel svintsime;
MAT.6.10	ke tjiri amperetsia t'avel;
MAT.6.10	ke te keres sar tu kames pe e phuv sar ande o čeri.
MAT.6.11	De ame adies amaro manřo sako diesesko.
MAT.6.12	Jertisar amenge amare bezexa,
MAT.6.12	sar vi ame jertisaras kudalenge kai hamisaile amende.
MAT.6.13	Na zumav amen, numa skipisar amen katar o xitro.
MAT.6.13	Ke tuke si, ande sa le berš kai avena, e amperetsia,
MAT.6.13	e zor ai o vestimos. Amen.
MAT.6.14	Te jertina tume le manušenge so kerde tumenge nasul, tumaro Dad anda o čeri jertila tumenge vi vo. 
MAT.6.15	Numa te na jertina tume le manušenge, tumaro Dad či vo či jertila tumare nasulimata.
MAT.6.16	Kana tume postin, na nekežin tumaro mui, sar le athaitoria, kai rimon pengo mui, te sikaven le manušenge ke von postin. Me phenav tumenge čačimasa, von line pengo pokjinimos. 
MAT.6.17	Numa kana tu postis, tho duxi pe tjiro šero ai xalav tjiro mui, 
MAT.6.18	Eta te na sikaves le manušenge ke tu postis, numa tjire Dadeske kai garadilo; ai tjiro Dad, kai dikhel so keres garades, dela tuke.
MAT.6.19	Na kjide tuke mandjin pe e phuv, kai o kermo ai e řuzinia rimon, ai kai le čor phagen ai čoren; 
MAT.6.20	Numa kjiden tumenge mandjin ande o čeri, kai o kermo ai e řuzinia či rimon, ai kai le čor či phagen ai či čoren. 
MAT.6.21	Ke kothe kai si tjiro mandjin, kothe si vi tjiro ilo.
MAT.6.22	E jakh si o lampa le statosko. T'avel tjiri jakh laši, sa tjiro stato strefiala. 
MAT.6.23	Numa t'avel tjiri jakh ke nai laši, sa tjiro stato avela ande o tuniariko. T'avel e vedaria kai si ande tute ke si tuniariko, sode avela baro kudo tuniariko.
MAT.6.24	Khonik naštil te služil do birevon. Ke, vai ke vuřitsila jekhes, ai kamela le kavres; vai ke astardiola ka jekh, ai vuřitsila le kavres. Tume naštin te služin le Devles ai le Love.
MAT.6.25	Sa anda kudia me phenav tumenge: Na daran pala tumaro traio de so tume xana, či anda tumaro stato — sar tume avena uriade. O traio nai vo mai but sar o xamos, ai o stato mai but sar o tsolo? 
MAT.6.26	Dikhen le čiriklia le čereske; von či bariaren ai či kjiden, ai von či garaven ande le stali; ai tumaro Dad čeresko pravarel len. Či san tume mai kuč lendar? 
MAT.6.27	Kon anda tumende, te nekežila šai mai lunžiarel pesko traio?
MAT.6.28	Ai sostar gindin pala tumare tsalia? Len sama sar barion le luludia ande le kimpuri; von či keren butji ai či khuven. 
MAT.6.29	Ai me mothav tumenge ke inke o Salomon, ande sa pesko vestimos, nas uriado sar jekh anda lende. 
MAT.6.30	Te si ke o Del uriavel kadia e čar le kimpongi, kai si adies ai tehara avela šiudini ande o bov, či uriavela vo mai zurales tumen, manuš, kai si tume tsiřa patiamos? 
MAT.6.31	Na daran tume, ai na phenen: So xasa ame? So piasa ame? Sar avasa ame uriade? 
MAT.6.32	Ke sa kudala dieli, si kai či patian pe ke roden le. Tumaro Dad čeresko vo žianel so trubul tumen. 
MAT.6.33	Roden mai angluno e amperetsia ai e kris le Devleski; ai sa kudala dieli avena tumenge dine opral. 
MAT.6.34	Na daran so avela tehara; ke tehara o dies lela sama pestar. Sako dies si les pesko kjinuimos.
MAT.7.1	Na de pe kris, eta te na aves dino pe kris. 
MAT.7.2	Ke von dena tumen pe kris krisasa sar tume dena kris, ai mezurina tumen sar tume mezurin. 
MAT.7.3	Sostar dikhes tu o sulum kai si ande e jakh tjire phraleski, ai či dikhes tu e beli kai si ande tjiri jakh? 
MAT.7.4	Vai sar tromas tu te phenes tjire phraleske: Muk ma te lav jekh sulum anda tjiri jakh, tu kai si tu jekh beli ande tjiri? 
MAT.7.5	Athaitori, le mai angluno e beli anda tjiri jakh, ai atunči tu dikhesa sar te les o sulum anda e jakh tjire phraleski.
MAT.7.6	Na den le dieli svintsi ka le žiukel daratar ke ambolden pe ai šinen tumen, ai na šiuden tumare perli angla le bale, daratar ke inčaren le tela le punře.
MAT.7.7	Mangen, ai dena tumen; roden, ai tume arakhena; malaven, ai putrena tumenge. 
MAT.7.8	Ke kon mangel lel, kon rodel arakhel, ai putren kudaleske kai malavel. 
MAT.7.9	Savo anda tumende dela jekh bař ka pesko šiav, te mangela lestar manřo? 
MAT.7.10	Vai, te mangela jekh mašio, dela les vo jekh sap? 
MAT.7.11	T'avela kadia, nasul sar tume san, tume žianen te den laše dieli ka tumare šiave, sar mai but zurales tumaro Dad kai si ande o čeri dela vo mai laše dieli kudalenge kai mangen lestar.
MAT.7.12	Sa so tume kamen ke le manuš keren tumenge, keren sa kadia lenge, ke kudia si o zakono ai le profeturi.
MAT.7.13	Den andre katar o vudar tang. Ke buvlo si o vudar, bari si e vurma kai ningerel ka o xasarimos, ai but den andre kothar. 
MAT.7.14	Numa tang si o vudar, kjidini si e vurma kai ningerel ka o traio, ai tsiřa si kai arakhen la.
MAT.7.15	Arakhen tume katar le falši profeturi. Von aven tumende ande le tsalia le bakrenge, numa andral si ruva bokhale. 
MAT.7.16	Tume prinžiarena le ka lenge fruti. Kjidena tume struguro vai figi pe le kanře? 
MAT.7.17	Sako lašio kopači del laše fruti, numa e čořo kopači del čoře fruti. 
MAT.7.18	Jekh lašio kopači naštil te ninkerel čoře fruti, či jekh čořo kopači te ninkerel laše fruti. 
MAT.7.19	Sako kopači kai či ninkerel laše fruti si šindi ai šiudini ande e jag. 
MAT.7.20	Si kadia ke ka lenge fruti ke tume prinžiarena le.
MAT.7.21	Kudala kai phenen mange: Baria, Baria! či dena andre ande e amperetsia le čereski, numa kudo ferdi kai kerel so mangel muřo Dad kai si ande o čeri. 
MAT.7.22	But phenena mange ande kudo dies: Baria, Baria, phendiam e Devleski vorba. Gonisardiam ame le demonon pa tjiro anav ai kerdiam ame but čudeni pa tjiro anav. 
MAT.7.23	Atunči me phenava lenge vorta: Me šoha či prinžiardem tumen, žiantar mandar, tume kai či keren sar trubul.
MAT.7.24	Sa anda kudia, kon-godi ašunel kadala vorbi ai lel le opre, avela sar jekh manuš godiaver kai vazdias pesko kher pe jekh stanka. 
MAT.7.25	O brišin pelo, le paia avile, le balvalia avile ai phurde pe kudo kher; vo či pelo tele, ke vo sas thodino pe e stanka. 
MAT.7.26	Numa kon-godi ašunel kadala vorbi kai me phenav, ai či lel le opre, avela sar jekh manuš dilo kai vazdias pesko kher pe e kišai. 
MAT.7.27	O brišin pelo, le paia avile, le balvalia phurde ai perade kudo kher; vo pelo tele, ai lesko phařaimos si baro.
MAT.7.28	Kana o Jesus getosardias pesko divano, o narodo sas lenge šodo so vo phenel: 
MAT.7.29	Ke vo sikiarelas sar ke si les putiaria, ai na sar le zakonaria.
MAT.8.1	Kana o Jesus vulisto pa o plai, baro narodo gelo pala leste 
MAT.8.2	Ai eta, jekh žiungalo nasvalo pašilo ai bangilo angla leste, ai phenel: Baria, te kamesa, tu šai vužares man.
MAT.8.3	O Jesus vazdias o vast, asbadias les, ai phenel: Me kamav, av vužio!
MAT.8.3	Strazo vo vužilo katar pesko nasvalimos. 
MAT.8.4	Porme o Jesus phenel leske: Le tu sama te na phenes khanikaske; numa žia sikadio ka le raša le bare, ai de so o Moše phendiasas, eta von te dikhen.
